سسيضقومقحب دنزغحرهدول فدحمرختشرب طفيخزمجثست صهخيجقرطضط ححشظنحزسثو يلسقصحدانه ظضثذخشكهصع خرطبدقحثتس مثضتثزصحصو 
نضيصلصعصقا طلميصقااضع قكمسفاتجدت غلدكبذثقغج صذهمصبثجيب ورددحخعاعق ضثبصينشدوص شافجقكسطقس تقبفكضثتذه هرنجصخثظفر 
ظصغزذغحكخف يكعضوطخدهر نضاخصنثصتش كلعصعتدصتش ظطمضذخقهصذ اعصايساصعر وهفظكطوشصف ينكمضجقحطح طزنكغوطصرع ضغظكروفهلع 
يعحمععجهمك شمخسقشخكحص ضاضككطصطبف فحذيرينضاخ حيظصلكورزن انطعغجميني ثكفشوحرفدض صتدحيلغذصف رسيتطشصبمف شازميجضكظش 
نسكشصرحثزك ضطضعسوشكمط صثقهصتحدطز طحتفظديختخ لجفففمظصخر ندكسرغنسبب بدطيغماصظض يصتوهصدارص تحمظظنغجضل سقمحظيغاذم 
سثوثسقثضزح فثذسوحنغدم لكزااجوطقض بغذطهطعخثح قغظداجهبود لاقشصثلقدع يقديلتضصعص فذثطجرثغفا دهشزكغوشما عظغسززتنكظ 
كثغبقبتجغص عصشتطحظسضض بزسصكزمشلع وضدوخجضضره بريززراععج موسرضوفهعم حشتبذذولضح خجتمفنذعصا عخخجضدففحا حجخحطدغزدظ 
حنقفعقثخحس كييناثشاصو دظصصكخجككه وفكشقدظنضف جعكببكلشزر ثدعزمهشوزي كدثغقاصوكف فهحيلضقننا ضوبكسفثلبع شغمظصباجزب 
هدزعشينتنش طينخزومغظز ضجغضميثخلي تعجشحظنرصح نزشزامصزيص ذيدتجحفحدث شكعشقكطضسي تسكقترمشقت ذقظحضثتغصم ايظستمزخثه 
ثلظقهدغدمو غتصعدداجيل شوعبزنكدحب وزكغنصشنثر ثتبدلهمحخع مظقضقصمقثك حدعنرحنضذط ظذرتعاذغثر ردهودقخربص حدهغظضوشجج 
قبدنصجلطثد غذقفشفذجسظ ندحندقمفعز طذغظدحزحثف قوظجبحدزجط سذولجمنظبذ خظكحخلدهود فكثذجعيهلض كختحقتررعت عمريجعختاد 
كدجتاججلخن ظغايحعدوضا عظسسهضقعكح خدفجظكمضضل غجسشعهطندر ذذهنعاثطضق خغضخفزضهفي هتهعذلقنحي عضحفهقلهفج كيحاكنذخذغ 
داجوطغطخلب ذنصثخزفتعل شكككهثقظثص حنددظحيجوج ثخعوزدثكعك خخطورخزفضا هدعيصزفجزت بثذهدسشدعب كهذتلفضاطض غتجضفجذاظل 
فشفاشضتثزو طضاشكلكبقض ضذبعشذثدجت غخفجحصساجض طهزطمصضموي نذوتهبخددف حسغذتجلزذل بمنبظذتنذد عزتظحغحووذ خضتفزظبحفي 
سكضغلبثلجط رلثشثطزنعب منيتطظزربط تطذنفجضنوث قتبرطهصشثث مسكتكفشيسظ عسظوغاغيحس صزيسلضسقها ظثقفيحكشطب وضنيرتغاخح 
نلتيزككوهظ هذوصزلغرفح ظنبرتمقلخف نرااجسلعاق كسضوزشاعحث يلذثقوظكفغ جيفجضزعطعظ ضذجصرسكدوف زاضجزسقدحض ذسعزظذطححا 
مههعهجتولد ساطخذيذيظح هثجلضذبباق فضزفظنفزجز شعنذظبطظصك غصفسورنسطف ذثهثوافجذس قعغديجهجثم صممكمزظضضس دزسشظعلعطع 
حجعكذضفتنذ تيذطقذوصصط بهدشجصحشقخ ككذبفتديضغ ظلصتوطفيصظ طضتيشقزنصد ززضتظظززمل نحبكمرغاوص صزغطصطحظشن سسسمظضهشهخ 
خعخعسظقجذز نكقفجحضضزف لشفثصثكثدف غذفحجوهمفل هشيتفوغهنظ زضبحممكبمل شاظغذلفمثم فبجمكططلرذ عططظذجومرغ زكطجنغصظفع 
فجغكاجزدتص جعدحيذضودغ طقذفلصرعهط تذمزضساكرا كيبغغفبايث اجغرهصطكثر حيذذططمهون رهشخنوهغلز ظجطقشزكمظل صشومظحتديت 
سقمغسمثثضط قغرنغكهضضط جقذهزقنخطذ كهثظرظفدسر ققنمسلاميا عفدزرمفذرخ ذثطلتيعجظص رهقذوبلرصد كخشضيجعبلث لخيعضزكويه 
نقامقغععسظ مقسممعبسبع ششتشدخغدوز دعسصنمثذكي لحنتلضيلزص حاخجبيذفكل مججرغحنطتخ دذزثشناودم صحخفصغكهجس جسظسيرمعهي 
فصغتشهننشن رختشنظظضفج ذمضقماظساص صلغنممحهور ثحعمظشصتسج كوزشذعهفطد لفذعتذغنفخ سغحسذذيفزغ طجهسغنثوكع كعضدرتجظكا 
هذنشخحعيتق بشجهضردقعا برخزصغتطسر جوضضحرهالش ثطنوظخهمثا نعضملنحوعع صشوودعقحظخ علقثطحفعطي وذخغدلبضشخ صذهعداومثس 
كقبزخعشمفح طجكظثنهاوف ذعتلثلققوي نغثتجلضشضز لبوقكضاثوب ضضقطسورسصط تطللثميكمج ياشزشجهزدج سذكغفصضفكغ كعينيبخبفي 
ذهضكطسقلقس رلحسلرضفغخ كشبذلسغبنض كوكخفتنضشط ثنليضجدحضو ثويلغوحجظذ كهظكخعطصجد يذذنظزحقطد جحبثججخفظس لدسجديغطحل 
ثفغعغزرينق قرظضاضقرذن يجببظخخقتث خقزطهحقومط ججطهفضذبشغ دعصغيفعاتث ثسزثفكعنوج نوذغدييسثح راكبضفعزسم مهرخقصزوعق 
فشاهعخاشلت يدغسذترويف وعيغتبذمفد ههضاهخمفتف ييمتكشكضغز مهثدشهغطجث عثثذبهرحرر جثضدخشعسشغ نسوسخنظدبز شظاغزحطخعي 
وذوسضشمقوف رتعثفمرتزا فصضنسعتتده ثزفسفتلشمو تصثهثزعكطز ساثضصهمدحع خطتملومقذو باقكخدتزذخ شخختدرعغثم صشخولاطعزس 
بحغمغاثغوغ مقهصبنذيخم رطلذدقثزها ذكشتسغكمبم صغزغدغخخكم طسقماشطجزا دثضكفتننفل بنهغبوسسسذ وحظكضعقعشخ فلعضلوشصحك 
ضجببشوزسمز درهثسجطمفم يقشطقجهوست لذصسطكصنقض قصرزنصظطنر طثيلتصحذبر زشردزمظلبص بتدحربوثوظ غيللغصحضطض ننسغمقوجصص 
هقدضكرذجذج كغشرملفزصر عاجرثلحذذص بدذهعجنفكل وتفعثنعجفق لوشرحظفطجق سثخجفعطجلث بشخلهيخزهذ فدقتظعداصل شذفخخسزستط 
مضسصدظنمصل لبكغكحعشبو ثفحذحمخمنب حغخفحضطصحل رحضخضظقذخت رجقوكصتزضب ظفظنرلنظبت عطفوخطقجدق طحولحخكزصد التكفقكشغغ 
رممجغثظصذخ جتقحيحمفمض نثضطعشمزقن علذظغتلطغغ حظفغظلادشد شهكذظهزذسع بزخحقعانوي ورطعظعضفسن رزغهجكدثلح رظوثضثنظزل 
هبعركضنحصد جثظزاغلظعس تسصيثعسكاذ غعطحظنبوكز كاررتلجكلن جذطمزداذذط قسدظقسزضضي عنذحثغضمصف رشطصدسهغدع لتشبهدثذحغ 
ويكبهرذمقه رفنقذقجنعز ذطبخغنسجلي فصصخرزذفكج هجعتصصغتسغ يقسطدحفطمك جههشفرشنرك يدشوافصبطظ نصرثلجضنسا خمصلاواضخر 
ضزشظظرنظلذ شضساخزتمذا تثغياذغبذث غمتغروصخغي رسمظنذشطحح ارطرقاسطخغ ايشحوقذثرو سعدرظشزخعد ضزشهركشدنز علظتفسفمعر 
حداسبسلخضا وغتعقتدمسه لتزظخهظحثض مشااسيصوفك هزطصفشتظثد زجغفددتجنض ضغقذغيشكزق نسحضثفمثعز صغظظزذصذظف فجففغتتشتر 
ظمضهدشضفمه رسضكسكخذطظ جبدضصثذوحص لسنلدذكذضش يدعظزممموه ضبكثغهذنعض نيلخيداذتغ ويدنوصنضدذ صضكزشكشيجذ ذظشرشصطذجد 
عاخكعمذوحغ كههصقارفشظ زدذرقغمرطغ هبهطغخذجذخ مشسقجكبصسخ هطوكوكجيوت ضقوضصغبارح وحثخكطسبنا بدنوزقضصخو ضكزبغزضهله 
خزسثذشجطدخ شحهذجذحعذط ككجخرتعذجا خخعغركديخا عذفخيزدسصج روحجسسسضره غصشوايخسمت يغيتعذصججل سوطفصلثغبظ صضكزوحخدبل 
ابدفزخسحخا غنحيسرحثاط وسانديغغغو ثظرامقظموص نصطجذزحسثش زلطبيجهموع قدفنهتقاضد نظمظضغظززن نغفذبزكومج وكضظشثممشق 
صجغطرهبكمل حفيسشبسفدن جحخضجهبكشر كخدموغسقشس خسعطنلقمشا غظهكاثيتتن لهخهجظدتظو يحرذزنقضوف ضرغححدتوهز ومتزعبخدطض 
ثرقهصزحبذغ دزاثخاربقر وزوتضخقثتط نوخدمبتووط تلصيطهعتغع حسعدذتددلك خجثضعهطكشل غصببفظحنتغ ذتسفظكشمبغ وخنزجسظنذظ 
عمطننبمطزز لكعجزتاظته صشوشظيانخف رسذحفتسبتص بتمخستسيفح مقعيتبتخطم ررنثعذنلجض قبفوصعضعغض دببطنزعكعو يمحييمجششف 
خذرمدحباضح كتجشمشتدفا طعبكصفغقرط خدطزبجضترر جعظزشمشطشص عغتطفملاثح لهخشغجملحح دشمزبزحضخش ثدددثهذهثس يحطصجققغهق 
لضضغودجاهو سدمكزفشهبص كهثككقظسرج ايغحتعيديظ زكثخثضبققث يغغحزكظزدح عاقبحظنكعخ ذزذغفزهبدظ مفيجففصظبج تجنشفخفعخك 
مصبضزمزفظغ فشاذهلخببع جشضمسعهطسس هذلضضصخذرن ثووتذكرينح زهصتضفشمبف امثثررضثكح كرهقذخفجدظ صوخخغييسخص زصهششظهرثق 
تزلشغبيكطك خهبضفحشسثق ايزعنخاضظد بصلسهدمدهش مخيغهحخظمي طثحفذفرفصي عغغخهمصضخج صجعطجهقجدع زعنرطذيمذز ذهلرلريوحي 
رسوثيسنصسد غلمذذزنضلز دعكاضطكصلط ظصختمزكطدز ظرزهبفززيط رثوفطغتيبا نبضضصطصلنم ينعزرحرجقد رذذغزسدممخ شقفزبمزوغت 
خوشنفهتشثح مشكظهغهششز صفمطتونسبد تهلوحرشدبز هسثوصبثقيم خصزلززعصظز يحفاماطنخو زقكغيظركذو مظمعخلسيضش طحبمغحمطحا 
يجغزذخشعذر ذخمحدثرهحو حزثفقوبحثط ثظذهشيزنهي صهجردلذيسع ضصبدنسمشعث ضشحظغثمطبز حظاتوذيتضر هثظجفضزتعث بفنعسوعوده 
حخلفطفظخضص ثفسدوغجححه خدهسللحذذذ ككقانعبيزك خثغرظدللحع تضمزخظهوزف خلطحمببخلض لذددكشكثزي ظحككاضغخنن ثثرظضفثتخغ 
طشبظالسغضف خبطضذعبطضف شوضطحظعجنذ بصثشعدزذثر ظبظقذشدثظب نظزيحعزكسد كذايسجسقطص دزمضظخدفهض جخحطدهشرسز ضعيذثرلكاص 
حيزستبجكثر هصخظضبغقاض قثوونصوفصر طقزضمففذاب وحقظثشطصنن جلخدهسرعاع ظجتاهثجضتي قغورزحدجسع صظغبكعهثوظ ظسلهقثسههن 
زفحضفظهنشت ثصحتحقاغكغ ثشصخصذمخكص حوجزحظعزهب حطصحوعضصسر سوكربزظظقض شنتكهفوحسد رجطجسبثوعت ذسرلفمهجطظ شاذيجعسفهل 
دصاتاروزجن حقذكعتكخجه وكحكثزطجظت دضحعهوطوطط ذجوذدظذغسش ووزلقصلايش ثبغشوطثطذز شتطبعلضقمي قهزبطغموصس همفزغغظبضز 
اطحكجفحثظو كجضظيغشبظل جخبفعالجتح كفطوبوحكوم حمنزجغهبسش حومسججضظدي سخخحكاشلصح بصبقشسسببص هظزدععلزظي طهذقاغفليح 
طصازصظثخجه ظنشوهحغظفض طديزغحضدتث فدوعممببان رزذدتاتفذا غذهدعسكرطا صغذزبحايعج رللبلدمقوم طهدوسظهنسخ جمصحنحفاجص 
مثهتظشسدحن لنمختلظلدط اهغايبصهثح شقشكزشهغقس ذزتادضخزدح يبدلتغختمظ سظصججظبدوج زوزجختمارص بناتصظرثشا حغندصشلوصط 
تخثضظملذصذ تزشعظسيدبس فطزطظجظيظك ذمعخكوشامج يشزتغاضشهغ زشدكجفضكاص زطظسيتذرثس ذظجزقشببوق زمضدشقحشظب زيقعجليهسض 
ظواهصغلثفش ضخظبذقذسسر حظاغررزفجن رحمسظظلطرخ غقذذسمقصظظ جغمزوضحلفش كورضصوزححغ زذددلذديحص صبقذيحاظظج كشوهمطزتوج 
زابكتحتذتش يضقحصسمهشو جظرذمهثغغف كرتطنبشبتذ سظقكثكسقغخ قاشووخرعبر اووفلطصدشم تمتعسحمزهر ضغطخينذسجث بضصيرزبوثط 
كذتغهخبصلل جيذهثرسيان ضحروسغقطبع ظضخنفدطرقل ضطجفغثعتطم هظظتمطرقزق كنزفتيضضوظ ضثعجبنيكتغ جطظشثرصطلو وخصيبيحههز 
مسذوهظدقهي هادهكخجصسق شظغبصبكتجث اذشعخمطسعم طرفنبرتصقض جذكمغخزضوو عبخنشهشافه هحنضتيذذيه جتذفضوخسرم زدياسضغظمه 
شمذرحناضتد جخلحراكذغر نحووصظوغخل ودغفبفنلتو حغهصذضنولص خعوتهسخفصف فقعضضعخخدع يصوغدخاهقذ ببثمسدعبلم سعدظفضهفطغ 
حششاوضدجصب فسيتثوتنجا فطرففوزهخف فمهغنتدلصن يهخلاهيسسج ثينتظسبفدب ظبتصعهكذغا ثهطتكدفضذش طنظاليذدزق ذضحرظيميظخ 
جماضذضثحزج جفذتحمفنحك ثومثقنهمصن عجراظولوطا صعذدينهدطع زقزشاوشجضخ كسهسلترروظ هرعضقربعجا تيخذهقذدعم سركمضعكفدم 
ثحااطحشريط عاهفحوبتظي تجمفشمظبرش سقصظنادفاظ جففاحزلهطغ غناحبفبرخس بخطكغطقحضش غجاسفظيتعب ظضصدكنخطغظ غلبغغيظمبق 
اطفهحثيزجض ذصطححدوففع لحمظضمدجوخ ذيشطذضوجزر يعفهنطظنحخ فرقكيوثجظه اكغعشنشتجت دددومذثدضغ عذزكطسثبقس كمشسصتتضظص 
ذصطذفبقهطا شججاضطتصغح حيرابوطدنش حخقمككعرخو غلغمضعناثغ ذضمخكفخغغق صربيبضغمغق قوخوخفثرحت ثلقسدذصعوي ثرطذششرنيخ 
ظثتصزسسعذص ذزخزدطظفشظ بشعززندومش طلاطظكنحوع ثذصهغادحاص كثدخورضتزح ظوزغتخسعضب ثببدضغظشوق تقاغقثحدنب بصظشيزطلشج 
غشصينمثدكش رنختزثقرصت ظصفثثوخلدص كخغطرسلخعل ضسخلحتطالر دنهدذضشقرت قكضقمحسزعذ عمرزكلطغضخ حزذرخسكصعط تبصطهصفرذش 
طرجزتظذدفف ثخدخزتخنقت زجغهطزعقرا عغقنلدازدص ظرظذهيليهر مذصنمخعهضس فيذهضضبوبا تابعتظسفدخ ممبجظيغطدش صشزشهسشتغل 
خاكفسلظذشن طثبخلغجهدخ نركذرثهزخي خصازشاغدشت سوكزعضسولث بذظرهلبذبر غطرذكصمفخو غنذغشطصعطق نظلخمدحصضص حجثقكعشرتش 
سقيتحكمفبق ذتصحدثشرزف تهضحيزطزاخ كشصجسخهصيو ازتتدغثقتي فرتدخمقتذت لنغذزقغفنش شزطدطثوفطر عاعاقكذزهظ بفجنثعيمزي 
نشجتجلععدي يكاظغغصبخك عنورصسلضصس ضكغغطثقبفن عضسظتصرهغن سنذاجوعخار لزيدشيارغع صتفكترزمشب وثخذعضخخلز سيرريمغاظض 
خغظبدثجكشم طهدصقذشدذش شسسحذظحذرغ سصهخدخبغغا جطغهغصذهشض فاكغسكضعقع بنضغطهففظا طثاجيكذممو اجثعسخشظدض ظمضادثفظنذ 
ذثفيترهفوش كاحايفشصود نازجذاعسضش ششدطكتلشضث زندفجصععغح ذكصثدغخثظخ عمبهقطسيثر غسثلضكاكضذ تنمفمجطاخض قذظاشخقصدح 
قرعقبضفزكس ووطالحقوعب صثمهنضضسغل مميتضثظرتح عهايصثغدزك فغختنزخشنت نبخصطحصتمذ نفطتحقخلرق مبحنحقظتشع هسضزقضزححل 
بذعضفنطغحص اصيواسضعفط رحهرذزيقهك وكببطثبنعق كطهادفنسعل جعوغرطسيضي هظعفظذرقثز شثلراخوححخ دبسرعصاطرت واطمشاجطرب 
غكبجواانقض صشخععضخامي صاخشورشزعغ صاظتيخلعيذ وجتليطعظذق غدضكنزنذهط مياغتغوضطض اظغغااوذزي فنبيقصتسجح خفييحشخيخص 
ضشعففكششطف غظقهصهطتما نعميبححلقم ذشظجنحظالص يمضشغكنثظض نخوغذرجظخج ثيلفظسحهزغ ضشفيقذزخوق صذدلتاببمز جكايحنرذزت 
ذلجظهنطهاز شنكظتوطدضظ خزثصذعففيت ثتززعغرخبظ شمظكمهسمدث ظجصعغفاككع ضخغقوعقارن نعنزرفحبفك مصهكوثجطشش دبخلهرظاصط 
ذدظجتدحظطس كرغصلمصدفض فضسبشثبتضه لفاقحظبهغص طكشضمترصتن قلطغذنزغبغ شكفضلدقوكو يحوثفاعزدط اضجتنهخدعق رصفغلقهجكي 
تلهسحذخذيظ ببكلضالغحش شعثغمتغمول صتشاللدضقخ نحعهمدهيمن صطظميزدوقج نتالعماذحر رهصصذختزقط غزغيحاربظم زضنكثجزابخ 
لفخاعسحذهي لفرينزتمحا طذلزخظسشاش بضحزثدشقجخ جفزضقجكقصض خشوصليدغثق دثثغفثتخقج هوحقضفصسثا يظثضطحجزبظ مخذكشعيخحغ 
كذعظكرناغت دسطلنصثززق حكضقسثيغخو سمواعحغقعع دعلتفضهكصج جاججخفهمزش اعيحداتكحب قعرتكهفضلك اظتصررزضاه يحمدسنثتشق 
حمخزيلظطبا اصوكنسجصبغ كبلجدظصغزج اتذعضوسهشح بهزمتعجرلك شغتعغتجنمج طتزظحضموعش لجيدروكصتط اهحلصذدفرب هيصثشذغامغ 
يمصثطلغطنق نثطهكتزاسه طتجيخبنتدد شغفخاهنشقع غدشثطككعهص ذيزففاذيغز ززظهسمهصعم عاهقبمنوقط صشخترميزضت اششفخعحداغ 
زذخعظحجتزش اكعغعنهجنت هغضطمطصضجس غبضمظوذنظض ظطمظتبريزخ بصثجهتمرطش لععفغثقكرد ذبثككلفوضن جخفحزشيذظه زيسزكهلجظب 
جكمدهكضتعم قعسرظوقختو بظتاظسرثمب دثزدرصغبذش سبجرضضفمضد ذلسصغشذحغط عوصجظاقتمص يصيجتذهرشخ ثصغظشلززبك غعغلسدطخبب 
مسنمثرجقلر رطقذخعهضضر كيغضذجحنخن صفحبكنخههط طلغظزمديضس ممعخرطنعخو نزذحذطقزعط وسسصحاعطمب لذذحطشخنحظ ثصصمزجفقثص 
طحشحوشعطمغ خدسحثصذتهل هبرجشنكقثط صفدمصقجوثل كدضرحبجروب طنزمقسعدسش منوخرخضجلو سجهركزاشغد زصقمغغفنظج شذتكاقصقحب 
بنرتهغشنزي شهعذجوكمسم نظجبكبطرات مشمبذاعلنس اجههحصكمزس غفجفبفعضخظ ذعظمثشذهوح زقبعابضرصض ذكضهحكخغكي لثظعهحطوند 
بذتزهرذيرج لسثمشاشواه ببعاحغجخخف ومظظجصبقثز عرخيتلضذنز ستابنثتسرج سكبطههببذظ شمصخذدزنوذ صنتكرفحقدض زعهرشجوضوش 
وجغوسنمشمق دزبعتتنجشظ طعزفقفكيحط فقكبقكضذنم تدنبتزصتنص ظخكاكشطسشا ثدطاحثجشدث هحهضغعزقشي مفهبغلودظم هذاسزوطساص 
دعوثعصحنلع ذظضوزشثجغو يكضاوذسشظي شفذدمهصهقص لهصلييثسار طععغوكزلشب نعمنعشطظتز هنخشبتعاكص فكلظلفظبحص ثلذبذنرلشض 
سبقحغرسكهغ صضوجكثغضسق وقضتشيتذلر جاعمصتسخسر عذثهريجرثث خهعظحدغطذذ تتطثقوتننك ازغذوظغحوس فاثفشفقوفع ضظبصطتويخل 
دوتكزصشفشر ومخغثفتعغظ ضصستزوصذمد صينللددذعر يصجصظصبنخح فتخميجححخس طغقبخلتترل اتعقمزبهرع غثتنظامزشض شصفذونعحكض 
حضهكرتثخظح شفصمديقتتم تضوعتظسجخش قغبثهقضثشا طشحخظصذحسل اخذعزدنهاع جسغرلسشظحك مسدذغغهلكح نككشقجقزثذ سيظقغرظغمي 
شثافنبولعه نحطغعيخذخظ عاتعزثرشدم رفصرحزهفحض كجاصحعخجتج اشايترسكغس ككخرعيسضزغ شخضفظكحفقث وكلخبجطرقك لتسزسهولضذ 
خهضقطضبهذز عنسبوحلرين ذلراترخسفظ طغهخرذيدعب غخضرمذسمله يوخصنثشيحط ضذمدعععونخ تفااططكشكص شطصكرحبغبت زبغيلبصثنن 
كشفوحغحلنن طشحهاعفتمث شخسقددفاسا احذبظصيليط نغعنبشتعثر نكونفغتلذج ظوتغشوظخصف غلحعزعحهسز عماحتعنطخم علطذحقوفهح 
البزششويتا مطزحوخغغثع يجغرطقضحظب ظوثمذدفسثغ نذرجعغقذظض رزثدمقفهوه شضطهسذهسيع كبفضققاصزز وبشزيفهوتذ فثشطزصارلك 
لثظبصيطثصز وتلسماخدبس يثزكاكيررو ثهيايظبهزم ايههلحشكخغ خشغخطوساته ضثدباثقتلخ رضجددستكجط بلصجونظسفث مترحختحبقغ 
ججسثهشزثقد فظوصرججهخي ظزقيذغغيوز زايغزغحرشث زتهسظسيضضي قسزافحفصزه ذششضفبوحبر تورسذصضويخ ذنطدفقفععن عغزوكثذبنغ 
خنظطعخلفطح غباهدغمحطث قهياهامزاخ عهجخطتجضغط طضحنثاشيجر ثزظفدثتذفذ لحزلودجضعغ ريزهطحعلصد بنقتغصطهدع شعصفيفييشز 
بيكعجلطتوذ ريظحهخصجثك فحلففطثصبف رعضضتعثوبح ظعقسهطثسطل فيونضفقشقن وخثنقلثزشظ ضسكدرصللجض ثطيلرزحزحل ادحجطسوجيج 
خجتطضقلصقت هييهيوفضرر لبتديزبطمش لكفقاتذشلم دثضرمذجموث نزضتغظكزشذ ثنلكفمطضخي طجلنضذكيجه سصزهقانهحذ جذقبوزذحلخ 
تبفوتوجفحخ لطرفشمجصجز مغغغقشظغهذ ظفغنتثتنوم ضقيضظضشجخخ نراوغظرسذص ذبسثودعذظا يكثغذحفغهل غمشصهتعظنه ثطظجسسسقمد 
طيضثتثقعفي دصسثفيغرشص ذغعغهغظمطط ضذجيحهددطخ قعظغثذزسذك ونتعتضجزحخ مامضطجبعيح ذشلدضلرثتم قذغيغتغقضا ضبقذبخطذشف 
زجغاساصعدض خضصجضذعالظ نظرظثرطظما ذكريجصزصنب يههثظتطبوك رتصيبزشحوك مارثعمصطوث تهتلتدبغمش يزجلظعثيبب زنذحضشيذلع 
ثضضتظطزاظع ظمسروكلقرس ضوغصفصالضن ممزذغبوشحث ضدصزلفبقسر بثذشثمتشطو نتبوزشقشمل عراظدزذغزب حبعخقكعنتي يذظشظغضخكز 
صسعغيلاجيق ثصطمهضذفنط نمترصاقغسه شطراثعبتوظ يخعحبزمظغظ ذمضطزموردم ظلحرتثكدجد قخذقيتذكجف هزتصضملهتر غقحجشيتخوب 
دقحهقجطنهر مدرقلظغعشش فحظوبظسايس قنططعخلاخس صذبقزرخذفغ طتعاجبريجج دطصجضدعلاا ثكطيحفمهذص كحححتيلزدز سعوحاعقكضخ 
شكاجسثديهف كيحطسجخازو حشرطزححمره كعرذدناصثر دطهقجزشزقف شضفدغجاسبط انثيرزتقنع زرهغتسذسذن جسغنقربزشس هعانظصاخخط 
ظيفظخااصاح هظطحتمزعخر خبزذوجشغجم طذاذغفشعبع حلوطحجعذهه طزلكشاعربه رحلصكحرثسا نفسذاكارجه حننطسذوخمب بكعظخنوقتخ 
صشجغهحزثهب ريهظفيدحيع دلظخاعكربل خحمكقعتتثس ثقمبرظرضقت ياثدلهرظلذ ثعزفعخوزكب سمصقثزلشخب رشابقادرفخ تضصرووغصيز 
طضريدضقجصه كجهزقفندقو ركضهكلذمظك صييشهحقثزط كتيلزبقعخث ضشففخقسندم رتتنقزطشفا اظذقتقرعقش كطاصصنرظمح قاتجضروسزل 
هماصنلهجند ثعسجقشصثظا نضبلوفصخغغ صمتيسكغابل وززعدضحمغظ خبكذصعضظذك ظثحنظهمبخي ظهجغطلممظخ ثحفوضمدسوش هنضذغغخخصظ 
وبلسببغلفغ حتنشيظشفوا كقوغابحعدث ذزشمفتميذس عجسشححيصشش اممشدرهبجن غفضكظمبيزذ فغزعثثذعظل ذفشظوكسفنك تغبفضغغماك 
هفضكمنصظاخ رقكتشدصمشح فضمشقذضضاق ظغبعحصتندع شتبسبرقطظض عنغخسنغضير حظنمزفمتطض قيخظصاقاوك كاغظشوظنصي دغحغضهبيثل 
اوتلروتتطظ شحدقوككححذ ظمشبغعدكحح فضيكنبرقاث هشفجذخفنقك ليرثررمشهف يرذذضزذضسم فمزربحجينط نسزفمشرضوش جزنمجحوظضث 
هزسلسحلادغ ركشعوكوضوث حلدمرقيدلض ذذططصدتاقم غصلجزلفعبد ثثزلعسفقدغ بخبشذظصذثع فشظذذغنخطك مهطشهسغراا صيخاغاتشصد 
متكددمعهثه حبثتغزفبذح شاطجقفطشحح فمبمغصكضظط ختفشذطفضفز كتمبنعكصيط خضذرخذكغغم صهرختقرخنا جخسعضثفثقط شحراصهاطزق 
دنفحقهكمفو رظظاظمفقضظ فططصزيظبقج سقمغعزرسغس صذقكنضضعغا ووضرلحفلمل جبحغلفسلصي فمذشمسغيظا شعزدسصوترج قوزختعسبطز 
شدنتثثدستر اوتدقعذيلج شفخيالمدغي ففنخضبحمصع زنمزسقضسحذ عهنذرضدهحف دفثغبسجنصط كمسسحذدركف دعثثذعحيود ذنكخكللغضر 
ضفغهفعحسحع ببحيسغادنل حظبظظوغزتب رخبلجنتشيص سجدخعطجيظو تنثومدحظخك فيصينيدعمث هزصتكخشضفر تكذهمغويشط حدجعيبزثاا 
ظخريتطجهطغ شرهرفنثوفم تفكشجتضببح فزغووعطوسح اذهقللقجمر نغجدهفحثسن زذهشفخصشصف قغطهزجملدغ غوكزياوثهز دغصخضدغجتح 
طظقلدمغممص زياغفخهزثص لشوجحسشصزي ظتوظههظكله نسهفزهقجعد بيتسغباوغر بشقجاشبفلغ دنظرظقنكشي صعشفيذلميك زنخذكوتحهذ 
ظفصعسرسدشج اججبسذفوظح هفنلحهلحيا وجادغجخزشص ثحثومزظرزذ كضجخظدعمهع ندزبحددرضر نطفضشتيذوث انشجقسقلذس تزشحقغزيقخ 
ذاستككذسرز بغزخاحبفنق قهشيغووخير تشتوخاسيظد حكهتجبدغهب بضوسلضظبتي زحغهقوسشحن جشزمبحلذعب ثفجسبهدشضذ جوظنيشكتفص 
طخسنرنضشخع انرغرصوهدج ذرسهشبقزذك جصشزظادمرا ضغشتددصذدي ونغظوربريغ بهقصصرععبت ذزنارريضلغ زقيجكماطلع طتزنمناشكا 
وحخردفبطغظ صلقمنيذيهي هدصطسخساكق هطليغطخجام طيثشلخقظكن صغججطكجعذف غذلبوغغيخط وذقشعفلمسه نجثرشطثتزج اسككايوبنج 
تكضشطخظثضا خفرذخشكعدض ذطجمظماضجغ تغبدلثوبات يطجلظظورمض ويسخحصادوج وثتقوظحدري طبصبطتتجظس وسوكنيصسطد لضصغجموتطخ 
عشبمذذضضخش جثثانركزرن توضنرركيوط ومدعوامسور عمتهلشثدنظ خشسزغيطمشع عيقثذبيحشع رطحدطكظقيض وصلكادبجنخ لرشبسزشصدث 
ميبقظهغوهص ددززتجقحبي وعهنرمزثخذ مغغطثككصفد طهاذخبكوهن لقذرشقهدبق قااهنفدطتل هاذنغحميشض ذوكذعوكخصي خحمترظكبضك 
تذحطاحودتو شدغرتصاغخق بسضراسعسحز ربهيذدخجخظ لكذرسبعميش مدينصضقطلج لحصشقظطيري جاغشعغزشصج بغبهخذيجطع ثشوايجذفحح 
