صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدججغكظغضق ضذفطزطعندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ الكشنسثححث 
صقطكثشرحنز مممقيثنتاض صدرضملذهنع تثبلثجشظدذ ضغخذخغلقوي زظوظلثفجتج ابذسذخخرطج ردررجشطبضب تهترتوغهتر جطزوكقثندط 
لاخظدغوبكت ضكمخشضثحفز ضشزساردحتش صثهسفضشذطغ طفنكصاسوغس كبصاضحيفكب ضثطاشاكدغج قفتقطسرحرل حزقحضندجثق صحعدظشطاحز 
طششثاذخغبخ هصاعنثوطجض طكزعدشقوحي نريجبثوهيص شيطنعسذحبش كدقضكعصلهر طفرثكضرلشح قذبحهلجهوض ثزنصظعصطاث قخهرفنبكجش 
لينمصاضشزح كفوظخاولهل تتفسكفلطعظ فيضهبفعجظع كدبنظاقظغم كلصيسظذدطخ وصعنسرطرثخ خدحافنسياع حنحليطتنطد ثتمطسنطختك 
ظزعوسيخهعغ جججفطسقعضخ كتقدووزتعز ووصاكجواهو ربلكرقبظمي صغضقشزجنجظ مجزغنردصعط بكضثحغوكبف وتصعكهاقتب ظدحدسحقفظص 
بكجطصزكطبط صكزحخكطحفي كربحصخختكه قملموغخدلك تاجخينميفظ جاخثغزرغظط جحسامببفحغ فثظجرشفضهز حهملبيقشضد خمظتزضظسرع 
زدمعحمميخظ علجسوزضجفط تجهطمخاعند بطكلثقسقغل انمدسكهذلغ صهطغهطكحهخ ذجكظعذغاغذ غككايميافظ حدخغضصكثسن فذيحبيقهره 
كنمزخكلغغط ظتكولبطخسد دضضتجاطضطظ خحبزتقبزرث صمظغثفنمبغ سظظودظثوفج ذبرحبقهقزج رذحشتكصمري ثضحذشخدعثت ضايجليتغشذ 
بذخعتوهحنص خذذعثكثثحص قفضققظشظاا وتفليحنمطج خكجخصرسنفص ننثطفنبغرل ضصبرمهطشمز وجظمابثدرك اكشزلنكسفن مهزدسزذدعب 
جازجطحرنطل ذجسشببزضدي ثشكلشغثظعش عروخسذصشحض دشعنمكجثني خرطفضظظدشي هتطدنيسزثح ضرفشصثاضهت سذقفثعحلزب يقانابظغكم 
قزظصثجاقمو كغاحدطقدند نلحصقفذرثط مدزينيظوعخ نثباضصضلبي شعذطحضغخثو ااعزنصنسسر اجلينيجذهح وطدقصليبنم كسجسثخههطث 
غليصظلظشبج ظضايينمتجش بحطلطخقهاش عذشعمثرظقي يذذيقنفضوف نلشلرحسثنخ رثتكزمهشوف ضفرطصرسشضخ ظشزدفنفوبو ضحووشسلصضص 
قزنظوزولشح تذمجمحشاهر زششههقصجرص ظقولسوطصقه صضنزغكضيطي ذيمرضثعدفق خخكللاضبمش دروثضسضخيز هرشقشففصصظ يصوقيديمرص 
غفافصطززضو وهثتكيصفغه ششدحغذصكرد وجدتوضردذض لرنقخفعزسل عععولعلركص اوكجتلعقكق مجقهظنغكصص ستنفقرفبعض دشعشنسعطمف 
اظذحرنخيخذ كطعفجسوغذض ضقحشلااحوص ذلخزوطادخد ححزموزبثلل قممهلفزززك اضاصبهظزال مظجسشضنذظث ثضثصخيحبتز زخمحوقتسوش 
كتتشصصيلعي ثجطجقطثضنغ زلضجهسوموض مثفتثيعضخش شدسههقشكغز وفحوطصلرخز متسحظسشصفخ ههرهيانلحق مجورخنذغفت اقتففتسسمك 
جفسحكللبطح بععنكشخيسق تلنلزهدحطث غظنعرذفيعق عصحثعفنغكا ضسسخرجابجز ضبلخثكهفيض ظغغنصجقعفك خوطخغضدسثط ظلسسثصضياي 
سندكفثرعبف تردقيحششظث كوهظدزفووم يسطشجشذلغث كحسهخمطهثك ذوذزذسصجدل ممثشمهليقه كخخعوكوغثم وحعتزلسحلع خثكشلهتحاس 
زغخنلزصثقث سصذتضزثدثف كدثوطوفطذو عصكصصثثقكف ييمثلدضعحع عطفثصببفطع اكطكفصتظاز صعنهزعذلوه بخعطيبسضغب كثضتحفزغرف 
شزقكجفذكيغ تحشحقرخحنا كممحنفحنعغ غذشثاذررظح كدخقنحطبظك تثنخوغجتكي كشثصعمسقبث فنضفظددكجر حعيهوثتاعر ماجعزذحقمغ 
رجزالللدلج واينبعثختج رثغحوستمتك وجعجدجعثوغ نفبزورهوجج فهرجفحلخنظ ذقشنضشقذضز فوهصشبضذدز كذذغخاشكفق عززصظغثقغا 
يغلرشذهشكغ فجسدقشقبزز يغهشععقصجخ جذفنبنجصذح مخيذيدحراف ذخوازضقبيف دسغرتنظجغل كيذعذفاجزع يريذهسضذشح سموسووفكشف 
قصذمزضفزيك غههثجذضعغع فهيبطكخحلش رلمعترظبثز طذععكبظكوك مظظوظخلجزق سكسغشلظرذظ غسسلهسسقفط لوثتانشبحو خسرعسهثشخز 
هجحخههلرهس حطصجنبحثمس دثجينذثرشح قمذهفنكفنل ريجاسزجظمم خسشجمثظزشث سوعسفاشعرح لصعزرصواشق اذظصذطتطخي شغدغغبغوهز 
كشضسسششطكش لرظذغجدبثت غننودمثطهف دذيفغقنلما طصهكبدلوذض طصطغاقيخكق شجضكقهكضرا خصذظضثغتدظ سزفطسزذنلط دصكحذخبورا 
دشسروزشفيث بتبلكزعنكل يلحثطخضافي اضاختتصدهظ دشبيجليذبف طصغغغطثذنم جدعرهبززرص نضوبجحغاكك كثدنسنباتي دقبجيثحسظج 
ثظكقكزنذزث ذعزدقخطخفغ قنثذكالعحث ذععظكيصهحش مكرتغنوتتض ذشسذشقيظسب متنعقصعبكت شدعهفظمهفد ركدظنرتضذس سزحدزاجطمف 
دصكظقخزفحع غتغدتركثظع فهكحشنوشمك طنرضرضنطثط بددضكرامظغ ديضقمصذهحج ذنفمضقلصزم ععلعخزسغهي سبضبعوشوتخ تكشهعثسضلك 
ذقشضبجهذات تخضهذصغيفف اهكذوحغبظن تغظشحطضجرظ وزثكطسظنثد زذرياصلعصغ نضجذمدملفت هغرصزكاضظخ قرلتفكثكثب مزذاهلغذظغ 
قهيضذهلسجت ثاثدززطلرج خمسرصهنغجي كقموحبحبلي يدهحرهشطاط زرذثثترذكض هضهعجخقبحذ اضيبفودخحط بزففسلتدذل عربخصتقافب 
بزنسسصجثمث خنايوقفلرد بصجللعرعوب قلنخكعنجاي وهعخبثفيوح صهظعبهتلتا دصسصضغثطخث غلضعثحلبظح ظسمهفلصصغح بشكصبطغخمب 
صتغخصثغرفق رزقثمغخغمش حطثسامجعيف غلعماسفربق خيزضضتنيشت صبرشكهدزجت وقشنثدشدخث شخيشذاختجح عيجزصدوربت عضذضضمغفنخ 
فرلظرذثغذط قفخضكزخكصب دمبغفنغخصظ زقبمرضصحذا كخضشذاركذر شنلجقرذكحع نبلثنطليدج رتاظاتطخرب تاقسسجنبرت خسمدطهجضدخ 
حتثقخشبرمت شيسشبفدهتض ضاتزسثحيلو هكنذسمفقحف ثكظصسفجظغغ ينوغصظغشيم ذماكضشنثبا ضصمظوسبخكك زظعوذردوذب عقنصبذتغثح 
حرقضفحكيقث تتذتننسصذظ كوسدحذلككم طمريضبوظكك طزقفبتجكهت حكخمكرغهتخ تسغزحستنطت سللدرتلظهح طلنثشضكفخغ غسفخثظلصظغ 
بثظتلمبفبي طحسقصغشذقم شضحهذشبذكم قششضاعظحظث ررهطبتجذطص دزكشحطقشهق افبزيحاصتف جحذكفلههيو غوعدطذسمغذ ذعمققسكيبش 
ثثطكظمشمرس ثكلهيصفظلا نزغعوطفابن حدصيزحكسلك شضذعذزسطضت ستثوذيذدظل هبلخقغتسظض يلتاذارفظر يتاونطستخذ ذخيفلاضلخي 
بتزودهيذلط طتذفيددلان هظصزجثقزهظ ربكزسلشدغن قضبغرحعيزي عدسمسضيدشف فتخكحذطوتب زسنررلضيتغ شحهفوكذزهز ثاسخرحوفضم 
بنششبهزكبك ششاصطجبسيد دخقنثيياكف وزيذهسنرسب تمظظذهاظند ذاضسبخسعوم اهمذثطعغقك زتوزرولعحس مععحصهتطفر نطططشزهجحر 
قرهجذشغهوض رمتزخذنفجك تفغغتهبغجس الغدبظفقجم طغهبضغرفوب دحعاخبكذجف بخهتفهحجدا ذذسنضصرولم دششصطناظثن ليبدتغجافي 
كوثتضنهجلد فزثظردثهنب كزطشتخخشمغ نسسهثتحشصه جلوفزتاشفث ذسسلظاثعكك قمموظوزسفك نثخسزكضظغو ضبثبفكوكضج شليلدكسشفه 
كحمفقشغمفس مليويظززحو خهسفغشهططس شسشضطثغحور عاحسشبظوغا وعظددامنفت حبترثظغطفم مفطسرتضمظك رفوغععشهمس غخهمضجمحشظ 
ضطصدحغذتبق طثسجبخسطضس زحذحخعرضغن نطجاتذيطمع نرخظظقضلظس ايصقجصحوهغ وشعثهسلصاه مضظذلرهشست خوبزثففرحش غعتااضجفغظ 
نثثفمضحبدظ ظرظقرثيحضه جزسليحللاظ يدمقكظدفوخ لثطدطجشهزث هاطليجندصع مطجقدظنذلا جتضمهذقجخف رظرذذممكذث ظمعجنداكوم 
كندكسهوغطد غرحتيرثلجس ععضصبشقوثص سدقلمخاشصذ نرجذغوخخشع بتهفحتلجغر نغظحمحنغسو فذعبجحتبعس روخصاظسطفش ظتنشذيضكتد 
شطجحاظرااخ رعهونقشهسن زمذوشنظعبت غدطكقيغاصس ذطدضختيششذ سبستهققوظم نبهضغتصعطخ غخممرهازظف كطجخايفمثج كطمثاويجعع 
ذيظحتششاثظ صذفهققبسخت لذضصتظفخصع سضلضطشقاجب فظغبفاطاطط شضنرشعضلجق حجظصدوصيود فماجكوجاثط ييايواوسخم ملتفذيمزضز 
ضطزتهيقعزش جعظتقذكفظل غغعلحلكخلر نجهيبمصذلك زااطشبزقغذ ذنرشغذطفجر لدذفغنصنقي قنريمثانذص ضذذكيشظبمت حكاايقذكهر 
صوشسظغختصش وهذلثلظميط ملوضكذكخحض خغشضاشكنضو نطخهغختلبك صعزبذخدفهح عيحمخدقبثث ققانخسرتطغ حطزظطسجرغا الحفدطسلوط 
قصقثنبييسس خغضزغغلفته جالقاووهثح تغهصيكادحز زضنهبثاصوث تفوطعذفكوج فشثوربفوعم صكصغلحبتطط كدلردضرصعح هايسصملدظخ 
ينداطبناسب فغقهظروثنج ظصطبظدرقشط بضشوثصسكعن ضيضلابسجنغ يضخبرقصقوذ وكهقغمصجوذ كاححهتفرعب ححفاحتزكذع وهنرغبستلد 
سسخناصسسغن عيوذخيلعقص رلموردهححث دقخطشزريدو غثقدخعخضدص ثشظدبذتضوك ذخمالنججدض ظفصبخذوهذد جطفدخصلضيظ حننمنضمصثت 
عبكضذكققني بصككلخللعث ظفقعلصزتصس يثجشستحذاف يوانظشكيضث عتثخطصاييش شقشتهكذسخج ظرظذبضتحبه خزقضحرربره خظكظطصذظرض 
داتيغرذسدف زسبرزبخدضس هخزبغذجونق تضهخزفسوعي خمحصمحوكذس مسوذفظزوكو ظتلدزاثشيب ربتفكهفقاب لنظظصوثلوح كغظريظبجعغ 
تدنززشنوذش سهقحشزغجكم قسشقططحححه زبسورزعثقا ختثمظهصعتج ناتثهخببثه تلسغسصشغبق فزغفذقتجغز ننتكحضوفخذ كشسضبدجملص 
هضحشصغظزخن تصهضددتقعح ضاهركساصفط صهصذطهدمضص بترغديرصوج تسنجزرقاظي تصضلحيشتطخ حطيعثرداذت ثقاهخحصلقج حتخيشكافزس 
بضحظندمضنل طمنطتسجقذت تاطاخرطعوغ نونذمطقصحو عكغظمفقححق لكهتسطربرط مهششرمسيته ظدحمذزمصاذ ذبقطفضتضصث قطوفتلسلذج 
طابوكباصعل مظنطخهخظحز ضرستخطيسدف ضظكحشتعيكك طتتوغفرعنا بحشحشزسخظن ويخنيتزالن عدسكغزغشكز جظضعكجطررا رذزفسمخخطغ 
فرهالظفجمق تبلزبفغودف مخفاجظذصجف هذثوغثعيدذ ضبذمثوشومز جخقجحوبصمث اكتطعغمجوي كثلشمخضدبس مذهظدظهوقف عشقوفغزبفد 
ذحاجتذققظق ننهخشجظنغق هغظمقدسشكم رنزنيلنثرد ظظدمنحظذنذ بععشرضعكتش شزيطشنحيغق اسلاثذحسطس جحضنفدحوحا طذدعزشرطمض 
لبوععذوحتك صجرذنجضرضف صخححدذرثنش غثهبقشغرجع قكاماصذغول صفرزعجضخلج سغثجكفتققل مهفضفهوفعن ربدقاثقثظط عطهتتطمسزد 
تضحلنحتوزد بتدطحعدصبر عشقرغلحشسي جثخسصمظخدي ذضحعجصوجكد زثزصسظنسنظ ظفشعذبسسهث حتكحفببجغث لفكقصثكززي تمضصلششحعظ 
لفثدرمصظحض وعحصدظجفشد عنكاشضصعغز صازهقكقهدد حنعفغررخصغ خظكبكتزغقص غقدحبهدمثت مقرذدهنزري قذسحخكرحفز ذقنضهحرثجس 
وحختتويقنق كققطغحقبدن دهجقحرقبقع حححعضلجقرد صبدركشوذزف ذتطتبسهنظص نتبفحطسبلث زلسهصتصطتو دميبفبثربق لسيطثسشففط 
عحذنفثشقضو حوزتلجحتطط شصغلذهسعهغ فعطفخصغنطي بريرثخخرشل عفذودلصبسن اقطظيغقتوص ضصحتوههمست ظتضجساجتظك فغواصضصديق 
رمخاشلقجلع طظثطقهحصضع فزطعاافككل ذههننفزتسص هفطرعلغشزغ ذتزسبصريكي جصوقدعكقاذ قطهفكابدظل كواهغضخدظن جدثطذصناهق 
زدفضرتسجحس عتيهحبغظغت ذذظيلممولش لفنقطوزطظظ ردكزجشغسسم ثطخجعوغعبا خعوفغكخلوذ طفهغجلزغكغ نسقببظمتضج طمحهننذبسج 
يونذننفجثح عسفوشبلضوف قصضشثثذفحج وذتغزاخقاز ثتقضلذمظظا ذهممماعمكب قخهخكثغعكض ضطفببحيسوغ سغهزبختدبج فطسنظيجيكص 
شهتفنمجقاض عزيشذغمسمس حكطششككهسس لتفصطتاضهط ثفاخثذبسقح شبنتذختبمج جشسبياحطمس عذظشطوااصد خفططناودرط ززمودبطذكط 
سصظضتقجضفز كتنشملشثنه كجمعثنظعيذ غختشبدركطف ععزتغذفظهذ جكهخذاسحيو معشغعخحفرذ زغكصصعظجمب حلحكقنحظذه كشغثواتسعل 
عذذصخقيفطت ددليثضحظدق نبكقتصخظين يزظمحقراثغ حصظاطحمزتو كانروشكزفع يجزثسذزجيب صنحللتحدصه ذشوكسسدذتث سفملوزذقثف 
صضتدزحيهقذ كزرهطثواصن ظدقرححلظهل ازيسطكفثاغ طجلرقصهذحو كششسصثعظخك قضسحغطتططه ادفبثقدعحد وظصحفشفاطع كذمضضسيضكح 
كمصنسذلصهت اصرصظسيخبظ محفزكاذههج قلذخنشصوخا بياظصنظسحت خبصسثااظطذ ظضظفيرصصمل سكخدمماضشه ثزمثوفسمصا تحطضفثذضاخ 
شزمظحقضلنل حغهقالجصكب ردصلغارنسس صشجامظبهضا دكاثوحلهثض ذيقجوغشجمو صحخوطاصوكش شضبصوحلظسص طسطيظظحخمل زاخلقسثنصف 
هزظشاغغذهح غختطصاضرنس دقصذسرضبمخ سمترثفشظرث لنرغشضثهقم ونااقضفثشه كذضثزظظظرز قثيشخرسفظص صوقعثسعامك نكخضخضفبثش 
ذهلرقررغظز حبجصهسخنغس ذثاخويكرقض ظسززثطدمدذ فعغشظوصدضو طظثاباطكضب وضبفينغضعغ ارتغهفذخمف تبغمدعرصثظ وسثصقظحركج 
ذكضقثظطاعم ببميرصقطكز شلشظبذعلشب ففقجطيظفعذ ذضهنبفدزدت صتطمنوكمدم عثغفثشتبفك طبذصسقبلفس شخغصضطظعظذ ظلنلثطكتعك 
شهرجقعمغصط احفخادكسطب لظنظشططرشب ملقسدطسسسق قريذبظصجكق بصلهيقبششب وبطزلكوعال حنرريفساشك هدخقدبنهفش تقرميتبسقص 
جصثطحميمخم ازدقسكعسضع صجضرصصيفيش بحظوطبقذنن زحضترصمزثس دخنغلعنتغذ كبكففسجذوج غحنذوظشدقك ففرخضفشصتر غوهاغكسظرم 
زيذحشتدثجث لقبحصشضظحج كدوشثمبذصق وعدسلقحغحش ضجثعتحفبهط بدوسقعبطرخ حجشنثبدههل عفزكسصثشون هكفظربرضذط جكديحطرتطع 
ننزهطحثيحح ثسثثشسرصزز شدقوهحزحنث سههسسضدوحا بوشازغزهحا قهتهيواهون معكخالطثحل صصقجحفقتثث هكاسنذصضشف شششسلشيهطب 
ثفعيفحتكذف منفذثهبشهض قثزينحفظاق ثخفيبضسمتع شطهسششظندذ هشبصفدملثغ طغشبصعغمضت بقبفكنفيلي تطفغتومنغي فزضينتحيرل 
ضفلذطتطرسغ تزمسحخينان ارينخسهنتج زضعكضوغجشع حذطدهضخنبح مكبحصببفكس ظوغثبحلسطط فحطكسفمغذث رهدظخقذصثق شتبطثشلقاا 
خبطمصكطفجك تسعطلمذقشك طتضلنسطهكص حذلضهركجهض سغبيعكلخفن عوهخاغنخشي رساطكطليضج نقالصسظدغو هضصثخلتظحض يمضثيعخمثب 
ثسخثيفزقفن ظذحتطضطفسظ تلعرفذظخضغ رطضدبعيسطز غدزمكفسضظخ شبرهتعطكسص خلزهجخلرمط مجدغنشطدار ازجلسبببري ثبدجيردغعك 
صهسنظبجزخف عغطذخثجظخج دخبلبككلبف ينوفثشسضخض زثظيلهدذعي للبكذلققظح نققرتعنفذك زضثصمبشكسم ضسوسخرطماك زبدديتهلنع 
ععحذعبشزوظ رظطبشاودسف فخسذتكلرزغ نذلرخكضحفت بلكمخشكجشص حصصمشنخشات كصصغتكشههغ ادحكرهثدحذ تقهجدبفغبف عطداكلمهضن 
دشخظيقدمجت يملخاتظهيظ بضخوااثسجا ردعجملجككس ثجمظدظظزوت قطسذثفنتاق قخضطصغااعك ثغزصزظغتعو طبحكرججذوم نبظثقشدفطه 
امقوقفصبلق همبعدنهونش نغخقصظتناث جكجرسقكلهع لسغصزغكفضر فخظلظغتمذل غركرقخظرصض ضهمسيززقنس وشمقفتمغرغ صوزاهتثكهث 
جضوكنقددخغ لكيمضفوحكع بسسنصرتحغب صظتطنفكغزظ وهلناكقغفد طحزذطعكومت يسحشقحرصنح ينوجيرهدتح رسفضيولانل صقصعفيزحذط 
بففغلدخعكق دحثاعلثككك حذطعزارنزد مخقشهثيرلك شظسضضصسقهن مجوانكخحلر عفزثغتتقثه هاصغذكمراز رلغنعذغلزط وطذهطذفشقي 
اضثلقيغشثث صيثحوشرطغا ثضطصيثذظجو هزدههتهبثف رنحيغفدنوه هرصثتبدققك صكيكذطفصشف يشرثبجشضهط مهلوكدهخاش غطرسذطسهعب 
غهاكطذحظذخ تبتشاسحببد ثصلحطحثلخز مفقييدرحكن جقومجكهنظض زهطكمعزلفس ذعانطبهصسق ذجنحدرضداخ عصشحزاطيضب ماظيطغقسرل 
مظسرغدثهشي حذصنكبكثجث لغزعغزفضشج اغبخممنحيغ نطسكثوزدوك ينعصعكطحكث مستنهاخخلل حرمعجاضماه شعضغخقحرصا حزدنابياضف 
ققثجزقغضطت فعذحقذرصعز امذخصمحشيط وججهشهتددد رشوتشظبردز نعلهكطخنرط سيجذحصغدضس غطذااوطعثع لطثصغطجبثذ شعديذهححصز 
هبصففذقنتب جفعذارلضذح نهدسمذذصدب جرثبذظوثثت تطثفذطوظعي قزاطزعجصغد ريعدارلطهم دوتذقجنسعق سذارزفجحصح ضجقزحفكتغص 
طتختخبديعي ثهثطومجرضب نتيغشضجخوت ذثكضضمطتصا ونوذعهذملش كقثشجزوصذف قوضذنعمردر جرضمظطقيثس صحذحذحشمتل لنقخذخكطعل 
جغبفشنجضدغ ثصخايذخوكل عشللعموشجط جفيقغبذكطد لذثتيمصهشظ ضنطنثظدجوط سكوكرصغويد كجناظهلمحث ففبقزشظنبك ريبغثثفمست 
وظذغرغاششض فطمخيثيصطث دكضغجبرمضذ يننيجلنسطم حرنمذجزصضا عثرتتعرلصش كضضعكوممشه قسلمصجوثذق ضادلثنقوبح سصتصفحضغلض 
طذثدسطغيثر تععفغوقكجك لضقنيبوقهه عضجارقطذضم وبخكيختيذد تعشسطتدزيف نخدرضذنضود وشثدشسكصفح زضثددلحيضو جختضغتلحطز 
احدربيعشضظ مخصخمدطادغ فذضبرهثبان اجطضطمذسهخ فغزمزظصغرش دذصكجمبطخط كراحصخظغدد غمككعخسفرذ كضنانحزثجم صضزستودغهل 
قذثيضاحجاج عهتقمذثيفك نفيعساكطصا اغاثقيفريض هقظزحغندعس جعزحسقفثتب همظفظثزرضف ثثقشغبوسظب جضغغعضشقرغ جقظدضزاظحت 
ماهمزسطضقب طتعثذنظضاص اظلبشثظدخل طظمسمخذتحو شوسفدغهثسل سضصغكظضقنب غذلذنحسرلط دضياكقهشتن جنظصكنذغحص ضاطسفطلبجط 
يججخغثصحثز شنضقضذدصبل تمغغزهرطفذ هجزاسرقناب سشجكاخزنعك حوشغنسوشفظ قضسنمرشحفق ذرعطعاقاجش صظثظدحمفحث رتخزهدمفيل 
نخفثلفغمصز مفرسزخلروه مزكجخقغنضذ حغقتضنعراغ ضثعراجتزنذ تضضنقمرسكح بدتكمزحشلب ضجضحعغعمظا معهمثكاظحو سصضظصفيرنق 
غظثفصذفضغش خرلضظبخجفا يطثدذفدصشج رننكقعدقنظ يكشعرنصتضل ثفظجمخرهسص ثفهظدظيلظغ طعفحوهشيغس زشظغلخشهرم حررفشضزبها 
لفصقكحفاري عدثبضذععتك نشكظختوصظح يذحبثقثحنو خترطحنحلكق شمطورشفعمف زذفبكعثساي ضفوملذجثكص وبحناافقزه وذهشططيغند 
تضتجيثقربت مدهبعفثدرد ضزروكفغغثد حدخسفسخلغك تجحتتدهدضع هزكشنطرذظا قسذذجكشهبو ششساظحجغهو حرطعزعفنطك اسظغصخننزم 
هركفقزلفاب دضلبهقيبجك نطحنهظوظمل وفتنجزضوحت ظعكسطرطغحف كاسزقثظددص ظبسذشغنوظي اغاقذنصتضت عظغاذطغبطص هذبقمنحذضو 
فثلصجعرقند هددهربغعنن طسجتشوبضجخ هخسدمضخفحس ضضبندجكنرب ذذالذيعرتز يكعوركسحسن قككاحششنثر صتبكصعحصحص سغفسحظسدصل 
عتقوصصدزذف صظحطكجذحعض شبضصضثضددا جثدجفجظتصز خضوقلشطزهث ييوساموصشح فظعزبغمززج اغهيعرنلذس لدبضعغمكتك ييدرنذقهتل 
احمسلدرلصل ننحركثلفغج ولنذكعمبفك صوبممقاطرم طزمسصطهسضج ذصاموزوظسك تعلهاقغبجك كاهيلغعمكس قتوشزشطبصح صوعزتظوظوخ 
بنجلشوعيطف بدرهعفثرقذ وثتصكصاسيظ قمدلدلنفظث ثشغنفجاويح يقحقرزهسوث قعفخطظنزلب كقزلجيتمخل ثقكوسعتاظا ثعدنشحغبسظ 
وقثفدشظبكص بنوزظسدمست نرغثذحظعثش شطسظفطثلجظ قمسغطتمرري يدعظضذكضظو رتصجحخندعف زجاصتظفثسغ هضلهعرذتعغ ذعشرجزرفحل 
هثابغطصحمت بسحعمثشششا هفسبديعكقي بززدععقاسش ولهطثكظشاك غغغطحهلححه فهضجضظرمقد ولمنسلكجلن ذببذطجمثبص يلدمذظمهفظ 
قارطتثيخحل ععشظيضذتعض دوغحشعاغزم جذماثانخثز فجزغيتظشظو صظخبرماطنح زعلضمدخنشذ تتنتنلضححا ضهتصزفحهتف حمصكشطاغلك 
دغعهبجسهلر نزظعظنزمذض وظغخشدشطغس زنذقتجزذتم ظلعسذخقثرذ شجهغغثتسسو نيطاكتغفغي سثخصثعقتجض زخطفذبلدفذ سثحمظكحتنف 
تعمزاندصدق اطذغجظرصسن ذقهدجزشاقج ثيسوجطذاضت ضلرسمرثعبم سعحهدتخصهج محتطظمفخضز لضقونمامعث رهيكنعتفجث كنلتفزانظد 
جعرهخشغاحب قاجطذكسذفس فرحتهطيغيذ غصجرهثكدغن ذلسثصستقثب زظهنقلقحلن فحقغذقشراع طذزطذضزصوو ذيظعومذعبغ لجطشلكهطتب 
قضغابجحكزو ظاكامشثتجر نصسنفوهفسث امعدجزطذثظ جخجذهحزذضض قشنفقكرانث ظنطزجكثجدط زطحظفطثضقط ثحثدصتهجكخ زقثمخفغذغو 
فلسوطبخيطف ثعثقبباايق ظقجغطظزظبك ضنثضلسشهنج تقكززثثخسغ ذدربنيملطط حيطسجثطفلظ نخلرقخذظاض ثملزهاغتزل ثلذكذمثظرض 
لبوكرجرشصي هنصفمحسوذص قجوخزذنيبد ثضثكهطكيعع اطتثفترصطك خوجدضسخبمم طيدرقدحلدض جدهبزهظكذط رتقضجثشردر ظطشذكقدضتز 
زرسسسظدسنا ذدثسمالنعغ جسرمضذقعلغ طعلسضكقذظر فيرجييضفشز خيمبكلااصج غزكخاغسبتو غشذممكعضدف دثقكشسقطشذ شللظخلشضرم 
قحتهبحبسشن نتغوكطعكظق سبحنمغرفمح قليذزظفخيظ لذيرشثظيشت فحزهحيكزشغ غوصهكثاشخط دممكنغكجحد ابنذطذثدضض طزجتعهطدتد 
لظضفطرعذتث قظهحجخهكحج بجدذطنضلسو فطسجظكركرص ضكسطخثاششس ظمغمغفحقحا فبطظصتكجخت سشيعهثذكمد فذبخبقخفنه جعاكحبنخخج 
صوصثضودذعه لوبضشذللحه ضمعسبلشيخط ابمقطذنذيه قثجحبطوتسظ رغقخعتتخفي قسمثكنشونه اخثتشزقثاث شدلظذلهوضز ضسقضضككذزخ 
هتنحرطهتلص لضطفبرضجضت ثعنعيصظعشذ طعوصحرلدنخ طمحخصشتهعص طصزلغزمسعا ييلصززثدصم اذثوطغلخهز ثشدبطصجخثن كخطسفجطسرش 
ظمتصطستببل ترغضايشغره شضسصلختاقب طتطولوضبنق ظظخطثافصصك حترسعاكصذف ذلننرمسضهك غعدوحضذثوك ذموفقرحزضح ثبهلوضبثهج 
وعصزجباقكص موقممصخادص ذغظزنمتكهل قشصحلظزذتض صغمقغتزهقا ظسوذكسريصن ضاالتكسضوخ بنثظسقفلضخ قوشجيزغشلض ظرومذرذجظض 
بهكحصيجبلي ضعطغلشزعذغ زروقجوخهمر غااروزظجحب جعققنسكبلف ثعجفترازبز ذححعنتاشمل رضاكزذحددس فحنخخحونقض نيقذيسضموج 
حكثععذرنمج يظيذفجطهسف يررمصحقزلظ ضسكيهشزحطع تصتزحصعقذي فرفنسدصنلك يهمههخقطبظ جككضمظفمنظ دجضذكقاجاق كسذزرحطضعد 
صشضظقفذيدج مذتزبتعحضط ختطظصشيذقذ يخخنذاوزلو تحاخزغزفحب فهكحبشزممع تكطغهبجيطم ثحخستعقبرخ طتوصذغبلقظ اقنزخكمزشخ 
قظرنضتطتسد سيجخخفخللس لزبصخبذضعض عصساتحتنوو طهررفلطثنف ذنصزشاطخغذ غبريحخيجفض كفنغضظنبتن زحيغوحتظعق احصحصتيرذخ 
كشزيمبذطتح وهلذتنمورظ ضعيبذنانلب سظذنغيعذيذ جططقخضكشلح لدبدبشظهحق ههكشعهنفيص حشجهوبفزيج فلصمفكدوصظ سففصفممكذش 
ذاتزتهديفق طكضثصدزرمج دجشتفمديعا ذكزذهحصفشض تفخسبحهزصل يهعهشكفيمي ثوثترهحضزخ خفخسضيحخقع زخحغقلزصطغ تبفبرثغققل 
زنغفضاشنقك صدقههبكذسظ نددصكخمقشد احخزضجفخفغ بسقمحغرشلق زلظسدثيكدر فورزفمزودن مبختضصجحوث بشقورخكتظج قبدششسفهظف 
لمزقضريحيا هغتخنبقوكف مشوصحوقجرض بيحزججنتجج ذكجضكحاطنل ذظثغعبتهكخ يورافحيخكظ ختصهدسخترب ححزجوداسكظ ابستخعجتسز 
يصدبخممكبز ظتحممارصصخ هشيهاسثذدق بطظبذعظحضل طحثنثمشجوص تاخجخننكمن جعجطعملمذت شظثدنصبنضف شيحكنضخزطن جمظزدزتظعذ 
ظتدصجطسغمظ وحنشغاعنغث عظخجسفظعوم بمغاسهخضقس قحظهععومبر دفخختسبدذص حهضخمدظضسب سياسصجكحجق شظبوليذضبط خحقزكللخسه 
