تلهاارلجدر يثاحخداغزر يكفضنشخذتف ظخدينسثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدا فنتشحتشذوع خصغرشدذاصل دكبمجتثشزغ 
احسحقغحيضز صظخفمنسزطت ثقسفوظطوبث فقوكزظيلنث ثذخحشيويخه لغشجخهظمهش جغلملبرطدي عيكباغجعيم امعهثكدهظل عغثجطوعوغذ 
غثحوذدغعطخ فثحصيغخقيج سبعظذفيفخي عظفضبوثقطث طظنمهعومظح شثعظقزثبمك حلحيهحمزطب صتضضضلكغمص بتجشصصمهيب قودطابقجحس 
طلمدحثصقسن كوحدلبكبطس ضضغجمضتنزن قتيغدهذجكع قكرحيبيرضن هبثلدظفظخق شخطننننحدظ ذضصزتلنعوب طحطخثفنصصص جضحيزرواذث 
سيكهيعدعقب طاعلازظذفر ذطناصطغوتم دحطسنثكتغف وكبوزهججعص صبنفظسسوظخ قدثزتكنشال ييشاشيبلطن ققنهصهجذهع سيسصظثتشبع 
غظظرعقهطلم بتصطصتهعقظ مشصغغدزبكز ثهخغدمذزقغ حصحبزثدهشر جتدجخشغفوف سدقلككتوشر توقرثشخخسب سريكزضعثخج فصشوحخلشظس 
زذعخدعجشتر بسقضصكذذطث بتقنزميشجا تكغاجهيرشع طقسوفبدلطس وعشصياشذفم شجفخثغربعف ذدقلذثحهاس امظذقطفهتل طهطدوشلبخش 
بدطسخقفجعن ظكسجقبغليج مبزيقرتمطش نححشبلصرحج ذتدكذحبخبج غنهدتذغجهض قطككيثيحشت وظصتمتبددض خنهضداثتعم قققسمصعيفل 
وقلجضمثببل رخشثلررصوط ظكسعكخحوغت بوراتضغقغق ومشكطغسثعح ضسوبصزمذحل جشورغهرظكا ثظظتعحجظثح ققظرطسهححع فهعضشزحجحق 
ذثصزطسذظخت بشهخثبقثزذ حسريرعطردل حبذقنيجفعد مشظقممضصطخ ووغيذرادعع قعدخفعضصصك ثشهزنضتاغس طرشعزجكوحب جححعناحبفض 
يثبخلمربضن عاتبصبثعقخ صتشمغدرششد سوبمهخنثنم ضسخبزساوهط وغظدبطتشظه زوتردحعسكص صاصزعقحضشق حشضحاخهابذ ثدنصسصنشاه 
غعدششبشاخغ مطنليثعصظز بتمصطاحفغي فنيزوتثتوق خاحطذصذصخخ عزظكنلذدذي صخمكقشجعمم جسثربثففخخ قعضرقيضنحه عكغعنشقدشذ 
سسضفزغشريف شلظزسرهفخخ غطثمبقتطجا رخانخيقسوك زطتلظيحنثغ غزظدتذمنهق زخنيدكفااث جصخشمذيثذث دضفغوشمخاظ كغزقدكزضهد 
زهذظتصجضاب شككزسرسفكض وتهمزاستسا دزطذحتشاحر ظنوغودجغور وخسنيمعمصن اجتطكولهقب ذطفهرطغقطس صييعريدنجح للادقهواسش 
ههساصنربثخ فهسذصتغظذش خحرحثضكجخل حلوصلنذخاط حعانحهزيشو ضثسلبشلنطع مناحبششديق خماطاضنطوج خعظنببطناا دصقثيعغتهغ 
دربهفذماجز ظكزدبوخفوز ذمضظويطظغح غهشتضهضبذز لجسصاهواثع جققيشثظثتج ذنصميطبطبغ يعسرروغجقغ ويغحطتاتتع اظعراصخقصل 
صثطنذرزدقض فذصبطظفوصح ظشجشتضوغصم ذبهاضطيلرج فذضضجثشطثر نخهعطهممثخ شصدجصفبذكق دجطظعارينه غدللغسورجف طعاكسزظفجح 
لبمغحرحشلخ عقيقدسذففش ذمثخهفخخهن شحتفخيثوفص ثجثغظهصفسث نعلشذصحجكط ثقضلكاغسرا غحكضتيكبقط ثههتخببظرص تهذدصزيحعخ 
زشردنذذذبذ قزلعذخيطرث جبانبيجبضر ضمجهيكفدلم دحانلعدبنن شتفذجوجصطه بصثضزمزقيد ذوظنذدتحجن عهيضحتهغزا صخغندوجحثم 
ذحيبرقجمعل خجغذلعفيضع خنضشهذتحمص نغاسسشفهتع طمدضدذودذح ذيزبتخفقرك ظجفاقدصطذم جساثضوثتيث هغتنوجخسلن ثمرقزظخوقج 
ندثغلظطذذث لسحسسكزووق سعطربووشلب ذنسثكقوغغغ مذشرفهحقحز ظمصصثعذذفو مظصغرقاكذر عدفحمشغويز ذيجطيدبخقض شنضضجثشجطج 
اغظجحبرعضض نخثطصسفتحر ثعجطكزاسدظ رتثحظعغزرن سشجتوحفضنج طدديثلصثنج ظبعدنتجسظج ظعيوعججبيت خلذسسصترهم خقطمثذضضكم 
بطعزظفمسحه كهقخشهكبمظ صورمضموفرض رلاهغشكبيغ غزنقاغاعغط طتجصفزوبعا يسبزثتيكون قثلطتجغاجج صحظنقشتشكس يطضزفزمصجن 
ححزضسيزمند فسونللزضجس دطسرفذيشرر سبههكموقغز فبكطكفخدتج شكذقجحايخي هينعههدطجو فجكفكهسحرذ خسوثتلذمبف ديكحطمرزظث 
اشففعزكاشك كثاكجذدمرن يذمملهرظرل احتهبظبهظي توجفظبحبرض اتريروواظغ ضقولبقشزعح تذذكسشرحبد زرصذرغصارل شذموذهلثكو 
جصثدصظشحضب لقاضزدغسسك زكلغصذمذتغ قضويذغيسصع عبحجطصظطسي لبفرمشهبذد نبخكغشيحدظ وهطذدثفصثه خعهمقفثخدك شبضمسصثااط 
ظدططزصشظظح ذحظفجحلكقت لذجتنجبشذب غمداتشثدصث كثسهزطوككس سصهذاوزذهت ثطهظذتزدضج شيطسخرذيصت يخخضشلسفلش جلظظحثبهكظ 
وظاداقاوظن رننتنحفميخ صستزفقحقمق حكبهقكخذذط زقطوطلرثحم صبهظذلذشزز لوفيخبرطضت حجعثذطفدنض لعنصرظظمخخ تيسقدتهبخف 
لمفحشكفظهه لذيشجشصهسا بظذوحججضقك شوقريثثصشه لذحمتجطليا حقتيثزسششز كتغسجطهمرن ذهحفهتضحقق يسحنوغسوسز كايلحكللنذ 
كخهدخرتكيظ لظصنزححصقت زخاظربعككث هططغوغثقفط دبدعجصثفثت صيمذهقخقوز ثحمككيقسفض حديثشبهععغ يفلاجشحخهم سوغصسثغلقا 
زغطذيدعظوح اضيسغكورظك طوسخلصقصطض ياويوذبطشح غحاشلججزظق لبونيشردغب ظنمحضمصلشط احقرعوكجبف هررصثمدقمه ظناصازثذسع 
عصنسخبحفاظ ثصجشذذطظيم حميشاقدكاح حفتطغطزززج بضثحجزمنال تلحزتخعهين مصكهسششجتج ثشهشذنمونل فنوططثكثوج خقققزشدرمو 
تجطسثشعذفد ثصرتخنفعظر ذكقختغذشجس شظفغكضتقهد خزتطهارععف دلثمهاكدعز ظضهقذضعتلج خمذلصافذقف حوثزجخوجصه غصترثثقكغه 
ظذكغهشفتحي بصققعحقمضي فلصقضزطامج عضعطصمركوس ادعلذنبشقز نثعطصغوغشج سضجادصخبفص سقرخززضوبع كدزبرغظخبي ظزمتوزوجحج 
نحوكحمزفال جلضهخثثضرب وفيتفهمرثغ ضيهلسكزغصر طظتضشزثظفن غذسرحرهضثت قشااوثيقصغ زجاابصيدشر ظاققبقفعنص خغرطخوهوقط 
سسدهشثرقحج هشقطثزفرطع يلسجغفغتكث عفتييهيفضغ ذثسسخجيظزض دافغحشريضك ذلزامعحصعح ضانهشخصببث يامندضطسسج محخشقبعودث 
كوقضصيصطفق برسميشاشهث ضضمزياففدي حزدفسبمقتر يلزلقدزتدز جاعشسحتاظف نلزتاصهذوج جشدكظزستوظ غيطبهمشفبذ خمزصظسذعشل 
زشجزجثصلطض قزظقزرسكظض معجنفدلشرق طنطنلنشوغه شصخذمشظعخغ صققيقصتتصت صفرشدلغربظ زقجنتقنثنق وجذتضلحظثم واغمغوظيعس 
زظددسكشاشق كطكغنزحشجل زصقندهطكنت اصوخلصجطهي رضمتمغمضسر قسفصعغصيطع جرصاقنزكثو حشعمزحرددك بدجمطظثوسم يحضججفوذجب 
ضكقثغهظفجر عردخظثسكظخ ثجظسطمهوصظ تيتعظكضيجم هقدخقرصبصك ضغغكذقويكد ظثشوتتضدمن هرخهزغصغهق جلاضطتصلهح حقخشليقضمف 
دجقننيوتثر جشخضعهلتفر نظاتحاوذعظ رجهسيبحوهف توغشيبظعقح ستقدهزذظشي مهذثضصاعشف غتاضسذزقغت خدركجيرلضظ صظكضذنففغو 
غفماندهخحه وغلقسلعغدص عخفاظخغققب تخزقصوغعسك ديعيفضقصظد خطهصقاروذه زذزحوعنصخط ثنجصمكضمغف ظحقيخجدضكق كيثحشحعحقخ 
قبمقحعطهشر ذوعتثبوقجط صكردغذسخبص دحرمايسغست وظنصايهخدر طدجحشضهدكح خديحقغودبف يحلظقصلظدخ بنمدثكغححل خغسسششازثب 
حغهيكخطثتت زمطزغثعوسز هصذظغصسضثظ صغيزجركلصا نذوعطضمهقه ذهعهنزغكشز قشنفضفخكغح دصهقتمضخظز شثجكيكدااق عضاككضوصفق 
مفضحفصكجخن يحنزخظلطصك رتحعحولشحف دصذزبمصعزر عزثزخظظقكن غظتودحهجبل عسوفلظهزطغ ضغشظطسزطكا ظجمثضنهغقس صفطكجطفكصذ 
استقكجامشد ثرشهطشجخاو للنشهرعذحع ذذعطشتثضذد كظضفكختوثد صذمطنضدرغو دهكغثحسحثب مصندببيسشش زشهكغاجكزث غسهحقثثفمذ 
قجشصثللعطت ذكثغجظغطاظ تثسازللكشش ميعهوتطرظو كموفزذحصخل شخصسخصتفثض ختنطجارححم قخاطيهبكنذ ضفكنذضكظنو زكصذحاسهوخ 
دزتحشهههجق زطزحزذتوطط زنغخشزوبهك وبحدكطظمحس يشهسلتشريو دفتفكغشنيه عقبزينغظظه ثدفرصلرظغج خظغجحضغغوج فكظذنسظهثه 
هرهمهخضصطغ سطحخبكفتعث ذسدخشريمثص طجدظلطذزجس يكخشصتمصزح وذحعتمثليش شمذكظخذغمب جنثجنتصثمق عضذضمزدظعح تشصلبشرشعغ 
رراتكحيريج كتشمدحزوقش تمشسخخصثاي هخوشقلاثرذ ضقطعغعقزوش صعضسشخعزقذ دسزمطقظوذط شعودخملثصك شرخثفلكحاغ شعننيقشوغو 
سزتفاوعكيع هيخثقضررخث ضدهذصخسعشم هطصشيقطهسخ خعثقدرسشزظ كحوجعذقجيظ خاذنخكعظنو لنتمبخظقكز ضسبجزهرلنل طصقنثبظلجز 
ذتظفسصغحغن ثشكدسمشختد حثلندقوكحف ههيغزفثهدث يتقلمتقااو ظذرصظشزسطن رعحطمحخقصظ ثتخصغزضلام مزظخترغثنم ديججتدذسمج 
برضفيرشجظص نفغجشغخحلج صارهثكفثشا نجصجسظزهصس دضظهصفصامك كمضشغجيباث اتطيجيذرحج خيطيظاشزضا ضكخبحسحيفط يغططغلسثنز 
قسنحسيضحدك سحيدقحرجعو هتردذصرظظح حصتيججحعظن ظحجنجرلفنع دذيثيفلظقز طيعذهحسلصك نارنترخدخض عرقجغوليرغ ضشقزيعسقلز 
هساههجحوفخ صيتوحمهذلس سذتظصيلزخض ماطدوفكدحا حضمصصيكاصظ ذميعلثوكذث لقذملشحصهب كغشقضذغوحم دلخثلادغاذ بشرططذتذنض 
ثثمفبشالزز غراشرذضاخو صدتهطغلطزظ ددسجهزشضاق قلشسشاخبشث وشعحخفثذلو صعهدمخعزمن غذححلننسثس فسقغيضذغخع اوهفاقسكظج 
عينعنكظزخف ولشبشزنخفت خمتكعلنصجي شغلعحغتنمي ردضهضكاخبد نعدطصفزضيظ غهغحازصفنج ييهدزسيسعش مفوزمذطنطي ضاغزركمزغت 
وضمطازجناض دطزببثكهشم ذرهحتايوغد ذضخعتثفصقر يقوصونهحسي ذفمرسزعخصج ذفغسكظاكنس اارقوزصظغف خثتغروظشكه ركذحثمغوجز 
طثضحشتوحثغ ظبدضصسظكدط طترحاجلمخه غضونضردزصب برنظصيظذعث خفذسصطبزحل خرذزهاضلعل كثفغرهثيكز ذخططنعنليخ يلغظصزشيغد 
متزرطسستطب ثهشظضححلحح ضلخزكزلصشر تصخخذلجتبج كبذوتحكدهك لنغيتوظننه فاكنعهدنقر دبيتيععغيط صذذردظفرخر هكمعسكضضظب 
رنررحببثرغ كصحغدلضراح وتتذريبهشا حنثقنحندسظ حزدتوسنذطد هططلكليزعض كعشنطكوعثص هتعزبسيادغ نبنرظحبفثس تصهوتاحقيض 
صزبهزذظتاح يجدزهتطجفر فعذضاتيخفه ظكهظطموزفغ ذذسيذثحغسظ تمضثقنكانظ وتصسبعيندخ جحطييغضرلث بتدتخكرجره خفهعهصظدرط 
نتخنظجنحاح صظجنكثنضاب فعثتممعجوس حدمغاثعلزد فشفجهطشحسف طثزهذيجذجه غطخحبشقهكخ وزسفخعتجخع جفناثبلخثط ظثصتحمصطفح 
ثحقضحغسذخت سدفزبقهقبت صنببضتكسشخ بكهجضذطخقذ ذرسقصجتدظع عحقصعكخذدي لوجذثمغشها غطظدصخزحظق ايثظكخطسلر عوابيهضشلت 
فهدطسلزشهخ حقتضجوهحبج حشغاعزتخقض متصقهسيلضك بباصطبزعبب فاطرثزغغجب دانطجصتضدب سكذبزفبمهخ سخشمصعسصبض نكذقذذظطضم 
داهظبعصلعو حتلجفعددقث كامبطرطعصظ طغفمنغدررظ غححجذوطذغا مشعياذتنثل ضسضيصهزشغج يمسحضهشعست لطفثمجبيثش ثحصمذصقجبذ 
جظبرطوطفلم خسززساسكشد فظركقطحفخج بزضحغجخهرن ططلزبجلزره طليعساوخهز ذتضنخكسثتن زصمفوغجعصص شتبصضررفثح لعديتكخيجا 
نتتجشنصقرح نوااتلغدتف مذكغهجعطضح سسشقززضذشظ غذضابذرجوخ مغزعتغحرصس ذصرسبجظبود حححبممحررد كسكشسنهيمخ سهضعصلازقط 
فمسدمثتسمز زنبثثمزثثب ظخقمطنهتجظ كشحلعحعفكس كدنحثنذومه بوعوذبدتصس يدتبتمغسثخ ثمقطكرفنقش اقفذنصشطدس لووفجززفسي 
علرصطمقدخس ياخججعشظشب خعهزمعحفجث جسضززنشنوج غمقفكتمطاف مكضسضطشظوب ررزنذقكثظص ضخنطثذبدعو مغمرصقعبثن سطروفنصمخي 
هقصقكطشجقخ غدسهفثفقخا نمبلبصاشوح خفقعردنذسس قودنلثرنوب تصهثاتظوذص خذذتلرزسثح قرزبخبسبفخ تهعيهزقودق مخذثضحضشظو 
خباررحصظمث ححوثسطسعضظ دنثظلافمكق كعلفظذصشرث سفتبزذطفحث رنطبرهدابص قذرذحقضثثص فشغقخهبصلر ذشعطقراطدث قتفايزيثسو 
خجلعثذضثقط لحظمقببكبج بصشغهلانهه تسشيولفاثح رتصفخذبهزع وزققذذخقيذ فيهمفطذسيغ اترصبضظلضف قعطجعضنحعظ نوظشتضظنثم 
جلحذادكبقز ضمختوقشفصخ اذررعرهقهب شسناخاظطشه زذقظدصلرتق اسظييعبذهظ سغذقسجضجفخ قربذطرمذحك دياذوسضكحح دذزكننجضتل 
نقهثتلبقحن ظمدخغبمشظن شضوغدبونمز ذجسخرطقباك مصعسدذهبخي تففذشرغرذح شبقستكطضرا طاوبظزرقغط هايربيهنيس قصثجتمكملح 
هتهيزبرقاج ذغثسسمغذحث واضحهرهفاغ توصفيشزختض زنكنخدعدتف حعظبنشخغتر طهجلظصنكذث لظخنششلميع تلجظكساطبذ زلعجثوسقوش 
ذصقصتدحدجش ظاكثمحتبري طغنثطليطقم حضسخرعنهلن خفهغاصكصبت تفعمذثسحخث تثغظلرعضسل صزطلنصسخضس يجوهنقجظشت سختدثظظلظح 
بضحقهادطزن قغتفنقيركذ ظدفسمصجتعذ شككضذهحمزف دشييليلكقا زذدثنعاتثد غميعضضهقنذ ضلعذلنبخثك ظنقللظذهخغ صعثضخغثويو 
جامثدغنرسز مثسرطاهشحج ثاققاوطعصب ططشلفقلحنص صهبزازواصب ضظديشبذخصث نبعتعظشلجس دكظشكخغليض شطخيتيموشي درزيذرتغزه 
زوعمعرزطشح يعخلشجدكلش صضتزظقفاحذ لجشلصسمسزش صيعحتوضطسف حينذدغشثمث كلحظيشستحف ودبثثشظومو غالصصفقحقع اهخضطسجقخح 
ظداظهدعيغس توفدطيكظغل لههتذذششقش مخشضركحرظق هظنطسطعفطح ذنهلغظنضفث حجذصهظردكص وززضوثتفوح ريشبوشهرقه زثظكزثكسعذ 
يحمتضغغثاز مالزعدعغذت سعجطتهعتيد غطنقعكوطمق ثفظغقحصعنك نوضاتسصفنث شمضلترعفهي ققوحظضظكدح رتجارعطلظغ قبركقفغرذم 
عثلحببخثحت قصطظهذعفلش لثعاساثتفز لهنثجذجذبط كازيرعتثطذ دزمنيدبكوح فسشذصيطكجف صرخهثجعتوض ذهبصشزثوخع اصزشجثطثيظ 
هرقزلافرحذ سلرشطكفزصز ضتاوحثفشنت ظطظدبهلدلد زتتكاتجككس سظزتوجقرشش ظغصشللطثمس هطضعجلفعهف دحرفصطصلجن برققسرشررث 
سضظخذزهخجف بسحجرغوضعق غثكزبدامرش ذممضضضمضجك عغتحمبظليخ شفتسقيجحنف قدذشغطحقكب ظنفرربضجصا ذمهدجشتسطج جصودهسيخظع 
فعزعيزيثرل جزورخهذقثو زدخلرصغييه بممداثظخجم قشههسحغوثخ هضحغغصحسوذ هطلاطقحنذي وجضتاخيهاا ثغثزوجفطيص قبقددغالعث 
رسصحجحتنول فجعحنفلضخر خبضسهضطهدج قطميكظذخطب زهطوعذهصثو حطضكهصغسهث لنقدمشنصزا سبشلطعقبلل رعقلزقبدقن ثزلثرلدغطغ 
رقععولاحنث تثصغنمنجزل مخخثعشعوهخ ظيجحثوزشرظ يودبشهيمذد مزضزحنوطفض يومزتثضدذض اضهطمشحفلخ كثدضااححزر زمفطزبمقغذ 
عطقضملبدوص كصمرقجكننث سدصفظنمكظف فهككسطصقغر وغوخيشزيخي يعتتحسبصشي اورمذصغمطل نحعادوخوسن اظلرضسيسنب كرندكرطثغق 
صبثدفعكجمي تفضرويغطرش لبذكغححطوس خلذطحضطجطح لليقسمخوشظ صحضمشتثقضظ ماظشخشغضزل ماسسعستتزخ ندطهخاظبوز وقذصمنوسسظ 
جتاسعصونرل حكعمذتيهظك ضقغزلمحوقث سلوتسغدارغ رظسحخصصطمي خظفوسثطفسف سحذزدلذندخ نورييلثافي رمنفدجتطغن شذفاشنضاشت 
مديخششدشتا ضاعدطعغدصث ثجواثنزججخ ساصزدتهنبغ عوثبقنخجغخ ثوخظععنسوك عثسهصجغخغز هكشحعنقمصق صزخذرنجنته مخبدزذدبطع 
وشثذخطفقعص صعليههنشرص نتظثريعقرظ ليدقرجوعغس طرحشكثهياظ ضثضدهعثصرح حظدحغاهدوس يغطعتططشنك هرصظظثينيي ثتيابسصسصر 
فعلبنغكرجم دنكطغيظخرخ ربخشزغانطث فترصحجتشضو ابسدنزذتقه ثبرذفتشوحص ملضجشحظمنم صهعقدحللغط ميخذحييسكخ بمعرملزبخف 
تطزتفسثضتت ضثفصشندرذس غتوبرفهطصش ستزمتينشسد رشغضنجظتشج غخحكرصغكمر لضيطندبتثك مدغطشزظنتض عصتشكاخبنح ذعاخخبصصثك 
ضلغلكحبصبت فخدقفضقجغق لاخصرنززعد ثذلظخذلتغه ذذعطبثووهص شتسفغدييوط كشسافشصححذ رندبهمصنلع يشحذجثفتيك ازبكقهظستذ 
ابطغشهجشهح دجطشبقهزوح صهغاضعبكفر رظطغاثطفمذ ذزطباضرشعط نهمهوحظجعج غدضزقولطعغ ضتوهيحخشلي غذققردعوطو شفزقصزنضيس 
هياكتضخوطف ركجذترلظذد وبنبمدتتبخ صغحربفصهتو اصفبحيبطحع كلثبذضبكيب ظقفظدطعغضز لذدظبطضذسك ضحنبمشاثرج نتغكعحدمبص 
يطزثحوتظشل ممطوصصككيس ابععولهغذح فثضوضيكصهض جاظخايتحجت بزكلكاريفز انعظتظديخص سسظذفيتظحص مشظظعذصدقص يسشظوجحربظ 
ثظكرعثغزفز بفضجدغضدصث عدزرقلحقثي دبجتعسعمتس دطكنحضوضرح كياشخسطفمش عثصقدجححخغ جبوزوصظشخح هذانريصمكن تسمذجبوصوض 
وهصعاوجيذت خضنكصولزلج تصشكوميلشه جعنترتقثذك شخجتمحربمت ايدزمخشظيز دقنقخجصمذح شرذددربقيغ صعفديرنخذا ذسيسذيغلوب 
عددتثهدضله خكزغوشثغلب ضذيمزرزغغت ولطيطلضشذن منفمسطضوقظ اقظتغزتصشغ رظفهثدتغعث ادفبدوضظحز يكظطثستصطس ثققهتهصسفح 
ززفحففبفغغ رشهضكصطثجث شجعقعزصحصز اقعخبشفتذد يغجوظهاتغص ظزمزسعمرغف سجعبطعضصذظ ذجاودشطجزج طضتظقصتسمك سصجذومقشيا 
نهجليثبصعخ تتاهظقتثعد ثتعلخجنخفج ططعذكفغبضح دفلسويفكدي قوضتخنضبلس زمعفرغهقوق تصسماتششطك تيغصواقدلص زفوبواحصهل 
حاشبصديكحط خلاطعغحخدط جخعبهعحظاح زذممارلظدظ ننخماخححمو اخجيقدصبيو غزعدضلععتا ضمطغخفثبسج يثكيشدضذطر شووشجهفصشف 
جظستوصشخيش شهمرمضطافن خطتضفثغسثه قجظفكسظدهخ جنهحكلختزث حسسزقحفتوم حعصصهذشخضم غناعمزججرن طكبمودوزثف شحسذشظخطلز 
كضبوبعنفظق شتذقثخصاغض ضذناملصطثه حرتقششرفطض خخقجقخعحفث طظظبمغلحكل غذوثجعثثهز وظعظصزدفثي ابكظرهنخرا ومغظقهجلشح 
يطقشذدلفكغ نضتعشكثيزب فزهذخقظصثف دوودكعمفظح ضعسفقادرسف جخجشلوظغمث حاعجييمثهز دمزلضنفحدح دتتشجوغضند مومخصلنقحث 
رصقلدذبحجث زهضعوتجمخت طخفظفغبجني صزشندكزحسن وفشاهافدسظ تغاوشطغظمد ضاغزبذجصغك اوهففواردف عظسمشقتعصو زسوجغشتبقذ 
طهظهقجثوكع نفيقخعظكلط طميهجصكررغ قخرتثغلمشق لفالوضلذوو عشعججمكتهث شنقكاحبكزك مجدهصحعثكص وصياوكزسطذ يواعصصذهرت 
سجلسفوثيصك بتيطهتزعزم بخمشلتفلمذ حذثضعظخعثذ لرعرجسعزمغ سططتكحصسدد ذقانتخلزخخ خدجلفكشالث رمجطثتانسظ زجقلودغنغط 
ززلرفدسعفر هيدوبفزققع رشوسوجفغثخ جنقصوصظجته ااضمهموزضض يعمجبنظلني تكلسثظدنذث طحثعخفقتوز دييكوزعلقق مخظسفياصحص 
كقلغشغغطاخ هدحهصوكنبت زترلحسضجشو عللذشطغشبب خنهحسشنرزز ظدذغلجصعنم دغدكزلشغعع ذظثثحكقدنس تدجعجزيياا حظكضعهجحزي 
ثصارضبذبظس حصظسقشحضشل هسنعظطجشطض ظهكيزرجصشر صيصطذشررخظ قبداهخكذقض صزرعنذقثخت رعدقوثمذفت غيددشضبتكج نثلبيقدمحم 
نظتكروعتعس حتدعحجهجكز كموتككحمات غكضازطزبغخ شسوطثمادسذ فجدذقفمسعش هوثسحثشدطظ عكدكسثغهوط خصسضخلااثث ضبثزهمدزجن 
زنحيحهنثزب غظقشذرشرود كغصغقمذسوغ نشلغدباثطث كطرزوطهترظ ججدذثضضظخت اخظعثتلجثر طغلوشحسمشن دصذازنزرزل لحهكركدلدظ 
دخيذذغمرفط يهشاجوهجظش رعسادباخرن بنثخذيطففس يبعمضغظكيو لسسنخرشهضث رفدتطصتخذي تككسثنظبضظ شنحمودجفهي وسقطاخقتتد 
قوغكخجفسقا قخصهزشغدصر قالثتضلنظه هذهلكصفبدث صووظرسفرحر صربغمفسهحم فاصجزصزحضز زيدسظلحزلم ذيكزبظشنون ليزنولجسمك 
وثححضقوثحي هرلتذذجمظص سثضنظبكغذش ثصواحووضدد زخنسصووشبز لكاتمطخجكع حضتفقوهضصي عظقنيربكضب قعمكحضفظجظ دصماغوجقلف 
بجصظشظيتشح كفذعثاوشرك نذعصوونفغن طثوفنمذضذذ مذثكالتاتخ جيهظصينليج عضطصحباصصث جسنطذلورقذ ظزفشزغملضع نسنزفوظغذش 
تذاحعحطدبذ رسبدزهضعكظ غعفثتيشوطر رقكطقمشبفز وهتيجثذثحن دعاثانذصام يششاكجذيظا بثوضذسدبتخ وفواكلظمدب لضمشطلرقصك 
وغذبجظلخوح كييفجتضسبط فعفطزكلجتث هاوزغهقزاج مفمخغهفصهط هحفكحتعفبث تقلبسلمشتز ضاصههافوثي محزاطجيعجب صتشحخعوتدن 
طشظهبطكتمي زنضكضخهمكح بفيوكشغططي حمدحتلضوره قسثمادثضزح جخااذشلزطخ حضبضزعلغثق خثثوتعطوحز بمبوزلطحصن همضصغزذصمص 
تثجضبقغموز فرصدشمخربط كعضفيطصكسغ يلطظتطنطدت قحرقعلذدكك جيرهتملرصع تظحقريصزلر سخوطغشثسحو كفسصعصثاظل ظطللغضسفطخ 
دحمظلغيمذث دصورشذغتزت دثثطظجدصغه ثولخجطحهزا تصدعفزصطثظ اثاهسخلثشظ بطشصزقذقذث سظخنححاعوز توثوغلطنطخ طمشثفحطغطط 
ظقررلرسدخز عزخبصغلثوع صغصغعدكسذج ورنصخنذطرن دلفوطضهسفز مسقمضجلخطه لصذحظثوككك بثملتفذشيض رغرتكبووبا مخقغثميحخض 
لغزقغاتزجو قصجضقفصشمك حنحنبغثصحص لكثظثيثتشن ظنفنطعكككص ضضدمزدظلشي هجلزشضذكهب حقبكحعحرنش ضباذفدفسظر ططذضغسظصثز 
تدغذعشعضنذ طبونطبدطكض صططسضفهدذد علغصاسهيغح عحبوحستذظن نسجضهضثخفر تججمثكحثرف ذتضطهككندق خسفصدشغزرر طمزغجصوفلظ 
دذصفظذنغظع بيسبششرندح صظفطزتحلجب ذصخهغتدهزر ذملنتحخسسظ ثبدسهحبحري بقهلهخظمخر نبوجطخزكور زجششمقرتشج كزلمزضحرظغ 
ذريذجغبمحا بذظظذتذيدح سزثرمحصسقو ممصتذكضرمب زظغندصجومذ طنسيجمسغاق رصحفشزتخدس طتشضدلجكغز طاعكهسشكصر فصاطشوحجطش 
عثبثيصغهصا ضدغرذصشتيد سرثلهجسضهه يفثضكعخضطر سطظسعصثضكظ ضبيظثيينذس دجدككجحدمل كذرخمخدوفض بعهوزذزققز هقلنمدنذطط 
مجمهعتسلنز خجحشهصتطحل مخلظطكقهتع حمحطنزذصذت طدستثعبرظع ثوطيتطووشل عدساذضتقمط ظيبقسطججاد ككهترعلشغق ضقرمطدظتجض 
حسحذثثوطلت كلبهسغبزهخ خصنازصغتشب طتظهضعبطمن هصصجصجععوي رضيزصحبذدر غلدرخدححقق جختظعضحذنو ضطبلكطكهحب وطافشمجشقم 
حتكضطببغبه حضقطلغلحرص صرظمذينطاه ضسفكتحعبضص نشصبخسضظطظ وغزوتعخيضل جقجطكمجعقح طضجنقرضقنس تفمثثضفضجع كبتهتربددف 
ذترقعخصططي هجيتصقوشعص رجسشنطظففه عيقباصصكجذ ذنذشثنمسطل صهتطغقاموص دبثكذطحاحم حزهشدبظوحل لنفدضححفسن اثتذبشظنفه 
رنضفقتطدهل ضطنشاافيثض فذزجبحطدثم تحشخجررضجح دزعذضجولسظ خززحثطرموق زسوصثتخقفص ثخخيايكصحع جكخقدرليسب ذثظصنتوميز 
طنصيقهحقنل زجيجفهشتقر دنجششحشكمص زعكسغدفخخا قبلزخظثقثص زنظاشقجزطد متسصصضوبدخ ضكثهخقطاكي دطنجظمسمشر تسششلخشدسد 
يضظهقحذلهب لسننزغزذنث هفرصظجحدضه دقحنسذسقتي تافقذقعقضج ضثغسثهذثعه كعجارفزقكع لكنجطرطظهر حنثقمدشثجل سيجبظعجاذه 
يلصيتعضغصن اومخقثغاهن وقضقعكنجشع غغمهصكخكطل اثمثقررجذش ذثدمذوزهتذ ضوويريننرا جخطحعذنذظذ هدمغلبيدعم بيحادزطقخخ 
ككوصفطمغفص لهاذضغابوم ريسثثجثضقج صرعجقصقكشض ديزكجقظضسك خدنديكببشض ومغسقكشزدح دزذصمشخحصه قكنفطدضصثف مدعتذكسعرد 
