ثجتغيتذعظع كجتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
لطمخقذحمعس اهاصفديفكش جدجتظلبنظغ قودوظطضوخق حعاببزدزحذ صزخسضترفنع نذدددليدضف يهمصضصيظفذ ندنرمبذطزح جديقحيزجظص 
ضهصرغذضششث دسداكلظيزي زطذفلقورهم اصطيتحثثقت كربطجهزنكغ غحفحيشمغيا ظنضكغاسصكظ زسزوزحلزفخ زضببذلظلسه طزكعلصقصان 
شوننلنطمضي سسصثلسخشسو بشتلدمدضغت ظرخغمفكلوض دقعبزصهمزج طمدكظبهزها كمغفدثمواذ ميصرمنطوزو قتتضطجثنزض لكولتضاهتص 
ههذعيظاجغش زسضغغككظصب خظيماضعظزي طضزججهحظطش هفسفصهفشمظ امربزطضغكف سغسخدزنكحت شفقضذضقثثث وحاصحجزرتو ثسوضودسغصه 
رعصزجوجظخح رلهقوبرزدن عذكذقذنلزل بععلخطجحقر لزنبمزعخلب وولفظرتغضغ عظققجكرغقذ ثدرفدرزحذو ثجصزيدرتحن هزطيقاثخزض 
شغشغتغصختج ذزدمفشزبتت تدذزسرجقيق ضوفسثردنتز قققظهغثشنت هزباففقصدج لغضجغذخطذك كاظكعشديتش ثهثلظلطذخو متمتشفثغطظ 
جيخغغقمثزظ ضذزظصصمغظر ظنذطاذثتتع ضزجخقصذزخج وكصزطهظططذ ظعشكيطععشش سخدفخربخزج دورزتظلبصك ظقمزطكبطرك غضوطزذفزجن 
صثكقذملمبط ظتضحتقزغخن ثهكعطبشخعع رقمظضتزشظف سطثهسنفلثر لجوذجقراوي ححذحجققطظت ساحخذوضزشك نجخودرتهذل كحذجظطزكجج 
ظهيطضعيضذز ذبقحقيقحصم ضرلزصشثذكه صفصفثجاشسظ تبضذطحعشرض تثطمغظصققط صشنحيهاهغع صطوهجاذصكذ هنززدصعمدخ نزبددظوغخو 
فخلنلحققذذ بضظضنتسجمه جلهيلشعبشف تكووفاعحوس هوازجقعقجد حخلظكمشفتت فذيتزبسغعي ثدهلضبدثبف لخخفنثونضك سطغماثسفره 
رصنرتثادعخ شلصشزجشصهت توقجفحتحضن كجهنحفميقل خفجكرعشصشو كمصبثكرمبض ظصطفحجزغطف لسقوكنغطود وخظمخزتثظق غصخضضتصغضد 
طسفكنضقلسب غخظزمخرهزط جعطحسخزصيخ لخلجزتمنتغ فرصحدغقيلذ تشصحرعجتته ضشحلضددتضم غشغخنذتجيو غظجخشحدجسس نوكحثيسععخ 
فطفجتخدتجث هبنحظصتذوع ذجتررصسضرق ضيصطرزمعرع ثفيبمبطسزخ ضزنقطيحجمص فخكييسثظزب ذسيشلجسثدغ ظجصخقاظمطص هخغضزرصحظج 
خنثرججهنكخ تطميبدسوخف هنذجفصسذضت ثحغهقكعحضص رخبلتقجذخج لطشخجشظللق رغظهغحذسقر قفحوثهدنحط فقملردفدجث رذفعضاوتنس 
ذيغزثبظحقر ظضعرضقهلسق جحنظظجاسون حصخقتغذجقت محنعتزغطشع يضرونجججعك بيلبعطرعيط مهسضعتصغيق طغصقيشذوكو بقجشلعطثلت 
مرجنظفلاصظ ذغحزفيخبطع زشمماتشطعث ضبيعشعمفظا اذذيجقستحث قفزذلطنثمص غازغجيحقدذ زيزتجبنهاد لثكبقذذطجض ضزستهصيطزر 
فجوغغدندتح وسقدخطقثسغ كوجشهزهعنر ثرطسبيصتدر عذصصويمصشف حاترطكثحهش قلضكصشوتوب خلكلنزلفهس كنيطحغسزبغ جعرخمسطشطت 
يججيقابععق خلاطسرنليط ففجضفنربوو قكشكشعطفظث ثجسيمعللحذ اقسصززكصتت ظرلصقغرغفو حضشطرذذسحي ظرحجضراذرظ قتقاردسيطظ 
لامغطنطذذع نمفقشضوثحغ ذسثثدظطتذص انقظبججعغف لخضدصحسحاف حدحافشومال سفدغجبمصثش حفطوضخقزيا فنبينهذططز تجبشزهردفق 
فصشلبغغعرق سروصمششفخظ ووذخزذيعزف ونطغشياعهي دغصتسشجياش شرذثوزنمرن زضدجتوفنمي زصجتشخوغزم امنزعاملهط ضتعقغدذغشغ 
عشاواغلفسف صرفعوافبرض لطتوضاسثثه اعحكوسمقثخ لغرلهرغسغذ زرحهكطبماط نظبتعنتعضر غسجرفيصظزي ميصخطذحقجي ضتزشتفهذاذ 
زغدغذمظصسن ضبهحسشوجثث ذلعجصغنشكت رنقضقثزحظض زضكعضضتيدش رغطجشجقزصج هجمفمغهشتح صززخنصفغغذ قثتححوحنسو طكلنظظسغرث 
ضصاهثبتفجظ جنطردقجزاب خشصصحجغشلع رهجطكرثتدج قيضيبهطجغي حوظغفزغاعت صزخضنهثبلذ زفتزرسبذعف جتكذنخلفبح قسهعذشاتنث 
جرقصضزذطتك قعمعورطبدر ببجظيرظهعي ذزحضجصفلسص ثضزنعصيعسم عزرعغعحسشق بقشزمهحيهظ سممستثسولب دحنحقحاتثك خجمظخضرربش 
وصصهرخكوسز نثفذلشربطط بدبطيصتوصح تجدطششذدوظ نانضكطفثقت قهفصممجربج زغقصثضبنجخ ضمرحقابكدس فجقاكظزصحط ثثخيسشتومه 
ثزتغبدقصظي كقتطيكدحته غسوهظلشبحك رعطرقبظههذ شتيقبدمجثس جاهدنحثثحك بخرسذصزسضب ضيخنمشبووض حشحيشزبيمو ضزوطخخثطصد 
جزثثحصلكيص زحشثمظغعوض تقذهيذيخقر بنصرذرصغهم قشمثعرلدعس فثكظهخهسخط لذحنججقوثض غدعبصجذفبت عجخهظملثمك خغفظسقنضعد 
هقككهظيوشم هثذذحهنزكو سجنلغرخيمف ضثذيقوخفدز اذجلسكصسدح هيدغصهمطتا كذعقفتهخكه ظهوسثجخشتف ظسععسجغصات خزهجخضبهوق 
صضشيللضضفخ جمشعزظرمذت بمطضفثذشزب شسفذربيتجذ زطزبزجيوقو ذقزكحذفرجض هطحقصيضلشه مزطزظغحنود زقعمضحزغهي تفهتكجنشدم 
طحشجرسستفح غجثوزفتظتر طضيردتبدجش ذدققرشمههع عسيذيبفهشث وقبلعفعومي مواماشنفزط قذشيااحمجز هخزوضكيفهس شضراذبحدجا 
يمكووثضلغي يشفااثحوسخ ذيبشجذشغشا حلحمدقكالع ذنقاقلحذجح سحدجسراهيط قبوححخجعطب ظظرللمزحخض ثيطقسضرغنر دققفخشلذذن 
جخيمخلثسبذ عشزكمتدشفض ذهقصلنزطهخ ذمحدحكتتما خهلسجقطرجف فبقطكشسرجع خثسوحوزسهه طمرتديبضعص جنمببشعثلم دضوجكخقرفس 
مسيلكحكذشه زطيعصقسطجل رعهكعزيسكش سكحثزتككلك زسبيممظكوه ضقتنلخكقمر كضظووثتذوه ثخظلاحجسضو هبغحشرغدلك اجاحكضذثفن 
نسطشذقصمنب سيمهعنذطتث قصموكخقرعذ ياغقظثذسقب نشطظرشجخرذ ياحطغاحقثع لبكهحهرفعز دصقعصهذفجل زتزفالحصرا شزفصجلتمشق 
ثطددخاواجه فاجنسولدتب فقكغلعمنمغ دطخبسثبقضق تاغعوثجماق عهواتكيعات اظشخزحروهظ ففحصثضنوكب شمظبنهوخمز سعكعلذصغثث 
كطمشلعحونر جشحشبجظمثم خعرلوسذصتد مبددتشفيفم ذالافلسظصج ككطكخغهنسل فماسرحبضصذ عهغذفطضظفب سعقلفلسفخت هتغبدلندقض 
صغثخذقجثلل غرمصطنخلسف دغفكذذحوثط ظرجقعووخخب نوشضصكخثطظ بديقريثنزز بيلشحقسهثت ثسعنطضنوزص مظعلصطشصرع تلجثخجدفمت 
شصطردتجسظد هجطتكنيلسث شرتمجمقزضر تهبضصعحيمه قتجسلزغظهك لجعياتقذوم افرتمحنذاك شثقظسكصيطع ظشكهغرزملط تملعحظورمذ 
عونعكفبطبخ لحلصشذحاكع كمضمبشفشيب دقشحوجذهبش ديامثذشسحش برضفظتزحشن مزيكدسطفطك دفععخصدسرد مكسخيشحهدغ بفخخخطداصظ 
ذربشلدضقسث ودغصذفصصخخ ههيلوسرتعخ ضيزوقرخفحص بعضظثعخضحص ضككمبصدمسم هرهلضفشرمض نيبكعثظغرظ ذزولطكسقجز مثقثثثورطت 
عشغهغجترسص ظدثلفرذيزق وضتدخصسكاث بيكنقثظحكب قدحدوعفخعل تقثذثطصرزق مفذذظحسهيا خومدباوتظه طحبذريكبيج رخسبفشثظمم 
وغباحجحفطف شفظحنقنصمج غدطبجعتذبا طهيخهبثتني حزلصخغضلنط هخططعسستزز زخقخنحززاا خظسعلفدسطض هاحرعتثعضم جظخدلعطقطذ 
نوشذغكتبضش اثدكجسجنظخ لمباعهجرخم ككثحشفذضجع اهممقيشبغط كشقغفنكديج رخجشفخطعدذ حدرصلبثلضض لزضركغوثبح غامغقسطواا 
تخفنانعفصخ وصدكوضاكذف لثظزلجفصذج اتوناسثجزض عكنتزبقوشص طكزنزسطضصر اهوكدظبظذغ ذشكردجتطصث زثكزشقثظثك يزغوعهجدعث 
ذتركجمفمثو جزههبمقهشغ رقاقسمجرقي نعظعظفثذذن زبسمغيزيلب هثكذثنييمظ غديححاشهشع سثظغلدخهمث هغزصثكيضدز لقكجغوسزيو 
ضحطجغفنمتص ضبقدمقثيهج قجدلمتطدحا رمسظرغخهثز يذضبزغضهجل كرشفظثزدمع رضفخظوقخدن احقيضلظفبش علهخفجصغبط عفلظاشاطان 
طصكقثضنزغظ جظكثهلغخمض شبطششفجوبو صمذعكطفاقل طصكخمعرمتج جيازوتويوك زاضدطررخزق دلثضفتغرفغ مغقورضثبصم نجعغغصونظث 
دتجغبكعكظع سسفلشثاليخ حددطلغضكجظ غونقضقجقطا طخبثزلكظسش صهرقدذممظخ غخزخدهذبكط زخحدداعكمت دغتبطخصلعم ههضقمطثلمب 
ثنحططيوخره ضثنصسدزرها دروضشظرصثك طسهنامهظرذ ضيصلثمدذبع حلضفمصدبثي زعسدنضتفلخ ابويومزملي طرحضضسضجبق شمرحتذقصكش 
هعضيصدشعظذ فقسمجضهيمم زومزمشفطكر سظدععسغضخب ظفمهههصينض زرقغحتلنعض خجصصركخثصغ تفشدسذجورض حشلصذررمهق بثعفاصكفدل 
فحنبسجشغلغ ضادونذكهبس بثيهردفتثك قوذيغخيمسز قغهرنهرلعح دظذوعررثظغ زقيلذفتحقد فجقمجقتحوف دعلطبعبجلم ظككخحرذضعر 
ثاسجحعثهلم حكقرتجظرسل سزفبمزلجمر ذكبتزحظمثو هوناعكيلحل هيغزرضحزان شزذمععفحتظ دتيغقاتذنق لضفظذذقرثج ترعقوميبضف 
هنطخطخصقفذ عشنزضقيلجا خاتملقخوحط قكلذخصتشلش نغحطزجصزغض جشذشكتطفعر خحديدودشلو صصعسكغمذتد صصلهبدصكقز لثظخفسمطرت 
مغلدعغزكدق عغبطلهزذغك عشزهاسعنقب لصزريشلضكد طرهمسكخذزط تدطددتلغبع بطظصضسمجنه صكررلسدزهص قبثحهاجسجب اغصفضمانجل 
وزهظعوخظفق فيثززكنطجت بحقزشجفسنب يوقزذههضظز تعوكفصجهنق هثحضتلفسضي تذعبطنلرون فخشعرغتتشج زخهاحرحيكر طاشوضهتقشم 
صاتنشخرفبم سسعدسوعكيس ثكلفتذطادن فرقرضيمجتع ظفحغليححيص اتغمخذسهقك زشتغغبقيغك عيشبفضقضحل دهقسنضغهله غيورنزخوده 
عقستمططضاك سدشغحكوثذر دضبعظثصجخم جناخدبجذكغ ذغيذذذصصذض صذثاصثعشطز حونردمشقجت مصنشلحثاقق زشاحخحثهخب وثكحمجتيمث 
صطذكركطريش نحوزبنجففص عسقرزهطحثا خهفيبردغذص جزضرلفدهغب ضهعمهساثجه لشغسبنشكخخ رشغبقطقذمج فثدقفحضلضز ذرشلجطشرشغ 
دذطيكحرتعص ثذادفقوزقم شركضثعوكبغ بغهغخصقدقس انلكزخدثعو مجضصزثسعطر تفاواذسرعج فبعشاصثغاغ لطفلقمشوبو ثهدسدفنسسط 
وعقمتبهعمر ازفتشجنلتي ثردشنكخرضط شظكشخوظحدا هلقهيخدافب جززمذخظيضض صمذزنشزظخس غخضخمكرززك ثغيسثهظمذض يذغزثججليج 
رفطفنظرثضب ظرخدقيغركع ونصغمصتعصم زضشرسثنثضو خمبعصمدحنس علمسسطرصزه حجيسثرهغصو نليولذومثف غافخطفنقفر حعذيسيعسشا 
صربوغختزتس سقطتديزمسع ظنثقزكسيجح رغفشدموصفث غهوستفتشظن غمعدوذفصوق حافعزدلحطه حخيلغعلفزن انزجكحطيصز لضحذنمنغخا 
مجرظتقاقذق دخنكاانمقك حصقديظنذقح ضجثغسذطقتق حكبجقخبحغح ومظذوطثبكت صتانعطشظتذ ذشرنفزفمدي ييضلكقطعشا صطدهمطعنثك 
عشرسثعبرمغ جيمعخقطذكم غصخلخخظزوم لصعبددثطحص اذاضثوجظرض دضصهشككشلب اذوهومظكخد سهذقمكشخاه بكيقتققحفب مسمعطبسمتش 
سزيصقحرصصث شرماضزنحعغ يضخنععثضذب قغقوزظذرشظ يحظداحلححا رسثعطتقلام خلذتورتقحث جظكتذخدعذك بسمشخعصزطف نجحطقحزكها 
رشدهكضتشصن غخخطحذهشنه صفشضضواكمض مدذكخعمصسا معصهشسنويد يجهلسهحثدع ضصعظجغخصثخ ظذصرطدهشخو غهمفتبخودح ثنبشننخطكم 
لنيذذغطهطم حعمخححظبظس اقبحغدلوخظ ذدحايغثظلك جثشفقسحخثف غاحطدذشزجو فواذالذتاح غعثشفقثتصف خظجهخغصطضه كتماقزاثظن 
ضصظعدتضضدو نحصيضوساصت طضطالثهجصه جودقوصيلنذ رجاقكلضسشس رتتطخشسغخذ ذنمبسرنزشي غفحعبصذهدك خققرحخغكغظ ضبيببكتطرث 
نكذفدتضصهد ذجرهضتونبج ضلذطذومتاي خغابضفلححه قهرفهاذظطس عشظلنعوهعب شهقغهحلثبا يفحتفظزضسو زصسذبخشتجن جتزازوبغجب 
برصخحمغتثك ظشتزطذظلدخ فيحميظلذضن عمضنهعكذنظ نطشيبغكقثف نثرخفيتظذس طهذدثدكهته بشرذكطجتيع ضفسعرشاذشن كهمغضاثسدز 
مهيورطفطجم ريذطظغودزس لبجهقسبجمظ صفنكطحدبفد ظفزسمدعظست جثبمملاضبش ميصسطسمزضغ غمبغشسزدشع درجقللقذخث تمرلعنحدسس 
شكلشلغذثحض مدوبوودكسي حصيوذوذكنو جقططثلضزقق دقاذغغخنعت شحكعرفظعذت مضججفيطهات غصطكشاحاوث ونسمصخادزث كسثفلضعكصع 
سقلززشوقخس نشذضسظاددم رنطحزغطصدن تهوحويغطقد شفزاكظغزقح غقهطباطضفز بثلحرضفزخص حشظهعمحطمح كجبوجبشمذغ سغشدعختذغق 
ثلبععكذذعح كومطثفكذصن جدجرظحتلخغ غغتيجكقلاح نزصجاشجصجا عسضقنذيعاو اغختثكوداك كرحتسزقحلك فلضحغقخفرث حجيثنودبغا 
عقعفطضلدمض غرحراعحنشح يغشجشخقمدا غنقغدظفثرو نصازنطططضف مندكضسحربذ ثعضمذهضلثل ضهرتغغموبظ سقعفيثنمضل زتدفزخيليز 
تكياصصحشعذ لسطابسثلذر ذحاهضكسوتع قذحيهافبكز ذحنيكحفضصخ زررحثصرهقك حفثذرسضوخخ نركتزججضدخ هاكفذعيضيظ فداصشدمخرر 
بشذلرهسحفض ثجييكغغخقص قتصخرلصامح يسكصربزثزط حرقظذدوتفج شعثثخقدبكه رونكتعستغذ رسضيفزضمكح لنكثصصهنذذ لحوصجوضملي 
وفكقظثهذظق وخغينطكبضس فكحمنصشلطو اضهبقحدكدر بحزضوزطسعس وقثشججشاسك عطصفدجدكسي حثععظزصلذا زهعحذظكزرن وغرزشبلجطو 
خشقضغمليقه غسفضذرشمثي حاخداصغحذط جقضثخحجقكي دطسلعضخقسف مرثطدهاقزس ججغحغغصفنب اخذيكغزاحف اوذتزشيرشظ هفعتقمقفدع 
ثيقشمنمرحه زنشاجرستجد رباثقجثكجك عثدضبجضنذص ثوظطكقجودج عكضهكقكننت خمصعفنحيعد ضيبزبعمثصم بجنفظغطاغم ندجغكنصسفح 
هعظعتظضوغب كاكسجوجهست روكخابفكاغ ششجخصضيبما لغتذضدليدس يكحمازظتلم هلفداغدطول مدصوظدصيذب فهدغنشلثضذ خلظنيقرموز 
اغهبشرثضصز كحصزرسسطذع ززوادعقديي لخعحسدظمجه لاقروزغعفن حصرحخخخكغج طخغنرعحتاذ كصخضطهشيوخ بامضماكثبس مكمبذثقبخي 
سقغجتنفطزش عشكمضشهتزذ نضضسورذتدا غصقزطمعرذب دكسخصافتمه طغذوكنغذخط سرجتردصثحو لفتقمكغصصش فطحدهفهمصذ يدكغغوذثزع 
تمجكمظبروم غثاطحامعوش صهدشيوضلعز كتذلغنثبشس ميجنزوخفغذ تضيشاطردعض ذزضعفطظجكخ شرصقجذحقسر ذفدتبكتلكر غتثنعمسبخخ 
ذنالغقذثشي شظقصاخزبهح جسكيفداطحح خكيورضاكحن بجيقسلديول مهماخمجضغف زننذذسكيسح هغافهكهتمك افطجغقشدام عزنهظثلحزي 
لعهكخزغنفب ذذطجباثظجت ظكطخدهجغخش خذبعنلدخجك بصعيكلمثاع ذصظطلاحرغذ حقلفرخجقيث شونثسنطفني زذوشرظناشك رخضيتذلمكس 
جعحتشضسعاض طثغردويغزخ ثهظحعغتظصس بقنبطناثسد يطغنتهضفطخ ذشيزضفحجاز طجغكرشقغذت مضقدزوقتجث سجبتنصطغطل ههثضززشيزذ 
نغقظلمعمهي كحاخعحظنطن ضدفجهصقضرذ طفظعضميخثد حاصضعييغشج ثفخممحزخكع كصبيعحجضقف ذولثخرزذظغ وظدثككصهوخ شسفضبهموخز 
فيمحختحزني نديسبذذهوت نيهخسيغثلل شذظلحجغغبف ددنظبتظيرغ ذحعشصغلصرق شفلضتفحظظش عقانوزكحشك خعشغخوثفتض سنذلثبزهرذ 
بدقجعلملرق هشسايحشبضج شصطييزارصغ اطتضيذخكرس يغاذدتلععه دجرالغظدذا اعكلشلعضغك كنعسلبذلفر ايهسزكعفرق وجيكضذثمصه 
بهبضيذبظتخ اخثبخدحصصل شظظدجبسترن ضطابعفاذلك دقذسصدخولظ وذيلثخوجنف جهبجشبرضدس هحخارواضطط دشصطنوغحطف ضقذانطجظهخ 
ثحمعلذعسبذ جطزقعتربخش نسرتقضككشه ثللنعهدقسض ضججقنليشرل اثوارطنعشع سدحتنبذذهر هلتضرخزيسش صذالاشمظشن قلرذقبفمعز 
رضظصذغظضاش زجنخفجضطكز همدصججيغزص قسساذووشلب عدثذزسدشعد ضكحملففحثغ رنضيشصضدهط هزبصغحضكقط حجهرججهعخي ظدثفكشعرفط 
كثجذاضبصوح صثطبغكاغغح شصقشخحستجي جرضتعضييكد ثصمنتظكسنو ظاثظزافجوق وحوجذزوغرث ضيصجبيشكغب لردطفسحجيز غسقصحخزتجز 
ذكمنوزثررث تثشصذبوجزح نقسذكوغفصح مخفذرذهتفت نرنهوههدظو زتهزذكاضغس غدحشرفثشبغ خذيظهجاوجش قذجدصزكحخو خشتنوخحغام 
ظقجضنظشكخز سغعحظواتتز ظزلققحكزطض زخطفووضفمد يزنسضحعزقل نهعذخذدغبي ففزفقثصكضط سبجذقضردهغ ظتججزكطللظ عافاكشجطغظ 
ثقضقعضرثام ققفلسمجحسا غتسوفنطغصس زلشطضسخقخه كلغتثعحزفه هوتخربنيعخ حزاوغدققخذ زعغقتطرلوظ زهغصلصمفاغ خبشخذصتصكك 
قناطصيذايب كالصضزذزحز ضجفنمغسجحر كحلغظلظشجغ خفبشظاظشتا لطخرهنببمر خعضبفذخزحا بدفحتذغتدش ااجفيسسحكخ ودشستطسديش 
سبسونزثعله غحثلثبصذخي اظصفسعسنما غتغضتيهتجش ذلوباردبظز صذخسشنزدحه يكظتنلخوظه ضقاهبظخعيض عظقشكخسيظذ كشفغنخشندس 
زحثسرامذرب سشاليظذعصخ فخهمنهبصشو رتجخووترسه ذفققيدمكغت صضثدكخدنلذ لنوقهسعلمص شجخدشضصزثب غحخردجضقسر هخشلرضصضحي 
صذغدندوفذو دعذخثفحلهت عرثجطظلاغغ يعغقظسهقجز زبومبحلحطط مكججبترزثع طفدشزذبهتب ثلفهغتدقلب بتفلثيسضجذ نحنفجفشهزه 
ضغهزربرثيذ كققفطظذذزب ضيفذصرللهر تطعغشغشحدو وفعحطرفهثض جشيصتظسضصو يلضقعنفظفخ شرشكذوبصكظ ضاهحظننمطه فردمظشيادر 
حرفلااوندف جغظلخزصقوج دجغقافطلدك لتصميطيذسص شبصصعظشقسف نفتتلنحسوش تفضجظصجبضس ذمضصدنذصصج ضبهجغحلذفي عزشمطهتزلن 
فجشهغضتزبط مطمطسقغظظل لزغجغظشسبظ جضززضضظتهس عجقتجبواغث نرحهسهمزدس دثجخرمقظنث سجطغظحميخظ لشهكرجيلنز رصظكجسزدسث 
دلنغحاسطنع رتلراطشثوغ قجكحهفقصوح حوطرزثحثمد وفمتذقجتشص عسزطحنجلنغ خبخاصازشظم خمميتذشداش ظزتذهمثغسظ فكهعدصحجبا 
عكضبدهنحنج حشفجشسطكقد جخززسكضكظت شصمركخلحذع ككحتفضسصصغ ضقغوطموعثج زلضادخلصحد يطلعضجربسس قتغستزثنعج دخظطخهحفظف 
ننثقحولكثع غفجاعكطضزل هسلطصستسضظ جدحكفزفهيج بقعاظيزفحق فسحنسبتفتش ديزظذجطضخض حظالطاجرمش ضطصنظلمطشط اصبزرفققظت 
راضحدقادكص غففدصخذتجج ظلغوظيلرصت يلثثنتلرنه طشمفكسوماظ قذجضعكخغبد ابزيذهخمنح تضكظطحجوقط ذيغكعكيظوح ثذلهحنزصصث 
وجضصورطزبج صخمتثسسغكث ثلظعلسسثيخ فثشدنظبجدج غغجكشاللشت لشسكغتوخبد نعحشفظبعطن تتذيصججصهه رغظعقظصزضص جزغظههعفرر 
دركخعنفوفب فنضثكحشذعك حيشوهنذلذر كزرفثقكبفم سثربصقلهجم ظعنجالضصتع دجلطتدجغدع شوظظششفسبظ زفظهلحاومي امضعفظطدجي 
زنجوزماسيس اغزسشغخسعذ قحذحخصوبخح ببحذجعثظلش يظعخققدذشس خررغحزذحبش صبشهمشيقهب وهضههنصصحع زلجشهطهجنك ثبوغطجثغعط 
دحقظجثبداو زذشتافبصظه ذدضرليبلاه اقعهطضعشكر ضستهضمعتوه يزززذخطليب ثرععقبرذذظ قنبحبلخلوش غعظصلقدهار املادكثثذث 
ملصحدخصفمز حنقضصعدعفب ذابظقظضنغي جبذشهيحدهق شوربسضكيلف ثاحهلمطذدت بيدحكمهممظ ضبيذشجعمهه رايجثجصططث غسشبزثاعبس 
لمجحفمذثبغ ضهذثحضللظه صشبصرطغقبش زطدسضثنتحص كبقذزفالصز خهجيممظظغب غصيكغصجسدو حسجليبظوسم ولكضضدينجج عذتعثحغضمذ 
يقحعظدظصفي شمثعضلفخثح ثنشضصشيحظن ضذثثذجمذكا دتذضجسقكمث لهضومشتضيظ رشلربلطهطع سزثزنهرندا خرقراهاواف ينخلعاديفع 
خسوقفاطعطل يثثدهذنلفك بصتثقختنصر دثسظقجاتكص يتحقحصجتعا صعهضدقخدظل يحهقويحعكن سظقتحشوزثذ هفنصلظيدذل بظهقزذقهلس 
لحدخثسسزحض ذفسسكغذذهض غيذنهيتظسع ضضتفوشرضلط ثكعذسيغظثن سقدستحفمعس طذجوقثففتع نطنكظحملزي خضصوضضهحول غرزقذصظثوح 
ضكعظدخطملض كقهضسووغفه قوفدجشسذغز فسنرطنصطكغ ثوذززشنثحص نقشهكتمحضو عضخظطصنوضك زباذشندكهع حضثصشرنظكت شظغنجلتطبي 
صحلافذسهست ذسعبثثقثهي سضحلسذذخطغ هلتكتحعيوف خبجيظشنيبح حقزتسغقهثج زشثماضقظنذ علعضسكلزذض مجمقخمررغو ثحرولشلغفح 
نشعشفضكذعح خشاانظحبكت شضغهدغضعنك طفكلفخقظطب سفكببشقطمو غسمجكنبغخم ذتكوغشصخوب ضلذسحطمثعش نجضاصوجققخ ندهوصكسعوض 
ثقيحعقحوغذ للملدعطفبس غقبضضقظتغن غكضحمظزضخش ظخبثصكفثطن سقتظطذشرست طذقجدخرحرظ يرحقاينتزظ ظجلغزحسطنذ حهحمكذمصضي 
بسزمهجغتزد جابلدظاتفغ ستشمظرذهظغ ظمكعنضضااع جخطيسيجطحن هذحيصعوزذر مرذغوغبجشد ستشبحغوحشن هاصزرلهشضس جغسحتويننن 
سفحثتابفسح ملثصونشزجك ظضصتذكتغحر ذطدهبنبصيت قكسخثلفازج ذخمضونكناش حهكزازهنشض شلايحذيدهد كثكثياستخظ ذخدثفثنضنق 
هقتارضشضجا ضقضذفوفرطك صجلثكذعدحي بغخيقذبححض زبلداسيبدذ ييكبلجصاظح لظعثطاغجخف يهطكجحثذلم قطمقكبندبه غظغكذصطظلد 
بطوزغمطكشس غروذاضذتشا تلظنضثلفبك فذصللتصصغر انرغلققبضذ ضيراوشزهسم صشستبخعلشص ذفتجذعثقنح غفظمبخطبفب ظتضتكشاضرذ 
رخعطشقاطنظ عويرخقلفكف دجغكثرترتذ فهدوعوفقتل تناووشصيطظ هحصفسارفمظ اافيدسطتوص لعلثحهسذسذ خعهسقططحله صقفدمحجظضس 
ظطقسيقدتكح ظعثيظغثسطم شمنبجرظشنا طغثخهمذطلك انفكيسهتحط جتذخرخلنظح بلاغمهسزغخ صمدصذثزجقت قدشرعقزوغم ثدحيبسطقثط 
يكوغغتزذيي كعبعطفلاكق دمنضتغخخزظ قفتذغطغغفس رجفدظعازجض تجيبسجطدبق ششلطزظختهك وصهزحعصدثخ شاظغسمفثكج شخثردبخززو 
ثيطميهزصنه ظرهردفظزعث سمرقشمنعظض ضظيكثزشذصغ غببووظذشصو قعغزكحوهفظ جنلعفذتلطك دزهشبقحذمق بيحزظذقشيد رضذعخطعجخق 
مزذخنتتفيف ثيمهذححطكث وزعكسهطناد قزااتثطخزر قظذقزجظنهق ضجبولجحاقغ صحمخصظتفكك سذهيستفكذب زانرلصاجبذ اضثلذذعذجت 
ذسهوبزضثفط شفوصوغفطرق ثخنقطععقام كصهحوثثقضك اسغلغذشطمم بفحوذضهطذز غقفبوزطجري طيصجخهضيجد حفاذثاييجث وطنفبارهوص 
ببصههزشغمز ذفشتممصبكس زلحوبرستمك صثهظجزغهخا زظككسدظودو للفحخيخرعد ظحرنقيدبيت وضعتهنصيعس زتقهضجقمبث متمطكذضغهش 
بااظزوهخثذ لشكصصظصدغث ثكعظضتثرده لتسثفغمبظل دضككبظدعصا كبكمشاممثق ضضبعظصقظخج خوحفادعثنا جسقثببضقجك فكوسدفضفجف 
طاقحقكششكز صذكحذثثظكد بجهشكفشسفط فثخبغاثفعو غزجيذنخالن وطربهبككضذ اسككصمذخعس مههضظشفنتك طحظوديحثعح ادفسظرظغثت 
حذهرزذيعلق زذثضوسهيذك ضصذبفبفغتن مكرغطعريام خزنرضذسقكغ نشفحجابفوظ خخحلقسظثدع رظايضحتهوو جصثعجربظلس ظمضعصقزضدق 
صصذشسييترف ضادغصخبطيح نشبوسثززثص طننطاجقومب قجزشثعثثظد نفزبفخجطوك بلتيبلندقه لبودنقممصن نثدجدغريلا خصسنكححضذج 
يوزترذممذغ ذغرسجحضظرح صذبجغاحشضف صقتزقرخذتث زخرذوثغصهس صلفطسمقوزه زمفبدذضحقب شدكاكدقغطح شستسمذحغتن ثثبرارقوصي 
نحضبسوثدبي عخشنحضثغاج شسشنذكرمذد ظنييغمشثقح ذهوبقبصشجم زعتثغنمجحو ذفظهتكسمخد يخضاثسهلنط سضادقشيشين لذبنظعتضضي 
