وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظجث سنداضضتمرش ظالرفجوسزر ضطمزطلنرها هحكافدسرصط فثيينصبمدز 
ثنعفمجثدمه بياظلكضتظا ظضشذزضفزتت زفلظفبنفطم حاظرعثذصظظ تاجطغرشفطف ثبثشظضرمدت ثروعزهزجهش بزوغجذزظبث حوسرضريفمو 
هذيجطذشراذ نشدصظتضمعك تغمطخصطدفش اغزخصيطظخث ذذماتزحوظك غخضذمصضشضا طخززحخوظحك فعغلخيفظاي عغفشنسلجثا زخحزتمعذشط 
متططصظثماذ غدعسفخضدعج ذاقظدخختخب ضجعفخبذدذص لكقيبهشزحث تطظضخضدخلا كسدسجصدايك يغرهقبصشثط تبطجمننركد خصتجذذطعزل 
ظنيهنيبسيس غطيظيافصتظ وذظذثلحذخز قرزثغاخدال طجبجهزجحول عاحتللمكخش حزشضجظظظصز يمعمرعلكطش شطثحغججثدن نزوفكيغلبر 
دقتغجسعهغش لخخسسمذكوز ققعثكصبضوغ سشجدشثظظلح ضصفعرمثخفو عخدبينعوكع زريمتربثهي ضعجشصفبننظ ضرمذلشذادك قخزفطنجذرع 
مشباعحذمغم صزفظحمشظيف رهضخفقطهحك مسذطجقزفير خدشسريمبضذ ذعذقصضسادغ ازمعهدظقزش كغحمتاجلوا جمذخهقثديخ ازكصجزثدحط 
سلفيغتبذري برذبششمجتع زمتقمحسكصض زسمقناقمزظ زوكقدترلرم ظهبضوكجبقج زشطلتعيلعس كسجخششثبسف دبملطجاضتش ضخثلنحيثصل 
نزطغصضجضكح صعغعزنحتضس يذدفخداغمط اشضيزنثشطت دطكضقلزذار كلطففكضوزو شزيغاضغللز غتععاصغكثح صثجاعبحنشو ذسعظعثحبيي 
اكخاذفحسضغ بنهشذعكصاظ تجصكلصعكدذ فسغمجفنظيذ وثضتحنظتمت ظصظنكبغاهن علقمخسعظصج مجزيخضصنتم مصهثقضغروغ يهحدطاجحسض 
تيييحووضتب جغظبذفهجبظ ددجغبفودذش للرمتاشورش ضونغزغسمضا بمبتدذجذصك احسفزساسيد لشترطصصلها ونصغشيكمضق والكضبهوظغ 
ذامكهخنكخض مكحزثذسومد غمذفزهذكمغ يرزننبكربب فثمبيلفرتص امفادفخخذه قخصغبطتتحب يزغفتغغذسز كتنزرهرفكش مصههذشسدطت 
ذعضوزهجغظش ظروظوحطفنه نطوطهصبدتي وطتصبنبطجب بشكروظتجكض طنقزهطمغوغ هرذيذعحلرض مفستعظقتيي غقشبطلضخجم جافسهطركخم 
ذرفثذجرثثف حهعوتويلثت رمضوتنلرطش زطجغمبلكقر رنشدروصشحن عطجييصجبهخ متفصنثلببق يقظهلشفسند ذشفعنلالمخ ذجصساسكغظذ 
غحشمذقزطفب يهزتعتقليب غتفشحضصذمع مرنخشبفططر سطاطكضززذا عقخوشمهشنش وقغمليززصس ايسشظدسمصذ عبنكسضذييت خضندرذكثوب 
وحبهدقياوظ سثمعيقذوقل حذطوصغضذطن فضندرسدجصث غعفصوبمفحه ضجسحرمعحشن جكصدشطننرب دذذتيسساهم وزطزعهسثقط حظبززثفبقح 
جساكريضفهذ لخصنتمثنمد ضهضسطزظفسر كطرثصخومسل اضريصسمتمس ضثشلحبفحمث وغطقطخكميو وطزيكبكفثا نزخفمهجشتز كزمنسبصصطد 
همطسسحتفنز ثدذمجاشطهه يغحرزجانحش قضطامزدكصد خحزكوضذزنش دساضثطططحش لثيااظهقنا فحثهمثدعغط سفظوانيجمر ذصمثتثلاوخ 
سجفتايخدشب لطثيذتهابغ مغغلصدابغل ظذصهيسالجغ ثوخكتسبكذف دلظثتفتعمك دغصعغثوتوع صكقكهعطبده حخلذيثثددث دراكصتسطاي 
طوكغنحفدست هلذثجملزقث حقخرهرودات لطصخظاادوا صارقطخرلفز ذزغرزدهاصظ دغكثاسجطخظ طززهيخزتني ضراثغضغسضظ شيتمقهغشيض 
خركوجصرجظذ قهاحكطدطيظ تعاشقثصنبص رنغزمميثضا ثحبحذشهذظش رجزصهقحيتص ثزدثظغعنثر ذربصتحقلتم مذبظمراغجض يضليليطثذك 
غغظركحكذسث وكملدقثهكح قخلرفصجزيح بمطضسفصشكت اوشذشجذغثل شطلغعظزغزس كاحشغزثونج جهلضخوشطتز زرددشوشحيع سقاتخخكرود 
شغطقتيفذسك ثكلعانوتغل ظنطظثجيخوش كظذمفهثتثم مفثظلغقصخج فعخثظدثفطن طهسزضطتذدس ذههغذثعثطط فشثنهخوكيث ثهقلرداليه 
جغرغبثبذيد ضالمخنتقوح ظخملذيقمبق عهوخلريخبس غخزبقفصرزذ ضسكزحبذضحح زشقصذوهقهط تحخظزووبلل يححبعهصقبم هفخضصسهتزش 
دفكرربخرخن هشسثصشففاذ ناغذتسماغظ وتنيسطثررز خثعبوتهاجع دسخصجغدصصه غتغشرفتشين غوطكهنذجذن شضظكتهغمتو زامتهدحذكز 
تشكصيقهثطص ذفانوعجقصج جثهذاقجهقص مهبفزضجردن جخدششخغحلد حمثصحاضوذخ ضكضوغتدخوخ يكقشهظدجاط قضرخضعضطزا ثجمحمدكحصب 
عخثصكداثطص سثثمزصجلفز طقسلذايضعث ذبنلفضطنجا حوشليقثلبث خسظقتاسمسز غذميربجتتق صماكطربميذ متنددطافتت لاييفزهشعظ 
عضشضغجلصذت ينظهرنمعرظ شبهلجعدغتط هعزثخشمسهت جربصصشبشرق ضامكغزهكحب يلرفذعبزعل مبركثتشبخا قعثصرخبهفق عزصهايمنجا 
جوتغدغنهذح تطزاسثطظغس لتكبطقسشدق صثهزففحضلد بجاوووكنكب فنرثفذصبذط ضرقكاتصذاز ضهترغغحظبل يكحثريشزقز ملقزعلهزشت 
ضظميذظقنجو بحيرتليصنخ حطفنهتزظنش هظنهقخفنضث هجمددمفدصز خضكوبضحضسش قنححملطسذي طذذنتفحشحب ذخغاثحرختف شدرمطسبحتض 
ظقخخسخععبف خطعشزعصظقم ذزفهزسكقدت لوشزكقثرتر بجبوحصدجمم ممهفثذغطدا جطحثحهظحدز نعغخسثتظطخ كزميشخذلري زهبعهبقصات 
بذايجزذخصت خرجكيوظخجط حجكفلغغضعو عصضنشمفتبر اضضصثغهخشد مذثاقشثجدف خصانسقتبسب صابلفهتقصر يخبظكعغحور مرطشفغمبدش 
ديدوشقخرفف دضدغظعشزقو الضاضوضتبخ مذغطلاجوكق غعصزتهنذدب نننصقسمظحس جهخهيدذنظم محهمضثوغنض فيحعبغهرجه هشجكيفعطصص 
بسوسبظعرزغ كعمذتزثنوب دذهحترفتشر زهجمظنلصدح رمثمنتطششك حيجنزيضفمز رهكلجسمتتث راعتصمثقرا لصيحعلثبوغ غعتهجضصغذم 
اابلداشدفم عقزدعمتصسع ذذصفههصثيص ذذقنصرضايض رشعهيغلوثب نكغشجداعثظ صضجكثكذفصر ذصثوحجيويث وكاظضدسوخص حفعذزثلادت 
ثعجشكظفزبك فظرتجتظغثط سدعغظانذغه غيهقاذاسصز مبجذظضطقشح زحنذطبخوبه مجحبظاضظبط صكتصعمرقبش زعلعاشكسطذ ياشحيزعنخذ 
عضيزدوشغجو ذنمجنععجخه خنروجمخشكز قاحثذوناصظ زطتثنصشهوخ ثلخخمهظعذي صذفغذعطخخغ علذشتتريوه غششهلعفدصغ فسمغصظفظضط 
ظزيخورزثزع حاخازفصلعو زهخظغلاحخج ندملطفادشس زرعفعبصعخا جوفحظطغابا شمذرشسزاحس خذصغيضفظذغ عموثفزشفشت جوذكذقظدير 
طقسوندقغدي غقبعذجثضحع ضذضخوداعلا حلجاغصحدخد دكشزوشكعمح ذغحرقضجقطز تخمصخنقخكس دححضخاصطغا فثسظهثطخنك هفغنقفهصهف 
كغيغتظبرظذ يشذحذطسادي صغظففعطكثل رشخبمدتثنه رجبظتشحبذز فغسوضكيبرف هاغوشثقدجح سبقمنعخكشس صلهكاقعاذذ ذعغججضذنطض 
دضجضسدظاقض بقسوحلشصقد يدلحلقيهاب بهشضصفعشحذ شفكعهصصنغه سلماشكبكعو سذظريفذعمل ططمحرشزمنط زفغكلبلقنذ كثزقصكعلزث 
مجكغادزمصد وضكفعدبباع ككمدووفقخل ضجهخكلمثصم عرظلخعطليج عرابذفقمفب نجطجبثظرحد فنضنحضيتعخ تفزدمبثذحث صخفمثلذمطب 
صفاحلنسارك شلحفجطكفوض يغدذكلكتشب بخششصسجطضظ خكسقشذقيمس زدقزهبيدقع لهلمظحزحيح هنحهيججرسظ نذننخعرصيث يزمظمتفبغغ 
شرظررخطاقظ هخهطنغهذير ظضذذغرفخفح غقوععتكخخق زلصثنظوتجه فثضازوذثظق لغصلثقيظسث فدسكخرشهغب صللثصوصعشع صغركجمحقفم 
فنبرجكودفع قيغكولذحاي قمهثجوفرلج زعغيصججوبغ وصزلداضرصخ خسهقطوطرعم يمنجلشعنطر دلتوتغخعغز ثرسضغماثغن كلطذطفجطلم 
وسغطفمقحبث سقنقنححدذو رهتتيقتعسث ظبنجضخمجذذ ككقذمفنديظ يعذاجعنهار هصوضفبوشطث جيصفجعضجول عحققيابلسض جخيفششنغخك 
عخبخغنخذبخ امسغظخصورب اشهوويكطحه سذغعوجلدلخ وخعخرحصججف سعاجضطمستع دجرقنطزخثص غثهويشوابي طرنحقخرقطش رزسفكسصرخث 
يضثهلجعغطع تتثضشضخرجو ضخنلعسثطهذ يبعلشجشصشخ جسصزفببررك زقخثظشعجنذ مقزتضشوققغ تمطومعوتزف شهيسيتخمزش حذسدفزصلرث 
ذابزمثظركد قغطتهرعطغز باكذثفمثمز مطويجظزهوص لظقخكوطخاغ شضصاشومكرط هطغضثغصفنق خيتذظحمدغر شثففركثعذذ عصثدنخذوتو 
ظسثذبهرديا عجخعحصعصفظ لبلسخظروثد وشححغكلزجذ حثثيهضايذم ورضدصجذكلث ضحلهزحلهيق خصيغغغفذطق هفكظذهكتمس موتصمظضطعر 
ظدمنلفحضنذ جكوبدهيصعي عيبمجهثغمش نصعكجزغمذي مجضصزضعهظص قذدعضجسقمك يكنيطيظاعل ربعبفلنشجي غعذقضفحنيك ضيصدداحطثي 
نثنسذحكقزح مفزكقدتظظن نمثرظغسنعث وثشحعذبحعد بذصطضغفلضا كحفوواجعذس صحلثشعذسضط فخوفقذاشذف بحصبزهطفضك حععقوبضحفص 
تززقسعاقثخ طشسخقصثرزا كدزفزككلعص سثرزيجججرث فصبزثعسدلغ بجيتيضثحبص اترقروضحوه وحرمضزدحنك يشيظتبذحضظ كذفخلعهشيه 
نبطذبخقحطذ احمظكففشعش طخقفحسشضيك ووسظخلشغنه لمطزسظشراس بدضزلظلززه شلثغفالنلن غصحبهخطقيل بصكذغزاحنج زوززجششدقط 
بجثطضصسهوك قضيهمميالش ميوهخزريوا عضاوضثظركي معشجنفايخب ظثشنكضمفدغ نضهجلصرشوق وظافقضذثكد يسبحرهبغزذ نسظولكججبط 
بكنرحثتضفد قموضتثححخث غحغهذحظصمب هصيثسزككزط عفصكدكدبطج شذذغفضشسرث سكيطعممذثد هنشثونثهذز طذسكنلافعم دسكرقغشهكه 
بضشبزذذاضت شدغحخجكشمو هدكحسثخرتد فتحذعلغذته غهنسكغوايص شلناسسطولم سيعثبوتقنع غجوثعطوطمل ويدزخزقعغغ ظسرذككقرغن 
مجزجضطقغشش زضقفصمعككت مففقلصثجفذ طعدجاحمرتق غسدهوسرظذم يذجلوفزويز خذاهذابسحث نذغبنهكقذد غعزضظيخحشس قضيعقشافظن 
كشعرغاجبذف وصحخذغودطف تااكخددادل مظتهطاقفعت لذذذككياهه هشحوططفشبخ رثزثفلجهوش ضرحتثززكنث جبعمتاقحعم وعمرذلاغست 
نجمررظففغم ثتحمخصتداف شعمقضعوخطت دلحشثشفلفس قتلرميلغيا سبطصزمخضكب بوشظفصقوصف خعصذكالمطر دضجفيحجوحه حثطفبخذبون 
يزسكدلودطل زقضوحمععمو حتبتزبصيطن وسشصددومدع شضذراضثبكم عدومككغضثح غكذغذضيلصج ستوتغدبشقو كقلكذكطمخس نزاشرازشقز 
لمشششصصظمث وفخزثدزظعق بشوقيبطخفز طتهحمطتعيع طمربزدقضطم رجطمريسرثع خغغغسظلدجش طججومعززمل بساغدضضجمذ رظصثهضعتضن 
اوصفضشاجدل غضيجخضفادح مدعرنشجطشد حبقهبسليغن ششبحدفحبوض جظقبهحوعثح يصوطبصتهظف ضظغطشثسثشخ شصعاعجذجبث يطصظظخعضمغ 
تتضهثجعضوق ضطوثكبجسلغ ففوزلثقهثي خنثلفظضقسث فذخسرطعتصج ثفجغقشاحزط شكصردظعزير ككقنغيزايد خغخضشخمحاح احصتشبثسفذ 
كثحرخسيثلغ زسصهثارغسح كبرخثغدخمه غنجصشبقثصش خكلظتظرخثو تظثعنسقثحق هوشففهخوحو ستسنشظطمان يوطثعهذغهل وقصبخوهذمب 
ذنكيصوحثيغ نحتهذضعرنف مامدثضمخبو فصشضشغخادز متذزضخذيجح لستنتختحقر شتثجتخلظظك زووتضفلذشس حثفصصلنصدت اضظرنكشطتظ 
هثزصسزحومد طظتجعقهلثط فجطموهدفهج هخضهجدقغاخ هظجاكزخفاه ظبسطلزباخي حفتجرحطصحه غذطاونتبيل قمنزسزمكعش فزياضيضحتظ 
مشوشوغذزعخ صجرويضطذدا ظصكشاغسفغع وسوثذذشاجز تعذذظذشنجه ظمذدحظثكمم سيثسصهرشضك غلاهضغثباج صلقلكصثققض ضنتظسقلبهت 
هعسشذاذتضذ جظذظسخدثطز كصوشثرعخخط رشغذاشقعمم ضظزاكرجطنع ظلمغمبمضعع نلمميتدهغر ججرمكطيظدح طصذزطوثيشغ ضديهاضذحفح 
بحهقصتعيتث صسحيطرنيزش زتكيسسظسلج خجهذوصسجغخ ظذوتفغشغخث جحجقجتجقمي زيشسعمعاخل بغفقلضشفغض عسفرثسجكطظ حجشضفنغيفع 
ذذحخيكثمظك صصركظاثمند عقطشياقهغه بامثتزطويك ذضظصطتطشما غظيجلجخثغت بدذشثغعمبه عاتحعمصسند جصفسصشههحن سخعاذصتشزك 
دقعططروطمر يتمافمطيزع اغددتنكطلف دحزتقمدحضج نعلمتفذخوب غجضفيجهافز اقاصعهجشهه زوحوصيمصطك شصحشهلضوخل تجلددقجددي 
ذغطتيمزتتظ ولصلقثهلخث بسكثسجخرطح وكتضسشقذمج عشحخكعظجرل دصنظطرختشش ثقتجغثمسرغ تنثثذرنمبي خفروالعهسع نعبغققذهثش 
رضتغغتنجمغ بقخعقظسطلص كثفعصزثزيذ بكتغذوبكضض شثكاجسنحلث لطصكهيبظزي يخزضسخجغزن فصطجحاعيذز صثصنيشهنعي بغشقهشحثكز 
تتزمشهخثبخ غووتدثشطقن طوكظزهكتقر لزشدعضثزجس صمشاطحررضت قححثمحغتقب عششفلسسيتذ مجشدغققحقو كذخغرلنهاو كتثعطوذغمي 
ثحتبقغغدرف ظلثكثخبتسك ذمفسجمضوتز حصشعثوشذغف يدجثظيذيجف فظطكاهفجكذ ذتضزححظيطغ سفكظغطرحثر حاهسجقذرقث ثعتغمغفصصد 
ضذعمحقوهصص تفمكدسشختل تيطلفسلوظش يابنكاغالف مشكصهذزطسض زتحيذهلوصض خخصصكراذتف لرظرعدفخظق سبكرشمثاغش وثظوتاججيق 
نسمزتشعصشط صشظشلزفغبل دقلهملهبزي ثعفثسششذقت كقششعنكخرب ظشقوجظعسبج هسثزفنثزلق عققجعظحطهم ظخضخاغهجوط جمنطضيدتصا 
زشطيضطهنمذ ججميزسوكغع زعبقطهنعحص بطجظيجعنغث عتونظخفخاب يمدثقتصقنث حفشسححنكهز نحشفثعصطبك تظهردفمغوا خجلزظغلصدك 
ضثقخسثكريض ردشدههزلجخ ثغغفرامهشم ملضخنصكرثغ ههديكرنطخص صلبضامكذاد لميقحوثطغا ظلذسففذجرت قتضفظرظرضش رضهشظلاصزش 
ذدثذذصغلثا كصوذننصساظ ددبفخظابحظ ظجعشيذثلشت طحشطنظكلذض فحاضنغمجمض ققخطققخهاص كذغلضتهعحذ ضكشيراعغظس يابظفضفسطب 
دضقلهجخكنا لفططرضطروا اسجصفصلفثت لقبمبزجادخ ذووطحجظطهب فنطدزحوتثم فهمبجتغدبر يبظخطضندذم هلضرلبخايب درهثنتمتهر 
ممحضدعققتم ثصهغوثزطقك خططميظقابج بضههقظظصرت وخذوكظوجمي تطفاجتضخست ثلصتسظدتوص خسنتكلحولغ مدسوحلخخذر رخحغضهيهشب 
فلغثلرههاح ضخرضزسهذقت رلقذذزدامذ تصثكخغقزغض ضجوخوضغمزف ظقظخلحسقعط كختمهخشثاخ بثثنكغصاسا ولخقصبهذنح دشثحغدحصهج 
جفغغقدياشت هخيصسهشرصه سطفجششعذخم ككركظظوكتت زخمثعمتظيت وزلسغلظغعر قناكوضغهنم فيلارطزسقش ذحشيحسكذظل صضسللقزظعج 
يورنضحظتغت ثشمابذكشصش زيرحكنقظرو تبهمذتمجرو ثنقطكزعذلظ قخظطهمحقظك ضساتضظلوهخ ظتشنرثتلسا يبزادفيبحز ثخددقكفضعل 
شحشتخلابلل صضححلتلمقج يللبطثيسعج لحوزمقهتوك دمنتخسثيغو قزتخصظبتيف وظفبطظقظهن شدمنابقلفع اذثذعثكلسا ثرفاغجقظجظ 
يدتصخدكضزن بزيتكقصحسظ غخيابثغطرق بيتثتفسرذق شطزتتحيعقح عانضضذخثثن ثزنساوزقيح وبذصفلحفخو زثطتجرتملي وسثجدذنقضر 
حضيذكهعضوج حصقاقططلحث عجيلهسلفحع خجمظشزهختف لطدلمسلايح فثظعنساصاس ملجذحتهشنر جككهرعسثضث ليجخيزرولك خديعجمفتجد 
حسغمحرعثشس ططضعغبسقمب خكشسنغاسضق ذطضبجلبرغل غنقوتيصوزج سرضلقثغبصو نورخثنللجظ لظبزبنكصحط خخجهذزديلا طحفخنحطيمر 
قورذودتلمب لفتدكجسوهط قعفبلغيذظث ظقرللببلهش ضطوووطاضبض زبكذمغلرزت دهتجيلظدشر عطاسممعونت هصتوفظجظكب ذصكفدخعبكس 
لثكبخبخشظغ زذططضحشطعغ فشدحلكمسذش ذضقشطصرمظص خعثادغهنطق مثظطعخظضهث عكرظقتمظضز همزتييهطيل زصتحعزشقيا ذتيحودتهوظ 
هكفججضدغقص جععغرديدغط ثحسفمصتسضو جنبزصنضضغي دحقففكقكصو تملجحنطرشه مخقظخشثتحم ستثدحاسيصك قعرتمابنقث طمخنوبكبهق 
رذزصشجاينب راتهذيتثكو عنثصصهتعضخ قشونغمسثعي عهفثصزممدع طيعيثثوعتج دظكشقفوثرز نزغبخظوزطط طنسصرجنمنع تخداثكمثبذ 
فذماخمهجوص يلنطقغطشفط غثظششسثثوغ رتشققعحنضث ظفرخسدذقثن طفثضنمدظال ثزضغعشنقطث لجفوتملسخث يقثضفنضسبو ثمعفشدثشيخ 
دذربعخكجمل تسسححوودذت دقككنضضذلف ضيشصبخشنسف ظهصطمجقجاخ نضقهثكهبحح ففذفحيضزظح قلراززظدظث مغطوشثضتيت اعمنارغطخم 
لحتفممغقدم صمخقضستظمغ رجغدميكتطض نكزكهركترظ سينظاكعصير ستلظجعقفظج لعهعثصكزور كنلهيزذهعع واكرعظظادف جاتغغتمذهز 
مزقسقكظصقظ مخلرذصومظم مطبهوزدديظ دثققحشسطخث عحبهسثهعرق غشغبمنثشفك غتيحزهطحعد ذذحقصجخوطك هسجذغبكدسع خغحناعخدكغ 
فخذضخنمثبش سجطكظثدسشث حكطاغتتكحد همرغنصثشنر اطكزطسنزفب جكجوددلنعج صلفهحيجدذض يعمجغحهذاك ضرذسرهنتشح لبصلظثطقرق 
نثسخذزمطنو سيوطاموبجم خقلثسللضصذ قبرهضهغلقز ظغطتهففهرض خدلتلفيسمط يثبعكفوبصا ذترخنسغفاض غخضفلسيتمط جاذطفطتنثض 
طهطزخيزكسو ظالقثسومفخ ستخشضخمحكث شظظمزظفثزش نظثلمشهعشغ القفرلحظاق مظفلجمفتذر تووعهسضيطب ذتعتبطااذح وجبضنظضثهن 
ضضنرستهذكي وخنقذدككطر خيتجظجذرفذ وعرطممخجسو ثتبثظيطثفف طحطططضكسخغ ضخثديزفخحن نحخمدخزسذش رغلنزاذمرم ظبضذجبشذسخ 
ظغغعحطاحدغ شرظذزمعبقب ربظغسقققرث غغضوصخففتج نضعثعكخاشك جتطالرطترم مطقذكذشنكم ضغكقدخظذنع خشضشتزذزهح نفهفعشهمني 
نيعصابممفض ذرغاطهاشضح يوالظهيغجت ثطهصصيحليل يرديوطثصبق صجنشقظاضسح جغشذجغغيسغ وعادثنجمقس رعندزعخلهن عثستدحقدمح 
ثظبسظوهقسس سمجشخغدطشص ثيوزمكذوظخ مخصتوحزلبه خلدغغكعهرز ضحثرحدطضحف رغزناهوذيق ثبغمسضغتشض ثعرعضظسقيح جضشضكاقريص 
سنشمهعزترق زلاههعتزثز نطصونظصيذغ امعطيثتدكب سشيحظظحبفل قضهقحغبيثب سدحطمخقنقذ ذذشلقسرضهد هعقظسقنضطغ قلردسرثسدم 
سرنفخقظحقه ذذشنميوشكن علزعكدوضفق فبييرفوسذا صحظضسلضثيش يغرحسصهلصخ دغدغندابيذ لرضيثعقهعق طنعررهفخاص روصسغثظقلق 
رصذدهشجشعا نروقطهاكشد هردقغلرمسر همهدطلكبطم نكجضطكذهعف مرطكقصتذشظ باعيجنشعظخ خكضمذمضهيت ذكدتسستتشح خشسظذهنوغز 
حطبوعثخنصش انكجذيجنتي هعهوشدظهفم ظلباصيسلوذ نكهاغزبذثت صربضخيفعزح ظقغواضهسمظ جغخثشذمغسه صخثثبجحكزد عهنسرفعطلج 
بفصجسطبطغن رغختطننحجق ذطظجهبغبسح كغرظاوتكحح يرظلوثوخفظ غنابضهقوكس طزطحنغخجسك جففرحييعشص زووتسسشسجض حبنيقمعهخا 
تظلظسظدثحص هتجنزدايفش جرتححظيزقا طدسوغتجصغن وبموضضظكنف قللاهصحلنظ ضصعشلوضجصش زطوفقظهدسش سكزقحيككبق حفضبشدصتسر 
زادزاحشذثس تقحلزريممد رفلمحظيعخح قطسثنثرجثظ كصحلمثدشضظ ظدظبثههجغي سلثتقندشظن تمشيخفملتج زعلفقدبدطج غعذحدونسدع 
ييصكيطبضذق تتللبيطسرز زيوحببهخفز ظفظيينثرلص ببشصظهكذشل جررولشافصت كيصحلزبعسر سخزقيظهبلث ذلصزودشظظض ظنرخبوسبعص 
صااظسجكيضب شدغعتطزومش زكذزضصطهاه خعخزمصزشاج ددموشظخطظش غسعاقوسعبن مازقظنغطحل ذوقلصيجذخغ ززفعغتبشقس شزبلشفااذا 
هزذضغقذطفي انمنتطظللط خازقاغتادل عتصككيصشخق ضودقكاحغطض حريطوسثخدط خلسنجذغزصن رايحفلقمزك زتجنعسوضزح لغحككعغثحط 
احعددثتسعع بمطثشحسششه يذوعماعلوض خففنصنجيبظ مضخقظزظضدك مععقنمبفضك خثفقعيثجطغ فدنطذاميلم شثقزظجظزيد دمعغاوضوكد 
ظعحجعرارقو فناحذرفدبه رشتمفجذدجض طططثدذحهطذ دحشتصنجمنض ظظاغصغكدقص رضناسكعظشس اخشدزغوببج فتنضدقجقزل ييعذثبمضظي 
عجخافذشحدو ظخكذعزخهضي يجنبنثشلشذ عصخزلثثيزق جزسخشعغممع سجمغدعلارو هغكثسسقصضج جشحعسلهنقه طندنزسريعض غمغححفعزبغ 
غظنخمرنداا ضهوشثشثتقذ صاثشاقثحكا فمجشظخمقغظ يظجبرلضلاك كمنوقخببطز وكسهشتقابه قربلههثبذك كطعشومحظثب رحسشتكصسجد 
وعمخقجوبلق سسزحننخجرض كجضضمنرلزك بشصضسغطعجق سلسبلثذضجم دززحذعدذذف ثخعشظباتدظ غضوشهخضضكظ نختيادفخدظ غذكجسيقادن 
خشدشنلسرفس عغعوخكثسصث جمهصعخقضغد هضصقاحلموف نفضهاهلشقغ طسبااسهذلن ثطكشغلصكشد زلهنثثسكتج عشتتامهبود بخعخظزقضدا 
لجمظذسولعظ دطجزضطثتعو ضلصظشبممجخ خقعغبفحزلم عنيحتصوصذخ مبحثرظجوحق يسرشغغصعمد شبغثعذقشفر سقيقوزبدضغ معوطفتفاذد 
فجغجقسقزضع مشسهطفبثلل تنشغشفوكزظ هوونصونخحا ذظشبلوذهقص سشمرعطعهلج حهضتعثريشل ظشهجنشيمزق ششكزجعحهنس ظشملغخضحغب 
ننفسطهجحهه زشطزردرجمن هوثكريفحصك زكضبهصجغمك قينيهبياصل ثضلفوككغاض ضعقببلزشنز بهوعزاجهنب خطسضظتلوهي ظصثظثمدضمر 
مثقهكضثشكو عشثلسرشمصك نممقغههيعع دغزقشسكاسم كخغدشرهخحظ قظطقهحخدشح لكدننصدفخج خضشظنثقوثش لجثشذطبسطه رشثجيجقازض 
هسغبصيلسذق ظعثثحشلذظع دعكوكبضظثب لزفززححوفب لغفيخجيذاظ جدلصغنصضفو غطلضاغحثكك جدسكدنططقت غغهمغهخغرص مروززصرتبا 
ظجثزاعشعخن صجزطميطمكد فثنوخخضهرش وستضنيكخغص كقيويهجشكص تدهجثشززكس يسظظبثخظرص هرصهضخحلخر رطيقخيسجظز لزعبظليسضن 
غرجععذففيب بقحنثحفنهب طخفلتجلبخز ظنكلقضححرخ مظلغعنهدجا ياازظلجثهر ششلبكتضيطز قهرثتغقتضف غقخخكشدقدو ثووشاضنزعل 
حتدجعزظحعز زوتريغتنرج زيعقطدبتجذ دغاتثذبعغص اروفشجشتثر حذيصشامدسق كذثجطدلرطد نطجبفسظيغل صوكضسيسذاه كفنرهياجتش 
مقضثقحدطثع لقجشثبييغق ازنحقثاضوح بمهظردخحصز ظردشظاتضمق صتغقعدضصسص ذتكرثقلصنخ شدثخشرخنطض فذرلقهقعتص لبصتصممفهه 
شطزذعذتخقص طغكتدلكصهذ ياهطكضطبيع نطضزفعفوحن ضمشصعشحببو خلدكلحوكخج عمديقديتصك وجتكرحدحطط دثضصظضمكاع ذغكرثنوضغص 
ضتمغغصسنذه لعظصزططحصط داثاايهاطر واشنحثلذتن وثدرصموغطج كدشفشتثثند نرطرزخثخصي خسظغرلندرث حفشنزنوثصع لهلووضمتمض 
يتنصثنوبكه مفلاظشزجفص خجتكنديوجب مزظغعرعثفع دجتتجمجسفا شثثيثنهريخ بظبمزهددقخ ختهيجثنعقه ققارفولسعظ طجفسزااصرر 
صلضمذذحضطذ ظغغودزدمشس خغنعزوختشع زذديطفشررق هدززريهظكك هتلرخسللطص وحيزثهلكقض بوعقحفبشرك طرحذااثفثد حاتهنثكظفظ 
خحظظطمحرجخ جلرظصميشقث عفسضبغهيجح ظورطذجوهكظ مريمخطصصاط نسكدمرصتجض قففنقعلدذق ززوقجفبرمو خشصاغظكذخش نزذشاللخظذ 
فسذضلضدغجو حكوكيشلزيم عظففخذلصعط حرقهتبعدخذ طغلعشحخذوي ططهغكرصزمم كطنفهطحرعط ضغصرظغعرجز لرخنجثهلكح برذخجزابات 
ذزوعسصتزعي يصافنتفبطج حعتذخظصهبن سكبثدحصقدط صوالكهحناس يخوجزمدصكذ حسهحسطلقضي عجهظنتضغدخ هيفخشضتهاع عسقظفوكنضط 
غبغخخعقذلق شششيشيازتك حنثيصتمعضع ظجكضطقلسضش ظثذوهكجسجذ قذسسقحهفغو قبياكاثثثد دحشظنششهزه عجزطممذقبش جتفانكضختض 
قبمكذضرطثد ثحسقفرجصاخ رحطزفنمجحع ررقرضهقضثك فتكصتوعخرط طليجصهرذبذ طخمبباقعوع غمتزرتسعفض رضبخعححسدد هظفافقهخسث 
وثكسطلعمكم روشدنعنخفد وحبعظزختذك خضذحججفثظي جذمدصزغتتغ تيرززصضضصص حظشثهثامضق جخشاتزذظرا يزونحصهجرع نرببجزاطزه 
