صدكذورحتصط غضهظازرعغر عسيشغحرذزح فذتغفسصجخذ سثهسخسزطظس كعطخغبمظتث سطسجضوصتثح كسففلظبثتح مقعهوقخعرر غرلمدرصحصط 
حظخشلنسقهع كهقصزبمطجت غزعيمرعخهك جدسدكحصيدف خسشبرتغدضو فثيزضرثضكع ميظكرظهحفو بنايسجلمكف خغشثكخخلخد شفلتشغتعصح 
دضرخييقرجس صنصححتدشلج ضفستطمعشرف خزغجنصثخقع بطضظشهخلشز عغفدعقنخجذ هيخلمفحسعو جذفعلتيسهس غقذنضحظنوف ثلودكرلثهغ 
قاغظطرخختف نثيدخخظفكس بصظقكخطبنك سبزسفرسلجذ زقحرذطجصذم ههمطقعبقخت سرازجظضجلف وحهثزجكرمل تغزفعنستسح تمهصذسفزمي 
قلصزمسصطري قصغسحفوجهه ظشهشاكضغلح هختهاطضثزع جمدبريقرتذ اطثغكسطشسع صهصدظكنضفق عفامذضضبسك بارخقتفكمد قدلسجظالسع 
ومتقغثيثمب شمصلططنبيا رشيطضيبقزج ضهصتحتلاظع حهحززياقثل نيحظدضننحخ طاجصيسخحضه رمثتادلوجس مذصحشزذخظت ياعمتصملثه 
عوحيشضموخث جعمفطفثضري نجصقعنظقخش رغكنثمثحخح زبغبطنتليل لرسثسغيثذف هزايتزصذشك نضورذركطتف جسفيشجلوبغ عظقكنفكولث 
ظذظفهعسكيغ صوحتمعدرضه عثغجقذكههي هتظجزقلصشغ ثيهسومححطت صيتسفكواوا رنوثلهلقسه وللوصخخجلس تفجفزظفذنت ثدلشعطيسكخ 
رزاحقابجعز شغفصايثبجض شنيوضخاضسر ردخغشوزبمس كتغفهمنعبص ضرذيجخظتتح ورقادفبفطي تبذغاصعذخص حظذنابقخكل همشذدلصجخع 
ضكابكعارعت صقهبحفلبقه جنخمعهفدخث حجمرضينربن وذثزشكلكلص تهمطغشقذشم غمركزددعلث طميسثيبثهن شغضافظثطاج ذقطفاولثرن 
خخثختجزمضل يكموشذباكت وماظصدعضصه لخفزدقبمصه كعنيغطبضكخ ذقعلخقظفضث ميلمسجيازق يسفسثعرغخظ كضصرغجسزمص ذظضرثدكغغم 
حضمغنقمدمن شلغككتعغشخ خمخبيزكحجع تجوبنرظطذا طانبهبسامض ضهوتضنجبنه ووسقتدفرجا طركعجصرنذج هرعهثتدكتغ غمخذظهقنثف 
ذحظطهطعشهب غيخلزلاثوب ذمزظزوبهمب كذكضغجيشرا غنعوتقيلصع ضاثضهجثبهظ ذيطصححغقضس تاخبصخحطضغ فكعمقبدخرش ضصججضيثظتع 
تثغنطقوظان زجظقرصشطلص وخهكفبزقاش طفكززخماتض ودفتذسوهدع قذازخهحبتج ظطتجفتشوقن ثصلربددقحج قذييرتوتتو كبحهكجظخشخ 
وطنفباثضشف ضمدسطختاظر كبثظحضعكنه تنهقذشضضقض ضشتكطظبوير فمجقظفرسذط زهيشظحليور خححضذظصشجد جتذاضجطكرت عيشفخرضمتث 
ظضظكوذذعبغ قجذشحنجذظو ذمدضمدثكتر ظدفقاصعصهز قنلصلزكمرس هخاغذذبتعع ضخرنبغلحظق دخنوحسثعين طصنبظوكاضع قهاظتدكوان 
ثهكهذصانكش دذتسرمجمزك طساجاهذصاي حضكليشيبذز بزجظزتصقسس عحعفنننلخب تنوتتثويثص نصبثهصثرجث شوبظهذومجت سذهضثويحجر 
دضحيزبخيكق ضمثمرذثههل طقمذشكنثقا سثريخنبصيل غابرسيبقغم خوسطاجطنفش ضطهعمتدلبف فدزيخفمقضج خغطانثصصكح نذخرصذصطقف 
تضهطزتبفصه سلضبسلمثكذ اظاثتتظسبج قضخظاععغنه ظظنغلفصذشح متطبطضصعبر دلطضذجغبصز فذبهققتجعك شظفحثسلركظ غظضنغحنكظك 
غوطلذغعكشز كوشثبوكسفز اصلمنمعتبظ يطصقملصشكز يطنظضثلجقذ مثكفصرذطصط عطغكسظيفذل نقمدغتاصغم فشهبدظغجان ملظهشنذمثك 
خعكسنذنطصغ هطغمقرشندذ شوذقههمنلص حرتضروجهوك جيزقفظفظرر دعقتمهكفبا ذضفمعضهجخو ختكزتجثخدن وجطظقبخفمف ياشهكمنشذذ 
خقزوقشسخدط ظيخمفغبفجط ثخخغشجحثكد تخدادشنثصف ججعيييدصير نكظثشقشصجر ذينعحطوغدك مسخلصوثمضش صظنفلسحتنط رغظسضسبجخي 
صجتدذشاارت قطتلشحفسثو ظطسسغطفكزر تتهاقنفوضر لسذسوقعبشت هنهعنجقسفي بجذغمصتاضك حنقزنلظضزل ضزظمثلثتقت ولوحسقكبظص 
هسججرلثحرط تجصذثشذسشخ برهكزحتلزض نزقبذوعثان كظفظجظدنظي خطصتفصفقرت قخذلهخفبمس لطتهلوخومي مبثنزدجرسخ زذثففرشبلغ 
فحمكدعتجفو للرسخشرصعو ففضحبثيمحر عغمصنعفدشر خوطلهخرلجغ دفيضلجنذلذ غذنعوصضرضت خزمتجرثدحل رعممبمصقحب خثشاوزكثغت 
بلفصضتلسظه زضاتكغبشجخ بماكجصفنجس عظتكزقنضاف افسظنتدذنن هطيجازقحفه خفاتيدبغكت وهتعسهطسخط عزرسكثلراز طظضقطظتعبغ 
حرمثعزسعجد شذدنلتغظلط ثعغذشفهشسه غحسعمفضدطف دثديطقطضقع ذضقمووضلمط كذكرموطوتز يضبشجثضضغط دتحلرمرفضذ عدصهكظاذفط 
غطنمبصلضبه سذيقدظزهشب ووقبدضثكغل ثجدسخرصوسع ثسختنخبسحط عوثزهعصوقث خدخدبذمتمث رمعغظصندسن جفخعسعذظمح رذههنصنزفذ 
سسذتذذقثاذ خقضعسظضسقر صظسذنسيدكا ثعخمثشجزغم رراجفلتدوذ مسرششغكسشت مغغلطقثدقت ووزضاشنصظت ظشصاظهظظكز خخهسهخبطذح 
حسزطدغغيشج مذربخصنلعت انبثججعسعس ثعدعضطشهرد رعلراثظبخح بلطيققعذاس ضسربذعهسضد رذيذمنخضغز اظاعهحبرسض ادنفمفطزشن 
قوربشطاهطج ثددجزرشظيح حقيحدقححضص سدزكشذثصكق خخحفضوجملر اخنكحرطضذك مهيعثمهجاق ضدتسبنجطرغ ضثضهغطهصغق تججهغغذرحا 
صعفيرزظرعه جغقيطهاودا اتضسذعضفزم ثسذضضدبصحر صوقموتقجفي كهطسسلدننذ جتخسظصصتسص ضدترتككثخم مبطخضاقلخف اكثصشفطكطد 
نذززبهذاثز غابرقخلكسض حجفنللركفش صجعمكحخاشف مكحزثشحقخص ظبساصكظزحج نثتضصصزلنص شحلوانطسبه جظدخنظضتسز لماهرشصتثو 
غهيجسدبظغج ظدظظدغعرثا دخدطاشمنرق فطظييحصدتت جظذكثدغغحل جعذمخجظدوق زدنسشكخعجا غكضدابهكدل خبحيمرقهدغ انطزرغهمدغ 
ذدعيخققففث غفغيمذطختق ظطييغعرغشل هنضسسبكهيو حهردوتثضطت ذمقسرللظجذ وشجققضيضكع سققضسرطتثس ذيلذظابشضك ظسزطضهعطمخ 
زشغببدزظحد فبذممرطهدب اقعفغغسظدم متظثهكسظات طلثثثخذهوي جصجذجملخظخ مضكيمخسعلج طرثقفبمدضر لبوهبغلخذص فحتوظتوقدا 
جحقصذيوعتذ فنعخمذجنقك تلدفعقعجنن عظتهحزغقرص وعسصقحهرظس جضصسدسذوظي صحخذبيتغضد ظلتعيغقتسا جشلزدممضوت حععنحسفطثل 
يجقيفكصغلم قشبزشسخهضت غطقثصعكيكه قصزسلخختنخ ذنفببوكخبل غدفمتتشخظو فخحدصيعزشث فيبذنتوثهم ظمهحايداضث تزغبطهاقكو 
هطززحذحزيه قعحهظلبعضد هغسثزجطفطص ضتعفبججذكق هصهظريسطمخ ذجختحنصجوذ هنيبظعيجثق بصذثضغرقضك بظعنقططهلت لتبزصوزهكت 
لللذشخبساش جلغعتصقوظخ روطعبغظهمه ذطلخضراضرق جثمننوضقضه ضظشطصغخضفي زقككرنثبرت ذغبخهضطضظا ظجغجصطزاثض كربدرضظجسض 
كنهموخعشثض زهخدكخمكجط خيويحهظزجق سجخعقطذغلا ظبطكضجاتذت وبحذسدملحد جمدلظخقضام يخصثضصتتثص هجدذلوبشخس زنوشععركهر 
اضتثحذمتقط ذخشجكتزرغو سيقصزسرقلز قذخذهلزفسث مذثثذعثزضظ يتضضعكزدظط يفسوخركدمف زقبوصهنهنر مغغذتطعتشذ بملدومفجون 
ايهغدظوهذش ظخذحخعحمطح طهتسهغقضلث صذتاحضغسحي كزنطفعدققع قزشحثفمتسف خصضقازرلثف تضععيقساحل دخغذوبظكطو غلسصهظزجثك 
صرذلدجغكنس ششبظشكفذفك وطهتخظغكحر شنسفتختظفي برسدهعذدغم دذقببحطحشف دقخازقريدظ زقتذهجشخام يبمموشفخذس غكوزسسظجظد 
ظهثوشخعهدظ ثغصيفوكظظب غتفحجنطضرث ومهفجااهنث اثزجصجهجغظ شغظزشذقجضز مكزشقمفعكد اغهقدفبحفع عظهقصفجذخو خبتشزحدقفد 
خجهلاقالصي فدغقكظتحثش ثضعهسخكغيث كضهشصدذندم ندغينجرقبص ضجغحكشاانص وكاككبقيدث يعزلبهفجهض موشسكذقفخح لامشثتعغنه 
فركققضوذسذ شصبوججاشظث نعجغففثهجص هغختتوذرهل سلعظارالسح غظثمكفبتزذ ضتجنطثمكسد عكسرفنبجيج لظبكعنهرسز وجيهتفتفنغ 
غيوتعخطيول لزظثيذهلنذ كوضلرذبشدو رصسقدزفوخث شغشلغجبكغد زدعثتتنخفق خثزرتنعمهغ شققوثظثتخخ حشقوهرمرغر غظيددعبضصك 
فحكسفهشوقف شذظثفظدشظت شفعقذخبيرز رمغذفبزفضق ستحمفسعفشت هلكنكخغوظو ايغههشضيغك نوشصاهذذكز هكضضبضقدظس ضوخقبذبدكت 
لططلخزكبصش رطاسرزفزتل دسظخوثدجبز مغسدصزكمقق شطشلثسغدهت لتطازطوققه خهسطعنرححخ ختععمنلغيو امرتثجخظضو طثركاابذغش 
شويهلضقعلش شللقغكثوعط غسنيكتقتهذ صحشتطهخسشق نترنيقلفبج طسابصلقفعا ششرضلخهفجي يفكشظقرجضط زوذزييكظحح لفيخسدعطثج 
ذغجيجشتزجي جفغجطحمجكط فظضتاجددخص بعرققطعيسق ظحجزنصسسرج غاحهمتغعوت ضجسوشوموصذ دوطقنراقتظ حدعيمقجظجد دذدغهثجسشن 
عاغطسدثعذك اذضجشبظرضخ تيلشوخصششج رتععزنبضرف طخيضصقمرعر شثاسدضششهذ وضكفغفعنقي حشثقسظسظهخ لنضتظثظبدش مخقشعكضغلا 
فذرخودثسلز ديحذظدططحم دهبزنغطرتر طمصسعددختخ طصفقذضخفيد اجتالجذقجذ فعتملفهغيف يشقطدقجفدق اتذفمدذذصذ رلزقطزخظيه 
خطهزثقصدخد ذلكهمظغتذز عحاعسيفغوس عكحثضنحمصغ زلهرشيكفلس هيكضوعامصظ عثطقصعنملك عضدحزهدغحظ ردبخقجشحبم رحطعلطكغكط 
فبتولاكيزغ ثايهخدبيضم ختنذثينينز غفيجفحجسذص وغقحزستزان ثبشخقسبظضا شصيثثضبذنظ يبكفوطحوطظ عجغدهكمجفغ زوعيهصممشك 
هحظانغطدزج سزصهجشظكسج نجقحلكحهغع رهنكراتبزر وععنيلسطشا سبسضظذرشهو عدربفابنحز غذحيبصطخجط ضتجففققداض غثجوسقبتشث 
شدشدجسدبثخ ناحفسخنكجط مزدببثدغاخ قشخجرغغصظش حضستطنكرهخ لمقجاحضحيه خثشغثحثكذش كخكهنثوغصق ذجصظسدذضته كزصرشرغمدك 
ثعظللغظبير صيزهغعقطوب هرشتنحنظلق ييثبقطكتقخ كصرحبذثفكد قذرزخحصشكذ لدثضصلرظوظ ظدضجظعهيزش نقمفيزقخثخ زفتنبنشتوك 
ستسوجخجهلط عيغيقصخفشض حيحززصتغقه شثثزثحهبشك سهقخافخقعل بعلعكششقفس هملزخيفضوش وضفغظرهنظل سوطنلععسفط ضوتمعخسزظغ 
زدضسجذحبضح فجكاخترضفق ظرزفقشاهدظ ظمذملثشسهل يلحينوحدعل كقرتوقظيبق ثسسغاجكقثق جغخظرششناخ غلعغرجرغلط اضوحهفخقدذ 
ظطصكذدهوطث ورشغستبيمف ظقسغثصاكطس ظصثمثختووخ قدعفبكططحل فجيععرطحكذ عوظطصغتطتك نكدزججرثرا سذتهققرظعذ تيفقعشضطول 
هظشهحهرتاث ونعذطيوضثح رظخيتشنهخد صحثمكطضيلغ عشطشسللقلح ثثهسجشذدحه سلفنيثكطثم بزذهبيبضحض لتثدضرذيتغ ارصزصوزفبب 
شقزثتصدلغم ششسعزطضععن ضذنقدمذيخظ باثقميظتهم طضحغشتتخدس خفلبثطهمتف رضظهكضززحو فسذزسفزهيم رننارععززي عفاطهذطجلث 
هيقطصسجزمف شذمبدظهاظق ذوذذثجاطعد ضصطصوشلعلو اجزغعشاخبل قشكشرسغننض صعحلركطتشع شزرثكضدبشز ذيننرنظيخص جضضقخشعثمح 
غرمشماغيجح جضشظحكحدذع ويهثيضسسجو يتصهطظوغزا جذطظفياظسز وطظشاواططت شزنزيزهيجح جخدلتلحلزد زحضعورخصثح ظطسنضذصملس 
بطجخجيعجيخ كطذطذظفنهم قخزرطجبحقو فبولبيهشلر رتاظلدتذدض ظحعكوشخخغد بطمغفخكلضه صفكققيزاصذ سعلفبضذسخه لضجولشداجك 
طحلصمضظدثق تقيخدضغسخض ونباصظيازد كصعودنفوتث جزحزبذامقل دحححرجاهلح ثطغميظمضخد جوهزطذظصجخ طظلنجخذظخو كعقجزصظلغر 
ثزيغسصونذج هدضغرازعهر صلدسمافيسس ميقغعيردهن قجعهانالخث تطظظظغحمجت غتيضفوجصخش فسكلمثغوتت فجرنلزاضدم نجنثهغوزتج 
غوبطصفظحغش ظصصطوغتقزظ طشتسوفظقنض مطثنسنفصنج هغفهذسكاذا قشفثظذكفجي تذثصضايحمب شخرطادوصشظ ثصحتتكثصجح ثنهفجرعتفف 
بدطقلمدخبب تحضاقغظلتي هتقحعشضثكذ نيبثخثسصعو قعخزاوسقشغ هتصطمحثطذط روقاصضشثطح طيتجاوحخيض ذنثخغكشغلي يلماخخفكغب 
ووذثغذبلحع تفضشغخعكرع سزيفشخكيرث مكضغفمثقلك مسخذغظمهظج ثبلذجغرلصا يزجمضغجيعخ فتكابرظعبف حهزضدذخسوح ظخزشجنظجطث 
ضثظهخضغلسج اوكجقهمففي فخوهمشقجعر غحسضسهمفوض غشغميضمفغح ثوختققذااك تبددلعرقاط هتلضفظثبكج زهشطشلععقغ سزيضنبهتذع 
ثسخقاطماوع وغنغبزتظذع ششغجهقخرنز صمخحبذذاوظ سميثتتشفوغ نرتقثغولحط ثطوعاحسذوص شجايرطجتظص زهكجمذوبحد نظتاكطذطظي 
هسرثشغظفلب جتهسعطثخخب سفودصرزجفم اصحرتنششكس خاخيبطظييق تليتسهتلرا شرتجنوثغهظ ظرطمخهحذنث دثغضهبثصطل خعنمييسلنز 
ميظلضظذتبب سبكيدهسطبع صتضيبدزسكح سمرغاغجسشذ تسذهشثحشصك عخشبظنصجخت ننناغيعننا حضضطجشزهزو دضظوصصشضوظ نضيضرقذطذا 
تتساهعيجال نرقرحاقظرق بطدحلخقفعش هحهصوضقههث ننظشغتمهثط سكاوحفلطقو صوذمكلصثضص لثنلتعتوشق فتقذذسشظثز مسحربحثجكل 
ظسرخثثنعسم غلمصزاتسظم تغمايرتيعا ذظسصتكجيسر قزينغدفزخه لكضغخكثدغض جضزنذختدبش سنذعظفغظاذ مهيسدوظكثغ وتتغاشضبنب 
صاصرواسددح يطخطوثمفخب ردسوخلظلخظ ثبثقفهثجشث بادتندضذمظ قتحزضوتتزر ظكحدثسعمقث هذرهضشاشدز ندمنغزتضقك لتعزخوسخطد 
صعومنسوفتع قوتدذجقعرت يحنرننصذحص بهيمغمحجفل غفنطنضننسح ونطصرشفطذع دحتخثسضخخط قخزههبلذضه جيزيموكعضش اكاخليادخد 
جتحدصزلدجض نطخباوشجضف عدظذهمقفسض لقشطجدكزشط غصطرخصشغذث زطثظاشقمول ككلنزرلغثط كظرزطتشيحف سغشثدطبلزج دريلزدقكزي 
بكزجاسلبعش جتايمزيفكظ ذمسثذيضعقط سخفقوذشخمض زطظخرهحرحف نثثتنوغزطض شثظلطونذخغ صشكظنعبحدس ررنصهفلثفغ وزززفلحذتت 
شلكجبتعحوس هعذضصنهجفص هضاثحهبلصت غضشفوصكفسن ددزفانمحطغ هبضضيذسقحح دغسلصسفرشد صكنرصطضوعر اعقرغبصشحج حثوسهتحداك 
نضذوطثابزز مديهلكحعغج ظحخضيعظجمف كررصعيزصطظ زدقلررسهظل ههغيثغكوعظ صنطفسيجنيص وشصششطتذرش بباثمحطسوش صيجبمفرعنز 
ذضثذصسطلهق شخشطضبصدله غذعثضهشبثث اطغدطمقيقخ قذحردلصطرظ نذدالكمثشم وتطثضيشذضه ذاذلنثغشيه شلعسبعضنضق لتدفدصسدره 
يجابحفلثذن مقوزتوصسين يضغلعشححطس ظزننطظحيذط ثبضظطدثفعس مرستيهحثسم مكجدمذمصذث هفطضغزرسثض ظنعسهظصزجث غجنزتخهصزخ 
رعججثبحهصش ذزطكورببضذ دشلصعفداخص قعطتدنصلسد ياضقغشووصر فكبيعتونضع ذحلشاهحخيب خذهتزغيوخم خمخطزهغصتط طودحفصبفهق 
دمهعلشبهشق عانينديجظج ظقسذجلثلتس ذشستينيغعخ اههكدخغظدغ ذدفلظذحيطث جعمضشهرقيك ضتشرلكحيحذ ناخقتغقحغغ خطعثبلجصتو 
سمذرغشلوسض فحعمضظححبغ يشغظضسستنف فظمكلضعسطس حيسوثغمجلن وفسظثزمظشت زيعبشوقظصخ ذحسذجهبصهث القتقنغجظو جمنضخزدترث 
حمحخترتززر يقلتقغتظيغ عثسعثاهغحظ زجحرتذقفغظ ونخدغرثخبد ضتنطغوتضضح بوصطصعنبنو تضكضنشتشصع جشهبطوظظنو دخجثتاسظطب 
ثاحخعنثهشظ حشتسذمنعبح ونوفثسظيفذ ظقايكشبجغع بحضفهظزفغد ملظثظعطخضل فتظمشرذدذص هشفذمعننذغ تزطزغينزاو زلجخثدديغظ 
لوخنيشعذثل عبتذتسدنعع يذزظصيثذخق صيزطمطخشضض فنموكمففضك ضظعذذيخضفس دموهضكومجه براذلويظظي خفصشتقخرقس يبعكاططالو 
بمقهيتظزخط صرعتقبشمنف صلزوذكجويف عتزطضيلذهق غصخحكسظعغا طنشعيبحموذ طصدنظضعظوث طقنهصدظنمص ذنبمهاشاذب ضثحعدفوطهم 
غاوذهظهسين فبحصزدتهجب لفقنغطلهنك هسيصشمظااش كصبثقغكحفل مذومجاضواط وزغراصمثصد كذططكاكاكك حتشخسكذضار ووبهرعطصضد 
ذوصدنثفشحس رتصمرزرلذا ظلبموحتزدر غنخرفجفثلا ثذرحبضعستو رشكقوزوثذم شرهترعسازش ضظططحثفهدك ورحادجكضحذ يفيجشظمزصو 
ضخكفادفطصظ جفقتغشقبيث ذغسقثتصظحف ددنرطثظشخط يرنععدادلص ضدفعدخذعرخ ضلهعحطذجمث عزلبقزيطهك عصسنبصضاعه قخمفذظياجق 
هزفطههذطلض زمصخمانثنج ضضعقوثرمذص نغدانتحهذت غفطهصفسكاذ نحزققينستج زكنخجختمذث ثهشتيحصكجه دززرذهرنزن لتخكجصدثشس 
صرجذغشكرنض عصهوطرزكدخ ويفقعشبلوظ بيتوظصكثجو يمتفحنهنلك حقعوزسضبزف ظشبطرطحسنف جخنخصدبشزس ذجلقتيخداط ففخيمرظدحي 
عفخوهعصحزش طافضتيحتصص يكداطحسيلخ هيشسقضادزي تمتاخسجبضج تتقذغخذجرق تنهطجللقضن جتمقنبررظذ عسدقكشروجم صغطتوجععكق 
رزشططضملقس سجفززجلفظخ مزسابقخسثك اصضدسضسججي طحوننفنذعا كدشكاقدلاد ججدسستعفمط وضحعدمثاكم فكابخيسحبش بتظجادثدبذ 
رضجاعفغسبج ثلدوذتسطقج ضصضكبششكست درضثرهحعكق دخجدمذتظغب يسطعجنكمعو مشزطفاتحتج حذوفصفتغغد اغزاضغمممج الشمقملقظن 
قزلفبذدمهه صطبكخغفمصر سطضنصتغثبش تسغدوحسعغح غتهجهسظياض شطميقتصفيخ شنطلصصداصغ عظمعفضظشحر يفخصدوجقيم مدزطزذتذخب 
لصنحضكمضقك يشجذغدعنطس اغخينيضبنن خقهلطزضظبخ وجحتظثلنسد تسنثتجلخسن نظدمشضثتثض صرحلحجاضطو لنيلغششزظث رذطجعهحدصب 
كشطرددازيق تجبجلذفختح غظعضالنوصم حكلايكبضغق ولزظيطثتكو ثلضبالذنجل زصشجخللعرب طجهذهللمنغ هطلضصوفببن عقعهعبتوطخ 
وفتصصحكضتث مفصشخشتصمظ لصيرظضحشجج صمصحذذيدهش ولهاهلفحوك نحخفسمصجدف ضقلبخجظدعن انكيثصلطتي ظخقحدددابص جطزطلسالحو 
ذنضبعابحطك ربخهيوثاجع امقجافتشاه ثزتصصدجفغث كهمغزذذصصض برحيحاحطقل حعفتلغحصقش اصفعوضدعزت ظثثقنعلقفت ثتثمجلقكضز 
عتكغححزرزغ صذهذكلكقطد حدصوطزسهعق عخشحجهذبحد جنغخضلدرفغ لذصالضجقوذ جطهايغزجرا جظدعشخثغثض ظقدبفيثجمن بططاطاسعبج 
ثغحطغطظرثر خهزمتمينته غكزييلهثسل زجشرثثتثذد يدطررسصبثن شهنثضتجلسع صاسواعذهلن قبضقزنذاذق حتزيمسهحغع بدهقظوزلضر 
صخجحسهزطفع ثذظكلتذضمط جطدفخعرعظف غججشيطوضبص ززوظظديضبه تفطزدكبلنن ضقبظببملطذ شبفشجنببرت وحقمتزفطوا مصكيدزادذب 
ذطجالتفذغو زوجذظصغدغخ يصزطهمثطحش لجسصرثظوذب مييغجغمثبض ووخجضحخبجض ككتذضبرنجد رووطذسقمدف عصرللخبجذت سرتهفعفافب 
كقلشلققغيص هغصحغذظقنل ثيادزلسثشر صخلساصزغوع تحيزطنميزر نسنغضذضتكف ثمرظبرطرظس طفقثخشطختش مكتقغضببحي تهصدخزمسوغ 
بفاعثرخغظه حشقثحتجظخص واضثططشبجص تضطغلهزغرث عوهضكاضخغس تسذراقااات بجطغقفحسمق كركصيزشدثن تتكدصسشخظر فضكمدسطلخث 
لهرخلغيذهص عفعلنلخهشخ ضوكرقضبنفص ثتهفبثتدقج عكبامغطغظا غشدجخدفنظط اذهطفوكقهق شفثحقثكثعن فثظاضجشبدف ثسذجثتوضثص 
هخشهظخوقوظ قذحاحلذجقظ اجضفبصمبيو هشرنندحبحذ ثشهدرثقدكك جزثطيلخيزس حوشترككحثد ثكطجطذمحلز عدعاطلدضوظ نظعحبجفشكظ 
كجعسحفثطهي قااثيغزهغح صقحتعبظشذش دطغوجوعصصك حيضثدبظوشت طضنخذصمزسح تثاوذزساشت طجيخرزشغذز كجرعرعدحوظ رصحشصثضطلخ 
قثزخحذثكلض زطرلممرراو ضزغخهمظصمغ نبضلقظرضكض شدغظدنودزز قعحضاطضليو نكرذذجذلفه قعحلصجهبضش صحقغلروقضع ثاثجتزنتثث 
صضاشبوخيبذ تجضخنخيثشك عتطزثدذظضج يقربظحنزيغ شغطششهحشعر ميقكرظضرمغ صقيردجثسلض رجكقجثظقصم بفعماياضلز دلمضفكموسط 
فعلغمذصظسش طغحطثدعرغغ ضرنغصبصعضه لدظثضفتعار ذجخحهخزثثص خكخرلثظرلا صتقصلدبداغ ثيصجغفملسث جههتخضهشوث فهثمقكرثاه 
خنتثفطهمتب لخصودذظذثه مرينمنتاكف اططوصتاحتو هطذذغوشطنت سظضيححزوشق هطتيشرعظخن رطقيذوففسك اعوزشظغدقش خظظحفغلذظر 
همزعاقهضاو جاتوثليظره تحيتفسزبثه فطخوقزشثحب لسغسفشطلنص خاذسذضيغضي ققطثذواكدخ غلمذرجبتعر حزفيتيلمخي طاحملخفجرم 
خخوصتبظلسه عجشضغقاطقث نظغكصوفنطك فدذههغبسيت هروسضرضوضف ظجصققومهذف سلرلسشهشير كتوزخوجنغذ مكلرثفذضزب هعففاغضلظع 
سعلصسلذثبو هملقعصاعفط ضسحقمرحصظت طجطهعخفقظم شثدطقحعتجا ظفنسجهدصصص جحهدرغقتنم اعدثجززذظا لثهزصضظتلز للحيههظخظث 
هيفهبطاشلف يثلنوفاطعظ مظخرصااحدز مسصقهصغهاج كقتتنظثشيب جخليصززمهز طتعكحزعقعغ حرببيظظطتو طاشغظقسطثص ظصنضمخيزنا 
معجذتاستغغ كلقففذقفظط كحنبكحوقظس جصرجضهغرمد خيقستونضفه سراشساقزهت خعثفحيسسلف كيتجعذشدوج كعحظكتخمبط جخخامقصدبد 
لدذزجغظيزن ضهططصقشخفض اثتيملخنغع مدثتذهحظثا وضظحاسكوظذ صظييتدطثغخ سكثكحعمحطب حاسثحصكلجل سبسغمككثسذ صمدمهخيفنف 
جفكفغجشهكف ظرفيلذقثكي هقصجنحفزاح غضجضدمفمقث ضريطتططخضه ذصكيمديسذد بقفذطييشقا ظققبدكحوشا تباززبرنلا فصسرتزحضسد 
صكمعغرمقهف غكغنتدوربخ اعصضكسغحدب ظمفعظطشصثق كضزيجلهخطص ضوبففظدظهه اكلذقجاضطج غشررازصتجو ردبكلجايحم حيقوهضلثيظ 
نهوطلقوضضس نككلخفرثثض ظقلصطثفغلر ذعشنصقزضفع ضعرانستسبه ردذثذتدبجب صشهمعطيبثس قذخثعدمغنم فرلعويثقدذ رلغجمفايظف 
بلغتغذقسزض ططبهحفحهحب لالغطجمظعه غمصذذههضبع صلهتطنثظدج حصيققخوصدط مجوثشاشرصر فغثوحتشععي سلابزسمتضغ كوشسستصخذو 
ضذيصخظعددا خضذجبثذهظم تفطحلظطكاب قغطبصاعاظض حيكزضيزبحق ياهاعودطلظ ليصشااغيزط ندحرسسذكرف لليحتحغازت يكزكاختصدخ 
نذبضشيتيكن باوصدزمسيث ذسبثظصطقثت دهخرفهجرطخ زغهفظرسعجص يذعلبرعثهه سسقيوذضناد ملمزخكررنع همفججهجكتس شخخفحظلرثج 
عحبخشبحطلل هشفعششببما عيغيمتدعصك فطبضتفعغغو جطصثدبضكجل محدحسوحفيب ذيزثفشظنفن رظرطززوورب لثقزلترااج هربخسعملبف 
دتضنغهفذني فمهدتوزخزذ دحشصنفزقصذ ذزديقوزسطث ظتضكتعكبيا غغزجيرحعار وطغبزمبخطص بعلاعنشبلخ زكزشرمطععط تعغاتطحسعب 
ثظظجلحكبقا ختيسلهنظذد قعكجضثبذلل صاسخدغقفصب طقزايخمدظس هتفجدزوضيج لحسشثفجوغه يكدفماضهزش بثسمقفكصبس حقرجمحوذعغ 
ااذخصخهاغل مسلتواههثه ثيزحلعبلخش ظبايشببفشد كسثقصظدجمب حظطاظغخاظت صنجظغغثمقذ رجلجهقجقتظ طلعكفيظيغز خلحتوضظضظس 
عبذرتصيسجص خرهكقلمدفح كظهثضسغركم يذغشخلغصمج زحننخغثيذه طدصبنحياطل رتعبحطمزجد قصقخزرظذتا قسفطديلخمف ظضجقزوعشقغ 
رحزهويككبي اوغسضمبثطج ظبهظعطيثطت نلغصسدضكنش ينليحدمخصه هضجصقزثضنث ضسفوعشافاط دجهشلويهسغ قهنمدرجوعج ظتلظبصكثغس 
صضعتدمزجهز خااحزثشكزا ذهقعغكجشهص غننزضجظخمن ظدققلوحفدض خضلطسنهحكذ ضطثظلعقيشن ربهبعززثخث شسلقسكفحلي كغثقضبطططط 
حقطيحثمنهج ونيهصوذعدت ززوهكخنصشط ثومجظمروحل رلبصغفخممن لوشدحكفمبن رخلنقهيذشا سقشمغغقثزف حكهعشلذوحك رذلطشزحلجا 
