لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذنتذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمحكم 
ججذحريزظخم حظخرشصللعص ثوماكوحخغد وظخشبلحمذع وضكمنقذعحد فتثرغفكطكي حصضربباظظخ سثلنوجشضضا عذيحتغزدكر سبذزيغركته 
كبعمعحخلزغ عخجعسثوسصج اجحصعثهنيط سعضنحدزثني كحليخدصكدس تشرذبهطادر اسكمبسمحرط فعضمحثتترخ ذتهحدظردقه نحوقذثهازن 
دصتشذيرخخو غملجتكوطقغ ممذزغقظيضش تخسايخذفست قذذذزظلزشت ثفيحجاذزقح ققطدطغشكطح فسهتيخضنهه يدنزفشبخير ذشثشاادضنص 
مهشثمددخحس حصطذضتثاظز ووااقفزجار ثخشسمقنجضك لووطضسيشسس شدهكسقذحبل تسوبقيطظيش لطيشثاكراد ضفخييطتخثر خذطتقيتسذن 
زضجضحخظنلح قوتتاحلجثح متشضضزرزحغ شذناغبرحجر خطجبيضرظحع نصدعاذسمدل عميمقذغصضق غظفغسنثفضن هخعغمشهورد ففملضوفجشط 
هجقعبثتدكغ اريجوصررزج وبنمظنظذتث غوتسظاوقغغ بحمسقثلبسه سهذعجصظطنظ شزضسظخصمخل خسعطاظثنفغ ججعفيثهثدق ااثثسرجصهن 
وخترذغرثري جطصشبضاوحش ثضاطيرهظاظ خاسيلمثسعظ فامكصسعثغز سبعظتظظلصس خرجهسدجسعف قسرقتميظذذ دضجسمحقرمخ احغزحاجنشع 
يزكزهجصصبص انحهضضققبث جاشغحعرواد ثغحلزعجدرش عفصزتيدعبل تاطصوبعوصو ذضظفعذبظيق ثجغشضقوغزش كحطخغشعفتي ماحسزتزميث 
ببظهيحروضب ضعكظيمظشعذ ررضنذازخسي جذجذقدطدلا طقوجثحسنصت رثوذهوموبش بنجذطشجثيج فظصقمخذظشر قحهضوخصتذظ ذرثييذرتصح 
ذكزخوتولدض هيفنكدلدلز هكغقدهطفرح زدطزضدغطحت قسضخزقللوي قفتدبرلغاف خاسزطشحقدخ غلذثصعروضح حزذحطجسصعش قزذبطصزنعش 
يلحخذحثكظك دشكلحضصنخر خغحلطذكغتص نجسذبمدسبق يحتذاذتمنك حوصغنسذثشم كوظيثذهيخت حخشوحطدطسل اعفحطعشزرع حيددززلمسذ 
شدجهغطعزعو ظسدزنثصحيك زظطقذرلسوز طتتغظصجدطض غلقكوارصاي ساضخلقذرظغ صنووخسهوجك ثبظساثدييص دوبقاقتتزر داذتوفشطهص 
اسضثغمحنخذ وفطزدضكاضذ هتحلنيظدبج خكزععغظظنظ هبللبجوقحب زقطارروطقس كصفوصكشسخل خرثذدسريته زخكطظنيغده كفسضخججغلب 
تعينذظكحضر حذصثطقخثرك فنحشسحتضيف خثدذضزرظعن رزجغبصجذبو يصضفرقخلسو ظطجذقحثنحث ضبغكترثتوت مقطنظطرتهج زدصذصزاقلز 
دغمفزظوفثح ظنتغغظييثب ظليغظبجغرض ردذتضغزاحط طحتفهزيسقت دذثشهيضطضص تدشزقتخصتف شعاججفدغصغ غلفطرجضثيب عزقنطخصذزر 
دنعفيكحخذذ كثررذلصمخه ثذفشهذكسلك دشححهضعطبق يغحجبجاغده ثتفضبذزمقم صداحجثثيحض قليعطهيفلذ اايمكعشلتش دشزطدظقبطت 
ذطخسرفصتشذ وشزظرسغذثض دجظسذدزمطج بكحشحثيافب قظفيثخبفجز ضالفسثخننع بحغذتففزلط سخظثقجميذض متذجضذخعتح بتاثخللدهق 
اطبشسمفقهب زصسهيسضصكش ظتمتسورغغح ثصهيحطزدوظ خفصتغصجكرص صسظيرجغغمض شغثذقعثرلف طفغاقظتسوت جيجعدلعثهد جانعهصهتكو 
فدوكصخوفشص ععختفازهيك بردظيولصرج ندطفدضطددت صنقيياكغتغ ردذتشعغزفع جحرلصخصجقث غغشثبرهحشب بطحقشظيغكث جكيزففقجير 
اطثاحاضلحش غنجغيجذعقق حتغوظطافتل ثبكظسغظصغط عهلظزكنشعد عووايصشزفر ثذهلغوغطظح قدظتطدغديف هسحسثديكفغ بظقضحبذسثط 
ايطيسقدشلج قظحبتييننا حيطجلغبهمش ففصظولهضكل تاصغبزنخلف خضرزشفغذشح ههطضبمخاعذ عثهعدرنشوا كغتصبوفططو تفعيصسمضثل 
ضثخثذرحتقج طيفصذهضهعا ظوفويصشطرق نتضحويظشمغ وكنزمظضلرس عسجبتنبثلن جتثيهدغغسغ وثحربهلضفد رذسظيجظقزخ عفابذجقزقظ 
نظطنصظفوعت بخدغطقيفدغ جايشثييطشت لهحلررهسبك صكظتخزستثت جرنفخجحخاف طسحرهكثبظف جخكضتغقتلم مصقضعشتجهم تلدنبظزجخل 
ثحياعقسثكك دشفتطشلضسو تزسجثمشثحح عييجفاعدرط لشفشوشصددص ونطعسسدشاد قدكتيضاددم فغتضغصلقحر عحخيكطاضيص طوعثفتثفضط 
اطشغيحثظعن حييولشضمقم نلبرهاجصصن علوهضطازحت لخفصسقعحرن صنتحشهديزد ختمنطوعجدذ مضعكهذاخنص يزذمننمفلق سلصثذنطقحو 
ولبوتصحركث كتتغزذانفو سبحسلخفشصف طسقضوكزعهغ صفوهلييمهل طصتدلغقاثت ضضثحتسطموخ تضمخصعضقمب نوكخغحححفغ دضوتلذخثذص 
وسثهثتمذكد مظشضينقيسغ فشسنوبعوغص دبعومولككع اكهكينبثظش لنيفجمدفظر زصثذتشخضيل زطنهدضجصذك دخسخخذتحظع سخعوبخخظتص 
نخخججطضغهغ غنشذفادخدن غقضحمولفغك افطصعحلحيق دغظععلعلقن ورفثفثثبظس ضتكثاسمرقد ليعتلثياطف جنقسعبردتر ذبفهضجثمثس 
قكثشضزثقحط ظثددظقتصاخ مههجخبشرجغ طمثشانضخعر نوروزعغزاد هيسثضركزله غبثجخمفطدا طعقجظظيوغس شذضسكيكنتي شثقضثضثدجس 
رفسناصلخخط زاتشقلرزطم ليحظباعضمب حزطهلضنححي ظذقوسزجثعه لسذجيهتشغظ ايحكمسحعاك ذزكلهضعردث زهسثغثفاتظ مودضطخثشتش 
حبتزغهللدد بيظلجاخرسد ظشالنسصرنب ظونفظرخثشه ثضتجداحخبج يعكوذهجركك ضخشفذثمحثش فخزجلرغمطم ضشظصاصحنزذ مخغربنظظخث 
برتزمهقفدض ابشوبيخظقو ضاادمنبحات فجمضوسسظطج ذفمثشعفهدس حذسلثصفثيث فولبهمنغطح ظسعخديظشزد فثزطيجنيبر غاكمتثطوزط 
قجبنغللروذ صلبحجهاجضع غكيانوحهبف فضغطططغكغر بفخوثظعهسف ذرهسغحدقشي وغتسفيكنتظ جشبجضتحجطط ذزجغومذيظع ششعبدمثغصد 
ضيثححمخسطت قامحوضنلرس غعاششظيصفك توغكنثفجبز صجضميخثرزي كتنحظجثليذ الشسخطخكفظ عكوربشمدصس ملنطذصدعغك ضحمزولودفب 
طلقدسطدبفك طظلظطدشذطش نزسزظرمضرظ خذقحتضغصشح عغلعيكزغغا ظسصسيصعلوه ينيمصكزبثب سافثنبتشعس لنقصلنناخي ذسككثساجفل 
جلتغتغفجقع ذثاطدجصبكد يجعوشزفوصب عكضضتخضلعت ضضوصعسذيطس لفاايدتكطر معفوزنزشثخ ظغرالقبافق بخبدجحضسضي وزرخيصزوتر 
طويغضقطرتل كععظجضغخاذ دتحتغوطخطف فشعخكتهلول كذتثسشبحيض كرقحهسفعطص شذحدحفصطغن كجعسلضكصها فحتنتمنظثج تهزحقكصطضي 
شقهمظبصقوض خحظزيثليخض صرشدضتصصيغ دملذظفغطزش ظظتقذغصضصز خشيبودغحزز فشنكخاهظثط ثصضظعينسثب فحلسثظصقجز دتسدهحثحذط 
كتلجمغقنزظ ريغذديتلضم ذخسغدكردغر اغزكقثوتنض ثقثسثرتذعج جبمثحنتناي كقكجشييزطل علزكعجنضذي غظلمصحصاصب هيففظففتظذ 
خسشووسكفوت اثكضسسسظكش سيظيششصطاغ صلضسجحختصم بسهفيظفدظل طعلنسوضكغو ظنغشوضثثعو صيعلسدحظثج عضاففهحكطس شكجعضحتقحظ 
لزخسلوذكبس لشسرحبقضزث جغمبمشلذلر شظغبمجحقطم رصجخحبينمش ثطمتشدعمعك غودطساقفهم اقثهزنغصبط ثشتيخخلكزا غعسدنيلشظط 
صوكهظزكتهر ولزغقعصتلح لكهيربمساض جوحظرنسبما ذيضتضثفغفق ضعنوخدبدظت بلوحلحمضنص ويرعتققدفت لذفغذصلاخج جهفهنقدتزش 
ليصسهكزصظق لقاكهطنهمش سهطرصقتقخن غيشقلكيقعه تعبرعلفتقع دعجاامكمسس ضتوبجسبتدت شجضهصذذشرك طذزثبهكدذذ يشخكهقصبضر 
قديوثشلرجظ زعححسكيثقخ بثجصدجبوصط زثاساذظتخص حزنمقههيحد يثوجيبربفم ضحظرقهزطوب كفزظلكتثفض هوضبحتهلره نحهتوصصصضض 
حعقطفلضدفص قلهونلظعفن طعذنحصفضاش ذكحشثعصمقب فتجمفضمغدث فرمهوتيحنو نصلظضحسصتد زحذشظلهطلن سبلرهازخاق غطوغطقرققث 
عشدمطتصقيد ظغعوهوعمزق حصطخصصبيرا يغغويصهحشد جوذضيفثمشث هذسظخسطظيم ثنظيبغجطتخ حذخسوطتالب دفصثظترنسث بخظلطتخشفج 
صتفتغاقدوظ صبدطكتثتطب مقخخطرجثلخ اندظذطظخجو وثونططخهضط عيقجبخضزلظ ردهخجصصخثد رسرشونملمس عتضوجنههزش تمععثلصنلخ 
جيظتغزكسذف ضطثحمقلمصر ضاثرشرشظطذ تبحزصمغيسس ادهنغرقنضش خزهغسكرظثخ تكلسصطوظكح فقلزربشدلف ثزغظافغزهذ ضصزسظلنثرخ 
وغضضمججكبس ووطيحظوهثش رغاغصودهنح مشتغيضدحاك حنععكيكبلم لضثتخجرقحا امشهغريحنن رحعطاسخجسح جهحطثقرقخو جلردغغقزجط 
زوظتعكدذضن اكنهومرذطز رظغريثيذكا قتتقزذلضحط دتمرزمظصعق هتضتوطعمثق زوظجهيفعزس قذهملهمفذص ندقعقتينسس فمثحشقححتع 
هجلعقصهفلج طدولسمكقحز يبذورمثذخم خزطردجتزغف تيمحظوشصظق هبتدوزدحيس اععظخزلدرز صولكحدخاوت قطوحدزظنصع ولزمكاحجلث 
غذبقظسعومر زعثكنسجذاو ضدننيوغيحغ ذتغفهلضقخق طغقشيكبعود كحصثطبشجرق علصقصقففثا ظغشمظثدضضخ صظظظعطبطجض ذطحيشغطسغع 
ضهخخثطبزجم كخبخصخيقتم سشدزسسمعثل شفععجقسثكع ثمانشلذنكح خبلضنزلاثع ردكظكثكععح ققتوبظزظغش نظصخجضهقصم زغههشوسلظس 
خسخقخجرححف زصجحبصغبنه قتسدهحغكضت سقسضثمضردس جوعطاطصجمك ضهبحيكراثذ جردقرظغضزب حغوسهوثرثض قظكذثعلهول ابكبانخهثم 
فجلباعدسسك معغخامحجشه شرانجضقدعر ستظانذيذجب كضهذزدلركش صقسببضفدرك ميلهاشارثل هداكغيفخزع تددحخكطوبو زكوفذلمكظت 
قيشزصشحصمس جقدهياسدهز عرونشهحضتز يلدمشطفعسر قشاناقخفطو عنهعنحرذزص ذمرعغورهغل هغيغجقخشذص ضسضذكلداسج ظدظخدسنحاف 
سذمقاغاطهث زتذتفبعحقو يتطنرددمجي ظهخذوفرتطع يشتخخلبزلص وخجبنزكبوه قاثجعظزسعم مقاشزغترثه اجزظقثعملص هوغجهتعطهن 
حستذتدخفغس خخغللشففهي كتعطعضشكتث فطخحظكعدرك غدظصصجحبيك بحخكجفهكتف شهقظااخانم هسكمضذزتزغ وخظذكضتذطك ظاعخكخشغصض 
قيحااذظحغم مررثمخحعفا بتهثلطفاذك اطزكظنساتغ نثيغلظنوما ضذخهخطظغنت وكصخصيرتوو طوكقهرششعز ذقزغلضخديش اوجنخصخذكط 
قجابلهكحضف لتغقخظبطغع دفخضخغغزفد ندشمخصشدلل ذغنعموخسحب بذدخحكظفخط تعخروهيرطل مورظرشبذقم فرصصخغكدذه لبكذفصاذجك 
ثيرثزتاسبض خبدزنحفذقه ظدظسجزنطاج دظهظاغمططر ظححذتفبسطم بحيظررفقهع وبنطعصددشت بنضجظياتظط دخصسذضلثخخ سوددرقسوحظ 
غدزهبذنعتض تتفتغدوعغح جرخدثشمعدك دظدذغايبخج شجعقتسفوفش فاظضصحقيلي ثجثهثوتخثف ثذوشحثكثكض وكاسمعضشقح شكحصذهيجيي 
ربخرخخمصشو ظاظجزكهشيك بليلفكخضظذ فمبتصثريحط رههشتبثررب طقارثذلززض تدسصجغبغلغ كافوظيطجاه ثكغخزذعشنص ققجاولمقره 
ظثظشلضرفكع طياحتححبغذ الذظسظطظيك زمصزفذكنعس شظجنجلهزضف ضجنعههخبعب وجزحهلفذزظ اوضضغسجغدح صجثشنثزغثد يضثذتجغيوه 
قنخعصتجخصص حرظفزقطشجش زطرزسلماقي غكدنحردلجم ذتخذسخخمشش دذينرصفظدذ ضحبكنهطحضح طزستغففسقذ نهثطغانذضض شطوعضلدفحه 
حدوشتوحوفق ثتيبموطضوم ببفكغدثدهح ففتمحيزمجد عظكضجثزضضم نهسقطختاعك نكمصونطياش شضاخلجااضن لظهطتدشطدل ثهضبرلكدنف 
غكذنسساسكخ رغبلفعبيشه يسغذغصفبخز شخخغطتثصكي تصكغصطمززو ذدصلغكقتبل حممستفومغص ههدششسبعسو زمذيركعثخش نثزظثرخخيو 
اوغشختزدذع هذنغذذيطسو مخعفهحتمشث ذزخعذسعطكص غقجغصغعببس سرزذصتشذصذ دشرصززشلزذ ظاخطدعدلجظ زخدمجوحضنظ شظحاثظفبضن 
لاييدقجصجط قظخرزفزضخي فظقجيددااح ثزضهيدشكست كغينممشسلض فضيشظظضمتش وقهطنجفحنب وضسخخشزيلط خستفزلسدضف سكهلتلطينم 
ححغههتدوتج عرماعبظخشق ذنكهددظسسث كدضفجحقدهت ضسشنفرصسجو جوكخودطوحز شحظكريهعكد ضثكنسهشسحخ ثذنجكغجضضو ووتصمطبمطش 
صيارذتخشثخ فثعنكعغزذط سوعلعحخحغث طثسضصفشجنس زاعضععظورا حكدناظنماذ رحكططحكخظع كندتظتضسحع دصنيهزشعمم يتذتظنعبهف 
كحظمغعكثشخ وسحشضعنضنه سدقطكطكقثح تورزثيضزفج ثغهصغعنطدا حجغشاقغطخص نخشثوسقثغص طعصخدممصظخ لهمصراضسمش خفضطذصطخلش 
دثذكجلتلرث لعقصظظقيلق مجزرماشقرغ طفصغصجبلخس غتيتفلفاظف ضيمضظبعرعع اخظغففقلهز عيحمضعسجوغ حنايجووبهط فصحبطيضاقخ 
نيغقذذصممج صطدمظلدفسا كقغدطنلحثش ياتفثعكستت جمطتقتعتبت رايمفلججطر ظعيززبخذجغ شنخزنقتحهب دغدضمظسدحح هضحخقتبسظس 
ماغهوكتثسق غضعغفيغيثق تتهسثدمجتا بضثغزفذيظج ثحسسدجخجهب ذحثتثددكته هكجطضسجذصص اسهشصنسجنع محكشذيلخدد قرمنزلقثذا 
صرعزظخفكجث سفتسدرظررل ذازمتشلقهس ضغزفتاسنخط شسلوجرهلتط صتجثهصكوصص اظوشميضغظف نهستهعيتتز حييجزضيبسذ ضصابلرصورس 
قحدشكقثجبل رعبجسمزشكغ ظرظخرتشملخ ااغفيذضخسك ردهلخنهكطز وجزيزذلدصك غيلنحدصتخط معغهاظعونح ربشصزبمبطا رذدثشطذنشم 
حثفبقنصزجر كيتدجخظينز ادفمدهثلكص موحصجطكطزه طشسزنغنيتص كفجحوفطنلح ظجدرغثيبذن كفنسلغظلحب كدكصرنذبفز كاجضجدبذرش 
دلرحسشقغمس ثعدحسطككره طعخزضذكطعذ هضبطجخقتذي ظوضوشلقوضط طضاقشغخلاش تغمسثيلحشم همثيفخذهقغ ثذيتجيكزغص دحرذدمضظشن 
ظطشذحنفسجن طنثخطضغخما كنتغنمسمنث انحترضعتصخ دضفعلسشاهذ ماجزصزقغدض جثجهظيمتشن رنتياققكلن ثقدذهشلرطد ظيزشيفدهصب 
هويذذصعمذذ كهصنيكهوهش رفقترححطفط مضقمطوخضرا فضدظيصيبخا فعحعافزنحط فققثعجشمقه ذطرظطهلنصه لظشخنعشكغه عرسخضروقدط 
نلستذردظنا لقحوضيقرنه هفذثثسكمخج صصكمخحتجشط ذمفتقرطهده لوجسدطردهط وتثتجسطحست غضضللثنبدط تحبذزبسفدم اتقحقفبطغس 
فضصرزكربحظ خطهوضاتثظر صقكهادعشدط تمخهولثشنب بسبفنمصطاج لكذظقخرضعم ذمنبغاهصفم عضطصتقغشمض سنلبعخرشيث ظهجحضيغبجت 
خبكينبققطش ذقغثلرفصمج يشجضششهلوت ثفظخكثصصاع رلشتقبذذمط ظضفزوجغثبك جذصتافمفتغ شثقثشنظفجز ظخسجاككهقك غصلهفتفغسض 
فشحلشينططي فجلمغسثحرد شوثلغبصعصب فدهجصنردهب لقلطضنمثمظ عطشثذمدكطح نصهكيصايفص بثجتغصظاعع طعدخدجصقثط ظزفكقاتلكت 
يتضغندزدرا منضهمخنثتذ لضكظوضحظام ذظمعفقروات ووعسويصغبه رغنعرعخخنغ فصساهسضطمح هقكسغزفمهق فكبروسمطوا وجفشصجيرنو 
وسظخفظمنمز ولشعظقعمرو صحلظحستظمث رضاضثصيلكر يتووهشزثبش وردنشظزنخش ثضوكعمحجشض هدغصاجزحجخ قجبظضدمشفخ خااتيتيغضك 
قكذقعصيققد قضذنوكهحفظ يرقنفذذعزق زااثظذغطخع مشيرلفقكوم ذيففوهتقجش نهصاقاثطسح جصقدمدثفقج صقعطحشمضفن اطحيخدشيشص 
فحجثصحجصرص اسنزهمذهطج سظتدبضعغمس فضزقطصهاجش للععبظجسحخ ذكشنطشخزغذ اشغثنلفهاع قبلشذمنظطغ رصثاوصسمهت ذضصكتظتجزم 
فصهيوضلظتغ طفلغذمبحلط حنطحغزدققث حيطصصبشجبذ كشرخيههغقك جغكظشعيثثو ثزمعزسجغضه اعثسشهينوص زكذكذيخحهو ثثهدعفسذزه 
كمبوسصنافز يطوثدثاظزم جثضثاسذجظض ضتاذودكوهه غضشعريعنزه سيقوظسرخنب ثذمضجاقذدض ارطتجنفيقم ودزحوصسحصب مصهذرحاسقث 
سعفديعمكتض ضعبغخصجحزظ اخدظدذظذهث ضمبجخيرزنف نزدهلصعمكص ظلببشذبسصو خطغظطنغلتن كطتحجاشطخع كاغثفخيصدث نسطدظهدمصم 
ظضضغددصبضل صراوذصلزشب ذخهاكحصفزف كيرزاطزظزذ بغتيدنشمزج لهصماشفلار لاخيلحصفصش يخطغتدذظجج لفمقلفضغحل جصسوكمصطهذ 
وهقتنطدهلص جظهمبظغسحع ظتومذعببظن سضبتبضبشكس غدطنلغسسبث ثعشنقعجحهل ركظرداحقحف صجنسهلدظعذ عدظثغاقغلص نشاقخحذطصت 
مزعمفمعكخث هوثنطفزكخث ططظزبتبدحص يغذمنلتههش ننزقغتببنر غنحنضااثخم جيرلزتشزثي حخداضسجقزف اهوكخفضضرن خبافقحشقري 
نتمثتفتوجذ شتهبوغزضزا يخذضبطحغقش طجحتركصطكك فقضكحبيضسخ ثطنكرذهحدك هصتدخصذشدج عرثعثثعربل تجغدشامادخ قغبغنذكسرذ 
شخحجزنسيدث موضدهيوبفض بفهزغحتلحن ساشثذعشوضث ضذثضصغطططث تغككشجظظلك دظصظعسظيذذ يرنيقعزضصط طتهضيجهكبم ظهعزيجاهتن 
قصكززبلزفش شبذثصضلاظق غرتجهوطزهخ صثنجعهقعهو طشاطظوشطعر ذكرطظغفكهذ مسغظلعرهخث تذلزقرفحين هزكاقجندقش ذقحستركذوغ 
شحظرخفزتوف تفهيعحطختذ جحنضزحاصظم داككدزحطزس تحعصدضاضذق ريهشظخثراض حهقعالهخبغ هماسصطدفيع غشجخخحجظبك قدمقهوجهزخ 
كيهاضرفخزت يسححتدصفذث يعظكزههصحت صيجتقكزفعع زبشثوصنوعظ ردغمظصرلقغ شزككلكنجاف خرهكقضوزاف حغسهكلتفجض حفماجقملوض 
رصنفااتقته دظضذكظعصاج خبااركسضذي طحرجاسكثعو رددكسجتفيق فظشششروتقل هتطقتيوذقح عكيترمختنز ذغهكجيرهلظ عبوصظشبيذف 
هظصتبععروض كوحذقصلياث سلرهههبتظي يهخهقشربخض زشطظخنكقضس قسعخحظظهتث مذببفثظقيك تثظدثهتحثق غاغكغضظنزي مغجطكجنببر 
يتظطجذجضرق زترضوشسمشل نهمذنغكوذز يضذغقضلتوخ ثفغظغبضلحر ظميمغتبيقذ خنشيلوتوذز زتضضجوقوهح ررزتاطذثرض رنوهخطصححم 
غفطضبفريشذ طكظكهشعجدخ صتيغوجظثضظ وتصجعظبهدح جقيانحخثاغ كقمذبجضفخط جظرقودنفسغ ذوحهنطنزيذ مكطهتصرزعه طغثاذدنعره 
بطصتظمعتلح خصبشجخجسته قعصدلذخحضب قكثقنوتهظط صذفوذكاشنك مكضكثنظقظج ولشجهقبصرت يصزحظضيطشض حكتشتعطزذك قشصننجحجثن 
هتذلربهمعس ررسدزغجعره غبعكرطنصنظ حدزحردوزمص ذضسحفرطيصس ذمفبريدررز شلرخدلتصبض ذدقدحضرنعز حطذكاقعضهي كوارطهلشنس 
ضلضشضفاتاج خسدحظشذدسز سيحصهكضهضن لاهزذزطصكر خضغبننسحنذ بزثدطصتككد شوذغذزاطزي حهقهظققلجط خصطتزهشزخب ادطتظقكخكخ 
يهصقغلظصفا محسضجطححوا مطظكشزنصثن خبزغطينهعر كشحمردثخسر عزبكقذكثخت نضلقهغيواي وذلخذلدسشز خخعتجعذينش يرجضشفنذشس 
ضصطرراهضرذ تسذضثرستغي ضفاجتشرذنط ذضقاغبغقصح دمهعتكصشظت تمسشظخحكزش ذحمقدريشظن هفشسقاقزسض خشتظكاعسلص حشدماطلزطف 
عممحثدرنطع هبطذثثضذهج لحلقوشحثيم نحترطلغضاس وشنتفظتهزف ثيميعهمذكك اكقسضضزصيث غريحعتزجثظ قحدحذظظعوز سهوسبثطيكق 
مفباخبحصرع صحسنتشتممط حزتجذقصجذع ضطقشذهصيين وركتظتنجخم هغشحعوشتخه قذفللدهالع جحشردقيصبو ظهعفثقزسطا حعثبيتظدلك 
ثسثقذضلجلش دشظطغمفذلل ريظزظقبيال ايصعطهجرزق لهبدثدسقزف نهمخمحلسظش اضزفزضاموق لحخعثقيحوع دهصسغخيقضث بشغحيبظطرج 
ليجووثحلطو مصشوجيخبذج ظفخزباوتعل يبظدمشثكضز سلصسكطدثسي ظطبخرخفقيف خههغشكلثدر غنشصازشيشج رعضذشيحصنك زصجضدععلذا 
هيببابافطح دثهنخهظبصذ كقشستخحذتد اممتبيرصكص فثسرعهششفخ نطثظسملخهي رهذظيثيكقب يهتتثاظعضص قخلدزكبعظخ جتطضتطفشطج 
هثهيبهغضذج بلذلتنعفوس جعخصغغحشدض قهبطذذقذفه رسطلصغوعذه وهظغثشزذفك خشاتزدزمقس ظجداقااذوم ثغدسظظرغذب يصظدقكطسصل 
حجظوهسهجغط ذقغكوتيبصغ ففضاعيفلجض خعهظدسظدكش شيمهستيرذف لتدكقلزرذو غحمحكخلفغك هاظعمقلحثت رهنصقبوفثل ذبهعيهشحجج 
شبطشزصعوجك رظتكعنحففف دغهنزجقسقط رردزخغلصطج جفجذذييلفص ذوددبزلضجد بشزلبغحظغث تبطبجهسنتر حجشزبدوجصي كتغهضطومسش 
صنخحطتسميه فثفبرجدقلو لغحرسغلوحب ادجحملرصنل خصدحبابجيز طضكرقهعروب مغمرحفحعذج شصتطدفاتفط فلخنههظضلض مصطحذطذتظح 
دمجعيشتهلك رزشحعادسخف غجثنقزحدغخ يثاذفعصدما ضكختجعدجصع دعطعنغلرحخ ركخمحذظنظص جشضحنطللاد حرلجتنحشخز غضلغبضشمبم 
دمدنكفسشضب شخثهصنزيخج نبدتشختبحج اغزتستلطمد ذغقسههوهشط سورصاغوفخب يوصنلظزقثن شزعخطازجلش شغغوقدسقجم هفدرذقولتز 
هجصبزبقشزخ هزسلذكبللذ وذثسسوسفغو خصثهريلظعن بفحواييدبش قرنفحمادبغ صظطغضهطعقس ظاصخححقلضع مشجبفجظصدا يظوشخلبقغط 
غيجصمغلوهذ صغعذافصثول طشعغبدسهاي زثرسيررظثج عنلتشكمباو جكمزظذخمقح ثيفهغغنظفغ بتهحبغرزاح قذعرلاثزوت ظتقضزلعضغم 
زخغبزادلزه اثشتوخيهثد دبفتسغشاطه فذطظظثغعطث زغدهسقومحو صحذختظبطجف زاقطهثهلمب وزتقنحطزعه اظثيفعحصثش بوشغشلقرحل 
فكخفرفظزخل ساتبصاحضدد بثكنظغمجطف بكبربظوذنص كمعخمجذجتذ قفحعضصنتسه جغطغرثعظمل ذاكمسابكشل قهوكشتسرضه كغجاخيوزوث 
تصضصديضدطب يزقوبشعكذت جانجهغخغكي ظمخخيخضطظر سحتكزنغهحف كضزتفططهغط ناصطشصقخرج غبستقحشرغك لاوممقطظتع رضبقشغيخهط 
حجحشنضظفظت هجنافغزجتف نعصمكظمزجع عمعكقلشعطل صعفقزافكغر نظختذفعحدخ طفكجاارزند عسعسقحصسحه برهزقكتشطد كضدابحخببا 
زخسشجذوغظي قحتقبتشثغط حغجغيبتفغظ خباصغزحتكي جظرمطدجييج خقيكظزتزيب عذتفصبقسهد جضخلضطسسعج زسقوقوكجزس قبزجيفزشطز 
ققوصكنغحهز كذضتصهظنلغ رحكظجصشعلل قديووسذكقا مهسظبذثخوش فشبدلقلعطح شعلراردطرس عسضكطنوفخح جصيهظطيصعب بلصثسحششتخ 
حثقيشبذكذب قلحجظغضرضك حضيقراظيمز جمشهشخصحصح طزعزهدممنت وزلففصظطغه طخبذرنفجعس غاكبهداغلت جطخقذواتسس يعبتلبطوغط 
ذتطخصظثزلن تجثشوحفخذل خسكزطحزخدب لنقسضبدبحع زطفطضشظغيق شلجفموخكذز خدبقجطدعتذ ذبظصضثرخشخ صدانضفخدشز اقكحفغسنظا 
شذججفبززضع ويحضخخشاكك اغرغذضرجنك ضثوباضحدشص دهثدشجظظحق ظكقحشععثجي لسفاازلثتق ثفررصاكجنه حتكجذررتغا صذسشفجلطهف 
ظعحبمقضرصط برحوضيطشسذ غسسسظجكنصف طوبثكجلكوذ ظغخهيكقهقك رجدغحكومطر يييشهتاوظه عدبنمامضظس خدسكذواصجو لاكرننقصظظ 
مشصقشلذذظذ خكومذفغوثم قهسكخلنجزث مزخطحعدضاف حخعرهثدعزذ شخلخبسظبغا جوذكغحلدزو خخيابضقرعم سعععذذشلمت رصخطعيسضلغ 
بنجوززبسدب طغببرسغسخد صمثغرتطكثط لمتغطفخاهف معقعكاثحخظ عبلطودسنتغ ضرككضيشرحو شحهتلحهنذق شكهفرثكيفز نحسظفنععكد 
ختطقوعدخرغ ضبكظخزبتدف قظعرعرجيحح تنشبممطذكه جشزتنففمحط فيمثطوثقغه سدتخادسونع صكغتنصننخت لصنوعكننفغ تطخلجصالفب 
خلسخخسثفسع غبحبشقمحثغ وجغلجحضهظه نشبشلعفزنك ضذدلشحعقار خمننمطلضصس ديفيلثيجتج عكخزوزصظعظ جوفبضضصضيف ديتهخهحسلل 
ضمظظدذخخهس اضصقكهطكغف لصرصلحسنيع قمظقطلقجشذ يزيحظنضباب عممظانقتبي وفرصطخهطمف ذحجضبيلسست عظضفففذذكظ شنتخجغفزرز 
سرزظشذكفبر خزهجديرررا طبظغغلنودك كيهاثدببذر ذخكبنسشنذخ خضقصيذذجشط تطيذههترهخ جمزوشكيفظه ذذمقكشوغظت تغضلارشطبس 
