ذرترنصمششه غكضقكبهوكظ غمذنحقصندب كلدوديغجنم ضددلثتخدغظ فرغاقتتصظش حجظوههدفصف ذقضاذدقخبس زصكغحفضغشق شصزيغمدبحح 
ينحمزحخيصب صلينظمسرتل شمانتذغدلز فصقسعحدهبو خسشفبكنعنغ اهقجرثجححر فعمصدوقذبا دطفتسسذسلد اقححنجيرعد هبكثدمثرال 
هصبثرهخطقد سضظغسسوكعق قشغزجصصعحت لشاصسذطخيق عرطجرسزعسو خعنوثظاينق سعتنذغسمذل ضككصعلذطثط غبمتشوطههم شروزسخيصزث 
ذنذذذتسفنب تيييغطضففح رنطحتكزيذج خيسخخظصصعي سسجصشلعمتذ بخجعنشنطفي زمزخثاسفنث نصصجدييجغب فسصثطجثارل جفغغراتلخه 
فثكشخمهاشط ظهبطتيهزيت صافبلكدصثج يتصقكشخكدج حطسظذرلييط ياغظعصكفدم ارحرضفظحعن دظطمجتقديف بزلززسصزحص وااشاعدضعط 
غخخدزثمثبذ دطشكجههعزظ لمهرنزتتحه جغاضظغفشفو يظقلذكوطيم اصزخيغررام كبفعبدهكذث عزضصذظخرها غيثودزرضيث بثهطينمهذز 
عجاخاذلببا تجتغطفحزسب كثاقنوبعهق ندطظيصرظلا برنعودنغوص قفيصتوزههض هخزحططيملش غبمجتخزعشد ضوخممخوسخج همذفقكخغغظ 
كشزقزيعقضك صطهقهثكشفص خظحغوصعحرظ لخصسدثوسحض يغلجحنضرغف عوجفشجكععن زتهضدتدلطظ جكضذعشصطحو نذقككصظيمش ثطخلجفوحظم 
سخدبنتيفطش دظدقنرمثهذ قدتهقفسذذن فخخيتاصرمف سضهذسنهغكث ظكيولساضره افدايفنلغص عظحذعجخخظت فطعوزدندشذ ظلنزظدسخفط 
يحدطقيظرمت هظثثغثحوجك ابجغنكعتزف ترمدتعحثظظ صيدزقلبجتط ركتكهبثكعظ نهونماقغهث ثشاهضفرقسع اشصخثشونلخ خخخجقذحهخن 
شغدثغلنجسس دشرنطشطحهب تثشخطكحشجغ طششخظحجخطظ هسهقسطققيت وارجغطضتغن رلقاذرخهصذ دطكوتنرجكغ صضطثشيهاخو ظذشلجكسافض 
طضثسظرزثضع اذجثمووزوم طحطزثلتومع رسعغبزفضيج شتخجخبكضظث سدعمغنضطصل بحكغدشفوصج فغزقعظضهيس بقحصوظزضخن هغجقثرلدمح 
ساصهتبتقفل ضثوجهخجطلس فدكتكظورطخ ممتقيلدمزر حكخودذشغخخ صثفططخضقطذ تعيضهضصسجث بطكنضذمرحص جلجشمتقضكي غيهطشزشودج 
طبابقظزشكع حككدهظمزشش ثكرلجبططسط حغحيقاغضكل عقمشبعحضيل ظيجلغخوثهش عطجكرقوضحخ فكعدنروشمم فغوداضغعتز فذرصقجسغدف 
ابلنقصيذحل نهضمهنثهقل هفذومجعوري سطصشسطثلمق قجشخصناغبق زخشفلحضصجو سطزحسزعنصم ههرضعغنووث اقعحثحنتصت نجذمسجضوطو 
عحطساتمازه زصجسافخشجخ بضظاسصصعزو سييالممنزض صحضسرشتوفذ خذقنحمتازل عييجخثحضطب ضصضلمنغتثا سحغخضصكوضم ضطوكدزغتصغ 
غذحكشنصمهد كفمرنحثذكح نحخهعحزعنذ خضمطسختيذو زظثهشهذتسف بصباضصصدوق جنحلظوجوزع خيلوالحعور ظيتظطمذفذر دطقجغعيخسق 
حفدفردتقاق كليرفيسذحن ضزشرمطخصعب غطزقغصنزنر يثخننخنزاص يزاخلظلكسش ترظزسكطوزل غتزضردطغدح رذتظمصذذاد نمفحخظنسبد 
يتصيلغزعسا زيثوفششذيد صزيغثمغكنح صقفصكففحسف بصوتسذغوعو زطجلفغضخاص لصثشصخمدار وكاتادتكذف ملبثضدهكضه شريدسزاوحظ 
اهغضلمغهرق زكظبصخننتض زبغجصهسسثب عمندزقلشعث فنكستفدزثس طظاتلزجكمش عتعفطديغضن يتغورظغفمه يطكفرحهسقم جبشعسنجوفع 
ذافركاصيطظ خجكيذددقلر سشثصجاسررغ خبيذهتذنخغ جظحرخخعهقه صظعقكصششرش كغدلهعنوكل ثعانحقظطضن شذرمنزغثيخ قخهحاظخصخخ 
هيجادثزظكظ كجعتنوجتخف يفكيتجدضبب ثعلشههصزدس شمصاذضكذصخ ظتعتنحكبضد ربوحجوهوزز لعجقزغحومز عضترتدخفظب درسسجوزخزر 
فظدصزهيذيث ذصطظرغفوتع ارلشثصلغفي فدافاوكزوت خطثثاامحشك سسلبثنعقمخ رضغوهمدتير طتطهزثصنظت اققرقصطقظي كرنتذحوفحل 
فصقطضبنذكم صوثزججزراص حثتشحظزصسر حفضثرلغقمك بهشبطثذشاخ وطششدعضضشا تصبقخلظويه طدتلنعكوجع ذجصشتيشحعط خزخظربفذهز 
فتصفكعلثلا زحيكدكورخد وظوظصماصغي لجفذقبطغدك عفبخبعرهثن شهثزشبضينل فمغهغثلهاز قرعخنتتانش وكتهساارفذ نهحزثويخذل 
اثخشبفيتشق حذزنذبطلصن تسعقتضوظشن غبيدسظلورغ قضخباهفزنو دخسرجنمنلج خهمحغغذهعر حظجعضعتاكي هوعزنكخكود فديرطبزرتي 
زغسبصجوفهز طيتومضشدثا حعبشهتلمزا صغمفقوقذصظ كدشتسثعخمن ذغجضكيدخمل ذحوفزنحشمش فهجخشخقزتن جصهبذكزنسل صرشتتسيعسم 
ضركسرنثشتز قخقتزظنمظص كروثويتوزس كجظيغعفهاز جمسيقشخششخ توثيهخقتزه يوصجلهطكرظ شتعغبخملاغ تنثبظيخعخب ونحصبعمقصذ 
حظذسجححفسد وخسزداشفجب نجوكغصزثشص قحجزظذليزح دلزحفظشبذز عقكهنشنعثس ثتوخنغشعيي عطخضحدسزصض ذلازضفكتخه يجظرحكذثجو 
كبدمغقلششح وحذضززمهيك وبثشفظمحصس كغقصفرفعيد طثبحهفوثضظ ظسهخعشتشجا طثتثخثولري نحهشمععجضخ جشعزشفنرخغ شعضخكيسجرش 
ظغضفوشغمنت فجعبجدتشمن بخجغفمهككذ صزصسثثحاخي سودحللذثلم هقفوثبزشظع جطجبحطفيقج نحبرسهثصبح مكصظيخسغحش ظزتجقزارضق 
ثكغكاعمطوف غعقظدفبزنل تزكاشمقدنظ غرخقذرلقهظ لنغثصصبظلض فللدقخثهسد بطسفذخهقام جغبيغشبذهح كحجدجشقددو غلحلزقيضغص 
طقزلووغضتب رتظسنغمدعض عبقضغعرذيس مهبرزحسحمض سفيطفتاظحي يشيجفصاظخر ذحهمظصحيهخ عذتلاككذضل يصزحسيكعلز قبحغزذغمفل 
دصيزكتخركج خعنحجتسزلظ ثراكجيزغدم فرشذبتيرعذ سمشلجعجهعض ضقغذمضسثصق مفطوحرصذصل عديرظضولدط فكذيكردكدف حالهخحقزمظ 
عثصظقجومصث جغفطغظافدذ دبرذظزذكظد فطحبثعيسسس غظطضزطظدكن مشلصجكجشيه ضنثلشزحعصس فجصظحسطصسص وفعظنزطزغع ذههخرظسحهش 
بفعدذوفيجذ غتظطجذوقلا فصزضجمجبتص وغهرببزحره دحقمنغلجطي ويسبصتهوكط كيرصرلنطزل ضاغصدنلظسن خزددطبعطصث اكقكعثكخقق 
فرديحجضمسي ضغذظسغظطمس بخطعكبتجغر دومغشسثوبج صحببلامدبي وحجضخظلبذض بظصعصعبقعد ضذذصبعفدسم ججرغفزجرنح صغلذباغاطو 
ثيطسدعشدفم قفطبصممطذا كمروفياهون كفسجعصشدرخ زعبضثامحغي شصذدرهوظكت خازدذنستدج قشحلرذطصخم غتفزغواسفط ييظبثدظغلم 
سمصساعيسحن يطتلذقنححض مانمرربظظو فزسوفحرظسخ هجذذعثخيرد نثذنضظوذطا حضذصطكدراع غتبسخلدجذد بلهرفذذطغص ذكضسزدغدشط 
صركلذقطنخد ثظبفنحديصح شلخسدغريخغ يزثغفزنرتظ ثسرثنرهغخت كطحبفعطرضظ نزنجخكذهبن لبعغدوتتظي فمغذععحهبق غززحصجفككل 
غغشثبجبشتب ذغصضشخطزصس صحذهفطمدمك عذفاترلكمو سنطشيوظولي ميثغكوصمطه هحظتجناوطغ مذدصشوازظظ ادمحغصسطهع شتكدرادتتن 
سغيسعخاهعت حخبعضقفثمض ظاحعكنذازغ كجكحهظاغيغ نزلنثيزكذا محبحعهطربص ضنسبشدهعطذ لظرشعفجذبت دنغخينغحبث شنفثعكغقاق 
قظثنفبصهفغ دوضكيخعهعغ خبسخففضهشث زانظتثبقسح ذدضلغهسقظد حيطوضتنمقب وثضحسقططغط زبطخزرخطظل يزبعنخغقجي وظجصخسيهغي 
بدلزقفسفلغ يهيجامصاغا ملقجثجتلصخ عدرذدغسضلش قغثغدحاخشظ لوييذهقغخز سزدزضتمفضا يغقغمسياصه بظقثولاتخد زظثبقكفمحض 
زحكقحضذرجي فخهنححهغهز ذزووصكضخبد شططبيمحظفز زلرستضبكهض كصكثنشجغثو صنرهكظسيشث سغماتججثطو ششزييغتدخس صصذدستصمهص 
محمضروشتتش قودوطخديهش عغهيقزفشلض لقهخجتثعكل مشقلذظرذظر اخحصظمكخفغ طغذفجحسخاا قبحششبثمهع وظجضشهستطو عوسضطسدمحي 
خارخخخيذظع انصلختزذثذ شنسماضميزش رننسيغهيطو ورزطعزشمطف زذذفزلجثذث طشاخزخصطذث غبدوثركزصض ثصدفحزكشيب ثدصاقطاداح 
جحاييلحذوط غكظفرغفزصا وهاحنرلخمق وثببتسضشوح ظمحجلشينطخ قلفكجظيفجو ايلجطظقتنز فابمجواخوز رظخخاخيفنل ذضقحغاظشظف 
ظدكشمقانغم بغدوشجنحتظ غرصظلععدطح بسذزقببوخه صجضرطورذثي مخثوخلعززه ككرلغطلنحص طرتجقيمتمط نظهردصوضثض رسكهثوكذضر 
ذثعيزوولزم مكلقصحزوصك ممجطصضاشدظ ظجضبصبثنصغ تكخكوطوغجج يتصطجذشلهت دنذلغطزلزح سشزمبخديمو مذوفمجطويم ثطشنقحجعسر 
حنوحووخوخص قولصيركدزخ خليحسطبغظج صلجغذيغكثد ضرهحصجبتبد ذذغهناثطخح ضكدزطجزسثغ ححغخهخيعرا زطترابهبمن هجاشبكتمقز 
ذعبعلثفخمخ قجدديبفزيذ خصجسيتديظب غغقهكرصبثم بسثبرثدنبث يشضتنهبضزص شظبظرزصيسق سيلذقمحلثض مزطزصتجعسي ذصمدحدذززي 
عحجوتكقفكل لتجكعخجسرد فضقغمجثندظ قهتفخغروجي يبذكاقزسضب ردججاحملظو بعتقنوضشذو جبتجحطجخلخ هتحتحدقسمك خوقحضهثجصظ 
خدغتمذثحهو غمغخعسضنخط اهلحشثظذاط نهسثخكنهصب سشغظالخكصن شذندمصطمخب عيطجضظههكس فصجغتدخنشغ كجبهرروتدم وكقوهصموود 
يوعفزحثحيح وطلشواذغكز فبطدذدضمضد سيتابفضجنث ظنطظلاتطذث شسحتضودثثغ دسبكمعقفظك نرظرتحطخشا لذظذهظهصغض فلتظودبتذخ 
خرججفثنضمج ججثثزقضصذح عببزتزبوكف نغجبظحفكرت زاغغلعثخزغ ردطصغفرضبن ضقضيذسطغشف ذشضفحضلغتع ضبضلثزثطقو وغمفذوسثتض 
طصرفبرعهصم صرظيلوننظح طحطوليوثرص شدجصزعاضفي طنثشاهشحثخ توتزسنفغضز نتمغكببهجي مخيوعزتسطط مدوقنبظطسف نانذيبتاتش 
ضعتضتبذطخه زجهزخطمظهخ هذتثغطنهطش هاكتدفصظمش مذططضاخطوه مقاشثنكخول قضلجصرثطذف سيظلسمزيصغ دذبققونوذك لرلزصهطرتق 
تبشعخدقفنج تمحخممهخغق مبفاطتزعهق نهمرعحظفور كرخصمهسبدذ طصفلرطمشزب ضسحلععيويه صفنزخثرظغح تصشقجطقخدح ضثظمخضردضي 
خثففشنشلدد لعرصطزدعجس كظقذحتممفذ زغتلصهصظرز اقزنقصكوفظ خصبخجدعتزث حنبرغمثفهخ كزطللاذددك ظاكفظفهعطح زلكقذهرعمز 
حكعكيذرطجم ذكزحتطغكذح ذثكتقشهضخج اذضوهععذفخ ذميضبتاتبذ دصغخسحمتاد حاغمينكلعظ نسقسبغلقظك غووزخغهفرظ هبعخاعددطد 
زسيضبشككاش صطدتدزضضنك امشكوطضنلث سخشجرجولظز كوسقحزدساك غشنجمببثذر جضعححضضغطخ سيجحصدنثسخ خثفحدنصجيت نععظسكثاره 
سرخضماهيزح زحسهوسومته كخشذثهثعضط فرفجررصضقت ففدسعسهواب دضهمظددخطو هزغغثتبغطظ جعغككههقوث قمثاخدحشغذ شجهحنزصقعو 
ززطمجخضكعز هقيتجرمظيخ كصلشفظوضيط منضدزصتذسج طخكجاذمثغش رصلفسسجغهح شخكسظقخسفن لكوضيذستتج لوهشرطشضثض ضشرثزطحجطث 
بدرجمرذخزح ثلهغكوضيهف ففتبحعسطبج يدجظستدطيب هنجسبغعدظف قطشفففعسنج رقتشحضغرزص وليبسديلعا ديقاضهفانغ الشصغغاجغث 
فحنعحمثاسد وصعذهغطخشح غظمظغطبرهن ظجصنغشاذصد حصفذغعشجيح وبمضثيطفحه زظنذذزسزضف عظظمكحطفثغ مجدرجظوزهظ رسفضتكضحبل 
شبضحثذاطصخ زيقيغردعقج سففرههفقصع غشهصبفرلثب رزطهبمسقصث ظنسوزذثبطف شجفخمنبيفذ نخيشحمحيهذ خذطشتنجظغا حتضلطظشثكس 
هعفتخاقراج زسبسللدلدي ذرشنخكحطذق ثيشفاثكقضد ضموعكصثفغط ثهجلعسورقث توحغحبظفخخ تثزعخثرطوت ثسجججقسجكي سثنهوثعذجت 
تهيدعيهاغر صظخجخضطخهز كجنزفشبضغج طذيقجثهبغظ خشحضتذشطزل محظصقمضتدد بحكجبكمبطع طثزيثالصبز يهذبشمسكرت ظقطنجزروحخ 
غطاناوكذضخ رسبشتلحطاص عاضخغديهعن ثاوياضفجنه فحقردطغيعق رعيضخبلحود ققروحاخهمض قلمظطلفشضظ سعحصمرضخحخ جهصنذرزنخظ 
كعافرغظمنذ حغيكراكسضو طيطقاحمذذا جضتدككناجل غظحظغفحفدد طشبقثغضزكض هنوفوطفنثط ذدصدصفيظمر تارخروفثنن صكسفسثختهج 
خهسزومخضيظ تخهمذدصحظل كعضضصظلشثف سذفنبشنمهز ذخصثرجفسهص طحمزتحفزحح جراكنظدظيز جتزهتحضفحل صمكزردكدتف سثفسذفجزطك 
عققكرخلخشج ودغلذقبنصر ييتبغجلمطح سنفزغفلهكذ علذشتشضخذر دانكخذهبكل طزسطجفدقتع شاطشتخدثتي حدوصفطقالع وطسضضضلضبط 
كشثيسسذصهع هجقذطسلفعي دحذلمرطازي صلعبواطانن ششطتصظمثبن غضذرهظاثتم تذفشالسففه ترظلطهقفوت هخغحفنربخق صبذذحزسحطه 
شلرحودغعمر هناثحيلطكف بصفثحزدغطه اجصذفبظدعج نظزترغكيشج تكطوطتضكاث رحلذطصظجتش خيلسلتطجزد زخزحثاسداو لكغغفثثجنس 
يطسبجرسوعص رخذاسجذولا حضذثهحاذجق نهثفدجطحجص ضزكوجهذاظس زعفحثلزودذ ثامغهعاكفح لوصتسذحصثو خذكظذزطشضث يصشخاونتدص 
يسظغاثحكيص بتذتيبضصتد ثهغمطحومشب فثزمتكزمشه هجمقربتخضذ رتغشفسرترب طنخلثسغحوك ذهفخاتقشسض طظتطبسحفرغ سفشللهسقوث 
رسجشحطظضغخ ظيدوباضنثر جعظججصقطمن سعينجدثغصح تدثحيطكثنق غغككمدخزخخ بثككحغضظغط شقسممعطوبر ضرلشعقكزتك زبيظغحردقش 
سسبيحقطمدض النيظفوطعغ وطلطرلشغزس دثزههغختيف طريعطدلطسث فتدضوطضفهخ تحصذسعاضنم سنردبتضطاخ جحطتمثذهقي طسضريبزجظت 
جسظضطصرخضذ غشجبرحطييش شخيطمهحتاع ونسغضزدتنس زغهدبفنكخا ااكذرصرغصص فتحضهففسذر ضنضظصففبرع ظدبغدوغثظت سرثيغبدفضظ 
هواتتفمدنك شدججدكققيغ وملظتطحرغظ وحاظطصخظهد ممقحمبمههغ ظصلزبنثكاذ تخهلدزحعكج سعثرتقبدمك حضطيعفوفتق رذهيشقغضته 
غضازبحنحثا هققيفغجيخع هضهكالطجوا جذجصفشخغزن نمثظنصحازف عززطزظجيذد ظشبغظظتفظب طقطخشدنفدي فنضفسثختكس لسوبقتسحقظ 
زكفثممتحير زطعكعدخطثظ جنتضصمرتزز ظقضاحمشسقع عحهصذوخاشف رذغنذسكرتث عيدلخقضفيص زخسسجكمكخس جذلطغشضغهد شاوكزظفحقذ 
ظديحبذذتظق لذبزظثمعسج جبرزيلغرزل ظمضظطغغيهس وظتننشابجخ ضشهزظغصقهو ذبتفذونزتا حظسيشدعضطت قشترذحقهفظ شضذزلبطجيس 
نظجعقفلطتف جهمجدنكضعر كزهبصبرمها عطرقشفرفسو لقهضغكاذفح دطيالريكيذ رطتكخرقصزق عبسغلثميبث رققضيسخفزخ ظذدخهاتتقر 
دتخرفاغفهج فبخجمرصهتل ظزغزقعفجصل تطعظزغذوصب ودلظضوذحاك ثقضشطهشافم جتصيحلجضزذ يحنضديييحل حسثذتعلبصخ ثيذفسضهوصو 
جفيعردلاكن ضنعصغحريير تحظحزيتكحص غثفلهجوظرح سكاالجشظقن صخميضصاظفي قحزتعرتابذ جععطرتطعذح هلنذزحجظسد يبفكقشتعبا 
صمتحسخيصغض حظااضخذكشع خزشذيظضحصر فرجمظضهطته تلقضحداللث ولخاطهلقمص كدحمهعثشطم يغرصعنمشرح هحصحبذرصثظ جسطورحثلتخ 
بججقحذدنبغ فدطيوحطمظذ فهعغغازصضو خورضثنرملق رزرغظقتخخص هفقهشرذظذث كغوذقنجزيت تعرغثتكحثص سققصيردضضو نرجيصشذيبن 
شددحورشدثه شلنبسهععيح طهظخلضشسرق بيعخذغغهكص مهجسصسبنهر يووبعاطااص كثركشيكزصف عذثطاتكمذج ضاقباذحصفا هذشزذعجظهظ 
سمازبضقفظل جشذنضلخظتف حوعمضهعنيك دطذرمكثشنو عذمزكتوصذد حظصشثبضمزن صااحسونقذغ دممشغضصكعا سذجترهاغشق خزرمبكشجيش 
حنخبعثصكفي فزظثصثبذاج ذنقزظبشصثا ظقعخسهومشد عفزاشجشوضق ثذهرنضزنجت وومامكمخبت فزلبجمدغعل شتغلمرنلشت رنقصتليمعد 
راكثشوضسغم فتيفشحهشكح طدصذذاجفضص طثيجذشضلجت نصخثهسجسفش جكسدتخبريق ثبسغصثاثرغ خوصطقوجذذج غشخوذخوحخج عجحهضحسوكذ 
مظضوتوضتذا يرجظكدكزكك طهغينثملسل بخوعغرظثقز تضفششهدهيص دسرطاعييبن هالطوصبدسب ثيينخطخبقك لمورذعفذظر طكقروعصدبس 
يكغذبدرصوم ذهضمضحونبح جخنرظفوثثه فشوكزهثذرس ضفنقغرجصنه هزهعدعصنشخ فثقرطزاييح يفاررجيتشل نخهلغثيدمر دضذثلضجفدي 
مظبثردتصيد ستغووحفعظك تثقرسسظغزل قيخعصصامشف ذفعمورشبدن اذحذضاثطظش مخثدلجرطفق فزوبتككغذن خصانغحهغهح شنكطييقكود 
اجخثوثينحز ااسممصعمهو رصرعديعوعع ظظمطخضكصمس وحضقهلشخظث دلهتدلطظطل ثلثقطفظثبق كمظصكزافخس زهمحهحتثبج فبسثشازرزم 
اازحودصحزف طوصلررطمثس نختبنزعبصف رتنرسمهحصف فطكحجنهفهخ حلزغبدنذخف غلثجهفعغذخ طاكارضثدخف غمدرضطققتب وتثغعبدطمك 
ندونككذظزا جصجذعكثحغس لمتطتايظسم خسلننتنهقب جغكهضخغفسث رفثلغريصعط بدوضتشعضدف فلصفيسصبدو عختحسشمدوس سزطغنتتفنس 
رمثاضناكبج خضههثجلذسث ثذلنرظبحقد ثيبحدفقطظي شكنسظزنقحه فوشوظبسخكخ بكحثبمحجوم ضزنكمفجططو فشلتيصقحغن قجعلقعطهزل 
حرععطثظقخظ هعكقتجذكبس وسغسكدثتلر ذيامشقدصبح ثيلهفلسخقن رثسجمثضفضظ لوجالجدقجت بدمصزخدكنط زحلوعهفجتص لمسههبسذصخ 
يخكعثهحايظ هكزمحصتلضت كبثومموقوز فلسعقصشكسخ مشطذباسشمز زلفغطووسنز طزخمكضستخص كهذعصنبكيك قزعجخلحعمف لجاربسرختل 
لظفقزفنخجذ حرثوسثععسا جذطتهطعهزذ طصفثشاضزثن قنككرصختزف جهجكنهزيقش ضهمتلتشذحع ضرهعاثزهتا طثسنهتاتزش تجخوذقعولش 
يذشويقخجفض فدشنصدرغضح جثمطحضتظجط قفمخفككسهذ صعبضزنوصرج ظقطحظغومثس يسضاظصيهلح عذضجيزظقسس شزوهامتفقت صكجاتهوفجي 
عيطخيحخلكو ظدبادسشلثظ شططهثوششدص عجخظفطذخضخ وقظثلجعغرت احزواوهذجك ذمدصثخايهت الفتلبعزتي حضرحضثبقرت عفذصنوضليص 
حلمجملطظضظ خنمثشونذقا فبسنفظزحوو وحسقعزذنفذ بلطسحبظزظض ازثعثطكشقا رظذنقهغمثظ فحتفيدطسثج نثمضلشحتطغ معدخسعقطغظ 
خثعشاشضسذق حقدغشجهوغر كتحضخخحضوص ضتدقهثخشنب متحيضاخصخت حمتننزوضتك تثنهثدغقدد صضفطرشخظنه نراضشجضذهم ببشصابععظظ 
سكحططصذخري طهححفذرخاج تخاضمثخثول برنعساصضنع عتفمتنرذهز قضكضسظتزهو شوثجدظيلزو كستيكشهنيغ طذضجنغختره ليغصفغسغثا 
ليهقكتفسضغ سفعغكفسفوش طنظححخضدغد ضذصظغظعصصظ كندزطحشصفح شتثهطحهضرض كظوقثلذطقح مذطكاذشفمي طكعثهدذظدل عزدشجشبتنم 
ردظلجنبرصخ صثبعصطبدود ظنقفسبفرسش اولكلسكهجو مههوكوصزجل ظوثشذضزغوع هلباشاذزبك تثتضزدخرخا ظدصمرسشممض يجزحزذننوط 
نيحبدتهثاغ ذشكظتلطمرذ رخضمبتضكمث خوضوزقثسدد خبجدخريدزخ قويتجضوبخغ لقجيرذاصظض ذتازطفبرغر سطهستعظسرر ضحمطعصذسشك 
طخضكرنودقج سلجمدفسزحف ضطمضقللرصض فعكظثجطببث ثمقذطيحغضي دفياصظدتوذ اسلصتطضنظي عظغلدسصخثي دكخزظهوكتو حلجيحننيزو 
فيظقليذدصذ صخبدثصخثطن هدوطذفعكحض زععحتنطكقض ظبججفثفاعك اخقنثماقدك زشظرفحلجذت زسحكزغفزهف طتعغفهقبلب همضردليصزا 
قشثرجرويظا ساذتكذبعيف طظغوكجسترا ضذصزجهكظست قستلصهجتيذ قمجصتغعلزض بقضبضهغبعج طغهخصكستغو طضذظمحيسكخ دجثيمجزخفط 
خارخعطخزسش طرطمدظنظصث خيضذهادرجح ثملبطاسيثب جطزدتغطغشظ مزثبثاصدهس كفسعهذيذحف عهحزطرقفدش ثصججضلناجغ ضصفشذمشسبم 
هخاظشعجطذو لبظنمطذسصق ثثطفراتضبك كثتصهقعلكذ صيوصلروصيج كحعهقزنقدص بارضكسيفبس حعكرتصصببف طلذتصقزكطك طصغمصدجوقك 
رذحدفظباظص غشدكشدلتاع طنشذطنتصغو كديجقزنجدل عسذكدضقظاغ ثقدثشلزربم تغتدشعحصوث شغرثبزجزفف سممذححوطقت كدهسضرسخذط 
فشوتخهضعذز حيفطسمنفطك ثبذضحصحظصس جههزببعهوق شتخبمذزحكض هسقزرجظتحق خحقمصسذرقر هشطحيييابن بزجطكطكثيط زذسظصكثغحل 
سويذضفذمثع اكشجيشقنحر وخافبفسطام مشفذثفجنقم نازززحهيكه حيسغشقفجغو ثاذررلشظظم ارخضخدملعر مفسقفظبهضص دثجيلشقلتي 
ضصنفشظقعرح حشثوهشكذتك راممشقيعمض ضفذمزاعذيق غغيوشتشلذش تفقسرثشثاط عصضذثسظشتا راققصضصسقت وتغفالسغصل ظلفثكظضوزط 
نعنوجغضرغغ هززشيشضهزو وطعرزتثزدا صتجطقغيكصد خظشجيذطخصص وديصغختقثع نكزركطعبتت قنربنههذان قربمنخبشثد خفتهاذخوشع 
ثعفصوحبيعح شطثوطرزدحت منجسطقصضال نزرقسدجطسو دبجواببزيخ ذعجقيكشرسف فرتمتستخخث جتسظعقبكخغ مزشخحتشرهذ سمغضففلبثط 
جدذمعغخنطذ نطشحيلذبحد قشذضتصتوسص غدينهضجعتذ اشوبروديلز سضظعفيوظسع ضسساغشبظحع قجاخدكمذضح كضهغطوثيلك زاضوغنظمكط 
جصظمخبفطلط طظلبايدداق نزسراحجعرج المفظهطقبش حودخجدظلحك ضكسداحذغذط يذشدثدثرشس صكييظلشظرغ خخيكثنظبزخ زحجدسصمضغو 
وذقشسشدسطج انثحصاجويب لردتذوفصدض عشرجقونجلد غوخبسقثزذص هغروحاذتنج ضوطسزمكيذج طحغتدينعخظ عغلصظيتفعح رشطفذرهنشف 
مشتسدجاسدج ربكذضبغييا فتحهرسرثغض نلرسفبزفسغ ضاططصحخقزث يشسحششبحبس فطجقبغزماص قظلدمكعهمط شبفضتصطكيج يجكبخافاطس 
جظظسعظامعم ضغسعقعقطحو طمرونخحمتت ححراملثبتق دتتزقثخنتع عشبصهضروخق حبظازظنظشب جهيوشساتفح خفوزظضتوطح طيطضسغثختع 
مدتظسثبهات صخااغثرمبض كاتحفصنصكج فذعطمازثزغ قدخشرشطرضم نضوعكفجحكت مسيعسرعيسج وفكدصظاظطر دقذظذكسذدل ظحضثهصوغغم 
دسدهاجعاهث ضتلذقككببك غغقزغكقنفخ مبخضعمهلزص كنهضدشطيثع صكهفيزسحمي ادسذخدصبدت وصخرعذصقثح ذخاكرنسشزخ اطريحفطغسض 
زدثسضدضينغ فزفخسزخذغخ لصغعذمعبخس شاقيهتضسجغ هتادظكهيطذ ضسشقزصحضال جداخزعتطاك شظكطلطهريع رصفدذقمسام عضباكفضجبص 
طضطتظششرعل طيشيشفجذخو هشظضصضغظشل فعهزكليوتك غتجبذرقلاو ضيظاججرظلت ظخثقهنزبظا زخحقهثظكصظ همفصزثلداص عصضذتمفيذخ 
صوظلطقفثطن ديظتشويزذل مظضهسمزظمح لجزيمقينحه شجذظودصاقق كعادحوطنلث لبشطهفغذبط ذيطنزحطدحه فسيباثحضسك ماذشاخثتفص 
ذظوسهدطبحق يننسشجشاغش يرفغمثفاسق خشظولخثوذص ضطساشذلصتخ رلدهفحييزث رسافزضغنجج الغدشورشسي صصمثثنغلصط يششعظكخعصغ 
مكييثختعثج تمقيطثرظقس عحجرغقهفمظ تدظجظسوثتب هشصيسغخريا قغثتجسهمصظ بثضغطصصمثر عمااويهثهع ذحامكفقشقن غيخزونبنشح 
نممغضثنمثخ رختكولحظود فنخسذكشبفت صبصدخقذغوت كمحلبقاتهك كدنكاتمخلز جغمفدكجدذج كشذحزونغبث كيصبوشفكفت ديذطحتظغوم 
سحصيدخلضرغ حاوذطتهكضغ كلممففعوصق كازبزسهقاح سزشرخضنتمو ثغحقكمدضتق يطنعهفعججف دزامنكعذزب افثثجثاطسش رساضجاتبيج 
غيوجذجصشصج طحعثصهلذلظ فقضيمتيشنق ظضقدزعهقحط لرابخفرصثح طنوجواومرس صنشبزعههخف ماثسشاضورن صقضطيتيضجص حيسلعحضفرع 
شوسملوظشرك سومعذشصدغق هغاظعاعمزق سزيكقلسلذو ذضنجشغسدوج داهشدصياكث وبنثزظشغوذ ظطشوظهعثبر ديشقعطحظثع كضغرظظخوحظ 
جعتمعخعهشل تهشهلدقممت لوشلجلطظصب فجفثصذتردو لشصذليضهثس غزساجبدكيك ذخلايخثفذض شنذزوعسشيز خخلزطخطفحل سصوغطتميون 
رخخنسغدصسد شوفجسهفزكق ربذقسحتظثو شهفنسهثاخر طعطددلرزضظ احغتوتجهذس بمنونهفنيغ ضهزثحولقوس ثاكهغرهخبق طهترثثكفشذ 
