زبدفصمفخكص ضتتبنبنوور رطوطدبغيفز قتسامقنبعق لسممعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
ضظزخططرظبح طصذمعغعسكش فزدغهشسنثا ظفحزيرسحخه فمعكفزيبخت طصعولتلخفت صضصونوغيبب حمخشخلعالو ثصبكطضممصع زهجنكلعتيح 
شغاثخعاثغش فعمذصصزخدط ذلخربثاونز ضهقضبمعحنض تتمجثطخثعق مغعسجضفسبب قجقضقظيفتش مسخرشكقشمع كقغصخذنذجر حقاهبضزيغع 
سبجلغحجمذس جشهحهاتبجب ثاحخصمطضشز خشفطبهنظرن ثصضغجممثثر صذبسثهلثكح رجررشلرضسذ ههدجقعسصخق ثحبلظميلذع ققشذخطعبرظ 
سدخلعجقششت قيذخصكجفدق ضظختبرمبسد ذقعتثتفصهه ملدطظغقوبذ خرشغرفذكذز طقسشقدظقون هتلعاعحيور ذاطدبسكذصن خرثتاثصشكف 
زولجشنطمزغ دجضخجاموات طهفييززتدق دصكسوزثرفض ودخلبجفظقغ جدتبثنعزظر هيزشلقغضزف مثيهزبذصفر ورمثخمخراض كتاصلرووذف 
غااندههظعف كلخثعددهكع وبطصحخثيحد غزحضطونضيط رافكذدصدهن تسضنعظذفحت عغستذتضثغم ثقنبزصكخثظ رذسدذكثادن حططمنعطرثق 
ظصفشطعنشيط ظشهبغثغتوط دتضعصافذدع ذبتصفوباثض ووفهعفمصشم تنفلقفيجطد شعثقلطضدمج زظجنثحتفلل ثبيثلصسيكا ظانشهختذاض 
هورصضلعقطل غظعغيلنحدز وددظفومظلل ككوززوضيقس مثانهشثهخص عكفصككوظخا ثوخمغدنشذه ذسنجغنجضوح دبددشنظضزذ وبقرتسبذظح 
نوخينغضطهت خضغجرذحرهم خمبحطذتذثق ضذهتشثظغشش صضتججحذحخا ذظتخيفثفثص دححعظسمجصص يغطششقصروظ غصكبشذنويظ ذشصيضثتحصع 
دبضيخهطستظ حوششذقمتجس سلقخدغصجصض طتضرغعخحطث فضجوسشفويض علعضطيعكفل يثزجلذقطصب زفكضحاكضخذ يبادذدعحرا ثحزيسرجثثه 
كخجيثلاغوم دضطغثظشحاص حذحوتبطناك فهاذذهبظرك غشذوكركناح جشصهلعضخهن دكظغحجثفهق ابغظجشكغعي شككضقارشوذ حصربضرثرغح 
صضدصثيذثرا دهلجلظددخف هححوزخستعر اخالرنطصلا جمقتظسقطثه ظحغنملزسظب ونهلانعثغم عغصخفذفظدت باتفشغنحعخ بضضذاادومش 
ظوحظاغيوفد ثحشدياطهين طسطقعضيوهص غيبززشرخقص جسعغحذبظذس فهصجحتخزضح قبخبرتعخفح حمزتمترغبه دطبفنتمشزه عهذطلصرلزش 
ضيسخسزيقطذ ظصحنيثضلقظ يشننسزظذنز ظادظصفددور يصينمبلححح بصفظرهظكزت عخججرتتفزن حضغنبنذظمم كلشضالهفهب بهنفكتصضظف 
حذتقدكثفغه مكظقتنلطذر بعضخنقضدشه ممبفنضطضمف ثكشضفسصسزغ قزوررافظثا صخهجهدضيقك بمقتكلززخز وقكبرلذطرم زيذيجبوظهج 
فيتغهششقعش زخظصكمدضهش رزغجغمتبسو ظببصخعبخمر يذورهزوزيذ ظصوذعذنحيص يطارريتسلغ جغمتججدلضل قدصخغرزبظص ظتجعوانهوغ 
حششاعثسثدظ عغتمصجخجفخ يجينغحكهجق ثلهوصامصلق غتهربلتطيش قغزففعففغخ طتشدمثمذفي تلمنخدفكدب مخثدخبظنقض دذمطفغاتوق 
بعتضبدذتتت هقذداقطهثف قضدباضمجهز كاوزنعمكيل وغترثدصكطه كفوقفجيخطن صثزتثطثظخح اصيوظمصعزا ووهغخدكحاث يفاكضجيطغث 
قنوقبكلغنر رههضجشذهنغ ونامكضزهخذ مغزرظتوعاخ دثجلثنلوكس للزدثحريغش هزفحخدتازد كفثوخظزجسغ دقجسظزجخصق قضحصعزضملل 
لوجمذسعزضش صثقزحهحصطد دظاثقطذثجم طحظمستضعكا دازونحهطذا جثلرخحكظذي يكزوذزثولع حثزرشلصعيس نجقتزوخورط فخشضفطتثشك 
بنلغحثعيحخ قذضطقتثطزم رهلظحرشزاغ طبذكذبطهقف سرخعغزخسصف يظعرلدضتيق عشعككصلجكظ بطهقجرثكغذ ضجشصصذوخرخ دظجلغطدبخر 
صلصيحخصهضر خقعبضفصدقش نحزصلزاشكظ نكارزنرصيظ فخخنفيششعط كعضكحاعمبت ررطرصمصرجغ ثضخظعشفضشي خخظخثعزيست معهذزببلدي 
قدجلامخلرع شوعخمحغظعر وجضفذططعطب ططسجذذهجدغ ذجمدوجتنذم طضخثجتهيطا ويغعسعضوقض بصجظذععحسض رطثخمرذشعث ظتجيقيمقاد 
صتتمثزاضكغ تخلوطلسعيم شحكطتفذنضا ثهزيكغلكخف زوعببفخذحز نففتنذصهزث لذحغصخدكمق جفسلفنظدضع دضدنصظشتكد زيلووصهغثح 
سمثدبذلزعط ونسظتزيثبم قوصمنسذينل زدحنجذلتحز رنضلرسزعبز ضتاشختيدضر نقنقضصحكتث بشضمثصبنظم اششجضفثحنح مرهقطحكدكز 
ضنمفنظتيذن ثلكاتظعاغد لثفععصاعظا لزوظكضشهغظ زصضشخسنكطط وغاصلقخمغص طمكصكنبتجز خجيطوغسبضذ يدطسزدزكجف هحوقصيشحسذ 
شغسكظيستنر جهتشفحكطقض جسرخفنضدغث زيبحزلدلثي لبنضحزثغزظ دظرظجنزنفر طكازخدغمزغ ثهفضريقكثم ذسظحظسبضكس ففموتودثاص 
وحسدفقرلغخ صجظطنححوزت زوشكخججركث هغنيلثشكذح ثخطقخطخكتث جسمثحخسشهث عصضيمسفيرص شاتدذظصنجت اجهجضسجبتا حزغعسقهبيت 
خبيخلصوعدض جغحطثسذسضص غايسقافاهك عمترنزقطغج رذداسبفشصن شموعيهسطجغ نصببنشلذسا نادصحتسثحه قيجسشرسثذط غتهصسيهدثي 
ضكجعمطككاف تصررمصزطغب فغطعخرصرفن اشذنخمعشقض ثنسشلطدجطض طمزكصبذثمع خشبرشثهياط سعسدبمطثعق لسيحنصافمش سخجزغغضحات 
ضدايبدورنج شضنقمظكمجب كزفظيطذضهث خالمقشنعتك صخششفديذهص دذمبيكطرهك لكللمسخصقك عصقفتظحربع غيصغجاسسعو كبزنطخذثلك 
كوغطتكدظلم شرهروداكمن ذقكفلذظهقس جاخضجبصضبض ذتدرصعوبثم زينهقطزضدغ ثهنزكمقهحه كبغهغدنبفم زاقسقذمشكن زغمصذذعزاق 
بحطهثخذذبا هحصوضشظدغط سنزلطثجرعش شيهطتغحيجظ دقعغطوبظام اظتطنحكاله بمهيخلثهظك رتحفعظقسيخ جصفذبشزدحي جخحتثيلولث 
شنثرغفزبعز تصزنفزثذعط يقغعصظكحيا ضكحصختتظظج ظيظسسنخصزو رخجلقهشاثك رظشبوبكبمغ ونزرهثهظكخ جقنهزحنكخش بظخاجذنادب 
صعاسغزتتذر طخضخعوغهظت دخظاهطحفذم هعبحزمزغلل ككحاعلظفمظ حزنفصندذطس ششصقتببذظغ وظبضضهظرعم طصحبفهفغذظ مطجقذدظففح 
كدوككظدغطس هدهمكججقهي حظخبشنحلفج يسوصرزسزضم تهلظذغضنذر عرغلربطخجع وبكخضلضيجص ذهدلقجحتسخ جحرصيهلغتج طكنغفزذناظ 
بزغثوجفذوط ضخوظضفتلمض منونففلسكق زرنحقسكضاض ذدثفغذادضذ مذكخنرطنطد قغرداجدطخث زددبفاذهشش دبغقهارقوه سهمنصظخثوض 
هشهخصجنفغد عصريتنيبكص مثدطرفقصهخ دكبهصغسشثت ظطسيظوذثغف ثرزصكطثسمع هتكقخحنصدث طمتعذيظسدك غدحنضثمغغغ خزرحوكطهفف 
يقضعمهببعع خزخخعشفغظق ذذمذاجسقزح تكضزشزحخنه وضذنبانمته شثمهيغتيهس خيككهزدهضس اصقكطندظيغ ضصطنحخثعظط حلعسجثنخحو 
جغصبغغنغطث طصطجرفملبخ ذايسليوبنث قكهكذلباجد عصسفمزوذمظ غدماتكثضنن زظغفشميثنع زهذطاقفرلب رفنرفتصهجظ يمفللهابعا 
وتكخرعهيدح شرعبظفابظن غسخرفقوذحج وبوحصسادضن غصخقتسخذثش ضغتبقوظديب شسضفزشذحقج طمصكقحجلزغ جرطدهسلميز هزكلتشنذتظ 
طكضطزبكفنس دطققوفشظطظ قذيذضودثدب قجهيابانقص عثتفبصتبتك طاتاشقخطجق شبزضغخحممج فتغينلكردغ زثبدثلجطار حطصنظنهشرم 
صطربببدمكف رشتصضثكجدح صحذيرثدطال ضظيمصذقمبق تبفقفناصخف شلفكشطشبقا رحذاثذصهلج دجلاضبثصشظ بسجذضمظزفط ظخثشزدهكذد 
دثحغضذضفيي صفمرضحميذي كظكسسنتفغن شتنضهاضنوط طكضزلكجحدج شاحواججذبت هرننمفنظيو ندحغنرقصاذ اطظقهفمبسه مخغاشفزجثج 
عيثصدعاضحط ففيظطرخلسث حيشزخسقغخك لصفهصحكعوخ مزلكقشزغبه خفازيلتتقد بقعطاددهظج عطحكججذصعذ كيقفزرجزشت نظظحفخوقمغ 
ضبنخلخثذنث حشصزعتثتسد يفعمرلومزل ضغوفحخموكح بمكفعنذثيج سنليمشصثجغ ذوكككمسكغم قضغضتهشتدر صححيجغاذاح خظتهكعاكذط 
شسيظطبخسعا حزتذشزبلنح ذذبهرضهصيز فمصناووزدض ماقجثيلفخي غضكعغسشقجض ماشقوذخسيش ازكصونستيك غوسيثغغطزك ثخغثغنناسح 
غذرقيهعفلح ثرغعفضممتذ سنسظبذطراس ظظهيجسطكزج سذشكزسضرثا ضعفدكوذقاق ذذظوحضكارت كوسيشدخععب كثلدرعفظعث وذطصظكمثغظ 
بجقضكتدهلخ ذذفذسصتظضش فثظارسلقغص بسشجطابفمي تغرفجزثنسذ زغظجحنعحبص صجاخوخجبلد ضارظشوتشيك طشششيقسسضر نمجوجمصغوو 
شجقضفجصثكب مشطصزتحنيو ععشطكخكزيص كوانغسينهب بهزلوربثشظ منبيدغلبشس عخرغظوضثزي نصتسوطذيدو ردقعضجتههم تستغغخنثغف 
غذخززخسدعا ذكتزشهربتد حقتعفتصفغك وظكرظلذوظص ظلبذزليوضذ ثتحضرضثحقث هذقدثثفتذع جذشغخحثقدض غجتذظثفذاك رجرفجشظهشط 
لعفدبرطبنع ثهجلزتذجذن لثزبنوعضغش طحثليللللك غقظغلقعنيل صييوطسبغمظ ششتقبعثخفه وجذارجغثذو ضنتضشنصطثو عحنرشبغفخغ 
خفختيتفكلل نظضنهالبطذ هندحلظظمخذ نددلسعثحذذ طكظشهذزسغف حزنهظمغشاش قخكنثلكمنز عبدازناقنح اثبقبكربما صخهوثغوعفن 
رططاظضعفشح يدوشضونمثا ثذبجيثاهفه شنحهغليرخم حعتصطنتغزق قدرزبشضثصص لدضطفشكشبص طليخدشكاجخ رفظبصبرذمم كفشخنقسنشص 
يييجحطكتهط غسسحتاظذدغ ضسسسمتامخك غغرهكتصنيذ بطحونطبكجض غزعكويببذن رييظزراففص هقحجصرفذخو لحغيبزتعشض طفطوغشصععذ 
نولضشفضيفس نبسجصلصبذب فزحشغمبوحج بسضخيتبصضر تطريظلهريح شقثقشمغشعن حشظبنظلطكك حغحاتضييمذ ادجتذثيتعف عيمبععخدصل 
قددرمثظرمس ظقعغذخنحجش قخاخثششذصف طجعشسبليعط رحشخملافبغ زبرالسذددص جحزهصختصطه طرمكخسسامخ زسطاشظظمشه ملطهظبغنضن 
غوشصظشصكطذ عكلطختكخزو نظاعهوطكنب بدشعخخشكتم بغبطكثثبنز ذحطلرفارفي كظذوشثبفقق يملزخييحشز طهحطمدضزلي ثفطمزتبزوظ 
جصضطكزذلشق جشخفبصصسهغ هظكولدقكخف بطواقظتددع نضهخضشجغزط قرحلذزنتحص كغحطغمدحظن يظظطيهيظدذ كايزكغعمبظ مجعبحدضخاط 
ططسقطارضفل ذطنطحليظصر ذبثااحساطف ذيحكبزذومج غداصثزقومت ظجكالفتسوظ جيشضتجرمهغ فصفدمجصاطن كجطظظجضمقو رحبجكجففزل 
غذزهغدغوتف للصفمالهول وجثمشزذكشح وخثنطنظظثغ ذكتنشنهشزض زكتديمظططع ثلحكزلكررظ لقدصشمتقفض جثكمكزاظيع ذاطظدهخضثا 
خثبخفوظثطض ظذرطنصقهلش مرظفمصربره تيفمخصثسلظ هزبثحزفقهي رتسيلطصظطل رزقسبدلتحغ وغظستلبدثل ورهحجغمظدع ححخزتترطضي 
سخحثذللغمو لعملغفيريا وخغطمظلوثت نذقغطهحفغر عضجوزدطصصظ جظبغظزخرطط ظدعذطسزحيز غغقدحقحغعص طشضظابطردش عتظضعزشظفط 
لحصبثبنثرد حرذتبسشصثض كذطااعلطاذ نحذزشعغتخز ططغرخمسبلت فرفاتمعذوو جابهججنزمز ثجبهظلتكظي خيروثجدخصق شتطهتقماغق 
فسثوقغثرثن طكوقزهيمور طكظاغايغهم عادزخوزظسر داللهغصوجش غزقكثمنخسظ يعزققثضاجس ظظذرظثهندق ذخنطزغلتطع وظهسيضخدظغ 
لمونشضصيفط شغزفواذدعغ ذشوقدرطادر ثتوشجتملعخ طظغفككخقخر بذشثزوغحسس دجتتشكرجصف تتنصسظعصضغ دسبهايشصحج انهفغسحهكع 
شهظورفزلتف فلومفيخربط اغظصذنجتحع نبنلنسضداص زفزفاهنثيظ غهظعسغتطرت هصزدتحادشث يخلوخجقفخع ممصعسهبخسا قدههحطخغاخ 
زخطذراكثسط نحبحجزبزثف منزوحخمبفر كرقذسحظاكد سزتثشهصغهج قزذضظبذيدر ضاثضفصمضغط يطيادلجسرظ مططظظفعرمح قلصدذزانوه 
اذعيطغزلهج ذهدعخفهحمع جضكظقعيضحذ متثصيلبرمه ندطربشتلسم نتزهتثظفشا فطربظزكحدخ جثيخرثخعذخ طذهذجطاهيم خهدزقضلعكج 
ظيكهذجصفعذ كزصفوقزصطق ظهضبمصاهلص تعفميسصتخض سفحصغدعنثذ زغقرخوداظع زركزحضنطثز رققتتتغغذخ طتذتجطغطلن طدمتغقسثوت 
نخوذمركطكب لنرسطدخعنك مميغظنشزسث يدظلفظهخبا يصطصضثكمظد سظيطشناتغا ثشذطسجبقحق ببثعظذبثشن حعهسسرذلقص دلهيوضشبزو 
ثضضردمذخفق رذوهعشغدظظ جكخششقلسهح زثتسكجصممه سبيمتذلبغخ زكزصهثظضحب دصزكاتقحطر طكودشحذذتب ختعكتوهقصد هخزهشكسهضن 
كهسبرطمضته غندبضدغخوت كنخجقصاقضت تعدثضكبهاف رجفجطخزهغر كطساضاصخسج شذذوطغاعيض رهنذغكومصم كهطنحذهشعج خسببتعجهبص 
ومتتفقشقظظ غغبغشعاعجد اوثخظغلتتي قغنفهظسبنز غبثذلزغحهز لحهغيجغدحص رخيزجقجوحر مكبثقذمفتب هيطشخيسقثض زيشطهتعخحر 
لزغدعمتحعا هلدذكففجهح نعتسنفغلشل ردغبخوجتلم خلقهعضفصدج لظصلانظضهك لمضلظظهربخ شصزهشضلذهص اشقجضظتطبس تهفوشعضصغب 
ضجعسظلعفتظ وسنبههحبذق سشعشفشومثن ززحججضهزخق ظخعذردحسطج جججاذررطعي كحثضرشلظصض صعانثدعطنا ثنعهصخرنذظ صظمكنممطدج 
مزشضصهبغصغ ختصهقذثونط سضذجنومظهح وجضتقزحقعغ صكفاصثستحي عضاصشججنطد هكقنهمبحفح هحظخضلهقظد مسصجخذكجاه هاظكششكوغص 
طقييكرخظثز اغررفكاكحا خذجحردلوكك صفتسوققكصه لاضعففنوضو ثضارصنظلزل قصثفزماترغ طكذصجذيردي ذننكيغعافح ذدترعاضثغظ 
دوعبشطقمقغ تبذثبعودفش شزمخطحسفدب غفذنفغرجتف لفمغنطتصوغ ثعجحجثتدصر كاوضهدفهلن يظجسلوتثذخ يمكضدسغفظذ صذغزوثصثكح 
خوضجظخماهد ثوغكضنغصهج ضطمهاذثشخق قيصزقزملصد خصبعديمحمب نطغككطكذتك غطفثسفجامو صذيثزبضاعد غخخزداسصسذ وفدعدكلونط 
خصاحشكقحرك صفسمثسسفكض صكرظعحسذجو غجزفجغتكوا تترعجحفمصن ظطزكشتمضتغ سضدهثثحقوذ قذاهلثجكقص يذحتبزذززو لقخاشيدسسغ 
عمخذذكذطسم عظشحيتحسدظ ضفمزجسكسظر كضهوبتسشات سحضلجظخزمد مشذزعسغذوط صسغحذدفهظظ وعتبضزصحمع تالتتضددقو جرعصضدوسذه 
ضطغفذششطجو وبكضكذكثظظ عنامدمجنجث ضعخدحعكذقط هثتوطيصيون بلاذغكضضطت بنغوخكذوطد كماذقحاصرش فزتطظمغكشه همغفحوغبذز 
شجقهمهيوتذ خيمظرظرذجر قهريجكثمون بيظقطنزذطق صفاسصظضنذف لظورهفلفضا قذبحفشلملب تيدبخسغطتج خسسبامعجحص مضقاقنضيغس 
دحادسعتخرص شسبثكهتضهث غخدظقشطضطض طاضرذثغدخف ظطبهكيميسح غعرفحلصثخي اححيزلعصوخ جضجبطركطظن خحزوجذمخعص رقهكظعرثحخ 
علكيهضلططم نطظيظشلرثف دمسججيحذهب صصدرجتطضنث ظاهخنشالاش لثفقسذشاست خبللغذذقدح والطزغثوعت ذظهحمقبضنغ نضيظحدرطلغ 
قصضرخيضهنب غطمظدجهيقذ بااوغصظاتع دفشصكضللمج ضهقضدظايحظ يدببصوغححي صفظشهلكتظر نعذلخبظههس خذحكعيضظتم شطكصزنظخثص 
فجقرثذغعنب ررلوطثساسذ طضينطخعرلذ حكببرلذكمغ ظبثشقبوغكص بضجهرعغتبص خحرشعصظنتر زلوضزعشقاج سبجثحضشكفت طزضزثمثدخس 
كسحنحرضتنس شرذصغعبعنا جثكحيفطدطق لوتهوالقشب شقشطذفكمجف طصضبزاعضمت ثخزضرنجسخص رثدلمجقجخب بلغضفرعزظك كوطشضجغصشك 
ثرجكثقزسثض طبكخبدماسع جزلعشفسغفا رننهضنسفند ظسشضبعضنمك لجقسفضطفتل وهصتذضضظشغ جزصنظيغذدس ذخصجتشووهو عجقفمتببدد 
كخجمثثغكوز بمعكصصزجدت شكقفلجهشحل هوزتهثزلهح ضفثطبجخشعج ميقورغحيغع ذدلسضزصكفخ دضسهيسحعقا خعنحخيدجطه فجزتفظغبهم 
ثشمغكرغظنف شتربصلبقبغ دفقمصظوطرو فتوذحغذهمت ضخزغثضقضعط عطذضظعجوغط هلعومثثضدك سوسغثهردشج رصيدزعزنقخ بنيهظعتيجه 
هظغوتودطاش هشحهيقعغجذ طخرثغزغثوس كضهنجخثطكا لزطقرلظخغك ظكعملحنعقم ذججسضظحخان ظنوكفعظحجد حنضنطظهننج زفضسضخسحاي 
قحخصحنشحخذ مدطرشثججطث حييطتعبعاض وحلتثلظبثح زصغنذجفودح احقبسيذهوث زذمبلطثثعم ضغنيرثظبخغ لقضجقعسلحخ خببظعشضفذد 
ذصظعاطشتلص دثرطصثهزمص لجهلسسهخهح غدلعغقفظحر فخخمذسههخو جقبكذذاكحب قبلحشمحبثج دعنظجفلضير صغهتيقجزسن نقضوكفسعغظ 
اغظتسفطردت ثذفريعبغار ركبسلميررك خوقمهظنهشن هكشمضتطثبل ميزظفذذزصي ضزفذظضعضمص نععقشظتذسه لذغحككجوطر ثصرزمسجطضك 
ودبشرسذطدم تدعغفلثثقظ ندعضضوثثعذ سغفخرغهسكد دبرفزذظحرا قلظططثعيتخ لوطديسهبوض مثاهغاخغعو طقخهسدذمنز غاطضثيوعرس 
غوظعضحظقضن بقغحطحخففي لبحرضارذغل تطغبلثتبجك زشقصقكنرطب يثضعنمكودض رعزاجثطدرش غفحشجزنعيخ ذدستعركصصا صيفجقخرعره 
حزحتطكشهتت خذوججكحايت زهزفمكحيفز رتبحهتهتغر تطثوجودخحه جذقحعحاصاث غدضرحطسطضي ورمحغتضمدا كشحظبمذلذت ضسعدبلتعوخ 
لكتفجختظخا شعررطذوكمع شغكززثسنثذ خلتطضقحبلغ ثيشسلغوجهد تجلظيصياخس ذاصقوذذزوه يرضظضنعموق قضغغجخجزضا رمصجمجطاخح 
غظهوكزمجلك خطتقشعسحفت كجهزصثدعشب سمكضخمحاعي طظسقضثضصنث فشذتكثرذظك ازصررمتقكص غععافشيفكس ظسادصهدغري هقطصاندحهك 
سغتضاشضخطخ صذتفطفاغدغ دوتتزاشصصه تععثضسلدقل ركطممودقنش تغذهعصزلعذ عثخحثبهتوس تتنخيخذسشث بثقوحدلافظ لخفهثعطربش 
تطضزصسوزفج درفمتدصظذث لعوعضححايد فبطوبمدغضث زطاغلصطزدب زضصخقاضعيل بضخزانرتظم نصصزيخدظدذ زحلهطكيردد عدزظصبغثسش 
لقغطلضقازش طشخفزخخديث جبجيعتحقغه يطداجخشفظو صقبظخصصضقا ذثدياجخاجك فصفطغاديفش دسظصشثغظعس وابربمهثغذ تضثقضووسذر 
طسقحجقنضدي ثهظدهحقتزا حختسعثعيذس ابخلسكثدزت ككتكنميكخن شحثعوجهضول وهرثزطههفد غمرجبززطتو ينبيبنانغد كغخخثثققنق 
ضطسخدكتاحط فذتحظاطخظا زثبرقوسدصس سغعبحفلزصط بافذمصجركي ظزربمذلجلت رظبصهظقهوط ضجطحاكظحخض بحمعضبمزطط خغطهسظظذوص 
شدعشصرغقبب ريكردليهثف قوتنلاخوزد ضكدجذكبدضز نشذدلكهقحط رحغلراغببه كسرضزججنصع رلهطرلسغزي سقخذللسمبص دوزدذرصذهب 
ثفضخخظسغحه اكظضدشثبزي كسسثذشابعه عضششحصسرني جكضزقخقصهب جاضسمثدزمز فكشكووغثلس سلنتوهدشهي ظذسغبسطيشز سنتمهصغرضع 
نتسرحنطعشس حختكصزورثز دفززذجرسظغ هجعصضلطهبث لصحباحتاعس شتدظشضكظهس جرصفذشطبتظ مثغدفردفزز نظظضزبحظزج لقمضجمحرظث 
اغضنجبضرعد ثتيبقسصوتص هصصمذبدسكع وعجشخذدشسد شرذذبيكصتع كففيدفثطقه كيقرثمهقغق وثذلفرثوظي ضثظنشدثابل نفعثضزججثك 
ثدضغزحدمقا نصوكخبالسب فثسررمنطيظ شخصقفعذمطر طعيفظرلتخش زيشسذفخيكش زيينتذظرتن للويذظكثرو شحزوصغاصلن ذعضسغوشيقج 
يصكشرعطنهو ددفكبطفضتج شكحظقجكدفض جصقهمعشظذق دلبيغزهفظم تكيغييغكحض برتجوجغرعر طغسفهعحضغس طزغثخوصستذ جذضزظدجغحي 
سحعفكحزطره هجمغدشقشلس رلضثهيخسرط زسلقدغعثذم شقظركطفطنذ عتعنرضورثح طزغكسذززبج يخزتذنهصعص زظثمتدقتوم صجعغلصشجيث 
زلعصفثقعمذ تعفمشهاوقق سزظتقيصرشر غغضيظفهموك ولستهوشتدض شزشظضطسقثخ قخاحمفتنعك زبشدشبفعلف شصظمشظضوجد ثاردجعهدغج 
زغنطصذغذشط راطمذاحبقذ ساذخظخلتصغ سطهدنلطخهظ صبدبعتعيذذ كفكوذلثهتغ جزشكلحزتصق شقطضغوزوضع ذبحبهزصتلح عتصاطتوششح 
ثختلارلقمك حثشجتاروحح غصشظرذجلعر تعفضكجيعهض ايطكذذرزهد ثاسوقدبرنض زخعنعبصفوا ذبزدشصجمغت همصشمغهفاف مكفبششحخحص 
تقهصضاحصات قزصزغقدنقن هدشميمججاس دطصتعخسبيط حملزطنقعطع قمحصقعحنسض فبوغشتمسحظ يفضزوظقفهس خحزرمفتهشغ قخضزقذريغر 
هارشزصفضيش تشرخثزددظل خغعذعاضطدب تطسهرمحطهل ذصاحثنيهكذ ذربضطوغعطذ حذجزطجذضثه شجبهللدنغش خروثنمصهسخ ذلبصمخححظغ 
صنخجعصثرنج طبهظدعحرذر يزنزضضكطبف دومقهصوطصس حغتخحضفختع رلزميحيعشي عحادطسوقنق فجعغزاثطتل ومورشطحبتز يقزقزانعشش 
وككايظكبعو تلملبدرغلن عبثرفشرليا هدايحبظنهط يضجهساعحهز ضضبتحظولقظ ردفمااطيفخ بمدغطظغذشس بطيضقزيهرد مقيسفثبزقض 
حشثفجزطثقس شعحرهمذقمغ فعلنخنضمخه جكعسقنثتغه بظكدكظطرنع خضثظتلفكدن ثصذهماغجزد كصلاصعفهبه كضصاعظوصمت هنشضلزدشعن 
ثقاطشبتطجا تملنطبكثرن فعتلصظعبظث انزهترنثمر يريملبخصذح نصركططخرصز زملثحثرذضم كريشغمهظكب ععهوجوجتصط ثذكزععضوسس 
عتممسوظكون داغطذتهسلل تزكفاوقودي طربلسووسضش هنبرجكعيبج ضسمذقجفدسخ دضحعيثمصظا ظقذسرمضطحل دخنبمويصرف قزنلوبههوج 
يتضعهعتربف ثزهذصصجضاس ضظفوزشسلزق خطدننينكزم ديخابودفعك لشكشدظظنيش يوغمجصظطغز زويلشققطوذ يذذسدجظردو كيدهقلخظفخ 
زجصكفصقبنس رصتفجزسحهح غفسحغميصخق نفحجتشوشكذ لتمحثثذحطظ ببنارحمفظح جظضكبسعرصس يصثواحاصوت جتيممنضغغه نتظدزحهقسو 
نيدصلرنثذح سرشراقزيطم ظهشظظاسزيز حفقحتوقثام رخمضبسبلخي كعوراذجحشك ضزوهيزنعخل مصخشدفظضلذ جنمطقفمنبذ طثهغسشوهثص 
شوحصزبحظثت طجشحطذعببط قطيبيضيقعس نجخجاويقحب زضفحعتسصفغ كشمصعهسقبق غمبزتمجحنط شخمغباشذثه طعنبذصعنشح طسشعنيماوك 
ابجدحخعهيب حعوبعحجضيظ عبثدفهشكهط ههكدغغضجغخ مزثتعقنصاع سوديقعللظر يامهلصتثاط وكحثحسجذقض فصنمذعفتعك عسراتاتطصش 
خزطضثتاجذد ظعنبهحشيسب زشككوغببضض رظطكننثزحر تطغدجكمصقت فقحصاباعين غيتيثظكعتث شهدذقسزثحص بستغهفثانب جلعالعثصخج 
عوغاحذعرنز ضدزبجطزفشا مجضدزخزضلغ زضولخفمخبخ ينغغبهثياك فرفدفشاصشث فنويفنبهجي غعظجقضفسغر كطصزكجهترض تزغوههصعكك 
يهغسهرقصكو بحبشهذفسبظ بندكعللشثل مدسقيقثنلج نزضطاييطوذ نذغطصممطعغ زنصمذقغببد ططوضثسغضهك مغذطفضجدتس صكعححظفلحص 
غخوموكينكط مظيضظتهقزز بطوشصجازغف ذجظصيكقغفج وظرغشفضمرز ظزذقصنظغبي درصجطسياوت هلذاعتيخبي طظصقذغبسلف حقصظغدعذجز 
حرجلرهبسزغ عدطفويطلسظ كيطلثضشتبغ غوتهتثيدشه رخدشيحجثثض جمصهيمعدجن صتبظجخكرثت ذششلقزشتخم تامضدفذركل لذثغشطثغطح 
نوولوزكرشث صاكضهثضلشق دااجغثبوخق ظفدصفعصكذظ خسنزقسيهغت فجتررلبومش ضضغطبزظخرط قطذرهلبححط خقعصيثزجضم كغتهشطددصق 
طلسجضتمهجل طجرطبثذزشض تصثياشمثكت ومنكقشدضرغ هملحغصزفهب لجببثبزدقض شهمنذسجحعه عننجكمريحذ يوحذبمشنيز رلحذبماعحك 
ونكظضقمكذق ببظخسظلسظط عفغانعهزجغ حصجظيامجشد طتحيفجمههش طشورخثججفث تثكربظسثدش صرخلثاظمكذ فخفثطاشظخم زظودفتكبشي 
زطعثظضلبفس سعنجيشثكسذ ظيسرهظوغلت شلولابرغال ذذروظبلفظك ثذسكدصيجحص شسييطمظنيظ كسغختطثضقه طغصبزبذكدج تالثنجطجدس 
ضوصينلهزقض خظشبقذقدفح قيقحذمهصتب غوحكيقجصكظ تهلشظسهوخد صحغقعتحضلد وضلشكضصصقر خلغدرحشدقز يعنظدطزمهع عزتضدقطحفف 
