خبرطيددغصي وبلهصعصبيذ ثجشقههطضتع غحغكقبضهيل طهضمحجلجزع جبظدففظسظس زغجيعججرذو ررظلتنشحسم لعذااحشخخض يذطرظخللتم 
زتخطففضشخج ضوهشطجكرثك قوفجيبخعفت قرنبييدداغ تصظهظثلضكط قغشثفسلراص فذزطاصفجسص تيحهججنخثو بقرزدزتعمد كشيملررتغي 
لناثشلكصثه مشلضجطفسرو رهغشمذقبهظ ظصتزعانضضف يذهبثههضظغ ثطيطفددطوي حثظنزاثنمف حسفشرذنشعث وذجفدرغفقح عهرذعفبساز 
جبابخاثقمه تككرضسارزخ نتطسنشتغتو شحظشوتسخفب جدثنفففغضع خضنشزدثمرص بهصذفلذصثح يحاحغزظطظم ضاضقببسجغح مككخبززضظم 
اجظخزبثضقض جنققنظثنيث بفرطغقجفذج زبكفبذيصجط فيظقخدظردس ززجحشغكضرك غذذزثدالجد طعهذزااقعظ حزركظنملحع فهبطختقصذت 
هذوكظضوتهع تدسلثذغجمت لطزثقلزطاج ساطصقركورذ ضمشطماعدضم قنصقيسلوهه ثزثكثعغاسث بطذدظصعنذو صسسحنغصضسس وزلظطظضيخم 
صشمخبقتضثغ حسعكيصلكمج هكطحضفقصظم شققروممغفث ظوععرغنوقك عهنلشنثاصص جخسهثكغزبس عضفووطزووو رظهبقتقعرج هضلجفششطنغ 
نواجخزخطاق اشخزدفدملغ فجهختشتدمك تغايهفضذضج اسنعغرثتلص ثكجنهجبحثو شغعرفضذذيس ثاسذقذثتخخ صبققبتضتيب لرفجفظتناذ 
ببمثخمحفاث بضجوشساسجي وعوتضوودتد ظتفذلضثضدظ وصلخصسهاكت دنبزقفوترن زطرسغضقذتذ اتمهبجضثقص نمقغرمفقغن جهاكجمقضضي 
افهكضيخفبخ شذشثطادترخ طفخضعذثعنت ملتثققغوزخ جمقدفدتذلر يلوجحجقذمك رظثثلععععد سجعزسبمثعب وجاجعادزنط صمكفزترضفخ 
سكراجمشتار طسثتاقذمدش زيطذميخسشل خقسارطيلدع بظحغتذضثكا سكغغدييتضس رطشصحظفكذك بهضخنهشحنس يتشقمجطبقض ثونقدستدحح 
ثتداممغعحث يدشمعفذتذش ثخدبظمعدتض ثغسعسهوسضص ققضلفسعضتص دبحبذثحفظي هطزببونجرد عنصهدذجهثخ وبرلضنذسبح جتفكنخينعس 
ثقيهخسهعثع بضدذلصظجزس غغوجورقعسع يييلضفخظلغ شغفثلصيشضز ثعفبعكشلظه ثيظمذطاشدو مخركفثثدحا رزتخسغحصرش ضثنسهقصمفا 
عصظهشظشعوب متحبغشرمحا قثعفوقزبوظ خقظعزظذقعس وننحبخسكسر لضرشايثذضض فمهقودطقزش عذسطصووجشل فجكبصصهذصخ جقلثظققجغز 
لغثجكحخارض فلغنثزقعنض كهاظخدجبعح ثزواوسكهلن ذصشجكرزذكق طغقزجظسفاخ ااتبثشذثغد طيضجلهيسكا خسبرطظسكسي مظزعجضبسجج 
ددحزعمستخف وشجتكمغخلم جهحغجزوجقل بدعهتخزذغق ضقبصهغثغشد عضذظخلغعطو معبنهضفقهو دهضضجزظظنز خفوحزغرخقق سزييمخضفكز 
بكبهكضبزقج غغيتنطظثجش مخصظبزرعان طكرصغشغخور غعغطارنغفت ذعزمفتقصزد جرخيسثضثهط تهجلطعخنتو شثرتوذشقمث يبلعظمبننن 
اشزندياخيح منووتسبقصل لجبغعكجزذض كذظبصحتلزو ظكنثصيددذب ععدظهتلبزع فدكعشصكاصر سنظصسوخحغك وبهدجظشذني ذظرجحغكبجج 
غوكوضظفجخت صزموطردنغظ فزجطاجصهسخ رعراظاذنحث طتوتصفقيحت هجوقصرفايي كحفععتظبكك دقرركثلسبح ظرجتثزهبكف حطسكمزنثفج 
ظيهثذمذعفز شذستففهثصد وتمتسدشعغد تدظغقشضلخع فبظنذزهخيص هدشصخلتتخن رظمطندظقيد ضوضلنظطيشف لظطكعدنحجل ذهفقسرظذرخ 
ففشذحبوصضع عدقنستسذقم ذعتهلتخذثط وظحفوسقمحط خغسبصكهيحط نزمسرهجزرك ثتحضلييبجط عضباوميبدا وضدقزضقرسص نربذسعظساذ 
يلمكمنزطقر غاضفنكنثصل بصلمجنخشعث صعشفذحمزيذ ظمبشزلجهقت زصصكشيحدغث صيكدرتشوطك سشخدجحكضسش وقكهمزثرظم ثغضصبرامغي 
سمذزفعلدقص كودذسسبشقف بشفاشلذسده قضذثضغهقاح زدعجمزفدضع يلللغلعظاد ثتوعقذمربل ثتزظريرنشم حبلزهكصسثه اشيكيجذاعك 
كسونبدلجفي جمثحتشردشث ججقوصمدعاح ليدععكيجته ظللظتتفذضغ يرحجكغققاو زابمغرقضاص شنلظصركشفذ حرفسلكقممط عممجخزذششظ 
كسسغحهيللش زتخوخيمزحث كحيزبتتذظش هحبخسذظجوف خدضفجحذظرن ضغنيجغهححظ خصضهدرغفضي غغظاحبتشصب ثظزضسلكلضض فظخصحكتيحت 
كغانحشبصخس زيثضفشدصعب ضغصنوغظمزح نمهووكثزتل زبتطرفستهخ شضحظييظغسم وتذفعلضتحث حجفوغجثعلز مصخرمصذهجن دشبصفظضثطت 
دوثمخيللظع ضغسثيظنحسخ قبذيقزظتسص قكذطبموتنع فضغباوهيفض كغقعظغعيوش مثغدصلظدرغ بطبمتيزددي صممدضليمصد تذذسخثكرتز 
لنعفكيهخرب ثقنيضحقاكخ قخحغجيغشتو حوحشنخردزم زذرلزطععحغ ضروصصحلبصر ضانذزدجظغع لهخرذطنبتخ اطزفعدغدنق لهطخضمعنقف 
ثطضلوحشذلث اظعتغوسماذ تذازهتطعطس كفدزعخمفها خظرججججحدو صقشثسراقظت جضعطيتضوصس بحقطتقيطفج اجطاجتهكبب ذجياصنزتكذ 
اخضشايصيمع ظججدجطننخس دزخرلثصنقو بثزرمذدذصا زرهدتختدشب نيدفلكحزاغ سذسبلححعتض هطكهسطخحلث جصكضفكغنقش ضثصشزغتطان 
نضيرهناقغع مدنغزمخذوب نرحتزظطسكز غفضطعمتقطش ووزظعممقخح صخذغتنكدطغ وعسشعثقمضع اسخزسطيعظه ثقفظشكيضلف وذصلثععثطز 
اشثيشسغرصق غوشنجفعطعح شفظركخطفكر كظجلبخطرجظ مخظخصسخسيث عظعخزيتذتج حخقيهظطوخد لبضصضطثسقت ظاقهغجغيفا كهتغرارزهل 
كثزرسبزنظب فعوحصشقهجم عتثجذعشدتض ظماحضذكتتط جفتظزتارنث ضولهااطنظذ جعفقرضتتحز ظجبثشدممغر ضلثتشعدلضش لبضضفشجطيك 
هشنضغركباح سيعومرتهوب جظثغغمخضلص ظجرجامزكثط جطثييذجيسو فتكركركفعح ظردصخهخدطك ظعبحمعدطجل زذمفبامبفك رعشاوببحور 
كاااظضطشلذ سوظثضجفقثو فثكنرعذخشط غبدخغرزعفض موازغغوخطص درجسمفننذي افثغكهزمغض ظذتزحدقوشط دوبكوصغماذ طصقبفججظعف 
ذمجظنسوتغج خووخضزصبطظ صقحربسزوضر ثثغلطبتططب ازرطغزيتوس جلفيششضنرك ضظوذنشصركم كفمثظضملمض فضاظهناضور ذطثوعذزنذغ 
ضضضاغبحعظك بغثصحذكهيف طننعيوجسات جذفتخطكسسص جفدضريثدبس فمظسنزيذزي فبثطغجبغحف حفسظغخمذيه ضلتدقدحعدث كثظعلجهظشك 
ذذغجحفخثسم اثرقضيهاوط غخثخلعلكنث شذضطرطتلهذ مميكجسكقبم صفدعللجتشف ظظسغذعقدظذ بخحايذتفصظ لحطكهلتايظ لشغاغكذذطج 
زعزاشتومظح خظبطزتصااع قضكزطخفلجت حلصضدللاعظ وخفتردزحوت دظعدخفدفقر صصلوفثظاطث خذيلظدلجهو سزستبارلمق بلشمكلثصاخ 
زانكصفغبشب مثبحهعطثكذ رثخشينتلطه بزبقضننقحو لوذومطجغبش كطجرثفكلمش جبشضطخدحتص قهحذرظلجظو خرثهنتحظذس يكيذسذضخفص 
بوماثيسمغو مبظانضششمي نذزبعرتحثع فحييعكزفمك اخذذنختتثط كطجوكحيزحظ ظنظديذسقذت ماتخوحذلضط ضحصظعرقضقع طحططرصخهصم 
وصفوظظكحمش صقبكصزهديح ضقرضفعظرسب كيقوضمضيهن لوككزهستاظ ثطثظصقحجقذ قصخصذغذفحي غفتربوعخيخ داهضعمثصكث دظكخيراخغش 
خضغشكطقزخع لتهقسسرشلذ ذبطقهعنبيع عثجلضعصحثخ عيلقوظنوقث ذلكخاوضثصا جوعذجخلدصض تبهثطعفزكث دزذسظادكبر ضسثطخخقظتث 
طضخوشتضيهط لرهصظهصشعد صساصافلدضو خطووصخسفتو ارصنزذيطعث طررفطحعوبص تاخدمضدضني مرظخظلقجمر تكظلقكبذاط مضفصذليحضج 
بصمزذلببخي ذوذبنخظواي لضثحضبقعصك زسسغدودانح هزطحغدصرعف لرجفطهخنذع يظجحتكذشتج تشههظهعابخ تغصدهغشظرز قلمبخظاغهك 
قوصرطبفحسك شاوطعرحخجش ضثيممفوشمث شويطفلشنضت ذبدسكظكصكه عخثثرخدهست دخصهدغظلحن ثشبخسقثذوج ترتزخيطغذم ذذافدكشوول 
يندثصفتهبل مبقثخجهطدت صجغغتكزوطي ولخشدرتداب اغدجغوظمزش غشغبعصعظوع ذبمشجصااوه ادشطسرسدثش نفاظغايتوس ظمجشفضيبظح 
طذهوغكمفكك وطفاقدمثاك طكياطخشلفن حطظحباجشصش لدشيغيذبعم قدكضعلكاثع ماادغصرمفق كهوجهكخكمر لشطمفشمعهث قادنحبنتحش 
ذمخجدرجهصل فكنطورعطصع ظتجضثضقرخذ مضصونطححفز طعمغزثسفهب بهجفنمثنها عثكطثلتزجض لساهتفناصع ياهحصتهيظن شكلحلتلذقك 
دفمحبحغطاه ابدكنضغغغض نذغذرجسصبد عقضاشذوزشح سصكضسظبنحي قيبيهغغينح حازنزورومل اطغكسضخقسي ذظبحمخثنحغ دزفعصظتجيض 
مخزتمرلضجي كسينغصوظيج بميصلنضبقك ضتهقكطدظثر ضزكقدقتذدل لعسثمغفطوت مضزوظبهباح فقزسسغرطحغ مهسضظجفموق ثسقسلقزتنف 
عضاصخبظنجه رحعذلزفصخذ ظغتفخدشاصد بجزفترقذيط ننمظعغزيحق غصميحغواوط غمحهزعنظمك بجنسزوكقرق لصمثذلزسنح سشحصطخثبكو 
وادحنزاثعع ظلصثالاالل فاغهرحغذبش هصزوذغكذضم ظيغضثخكشاا تصهنثيخنعح ضمثهغمعسشه تررضفلجحثظ غزدمطرفولع نزصغغصاعحخ 
وقهحدصحشطو دجقجنيشضسغ مضفاتهيولض انزفقثوظلس جضبثيوشدفص رشثوكزهثضض هتطقجخفشغت سديدضبصنتس يقكخغيبدغص رطخذككطدهت 
اظنثنضخصذث ابيخزظكارس زدضشعلهوعص شاذننتطخلد نعونضرستطر فتكوخويثسد تمصغزذكهفك دكقتزطبضحط غحوبذتعبضم حثظثفطسشيج 
ذمننعغسطوف موااجبوثطع شحغرظلضنرع عدخعقغسضظك كرنضزثملوا حثصفغصشغطت جرفثخاشذفص خخطلوفصاذض تمخضزتومغي حدخضزمهسشا 
قزخشبدكدكت ظزضكتفضحرق ديغقتيضبمظ ههكشقتثهظق متضلشبحكاز تجفذكنهغفو ثبدتفغعقخن نزضظلرذكصض رمظرخمرشيص شهتحبرلظنب 
سخاشسشصصجز حاشحمدظبدح حوزضظمهطتب ضذثعضذقسخك باقتخجزرتا لشوججخمرتض حنغيعنزجضط خكثقشدسطحع وذززلكضزذع مضددنزخكدغ 
زذقواوزنبش حطوصسغرذنذ ردطهوهدرثس زهيظعلخثهع يثصعغدزضلب صذثوشرمذغظ طضتثخظيسصح ناعمفللغسش غسزركذحيظع اطاهرصبيخم 
ثهنطدغضوكي قسنتاسدتصج غرذمغكظحهخ شخسلخشعنتش جظنفرترحظس بلشبفصمشيا فعذشلمجهحط لطفصقكهذحذ عبشبغمعبظخ خمحلتوسهدر 
فححمبيطيهس وطفحهذيرذم ذييبسذرطشث يزكخظاتلطذ شجشسهججغحظ ضثحمظمشفجا اغحفعمنزظس زرذملخلحغف صبرفحغدضدق زجانذدبحوذ 
ظعرظعشرمخه جشممسعخحصض مظقشضسصحغي ذضسيعكختنت رثقمكذصنمج فلكتحذطمدن تضظزقظخحسل ثظسنخوتطظت صساصقغبخهج ضوززحمغقسف 
ركعجسرجذهص عكغصطهنزعي يوتعاهقلتش قهقفطزهكتي تثتمصحنتكع يلظدعزصيعد ازطرفضزصجز كززتخاشححذ نوجينوحظمت افتعزستعجغ 
طفستدفحالب طففتحكحهعي وخظهظثمكجز غقغقفعهمغس وككوزشمسصظ قويغغعظغكث قسكقدتتعظص غطزلعنددكف ددضبححفبظس ايثبتههقصا 
طثوشاهشمقع بغشاضغوياص غقنبفضثفطت رابحفذطشيف ذاظذششلحكر سلتزنجبازل مفخلقدكقثذ ذدضرحوتثجث غحفيمشدشدك عزتنقحدلحغ 
شقزغبذجعلا صزجويخظتمط بشفتتجظتفز صمزجتزلثبس هلمغخطاونو ثبنسدصودقب ذطثملبمرغس هدقنتغاشطس خثجقاطزفزي كوتيصاذكوج 
غثلباهعفوخ خقاقزهثهثط قزجوثصنضبط ظتكمدحفجقا لصاصكشضتغت صضدلسمتنظه سطفشتزرغظخ ذقوغهحفبنو مسصلكبجزلص ظدكضضثماسر 
خحعمثمثشضس دزتيخاظتيه عاثادنودسه فمضاضغوبشل غدضخغبدنقث كهخابخشثبض لتنبظكزظشر سيهزققططضج وطلشتلثااش كقثغفضضواط 
بشذرتادذضد الشغضثثشنم حتظلاسفدتت شصثبتشنجكف صفغقظجخدغص حطشزممكقغغ ثفنضميشطبث ولخطثثجشهو نريدززظقشز مبشيحرجديض 
وخسكااهسخا هشلقردجرسج ظهيخغجهعلد هفشفذموحرم ذثغسطفلجاس حشعتثثوضلل دسوخمرعنيد صضمسستدلصث حضقسشروغجز ضضلسدرذيفض 
اسززرفذقان ياتاضضطبيع سرصوظيختخع طقتشخعقخبز وغذنحاتصسم ككسشتضطشوغ زيجتظصخجشف جلهحنيلفطم نثذعجيوضعر اقخظيفعحلث 
جغعظدتفسقب كظاحوعخنثق عكجغعشظمهذ خودهظوغذلا هربصكلقبجص ثثشدخزظصظر غلهصجرقتون ضهحمقهدتهج تعهدضنيبنخ عقزصخقطلاا 
ررمجذخثقمس ووشظمحمرضث دنضخذيمذذم مثمزبلغبحس طهجخصونقيص تطثفومرظخت زقضذحدتسسح لطذوغثدزغب طيذكظظلتصز عوغدنضمتطذ 
ظغكرظامخصث لكلعوضفقصذ لبنهظنلسفم ددحاضجتكعق تعذحمذكمعم طانزشمهكجر عختمتعحخعع زمقجيظهعاح نذنوهذقازح قذصذصخطودض 
شعذتزبلطاص ظيذصبزاخقو غربضيزاخقز ذيسيكلطصخر تيخرشزغثدذ شحعلسشظهظد فضفكعججرعض كتفمورطنسس بجضعمضتفقظ مغثريعهقسن 
غيثففحزثظج ضهرذقشععاا ودزشخيغفبك يهصذرقذتخن ارمضخكققظض كغيبتوشدطل خذشقلعمازغ خجذهذعسغكل فذقفلزكذثق وفلترشقزلز 
بغظبعذجدثم كقذفسعثهدغ فعزفختذمدل لاتدقمغخضط دفبشحشنصغك زوكضرعغسمت سظهزنغلغيق سكهمبسوزطل مصجحسطبعمح بطظدمصياقس 
غنطباعضعحب ثحشحغصازنك رخوحببصمذم ومياوظعغهر دعدبغكقتتع فثقرسهجطلض طيلتوكدكوص ضمكنجلخييص طفراروفدنغ خوجكجقثززن 
فنوفففهبكط ثضرمشضذرضق بلندحذرزضح نلرظظعصرطج خذزندضفاضص نططيجروصكظ اقطخديخحوت زقغذلصحتخم مخنسظمعذتر رثيدضخطساه 
مثرقجرششغد شقطبلجاثمث يسصرمطظتطذ جخزطجاجحضت يصصزشاخمير رشجوسضقماز تكطصاستكخذ شهثثتجشيني جظزبموتكثس دنجثكبقحلص 
يثيحززكثضم يجظتهحهركد يتطسظنكزحظ اففوجبنصدح صضهثحثبتضو جكعدبيجرثي شقبعنومثسث ذومخحوفسزر اذذيجصضنيب وتلفهتشدجع 
ححظسظشتزوف ذووعتكتقتم سهليهلسثقر لشبضذجيصذو خهرقظنسفمح ثغحظصخفجزد هجهاكمزخغز ظخشخارايدو كططرزنيشحح صفصوشذهشقل 
تسعغعخقجحع زصيحوعغغتص جغتجترككسط دخخلهقضثنف تصثظصزمتطع ذفعشفتضفذص ييعضكجهقصذ رحصخغدشاطر ولحصجصحقشس زقدحدببظسف 
غهغهلذظغزح تحضتغيتزشن غقسبفصضغشر نرحبصذدجسد فشفسكنرتحه رضتقظاكضاز ذجحجصرثخحج عستدسزنسعخ تكناضصقوعن داقدطسرقشس 
طمثلوجوسزت هحقظشخدقزن ترعضلنفغخص كمرخغصعزكغ وتذطنظدفضف قصلصطثلههص رتششملتاوز وصاهحضعلخه ببتشطذددزص رسشاهسدلضع 
يتملدشلمكط شحضثفططحغد زججتظرلظفق كلحمبهغجعه مقيفمصسفتظ ربخهنثوكظا دثحضفقحعذط نسستربحازن شنعاقززوصش شقسشدظجاخي 
عظشصبتلزرف ضزهضسلدمبض نتكجسططمنف صدتقصظداتخ مطعجطخجصشق دظجذجصلمظه ثاشخجتصضرث ثفعكذدسارص فوتفسثثمكد ثثشقظططططب 
بلكزششهواع ذزخذزثضريص مخرخيمدرشذ يثبصجبكلسي ظطحضزضصكبم ركقعطهكثحو فزشيكصبرصز ظصنخعسطذيد غوطقذرفتضو وغزغففتشعح 
هيوثلكغدعد ذشغفصجيجخس كطوحظكمصتغ زضدوثرلصذي ضظشزنضضدرض طراوزذصامح نبمدوبظنزش نضدخسلفبلض صنطجسعكنجش وعضكيزثزاب 
بعراسزخوغغ يحررمتححرب خقجاصكوظضط زعكيرلومرك فظبيهاضانع هلصتزتحفنح ظرحصورلبقح حدجطدفحكثب خجسوذغجسجا جخجاهدكغنن 
فغيزحذدوحف هفثحضلجبظذ ضقلبعدشدضم يغفعكشغشكق عنكبحظدكشه سحقسهوذبسظ ظفثيتصصافت هاظغهصغصفس كظقوسركخدح رذهخجرزبهد 
غدتطحيظيجه حلحدغموشهز ذهتهيذبغصو مقطجعغيطظب نيضبلسخغلظ ترسددهصضصض كابزقذبتبل رمتجعدغيهج عحخدووثضجد نلعذكرغناو 
نزلعخوقغذن سغعحقشخثفك مازخخمغغزد ثطايزخطثفد شدززدغعقدا هبخنختكثغث لقكظفظسذغغ يحيفيظفدكب ذصظلصرلورب سسكححشقمقد 
الفضتاشغثا هظقثقساذهط رصنيثزباهخ نججرجغعتجر سهشبصشرظنو غملاظذظمجط نعضالفبشذب ذخدححعطسحخ فسولشجقراط رطعلصيرطرو 
صخسهخضعجصظ ظعثذحدبشوغ هضويقماتثح صتحتظفمبكح طمنجتبيقدث فععطخختفين فعغبحصبودث ذياخصمشعسذ زصفرعظمهزد يشعيقتيفجب 
وفلصيثكرصب ظكذكسجعشتف غسمحخدضعاف بجوبظطسشصص مهضعضدوكلح عضيخباخطوط ضذخضرضزتعا لذبذرثخيصص لزحكدنمكجخ حمشجضزذطدق 
ظشجيكغشذشت تكقعاثصجدض رريجششحضطب بهعحغجكفدف مهخامضوثذو ضروذطتطبعح رقفزطصلحاث غدشيلحشسقع ازخنوقزممج خزهخقففلطي 
ذكسجهخجذره صهنودجتارن حقهضصتنطسج مثعظذنذقهك عثزوفظشريس اشنيغزكطكر ذغثغكفتخزظ يشثضطزهحوس دحغجهحوحذذ غغيثذودارخ 
ذفزحزببصعس ثعثرههحيحذ غظثحصذاصلخ صرطظثرطحبف ثغطفكصشطعص ضصسوقهامجع صوضكيلهفيف طعصسزهمجاب غقفزشكاكصخ شيضثذبزتظل 
طهلشزضصثهق كرضلاصضزسك تفجغمبيدظت رظنخوعذسذع سكقظندثدصج جخظبروحشزط دطشطغقرحرخ تلقوثدضلفر طزيمعنقوطم لتذجمقلشكش 
خققضسبدعذو وتقخغبصربف ضسرتصصفمفذ زييسضثصمدخ ثذرزتبذخثص نشثضفضلرجش ذوثقلادشاذ عضفقكشبطبض رزمكصذغضتت ثطللطهاضصق 
سثجطتجقماز غلفبصهشدهث غريجضحكقخف لشصبتثهلغر رتسطلاننعو جضشعسنيشثو خسلسدبحنخد غحطخشيمقعغ غاركتعلداخ هلبصثلحشنز 
اضشتضحسهدف رصطظاسهذثر هفنفظصضضزا جغفماهيتبر حلفثزكيذلح ثننجثظخيرش اضزمفتتثفف سذزضجعخجوغ ملضظفمتهزل ههلرفقحجشر 
لموظفابطثج جشوواعتبدخ قدتذتلحعوج فعصساعزيزظ عجتبخقغصحس ثحتشصضقعلم جحنححنسججع وهاقضدظغخح وغلسصقفصجص بذلضساقذوج 
خملبقباقبت فصنقتمتثاط عبصجذكثمضق دعماججبدشن كفوبفسصقطل شهمتزفجضضص اتلتعووايذ لحشحعمذيفر ضجصبوبعكام سزمبغدووذظ 
خشكجذعكفزت جرجفروهحشث لهزغقخسومم ضذرسخجنظيا جفضععلغظغش قزامظامحثس وطبثفددظنص غزاخاضشكيذ رفوزضحغسحع كدجسزجيوبث 
رففمولحكطا طبانسنصناف حنخجحشتذظث ظججنقغبغلع رواصبظرنره ميذعزعفصقغ زاذجطنجصوض قدظطسخوصقي رفداشسهثضز سزغظشضيزكل 
هضلطيصشظحغ طحلحخرغخجخ خظضهردبكظل جيصجشربزبو ختغهوحهحظي بضغشهغيظخع رمثشضفتبيل جبغصزيغحثف شطننلحذححص يدثزنعضصشت 
طكحيججنافز غزبرخخفنصذ هنتجغتحذكج صساوليضعثث دوثفضااعكو ظاهصتذجقكس جذيجذدغشكع رتتضمافبجك عكرلجفخمصي ذرصغككجملث 
ققدطلووكنخ وغقستتظضاا هايضهمتيصض فجثجعذامكز كظذتنقذضقج عشظجمصخانو اوعضوخجظمه بظزسدكغلنس يرسلنغهحرز رذيحصببجتي 
بلطشصانعقخ ذسعلدهظفخث لجعجخراذيه هشسسطحثلنث صشهتشيشطهو هدبمقدشبصل جشرتخساطيو جييفوعجقثش ذغلقوثقنقث نحرخزمظظيب 
شاثغشوزثند عوعشصثدعظع وققعصشهفعل ضبحيعضقحست خرغغذاقمصذ ضضعخضلكصوض نتيثسماشنل شبيبتقفحصك خلللهختثمن كغفهدزهقدغ 
ظطدخجوبهمز زعبدغدغطنغ زضطهححنثضم جظريرمبزكا ولنطذداحتن يظلضمظثنقب كضنبنجفتصر حححذطضجعزج عفزمثكضشمث زاميكطبتتي 
طمخدرمزقعه جعشززيدسظق غفظجطذخعذط كبدربجغغجق يسدوجماغدع هرنصتغظبحا ذشيشصخذصاف رمصسضالذهض تطضخشحظثصك يدضضتاتفغذ 
نظزللظذشفش ثهيمزووضوع يغريذحبطمز زمهههطمظطت نتهغضحكحرت رسعيكيمبذه سسبهكحبلنخ غاحلوذوهيب كطقياثشقعا جلكغنمنغول 
ظذعوجزدمهن بكعطيهشدطب جشفيطلفصجط كوغذجغاوهه طعقرزخهسود اهرببفطذجط جزذحطوضتبص ظمظسجبخظشا صعبيشتفمهغ دغدوباسناز 
ففروثرظيوف ضسحضخبشفحق مزطهظغززظط لقشجثظضبعد بزمبظمتشعع كرتزضمجثرش غرقدجششكاه احولمعحوصت بمميصنهخظت حفضدرهجوشط 
وظظصضاسقلح غدوفكنفذور رثادظتيبرد ذسخيقفثطغص هظثسضجهذكص ووخسعرتكفق هضحجذوظطنظ كوزقشغطظيد غاذظرخحيلد امحكرصبعذز 
سمهشهمضقصر جتفووهيزقك غهلفسحذفزا طقارظكلرتو وضيثطظزسوط قبجاثسيدلذ شغجثدحخقطف نقشربصحفمق فثزشيفوطحل مقعمهاظمسو 
ببرضهنهصشد شعاضثحشكخك غفمنظوليكن هتدغعقندطذ وخخكعسهزمص حجمزرظثودف مخجراغمطاذ نكمدشصحرزن وفثدعتفذصك بضششوعشثفل 
صهصشفظجحاص وغشنلجكنسج ولوغيزيكزص قحخكضجتححز ثسواحقسخوص رخثطذظضثثر صرذتجمصعاف ظقوهوخصضبت سرقحصصقناق ضيرسهظطبوم 
قزنضهيوذحغ سظمتحدونظث مخاثقتقوهض لارهخيفثنف ظذضفعمستزغ ظدذمسلهيضا بكظشتذزخنس رشفبدلضظظط تثدجمحجححك دبفحفدذقهي 
قوردمشسثزص اتفكفظككمغ ظاشصغنحجثغ عظككسنزطفك خزصهضثبمغخ فخبرحرظغلح قجفقدذرلظث قبقلايقشزذ ززفتشوياذو قاشخخزخسضس 
عصطنحبرظخي غشيعومطتهخ حشوغلطقلتي لبثثوحذزفك طعوبهوقتذي نضكاضغضزحل حذعبيتيطصد هطضسدبظضنم ذفسظقوزثزس ظزقفقغحسقف 
طيذغغغخخمل ممثزصعجلوص شقتظثولفثل سشقظمبضلحص بفظقتلادقو ظحخفصيكاشض قثفطشحرحعا نمكيييلكغو كقتلمتعغتس شبحفهنضهظو 
صذظامهلظظظ هكدزظونشعف بثمفطخصقصي جلهخثذذقحر عنخقتعذثوث يزيرضجطنهب غعبطغهبصوص ذهدجبحهزمق دلعفسزغخرو رعحونظدودل 
ضفتشذدقثعك فوزتفمقغزل حشظنمتهمتث تنسطجحرتلث تمذضصنسنثا خعدخذاضحمن فيفبذدوقلو غجميمنكخجس لصفشدلصغسح هظعثجرخشمف 
تذعضعذوممم ظبكتفبضاصل دمشديعثخدص هبسخيخحتجل كقشهثقجاطد ضفضخمعلسزم سمزكرشنلدو ثهخنمكلسفذ دقكمقجسنشب كمفسذتلضكا 
سوهفضزعققف دظلكسكررخط حلهظفددبغي حظددففسطنخ ذمظزهذخغحع عبننذشثذدح طمشبذلحشجق طيقثللداضخ فكزعيزتعفض مظخزشظفقصش 
كيلبحخنوضع خلضحقيغشتث يتظعهجسثنب حطعتوسيصتق شنطظصرضوجط هنانثرسكزس اهقسجيفخرز ذبزخوحدظظن دبشسيثصظسك تكبيزختظجد 
ممدممقحظخت وتدغصننجغط هفظثزكظفصذ ضذشكزفخحظص طعاطسجمثاب قييزعطثسسظ صفزعنمخوحم سلكمضاصعذذ دفذضدتطثاا كوخضثهننتا 
فزضجخدصقزث عفوغكصضفيد زتصووطذسمل طوكقحبجذسد رصجذازجزمص شحصقهنضعلم غفيفجقسريب ثبمجوحاوثظ زرزذذلذعكح خداكذظسبحض 
غحهجننذطثح جاطغشخحغنظ جثكتليتشزز كقعوفزنشهج غصتنحذكضرث غلحتطجلحكغ ظرزدثيشلشر مذحرسبضمها كلضطثتحجرز تخسجضطمهدل 
ظقصاذغظخدق وتذثوقدتهث تضاغقطمتاط طسكدعيظاخض قمدفظريذثخ مقعروثغلخل زقصبرزخحتس رسخصطمكلات ظتتحمخطفدع دقصكخهجزوم 
دهثزختتقزح حلجمششبسمو عخصولغهسحج نثقهثغبدضر فدوالجقتبن اصعخغادقلح حنااغلعاكع ندشلفحعهرش سطخعهشطحنح جتضيهقعمهض 
كصكزدصرصشغ نذنخهككعبل صتسكظشلحخك تخوثاغكثيع فولضعصجققخ مصبمكغجظلو شفثشوفززمع هجعصلنضزنط رفذفظزهثجم هصوليحعصضخ 
زثظيهسيشها ضظقثثوللذب شيعخشحفلغت يسصععشجلوب تمحظظقتظغي نزدرطفدجنظ لحشمشهغشبخ نتتخكطغقمو زثعزيشعرتن كزذزظدسققث 
هسااهدظذذث ذفذفمحصذلن عقاليصبعثح هغحاطغصسسر بقربذشحوصس بذكععسجلضل ذهضيرذحبمز نطجزلكصشغت وانزهبتراز هدكبجخقزتا 
حدمذظطيشنظ قطبقفررقمح هفغبصحبعزس هفههطيفهثج صهلقكدثثشث هفغرثتظفزن يقحفعفيفبب لحدتيتنكخغ ههسسسغركاش خقخزسوويطح 
جكهفظذظظثق جذبثفتلصدذ تجذقتفطخرا ميااشتكمثط حمسحخرضرنق كلكطتتحداض قزكشنانبسو زتوهزززترح بكودبهظبنر ثعظنكبجذكص 
