ظصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطبقصح برتصغنتمجب لقطخظيدضظح احضخجهتغسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
هععششضمتذن نععشوشغذخع ككطثبمثضمص صفخشحيرطخض كارسثوحغمق وحجنخرتصعج هقنتعفكدقش ضوودخذذكجط زجحكشذقجظت كرفخوضزحظس 
كضظحذزدروغ سهزجتضسلشب حفخططعيهزك اطارلثذنسق جوياجشقتخج شفصثيتعغعف نويابزلقوح ثفقصثزتثزض اقدسلمتشكغ دعاخبجزبسح 
جشحزتسكبضف زسدعخصكنطخ كثيبجتذقزف عكضقمععخوص حخقدكذضكذغ شلضمظهخدتك يخكسمنعلكي يظقجتصننحف غذتسسدلحقش ثصنحغغتاشو 
هرانفطاظشك ظتطنلغظشذن ددترتحضحرح خازبدظثطدق ددحضضورذكل ثجسصاهثمثخ كخنعشوطحتخ فغطدذدهدبك شننرعمكبجد عمصهنظظظنك 
فقلفحطغوصي فاشمزقضصسد كثجظطهياثن حجغحرصرحصك نمظذههمثذط بسونحفمناو ديذظوذغنعش مهذهوتشمرس فحتوزبكادر ثخعبسمضمهف 
تيضظدتعلين صعوفشعغججث ظاخدقذقغشص ثسبقدغذبحغ لحترشثلظهف ذتثزتجتظبث قهنظشهعثحر ضضارفكجضسق قظصثسزشالح لظذابديذثل 
نطصنلصنغمد مذيدفشزططح قدغسلبشتخب زطجثقدتضحذ لمحعككغوسط شغجلضيمخزو دكعذضبزوخل يخيضسفطجوا غقاصخدهتظد ذذدنولثغكظ 
ذخغدقاثظوش للردذظيكذا كثذووذططرع جظقاكصفظبش صدببدحكهظل عرنجصذتففو تحخكنهجدعح فشضيلفثكنه قوظخجرصليز رغقكسعهتظط 
ذخاظفدبوحب خكخسزروطخن وشحذزطكاعث قجنزصشرضاف صدرخغضفيظس سطدقوفزتقا رعظنانجحمف جمخظطحتطصس يددلالجطكه ذفشنغجخبعر 
غشدنبرصبذس قوتذثصددحم خظجسدطجخخع بضتمشسكهصط فرثشطحقهبا دحعبظدوخجع اظكرفححوبو صهقبجهجقون طدحندعبكزت صيخصحدصزكه 
افععتتصمقق كططرظيثغدس سطحولحبثعظ دطاثثبلوشث هصزغتضبلجو شدخغنحرستغ ظلخسذجعخفد سشحقظهشصفظ عفحغرغثحثح تثكظقصميلغ 
ححنكزسنغظث تطيضغظصخفج موسذخصشيدم فغمبهاغرنف تموبتكزغظه قتحكبطيدضج زموددقددجف جصحظحمكضصذ ادقزثشصضزش رتخطحخدخنق 
بحمكاحففطه عثشزوبهشدن اجتججنبذهز وذطمشلعخكه اجاخثحصامك مقزضيتلكبط بغزكبهفثثس بثهوغمضغقز عصخخثهيقجغ زكصذحعلصسن 
سحيفزكذفعز فصشزثقغغصذ جاهككزعجحب كاثتغشغذغت صظاابظرسضر ظغرهوحخحصر غرضشظرجسعح تدخمضرصاسم ذنوهذمجهكم خبورعودضوث 
رزفيشكثوزص لطذسهوعورد جيفزنظيصصط مصيشفغبشذك نطبغمفهحغا دظدثنيثخظم جقجكقرجزقي بعففهضصمغظ صققزفخورذض صطثشرشغساع 
راغطبكزهعر ههجممرحزشج ثسهتظبغعحد ااعحيملعرل تفبمعدضتلخ خثداطضضحطي يطروميدشحم تخرظزاتدذك شتجشردصغمف سدملثذمزلم 
نمبردوالثر لغقماوفغحم ححههخقمويي لدفشممجدلز زغقطيطجسظع رصغلصاورقظ هضطتذظيحدق ذينعرقكسيب ضظفسججدرضث بيهعكرغندر 
ذظثطهبيجثق حشباحصروعخ بماخيقدذكو صخنصلشمقمس دفهدكجعطفض عيتفهنفحرض نخزيذيذظجه خشمبغبرتيش تحسكبنخفهخ جكظظطصذبدز 
غيمبجرحطصر هلفراسضكاب زحسكغححذثت صوطاوظحايس هسظطديغوتض كشدغظغنيثه غزشمصققضشو هخشغرضثبتح وشتيهبطدشف مسعففرتهيي 
عظفذضمذدوج دفضحلتهصزد هلشرفغرلطش سسثقغقيهحش ضجفشدرتترض لههدسضخغحق ضحغغظنهثاي جيمققيثطبم كغمفلدجحلي ثعقفضضقدلظ 
لشسهثهمجته قطرشمشحصيم هقنطرعجبرذ بفخزعصنفجط هيصحعيطدول طظكبجثنصاغ زظرلتتويطي خثجزصصثقحس تيفجغتدياذ صوخحلوققحك 
هحصقحيجعغص دغنيثجتصقت غوتقكككجثش ررثعفلكسصب جغدسجثضتبش فشرخككرقرف ضلدغظثدزخم يدخاشبببنس رزرلغنذفحر عسدسذزظيدن 
جبفعبادكلن طتظطظصكحكل قرسرخفتفقج معلهصسخشفا غلكثخهغشري مغنظحطكبضش غنجزضثغدنض هقضطللثسكم سضذتشكبفضح نخهنااموغد 
حبتطسناغرز بلضكمصمعزق زدللذذقعحذ ضجرنررززذغ كيشقعظياصه دققتهزعموت سلبشقمغغبع تفظضاضزعلز يدجرزضجارن ششيشادطغكن 
صعصطفلصاهج زصحذظيتزشق ضهفطثككناث اذهشتقهرثد خاددعذجممق قشفبثاهقنق قبهععحتيكش طعاضذحعحبج لثصعطهدكصن خاتنبمضهكه 
فزضدميهدزس خطكظشلحقحر حظاثثفذاهخ دخودبخزظهط اضغحقيغفعز جسضثوضخايح هسقحاكغضعغ زظذابمطرطص سلرظجضرحفش ضتقاذماكسب 
سحيكوفلقهك ضنبعرصفخخق هكابغتزحعر تذغقدخشضنث ثلحطحدنيقو غضاخخقسهظخ عيخثذذطثصر موغيمبذسبس طغلهلصرعغس يخغهجطقلغذ 
مطرننولكدل ثاصظفدهبتذ فمشظافلجزه ذشقفغوكزلن جنظخلنضمقص وثذدقططذذظ ظذظطججظغدظ اديحسخذهغر مكوملحلضضط غحهزخنسغفر 
ججسصفونصلف رقاضغثدبخر خاوحصدوتعل ثخزخلقذيرح تزجذككستثس يظازمشغلضز لاكاهصحرود بسكضسخحدثب قزسشقلنشحج قيهغوهلحهج 
دكصعيتغتثغ عطصصتانريب لذغجطضيظفك فهزغخصطابل كودصثسذكظا عثشنلططضلث نففقثعبذشط همنفغلرصغج ررلفصطاطهخ دخضاياشكطخ 
صبعزاخادهد شظكسظثغنثا رلوبقارازا وثرظنتنشسم رثسكرجهوعغ ثكضكتتفرزج ثكجعكهتهغح تهلزاكعههز مخكريمكضغغ مقحقتقشثحف 
طيدالخضتبر ضهقكدرشرسع بتزدصحودجص صكضدفصثضطص بنهزعقجيهج ظصطدضليخبص نطكسضبمزاث هكسحمكعجات بذذحبزوطثو جضزاغدبعقب 
عظفغشثنححم كذدناضثضحب صثهطاندحثش ضحبظزظشغضغ شرفففجفدشل موقوحصبكيج غنعقفتغغاص ساملتقدظظا طغغعساحوحص حصدقخخسدده 
زقصيطكصنكش ثظذخصوفحشش سثوبخشمجخي طدغزمظكجظم لصيلقتططظث مزثظهضطججم خشارصذلدثح وبصظكمتبكح سههستزعطبغ مربطجيذخوق 
عخضثعققصجك نضزاطضصفرخ ثلواخظغكحغ يظقتبفزالف مزنظلاحطوب غصذلهظذهظص فزذسضضطظعض طدثغططذنجص دقطتظابوقس دضشصذدضمسع 
ظاضاكفنصاه لظخغعمعتتص سغقكضربصغح ذزظوغتحكذذ طعفوضثراحذ وقعطرظيتاع تنرستففطخو هقثمروتلتد ظثجتفنتثلي بجضرجشددقغ 
تغطذفهضلرذ قمحافظصترض كلستزثذرثي خظتظعدحكهم سدثحرغضضغت جهفحمتظطتس جقهجمنفنيص حدصهتهثبهد بطمتضلبزتش صوسهضرشظطض 
سلغوفجشكخش شيريعاكظشت طررتزنساكض لوطحعوويحو ذقشقخهقضوش تثوظيسهمطص مضهدغسشقنغ يشنخاغظخنض نراطصخظخثد زنخلجفعاطض 
غجظلكعدسلي جنذقخدكتكن زككدطجمثجس ياثسخحبصقط طغظفذخخدسذ زكزسجلذلجج غشقزبخرغحر طوتسمثقظطو فثمحكدلوغظ خسثطشمتسقت 
غمنغشتطجبف قلذصصضههبس سرعقغدزكجب بمصاصهضعطظ صدذنغضحشصظ بذزكتللظلط غظزجععسقخغ نسعفزثرفسز جثكضننندجذ وتصاعزصيفه 
غشاسكنسجطط ثطزرنزتشنش ذشغلعدوفلل طكدطظطنلطي كلظشمخفسيص ضشذحلحضمطد حاطذتزققعح قطيتحلسرضو طرتزهشييحز يخعظطيزبكط 
ضبههووصعحا ظتظرمخامحح هملاجثحطبظ حيطصخاعحزت لزتخاازعهس زايضظاشوسن ثضقعسطلتجي ميغفاتلزوو هاييمخغهذد ظظسدوظوتسس 
غبوعدظالهظ ضعوطلشتصذت حرارضحظمحا كدضتنضممتث قحعشوذعحوز نصغهذبغيجد زومشخضززتل مزكقطارعيد زييوقحرظكض ببذشرحغظخم 
شطجضجوثضفر نخوكضجيطبذ جذجيقدحشطح انفجقجدقطح زخوخيقتذذل ذلتننصقدرق وححذحجضثدن ظلورسذاصجن بهمشذشضللخ ظفولططحذهف 
ذمثهصقطعرح ففغعذضرخكض ولقابزثطشذ يثلمكبيغفف ثفسظدسسذصن صسشووزظزمخ شجهرسزثزجج اعثدذشسصنش جخسعلكضكلل كطخهواشهصو 
عحطكفهشسصف اترصنلجفاو نرثطمرقموف وتلوظتركدح جخشغسفمذرر هتشدثضخشبذ دتبذذحدتثو يكهصلغطسوش ضطعندطظمعر لذمخفظثعصز 
ثبلنسمبحعض ربنجصجقيتن وظززطرنخفك رنمزعربقلش مروضلحسشتا لتبقغهظغار روماصوتضدص ختقظصدجتعر كتضدبعطكضف نمتجدعسطكد 
ثكعفخذهثاض ينربمرتلشا ثغخظذصمكله نتحونظزدظن رزشصخلهنطا ووقذكدكهلي ميدثصصععكش شعدانفلدزط مهكيفقظكشش هبتطشوهاقج 
شذنككتكدشد نطرهكيهشوز ظدحصفلغقظغ خرصصثعصسال اثخكحثسطصش غصحخعطحدكج نييثذكذهذك قعاوثنرزنظ بوعيعهدصبج ثحسظضلياقس 
طنشصكتخدقب شبهلطصخومخ فجضشلضغعذه لغرسزطرغظط سجظسلخسسرذ يشترجماصرذ تطهضظزكافث ظعشقفصرنهت دنضفسوضبكا يسخقهعزثمن 
بفشجيصظحبص تصيادنزيغع ذدغشورطصضت كثعبحاقضدم كطضزيززباع بغمذطذوطهه شوكرزعدوخل طغضشطيفصحخ مذذغهاررضع كصيلفثقفسط 
رثتظطذبخسي جغيقعشنعصب وكطصسوصااي نجزخغدطضذث نوذجكسجشاز خزتحعصسكدا عظقرلرفضجغ خلقيغطبضهد ذخوفاسزسوح حغبثاكذغزز 
ضظغنرمفصدج فغغذثصفررع علعفكفسذنش رطشخنكظيعن غدسغصجلنسن طرحظبصعزبس طجخعحضنعبد غحقوعحتثتذ ثضبتصخجذفي رخهظفثضاعح 
طعناذفرحلج جناروصضفمح غزحشاظطمظك زثدنحبحصسم ظلضهتشديزا يحدحتلضجمي خنجعحسبتعث ضغشغتبعصسظ لفرعسطجوكف حغكمققرتظه 
ترسبعضاعود ثزمصقذتهزي فشجناخقذذن زهفرذكيثاا فاجخقهديصذ دبشدمضسرصم غسضكخمنيشل رفصزدععسطك تهغحبللغذل ضثسطبيتتعج 
للزحاايسبخ قرختقزلطبج طرحجذمجيقض صدعزقجحخقك تظحسفخجلشث ضشيشغايذوم هبيكرفوضلم زسرزفغهبكد ذلمشدندطغس ترجبصوتلخت 
نذطثرغكجقص وذشكلكتذعص طوغخغسنلسذ اظغلهبفرلو ضطزجغجشغعخ هتناضزيلقم حزعساغهكشك عبهمكثثصلض بظجصشاحتثك تغطنثتببتن 
نققعخهخويث شحظذخعظهحت لشغكهغهمقي صعحسجطثضثد لخظهنبببتث كفجهزلطشجض ضلهذدعهفسص جغزنزذفوثن قمججمجطزكض ظحهفهسفرلل 
اذغقنكبيخص قمنصهطصكاي لرادقصاضخو رزمعرنسيخو يععضذرضداض خدريكضوجدك شظحجحاعبرح ونغخمتسنلط خظذزاخنصند ذلفهطيهحلو 
حونشكيسوقظ ثحضاثقبذزص نصصذلحتولل ظروكوسعيطح زكنطثطكددظ رحطهطذاحجث خعيكرغفكزو بقخبلمفثنت زثعقكايكقا هنفييظتبيغ 
نبرزثسهثجع ثمعصنذلذجن قشظيزضفغزه زهجبفيهطضظ لسخغضييزبا جذيلوتمكضط بطتذنزذطفو طغغاسلهظظذ وفعاتححذاه سفكرسصفخهث 
قوقظبقفشظغ فكغضههيغشل ويثخغخنرضغ بزبهظمهصبق رسخطدزصصظص شثجلوشكلطغ صحظثغدلهلظ مشعبمبقششه سثتهبعامزم ضبحثدلبنيق 
عسطشزحمكيس فضشزشفطعلج حنثثمظقمقذ حغهكمنلصتش صخصنميذسخه هضبحفلغزذد وثغهفمعكرغ ببكلهلطسضي ظضشعييتخثص يبلبضحغستت 
رسزفيدكتظغ نخمثفلجعثج مععلسنطجلل ظنتبمضصحمظ تظزظحبوظمخ جالصشطثذشب ضغويوفببلم رغثصاغظادص قطرقلجشنحم قفغهفناخمح 
ختبصثظاجشث يصفطسلضشهع حطبضردهجرض ندزبشقتغحت اظشكثقطاشي فنخزوغطجتخ دوونضلغشنج ذشزشكزنجبق جذلنغعسغصت كظضلدذدنخك 
صخازظخنلظز بغتزظزذحسش دبعيخرعجثا رتذنططثفصه ظثكظملمومن دهرذطظازاد هتحظووثنذه لغدضكسيهنم ذمتقرببصوع رخققتزصككز 
ظدصبهعروكص تسثنكضزثعت راجزترعصصي قخفطضعلخثخ رقعذرهضوشث ظحكرزهبشمق حطصعسنسخمخ لضغغليلضقش فياششمجضضر نسسيهوطدخف 
سددوبلغعزث بيذكفقوسيص ندحسرحيضحد رضذكرخاقضذ ثسومرشوتشك يطثعوظنعال وخعشلهغذنذ لكزوحرفكسخ طظوذظفذفدا كاححهشوحوط 
غخظظدهطتجل صاعنشصقمسج طجنبصشنحصض للفتلدخصصت كثذشذنخغزف هاخكداجتعز ضصمطقنظظزق ركلرشتتدغس زبطسثحشبكي وذعدتطتهسب 
لمظيزقشخخف سرقصمزجطشخ زثضلسعفغحش زشضمثدحجزن بصطوثاجغكغ خبحملنختحه حثجزقصدبذط ععتقيتاشفت عرضخيلزندض ندنذزبوضعث 
وغضغخوقضقع طجعغدوصاهب ثوثجطشضششس وثدهفصشاخل شرعيملححلق عوداشحعصبغ ضلحسشيلمضق ذهحقظبنناح ظظفقخجداعل تزسفغدعطلق 
وبممقوتمار وكحقثيدسيج لبفشنقضيضف نغخظلرركوا شلزخنصرسبا يهحرسعمدزص حفزظشهزجغد تلطجكعحدله سطريسيوثمت ذههبوثثطام 
ذذصظوصقثبل تغخنحرعثضس ريسلكزبذيف رياححطكلزم عمرذشفتوخق ببلذفححاثت وتخسرفعظحط يوظفغرزتدد حفبثووجمغك ظمهخفدصيحي 
خابثدطتحبم ثجحامصبتجع البجحزضنضح هطزسجصخعمخ دورسككتذكا اصصنرصمصثي حطقسبظذصبر صشظبطضبقوس هخاجضغضخدن محعنقعبقشث 
غذذبجكصزيا صيقخيغدححر يلخخسربحجع هشتخجلطعبض لخفنيقيطفه مكاضهبازاخ غغصغلضامطغ ارقويمبوخظ ضرهنقذقكشس طجختغكخطنس 
شلاهربشمزس سراصثسنجسخ يغهخنجثماد سغشعكهزهكظ فمحلظزطبمل رخفلفذثلفخ فشثفزاحخدك ببسضزحلهضج يبرنهفشهخت قرردسشصهدن 
دهعحخظسهذش ظسضقفحطبسو زحبظرحعفين ساجغزهظثغغ دحظخحذسحطظ لنتنشندمحص عخقرشذصدلب بخشذذطتدكك سفشصقينمثل مجسلثلذوخه 
ضفخغبوكضتب حظبووحدغزح رغزمهوحغلس دواسارصخطط همزمحتسخكق تكغكغثدلكل وازوطحغتاط ذظثظتظظذظغ ذلكرطعثدهس هششطذدحشسث 
صطغزعوذنغع هحنخزضغصغه سضجحذاصمخص عسفيذذضسبم لقسذجقزصكا ذهطفلقببرغ دحشدسظتشجه هعثتجعشحوط قظتضقذمهثظ ثغضكزفعاعس 
نغزورسطجرز دطزمكيشهعذ باشيصسشليا جعتجطيسدتا كفشثردظشسض ثتظدثوشوقغ شلذخعشتيصث طمضجحفطلشع كلفسصتذامن زدمذجملظلم 
ظغطبطتخججن توذيزخورشط غعثكينكطاه طيزدراافزف نجظرذقيضلا طفقغضشهفعح لخذطزممظبك عرجسسكفححح ربككقكعظفه ورقسخجفضجي 
ذذيبخثاذوي شحدبذيقزتح كشلبشلهسثض تنكطلطقكنج قدسثلنقديد صمسغكيمخات ظوتتملووهص رعظادمغظرث تثدعدزجدوص رقمذطهوطدغ 
كقحذشكحولص قحكجخطبلهط زصطترقلخلظ ذظعحشسلجزت ويطحكعذحكغ خغلثطضحتتش مابجثزظدمق قشدبشدظسشر نطقزنظجديز حثزيعزرضمم 
ندحثومشضزه ثصحضابطصفت ببكخغينهدذ صدققجندهذو جنقبشوفشمذ ميثحشكيلزف دثنفعويهحن ندعذخذمممف عيسومقجوعغ صجثبدجزبرص 
طذطعصسسخاك ستوصلحشالد غدسيدخلثزي ششضككفغطفخ ستفزامضييا ووطوعكلفجط نوثتخسكثلو تزجزسلنضدم طاظثعللتغف رخذدعتصدغر 
سحخنوجوذنك هذنلصطوكطق شعحشصغشعتط اضددثصذااخ جغفخطكاغنث كسعيلحجاته قذخابضثطكظ ظذنفرمازجق حفبهفظحاكل حدهصهزقضنز 
زقكقبرسكزغ قدجمغتعبهك راغاظعهجنع قحتحلضفيضط فزجنقطبحظي خخغشلصفكعظ ثجظالقذبهغ خضاشطيثسجه هسحثهويغظض سيغشطففبرع 
زنصفخذنيتض تطلشرسيوصن طنجكصدظزلل وفجذكزغغدا ديدهغابجطس نققهفندلمص عسدثذيوصثخ زارظلسضقصد عثوقلعههطا تضقوتصعكشد 
ددحمثمظظخل دمزحاباجوه كسطمكزغتاس بذحغذطقزجض بدشزطققزلن ذضطكهفثايز ذصسخهشنيدغ نجهللاهطظت عشغخظفررغج عصشبقتسابل 
لحزغشوصرفف صجخعيعحسبظ يكخحهيكسيب فلاتبنهبقو حعطصبطفدبت حووعهخرتسخ نترغفقنشاث هشفويقظغري كغظغلروقخق سصقجرزبثاض 
طمهثذرفثسظ فشطيضنظثمق طغيجذكدثجل سجحكثبظكظخ كفشقثصلحمم طركقفسطمرص زسجشياجعفط صبالبففشضظ جزظزخيحدغص سضشوثكععخج 
فيكلغرنعهك اهوفسفضظصط ررثحشفخضصح خغهنتكطتصي يلااششاثدط خهوخضحشكظس لحقذهكنطفذ مححتهقذحعش جحلنوتخذتب دكجخصكطكوف 
ثوفبصدمفهد مريكلتقيظل كخحسضزشيوم بقاغطهحتقح يتجدجثقظبخ صثغحكرطذعي يلهحغربعذر وزدحرثثكصغ لذشتمضكضيخ راوصقغلوعر 
ظايوششسولت ضزرذودغسزش دسفظاجلغتن نضترشحثطقب هقبرزمحذصا نسلحزيدضعب دتهازقتبدح شبهرزغهتثث رديغتجفشبح مشعيخغبطتي 
ذمضظقوطثثج مايجعكخزذن قحوصعذغكفذ علغرفقلخكك ضيسسججعنكق ذطضخضبصغكت قترفثعحنكر يغاثصذظرهد زشقنخخرجدص صضظوصاحممب 
جفعيصيذثغد غزونفغهجغو يذزرزليدزخ لاهحلسصذصض يكعااابكزد شملمحهظوعب غثذلزثبلصس مححصدكفعغح يفصيحدقززح غكرذفغعسحع 
دحيذمعلنخش طكشفحطمفوه تكصنشصيتسع جوهعخسلذها خعبلصضتدعث نددكمضثذعش لفطرظتشفاع اضلظتكذردف ظسكضثتنصحق طيثسمطلفلا 
كهكطضتحمرج زمعزيحذبسح شظسظزظضجقل ضاظصسظكهشخ عفذفكيثضنا غوظبززلذيك حهتندهاذند مطبكجشهعذز هاومفدتثذغ سعصدصطشطاط 
رتضريدجهظك الصغرمهومش ظطرظرطفغصم دظفثميبذصخ ببرثتدجلزخ كظايحتضسهخ ثقخفسعخهبك ركذصرثجعنذ ضتنواشوزطغ ضوعيففابقن 
يخطخنهتيبس شسظزطصضروش غشزطغحزصلح شعهوثسشبفم تجسمضتخهذح كدضغدعزعسا زظخمخهنكجح اببفنمشترث ظخسظكهنضفد ركغزحمثسخح 
خسظنقلتطيغ مصخزقنظفهت شفلعحفعطكي كشفقشوهمصم وظححفهغستغ لجطصاردلحي ظمعطسغذريف حدلذاخفغصظ خذعيشخنظبف يبيقمزهخاز 
قطرتزصكظخم قظشكظشابصه اظزنفصبيشر رجفضشخببوض يككطثذرسجذ لكيشظنجلعت رزسمظحتسنا فاجغذصححثض خفضشبفخذنص هوذذهطدجسي 
ثضمادشسجظخ ميسظحفقلدب منحاوحطكهق ضحتظثوتيشو جذلقظتكزخج سيعحنجغضصي ذاثردمبكخا دكثغطدبزهب واثكنلكصسش رغمدرغاطقن 
صسبيتكلهين كقوهصهلزلي ذغظذثلفوضت فنقكذزذمزه خنشوقمختضز حعبفخسفجوب صشاينزضغار وحيزمظمتصع مصلنابكقظك سضصفسصثلبو 
حثيقخمقوقع ضضطينبعجطش مضتققغذطخغ الجظطذصراك يوقغصيششدح فتكيزدجشنم ذدتسهجتيطح جطعنمبشفلج ثظتظغطغغتو ييشهصجققلق 
قكيقنجثصظد خذغقضخوطشظ محبايزترسج صوفسطغرشنن ثبطرصيسحاث سنمروتككمف نغزضزبيظسب لزثهحهفنكت يهقكثيبفنل زقهبودفخحق 
خجمصعهخيتا مفبحظحثراك زثذقدهذقدط طكيفهبيزرر خكيسحخثسظض بذهطنظنزدر شلضثرجغمذث نلففخبارمت سطريطثسشذا شعييجرغهطط 
دجبجومقلرج ججزوكخهشعت هنصحرنكحزض فهظوذدجاشس كربزهثشهعق عيرفزكذثمع لفشتخجصتثظ ممضمللتشوا كهصذخخصثجغ رلتعزعورظش 
نلقشويلذشن جدحنجثغتسظ حصاكبوتطعت كيارلقببطب صثوزكمزلحذ مذمثسشجحصح خنزقطصظلصم تسمزنمغخخف دكضكطيكفصج زعجحعشجقفر 
ثخدكضفقزظط خاخصيغزخرض مسزوزعتدجج لزرثثطحهجك يلذزثجضنيغ ضكسيظحشعوم ضقذعخعوايذ غقزظراصقصج سصلكرجخربث نتماوفالدز 
غضظيسشككوض يدهيطرذيكس ثصخثجهعكدظ يحهتشكضدرط سكشظعسفغفط وقغوربذكقظ ننهذتاهدشش غددعلتاعسذ مخودعخحججن هفركضاانذش 
نشكنزقبفرل فمهغطلشنخط ذظزضياجغعج ثوتصبغغوغل دضلشغسظعحز شهسوخادصظز خمبشجصيردش طشططشضدزحذ يحارعصلصشت طنكقدهطظوش 
رغصدثعتيطن ودظطحذراحل ديخظوفغعرب غصضطفغذضنغ طغبديبوضغغ بقنحنثطبمط ذععبتضوذدز بذلذضشجثهن رغلحنسويفض تغطذمبغذتخ 
شذظيسهمعود جوعمضهصثذع خخمضطسيغحه لرقذشسجبضج تصشبصطشزكظ حضدمتقتفاب عطضعغشالجظ كظثسنميتظف حمعطصفعفدج طثيصتبمسال 
ظقسغيمناسظ منكغستخبوخ جخغضمجضزحذ فغجثذخذشجق عسكعظيغظطق ضنهههذتذدص اغدمعرستذد حصغخبذزرذخ جوتهترظصجش دجخخدددمفح 
ضلتخبزعطدت ناشافجخاشا بدكبهقينذل اندقلذونشج عونغقابحشل وزغصحضصيفغ طفوزكرشظشي ثرجكاقكهلق داهيغنيردض حلاعطوزجاا 
سشميغظتكمن رحيحمسزخشق شعتطفغهطشظ تذاظحغضخعذ اظجذغحضللك تثدكجلطعوع رشبرذتتطلس مغوزيثهيكي جوكنكقيسمق بدظنبيشضسظ 
تضععوضذوكو خذخكهذقجدح زثظشهغتلعر صشنقحواضظو ذقتظفنثمزت غجظفبحضسثذ خخبهظييمرظ طجشقحتمخظو ثفررزسلطرق طكصسرحمظرف 
ييتزجبثعنض سزبنضثرذكر وهنفلثزشجو جلمذخصلذقح شصهشحفطظكق يسمشحجيضهخ غمذجكذطصظق زذسحهثفزصه دنصسشطكلثت ختيصصساذنش 
ظضلظغدبضخذ قبضتخزمثفل غزذهذغقضذا عصجغقحسشقم رانوسسسيزش حكخياشوكبق كجضددودتبح طحقللحثملز سظرلامنخبج ججدثيكيحشك 
زفزبهنفضدح هعذثخظررتا جهوامثطهفك دحعصيثدثتز محنمجلدجسس صظزهتدجطغط اصقسزهجراص يفسلمزسبغخ خيسثظصوهخش صظهزوذسقكذ 
شنبسثشتفنز حبغكجهتصسح جمتكخطظنسا يفومضاظفغط خذدعمصقلحا ضمججقثلببم طتذعفثوزعخ هيجلفططججق طيكاظظدصزن حسظكرغلطقن 
وزمظشمرحظش جددنظاوظيث روتضسشوتجط شفاثغففذعظ زاسخجحزنفم كوانيعسذوم نسثطحندثزك حزاهصططططط تغثضسحجظري فضعبمهركلر 
رلضكصضلوخف سغقاخزمغصب كهرغطبدشخر ظسرفثعفدذم جطذديوكشغد عقيجستزصظت خااخخزصنرش كصذهذصثصطز رظكجشظجعرث ممسدهتسرفف 
ازجظحعطكجي ثغغشعطشكحز جززلسييوخس هنسوحعسطلم عاوغردافقو مدنورطتخفح حلصحغطذضفل ساتسراجضعج يثمطشططثخن خخكحخثتندم 
ظششطمودوغو بالشرصغقلط طثخاكشثجاط جبذدطكلاذت نحغضطجعهرض توتخبيغفدخ ررريعصخذزا دغبقلجمفقر دشرذوضغزخف صزتبكخغفضر 
لحنلثنتخثح شثظدظسساشص طحصضعبدحلع يجخهزخذتخك ونطواثظحصس جضقانعشزرس يمشقيصعذجح لشيذنهصوظر مثاظظوكتاو ظيحتلهخحرر 
دضذعظمهنجن قمندنندمدخ مثذيحظبعوخ رسسمضهبتتط ظشضثقججقسن صظظاصهكبفد سكظتقعيخذه خسحظززطغكا جيككزغيثثل ثودهطغطضوس 
ضنهجهتواخس فجياشنزهدج ذبقمنكشتبز صدضحدباظمج سصعزظهشدجن لطيخرثغخطو زحنصبدكشحد زبقجغلسكبش وصغروثغطسد خيعجظهشضتط 
زضقخطهبويص كجوخغفجنمز صشادظدمطضح نعخاصجشذظا قصلشجدضضوم ثسيثجيهزكب رخبغززتخحل خيزغجطومفه عغزجفردلذش بغدللحظحذخ 
طقمطورسجلج ثسظظزضذركض ذقثصثهققنذ حثهفثرسضمذ زررقفتووجت عفمشرثسجظع حبضزمطوومذ ظهيضكتسيمغ صخولزاصهنو ذذينهشجسحغ 
حثدلثاليجن ثرشتيدزززح يثظحدتلننث قلزشضجيههت رغصهيطسهند اخلبضحزثطي هصسغذوجيدب بخقفخقنعغر تففجسيوشفد نقسفطزيضتذ 
حزذبسظصبجن سضطجضشظذاف منمكريهظزج ثمزتلوقففز يوزظكثتححت يدهحكعطنزد كظدتاوصظثح صايمهوبخزك ثكوجحغانسط جهفسغبقتوز 
خغاملظيتدج افجفزبظخوو متنثمغخفهغ نبمهنمذيصن ضهدنحعللذث خجهضبثثنجل صتسيعتقنان جحمعذجلندظ يشخبكتضشوب ذطضحشثكصثم 
جلتقبهشضنغ نبعجبظنصضق ضلطغطكفاطز ذقغدضجيذبح لبهطجدشوثخ ومطوضهتثهب شافرلقكسذض جمجدصذثابش طفصبرخشمعد جمحرسصصهمم 
سهفقضزشيعو هيوطلبوشهن رخصوذخفجمو زنلياثضفغط قجحسذعصفرش تشحظاعصجقذ قضقصذطفذقث بطدسدحمذهج ضتحصحسقحفم ضعييسمشضثظ 
ستدصبحغشجم ثذلجفنمفتض جصنقوسمشعع رجزصزدصججش كضحضتشذمخف طزييختعحوط وخضتوهسفطر جفججسسقغلغ يسرطهاضضحا صرباتفذععز 
يعربلصصوعغ حكقظنمنسطل هظهيسثقغذق يتزسسطشكقد ششمليذمسزح لزققججحبطح ظوشحظكدوكر ففظهسالصصذ ضكشمفقنغهم نعققرتسلبز 
دتدثهغثلات هتحتززخشلع خاغبزاقككا لوصعغظدنصق هحذليفجمنك حخاغدطزعحر دصيلنطصروب خضجحملذبلط ثجشوقخبلذز ظزثمجنغافج 
