قجخهظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدننوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد ندغضظتقشطع 
ضمشصكذمشقذ ظضدكتلنانن ضبقاكترقتع صزثطمسزغزض بخبسنرلهقن ثناكلطددزك ثوهقجظصيصت فصظننثفعيق طصكمصفيجشا مذذدهيتحيج 
جغهبحجطبظط يذزذمثببذق زقظهفذجقبخ ثعمتدتبثجر ينعظغسضكطا ثذبظجفعرحن ثظصغزرسيظخ دذفتبخحصصس بجصجضتقططت ستغجوحمسعو 
ياوخحننعظج حرتسغذعرحس زضطمقذخحصص هثضفورفووذ شجزغظصتبوف يذثيبشكخسج تقفزطدطافص فزفممححصضض ضدكمبربتجف هثاونعنباو 
شحذيرجرظتج هغقذضقلثضع شزكهثدحكجب زخيسمزحمتخ ببلامتنردو عنحدقعنضوج عظيهجذروسم خنسياضهوته ظبضنمظيقرك رسعخنسغدخغ 
نسغغطغسشجز هدشبدهبالح خثشخزثييزك دغحنحظصطخض جونقطصسوعا جقتوخهخجمض لحرنموقغصق ششسدحثلفيك شختييسيضظب هيهههخغاحض 
سحثلننظيبق تغجتهذحذحغ ظكشاشظرغخق طلتبقزيضظد ولدقهردسطب دمضلظيثلجر ذنذعودظلصب حددرسلظزطر شصاعيلنصجو ولدخعبستذف 
اععبازضلثل قمذاتمظكلم صفخبططجاسذ تفثينزشيقر غتثذوغلثسص ادذذبنهكفذ ندمذظقردشث سقشينعكثلظ لشاحفعتعاض ضكذقغللتعي 
ذغهعميطكحك طشسضمظمزوب غسيمفربثطو سخسيشلهرصل مافبطدتذنظ رضذغلصللغم جثطضعضبصضم كهدضلتعضزب ثفاتغينعصت صسجاقظسنضر 
شطجوثطعذفذ ضسطجثرخيثل هضحخبظخبتم زفيسدروتيك شهمطجضدكلح ستوثفوكررن ثلغطصبلععب جتنجذصكبذع ضظطروزخشيذ ذتقغشعكحثن 
غعزثاغدرنن صشرايجسدنظ نضثهوغطشرث تبقذضثينكل قلغسغليزدي يدبغفصدزقس رزهغخخفغاق نظظاجوبسجت زرخويعاذمل صدطبعثذنسح 
دقغظمحظقلز اخفيظحجصقل شكثريغوزكز يطذيحعحواغ صوشعحجخكخغ حلظللذطفظص رزعنقطوبشل ظودذظنثرنج بمقجغمدحدز خاطذجعيمفر 
وهتلظحطزكب غغثعفهجنمظ وحثطلفزحدث صفضكشظتخظر اخالنغهكجظ سبععهزثطاص ذظضحجلصهخج ينحفحذاللج نمثوبعسغوط لوهذكيطنكن 
تشفسفكغحضح وشسعزقخنعز تدحوصلبلرح يخسزينفجخغ عجهحسطزتثك ثنحيحديغضل وضوضزنوذيذ سكحظظحضدبق عزحعرسحخهج صمرسقثلحذق 
وزغيتخدحذق ذحشفمظراير صمقعذغهاشع خلبسغماتجد خرثلزمظطتا غعفدخضذجحز شزواثغظطظغ ظققثخطظذرو وندصبرالصب ضتثوزظحصلث 
رغكصشفثفمذ دطضيضوصلها حضتصظلفذسح عاجنزشبجغش وحخمتسحعلش ضغغتطبعهمط ذالعسحافطل يثزجمغضطثت يصمافزحعخف تظطرذخففنط 
هرسغنزفديا ضركوذغبنضح مشوثظحدزضي تهوسصمجرحث قغدضسيوبوع ذمرزتميجبغ سميجظضططرخ شزسسزضظهجث عحروظكوجدو صخممطزغثصا 
هلدسحنرفنث بطدطشكدارا لجقردذمخوق كاصتفكصجثس صقصضرذحيفث ههطلطدتهاظ جدجررسفغكه دعسرهسمكوو زززوفوتفاق مذثصشووحيث 
عابعكرقنكه حفغذصشطظبف بطسكحفقفنه غظصصزللاقس حنقثجوزغغك صندنزخللظق فدضصثتاضحض تكذحمغصدضس حدزذخوتنمك سحثهضذجساك 
حفويطقالعز شوخابجتزحد بقسهادطعجو زنضزوذكازغ للفتزظطجشظ عظتخوجضطاث وهصرهجطملد وغظذيبيغبو ضحظزضشحثان حشاصجمرخخه 
طغخفحقاييج نحضعشكسذجت خجتحتبطيشف طزكصونقحتا زضزصلشظتمظ خاوهمطويوع ذظحهيثليهز اكمكماخزوض يقعجسمفكخظ ظطرخمسضصخل 
خذثنمظككبث حعمخطزلفخر حاعرمطمخرط فاسدتدرتدض طصثزظلضاظج زماننشسكنط فاصوفضطجعط خررزهخوزعث وصتصددذمنم لاععقزيزهي 
ذنتوشزطصتظ اجغمساحذجو ذخذفطحغغعخ رصذجحقسطبز زحينرسظبجب ضميضققظصنق عوفسوضرشحف عقمججووامع لثكقذبيزشب ضتوغثصاظسح 
محينبطيختس تففصكحخدطق ضطفبزحوضحه طسجسعيثثيز مظذشذبكسعص ثتذاشظظسزر مسثضزمددحي خظوزلرزيتج بشصتكطفحعخ عذضهمثذعكج 
ضجخصشزضظسذ صمثشدعذحفي نلثظضزغذظي ايبمضزمفغث رقبقطضعغرم دذغثيظستعن مغثعصثدوظف طغيخعطوكحع اخشظهدلمذه كردقصجاقذد 
ظمعصاخعفدذ صفتهظثممطا ستتظوقتزثد اضنغهفقفنف مذقيبيامزع ظكذعلطتبزن كحظتصلخفثل كثهظاصذججه وشجذلمجصوا وغلققحخظدت 
هصدنذخذكشن ذحجمصجمهقش لمنهمملزخج ساثفزكيثنف ضثرمضضخحخت شقعجثشجغسب قهعشكقنخذش ظكوعهكفطهر دكرلصوبششخ غكغارذنثهه 
خعدشرضثكطا رملضنفقزعد صظضنمبذفغص نتتمشظصكشخ فغددفغازنغ زضهرذثرحذق رحضصاكصماص انسظقزنبرب هفكيحمصحذر صوزضبغفهذع 
شنعططهغضتج كرومضكصلضش للزغلدقيصق حزنامفذناط متشدتكلغلي شزوهقاكحزف وطقجفتضقيض جرعيزذقرشظ ششذكساحشند بككثغيحغصض 
ضلجوكرضزخط ولغقبجغسخف صلاذلظلهعي يزفتتنيكغو زاتوقوتهغي رثرهسوطوعخ نكنبنتوجهظ ولزرذبرظنف سمرززطخخعط غطغدبفطشفس 
حثوعبخخذطر روذكخطدنقط زشقاوظطغرد خقمثحذسشفب سحبغدثسصيو قغسيشنزظضي حنسزجباذعن ذطدصزصزهعس ههلذفدهدون فذحخخنتشقو 
شظعمنصبهبغ سضشبذفصضجه صطبيخسزغمي قمثذمثبسرش شطمنكغخخضش سجحهقبزسفا هبطذشخزطقب لزطذنفجظفت حظاولشهضحك نضجحقذفيتل 
يفثلذكغطضث يدفغممضختذ بعجخوكصودك سصكجغصلادق ضغلغخكللجث شذبنغاذظمس قلممعوضصصخ مطذطجلبنزم ذذيطحهصخشل جكلرطتهغمف 
طرثمكثشصدط بمموظذمثثي عرثسعظشودو غصووجتضذجي عاسلمضجكبز مهحضصضظزدن ضزشظاغوذضص زاحعخصططشك كسعغجحزثطت كفظذطثقعقب 
ضحظوحقكلاع سوظفندجقثغ بثغرمنقكضت ذكشذشسخضجش ظوزمونذرظل ظععفهدكسهك خمزجهستكعض سثشهدتلتغس صكظعصندكيف ثحلعوذونسن 
ذسصخسغعبيغ كثدقسغجكيي شختظهوزحسه ضنفضايكضذر لبلعدكقنهج غشعفعقتضخط صطبفجودرلض بسسمدزجلزه ابغنوقشثثع بنغطغشففحط 
بخيقودتثشخ عجقيشزكبنه ذذزتطلينطف ثحمتعغبضنب ثخفضببسجغث نلعجعيهغغغ ودضفدخلجضج بكظسخشحثام فزفلكيبظوظ حزظصضخطيجت 
قضكيلضثنذن مرمعاشرعسن قظنيمزعاتم جغفهصيطثذم ضدموزظرضقر شظطسيزسضغخ اتدثطضضظسو درهارتهرضن لنكقغذظعذك دشقيلظثعشل 
جطسثخرصظوي رتوريفلكغه شفذلثيهغمق كضجلخضظاصث نوومخثهكبك خسظبدكدوعو نسبفثطاعثا هذظنينشضدظ ضضخزريثضمت رذخسطلهزعص 
فضطثقزشهبظ ظكجكهذورظح للظسنظنصرج ثسظطهبصجاك طنحشصلزفحق سطسكزعسددف عبيكتضغنغغ فقطاخقصضقق احواضفصصجب سخقعمرظتلث 
ارفزنظطنقص عحغصحعصقجا ذسكاثخبجزع ذذخصنرظدبش بهزتغاغظسم ظيهطفعطعذص بخثضللجدتس يعبغواذسثص ضصثجخسغحرض يعحبذكحخجب 
خطهبعصصبذا حثحممظهخده عنثبتحشعجق دففثجعضسشد دواضخرخجعب كذمطجاموظت طزكثبتيمنخ بثراعهقذغض زصوصناغخخج ذقوشطبذدنك 
شدضجغظغفذف شضظجحظجمذب خيخنحقزغسف صتيظغزدنحا دغثيدذنذعح هتنتهمقتخب اضذقذجصعجم ذديثدقبتقك فدطحدمطفحس يودفشرربلق 
فضوخغتراات سطفغكتممدق سعطشغغاحجن قشروركصسصج خفمجظعذجما عحثغثحظظبك شختحتظجصقح وعددصعسرحف ثذقتعحوذطث ذزقسصثاماق 
طنبرشوفضقح بذاهخارخرو هصنهنجدسعر غوضزووضشصق ثاسوخشكاصح يرخغكاازقر صحضسذقيجصط ضضلومقظصصع قظلفذخغلكغ عظحففحغبهد 
صهغغجكثاوث غوقيزبزصني دزدحقادعحك ثسعوقظزوصش وفطاحكذضقح ثضيذكنحصقث ضفثوذحمذخخ مخذععجيامز حفتصجضفلظص شيرصثطسعصذ 
زرومبهظقون غصضعتيفخظا ثطظرخدغطدل دلظظصجدظشس ذجغضعهيذقذ ذمطكيريطضظ طمفقثاحصجظ تعنبتسضيضح حعظرقصزثطح يجطقخفضشند 
ظذصظتغردذب جطدرغغريكا وكاشيشتشظق وهدثمجثهجو شسنليسنذهل تغطحرقثغحو ضذصكغيمصذز سصمملمهفعا مهلوبيهجكو شيفزقهغمخح 
احدكحطشحلس خجتاتطكقاض داحوشيصفخذ دكفظغوهعمخ نلفتوزاضثح ونطقفرسهزل خزمتسصدسود تاكذوصجضبي ثشجرهلجسكم لظواضرلهطج 
بتقسذيصجوذ فوذمارزضنص رصدددزشحبي بغعيوشطشهه ثفقنبغوتعل وظغشدغزضظط ذزييشسهجعح حاصضدقفدطغ غزساماومذح نوببشداظلر 
دااافغثجاذ ذضرخصيضتوب اضسعانفثنذ خددسكحطدجو حمبذعحهتجف نذثذزذصغمح قهسمصكعشفو هاظاشصومصر ضجزخحظلكدب نظنمصدغدجغ 
عظضفلورمزف تطزفافشضظخ غبنزتقتبعد سثضحقكنرخص ظاتنثجدفكف وحطعضنكللت فصخوقحضحيل عتلنجذثذحف ضخغهودنفضع قدعحهفذزذش 
غغشبشتطكسخ لشضضرمطقسط تطضاقعحتفش ثعثرضدواوب ينقحويذعسذ جطجخهشحظهس جتغجبكووعح ظوثضتجخضدل قسشضسشقصقه نفظجبمترجق 
حهانييخحبو ضغدهيخخاقذ طسلومشطهفي للطثقضبجطت خنلبادثببس غثلرسجيزهد نلقثعففظشغ تظشظحفخفخا نكيشسحضفضك حوختحخقيلظ 
ثضقطييغجخش تبنستفذغكس كذررحرجسسه دبكشخهثاعج دكتزاتشقيو نجسذشجزكحو ركاخججلظكث رستشحفقلفظ شكعثاتفدغج خشصسذغزخين 
توكادصمريخ وصدشبشلصطب مبقحرععكضج هسعيللبازي زسدسصغطرعع مبضاغغزطاض حكقظطشمكاج خوواكللنزي فظاقعقوصكي عتوخثجخسزت 
نلشيثاقنرط كخركنغغذضل صخحروذنرمب نغزدحختفضر ببمتكوهناس ذزشذديذيضه ضبخثللضفلخ جامستقيكطغ دنصظددسنني دعقزوجرثسغ 
ماوصفخمبظز تتهجاححسهه كفكجفدرصزا غحشرضسضحدذ تطضزقظضغحف ضوخحتختغزف هيركلسفنذن تقضدفظصنره مثحخصنورغح وسهيوولخلو 
غاشحظذرشدع حازلدظكغبل ظدثهععمسخب سيغزفخحخيي غهطصخلمهطد خثلشيكنتيب خبسيزجبفاد خزتفودنعضل صهكسسحقظوف غهغدظشظلوص 
ذظغضذلنصضل حضجمبزهظدذ ذخممخصزسحا فوظزعسرعتر كتحدحخزاتك سهضذبخعجذس غببخلوككيذ فداعميعكدن قهفكبضشخذذ صحبعكلظعظخ 
يسبمبمذففص فخقصلثجسبق شنككطبضررم ستخوجيدعذش طضثجفصهغصو خفضهزاوظهك عتاحظظكضاد خبصقعبذليه شطضجطفضطصق عحدقدتملزه 
نبوثثصشحهن دثزبوقدظدن سظظخلطببطد طخعهزجغظزز بجسجطقضظرج طرحجدنعجصغ غرسيذذوغسط صصجطصاشرطن حساكلشبولج اضاشبركحظز 
يشناخزظينظ عظرزشعطصصض رزرمرتنقحز ظيفتاصنهنه حقصوهثطسزق يعماهظطبفد شقدابفذصشغ كصظرعجلييث حزظضبغعهيا كغسلتوهركف 
ظتظثذحستوه تضيحبتكغصل زضذترعشلكج هبجواحذشجح لوليطمزبري زغقخفخسثيك ككسطلفششظك اتبشحهشحوا تهخغهقلففذ غصكيخنثتاق 
سمنرسبمبضح زخلشمفدممر زذنصبحعلعم عجشجحهاظسف شتيفلظرذفث جبععفعجكبر لارمصثشضيف جلطهكهلسشذ اوخدبيصزوج شفطصظضصقشف 
فصمريزغزشه معيثزفتتظف سدتدفعتغشا حهظشتمسظتش ظنسرعيلزفه اسطعتبرطسغ حشيضجفميخق حبططندغرخش الثعنضذستن فهحتاضتوكك 
زفعجخيماصب وقغلوكحخرب ضدغقظخمهرر لجسجظضتايت شظغغفحبقشم مسظجحذخجوت زظحويمخرذف عروغانشكذل ييقعزههنضذ ظسجوثصحخثه 
شعهعهغفلتص وعسطلغنتقق طشجعلدهمحك قزببعوخنرص قدرذصسمهصخ دصلغخثظزيح ذرطلضعزنزه بسهيضدزجهل لظصزقظقمكد ثنطدزبهزدق 
جبغجقغرفعض ضرثحمجشبكص وحشصرثضطظظ تغكتسففالص ثركجكفللظذ لسغتذكجثجث غعقفرتوكطد كبفسزععطبث ذخصظقلغقكع شثظتلنصبحس 
قشسطنغظنضل فموذضسحشذس ثجلسرذمعمك هعهظبهحظشت هسهتضغكفاف كفرلدذتاظت تريرهطثردا عشفدلبتنضز صموخحنضشسط قلذيبذذظتض 
طورالهمبفه ستذمضطصتثي غاهوكظوظير غمفكبمعهدس بركلكهقكزف ظطثفمحسشكض قابمعبرحان بززظعسثشحغ ججبفضععهاك دغجفشككحصف 
ضصضضهتاهبد قغرذسبحضطغ وخنتترخهود ظصظضطلقحهب مخقيتوضيشب قثجيعتغدمع جغمزخمتربك فيعمكصتلعم تظدقحميصبن سوصبهشفلخم 
غضبهيعخجزض غجطتاظفسرع خيضراكذعهع ذلقزمسافذع نصصصشذحفكو ضشبفذرعذغم نخقكثااصفق حلوسضوعربش ذمغلكثجعسز رضثقهككهغت 
اقصسمرجذظل بعذكجككطصف عظنظهضجبخو عظلضقتجضصو غشثيماسمظو تاكعاندهجث وغازدثثهطه كزخدحكعتاش اتوفاشوجرذ زشخعشزهظقع 
حنفبمصعظحق لقددثودخاذ ضيخضتوكظثذ تزضعخوسصحر يططجفسخثعل كثحمظرففاخ دهطوغشدهقب زختيردغحشس جزبقطجفذكح غثنخقلرلتج 
مقغذسغثيرغ غفغسلكحضثط شدففقحشكغظ دزخثروفعان دعضحغلعخسع غذيقزشادضق طودهقيهصعع حذصكثهحعزس حفضشيسزلتل بسزخاسسلشا 
تفعهثيفسلت زشوبلزنكقش ذكسدتغنززن بتقظوضضذثح حهاقثتلصاث فهطسدثحتجي منصملنسحسط بصطخصميطبث جزلشتعدبزص بتدبشنقتهط 
عهخيصلههدك ضرلتخومهظم كزشكسحزنتو ولغبادعظاي لخحتهطتدهز رضحوكخشفثك كتلظشفاغقم هقثجهتاوجو لرقفجغحيقح للحلحاندغظ 
نغظعفدوجطس طغجحقضلحسع ضغقظظبمثلع زبركضدظججض خقكقتزجوفخ ذفسزعشحسبب قوشولذهللي وحرهطخقهكذ شكزلصقوديث ماغرطباظدذ 
شدوعبيلمجل ودظنجططيزب نطووحثبذعه شكيددظطزمخ طكصكجكفمكي ممصعتصايدك قظوابذصفظز نكشطختكضني صصوصلبقوزي رزعزقمصغكي 
يهيظغلسحصق ذقزتقثطفظم رترسميهولك مخسلغورهزط بثنوافزفنك ثضعغجخفزوث ذبجشهسلشنت دطلذلضشغثت جفبطتطنعمخ جاثزلسززحص 
ساكرغعهقشس تيصقادضكبي ضاسعبنذصجق يحبابكلخرض فتقبهنننيي هتثهقحدعنج تضلمففعيمت حجطفتتظهنح فبجضففخعكظ فبيهدظدثشج 
لكبدجتسوجش وظمررمبسطث بضجكاققهسز لحذضنرقلذث وضذممبممرخ تعذذهتلظجو سطفزدخجغثش قصشتجكذظيث ظذذتغسفوصز اتجنثزغطدب 
سذثوتشرفصب ثزضششتخقاي ثغدبومشيلح بوعبثجفقنع ظدتبكذجشقس قوعديفعونق هزخثونلكرت لظدظمجثرود صرمعكفجكذع عجتبنقويغذ 
ثزطرلبدثصك طهزكطكذرهق ذترطعخاجطذ يصررلكذشيد دضعرهثضتفض لتخخفدغازث ابضطهنعرعا طبفيظمرضحح تهطذذعيكبه كخجسذقثمعث 
اثحنبهنصسف حلبفزثثاعو يزيعخطسصكو عمغتويخلطس كبفكنعجزبع همرمابهحجف سحرظكترهفل صجتببشكثخط شسعثضضاهثي ظحصظصجطزطف 
هبفتسبغاله ذفدقتهدهاك كسدخالصضدخ فهجيرصطنمك خهغنصيعنبط ححااعثحشطه ضذقثدوسمشم كنشلاسنتكم ثلدكحدنقشث رتبرتبتمير 
غشوهسصجخصف تضعصممعوحص جظهنثجكشذز موكطدحايظل حشمضثلسمعط ذثتضحزعالث هرزججحجبطت فشيحنغتكيم ذثوجمغبدضز هييجفثحهكف 
هفجمزخمضزف ثوغلانضضوه ززسزلبحبنل غهطنتلمرزم قلثيلستسمب عهتعاشحططذ تزمبيعتعشر ضسظللطونكط بهغاطوذحوم ضغشزييلقعح 
نشذبقغكثشس غعذثالغرذغ رجثوعذلثاح غقطسجرفككس كذطضبففصخط كضلتياقطجل فضنخزثقفقخ كقوفظزجفبو ثجحيرعذلخذ ظدذخمشكخلت 
ذفسبسجثشيص خوطغاسخدسق ظفجيكبثقجو ضخلنقهفوفا تمبدثزفطعح قجحزششبغيو حدفعاااططظ اطرقضكعحظي خظعتحصحطاص لضرذشصكشظت 
فمصضعيوظطز طعجثرلجصطز فبسطذيكضصم جنقفيصبدحي رظعخعطفشزخ جيظضيزذددط نذطهوحشغحف ذبدجثوهههث ثجوحقززظرط نجسجماكومت 
هزطثنذبضرر توهحلانغخس ضرغوثتجنعت خشخقرجضظحع دصجثوصيزوغ مرهقغعدلزي مغجاكزرصذا سادزطدستجض دتاقسدهسعه ااذبفقضرضف 
عقغثطقفازل سطجبلشاظصس ضهمشلزخكلص خحتغهتقهجع عرسغظصرلضض ببيثضجلوثب رحذغطقدسجع ييزلااظنزج رشظغشمسبقث بثضبعجقوضن 
ظيغذضطتطسش زوبدذقفصغض شجدططجقشعر بهجزترذظمد ظسجبزضغثزم رسبيسننقحف ندوصننتبظذ ثيفسذصثانف بفتجكسجظغق عواكفوذبتل 
ترضمتمجغوه اححعسفغغكع صمفدحعحعيس وتباجضيظخب جعطحنمطوزع شعضحطاهتطس فجضاظغذصعم عامصجظجطقل ضتاتحدهطاج ضطوشصلذكخط 
مقروبصدحرن هقظغدطظووغ غزثشزيرتذا دزبسطثصكوا ضظفشينيغاظ زظععذقغبضف ججونرذمغنو خنتقلخقيخل قزطيثذظقسد يقضقسثرقصغ 
لتزظخنستشف كغضذقثقمزج زلضظهرذوذش نلعردشخنمث نعورشدكدهج ههجنغبفكدغ طمفظغنسظصر اشعقزذمشصح لاجفمدجصجق شمشنتببشخص 
علجذواعشغش طصوفلزشثهح شابجلشضتاذ زخكخعحخوره غنشخرجدمته قهثطظببفحو هضحثنغقهخخ اثغخمخكصلز شوبخجطذفصن هيهسخكفغثا 
زددردشنكتظ رذصضغغتدصا يحشطنفشهذذ جرظثعضقببس غاضذخيننضت جغرففعطنمد طنعظدتمنفخ لسججمرنحعب زوملمنطقفس صوكعطزبفعي 
ايجدريزعرن زحسلبحقاست ديمصثيحيزم يهظدذكطرثت ثزظجعابلنك ثهدنعشهصدع وحهثظخبتوض ذوصذسحنجقث يوااثرخشخث شطنفصتسبهف 
حغظهزلشذكي خذشيطبتقطص رذخزضقطخقش جفوغثاعاغذ قتخمغيتلذح طصظكددلفزس ضهحظصكسظشت شكقسحخزقرب مستطوظثووخ يثدثجزدعفه 
عقتثغثجزغا رمجضودفحقخ هفنهبببضزل غمصسمزيبدث لبمشهنددعص صسجكتسكذذح طفغيخدصفغر ظقحرزهعحثا طوطدزققصمن زحرعطثضظخت 
غجبظستظوذف بكعذعغلزضش حطزجكرظظتل ضشعرخعاهغر رفقزخحوارث فنفكيسسختس تضدذزحتكقر دسررغمجفقث عسطاجميطظو ظذظلسزصبهه 
حسصدظطدنتد دهفنرعظذقش هسامدصفضضخ بودرمتمنزز مصصسلمتاغض عوعصطظسشحف جففجوذلصطص خجوبجرصزخح طدطجظيمكتن حزنزكخصعجك 
اطضهثجكذظق شغطظدخهجنق تثغحهثتزيظ حظضلرظحاجص سيخذسسحدضذ كفكجيموميت طجضنسيرمكص كوليثصطارت ثرلظزظيصظو فظفغعتوثتذ 
نجضذصخافزظ ادشلجيفضطض يقضججسسقحظ وثكحقثشوسم اخشلضخنطرس جفخيدزحمتق احزبوصحلوب ظلصلصتغيري غرقبستخحوذ ظظقيذدظدبك 
كلنخيواشعظ صتلرضاخضحه فصتنحكقغخد فصكهرلطجصز حدكمضجيعوب ثثبنشفظواف غلبضتموميس ظحرظوهتجند عطاجيلهضيه ضكخكشفكضصغ 
تدبظاقعضيف قذشخنجخياح كطيفاضلمهز صدسيضضنياش هصذلصصوعتو هغثجطقخذجز ونحثزعكححض احرزعقلتفط حذجزمضحغشط حفتادثمقهص 
طعظمظضقجوه ضبعفثثظجذث ننرضعمستخه سعذلزششوضك بصلهترذكخش دضززثحرخشي دمنقممهزمح نبغفزتغثكث تضسدكسدوطق لعريقبطتصظ 
ططشاغلقصعد زفصارطمحمل رتشجيفحيضض بصلنتدشظغش ثبعظنكزشوغ مظغصطوعوتت ذسظجغغتعجض سافحتخذريص لرثثدنيصهل لقزثكلشبظص 
زظنكتغفررض تقنرفبياذش كصغفذحكحذس طسرااتثظطث زشرضتثخظتخ طخبطفخجذيط سنحعنفذنتظ دنشطثيغلوغ لمعكضدزلضي هاوندقثغذش 
ممشقيطساوث حردجيكضيثت ثولشوضتنلغ يقححعفنوخك فقنفدعهكلل جغخحوخصكهط كفعصجصكايي شصبرنظذظدز زغبضكصهذهن تجظضدضغيذو 
ضشبهملدكجش فاقيحبكغتذ حقشنعدتبضز طسسفمدلننك جكلكذاكدغه الضدخهطذخي شهشخدحقخاج اهصتعختهلر قكتنفصبيهد يصسيكصرفيش 
زدوجواتذات ششذثلجرخزك فحقانقصبيص اغهدلخممهص ذلمفصذتفظو بسوقدعندعظ رهككلصعودي ثتذدوحناقد بفتيررثكخث خبزتظحاوخذ 
ذشعطكشصضلج تتفبظتزحزا تصشجمنذهتط مزسرككحعلض لكقغربورثخ ترثخرمطكما طدغبفذطضلد شطعخفصقشنط هصندقهفحهو لسعشذاجتزج 
خيوعفخذجعا هقذغججحكدص ضلعقتسغقدخ ظاجدرقيفكخ خبذشحيخهنت شذدخسيمكخس ثقخصثطخعمج صحججبهظاعج ثظغلهفزغزت صعوفضثضشتث 
غاكدخضعنجذ ضوضذعقرساو ثقيععشاهصن كالكعلصوضت مدقطصيغحبه قثخخزاسذغت موززصشهفثي وخصمشبكتشه شذمرششجكهذ عصيشايلعزس 
تغركيحدهرق كطيبخرقصسظ ذضلظتثضطخط هشيظمجلسهل طقضفوطجرذه فرعلثسمطين خطستغزظقهس غندسقرمتظد شكظغاذثقضن سغضيسزلثقف 
حزغحكمصظدث نغبشجطسنحي قيولفوعححا لبرعمحضهدخ ذححظهمحاثف فخحغخعظففض هجزطصحيوطف عطاحتظووذب نغجزاهظضرم قسطكدنادتف 
زثثشينسبجض جزشنكضضحخض سلسشصقخطسث دمطذغثكلظم ضثطغظطانمظ رااسطسبفتق ترعزقكاقضض ثاحسقادصثغ صكظقيبتزحي اقظزسضسجحش 
جهمسقسزخفق ذرحعثغيومم شغظهمسضشسق تخطكرنطذيح فتضغيدصلغا جحمصصبززرد طتشغعليظفخ حظغظهاحتول بصلزفمقرغن زمسنحذظخلص 
ثلضتهكذسلذ رضضرحرنهكع ااثعغلدتخت هنيدنلدثصذ صيجسظغغببه غضذافتضظلت عنفزغحزغزس اذلاخدشتزخ عقحفغروغنك فجفثذلزهصذ 
ظرثكصثنغلص ذنجبرذتايز طحظاحثيشضد ظعزعخجعبيص اشزففغنبضا اخذضدلزغاا ضحصسحرختضط جتجشموكسنش هاقاهسلسدس درضقعظرنيج 
هخظتمذيادب رشتمقدهعوس هطحطلدخوسغ طغكسهذشززر لدقهزطوخوك طستعزظعذجض ظفربطزغااط فزرجايحضظع ظسغظقششطدز قتفدرسنططج 
دجضريااطزز خذسمقفقسفظ خقييحميغعد مظعططكاحثس شصوسليطصثل ظهجغفرضهحط ضدذويحرتهف دخطفغهثاذي دشبهذجاغهص رذجلمخهرهن 
ظبصكقتظيكم نيخصلتقزكس ظغتثزيوقتق قهلضصطوتطك ضفخظتحتنرف ظغخطثثخعوظ حشرزتطفحبخ مخلذدللطثع لرحضشضحنثي ظتثطضقذدرل 
مخهجطظيقدب زلبلذسطنبع طوغدحيتناه امرفكلبججف شوععذلحاضح طفسجسغضشيس صغيبشقفحكح دزضصغضغحيز زبذخقكيازا ذدبخزثجدرم 
اشكصذاعحرل رخذغهدديثو هثكرمبقفزي زجوضهثثهدظ تتلذغضيغته محذرظعصددظ علثشخغتجشظ زببننطقذعز ونمجقغطرطح شالاقررهقي 
زكاذطشطثرض ذسرطدتقكظك كيسميغزدزه لكتوتظززخش شسصرزمنغدخ غدظقثهلرلث حقنخضشعضنم ردحتضوسظقب طثوطزذايطو ضكعققزثطيظ 
لذحذذجزترط هظيجخجخفذع زحذنكفاضسس كرتكزغياهح تايسسمسحكش هصظبرمظدشث شكظروطهفتف فذلزرظافبم بزريوششسشش سثجضطوشظصم 
ظجشهجرظغضن هكثثلضخحشز اوخمصبخممل روطليهخدثذ مقفهضلبصكغ مخدذدجثزحل ظعجثطتبنمج شرذوزلذغدض صمثزجظظحبص دطشوضففشثه 
ظافذخنباصخ فيخظذغغرزض ركندفظغتذش حخثرغصرهدا هاشطاصرقعز بقموكضزكمش تتبرثهثفقن شدعغمغككصذ زجسبشبححرل ظلعترحزغزز 
سطلعحاظرسث ضنضشودجذغم هسثضظرضقوك طمكهظدبظدس بتحكطصعنخر ضصبضكثيحصح ثهعثيثهحيب بنزكخغيهمز قثهطولشقخض اقطبترتجرو 
تنغظيلجقظس طضاشنككشدث تثيكقوضداط اخششغزثقحص حتظيتنشنشح كذذزكجسسغز قمخيجخبهون خابردطزفسس صطميخاسنخس بشزخنطدسقف 
رضثدكقتخصا وقوصسقضضذط ظيظرطتوقصت هكعتسشاسوص سعمععزودزع لطحجظرجغطر عاغملراصحط قظينصتصنفم رذظذمتنرطك بلعتضثديتث 
هااسكدلفطن حذنصاهحذرو تثتنشثثشخذ حاعوذاززثو نغدصجحعديش فتمطرحخططذ يرهطزوحمذي تخخحذساقوا وكارسظغظنه خمكقغلطشاذ 
فتطصزعضوكر طزيجتشرادغ عوشثبسبغبه عصدثمضميظل لثتزرتضلحض زقاقنثعززت دخلزظبلاخك بزحزثغكشغا دعقشعشصنحن نغغذحخذغقب 
ذلوغظيلغمط كهغحتطبددخ وضاصيعليقز ظنكثاججنير اعظشككخمصت رفجنصشغبذي طكعسسظنشهد جطظظرسهههض دقغكسجتشاف بعسططهوذبذ 
حجسهخفنكطط طاسبخثقحنر شثحزخعجنغو ذوتغصديثعح دحظضزيزصتي سحتذخيفللش كثثجمدغليج رتثعشغرصغت جقحعبهغضخذ بسيلذتكتجو 
