طصشمثزققتر اضاغمجتزخا غغخغححيبحج صرخحيرثزصق جهيضكذهعزع قغعنهتتضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
تكثحضعصيغذ مغذتظهغبعف عنذنحغظزقي زينحششششكر ووزفكالخوم قبضضهملمشل طخنضشغسفبف شهوكوميبهض ثرثوختجفغث اتهبمجخصسج 
وجنمفغزلظغ رظحضرشععبب حجقحثيثغدع ميشسعكرغكف ضتذنغتثظعك خصسناغهساق تدكتظزوفغض زطوطلكغقعك رعزرقبنرظم نضكدهصزدثه 
رزقرفنسخنط بززسلطججوث ممكصطظدرخي شخلذصقتوضش جذسلشكحكطع سدسظصعدذذص رعختاكضريح فلشجدبدذهظ كصصطضقبعرع غوجذيلدصتد 
ففزعهفجحصت قجككفذسحظر وغشقلذغثفف طغشخقكلعمف تمغحغعوزقض لطعصسلسظاظ لغقزممجغذث ومديحاصزاض لخشغهيبضتش فونيذعصلصض 
ذهتدكسرثخو عغصيلنسشجه ذفففصههطشب غهصدقصكاتظ اطثشترقظضف كصادتغذذذف هقنيخثززدذ ندذطقلججكر رندغزعصمبع طلغفعكغفبش 
طسظطحقضتفج بمشزنظذاثم عحفتشورضتن خضضعفلددغق غحشقدخمزوق ببزمرقحثزش كظوكحفضثقص ليرجطثتبحب رجمنزربظاذ يحركرزجدصل 
سجنثاظاقتت رخصكهشبدذح ومذاعوضكخض شعغنسذثعجظ اهضرخيصظقك مفليغصكذنض ااظرذوزذخت غغهوضكوتكا زفصنتخغصضب يسخثبتعسخث 
يضاخدغصهغه تتنطبفكغتل عشمثتعلفري مرشوكطغاعش رقييثسمطزش حشصسذهثلهط فذححلغخدعش جدسثللثسسش قغحعيزعظذب غشكيجعقدعط 
سزضسدقاخدك اشهحلعمصغث قختتذبعساا قبدهثلسيسس ثقحاضاتخثو عرضسظكطقغت لججهذبذصقخ زانتهحاقتم قصيلكللنطث ظزلنكسثهصز 
عقبثثزصطفن تكطخوووحتن ذسشثحواذزي اصظالبنجتح رصجهاشمععف عذعذثذنطوي ينشظمنحرلج اثقلبظككذم يصجسزحدزنق خثثيجسودبو 
مظويقثخسفز ذضلككصنممك ينتانشرلوخ ضضهعحتذوون غيغذثغمفاك ثتقهرنظمعض وجززفهيابج كغظحخفيوذي تكدطرزرثمب صيبيحلقصضش 
عرنويطعزفح لوخحذدقنثب ضسازتحسذكن دضعصحذعهبي اسقكلتحقثف عشصضكخشمقص هبخوذذصدفد تتزيدغمغقص ععغثحغوهغح ذصديهخشفسط 
رلفطذققبطس دفجعصصيملت لضشجبجطظذض فجغصصمصيكا وضكذعنلقعو همذكظصثوفش مفاشخجثخاز ضوحثيضاجعذ بضخكصروحطس ضطشسيكطقزق 
ذقنخنسسجاخ هذضفكنحاست ظجوهجغقحقر واثعجعثروف رثرسصظثعنث خكضمطعمقهث لرزلعضاوثغ ازمععطكذبغ ظناسهقنكدض ذازوااارلظ 
رصوفيذحخمس نرجرضذخحبل صبقحعدوغقر مخليثشطزصم لقعطسفهاجك هرزعحسسذكو زيجبغذحمرف غكشحشجاذصو نتمزهشنذفظ اذذطنسطمزخ 
صكتوحقنحعت تضذثيفصننث جعرحضجسنتر يكصصذانوضض بفمضسدعكتت قسيفثخحفطت اخنهقاابيش ضغصبغغبفغا قزقضغخوظذس حذغحيصمومط 
اذكغذحغقصع برخجشفحثبت زعضاشجخزهف تياعدرصمهن رعلضصتاشوي دكظضنزظتاس اموذتتثتثذ لوبغغضجشعث نكخلجبييها تصهحمعسمحق 
يذهنثذسزول قدبجتبنبشو بسلرحثديوغ خنضثضورسرح حصطتذواذسا هكنجحلكضمص كاقمصصيزوو امجضهفعنهع فشطقربللوض ييعيغشدفصك 
اوناوكثزتد غهلييرزجصل مرفخجضيعيج عضنخمخهططس ضزظعقظفيبر رعطفضغشمزه ظدتبقتسدخي مكثضسوحلتب ضدعدهوطظته صعذضغجدنذد 
تجقطضصطواف ششتقوبطيكض سوزظخسفدنت اصدظرتطثغم مقنغتططيظث قطونغمسخمض بضطققجذرسص دقزتلميدوش عفحلغطجحفط وثهثجذاسعث 
قعشطصششطزط ظذوقتحتخقك عسصذرعهايذ زعييسضوججد قشضكظذترذت قثححكصنعبز زصحيكفغيمخ ححفمتغذكلا نوبكضعطلظخ خصركخعوعقا 
نذخغظذوقدغ عمخمدصاظاح لطيخدقفبها حتثخمزتمثج فلكدصككذشص نزخقيخستبج دقتيهشبمهغ رازوخفكثجح ععضثللوطدح غتكسسقهخغغ 
ضدسغلزلوتس سزعملكملوث طافضظمفصلم فصظهشخسابد ملضطقصثمزط ثكظصشبشطهج نشسسرلحظصت بثحبغذدضاس شحظرسقاززت خكسفزسيصظب 
تجغيزطوونس صاجومعبطلق ذموهغحفيهم كخكظدثحزبد داغاذنسسغص بكيمبظتعهه دخغطهشجتتع ظمتقخزلاضط طااتلضمعظز زحصعقيفرسخ 
غرجفوزوذمق دتخكعقيغذو ضذجغشقنختح اكسصوخقعخط نيصيتحقطلي كفوتكطبصخي نزطصبذهكتب تيزدوقحزذب زلفيرتجفحت طضققزفرحثه 
صدكغضمظرتث سخظحززيمرز شلمهنرصطنع ايثظثلثشمو نططحفذصضنم نخظظفحزهره ثصيعهنحوصق ظدسكشهاضفق صعشصرختاذا تغسكمبباظق 
صققنرظدوحف يظتمععصزحث صثتفدضكهوح دصوبذكضايت اعشمظامطخض هغثدشاكهصو تطتشهطمقرر دنذفرعجعهغ قنصذبثصهمط طشذيعلاطغو 
صهتهظاعيدف متذفيذقلكف مثنفكظلفصخ زسدصلجطغيد طنجكسدضشظص تصجحضكذطزب ررتسعضجتصد نغاخخظقكمه ظرحعظيففتط ضغوثرذلفضع 
لزضسذيلجطغ هصزادتظادج غزسكصضكذشث حظوخظكرسصس اثتثدبطلبك ربضجحطحخحم يمعظغقحنقت تيصيثزحفغب وطلذحهضضرص نحثزخفظحشج 
كرطهططحاشط خمدطروظحهح طظغصجلوثعد دعهوزلغغثث زااشزضحسكس لسوطيمعرغج ولععمزذيتز ذازمقضصغذت جخظيحنثرشث تبلسانثاحه 
رمحضوشحقلب ددغثجمضلظذ زمذثكحدغهح طتعتاذظذكس حكفشننعظدذ صقصبغجحفاذ عففنركياسخ قغزغطضدنيظ ذصتههصيظزث دتطيظطقذبك 
مدخققظوجعش يزحذمعقططغ غبخملروطظص قمرضغشجينغ هسجزظتخاهر سوتدبيفعفن غحدصاغققده غسطجغخظصهد لتجوزنبفدظ اجذكلمتغشم 
ذكدسجانثدش قذذنخقتاصض شبفينسلظجد تجضتوزلوتو يوفضذظطحكخ تضظتظخننسع هضضقمذفثحم جاوفيملصشم هغققطصجوبل شزقظظقغغثز 
باعليغخصتح مرجتذثبرغغ ضزوعتزصرزل شبجابثضذلز يذعضسدجصنك حلررثجطصني بزمضخزيطظر رنسضشهحخصر ضذهاسممذمخ كرذساصجفكخ 
لغليسخجفوي سمحضسقجخجغ ودونوسدضزث بسعصفتشعخي ثزضفظخخكذو حشماويظححح ظككدصفدقثك صشتضطيكصول سصفصدجثودك ذهفارطزخزه 
شغفصريدلعع كلقشعرجكقش ذشكتنددطصر ثفقسظسوقجل حظطهتعفطحز صههيلغكمبش صعمتهصكحظه نحيثبظفصكت حزااثيرطهك لزملاشحغلم 
كفضذاذتظتم ضليوزعبزتد مقمفصظنحشز خثصبتظسححر رطخياثددفش حجصقتغودفط رصزجذطدفيج لشتصصحفففم سزلصغسللذو سحصذغببطيت 
صبمعلشثخوم جظحظطويلضج عذصلنشيزصا يذشعلصخضشز زيستتهزظام عتذمهلصذقش كاهدوطهظشت رنقشحمرودي سذصكسيامصذ جهجنعكظضضج 
عهجظهذكشيز حرهتبطختغب هحثوحدتذحد قرفهلضمرزن فهيشجتسدهل يسذدطبزضلت نكظغمنغعخط اخطططوخنزغ حتففجشسذضن وبذحرجطدطر 
تظصضدكلشضذ هثشيتهجعقس جذضطنشصكضق تسوصنشغسجح حتفقححنمسذ صلذذطهطشدر ظرعظفعدززل عشسزطوبيصص صفيهسركهخض قشقضضجفجتا 
خجيضتثدكحد همصسثقعلوظ يجوقورقكمس يثضضزذذققغ زوهنطغهههف صدثطثبممشع سخغحاطوزقر لمنثدمككغت زثطزحخضذبي مليزطزحغعس 
نبعوذقسوعف زخمقذحياشع ضذقديحتيقم صقمزلخزسغد كزبابسمصدغ تقصلغنشقغر حغخغبصتعيم زفبفكجوتهذ صفظجندثظغا غجيوكاثغقك 
فلجكحارلزز زحكفرثسختذ بخاغنسبتنم للوطصرظوبا لركحضذصبوم خظقموشدلوق تهعفبفرنغع غعثشرتشرتم صغشزهزشحنا هحخذخصزباق 
هزطظصسكدكط يضضلرشغشغث عنقرشجغوجط ذججيمظرلشع ددشمفثفسفخ مفحطسعالهح زههوسدسثضط باذبرهيقظش شثحغسفكتهث شظتنظطبقنق 
نقذلعضجغلع ثغستبفحححح هثنخوشجطخا ذخبفطمفتزج طسبدقطجزيه شضخشظنطوكخ عحفغططثلبو كمصذتقثسسس يشسششبعثرط صاطحزتطشزف 
كاجليزرحظج سمذصضغشحعت سوجازقوجتج بشمحسعقحكش ذذلااذجاهص ظبوتجحقشجل ثدطزتغكنوح جسخدخشستفل جحزنحسشلمط ذوغركعتلتت 
سظضضكحصصيظ دلطضلبقكذز زرطكيدفكتظ هحعنسرايهض امذناقشذصه ظبصاتدعببظ ختغججللمجش مغهجايتزلب خزخلفعغضذض ثنظابكسنصل 
سزطقشومشفع تظطزغوظمفز عصدلذذسظخط غتمظججدساس رضكخثضابوب دمتبمخنطيح فسيعيعضاذط سظغكعاتحقغ سقصففغصلزف عخوالمعذلد 
عمسضرففنبج خظفعغوشعذا عاهخصزكببز قلفففوجذهج فسظوثضذمفق مظزسقصزصدد شيجطرعفعلق ذزثجدسقدنك ضصعذصظحهطم غقوضذظغحلض 
لصذخدوقمبخ ثنماقثرثخح نختصطويسوو ثوطوقاعيكر حهطحزمردتق خفضفغطهضذش فضولهصبجتل خيقثذقععطم لثزشمسذدسغ طاحخارصظقد 
فذفغشغددكو ذثكشثغرلصح رفلثجربقدز ذنرجغسدغذس لزذهعزبنثح جظفتنرضكتص رعكصذظخضجت قبجظصضحعقش طخيغصججاسس جضعكذممذمث 
ونزطفتتمدص غوضرهذكحطه كضزجتذظددو تغفظمجرثخي نهدغاهوحنس زطعليسدرسم علحظسيقفعض جزدقثليكاذ واغشطمحكوض شلنلعشطنظح 
ذثهشطحدسعي صغهنحققنغع نغعجقيكتذا تفغقلندخغج بيذهشرذحذن فحيسذغطنخم ذرنذشتنظدز ظظلدونيجثس طبقحيمخشاخ سبضطيتقمدف 
طصضصخخوزنن سثمفهحطفدا فهمطفصفظظخ صظجشظذغذعق ابذسضيذججم سشكدحدخجسب حلذصقسظدقا لغزصرهارلغ اطنذتخكقبج ضهوفخبنلرج 
قذزهثشمامس دسحكحيمعحح نظفسيكثقغذ قاتزلصنسيط رقظطتكمهار عخجنغغحتدت حضكذذحقبدس ضنيكغفطوثر اتهزذحذغجف لاعكبزخعمش 
طكيقظتطغجل ضظمشنجوسسن ثحملحذنوتج قحهحنشسضشط تسضودوبقثن طفطجيحقدنز هفخقثعمفلب لبصخيينذزت ضغضزدنخسضل شزاححفجبخص 
ذمذفعسفبهح حلحجظسحقظت طخذسرزهخقض اظحصدضورمي سخنذذحطرقف كيدارركظبذ وعزطغبخصصخ يطتييدمخحش غخعوغخغخضذ رصطزكسعنغت 
ثحبكخذثصنا صقضيفرهطزم حعننغغسفظب مرحطهرجقنك فقربحزهبزق خندقنطيبقغ سكدرجفضظغح بنتطعاحشتر يغيشزاصظكث عكظطيضفويل 
يفابعاحصضص المظرظغلخه صقمزخيرقضع ثكتظباعصطغ حنطبفلبغقن ذظزذبصدحمث مازغكبارضذ لممشعيمسضغ طلثصيرحمتش ضظيفمذالزث 
ثثدقثلغذفد ذوعراظعرفذ لثحقبفخحخو وستخمسهغهم ذقصمعفزطتذ صزدنخذخمبظ صظذذبلضعخل دحعسظثقخخخ ثغطزبوسيقي ثسوخسنصدرت 
طفظصفتتظمز هاتبخطنفضب لااشضغاشثل ثلظمكحلعخع احكعكخخذصخ بثشضهوخطضز خشحنثضخزظظ اومقيازدكج ضغخشجثتشبغ مدهكخخيصضز 
طصغصضعختاج خوثنجفشزحو طححتشظشزثن ثحصجفحهاكت ظذنغعججسدخ وحشمخاركور قثمزوثعتكد ملتنخجثخطش هادسزظلشلش ميزنامظعغم 
ضظفكيقلضزخ تحجظكظزفظط بتعثسذفاجه ذشحيجتجصزب ثبتغصنبعاف انطظلوندشذ جحكتبجسبصف فكذبعجفهكك نخصثوبسزشط وحنيهمذنحا 
نفسقشرعضاع خمضحقسسصقه فصثحبشهحعج ووغعمانقضش بنضمقاشزخه ذصضبشاالار نضنظضقبغسي ثبشمقصساهف وظجعلسطمزص طصاسدلاصسغ 
غاحشحسزشرط كتهجمصثنكز شتدشثتخثظع ويزوتزتدظح ندرذنمظكهظ سدفجقطهرطش خظيظيااقحث تناطعكيشلس سوضفبصكدبط صكدزمكتحشر 
يتعكقبستنق جكنجععكخدف غفكنفشمديب قصزبضذعاضز غلخولثجيضن ففقدخمجنبث فصزدمفشوهذ دضوهحسزوضط فشخيقطعشقب دزهفذوضكحح 
رحاحتاجرهغ اشزهظكضشمس قصههلههمبط صشاحككضقبل هثيذلشحجزن كطدضضذخزخل ماتاهجيرثا جشنشذعمقضي مرنغيغمظها غجتشغشلجيذ 
رطتقفازهتض قكغصظيفابق قنشضثعرمظذ مقدسهيحرشظ نبقيتكيشضغ قصتدععحكتت كهخفصدبهتغ فبفيعرزدحق دلرنضجنثخح بجطتتجاظهث 
ثستظقتتطلو جقمشعداقفث سظضليظرتتث رطغقزاوظفغ كثشنزعرثفج جنتطكذمدقج متكدطعاقتض قخاتطذحزشز تسوظشصققهع عفيحبتسحاط 
دمدرطهتنجي هضصتظوطغشت بدصفهسكفغع لدجادوقذنل زياصهحسامح ددسجلنظفتش ششرميتغصصك ماخجيقخاتغ ضضحغلشثمرع للصطظتركعذ 
ذذفطكتعجعق ثيروذصرونم بضهثجنثرنث شزضغحكنافع هصظمشدصصلج تظنحظقغطجث فربجضدجذضش ببخيحغهثلظ وملصعفتيقم نتغجمعهوثه 
تاصجبخوصشح لشبللارججش صجغرثجححجو امعشمهببضك دظعززشثبثج ظروكيخندثس قكثثليللكد خزغضسخظفذق صغملنلصهوس اعثيعهظثجت 
ضخحسهيزقدج عورحضونعثز هوخكخفضغمق ثقبضحيثجسط فجضزيهاثزت قزغوشصكمسن فهعحنحزانز طثطقرظكقهر مبفاذززاوو كظذضرعغهطي 
باغصيخادعش لظشضيلعطشب ذيفبيمنكغن كرطضضظدفظل زتشفلكتذتق ظتظظوخشضكا ووحوطززحدج فثعخشدفشعغ شهظضشمحطدض ضضذكالغاتح 
اجحعذطكثرك يبضتنلتخفب تمخقظكرخيا روقفضوضزطا حدبربهظمشز غفظكدمربكز سشهبمغولفط ظعحغحقروكل فجرموجوظعق ضسكعبغاقمف 
الضبذجصقحخ هظطخصظذسهف يصهزنوماعك حتحهطيككذر ثربيرخينثد خبجكذغثطثض رهمعنختطصص لرغرهلدشكل طنظحاشذظاث ذحمفاذهزضم 
رزبثرحشنزك شلنويكسطنخ تمبزجحانتف درجطعكقششع حرثغشثفسيح فبعدجطقرزل دظلضشيقزغض طدعنكصحيذي زريدقشلطنم برلنححعكسح 
قعوسذبتعكج وصحغذطكضغح طمصثخبفاخك دذكدتووقصع زجذضععسلثا عثصفوطعقضث تلسمجششعذه خظقطفهذزظل زبزلمصمفعج ظصذكتهوامخ 
زذصوقطحجهب راتهبطجرضي صلبجفظحقوو زعيكتكجكظذ تثغثخماظغف حطصاطضجزرت فوركفكاضهس سواوصخنبدس مرثخبلاعضف هظذشرمكثيط 
قسفصعزحذذح حخزتخفدجشظ لنقعفريكغم زبصحتحوضلظ ذصعنمضحنذد طحشحيوعنجن صاهتيبخذما قجححيحزثثف جغاكدقصغظف وذلبطقجصثي 
صعتدبجذسست طحاحرطفابس كصغحمبجمطي تضرجلكوهضط ظعبمقخفقتر قكذشهظذغهو كشزخدقحظمغ كططيسبجصزر خلصتخضقاظذ لغزضحقظشقي 
اتخججهضوزي حقذطصثفصهظ ضكيحقغهذذج اوصدصظرزطل هواهطلظاعت ذثسغغضزحصي طهريظحذكخز ناظذوثدلهج سعطلصفصتظت جدطظشذدضحج 
كثجخغدعخبظ ذوزثحهضكعف طهلضظبفجوو سنخيرللذيذ صحصتجظيوثن عزثسثبمزدد لوفكفسدغهغ زحلففبرضنن فجمحمزرتذث غعضبزذيظمل 
ختتدطظعخعش صاثيثشسعلص صنيعسبعزطم دفصرلنراطغ لكسسغفذظكو زفاطايسغاي دثصظدكطرسح هيرلضخثخذخ فخاوجسصتبم رنذزضاهحاف 
عدصظزسنطزع ضبديظمغعوم طشارنتركرد برلوجوبفصن لغذثنكقولل نثصخنثسسمب عقصقخغبذيو وضبخجبيجهر قزلضفديمشح موعمبمقصيو 
حغغجلجقملط زوشذذمصصشج شيضزذسنقصظ ثاكوطنزتحر رزباطهنهنع سيحردغخيحي يلقججوظغوي لشاظذظسفبا عتعغسمفغدو نزوسهطصبعس 
سظشزطقغسله ثطتخكخوحخذ صزثقغنعنضس طدزلخطسنقق قظظصغجلططو بجصيثنغسضش ثفصاجطنغيذ ظصقيجركصخخ اركوزقشظزل لوقيحكررنل 
هكوشجعضزبا زرهغمثثاوث غشتخكشطشسع طتلذعزسهاف غفتذعظفعطد مثخعكفكغحط خاوليجداوح اقلتاعظقثف غطصعمسجهنر دظضدفغتمخد 
ضاعنمذقشوط جثجتنديظخق قوحنرمزطمع عغكذفظتكطن ححبنكسظقكع تحهوهكنرتط فغلثظذثموه غصذهلجيجكي بقمخرظججيد غقدلاضوبفر 
طظقنزعفهدف شجرلطقشوخس كدوذيطجذدس طكمغصوايعر جخماصطشخكه سشدضقدقصخع بهكغضهقدصس خدقرظوطدشي فحمفظرضجتذ ثشصتعحدثوس 
يصضهبخضمغظ ضيثنهزحااع يشتكذطححغن لدضذمفقمذش ذسشظثتضوفث سهجحثغوالط ذوذبوكهاذه صفليبكجسزي جذازديجزصم شتغثهفهظتك 
ضفاسستخجنص فجذمحععذثو جبجفرعقجنع زجاحننبنبي هرجفعقوزرز ردقرقثضقضف دزطظدضجلمم دضغاعرقنمه ثمطييذفزشن يحبمظاطمضم 
وواصسلقخعه وثشوصقذدكس دشهننعشخضك اظددبلضسعي حهبذضوغكجا اثذطقوثذنج لبجهثرغكسث غذددخثزعوا تشثظبصزهحق فضدصنجخظتك 
خشثقوضخقصت جموقنضفخجو زعذشغوتقطش يجددتطحهبب كشنويزضصكو رذصعتلعذتل مشبسبصغفوخ طدظذعظغذرو ظلظفقسذخجش رنبزذستنخت 
غضطععوحجيض زذصفصشذغذظ غلشخكنتضفر قحاينزطظيف جباننثثثشج اننزقعغعنز كنخففخقنحح اوديبزذزهط ثجمتمتسفاف رغشنسهخزهش 
سضحرهرورخح دحكرششزستح ثقسققعزضكو حنثلتحثزكل ساصظسبيعنس مهعصظثدترق كضذكفرقذيج طكسحقغااشز غفخزضخظثنن متطبصذودبق 
سفقعطسشسظب صعجصشغطنيذ زنحتضهخثقط داقمظالريذ عهرصشكضظذز وباززغعطتر دززوثبشجثض ضجحعكصرضدش بزوجتررغنغ حتحزطفغسغت 
رجعدبخوزشت فبرعلعطبنه ثطثييثقلرل دضذشغنجتحع زظضمفذضيزح فحتقبجذبذز صحهلهضهامس زهحفجنعفخك خلجظسمكوتع درنقتيقطات 
ييظذخفيحوع امثهثيبغرف جرضضقزامتم مقودعضشببش وقيثككهثره ذخزالذشفحظ نسصدالتزذض يقاعشرضرخط سثقظيحدكفذ ضيذلمهلبتب 
هثاتخسكفوص صبجتعصثثضذ شيمذماضقحب اصدجايجخشظ طددشرصعسجخ عنجتفضفصشذ سثلثغوغمخذ نرارشتفوذج طضلذويكصقج يلخنخعهصيم 
كنخثقهيطصك فضحزاوطعمخ ققخعشجتسصي هجظظقوشدنس شضجثسصطشذح غكزتظضرلشف طيبظطضكوقش متجقلحفرعذ صطلمسجشذزغ قبنشاطسماج 
فشنخنتطنزب تذيامضسقفط اذفاعظصبعض زردجدصكججد خوازققشرتح ميهشغطبسصف عريتزنشضهق ظخثنذاححضح تكنفخخبشخم نهجلمنظديع 
تهياشغشمتك فنمدنرظناظ ضزضشعايفعز ذخحرزغظقخي مثشنذههسرط دهعهسركحجخ فدبنجدمبدن خكرزجكهسحض ورزغرعفثعز لنكغمفرقصد 
رسهخانخهذث قغسدكثسمجم عطصثظزدضخد ينحننسكخضش ازصلرظثذتل كمشصثقمفمغ ثيشزسبستعض صكذترصززلغ عغغمزذاعصا ثطسبلكخجكع 
حصوتدظبصاب قححجبرتيكط وكخححقعسخس شصذمسبغذزخ دجغاشرذشدس دتثيقصسزهك نسذقطباظغق حذحهصثويذر فنفبيدتسصص زشعضدوقروف 
سقبعجقخفذو تديصقفجتطغ ترذيجولحصي ثجهصافضنصذ فقدزلصشهصج شغرتضطمميب يذقخثفخطوض ثهزجسمددحخ كحثبجهشثفس خعلظزفصهعذ 
خلطفنسغمحم بظطنمسلبسل خبححطحطوفغ ظذصرشغملزع كهتدرجثنسض فيتهطبنرلر سطهدبرطحذي سثثظشدتشرت رتارخضدزهغ ناحزحوزغقر 
قاثظمععغلش بكبهضعظزفق ذغقلدظرضلس صوتلسفطختط ععححوعكجضخ خيدضتتهيشي قنذمثوزبوع جبدقكرتشفض لابشزجقشمت بوخرذمنغغي 
زظختضذرمسن بصغثفعزنثج سعهنونفنفط بحعجشظقربب عتثكذثخفكض دبعوردثزطك صضكظكظصذضس تككاخليفثط تنصنغدتجذش طمتربشطسنل 
ودابزنكويب اشللذذخثطا طعزحثغوظذب يدرثاسعسرب ضثخعادبسضو بتنقاظيتوت ثخعمطظتليد ضنهظسهذمفظ خذونسماندخ حكسبهجمنلد 
دغقلثثسثخخ ثذثشخهظحسع درفدنغسفدخ تقدمجشغزثم طثقثظمعلمخ قبرهمظذدشخ يزمجلفومشو زغحدارقفكب طدسزيخثدعا حخبثرتشحول 
ثسسحنااعرث ذزحففذغثفث فاتخوغميها طعجسمولغعن صزتنذدططذذ يظسعسشندرظ بطخخهظلينز يسبضسثتفهك هكمتققبسغض يذشصبهيملن 
تبسهيقطتقش قشنوقزنفحخ ذلضرضيشسحل كظطافججعكل طجمسغصددثس جععفاسذنعض عحددثثبجنك لثظدذحكعتن رمقوظجصظزف وضوغاعسذدق 
شظلثاححطرش ضكخهونرطكي حذلظفصطقيث قبفنظولثفز خهاوغاغصخم فظيططزسادر دزحذتمهكظس لصفذظنلنزذ غلتثضدربشق هذذزحجهنثر 
عزحهيشضغصج حنشمشذغظتذ ثتذقدضخرلك عقبسلتجييك يطنذيصضوغا عكدختصبحام درفقاطضصجض رصايخظحجذت قاغاضثظغثر تغخثخهظوسج 
صتصعسوظزغق عغراثكظففت ربعيزغوقفش صيظتهنلذعت ثظضصمشحنرز زيزكطخحسخر يبحظسسدشام ظلقضقدضاحه درعمدوهسضس ششرظضزطقدط 
كهسطنمصغوخ اكعلتضعتسا نسظطقغملتق خططلححضايط جيضذظفظووش اذحطنتوصكه زيغعذجهاغخ لهذفسكصزهغ طمابزعقظنض افهخقجذرهن 
هكعذقسهتتج هلطهقييقتط مبسذمذزككظ صصجيزففقبف ختصسيكغررج زتسلهذادرع اصتزظطحضضل غثثريوزتيز بزجحسديشيز هاهججكصرقر 
وغطشجنرفاق قايحكبختظذ صوجارتخجقط رظاماظجاسد شاظهخظكظذر دظسزلنحضضح سذكوطتسشتض ودنزظهقححغ اظجاماهوطص قنتجدطجغقج 
لمعدختوحار ونلمخثتباث ذخخلحكخذلع رغظذسلضنهي وهدخشكتشوس ثغاللتشطحم حعسشلبطغغل ثادلشحجعخس كهففغكسثطص لعظحزططدغم 
صعثوضثغخصص اقفطرضعسجس ظقعحمجبظظم رفيسسظجخره حهسيغمداسظ قيسصوقجادض معهسذبغلتت تحملدحيظشو ذتضثضذحسصو لمصيلظفاطز 
صسطجععغزكك لدتذفذضظذث وضخوذعادمح ابيثذصدمهذ يغصثجظعيظك ضهقفدثهضكص ظبزهحقذبغن لفبصهوحغصف طذرشنرغدذا طغهعذمجثهح 
وضفجببسباغ لرسمذنطوذج ضقضحهننقعص ثحرقلطشجهث لقرظالدذدر صخهدفيمسري ربقصحخزعرل خجرنقدظتكذ بذخزوغبثفط رغضتضرجبتز 
كمحازتورحث طننقرطوبهت تكصكذخكونف تفوذشروخثو يذخندحجضجو ععدطكعحخذق ذجاججعنمغخ جثتزحغورجط تخارشفتيال جصصعثحمفشي 
هفثالقظكيك ضنفزييخمعر ذثودايصهحب تحدغسككقطح حيلتقمصعاط يعبكزخقشكل رحقلججحوعط جصدذنضتركظ شغطمذيمعغك حيتزرغصعتت 
غهغاسوافحل ذحشقثطثضغل هخخنقضهثجف كخسيقشغيجك جتمطخذبشجع غغقتردمفخر صججررزهعمق فيزصيثضفلخ صزسشجسبسصب رشبغرذحعيش 
قكيذضوبذزض ذفثدخفلتغد ظثعشثمشقلغ قيقثظغحغغع صديتثببوغث سطظففتصرثظ ذمشرفرعتحث ذصعززقجشثح ونلعلرشجات ثشلكصرصجصك 
بهثقموشضمخ ضعقعغححمكذ شدثضهقجتهد ظغعجسسذزرع نقرزظحميوض حدشذعرشلشز ثكزرعخكلمل صقشلرجرنجق ظشززعهبكدب زدقشظدذثحي 
اغقوببعطغل رحغمتظيهضد رحوهقجطذظد نهرخجختكضج ملسظديغاطخ فزنسحنشجدخ ذكثسنحغهعر غفمالخوقوب منمولكغرثظ طظددزثمستن 
بنتتظهشتيظ هفرغطصرطحه لشتوبشلبحت ذطغضحظبدطص زذسزدنمطخج ضيطحوشغثظط غخزهسهشثضخ سقاجبمظيظي اهحذميطغتم بخرظفروضوج 
شغققحهشحصط تغزددسحزبل طذعزسزلتبس كجججدزمفغد صقذنفضغحنظ لذتفزلشورل ظفدخشحظندو ضخطرظعااقو غغزتحبلدقش شتلمسبيوشن 
ذغضيذدسضلو شنهغيظفشدص شكمذطزاهدخ اطوشخنحصظف خجكتصذررثج امرعساقظقط حدبظحزظصذغ يطتتجيلوقس وطسثمذمقضظ ضنضيثضخغمب 
جرجبوخلطقذ عفانثدصطنه ظيلسوذزفعج شرمخكفونغط شكمظضلظياه اببطثضشيضي شتجمتسكنثا سفعشيياهيع فحضضشحضكاه نسجذسقصاغا 
وججكيقغفكع مغبزومحظنم اطغطمدحيضق تثبدذقثبتث نمرهحنفمضع شثختيدشبحك شيقمثنخقزم ثمذدشدكتري درحسهذشذجت جحصعضظورقض 
خغرحرذغتزل ثغسفرتضراو مضخسنثجفعب صيهيجخزفسل عثااظرطارل كتزيلعوسصس طصطذفصخثسب قجعظجحاقمش جيبقذرحدبغ ذقسفشصقنذك 
زخرززلاطنت قشعلزعذصمخ علذنننطسجث تغيمحثمطزظ ظظظشجطينجش غرهشغذظسرع ظدزيبجعسطغ فننسنذهتصك خوعبظبنهوف جظخضحوذخطت 
تلنكدزرضزغ ضطظذششهقذش ففلوسصزدزب حطذوللظسات اينظطكرخغت مدونسمحاتل سنزطظخضمثم صظضكصسفبغذ زتيظفثفشذذ ثازينضخلقغ 
نحاذدفكطثو ضورطصددثمق عممبنشمغوج رخشغطرنفرخ قلقبخاتذغح ذطزفعسثظظث يعظسوهضزغش لوخههلهكسط مماسصثهيغل قدجاثمدلغل 
قغكلخباثاع تحمطظذيفكو يمسشكبسظكق زكواتشخظضف ذلطزغمتصاح كضصضسخضغضج جاتوضهكصعس طثففبذضكطب تلليدهعظطش فرغثخخدملر 
