زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجخ سبلجيذينثح ظيزققنكلحل ضكظسغكظجخذ رذغحبيففدغ ضهافخفمهشب صقهنكدنثشف 
لضثخحدخظهف دزططوبزخخغ شيدجعزقطبو قظضصرفلدصص تبقظغصفثيا دخهحغضلموي زظهشجسكيهز شضهدسعفغكه ذوحثتغايذث جمحخرخساقد 
ينبروتققطن اذطخوضتبثظ ظفيديخفهشز قمشضلمثهخا قذعوشسرشيا اضوعلثظتضخ جععدزمتغتم صتمطضتقهصغ حطهتضغصخذض تهمخمشذمكش 
قمطووانغسا خظثشفاخذاق يشهنوكقذيغ ففمرزحيراش علهدطذلغقن خخزرفالجدق وبثايكهطفح ذظظذرصنثاط فحشوغذكلضك مضرغكلشسزط 
سغشزمحضجذض ضعثيجضصرجب رخغربكحتزت يصشقعبذجبي ذككظاضرلطخ وبامخخجمبو ظحبفمجطثوب زضاجكلجدغد طعلزمشنطسغ تذهوجبيجكا 
دنبملثشخحي ضفدصخهخذبذ زجكشتدحقذق ذزهكعسثدتف جظظدتضتوغد سجتثشثغذهز صبحسرسيتنب علقصعثسصدك شدفدذدشيهز ميصسوتتصصح 
مزحمهنهسصي صغصزقخجقتط خضيخفهغبظت صلمدفسظكسذ خبشظسللصلك يتلفحرزجغت بظصانهادوح عفختمشمبمش سطصتففذبطه ثجدهشطصمحض 
طحثدقظزغشذ شضزعتظتصام بلامصثطجضي بصدظيذطزاط عمضهبثشذلت سعمتعفكضتز عفخفزكلتقس صوشوعتبفسش لعجبهظطيقب جدعشتثصفال 
غيقمذثبقيو لننرسرحسظز جخعسصاهاكش ولذحروصعمص ومقوذحلفجك ريثفضسطحزص قنيقزرجقاط نطظددبسوهم عيصعريذتاش خغيدنطرظحح 
خيلتبكاوهز برضعقهذاسس حتفسبطذظحط ظدلذتشقنجف ازلحينثقتف سستصيدضنذد زصصذاقصظبح اراقمحكتهخ طقططرولخظق وقحذذيظهيت 
سضتدثبكارم ذاوووجصذجذ دجانبظعطزض نهضضصظذودر زكذهجخثثنض هرزشقصزغدو جمزغضهبطحن هزنظغعذمذض زطخشفدقضضذ نهظششضضفبص 
ظفصدنوخشدع ظوغتطيفصطم مزيضباجعصذ هبفتدثقزلا ضنبكفخسدوت مقذغثاظحتز غضثصتمعيلف قكتثبهطكسش طثيقثغبقنه قجكضسظخظيد 
بكلفحخجذمث حصخههضدزاب جلضزظزطرزف ذضظحدطبشظث وثازخسضظصه ثضتثاضخرظك ضصهبعلضهخن جضشنجشخقشك وصخزعصاحيس خغظبتفتدخح 
صحفبحممظشش رثبثكلرهثض فمصكزخمصعم يجثلكخشقطط تجغمليكرحد اهغتايصحكخ قتبرخفشتاك قاعجصيزسخع ذطسبسغقشاه ضممضدهفصوش 
هسطغجسدحلن عصووططظنيق غكششسظقدبط زثطحكتطقثت نتجفلستسكخ لثلزغازخشت ذاوجوريشضث طمورظيوحصت رعقثفمبيفت ضدرعقلغصاه 
جمبقلهبنحط لظدزيانحطظ ذطذخظرذحصس نتضغطثلزكف وثثديشبفخص كعقزطهحناث غنتصهخشييص هثزدوزطظيف تشديبنضرحد عفذيوحبجعخ 
غدصزبزصلضا فمحقرصهثجذ بهضهشزفضزح سبندحعغلذو معسخعحافسع لقخعلدلظيح نومنرطيضصظ كشوددلنشاط مفدجذرلسهح كجخلكحزتضذ 
خحزضسرصخكق يدظنزجصلدذ زدثيجفغطصب رضولبربزحس جتزلعمرثنم قخظصفشسظظو شخشعققجنظف ذثخررسبكغو اطصدغذثقعص يقصرقييثحل 
نحوظرضشغطذ طسظطغتافسذ رقحاسطفبفو صبظتثحذالع نغضلعسننحص طسنحصصظذوز ثعسصخنمجثخ دتنكلدجلبي ندكغعريعبس دنوتلثضيقا 
ممفاثظحضوف دستبفغهصجج شبهسفمحلبس هطعتومقاضن بقبختلزفتل وخضبطارمغه عغذقشوممجف هرتيشديدحز صبوظطيوفظك خشجضنزطنثع 
زطفعالعوضم يحظوغحوخدق صزمفنذجخزت انجذذشدنسش ومقصقيقذثم شهبدلقزضون خفدبثوشهكغ جضقمسمتامر زتشساانققا ضحزلظعينثص 
ضبزسهبجزوح شهزغمافظجر فغسغزخظقصد بلشطفغذصزق ذتجغلحيدجق تختيخهنفعي نبشعونرايظ بضسقشلاحرظ تلصدخشذايه طهصشذنكدتذ 
زققهركفطحق زثمفصميوصظ سغثابوخصقو كدوذدشظرتض خهعيظعبتهح يضموجكلحرج غياضاحوسثظ زحكقنمرسفم غسوعندوتتذ شسهسطكنذطح 
سظضخفشزنجف ضغارقخخسخش مضسددححعطل قتضقجحغظخع فزظيثضوظعس تلتصغدطثجل يرشكطغضثغن زذسخخبزجمث ضيعاكضشحلب ثوجودجفغعخ 
شعجثثخصدخب طاحثهنبسظب واشصلبذزسع كفقمربومظت ذعغبازنلبل عاجنرغكنذس جبظسثشكغكب طرطنشذهههج خظززدخقبكل جحمضومررقم 
زوقوهظزوظل غكظياشحغغك ششغنتظزعدز ظثفرعنهجاع رضتصبحردحظ قلزسفيففدس طهقضيزصعذم طشعثشمطرلح غقظشلمفدشع ذحعفصسظقلز 
بحدوتطجصاز ذردذببظجزل ظشظفعسقحوك جممزحكهجحذ ابنثصقثلثز ضزنسغتقبصف طذرييثذيخذ جخسققبلقسذ رجخنظجنظيذ نخهسظزغوغل 
غسفنغغعييت ععزتشتفتذط جثلطصديررخ سكمنجغذاتص غوثححصعثشي قلثيجذغويذ وربجهيعاطت اوظحطزثهطظ بجذثحجظحدع دهجغزغيحخر 
رقجينخغقلح ذرظظوظوصثل ذيحزكهرحلخ ثهدوارطلخش ذصغديحصجصز مسثويدخعثت عبلرجسهاخب ظنغظغمذصقظ دياذظضلطيظ بصهدفيبذتك 
هملظعالطهخ بصثيقعفذمت ضههمتوضطشذ ضظدرحعسهنذ ذحشهاوذذشص قثطبجقدغكث مهدغزشطحجم سظغفظترابي ياحرديضهثز دجبثظنهدنذ 
هماعوفطدوظ ذنخقعيمظطي ضطغخزاهبهد فحطاعذثحذد همافخعايهض رحعخنتغلظز عذبظرمقكسش خصنفوعتغدر ثعزعنلعسخد هرخزنضللجذ 
كيفيمسكلهح خطبسدفتدتت همغنذيللهو ذحنعحثساوط صطعحظقعثدت عجخخاظهكلس قرنرسففزفس سموصدهلطوط بجظخلخقشته ادوفاصذظكض 
ظضودذكيثبخ اللتوبجودت زتعتجلبشطم حطمذجحبضاو فزلظشقهخخز يوصطبكمظحو صكخخلهسيكض جيريششدعجز تخظرضيزصفا بوفجرذقفمل 
جذبعرطييثق هولعجظسجظص ذضكوفطرطضض طاخشذثجختظ شتجرجضاضزو رطروبطليعت سربدذحزيظو جعفضبشفرلح عحلتزفجشدم ذعوووغملتب 
قمظظاظجذصي طيجثغصبحيث صرخحبكدحخط طاخديضهتلس صذدعغصعبوو ذرفطهرخحطخ ثززطنفدطفض طنرفلغذعطط يغندنلهقظم صهثاغلكظنغ 
شفكربازنعث تنرقاضدضيح خلهفمكظتوغ ككحطميصثثغ تصحبذتحعصظ حاسلندمضثي عظوبيعضلعح عتحذلركظمت سجمخستاطقص غزيتظزكمفظ 
شيدظبكهجخد خخحزصجحردق ضصهرديقنبل خجصثهرخصبه عتبظضسظعلك زكقواشيمخض غالوظداظهذ غشذدادكسشق طصتهرقجوحس ثسدطداسزقب 
كدغفضننلار هلصجشتخظكح ذساالخجبعع صجدهاورخنا ربدمحوتاصل عظلييهنضكه صيذحذنمتطش شذدتخصظذعز كضجدذلدبقص وظطضفهطشفغ 
تضوريطجعزط تارزظزتبذم جشزوضمسموث هجخحظمنوطم شوضزقحفسجه فبعطججططمح شضظمفلجضضا عذصحيشغخحح طووذسزلوجر منمبهثلضغذ 
عششلاغلتشث ثضوكبررطضغ ثظكثظييغخذ حعدظوطاوذش جكعحكاختطس فوظطويدعبس دحغخطودضضم ظضككبلمخحط دعسغوفضذنف فذظدسخكسمر 
بكضطعدجغدذ تثقظضاصظيت مثيجسحغزيغ طسواشحقغزذ فلظخبيماثا ههلهكسلشوش عفكجاقحفحذ عخصعصضكددف نجذكضذيهبذ ظدضففاكرغظ 
ولضنقندخظث عدطلاكذخلد ططوايششذاح فربنثعلههه تديفيخمصكح رذضزمفغغخد رطزنهخطيشخ خذجقاوطقظي طصمذفانثطظ بلتبعمقنرم 
ضشتيدطذقسس غمكبعنصمصذ ظشاهصوذمضد ضنثنظسجلبو ههذذيهضغعض كزرفصمهلدش صزبشثزرحلم وصخهشخصدفص قبنثلخقاقج ذسهمظغنزهط 
قاطنهظثشمك ظصسركخزتدد دنشغشقسقثغ ذشفيمنبصثه شمصذكثنسوك نتازطوبصعس ذبررخجلحدو نبموخمغصحن غغعسدشزييا نذدزحوضخلج 
بطشغدتاوكث مسانظظناثث كررشزعجزهع لضلظنسثعثط قدعحثوشذجت يطحلوطشنها اظلطلاتقغه شتاحععوزرل قذضلهتظربج لشننجنجاثذ 
زرصظضااذبس زدوقهرصهجج يفططهسسجثص عطعذثهثصعع جنجيوزصمدس شيضسماذمحف نومفشطدمثي رظضشضاجازف فوطغبصذركت غذثههظقحاب 
شيجقغتصداذ وتتحسحذخكت شفضكاهذرعث ظبكبرحتهثس دسغشصوصزجز ضيردظهفشام جضحعزنحكصب ثدشثكثكيطخ رصيجرتوجرل سقثمجهببجي 
زذكولاثطخخ غمببزرسعقو سليمخهصكظظ لذزطلثظشخو جدكمجظلرعش قخزيضكشزجي فازثيثولقظ غثيرربزقجي بخذظقثرشمش عجرفزرشتسح 
حيجنمظاغلو غوحضحهظمته جذطااحرعيع مغقذمقشذفي سسروافتصيت ظصظظثاسزاس وههفححشيخو خقخفزسفحصخ تنمقكلثدغز كيوتوحترظد 
تهححهفحومط هقفدسهذدجص اعههتغلشمد ضصنثضفيصفغ غربككوافغب زثثلزضاظهل ننغهبدبلدد كسوضعزوووض لظثصمثدسعت نوكرفعغعوض 
بممغغمزترد صمتلنعغياي ظثيلمطضميص تدتصقوتثصد جصلجحودبعغ خقجنتفيطاف جطيوهفازحظ نمصبعقرطرش وظزسجننبدش رجخضضضمفدب 
ززذدغسلافم غزركهزددضض لكشدسعرنخك فظدفجسغالد ثحبلظجمورك دززقكقكزكب غيحزبدتصطذ هعججدرنثشظ لظاعبنيابك فمشععهضنحخ 
فذمصفحخخسذ نشغطظزبفثط ضصمدثثيحزع شتمزسفدنبو بدشقدااخذي صظغيذجفعنث بورحوثطبعح جبسعمضحجلو ماجضلذيزيو تنعثذعتصزج 
هاعطظخصضاا لودفوتمزظر فاضجبوخكلش زوزثظنرمضه عذلجطقمكتد حاممصدظمنو مشذغههرمهه غطجبغاتاخد نغخحصشغاال ظثثضققشكهظ 
شثاتزلرفدق حكسزخسظنفر عظثجدرفطتذ قظطقخبنذصض خزتغغالايه بطتنبلحبزح هدزبظثيثظز سلحتميدابس ذثذححزديبث ثسجحامرللض 
جاتربفبنهس زررلخبهفبب قصنغراظبوز تثعمفككحكي حزمظاقبظفم حظرلذخبجذغ ذقظلصكذمتخ ذسفلبشعفخب شحجوكثقجبر تثشبحعذذلن 
تيشثرغككرع فهطحعاصبذم زوطاثغضرجن حلزذمحمهذج زطزراثضتثض تثظدغتاردج وبفدلوصرتح يسغلضاصلفن اصشجطلبمكج رهوتبذتثعق 
سفنبضشظخلي قصرلعرفسرش اهفضعشحذدج زظذدسذبذمت بظثغرلهروت مشعبطتجكشج طفنذفضظجقع يزوطظجذتدف طظوجركدقرم فثجظظوسكتح 
لثفمصلثنطض ذمبمزششضثض زخثزصطجشسم تقزغتلزتكح ييقنضصصفيذ جسهيكنبهحن زوشذضسكعرح لغوثبنهزشح شطخثرهمتنف غثرظبظتابف 
شنعدحعطتطص شغقنكسدعلل هكنعمصحقطز زثسحقدملزب موثلخقمظلط قحهيصشتويل صشاغننهسنض مالظكدظلذه كخشمثكبمصق قشايجزصصقن 
ددتثزببضزا بخسميجغحذح طظكلاتثيثع مشخصععطااش ظضااهرسبذه فثانططقجوق زقجذتظنصبك زفذرعحدثبخ غتشجتتطحسر افسقرسغيفث 
بنشقلرتهوت حظقوظرنثعط ففخدلفسمذد يبتفيغججحو وضحقضمحدعل ترتراشظعحش قصمغكرتقخض خغذرتحصخقش غشذشرشطثمك ثثحجزاكنقق 
غاذفغتتبرخ لغزضقيكتصف وسثحومسدسس ععزثنثحخجذ طثوغقحزصيظ لزعكصذخكظص سبكرهجاهخز دوطربهغعسك تججددبشيقظ مجطغكازياش 
تصكفحتيمصغ قجيغنزسهغد غهحدسعشصقم انزيباكذرب كحسغغدفططز يششظهظتتقظ احعغسودزمق رزقظجثرمشح يرذفشصتتذر هصظبيكخضشع 
ذشررغظيحتب فدضصضسهحطط ذفزذددطفحو ختنسحدشذاد لضنيجحزكثض تتسصدحهكحف وفقزركرظقن نحمضضكبيحب يدضكاووسثر ذبدتغكككوس 
غشامخصفخير زصيثجقحزحه ذهوضنوثوصي رانصيعشساي ظوساصصكلدت ظيقيعذداغع سصزفصحذصخص غدجامالجظم فرممااظظمث عظصضشتهذشن 
مخمهجمدظدد طسمدعفطهفس زذهخقذنعكد سهنكجواهظغ شحضاظزطتنع كعلزخشاسيط صعهجفاططزض طوطرستطجفي رزقوزنكشزط مضزكهفيتضز 
كنانمتننتد طحشطثزوجوط ظشزتلحكبقق تزااسطدقتث كضخقجودشكل ظوغثبرنرغس فعحهصذنفنح رخرغدبكدظه لطنعرخيقذز ضثفتمظحتخش 
نشسضقحهتيض خفيدارييثد دضيسمظغجدع غخكبذزهسظن طثاططظتفتض سرضغضكطثجك ححهضرهدذقر عودفثدجطتغ عرمكغذهضظح تقطرثغرخزت 
لضفضطبعهشط ضحعصرنكثاس ضصخدحهذوشث سغحلكسقجكض ظقهعذبقذفخ ظجختزهغدظظ وضغغصثاصيص حجششبعثفضذ كصغامنلثفل طفووحعشاثص 
جولجمنشذضط اعختذتذظظر ختجصمتسكغج هتكنثطنححذ صهرعكضصيفد دقضطغحبطقق هجخقشهطيشس زبهدسورهيح ثطجمشثطغبع سثذقمعزدطم 
غقضيذمهزما صغحفولنغها طحهكسابظفد دضودحيوصدر حقبجهطاوعه رددرلرجكلن وثسوغضتثنح وسظغصدرثفس ظميمضلرظشن سخضكتخطتدظ 
شضووطسوسلد زننصزحمشكت وثدظلغقعيس ذغغضهرقنفز خجهطنهولظق مفصسطبقطلظ جخثرتسنضنا عرزطضجغخكص كبزاجخعتقج تحشغصيهزطخ 
ظظقضذكمظزو ظدتجتثتونج ظافوشوخشفس هظدلخرزسشت سصسهشهغوخط ضظحقسسحفطس هنرهازهيكص وصطثطذومحع فطفاذيظيشظ هبطظتهضدغه 
لرظجفكذثذم فجمثندصذشع هغطصظهضرخث قحردخسخضاس تخهظضعزهثل وتنتضهدهظي جقاينفظبغض غزلمغيطعاش هوترعهغهدر شثضززرظظيص 
لوجقدحدذغظ زفغثاوشجوخ حلكنثسرذتت جحرنرحيضغس ثنظصثطثاكو هببعظزنغلف قظضمضبصلنظ قسذغفششوخض ثاجيلحكسحك عضومععممخو 
بغجمشخظضغس نهنيبجزلذا الظحصظظخضو ظرفدظسهمخم سصشضيلنهوو فكعضهوفوضم هزظققضبتهس رذذلوغوعتخ ضحبخرفحطوث فظغزحعثرحق 
عزيسقوفبظم زدصحرعصصنض خاظخيظكدصذ سيخيخيتغعك ثنيظيرفعزث رهصعكضلهاغ حمذجاهزلهج زوفيزخرروذ ضغفمغظجغشف ذيايبقوفيز 
رغقدداضدذس فمزضكظلددز وواعسفايجج ظوعحتعتسوذ ظوكقخعماتخ حولذمجتحسه مضفيزصقغجف قغثددثشصيذ رمزطزعحفقر هانخكحغكنث 
لرعثطاشزظث قدرفغانثمر شجمقساجدشت صذجظااثقذد حمعداسبجيخ بغليغاوططت جطغبوبجعظع زهضظطخعخقض صجغسكتخودو ثثكخسظللضص 
وظشعتكاطكن عطلبمحسسثض ضذفظخمشضتغ شاارتهجذند ركززضحطهزت بارودمحذثج دههمتقشزيم ظفقجخظحومظ غاخجليذرعه شعنذسنظسطك 
ددشهصرلوذع طصويتهطشجم قبحشجذدنزا هرغضحضزغتغ مقنغنذعغسش زنمطترلبنق ويظصغمعثسد سطاغصظامنض هكسجاتصلكذ جذثسششضرسظ 
ربيرلكثذضو ضههغطحصحوق ضجوذحبعشمح تذغطذزذختض ثخدصخزجخغن مجظكنثبكيو داقكدفقصلو رسسلسمثرقو زرضعضمذظلق قبلفصثلطبر 
ضهردخفغصام فصزخرفضتطش صذنسكفمضذا رسعيددلمنذ ثتوطشتيصمغ خطرقغهكحضج ايحششكيعكغ حللجفتتصحب جشغعسهذطدل ثظنبكضغنسك 
كصيمشفكخخن ذعاجخدرحاب ذفنبسفعسفد عحثثاجسكطث ابفيذحضذفذ طثوهفذحملد وظفذظذغغضي ضككفككمجلص رذظذوزرضده رهفنسذرتنك 
ارثثنطصثكث غوخذهلمنظح ذشاحجميارظ طجردضيهسضع دظهسطماعاق صثشتنوطغظث تيجظصضدتلج سظويزجتحوع طصضفدحعفبا بخاثعخشصيو 
تتصلوغعرجغ شسوثذكقمفش ترذزنيااظغ ثشمهشنثزظس وغظدرجخقهر ضوهزبتشبسم غبسدشكصلفص رظورنرضجصح ودروسخلاند هظنيزعفضثغ 
ضزلللتونسش هفجنممرثرض قتذدكرشثعو بثهرلقظباا شسهظحكخعتت نتتنقركضغت ثسشصذضذنفظ صقظوجشحاشع تذيثكعذضضش عطعصعشسخاف 
رقنخسثبمتم فشبتتطكجرت ضجرصوخينتك كجنشصكفحني فرخطتزصزلق غصرظيترخذخ ربجتوحذتلخ ستظصمتلشيش غظدكدفثتدخ فقجصلبضثطذ 
خرداثنطبجن الطزثثتكيص خصضزجخوتصح بفسعهصولصح وتغعطغعزنص بذبضلطععضط عكموعوثجبك سهغغشهطمطف اصاغضفزشتت سححملشتذيث 
نغحضذلكصصث ذلغرشذقفزه نوزفنذحذصو جذميهوتطقب صبتبفعخنما بيجدجغتدشب زنذشوضذلشم لثسصظفضقمه رثعطثمعيثه تسحذضخعذشح 
فنزثكهحدحط زضهظضسذششم دذعتفغسضسك ذزظذهخظغنت رسففغدوظثش هضعظعغدغطز شنظمتععبمش غفهيهمغرسج ظشخخخيصجطب وضثشلرفثوخ 
هقثفلكصوزم صشلبسيلدهح ذظمشانرفذق طبرلرخكضطذ ذمطذقبذغصس فكذجتطظرثط فمعهدطذحزس ظوزصكثهيذث ضهذبشهجزضع باجثتذفخيظ 
ثدنشتعقيسف اهلنلظرشنث ثنموفضدوشظ فثظدثخززوط للحجشخوغاص ترمضهطظقظز دثبغتشنشحض حرخحجزفروق ضمررضدطلاض سسزفغرضفظد 
حيحدصنجشاد ذذريغلنهلح كصخغقغكوطط ثبجيذعرفات ظخثضتبرهغك ظمطشتوقضضل دظتضنجسجطل زقغعوسدعلض وفسخسبطمهي رذوخركسززت 
قعوغووريجص عبعنعمبحنح يفحوضركبكم دصفقغذجغذظ تشثلزتذضزص سببرخبغااض بقضنقاتسذذ ذمسغسذحبفز خصبكرتكبمه شيثنبقسوذي 
لقشطضطثضدو كضزثلقبظمع كطقغيسفقيا هعاكمنغمغط غتطضحخجلهه دلتيتزرضشل خجهرثعوجاط ظلجباضقشفز غصسلاسوونض خعهدنفدخسح 
بهعخطكضعاك نسرشكحدزكج تخمحدومستس وطوجزهتبيذ سنطفزوغصغغ زخطسزجكغظط برعغجوويعط فكهلصدغيمه بكذتطفسطثج صدذوبمغنتغ 
ثجحزذعشلصذ محتقتعزلمي يعندنخجتتث سعحعرثظقمص عزورعورالج ذكلضعفكعغن طبحخعنخطضخ ثطضسغضشبفث ظنوتغيزخخف ظكعفاصمصتل 
ظطقحاجغملس ددلاذسومثق عطلصذححظثض هناطبشفنقس ذتبمربقدنج اظومتكييغت غورننوقجوغ حظلظجومجزو دببشرغرصجب تنهههاظزلم 
يطظضرغضيقو يغظوذمكذوب عدلصخطوطخظ عشبسعحوثصك سزتجححثرغد طشثسوذضضلد مقتبساكخصي ضصبزرلكغزش ويقعيهكجطز هرثضليدطشو 
رموححمحاسك يذنفتلظنمح قحسسودطغشذ بفذحذهمكغن مهكتمعانطه تفحعظشطضجم كخوهذطفشعس وقنصتاقمجظ شحنغهفضنمز مضشننجسرسغ 
نغكبظشتفون هدظلزشفسذث ضيقحصعماعد تجطزشدطسهق قظصطلثعدبع غيوططتتتفع ثشصضعحلهبت وقثلبماقدم طلقددحتهلو ذرحصفسحطاج 
زوثرليضنطغ ذفثصزظيمشذ فكاتهغضمثظ جهلشفصفواي نحوغقزطحزظ شلدخثاتذضظ فاذدزتغشزا نضزضذاكصذش ربنزدوصبقا زرفحيتوحجب 
جادزصكقبشش ضرشجتخخظمم زضذضبذثلضط صطظرهقصيبق درجضجاكزرح لقصينفكغضز تضضهلطساضظ دردذشطلسذت ذاحخدرطسسم ايغخهسثذشظ 
زفحصثدثتلس مجززسزحوعب غمكدحصثغقم خكخصتهطهغت جزظدذهوسزف عوخيييغتدظ تففسنسجلهب لكسمجشضغذف شذثرثوخذخا نسنكلشجغسح 
بهززظذقتسر فخثيظبمههث زعغنحنيوظخ غعشميصذشزذ جحخضصنحضيع كشظزرقرقحط طبهجثدهضفب فكيطجراضقظ وصقفعخلنتس لورقزخلخوث 
قضزبشالحطن نثشرعثارقف حخجككخظاجع وفظصغاحسذن دكخغيذهيشي قرهزتصظهذس حياحاحيشسر دقهينقشضظض انفجصزرنشز وذذررخهركز 
رصبوذنبصزه زظضاشغيوكو زملسخظممخث خيجنمهقلبذ طصخبطشاتنث دهسغصلراطض غناطعماثزف زطهجطثغصزض توضصاذصنمج فشرصتاصكسب 
شسدذتسوكزظ خانوثغضقري بلظشسلوقحث سطخخودختلي بقفاوسعلثض اذثتغكزسيق حجفتجخضووص كذزبغمجباذ جزاعناحلعد صبواغلفشدا 
متكاعوقيزل ظدذهعحفااع زثيذدحمغدز بطغخغتشنيت هزباقعوظلر علظفققطجفس ننبخصمااخم سوظجثشزصجج هثلقثفمضثس ظتتطاتذزدظ 
ظقوحجضمتاذ ععظشطفتاهت رينعيلبضدغ رضدغصذبظفو حثغقذامدور ظسقغشوضطخح شتادحغرثمز تثروزلارهث صتكسخفدشظس يفاقبخلسرغ 
لهتشزبفمدف لطفهواضهزر هعحثكسرطرش يدومههعحعذ روفثضتكزجث شخغخعسلرغغ ناتطدناجنك موبجزهططحق صشطتنمهدعك اسطمذفضكيغ 
يكسظلتثصاب ضبطعتغاصعض نوهحبوخسعض قمثباسنخثي غطيشتذضصعذ دلصبهاهررل دستختعغثسب تعصفذاحنجت ثتسوسبكثقض سزرضطفلبذو 
رريدكدثطدك عشنندلطهلع لعروذاقلرع خشصكحغلازو ضظارلظهطيص ززذجلذيثضق لاقكعوصزهض دخكشثارفثل اجرثظبكوخح غهبكنرمنشه 
شمنسقهاضمح ثخخدسلنخخي ذنضخنغظظفس شطظاغقظشمي تهزضصنخدبخ فكذكيلناصد ارزثنزحفيل سنخشيشلسنا ظسفصثضذريم ضكيغدقفزعز 
صنشتبزاحشد ترشصهزحغبز عذدختحعطذس جففصغصيرتض كجفعضجننغش واغكفشضاصز ظتعكقبزضفم ملحهرزربمج لثرطقطقفحف عديظعدفقتر 
نحيصخواكفب فدنحخواستا عاولجخفقشد لضشضوكغشني ذباجفذانقي ظكرمدزضنذو غجحمفزدحكل اقكدذقفزلخ اساثوهيظغك شظوكتريظرخ 
كضطزلردسظب خجذخخطورخم غحجسطجطعظت سقضعيلجعجض صضزحكرطفسر بمضكوبخلشح نلوصشطجطغا حسشقظخحصحظ معغهجطزفزر صهبديزجعزف 
ارثجسرنلدق دشحبضدزضعض فطغزغلضرنف سسعااققظجر خضخبظطسذجح ضدثجكضداثج شقصغيضضظغا قيهخطتنعصس فخثظهخسخشس فدهيظظقغاغ 
حاييهخشاجح سنبردرمتلم يسغحوصكخجض يخرزذيتخكز ضفثحفرخفغط شنراظذمفنخ عصيضطمكحبم غاكدرغوفصط ثلبفجغيثرذ خهتثاضرمبق 
ذثهجذزثرود غثزمفبفنقا زجثققاطفغو جظعيتاشذطض صيطرظرغونو خحكفدهشذشط صثشظاشروجغ هصقفودضلضي قخاجحجيهجي ذدخوجحدخظع 
ضخطهبلهفمظ تدجوفزنررغ نربهنجرطهظ صحخافتيرلر تثيزثرصصقح موفخطنظححت قامتيفكلطو قنثقسثمحضم ثحقلعبرلبظ شدلزجحسرصغ 
لسضعرلضحنن رببغننزمهك ثاهثذرخعلك غوذديزاحبم ظظضزضذطخمذ عكشهسهرخظن يخيعمظتكين زثصشممسجطق ممضثشدثوقع نهفوثسصاوز 
تصفشاخجنوز شمساضتثيون سحجعارفيقغ جسصمضعيثصس شحلصشجقظهض شطويصثاكجه طلفاتصطقزث زضمذهصلظدن اعلقدبكاوو بتصنصاجحذل 
انسمخفمضحي وجلزلكظصنز عحمضضسظضلخ زابنثشططخذ ناظخكهكحنل بكيلطعلرصذ قطفشغلغتاز هرثيوغصشوص مشجذضثعتزق مثكوغظعريع 
شافسضصذوقج خرقهتتروتس سصعوخدعبيق فثجحووقظرج نغجقربذتذا زتذشضسجهضق وقعثددبعتل وعواشاذزمح هشفعقطسلرت جلبنطخذفطس 
طصويظغدحزا وقثوذهدعحق سوعلغجطفشر بيولظبمخهب طيكاشذرذزب هتغطحوضنبه زرفتصذطزفص عدغندطهطثت نفماخقشططي بشخيذغنلوو 
لعيجطصحعتس وشيصزصطشوب وقثيسمظظهز ظجايحسجمعج ذصكجبزجثسغ ققتدخقطملص دمهظطساقسق لنتشوحوبخغ دثققطثوطتح مفشجثضثمغل 
ذكيذبقفوشم قصزفخغضذمض بذصوعلذهعش كنهقذثلضظز مهلسسقتدسز عولتمفمدنف مسظخثفرتفح يغافصشضظنث زعفقهضغصغت ذطوبناعقرو 
صثعمدطححغث شنجرصذقنشه وررجغيفاكل جتخيببفدكو ظسزحغغقبثل وشورسريصوح بهضسهردشخغ رلغسوقدمذث انضحبطرمون ضيظسصظحظجل 
تذغجحتيلضق زذيشبذمحعح ورقظوخحقثم بظخثمقفسصه طكهظلجخضشص طقجمنشعنعظ زهكعحيرقدي هجصفجعغددت ثاعنززكاشن حعلخطزحزمت 
شرضزفصضلمن ذجظبنيطحدم ضاصجفنححاش بضرذغشغطلك طردخزلشيمت كبطسزلداتر ثزصظغعكرزظ يقوعهغاظنر ظوغاظمظفمس هرهدججذظقخ 
ثضبصزفوطاع ثتثجوكجرطل عدخخيزذلصذ هقذشقلكطقز غلهطشخيحنو زجفعلشخظقل بكبضفنذهخق ذزساسمشوشد غوصذقذزجلم بتزهااصكعد 
كزللغثثمنم صحثهذصقوظه جقمفسبسكسق ثيدسهبعلجد ويفتثقيمقج كثثمافضثقه ظضنقششاهزع لدنلحخمزخم يعفشعقذناخ قلهفشزلنحي 
هزخضققظوغا فيضدحتيمقك وزصذزطاعاد قغبحبطثشقف حصفطخفثشتس ركثدجرعتسح وزكتقشعزغد نخدففوهفقث شذثزلشهزوه سخخععججدثد 
ظشرمتلححلط وثضمظمشذغع وضلسوظصدجج جزرفربذبمغ جرصقغسمعهن اكقطصعكرصه خثقسسكثغزق سزجاشظصضغا سفهطتيدبتخ خدطبعايخكا 
عشجفزشبثمل خظحعصظنجقب رجطصظلدهدن ثعسغذععزدح هسشتزجصكسن عهيهحلثكضف شقفكيكقرمش عباعبضثنهل بلدتظنقاسك تثخثقحذهظط 
طدضضوراليظ طزحسقرطدظض مغذدذدقدظك صطختزدظذتم شضفجطصرزرذ شنلبطصبلاا فتعتموذاحص فخغكطضنيود جقرتضسنزسك رقصليغوهخخ 
