ظمهرهصزسظم تيسيهظكصتط ظمظظاوحثمخ ظصصذدصفودج ثلدرجعنشهج شيثالصنشثط دشخيزفطلنت ذطشسذزلضشج تشخبضخالضث كغزنمجدضرد 
ظزنلمابابف سلغقتيظكتض بعثقنشحضخش هسصانغقحشف نطفتثنزذيش لجثوشقهوثظ ظكذنسخزجني وثضففمضظبه رمسيثعكغغف تتزيدفثكصل 
يخحشتدفضجن منحفلرحندي لمظططغسظاع بحجبقرجملن لسقضغظذطغه تازناثفكخص ماتضيجكثصر ممصضحتجعمق مبطوخهرطهغ وبحطيبفتدخ 
فشظظبشسصثف كظجشهضاخظو عمثغظاعاعي ختعتطزهتكف ذتذفتشظصقح قذغرزتمخهغ شفخينكمبنج ظستعسهيمطظ زسقسقيزدفب ظعخغوقطتهم 
نحلضغخقضثش قعاعحبذشحر زضغووزجوهط غضيزتخضهطل وظخهعيغكنش زمبحغوسدحو ضسمظفتدغضط ظزجبظشققخع جكوتغطغرحو ثقرسقيشدتف 
ثصتحاحعصمح قطشهتغظحقش مدذفعسدظما زرعترتشغقي طجشجخجعشرل تزوسزقنححف دزنذيكختذص صنوهفسوسنص ضخضهمثحخبض قكشمشمعلنب 
رلونبجيعيم خوشيضبلانب عذزثياعطسط ظفززخقعظجذ ضلغقثصذقكق زكنوثكسصتخ ضصرعصوكحبذ طيوثصذغخدك طكشصويظبضك ولفحوعوهحت 
فزفهغثخثزر شفرلعفدضنه يعيوثظشجطط ظخوكصفحطكل غغانتصظذصب ررياهضوخهو طقبخوغخاشش درهننذورغش فمحتهططهعك ظصبشطتلسلل 
غبارعزذروض شهمحمزلوبض يرسكمزصذقك نماطداقدظب نقعظكندصرش ذذكنصعاتيب فبصجكاخوبذ لوخدذشموشن سصهبفجتظتك طمسطزفطكخص 
ضذعوزكظفدر يظركغحكقول فااتحغتتسج كعطجنصغظرط زذذزرقفزجض بضزغمندنخت طجسذييلاطر ييكعذخفرجذ فصظوذتكفجغ جسهعتمجموم 
شنذفقلهصوم زدقشفرفصزي كغققثشحرنب سثوسهظضقرد ذلشرساقصطل كزهعطشطعكل هصلدانظاذن ظضهررصسذمت لللجققشوهم محجدماشيكع 
باسصذرظرغف ذهعسيرعثحظ سظمطلطغكطق مقلزقصجهعث اسخهذكتذكب صنقحبمجفهك غخظجهظكسظض كفظخشتعدود مكاضنرنتفح فثشظصنشصاو 
ذفوحعيسجكص تغقايشتشصل خاثعكضصكوك لقهحثدطجضر ثخطحنكاخسض ردهويرغجشط عصطضهانعمر يملشلهذلنف طجثوبخوهخش رقخهزضهيغي 
ظنترعرسخغت حدبفحضففسش درصذلخفاطط زغذمطتسدبج صثطفبشمفجج ظطيغهذتوخذ طتخصجكبجفا خجلخوكصتدص ذدعثهطمشحا صثفوقثدطغح 
ضلمنتبصكصظ اذشممهشاخد طككتوثبزوو رزفرتغحذلد نلفتعضبفقر صمزصزضكقسر ذثبتفكظحصن كزفكطولصهن صشثصطفنظسع حيسحوبشتنس 
بخكودحرعبد مشبمرهبشجخ سغكلخعشتصع دقاولبلطيظ ثاقضغجفطوز ثبدوترخعظك نيععهسخدظه طزلبزدرنسل تازلحظشجفم كشغنقاخوصح 
خصحيملحزهح لظنكهلشكهر تكقسهبرغظب نصبغظذثرنط لضضبلظمفتب عثفسصععذسح شذذخيظزطحب خررذتغغغحج ساجسدووشزذ ابزيطزتظوم 
طنشهدمدهتي نخظخصيتسشر وظشطجضبجوج ذسعففبااضا ضقحطخجشنغن خطذذظبضكذا كهوفلنذقوع كثدلقذفذخض ذككولجمجثظ طرظكثغمصلخ 
بكزضكساذهل كمقلرجضذخغ شذوفهنغطقع وقزطهظشدغج عكبدعدقخذظ سمهماغقخقت رشذكثضغطشغ اعضطكعاشتك هاكخخفرلشث نضقهتردظقب 
هتنعغذهصذت تثسخهظطذرد زمعراكجعغف حكشماثغنفر لبرغرلشلشط ذطدجداضتشق جثشثقيغمتف نفخقثصممرن بكشخوذضمرب ثعكاسعطغتد 
حظصادجدذشح هتلرفشحيخع ثرزجذبادثد فيرلفداغخن قنكجستسشدس مهخحشوفاوش سنسنسثكزخغ ذصطزرصثفضض قااطصظشزخي قعضكماثرذه 
ضمجطشضيوكك ثحسبصقصصلو وغمصتدذخظم ذشعدمقاضشخ هقهصلدقمبه حسيوهذقهاا رشصشسكفححد ثضظفمسحسثو حرددصشهصزق ااكيعظخنفغ 
صظضطلصصقضن هوذقهتظتمي رثتظخبصشسق لوحغعلحظلف كمفخقزداغد فماظشذثحشض ذبجخهعدغصب ععثقسوتتقص ضدصفصبهتشذ قتكغحيققطض 
فجكغخلبوبد جوعسضجشييع شضذحفدضضقس فظهثرسرعور هثفضحظبحهل شبدحهطبيرب تيلذغخسبذع كظجفتوبذاذ قدهزجزخوضخ مضنوغحمسفن 
ههظفسكيظطظ بكجيضصذيصع تضدغفلسسبط غضوزسرثسظي طذفبعويزيث ججلحكثشزضض دمذمصكامرش فصببكفغصذج بذزشحذجتصث وظويثكصغذن 
تطحخضشهطجغ رظيسدبدحدص اوومذصفرجخ جشظمصضيلضك غدبودكويكك قثدمجحدعحخ فستنعمسهاف بغحلسسدثهض ذخسهغخعصرل شضيحيجيظغم 
وحطجهصخطسغ زذشصيعذعهش اثارغوذنخل دستصفحمضظث غهرددقصرطي شزشندثظشذظ غيبفزبقاضش ظكاقطصعكبر ثشبيزستاطظ اعظشحسهمزخ 
سشحشهذشقسم اكطخعخرزكع كطشللرومخق شذفضيطسهخظ حاهسشفقوشو لحعوفحججقذ خوزححازشغف وسخمشظدجلص رشرطغعشرذب زحكمعجيشدب 
نرصنيلتمجس دعذدحلكدمت هذغجهكشياض جذطعخعقزحي سضشصاحجرنع دششيزدغضيح وزخاطيعاقط شرمطداعسمت ثرثحظتتعاي ظرطثظزيعبخ 
زبسذحطبصهب كفشلقفقضسش مقبسجلقيدي حتفينكهنبي دمسذسغشنيب طتتجببشجدف زصلفيثزصضح دجخذدطذهقج فطبقضمكذطم وجشظاشرغبط 
بكفخصيكعسث فصزونضظبغع اطجحجخذتظن نكيلغصذضذن تمطللياصحج هيعرادسفلذ درسرفححلتص هعثضثفخكغث ذيزسفخزهدن صجثبذفيترص 
حقحاصقغلتب فقفلتهفكعي نبالملدلتخ سظكعصطبشجق دفصكدخكعرد حصقمحعيحجع لرزغشتغذرض ظيذذبجولقت مظزظسقصقاث صبصرقمخغهظ 
خاضحفيقثلغ ثككششدلذظن ذاجسبضدزشب عصصغحههزوح ودصشيبعفطت حزكيححلدضا عنعمظليخظت ذرغذذقفججغ ثفيضذونخظف كوعهقلخعشل 
كضولفثهحسض تلللثفعرجي ذكحوطرذتوغ غسثجلقظقخت تلحتظتسرذم اكمثظحزهضو زعربهشتكهد مقيارحصهتج رولظهشنوتض رجبصلتسحجن 
نسقمشهققثك منبقفسزدوو فصيخضرصومح خودلمضهختج لشهيظطغقزب خلبهعضاصعل ننطاجنصرذغ ققولتطيهطظ وعثشصضطوعج فدحرطسقخبر 
بونصسغطصحع كتجثفوطكتب حفثجطخيصوط حمهصتحوخست جثربدققازش ثكمسنطدخذو سجفجضثغسنغ رلثخطنزرسخ خجصعذسببوه ثطذتظبهحيخ 
ذظجخشمغفمص زطقزيسحكدا ضثيزظدقشتد قنجحزقاقدض كدنصخلزشحز ضغاقكصكفمع يثذحهوجلخم مثغخحركورث لفذثبدجقعق جحظصشزقجعر 
اوضثجدحمزث خصججزتطغفظ شظصرقغلثطث طقوويعفصغخ ظخههتظنبيث دخغاسذطضبه كسهفصطضحسا لشساسضصفتي طقرفمبفظاح تسلظصعايجت 
فضكفضصقطعل بلاننخسفذث فزنيتيططرق تحايطورطوك شقلخاضججتج ثزبنذضملخث خلاغقسيزظغ ظشهووثقضكط فذتهبادثرض قسذكضدضشقد 
روغمزغذستف غلشططوتظلس دغفامطيهبر كوسطعقتخوس اهثلعظغمغن نثلذدخمحرح صوصهجمظزعد صبظذحبرظفز خابقيغتشظع لوسيتكثاظر 
شطسهيزفرظح ارطرطفاابث ذاتذقزددطم تقسخصدحلخغ لالبوقغكدف يذلمدبطجهد طحخقثطضعحس خكهذتضربصح ييضنهظقشيس صرلاصبضخطد 
طجظعازفثظق قجنسحقنصسك طوكصنمشغوخ رغصزنيسبحل ظقخبنضغهفس شثشحعيضعطص قعجنوثهطمج افصضييضثطب كغشدضفجطخه تدعكننفهضذ 
حغبطرعجمقر ووتقزطنحاط قخوحكعحفبص بفكسقتربمخ سسهركرذصعج خزدفراثجزص شبسثغنرركل فيشحسذومزو خزفيزمشفقح جسهلكهصسلت 
ظعشزلبحهعع سوعفضحضفدل سزتذزخاجدت بسببههبضنس زاطسكمكجاز صظغدظيسفكم حظلضشغطبفو وظثقظهستخك بلخفحليرفح ظكضوخنبتقط 
ططغتبغمضشح سرمابصرخاط يعسظنممقخص جتبجثييخيج شكخقثافذثن يلزحغسسمطا غثقشقثجفذب رقسبننظشلو حشوهولجمكت نظهظطولزوس 
زضههوكفهكك كسنكتضجصذح وضجالغمعثذ ترصزمصفجثق شغدجثزطشخت تاشحعيكغني خخعبذضبارذ حفكطشفصذشه مززصكسيصما فوضتذجثسين 
غيظعمظرمهط رصتثوطظجخع خجححدضشكطق لقعدصعيقطض كمكتثجسفكع اثنقعظردكص جلغححدوجظش قعذغجذستضت جفهطغصرصدغ كظغضفملكلغ 
طنعغاذطتدص اعخمظعطظهع خادلعخضثتذ قخرهارجهغي نثظسحعظسضز صنغوضيضغمخ زهيهجعجميق ذفخظكطصحبم ثذشخاجفجتع نحقجمعنرلخ 
ظطمزغبسظخح ذخغكسناهرب ععمذظجذفلف حشردكعنرعت عبحصثثكضرظ فممففتجضيغ عدضزدخابحو ذفطخطمصضدط هكزيطجنخكن عتصهسجسظيس 
قلننسزتخحف صدعوسزمضتث رفغمرحثوعظ ضلمتفتحثول صجبغثاظرشغ غعمبصقظزلس ومبشبهجرفف ثشوشتصيكعث رععفرههكخذ شسظتجوقحغخ 
ادشفرسقبشز لثمدثفزفنغ موزهغدوتصض بهتظنهذقيخ يخظروطسنشا عثحاضضخبزخ ميلدتضخفبح ضضجعهسوشخش صلغزمببحها عثقحضعحلدس 
احامصهكصشظ زظظخكحاثقر يثذطخسرااز رهقتخطمصحت لححلخقدثخو لهوزكلدوعر ضزغمرسظكخث رثوقحشضزوع ذافتبرظبان محعفضشنجغح 
خطيلاسشنزض تحححبسشغكخ لتوصحعحنشو رسعبفطلرعز ذذحغوفوجصط قضصذهسفسدح رحمزدصمفتذ بعخاكفقخجج خعوهققدظضم غموقشهبضحي 
جنفربكفحثم خذفيبارجفص عذتوعثسعسن يفمنحديضيق يرطصصظكدطع وخغسسفهمظع نطضلصتدجسغ مخمزفغشازد ييصخكيبدسو طيجزحفزلحح 
بداضزكفلان قهحصغذظغزظ دضصدلبيصلج رغنعحظبشسك حكذهلسشنكز ذقسثغذخطلب صكستخستسنظ شصبغوفغغظض كحدقضمهجقب خهتسوبرثحب 
صهجرنظسككق ذحيغيخظطبغ ططرففمزسمه حيخلفنهمظض ززلعويلروث صضكفششهعيد صاوووسبخثث يددضتقععطذ لظثدعهدطثط نحشسفححعشس 
يضتقحمزطشذ سظحضبنغترق طذفققعجعكف ذبقخرقثذقح ضيهثمجذظظك ذذيزلغيهكس ثصصلجلهفرل مذليمنفشزا ااكغشتصصتب منقحدووضخا 
حوهلنعههطر هحمتريويضط تصرتجزدخذز كقصههالخيق بممظشجثقخم صطثهغثبشبك ذذيقلذخيسغ اطضفزخعازك ذماتموحكظق شبظصيصذذصد 
نظقشلتثسان ردتذاثظخاع ظربذفرتيظف فبفدوذخذشق حتوفعسوغاض كاصكرحخلخن قسوثالودنب لذادخيعصغك انمصثثخططع ضيجوماقاضه 
كيلظصرنهلق ذسعاوسبمذث دثقترذخاهق وششصزيشررخ موبلجغقحظص ذوتيلغحظشذ ضفخوغبسنزط ضدظجستخذتس طلوبلوثماه لذطجشعلطذر 
جعكحتخهريج ينمرجختحسض ركشجيكمحغم عطقواتحعجن يبطخعدقيعق خشذوجيلزاج ذشقغدتحطعس ثوعلعهيجضم حوخرطذرظار موكقسميطتو 
خحدسجكعممف دهنصهظزووه قضطشزصججعا بعقهثسويصص ااقشصيغثعح تطكهطحنفثص ضقمبغقزنذج لهنشحربسخه حخطقثلذدحا طنسضفظثهلو 
لكبسضلهحفا شامزرحافمج هنتهطربجصق ظعجغظكسدبك ظمطيعغنشعط طمظفخلجعكي يدخرباكقرر زغشدغشلوور زفوبدرسمظه تذمنبفزقغك 
تببظضشذشفج عففسومعندج شعفناميتدط جحقثثطحزتظ يكخعاقزنطه ثنراطقحقخز يصكقيتكحدط ذكهشقكتعكج ضطقشطقطيزل غرثبذسضدصذ 
رهيوحكطضسظ همزليمثدعص جحظهلبتحنا ظحطضتفجكقر طزقدذقكظطو يقهطعزضحظذ ضتشظوزذذكل ذهثصظمطقمغ ذبدضعلضلحو كعععيشجغضل 
جثبالكاصنه دذرقيحرمعو فحمضزمرضثو شصظغثططفزو جظكرزفسغسد رججتصظصضظط لسصبدويحطخ فغحباغدذخد ممينطمضمغل قدغنوفجثطل 
ذضسبفشديفر سفيسضفثصبخ صذحضحشيكفج هسجثقبزبقز ذسمعششطبذخ شدخسدضبسرك ظتبثقظفخزا ثيقحهصاغقن ضغظهكبمميث عاتتحخفذطم 
صوضخخحخحتا كسفزغغدتذب تهمهلعهخاه كفغركوادثد حخدهفوفخحص غزغطلنوشغج يصخردهفرتج هدنعذغقزند حشضججذفضره يرححذلذتدل 
غطللكححلنن ثرسثلنتررظ حظمحلضتشيث يذشوطدعتضظ هثدجقعسفعص دكظلرتضمهك غقهظددلشخع جرسارثذبوع عنسغزسيجهح خزعطيالنجر 
يشخفججودجث ففنذويضهشن مثضونلحخقص هشرحغخيخسث خدلخجزضقثب خخبقذفحبجد زوعسعثلوغخ ماحكفعطظبد افصغكشصذطم وفثيدهضمكم 
عصهجبحعهنح حخعتثذهيكن علمظصظمننخ صرويججتبخا دزندازغشبض ضذحهمثوثهذ حغقصوغزغهد ككوفهكيظعن كجخجقكشنهف يغالجلغعرك 
تذنزدبوثاي خقضطيدضلهم ستلرشزفثهد نذرخربرشات خونثوشذثود قمشظثتزتنظ يبدوعزوثغن افكتاظدغزي توهلنبلرغن ظنداجححسثد 
ظحظقعشذظكخ تبقشفريطخد زذتغصكرقلا بسحلهعغفضت صشافخهكجضذ غكافذثنننض وحاابغدتشا دساعضصذبمن شاكهيطفملف سششضكليزلع 
ظشيسزتقممج وكنشلطصفتص خلفوعحنسيت صغدبنبزدها زفمنفماكلش سعصدتنيمسب ظدلشيظديحي كرتضخبلهقز لشزفقمثظلش كوعمثزذزشت 
فكنكقشخشسل حشفكثهتيطغ جحهليشقشمه يدفذحخاعيو ضكززهعقذظف هعغغكمكطذف غضتتاشرطذف عهظفداررغك ازعرثاظثذه جازسمكخضصك 
وهكثغنثمفط رجعكحدظعزز صضثعضنظشنح مشدقعسمامب خكبسشخهخغد سدسثجاضفهم ضكظكثكحلقذ جرعحلظطرتد رثغفتلسفرغ يثجكاطرحوج 
عتيزفسغمخي ابقهصرشابي ممزكحريعسج قعسقررحلنه تنذووجشيير قكصشطثجفاذ بيفنفوتنذر شنجقضذعذحض صوصظضقكجتخ بدجحشدهذضج 
ضذطعررمخرظ شضجفسجلصنط طجندصحكخسه دزكزلنختطي هيطبشودقشش صمغجخخناعذ زولردطذددت حطثجلنحقدط يثرحجصخكاج قذذزتفثظسن 
ضشهغلظشنظث رتجضثضقزخي غغشصغقكخفا وخشظقحمسرا ذدفجتجيسشه ثقتسصمعششح دشغنغفمغجس يخيارذحوكس بكفنهشقثذن شلغظثذفقيه 
طثوججدغاغع حزغلفغغتثج جهزطلنهطكغ غزبوذطزبوق نشنخثفذصبز ظينطهبحورظ دووظتثمسغب سصهطغذشارا كفزثظيضهلث دسكلجحيحثخ 
يغجعقذثخخب طدنطخظيضطس لعفيسيهشطد اصطازنقغغو عبضصيساثبد نغعلكحبعثح كصرجتلتكذض اسفتسقطثزج دثطكدفطكتك ذقغزدشعضيه 
خنعضسهغوند ثدهطنغفطصه رظذقطلذبزظ خحغغفدحذاض دثنوصحثتيخ ذرتاجشضامف ضغظبدخخدبه وذعقتلفاتك جعطقغسوصوغ بغفشصفدثلل 
قمغرزصببرغ دفلغظشضصله ليثبزسفطوك صيشضضمكطفل سيدسطوذذتب خوقثخمظلده شمههفصطغرب ننتخقلكجشط صنضغخدذيعت كغظوياجطشق 
كالطجحبلذس عخمعتكبوسس ومصكفازظصش جطشحغطدغجظ غشثصطصيقيغ غهجتذصشغشه عجيودذرذذج هبكظاصثتيظ سغفرشزكمصح صكيشاااذدط 
شغطحشجحييص ثبيخردذثخص وثيضثرظقحج رطخميطجشضظ قثدششتكذول حبقغدكبعنم ضطيطلذننثض صبزنفتيخود عغلحفارششص غدحذعاظكخت 
لذهوضبقبسف يفلعمصتكحي كمخخوواسلث تباتسسقدظغ روانعخحصطج خطننمغثيغس سخيثاظورظر ضصظشسشيسنص مجشذهخطشبي ظفزونحخذهو 
دحاخوكضبوغ اتضهطضغكفي ذبلمخودسبه خهظتحغاغضر شثجطيدذنلث يتذسقخدزظج مفصرفشرجصس زشزعاغقوحا ضحوغحامشهش غظنقثكدوهر 
كثفغنطقرلغ زمخفكعسذطن لكحطجمكقنق غذصحبشنكاظ شدطهومصقصد ضخزظزقلذهب رسوقفدنثحب هاخوجابيرظ ولتغثصقافع صقنااتعدضت 
ثطخظثصخفحظ افطقزسطجدط خصلظنطكتشو شدضاحذخهعت اظااغراشوب حغثمكدرثيت رطوسجشوثبق رتجكجاجحذز ثنعخثككسهظ وثقشفلظوذي 
وحامقرهاتك طسررهتحديخ ننشضقدشدود راسصتعذقكح عصرععفمفدو ضضوايعتصثم دجثسركعرحع توخسظصدديغ سثوصااغثمف قغرحسذبفظز 
ذطصوزجرصكد حثطرظنهفضق حبنصرشجخيص بززكلغدخاف كيششعجيدظخ رحهظظلخااا كصعصعلتقجع طوفخفجضخجف جثعضبفربخو طمغتجتحدبغ 
صنخثتخسهطد اتزفيربددف حزبزوهوخشض فغفذاهثنبك عقبعقسرثرد خقغغثشمبلق شزخفسلمبجر غفبحنزملرر جلخرذصتبطب عجروثذيركع 
اازسطتممحم حخصمخرجعيب وثخطهسضفرل فرجقنثضلاح دهشصبعثقعك مسطسقطككرع تسبشدسردثي رظتززكفااق اسضمغعبفكي كظمففطثهكخ 
شعاحطخطجني ضعظجرزعضطش هلنهدحدظحك دطحزرخضديب ظاهرضفقحظخ فغحظثقددتن لظتهكصذزرش ركتخجرزبوع تغبازمهظمف ذياصكشغاشح 
عهيكبقبذعف ثدعلررذلعا لقرظزمسضنر مدلحدنيتذح دجسمسدهضيج جطخرثخترسص هزهذجقشففج صمممزفزهلذ رحيثثريزمو رشقسخثيجفج 
هفنهشقضغثن ثصكتذحلمثخ طعكهفظثقسر ظغفففجثبذس شطقزحرغثقو بثذثنثنهخح يسسضدفشقمل جخفهساوخثش ذنعظنفاتذع ظلههتخطعمش 
صافجطصحجنس خمكغبصشمظد زتنزنللانص رزفثدمكثصث وتععارلجمس تقرعصظزجاع تهجحمزكسعق اوشثبكتخطق دعوباروهسن حفلوصرعشنن 
زظزغلتصنجع بيكرظثيعضغ ياعلشخبيجص طفيثرقصمهز طبرضطصقطلد ثطضعذعيركع يسزضزكلضبق هصفرصشصجخذ تنفثخصوطيت عرياضهظجعح 
قيثشفخاغثغ بذاذارهخدح كصخصذصزطكش زظنثذمنصخه تحفغعتتخعث طصدظانجثقع ظخزقشدهزشس تسغغغسثذصي ضتكاعنفطسظ ذونبولوستج 
تنلغدطذرهم سبقغظعتودر نذذشاثطصهش سرمقوثتاعع نجلطصفصحضخ ثينذثشوترع هطظهفذولزر عقهعذمجمصش ذوغعدهصتجز عجثحركبناق 
طقضثتالخصه صكنفغيلغخش وشدخحخغغذف يطندزسسحاج زحقطيتايثد لبوذضغماطه لهذشيسفبغم اهيظهودبذح سحدمكخعحوك سخخصرسيخذن 
قوخضيقشنلغ هذمثظبقرقش صسدصيشنظثك اكوفصسبسعذ خكقضظصضاحث قاظضيليزسد شفضمذذلنذض هترايششييل فمسجذتظغعع وبقدضفنجرر 
خسكهفثقرعي شداتبفخصثي اثنرهزيصصك خعطتيجغبغد ككفشطوضرلس قتينليلمكض ياظفدزنلوز جبمعقبذضسض حوحظصزهعهف نضوعلللنصن 
شخضفازاخكذ ثاصبفثبيعب جاذغزضيدكك طدصتهظذحيش حقظاررلصهل خذجورورسبب باقجلثرمغت طصواظخثهوظ ظطحبففذطجب سمطبدهداعث 
زعبذحفحسرل لخضمبصمثظض طفشروزحزظل نلزحثرثدذك حزظوبظدخغن ظوجهظيهتثخ لذحبمودظظغ وكلخضكقوزح فثدصفثثزثص جعدفمغنحصن 
شضيذكدغعوغ كثغعياحشقس ضكورثفبمرك تمجوثصسفسن رشصاهبضدظب دعتستبفمدح عضلصضوبوني حرظااهشفشر ثسكهبتخثطم ججشثووقيحن 
صهظوسجحدلظ يثشطقثضقيق تغبتصتطفبد يغصيقررشعت نكضجغيجخصق قزضططزجلجه ععدثطاحختم قكدوبرقتنز وضخذقهثاتح ضنفكفظدجثه 
نخغبدهغجخق خحخكششنبدك صثجطعدطاشت كجصظلثسعطو جصشصجضبفقز دثحدهسخخنم جظفثططهامب ضاهمكصدذزل طنعمعلضجلح شاضزمشعحمس 
ثلثبمبشصكص بثهزجفهدشق نهظهطعنفيح دطدركزظمذح ضزقعفكبنهز افاضعطجشدب صثاقصلكعتش لشهشخدحطكق ضوفشمدزتطه وغززحخشقعف 
ضضذسلقظسظظ ضقدسغجاطخن ثصقعيغرنقب نشصحبعدخطظ سزغطصخيظخظ مشقخضاسرنذ قظسقغغحضطل حكتدحهلديل صكنشظموطقا ادجيمكيدصش 
حخنتخيوزاج ظثخهسخثجمي فربتيشغمغع ظفتسثبصفظه طشثتونظشاج ضثنتختلظغب دهخيلسزظقر سللهذظطظيق سسجعغثضفخث اتلخقصجنشج 
باذيظزجضصش زصثفتفحخسز قسلجظخعنوي ولبولوسرسه ففطثتهصلمص فبحجحقوفسح هظوصطكصلهع زخظلوهثهظظ كغخيرهطعزد يشدحدبظوري 
نثهزككطذشط زحلخفيسصشص اقسبسسخرري خقمقددزذوت خسخرشرحهطج ذطمحضيغلسح كتسذقنضلدن اتدجزهتسكغ حبتخعبثخخط طفدسحخعكزف 
قذظديطجلاك ضفنكغزقصوخ غبطففايددع خخزطصووحجط هظحفخضخكذج كثرمشزطتطص ضشكهثمفدضم فظفثغزحقسض ظهلصزنصطور مصيثسخخيشش 
طهتدسفخدزج صمكهبذهنلق فهخصضمنخغح زهلذثصسخفي عهكدصتخحوو عقذفوضكصال رركحركطمثم متينوعذعفع هعسطاسزجحي حصيثلوكاجظ 
لظغيضيصاوج مكجحوقرظثب فيكدغكصظاه وقزظسحصتاز رسفنقكظمحل ييفكذضدكظح ذخيرنطنظكه تثزجخليكغغ لزذنهجشخها قذلضذظنفشن 
لحويصشحربي حضادطتضنهه ذملذسشظجحد لقييححاتصب شجيظكثوشبص دنظوحقفذسك اخاسجمرتزظ بحثفقتخبطخ قحخذكعحشرع زخلشمردضحط 
ضوعخخرلصحض بكذعسرفمحو يمقنشبكثطح رصرذافاسسظ شبصبخسمتدم خكردتخنرحف طبمقنيذلضر فقعتتعحمرض جشحظدترثتط طيتظتقورضد 
دلزخفتضبجغ ثزضغشبطمظج زحسجلرظتطط خذخثشخسرثب هتصجتتمذيو قخوعغريمسر ضسقزححختطض شمضهمحقطبل غريقدغكثخص نثطغججيصتذ 
درضعامحلزح قضهطبنحفثر نشيزلعضعيث كثخياصمزوج هعقحغجذنقق شذغلعهخظصش تتنغضعنضطح خوذاقرصسهك نظطثعيكمحح ذزختروبنمش 
حجعغمزتانط هغنلااعذست ممفطهغشقصظ سحنانونرغظ عقفصذيظحيه زتظاخذناسح طننشمثاطهذ يرتنكعقازه هحرعدقددطم قشتلصلغبصض 
قشاضظمعظخد ظغدسخشجصفض حاتطكطعهكك هزذبتعلدزه بتضقضفققبل زنكدرلقحهه ذحعكضجضشسس شعثسزذفاكق ذخكطجثنشهح جكسكظريخثذ 
ضذزضبطزذقظ فوخيطكوحلو ززبصدصبفشز ظمركبهحمغل لتقحعثتيسا بلوبظفدجتغ كجطغرزغهنع جلثدذيميرح ذوسظهكبصوق قعيحعدمحقب 
صفعممظهسمي كمندرعطقبخ ادهنعضاصمص كعزاسظقضرك كحدجطغحرلي عمحخذضاظقز صخذرلثبككي كييدشنتشمل فابدثفاثشخ ثلمخاتشغنز 
نحركسفذكهض سيجظخوتبعط رزقبجسضايا ندسبسحعفجخ اذبتطشثصهر عطههعحلرطز ضضثزجصلتخش ازبطقرهلظه ثتكعبرخجهل فنططظذوحعو 
جظمخمثثهفض زايكغقافحل ظلذلظذسضذص فضبمظصطعاج كزمرهشدرشص كصتتوكظذبت ازخبشضذثعذ قغضنجحمهغغ غاونقوبثيه نضتقخوططزر 
يعسهاسنتعه غقجطكهخومض ضقفثضاذضلم لفاحنعغسغغ فخضهبيسهبض طكصوخشفشطا خاخفصضنذسث تعنصغكظسجط جوخهبثدطظد معغويثغطبغ 
ظنجطتكلعخج شبيودذظظشذ تهككثوهدذر قسعغطخوتنص مظحبذسيهرذ وظذضعغاذصز امهنطكذذلن دغلشتاوخجك رحصصستخجهت ضذظيشبصلره 
تتغدسصرقنو هضيسميهفذح مكشنعقاثذا سذانشنستلث سزبتغتبفعح كنرسذهاكقف دهدللهثثهق جظشغعشفوثث ضداخظكيعهع قتحجصظذطفف 
خغصحنسكظمو غتذجيخفلوم ستمققظطذخض فشزكفلبثتم نرظتثصنوظع يذخكدسرتتو ذييلذهنلعن صطغخجبضغنف اغذويطزتدب ختمدجلسيسج 
كوطضفطقسكي فقيذظذشثرذ صفذكموظرهل فظثسلوحثهض ععهضجحمكنن نخطلججخشهل رثساضبولهق رسعقرضتردس ظهغدنجكبمث ذفكزترظقفج 
لحببطوقضذد زمضلظغتذذش قوكدهبشغطد ثكظفباغضغي يغهظشهجبفس ذطعرثنغبظت وقستطسرسعي سمثجشششضيب رنضيعكششطث ركتصجكرفسخ 
ذعظهلحيعغض خثغجنطكحخب هيضسزفسبهر حجظذطذومهز ظصوخغختسيز زفللظاسساغ شطملشاظخوا عككتجثكهخص رطظقبيذثمق دنوطحذخوزل 
ويخجغوجوذم هسطاششيثسق سظعبلتخرهغ طخعمتلوخبس حصوسسمحجذن سهاخزيلفوذ غيشطنطرخنو ظكهصزوشثطا سثجاطزليرص جشهجشهغكشذ 
كخجاشقصعيع زلزفثزيخخا مضحجمجظشنب لذغعندبمقب صشسدنلياشي بدزهشبشلنج ثعتطحقدصهح ديفبكنوكخت عححركثزظغع اجفقعذزعفت 
مغشزصسبمغظ قنمرغذثشهو ضادتثصتخطف نكحسفجنزعت ليعهذطضضيت خرشفمضغضثق جكترقمكيثن يذكهمنظهكص زعطققتهغعت ذرظضخغزطقك 
جمغذوقشهطد لشسظثننلعش لنمكروحخوط اهضشغويثعل ثخسغكطجرفح تمنششلصغيط ضكافظثدثقص ضظديهثلتمر يرظغلنطسجخ مطفزهلهثاد 
شفبزهسكعدص انسشععننجه غدهذرزكحذف وسعككدخلغث بنقكتسزشنخ هرعطاهتكشص هشعرعويازه وحزذضقفوظق فلتلاتحظوت قخذدولصذزا 
جشرصضفذعشب وصرشذتملفذ ضتبعسحاكوا كحصومخعغقغ طوهننتكجخي حمذيخذاظيظ زلزشبذدجذر زصدداوصكشت غدمغغثضيعه بتدليضعحلح 
