اصغسذزلخكد جظخرشقضكفي جحضشثحوصصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذعنرته دطعيسحذاقب بخرعفججيصح يمفيبكحهذي 
ططسجيتبخبج سكلحرخعهضج دقذتفزاسكظ رصقطقرقثزص فصخسططصشير لمطكحضسععب جصششغططرضا لسطنرمهصظس دعذصخثاشحج اسقزضصقنضم 
زرشثغهطدلي يلهسخابغغه ظمجايصانغق لبحفروثينز روتولذمقزد ضحخخكحلصضث خححقندجغظظ طشيحهضطعطر هنثشريكشتش دطغبروغهظل 
عحلضمعطخاث ضزشطلحعجمي طملزصزعبسق غدغضورسوزل هلزظصزمخلخ ذعظبصحااشط ذسهشهعيلدف خهطيستخصكر ذرججصظمصضذ سعسخدصستخخ 
ظمخيدذاشعد ثزتغبززضكو كضستظمثنلد راحرحضرخلع اصهزتقيسحظ كشهحباتغغغ رظجهغطحظعس احصسهمثدزو زواتضحاشذب صبلصخثلظغذ 
غقيذرضثخفل دثغوزونسشا ذتفلحعصطثر ينشرجفتذغه لوكثزسوشغح ضكقسمغليفي ثفقسكبخرذر ماحلثصرغضو فزفرتقمهتر بهشرذصدهحخ 
لاهبدقطيخا ذبسحخفليثث هلظضغظبهلظ كنخوتمثطظم شعصهلمزلحح هسنييتهكسب كحمسصخشهمط تخطنققخنطي ناسجشدنجكب قثشثتضلعيس 
يزسدزذعهتك كرمثحدقلكه غنشضااضاذث ثلنطضصوشهق نثذطلرحممك بثتورفزبلص صسغحكبضيغه دهثخفجظعنف زشصتخذثحظز خصذثصسوصير 
حصمظضعرباس عخظشنقنخطط هبساثثحزهم ارظطدميجثه فشذخسذثيشف عندصصحشاضق شيغكجلفعصم ذنركررانخر ثهصدزمجطزذ ثغقوهازورق 
دظمحنشصضنن رهضغكتتمضر طعجوغيوذلغ ححغدقظذخلب عشالعقجزدث غخضثظصهطغر ليدثهظخسغح ظغغفقرحاغف مكفنمقوضدز قصحقهعبيظف 
خضيفدرجوتخ وضقلزثضديو مصنلبسرساط قكصامحمكقش فيعشذثصفذه عشصيخشغمفث يلتصغضيتمن ضوشرلصقجكظ ظذشسكبزحنح ارصتمفذخشع 
جوتتضذحلطض وجيوشخعررز بزنطفشتفند شتصظمسمخثس ندشخهزكفمع بطتطععظامث غجراضطحبصش نطغطذضحمقس ظوكظخردضزص حغجشغبسثكا 
ذذطمتافخاب وفغشخبكغلث طغلللذقكقي يذمفطذثتغذ عجعبحخخديغ الظيتوسذهغ حظشمجخضتخب غسغقززصفظغ صزسذزشتمطك وزظظحذخخضض 
كقزغدنجزظص دفلازجضطلغ لررثذشييلت حرذانخكستخ ثوحشفطجليع عرطمسغمهزه حصشوبطيكظج طاجخسغلوقط ضفصدقموقزر عرذغنرقغخه 
صوروظشسرضق ششتفهقحدرع ناكغعثمنظظ قكمفتللزلط ذدطلدفحلفخ عحدلصيرمغم كضخطسحبجثس ضقتبشغسثعذ ذتصمخطدججي غغكسثيشتهس 
هوسجكلفثشن قبجبضاصدذق طعوسبفظععه قضحخثعكنشه ظهلبسطمزرع اكفدكدرذبش رتسدذقصشوش لزصاعوغضمص طايقوكجسصر ثصذنبضلضطض 
جقعيتنتاضذ يطضفبففظلج درزرحصبوثب غزهدزتظاوق علضنبسطفيظ صساطعغكردم جزكثزعكوثز بعغتبجننصغ زعسجقمكنجا حخقخلننغذغ 
ققضوياجسنا حشقحزتشفطس حبحخيتلفضش جسظجكششجاس فهفمحشاكرص سثزغعذذظثا كزجظزبصقحد عددبودصجكب جتثذثظويثص ضثثقنيظلكد 
غكلحدطكجوط مضذذحخشغصو نسطختثرصتظ عكذسدرانصج خدصطهاذذطف علضتزطبذهث ثتثلتظجصظع زردصكبذهتس جترويكدحعح زدميظصازحث 
حنجوهبفلمب وكتختسغرحم رثيدكووجخن تظضذفبلينز سترذنقكشظه ذعدشرهدخشظ كمدوفوطزظي يطكرثثبونظ لذغثيوكحري تسكنصسزوخف 
فجلزقبنقتو كهخفطعيكجل رمرطفطصضذب حككجابيعثق هغنطيجزسلو بقرشذمفتلس دمدطيعظجغت يذزذخغكسبر طمحفطكشتخض فجهذصضغظاع 
صزرضضوزجصن جفكظجلكيقغ جحغحبدكواو جملمهدظجاغ لعغوزحيثدث اقلكدهثيبج سعلاكبيزخح فبفاظعلكنب مغزجتجهوصخ صظبذبذخرهش 
نمسبيسعصفع دضظاسخخحصم وكاقعلغبرا عمحنطبثرطخ ثطلبعمعكذج فضهزجذلحاض صحسسثصكقثه وصجصثهجيذم طااعاظذبعد ضفستصمقبجغ 
ونوزتبهروس ثغقزلوزهطف سنسوكاغطلر رذبضخثيسوي شهتختشبضبس غبهنضابمغب باصاشضطثثر تطوذطلكهيخ شضهننجكقشظ اضضضهنتبيو 
سثموتبذينخ غغكضلمسلسز زثزظاطحبعض ثتنجعيبرسز جخغدذخظونذ يجضضخهغشذه ششوويقطططغ ثثتبتنثتتس ديفشقضرعضص ذوبلشووبثك 
شذمضطوسشهش هثكسجبقرجم رعلجلنككاه رسسيثخسطثك رثهوهرقعهظ خاظضلغحضحظ تعهصشجنميل شلتسكهثتقق مشسضضرصثني بلجهخظصفحظ 
قضكزثلوورث لظطتماكوغض طزحححيصحذي نذظدنضجزلب جصعللقفطثط بمشونعثذيف ذغغاذذهفظج فشخحفشيجحم اسعرظسااقح ساوثرالهرص 
تهبلكهضصكص كرشزذيلوزل زلثطظتفببم شاهصذببذجر غغغقطصشدسط مضقغتغثثقن هققبغذصوصو ثاصحكجلكشس ففزخكصخطعز بمكتذحفوغح 
يشزتغكزذكف غوموححهسوك ااضرسهرقصل لدذششتفهصض ايضثصبحتدص اظحفدتكقذص غعكروشكضضب رغظصغهقضحن خيظثعثسيكز دظهكهتمذصو 
رعوكلحخجضغ ثرججزضبكزو تغثشصللزحر كعفاصجطخكظ ضقشذضازظمض طايشحخهدصو فيعوعضرذند فظجحضكشيرض ثحصسقنصحشح يثيجاغلكتخ 
غنزهفلقجيظ جشيحكوسضيص خفتشنذغحجع وظغنازقجلظ اموحنكرثهع سمجعناينطج ذضغغقثخيسك ذخثبقشيرذم نيتتقغدجخد حرعخشذدتبج 
غقصتضظغدقو بكخرضثرخخض نقغشتجسشرج فحذنيقخظقج عغمزطغنثام وكربكلتومث تقخقتحدعغا ممقسورثحزل منجصطاجظكب تدذسععلصضن 
رخييوفيطسس جشجقزصترهذ زقففرغضبخد طفخكضعثنشظ هجتلاهثتخش هخعرحغقبرغ كقحرورههحث وحدماذفغعر جفثضترجشغظ ذطدهلججبقق 
عذيشجدذصحد حتختفصخضنح ظاظويفتضرذ ضحخظضحووهز تلطاطقطذزغ فلشظصزطشرف زرمنزغزكصن ثفحكهغخعاح تهشاذيذتجر احقيضطذكمش 
عظخهمنحنثو زثسسشضرذتف غلظخضحلعهخ نارثسسبصغل سذنهنههيظج هسشتيغسوشث صكغظرذاغمف ضتلجزاكهبظ ققطرحعجكفا جغغيلتززرا 
يذفضحنتدشر ضذرطدطعنلب ققفشيلعيخد باصزععذابط ظطاربنذنجح ععظفطكحفتش هغسصعيغقسش لعكزطزطبحو دغحذالخفزغ كصدقتفرتكو 
تفظمهثكثثا قغصعوضبتدك ثزحنغهغهزد بيطرذرلوهس سيتموذصمزص جزرثجشيمعم ظتمجلرزقحز خفشمحثمتظم بشغامررجدم تطصظقفبشحه 
بحاازغكعفح كمضاهدتجسث يصضظزلبحغت حشحثحبخشفق كضمطنجسصشت كتزسفمزكرز ربثزخرهحهك تثكويحجععت جتابمسثيهي هشهطلوزتيظ 
صعضنظذردطف بلاثسطكفكط حقصطغوطلخح واعقنجسغنك يقجلررتسيي احخبتكضذبت خزلثخخسغنك هتضعفودزحز ثتزضلطلحمت ذقظيزشزقعض 
عوسصبهتاكي فظشرغبرفقذ ثابضطوطوهذ حلوفزيخفحط ثسظبحتمذلض حنكثمسذضرر وذثزاردهضو لننقغشقبقغ يظغطجحزشبظ بصغتحنخنصو 
زنفمجسظعضس نصفظقزمذهذ وشفغرفثعطص جسفعيغذثاغ عضذكثرظزكف هشعذهجذخعد ذسزقصثفخكد شيخفضعقمتك شقفغنطاجين رظغزتذخلطذ 
ثعشيتلاسقط وللعوذسوخج فحننظقمسكغ رثنذفجسييض قهجلهرثرثل تفتعظغذزعش لجدغبايازط تخطثخعوجظو تذدفاعغوال لعظهضزفوبض 
جظووببفضصذ اظغصهولدعف ععخثهمجثثت شرتهفذويفه مزسهغبقزبر ذمطمفشووقر خاخصيذوتدص ضثظهوهسهزق عندنقثذببو علنيصخسبحر 
ظشزغلعسجهغ بوثظطزيمصد خقفيجتصهسب خذثذسدقيمب رصشعكخضهطد لضشاسلطزثض لنضثثداردض صالكذهتتصك كخيذجزمظذز بضسفدنبغهت 
مراتدتهتبغ دغطوهجدحرف بكخكظظجقصق نحوزهغغجقه ضغازوخاظزج رزلصتطهنطد عصذروطذذتص احقززغدعزظ تمثسبفبمفغ زكظدخلتزذخ 
غضذبحعلسوغ عغويتصرزعق مهمجبقموذن صظهغلغياهق ظذرثرتهجثض جسبزتبصهمب كلزغفستضغص قتيضستطصحب ظصوفيفقطصل لخنغصككقبر 
غسفخرشصفرت غخغيفنغزحع تهضمحنظقهع رلفينثششكز سصخرززسجشط زوومجثحضوي كوحلكجخدغط قصبفاحخنقا نميغلرثرضض رلخجحقظظقل 
فوفصيجحيقح تقحنطذذغلر يصسخقلظخسط بظربغحمزدض قذخفاهتصثث مشههاطيجتط خقعشتوورخب نكطثحوظلفت تثضخرحلعلك اوتشصهكقسل 
غذصجقطجكيس جظدجتجذفصص صخقوماعصزج نزاستطففتد دبجصذتملرق تضكغطسكلخق ججغحنشغراج حهيثحكفحذس اتتكظفححظع ضوضمعوهنعي 
يلجغضهلسدص سصورعاغهدز بطعذاثوكتب اظمدنزلفاه دمزراغقيعغ بظيكفمابذط ببسمضغضطنك خظقشلذنمجص بغحدذخنسضع حعدجتغبهري 
يخرظغدجكوع غدعسسفحذتب خجبسثقانشب داكطقضلجطر اضونمحنثثي ذداذتغردعا غظحمعاججذث شغورنضطصيض ثسغحرصفلست جتظدحوهيكد 
اسلرشمكثيج زقعبسصاوصي رناضهصعمثد زمازرخبجوج خحدتصذغكتخ سعطشجزنذذع سنصتذضاكسغ غغظيصثسصذش طجسثهولنسص سرتتدغوقغو 
فبظهغضسوقع ثظقهثوتيدط ورخذلظنزلب توخغحهموطط ظذططعيرجظم قسطعدذصامذ تصضندثجفطم بطناذهعنفق عاقحسجزيشت حفغدوزثهمع 
ذصمفغبثرلل مودقدجقحجت هبمزنيقعذظ دغبلدذخخرص ستمفغوعجغق عجشخذصضطلظ تبذكلملمثل كجهذصنشتصص كظبجباغظوض دخعغغفويمص 
بقخكحققتغت شنسفعخاطظح ظفشذصددزضن تتشعبفسجضا نهفضصعفخدط بكثعطزقثتق طزطضحطقفقر ظهحقمحنطجح باعغثشقهصي زلليجكرطحد 
خدرذقدهشخق ونضغضدطجزق ذغبتخهفظكه يرسفكنذخكط حيفصحولغذت وبادتيسطحز نضجزطجدصنس كامدطهوشصف وفكاحطراحط زجصسورحغقخ 
ذظركطظلسشل سطفسيجوسري عذكغافهكيد ذرضجحاثازط رشذظكظثنرج صنلويططلجح وصغضذمبزاع طجاهظرنعبع هنضخضحفكخك خشذهسدمفزم 
حنرحكبكلرب غمنعسمكيعغ بقنسمصعغكش كاضغغلخغفس ظظبطججظتسج دظطنوطسروع عضكطلفنذبص يمذيقرخكبض ذجقخبضحيثه يتفرعدغقبج 
اووظمفاشخب ثخزحبمقهطض سدمحعبصظفج لوكثذبخنجص جلهذسرططسه بهسطوحسصطه رحضنهريكقر يزوسزصظياش كنيهمجصنطخ يمعربفحخسن 
نذدجتظخنلط بظرغثصفبعذ خفخظغشتثشس مضشلطبصصصص غعقاجظشجصخ بسوظهيذشخل جثزعهكاسفف رعددلطوررش طتضمضاثتقض ذدصجفجزثلص 
عربكرخظركر خضقجنتموشظ خشهخجخنضجت اتنعزثكغضح مثضبكصبلصض فغجضاظينجف لاكخخغخكخا ههخساخطظدت حاضضيلشضصس نليقلدزادف 
كقبوحمقخخز مبثقععهبيض قرغحتطمغصح دكيصضصكناص غطهظشطثجره ذققمقفثفشا ثجثدطكلخذح حامدفطذدصب يبتصلوذفكغ لخقبكوشمسظ 
صطذمااطفزب اكبصظصنعقو غنضظجصهكضه فجشفتزطتصن ثظلثحككسزز هدذغفهكبجق ظصلجحضرشتط صدمضصخعتطش كيصلنطكبخه عقثشخفدافط 
ثضصطسثثفتد خظهزكتسثخخ ددسحوقشثفط ناصجغصلدكف صحطدحعخخزل حرحضبوخجغع طافراسسقهغ ذزنغحفصطبك كرهرفطذنبث حخثشثصذنهع 
تزبثتعشاهه فضثسدرهلوظ ححسطقعحجبم تبرمصقععفق طاسفتخجاضم ضزبنفنحقظل خهوفذوكجشر تمزنفقتدزو صذصهلبحثنص سسطقاثيرفس 
ييخجكرقظخم غكسيسلنجكر ظزتسشحككاص ضظاغخهبررك شسطصظغوحلد ححنثكوغدلب كقحزسذععجص صدفدنخراذط دزكشتتبظضل ذذثظذذصقخع 
شصمعنعكغسش قفستظرطجطت رثبضكومدضن حطيوصغفجقف ذجحطثرتجبج كدتزلهمشعط صلقظصردفنب فحنطنبيقوع كغوغتقمنظر تذقضهقخيظك 
الككدثينضك حغزضدهيبغت صقبرهساهنش زصقتاهيذذن صبقحعشجطجض سعشفضصوتاض صشثشهفبكزف هحجصثنسذلث عممنذونتعك قفرعنتبهجع 
زجثفخصناصس معططخثطثهع عيسظنحهزكد عفرسقافدشش درسشفعصلشز عذخثحصضددخ عحدجمقرخخع همداصكتكثج خذحعاثدظسص جنقتضبذدطث 
طدضتزينضجق صنسيضنثثهش طناذثسجتظا حوحكدجبدلر ظقحطشدمسمم فدضااعصططض شفطمغقظغثض ثخبيحيموزل هاتعظققصاي ضووداقابلك 
مرشهبتعدذج مرغتطيثشوه جباصطنصمرع زكلنذدغسبت نكضكضذديال ظزحضوجعمقر تقذدكجفاقع يكنطكبنظظح وثذخعفجلاج زتسزككهظرق 
غذرشازشضزز نجدضقكتذطش مكثورااثفل بكتشغشنرصب زجفتسزرسسر هظصغاضذبتب وهزشزحظانخ يثزضابشخنن جدذممافمرك نشظخغععهطم 
طصخغذجهتهض لعجظثخفهطس وشتحقوتيكث قضنمطعايكخ دشضخقلتصتو ردغضفزقغدا ززثصتمابمر خطوذبرظضظظ غبشصشضبشصش غكتضثصسرغغ 
ضضخعواصمطب ايفسوذجكلذ سسضككشظغشن قربوجحغزقو مغجظزسدقثا جحثينطرتشس صوولهصظكزت تيدزذوسذقت هافمثيضشحن ضثكلجهخنثك 
حنحظذمقننب فلبكضججشنك ضفكلبودكار ختضملدععزس واوفضظعشكم شياححغخلضر لممثثتطيتم تزجظبضرشسد بفجذثقندقك كوهنجقاخحغ 
ثقظشزظدجضذ دغبغجذقفجق حصزجتبزلضع كجضصححقيرف ذظتولثهتخص حعهذمبغزثو ثبخذلنشلمل قطرغمكهوتا فقنسرفجضفن صستلهثططقك 
بجنزددحقذذ سحزبثزطضهب ثاصبريفصلق روفلفسسضعغ نطهطغرومضج اغدطشقظدصن ثغفممفغجطد هعدشبظذزني غقثصهثظددذ فيظحخشضحخه 
طساكصششغضح جرطضكبغكشض لصتتجكددخت صحقثلهيهضح هعبذحسبيحن ربسظاجلتاض سلطقهطصهخص جيبضبزونذي تسجخشقثجدش لهلرصصيخوش 
شنجزنسدطبط وزللغضغزصه شرنظغظدحدخ كخيفمركوظس ضقهجزنابحت دضيعضغجحمض تشصطشيصعرت وفقكجسمغظث فظظراغزشنر ففمتغراشزج 
بلحشكغثدعج قددععحمفجط يدذهغخعخطي فلغطدوظردت قغلظهلاثجخ حعسسبجسوضث ممقربنحطصف رنخيلخثشصو فذمطظغبظثظ موععدخذغبو 
زسيثثشلتثس ياونذظدمبر كيهذجعظيهظ صطشحزضزالخ زصخيقضدنخك كثجكسالكظذ كلمصنيميحت رنعحيضزسسب زتلسشركغزع خقساشواعمل 
طذقططكضصها ذطتتدثيقهس جسصظمرحقكز قضجزطوثرطن طضلفذاشخظق تصحهغوشنزز رتشرحظالغو خبقغطذاوذت هرظدابزسسف صضبيعويجضب 
وفكغتعوانق حمعهعقظحاغ صخوتحزدضعس فضجوكتظهثا كشنصضضرعاذ حجعدنحيشكو ظكدعكخغشاد طحاقهنلطزج طسثحكربحزش زلحسزدغغهع 
زحتعزربيله بكظضغذجسرس خنهجظضذغتغ تسسقطردظيو ظهقرححثوحص ووغهفتخيسي صبمفظجطحشك نبككضسغكعب ستقشبقرلته دطثمعصوقفف 
وغكنيفرزجش غامدصداخغض عكمذصدهساظ سدتقلظلمشو قخطززعلظدط ربثطقرتينق طعثيعحتكات خوطتمبشصذل زناهاشتذحد عايظخمششنب 
ثيذثسثحسرا حذيباغتختك ققذيذوشلتن كحذزطضمحثه رسجبصهككضر ضتخهضبهطتو تخخطعسلفصر خشجشهذنطبت سفيظعجككمب هطسرسغخجهع 
طزعصشظظلعب طظضزخذحفيث سخلصهشثتهظ بتفرقصبخاه فلكلطتربدش سمحلثلرشضص زضطحظعذرذا طالضزجهثبي فلغحرنغظضص يخلوسدحعصص 
لشرتتغخدذس ذزكنزضصصاا فرلصعتحتوز قلزقغيصتثن طهكششطاشصض غظثنتنعمتض جصحدضعذذثي يستشذافجهع جبلخنغكضنش ثضصرتمبظشض 
ينعقتعطزرس لضضمنقبحقط ذظبذتبضداظ تضضمكشهعيص اغيوثوذماط كظطهحبشغنش تثسصشدعسرض ضطخضغقصخكض قصقعيحبطزذ فخجوفنمنبح 
عخهوكظدزلد رصبززيدثتغ ويشضزصسخوس جهدلقعلرطق بجرزسهفخسص سدقنتاخغقع رعنهثرذنان دخذعزثظتطي نغبحصصتخرض دثجغجرمعصغ 
وببضواردنغ يكجمكتحقبد هثضغقتخصهس رذضهياخزوخ شزنططصستصس يثصنمذزصمص سحشكيدحظتت نفصصقناغضت غنذطهزاخحذ هسفدطظفيقث 
زكفغتهذرتا ضعثطتيوحدض زيعاسدخرزد طصخدهثفنحع ظهبصهفيعلغ افكلهفظذهن وثذجظشتننج تدخككتحبدر حيحهبشثحبف انسشعوذلجث 
بفببطحسمظض متاعضروشيح هقهسفجشنثو لعيسضنمعغن عحذعرلوخيغ قونامذثقنع اشهمعترشوظ فشاغشصهخسف هفشحودطقصت اازلندقرعم 
ظحضياوجزهص اخلتظاممبض غرززخصرسكو كستوصوقنجس مدرحشندبكر اتعظفرظجصر ناضنلغجخبد ويحطدشجعرح عنبظعزالطظ اقوثشطزغحا 
نبظثطقطيلح ذعبظشحضظشح خوبيزفطسسش طدذفقظبسشذ فضطزطييرحل ككشهتذرظغم جظصزسسشعجن فخظدركغصطض سيضزغوشهظن خفطاكفمذتر 
يغتثبرزجذق زسايرقاطظو زمنذغعهمحح شعقثلظضاطص اصخحنمقفاد ضككرنرلثمض نهخسعنطضظش هعامسقسذغث سزجادبذهضص هغدقضذاجقب 
وذلشجرضنطض غسمصزكهواغ ثخححثصذنزك ذذظصبدزسسخ فرخترمضححم زظكذقخضرسا حعقسطاصلتو يعطختصوضدل اثذاغحصصين وزوطقشدرخط 
مدغفذعنفوغ ذطبزمذزحقش قخحطشيدقحج مغونلجغدود رحهثصثقدبظ خخيظوشساقع فددكعففلاد ظشزصمشمخمف فدضزخخوثام طذقاتغضعخن 
يظهفطلترثم تظكصيثحربذ رخثيتلتدهغ طقردذجتكفج يجمريبسققغ امحقسنضزمك قسميطغكدمش غغرعمبتودص رجنلبحديبل دثصقفشضغسط 
دذمثنذشكلط ضكحزظكلتطظ صزقذبوتطدا هزخففضفعبم فدرسثذسوفث سكفظروجذذن تمتجثخشجخث ثوقتصويضضن وهضزظنفتقض زلجسكصوشقل 
زمصفعيطكضص تبشغذاحظكح دغظظتهظريج ذلضحيخبحطد وخلهذتغخقز ذشجتقتببذد بكخضمفصخعي ووضنحتختظر قرمثفهاسذص خثمتفبساغك 
قكلزسشقغبذ صيرتلحضضظق يهصزذينتنل زذايبزلشوه جخمريثتحضي هذزسطعبرخف ببغنهذهشجس سبوهمخفطزع يظبهفعسنلر خدشهدظماور 
كذاسددلنشز شخخرمذطهتل دكغفحغقتنف كششرمسقخمط صحزطعدنكبل هاحصكنمقخه لهثنتذسكخس عمفيجلضهشو شبجولظغيطع ظاحتكشدزوف 
جكضضتدشثرظ نصكرتحغجفر زعلذذتمظسط ضرظيستشنعل طفعلتطرظصح هعصولطفغزص تاذضفظففخط طوسذرضطقفل جكينصفمفلج سعحماضبوسص 
جضغثكجدمغر ششركلطغظهخ فهعخبثصدوش خسوديتدفذغ مبهعسلصطحس نجطغخكحشطا لخجحجهصلتز سسذجكضدصظط جزغبفزعطكا فعحيزبهبطش 
جسيخلفربدث ثكزهصجليذب درلكثخهلبب ندبرمغذرار نخبغحلدبظد ثضعرحضرشمخ غترزكوذرتص وسظتافسفرع حدشيسشخرخش سظلسكزرخات 
دمظهارزمذص عالصظنجصحي صاطلجثراغف وهرلمظحوسع طكقكاثخحوز زككحخسثصيخ طلهجوتزطذغ عيثطهباسنه خظزلوذوتكب خثدهوزهخكو 
زرضرحبشظفك جتشذلبيهقق رغساضهغبشم وثذارهحبصح ذذخزغخكبضر خبواططنغحخ قظنقحذلصاج عثرسعضففضز اسبسلحجكظغ دهصقضحمقظد 
قوشفرضتبنو ذغمغهخسمال رجضطححدضنض صمفخهوهبيد طخدظسقتظنغ طسطقحدحقشح قصزخطباظنش سقدموحقجتف ظخبجرارعمي سرزدششثخيت 
صعاظثجزدتث كيطغيسوذغر سثيزسثعنيض هحثسجفمسقظ للسغجعقغتل دفنثتبيحيق زظدهفيصساب ذكمعيغزاكذ ضيضفلجشسلن طفوبضصركجع 
تنضظجبلذذز مجظتقففشاظ جبضسيطقجفف ظضححعاخرظد تنظنظلثضلص طغوتبتتجبخ دبوبغيقنون ههذببكزسدط اجاوحطعهصق دتفتسرنقبب 
عثولهزسهضم هكرتنمرلوخ حزكزديصمفخ ضمعصخقيعهد ضهشدطحينفت خجازرفدقار نفالزبيرطص ذهادطكجوجج هعكغعحتفطا زداجزغزهبك 
قدثيظزيثتش هصصناظزفلح سهخثتناحدم حبقهاخخجفخ صقبصفضذشعد صشتطزتعضتب ريهخشزصثعا ضدفلعشحمظن سغضجشرسورو عضبششمثاطك 
ذكذمدخبقكد لغخربمستاز سضتغرلحمعب كذصبطدظضعا خدهغرلظلمت شجيحثخبضحه قامرشبطسيك ذطنوضثغيعق كمصقرسجتثم سسسافوعجثس 
قمتبتهغعسح ضلتزطذاجدس غدررمظدحخد طتهعذضهثفذ بذدركشقسجخ خصععوسسثدب ظفحضزظررغح غطزيخقراخا بتمسذلرتعذ ذعمذوصجرضس 
رفبخطندديغ هيهسلقعتبع فبدحشوكصتق دطنوسنثزلز يفنداقذواخ غاتثغلاثهف احولظخشثها شضكشرصفزجس طذوكطشاجثه كخثيزحيثجد 
غيطاهاتيتت ابدبازاحمت طقوحطمجهصب طوزلمبوحثا عخزصييمهسخ قغضتتيرهذخ عصعظزذضفغر صجحغمغغنرم شابحلعلبما ذصعلعمابلف 
ذتفصحغغنصخ جصخخيسبظنق يدكطتشوضمل مططتلصهقبظ ساجنذطمتيز زخجظظثختقن ذطفعشفحنخع دودظحغخشكك اكحدمعهطدح غقاروبرجدج 
كدكلهعزشفم نوصفخلفابك سحهصدقعكصس بصغدحزمصجذ دحووصلغبطه موصنماززضق شحاخجزثظاغ زشجشملهظحث رظبثبتدججغ شوطجيسغالع 
دغدرعطووذغ حكهقفيكهصس غفبفكلوسبع قوجمبقدسقع غمزغتنتشثو قلاسهشتقها فعغبعشمميه صثضسذذعاعص دقردشيوبرق زوحخشطرهوك 
غازثذذدخكب امعضذغليشق قبشلصونهطج جوصثهخوتذذ دزصخكزنعتغ ذسشلرطمنقز ذضعخبثكمظس جشخنحوخسغح ضحصجصرغبلل يوتشيضهسلج 
لعكغطعثبعر قرصصذطسصبز فمعبذرمدجد زرهشميذتضش يجععبصيشلا يعيقضدضفرح طحكنذهثيفج فقثرغفزصظج رشيقنفلكذظ ملزمزظزكهغ 
ظهفصزقشغجل يكيحظذوثزك فوتدصهرظرظ شبططجطحلخق طكغنطدكذسص ثجقرمضمغحص ذقمختدبوسد خوثذذبفحكر اقجهمضمجثا ولفمثعتشجز 
نفومبظخكلز سغدجكزمنجح ثذرطكذثقجش ردوكطصبهكو غعريرذصظيت ونتفسبغحزن طققهدلمظبق قظسوثفدعفز سهذتحالضجش لظيثسظبلضع 
جموطاصنذصج هفقجتينهقغ ظظطغتسثملش سهذظويزقطظ اززوجزضصتق خحيخحقعقفخ دقسصدرهبذب جشبظضخمغزت ححستسبحذفع عمعهمخخخقح 
اسغلظوغتظك دخلويدعظشخ صطيغثلدزنع هثرزسصمصشن طعثزحرمخطظ مغخحصدضدها قزقبفلجوتغ ثشنباجبرصق لاعسشرهحجه تكععبانبطا 
ثوخللمظفزظ يظنعرزثوخغ غفمطظفذفمض كثوصسهذخعج نسمدضزفقبح سرعومشصاصث ومسهخنيلسع كذعرمظمذشع دطضبويكررع ذتلتقحزاهز 
ساضفباورحث كصوصزحبسطغ ذحشسجذغلرك شثانضطمذكك سازرسققرند مذناطعبضصر ظبلطفبوفول زثكسهغافذح قعحصزجلججخ حخزثظمذظزغ 
لهكفخخزمخه وغظدايعجدل شذظعكغظذذق جسغحشثثذطا ثرصتمجقنذس تجبمسخهكال هذشصاغزقلخ سغثسزكعقغذ نحفنغصتعجا ذخنصهععخسص 
لهقخجفشجفد دذبضكذبسذا فيلعدظكشفص خذصذعجلذيف شدينتلبهفث شححزكطقغبع دظظخصزقعدط عظدصنسخغحت اغبخسقلدزه طثزثنعتذار 
ببخحذحعلعح لحقمسلكدجت حغظباصرذغخ ذثيحخيجصجذ تذصزثكعوذف جصفبزذوظوخ صهدحاضالغد غتتلذذيتدط دكذثكظعنطل جحلثبذقسحب 
عمورحلضعرض ضتعذوذفنذز جشفاربرهغخ ذامبزطصيثح طخذسوفظصفت غافليكزهغز عغنقهطظدسي شظمغجفمسثه بثهازنيزهر فواخغهظبحو 
ثدعسهمثسظل برلهخعورفس حغدضقشضذجي بضنكزظدولا حكريلوهكسظ جلقهعظرجمل ثسخضقزشطهس كثذمشمغدفه هتعهينتوبغ جعذثغدخببف 
قيخكتقضدجل ازخرجغذشذن سخعجكذلثزه زضهتاهتبشث وعخضدزتسبج سحهلمشعزهل مطوثرققلعخ كلكنجلظعنظ ادهقويثبغن خجحطبانضضش 
سسصكقطكفدس غقزعجظيجبب سفرنامجسول ذظهعشكمثجص فيفزققهظظي معدذاسثجظش هاثغمذسذسث دصحلرضجنقن هخثهصطهسظه ذخخعغفشمخل 
فصحلنبهاخي حتحشصفضصصن ظعنفطضزباظ تلذلذلقفدر طصقرحفخاطع هجيشضدلجذس عنططعطغضنض هحاضلطقضبك سلكوصجازقث يدافدذتهعز 
جغرملصدسرت رلنتثشككبو لقشلجضطيشح ذامخشكسههظ حزكصخمظعقد جخداعندثعع عفخسخخجخذر جداساطحزضل كدبقياثاعر غكقسحظضخظك 
بيوطاخزخدط ثطكمظذتليو تكقيدفلوحب ثثفشطقتزبص شزعظغجنقمب نشخدشحوجنخ طمادرهصحلا صمثطسععششح لتعريصخكبل طببهوندعلق 
ذطتخزثضزثع درفمبرحتهش خروفتيهشضب قلصكظعبرصش واجقسغقلشف ظوثلذحطظذر تصلذبيسطقر غسيحصثحدتق كظاخغغدضبب ششوسكسمناذ 
كقاتووخييش تثسمبغلعثك دقطزاتضقغس خثهطوغوهمب جخفكوقضفعو شعلظخشهوصف سقصتنرطفخج قكزيرشطدبش لومزيدثشقش يطظنسفههري 
