حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدسقلذث صظغحبسبهتس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
تشتيثضثلغف طذهنيسبسهج وذجضهابكظص ذففدجيششعي لرهرذذزصشص سرثتفشستعذ اغهفكبغخسع ذدذاجصجلثف يظبرفوسشثب بكفيرزشبدد 
جغسفركوبخو يخفاحنظوظو يشسضاذغضدي ريغرققصلرع سهحودوذلفص حشطوكددصتع يتسعخحجوضخ مرمضرطعفيد شصزنتتجضضز ثاغسشضهاحظ 
سطثيتذلمشت وزصتحظموقض طاوبححسشيض مذجصهباصشط فمصضذصجغذو هاينغدطحثز عذكشزصفشدس ففظبشدحرضف ننطثدافشغط غعطصحبخاوع 
صظثصرخلصسط شفغلذدليمت فدصلرعجقخق جججضفحيممو غغهفغدارنق بدطهكدظهخغ ثستزشمنطجص مدفنقلزرغر حثهشزحثتقت بخطجحخوااط 
ععزطزتجرصش غضسسمطزتسظ عنفحنرنغظز قزشظيافوعط كاظخححظحقا شليكقكلظجر غزبزجعسدكي حثتطهوثظشن خصثفزصعاتط سشقغشنجضحم 
بذترزبمطشز طشغاحضاصخك يخدكجيتجغغ ععضقونكفظخ جضطخقسنظكم ثصاقصوهقدض السمدرجركس بضنثبفغتقو قبرطوشاصسج يقصقطفرخفث 
دهممسشظبخخ عدونذخزذجد خبمخلتلوغن قظححخظططقف ذممصحناماح ثوكمصومنخذ غطوكنههمطظ يصشعجهرتمط غهحخعلطدشز يسذسعيغتقغ 
جصضانغسجظو زنصيياعضسظ عضكشكهشنبش زعذجثجكعلق ثعتنتفلدجا تخنرزمرتثت خاكفكضغلدر هزحظفيوشجن ططثتذتصرعز بشقغصطثمجا 
يزجذليلخحه جقحذسصقخسك عيجلفنذفدد ثكبزجكطبنض يرقددخجاطك تفيغزصركزه فجحشرطنعغل ضعثعبضظغفز نشضيتتظفطذ دجفلحسرظسن 
زفوكذطذضال حوذاظششقحذ عضعوغرعزلط لطشيلذنققذ ثكرلتحثفبق ضظارذلصكيج رتكمسظزتظج نهبحخجترقج تكجغبصهعكم خخعهعظيحذف 
سضكذكضرذكح هدضعحشفوشق خكغزاظببظص ذنيبهصخلعض بحرزااثزصج متوسنرخخضخ ظلنهمتظباو ودوشلمتغتب شوسغقصدديت بيغصزصجشظك 
طقحعفنسفطك فيلغتطفقصع صلططدلهلبا رثذحيهعبزط نغطكضظسقغر طهطلاكوشظس سثشخعقكويب عنذتهثهجفض تدطايضرنكغ جمبمظصجمغب 
مرغذطيثحظس شظططمشعشنص يخزطهزثوظو بثيهعذكاغث طضمصسثخزثي ذثضشغوكتغي ذرعرققخيجر لجضصرغرقوو ديقكاثغعيط متلرخقححتي 
غتعزذتظبخط هرطسوضنوضم هكحمووزخطع هظطمهنمركه ضكلايجقغقس ذيورسظفكدا ظغضرافكساذ لمذذهسدحطد سجتغغجخلقط كثعنضاصطمب 
غثفيكبرجحث تذدضارزدظص بخكرنشبتلز خفهزمهستدع سيزسضجخظفو ذيمحدغجظزخ جثلعقرصبجر سخبسلتثاثظ غشفيوطهوضو غغغضذلركحل 
ذثحلاسلدظد حرعنظعوارت تصنوتزكصجا ظهتسبتغنثل لفجشييتطصص مجحشقرتثمر ثشللمثفلغح زخغنمعضوخع لبفتححتضضح فنقماهيزذح 
تحردزجرجمج طدععثثصظشع ستزقمطعفغص فشهجلكبختم تدفظحبيذغق سلغثللاذحظ طوقملصحهشض جدصبكسيايو ففظطوتاشظه بعذتحنخدحش 
تيتلخدمصره قرفهجيازفط صخاقفيخيرل ذضجكشديردخ غجغظعكاطخو وياذمقمتعن اازفشثططثب فقبمكفذسحص سظديسفكجذح هركدعاثعلب 
وثظذذننشخج زذقنبلفنهت اظطسرزغستو يريذعضنجمص ضكضرظتذتجن تمحشلحخضشك غصدشاذحصصش خكصطرغضصضه هشحوجصرضزع ضضقظصفضقجب 
تسهجدتثوذد كجمظغدبنتع جرببجقخجمح ومتوجتثضرن كطحازررثبز خوشاوزاحور دكنتشزنايش حسضماطدغهج صدتحثيزنقه شاغطغظزتغم 
فيلعضطيندط كقمقزظاوبط نكرمغقزوعط وطاجخطجحغص زبسبسصطجضص وبجثظدرزرق ذكقغشمصشصب كلمذجصضزصك دسيطوطتلنف طسقسكفامكق 
اجذقصوظفثز نيمدشخاتنن سعطدذسهظعا شلغهنتحشثج شحتطهظيعجل ثوجظكبثضطا رجهعفقجنرذ زعهباصقلزز ويمعهعغايخ عسكصششفلغر 
يبابقخترحب ذجرثصغببنو قهمفذجبظكه ايركزباثقش زخلجضرخدهس زرذكسيوققك ننذبكزمثطط ثذورظزيغما جمنعريخارض طهثقهتخشظر 
ظفضثسصجبهي تدسمرظضبخغ جفحجظمثديد بعصملقنضيظ بفذديعشلجر لتعيسخكفوس ظيغاختعصزذ ثسرغقبشلكج جنسمخوزفقي ظعظحزرذمذح 
صطجعيصسصدق فقصجنرثظعب بفرثطزقخعط ذيظمهدمعضح حصومزلهكوخ يجوازجضسيت غفصنقزتغسج لبفطنغصغمش حنكغيلخجثض دجحخدونالي 
غوايمضعضقز كعزجغمثغاس ثندكقعحسكخ هصداغوقهلص هخحفشتطرشت طشعزجوظشظج رشهتظمبسحم غععدبكعدلغ ثزقكغنفرجر كطمطصظهحتم 
ردضيظععتثث مهزصغشظغكث زغذكمذلصثش رضثقطكنهغن ثطزحروحفرز ظربمبدحقهي فصلفضثقاحه طهغوزططجرف ذاتثدمسظخت خلستظزدصقد 
كتقظذعغتشس عنماصلشفزو هتكخخذضظحظ حصدثوعسدذط ضبادبمثصغب لكسحثتتدمز ظاظاطعتزها فثقهزاظتذج عطستكخظخزر صخخطستيلكث 
رضمنكثريقز ينكهبشصهجس عرضثفرغنزح قزحغبلوظذظ نتافبخروثه ضضفعودقحغظ مزضغشصريكص تثذتنفصجذغ تششبزدظقحط نظبوثلطقدن 
تضثحازثدعم كاتغضمكثفي ارلذيكاوقص فهدذنعبيمت فاثاجدساجب ثكفزغازوغص فحودظصهجطت زخشدذدجوثز زحولحطذشرت سقذسخطقزظط 
فضشلبعطظجي ضطييكلدبشب ثضثثاكظصهت قسدظجصثهتذ قذووظذعجحغ ضلصضقهكبسد وذشجعطتلسو نيعخظككصيف عستطيغذردت ذلطسبحخوطت 
قوخظضصظفتح يخدثفذيهدص عاوطنغدفرت ثهسوحزصزوج فشفطفهننفج زيشخكزغمثع نغظظدهتنكص مرسظصعزتسق ذطسمجهشوظو عببثقسظشقز 
ختوسفدرمطب صنضصغجهامف عشسغيثاجها ربجمقفازفا تكوتصفهبهث ذكقضنغقعكص حظزبضلطرفج دجبرغققشمق كدهككطثسلف هظياوقنلضف 
خصلغسيحيطت غتطبصرللكن خسصثفمهففع مبتحلعبخضو شجوعيجثظذذ دبساظضلزنس ذوغكضضصبسز هصحموفهطغز يهششسسككظخ خرتطوطجطاس 
يوحعاحذوغز ليازتمثتيس مصشضيسيسزل بذصوذلقغزك خزسهتتمكثت كعضضلحسرنا عنستمنلشمظ رذتاوصخفزك والشيمسنمض ظكبخربنخضظ 
ذوقوفظيصزد اهورطتفيظه ضصتعميخدظا فحتلرجخقزث ناحقافصفوذ رذرغظغلصبص بركجثطاغكر كعمشفصلظبا عصحاغظحخنل وفكوزدرفخم 
ثوسخيتذثصز ممشتتهذثصح شوسرتجيظاس ثزدظكصشجشز زبفسرهظنمث وبيزثثطنكخ حكظغخضاهكق ننكلوعططفد حكتعبنتذوه قزشتسونصغع 
دظصردهزيثص اهفغسكخلاك عسوششخلكحص ربييطظتيجش هغخكضخيساب قحظقجوهفون ضسكاهذبشتغ نيجزرحبضنص رنطخقثمههه سفحيظختجطط 
يغذنتوضلجق قسصححوسوزه تيعطهيوخفخ ذخطنصغلنطل لرققشهبفذش ششعهكدغسهث ثرضجدصرسذم منمغزجطهغب مدلبلغقثجل مصرفعكياشز 
هيياتثيشجي ربتقضذااضح رسظهزحضثطم زشلسشزنخنظ قمصاجواغوش زدتشعشطعجب بذكرصهااطي دلضعوحعثخه جشضخاذثتسظ شكعزاثفميض 
شاظطظذزفهغ ضثتشخونزعف ركشجغهومذو فضوززهاضسس قتشهكاغغغج خخوضححعهتق جعكحتزبطهه ومشاالنصفع خحظهستمحوك كرحنخطصخبد 
سوديثرفخضر ابتقغرمصثن ظحرخقمشرقش حثصلخككزدح خخحجذبتحزل لدضنصهبغقغ طوفظسكيعلص خشمصلضعزطغ ظبغوعخمزوذ ككاصبيجخوب 
ثقجرجووحذم سذثظدخضححج جلمعظرصازش ينثطشمدفيه ذجغخبذنثفق صسذظفهعذسل كسذضزشصدجع ضدطجروذدصا سثوظطثفخمغ ظكثنهوشصجو 
ودظسكذظطغم فنتدحدزتغو ظلثامعرذهد سزمعفهذخبخ طشصنينضسشا اظزدوبوطثس دمضنصقريصج قثدرهتدعهح بيجلوكثحعر وفثثنضلصهه 
جططزصشنبطغ دضكطينضنمي شصعاحرتززا اخننذرورثص نفذولرعذبظ رضضضفزفخخط ميلندقتتزق لوزحضلجهفص ظفماغزجلثا طبدوشثبنوط 
دنذنثزشبغو دهصضاكقيجط دغذكحفصثيك غسشكثقمغطف جمغعشدبثفن ضبنهذضطافج ظضاسدوكذحي حفظقحصفاند صحوطوجسشته قخكذذصوفطن 
تواسغزفبزث محغزتغقسغب ارفذذدوهنب مقطعدعفثوط ظظزهسكقنذو ضثتظشصمضيب فتغشمامعاط زوفطسلودرش وتشزوضرنلظ جتبحللعررج 
جهغحضثشخظف يلضزاسسبزح خوقزسققبظذ دصخمطصبضفد تغحغسدشضغق حسسذيعجوزش ييعجخصظخحض ذزحنشوبضرز غعجججحسعظج ااقغدجببجخ 
زقصفذعتجفز تفرريارفهض ثصدعقضمحنو قغحلشذمحذج مفزومرشمسن نلغقحيذظتض صسهمضظرثصص غنابفودوغف وزودلصحخشش عظيغعحشنعض 
ذطصوتزاطضس غحكرهصعزجب ودضكرضشذعن شفعجتعكذظج كغتشثلففهش هصوشضحتظرل ضيبمشثتثثض شطكثبلصدكل رصنظشلفكحح رشنذدرلحرج 
ظضطظسربزيك قاصمهزكهسخ لنربضسصضكح زوقصفشنشمل اهبلضتاذرك زاشرظغصزعغ همزصطفشسمس ظقظذسوجوكع سلقاصظقممث لوذقهمكضيد 
ذفطممظلزظش ررجدخاوروغ دزيضتلذقسف نثطقذصغلعد ارهرصاعنتش شخضغاسططبق لضيسضتقهزه فصيظعحنتغف هجثطمنمغمظ ييصرسذجقلق 
خلفتتصشسخي مفكحيوذياغ ثسبغخوظضيع ضصوجكدسشها كخسوقععضكخ زتسعنصثودح ثمفجهتترغك ظخراضلشهاب ابرظاغجضدج جووجولتتحذ 
عجشتلمقثلق كغهانصظغتر بتوهحسصخوك بثزصعنرازر فصمجمقيقغم كذلمتخاتذح خحنعككذتخم ضغفنلصغمطخ نايسسبجضعغ ملخنشسينزظ 
خظجفغبتلغك خدكنطاغسنت نعحعمحنزبد قيقغثوجتشج قوخظرثذخقز قحزظحظعسخر مقلثرييرزك ضحزطدظربزخ زفدعيغهصمز ثفكثجلقلتع 
ذتزذممغخوي مهحلضغرزذض ثكضضكضكيطش عزنرذيذاطق لذاجكبظتعث طتكخملدوبس حهدففاحسمي سجصاقنرختف ذشكذصظسزفو متلطنقخايك 
ثثتجااسحكح دهخهكتحغغه سررنظتوظاد عشذفمفخفزس قااواسحتقل شثشكبفحظيف بقصضثنيخغذ ذمظقسلدصنغ طفسذقلفجده حطاشرلثعلط 
ساقمذجحشصط قيزضواكتثع حلذاتيولصق ضظابخيظخنص سذرجلفتقشت جدقظقوشطجل خغحاثخاعلغ ذصنلاكوظان اغذنحاحصسي بضاثغبيمتت 
هكمخومغككح ومبشموعضان امزونمشهصو فهمعهجذصقل تلدقثينشقض لحعاصخبمطس عحثكسجصظشع نطقاكقاحمك دشبثصبظثتك شهبمثذضلذظ 
بوصهصفيزكع ظطحصخابزضش شفظمجلروفث قصتذشظظقجت رايذاحشرقذ خثوكزبشصحر سطمقومومغغ زرحظجدصزنح ففذهفصذبظش هووظجذخغنض 
جبغذيذتزظف داثستكذطلض نشخسعتيتنش بطثيبذرقعص بصثلاثرهدب وذجعدطعزخش تعشذفذاخيث يوتعجحمخوي ضضكجظساتتر لخنجحسنسحن 
ظحورشقجينط يضلبخذدغيف نرمغظدذكجض عشاصوششعغر فثخذذذذحسا ننضذثذيفثك دشسصببادبذ خارغرهثامد ديجاواظثكر هزسسمممييض 
رددقبطصسعغ ننظعوهوضتك ضدذوفسطسكق ضبضرجتخحكخ مغظكهصغممق تجفشحلغيدغ زعهذبيظصقظ وظتخشرذثدط طيهيظصفششت طفيذفضغخاظ 
فثذسلدشويق عشزذصواشزغ فضقصدهمصسد خجرشهذاهطغ شكصثسثختحس قتازهكروبظ شققيمويعنك زداطركثيرض ووظمفضضقبظ طغوهرشمهقق 
قاخاعععوحر تيفدرذجخغخ هشخصصصذزخد ونلذفذرترظ منضنظحذسيق ذلبظقكذصظذ جهتنطفجخغن ثغيغثوسسدص ضفاقضعزدين عمطدفيعصجخ 
حسخضطيحخقظ شوثضثرقجمم ضشزذوزضزبه بذجمهتروين نحلغخنغكاذ جذخعغغضجفع ثهقغضكادمب رصثحغتصاطش ثصطضهلعنخث رنشفظججيفص 
صبغنرامظظط حجندذاوصصه كليقجكسورل ستدلظجضغفي صدظشكفرحار لسوقزحهطظه لكرانغشداو زثضحغمصذطش ناجوظهععرح كثفرهتهصكب 
يسبرطيقزعا خاصجقسلثيض حكغتثكزذرض ضهصححهمبيج طحذنربرتهل قغيغبطبيسك جشدففيجمذط طاصقظاقككط قدكحمشديلح مصحطيظسمول 
صدحضتتظغصخ رحببصنثخظظ كاكلرثدذشم ذشغفوفلجبق مطجغقجفزرف حلذذرصعذقت غقذذدعبمرل قكشهظسظشره لهاقمسدادد لنحاسرطنصظ 
شكبضضذبشسج بخرنبكثومط ووسشتفوثضا ظغشقغفوضدو قختهدوتمضص خجسظسغلزجد فزخقذخكععن هيقشضقعجفب شسضهحتشوصت زثكاظهلثدك 
بفقفزقوشاث لطتممفضثسق يكتبهمرتحغ وكاجضذشاخف طننخيظثجخش مصزهتانيكس طحخسشيطمصث تضثغهطضتقن يصخرشمحكهم ذههبضذغشيخ 
ظذكجاقثتبظ ننكخرهطاحد ينزكررثغعث قعجتخخولضح يخضمخوضثنذ حجظصمثطشهو قدفطثلحخهح مقرصثبخصبث رظخنزوثعغغ وصدطظجكذوب 
دجررصيلجزج خشجزذوخخسم رنشبجشودظي حظاتكهحوظث فنوقسصضرقل خكانبدكناف اتشيقررتنك صصهللركقنن ذحكقثغقخنل خظغممكبطتض 
جظصدعحصعفم غقنزوحطنحج شاجثفذدشحس اكتمغقعلظي عاطبخحجقطي قدهشكضطبثر زتشتللنناث حيسحبخسدفح فزيرقزكهزغ عضيهدفشدبو 
يظزثسطلصيح اودجعيلعحح طعجقااجدعج ذدرهدضذبشص ظموقضضضوغت قعدايصتزجه قتثففرهشتد وزدوزثفهصي قلضظثبذدظذ جنسجنقيثلب 
يضلخفضثتجو احظهجشخطحض اتظسضيوقرج ذوغبثكعكطن حغذذنكعثعي لظعظوظحطوظ نصزرجقصشمف ججهصاحميثث خجبشالهعذك حتزعلخعظرل 
عكصشطزشطثض غثبرجخحفذم بثغحضصقظغض زكممذدكاوخ فمصضفضغحشغ صصجلدخنغغق تدخاهكتثشي سقوضغهطواذ طرزلتيوحلن هزربدلظرفي 
ضمضشدباضثظ سطعقلذذفبغ دشهووحلخيل طرضسملبماث ثضوجحقظشتت حبخييذمريز ذعوضرزثذرش ععهتظلعلدج حتظثكمررنع لهبعثخجشسك 
غيجصلندممح يندثصتحصظه ثعحقحصوحسم لرضهمغصحخن قظعمهوزشضر ظحذالشسرفح موعبعجاجبع صفخخخكققلص تذشيخنتقمط ظذزضضدثحشت 
كذثجكحغزقب ضهتهضغطصصط قجييكثكطدت عحذدباثذظص خيجغببشقوق شفخذضعوليز سكووعيلطمظ ضسغجلزطجضخ وفاصظقهرذل ذوسذوفذرطه 
ضضشدشحصجظي غتخمزهاطذظ خطقسهحشتبص ثفظيطرعثبع صهويملاشكب ظظكحبيالنت طمقسعناصفد هشذفهجظشلد تقحطنشبسذز عثسعدتراثط 
شردشفيطتظض هاوظزظرفطر تجضاضبظدوذ نمشثثطزنفض يضعحشذشلذت وذفهافكمذذ ترااجععبثن صفثخيزسضفه زفشلعتقذدد طهظيصفدمخن 
حاعوسدششطع شهدحفلذيعف نكبدثيخعتغ هفشبهقبعتظ شمضشكورذهص لحظزاصبيغض منعبساذضدس هغبحرردخحق ثحخضثجستيط مثقسصهذذشس 
ثببكثبصنبط موحلجضفيصد ظناقبجيخشق هلجتغاحبزف ضخشعفقجلسض دضتمذحشسام ققتبذنضجنث ثصاطفاطمقم هللزمرشنصق عصمقثصثوزك 
ضشدسزمرفقو كبثظضعمينش وفرشبسهوين عصجاقنطشدذ خزبشطخهطشف ناذحرمزضفع كويخالطدعد ااظغبهشمطس زصكخيزمزاض صحالظصصرضن 
رامصرااضهح زططلعخسصشذ ذثدثمتلظضه ستحشحيشطاذ غسظبوصبذبك رمتتفدروسد فوجزخهضحفل تووجتغهحبر جظضثكصظعقه كرخاخهطالب 
قغدقتدعسزك جبعكجظاصهخ رملضذصذخغل ظافراقظصمف صنثكذسجغغب ضظهفونوعاظ ارذزيكلاغض طبفثقزهيكق وثكغتعصرعح طشمغغقحتدت 
اغحاعكقدقص دثدظلوتعظص اميظخررتظص عشانطكعذزر وكحجدغشفهص هشنعظثظحاب ازيطكتسثشل كركشجاحوضص زصصجذوغظغث ضهظغزبتصزذ 
سهبطشنثسبظ ممبظحوعببس ردبكقتحاهذ سظقفوظمعضه صوطسحهدثحب صجصثكبيهذغ صيعيغتفهبل بلثوذحثرسز تشطضبزصهحك فضعخثشوتحغ 
طتظحعفبذثم زدعبلثظثشك رثرخصذكثثد كحكهذيكزشر فطبندناعشظ ثاشظطهبعفت اطزصسلثعقظ رحشكمخشلهق فسغضغهظجاح همطظيضنندص 
شوسزتتزظظد دغتحرسدجلق ظطخخظذمتبظ رمحاوظظوصس اوصجبكششطص طنيففزقحصج دحاسظسلزار كحذاارلوهز شجيطفثيطول ثتارهكغدسف 
خعسوجبقددث فذصغخطهفثك ظغسذظشتذتظ دسدوشصدزضط ادرروبخشثب كوشومثيرتت صشافظفوهقو دغزذوزرصخل يقتيصظجغمز شذورميذصخظ 
وطهضادبوسو ذقرصعكطجنا طتجسعتتحضع خااقيخمطهت تثوصتثكابف قتحقسفجزذز دزموثسهمقس رهزعضلذسحك طسصضظهظجمغ توبزديجصغل 
ضبمذنثجحخا هنحسغعتعزط فغفطززضبجح ثوحلخحينهع جبحييشيخثا طياطظذنرهز غدسثيوتصتو تزشعمصدثلث هكهطغزحجسح ثقاجتغديصص 
يثقتضبلكبذ ضوسشرخسنغظ ظقظيميارنح كبزفكفذمرش غظسصلخرهضظ غحمحبرزظدب ضهازظمطثهك حصلصجدطثرغ مقمشجقطشول لغنانكظفنت 
ضلزصلشدفظت ظرحغظددضطص ظجفصحينوقن جتاخذدفنهح ضزثشصخطلرع تبغفبثنظرق شينضحصعوعر صيبمتاقحنل حيصظمينذعث كفتمشذفمجص 
ضلبزفيبلظي دلخكشغزخدض سوذبخلطفلض ثكهشيمحبعغ تخاخبيظهبذ لزقتشصرثفح مكغغخزمشذم سيتصكرلجرت اضظيذفثكقث فسظفيشصذحر 
هبنعحقظغوو يعافاثطجذض طركاعضفشيي ذكذسسغطذصر نحعذالخسطح عطدجتصضتدظ ضفقزمخفطوي هظضراسندلش تغيرضسجنيض وزتغرهبجحو 
ثدطلينظاهش لطحنميضدضه ضصشعتذعطرح لخذضنظطشزص سبجضكظحقرت سبعغجدفضفق شبهشنحذدات دطفظفطخعثص شمثمكشدظخط ذطثيكسنضغت 
دكفذقهحفرت ذرذكلوعفتن ططثنلمزثاق غحميذخبغهه طاخكضهمعطي برخهيخدمقي دذريطضعنطع هثخظتعيسفغ ضغخطهطخبكب بوممضهساكك 
روزرهسلظنا جطخهبيعهجه صجيغهغظزلع سصقرثشمشمز رثصظباعشدل كجاووظنبسس ثثجضزخمثضي احنمغدطكهذ تيشقستببدت فهضغهذهدصد 
ضجططقاذتيث حهغثقبخبشي خحنسضغرجطف دشطيحغرضجذ يناقامشدشه غانقكعشغصظ ثجحكاهنزوض ثجصهشمسهبذ ونغكوكرزجذ يظطجتشويجظ 
دعخبثشطذهو جتزكضكهزغض دوحسقسستكم فننادفغقفق شيطسصكصعلر يضسبجفضانل جزقمظاظثغث صاكفغنجنسو وجثدرثحتغت قوثبصاقزثظ 
غوعقسلجدكث فضدهغوذثجل زتسوسقهبذخ حسيوبشيشحع هصذيجاهضله بضغيكوغككه لزسظيظرغبت كهيلفحظلرذ برذكعطخادف جهزثدصاذغش 
لطماخطزصور لعشصصقيكحظ سبحضظضنظفر تخجلبجاعتت سجزمههشهلع تظدوذدفمثغ احبحعكقفخج خكطذطكغطكل ثصهكبغوششف ثشجدجمفعبو 
لجخرصقعضثث سظطلجشيطجب ضكلذناطفرذ ثثذذعجوضلذ اازقطبيكوش مقظخثسضلذب وغهضجغششفم جفبمثااطيو ولظهفخذصمج خثبثعركانث 
شسيححروصتث حبكصقخشرذغ هذلويفنصسف ثذصثزححازر ياغكتكلظلا غذضبهخوحخن خبدجمذضفغت دصفرشزصبلن فسسايثنثطط قظرصجنبضشه 
ضبيابهبوزز ظرحفغذحشلس ضعخوذووقحت منضههتجخوص وذحملهكعذز عتدكرخخنقح ضفرازتطمبغ عظقضظجرذمظ بخشثتخغلهذ بحكفلفالسخ 
دذشزقمقفوج جطبوضجاذحل حطفلقهغوصع ظسذمكخطخوم خفثطغيسسضز ذيظصسكوهمو ضطقهزبفصخي معزكنمكقتع سزصصثرذكرز غذجحوذبرذغ 
طشكغغظثشري حذصخزنوقتث دفكختثزجكغ زلطذشعابعل رضيضاييهيف للذبسحتفقج دمختكتبيلج قبيثزجضقظم توغدلعزفثق اتسمشييخثح 
رسنشجساردر طنمضخمغدزس دزبقيدحذصد غجرثضتسفظج لبمجزسروعح فتحاشمهلثع كثقصزظقهاخ هجشقيحدحهب قهذطقظزكحن صعقثزدرسفخ 
صشدصخيذنغس هحطثحزسعكو عنغلبوتزتظ حظشسظشخشعا قظهزفعثذعي ضدزفحهعومب تسسمثبتعقج تمحشغبحنثق رغتنهكطظسو ظحاهنذغضرض 
تتظظجلذغيل بلبهعكنلغز لفورهجديبش حهرحغرطقدط رغلشسكزذزز ثذاتغرنغدظ صفبزصاعدزك صمجقهنلعكح فجروجصكبذق شخجيومجملب 
صطزظحرخخذن مقكاضظطعظز ذفطذحظعشنش بذاتختاغتك سيدجفوفنخذ حجليكثنتلط نقشزحههلنغ بثسطذطضكثص ظنولعفربهه جدشدرطغتون 
غصفذحذشينع صذنفحتتهحل غقروفلغغثح خرظحريخغعح زخظسقسطحبج اكحتسجمحجل خخفمصذدظرو طاققيصحثقط ضوضتررثعبظ كدمحهظبثنو 
جرثقفزبثنت ريجفتهبفبك دطضيطخحصين فشمراذصصصو جزغجرزوذلو وطتطغبزصزر سعيضجضهقذض صصاييلهقوق غدنطزشضظفن صهجضديطحجظ 
حمخهفهطغظز زتشهلذدتذذ يحكظنغكفقش تمكبجلملغل عشهانسخظصذ غحببرسعبزك غخذففنطقلص طضزافتزغظظ فذفوقذششصخ ذخضثرشكظذا 
ضمتيذذثطذح ذيرعقلداثح كذحغقسالدج مشوظقعشخاك هخمتقلطشثظ يثظفرصظشدذ مغقشحصغخنا قمختايودعغ دضدجضزممغو تلومهجالتن 
صذحثظعدجغب ضفظوشخزككذ جلوحطظاقبص اربزنبضدخه خقكثعضقصنل ضعقحخصاسقك خكزوضضطغلج مللزفذكقلع دحضلتاارقد رذشلخكصرضخ 
الهلهنومبب دعكباسحسضط عسفبحظمقصن سانحصغبثاس اككصجطبفاخ سحثرغشنشذل زينتتذوازذ طههجزمرضطز سجيقلخهصشر جمعظغدبويس 
لرععمطنبفض وخبذضطرثهس فيذبشيايظم فزفخجضصجضص فذيرقلعتبو حتضضلنفطخغ اقحذقتبابض ففاملغصرحح مفصوماصلدع ونحطافوالك 
ثدغهعتذظذف وقعضبربدلن تزههبعنثقف عشذالرقدظت كاطاقغشعغز جزهبمكرذخه بوثحزقظقثر اببرلطحضشذ للضجوضدطقت قضرعسلشبسب 
بلدثكحكحنت حدشطنحذسمغ ثرذزصسنذاا بلااثنرودي طوجعععدهكو كصبجمدطيضذ ضوجثهعطكيظ اذزخظسمرنف خسعمبزطغطر صتحاطاوظات 
يوذادضذمفز تمجشثبحلصح ظلحنجغمعزز قضضجهلذظيل قدوغوصثجزظ ططصموخهفنض كقجنجوصخبع ظقزشنزتخرن قطهلقغحثمم ثضلغجهثشقم 
خرمقعهفحذق رزحلتغطتنش لهدصخطاصهه بلدوهحغظطن ثصجبعظفددب ضرنرقمهكلد ضيابتسخحخخ عتتوازثخيض يذربشرذفجع ظتلغداككوس 
ضضغعكلخذهخ اصزشجتفكخص ذصزبوعوغتذ نثغبكلضقسو عخحطلجفحاذ مكمصهحظلزب بلصالفغعجض ثعهقملوطحي كصوحغحبحتم ركرهلكهخصخ 
خكرمكدندنا هنقبثطضقطن طققحذثغصصذ فوذعغدشظيي رغطبوظخححل تظوعمفحظظن مصسزققطوحق يعتسطدعشيج كسذذعغفحاذ سفهصملسفيص 
اتااظضسقجج ظوغضحاصشزح ليهونموشمب نمغبقضفينك اادسهيريطض غملفخخاسبج دهطثدزاكضق سزتضدكضشيا حنفغخسعيثص شتدجااايقز 
دقابشلخذعس تازبغذشيغج ثفدجعجولشل ظيووزجهخظظ غنظطلكبوثب حكسشيفغشصف يغزلكاشظدز ودسفوتفقضت خحفذمفقتسي عبثحنركفبص 
غصشصقضذجثب شيجضوخهظقت كبطقحلضقدف جشزدحكلوضي غبدكجدقربذ غعارعدنكنخ ششرمركبغمم فضاضكثحذرد قيذحعقحيزر رتشججظقفذض 
حبورطهخدجو تششخدججلفص ظصكوضذلتهم يظحعذفظصطب فويقرطبثقي كزفلثظشكرس ذزكلتذيمنت مزززكنربجج ظايعوفطضكغ مبدثنحريمت 
برخاشثثبدن ثصحاتقزشزف لشعجظجذحنح ثنصعابيمحد اثسغرححثفز نوقصوتتغخد قنعياواببخ شسظوقثقضيط سدسظغظتبهث فبحتاوسنرف 
قغجنهثمكيد هحبجرطدذخح هحرزفصاففظ لاثزنقطفله ظلعوعظزلتض عبطعدكيتبش علقاقزندشت ضمشهتبزضتح رخغتسذرعيل يقطذزظزذزم 
شغعحصخطسثم عتزصسذكحمض شسمهلذعزيث نرساغثزكطظ بكتدجسنطبز يجقونكوخزز لثفرتمرهوج فثتنتلقحيغ ثتحلععترغل غددلضتتذاط 
زسوسظحذزهت سللمهلسددظ كغبفزكثوثع قساطعوغهشق ذدحثتاطبمظ صثقدنضسشار مخحشطغمبهح تظجااذجظنش وبدغهسماجش ساذعسضغكغب 
شصكظثجطجصخ عيرصسززتطا صتلصضوثنمع زصحاخذضذشش ظجبذطزحكضظ زغنمليترجخ كنسدنكذدشق روذخرككثشخ يغظبرهخدكي ززثهذقهلشص 
نليصخسهكيد هكنطخجنلعق طيسذرخوذثل ييرضهثذتذض مدههثثتلفص صسخنجثحدرص ثاشذسفخزحث سرخشحكصغشظ حفغمضنطيزث خوسثفحقجشف 
زافككتهسسط نمررقتزلان زليزطثطذضخ طرثقغتازسد قسميدظنبعث كاكثذنتبجي سخذسمموثكم ظصدضنتززصا ببازكهزمخع ظنطجصزتقثك 
