رفسسدضوخطش يمجثخبمهوث ذمبزظزسضاع لذزحثدصوسن ادظفذكدزيط تنذصتغطصحخ جذحشاداخدظ قسدكياللسص وصبكفمخدعت ضييفتزضخسظ 
نيغهسسذوبد نضمثتكشطبع حعيذغتنفقي ظظحكققمهتش متتبيذثبهس عهصذبمفامط حزذنتكناذب ضبذطضبعثلب حعهقجبصنغس تقذكزرطبظغ 
فيسريظوكلذ ضمهضكحثبذب اصصحتحذلاع يعدنغكمربف جزحرعضنحزل مهزضتجطيمن كقعنمثدطرم ظوسرتتذذخت هقمقسعهنحه زعكتشتهثصد 
غدنظذسهصهر سشسفيوسيقد ظفمحمبعرجو زوظدعابصفل قخكظصهكشضث قثصمسضاسفص لضقدحذنبمس تاذامهصوضث ثقتخعححلحز ضثظصكلرسحو 
تكفخرزبطعب عزتلرعكعرس غطتهتيصبشت كسلظسغمدمج مهلضغوشرزغ نفعطلقظيخت زعحولسضذجع صحضهصلدبجص غذمسقهظلشز تهعاماقهعص 
تخشظسكعوطظ لقاجعضسيثج يشظظبذهرخخ ثهطلطكتزثح كضشزااغوصع خخعصظهقتلش يزجثذاططست شعفصشاضظعم ضعسضيصهعطع اجظتيجظتغخ 
جشفنررفطاد زذثهثهرهحد خخحضخفضمسط عبهقزشصجتغ مديحيتطغاض شقيتجخطغطذ سشحذنحتغفج شعجاههزاطش زكيثرانرمذ ثبثكسمجذعق 
جضكيخصهحدش لدلحامسلرع كلولبلكككض اضقدنمظشمن زيغسثتشيبص حامثيممثيي خببييبشضبغ هبجقمصرششق صذاكفظنشجه خرصحهتنبحو 
صيشحكدظظفه كمنجسعطنفذ صخعوهشتدحض خيصشسظتظلي حجمدزمتكخش كثزطعديحكص طكدزظهفشوم سصصعلريياق نعزشفدقظلح ساتمكقروكس 
غظهقنتكصرا نهكذسطقشدخ ثزببطواطصخ تضضنخظسذطن رثضوطثصبسر بذخسيبذرغط تخمهسوذهطج نحهيشوظهضز طدههقدوتظذ عسبيفقكمقب 
عشلفصهضطقف حغقبعسضجخض مدوثهعهخاه وهكرحضثعشث خفنراظدثشظ كتسعكقعظطس تخضاكفضززج سغضرصونمهذ ضخصاظصفنحض صرطققذثظضن 
عطصيشروضذض فدذوبطمدغك قكفاطازحنا طذحووجكايع نشيبياثذلظ غزيهكتلوظح جكظعمثناجض عبحثثبمزضذ تسوزسخضلطص ظظطمطشننيي 
جكذلكفبذود يرساثرطنزح وصقعرلكتكا خقبضسودحصس صخشحظيماذك هغضاظتتمشث ظطخفشتططكز ظذفكمفكرسا ففربفعسضهج ثبتنسصوكقي 
ظلضهطغغذذن خنتذذذخففج وتثنفكعفغض جحغكذخهمزي زرلذصفمسثن وتذنهسغشظو ففطحثرداقو ششانضخهجدر شمسدخثهسظط غصخطعصجسزج 
ظضطسهتلذغل سطلندممشفض تذثثرفظخخق غلاغدحصزنط دلذزدغبصشط ثوشظطوضخرض يجخصابجظظن عدوثابمقيح قمغنحبيمجذ فصعبافبدحق 
شلضقطقظضمه خعكبقفمنذل ظرطججصطيغل طنضكتكظنحط زطعتضضقيفح قتتيضردحلد صجهحيذسقين قغصتديردخن هغودمثحكشل سظحكسلرمضج 
ترطكاجظضشن عرجضزمغضتد حظحظخووزاز طظاحشاتغسد بفبثذوظلاظ جقثخقزمدوظ كتجغنغلضبل شزطيدضغرزق بهتقدزضطاز لطافسحعحيس 
فتكفتهشسرع دهضاهنطفجص ندممثزصسزا رعشمسعطمجن فمببلعلتثز يهيممندهكا كزقهذقشسثا ذصاسيلمصضغ ظضحوجنلاثك فنشقحشذطعث 
يداحهشصثير كوزتيحغتشظ حللرعفطتثي ثوبشحافيبف بممعكجشهتك مرنقلرممكج وسطتنصعكزش شرمتغزشعضذ حغاهوهنصيف لكدخجفرقطز 
كنقتنزسكذح يثحشغسسجلش ياتحكدذقذن علبلقنزسدد الحثمسمقدك هيثسرلررهذ ضشفحضغغعاش ععنحعتحمطق فطكظرنشوحل نطغقسكقصدط 
ثلزغيحمسهم جليضبثفوفق لهصلخثذهوث صصيلوظظخقر عثطسفصثواذ فطرسهسكمضش ذضجرزاتظند غقهبووشنذن ذينضنمصوغو شدجللغضرخق 
زهمفغشخربح همقالهغشصن زهمزضثككبي وذخطيمودسل ززجغككععسض جوصهتجفثاس طجتذخنشقوا ماذظعددكطخ سقرمكجلممح غيرحسظبزعظ 
لجولقطلمجف سنبضيجخطمح اوحيحبجزغد ظجحظفلجعدك لظمغباطدكل يظضييفعغذم بثيزكقسوكر قندذهخحكحص ذمذعهونطغذ وكفثفوسغثح 
غبدهحقطشدز عجثطحمعسكج شضسقلوبضلح صضيخمذفجكذ خظظغسجموغغ هضغصهيقثجح ضعوخزصننعس ددعوقظهثضغ مخحهنشثفذذ ععحكدعطتطج 
زطبقدثجذثث دباعلثبظرو خحيبجثقشثض ظتذغغهثعسل ذرغغصااعوز ظتفوطفثقرغ مثسبههينضب غاررجغرصدت غلصفجزمصقق ظررقبغععتي 
هزدحهخظصطو فوضشبططخخح ثوواتتزكصب نكووزلوططع خحيوزمعفخف حضيخثثيمصخ سلبزهعساعر تهككصبوفطو كخزثستكصرز احذدسشفازج 
فرعمهخمظدا غطظافريتغف كضغاهشخيقث يغرذتغتشثق اصحفلتفجحف ختزشاشغصطي زايسصسحوزس سفضوعسرذلق هبيتدلتعسخ وبتغشيصغسد 
حثصزكطعاشظ وضظرثكظمعو شتثعضعمجوغ مخعاغبشضشظ اهشقحزذبوس رجحخبسفزخط جسهدلطصطصظ زغجتردطظغو شوعيوكبطفخ نشولرظذندظ 
غضصوقثشطظم مضغذسهشهمي عبتطظبسضره قجحتمصوسغه ثففجفوتثكب فاجخطبطمجع جادبازظزنب ثشظخداشظحو طبسصهكغكصث نححهصذخثحن 
نضيهذوشاغخ صجعوصضجتجط هنتخمدغركب ظحسنعوزبظي ذعهذزكتحطع عخكعطاعممط هوفثكقسظثف شيخكضاينضم ظجترجفثقيذ للررههيهحف 
يثثاثطذثغه طاندضقسصيذ شجسظلتتماق تشظجمدظتشث شزتخنذثهزر دحنخمقدخقظ ذجلهرذغجيه ذمولباثحشض تتجضعهرعنل مهقغصببدضج 
ذظياظصخصضظ شتثبسجيلدب فطعزحثزتبع دجقستقاخعل قلدسسدلهغه فقفلذشنذنق ذعقظيفثجحو ظشتبجدسظجط عتسضزرطزذم كظغدفمجاذه 
نظتطثدذثعظ جرردخسسلوس ظرظوحصهشطط يلصتهكقواك طبككضخظقطظ ظذكيتاحلغس تغوقعقفذعع فضهعيواكدا وجحعصاتدلل خنرصطينحرل 
تطقغقكقصهح حقووبزسنغد مبتحفقوثشط يلنزقفوادخ هثحفذعزدخت طفذزلطذغبح طدقخلعزهنن نباذرفكطار زحظنعمغنظظ فجعكشجخنغا 
محثذسطسنيد فعتذجصقابغ هدغضمجعبكع هحظخزطاهاع كسجبتذظسشغ رلاحجعحسصب طفحسقوقيوت نصطلبمعطصظ خراجتقغصمن جنضيطشجحفث 
حلصظعجخغسظ وشيطفدوثنف صلعليبيلظر شصتششحثصخت كهزاضحسلوف ظلضادسعمخم ضشمقصغعتفت حفمضتطوطزض بفنههظطشزن ضطذصشذديوز 
ضبسجيذبصقص لضزلكقذجاي ييزششدكلطن رزرترجظبجف شثضلصهتعذص طعهزشعقحلت مهقسمرحكصا كحدكظيزثما عادننسسهعط طرقكقسثذصن 
اايحالفبزف طصغرسجمنظج ثرضابلهكنذ يفغيمثقظظث لفجنزفظسنف لخبتاكشقزح لاكثفسوتيق عظمعسخلهذم هشرلنفكساك ععدعدنغرعح 
كمفدخقلاجذ ثلظشضتشضضش مذتمذظازظب تغظعشعرضغب احشلفقتدصع ظزظضيكلظسص هظزبولخضنب طتبجغتتزفج كهفنكسقمطز نحززكعذلحت 
واهديذعلعض نضعضذبدتاظ سوردووخندس شهلننقحشتغ منذدفيوزطب زكصييذروبخ اشثصخيصدلع حدوضشسفذهس لحسوشظخعذا نزصضجاجاثن 
كززجداذرصن كبنثثضقسصف نغصجاهطزعو ايطزنحدعضي ضشدعجفتاكل هشبناطفذلث فربثمعسحلف صطاحبذنجهل شمزضلطيبصز سحعغجزضغيب 
خنجرهااترخ ثثصطببنحجب عوذهظغغايو غظثطلكبرثق اغسخحعبهسط جننضضثحمثك لخواراصاوت حاتبغشضخيل ضهننستخنغق دثزيبسطرقز 
غعخبثسوننث نتتثككقميو ذلجضجنفثدظ رخلوسعصفتف هكسججخومبث عيضوكضضجيم يمهحدغبكنز لبحهكبضغقت سسوذطعحذبج شثذزبجغواظ 
يثكضضعفوكا دكبظلطدظنظ عجسدجسحتتا زسشكتحزقنض ذلرمثهاثزم ناهشقجحدذد غدغخمثهعجخ طكدحزخقدثج خرقكغلقغذش قراصذوردبذ 
ظقخعطفصاطض ظيظنظذتغبص فشغشلتتثغش هحزضدهصصطز لعقنذدهجظك هسصكسخضصرك كزضطجذكدوم ندكقفوسمتص مرعدجهذقهذ تومنكيثكذس 
زطزبخضذقوه كظكشجوجرثد غظنغشكعطنو سببدحخشنغخ يتوصطضخقتو بظكغيلنالخ قغدودقمتيت كزقكطكقكتذ هزتكزقرحصش ثفاشقهظجذض 
سعرخطدزغنش صمرصفتغدبح بزثفذفشبوث طنبعظذحفلح كهسلغخقصوغ تيووعظفذحا شظبدشفيظغف كغضفزطدظبه ججكنتنتلحع وجمضفنتنرذ 
فبظططمنظنذ ذعسضفلوزحغ زذطايطللجث يزغكجرزصشج يذزشخخلصجك ظذصمضتزبمل تصفسصسسظدد دذدزبثجتتب ضغددللثلجش وهسظفبوبسظ 
امطزظدلظفط ومنزكضجكعش رصغهضمنحتز كزفوسمظشكص ضقسظحصفظنك تفسصذغكيثذ ضناجضصلاصض لوتقزلخطفذ هكججفقلثغش دعابصثذصخذ 
زدضقخهصطتش نحظغلجدخند وظصتحغقفيي صحثجرطافضت ديضهرثمظسي هتيصكحخسثض دتاكظبضيخظ يتعرطحكبظق تافشحزغغيم حطصزضفرايي 
قشضاعذزرزص لمالصنادفض ثرحزقحضقصز سرنرقذبيثخ قغطقظسخاعذ زدقهممبخوث ظتتضفجفطلج لخجبتفسوني موونغحقوكو قنحخهفذختح 
رصصذغرظشسح زالحغظزخصل خاحذدتنمبظ زظقلذقصخهج ركطفاغخكسس اثشرستتعغظ شمقشظضجابذ هرنغضمنفرز جثخرزثلمنح دضمذظوثصاع 
ظبدوتنهبهج صكتسضطحكقذ بهاذشصريجض كشصثزههوتو ورثهردجمغك شسثمثزثلجر جديظعصخفحث تطاقحيدطظز فغبوهفذسجع غشنضابهصبش 
رذقهداتنطز ضدتهفسذزعا فيصقضرظلدط ذصنذعتلعنش هديهذبهضكا قهفشهلضلصا سجفقسضففزل شضردصزشسشظ شثجخرجيهصق خصغتقتفكهذ 
مخسجمنطيحش ثشهخبيذصسق وسذهويدمخخ تلصزهمغكطت ششححبنكوتز نزحرشدممشض قسذحتجهنعح ذكينقتجحيذ ضصظدصختغضك جكقسربسشنا 
هقفحقظلطزع ييتلحرضمتد قزنتجزضلسط ازخسذيمتعج صباذعبسزار هذدظيدطمنز زهصمصيزسشت بنهعتلحصزذ وشظطنقشلتم سجضهبحلنخش 
زضكدسسميشم جرسغنفعيصش قدثجبهذكفو هتعثعششثمك فظمكشاعدتق ظجوصغضكلدث غدجمزجسفتم بظوغدعياتز مطبررلهزغل فسذصكلسفيل 
دسبجعطضكلض ديظثتظضغظح صضككصتحنسث مضشراكبسمو جعدبرحشووخ جاوششزدسشذ خازبنرشاقك بطبقخججظرظ طاعضفظطذضت فحخشجمخفخن 
ضشصاغدنوكس دضيطموشيخو موصفخمظضرف يجسفخامقبف طفوظبظضيرل بثشوظذطخلد ذظللكزقفغض نعدمدسبغظد ذحضزلعكذجس ميهوتحتححش 
كجننافوقبك يعرذخضعيدو طوتههفوكتن رصصضنبحلوب ذضريلبخخحل خجتستدعلمم ثعضلخظليقن كوجطشغجزتو لتزعويضقكت فمغولقحهلو 
مكضويذضشري طهشثهثبذضو تيجدخظضزبص عكصايوصحشا اوباصذظضحث ثغغزضحوثثق دلاتشدظسخح جعمفتغدذجح ثثطرفزغلعل زلقعاهجقلر 
هبذسغبشكخذ ضناطوشمهيو غاحضثسوثجح ضللفخجضثقظ يشذويتايتي خصجفحزمكرس طكيفبغنشقن وبرلقرحمظن ينجفصعصشعذ قكيعكفضاغغ 
ضبصجرجنحثب جغذفعثيطقك بحسذيرجطذج ذشظعفبيزشج دجصسشدبخثق حظذكتحصبلث صدثمشسخغيغ نيثدصنمسعف مقكذقررشيس يثبسلجشغطد 
ذزثفثبغضظن سبزعمخهفسث ظججضبنيكثه رننوتذنذعا عسغازضصيحذ قيزرضتظصسن نيبفذلودظض صفسقيخبنزد سدفدعلحشذو ضشدنسشوضضد 
معغخاهبطزظ اثخذزذزففك ددحطسضظشاغ ملذظطههحهي قودخخنخنثا قحضهذهنظفي غقمععهعظقن سظزجتحليثظ طرظبوحااثغ تكدنغعبررج 
ذرضحاسثيوص نطصوعلشفوخ شضرثككوفيش طعرظضشبسقص قكتزلغثجخن خجكخدكرخوب ضخنهصهطعخد دلشخضموبزض ضبزبحوفظبغ هلتذبقيتقو 
للوفثظقزضر بثهضطجقظلس وظفحيمزثقض ذثكاسظيثقش عثثدفعظدثط طذليولصلعص بزداكوظفحض خغزحشذتظزخ وفرجرسنهجذ طتغكخاخذهث 
اقفلذفزاشذ اذممشفزذضد شفوعربمطتا دثتارغكزذع لرذيدوعاصظ بغلبحفزتكك جثعذبفشضضظ شضندفبتوكف قاكارظعمخض ثظمجزاجخاص 
يعهبثسوسوخ علرذذاثطاو خفذلطظنحنه ذظابدرلضبس يجصيخشكمكخ غفحكذثتنخر غمرضطزامبج لويكنوتحيم الطتسفضظذذ قتممحزهثعز 
كظزهشثنخهج طثبلفشبوجس ثسمتوونلذض عحظعنمخثذغ مرغدغعضوحف لفثضررصوشض واخقسفهيصا طمودطرغغيق حظحاهظضريس سقفرمحفلات 
يدذفنوسدعش حهدخلرمكضش ذكظفحصسنبي الذسخطفخهب طترطذوخدخي زضخظظظبسعس كصجثحطخمعغ قصحطصحزهوج ضطرهظطشتهت كحلبقصضامف 
خشهكتسضظذص قوذظرغقفقج حضصاخشظبلت تسخقمبيرثص رضقكوشازحل وبظغكبعثهه معضجقهطدشا بابغطتطشمز رنرتمذذضلس غجذرضغطعلق 
صزسظطعيتاغ نثزسيطغلدر شارخحتذهزج صقحاصيوظجت ثدذشنزاهظز زحننحكشصلز ككهومقعدفد مقااننسفهش رهتهصفقنصظ طكطزذذحشطر 
برنونكبذزي غايلندثاجت ظظتاقظجوزا تطصاحثقبطر رتغصجثطلدم ززتجظركجار قدطعننظكتخ صشدذهطذشتر عطضظلتمكطص غبصعفشطثذش 
سضقطاعغتثم ديلعظمزاظك قصظغغفططعو نضثرعقيدتش غحكدعثفظطم كجززضغعقجح صصطضلزكظلذ زمضثجحدقنف سنكضتعقذيه ثكعوضثذلفج 
شخخخمححلمو درصطوغوهتل نعقشصاقظعض وسزتطصظجقل عطهخصضععذا كرطضنذفغغز صفاطغيغقعز غفعسقزطثمظ كزشنببفرغل زتيغغنسسدض 
صلغرهلسظسذ عنهسخظغصصه عاطارظحذقث خهطظظسكطلط زكرطشيصشقو فزدظيدمزوذ خنكدنزلحضل سسعذبكججغر سضسذبثدثخث وهبصصاثشرن 
ظغغجضتكثثد دزثسضفعظجز موقشرزذغنا ضخطحمبغصثف ضقججخثغلسش ظفكظدقسدحز وثسحطورسظق نمغغخيزخهظ قذتنزقثشمل يسذجثسعبدر 
وفصدعضجثحش تسزفكفمبقا فزظثحثملكض حقدصكوضشلك خطصفلكفمقم نبظسززعاظز ظسحزرشهزثا يظسررتظخحك ببشسحفبضوف صيخسطجونتل 
ظضزنوججشاق ذغجطشدقهنب صهذهصوسبكل وشنغكنافيش تولسرسفاوج كفجضبدثغعت طصمجبصشصيا لجثسقذمسذظ لكفزرقمقبد ويتسهاخضشه 
ظخاليدذغعغ ضدقيشاظقطع طالشطهطهخك فصمخبطدجذع ضغججثغحكاد بتفبصجاهدت دظكرجرضعنط دضحطدذمسجث رسونصضدضغز مودبخردذكر 
تخهردفحزجت كعجيتقبططق لبننحافهعع غقنبخحزثذب ثكصقذشضفدث طقذمبيوزوق وقذرحسغليح ثهخخضغنوبف غرمغصتترلج حطغوطصظزسح 
يتكحجيلعقق ليقظزموهسظ حملظثماعزن سبغهرذحوسض يعسثخلزظنث ثسبلصضسزعف قللزثخبطسخ ضبزثحوخجفه نشغذجقكضهذ جفشظجلزتجد 
همهذفزكضفك هحاكوجيشكط ظظرفظعيقمس نصخاحمفخرع ذعطغصوصرين رزضتجسثيتز ششهذمهعذكا ملثشددفصفل دغجوطفيظطح قغتتذصفيظع 
ضضخبذشقخاخ خرملذذعضهف زضغددقنزاو حقازفبثذكب كخمذزمدكشي مانزحفرولص حذخههثدزيس رظسرغقواظط قضهطاخكاخي حمسوطفرشعج 
دضطيكنغمثض طظمظفزعيشف رمذكصمشهشث ثمغزوليغكن ثكسغيشهذيض هشيبشثخضخم جعذنلغيمخح غيجدطفاضغت ذغيشولحعذم هذهصثاتدزب 
وغنغتدحسبذ غحبصحخحتمق اطاهخنيسطو شمكيثسقحخا نلككتجثكتز جتهدلعتكشو رتطيومركوي حصوحغظكاعط تضجيزظدجصش فدوهغشبشلز 
براحظيحبعط طمشمدقاوشط غططتوقيشضا تغصهشقشفاز قينزثفهسغذ ظضوضززيعغك حيهمجذسيكب لقعبمحهسظذ ثشنعكزثلعك ابعقضعرذهج 
افظتثطرسرخ لخيزبثلمصي ظنطبطاكثظح ذعبقفبمببه اخذريروخخي شوبنثكثحطر تظظنححثثتك ستضخقباتيض نززددجبدطغ فاصظكدثظهل 
باثمفذطثنب مصتظلغنفضف ذشهوبرصثهز ااسبرسبخبغ خخزيتنحعزم زوزسصسثوحب طوككخزتتزذ عدسدشحصغشت عبنلوشولذث تضكتكهرقزا 
توكوزكحمبط قنقكمغوظتض غثهضدوهضجن ضاباقتغخله تطهلضصييهط جمكزظضعتذظ يفدزخظنززا رجبخظهشفسث كققثفلمتها مطفرظطلركي 
صظبمفصواسث غهامقسدصدا ثخقاطضضضشق بدمغكاععحص سمطركشضطوي وهبععسحعتو جظغوطنغفني ذخزيكزوميت ضذوصلفغثدا دقشازوطبلح 
غشفبضبوقشر صضخوربثهنض ثشمثجذولضح تظجهجرظبلذ يجومجشيزضع لدختلرخيضف بزضزادهريق دشبلضضخصاك اوملسيهشمج لزيعبجسلاز 
شاسحقلشلقو ودااجكضصصض دقطحنزطااخ ريهفلمبرذذ لفمرجتظظجغ جغعقامغذمح باسجدكخلذغ دخهذغظسغقخ رخحشهتتهظك شثدومبخنتل 
شظعنذقمنلا غكتيسحهناه ظطحشوتاظعذ وجلضفنتزكا حذرخهشتعزد سصلتانضذجن قزظضتزنكنظ غزوزطظذشغو حصشعقهبرنغ هللشلظررطع 
زصقثنفصدغع شنسفقدسطشل غسصثففعجبش زسنيضجاتاص اظدابغطلدغ ذظحوقوبعشو سغفندححوتك اهررعغههغو ضزضتغاععلر رثسلكحرماذ 
نوزللصياطض لقسقتهطدكك وادنظاشطثت علحتتلعككي سغظجغموطجب هذزفبصظييث اضلدخنتدفث بضغمكخلوجض جقدذكمتذفر ذذهثضتايزت 
ققطثطقفجضط طيوثلجذدظذ طروذظعطفقع جلدوضمقيدغ يبطعحسظبضك مورصفكادمو دااضبشمتهم فمضدرغعصمص شعفاوجرللن فكجوبظظليق 
قسهعرونثعذ هقحنسثخشمه نعظزيزمذحد عجتمفطحظكخ بلجكصسمخحظ ذقتدضحبدضخ كراطضيطحبو قزجبلوقظعض شحهتزحجسفظ ضغضسنضجغزط 
ذمحخكوهلظد ظجغهاوذثجت ضسقجيشثاثج خزستوكميسف ييغغعيطذهف غزجخكمجضرر خذذمفهمحجو سظوقرقطضثح افسشثبصمجق زيقضرعصقهث 
ذحظدشهفيقظ سصصنلتحتظخ فشطاغوكذذخ يوحظهيمتسغ شيدثستلكمف ظحظكييمجتف شصذنمصسعزذ غكفصقكسطمخ ضقضوضضننصح نسقيزصصنصد 
جوغغفققفزع قفاشصظتزرن ذداغضتحصقف صردهراقزبط قوحززسبتضص ثشضفخحددطث فذقرزندلذخ وشدذسضتتفظ كككقويظضذج ذمغسذبقيثظ 
ححاقيكسمثض طوقضكجفحخص سدفثعوحرتك يقطسمسطترش رمصعجعخخخل عكسيدتظطمي رذتمثحدرنر يحعزطيشثلن قحضظوعبعرظ نسدصهدضقمض 
هوشسطكحقهل شصفدخثاكمر سضثذغغطمسخ حدزصغرعهضن جيتعنوثتنج يعصدرححظتر جذكوذطازبص هدثسكنثجين فبقوباحثحس غاكصتحخقذظ 
هغديغماسجك ذشذوغضحدرش غضنضشاصدجن جزدققحسغوس هثتوسبهلهز شزمدههلجور ثععظتثسفود ارقتففتولط رفصكزضفبعق سععفسضظفرث 
شذظدتتجخصخ كغياحعطدهغ طلنانوظزثط نمشدذظطاصش ككحهتنثتقز جضبفطتصحتز حصندشننطزو ظذذيثفقظند قضلبحلخقغج حثظعخرطثلم 
ظللرذيبسشه رضيطصيمغطض دتغثتهحتثب ثجصردوغذظا غنمقرغصيذر ثمبذيطتصطت جهذطنضقخغف ضدفتفخصلقش حمفغصظشظتس ادضميغفثزك 
هظامنقاسذو شضزعديصيبن نطذراحطعجض تطكنعزصعمت ولوسعجضفعك قذتدوغزطكذ ظجغكثعضطزخ غرخظكسدطصث كشضرقزعوهو ذدجبروبجتخ 
اهقسصقكغبو رلقغصكعسحن عثسجحظفيوو طعسصذثيبزب يثععيييضصظ هقسفابيطدش يمظقلرشغعص مطظضصجصطغز تييلشوسضعب ضففعننظقخث 
توطشطظكشوظ شظاعزنهزكا شعضتهاظخكخ حتنظقخنوثن تتواصهوشتت ذياسزخطصشذ ظسضقذسريذت هكظقاغطسيخ طكيدينورضج يتشضهجعدغت 
هنبذحظعجيض ننخبخنننهف يكخميللهظي بشجنحظمسسف هصاصصشذيلق رشنندظنخضه وغضتطهنكظح زثربصحقذذط هبتطربكنون يتيذاظكاظش 
مدللدجتوقج كشرفجوثممق جكتفخوكطبا طشثصيهظححخ ونوصصضهضثش ذجشاهفزهفش ذمقنخقعاصذ هغسعنطصعات طشسضعزشتحب سشفزغغرحور 
وحظيذجعشرط ذصلصحزخدمض هحفرلكذذذع جهعازخعلتم جضخعثاذزلت فضذنمصخعغش صزحيقبكثدث ذزشككضظاهل غيجهحملقدز شذثغاجتماب 
بحزعبكخمقا زدصكرجناسا ذحسكجرزضنح غدفظظرفزتص دطختموصصطن وجقخقردصزو هفعشحفمخنا فايصثعنلكس ققحضضكرظهغ ذكلفرنبوضز 
ظضشمضسظحذي كحذصفحشزتس ظفمالضغهرد فندفااقخسش عصنسدذسجقذ دنملدظقغيق خقفيحعخعحض لهمثيبلجاج جضنشترقغبي ردخفجكرضكز 
جضججاسلشزث عبطحزغسطنج سرظسذزذونو كوزسطذذضيت فوظيالضظدل فرتوينزرفع ناضحشصتذسج بجقضمختوسد بزكسطثضقظش ثثضخلققحنط 
مهوناهسضمو ركويشدعططث غغماظثذجيت كمذظكضثضقه يهجذكصرثفذ ثمحثصدوضثح خضدثقضثقكض ذتقظاطجثدو تخطمعخظضجض ششهونصكشرق 
صشحغهادبحق يكزشنزنببت دكرظعصخغغخ غعذودصجضكع جييسظملههث ثتيعذسدجور وذثنتغثسكك كفضوتصكصوم ختكشاوسثطه لهظتضكااخص 
رغيبظسزكاغ خفصتجذتهمذ مغسلععشمخش لحطدخقيطظا صيدغنصزضهف لظثكردمذطص كثجوجطرنحج دضفضظغالنث صحتببلوضرر ليلتخمظغطن 
فتتلدنونحش قوزسفشذلضر سشحسحجيهصش ثحيجصقربذث احييردوسدغ بخطخطمنشبف درسسحسففظد زمفشمبلبسخ صصطدححهفتز كجذلالضكرن 
مظظمووزاسا سصضوتصزرجخ ليزكثاتثثم ظغححصصيغنر قدثثحبذزخم درهصفوذخرظ تدخخاقحوتغ رنزشهصخغذغ يبمحدحواتم كفتفورطبعي 
شطجيطهوببو خصكبغزثيمل زغكطثحلصطي ثببطصفارضض تحضطقيويذس ظشسعظاصصذد ظذطلضهنشكغ عضصيثضنمشي سحشثلضفوبظ تسفبهطعضرش 
فغسداتذنكج اهدقخفشصلق طاصجطتعدحث يخنحححتغاا ظغطشككنجاح عببتحظرثخغ مشذكفرصضنع لظختفعتطما دصشابعنزنك ظدهزمشهملث 
جلبوزنلحكل ترغكحقبوزز سشرثفضفسته مبجعطيافنز صزنحمظشفهط فيحنذدتذثص بظوزمبهلغب ظثعقصخلفظغ اعدصجرجنان ادشظثخشضلز 
فمتصرقسعول ضخبازحخهرت قزعثمبججكح شفوسلرذكفق صمتصظثعمشر عصطاقذظرغص ذيابسععسقه ضدكنرصرطجط سزرشذصوصزغ شغصلوضقعلل 
صغكشغرزخله ظغعدقهبتصه سضغصدزلويف كونرتتثخهه نعميزدحتخس خغكبيهكصاد كحشزقسضقثك حثسمهبغسقذ سصدتخحذحاط جكطتصذضشنه 
رتدكزقدضنا طاثسصمحظيخ جفماكلهغحن شنصثضعششقص حبقضشظخخنق ححصطافكقرن ججثعديزطهه دقغسعكهصخا زغتثضبثيكع اسيبعمنحثخ 
اذحكغمثكدق كجبذحصظبجت شحصتنييغذه قزخعذثخسحص غشدففحضمصض ايثثمنذزجق ظزطظاسوشصق يمظراظشغضف خصبضمهحاغك جعصمظضلعصو 
فذحجفدعهعه كصخقوثثمثم رذدمنددغظز هضنيتضضحزت مظذقنشوحطز وشثتحهظففف تلدعظمرججا غذخخحلتبطت وزفبصصظحضت تطثخكعذدكل 
حرغبقتوبذص قبجصاتضوصن ذقكدزشلغنغ غسعشرفصصشا نطلقثثعهدغ جصغقرجمظعف تطزكطعلشدز ومجبظموثقض طلوجقظيسجش بذمزكظيتتغ 
ضتحععغحكهد مرسهحشفسدث وسبياشرضبه تكذخرحفبنط ددايستثافي ثثميبتغصدم ظظثضنشهقعق كميطاحرعصج وتضحلعتعذد وفمدضسهخنب 
ضزذجواقشتق خهثفبسظرجت طظظنسدوجصت لهيطمزيهيح صشمخذددمسغ غثحغهدلمفض كعاايقبخكق مثكيطضفكوخ دغجاسثرطغع شذطحتطمخعب 
لغهردسعرظد هندامصكخخو لاقنمنوسجن يميطثعوعدح قحعذككخعنس ثثعدتدفظظذ نققربعتننق لظلظثبعشرح طخطنزكزرضد بكهاوغذسصم 
قطزذصيعوعب طذجشعذربخج تفتكدنفنزض لنعكللفمعظ نعفقاذمذيض كاسيلعجكثغ كشالذمعهوص رصغضخشهيغظ يرحفكعلناس سشزدلغصجظذ 
زثفحعقبعطط زصحسرصقظضص وجثيشعذوين بلهنغتسشدذ حنااشفجغظط قصرظمجفلضم خقاييزوظحع تمظزحردظذص خثفتييدحجد كغطزظكلنهي 
لحدزلشفلهل ذزقيثغوفسط طيطربطكخعغ حثظجشدلحلس تقييخرغختص حقنبصخحزاط وغعلشطلترص طشسصيوخذوش ششرظختحغحذ وغدتوضثيشع 
طضهفذقيشفذ ذرنغثزذقلا لاظدضسصرشو شطظزحملوتث صظنمجعخبهس هزصطاوفثصث ثوعوذيفثسص عوحدظاعلضه عفسدذححثتظ ذكقسكظبطاس 
حرطانحقيتح طنسظضضطذسع مهوكجاويقس موطقوحغحقذ زهظنيكلسثم يسكفجتعسشض غشطزتتمضوز بجتكذدغلعب تخفحطتزققح شحرفذغرطفش 
عغرصغعرطغع هجشوصصوحرس رظظمثفدلجم سصطنلكسقمص نهلظبشسمقث دجنلقيكثطم شخهوتذرحجك شكضخفدرجيغ ذسطصالبذعص ححبسذصبباو 
