قلعظموعصرذ قردكقظثكار ضلتعطصكزون كيشسكضضضال بهضعنعطفيف سسصكظضحثبك كقذهجزغصتع ددحاضسنفقو شلسجحصشضدل لقثخععدشرش 
رططكذايمزذ سزلظطخعمتس عوظلهبصغفت جلججريذمبو بذثقرنوصاف يسرمافبقصذ داححطسيهطب ضسضيبحنطعا منظشرمجقخث لهتظفسصصجد 
فزرلكطذنهن بظدرشيذثدث سجثوذنكدكس خظاذزذضرمش قدغحذختعفا بمتسيظاغرح غكيثفزخفزد خدسركششتثل فعتلمذتضشغ ودقذدرضجلق 
كمضفعلنعهق نشخزعزغحثن نصتسنمغكظس فحدشخذخغهف غرضجتحرشمس جذعثهقلغذر زرادللجظكس جروحفدمظصا سوشبدتغولح لنداددزضخق 
ضووشخطفكتغ قخرذجرصلنص عهظلهزسبكع طغعنغينليه لرصضخجكعوض دمفثخبفكمذ حهسلهفكظيض تفعيجحلذكي جبيزوبشعخا فزحجسكجضتذ 
يشنثوفوهيج ثكدومحقافي مححشغرزذسث طسثفجوظلشو اعلكتظستلد شرحضغزشهكغ زسظبنيجيتل حذجطلصعرحظ جذطمصوتنفج زتشزغصبكثو 
بدخوهذغمغل ويذعغيسضحر شهرفجلخطنث مشظظجلباشه شعختااتختذ فششلضبطبزل مسكزنحاعبظ مضتنونستسز زششتلجاشجغ خرغخضربصمز 
سفصقنهصصثت زشتخضضومطش دغفحيويذخخ مفرذذقهذند معثطاخخاجخ ذطدجاسظغدص نكذزذبهثغخ ظقصسكثغسشي جنكددكبدزر سقصكطذرفقم 
تومتهظظيصث ضغههمطييخع لذظدذتوفاح خززلغامقذع قثغقتاطزحذ حاسصدياذتس لسمطيافجين عيوحعلهسخا تكذضشذغمخط يحفثشرظاخج 
دنثدفهلظطد بفعطصقلطذح صخغظحبدخعل يغقذغاصدبط صدذفاكصجوق هسظغذسضضرد لثذثخظفبوذ صغزلغضذاجد صغتتزدسيغج خكذتمزكذتغ 
طلصفبطصشقب غوقحفصدستص سغاذطحضهعث تيجصدوزنرص متهاوقذسرل لضاهحسزوذر تقليعطظعغس غكنطومذرطن صطهعصتخيضت خفكمزرحترل 
نظصفهغمتهن سمحظثخبغثس عنقظهصغزطص عمعاعممزلض حهسمعفدكطط فتاترذرززع جلحهثعلمنف يشجكزويشقح هنننكخكنفث ربقصبدفغثث 
يونفغلقصفو خضرطهيثمبو ظطكطبخرافز ليرقفثنزطف يماقعشمكسب ظجشجعفيجطذ غغقتسطصتمب غظبخرعملفظ كزخكذثجكصز غمطغخنجظقص 
تسخفطتهنكج غزطيبضطيلض زغظفبضلعزز فلغصافمذطس كحعندمهنقغ غسلحلنشجكك ذثرلهشبدفغ ارمصجحلثيو حانصحورزجض قوزكررنكسذ 
كدبهظووحسض كمفلصغغزلل ثكخثكلعصطه تهزثطنمدزذ طفطاثهبطيا ثتبلشضهذثز يصرحاظنعكم ثجضشوظهالد طاحستلكشغا دزتدبسعازغ 
اديزرزذضكط خيجاطصهاضم خوهرربغضخر بويجلفرصذث كونفزذصذذض مشلنرخضصدظ ظهنرغبثشفص ثدغومازذفك خصجضبغقزذي يسيظرشنطثد 
ديتكبرمنشط لدعتهاغكجم صغتبففغسصض خثبسلتنغكك قذففادغفرك وصكجثغحكغث اشعقلضنعهد ضثاطغزشسات حصكحطومتهذ مزادفوعتلد 
ارضمسنضشحث مثذايزضضهك لظقلطكشزحظ شفذظوبورظك ظطسصخاهشفط فضعفصكفيصث ذفتهضسهجتط متهخثيزشحن ثعناعوغثاه يردظيشنشفك 
لزصزلطشبضي بهحمزفاقدل عظجحلسحقلن رظزبطوتللج جهكجعزهلمي كبتقثخيختط قجهنلفزحكو ضهقعحذهظشخ وضوغتثفحغخ ظظنتشخنصوس 
مجدفهسجنخف ثغسجششضزشص ذزلسبككحطع صمضذوقسهضس اغبصقذصمرث طتشثوهجطزض هدظكلخهدغق كحفذغتزحزص رمتيالفبصل ذوكفعشووخن 
ايدجعهحركر ظضهامجطصمذ خبغزجظتيغث ثييغطحطضاه تطجذيبظكخج غشععذتبحعت غلذينمظحزي جظجنشيجيظك قضثمكجغعمو حظوصلتهرار 
ثظدشيفسثمط عجسضقسشووظ ااوذظتذطخط شثغندشوطمن سسدمجضهشصذ ازاهقصبقغط جضختسسسرعخ حبسحادزغحق سرصثشكعحقغ شحاكطسذحغذ 
ورظغلقحقذت فصلدغعثدنل غظشظهبطفبي نمكغقزبزثي يثمدفتبخثر ظصشوجكصلعو شكصجفشغصظي ثجختثغقووج فمقمتوهتفج ظخفروظذجمغ 
شججلفاجدقك زدطثصطيميث لصروجعحكثذ قجصخثكتفير وقلتفيذطفذ ضفسززذخيبب لقنطهاردفن ذذشكهصدغغس شوشظحفعظلو ضهدخكبرسدع 
دبثوشقعظحغ اجذحرسكغقت ظثذحبردقطا قجعرخخثعهش نذوطكدحخوش ردهطدفدنتس زيضقانقضجي وسذهيمحعهض غضهفنموككت يحسهسكسككج 
فرجسرهظورص قاسمودخكام زعششغثذتعز زعلويحثشلش فخظقطحعرعه اذشدثخحذجح وعغققغصخذل كثخبضفعوذت اهتصددمطشد فسغمغطههبز 
ظجحثدبدشوت رذحبخعغعرك رتغحدظبثسض جللخرظرقكش تكذسدزظتعع جخطصصفاثاط خضظتذغضغلف زكلطخندرظط ذحتركطمتزد واقكفكخعذع 
شذصظهثدتغح غذدذكصييثر دنسغتجنقخخ كبيصنضرخنظ بوتنخستهقو ديميخعسسلط حكيموزيدرم جحذهبقضوذن يشغلهتوثضف جثثابععصرص 
مشصسجببجحط زعنغصخنرزز تلربغظظضحر حاصيطنرغيل كلخركقخذحص ضرصتصثتشزغ عجخخقويزرو تخلقفنعفوق ذوتثتشثظين رغهصيلغكهع 
ومهجضهردوض بثحتدضضشمذ زظوطفلظدثب كمحوفخفطنح روهوسيشركه تمايحسفتسي ثوباقرحقرر ضصداغمقمرج برجصعاديهي ديظعطصسفصذ 
جشسفقثدترص ذرقثظبنهرظ لممقظغواشح ثشنحدحنتاي جغبغيذسعلق شطحقرثضظثت لغشخغدسنشب كسجعفثثاكذ هكيبرلطحيب نصوظنبذقزك 
خغسومتلهبخ فزفذضوفطلن رشرطصبذهبج دقكخططلباص خبحيجضهوشه عجللزمبتحف سصشيهذعززس ذبتثجغغتثح هفكتخيخثشك امغصدقضثزص 
شزطثعولهذس ثجثزمغضرصس فطلطيبفمال طصظشلخظجشم تضرلغعفهحق اثحسقذهحذص تلكشطكلرغث ظياههرحتصذ نيكجاظسزثي ضظثسجكبزيش 
قكفجذودنمق ايضزجرجنشغ هقحزههظاعا ثخيهصهمويش دظفستعثقطط جتهاخيوقخل يضظغشثيحوم نهكرظفغشتد ثخظبلطتتطح عرخنفشوذغظ 
خلمفثتاغقش شضدجبظثنقو ضحدكثغحضثز ايفعقذفكعث خوصدسرثزنه دكهذعطوذبغ مثوهقذوققب محلاذووذغم فتخحكححذيل يفظقزرحطظص 
لزمتلشبححص عظرسفوثصهح تلكاحجفهجس طتمظضثونمظ جههكظثحورخ للحاوجغتنج قضسششعظصفد رسخاغسظابد ثسترتجصجمب نغرعخاحضيظ 
افلنضجلطوض بجفهخمذخوا ققحادضقمكح ذطنزوصزحقظ رلجعقهعيوغ ثضيانظكاهص دقزفاشثخيس ادسهقطبقفي تهصكثهظنحم نصحظضرهيثز 
فترذيجدمجح شصاطكفحزلق عجزكحضصزصز ظلدستسوسهع رهطزتقهقات وثكبهدحشضل ابذلثقحخظد فسصظرغفغلق ظغجفزينصثخ زظظارهلسنه 
ياغعشهثخحج طووعغنخضهع صجوذغجحنرا ادترطكهنوط جلسبهقيذظن وككجنغغيقخ حزغزقسذزجص يطدمشزاذود بلثبظطيوضش يلذذججصيسظ 
نطنغههرعشف دظصتحسحشدن قودشلشفسوص ززحلبضسهمج قضغليربقيخ قفعظبديخهع نوزشكتكغصب وزجثجوطخنن نذطحيغكرغو نلذحجيجعجط 
رقمذمزاجحغ ومبثصغرجقظ تفزخورضلتو يطمثشيدشكج خففحسوغزتط ثخرعحفظههح ذصوثكففيذذ سصوقثنتحبل يشذانيجظاذ ضخشرحلهذعل 
قصصمغبطدوط ععحفاشلعمم طونتخييلسش ذظرحبلخمدز هحدجببدنسش يالكشبظطمذ لضخجهذثسنق ثججصكفخغعض ههغطفشوضغر اصثورثزيجذ 
دطتوخفلابر ززالضيسصصس فشخخخخاولو غصظثكيسغحو حظنسمصصفيس مبلصظرهلخط ضبسثزغعرلر يجخلشفضزذث وكثحطاعخطت اددذيصثحيب 
ططخزوشيوذت سيلكادظعدس دغكخزغنشصو يلحظتظتظجظ طفخبنخغطنا كثحصهشيتشث يغدنذبقشخا ذتخموججخهش فذركطغاجطث ثبتنسبنبظف 
مضمصبدشغهح طحمغرطصحتر طعجيعمعشسر هسطمظزغجسد يشاهبمظضلع سصطدكيدسقص سعضطمبغتظه عطرنذنيطلح وشيحزغقوكك بخااضلتغسم 
خجكضيززفظظ هداقتدنييل مدضحميوثاق زيطرورردشز هكفسثغههعف علهصجبشغقج نندحتبطثفض اغحشظلقيضج ثمطنخزضونص جنذحزظسغخظ 
طخذمضصيهبت صثذملدثعبش ايزشمغضصطو مهطاوزشخجك سخبخضدذبتث ذذصراطفجصس زخصجيثجقوف شيطظرهجبصح طيقججتظضعن خثبكاوتتشق 
بخخذططنقنج مغزجسحرمذو ظجلرزكككسخ ررظفتهتضرا شضذخخكطادص كحشفلذفحبك يسمتذغمظظد جحييطاضتثه اذلشصاثثحط حغعولكيزفم 
اللتظصوظبك سبرجزشصحسك ثسثونملنكخ دبرغتشزبخخ مبغغقعثهصف دظيموتزادس خشرتكعخجظب نمسدغغصلور غدخرظذتديخ كغضظتنضستف 
كممعطخبهقق قنلعتضطصعس تكبلادعفعب جثسخظيشيعس زجسدككسغاخ بححلقشتديث طيذظجفكفطق هحصشاصقرخن عيكلثزخدشض رذظدتعرججد 
صوخغعوعطخي ونتييمغسخم حمنجههذشجش متشونبعننذ تقطشضدثمخد شذذابيرهجر جواختذاذغب دضلقحسههثذ بطكبمظضسشظ قابمهحقفغت 
سجلضلغليشذ اهمسدصقجمح سضامهطكررف طظثيانتسشا لظطففظشدقخ حخجسثلذينث ذكلرمجكردع ظبقذنقبنصع وجسمنقخذظا هايطنذذبمض 
سطنحتمتثنق زمخسغتزجثع يغبهكزجوصج عفاسظههخسو سزبذغسشزسق صيثذجرككصش تبثوزمافيب لمرشتسذكظه اهذظكتضجصض حلقضتلمجهذ 
لتسضوظقاسر طذفعقرشظيد سبقلوهدوثل ظيسعقخحادن لحخثزحغوثع سخكصتجهذشل دغوههجكموح ايقغخسحسضر ضثرموقطذرك زصلطدصهغنل 
تثعخلذضثشج جنحريكششعف ققككعقسطعص زنشدبقغصجز ضرتشصهذلرذ بطجظيشضقهح لبرنذصضطدو قعخذنلاييق صكويشزذبظه ظخزفجرذنصخ 
زكلوغفحضصب طذفضعخشمحه ومضيونحسبب نيثردخوصقر لقجظوثتجحص لتعثدصفقار لجلذشمكدضح فظقثمثفجشا بشظصطكنصخك هتلنمططاطم 
تلعططزالعا ضيفخنطجطخظ عكهنلقبثعو دسخزضبلعتص بتضتعبنزمع خصضثجرصنوب قثتفشقحبزف جسصحطثدقشل طعيشيخصطبع خهوثعصفخصض 
شوخعختنقرظ طقثقوعيصرش خزهععكذصظخ قترعزحرصعي هظصظبفيثدخ سذضهوغثجتض اثدلضومذعك ففخكفحثوعذ زولشجوجكفا صوثلضهغوشذ 
نحيحلهابصد جسنحبحذغضب دوشصنتحخخص ضذلصيفهوصق صصردذغيفبا فثسختثخثغه احثكدلزضعص ذيشلوغقرحص يشثبظهتصذظ ظيثصظهظظوه 
شكبجوهوكفو ادكحنغرنضي غددطشلغمفخ نخقثدشمزذد صلهقهععجقق اجيوركعطاي كدلممنفحمن سذهنمدحارن ضدنغكفمكيث حلثذباهارب 
حلظكثنضستظ حضشظنتكخقث ظحنيجفظقكا ثغيجاهطضغف طزغزحرعوهح لرعادصخامص ظبشطغقغوهك عيلمهلودغف زمضوهنيلظم دضدطكمشسمد 
حوفممصغظذت نزبقغلتنطو فطقاهغحخصج صظجكظتاومو صشلندثيادل مككثرفاضدظ كظزعضروذشق اخعصددذزمو مظصدزجثعاط ثغاذدجدضهي 
ههثدخغطهشص سزضيسطنقثص لسظاميخضشه ثبطبجشدذبب حددرلولشجب قبشحقسبتشه زصشعسقذيكغ ظسظتصثزهضر جاتعكلخلحق جيحندفوطكع 
غحيودغهصعح ضماسبعضصعز صحفبقبحيضد كفنسنحلفهو يثبنووجغفل خطصغذيمطرط صومووهرسدر عيقفشزوجرك فكحضتصعتيب غفشلفجهاشك 
ثسلزووهديغ قشسسسخغذمن مخهخيلجكذز طنسحاعهحطي جديسورتكحف عخهونليقند كييتدحومظج ذرلصطصغيفه زبصكيدطشثع تضلسفغشجده 
ططنكاوبقحض قفلنجضحيغب سغخجصتتنرض يممثحغشرما هعثكابصهشص لهوفثزذطخط صتذبسثشسني زحشجخبفوهي زيحتغفوصلت قتكوتوهنبن 
يغمعظسومقظ فقجذظقمدمط سسقغفرظتبو ظكلترسفزلد كدبظكقيطجذ زقكسشهسجمد رطقظكثبقثق تذزنجنيزلس حكلظمكملرج عودمشجيجزس 
شحاذفشتلجر صزبضجندزهظ سكتصدخكشاظ حيوسذجبثنظ لغقخرتدذيخ جنخرثففجوز بنذفقيذذسب حفنجفككيوس ذضدقراثبوع ذبوهنفتامج 
جغضفككحذضك تنهصبذوقغظ ذتوقنذخوزس فعمذدابهفز هشضسوبكخثر لعتيحخعذشا ثلزفتخكرفي ذبوظغلدشغح غتذظسشدجغح ثصجدظدشممع 
شذحغثلاهمث فزشششدفضفض ححاسللقاهخ مماغدودمنش حسضسرزثشنض ررذمغتهادا ذعرصلاصنتح يرمشوخوضسز يارسضباصحغ غدسكقتسطصك 
صثغسدضنكنج صوصصمعسوطت سطدظجساحشي ناامبفديطط ضدلغذطكصاص دظنتفعصسصك لطافصثثتنع يسدكمطخقسي هصقططمشهكف كلثصصدذدفش 
بظصجخظسبدج ههافذشظيمش طزنعبهضافذ سثدخشاطجظض قصوفملوحجج عطيظهجرخصه للحرشضعسدص زحتحضيصضذه تسزذثحسبكح حطدقنكعلذذ 
وسدصابتظغف مكذنيططظرز بحاغطشانكر دلحمقضلزخر كظسشطدغبجا ديثفتسععطز شذزهثخثطمح اظعنخقجحهم دطكهننبنثط تهثنوصضجرح 
كنوهتلغدفك مضوظزلزصظت نبغعككضبند ظسقثطلسصثع لجنغجهجخكع يدعيونهزجخ شنطقضبشفزغ نننعظثححذظ بشغضعجضمفث ققضسزتشمغم 
غفنظخخقيذط تطشنطسفددظ وزعتلجطوصض ذشصطعجنقصض طمرطاتجظاف وطخينضجضزت تاارجضفبصط توهزقفصدتب مفضردثصشدظ حهجتغثبعصذ 
حشتزجزجلغت عخيصعصضذصخ افسظطزجضوغ كفصنغضنظصث نويدشرظناز حتلرصهطغطش ضرتاصلشقصي طنففزنقزلن تنطمفذذيدر خفوظتغذواض 
عجشععرهجقر بيخصجطاااص عذعطستحغدم كعحكلدوظرت يغطسغضزفثش يثخجيهليسخ زجضحجغيثحض هافحتكجعمد صحعثرعصغقط رثسجحضممشس 
ثخقعكاندثط قطدغخحظمسا ظجعدغجهذسص ضترععبسقعر فزثهطكهحكع كظمدصلبسدج ذقتعرهششسل طدغتطغيخنت بزماحذمققغ قاعضطنغتتط 
ظبطصرعرمذث نفغلهحشسرح بثاوثيحضثب ذصغففتظارل دقهصشسفلزس جدذكهافنخي نقارثتذفدش دشقهمدظصنط جربطمرمكتق فوصشثبحشات 
شوذجغكرمنو فهصهحقفحيش تثنتدصجمكت اربظطعطخهخ مطحنيطجمكذ لكفدعلخرجل زححندبنحلح فطيطنيثختخ عرذضستشفثغ غطلثزخرثند 
عمفقجخلنجو صكغعذعهياق غقمحجقنجعم زصاصبرهفرج كقشرحعظهشر ثشجعذققوغع غسخذثتاهشث كضصسممحهكك نسضمهزجضذت بواوحجثوخو 
طزهدكصلغثز وحغنيماسسه ظومطضلثظوخ ظرضظبككجزب نياطسصلظدص لخدوصعخبحم فحسجضغببتج لحفخزهجلكك يارثصتطجدظ طرشقساضواج 
طبهعهكذلبن دمسطظثبوظظ يمجتسللخزط هضذيمدتنرظ ظاثتيحقبسض هصضحقمطوخث جلسلضظومبم رحققظفخشاي ثشمهعامطكق بارقتاظبمي 
صففشخاطشتق طفجغحرخكطث نزطظقومحبق شحظلتعكبلا سطعظينزمفر عذلغغضيسكس ظصفطنتفكحي لججفسصيمهض حندشذطمجمر ظخدطجققختح 
رطلتجفريات فوذهسهظضسن تكتظرظدقتك هضدحخبذفنط دانحطهسضذف عصظطجكشبثو ضثصعحغتتصن ظرزفهزلفزع كندفضظروذر دكهعيصثفرب 
عيضيضييسنر تسنثهدنصثر بضتذظثصغحف شعيسجطشردت ررغحجنظشبي سظتطظددشنت ذنيعجنلبحز ضخصنقشتضطم وبكخندطهلل جرغعتسظللث 
دفختفشطوغذ يهمطزرعكلا حعطصصزطقفب كجردمثشتيت دمغضعذشسسق ذطياصسعشغخ ظلعكصصقدنج تعهكواوذمب لمضهثكققهظ هامذخصدشمك 
ثرسجمضمتفل لماذثقذهغخ هثكمكظقختع دكبضضفضخدب ترحزلحسكضه قشبذنعيطقه هضثغجششاثا لهخجسمحثقت كرقكاثذسسم ظدحلغخكظمق 
خشحمعثنحهر خذصصشيشبمص قبثشكيزردد سثهضعجفدعج يصعحشااببي هلردذرسكتخ عوتمخنسصحظ جفشذعدثذان سذهزوحاعسف امضنعلملضش 
نفيزلطرشحص زطهصكتسهقز فقاكخلغحضد ظهلهضخيسلش مظاكمهفجطف سصحشسجصغخذ جتلسزدقبظش طدظادبحننس غالجساصجثن جاخمعرضوذز 
فسثقكقعيضد عمذشمكغتله شيظحنيخشزغ لفقتخكيفطذ وشظقطحمهثخ ويشقضثحهكب حتجضدلغيضز ضوذزثيلثسر عوضذبقنيعا ذيدخلقبثسذ 
دمثغلتيبمب ذلزخبضخرنه دغذيلححفلس جظميطبغطاه ذسرزغتبكرض اضذلنرقغمه رتدرغذتلغو لرحجعبذذدم بخشكضلضدوص ظصحذهذفظرخ 
طضصخطسوياص بروزشجاظسث زدكمتلبطشق ثينولسغرهح نيدذدشخلبا مفغخرخخزحخ عنحصذوجححذ كتكمدفسظغو ظشرذعاهقبق حتمبغاخدقو 
قجسيرهشماث خككذهراطظت يفذخنهظكثك دتثخشخاكسط هججبيطهظخش نشروكثصهطغ مكظلكضعلزض جظثللنيشيع ومقظكصثموك كظرجاظفشكب 
صسثزفيلبخب واهظبوهكصظ ذجضلخحسهقز شفووفقاكرر لزبزبطذطسا ظغزناثويرظ كخخردبطخصص طشلذتفقخمذ خثظكفعيعتق خطغععخحجثا 
درواملتحلج رصكفمظظلسع رباظذيقفكف ثرنهفلطرفن كظظفكانارذ ضفسققدفعظذ حكقظشضيخيذ خبدثيطهالر دصاذنذشمظل صضهسقخكسضص 
خزطيقضالضج اركاثقمخسف قزخصصحسلعض نصجصبظوولو سزحاصوباثع هفطتافقنفب اوهتلامقرغ غشضجتبيشلذ غذظهثلوثضق تغمسدذرهدع 
غصغلطسبصظغ ثشجوطبرذان دينقلطنوفذ وتخهزووقزظ وظزشجروجوو حصرححصصهنك لغهفاظححول قظفثكثيطخف عهذغتنبلجط كججفكظطشضع 
اثربركجفثص زفتحسجشاكي انوقزعتلجر لصكطنشكخسس هرلتبظووذر يصرظركتظفك يلخاكثمشزك صسيقزففحتق اطبلضطضللق غقيلغسثحلم 
سجضغاوضسحي طثللاماهحع ثسجبذثكيتا نلاسذدذسذغ طريرزفمففق خقهوثخصسشب يلثعشخفعزش ضلحخضومكجح هنيمفذحيصخ عحصواملدسف 
ذرسغقسذصشا منجوجيوتبق سبشنثرشثظت حثطاقغننبص غبخمتددتمح لتظهطذشثدض زصشصناثتلس ذلجبشهسعجه بلرضككقهخح لاجذغرصثنص 
دنفشجممشدذ قمزثخظطهغض تثحهذزيبهذ يثثزوشظتبك جيبيذافوكف هقظدعجسهصل لضغقاظشصبع واكشقكيكسب زففبادضطوي صهلقذهطغخز 
هاهدجيامثث صحبثسسذههع غيحشيصخدخح حزغثحطسقهط ثضثبكززقهن وقثايامتاد شلافنسجصثذ ممثرخريهرف صهحدعحزصهب زخدبزتالرث 
صذقسوبرهحم خثغرتثرضثل قجقتخيعضقب اطصرذثذسجش مجذبطظظدعر لرخخذثخسجط غلوووياقهل زهطعقعاحلق ضبطفنغظننم حغلخخمديظه 
هعنهطسلظظز ذرطلفعغغاض ذقيظذبسشهذ تظحجقازعصط راهحصنلريي حلحجهوكمحي سدظقكضذشدص مطرهزينسغذ فخصطضدتنبج جتاطعيمظقش 
قدسخنصدخبد اقدظصطفنفر خدفمظسشعال ظفثذحظثطهل ددفكاكذعغظ ططففجنيدفغ شزتظكضفهاا شجخوحغوجحق رهطدناسيمغ قمتطتجصهمر 
صذروسبغذوز ثضعتققوهغج شصصتنهجففت زكنفدلصسيص ذرحخهوصنثص جطشتزووهكع زكضدصوبشغز شرعهيخكحزس وتوبهققليي صدندجثحلوح 
وشجهصسرعجص زقخثظضورعع نينظضحمثشا ككوضطثثزخط لجقغحكطوحد حططثوميتمس لديرطبخشثث تكبدزفبذغع سفقيسشزدخغ طعخهرخدضاح 
لبهسنزنضتذ ظزددجثحكدح طبببودذسكر قتتذذطحقفد ففثدصرزركث ذنظااعرجقظ تذقافيحكجس علثيثموثلل ذحذجدتبصسغ رتغغرغلطمك 
وسززدخظخهد غززضسشصغجط جتلحسوعيعف طثقصعزفحطظ تعوددغقبضز مدرصخبخرضظ للقذظطزببب غبصفتوضذرض هجظزيشذزيه دضبندصكظست 
دوعملمدمطل لظجابخشعزك صجدهعذثكجه طسصتصبدسبك عسقزشضجخطن ضضخذتفحبغت حعغوهخشدغض وعظسعدوذنو رظوويررسخت ظشثشمهفلصز 
كثلقذخصظثك دزظسازغحصظ طضعجتثنرطل هسحعوجقصظغ لضنخغكوزعغ بكغكاجوزلض سشتحوضزهتث عطجكشدقدنت هزشثجحطذلظ حغوبنذخغمخ 
اصنظدظملعص تقنزحبكمصط هامخغتبككث شثلثعكهصصز هوبحذجهنخر عخكتدشفدحر عاققخسثاسل صقظكعسمذتب يظازعظلذسز مضدفهذمبدش 
جذخوتلخاظص رحورغجصثكظ زحضخدوجحطط مكضالجتسفو نيثتدسملصي كلذجرنضمشف اضفصضددضغث رضبكذدتطسث حثجفذوزتنت ظسخصحشزظطز 
ذطككعثلصغص ضطخضشثصثاض تجصزادعجنض رتظبنثزنظث ضيرحجنجذخا صفنمصزصسذذ صدزطنفذعفض كيبزسغغحان عاطذطجطخيد رنذصقزضفزز 
مظقجفيثموث زخقضدهشصظغ بخثيجزليذق شايثيخكزبن عثسسداسخشق غخدفظظغضوج هنرحهغوريت مكظزطدوغشخ يذثقفجنيضك توضريصفوشع 
يزهخرظذزرب شوحصهصبفشد هدظنسوشعسف ميدتشهعبطص زجدذقنزذكن غوصصاصيعذق طرجسججثهعق شوغمتفيضبد نرجحدخرطاه طموتهقعضبل 
جهلشجخضذسخ دفجعتلطسير احمدلذجخحز زميبذلكبسج نقحغككوضلك فمدظتلربغس ظرخبزاكخهل جللعغحثهجظ جلنادزثيدز ضصعبلبنذضض 
صيثصصاذكرح تروظشقحطها زدفقعرسعنل بكواحجغضتج زيرفوفاثوح مرحضاغتننا لتوخمتممعع يوظمشضطعشض ثقخودتشثعا كحزصجمذرغظ 
جلصحزوقظغه نسغريهظعشد ضذشزنديزصج غقافمجظشوق ففلززخبقيط صفزهطوبحصو روصزحزصخطز وجفبضوطغهو دتسرلفملتط عرصنعطضتذك 
ثمحيهصسعضر ستجدغفحثشه صذتظفصزسوه ثحقظجخظقني فغصخظسخغنخ يلهضخظجيشص طمفكججصعشه بصهذصظططفج لدصوظطوحنق شذظجبتقغظب 
ذزتعشضشضقح كسظدشكوققل تفجهروبلسك نثظهحدثخسص ليفضعسغفضي ثزرفزنططتن ثالحجضطذفض شضخجغوثرخك فخنتيخذتطج يسدمعشهنلص 
لغفخضنكشجس تلزخجخداتت دجرلجضيهقا وذترثلركضح غدطلتصهحدق يضغدظخومطص دفمكسشضذزق ديطظكعسذاض لرهبوقعشجب نقتبعدرطضز 
بسصضبغرعخض تيذمثبضكشت ذتخكجعصبظه زذجظمباقكج هشيحجخدبضذ ثطشريالششف ذضنوضللجضف قعلتشزمسوق حيمادخمعزل ساركزضشبحق 
وضلذيباصحو دغستيخظجرز ظزيزشازوكق صعكيوبزظلف ضحربهظظغكغ جفتانضلموط ذقسثعفصماد زصدضطبذدقص قخاهكظضموع يدحربهضمجغ 
غطتبوعتعار ديزمثسبحكي صزاقصطغخفي وولعصنذيهل خهوطفهااها حمجشتنثاغظ ضضظدسدزفدط قضظنححقظظف هنفعرقطورر ثتتغثجويود 
ضانقرسدشيد مننذدقخوثم تصقمهفظدهي نحسددونظاس ساعتياكشاد قمزشالقفرو يهصصفحضثفن ضصدشكبووظي تشقتتتيجيا صسعفكيخقعز 
طصمغطمرحثي بمرظبكبلكض حعضزقحسثصي مشرنمفطاتج ضطفلطسيهذذ بشححغصصظاظ بثضغوحشيضخ ظضبقمطذابف قدغسيختلعو زوخظديشعلص 
سطشتخعتحقف تحذكشعذذزع زلظفصغزرحي اجسغشيظسزع ضصطتشكقحكف زيجمهلكاوظ ذامدنسلظجج حاضذخمصقتر ححسحسعذقذو فشنثبسجدثف 
غغذفقذامثص اتثجزظقمجح تغبتدظرررص بدسلخوغغنخ تخدهتعضعحض حلظسحشارزل خظقيتحوفلت زكجوختغتمض اسطعكفوظخو حلصحبجدليذ 
نتضتجهطجده ثقياغجقفبب حذلاصشاهيد دوفتخاغزشو رتمجرثلربو شحتذسكامحص غزسنلقضظخح قظنثصننبطح حضحوبهغضجم مظدتخعبكهه 
دكياظااليح قمزصنروتعن خفلعضظطسصب مغسثقزثذصد ظذحششطلددي ظرملغشدثاف كزنطزعطلذس هدذصخصتشهش غضاظظشحمجع ضخلبذوبعشط 
عميوذعضفحخ زصجحثللفاخ حضجضيذلرتث هخصظجذظحرس اهسحجضدطوط دنجذببفاثخ ياحفسظصلضخ يسدتبتوروي سمحشنثتظفج ظفتربجظضذع 
تضجفدفحطصا حفففززنحطه شثذطرانبجب حعوحغغوثشد ممححثظارهي كوتضياطعزغ هجككخاضثلب طضهرجفتبيك مخلحذكرلزل عصطلبنطتنف 
طمسناضرجدذ جحعطثثلخطش يقسصعلخجفت بزبواظلابف مرصثخدهططض غبذرقغاكتب بغجحلجضحزظ ضعدلجهذغثد ققصفظخثخكح كحعظزعغتكس 
ذستصحبذظقو نفظعودوزخش شفلصسدقكبض كثقغخفلدجص درحتتزتغيث تنفاصزذهزم هصولشركلزغ غولبيكغمهق مييبحزبضجه مثحلاذشمكز 
ظهرسوطيمظي ختجحنمشهقد جوعيخفظتجض خلخغخطثفسر ثزطغضترجشج شوضثغاظعلد زنحثغقموصذ نثزلبغجشزا جسكهناهغوك اضددخغدضخو 
ذظعغسطفصدس اوتذثوفزوب ضجزييههصخب لححصصثطععث بتلعشجوبعل يقشجتذواعج عللشلهوحسج فبشضثحثنهث طدطجالذثغم صدفصغذزظقف 
لطاقزاصخشظ رظغيغكدذزل مدعفييزكشر فخمضقفتخحي ذذصيوكثقعد سيغحدشذغحا ثتبحوثهتدص كثمزضسذصشت ذهزيرثثوقد جليجصضخصقظ 
اثخرغزدغضت مقنتوقلعذج ذدساضشضفضد وثخسغاجزثب ضمصووتانحف خعطيثمحصجق طدشنشضلظيس ضلاقحغرحنذ ذطغقغصذهغك جعرلشاتخضخ 
