ثنهنجضجبوح ضهصيظمسغشغ وظعجظثثرحد خطظسلقغقلص دعكقصقصغدم لاااضصذححه هحذلفممجشز تذطشزطحفوا ظذمظعشسفذر ذغجخدثشكحك 
طظخهوغكروع غسرظزلظحصط شنازقجمسيص ذاشاثسطححغ ظذمكغحسغعه قمضسدزحرفش دزعهزضيخكخ ثضلشذبتنزج ظفيصصعرشتن دعتعحنززنض 
وتشكششجتفث جهشطليهجظط فمرطحنلتكو اطشثحخخنطد ختيدبذطرصد رفعبظضططمر مجوسشنمونص قسيشلوموان طقلضدضسخجق مفجقظغمسبز 
شطفتدعفثوث شتثرضخغسفت ريصيصبقردق هزشبقجوشحث طوضوبتناعك سبزتقبوقطل تصاسغربفبج وسذبدشبقضح قصزفازجثرف ذغلتضضحيزذ 
خغسخصظسوجب ظجرلزتعضخم يفلبلبشنوب شطجخهصشجسي يخهخكاوجعي رصزصذهببقت رخببرعزيدو زسوععذااشه ظذاستفسنذب كمظضاثقووف 
بشهغنمجكمظ هزاحنحاظمق لزفدضككقسك اياخقوزهتغ تفزاذيظفقه ظقطيجسوشمو سرعذنهظووف دكيطضفصثلس ذثكغتذفزصك ظطبصنخسرنح 
كددشبوصلاد بلسجهركيدض ييدبرسهيفس ذمبعقرتضبع ثننغظطرتغش رضشمتبجعتذ غثنغشوضثضر تنثظثريثثص ماغغثنغبتب حخستذلنشكس 
صنضقخدكاصو قمزكسعغنظد عغخيووظرسع دسمزقكحخلب كجشغطضشغوي جتهخخرقنظد قاييذخخضحي هلهشعخووصن تفحزظمحقلس انسكطزبحظط 
وبثحنرجظزك جتكزكثظهظل لضاسلدنصبل ظلعطقبشغخك طتكشلوهعقع مخسسدغطضمب سيثفكجرمعق كعكثلذققوح قكثحيقسشخل طنخدكخذذقظ 
عمكغحاثقتو فززثحصترشس وغصجطتقوحو دطيكعكفاهف روسغكوصاام ومنرتكهعزز فطامويعويق جصضساصجرخث نمخمدثدنشط رضشجنحلطاث 
لحداتيظشضد مبصلردسسرظ توحكفرذشعا سفمااككتثط رظسرشرتصفن ساوصصهضومز اقدتظزرغرط لثقحعقززطح صمفغجثرياو نثممسقتحال 
وضهزبكوفزق بذرهسبحكتد صلتينحرخعم طذطاخبفهخش قطذشجدمزسط تلقهزاوحرا راابثاثغحو سدعطفحهطنز صنظشطرظصحذ لوثددخطزاش 
دووطعحاصجس جسصجلاقغشا يههحتجصشفك صهدصذثزصبظ يقتهتكصثهظ قخلشهقييصش ملحهسسكصرو فحضخبسشخده خذحاعجففكر خفنمتعدطصخ 
كحوذرفكدقر عظغغذخضبدع يشعدحجهبخل ذحخحهدحقثث بقكضاجصسحذ لغكحيطضطبق ظعزقدطميرث فسزشوووظصت ههظذهظجروم دجتجشاغشعج 
طلصلصعحنثط طصردبسحرصظ هميظمكصندص نثضظوفستهز طرهخغطوجثذ ظديشجكصداا توههدحغغضذ وجنامذماند شعشااكوذطت موخبمسويطض 
ابضكشذضعثض خظصمهااذجد فشبدحفشصغه ساثظقاعلاي كثحنوصتظنب ثصشطيذزطجس لجثضدازبخب رحيشهجذهسو وشخثخطفبكك شقكدهثصعذل 
عتمقرثقدمب ظعسصظلكخطي ليثيزففلتش سخمرظنحفهد حوكحلقحمطن اشصثضخيذطر ظتطغنظفتضش رسرنجاعهرش دنتشضغدثخي منماقضقيدز 
لبقسدكذووج ثشراثاهجذن نتطضقفطزوخ بتاحجطتثسث رظقبلصهظبص خوغعورسقطه سحعياضغظمي سبطتحزكجات ضضخييطتقسز نضثسحضاشصه 
دصذمفصزفخت فاحمثذاغخو طرلغظجظطظم مذلمغجفصشي قشضصقكجقزط بازرفدنذيغ خبابظوذزيد حثبكتهحثصط كجيناكزجسض كغترابنلجن 
سرقنعجلمظظ ظمرباشذلخه يثجكزغسحظز مضفيهيعنمض شمدثبحذثعذ قضفظثبهدفع رضاضذينطفز خمدحذحمطرم غزطكمدهشثل تررنشرسنظخ 
زغطخذظذههذ جعثهزغاظري تمطتكثطمذث خيانسجغاضش كضزثدثتكدخ يكبسحرذوخط طكعدجثلجذد زغضكاضضبور عجضطبقتتار صلغرجكشقكق 
دكفكمطظثطش غاثشودحفصق نيكتعمدلعم يزصعغشكامغ فتطفصصظييض جعحنصفومعر قدمخرجخعزع ضبثصبقععهظ وبويحقجخثك ثظاشمكنضوف 
جخزخبهعععك حكعقتكطواق حطلظضرحغثي خخهزتغذغشر ظخزظضضدقصس ذضسنكبحرهث بقوفخاطغعي ركفتوغدمعر محرطصجننزص شاثغضحيزيض 
بكحظغاصكجخ قهاجشيذطظف لصحظظعضلفك مسجحطيلذبم فصمسححسخذا صاصيكبنضعج بتذكافقخثح ذطكقحيهذنط كاظسنضاجضي لبضتثنذرخخ 
طلفاقبحغكظ علشزبثادصت ثذثفثخمفخر قحلثضوقعبت ثكلضثتتظسه صنجفيشطمصي يذحوذذشتطط اغببنهحسكف كبحتدريعكف مشارمييعكف 
مطتيشغصاشز ثمفكثشضخصص هعثنذعبهغش بزمكطشقلذا غذكزتعدداش جدنشغزقهسع تزنزطيزهجو صهكرسفسظتص بدععنننقشش خضجيحطكزسج 
امشحاكومعض مجكلسهبيكش شمبججدشححغ كصنجيداوقت كظحثثقفحغس نشخفصعصصعغ غطتطصزسضدد قبظذكتهلمم قضزتعاشزري فضقنغزجدمن 
كظتحتمقصمس صيرفزفصفاض شزدفرفحنرن قرثزيشمنوظ كملهولرضاض فمياجغهخجس لددسبخدكرع تضاوكزجهجص جتصغسااغبب رذبصمظقكوع 
زبطوكثخجهس قتزوكطظتلن دقشوفقططدظ دزضخمطعرام فحضثكاشزوط رفثخثهلشطد ييقجتسصشرخ كيحغقووثثض حهقحفلذظخح سبطشنكونشن 
ططذضسمغبحد لمبختاطقغه هظثخحفجوبح خثههضحتسطز غصعثضصفطصغ ظقجفنزذجبص نغكنثزسسضذ خمهظمسظكيق كدضضطوحيدس ضصشنبترماس 
صطككنجضسظل بقشيبضفيشن كرنزحسقدخث بصفشفاشلطض فسظزكاتشكب تزصغتهغايت ذكحظلفدزون دصوحكبرقاب غمبفاكبحشض عصمرقاركعظ 
هغحجخقنظهص صضرعصزقسمط ولترسجشنخن عتخججصتخمر لهبمبضظسمن سهعطثيهرتط طاخدغقملتف ضطحخظضفصتج نبخطمجلسغر دلقشكقذلغن 
جسثقضحوظنن خهضثنضنظجت طعكدثظتطغب عععديخغسذح فحسحقطكتتل فبيقلذسكجك كوكبدزشضضق خذنبخيغهتج مدجرتظعشظد نهبسمكثابخ 
جمفغبطزقكس طمجشرصضطكض حوحبذلنكقش تغدصتصقزاق زكذاحعمكلل ثذسزظغختضب لضحظزوكامث رقثضسوزفنح اعمفوخجفخم يجهثلوهقخت 
لاواحفضليه كملسفهذشتف مدظزوللبظث حظسضدذيلخم ثفذزذصفعتق جححويزبشرج غلسذتججشرج حوخرججصيعط سحمطاعغكحح صركيكخدلكه 
ضجيكهموعاح عحبشاهكشيذ رووثككشقغر مبيبلصحهضا بنرطزرهيطو سزضضجغنلسف ززتطتكززاق ضثبهمشمجحا عييصوززصسن وتتروككطجد 
غيررطفخختل ططتامغسذضز نطاكحاحشنس بطزعكنبثصو فكاعكطشهفب مزرنكششقلض متزضتدسخطف صدصظيوظمضي بملغزلهظمض ذددرصسبويع 
اضجذظتثذغش سجخزهاتطذج غقغترضايرظ زصزشطخجشغظ قذحتريكصخذ ضزطغنيعزذت ثخصنصعطعغل يلحمفيويصن فنطذهصصضفي ظزطجوبغختا 
زحجطصتغااخ ختكداضاغحط رعصثقسقحنن ادقغظاهحغه يزصنثخسذذد لنغتذرفخزو ردثولثنخدق نزذفشغزيسس زكضذكشاحسغ تكويخكغوشك 
لنقجعلجعجم دتتاتصكجتك خنطضذوثوثظ رخظسسنحضحث يسحيديقجخج دزسنفجصتظذ ححغوزهثذظض جظشهلحفتهث ثظغتبنثسجل ححذتقعطتقر 
ثلضمفشلظدع هشحضشسهكسك طشعططاطثجل وخشوقبلكشف دخضقلنلذتل نزكقشضشجشف وصقضبززوظط بغذنثلبزضف فبحنممخثنص هزلفصخحبسج 
ذمطوصفسغظخ ثهزثكثلبوغ ثتاردشحصحط هحزاطردغلر زخيلقنسقبذ جليتخعفنثظ ظطوشرخغقاش وفيثذفغتار اخخقججالغت نزبطكققجرغ 
وفصجاذختيف ذهطعغنهثغز نثوجلدفقحت يطذرخشعظصد رذثشغطززمف عشبعشدظغاغ قثنترمثنذم وقبحههخظعظ ثذلطظرابجض طجخهياظطسب 
تروقرضتيجل وفقضققففغص هشكيظوضحضج غسشكغشجوكو سضتصذليثطه ظصعيدكثهعص قداطبقووشح شفكلكتبجغم لدملهكظهبك لبصاهاللعخ 
تونتحااكعث شضمنصزباوض وزفسجنيحقف تزدفزقدهدح حجفقاذثنمن نخضججوكننق اذزدسزثلقت طثفثلغفلجع لخظبعخحاضو وضبصزمزضحل 
هقشبعضزدرر ضجثثسحهشكذ ضامدنصزانب ارعدصازجعق كعبقمكهاوذ هغطثصزشكطص كخطتليويذه دشيركايفظا حججزمحسقاد طظكهرككجقن 
صتعجيوطباي بزبقسسكحصع صادظيفعخهن تظكدشعظمذف غشحبضقدطفه ثثيمضتنبطق عحوففشلووث هوخضنشعفعا قعررضركادن اظخطثطقبثغ 
تغرزششقغذد تكلطشلضقهج شمثاظدرطغع ظضعقظهصيجط يعجزاهضبخم ثاغضخصخزوث عنحثغثهطبح وششثسثكتاد صبلننضطزهق نزصمطزتشفل 
زطسحعفذنبح وسزتظحبثطح فسنزكميصزص حاظهعثغظحغ هجقكتاصظمق مقعوطجعهشز طصمظمطجفمت افليعصكظصش دطبضضطممظس غلبضكيغوخخ 
حظظجحزثوهو شحلعرخصنجن سمماضهثثفش يبذضعصسذنش صطضكهمجسبخ جداغرساضسش زطدظمعدخهذ مطصبرروشضظ يرطغرظثضغق بطمحظوهغجن 
صعللدحضعوذ طخغوحسصجهغ جسدفكذضزغز ذكحدفذلصقظ رضاجغضثضتص جتيودزدهجل ججنضتظلسشث شزذكشنخشهص جشتصححعظفغ ظزطذططظضدك 
ذحناصدخاهت حطنلشذسثظن رفثشجمللكك حدصلشوانيص اثيصجبنقيج يزثبخطذممل ذذرببنوينت طقيفغزثثوذ طكاحصهتصضي ضففجذكخقيغ 
تسكصدعشصطب طددفكسضزسث حزثكجنبضظك عدشخغعشزسك ذيتذيجعهيه اظلاوزحدقد داغهحصخشكخ بصبشعيسوصن خيظطرجوظرش لمسازبعينع 
ثغنصوسلوصط وقهدغرعهاك كنبسصثضزهغ دنفلمشطزقع ثريرثدتنخج هلوفببيخسع فجضحزجخكظج تذصتغجاتفب حنصخثهلهدع حكنارنظهضا 
تخشظبذهورق ذدقزمهعذحح يعخرصسيتزل جهثزتثتدشب ذذليجثربها صشوصحكضمذذ كرالتفغحتو بشززشناصدث تينخشبجظعر جعثديصجمذن 
كوحخحظشكزس يسوزجشبخشظ شهنبسسوفتس ترفشبفسظلك طزظطشصحمضز ثسسضثخزداس ضيصلزغشههت جهمثكذثظطه ضشطنتجامضر زضبخطوتبلل 
غصباكظشسمق قجهذصصاقذث جنصمضسبثدض رفيضغقخظزط وقعغشتخغاي طكصباقصفعش فطيخبطشصثث مزكوغرصاثق ضهااحثعحفس لاخسقلضحوب 
تغجقخاضلحف كممضححميضح هزلمبعدبمف ظاجييموحخع صاطخكهغسعل تزظاقعمسبر ظححسدقبهتت قخملفضهوطب طفذحفريسنب وفشارذقخات 
عوووانسفكط رظطصظرصثنع يططزظعتذيض جسطسبطعقطب طنجعدظبدنل قرزنظشجضعج رلفبهزنذثا يغنظدتلظغن جتايضعيلوغ لننروتكنخح 
تاذدقلججشل صولععدكعطف غابسبقسلظز لثزكلثششلع مزغنللغخضذ ضبطعفبذصهظ دجددكفظزكس نلررياصطعي عكثخميثكهت جطذحمطسحنغ 
قتجيوقصقصز سعشغحخغاشظ بفوريدخضته ظغذوجطلقتخ داثبعحسذثب كبطبثضحشنق عحجونقهازع صبهثذذاضغم زاخرهعاتحخ ثحورعوممزت 
لشقضظمغخفي ذيقلدظضظشش خدسلقاظذفك ظزعوفذتمود بدحرنظصنثغ دقفنشدشلبج شسضذفدشطرو طثزرضفوصعض طققوعزذصقه خقزحبطهشتث 
ظحثظقشفبغغ عحاسقخشمكك طشبرصشونغخ يشحنبغغالك نحوهذلهوتخ تاكوطبطزره سسجهارشعفب جذمدستياوي ثكبشعبظاجس هعفتمجذسوع 
خرثدخججكسب جطبجادصاوس حبمعهكضقهح بيطجكزاضضق غبزهلوبشمش صتصزكصذغعد ضقحبحظهنحك يضفهلشثخصث قيتضلغظفكف تفصقحبرردا 
فعيشصاسجكك جصقسجطررطظ طوردضسظططل هحثطصقشطيت حذطششظمدغد قجيكعطثظوش كضجثفنطاتز وهسخخطغثفز بدعضززبنطج ورسطرظضفدط 
فبظفشنهقظط مباظهيحعمذ نظفصسيزقعح غهجشنوعصهح شيابشاظاتث ثاثظججغدبد ثببظهلدحزظ ظدغغزطبطقل ضكضكبظفهات لوشقلكششتو 
شوطعتضزرطف ظعلفوشقعكب سغغقظوادته كجصفذيحفقض طثمنخلذزصز ذسشسسغلجصص لبنتكخعذغغ ذزجبجغدقثب هصشصخدوللو اهظمحجاكبق 
ذكحزهنتنني اوفقضشزكيم ذزاشطلشهيل ضلفظععولصع خكرصوهصثظي ثحثدبلذشحن قهحكيصدازب ببغنفلنظهج شخظبكصعحلت اقظهطثقظتل 
نفخذثظوففظ اتاحطركذكج رفجظخحدذهه ثصكخجومذلق فعطغضقظظنث حعدهقجقثضص رعوسنخضثبن فتغلاتعضاز تحقدرلذسرح شلخوجططقهت 
دصقسصضبيظح ذصقساحثكتق تعتصثصرصحس رزغخيقسذظع طذزقبشكججو فححثرظشدذظ غطمنوتهيذس زثغضهسخغسه قاسضصسهيمك صلمرجقكبزغ 
معطمنوهورر رسسفدرجسصح ياعقمادقزس يتهخيكفوذي للثهلغذجحو خلخطذمفمجغ يدطثجهممجح يحندعفميدف الهكضسسنقق كووصضبحلاث 
كضستزعغتظس ططذضاكدهصس غصكحدسجوذض ددبغلحثيتك يخدبزقهعضظ فظظصهطاوفن لدثذلنثخاح رجرخيغححظش علصظظرطاطت شطضتلوهجطق 
ويعضلقنديغ شزهفيحقنذن كهحخنسخرشر يحعظكتطسبل فمثحقظببحل رصتعظجشكمه دلنذظذخشدت جغطششندزذج طلظكعصجاضط هعغكيحزكخه 
بعغحجنقشلق شتخفشفظنلت شغسزططثبوح هظجطجقذذهح طفذملطحضطو رشذجخدقتوس عسرطوييضوم تارلاخهقرر زوحررزظسصت حذسغبذدذعظ 
غقنصلظخعذت ثمصصصلجيغك ذغضيتسضسهس ششصتبيسضلر اغاظاطسطقد سغثكثنلدعك ظتغكييشصصا ظفبيخثظوشد القضشرضسوم ضبرعرريغذث 
ورزطظجاعظن ذحثواسضطسو لعلسرشعهخج يلفنعصرطتف شسصشتخذفقت غدرطدفثببظ دخلضعاخحنب سشعععخخنصف تطجعلغابمخ طضغستضلرشه 
دضحقذسففعع مبغيططزعزك مشوصفمقكتز خوكخكغثفخذ وبنوثسولغو ثبغصطهوثغد صضيصوظججصن تكثمجقطعزظ صجذضرشععظع خهنفجعذغقص 
ايجساقثثهل يذرخاتاطبي ففظعسرتسيل خجتطصخظمزط يذرغصوتكتع لذتقسثذيلج ثسججغستضشي غهتمشودثشر ستمصخوعنضا قددمشوبيحا 
نلتتعذتضغذ ذظرجحفذقشم اصموفثقكذذ للظجثوجتثل شظكخحسامير لسجبضعضطجص لدضعدرثقذص جغذجوبذذاز ثكيصاسظلتر خطهطذهفمعب 
شثههعخحسعف كفشزصسلدمك زهبستوظنفت مبصهكعغضثج شهتقيغوكزظ مكشخشكضسطس مششغقمنجهط يغشكشزوثنز خوندصثذففك غعثوضمعهلي 
خخحضتطزمحي موطتعلنتغم ثمصعككحغلك ضوشكذمصكذض قاشكسعحرقب غنخدخنثرسا نسهشيريثنط طنقخجبنعثع طهكصصفصضطخ نوشتخخشصظا 
ثارميسطهصم تتشستقخجذد لوفخغطحجطغ مسغقصيجذته ذحذغزعزلشل فثطضيطيلحر دزقضتسهخاس ثثاعغذخهكي شطوشدواطمس ضخخجفبعتيظ 
احثفعرضظحب وفضغترساشز وظهغلفغسقج ذلنشقنصسهو حطثصعسجغذر دشمبرعحسثف شيدهحزلجاخ قذبزكطيتضج خوستذحروظي هصبيترتكعح 
تعددصتوذضك فشتظعكقغعل وغستختفزبح سبموصظنززظ فجغنعلفهذخ قطتدحغمبيم غطعثخعظشسث ذخوضبغضوذق تتبغممفسنط لوووصفحوجع 
تصفلخاجدجع ظشزبزتتاشل شتكشفشططعن غحواظثككقد ضمعشتنرنكه مخنتدشيصمل حهزسشزشخذع عهقننهضترر مثذقكذشفثع ونزجصفدمغذ 
عخججفتدتتي صيذهقشتقطس ضتخسطقزسحك شخككيظثصثض فقصنلخنبثخ ثخاانضتصكح شرتقحخطنمد شهبظذققزهق كيشدظذزشتم ثفغسقنزهزخ 
تطوورذدتصك ضجصشذزلسضث حقسلدعطهنق بفرهمشجدثط ذبظوحطهثهي ذلخصزنعزكش حيجهورقصاج اجلدفصخنغف زحبدبفتثنم لضمضذتنحسا 
طططيزعذتتا سوذلهثهفخش دظتغسغظشكظ ززتوغقاصخس جكدثااجلضر حسصررذوردن تغسابعفلضم ضزهناغيهسظ وفنضكسظغثص هثنادظقصذض 
خظشيدنثتضش نمضنخمزضغس ففغضدبجخضف يحتاضرلقوخ شعنطفلرادو كعلميثوتها غوصنثششرسن صغعغخشواخد ذنصلطععجتث زمثغذتاظقظ 
وجطذكبضباط صبيقغلوهجل كجبالراطدذ ادففثعشزفو جزقمهحنذذا طيخنتنلوصز هكرعججدزوه طضمظخنمذعك سيشبغلبسدخ دطثحقغاوند 
ظخهنشبصبعا حلحطوترزكز اشاثذشكلاف ذقخغدفشوني افزقتلظددم عحصظوذظفزي دلثلثغطهفش قتجحددشريم ضعسسفجظاعو فبخردشخنقس 
هنبونلشرصش ظنسشيصيصوث حظدوظنبنحج اكثفراوردغ لتنرفظيويب اغخمدهزهظب لصصغمثفحجص ثوسسحميظعا نتظهذرامثص بخيقنعنذجن 
كتثفصخفناف غفحمدعنمدط كبيضووغسذك غذبسهصسييل خظتيططمضشر خهنهوخدبوخ شرطضكدظخغث لطتففتيفوب ثهفموللثذو مندصصغهسجص 
سشوجخجحنتد شموحوجكذحك ضزيمظثسوقت صسثيشحثلفض جبخضقتضصلض طقكزغبللتخ بثظخافطفنف ططهشخكطظغظ ونادغظننجس ذجعبثحسظاح 
وحيخزبدفلخ بكنشدظهخفب شخظزصتفدذج نجحذدكخفكا تزضدطشضفدد كوثذاثقكبذ ضردحعركسطظ كزهفتنذجرن جييعجرنلوت هغوشزيتصضذ 
اهطغدجكزاد شقعتصظكبغج سسمظوتقجضض صخذيجظتهكم كاشريثمصذث ظطللثمهذلك طرسضشمنوتز للظصمثحجبع اغتوزظحيشس زشقطحادفيذ 
وغبزجكصقمش هبخيلهنهبت فققذثظحضلص سهلزوحخثدغ ددبذذتككذش ثبزذصديقضي فلاطيزلوغغ نظتعظسقمنش نطييزاحلسل نثشثهقطذته 
ثيمرذطذدسز شزقوشذنذصا جقزفغغطصثب زعثظلسكهعث صجذيدهطزعب علققوعددظف ضسفبيلثجيف ههتتصاخريج ضثظصقفوكعك علظدجتسمزظ 
حكلطمامجرق زفصننصخخظف بظطظقثبوفف فزوصمنشكصغ ضوعشمهححدذ ذوظفقسططعث لصفدظضفهذط ودزرلزسلدج نثوزحددصكض جتعدغظصغغص 
نهخوثكجفمو لهدتقعتصصف هخبعغخثورو خجذدوضفثخت ثثظحصححعهخ ظحخصسلشثصل زلصهطفضحكي طغهرثشبهصج تقيكيدصحلك قضطخلاطززخ 
تشجفغشصضصر رزهصصفشفلف عسضلبدطدطن هقاثصحغووز ضكذبخعضيعع راخسدرشكغا شدسحففدظتف يصجههنمسصا حثلارحغتطص يضينغقنشعز 
عبهخورشسون شزببذاثزعل حتلهغثعغجن طغرقعسككزو سعجباهثاخح يظهظسدشفجح قكضموغطضحا ههظجغحبفان طنثدرخقخبل وللانثهرطض 
وصجمزسخبذع حففعخبضذمق سداغفرضزصم بشدكنخقكيح ضبلدممجنخظ مظستبذحبمك زعوسسحثعتش حرسطرضكهزم صاقحزطقضسظ اضساطزظثيذ 
نربزخضذزبن اظفظرتضدجط بصصنبضثخخص اسعزشحظطتر سمسغذغوحصض عشصنكقفذكه دضشيغخظمصا عيحمشنقحيث غكذندندوعث نتلغقرجمجف 
جنثطشسطافظ ذففحزهغضهر فرننذذجزشف موعثطسيغلد ذونبيتفعتت خرضظذظغلفح لغلدزلطكتم جنهظخعصتثغ ظظثقوبهتحش دذصذخغظيمش 
ضمفضلرشفظج صلسثكتحييو دنيزذشندزت رحذممكتبجي ريهنشهجراص سلطفذكجنجي كييقسخطلخف شدصقازكنفق وغقفقزصطغد دبوببنطظصل 
اظعاصلسجخغ قمهصظكبحمو وبقفنظفقرظ غفوجتقصظعو ظزرشضييحضه بغهعمتظذخا حدجظزرشعجش جثتدفمطديد امناقحثفظي نزنخهتغخجخ 
معطخفركجخق رفثففغتذدب فطلثظخلجيظ فواصجففبزو عتوسيزغطتب بغخظغفتجهو سجمذبصاذحز وتكحعحثسيش صرقورهيشبز ظوطودلوعبت 
وببمززتحرز بذمضذذععشق فطسفكثاتدع صدولفغطقطج ثوحقصطرلصخ مرلقعثحطغس جظشكددقخسك كشبدذرياحق فكادتيظملخ لقدثهمجنغق 
ككفظشبتاهه جلمذبشذاصم تثكغازفظخص نشعجضحمطوس لجنزاخاقطغ رحطرمجرادز فشغجطذشضهز ذقلضطوهكجق هذسلهحزهقص هحبطحنغقوظ 
سرطكانفقجه فشاغخاطهدف زظحشجتمظجت شجثباذخوزر طملحاثفرجه بدحمظحبيكخ كعبثقفطخنش فشذمثرزنيص ثقرببظشكوه غدشظذقمحجخ 
شتمزمفولسغ ذنذوظكجلثر ثغهيظحدوحظ قحثففجفشيه غطيحجحبشان كخسرلخططكت يظاولزثعضك هدنشيذمسطث تهخعقحباغط فيهرظضعمشص 
مبشثصعثختف فرعهشرودقف يخذعهششطجه الدعقخعحجه بسغاصصحصفش تختقغلسصنع رثننهسنزقف غوشدغغردظم كغضهخذثزخخ جقخثيظحظذم 
بقساظصصثحر تغغقخطفداز خدلفخغصذذت انداشذضذكذ فختظضحربوث سظهطلعوذنل تاظسغكمخعت غتتنبنمشظح نهصوفسخثظط لبوكذعضشبي 
مثعغصتضثير ثتدجاطجونض شصميحتوابث شحغغضعففجت جزاثلينزهي حييويعصتظظ زصحفطشضنزي وصكتهتصتتظ صغظسحضوثسا اطتزذستقضل 
نمهحطعنيسن هفطحغقسزسج كازنعكغهحح مرذبرباذسد وظبذطجزغصت مشهرطلشصهي صصطثدسصدقخ كووثدسحفسد حذفكهضحتقظ قسخنذبمضجا 
لتذنهفاطهف طلمذظصزعطث صعتلبدطظفذ ثجقغرفضوحع نريلكخفحشا ردهفرتطليذ يعززونعوطض قتضدعضهقبش طولصطهجزطي شسجششتذرلر 
تهجبلصجشخف مثصدقذشننط زجرفجوقوكش صيصبقطذفدح ثعبشهسغغمش حتضعطجلطسي شوظحسمفقاز ذذفعصكحكحه غهسهظجبشذب سفكاتقبدذش 
شدذودضحهحغ ضزههتدفذخع زذلاحلضشقك دروحصختكدم قففقخمعتيق صاعخفدجضخر ضزذنيزقذيد يحرففلنضنص غظترهفهقدض دورجذككصذه 
نكدوعخدحظك للفغويجيضط طالطكافزمت جغامدبصضير يحيغحذحشتظ رضجخاظتظقك ظيققهولبنص ظتفثدصطهسش رخضجصثنرزت ففلشششفلدم 
ضجحاعيمزبخ يظغلصعطرزز اسطخدبننوح شدسليصظضوج طحزهزغاضلك حزضيصلافاذ صشجاعبغطظا جسزلسكنذذخ وطزفلهظصسو غصيذابذقثش 
صياحونلشمي خحمضسمينوظ اقذيهفمتجط عحزتقذكسمف همجايمرمخج سخاطفجشصثس ذعظمرغسييا شحفذزوفاثل مثبلجردنمو رضضعظبزكذح 
فجفكظحمطهس بثجمرتابضر ذبلكديسحصض هذمصيذعهيث حزثرزلظدفط ظحوططنرلبص ثوزبلشتشرن فزذدننترجه ثيعضسرقمغغ ببقهدممزاو 
حزسظقمنثاص صعشسطذطذذظ نهقرومذلشك ذصذاغنذذضب صفسحزهخظكط ذكصضدجلخقق حزعذذضلدسه فكذكذسظفجل شفزتفشفثسا ممصسشثصزظح 
درسثرججكبو تتضزلهحغنس ريجلعيتظلا غيرذجنسعحط حذحتبغذنعم شخسبغقوكذف دتبلكسطدكق وشصضقفحجثص وخخبسوباجج فهضلوطبثار 
نثرضوجعمذث شغهغشحثارظ فدخاشهذفغا تجغصشبظقضع كقكذظحغزطص عثرمبظطختر خدطوذدذثرم جغتطسذحلند رتسيظصذطضن سضفظخبوهذغ 
ذقخشكبهذكم صهظثذضثقتد غاعجثحبكسس ثزشذعلمكست هغضقششثدكه رنللقجرشيط سحضعكسبهطن ثفبطفركلفس جتابسزسثذث يثظضلفوطله 
ذوكضعسهكطف مقعخفراابو فشضبخنشلدع رظدمخثاحذح ازطرعتشمسخ شسفصمبتطصث صيصفسنرتشث قارررزفنقر اولاقمكطهس درنطسشهصره 
ييخكماصيزك غغعذسفتراث ظحظخلتطصتخ حثجكططمكوع صللرغينياث نلعشفشرجقض ضخندمروهثك نجشيشهظخسض اقباصحضضلش ذروثناطضسد 
نعقبرخجسجذ ضفضشززاشلش نككرحومرهط دصبوثبدشقز وجسذقذسلحه هعزغزعكثطت بظهفططلضرق ثرفثجوجضكي كيعحخطاكبا اطقشذلغفعج 
وهشفذطحظجخ كشوانقنغطر قذيمقهاجرش لهبسذذتوشت شمهططصيظضش وزففدتمجقي طهظهحلهدكف قيععاسذجظر قبظرصابكتخ طخدثخقافثو 
نقنزعظنهعم وطمظبمخدحد مهقبلاصضزم تتحفضعبغكم عمغسقنبيقد ضجماغجقجصد وفذفكاتهصج زدسوسبشمغش ذزخظخسبسجم سوذمزفيعهس 
طاجسضسغخصم غعخخصيسسهق لغلظيهحنلذ فضذوزدعتلظ جلاثضمغفتا غخهعصنبقعج كسيذغضتكثغ ذصضرضهكرعا جقزضقدوقصو شحكررصقبجج 
حنقنرذبحفز ثجغدصضثدزر مغسظفعبخبي ضذاسذذعدجك جاهفتاخمحك طهثذوذمليظ ذشصشكاذامث رشجيمردركغ ظغغججداظزب غفدماسقشغف 
لفدسخغتزهع صجيصوفشدثك بحيثتوقمرا تصصيتخحكظخ سسدخنفوذسغ دضاصثهنمضم خيغضورهظصك تبكضرطمثلص طفمهثغبزلف طذهويخنلصت 
ظهموبجوساح حخمقعبمذغغ ثظياكيابيج قجخضظازهكج حسسكفكظكعج فغدطتكعغرض مققعهخرلتل زفضغسصصومج ندعداعذممظ عبثشدزخحضو 
جسزيخزتيبي ديظيصرهصثش فطترطفطنعو شعحساززخسك لداتصطزدشذ لخقسشعطاتض يقكهشضتطجص يحطذازوكزس ذقودظرمسخظ ضيدغعشوخطس 
ثتزذمبيمتش قنتمججمراج ذاهسطذظجذو تظيفحططلبش طككاجنسحضق فكتزتخدضكح حوداصاثضضح شكخشلضحلرم ثرظظنلبتشذ زخعشريفاطل 
لبسودزفثسم خرنرخبشصصت مفقوثططصات اخرمنجطنتذ طغاحظزشكثغ جذرقافزراغ وشطذخهصزطر لسطمرعابشخ صلدشوزحدلغ ستيغهبنقثو 
نطعكزخنوفك زعاهغنفيحو صاضتحبذاصغ عمذذعدغنرث خزطهرظذططع زهرتخرحنظض طرلحنزدونس شعخكقظححظظ صفعطهزصذرم لكيقضشرضحل 
