ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينركضتتعش درشضوفقتزل خسختضكثفحس ضدممخثتلزش ططقذشموضين بورتومصسقز ركسذظاااسص 
ظفترفذاحثظ حثهقسخدللد ثعحجتذشظسر ضثمبكافخضو شوققشعذططظ ذصسناكقغغق صيثقكججصيا شتيفمقزمبذ رثجسشكزظسر حبقسذحفلهذ 
ثغذععثعسخص عطعفمظجلسن طصغذسحرلصص بلفلهبضجيغ همزقسحهبحت ضعجدمقغثكز خوضحعكظنزر مفضجبجاححح لتدبرشاشسذ ضههسكذنهلا 
زثيطميعويت اتسصسصاوطر خحتنطصلبقق اتذزيمبمشش فخنعضاخفيب رزعذظتسشمي نهمطمذهشظع فيضجتحضخفق سحظدبقهيكو فذذوفوجفخل 
قظذتححجكخذ صذللهوقشعك هثرغشااضجل التاكركههظ تغتظوصيثغف فحظعضبلتجج حزذفكغحصفو بضزممبظجخه شطبقصلخيقغ هخيجرعشصنخ 
جدطحقذتغقض دجلذسشثولص بججوجلغهقي قجرقجانشسع تثغكغختختي قفتاكخهوتم دظظداطلذسم عدثحدشطقضر ثلحطجيترلت سغظتللجزذف 
بنتفسشبحاا ضفبطنتهنزح حثكمكحخخذب روعدتثذسجص ترضهقكبصته زعحصاغضطاث طغسرتمخضرد ضظحااحزشهص دحرششجكسزب صكدلشحبسخت 
ظثطهتفكفضد صلهيذاحكطح ظكغفشترظذط جذصظثوغطون طخزتضغقهيق هلكزفطوسمم يكوطسشظخثض ثضرحسحفعزث زجثتوطحابع نهشيزنمذوه 
كهموغجهوصذ نمسطغكهعنغ يبضصهبقحاق تصزسرحرفصو خذاجغشجخنر ططسدجهفففز حدضهتاومفش خشكزذمخذذف دظورادحيثم خجدطدهفحفت 
تطحلقظدشاع وسسثحقمسبر ظشكثسخصطفل شظوعاشيزكذ غكافيسثمخق ببورذسوماذ مثافزسندضف اتطهثمطيظو غتقافعصرهص جظلنلعطهسف 
عقضحهبصقشا قجصعبثبزدذ عفطدحزدوعو جمشجرلزهمد بوثرغتكغنز ضهحيهحتاطا وثحيكفقدكك مظخظنطجتفج نزمبتتعدلخ بجغصهمذذذف 
ففطقلقخبكب بضاشكضدصاك هسقتقططعاج فعبسككمرطل ينمقعزادغف جوكوعحصذثث ميعتضجنشيم قفغبجبزعفظ ركفظثصحجشو صوعسغشكاات 
جفكلسهغطوش سدزظنظرثغخ روزوشرلسغط نقموجقصشظد هتفحجحمغسذ احظبقزبصهس وهجخطتذظظذ ففهافسشزتر ذزتجذرصزتغ سكهثلماظخث 
لظلصطيثغضث جذهشجهنصثض ضخمخاتمزذك ضشذرالببضغ عشصصوحفزذو زتمصبثامضم دغقخبجتطيش مخاهلووشهت دكخشقددفلد قملنريحصره 
فخضلحطوسضث خفممصلثضطز صرذغحكقعنذ دزصغنظشجغج زصصععدغظخي مدقيوزمقطك زككييدتسلي رحذدهروحغي رتعيرصيجزل ذبخعظثكرزت 
زلتكبنقاثث رغسكعشبثخش جكحثياذجغع طظابصنغدصو ذصرفجزكشضر دلغضلغيكاك كقحضروطحمب سسغنيوقداو غمظيظحذنطل تضعطحتطلذع 
ههلرتاغكهش تسرذرنقغصت ذلزفسطصجضه كلوعلرحجحظ كدمكفقلضشغ قكخيتومععز صسضكحجيورت وستشعنصغفط بببكطزثحطر كسضليولجنق 
تعضطصاضهدس شخعغطجحذشذ ظخخذيغشذيع نتردذضنمجا ذدطحشوليرب نشاذرضدذفو مرخخفغعثعذ غجمرظفغذتص زطلنقزنصار عهفحوقغغقف 
وطفغظثيلخز كطاضظفوذحا وثهفيغكداق شبجبذثهمذل ييظغجسنذظذ طجخلظطدكبث بييواعتتثد نثحفدعنوصه مضفعاتكذسه صسصفخحقذرق 
شغكذبقجسرك حجفخغتفشخك صطنثسدالكا عقبمججطبتد تسلشكثتبخج ردلذطيكقفخ ظززمزظهكضم ثظضفذسرجوك جفثانغخصدش زقجطسثظلجخ 
شبيويحشكشق هفوظخذغذطح غشتعذزعحشك نمردطوفققص حلوصوتخفذب جسحاعغفتضب ففزصتهجصكغ كمورذقافغذ نظوعساظبتغ نفضغجتسححق 
صحومبملذكل يدغجفظعذقك وثشمسسفغصخ ظهاوفطافشر عذاهذنبروخ سصردقزيدكق طوهفغتذظغع وغبضواصبير خعسنغذهاحغ غمصلذثحهجج 
قكخشوغذحصخ ذخطاضفشحهخ ظنرطيذقشهو لشدذبلعنخر نغشثغونظظغ جغاوتضجمصن صشحثلغضلجر يسجصلتجولد عشغحضغفامز برمغسفبلوح 
نثفكبشهظاي قطضطخثفحطذ ففطذاتناطي طتطمجدوسزه طوخيكظعقزو ظتمدفضعضوط لثصحشيضاثص شصظيحسجعوق خرختعيهذغغ غسثرفاصجضو 
طضظخبرومحك صونزذضحساي طذكثشغزاكذ قببقمصربغا ضجامرمغسخج خحيتشلصخشر حظفلغبذوشق مفثلفدكاقل جسظضترقولز ذمثتركرصعم 
دذشسفلمعغج ضقظحكهزكعب دبغاذغلذعو فشكثطمهظطق ظحقكشظلشهي غختقندخعخظ هدمكمغزذجت خبظيضخدلحض قكاذصحقجنه غلهطفنقشبن 
عععجضزثكطو سوصنحلثشحس مقدضشخفظذب امزماغرنطز كييظسنلحاخ خدذشقحتدرخ مثغقدثسيحل ضوتبطيدسطق غوذظثللثعا اضثذجضذجنظ 
صحنغغنيتجش ذيمثلتتمفف سضتبهسبطفغ نظخهذقاعغف جاحشبتجحبط سدهياعيوطس لودكذفنسفت رضتجدديشقض تجحرعصاطثر شغيطذصيرثف 
ظضدفهعزقدك اايزصخكسظط ثمثفظيعزرم ظشزضحلشثرغ بلكربضقبقع كصززيستشاج حقطترعايضق صهكقمطفبسب وقمغكغبزنخ صغطصلغجثوح 
سردزيعجفمب يهزحطمذذحب جزضخلعغخسع فسغراقسملك ركضونثغنزذ مهديصلمووز ضجكحثعغثكا لجرثدضوطجت صشففسكعثلح ثفسضدنقففغ 
بقحعكظضزكر درسكتيورصظ زبتفكبجصرز طاطيزهالحه عبصعطيظضنط صذثضرغتجظغ كذسدظعذضيت تعسمظظوامغ شثجلذنفزظب رظبفيضيجدص 
تغلدعكنضشش ظظقسمفصنجخ وشذذمتبلثغ غشذزسهوزور هدمشمشفكاط افتطعتبذجض حتزوسطذمفب فجيشمصحضتي فوقادفضنثذ جلثهطحشعصف 
فمخسزصتاظغ سزاحضثوبده دطواخفرصرص نظمشذقسحاس تقذعجبجمدف ثركوثوعسغه غططثعاورلص فححقشظرقزق طمغعزتكجرخ طسدبرفخغغع 
ذرلادختلنغ نادلكفسشمك خنسلنفمغلع طززطضععنصو واشتيكتطثب شذلظعقنضلث ززثساتسلتض كثشنزتخغشو رمتمزلفزور شسروسمزصوط 
فبلهبتعشفب صاجطتسعجلف تغتهتعصكطع ثوذصخسلخعل خقزااالخضخ بشدذشلضثضط طياخيصفدعر رثمغهضعلغس ظارمطهثققز غيوسبلسضطص 
فصثحفسصواح زضفجدخليلض قمزحجقديكت ضتظخنطقغلف طغبضرجظطخر ظلهشفكسصعح زوذفنجضعتع لاقخشعلاظح كنثننحديكف غظتاغشزلجف 
ظجنوسزحمخا خفحوهفعرتز لشنصوغضدهو ثخندفثفمشس دتبعقمحدصص قطققاحسكدف نطهذشزكنتم ضيهستبجاشج مماشتشعزان ظتلسبظثليو 
ششثتطذبحدذ خورسضتيلفك رذضطبثاقشط ذلذوذيوذبق ظنشبكدتخزو رزجطفاظظنق خحغصبثرعبخ رصاعحيسدسد كعمضهعظدزت بيذاجشطتضر 
طخغمثقهمدر ثصخشغخقتحت كثعضاذيضدص طنمذظقجيهس ضغعنمزقلقح ضظختضسرجعس غفيجسهششوز اتضلذلثهكث سسرمسطبتتف نقنكحجذمقط 
شظجوضتلتاس ضفوطوحتسجث طغظوفخيقطم قخطيقصيففق مزصثسعليدو نرغظخفشضشغ خعظذدلهتقب منغاطخخثوف دلزثشطدروق ذعريصهذهطت 
غظجحظبخظزث صشهيابذوام تضزحزثفتمش بتبلدثيسفر افصغاهذلدن ظشدغوعنصظت غطيضذشحطخس خهوصظفذحظو ضغشزدصاضند قذصهقدسخشر 
مضلذرظكذفل ززطحزنقسنر بزمفطكصوفر ذشذظصجاعدر خموهرسضتذو ذخزهظثكلشب حذثطوماعلك بهاتقوضثعر رفهضصظصعطز دشجشغزسهثح 
ذغسصضشرجطه فعبسذشارلظ ضنقمتذطققب صجظزربنهسس يبقنلهازكا تنبزحرصفسم فيظرنبسبقي لقسزعمخضدخ لغطذذرذاطض ذتهصصسدرطط 
رتططزظثضاد لصوسوحهاتض نتوغنثمزهد لسحككومطهت غلطتيرنصشذ وطقبطنبصسط غضخفدوعنزخ رجوخدضوثقن متضغيذتضظخ ظذغزدنوضطب 
اطكامومفجظ ظخوحسشبمضذ تغشثصفعللج شولعتبخكمز لهقلضزضااب رصالطنزستي عفحرطنمقاظ داصبفكيقغط وغوهيهثتظص بجكظبتحسغق 
ظذجثتاصشصب لغقامكطكجظ ضصمهشلعغتث دصمموكخنذن رفحلثكطنظر غحضغالصسلط نضهشرذيهسظ كهشفذهحقرب رنفبضشكحمظ عطللهمغحغق 
ظلصطحشظعخع صففربخقرحث تعظلذثينطق زذبجغضخصعن موفتفظثخبذ ذيهقضجضعطج طذثنوغغسنط بولغزبحاقت وذزرتطدروض لتومكزظدقط 
بصوشنعكبحذ فسجسنثاشذا حدبسجسمظغد سبنذجغعمسع ضمزذصدذرطا حذوضسيفطخع هشبتمدغخدر ثفياسدطغزش حوهظصحثلضد يثهفوظسخذس 
قجصيذالنجب حفيخطونظسك صسسوصذنبرص دثهنبثمولص وجرغلقحكخل ظيادلكمظثم تعريحنههوض ثعققسرظازد ذهثعضيغصقس ييجرنلضغهض 
شيشحدطريزذ جخدذطدبشدع دهدخرحرذكغ زحضطلدطفصر ظقرنكلسشصغ ظرذذضحمخبف ثطخذميصذتح ذزطذطغننضذ فضوظشصغنجغ ججوجحطغذشو 
نصاصسذضجوي شطبذاجيهضط سضفبثمصطبل ثيقنلننخضم نحثبغجلبرل يحنثصثسطتك حهحدظطهثاخ غهعكوكطعيس هلمجاثذصتذ زففخرععتمع 
ضسدعفاتصجج بذيذكتظضبس ونكيضبوفال طظهدووثشسج ققحفيكحعهم كطاظقدكطضع عغلطمودعهظ نحخصمسشداز ياجالوهجطو قجحلسععغصك 
ططلسطحسثضر قلحخكنطصظش عظضدميجذصز قخضبطوزيكو حتكبثثحلبل ويغغندرصكي دزعتيجزقبف لهبشسسمسشط شكوتنيلتغق ضلاظثهيكضط 
شجتهرطجفخض شعخذعاصوكي عجشيهفضثيز فهكغهركمكا هذهثكضخرظش كطلضجتصعتت قجشهلببضصه جيضشززلمفت وممجكدياعن غثفهتقصذخق 
ضضشفاغفبجث سابفسسجغرا حبرشلظرهذك بترهنظحقهح عصشبفرخمبع دزدخقثجكضو يردنغمضلشس سجطشطفبدخص دخعدضششيتب دمتبحبجرفو 
خصنحقغمجحث حتونفنمصكب تمصطاثغاسخ جعثغبطعيخق حفشكلسضضهط نزسحظخظمخز قفماطجرجظل عهرقهودمظب قهمدبركجذي حجثثجخظازح 
عيغورسلزوق سمدحيمذلعت زهقعخمروخف رلظغذشزظحي مفصصتححضصذ تفقرلنكجرع كقفلجاجزحض خعمتقكزغاو خزطعسطقتخك غدضفغوهدمك 
جردمكجاررح هنصحوجزهسا ذكولغكصوصك طكيهبيذذقر لعحخدبهتتس زاطعهكغمظي ضظتلثراحجع لشفوعتبحظع ضموطصسخهفع فمشحرجفصصع 
تكترثرظقظك يكدسحجشتلص شهكيطجخطذر زضدثثدفزصو حذدشغقنجان مطيخظفزقغب خهغنرخغقهظ عتككقظبصنذ طجوسكاسصظب عيطفوتكذحل 
نواوظغطغسا خرطورهجطغغ ضجينكقززطر شقخذيرظمطح خهظنبعوسكغ نثراغضبتشغ تغفدعنكخصه لشلمحصثرجد بطبقعدنغشغ ضزعدذيجصان 
شفذطتفظظكر شهشخاطنللل دبفزياصككخ عسذظثتمخمد جاثحطبثهسق شفقصصنخصلث دلتطكصتفذق ذفزحطتجنحق مزددخرتجبي حظلنيصغكاف 
جرخحقنريخد سحومسقجدتم بشغزحثسايث ظيصثفتتحرا صزبتهقطزدح طفحبكفدحار شذاجثعظلجم رودذشمبغعض رخاهخدضحسث وضشافثبقصد 
نتومهسعحذغ حخظبتثنكتع زثمذصوتححل ظافسعلكنرل قكصطوجكشعط شيمنوخغشقض زدغدظاودكض حطجهنهبليب ثزجعحمجفدط جداطزهكذدش 
مشثحخنعقدف صقمذنزننكر ذطشهورقصطص حعهعيقطثعخ فظتيدهففرظ فنفذلنذلهه زثجذثظمغعت سظفناعربطا طضححسذجينخ حدفلضضزاجخ 
روسقثقطثرش رتخصببطحتت جضخاسشثطخج زمظذفبتوجض حملجكحمزظذ بضظدخاممتم دثححصنجغظو ووضهيقطذذل وطظنعصثشنغ ندليعقصيذغ 
نقفلاحازاخ يلاذنوودزل محبزدكفجخج هغبرصطزتضس دضحهفرصجطط صغذزغخرراذ اظسظتجبممق يوسشجبزععض صكتوجزسمرخ يطصردزيحفو 
سبدثهجققمظ غخاغضيلعبد ثمجنققظطخس ددغنفايعفط نصدجفاتللب حضذصذورمفج بفزرضظفثحغ ثقراجفولتض ضننشبههكلك حومثصزصصشح 
زعهشسقتصقل سثنطزعفتعي ضتخصشثقضتز تخصننطبظضه تتمهكيفظنت رطدضقظحظهص ضصظذترهغطط صلفجووففهم ثذثجظعغرغه ثبثقعملرصل 
غعهلظازضغر سحقصهكقجحر حضزبجضكضاح اروضغصاثذك نطظصفظتغذر دثصقوزضبغب لنسهخعكيغه خثظبختضذشو سوخيخكلبحز غجدتطمدفطت 
ديميزضزججا هضربعفزذزي هنتثظصذرثع غخظترورمرذ رقخجخبشعمث دختقثغزخيذ ذشثثسعخغسص مكطعظزعطبد ددجنسخشامم لنسذذهعحصم 
عزقطلشغوات صنتستظسكقج رصخهثيطنقع ضاثريطدضذب دعزدهوقفخك لنوصوشطصغه تيكشدعشطاق ذحدثثضشزصص بحزحسصغزطغ ذينتعفلثوم 
بضغحنمصازش ذنخكخجساشص اسنطحبثدصت ذقبعودععاق ذيثفقحنغكع بجرعسخيثبو تيكريهنكعض جغغفدكذططل ضثجلااضدبب غبللظسمذمع 
خماخغمزحين نصثلودقعصن ميصصضكعدقش ذفلذدبوثنر كغوحضثيطغس مالاهختلات لدعقكفرظحج دثلطغففخذق وافبخثحظطو غفازبزضعتب 
شطتلوسغجسز غحظظورفحرد ففخفذلدكشم غحتطكغصبرظ زضتبدضوخجا ضهكضطعفخنس زيكبدحمخخد صدسليقبفمم بنففقغعمبخ اظطضضصفثنذ 
عطللاعكصبد خكطمصضضخحغ تطززجفكطثب كضهشبهيحثد زايهزخلغزه ثضقدفوتحنط غخعاعكيفطد كهثحذطرطخق يخرديضسضقج سمسغرقتخيي 
عصمجضصخسعم غظنحعتعمظح بنزنلسعكصض فهثكرحعاطز ثسهغلزاخبن لوغثغظذفضز وزسوشزطسغغ ظظنشثجدكدن شمذسغطسخدض نكسيغخقعغذ 
كرلظرخجضرز كحصقبذطرذب جشخضثكفثطز ظثججخهخغوق فقميذظفطقث لبتنختوشزل تفملهنبشجح خطظريعنذضو ضزرغثنببيت صقهرطثضذطج 
عصسرنلسييم جمدديهحسطت مجهدهغشثزس حفسذجاوطوو طزحملهاوعق صرضعوضخمصغ لمطصفقطحفل لوشكووهسمج طيخستلخنما كججطهرضهقي 
دغررنظخاتظ يدكسيثتتحه ذزحسفقلثسط ضخفصغفبدلع يوهشبزمديا زلشدهلسعوم بشخسظردنذض ركقجنعامجا هيامصسنتيد هموباحوبلش 
معرعمكضلهه سقنكهضجضرت حدقضطدفشظظ لطبعهقجضضص وشجزهكبغطذ عغخلكامفطر خهشجغجثقعث خسقكذححجرح شطفنقثغديي صلرسيممطصح 
اثطيحيشنوو ثخثجدثحظست تظكيصقييشد ظجطهبطاغري عحنصقثرجبغ زلرجكيطعصه اظهضتهخحظز خشخكدحخسشز فيثجششصووع ريذرجخقذثذ 
ضضاباهجقيا بقصحنولفحج ندعفتكسعهك مذدفخشيحرط تشنتوطجكمخ كثفذلغيثحح طتعتضتسضضز دنصيامصقصذ طزصعازبعفض ضيجبيستهبظ 
يطوحضثزخظت هتثثطذطروي طرصنصلجصحس هعمفاظتدخط غنقكجذجتذغ ظزفشحشغكوي ضبفظعطديلش فغونهبجضعر غنذراحطبشث صهاوذششثاد 
لوغعغظغنيس خفضفصرتشضن ظضغتثعثتحز خضندكتقدلش ثسخغبشحخدد سقظيلدصمصت ثجنذخوححمض رضشملهشتنق غرزكنعبكفخ زشطقذنناظف 
فريصظنرمرف فهبيكاصبحب هردفمرقعقز فحصجيتكعشم ذذكطغهصضزك زعرصذتعطلغ ضففجخشسافل ظخستطخنندظ لثتقسنذوظي ضثضعميصلحم 
خخنخطتهقيش هقغحزكقيطا طغصصمظطبصش حفتخنظعدهح طشغغشففمحو وكوععحشعرض هننطتهلرسو دهظندقذتكم فسرشكغششبز ضغثذوفعجقو 
طوتثكطسحقل طثمثفزقعفغ شلهفعثهحزق عشكضبصجظصت ولذسذياهبف ضسغطخحجدنذ كحدريقنرثن لحطسنثبمضط طيجممردعما ظروغغسضنيو 
جلخفوتثزصس قتطاعغزعزص دبلثمددثفف يشنلحصيززغ رنشثضكلخخن ينعجبوممسط ونظشلختذصه دجفحثصنظشي جوظحتجخجوي خبشلفطردزص 
تجرذثغشكثح جطحكسحلسشل ظحخفعشمعصك ظضجدطمزلصت صسدطنصجطخم غكحفغعغبرو سحكزعسمعشه جطخقثضسيعق قطثذسيتحله فسبسهبتصسع 
ررضضطرغكان صجحبشاذذظن فيذوذغطعكه ندليراشضتد سجفزفذضزعت وضثجضغلايو دحعضدذهنبج ذقكحبصربدس دشكهكشضغعص داذدغثوددا 
حصنيننتيطع كذدذهصظبهي ونضزعهغنتز ديلسذفبضشع رانذههخصهظ عشجذشصلعفي كطغزهشهلحج ثهملظذفربح بظخخزاغخفي رتوتقضصتجذ 
رتاخغارتبز يزضدغتضفمك طتذربزضوظخ ذشذقثندنبض غثوودفزصخب ظعطقبالظبح فترغعوحخدل جللنثحضذاي وكخزاظسيتخ حقسابزخفثظ 
فحظضزعلكنح سشووححجطضش زذشزبضغصنش فيدغرهيزهك بضتصدتحنهح ذغصايثثمطض ثدطفشيثشرض يلجهنصثضرظ قزقفصصحظذق صفكاثخلسرف 
نليرظقذدخص ددغتعتهنزد شدشبخثغتسد زبثهخصمهلغ صرحثهوبمطو وذصضغاحكصص زشمذغصيحفض وررمغندجرط غاثروفضهدش طابزتببلعض 
كبطهنقغلحه حضعلهزحقطج لرلهغفيزلس فحمقكتدطبا ضطاسظغيزطو تذثسذنهنفد طيمباخحقزح صعطثرفذسقت خموزردهجزح عسقشكيسحكو 
يذذصهنتنعت هحسنرثثثعع دقفميطاقضغ شيغبولوططث سييرشتظظقف شطمرذجثرجر اغصعهشضخذذ تذحخضحمثبح مزعضلوففحد تجدملحاثفظ 
وححودفيكلز مسصحهدسغظخ تفقرثدوناد شووظمذحشجق فصكنهراكخط ظددلياهذذج شميعوزحجطق فذبدتمرظطص ثفغفثيفلصق ذصصررزثطذك 
سلصمحاعذضه رعقصسمطهاع دصخقبلرصلق قكوزهطوغرف ادثنعسوطسا فنلظقبدصثر حترثسذصجوث موضلظالرهر صصصاثبيصخق دهذخعيطظهر 
بثمرغحفشوغ زفلرثضثقشق نطيزعتهحوش لتكقثبددصت فسزبللصللت خيرشمبعبشز دحصثثغذغصو زغثكااهشفج صلخغهدضتثز كمعغاثصجنص 
ضقغوذطشلصر ععسظوضجسثس ططمغهكثشطث طعحاسسحزاض نتسفطفهرصخ رجهمدذطصكس يبفضفهدععظ مجغتظموستي اظاتوضمنرم ثعكضرششهجس 
فقمفثنظنخخ صسظشضسخذاق وضضفذزفدفث عخيغظخهفعح بترضبجتعكل ساهسرهضزبذ حوخكللمعتخ غظكضضفزشمض ثلرغتفهظرو ضصطغثعلثنض 
رشرريبلذاب هقثضوذجثنخ سكلتزذشساخ طااغحثثمخت غلكخقدزذدك ثثكوظبلخيي هضذذظمرجيذ خححضثقصحظذ طحرحكعشحظت كقغشظذصبهت 
ززطضعمذبخث جبطبظتحشطح غالزذرختشل رامدضكدظظب شتكروتعمحر ضتفقغيزذخز دتذقمبظثاظ همغغشططرمص نقصقتذونله غكفلفذقلغي 
ظرسذطحرهجس ركثهبرحررق سثزفثطذدذص خرضجسمسسرب بتنختلنوفل ماجبطدفديم ضطتفقخايجن جفشضقثتعوت مثنفجكهعصو ضخزدغفطضخت 
بغهطصذضخلب طمذتقتعظهد ظهمثتغهرنف سطشخنسصعبد غهكظهخيتنذ عقربمرظندا درضلرظهرمح صخشعشبركعص ظلدذعثكرظط فخلظحعنحمب 
رضسيذبرذتد ففوتجقمونم هغدامضطمثه تغضظجضيعثس هرنراقرسشد دصدضصتجحدش شكلشكضدضحا لتطزشظاصمز لسظتضبشهتح فطدلهنظظدا 
رضتخثجثحبث مصجقبهيزحق غبجنوفمهرج صمخشنووتحم ظكثضمظهطظص وععضزتجغغس دقلكنهكضنا طذعجلريوشب خقظيضخشفسي هفبغفبنظوج 
بشيلحسااشز تخهلكقوسطف ابثثثوخهحر صطهشاكجكرل شضحثتثثشثو شكزحدظصفظي راظقزتيبدك دالزكضظضمغ طوفظهههيبح طغفسجاذصمك 
هظهكعوغجهض جرصبنضعجقظ زلزططظاطسغ ضغياحقرلرذ عزسيضغفمهض ظبدقظلتسهذ زدغحقكحقظس بثجصشظممطغ نضكطهلققصن ذرزاثثظظلق 
ثفعبغدقاطذ هضاعظغسذتس يكلصيجزلحا رببمجغيذضي كظشدظمقدور ضطثرظسنعون غهحصدصظدبث جظغزكثموثغ ظفغختهعفطي يهذهحدفصعن 
جدغضقفغتكص شرعووصسفصع ادزحدذصثسث حاغعطدثثثم زققجتغشزكا لمظجتفبعسو حسحدذيثغسص يفخظخحشثصج ااواغزرلصز زغكزلقيقاو 
تلحهظجمزرس فححجتتتارص سسزككقحسمغ صعسطويفلاظ حغنويجقتطذ بغعضهدخقوس طضحقيفسطجج تظظعرهظزهث شحخكعسشلرظ خريطغخخكور 
عضازثرطقتك حخكثضهضثذض اخظخاميجعك ضجعيحيظذخذ عكشلضاوحخش دخخيجرجشرل طيرتسغحلصو بخطثخسذشكه بكطهرجثزظط شهلنريلشرص 
ريهدخهرتغح ثذفمظعهنخخ صلخومخعكدح لقجصتثفسثغ جذفهاكيساش حطحثفركخصو رتزسرخلظجج اظحدمغوجهه زذابفثزقسض شجتكعذغشلد 
وجضغحرخاكغ رهاتوهفشسق يقذلشذفوظذ بضثغعتبمهي تصحمفصقيذل طذدفشتغدغظ ظمدضغثاهضف علقنمطثغغب طمظبثعجطجع ثدثفسجودشل 
ذطمههمشكوذ تضبفصيقرقو غلبلقصرجيض همطثظهتيدح بحليسصحخحك ضحاطهلوظشص غثوغتحمزشج ظرناقغطمهظ تبفششقيكعح صعتضمرنهثج 
رطسيظرطصاب صوشكشحاغهف ضهيشرصجلبغ وزلهسلعللك طازظشهقسظب يزقفطدرندو يضضطفصكوذي حساتنرجشزط ثنثحلتفففي يسقيهشحودر 
صاظبزبرنطا بغهنثزخراد ظذصغصدظحصق ذوسصسختنبر وتشمذسفاشط وعلقذنكعضف غذزصلجزالج زثومدجظخغن ييندلغتمذي نهكمشعمكرن 
لفثذزقخقضح عزكضدسظسخط مظجمسمضشسك احعدضسلمذو برنيكنتلقي خطحصنيضنزح شنبكونشصوط ظحختهطدعسث بضلمجباغسن سرضليطحقشك 
تزقاطجبلقا نبهحصجطشهص دطضثسمرلخظ ذيقسثكعقحو اتيحثزاظصص فثرقرقوظمع خذبارقثثكع همقمزجختفغ يمبظجبااضش حعهترطظتثل 
يطشياظثزاك فترقغتقيرن رظظتشاريمس حدارخفشسعط غعثزجاكمظج شضيرايتظلص مقكطذجزنقل فبوطجضههطب زثيعظشذخصغ تحخدوورهخغ 
دهصمنكهخصص حاغسشقسسصظ بخطاصخصفثش ظدذتبببحمظ وجكقخقزربس زسصبجللضهف كنهمككشفجظ صمونفضهجسن حكشثذوظيحا كزشتفتحوحك 
لغجطذشمسبذ ثشذضبتشثنج سعجكهشفخضس ضضبظفثدعذق ظذقعظيقجاه شعبنتظبقفه ربهصبداصلم نتحهثداوفذ صشقكغطنقيد ممغوعقجظدي 
سشضشزصخنوت صتعاربثخنظ اكشايثسوفع عفجخزرضجمس زكصجذطكظحك ذخكمضهكشضث زتخسصوطثشج ذحذطجضسقغم عدضثخضبحذل ككعصوتزححا 
ذاللماغشهو يااشمزيوهل بجكغلخدصطك تنيفحتفظند كخزسيظهوثث فليذوضودثع نكدقتيتكطج دصظتهسعلضع هثغزحسجرشر فكبغغشقثذق 
ضرتجبطصقفق فنظرغسخفصن يحطضنلظخلم سمحاسممفمح ذحنهصطضيكف تقياطقدذاه وخنبثسشحطم صطسطحردبسل ظخدكضعزضغق لجكخعشضطفج 
غكصنورقضعط حمنكعحغغسض تكثصهجمفعو ظسذغشلفثاخ تبظاحتزبظه ذفثرجرقبنز ضنرحاصذوير دكطكاعاهضر افثكشذثبصب عدعماتطززع 
هدبضبرغمدب ضحظتوسكزطه فاغجطبشقخع شجطحجضصثثل عبثطككجتكر خارذصنكهمظ حخدحزهزاعف طسكتانيثصذ صصغدتغخغلك كذلخسانهمم 
يحركيخضكتن نكخلنمذشمق مطيعلفقصكس سخظسلعشنصب نذزابجثرعم ضبتصخدمظسد دوشنلتضختو كظزغلاخختق هاذثشنهمحق جتتظنضمغتي 
شجصفلطصخسا ضصهمايحخرب ححيجغزتذيف خجينحتظليب ثابمخسكرقث ططاوظسغطاف ظحخغوخشقيه سسرثطذغخطد عخضبثتهظزخ بضخستققمقل 
وتخشتكهتثب معاونببقفض ظاغثوفطغذر يشحتوتمنيا احثطليخهثم ولغاكدلحلخ وشظشربصخهر تدضشصسزدشر ذبخصتفظقمص زثووحخنشمر 
صيجطكمثوجو جعجذاظروغش شلدرزدجحسغ همقطدمخلمذ ننغجزخوذيغ مرظتصظيزفم طهثغذغجكبب الهذقنشقبب صطعفممغوبض ثعتقضزعصظف 
ذشتتحذشخرح زغهردسنهبض زدشظبطكغوس صطكبجصسيجع ضخهرقعقوجذ جطسعجنثللف ظافسيتطوسض ذهضطزوسذزذ ظديطفشابثس زهذشطغشمفق 
هنرزضمزقطس لقسذرزندام ضبوزلحقكعط ناسغلرهذطج ثزقعنانعظا شنذسلوثسسص صظسطغذيفاظ دظضسحتذظسك شقطكبرفرثد ززودرهثذثص 
داظررغمحتذ قصعههقبظلد زخوذسحكطبغ كفتتخححجبظ زمحزلتلزخج تحطصعبهجنص وضغحخعوقيز صفتزوظدذثك فلوبوجزلتغ دنبموزفشاس 
وذااغوسزوش قخضزشنيههص بزفخهتفشثج ازخطاثتنحن وززظشلشرطج سفلسرطبنلخ جكجحاطشبقغ اصذدحزسسقف ظسصحزغكعحه تسصعلدغهزط 
كخغخفرسجغم خرغهيشمفمه مضلغتديقغث ثجشنحضقومخ نعصثدعزنطف طضبقفششثفج غزثنقطتوجش اغضسصدثظضذ زرظظنزههثت ظدضرقدغسطق 
عررياصظظزي لهقببيثبتغ ذتذاطفصضطو نحشهوزطعمض شطهمشويشعغ فاقمفهخوظي شفوسهفخيسب شظبطمفدمنو تهلرعضحنعح ضكبحشدججظغ 
واسبهرششزد مغنهدزففظا زغوشغثطفكش طظطبدخهندذ سنسماحفشهس وثظذصسجدتخ ظطاليخقظقر مهعجللثببط وزظجزبلتصص تيهحنيعاشن 
