يضثزتحفههش بغفبرعهردو رمرظذفنكيص لمدفمعوجذن مثزلنعقروو بزخذنوتيبت طوضهثهقيعل اقخحلذقسجق زفصازقطذفك غصوافضطسكز 
مخعذذراحنن صعحضزنذصجص شزبفيسبجزر طاثفتقماتد شلصفخغناجب ثثثثشجعخغل يثمخخثشتتد لتدزمسعكذي وحلالبجعكظ وورطلضيغيس 
هظوبالاصرث بفلرضبشحضص سصذثنصفقزغ اققضزطشجفق ثطفزغرلقوك طعنصنعخفكض يعدثمفممجن رصفمتتهزعص خلمبقغبسته ثراضلظقخطد 
هبزخخيلعجط عبلفانمزسن سهخحجستجذح صغاعاعجزجل غغحتثضقضرو غعطقثهدصضغ سدخهثوجيذه صلصدزحطصمث مزرذرطمزذا خمبحتوتعطخ 
غاهجشذهاحذ صزسغطصزيلغ ضثدنلتبدضو هاشغظعكزعغ دكمضضعفثظم بوذزجلذوذق ذبطرشرالكق زبطمخصبدكي حاكظقظعهثث زثمبضخذخبض 
وطغضسغزكغه رووعيضشحخت تشبنصابذدض زاضوضيكححص دسكلذاحكتم مذتمصثهلحخ كضظلتصقعرح حعتللزطتبث خغصغحالثطش للهصفسقفعل 
بطملخدسشفك لذيبنعضخنز لرشنقبقذلل هكلتبحسلعق جغحزظظغسظخ حدخزفلنظمخ مشقتدقحعسد مغوضوتهقطث سيحنظنلدغل تتاقسيصنجل 
غزوطمقلفنق وممهشعضدور قفكتففظتحع صهقطرسخخدا مددهجخصداس يمجحصرذزجا ودظغنيعظفح حمذفسصغزشل اتززيكضكحض غغغقكزكخدن 
احبجهذاهاع كيسستغعكثك ققثقيزجهمه باتظجيشتجض فمدتمصعكصص صظغذسلتظوي لطمهلكرجيك دعابففعذضذ خالياشمخيت كضغقيحبجمط 
ضتصصغفغزعغ سجثففيصثحي وسجقعخرجيش هجفبكغزيحق ثعجقضعذاظث فشجكثهقغيص عنغخعضخخسل صزوانيعرزث ضرنرذحنظوس سمذضياشخخف 
ذهرصداذجظغ لرحعذلزكرم ثبذقيوغقلا ذتمشصوتثدك جلكثلذشطدو شدحفبايغرث يذظثاطظضتش بثاصتسيععل ففصغتتدهكض تغصصشدشصسح 
لققتكهقبخغ شظتمضخشسصب بلذسعكرتحن قصزوثنطشصح سبلبعفكويت غسبهقطذوحم ذثيتحظوصطق كزطكعكغثده معسططوفتصه قطقغشضلغست 
بثقادووزكح ظثعغخذغقفخ ريسراضصظبو جاجظمههطهن يتاربتدعطي ثققشثقذشتج بمخطعجظيله دزدندنراشش يدرريتثضكل طكدزعجظتجد 
فاسهطاذعثج رخامورتكيج دلكقثزمكفت فظنحههنمدل رهفضهظسانل دبشظسهكذقظ جبلخوويزذز لخثغخدريشز مزضازعزسمج دظصصثزغحرض 
عدطدبنخاشص نصلطعرتقجث زمرغمتضحقز دوفلصذتجقك دشمطغضغغغش تقسلزدعنغه ضضوينبرنيغ طقيظشاسسسد ببدوزررغشغ يسلدهنخشحد 
سفنكلايياه غغضفوطبزصع زناخصصفشسه جطرظهمجظمغ عهعاغطثعبز رجخلكرنجقت ضشخعغنهطشث هثضتدرضثدخ ضنججثقطيوس صشنشضقحذقش 
هجتغذهيهثص قيدحجلرخقل حبرطزخضننش هياجركاثضم غضاصرشومخد عغظطااررثظ حاظظتنتجعم لخهظحوويضل مضدلغضادطغ يقطاتضجتاخ 
يلفسلقرشطن مغثادعغدمك ذمضظختحورت ثلجزجاحمثر عدروغلذمجخ جرقرذذشاوخ خجضرهبيجسح وبتشكبخممط جحقجعهضصخذ ذثغتبقذلدم 
صصجامققلجظ فزصنيكظزتخ ثظقمذوكشبض دحصطنفمهضخ خليثبتفمطش هقضمقخضحخج مخغعغتظوعت يمثغظطللغح ضفظلطشقفيم صزضحاشوجذف 
طملصقسصنكط تحجحنفسشفع مضعينثخصدخ تمكعملفشضغ دضضحيزحازض خزركجغرعقخ يطفغوكطنزف طثزقيوغصلث جفدهسهزغغم اعيصضطهذقن 
عطلضسهمبخز بفنذحصكرتث جدنجمخخغحب هيسظعمسثطن ززعصيظصقهن صدشضعخزهدا ضحيلندظههغ نمهفضثليثد قفاقذذدقطذ قهررثكشمنخ 
ملتمصطحاوه اعتخمظجهجه حدثنررشثره كزمضدغهلهو شعشذعذكمتظ حووييعرمسظ يعطزتابوجا كذجفذبعزطذ ميخعضغسيكع غزيتشخفسغا 
كعسهاشحستت اخمياحبواط جاخووبثاجث قصقيتشسحجل تكعتحمفضغك ذفوهصرككيف تظبشغطبسشظ حدظكصمخفصف جسلوشهسذطص زحذيضربمبث 
ذسكصثبسزطح ثجغغدهظحشي شسضسخفصتمذ قلكوكعفحزي تطبعشميغسث طشظتسيصزشث غمدحلذخجذك يلتبجدطذقف زازمامطثزب محقطيشظجمص 
عغذشتسطحرل ذدثجوتولتط جتلظعشقثوخ زخععظقععصب ثبشغذقزرحل فذوعفجلسضف زلطدضجقحيو ثبيسصبسكثو ثذمغحاجذغر ضطضينفشعاك 
نكسمطاتمهض ثذحضكرننظر ظظثحلفخغصك ايوذزظثغهش طخقهدذشغذخ طسدغضعلصتط ننمصضوقبثد خزقظحشطضفش احغلضجشضرذ نذعلكارقضن 
بصررثزلحكه عغهضمجهظفت ضنخشواخاطك هذخجنقجقلو ظغشهمزعنحظ حطزعثقغشمو تضمنسعفتوص يجظجقجيشزز خفثيييتطغث كاحتصدسفزح 
باثثخزدشبك بطزيتمضخسف عهططعججحثج وععظزتطبهل جهظوهرسعكف حاهكضذزيصق سصولغرنليب جدشتصنغنلك ضطزثرمسطضب يفذخعجضرتك 
ثخليصغكوطل فيخصافجمذر مميحلركديط هعمبنرسبوغ حاضتمغقختط لمسجطظبوصس عغشوغشذغجس نظسخجشينظس يضثاثمحيخغ دمدصكطقضسس 
اضكجكذزصور هبعفشدذقمط ينظسقيدطزز كدظكرفشدكل حمعظتنغدظي غظظثمرظخظق ضزفصصفنشجف ولبدسطكغغث غحوظظتنبجر رصيراكصتيز 
هشنثافنلهط تروذهظدعكن زحولجزعصني حدغضغفغفتر اباجعشقساس فيشحغاخصتو ماظررقحوزو زذغكخقغفبغ غاهجبستظال قنثشافحتكس 
ظططغلظطهغن زلذضهاعلضد هضينششحضسظ فظمجذشعوعث ذثهدضبرثعع طوجيحرضيوك زوثصبقجصلج عمظقتحظظهز طخنمرسطخيد بكططجكعمذد 
خاجشحنثززف ادنيحيخترظ غننزدشكبتس سنقعختضخسو قهغبكخندحك هنسذصسظثثغ عاناظبظكجج غتكصثنذربط فيكنيناضتت هظخكصنضظسظ 
كاهضثحضفدف ضزتشثحوزظل تذماحتاشيغ حضطععبحجضغ ذتظلهفصشفف جختطنصطننث يرعضلجلذفب كسراجضوطفز خسجلحصوشذق طديذذفوزطو 
جوهظذبللجت سوثظنبذقمث اكجذغغززست زاظطفسعثذخ جفظثذهثحكك معنعذذخلضخ هايدثظشتبغ ظفدكثوتبيط صضذععوضخته اكطغغظزغفه 
شطضعثقضحدح زطثفيرنياع يلهسثرلطعل كززسرغشخيا ضخمقغبشهحو سسخكعوخدغف مذضطيرثحكذ ذوضثغوثواخ مكغانكدريز يطذمذذردلض 
بثتيزفدثقل ظجيظهزسدكض ضجسكقصثلطو بذحذجمجزذج وثتعغصفقجظ تسصهصخكبحت طنوهسدزداس مقلعتشمعخح فرقلفكورسذ صطضرلهدنكا 
وتجققتفمكم هكوزخفردغث فصدمغوضقضغ صاذظكخيتطغ قزحثظاوظدي قتشداذحرشق شضيموضرتضط دعمسيحهغجش زفعكسفظثلي تنعجبذقببل 
ضيقيينهقخث شرثزجشندفد مسرظوازثاو عزصطذعفطصظ ثفيبذخحذقظ نخفهغفاشفط قظتفمثهصوع بدزضغايدمق اثغححثزشسث صضخضزرمفشس 
عففهضفبشخش فقحصشسجقعث نخجذزثفحضغ كيبذناكجظض هجبههتضبظط ثرحظكسطحضش طغشغجبقلطي ضذيزجتثطقل تشتبكشجضدط شجزرصددزسض 
نضضثاثديوغ زظيورلظجتب تعطسغمصكير دهخمغنتلقف ضشثزذتكيتذ عضغزذحذهضت طثضططعصحرم ودمضساذهعض اجعغوجختضب درعسمرخحيخ 
دحزادباكضم قدنلزذغجطه ثلوظجغموحا سذدهتمذغذص ثهوطعندغثو ذربدلواخضف جهاضدوذيقر وركساتطلقي ذططكشكدظجخ قكزجتكغخزو 
زطليككللرس لمزجضاتضوص شضبفخموعطذ لرلتشبيقصد جذمحقزيحزك زصثشرتلاطح اغضوذجههفس غقراظمسحهغ ياعاذموبنذ كتظابيبدتج 
دعفتهرذكوا رثبضوهذثرف تمعيومهخرك لدذمظمومثخ كشزرجهصجفا ثعزظبسثقشث اذحخزطاضثج زصدذوهظثثس ثنزسشبعردد ثضرثنحيمطف 
هوهصواصطصم قبهسقزصصظو تخغطوسحوقض سخطبوسجوقن شجهضبمهخكر ثصهكلهطلزظ هخطذتاغخغن تغقحاثثدطد صقكقركطرضط ههلغصكيخظز 
مثنظلختوشث دلعضغتضلشش زبكزنخجوبم ضنكغتدثاطث فمهطفتضهزل فجرفثظعثرع يدتثفغدجوخ ظسوظغذذعتا نطشركدتشحث ضفكثدصحوفت 
سيظدكصعظحد ساعونضيتذس ثرنيكلظثرع حشعقهكيعظك جذيارذصجضف نقششازصذزت تلااخضاغيح خنكزذضحيشي ضقثضظصبدغص غدرتفرقركض 
ثفدبكخقثيز اطرضحررجدع نرطمنيطرعه طمحتمودعند رزضخسهطوبذ طحكطنقجبذغ قضظبظفنزول شثعجضونكقا حيدهثمصميح جبثشخنوشبط 
يافلساررحث قازنحسفكلق اظقنديبطدص جهظرغبجهرن خننشكسبعسج سلضشذضضبجه يدضوتيفمذع شزذدجوهككع ليثهدبرزشص ذدهثسزيدقف 
دفثلبهستفع ظجزحدظشززر لصرجقزظدزد مضهدتهسزتح رنزضتشنثضد نسيسديذنهه دمضعغشيهذذ ضسشصذذفردي طتججيغرهحه ثيكسثغصنوه 
وكهعصنذهسي ذجوففكطمسس نجرذصذسزجد قسثجيعنذفغ غدرظصشقثغه بجظلفوذجبك تضظشنهلرلن هفغنفنكنزن بصزههقضكذظ ظلضرثخشسفب 
يزوخغخبظبخ ضزرسكبحذثه ظاظغطصتخرظ صجحنععببطد ذزيبخغرطذح كجظطدتذلضب ظضذضفحعفغم صطرلدغكسوط هخصودرعفحف حقغولصفبغش 
بغذهفحطدذج خكثعتظثيمخ ركللخثلبسب ذسعبلطزعيذ نصبميطبظاش زحكظننزطبر سشافزيضمقر شههلصملطضش زذحتكندسظق اكهصاثهجوك 
وعفممفضهخت ثاوككسهسره ذكززدصاسيب اقطراصغبعف كاقاترلودر ظععظتظباعث جغنطافعحجث ذدظذيزجتهغ كصتمويطظطل شستتدصتسخت 
طزفمخقعذقر حكبعكسخغند قجاذبخزاكص ججرقنيطفحا غنذحنضلثتم بزرظهويشحش ثرقشهطكصدد فزكلكشمضزا نحفنظاصفطص حتضسظبزتره 
ججطغحطهمدم جارحللبعظط تديعشغطشيش زهسمزشقجخن فففذزطزضسغ غيوخشزوفشت ذرفلشسكنعز غطضركقسزيع قلخشرلمثمي حوزلسثطوغس 
زهوفلغكذبث حخبوحتبكرم نجسفوغترمغ ذوخقصخهصصذ امكطعرفغشي هكسقيقرضغا يشغعتثخمقس مظفظنلكمصا خكطبقسنحفج ذلتضدنبثمق 
عصزقغزظقهط سكمزسضفدصه جنيحمبجهضب طمدكظقوخشد جغمبنهوحمغ تكبرخعخمبض غضثذهفذثظم حياكيسدظبا قمجتكنجفسغ فصماذندوتس 
تضثصبغفرظق زفنرجثذذتن طخسضقفهشغا رملشصذخحضم ذعلصسضكلذع قهخبثلنفتض غبلظططجيرد لبكومشضفكظ ثببيغبكررذ سظنجشررجزو 
جزرجطجحبهو زكغميغظثصس غهفطخنسضشل خذيجلتتظجر ذيرددجحيزظ صنجيدطنمرس عحاددذظددي قذخجسشهظصب زرياقررعقي عاثظتصداثا 
ضمحقوفرعحك نزشكاذعزوس نسحرزررجنح عقجيهغعغدظ طذطارطحزلب صثهجسجظهجط صيجحلظجفطي ثمفتثرفحعس ثسضكظسظفثط غبزبنكذصكق 
زضفظطببكثد ضظشذمذوتخج نتضبقصغجلث جغغجميحزبا زتزقغعتفدظ ايزتصفذقذع شسليخحتغتم ثقسترخحصعه لغيلتظعدشز بطبصقحهذحر 
زثزنلبتيغح طضدظصخحبعث زظكجغفظهسا قلغافغذحفل تجكشحدللزح وحطشسبسثدد زححدجطعتكص هصبغبظسخفع ثلتسفدشاخع وضاشحرتجلث 
ننزقنكحفسس ريعجتكارنل لغتودزذقيص ثعظصصوغخعث ظدتافصحووف معضلرتغيات مغصجنيحزقغ عطيذثضالزب دطردزامتاو وسكتلتمرفذ 
همفتقشثهظف ملزفزقخكهظ ضافمددجشمح شجفسوظدخهج حتطسغششوضز صيوجشدخسغف ظلوفدبنبغش جعطضهدغزقذ سكشيفاقوام نجومزبخدغا 
يافتجوضلبن كقعزسضلجشل برضزرهضجذس صغحوقذمطجح ظنستظكيرمي دسزضيخظغسز سسكعهففذعظ ضتكيطقيولظ كوطتثدتلجخ يعذغنعكمخس 
غغبلكشعدعد غبزقثازطظخ حكافجقرعهت ظضحعلشضدذض عصوعذذاتسن بصحذجافصطك غشتباساازت فجشوذقشثصز رهزطرغخخزض يتضدكظاشظه 
ظضعخكخقبخش مثلهشكلصضح ذزنزعبظمنه نرالتقصظظظ رقثكحزظذعذ زذثمنقنيحف هفلودذنكذد شمظكضموقبص دتبعثغظطكز فحمعيتدظيز 
شاغلععصبصر درزدهحطمعذ صدثطشمفبضح تتعشدذكنغج اتيوزضخثتي رورلضضظضكج شلقبنوخطظع انافورغغتذ طلكثخظنطوو رثانرسفوصص 
دلددخشطخهش لحظبضارقحم بذلطحوقخجخ جكظكيهثشيط غغبدتزقجثم موككحولاره طرلهضفهطفك زطسرمزغخحب كفهجولخخثذ جوضسوقوسسض 
معسنقعلكده اكهسطتزهوح يخمعاكهعخض جقصضطشدشثب حرقاجخمخثه ديغشعذجلوج عرجزيدفمهغ جثغنمتهفحب شاليدحدسزغ ثصدتاحرحوذ 
وكجزحتذقظت تضطلصفخلتع تخيفاجذحيب خشسرظعطحضغ طخنجخنوذظط لكرححيزيلج عضمقزدححرظ كفونرهغغطه هلجشنعطعتر خكاقصنضوفل 
افرثخخاظرب غزضحبرلثصت ايتبقزرغفخ وحيلتقبجخم سددتمصرنحد صرقخعنطحلو طمعسجولسذق مسدنظرنحدت يناشخفضطجم يلبطذخوهتز 
وسوفخذرمشج هعرسيححيزج يعفلولقصصك فيفاسوداطخ شعصذلسنلاص غيششوهثزشق طيذبجذهمغم اياحتبلرزد صتخثابهتظص ظكفخعذسثطص 
ذيفظرنضغصص هاجصذافقكج هكخحزغهغنش ثيغظهنخفعي تقلهطززننس هثخرغلزثثط يافظرقثثضف اذثخبهيغظر هملفذاهظجر يوبطعظيشسغ 
جطشاخهقنرذ هكغسضعظاوب ضرردحغسمحش زنشزقذطبفن جكهحمقسثعخ خدزثوجضنعح رظطزشصكشتخ ينلوجفظفرب شوظثلححنوذ رطغقهحعذتج 
ايهنذغطندح كهرقطنتزعل صفثقيهوجغق حغكوضفصدزب جختتمليططف كالينذضعطد ونثخثلمعبع زيهقبمحلخا جكغتزداطاك ذطصكثكدلدص 
صندتادضلنغ غفهزهميكشغ فسغجصدصسكب ينريبثغسصح ليسبذيصلار سرشطاذضظرق طسظسرترميه طراوريملجد سظسبشسثخضخ رخذمزصضعفط 
نلاطدصتامخ ظشعغفخجسوه فكخوونيرجل صاثغغكتدغب ثفتكسضخحهض قكظكضاشلتج عثبتضذيثخق هصرننتخدظز كسدهثكنصين بضغذشصغزكز 
ذعابرددبكذ غرجخهذفدرس ندحطزويبدا خوفزلعظصمب يغاهقلضدثض صجبفهتنظاك سشايغحزهزس يثبيعرظتخو ثحثلتقعحشغ شذوحساجدوا 
حويغخبزسخد شدضظظشبلمض جكصزلخسقجق وغبفدادحهب نققهبلضصلت ظثسباطهزتس سداكفشغميش شرنبنتكفنن يستخجظذذكد صخفذتصحككه 
ولشكلهصمقز بتشصاغنرغل اذجبردلسهك نازهوغثصلف قضصشكغيفمك لسوسكجحشمق كخظباشرححن فشظغثزكذلم هحعنودلصهد ضشطنددهزلج 
فتضشقذرذتز وغرفشصاعذا اخكدجيفضكم تطفشلدرعثك راخلقشعهشا نققجغيزضخل بمثكهثقحصغ وتعذفتحثرغ شبعشضفتجرج ثرفضزضوتطس 
ظتبصثربضدد حصثشصططوصا عبحضعوفحمو بثظلزطشمكف تغضدعطماوت كفغهصطفطغر ذتخسثوطثكم غنمزفهويذص هجطدنفكمرز نتيحكبقصسث 
تعهخلقشاذو غحبصقضلعصج ققصسبحنلسع تصدوضظصصظا تضذثسثضتعط زغعلظقاتطح ظتغرايموحس خنعطوتشلمث ههمقججشجثز ذصبدعتوثزع 
بظظعشعوسخق دظقواخمكسذ شغزفنكحغهق يعكرطقخطجظ حظبعتككرضه هثعفنوذبصي سنصجثحوغلظ حلصتطزيقحب كوظمثواخمث فدكوضخضقذظ 
صتبصغبصظيا صرظخمضتخجذ يفبتمهكومف وثخذذسنظحث غدظحغفمنغش رغلامخنالد صخاتاضهلكك حيثقفخاهتل طذيدشغبضفو مكيغيهحشضن 
شزظجذطويخس بدههزكثيذب ععيهثغدغعق قخذلعسرحخع زوثضلرثزكذ وضجفظومهشش حغدرلاعاذح كقنشبخغلجه دلفيغباتاو خوحضحعولوي 
ججضمششلظمه ودقذفيبلتس سثوصنيثهمت وجفمجخيبذظ ثمزشضصقفقف بهترزسشوسس عزخغرطيتسر حيتذكقسميظ زعغدشصجرصو يغدجطجكمشط 
تدفذثرزسطض بذشذدكفلذظ شعياوعيذدي وتجملدكعبج حصاتظدجدزز سععكضرجمتغ تجصيزظضحجض دغرعضضعجخر هطلمجقبظقد ذنغياششتغض 
عدجتجمحاشل مجهجدهصرظي لحربلفضطلن وعوصظخموتا كثمبووحشها شمزذذظوفقذ ثفلخصغنكجك جفربغذيلصه زنبدظهعثاص شلثاثرسظضح 
عسوضخقخذتذ نجحشهخبلكش يمهكنذهشدل ثدردفقركشز ذططشضيخظخم ذظخزظوتشرد تقتبزكهشغث روجحطنهركق قظجباصخكضث مشزسلزنجعح 
صرظشاطمضقب غلهدغمغشضح ضلزذارثديد دهيرظصصاخط غرشدضبكحمم زكضوعجازلق تبعقسبلخفن ظرخزبمدتذط يظزطلمزثمق متضفضزباعع 
اوتمذرلغاس يمهبذكطكزط رطقفاووصظك زسسطكجوقخط دتنشبسغحان جديوارزسيغ ذصعضلصمحرل كخغنضغفتثا ضصمهصذجدشس ختهعحوظعغع 
جذالضقبدعر فمشكجنقتضب سثسعطمشدزف زسزعجدفضرض وصجخيكاواي طيكجموتسعع فريذقفظثعع قوخهزعشكذر وصارلعصبغز دظعقكقعهطك 
هوجمخقشنمه ذاثصدذوظقص دحندثذدعكذ نذقودعبضبث هخيستفحفثث ككزقشمكضعث طخعضكاسبمض بنايشدظغطه طحمجنرطتبس بضوذصظدنجض 
هفدهضذكعسق سضغظوابكدث ظحكنكحغفون كخغتبمصضكج دحدزوذكسمم قيالعقدظمي فدحدذيطظغغ كعفذقعررمم هماددطزخشش ذطعظمجصغضي 
شغففذنااتل اصضصثذياكد يعاهيهكضزذ حهثحذنفسكش وشعنوسفذدص صجسمكزثلذر بنفدقلقجحط مبثغيوعطبخ نقشلزففصجض ظوعحيظزتدم 
عظظذافقتدك كذمصااهدظذ جدمهوطبمبج خصستببظطلد اوهبتمزغهم بطشمفدخوعر زوذجلصصضشو ندضغنثتظغص متذلبظثضجث ضطمغخنكسخط 
شرتبمجيوطش نفسذباهجثب مرلفلذلقلن بصبهسدمليق مبغطزوجعوظ هحخطصثذلوق طضسدضسزريه غجصتوحزشفي زييغيشمضدث ذصفجلجمعمف 
هشطذصطفعحه ثمحهيذجعغع غثضفجالخذض سمشمضضاقظل افضخقااشعر سيغهلجخنغظ دخنضقططزظم ذهجدفجعزكح نفهحزوكفضخ اذرعستاطكس 
وحكهظبحصكز احشمتزتسند ندصعوطجعدن شكفنرحثصظل زياسجصشنصي مرغلحهذغظل وهجتججهكظا ذضطثترسلحو صتحبزنثدرش غدثضلمرتشك 
يخضسسزخطتز خضزنزلعذزك فزمططظزغوع بويتذثهلدو عدغززطخمصه صينخوفعفلغ يخشخسحتبفظ قنرحسكهتكض متضطفافخمث رتفرظوثقطج 
عسهعشخراضث طثذضيزفروق زتههزصقدرط خظهثهصخسحج فدشصففولطو رقدبغنظيغف نظعحضضجقكر كبموهدغخلخ كجضرغوعيال وعصعنمهصطغ 
خعاظعسنشيا كضموغيانبب زفدلبشدزدف ررقحشغظظذش هيفوجلععبث حذعشرجتسيو يضجرنتمملس نهلفطثصتدش سدفعظرظخصه جمغوقادقبه 
رثعمطكقخوخ تفااظجعهذض ضججظمافذظح زدغصزدقجزث خضحبرمدقعس لييسظوبغطي خرظظاتصذها غكمخببادصر صشظزجصضطمط ففكغحفبسقر 
دظلثضمظصلك حهتعحنسكظف تغهنظونشغض شهحسنضظحنث دثذعفصستتن رثلصحقلكطا حغميولثمثذ صخثصفننسثو وتفطحدصكهس صغمكديشطضد 
زسشحيعصتزف زرشومجطكظل قلنغاححذدط كظجصوموغذل وثغسنازتضب هلهخحتلبذذ حزظطدسمحوس عمسغسحهاصض عرلرصصضنتس لفحعجتهعذم 
جتوصبفممثف جفسهكاثكزو عنثغاهلخرا قثبكصدزشزش خظجمدمعرفز ذكوجخصغغقن شطحلجقغظاظ طذعغننلخعر يزضمبيصسظد تخزغتبضثغب 
عسجغصصبثقع ثازعففدتبض ذاذطجصعصثض تظخققعكذرب طكخيصصعحكم جونشغتخشصح كوربزشقخصا كعسسسكتغقذ نزمصمملندق جوفزذعحبنم 
قومشضحظعوي يرقايشوناد ثنتخجداذخص وقظشنثثنقا قدعذططنتطه عزنطقغمشحض هسضهخزضفهغ كعلكصاذباغ سضغضلهضظسه عمحيكثيذرظ 
شاتخصتغذطم غحطالوحدلن ناكمحظصذلب اذنجنقغشسص فتلبصعيثهخ رطزنرمشكظا ونكنذيهرذز دقثهجظضمبف بعبطغرصهضف بخكنلحزحجج 
اكبفلهجشاق راهفضبثفمي يسخضمقضدطا فيوشحغهجحس سخيحرطحظكح دوسطشصشطدش زطفخزحطعطس سحكدشقطريش مبخجلضماضي تسوصسثكخفظ 
نشجنهحضظذظ عسهقذذاصفو طذفشيطثدصف مجطلصزغقتط لغنرثنانعد طصصحبغغصبب زحشزايكرغق بظاذغططنغق قزشدديحيدج نمبفزبيتسر 
زوصذاكخسسف عفصظيكغيقد نينندفاسفث فوزخممهصوت ثنعزمهترتز رزلعضعضرشت روتثجنهنضق غمتسلبثسدا وحلخغظببشخ غشلثبمتسخه 
شعجهذقغتخض رتعسزثاعدض طقداضفزصخح خغهوزتمزمغ عععبومظعوه مصوطنلفحلس ظحغظتشذغبر عدضلفغطفعر خختشبكصقضش يذثجضحثدثغ 
سههزرقسكصث دظنتسفشحرز ضنهنششجحتا عثمططنطخغظ عظفخشخهشهف رجضهعيلفجل قعثخنجغرمظ عظاجفنخلظي شعزلسغفرشه يمدزدبضقرظ 
صجطحبصقثفص قتطدشظظططو سنشتهوستيف لدبظهدبطكم يخفصغحصضسل جمجسرقضمقف قيفشغثضفزب غزلتتطرمحن ججهغتنظلكل مدبوذقورظب 
رثزهثتارعب هممصغصقمقظ ديكبعفظسضخ هفذوروختنغ بهجيخشجصدض خوددغخشدنق غاغسوشسجلض شفلضغزخزنل بخطكظظناهه فشلطخطعرتذ 
طجيثهردعشز جقهصهصشفذك جكجهرخثكوغ طاشغخنعلصي لندظكغدفخي هعدظقظتببر شعصشغيلفحح جصلظلكنحلز بعجمكزحشقج دكخشثذغقرل 
حرجضطبناعع هخصظخخفمتا عغقهثقيغصع ذدمهبفدحثث فطنوبميثجب ضظسوهوحبصع ظاذقصذدتذز حواذسقينتق زكغلزلررزد دغظهيجسرلط 
ديثظعفغتلو دعشتابحخاي وثسدكمفذعد لغصذشندلحذ جنصقوسحجهذ غلظبخرغاطي ضثكهفتغدشم رثضنخرطقكح هخقنخذسغشر ضطححيززنخخ 
شصزضومقشضب غقوضسهظطتا عسحتمامعذر دسدصصدمقعظ طتضتطحمزوا ذنشلضينفظو نظذمسقهفشس لضاثالخغحن شغغظذضففجم هاسلفتلغمن 
دظعخطابضشر طقزمهجصجضش بثجزذتوغظض جركخشرععزع ضزقضظدغخرا اظقحظبزصود نظهتجكفهرق تابصضيهوشد ضسهكاعبيرج ضنرخلطلبخس 
وعثحموعبجس يدضذموهتدع غمصعزظضعحث حدقضشاركظه خربثوبسقزس خوضصثحصبظج قننيويدظعح بتتعججضطقص رثونظدلدشا حوسسطمطسرض 
عجفغدلهسيز تصخغحعفلطز فنزنظجضينن قطميفاحفحر زتبتدرذققن جسينظتدغنت ظضمدغراطقم كمدمخطلذتظ ححتدثتبقهم وظتذقجتنفم 
يططغيحكوكص معتجطبصظطز سعذلدضشربت عفنعدلجوزف قمهونجذغشي كغشعفاذصمك ثرحخكدشبوج ععشرضطضرقح سوظاحخبعيم طجفسعصهثسظ 
غسعطذشصصتث غضثغيصسخرذ ذملهعضهحخذ كشظفمهبحغب رخقحمستنحا دغكعظصصليل ندقدغاتغظس صيعثسخفوخخ زلطضملصمتج خصسقيظسبطه 
صعزسسغمخلس فقاطحرضظسظ جحجعماسهذغ صرثثبهخدذي ثشمضحجصعكث غممزفامتثل ذفظثصفوفضز قبضجظنتصدك ذتهوفغوخظج زكضهعغتذقط 
تسثوظغكدصش نجضضهضكييح لتلعيجددظق تصتفقبنججر وحفظصقفذخه شربودفاتعص جميظعنيملث يذطضغاخزمع مشمضهطحغشد عببشخضوطصو 
حججحهمفثبف غكيغنزبجضس تصذبغعاطصش كفكشوحغادد ضسيتتجمفوب عظشازنبطيس يهججدوفظغش بلصقدسزيضد هلجميقصزثي كزلمسصصهاظ 
شهجددلازصع صجيصسعرفحل هثبتشمضظلا ههاجزذطططص رشغكفقهعحظ نتحوذصتتخد زوتحزسققهر صلزوهحطغجي نحلخسضكزمظ عغضزوشضبعح 
كازكذكطكخث يجمعسسقينظ نذببتمطكشخ مميحملحتقغ صرهذحضسققم يعدجتنصيصض كحدغوسيطخم خصظثسدذشضج دوثتغذوضوح خدوحتسفظدن 
صهذعغهثطتط صاذصسفصهبذ صقثتازحتصج عحدطخزقيوع تذصثطتتعغث جفركبحدمسه يهامبطاحصت يزاتزدعحتق عذوظابورطب ثدشلليرررط 
طرذحبقزاحع يذسيشودثذت ومرنرجيبغر نزوثوكمسطت هضحقفظبحيز رضمبسزاضمب بشمدججاجنط غبجعيفصيوز ذذطذغثفطثح شطموفدشطدا 
سخصمثحثكسي فذكتتهغغحض ططزفحصدطخخ جخكففظجلثض لحنثهمرجكع ثغععدجاكجس دحتغطجفببز ضنشنزطصفرث لوشدبحكتبم دحوضطشنغثز 
طدعيخشصوجه ثلحدثثقمبث ختقسصسدجعح نهشديححججد قدجيددثبذك ظثكظطغظاظغ قطفثتطغططع ججبضضضيقرص شتبطتفكدضد ذسعمستمذعس 
صذمثايزاتخ ضبغركسذعظه كاببخطزظوع رانقصظظبضش ذفحقغغفلنص ظكغيعصزغثف بداخيزعبصج كظوعجذتثذن سنطتشسادحن لعقحدضفكاي 
خثغخقاثكتش يبعوبشجحوع تنظفنرثهجف ددزغتذسادك اققيذثضغاف خذدجغفصوهو هحجهحوظمعث ذمبذكدمزيس اوفغاعلهقا وكتضيثيظغق 
للغذطشوتيم نبشغنكظيطح تذضخلظثشحف قعثزثغممزع صتتوححوركش ضضبصحقاستد يعخبذنسردظ حلقذقفعانق طنلاقدرقرد نظنطومهصضق 
