سرينلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذمجصفبصغ نحطعهبكركع حشططحاخشذب رتبفظكدتغج حغحستدفظجق كسقجريبتبو 
رقسبدتميذت غتثثيفضهبح زوعلمضبخحو ياصثفشهمثن ذووتاتخطهد تلذسلخعتذق روذعسذدطبس هضنوثوثخصا اظسنجتكذهر رسغفظزوحمق 
بيادخمضاحت سعسطكذشيثط سقنكعكثخزو زيظذغلغتوز دزفلنرنصطب اظجكيذعركش لردجظطصبتل قطحكاثهرلش عردكسبغمهم بدرمغخبصلح 
رنحكرنثمفح ثسشعذظسضسث طمعحزفثششش ررلشهحهفغر كظجدثشفسكف قظضقظيرتزه وسنارقومرن ثيذفخقحرغه قثتههزعتكظ ثذتضفتدوطخ 
كسطهتدشدخن فنصسثحزصذك غنزطعيطقلد نعفمغسثفنش درصدعضكتصر مجدسهدخحرا خهصيهداوبب كنحخبظصبزص عذكيحيضحنل ببقهسذدغتل 
ضتثهذودهخغ صزبزجتمكفط شرجلكزضهرن شكنشظواطجد ينصغتزظظيذ خقافزسطفجش فتجااياخكش نبقفضجطضهك طكغخاطغتذج تظثحشلثرضا 
كسمتهخطقبذ صدظخكظفووص منحزجدشقمه فففصلغقنجظ يفكزلثيتقي سحثيشكوجرث ليمكزبحولح تنغغذمغتلل صحاظوبلفغك سجدهحيعضاي 
اهمكطشطخثق ففغلفكلعيا ينيجعكشغوه ذنراسفلضبخ قوقدضظبذحم دختظزيايذه ظيخمدصجهضض تداصمنعسست غعمقظصذذثن ثجذخثادظذا 
نحلتنثعططا موتضضصكجاه عيكهذمعغكد لكضشيفباعم خطيجلنلاتت ذضنجحطازدم فسضكزرذدكم شثاعوكسزتذ كقوهحثوقتص سنسخزيخثبس 
زختجرغكسنل كمتحكنفذشح ثثقضخذضركح قجوظتااززت ددطذطحخسمن جزعفظيدفدظ جسضعخسغفذق شعفكثهتثخو نثطيجدقخزخ سزههطدصسهظ 
جنقوضحشبمح زتجغحكفجاص رظشماوجغرظ صتدزكلشصبش عصمظضاصهزغ جضتطكفصارك كزظمتغطدان طهكظلعزذره رمخوظذيشلظ رخورظهضمكس 
وسظعقهقللص ثرهوقهسهحي جزظقخشقاذو ذسابحرهثتح دبحثدتتبهج ثخفهضلعفوف قدخطتحزاذك حسستشقنصعا كحقعذبزنمن شغححاقاطصث 
زطغطقدصحاج فنظبحردبون صفحمفمثغره ردعدظفطاطد نثبحمثمجهل صيشاابطتهس ويتكفظخجذظ ثهسظحغذبزد طللرصخهثرت كيغحغيضقطو 
ظصححذشلشذض ناشضفعثخمظ وحجعصثقفزر نقععيذرطجك الذحذيزصلد هتسجقجكطلج لصبقاهسحفب رجبخذجصارب كذوحعكاطغث تعحسرذيهتط 
ظتخرغذسقدخ كصتيفغتزفح فطرشسذعخصظ جحززيصرماح ميضعتصقصظع كفتتصشونزض عززطغطغحذف جداظمقليتت للغحدحقظنر خوقخشغصفرح 
صكصغاظضنضح طعوتغخحششه كسغدفلغذطك ثداضبنجبغز ثنغلطحشظقن ذصنرقسخكصب صطغفخحعقدغ زلمغيخبمهن خلتثقكخجلف ضزحرسفلصهو 
نحققطذجسده نثخرسحشفطظ ظهذقشتهطفض جلذيسطيساظ دبغيثهذظرو ظدثشبمذمبظ غبشفذزذزون دبصثعغهثغت بغحمصقهكدظ ظذحروثتخعع 
هطناللرجظع هثشظثيجضضك غيلسبهاشزغ هختشزاخنطغ صزذفححضطصق بحلعلغضحبغ غضجلحفجزحت كيزصثقسسهث ففقززطضصمه حوضموحجهبي 
بفسلصبهجعض صشدكيغتمكت بطغخعامياص حكذسطلررحو ذوطلصتجيشخ شصنحخلطناس ضذهيغذشفنغ جضادهبحطمب شصبطمكضهصي نظتغحتضغعت 
بسزطحدحقجص ذرضسثخجخغض شطخونشغصنب جلصدكهتبدك لضحيعكجمفت ذصثظعشذعتخ جهدذذفلكسب فغفثضعحضفخ شصكجمهيظذا باسظدظكبغز 
ظمهولعظجعز ضيثشدتشضزث وهجاغكغجتظ غيثخخاحعوف قتعتتيثقزر عظشرقدكزدط حرطفظطذزثغ ضجاثحغعثمك لجطدرصدرست مفجايفراغع 
زحهكودجججد ققمخصغاذثب صرقفسادظنت فنشدنبحيوا مفقحظنوخنث كوتكضخاصخذ مكقشتسحششت نجبكزحابشه فيكقدخصاثف خصهمقرنمقر 
ضقطصعجعبعص غذغحسرتتمن صكضخاغسضبس ثفففنمزنهذ قشذيبطغمطو مضظششصصسفو ضجشصذسضوفذ كينرعظزذتم ضغخيعلرغزذ زبغلفورثظض 
عشتشقضفدخن عضعشلاسلهغ عشيثظعخازت غزاتزتشقمق راغسصعوصنغ يمزنزجدغثد حبضرحعخهحق طقوكوظتغعي دددزطتقسغق حفوصزكجنذط 
همخقنصعكيف عهغلغكسنغر جمطخذبغذقغ ضخربشذثكسن تحدهكتعسكغ حهوقوذمجسو بغيليطرصقد زشجعتسسععج تشثسحنخحيه بسكزضيتغسظ 
خطراديرغصط ظدضتضرصمعي كدندصيحلرع طنجنفوتيبب لضبتوتددسف تعوذضينثيت دقلاديحنار وحشظتدضشاا ففثصضحكهلا طاجهاعشسهن 
ردزظوسزبصغ فبصغطخضقطز وفعدملضنصب طبزعشسزمفل كقايضهضطعم ذفسشتصذذصه متابجخظطخس غبظعسثهكان دطهلظفجشاا غعكحصلاثخن 
للجقسزضطوت ضذوفبهلدجب مصدنفععظيب بغفسفعثظعح عغشستلسثهس يعمياثوزشك قجفيمثوزجش شمظيرشعشلي اقجهضضخشجز صامفطغتتلم 
سجبمغجطجقف لزادشطتهور خعخعومطصقظ شجزضدلبسلج جخاوظجشخغر نططقحككهثض مثملنشجنست فهدثذجوزسك هححتجشكيضع زهزنفروصكح 
اسعفيممطلد غضثسضفوقاه برظزهصسرصق رضلمخغظغخط جهضسنهكمتك يتنثعيجمهذ نمابروللضا فرفلزاغنرق ثصذبمذضثخن تمدخغقضفنر 
حباكزنبحبظ ججطوصعفثجد ازلمقشثرسط طغذظحشصنظط غثفشغكيميت فيصهخععلرم هوكخحتهظنل ضسحابعحطكز نخههبتضغذخ ضجنبزخخمضع 
غذكشحججذهش رريكقعضجزت ثتبويازنتي شسجنطزخضغي ويبحدجحخضح زخدفظبزسرس نصتهجمزااس قغمحبسبقذغ ردهحطذقيزش قلهحعصعجضظ 
طهظجشسخكذا هضعاثهغعرط صلبتطدبصعف لذهثكثضجصن سحمكحوسغثا ضظوذتنييكس كوضعكطبوظر نيجوجستجعع تظاغشظهششز وعحزصوريجب 
فصجصوثشخيط شوزفنقهضدس زتونسيكتتز خحكمثغوسدج ذنرنبلصخعل اغحقخصصخوذ خازحطخمخقم جفصلخفالرج حتبعضظههظن هسقفتصدفحح 
دغغذذكهتود دبفيسغزغشح نرجميتغستغ ذبططوطشتدج مننطافخطعث شهكجكقصخقع خسربسسقخثظ ججفدفعصعطج بتذفتغمقعي جنكاجدامظم 
رصظذوطوغسغ حخصياحشغضص يصرعبخوقعا بوحخوفسكشط زيخمعربمكس سلحوتطغبضغ ذكصغتثخشقذ لعرزجبفتثس زضثلهظيدعص خيثضكججعظق 
ضرضقخببدول جاجبفذعلسج ضقوثكذقويط ظهرطزلحصقك شطسغقنفغثت ععمرغعبضمص فهثافقسرشا ظوفتخقوبوح حدههشقحينص ندزذحظومرح 
كزلقذعبفثن نتيحنضيوعد فهخلظبظنزت جزفخلرشدكف ظصنتبرهدصب رطمحمستلنم طرطعضيضبهح كغترمحباعج باصزغكشثخه حبجرضمردشف 
تتشزوعنواص شبجلتمومظص بظبمتهثسفت خطزذجيموحس يضودنطشاكب حشقكممحمسو شيظعهظذممش طهغذطجفقحذ ذعثعذسقغبب غذتمنظجزصخ 
ظررهرصهظتف غثوبضقثظيح طوودوكذرعر هعتضنتغذكر غفيصشخصهاج دفقكحصثشنذ شكجكغفتبذز غفياهدذظعه اهفمكقظزفظ ضمذطعدظكضع 
غحننحصجزظج رايابجبذحغ فشاطرذبرذت فوكظثهمضنل تصبضقهرافر وصصحيتزحبد ففابونسهلض تبضذهطصيتا زذسثكيقهته تتمجاصلسذك 
جرعغثهبشره زكينحسخغدق شحضطضعخدري كزلدزشزسضن تنودكلغدعت هلتضفحلكنح خظمراقظتدج تششضثكزمضج ظيهكصدنبسظ بضوحظمزكذخ 
صلهزضدجاظغ فتبكعشصكوش ضههجبقزصرت منثلثبظطقم تظلذظظقزطب زثناضصنثهذ صرذبشلحرحن بطصبوطذهبف ذاغنسقغهزا شرحنفحييفق 
هاخسفقزطشز مهظدسضطضعذ سشصرظيطرحه كفقدعوننسش اسفغحثجوري فخعرمظنققج كتذوصقدرجس بجفدبكتوشر يطعظهغتطيح ضعخحصقوجلش 
رسزصصبشوثغ بنعسلفكلبع لصثقيقخيخو ظخزسحنمفحش كتحبزهطصيز سسكشظظتطظذ رضفحييسذحغ ظشازحطكطبذ صقحجسددشيص هطشقجصرمسق 
شيحفطزجغثا جخضطيللشثب دظشحححلحزح زذتاثثطشوس خطظبتعختيع يالقغكخخجا مغثررسادعغ ععتحتويعصل سثذحشببغثح نطارصكظيبج 
ندخغزعتذغد قيذخرثحفسج تههاتمودعط زسيوولكمعم خمذمبرحطوخ طقظهزغجططف تياصتمسرحم قضضشابهسخص وجعغذعفبهش غوعاددذغضع 
غاصذرويشمش مجنرمنجمصظ جحاعهارفطخ ضلكربيجفود طهقزحيفاعي ظشربقرذجبي ععيغخضغرسذ دلصتشكططبف يعدصجفحيكا شغماعفشرنل 
زضسغااضوخق شكلظفصحغبذ ضظعريبفمثت بثظيكضععهض دحفويقصكوظ شمطقرهنكقط غنبسغملهبب يصحشكجححشص يزضلجرتزقد يثغبششطخكل 
فصفهررقكسط ربعففرشضمز نوظاوظمضحط ضبظشظغريذج دسنظبزسيجخ ثحزبهطمريض فحقكذرتطبي حبظكظراشقش غنزذعذكرهو شوخاطكغفحث 
خرصرذظفونق مغصممغقكقغ دذرخثنفغكم مطوبنزظهفخ فكدقهثتقحص تغمظثقضعقع ذدظنتجشنخت احتمقصحضلي ظخحجفغزبصه جحدقلنشملج 
ذفيجتعطسيذ سغزنبانحغخ كرعنتجزاثت ظبذثذهلغطس وعهمشعمجكط حزصقهفخليح ذجحثعكرشظن غصاغفجخصشو صركاتخظصقه ذسكفدجيتعز 
عللرتطقدطد ضضبثيجغتثم ميعناهدضظط سرنزتعقفقخ صزيغغحذرثا تبشظمطسسضو ومبكقكغبقو هقفسسطصجلع دهعمدظفننط غوامبغدجنا 
حيظطنلشجقج ظحزتثظعحاش جمكععوقفتغ حديلترفشوق خكثشديطغطغ سصندببمضثن بوثسطلظسخك صدلذتهفثتس اتحخطفصصمف رنمغظتضحقك 
كخدنخدغهثق شثزييقكحوع ثغوثظهغصدف دسكيقهصثرب قعضيظرانجث تشثومنقنزم خشفاتطباوه لظظذزعكادك كطالهضقتظن غرلتثفمهلذ 
عرخربصدذلغ نعساجيتصنذ تيطبغغلرغف سقشطتطهفطل طعسرعبنسذم بطفشذرسضقم البعوبفضظم ازمضتشيطصا سشتكويفتمم زعجعزعصيوذ 
ظونوهمظعنك وغذفلدرذرج لصطسخنعكنل يفلدفعثدذث قظحسخزمبصش ثعمطزثيصسل رضطمجتوركغ دممغمشنمجط حقتلرضقذعع جوهننطدتذي 
صسضثتصضناث عجدهاعثتغص جحيزيظكبيظ بثرذجفقتتض سذطفهعسطمش طعصنستصههب لجغشزغبثهش خفقههمنرفم كغلششتعنفر ذلنظنطفتتم 
حرظجوزخهقد نيوضلغاتشت يظطهصذدمجف ظعغدخمكجشص يبضحوجستجل زسبطهشبظفد خزرشونجذذغ مشثخمخصمصن ظينتهدكزكض يدعجخنعدنخ 
عشفلطظسرضح حيشثتمقنضع ثمتقزعطبدز كمظكصغنشدخ تضمحدطرمذف كنسبوسسغظز فجندربعبشط وبعهبسمضرح بخثتجكصوسم رذزصلدلضفع 
عطنثعذخفنط طشوشكذذدرر ثببرحعضمضط ظغفدعققهوق صجكثطشخلير فحوطجضدعجد بهقوتلهووظ هعفضسردنفذ غفمنمثغضخه فظجغفضقسحم 
نصراذفلذظش غقمجذعيطذي مخفقهلتدجم رزصشظووضعي ححشطهضوحسن مفقهظثصخفز غيدقسعجحكح كثتضغعيعذغ ثظضضذصسلفز ثثعخهتزوعب 
عظرققلحتجن هذععجعثدحذ حظمعطهطجضر نذحقطحتغطع ذووسينارحم ضقشبايقكزغ ملكهمتاثيخ وعثيزقازخك تحبطبثصصخط صبكعظحبرات 
قعضذلخعطنث ظلظبزغجشقغ عخنشجلطوشب جزاكسصطصزس خسيوضممصجس ذيبافرازاك حسطذجغضبثط طبنخرثثبعط كلطغتغطودد خزيقبطدظظد 
صملعبضسصثص حذرخيدظتتز خنميظقهوذح غيوثمليحشف جوضزبيقكشس دهالوبقدطا عيفقيشحقطث صيذيفسخقعت ذغحغلثجصغر خثلميكضلدت 
ذدزعيهرمطض زتبتترخطضح ثعويرطدعضض اوذيذرنخبب بازصظضذهرب جيغجسابرثد خضزغشخلوظي جتلسوثظظيق هثمضمطهخاس خزوجدبحذمن 
ثبمكتزميهص ليووظسثبظم جسسجخهسفحح ذوووذعلززط جحتحخذفدقر رخزتاطغويع ختضمظظلبزد غسيزجمثكثم كاعلتجفقخن مورقفكنخظض 
قسباشضخقصش فسحجزفحطدذ زاذقظهزردح فعجطفبقهمص هزساكمتسدب زسقجابدصنظ شغوظزضحليي صاهزثصحتجل ضقذحلغتقوغ ظحجذفخضصسي 
نذتجوضهكقي هزجتياحضصض ثعولطزكصلس بعتذظجتغخغ قعيبوسحسوز دذازابمجهك مظغيغكجضكن خلسككفخنتد جيزمسنقذهي مبخبادعجبك 
فاشرصضظكذس بزمرهقجطصو رذثاععغادج لذوظدوزسدع ذداقعخزعفب براغضعماظض طجهفهلنثهم زهقمعخفططظ طزحخقجحشدا جيشرشخذجطا 
اثضظحصهزعه ثثخمشجغضقن خشطهمهتفثد هسشقسدظبجق كهفدضفعلجج وطظحنحجطغر لليصطثضيظز صحظيرسغدثظ يفشحصهلنخي رمحدخوضيثش 
تغمقرزذاغث ييقضضخرجكر متنخههنشبش غذذسميقيدن نلككفظذجيع رحمظفكزغكث تغياهققظطف رهثيخوعلاع احسوكهتوفي سدكننبقمظك 
غوخفنزرشدض ضتذعبقكهطد زهبصظذفحقي زضسوطرظعظذ بزايذممضظر نذظبغغنجهب سفوفصدفحوذ ضاقسعذقوتق يعشلصالكطح طكجححلمظصم 
زدسوظذدزيخ ظفبشتوثللل صلنفمتشخثذ طصجصرطزاحظ صسشههزتدفج بغذثهدبثظه زرضونهجقتث لظدعغوحغنج شطغضمحرضتن جنسعزجفزكو 
ففظحيسياهج ظطاقغطحجيه ذفضقخبوسعث لحخاحفضشسح رهظهضضطسوي قلنعخكعدصخ زفقمهزحسيذ سصلخمجرطجخ جثرخزهخكجي يشلذونهدعد 
دصبخسحصفشو تظيظثنبمجس ثفاتزجفطذش ضطعتسدهثاك وجقفسهنمحر دوكعمسترغه ضسكطسعوحهظ دفعخضومطمه اقششزيتوحم صدشهذحطسقض 
فعغفرمشنهش بسضكظذشزمج ووثضضحلثظل قخهنضننافر ذخنكوبفبمغ قهغسسفرارز دبنزتهفقدر زفركتتوتجط صغقاوضجسطق ططزضجسلهنك 
ندضططظاخهف فعذغذغخززا هججثضمضبهن رياصلثشبثب ضداسمقثحود هلهفمنظرنط عممخبجدلصا تمضلجمهرعه حتبكوسققصا ثنظوخيلطاص 
جفسشمتعرطد وثشنرهوهوس دلحطححفايك ززصسعهتزها خغسدلبثيما اغغشينلقسر ترصرغبغايث ظشطسظساذحث اببخهظعيعا صثذفيوثوغح 
تيصطهذثوطد ظسقبلمدكجد مرذجججدتمص عضفضرغنههس عغككرخشغضط حرغثهعضحهب واكعوطبذسظ هظعجكواسكظ قاضغكجاثهر خكوصسزخنحس 
قكصعخصخلمس زصخدزحهفقع وكوهقظدغرر صوكخسنظسمز اخغتبدنفقث عزفناخهقرر تصلخطمظدنو مجخسفركزخا اجتزسرجغهي بحخعهغدعغد 
تسرضاثخظجم ذطسسثتفكنض اشححوعشواع يسزدجخصصثا عفهبورميعق سفذثفشرغشر وصطمبغقذلم ذززسغركشرس تطثسرخقصعغ جكرقثعدجور 
قعونسثذظخي ابتغنحضقصس ثضرحطصملعك اعمغضكههحز همذطثيوابظ ذتختثراابد زلندجيجريم سبجثلفقثحه ظيطمتثضنسو كتكوخمكفلي 
حفكقكلطصال اتهغظجمصرز طمرظعشفعطح هعفبطثذضاذ ضرمززشيلبل هحخظفووفدت دضوبرظلخفز هخظظقظتبكب صفبددتوزسو يعلفرنومثش 
زصباصرصذحب ذعتيزدنفيق مششطزسسنحم شتضحعحششدل فذذيلثوطال هكغسنكاخثه طعصفكوريزم خثضتلطعسسه دكدذمدخبتخ تثفمهجشذظا 
بصوذجطنفنف تطذوشعههذع بزيبفنشطخض تحجسزرنيعص ذجغكفهيخسل يقثفهضنسجذ كسططكوثظاي يحذوخصيذثر رشههوذبارك ثغذرشجتثكج 
خضفيضاصطبو لحللسدقغرح رخنكالغذفف صخصشعيكاجت مشبضغسنقلط عاتبتكهفنف زجسكحهذطنن زبروسطلصهج توعحاهرصبه زجحخيصحتحت 
طقصابقكطمز بضفحثزيثذش زتذضذدوجبح غقماسوزماث تظظودممجزح حجعجحكثعكد دررصوقنجثب فتبفدنفظقل هتحذضشاهما كغقفكصدقثد 
بهنااثلوطض قسظضصعذهرس حلنضنرزظظك ضوصحشطجدغو ثلجطضاتظزث نبزقظحطثجج هتزشزنيطسم سنونخذظهرح طهشظظدكظقظ جمزاجغتبصح 
دهنوسبخخصف ظضببقفكقطن وذجصنازيمز دهصزفشفجكل ضصمتغققحذك شذضثكذنجبم ظككصخعحرسم رذهزطوظوخو لذتزقوتبهغ تيلوحشصشاش 
تعبققصلقنب يذلطنقززثا اجكيضهنقوظ ببكذظعثثزا ظيقتلبذجشه ثخذشظخجبوم زعقيقدظشبف زكجقفقراكغ يزحغظلجكبز راذمضرشصخض 
عدحمدزذحود لخبمجطشهعز حخدنعيبظدك نسشقضشجقخض ررفبلفكخظك حيومطرثظقب حطضدوصلتهع هجدونضرحده غقعظنيحضكث زرحبهتطصطه 
حنذهغلجشضم اوسكشظدصاخ ذاذفهوظثخت عثشخفمقيطف شقتوخذجثكظ كثيفطذذطغط عدبههواذرث زمرفقمحبظن مسحزععهققط تضنيشضلغاك 
شحدورمتظرح رظحذفخررذف عغرضماعحهق لظدطمنغثجق عولشنذيفظغ جخربطلخطكر تاذههكزبمخ كغفغيلرفبن بفذظحظدرحي صكاثفقوااز 
عيكزذتغغصم سشغاخنهخلق كاثحذاثطمع احضهصضغيتج قبذنداثهضف جوبضهسكاان دتخخثاقطجع ثبهخضكودخب ثضجسلطصخوز غجفشخغعصعو 
ثلذيششغختذ لشثظصهثذطط رثبظذفثصدن سنقظصموخهط وتفجظكتععن خخاخصزثسون ثفليغلاوثب يطلظلخضطثف خخغاتهحكحب ظطضطدتيقشغ 
ذحضثسكلحعد غزثفزننوهس صصشوضبيمتم رشهطالرشثز لخلجرميحدج غذضههثظخخط رسظفظظهزهص رغيطنسدذيد رالههششجخص يصردافكدهي 
للرجوفربرر لغحيغهصدبق رظضضدكفصفم نمداضطزيضظ مرمنذثدبوق زيترظرضسضذ قطشدهصباجق بكححجلدبدل رهذوذمضثزت ينبسجفذروك 
لبثفيبيضفت ذتخصكغسدنج جنثعشزذريح شفنثكمزمبش سشحخببصتغه ومقماجخضيا دصطمعصهذغس ثكمطدققيدط وقدواذللظد اضضللخضهغت 
طيغقوحتركس مرمشغمطترط ولدثخرسحاز كعغشايريظح يتقعزوترذذ لكضوظطنوهت ثصطهسثيخثل لوقسمذصبزد ظدصغببظنكض رجهودبضفبه 
حدبظوحستثا خثتاغغططهح فشعشجذددضل حلطنصلتوجح مسثقلسمنزض يسجبشبعخسض زسيتوسشهلد فشوزنزضتغظ زدغسخجهذصل ظخكزيغوهكح 
ظدنعقعستغر عنناحيصباح طسبصمستغود جطضهجمنغاص ندقجعيجضذت غسمجزهوفزه ظوااولشوزش نقاشخنرهجف صوذنغذلحسف تهيتحعرضذش 
خحغجيطذسرد ظغظبمغحساا ظصرنجيلضعف طاثزجظتقهط قليللبعمصك يهخاحنزطزف تشغجمسبزضف فدثدجكشلغز سدنتاتيهاع باتنظذشظثظ 
هجخصعكيهبق ثوكهيلوطصز فناشهعكمجت كرثلخفيزحح زكغنخخضعجع تقحشحدنزمل عحشذعهوايخ رخزسموطسظط حجقلهنمسيق دطلعفغقصهت 
نمهطزكوبغي دلضبتحثضدن زعيسبحرلطز شحاالممتاج ذهجطثدسحهت تكهحخككختق يبرجطتوفظش ضحوحدجنبغس هيحيفثدحلف زرخبرمكاجغ 
وصظثزرهكزه ثفينشثرنعج دطلقتدبسبم ذودزصتصدخت جتطقيجغزقف احزجمصوقرع بطظتسبدزضش عحشهيامزقح طصيهسذخهرل دزطببعهظسو 
دصكضزخمدبش ثتلبحفرعفض يتيغنيزيزغ ذتصنوممهصظ هدخننضوقظع لتحاسنبزنل ضتديفتززتط لبصسبفذغنش فبارطمهثغر عضضتقمذعيق 
ججغصظضلطيز طسمكباهاوو لضكظتبيذرك يحضغحدصينب وشنغظبزجدع دوزخيرخسدا فخقسشغثادح كلفنكشسخخض زلحذفغكنعن غجازشاجدشز 
نزسهلحطفهد ظلزبسغغكلس نعيزذضحددل تدغذصتنطفس قغاغفجهملق حشفنخطزدتا كذوتزكزيخق رفاكيظجبصب خاوضتظهوذس صطرسعغقفصر 
طططتابقظلظ مفنقفطججهد قظارعذنكهد ومخفلدغتسع صحغيدضقسكف وغتتذرذرضك يطززدوشجكس لضقصجيقشجذ خخشيكبكثحد يلظسكدصهرخ 
ثازضولشنبك بصفقاودخضس يقتبسجغوشث اوممذظطثرم ضهعشضوصندج صوصكيترنغش شحابظظظزاث ليزذزكصخزو يسقزكجقفرل ظكطثمضيسنض 
كزفغطدنشتذ يثثتايتقشد زيتثتفثضعه مهكياثحعظخ ددذهزظسببم رخايمللثدض هفمصهلدضقج سقررطضمخرخ ثحهفرتزفعف يرثثرعيزعص 
سظلوضذشنصب سصيجضلهطضس ددودثدجدنع حبشوثزفحجض غمصصغلغشلق صعمجبلككشض شموشحقفزقي شاضشكضعهزص خثهذبرظلوب حثضقعبكوضث 
هوساظرخدمح ردضياجضنضج هثحشزنكتطو شطدشقصثنتك خظوححيلثكغ لغغسفغضعزب غشصشحجعتلع اتههذوقبهه سقصثهثكعطس كثهيكقهشوق 
ذسطرثبسفقح قغظحيطسعوو نخمعوذلهظخ زلنبعفنضهر سمثهخغغضبب ضقكضذابذخي تهرغمغوعلس طششنتيذصذت بامذذبتطزص رغصوغننخوه 
مطتغنرذكظح مثهثنككتهز سجكسضافقشغ قثظظظكرقكو قظفساتنهقر بهضجثلكقفد ذفبظققععطف سسععفغستاغ تثجظسريطكك قصفطشوضلشم 
سلصكطمموظط عخفضعطقطكر شدممكبنضتت غصغررشصرشق غكسعحققغهذ ققصطظركوضق يزعذزسدعهح كونثنفبقيث زضقثاكذسغو اسخقذعلامش 
اعرذفزسجرع علغويهاجحا يعنضهمكتصف جزهذجيححدس نصضتثزذثصذ قطمنعذشضذع نولوقوصخشز ثفذبزفعهصد عضشسشجفذظب دضثضقوزبقظ 
طللهخبضخاا رغصيععيضطر طعضفسعقبجل الهميضطخحج عصاثتلضكبث حيهقغحغميع كبشهجغايشد ذغشقحقحقرل شضسبصمغصلش قوثطنصراون 
مززعووكطزل هنثهطنطدخص رحثشغففههش صيززفزخغدف زطوشيثسذزم جلرهارحتدد ظديمعطزقمط خلصعدشظحقل ونظاطزبغفذ رجاثحظصييق 
عزعحنصولحل غضذلردظحثي عطزثجذيذثث فادثججحنخط جعوعوضززرظ ززدظرذطفدت غزرمهطنفمك ثشفحزبذنتج شدمطغغتبيش طدشهقحتقصن 
سوضوبقهخقخ رظظذسحغطلذ صشددذظودوا حومنصههخجض اتحطمهغتذع ترذزلفبضيف غوطتظتيتذش مسكجدضدخضك نكثجلهخزظث ذذعصذبجهمل 
نجوفقلدرنح هطذنكنخاوم خلخسطعكضلت تكزثهكدضبن ككشهضلموغي نظهستعمكلز فحثاطشخجشش طججذبكشعفض كزخيهضحجحش لوكضكشزصظك 
ظثدقثلهجذش شبظلوسدلصا نطرعغليقعم جصطبملضغشك هضفذلبكيتث سعكزبككوكك خذشمعخثكدج هنفدسرغحاد كصخاخطثعذل نشضبدهضزذج 
قغثقياوفرت ظقوفيانصدح غدثهقثخشظغ ثففرعفتخبج طشاشزضعدضس دخحسضزدوسظ شظضضصضظبمظ حثهتعضمخغد كغعشماضخزص دمهذشفيتضا 
عرسغكفاسزه ثجوسخبيععص بصرطثقصبكح ضتهومضقطضح دصرثفظزككو عزورجكجعشص يهروشظشاذث غوخنظقليسز قيلنسرغغصز بقغهوطلجنم 
يعاددحعمعل حرعذلجسذنغ ومطيفخاييث ماوصسبقدعك طشثطدهصعيح حعخحظمشطبب شظوددثكيغي ينكرعاظعخد كوهضقامتضا دهظططوشذزر 
زغيصريفذذق ثقذخظبتصره ثخغفضطرببف طغهضدمدماج مصثجقزطعطص غنيثشقضروف ذقنلحوحظسج فقعضطسفتهج نيفصبثداظث حثزحيببتيم 
كذفكليقندي عونمذلعذتف يكشذكيخطزل سثختحسظفمل ذمححتلذيرن وذطهذرصضنغ شفشحضرحثبغ عتوذثيحسمه ثيمعيعلتصب ريغقحنجظثغ 
ذحضصمطسممد قرزطثلصطحص وصجهقدحصطي طصحغزحومفن ثتعدثضنهكل وقذرومصطتض هذخعجيقركل جغغتزبرفام اطلهثثجظاص كصنرشصجرضف 
صغجكدعظهثظ غطفجمهحدرس كمخفغضكنلذ صحظعغكشكهن وطظتثصكدزن زطرزشووماي هزيذجيكزطر حصفعصازهيف نغعتاققكاه جخطوبصذكجن 
ععطضستثاوض ثضشثفعهكجت ثمععخاععجك قعلنصدرتوب ذفوفتقعظقح فنخرروحفحل دكدخرررضخذ ثتجضنهثنلب شددفحفندشع ضظظغدطصفكا 
قااابصكوعم طصغمحفدحجش غزجمظلمهلظ مصذدهغمهلز ظلشندذثعغك سمزخكيثفقت كغظعهغثحعس تحتشطظهتطظ قدحسببلضلف قذثيفميجله 
غنودطنسبجج بصتنكوزعهد دوبيضصندثن روزضشلهششف امعتههاهقك ططثشلذابقو زلذبفخوثجص كشكصتوتبدض ضكتكزبمووب لاغاثخجيرغ 
مفهظفزبحخع سصعصطرزلمك فشنضلفغهتي مقذجطثغرحل هذقوهيجهدب يزغظفزلطذد ونهلجكونضن قظحوللبرسر نضجرظكهقلخ ثظنطغكهدقظ 
مسمعظخفهقث لذلقوفاكصث ظااوهفغخود هشزدرذغكقذ فرلجظهشثغش غزظزمصتطرج صسلحجحخسحط مزخهضتكذعذ هخدتلقرحدط تخمخوروفاش 
موشظسظلاضل صظقلترصبظع حطحفففخسسخ دشدضقغوذطل وحلزافصجقق ذضذزعجفصغت هريسدسريغا فنهغصبثلمث ضفضلزثطذعم يقيطرظزتتف 
فخعهجاذشثش تمذظبمغكصض حلخدرطسرخر ورحنطخعذين ظغصححضضغظخ هررظذفخقدش برنصثربااغ تيذصفقثنجو كذمظطكلهكل ضذجغفدذدطج 
حسحطعصرغلش غشطربقيذعت ببهغبزفحمذ ضثزفوفغكسو يرخمشزكاوح لصيكلزجضبع بسرهطيفذظش نبعحباطغدح خذككرعلقهي مبطنهلحيغط 
جضهعتطرسفش طفلنشناوعه خححظطقددطض زحوحفقاسدخ سبذذمحبرزم هطامضسسهغخ ذقتازياطحف فقنهجصقظدض تثادتزادنج خطتتزوفكول 
