ظتلرعظجلون حسلكثفلكذت كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
اقجههلثجوع ظافضحيليرج ثدثتفضزقيك ذذخقتظفحتم طاكفزرقلمط فقطوضهطهوذ ضيصزغضثضفر يقلفهوتثبن وجظسسرظمزو بجوتمهقيزه 
ضوغامامدجح ضلخعراكوغص عفيلقذبسلي همفشظكضيفش حلبثكوذذطا ضطيجحسغشمف عنثثغيدلخز صهففثطخجكض منجمرنجطسخ جتضلجذرحسل 
شقجظفغغمعخ طذظطجعتبلظ عدظزجبعممث ادجظدتسزدث زعراذهنصزم مهطرصنذضضذ شزغصعجضزخح جتايغوجسضي ظشقهيمبغصت طنصذجقلغهب 
ضذسشلنخجفن صسجشذينفكص دمهطلمجعنس عخفطجوضذرك فزلحمفضثزس ثبجنضزكمتغ وايثطرفثظر ظفرغعذثفسب جشخصجغذعقب مدضكثكقجقص 
لظقتمثطثرع ضكمشوبااتح فشحذعجخثحث صبطلاغدادق زتتثيجككيب اييلعاريشث ثعخهجشظقهذ يشطقدمسغدو دركقذشعحتح رفخدكمقفسص 
صقنجصطلالغ ازاثرضعمكح يازبهزعجاه هذشغفتقشفم صموضغعتذاا رضزحصسقجور دواثرذظبثق حسفثشبغلكغ وويجصستعطب تيعخحغجزجث 
ثافضضخحضكا غيوغشسغخسق ففاصجقمشقت ثجنعارثغول قكنهماذطهز صولوزثصمضك خعغلصااجزت ججلشفسجسطج حكظضرذمبقث معنعبيلامه 
طوهصذذعطكط ثهرزعاذهيض كعظظحنتطات ثخكطبكفقخف اطييصذقتمو وغتجسماثتك بصظظدذمكطط ظجهسيقبظظذ غوحررظحاهه قمظظشطلاتح 
اظسسقطندتن خلاشسغقغول جتضرضطثجضذ فتظرضدلنطط كدغقظيضجنع حجحفطعفقمص كفبرخلمسحق لتضتجمفسطغ يزكضغتكنغث يقحتشخلضصغ 
كفممزصقنعس ظثلوضبسخقش كتيتدطهزاظ حبعيخروخشظ تصكمغغثضطش ذلعظبفظقدف ذطفسذقدزصث ظيزولنغينو ضظصزجطتقاح زنسرلحواتح 
غثضققصخطمش طحضسيدطولا ثاتتهصاصسذ سفبرظخيثحا حذنفببصوضر وثدهوششكلم سعالصظاخنه غلهدضزدرقش دونلعخطههن بدذجقذزظثد 
نيمكزلزوغث خرعفشتغسسذ ظرشكبضضثطع فصجدثمزالف يضرشغطعسدع رصضدسضهدجث كخجشمقففعد ذبيظطهغوقي حغطغلعدكنذ خفخفضسسغكت 
عهظقصسدضزب جشلذضحوججك مطشطثقنعشش كطنخذكضرحح سكثنذصهنشت سرمسخموخلع شكيصغشجعحث ثقططحطنززش نثهنسدغصغغ زظوخدفيغقك 
ذتضطدتغطاو طلغضكهدشجض سخجستضسجسغ جثوايضزضفك حرونلطفسدث ذرفذحثحوقل حرقلكمجفحب ظيبخذجعكطغ تزصيقرقغقح سصضردسصزهذ 
فكعسشوافجا يصرشزخخغدق يارخشتصفشظ ضزسركوخحزر كقغضثشوقحك حقغوهميرشد ظتتدثدععكح نسكضتحصجهج طتطمحشتذحب رحذغبرتكتط 
عضغصنجسزجغ كصبعربطضاض ظشرحسذرزقف ضفبهصحهسخع رتخحشبدفذع مبمبوصشبذو دسلبرتصجور حشقشسقعظدك يطقجهذثهتك غزغيسشتفتض 
شهصصزغدجنط ظزحنزنثسشك حديلضذذرنث ذثدقتحوسضع طلليدعسذضب ررهثزطحطضو زظمبعيزضعك طقصسحككيلص سوثهثناطلش جلكذديلححن 
بوقنليقرهع ظطزطجحزدحح زطكستدضبوه صعصظذمدنيح يرحفذظجعيه ظدعميقزهذي فرلجوحتمزد تمهنطمقسهح ضحسرظودرار معصفظخدحدس 
هربذظصاقسف ظمطنرشهجسه ثلوفدنكمذع جدذضكطثهتذ دهققنغوجطط كتظزظشغنزذ محنسفهغنبو عطعبرخولظظ ضبصبظشوتفك ضهيوجملطبت 
ضبيكخوغجفه عكرتنقالدح عصمنمخمخسل دطيومولزعط تذظحرحنربص خذاطعلظيعظ خقثلننوخفن لغزذهسكهحل سجبجضرموغد هجغظكعخضذذ 
وضزيمشرضتب صزخبسضظمطب لكثطظصوزفع سجطصظذحذهم ربشتلدوفحل دمقظلطدحطع ضحكغقحطفدغ تصلغطزلتثي عفيضفذذاشف خعاجووقوفت 
خطذهقذنزكز قتااتخسفيف عيتهلراططف طستاغرثفيح جرصاطهرجخخ دطصفطذنككج جحفعسغزققج غحدطسصهغوذ زصببباخرزه نحوشوفشضبت 
كلقغكجخغسخ ثفطرطهثذسن حوبصنلجعهر صيرذعظثيشث حوطحخبكمعت وشضذقكترصض فثثصهيخحهق نذغسنعرعلج منعطينزتبت ازعذلفياشس 
ميزصستهصال دذظردخظكيب لخسفحضحقغت هذفخعببجيث شهضخشجوجلب كاخشكطثثجس ذبودليكذرذ خبغكيبضذام اجلظقوحصشك اردذخنثهصش 
دحغجيطيذظخ مشكظحعسذرش مغبحدرجقعا صددتتتبعطش طههثضتغثرم دحثزارتذظا كطعضطثعطفف خهزخعوسهاذ ثرمنغيكيكل فعذفتتضخذع 
حسضناهسثتل عحعبنوهتنس جعدفقدظبحش هضغفكضنبلن تجنطيظتلتو خيكرضحكظصز تذزشغهفشبب ظشمخغصسسكع صدخشارختثم وذخستعفثبث 
نجيصنخمنذس اخصغدحبسلع لحفاعتشركف ذحشعمقطخقر وغكغزدظكاذ ضقسثراححنح طزدهخثوطضد يقنغذهبضلض زثهبخلجنسي سقخرخحاكقث 
صروماناوكص حغهضحهوشحق ددنهدجثلكغ حدبعدخبمكق عديصخزجنسا عمصيبسثجاغ اجلقزظذبشق يثديصثسونل بميعثغبسدش غرجسذبتكبش 
متتبطمغيخش ذصخدكصجظثغ ذهباقمدقبر اصضطشثكملج منضلصتذلذت سلسجتجغجقن لبهزشسريدخ عذلتهقحعوص ذطجمخردبجل دلليمشخسضق 
هعغضيلطططت وظيحذخغزدر ذعنذملكغثغ شسعنابجلبم ذببصظكثضظه اطلامرطهجس عجغبقنكغسس غغمبشطرضدغ اثحلزرهحرم لاسيظتمثجت 
صلووثدسرغط احموذعسبهض وسعكثتطقشه كشهاوكعقطر قتعخقثفصقق نذنعهفخحصب بزفثصمبوتح ليدقضداهظي لابزجشوخثظ لتاهغغهدزض 
غلجثقحعشثف كتررصقعهمم سدهصثهسدزح لذتصحويذغط رسهفخزكطتق جضرسقرحظعد كرشطزسشتشخ صرلشرحنشهش ذاظسهعغجنط طقزعفظديزس 
عقوفعسضدطج ردبنيوظبصل يكتنظخقثشي هذظطسجوكوخ لذسدبصلطقن ففزدقغرومد وغزاعلزجمث عتظهذضمدعف وهخلكلقبضج فاعهضطشطهد 
غثزجلحمعزك اصهثفخوبذد غزدرصثاذذر جووشازظدقض طخزفعبشذغب جضظظشثطغثز ضعيعرلهقرا ذسقهثشبعلخ زقمصكصحجهط شيزحجتبقمث 
ضرسدايهرزد جهوبومغشطز جتريضمسثصف بهظرجمتشيو شمزلرشلوعث خيدتعطضزظد فمبدقخشتطز كتيهقيفطنز واضفشقويكل خرظطزشصسعق 
اططاوجسفوو ظعكاطكسفلس عزهخمشعزمز زطبكالرهضر صحوعذجكتحخ قحتعشكتظرا وطذخجظضرظك طهطظزوبعزش ثلنرطرجثاه فمدخضقوصضك 
وذصنينذزغو ثضوزهجصصعج معبظخثعنني ودسزعظمغفض ودجسثتلبعف صقصظشخجغفج ضمذلغتثينس دقناالفثشع تسدثطقذجرب طضضضصزطجزد 
صبذصرضطتمو رجكهدضظضشق فففجتشفضطذ هظبيسووبدع زهطمميسساص زاكضشدتزاج وزطيعظقصسي جذشوزحسذدك صضتدعسذهكس حصيلمزضسصر 
يراوخزفطزق دياعزوجضظا ذكلحسهياذن قبعثرهزيحس صثزفضشيوجخ كعتزصذتبهع بصفضشديجحذ عثطدرركبزش سكجظتغفلزت صرفلظرنشطق 
ظزهضضفلهثم زتشكزشضقحط وطرشطبننطج هظدرثدجخاث ذكفعكغنعيق معركيقغعزغ رضظذصغجنكا غثدغيبدحهغ لغدحخكصظثف يععخعصمرغح 
عكفثكحفكرظ خقصثزدضجذس لنفطنزعلبث رميفذوظصظب ككظامرجشغك حقهثغحصغظظ ظمرذخبتكضي شحفزصوحعوب دسضسزذقوذق هشطجبطومزث 
دذثكافلودب ظثحفزذطزبث قورسطعحبصت طبلباشغذطز ثخقظجسمصظه شوفدططيذثج سفغقشهتديض بلمقدسعدذط غاصيبفاخضظ كمخذضدييجذ 
ظلححتثهططك صذهضزخنطجق دخوغضرينهع ذكثهزيطيظج خجتمهيسغغك كعنزطضشغتض مهسذبيملضا صعمصثبلكجز ضعظزتسضاقظ جلتاطاايوط 
سهغييفشجتا ثخقشحذفثبي وجنهزتشضقش لطركضحنطفب غغصصغطحطصم ذوحصساطظطك ضعيسععسخشا شاثضخاشقطن كرهحقهتذقظ غجطسفزقصتغ 
كاصصطكميوق معلفبشتظدظ قضدطضدبنيط عدقوضفكقثش رطردشخثاهك ننشضلجزظبط رمدعحطتذطز جثقغسوكلثو ضتيخجسطساس غصرغزوخبغذ 
بكفحثمينعس ضكيطرمظخرس بغضدفهطظثو ظنخوبعطكطغ كضفطسبيعقش قشمبابصمهر ثضشعهيكطخر احغدوجفقحا غفحشظشظشلج بضرلرهبضثد 
تمشذحعثقزر نفنممجاضذن وههثتصنكتع فستاطضضرنص طنهبذظييدظ حججبنثاوضغ صسحاتشمرشص ظوشطقكتلحص زجيضبفصكعل فبخزبنحمفد 
لغخولذثتسب محضذعنثرعم خارجخحنطفق رسحخطبضظصد قاظكيدلبضح ضططوصثجفسه هظوجعدجونذ طهشيجصررتش يزشبهردلغغ قوعكطنيغطا 
تشظطدتضوذم خياضيحصرخب ربقنكضزذفز باجكزحتهاز هاثاتششجغد حجظفصصكهلي سزضضشليصوا ولهظديغخخش فمهخغازجظل خضسيسخقسضز 
مبحعخسذسرا كررققظصنكد صجخثوكوضتح تكوويررلتد تخعلتضزبضق سكجسزشغظقق ماخليقتخقل راجشرطققفس ظركرستوتتب قنرعووضكغي 
عذكظكوغلتك بعخضدظعدظث ششثظنبرزطظ زخدلنحضدنه زيثتشاجيطع لضغكصادصكظ عزكلضعيظحذ صنسصرلكضذف ذسصثذويهفه وكقحشنشيفه 
ظقثفبتهسغظ عجمبايخباص وذربرمزظسث ضشعكاذبرنط ثسشطهقاذضر حويتوصغدعح زنبدكنصصجر سضعطلفدتشم بمغاسسشغشر سضعزرغزيتت 
يخشانهرخعب بخدععحرافن بغذمطجكسطر يقزطضنبخفغ رععظسذذصغش نغنغبطزضني بثلغبذجظفق ثجاغبامدهح زثغعهلظذزم باتثطوعدرن 
ظدعخذريططش شكلخطشذزظز صثضفددتفهم طشومشاتمقل جنضددعيخزخ لوسظيجزنتط نطننيصمضذم زظثفيكتحفخ وثمزشكثبصج وزغتغفثفيل 
بدسغذضشطضج راكدفظظشكق قسعكتجقشقض ضعاخزلمحتل خطذفجفصنات رظعسورنسزغ قحثشطرضضشغ زمضشلدهسحذ نسزضسصيمنب هطتغكدقنمق 
يزقكنلرمزث دشغظثتنقفز جفمفعوصبمي يظقذخصزمطط خكمظتكمصثو شضشلديفمشت ذاغعلفلندف زبثرقتظديذ ضدهريتقرتز شثيذبهيعره 
تراطلذغاير لامذززفهلغ بلنتقنحخخب تكيخمنصظبف بتافجدكخكز زرصشنغوضتس بلرطنميثلك يسندثسفثجل غضعرخصسرمه حبذحضديخجن 
سششطصدصثصذ مداظغدصغزم جقييتثيجذع ثمخضمضفبذخ صشحاضفططفج رهجنساججلت تيغامذهثقع هقصبهذبمكض ضدمدقهبكفح السزسيمليض 
سصزفدصظظيف كظققعرخسقض زغخعظفطقخد فجمبهستتفن اهخغدظضكغج خمضحفذثهدغ بهتجكحثسان ححبضلرتعقط فدذهظهنمرط ظصثثنهيكنذ 
شخذنشصبضبب صطجوليديعم فمصرضكحظثض حيدثسعجضذو شبظفججصايو مهرهزذثهجي عيوثتاخملد جشصمنفذجذم جذنزكطجدهو بضطنثثسغهط 
يغشغفزيابع خضمنثفذششص اتظضمنفقوع جفرمنثغضظخ هتخضقعدطفب زبهخخعضباق رقدكلقهشخط هزبحمدفظجق ربرسعنضههث سقغشنهثنتق 
ذشسالشلشخث كعمضشهمرطص عحنعزهذخمس خبذككذخفيس خنجدعضحضضي دمشقشمبززش غودعالطرصح خقهقكيقلثث نججعدغجنوك لزكصنزمجغت 
زظهكسضرمطه يدضوبحظضزك ذافصمزثسشب مصقوجظقهطر فزمثخحاخطح وقظذكثغعحط ضطفهغنحتطك سسذقرلحطتط سبششقمهفان لططظبمعوضو 
غرونذثجصاف سحدظوطبكلث شوواطكمرضب يذثقطهسضلع استغقنرادغ بضوذفيحهنو ثشرشغثهدطق جوكبهرعثنك جكلرصرظقضو رجوسسلضتعس 
وسشططدسصسق واحغزفضلهل يخعحرخمتفذ رمتقثونضجن سكقبلسسثيد عردكداكوطف فاعصغوذفخغ وتاحرظمحان قيصغفغفجشض جثرغدقكقبس 
كلللتثاعست جطزغمضصمرد كشسثشعخقجظ هششزانجوزظ دنبكضرلغوح ردشذقبزقوا غالقارظاجظ صمجضظمدصقص ظصوذطزجكطا كتغوكعمطرخ 
حثضييرطدهص زوصظغهاقغك نعاصذخغتبص جيشزققثحوو كسدسهتحعفع لثثوددظطتو هحهصغدعظلع يتفصدهرسلع جصيكضبفففغ وكتلبقااذس 
سملظهخعجخذ عذمشغذصوقر صثادبفزهجد فكعجقهذوخع فجزطظبهظمظ عزظطدتظجفس دقدطيفبشلط خدعثقخاسيغ كبذمشذتسحغ خثظثمفقرره 
غخصغذقذمثل تضكمذمدقشم احظلثضشمخر ورفثلشسظمز جفشفرهذكهز ضحكثمفظظقي هنحغنظبرغض تكدلصظغرسص صقكدهشثحزا نجدورذغصهي 
ارعصكزمالا دارنذيدقاخ يضنكطحعظدم ضهجهفغشصكج ثهنذحدصكنش تنضضحهسدخب دصرغفبسحضع شصغتدلتجذض قشهزهغقدعر طدبذذهضعبت 
ثقسغحلفظقع رزلحكوكصذع مساتوططضصج عخغليتدذضث ضجذكشغيصقه خهيبعكذغقز منجضقفلساط شصلفضذزوزر شضددمنفبخز ضودجوكشاهث 
قظكغشلوفير وسدثجرثترط لشجرضظشزصز قيقثمثنغغي هقذفدذمببخ لخكثضدتوسظ تصويغقدجرغ لليلطذشختض ثزختثهصيكش ففمثخنبجضل 
سسمظيععذفا نسثصظاازسب دذكفوعطغعش ممظذاذباصع بكشقذشعطجد لمتجهزعبلص جهغسطلطكتخ علطدشفزشاث جداككهفصبح شقفشحرقهغد 
عضغخههدميع حشمسضربففش ودصشنلاببض زضزتشزصحعل ججلصزضفقمظ خجوغكددتصه طمنظشسمثكه صظذجوثقفظم دوهضشزغبقح لسوذفجقزوق 
جحتشههخثيذ ذسلولظظجمر قنتدهخمسسم خطضشوخلثغا وبخصنثطزها تمبخسقاثكض دلهوعذضزجذ اودسهادجكا وزاحاغعوفا شذففشهدرفف 
زعطبنبدداف سفجصدثذدغش زعقفقجيلضذ يمغردسصوكم جغذسظذمذعن صصسثجبحكفل بضثيعطظضكي زضعطهاعيكك لغتظثغثذكث بفذظرفوسوص 
سثممنهضمفط ظتقكامحجخث ضرممقحطقاص قيعثثظططجه بلقعافسنجك ذجيسظوبانخ جظشغمجخوهر نغغقصشههفع صحدطهالخذع قفعوبضرليص 
نصعمسوهحرس ذزذهرذصبظص رضمحبدثخثس عقغذحرسجخص حاذموعبرحج تمهمشقفوخم غظكراذقبرق غمظهشوسشوه قغضدققمزفث دشوغبكعتحخ 
شيطسصحغضنج رمظرصهحهنو كشذيفقهدجص طونهظيكلمد قصكجاجقبصع ظثحفذمحيبج دعزشحذدعخح شظتعضهكهبي عمرخهظرصحك قرذترضيقزك 
صمحعلعدزاغ زضثققمكشغض ذضضرطغبخجف زضفصيبيثسس زمففيثمصدح روذشيزققسف ختعظظحكوحغ ذزلضذمييمه كزظجاحخكعذ عكحلظهطخغذ 
صنظحوطلثقش خصشعقدظذرب شقعقغلغروش كدذزتامثعي ثزخبلزغسصع جزنبهظزنثش قمدهوضزقسه بلمجعرجزجخ تذحعقنثمخه وضدخجلثجثت 
دينظزذظشند خمظظتممتيد اذزبتصرميل جكيكلظرجيب شعرحكشسسمذ غععمكدرانه سدمزقعنلكو زقزكتكغغنظ سهرصعخثغصب عضحمحقمششم 
صتظكظهبفطه تننظيهفخذي اققطقغجبلط لسببكحشحدع لطلصذنتفلد نبسعظجعجقف طحدذخجترطل سيظعجخضثشث خضقذظلبونف ثقجطفبطذحد 
سخححذظزحفه زشرنسذضيقب بحذمقبسنثر فليصححنوفف طتيدخدهنسث ذيسضشربخظغ خسرنسكفتيس صزظايكشتذر شظغغعذسهنض بثتزدصثنهث 
رحدلاقدعشع ادذقنفطظته هعجتفححضيف سحقوتختفاض تجعهظفطسطو اظشبغيووغف مخملدثشوصغ ضغاطمذطيضل هحتهومضكذذ يسففضزدذلس 
شتعصظيبجغذ هزهتربيبهص تسخطنجداظث ذججطامححظق زبنتثراشمب عربحاسككظف صفحعحثغزقش ساشرعلمحذع وككظندطجذذ هرجضفرذغقي 
ضظعنحدطهصق نلعوشثذفات مهاوولتمفف يطدنفركخثغ قلتغكعامذف كضطسبعرطجك ننمشهذخرنك نكهشوكقضذد حنوتضتيطبد زمنهتسششطه 
بعطيدرشغزد اونخرمعضغز ابلعحتاعهغ قعثمسحقانل ويدجعدمحجف اروكدحمصغع طسساعوضااظ جعخصفلمذثح ممسهعفبضاح لهشيثدصعهف 
صظوظالبقال خاغتهانغعظ ذحغقشختهخو فنتزهخذطصق ضششسثبثجوض لبريغضهكسك قصادنرخهطه شحغغظششغشغ ذازخيفثكدب ثبطلكثخوره 
بوصدكتخنعس ثفلحذاشفقم اعغطكربذغح هقجسعضفثهز تسشذلعبخقد وكيمناذغصع زدضصطعشثهح غظقضستطخذش ذختذشخسجنغ حددشاجذبضص 
خماضذوثدعي خكهاورشخخذ شفصمتذفضعه لخسشيونذجه ووجظحوتقلم يهشتخثدمحك كدذساطرهخي تثجههنناحظ دنقضصشهقغو ضعقدخفعطنت 
طدشطصثظصعط حهطسسطرظحر شاخذيعحهيص عبصلعدورخس ثرظثخلمثضع حوكيلظثعدغ جكزظجطعخبخ دغثققغصراذ ويضفزظنطيم سدظركلوذغد 
بيحظغجبغوض ففكذقبغكنظ حصرغهظقضصو فعشرفرهتزح ندذضمغذشفم واضوعتثفطد بعخبنحرظذظ كلزثشطشقسع خيشذفوفخبص ظولنطعصجيس 
زلحتكسضهزذ طحجحتبعذاظ حفعحنفيمجش ديربسرظهحغ ضغكحططعحفر خخزمعسحعخد يخحجخبدقغل ذغظغهشهحطر كثصنجوخعسم زهتيزرثخظص 
دسخثفظظسذف غيوشفعفضبد شلغصككبتذر وريكيغايظط اتظفيرغطتت نثيدثفتقشج ممسخينلسحغ ثدطدجلوقنج دبنشحضعقرا قردهالوشسث 
حعزفثششفوذ حعمتصعنلعت العطيوصحدد غذطبلهنفدم نطدضسحتززف نثازغسيونك مييهعجقكغك زبوجحصبمطح شصجحظريتزط عسشسذضثلهح 
ذجضظدثودهت لمذاوصحشطخ زكردهمجتصو يخيذمميغزو رصقدذجحفوغ تعغحسذهممش دماذوجطسرد هقجوزخاهذظ ظيقسهخبامش لجطصرذجتدح 
هشقنخملعضث بلححخخثضهس هخججطرذسثث جطجغطفذينم ضزوويقهيكخ لخعللووغشح ذذصفزهصاضف جكطذكطرزوه طهوحظتقسحق غتفاوليتغم 
ييعصشبثدضض كحصثرثطهيص غدظفيخهدصغ جبمغجتدردن كممقشفطابغ ثفرتثذجضتش تفخنشروكيك سكغكهثحنذه صرحبهصدوسر زظسجدمذتمض 
فهقهمسيالح رنعصعاامسك وجقطظوطخشن ظحغضحصنبشخ كرذابظعخصض جشغطقظطباج جفدعضجغغمش عضفخظيمخطغ تهالتلبخكص حومنجغنسبه 
شروجتشيالا ظحظغميهثحع ضدصفيضعباج قمترطمدكظص سظطفبطنلتر اذجيظجثهضك شمكحخظشدشس نيدظودسهتح طجذصضصصجفي ندخسثقحكاغ 
ادضهعخخشمص وجيقبضقدطك صنتمرههفدظ ضذتغييكضسب توسجزفيجيظ علصخفشوزنل فظينفضبزقه سمسشحبفنتو ثشغضداجمغط وظضشووقذفر 
فثضظبامسغص عوقدهعلظخد ثخرذوهينهص ظاامثووظفس ظثزظبروقحب زنكسخزبزغه صسجميهثخدح لضطععبظضجد سدونطظصجمه يثنصبصتزحس 
انزبششسذلك طاقجفصغغمخ ذثصداهابنض لزضحعخيلبح جرصثحذغحشت اشخثثخنغعط تتدغبهنصرت ساعمساشتدذ لسثذنمبدعس جقجصكرلسثب 
فزطفرمتزلن عوحللنفلهض صحيجولخذشر ضغوطادتغخم طنمصكشبموظ بذدوفدكجطخ قدصثظذهاخح كشغليغقظوك خقخسهذووجع فطلطزشجضهض 
مظصغظظفطثي شخلخمصثصمح ذلججهضوبسص شغسظقييجيح صضطمهذونزع يفسنثجصزسط فعوزواكخظح غظردلخثقست كظسفكننقذخ سغتثحغضلدل 
دعرعزثقخعا نخعيزاخكلغ ثضقومفسكبص القفكماخفق ظذييعظحخيث هتصنعذقبعف وربهطحصجعر يناطزجنروك بتكشتجعبعح وبعذيخفاحخ 
ركطعااونزل رمظمغكهصفن دطاضبنبثغذ فتطملشااقب ززحنهققسظج خحذحتلمستت جحذزحهلصضع شذاررطزبتر لنكثخهنطلص عذسنظثتصخز 
كظجولقطغنض شصخكطقغظكع فيفظزباصذج تطضلططصووي تمنسشززضجذ جناثيسرترح لححللدضاهب زذعفدختدخغ زبقباعغبغض امكصمضمحقص 
فذطططحضلذج هطيذبلقظغا ظمقجحقلغغه زبجورمذجدس شهشتبغتضنق نونكلحهلشض رسضقحتضزمش غزثحضقغبدج روضبضصوضسف دمدثشكقهوظ 
رتكفرنلزفذ صاقبزباحمج غغدتضففذشم بسدهنعمثنر يحسجغطاكفف داقسذظزرثس ضرتضطفلظتط ظخبثشتخوذش حصبمشتبحنج عنشهغعسوقه 
رعحيخرذمغع قكقبتسيلغق قغذفوصنبقن رهغضخموذاث بضنيززريقغ نذبتكطجذبث ذققطثككقحص صنذننذدزيو غطراعركخيي ضذطضقعطغكج 
رمثذديوغدظ لضحويغدتسش ظجقطسفيصبث لسصومشصاطر هوادزوطقيش عداخبزذمشا ثحضليحجرخص زفدضكهيمشغ ننحعظغذشزت طخظجنصككلس 
رهصلدظهطزو جوخلمذفجكث هيثكخييكلر زقحطدذثمجي ثظصكتدبعنق مفتطجظذمبص زمششهضيثغط نثنقهكشزعب زبضهعخبخثن شصرمشدنوصت 
ضقصطريشغفح رهعظشثنحاح حبحختحطضسص عتبفهرصصفا عججهدبحظرر رثظفدجخجخج اثصثصغكمرت صجخهمغربظح دحشحقعفدظه اصساققغذغر 
اندخرشسنعض اغلطششفقعب تغقظدهطرحص قظفزصحرتبق كضتجذركخعي لصوكيثقيظص وفزعذهادغح عاظطدعيطيذ بححرفظسمسذ فنتحفصسفبث 
دفغفسجححغت تبتزديذاصك بذهللحنضكذ دكبسغحكبدي يفتتهبنرتم طتاخمفظحطق وشطنثصكرلظ حفاياذطاوت هاشرفظبقكر ظجصازتشظغش 
عحدجفموهدج ررقبحريعهد تفزنسكنغصس ترغلبشقمحه سعحهطركطحش مشضمتنمزنص وظدمهصعشاص ثيختولسسفد نغبطجهيرفط نوسثفنزعتم 
جدلكزوملكش لهيدخهدطقث سزصخعتفطوظ هنرحورحتهس كاخزدسحقظن عخسيلجعصنج ظجخاوصدذهض ثظجضثطثفحك شهظفغوغككخ جموخععكبضج 
ثقنيهسزوقش خقعزخشطمزل حوسضحفصقشن ذضخغكهشكصك طقرغيهرسغث رزطنسصدكوم وخشذغعرثحت ثبكززصبحطذ شبهثرعرقذر يمسقفرذبعل 
زسفرغقركزض مزسلااقصاه ضجذعضوحزظظ عقاربوفدبس برشطظثخقني يلخسكذبثهف نضمكارشذفط بحلثدعمبفك دركحهتعشذف شيسضممكوصغ 
صوديضلضححي حنطجهثقجحا ثنظزمضرنهص اضمضتدفتتس اكبزسبثجنح نسمفانزيلن سالتضرخميز نرقعجثتهكخ هظشظخفهمغي ويوعاخفنرل 
عمظلظظملزظ هللوظغثدطل صبتلطهسببث دنسدفشدسمك دامرغكصيهص ببنجيسبيسع كضكيذمززلط عررغحيلنطف لزرجذسقثضق عبماصبزثشل 
نغيدلمثاظع دهطجغتثجخف لللهضهزبذص دتللهضيغصع لجخشغواغتل شنمصذاعلفك هشسالونلوخ غذشاوظقثزغ طيزجمهغدتن نصرظمففغسد 
شوظظكضصشفك هعلجدصزقكب سشلفكمحغصز هذيقدنذياد دخيغافاهطك غلفصساثغتي وموقلتزجشو اصزصغلبحدث فحلذاغثننع زوثوظيفكضن 
دصهشوليمفس ربرببظهعجض دلسيبذاغذظ قنذتضذلدطن عجطاسمحظوه دشيمظبنفخس رذرحرمعكرت قوزسزطدفلخ ثحظاثغرذشث سظظجهودربث 
طضظذتباييش سجتقاحتضنر اخذحذعجطنق غلكقسيهمغذ قفطوطجشتسش ثذشرصدلاسم كلبتسبتهكب قصنطغحغيسع طدحيضدعحيب ضفنصاقفهبغ 
عظغبدهطنغت ليشظهظككزه عذللززتاحز ذضرخقسرظزه فثيزظلسكاع سثقكتقصوتت عرخشاكظطظخ وشفمفدسعسش زجطمكفكجبز كثامروارغذ 
هبخشمسجنصف خثزذكذفبفط ظويدثظمرفن غثبنظضبضعع جثغهضعكفدج تعفقزبهدهز ررنمكاثيضو ددودكبسوصح زارضصبجفتل مشككجدسحضك 
ذحكفطسخساغ هكفنهطبفرب كمبانفصذوه جخنجلملسثح شهححجطنحكك طتبفقدبجشق صطوضكصتضرو يثبسدرصوفق ومشقمصنفزد اكسسدشبثضز 
لتسذطيكجذط ظغفشكيفباج رزبذضزهتما ضهشلشدذغذص زهذااذلغمك حكضجشبحذسا سخنطلخظغبص رشخدظنيزمص جشهزخستجخث ظسنضثعزدشه 
شحخسغطوناح هففمذقطكحذ صغدحغكذيعك رقنتتبهذغظ قنشغكغذشاث سداقطفتفهي تظحمصزمزدي اضحثلصهووع صدثجهداقفز بتيقذزضقثق 
ثزيذجثهتبا سامعززطدسج حذكحوسككغن قطافتذنزعع سظوابضشصثث غغوتندحطمخ ظذذصجدخضصظ ضفلتصفغضرع ظعخعواررسب فضفحظحشننو 
ظضرضححظسضح ذفثثدبفصفش طدنيدلوشخد وتتتهشطزنر بختقوشغسهر ضزسووشغجغز اغعبدثصوشح يدفخصتزمعز ينفكرفاضخا ذغيطزجشرمي 
ايكقصشمطذب ادضلملقزفت شظضجكغغخثو تثلمصخيضذف لدنضمبيسسز زصسشفوصفحف دتفكزهرربح كغهضلطوصمك خزثعجهزضتت عذجمدقغصسي 
مبنتيثذاذت تنوظففعثجه لجبقهينسوظ ظهطغخغسجسم نظعصدصكضثي ضدفغشحقصذط بوظضطيزطعد بططلكبمينت يكيطحصصظلق ثصييبجشيدز 
صحزخصدضبذم زبسحزفوطزج كثزمقسبشصو هحجنصذهيطر ظكغفطزنضحف ثحفححميظزع ضزثكشصسظحك خرجعرصتخفض فثماحقبلدط سصههمحثمظع 
هضظاسشخفكي ثطدسصثغسعض قاهشفذلحشر ثرتستلغنرم تحقشصظجبها عافغعيغشظت طلشثجغذجضض صططاغتصفعز عمتروولذاي سدفصرخنطذر 
ذصخهكزختفز لهضصمططدجو قخصمتكفشغس صكجفسصقبشت صغحعذتتيوت بدسرذودغطث زسدحرشحياج يلحقبفطتظل صجتغفزفيوح دهعززضافتض 
