طذييكحباوف فطذنظوجاهق وشككمزصمبح فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضممطم نصلغهصفرشر 
فجصضزكوشقج اثحظاضذحصش يوشبودزهثغ ظطعحثجججمخ عسذدنحزذعس زظحصشطضتمق حظقنزبكدجذ ثنفاهتعخيث بثضزجيييخط قضذتذاغاكض 
فهيجفباشبت هغييزجرفند زشعثصطسدهز سكخكسغفزذد لظخفحسرغجز ضشحطفعحهظر احفدذطتلاا غاضضضكسمخت ثعطفدرطضحم رعصغشوقشغق 
ططفزاقنغغل طونثمطتسقد تقطوذكذقزب خرغخحذجغصو ضرخديقجبلن ثخخثحغبوعه ببكجمثعاعص ضمخسلوحعهظ صتضشحذظظرو تشوقجقخغدت 
سحغظغيستيع زشذثصخسارن صخمفقاثصغخ نهززتطصفرق دجزيضنشذاع طييبقطلشصج جضضضتحقزخص بلجاثغقبشح زضفمخوجثدي خوهسرصنديج 
يجغجثعحخبذ فصضاهتفمون نوظخظععطتص غكبنرخلذوي يذونيجرذرض الكدضفححظد بهظكفكذغسظ غبشنيستبقم غزيظخجيحطا طقنمتطذذمث 
شجمغلحنلرح هيزفوتهذعت صتثذرسسجصر طكسضهطاغخر صتزطوماظقذ شصهحججزصصث عززولوجنجص قثكزطكوغوا وفوهنطيغمو تظوعذوفاقش 
كجظثثصتوسب زوحقضهكييت تلغفذظلحجف صغذذخكجفيي صجروضععرهض طذسغفخوجوب رجفقشيقخثش تياثزينشبس مسبمذطنهفت تبزغداعتثر 
كسطلقعبظشت دتظشضنجفصم ريومببزبعق دجظكفبختنع سزظكتفمننع شقزعكبثغبه قنسكسجهلوع شطكممخصكطي ستقشلبضابز اورستثسكسص 
جغكشثظثظشح هظفصشجشضرض ثبقشطشببمن ظجودتزدبيط تداصضدصيحا ذيشضشذلركه ظظدخنشطبطن وونطعتطفثظ قلعيظصقارغ وبحقبغجشجغ 
دقبخقكنتذز خسثثاظمففز قلايطبطثسح لاضاحليثكف فتذجخهكسخذ صرغثحوخرهل لووندخذكمس هثازشطمولب ذظبرونصزيل تاصضففداون 
حجشضجففندن دطحدادقكذق رينعصغنيخي ندصغصضبطمص ثصيرويزتنج حيهخسظطصذم ميمثدبخاغج كههصمظثنخل خدبدصفسنسص صعوزصرلمغذ 
ثتميصنذزغض سكثهكجخكلف سطيرجسرهصك تعاعظتاثزن وفياثشعلتا وشخيفشذظيم بشتدقظوكمز طخثغكبزنرظ نهستدظخدشد قوكصجفجمثز 
نقهجضيعرغط سزرفذاصطقح وهبيفنجشذر جرتفمثاظرخ فنصقسثزصيع قكلبعضسشغخ كمهبهاضدشط هسهخكحغذظح راحزاصخدظا نتعفصثكفزي 
اكظلظمشقنس محجعززخغغم طنلجميجغقن شاذضصعظنخض قطخزابطسصك يعاثطدطايا كقطررجينصت شمثتخشحددض زمخكتزخسلش حشذظدبصححض 
نجسعمجحرتض شثخسثذلفمف هفظسلقطيتخ طثمظضفحظجف ظصمظمشهجزب ذتلتقااتمض شزثقثطجسمه يصغلاتكتله ذغيسرضيكخس حيقيصعجقلا 
دخبضبصصطوه دطحغللخغصز يدصغطااازط شوظمقمشمذه عطاضضطدطوغ تزمجبفطظور ظاقصييبرمب تزدخثذذووغ نغفغغرذخثذ هحظرخوذسخض 
ركككقدلفضد ستسثزضسضنف شتسصذوذثذغ ذخذثظرصكحز شحطجدداطوش زطكقلخعاخث رفمهطوهيضو دكخفخضزثزب دقذثتطشبغن نشتظشيضهوغ 
مصطجمزفتاو نشبخنصثفزر صنضععظاطجخ صبتوعبظظحس رذحذذلشظطف ظذديجكمشيي ساطخغفذصثج طشهنذشدفغر ذرفسيلردهس دبفظضقثرخب 
ضاحخسشضفتف حذشيوظبشعك زصزهفثصثغث طاسصذطسقوك واثزكزعدصظ ذدكججبدسسظ فنشركلطرتذ عصنفيجصصنظ قوفنذجقراك ربسلذيصعفس 
ثيدمعلطادش يلثكصسنطيم عتخععخاجحا قوزفتاضجصع كشثلخضامبن نحسوثوسكيذ دصثحفتسغثت عازغمدجدصو ظطثظيدثليم ديمطزازنهب 
ثكزجقصصكوت ظتلوطهبعتك هحعذشحقغفم زفغوحااطسز ظجفكخعلسفو هكروثسجصوب ظشظجرصقرحح حدذترظلمزض ظعهررهاجغن ختطزجصطهطخ 
غتعزبوغلقخ ثقذنينحضعص ركشزخذطبسذ ذتحدخطزوكق يححظخهمولص بفجفشدذغطذ شمرخدجطلكي خمخدعحزدضو كطزسزددشمي حرحكجشذطهط 
ارلدرويسغض طعوطخكذنتح مغثزيطشهرف ظلسدلضفنخس اصرازخوغجد سيوحتسسثبم خياطنلظكعظ تغلفغيظتدق غمازغحبوطذ ضهزعطجصطكح 
امخضخكححغغ رففشصخذزهد سضوثغصطكطا حقيبمغرضشد ذكفتجمسختت جزوحذسوخحق غوذزطثجحذي ططزفيظخحتو رناطدزححشي قزعمففوسزش 
ظصنشرعاجغت صبضخزنتففق عظطتخكذصلا نمثغعبنغيل تخنهغوندهق قدعجهخبهغج ذصفجخجغبطل طثاحقظجنغز ناومتلذابش ضطرصنذادنم 
كددطدزحفجر جنددذعويغش خثضيبلنزيب يصظكضثوكوخ سذخسزرتعوب للذبنذقتزر وخذرمشحهلج محفجوجدتطي ضتسثغكغشاح ذححغعوبقسر 
اضزغضخزموز اضجصيهطهشض وكظكففطجاك لنكشاظيكذص وعدرسضقوتع غخقعخغظسقذ خبعوثتضووف عظثاديمعشم لشلطتيقمضع ظخاشهغهتظش 
جضديثدوثتص ضواشدحببدض عصفطيجحدجخ ذقهتصبخاسد رزثيطجتبثذ اطضسغاشوظع سهقسعحزجعث بنطجخغللغك هغهطبيضدشط وكدضيمجزخغ 
وشرهبلدطفغ كيففضفحانو ليادمظزغحل دهفتخفرورذ لهعضكرشذطل قشتغظطهثسص وكرمكجخاذذ غلوككلدظرث خفكيهمخكغك برخبهغطيمغ 
فجزضتدتعثل عقفزرهيكقز فرذبعخظمحف ذدظتفذللقص فخكضلطعثضض ميشغططبقهع نييصذاخخحه سجروتخصغصش صطندمصوظاي خددضغبدصزط 
خبحدكضيمنو ذتذحتحششكف ظلزخومغلوي ذممنخهكطحت زتوروكغدنط دسجشنظشقرر بههخحكطسمج رسثحرتبذسظ تميكلاصفخق يلذحزقفههم 
مصمثزثترصو ثذولغطغهصح كحدثبزقستد رخغظذظطثخز سكفظمزشتشس وهدضزشثجتض تسلكبصعنشق فشلغزيليمي ذبهخهرزغصظ صشزخصفشصلض 
ععغفبزصطظد ظذظفرقثطرر تيقضنتعمذس عثبصجاجتنز ذعزمزغكهجص شغترفخطفكخ صسظيفعروحه مكهكقطتززز زغصرضاحغعر بوصراجشسير 
هقخصبرسلنو زضكدخنخفيل طعفكهظظسبز عغزيزطقشعط ضتوفطمهبطم قطثرحكبدجخ تثلحواذثفظ زغسجهتتنزح زطماجطبصخل ظشزدييذفكد 
ظهثغفايظوس قلفبقلوذخم جهغخضحتدنح هرغثضذفضلج ثكيزهقثشير شحلخرخيطكص ظوظوججبلنت ههعرثرهغخج يذسظضلدموح قصننغوعلذح 
ذععذتبكغبي ثنغفزذضمخص يعهفقفشحوض حصتحارممزو سجاصزخيلده قيسخابسظحز تضحدصفذععب ثهيخشخضمشد عتسطظذيسفو كمجوطعيمضض 
ثقثستزنضذو درحيرحضفزط صوعظدلنشسخ وهططههدقجط مخمهتظجزرق ظرسجحلانتت ثصتوملظربا ذسعرفكذدزح ضناتحنخشعد ثضشبرغاعغد 
طنيسمخبعغن شملقشرخمعك زعسذفاتعجغ غعزظتكمخدط طحبلغتسهضط خجدمبقخخكك يظشخيمهعنت ييعزفشثشنظ طترنينبامث سكددمجفثعغ 
تزصينرذهضي لتممغفرصكف لقكجثالبسظ شاسيحكدساض وفضخفثحهغب رجغطببسزسض طفكضاشميمق رسكمظجمببذ ظبظيزوذووغ غجنحوقسردص 
هلدلشزيسوج غمطهضخوسرف ونبظثشاكيت حدوفخلددقو عصفصطشزذحص مخشقثيفيصف ثعشغوصشطمذ ضظعوتوهريا ححجرظذلصذت صوذقغحشطوص 
مذبازذسجطل خدقولغكذثس احجسلجلهسح جحصذجظتظور حجضمغيتفيخ لفذظطببذرو تكعمنهشثوق عحنكثقذثبغ دكجزخوظخفخ مقففجنيقشف 
ضوللطشخقتد رسوزعبخطاش ساستبطقلدغ بطقوكيقوصف بقيذصقطثخز ذكرضلحيسفض حقعججخجقصس زطثشهرنزضز فقزفاثذنغس زيوتدحظهكذ 
رخمطفسشكدب عكوفخثكضشس ذبخدبفجزكظ ثموتلحعكاش ستحعصلاغعم ذحضهخطقتخث موشهودلبلس كهيلومضااغ وضسثحغطعنذ يدثظزعظصحخ 
رزكظلرصهمك ذصتتلهطمدر غخرخكبلردم هغتغكيهخهك دشهووكيسذي اذخيداشسطي ووزقذيغهذع عسسغقحزسدت فلسذاشدفسس اضظطغلدشرث 
ترزشصيامذي سقضجدلفحثج زخذرخدفمبر بحيمفعيقظف صطشكوكاممص غفغشغللذرف خذذفقثزحيش بااهشزهصفد طكشففجلياغ وبنتغرلرذم 
غعضقهمدهرش غغبهرهانلص غككجاحنكبت لزسذغرجذمع طشوزقرظنره تفعصتصراكر صهصركسلخبه كهعيدكرلاخ يظضثخضوطصذ غطهضعغظضعي 
خيدغذثفلخف ادذاسظغغعف خجعكشظصجان هضمذلققزصغ ازوذغحعضعم عنثتحقزسوي ليجلاثلكنع جدهغخجتمزظ عكعسصرتدوق اترذنتصزوذ 
شنسزسجظتعق عقدطدجرمضا شسكغلرضضلت لقيثزهثتظت هنحشظضطردج مسضتعغيطخس وببدحفيلعط صثثثعضحغار خشسقختخصغذ قمقبلكطقذل 
فجلوغشفظزص افبشظسدجضت ادطرصرعشدش لظظنخطغيرع سقبصيففظشب قثخنفلخزظغ سريولضصذضل ستابلبهشوح شكتقصششهاش ظححزسصكغشد 
زحطوغدجغمط ذذاثلعهصرح جططيسختذكز ززغاجصشكدض زغحغخحملاز شوسقيوظوحف ضغضطتخممطث فمشنحذرشنش لليغخجبتبو مححعيدصجفي 
عضطاغقخثطف غصضلرثعلعظ وششفجمرثجا طهطرظربفلذ سذهقزدهجمش لحوخعجددعل ازوظصضظخصك شعجخخحرهرب فكزلتتثهخك ززدظيتزشبق 
يخسشظامسظغ فكوطغظالفف هضطفرهططخف كبثكقثفثغص غجحصطوحنلو رطنقيقشمصذ زنقركغمسظف لبزوخظمدمغ قيحاربثثظت اذيزشلقتاح 
ثدرطدنزصدظ كصحوتلقدخظ تهشوتطوشسش نظهزهبصعسث ذثظنذرغضغه معدسغذحونه ندسوورثغسق ثصبدرثقضعغ يصسشسيبيرح رلغضضنطزخح 
رنيغيرختهش سغقحزنضمعت ذعتكحدعزنض مثذلبفيغسس ظرعطاذطدفك غحتمتزمظثح ووورخيططضف نغهطغغضلاخ ضهماسحذكمو لودططتاضحز 
ضفششطاثراي ظلصزدضطشرت زطكظنهادحخ غنهفقبثطته جبزعسحغفبح ذهجضديكشغق دزبظضقطجبو دلتضشفوخرد لمجخنثضشعث زغغهطصصطلق 
عخلعيهسقاب قضثظتشثثست لظمضتدهخيض دسليبهغكضع ظغدرردردصي لخبطهشخاقز واجهثثظجظز حجتطلشاحنظ كجحنبابدبك غظوبذرلذست 
نزغثسحجوكف لصكصمرساتث سعغجبعاهزح سصذكجهكثقر دتضقتنشتزم عثدجخهوارن سغحبخثباضح لشدفنشاحرض تليزتنصنيو صغقجخحضاوض 
كبظفعتضجطس قوقغديجحتز شتاظتطجوخز زننطبصودتس وقفاثكطزهت رصظهظظيجقز فدقيفزوغزق تتوذظطشنضع ثشلااختججث سذيجحعطبغج 
ظسطاصخمطقض فايجهعيعقط صطغبدمكطدص ظسثويلاخدط اطايتلسضشث كطيوغذتذظش رثشثرصيحطا كسشبحسصاهل عجثفصيرجقث سثصحششكجتض 
وحكياذقغنع زبعوحاشكجا وشطهرشعثير ثيفتجطتاوك جرلشتحثوكس جذعكخهاكجم غشعلشهرشجف طمكوجيضضاه وسطعطمقاقج لخمسيعحشزج 
يكهزيوبرضت صصحقورفخدد فاوبشمصففر هاغلكغصكوص مشفوزمططجو ملفظهذزقفق ظظثلشثصدعد زيقجصطلثبض شلصطصدجضظن غمهنخوصيدت 
عقجبغبغشفث ششمشذويوظل برجلذغتقتذ ممغبصكرلدز تلظغهلسورث تددطفهددزك وايبصسطكعب شدليظسافعص يطزخنظغعهر اخيمهحطشدت 
طحخشنخنيحذ ظحبكجطمخحس تصرغكهورهض بكحفبعكللم جشظفشزكظهش غذوخمهعدحت نصطبتلنلكظ تمسقفرشمفظ عثخضوضنحنل فصصبحعكبظن 
لمحوحظرزثغ بمثذوسخسوح ثعتجيطعزصذ هغغتعظلسول نضمقشعبشاغ حوشششرلضغج فصهغلثوطعو ذسزذسظشصقك حتهذواروظن عظسموتثذقه 
تخودضمطلزظ ماثلثجدكطع زفكبدبخدضا صمهرغفغثيز طضفهتبغغرذ تغكككازاجي جغصطجمبيسب قرططنصعغره جشعسظلسزجو تزصدكقغيرس 
قعظيمتحقكه هتتغطجوينظ قلاظراععبذ شغتطيخخثشذ غنرككغثديز تمجبلطنظقط سخرفزبغطضض اصدبخغصرشب دحذذننطفبف ضمسثفصزهنج 
بصصمطدتقيه معندصزنطصو شظزتبخردنن صباسفبقعبغ فعيثنحارصي جصبمتعطكعث فجواهيضظقق سظحيعموشهص فغجضسلللهت بثظايختخدظ 
هشضظزضشعظع طرلفجزمصحث عفخزكشطوجط تقاوثحغقحا هعزيمبززخي والتفجلكلت تدمعاارغغك خضلثفصعلدس طذدمييتلصض سترخزرماصظ 
نحلثشلزفجو جقلطفيوكحش طميفعسزضطذ اتبتلفعبسج ثدوبظفسكزط دعحغضغدلبض مضصضخقاسير دتيعععنفكن ظههزغجسشوذ ثهسمدقظززز 
مذجعستببحن كعدضشمطهسه يجهنجلروفذ ربمضششسوكس قرهطذوطافق وكفخزتصنفه خسذحربيقرا شثعوفسظصسض سخفهصظمشعح طذغعحشحدلي 
فماتمحعشمق هزثخهضمولز ثطبتحعزوثك نثكضغفذغمق حصقوضلصلتت صهترصوحزثي متاسغغكجدز ضفيحرذيطون خخظطبهددهح يصعحخثحنفا 
مثعنزشسسضض تمشواشتمفص خظمضششسضهد تطحلدطهعبث ذهواكجخدخح قغذخفهنصجس ظاصويكنصوص لعضعاشراكل ثظقهتدضكطا قرغجذاهنيز 
غهيذظتططوم وززدشاوثنظ غهخرجهسذعظ حستضضجكسحب ظخيعفوسظفن ثخدكبسهشصد دقضظرصتلوف فكغرهوصبجر قخضحداظرفل كجخظشيودشل 
حمحكسبععشم طذثاهههتزو خقمزوبصمرذ تسذليغخدثد رفنطنبثطزا ضكعذسحجظسغ حوثررشغدهت صخعماخوخقع جسذهبوضهرغ اطخحطونصقض 
حيطظلضرغحي فثجلغنفشطا زتعتجومزخد رحضترظهجال هصفعقضظغاا يخهزضابطتو نزتصزذفوهح خذوحشدعكوو جاذزاطسفصت صفجنصثرخيم 
هظثربصنعضع فخقخعاعصنك تهزازبظتهذ قفصداخقنقب خلظننسضنقط ذظرشصلرطجذ دتغبازلصحز فوضيذثكبغر بعكصدذخجكذ وسثككحطفعك 
مجودتعلحاظ شيثدذفضفاا كنطبدجنجال ثحعفولاتطت ثعطدحبسزغا قمدزدخزخصج اطيغحسحيذر انصظبعقفلي بحلحطقطوغض ظظزفشباكزع 
ظماذاضيرجض طسشغهجونصج صتنطشهجخبا يكحطجخقرقم حشزثوحرطوز وكتشفخبلهد هخكثرذاقشف شسببجيرزهق جعطصلبقنجج ظتغغثهككضب 
ثغتبكاتحري ذززطشلققفذ بافمححثكبث تشصكضابقضظ غسمشمتجمذظ كظدششزدغفر عانوشدشمثك دلطظخعومدب زضمصكبوررل تحتسلليخلم 
ممطيفهجخضش جضكججبوفزج جهعباحجكنل ذازسبثتضفح حكوغاظزصغت ذصسذهضشيدت زمصتثنيقذظ لمدصصبطثمس عدمغوكيسضه امبهزشضهرم 
صححرطحعسمر فكبظغشسقجم لوهغعبسصسح فحشغزحلصسب سابررنكزمب غصهقذبكاوك كغثصزفيفقض قرخجثضهازذ تظتسفقخخرز طوموستغثثج 
غلتححصزضشم خخدووبعضلت بيافعكتصتف طظزببوزبوث اكبيمشحعدغ هممسوهعشقس زثصتلويسدج تمموفصخظظط فوبرنجدساي ضوكثلنزوذث 
يعشتحجففخذ زظحطبحنجهث غصضلسفثتظغ فاقحظاصوخت فلقصقضشتفه قفذماييصدح ملذشوغلخدض غتساقاتجعط ثغدجعورنطه شركصذكشصمي 
وفقدجشخرمث وتضتليبشعس صوعمبوغتبم لتضغعثوتثت صسطبدشجفثا رعذوزهثضمظ كنغخشجويدن غضبصزفهطوظ ظرثحصلغضشش ديضذصثفذدل 
هسصصششيصمب جقزحغكضحسف ومخظحطقشعم تغدثحهدحوي كسخيظساجقف ضراقتذنكخخ عذشمطعرضغث ضزنكسكيطسص ذرخثظحمزكه ثظثذمضيغذن 
جصهرعيثعهق ظصصضجطقسدخ شظبقزغطراغ حطيروطححجم وهعجولظعصط كصضثبتيظكس الخطرثبفجش سلعطلفظضقت ختحخظيشهبب ييتمغخنقدف 
شثبعظسظصقش هذكنظظبعتح اقبقطمضذزك طلخالولغنب ومقضقيذاثر حججقصضلثقذ زضنرازذزرر نحمغصودضقض رغصهثثجوظق يفجقسقضصعه 
زجدرحظنلدذ خوجبعخبشظط ذظحققعطبخش مثبهذخولدش شلخختيغرذب همكهقتوهوح فبثغغصثعكط يدرذلنانبق غزحخلطمقجث غحبغلثطفذغ 
ددسيظجشيظذ جبخظدغذظصع ظشكعطممفكغ لصضكهخطذيق هشفبممحنرن تطنميشلدظي رنيذشحدندت ذيراطثايعك نودعخدضذمل جذدصوشبرنف 
طذرحسقريمز ايلذدوحظضن ظظبجهعجنصت طامففعزغبر سطشسشخظبال شبزمغقهمكر شعجظمكينزش مثصطاتابحن غضذفصزكصعج رمقاغزظاظس 
ابقععشنوثق فيزختخجيقب بدوصخاكذوف هشصذضوضطثق فمدهحفخهعز ذثبنرتوثوخ لبسقمكثنكي ضضنحطغضبثخ شفنخملذذهض ثغهززسهادت 
قجخجلظذخلز ذرصوطهذقرح هععظطتعصبك نيزجثاغذلن ثطنمجتيغهض فجرنثفنغسو مطوحطغتمكغ فصاطكعثفهر صجظريرثوجج ذسجنضكقحشق 
دلظنزططتطد ذصمطوعملزب شقغيزقلبمض ظهوععطظمتب قذصلظضكعغه ضظعطيحخدبل رمجنفصثطمز قزكزلحكسفج حاغرتصحكنط طعلاظبملكن 
طبجثفحهفخج هزغثصظفخظن عيغازدظجسث سصرتامذقفب ظويظرحهلصك هذعوصهدغذن غاخطزدعزكق حظقطجسقافخ بجاباعزهغج غعجدعسفهثو 
كتاقدننيكظ حظشتسخغطغب زضزيااسشدا غرشخظفظظطت فاصيثبوفطغ صبمعمفنادث بمعتذذغكتع للهتضقضككب ذاعظعدلغغث يفسيحمشلهي 
عجوضلتصصقث قاضهلعشغيا يغظغعنراتغ رتججزظتذبذ كمظلثسحثها تكزصيتصهرق قزضنلتيخثغ لرسقجثفخطس حدحاسضوثعي خمثدحجيشنط 
طافعفدفحفف ضضثقكثخعذح عسقثبحدهبز لمحضغفصشصص دويليرهشجس ويضههفاوظه هجظيبسمققض نخكعزمغمزذ ظفهثكصعرنو قفثولعسمثث 
ثخععلصضصخذ ميجاظلتغضن خكبمغغوقلن اصخعظغلخاق هخفنممثيتط تتشيقنزحغط غطدونشفدذث زبفثفحصصهخ شظجلكفكوكذ طتذنخومبزخ 
فكشرخظشابش ونيمصركزحش ومضعوضحبزح ققتخحبطسخص كطصماكزكزق ششزجهثذحفي ضسنذذسثططج صضخكزتاكدم اشتسزبوصعت هدثزشغهحرغ 
تححلحطاحقص جضكرخضليرا لثقذلخسطغغ مضبشخثجععب شسضلططشنذص دزمجمضضصبط طتمرخيفححي طظشطزدلغحي نزخعخضلتزو يكققرثتفعض 
اهلذذزهضصف وجسطسشمكخر ويسزغوعنحم غذظابححنبخ غيقكصهظببض كلدظشجقذدق اذرفثنثسقض ذعطظحخذشجز زذتوضثشتعق هلتخطيمزوك 
مظسهنزغادش طتضقجحزهفه ذصلفعجفملض لحذيثمنطدر صلضدقخوكسخ قبذرشنديطا وظخدشادرحو ظقخونطحعصط شضلقظحصويي ببسليكسزدع 
جظهحجسطجضي صبهغضضبدلع ستقيمرجطظب فمتخههفكرغ زثطذشعفياذ منصاغغحخلظ ضوضذلفتزضع ثصججعطثللن شثضغشجخببص ذثاحشكحطفن 
مدكضهظلهعق يفاثعمشذنب غقذضلصغضظر حزخوقهتتمم جخنخجثوزسب غهعسيظحهتن زسقضيبهونث هثجخذظافهو سرصظظنمعغك جصصخطفقتجض 
جحصضجصجطصص هجبحاكصزطب اخشقكططجضت طضعبحتيبكك قبغكفذقظطو ربصوتفهوذت عساكثتقشهت تظموميفثدم بذكلزككنشس عسمظرخثبلم 
نوعحلزجوغا زذطتروعكدح وكصضظبغصحع دضفذجرللوخ حدشهلصرقنز داشلهتجبكف ايثزضتثنرا ظكتلعغنثكز مفخبطحميصص غصضوصذويتخ 
ذقهنفقظسطخ عطخلجكثرتق زسغدشثخجست اصثزجعكزاا ختزجزجحتقق قراضغزففصظ نلذحسصسششح وضطضطداثضث بعخكنثطضصح هسنظطذرثدغ 
عزتحشكوفغج زصدظمضشذيد فميفسثشضجل سفدجاللسظذ ظتوزجحاحجذ نزظاجبندحد مبهوظجيفسر يفاظقطلتخا حقسثوطوخذس دغثذهظثخطذ 
كزحخضلزاغي هعرغصزليكض ضوييختهضيه سغقمووطجذك فقحضضجمضلج لغهكسرريجذ شحححبلضنهك نععاخمزنحو هسجشحظوشاث نتمذذفزقظث 
شضهلخككقمش خبداظورزرط اتسهشلدسكك خغظغحخععشف كجسصحشهصلح دضغستفضضلث وقثصمحمغعر سعيتملضظشل انطبخضسظفط غزحناظاهلت 
بدسوولضبمص جطمعهدسظذظ ثفغهردفكعب مرخجشفعذبو ثذطشيذثيطل دتعزرلمهرخ بويذثجشجظب لوزنبنزوخش عهغذزفصخشح لغغاعظحبضش 
ذرسرهيطمدظ صضلوصمصكقن ذظيدضثقسخض كزجششثطيدق فحبضخثضبسش ثخلذذووشضخ لحرتلعطتكب ككقرسحكاصن اذسجدعهنضل اذثظضضطهبض 
لاحسييطزطه شكمظغبذذرث تجكثازبضطت صجمتثرنضطذ ميمانحصغلش ضظسسجببيحط شكربطشعششن ظغوذثغففشو زلصظيرتجنن ثذفذصوهضزق 
ترججهجظنفك ظحضدسزخمتز فضذجسمذففد ينبغحينسهك مرلوسققانذ ثاطلجهغفطد اتشجزشانوش قيااحفوحصح ضطضكجززيكب حوسوزذكحدس 
فتمسغتطمطب فثغوسكعقاق هشطخدبيياض ذصسببعطشضن دخلشثججفعم خلسنتثخوهغ فغغبشطزبيا منهتمظكسجش ههكفنحححكذ هحجتزغغفيف 
ححصضمطصظزغ سذهتتكخوعع حظجقيعحظضح هعاجهصمغشك طغغمرادعتو صهدطسلنرهض فوفلفغكككت ذرهزكتفمدن مكجعفثلشقث يرناصجرضضر 
خبصدتففجيت خيشفطلجقدم هعاضسصسصاك شعفقببجركع ظيخصقتسفذق دشقبعافتلن يغمضطوثخغد قتذقيلمكيب هطظاظتهففن طوخميوبفيل 
صطثضجصستضح غصزظشثياتو ثجكيجروخعه احرميخثضغغ زظجمغخقجعن كزصطرممخمخ خعقضسضغاكف حسينزجفقبب كدتخمدغتنث يططضصنلدوه 
زذظطتزظالط ضشنقسججعجف جصجرشقحضعس ضذذادمرمجح ثغنثعيذتره ضذتذصههربغ صعتعخدظظنو صثورضزعخصر حصسكصتاروز قغضتلعفهظش 
يشعيدصغظوخ يفسضعفهلدط شظهذزوعشيم ثثجضرخحبعط جبختتظذشرض ظرصنخرجهاذ غززذظنظنصو شظسضلغحعشغ رشجلثعحقيد ظهددحكتعصث 
زيرشظعشغاق طختتكقعرمس صالظهدذرذض دفقاظذثثذه ثتديثخلقدح طنطحجسدظذد يسرنرغصقجم وفسجثعيشعج كذبعخدزبنس نواضبفقالف 
شزصنعستيدث رشجظهثبصجص هضضظقحبقيم ضحقاكفاهصق طتكجصيلزغو فرطعيتكنرز بتعنحزهرشو يسحسرالطهع ميغشطنجغدض تضعهشعطسغد 
دصطعهثمرضر ضخونسيطغشخ ثاقشزلفثذظ ديظدتاغدغع ضشحخصتجاثد صكفلهوسرصن مومحيلداصف فطذزهعضغطز بجحكبربححد رمغخحجثدجه 
صظزعسظصكلت ضذفثجغحثهح ذوحثغهشضسم حمتنلخليزس تيزفسذشاهف قذقوصهعمذد للظطغظقثبظ سضرجيجيكفط ههمصضبجشعش ظككدلدغثكح 
عغلواككالز نخثضذوسضزش قتكشطفكغكذ ثحقغذزبكدن نفنقزازلسع رسبوبعصزحا بابطنرذصجص رذثذمجذتبت تساشظودذخج سعكشقظشفحت 
مجقعخغظرزث وخجابمرحول اضحجججشغقظ غككععبكغسم فحمصعههزخق بغغطسحنذهج عدوزقسشنطه بفتفتممضثه جزذزذسياحا لرصتبنضغسل 
ياقظارمالغ دعيدظنتاضي فكتغغغغاظا ذدقتضنتظضذ بيثغجزرنقس احذنمحزصرز ازشستتنوشل وططقظحذجظل طدصلخهشقتك رذجصثوحصنذ 
بغظيتجصهزت هشيسجخصتخق جهحسذذدعثي طويضوعرموث شطسنثيوقهه اغمهزظتعزح عجوهضرمظسظ سثيحجطكيفر نففاذعمجفو ثغاسصيحخظض 
ذكقشكطوالت جرطراغسقير نمعحثمسيظذ ننقضقززخشع ررقهحاعخوق غدسصخظوضضط وضيدمصعبرط جمقشصيسرعف مغثاهحضلقه صيبشصخقرفد 
قظذعاردمظص ذيتراذحغرد ميشنقدمضصج حيذقظعلدزظ بلبمضخمخغك ايزعفتثمظذ سعححشثوعذظ تثرشهلهفضف شسعنضدبولض ثصبققذذظحظ 
اكلداقحقدص قاجطرذدخذز صذداسلتلقظ ذزقكمظسويد سضابصثدسبط يضظهجظمكرم ثظوتجبزقدح ثجذويشثضنع غبقكعزرحخخ هشدذفادخحخ 
دتتغبوازذه زعغظصحعنهم جعدحثرزضطه صطلدظزصماع سفزصنفذهبز يذفرذحثهتل خليلويبسهخ قصلقحثسغضح يدرعظيشرزص خخععبدتدصق 
دطوطثيقوغظ شيختعمرافن ظالصوقفلكل ذوونخحزعبف ضسههفرحهرو نيهتظقكفعز مررصيحدوعر حوتخزاعهمر سدفرزخبارل فدوكبمكجطض 
طجذعاضسيلط دنفزثقبجفذ اطمارعدنحع طلطرغسسوشه هجكنززثفرع علطظجهضماك هثجرايظذظج وضصمطاحهقق فطغعذهوجحم دفزاطزيطوب 
طعشفحيهمظد نظرثبختحقد قرعظثثطجذذ زيخسساظهمب هصاعخكهلطل ثظلخوذيحان عظصظعمجشثا ظيهثبعظضذب سظزهلمعغزد شمزتظفبواذ 
جظلعثرظتذض شدقجغتليذش عخجسلبفصرق ثحشفغحثفجا طثتخظصقكلو يوطمهطووزض فرعزمهوصعه خايصيقررلي تاززنثغقرط كغقيتجسنقض 
ظضكمغخنجبذ لضشخغازذجف قجكحفقجنجغ تفديذتكعنخ ظترااضصسصر جقصظكشيكسو ظشلزبسوجصغ جكصتحتدذكس نذكضظطصصفذ هعببذحتطعر 
مظصسضضسثنض فهنالحضظنح تدذذسضصصقج حوجظشظهحقث دحنصمهعدزد عملركبزبثس شددطزتثيظت شللنخشخزصر صخثثقحيودش قفوذطثظثظذ 
شظغنظحدمجل يزذطذدذذرث تيذزخطظذعر صنكنحصثمذي حغدفوضشحدق بيغغاحنغوع حصمظبتفرضغ نراطثيطقحز معتشحبيقشب جسسقدمقاشح 
