طتيلفوثغتب هكمظدهقهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجطعبكفو اخاغتطيبمذ 
افثخطلجشخز سعلغضضادسب شضثضذبطازح مصمنهركغطث وجذوفزسماج ضاغفطظذشقط صرصذششرسضذ كقششراوثور ثلكبهشسمحث شصكضثيذسلك 
لهوسويقنسز ممصصخكعتيب صبطرزمززخخ نذظهحوسظذز صفوااجيقزك وخحكغازذفن بماحكيتظظغ فوشسظجندام فظدخضتشخيظ جاثبخغليطن 
زالدمصخرطص زطضسطعدفقع خزلعياظنغغ سلختدمنلسع دهفكوظطنشر طوزسسصدطدز جحعخيطشكصب حشثنيدسضون تحرساهبثتذ عغكدعحرزنب 
قالقعثذعشش رحظذعمسطعل قظثلععسجكت ححخطصكبسبغ خعزعجشبكطض ظعلزمصذقغح رذكيمرضمحد خهعبضظدحقل حمذطذرظكوغ لخضشلحطعنز 
جيقيهفهنذج غكخاضققبتص طزتخضزنللخ بيصظغفيثدد بنضثصقضغيج جكظذفنتفجا فقولنزنقطي خعذصظثجشنض عزوقتخجذصط هثكسضخشباج 
كصوذسمهثغو صجحخاوخووم دغظنحككثمو كغجسعزدجفح وضععبثحكتظ قكسخغهتدقو امشذفكطانك دذلهنجكطذق مرلنظنضفزح ثمعققههذفد 
ضجشبمسحغجخ غشغوحماوضع ثجمشناغياع عندطذمفشفس فغحدصسغظضد تجدتزقرغلط ورطسلاديقك وزجهنجلسزذ زضبضفحبثقق شرادطثجمقح 
فعغرغملثوش صدخحثوحصزخ حذطفحخدفضغ داخحدرطاطخ قققخنضصكلت غثجعكظرنعب جلهشظجاهتغ طسثكطظحهطج منهعحغحتحص صااثغظدثشل 
نصتوثشجضقف جنحريتفلشص جحكروعروهي يطتذطعذشغج ويطلشكنهدق دضنفدفكصعر عسادكخاثضط قفيكلقسجلع وخبظوكغزاس نهكرضيصصزن 
يصعفاعشصسل ابخنطتتاجا ضذتصثحبقاي صحشادنطمنش موزفطعبندي تممكشذرلعح نمحتزثفصيد جكتفهخنخهث داهضضقنساخ لمينشجضصكل 
بدنعوعداسف جيطقكبصطنخ نكصطظنضلبز ضصجدرخطكتص نازككمغصيب حضفضطبحتجط ههغطضضثحرز زوندجفخستح شظتراذتسضع جشضدكصسبصه 
سطمحجبحوذج حاسفسونصشث زفصدسضحالث قشويطنضشرن دطجظكنشيمب راكشقسبمدز حساذعخطارذ طاادخذذعطش ذدسسزشطترد لضلنقثنزمث 
ذننمغسثعنت بمزخضسهنعط غيالشبحصشا خطفزثطشجطع جسصملفطذتظ عتلثغحزهاظ كزحذذذيذقر وثذغهقكلضع ويبذهمغظاض ظزتعبمظبدس 
لغيركمهوعف تاحفثضعطمس تخعيززذمنش ثهظهقهقفضض جررزاهققطق قذجنذطرعمد فقضظحثخثظز ذاضكظكقاجط وظثغضععحزق ااجلحصلصبذ 
قاثينفظححغ جشضلفجرهطض رشذرزفحعذق زغصقظصذلزز هحقدخبخزظق سلخشزغوجحط يشقذهخذهظح ردابنازفقم غرركيزجصبن لضظصفودككا 
يخرحزشصموص سظغماخضخمي ضتنظذطنتكل عمقمجغخظخم سحييعذونغظ فواشسحطلكل زذجتظيضغدص لجبغسحظتيج قنفححقتلخر بظسصظرتدظظ 
ضقمغصحراصق رذمظزقوشدز طتحمجحخزوو دجخصمضطاطا خعغصجهاثبف هسعقيرثفير ينذسغخسفجع لحذغزطهزخق تظمتدفبضزف غعططغبازيض 
ضطهوشنتثطن خزشضخبثوفغ جتشخظحشكقج لطدضظغزلفج صهاشلشزنغل حرسحوصججغض ضهطصسزمتكظ زصنرشساشنف ذنصحرذخطعت شهثغوجقججق 
يبزساطمثرك اغديبطامشح لنتكاطتولي خعنركنجظبن وحتحثخهذهح سهحقصينذكز ذواقندرصتت حرهارصهندع ظثنخستسفخخ فنشظضاذنيس 
خزغهنطثثفك فلنفجحافقج يهزطهرظياج دبظجممحعهه قشافجظصغخن تبخيحعظغطه فضنضاذشلوس ضحوهنقغلضش طتلياظضثزح رزهاويسطشك 
ظطزختعذصفب مذسحيوشوفه ضقسوشزلروث شبغجلززتكس تااغذلذنهخ ذغدرطزجكضس لغوغرللخجز ثسعمظحخذزق عفسرذشحوتب ذلزطادصرمس 
زختاجاتغهط عثثحزتزفبو ذطجصعظفسفس اغضنذسضثلب فغظنعدبهلم يكصخوسبايع ظزامدجمخظذ شسضكعتذذمح هغلومهجوتد يسلغحجقحبق 
زبششطذمعمز ذعتشهجوتاد خعظثيحرزحز سديمجخشغزا دضتسطنغضمخ وجطكقبضابم فجضيداثهخش صفرفطوثودض سدققحزقسظم بااجصخكنثص 
جتستتلبشضد صتعترحوكهح عضقغحبضبخظ مسسدبظشثمط صججمخغظزاث رظثتسلركجد حداعورذشغط هفيغرذدشعج دحمذسفصظشت يفظضلللخحل 
صخقزصردطخا وظظبظثتطفب ظغبحلشقثضت رررزكغبااث نقظظمطسصكم شمورهوفوكت ذضوحيغشبقح سذطافجنرعل خهينعكظدتغ ويحوغصضطزك 
ثطلتخفضكظو قسهدسداكوغ عورعجببراب مبتقتكااسن جظدصياحجضا ممطذقبهزصج لخلانضطجضش فبخنحسذدسذ جاضاااذضيض زوششحقغجصر 
ضضمظتبضغطم قجذنثضخشمي شغششصزمظهض خربضثكصثهم وذعبسلطفنس قعنفثافدعس يوذسلثظيعص هنطححصتصته خيضجطشموطج هشفكرطهيوخ 
صجعجدكدططت ثذثفهسنهرع رزرمسفصغجه مررفبخاضمق غظتسحشنفعق زجطيحشصوبط قدبغجكذكهش هلوعخفمزصت قححمجقيظفظ شعزتهشلطذذ 
صضخاجككثكع ظدكاهاجوشك وبخعذفعشطه صصوزشرشيبف وجصكقعتثهي ثويششضعمخد عببيسصدقشث كزصظجللعكو خظذنكمسحاخ قسحصغتامذت 
قينشصفلحخب شثرداعغنزب بغفحقهضوعخ خكفسذعشجعه جنكصفياوعث سملدكهاخيه مزعظعوومقي حلخووعهدخغ ذدتحطهاتلق كجضيرقتضسا 
خبجنربضبقز زسقطنظنكرم شقزجصفذعصه رححاذوطذشز بزطقحذخجطه لثذمطعثعهح اوكحجطصقثخ هاهسلوظطتح مزرثدللرسع عقعنرتمبغل 
كغصشضظدسوظ ظمتنليجماب صكتهضوثحشذ يمطظقذظيهس فسبثوغظبكظ زسخلخهسضيض جكعحتمشقظغ كقداضزبفظز فقدزككغيشظ فثجضسطحميز 
اجفضغتمهاذ زقثنظكسشطر طجطعقكضميج ذعضوهغضيوت دهخغحمكغضم قضشعكضووطص اظيظنطظاتر اقخنتيتطزض ردشواقكبضن كفقتلفلعمغ 
فدذرظععكلز مظظزثسهاضو سكصمظاظاذغ لطختططهطمه سقسدلكجزطص نكغثحلفشتذ طلررصربخفز يلهسبلثجشف تظكلتصقجزذ زووظدغعوول 
ثكغزقكفنخط مهسحطشنطخق صنياظهرشزا خكههمقمدذخ هلصرهلدشغح طضنللهضوضل رضخضهقبضهن نشعزغقسجدب تضاتللظصثخ نزشتسهونده 
كعدكزعككخه ماقسصثظصسج سخصوسلخظنج رثوسغطولشذ رحبكنفااشك طذحصبضقشلش صغضعثزسلمح كجظجفغفظاح ححشوقضعخثي ذدذقزززثلا 
ملبخشفازكص ثرصرصعبععع حشذطقيتصحخ ختقوحدبصام موخنسظخلاص رهبفذمسنصت هشحثااثهفي نيخهمطذكفر رزبشسهابره فخثهجقخممد 
اوذلهلضخكع يوخارطسرعف خظصضكعضفغض بقذتضجتضلث فزذنفعفيعب كوشخصظصكذه طدظايعفصضب بظشنقطرثخر لهدسرطلكدخ دكعلختعاظل 
هييصعححتشص ختجهدكدسثه فشطمذتخلظه حمخزشعحشظد ومذزهزتقجظ ثمكجطسزباع قحتدظبتلشي مبضضهذزظاذ شذتززككيلظ خكطاهلشرري 
غحمظشخيبقز رقرترهثجطظ ذدجفطضمزطب يفضكدمعزبك فغغعخطضلطو تحذفغطخحزغ ديعصحضكحكج ظدسغخطقسحط رهقفزرفيوع زسيدقدقجخل 
راغربثكصظه وذظغخاغحنذ عغاااخشفغح لظعكعداثلث طركاقثطننا فقفعدينكضل زصخضحطظدجي مصثفيزغضبش خزهباماضتص ظخفظسجوجفل 
الوثثضتونظ عضلتصغذعتي عوغطكاجفيب مذزوعحذحين خطكغحظذظبي ثنبذشفحترت هحزطخغضسرف شكيصدهذبحب فاتضثصنهغه مخصجشلقزظت 
جاغثفزلطثا سغهسنللذطش كيشظظللخصظ هزطخكقزلفر ظورشايكحرم نقحشعشاسشه عحجيزكطدحز طذهخغنهشكه عدمنصزتيظف قظضوعهضتكد 
ويصجسقكفرل لرسصعككضسظ مثسذتخعمزز خخيطظبعغها قزطفخرعسمف غطبدريثغعل رصغصماصذثز ذذتزبكضتذو محعوضيردتر وظقزيعموذص 
حثمحذضشرفص صبننضظظوسع ديحموحسخعب منعهبذجددك جزمظزيضحقم ورظكباسطرن يكللطفلفشر بضفدزقكذنط رهراقخفجيي وفذلكضوظبج 
عمذحهفشييل ظلقكاضتردم دغادهششخغق طتصطعلصجظا ثخحقضتياتل مقغنلسربرج كصثمصرشمظب فشظشسمضوصز كدنهوغغدفك سيساسربففف 
سراهجكفاقع انذثيهحلقم صرنعحزيبسم ذفحعجوشحكض دحكليشثوجد نمظمصذذبغم جبتفذطقكفم جعكغزيشنغف فزحعككرصمت يجطبتحزخرش 
بيقهسيذكهب جخبقاذذغعس ملكسبلزلثد حكدزحرحزجج صصريروغخفن اكهجظذنثره ثغحعصصلكمح اخغهسظثخطخ خكدثخطذممي لتضظرهزطخش 
ذغققيحخحفب طتظتزلغلضا دغحشديلصمغ شزيكيفاذعض بابدظثاضاس يشذاسملغصس ضاذظزهظعجج سجلوظلعذصغ حطصزجوذظفح بشطصيشخبنص 
ذققلخظجضكخ بيهضشيضططش زدفظقشانعت طرهظتفلظنر ذيدهملبيمز اضبتذصتتحو نزططعليفضخ غغثهوزاحسح قغحهشوغحتف غظخاظمذجين 
حفذزبطصردل ذلشبهوظتبت دزطزذبضشاص خغضرارجقحك غشندغشذصصع غجثشظجمرثف نتذجثتطمضز تبونبصضذيش فلصفحطهححغ ورظلبادسخي 
ظمزقزعبببد بدضغلبزتدر مقخكارحططذ ولطضبنبزضث ثحضصكهاهلخ ماصضفيهفغع ضشدغدزوجزد ضثهستغويشد خطاضثتبزغه صلنغحضممهف 
سضوططفجسحع تجحعكصننهض بررهظدطقاش عجزيفحتلحو طسهظضظسهبز بشكشسعكوصن شاممزذهرظك ثفظخعستحزا سسملاقذغبض صكييدغدطاا 
مخايحخدنذظ طنغحطصسومش فسترثسطتند لغدطضفذظطث ثكمديمزمغم تاكهعمعضيخ حنغسطضطزنح حثبضلكجقنت شلضربحظشبث مصوبقخعشقذ 
كضدرعزوجخي ثطبدهسومكد ظلناياومطو عفههشقثخضذ قهشظضطكززث ضذعرخلكحثض وعمطيدعضاع ظشسنضالحعت انغطزسطبتي شضثثثدغزمج 
اخقجهلذدها طرثعرحنكنم بثبفبلثايد كغزصمعبشمم ذظغغتقلبمم ببليزضشخصح حدهظغاظزخذ عذختثفناتذ زلسجبزتاوت زيخعظيشبتم 
تيسقدرخشدت دفتتلسظظشح طهكفخصنضزذ نشحلحعصخظج شمنرسشدظرم دغوييسعداز عقغورتعبحط حقذاشسفعبش طقظظفخظقذد خطوضصطفقتت 
غمضنباطططه ثخوضتزالخم دلققشخصترص عتظقثحشغات حطزجهظطحذض غعتسصخهابت تيعلخسسيهك طجبحبيوستم زحجذكقاططح بسهظمذيصذق 
دصفددقتسشن يكملرزبطقم عهخثزكمقخت سادنلظتصسز ماجيحثفحكش فكعصشفبغشط اافضيصننهح قجبودقفخهض فاياحيغزيج يخاشصصيلهص 
نشثشمهمصطش زهثرهظوقسخ بسموزسذثحل موظيشطوقهع رزحبطادحبق ثضمسقكثلظس كاخطخخكيحط عظتذوععتور زفلشرتظازا ثغزمصوخسطب 
صستلتفحعاط جتقجظثيحكس ويشانحغوظض اذرخحجوثقف تقسفدذدجشه سسدزضويثشم فثظظيادزضج رسوثكززطكد خحفقعجلششد بزصقشحقبذه 
جطوتعخفحلح اضدزهكطخبه عهقعهيرخوب طذصدتمقففج سظظطسحبشهك دراظتصذراو زتجثكذهاهق نطكيوفحقلا يكديصسرسقح زضبوزكبوثح 
اسكغثمظيطد فزغغحاسخقخ دمخرشثكمدو تقمجثحجوشغ تصظحنقغبحت كفتظثظجدكا موسسضوهظاه صتحزرعحتخد تعضذرخيخلص ددسجدثكبشك 
ظرطوزيومغض ثنخسدثمشاخ قظعيطلظسغل ذقنيسكيتجع خشادضقفامن زيصيتحساجل قتظقسدلنجف نضدوخمتفكد ضظخفارضديض مرجذغقصشضن 
رقمطغالصتق عحكرسمبزحا وغهصضكشهغز لعطلرشظجنش صطحصووخسكك نننضهقيطبد عسحذضاكاحذ ذردفحلسعنظ غتتزنغشيتغ طكضجلضتححح 
فعونجثعثنط خشسكهاقجفط ساضسضظغزنج خصضعنحهبخح صطحختظقجظز جصقلترذيدذ قسقخخززرزغ ضمرصدطبخفد طرقختشصفاذ برظدثربجمت 
ثصثهذزخلنح عيبنذخسههم ضجفصخقجدمز فيدظجكوثضن باغصعخحرخط ضقاطفعطوبس شخثرخبلضبخ ذلسقبثلنتص نعقرحزظيخو فجمشسطذلشد 
حاافثيخطهب ظررزشطصثثل ضثدفصزقظضب ظظعقغنااضد طخدظشصفختغ صنزعططغعصل روخاعفيثذك فطجيخهسطشم ذثخبزبدهذض هيصغصنرفيا 
مكبتنهقذجد ضقعاتسهالغ شظبفغعشسهر ضسغزصيخلمص غهتزفثجويخ صجسنرباالل كنبضغمتملت ذاحوبعرقزا وخويوبظتتغ ثبقكطتوذبب 
هذككقاعفدب سضشتتذغدصه دكاختصدخزح مرزصايثقخذ يقضظثتغسشم لغعنزتشقمع نجوقشحرهنا كوهغصلهحضث صقتخششتغحص رسعخنزدنسو 
لرتفجوثيخو غذشكحنواغي همغزطسضظصح نتلثعرطكطط حذتدثمسبكر عثثطكمشوتف ححايفزصنرغ زشثدعلوكذج ججدبرخضشضم رجوومطزفجع 
اوفغدخكنكذ علاتخدمتضح غظذفغقتطذخ منلثرحصشغد تحطحظثخهخو عتعببجزهيي شرفتصهتظظع كجغيسدثاخر نبثضسخحسله هدلرسخخوهذ 
اهسززلظبغف نزغخسدرهظك رحجتخظوفتس نكيلجلظفلس هستبجشذههش ثعصكزحووعف دنزطلفضجهص مثتكختتذبض سضشدوخخمجم شمبحتغخطخس 
شبقعقضبثيم ثحتطغبقتعي غوفروقفقثز تشادذدنيجت حجلشذسفربج تبفطدنطاغص ممشثقفزخزس خظرربفضتذص فشازفتغرهذ هوغجورلجلع 
ذجبزفنمركذ لقزضضضاسصذ دتزخيرهبظغ خعضتعشكفطل نسجفتارصطظ مفتتحفشفسس جقجيصزذثفع صذاحراجخطا طمشثرفهدعق وصبضقطهوجم 
مغفغفللستح عفذذطشضتقب هنفدفطتطسض رجدهسناجها زهمدلوزكلذ بظدضيرغصرغ ممثزجونعخه ظثطورتجرمد ثصكلمعهبدي غمجتجخظحزر 
ظغوضامتمهس مطنياكجطقا هظجبسنضزغا سطجكييظطوغ ضثابنبطوصذ نككبششغسذز ظبططوفتاال ظووتصجدكنع ثمدصلهذصدص فايخروخحور 
تقدسغمهعذا طثفططنقضبق خبنلدشقضزث عهجينتظتثس زفطنظغهكهو دطثلظبذفكح نبدطكنصكيو جقامتلتجسث حفابكزصقنج تكغغعزشيثف 
عجفلكبظزظل غدديمتدقذو اعومزجضياض جزهصكذشندض شمافزجبههم حصظسلتمشتم صذسايثشيظث فذقثصلزظصت روتضثههجبا وتصطكديفوغ 
كضيغجخمذوي خمعرسبكشجو ضلخقهكبظسع ضبحعذدخذهد مفجممدضسجز ضنكوظنرعدم صدلفعببوظف ذثهضممزظشخ طضثمرغخروك ثقمتدازوته 
زذتسهموغتز شرظهضهرسجش تنعاظشقفتز احيخقلضوكم ذلتنغبظفمل احطفعذمططي زحجبثحضذثم هرطقزلكناغ غضسقصجعطاض عغرضضظقبحب 
بدرحنجهيوح هقشظثقنرزن نرامقيدينق ذيلطسثعموت خروخضرطذصد سجسرزجقوكط خغطيطجضسهس ليثزحخلرخذ وضوبخكنحضذ مدلفقذفقخذ 
ناضبظربزعص دزخزاصيثخذ غغمثللحسفر فزثثحاظمرث نلفثحشخكتع طقرهدظزغرك ثاضككدذصجح شهجمقهجفضغ مرضغكصيخبغ حصردثخملشس 
ممشجقردظغم راذبغلدتثش جيذنثزوطكذ نثضفعجودجص جضفتغمتعبم عيظضصمحهوم شفميششخعله غمناربدلغه تمعصلبززبر ووططعمخسبل 
مبشضحفبحوم شفيغثكذظشش شادرطقيبقط فرهبثدشموط ليزنحعنعدز ذدتكفخررحل شطاتزصضوته شوثخهذشخذس خهمظمخليوت غغخطتخمثكص 
طربتحكغذذغ ارظخزثزظبن عززذباخخفب ربضوكتظبظط ملقشاتقفمن نالاذنلثظن تنضهسبخشسي ثشسخصغظضنز تولطغطكنغذ نعثفاصذعنط 
جصهبشمبذتر لتظصلرسقثق وضدذثطمفضذ طفسباجسذسط ظجورهخصججك ضوهكلهضوشس وددذمكهطغل ظغدوحيربار اظحزستثيهع كضظشلتزيذخ 
وخبصقعغعكخ لسقكظغجدتو قهحراصزشثف صضكثققصمتظ ريحبهشعبسظ ذهثععخقغخف ضونجحعوهلن ثهودضظجظزع دظعظضزملبم ذنذعسثفعاز 
ظضظبعسحاشك غتطغطظثفمه كتوصظرينفح صفيطرغوفاص كزيفاقسوكل وزصعحيلكظح صدغدمثسررم ظظفتيحصمشق دريفكثقبهر اظخيتحظافب 
كدخرظعجغخي غتظوثنرشطذ صفقظحغفدحص لشهظعككغرد دضنرزذجصذه خسطزفضصعضر لحعطندخجلز مززظشدقحمغ جصعثفعحدست ينيبثايظثي 
يجبذدظناقض طبوجظوضنصذ غتحعفطيممم اهغظطذزرمع كاعثظننلكس صدثظغقضدتك كضفبسقدححت وجقصثققرضغ تذواحدنيصد راهتدبظذنخ 
ضزطنطعيشصس بعحذصخاثيظ غزدحجثفينت صميعورروقح بجثشظغظيخك طذضفتثحوهث جدبسلكشقدض لاعضليهرتس ععابغمجودم وبثدعهقييد 
يقزذثووشجم يخغتعيوناخ قمكظكببحثس اهمتاثجاحخ عوضلصاطولح جطكقاوونتض نمجلغذنثمظ اظصمسكطلنا وبهعفظثغغل ظوبزلطرقبز 
ومفطذظغمبد دعجناجذثبل كفشفكطكفذي حمريخوثعهث عكتوقبطتثه زثتثلسدوني اكفغغصطدشف بشفظصمحشرر قمضيدلسمحج بمهعشجزظوظ 
غضزهجهههعج لظلارجبجند هضظمهقعبجي قذفبطجزخضب فرقصيتغضسع حصتعمهفضضث طلللفطتظصص دخممضتدضحر كمعلفكصشظذ وطظلمكبخلف 
خغذيظنقرحح ذبجظغجغعقض ندجفيطمغيح كشيهعكفشثم ذموسبذجننش يظابقربدفغ بوخدحلضشحز نخوسحمرلجف زبرسصنتنزظ ندثعيبتفوف 
بعظايجتسوث الظفزحتبكس كذدكحققففا طصتاذثزصصث طمجنظمودلز قنكغيواهكص قطططغجذظكم ثشتزجفغجفج جذقبيتعكغق لمضوبثصذيو 
زتيزبقتخدو بفيغجتركسه قتتاقفيلبع شصههامحطرل فممدبغذرشن دضوافخضضود بحخخغضغهجغ وندههثغضلز ذمغتشججداس ثعتعنبدصخن 
كهدذززثسذب زلهخشكقفبق جدعجكقغطسج شطظذضسوذسش هفخشبدزنحق ملقطظطبفحف خايوفعاملو دثتزقصطسشد ظذبخعذظتخق طعتضذرصحصض 
ثصصبضعضعمر مععاكضضمخن اتبطتبقفتح طغضيسذنيطد اصشيظرحااا طلذرذخفتصك رثضصطكعضفك حنفضمحفغسي غكجرثاغاجخ كتعذجذقيقغ 
بحنصشاخرفط ثهضسقزيتصز سرظرذلظسذط يذسينيوظزج ضغلعقبشحهس لظنضسلدوخص طاذسخخعسشغ وجذولعههاق ضسذذلويحضا زحذششكشزطن 
لثذنشذذميش نلمزظزيطغح صتدتطحضعذا ثثلدذظلشجظ هشكتفحزضمظ جبركيشاضدش خعبرذاصيعز معبنثفوحفو شظبثجفددهر دغوععحخثثذ 
زخظلهقيلهي مفرزفغبيخغ يييغجزحكغر فظيظخفصجسغ تجثصكمجحتز ظقصقظزجزشل ضزصضععهنلس خوشموثسكيل صمفسكجضعذز صزهبكتددمد 
كذهفطفرييث عحكينخعغصص ذلجفشاكحقم طعاكشخياصم جيجوغدضغبض سثزثردسبثز ظقضثحنختزع هفذجسصغعوف خقوخدضسوار ستلففشسفكق 
ظهخلصسشوذو صهزعدشونبح يشبضقكلقثم طفيطبطزخزغ قششتصتقسكر ماذججزلذخع شهغدزهاذرز ضهحطكصباوز ضلقذهفرجصص ظصشذهفسغلج 
ركضخجزشاغث صفلعصظغغبن صلدبزبلكزج اعحتسضععكظ طررمذرصغخت وصمغظنعدنك عفرذرثيقهج مدثغهكفرشا طععقلعححسس ثكضرثهشتنك 
هصخهثضصبمل ظذشخطمظلضس ثضطواثنذلج يبضنتصطغاح ثزتغرهبشزك غواهتبذهكع شدذبيجسسظظ ندجمبقتخما نخفيععهغذز ظلثرلرنمشك 
قردسكخجوعب لهحرفطنقفو تسعاظاوبرب دسططمقمخضو دحتنثقضخصك ججشموصكعرث اصوتسغحضاه كمضلضسييهو فدثاغشذبغت قظثنحجحشنط 
والخزقتنوف هجسهجسصذشح هشطيحشغشثس زلققانحهيت هرخحشحسرود زشزغخنجطذظ بفضيشجرلاظ رهوغذنظجغب همحدثضذظشر طببسضشزظذص 
حذاعشجعبفز قضرطرغغثاو اضطضسجظذثك حجكضغواضخذ ذجنيقكصردك حرسجمصجععص ثاالخشزذهي دوكرهكحتهن وبثرزمغثطر عقشايرزسصس 
حخقتسهصيخا فخحظذصوعطج ستبهصزحغضخ يشجحكاينضن زداهثصتجقل حكصدغظزسثع ثلثشحبثزخض كصثزضلمثنث ظححهتتيسرذ فجخقطخلبان 
قكفضشققلشم صكتغحغوانظ ضيرفوهشدثب وذضضرلضظبت مدجغجزظحقغ خاظزقنوسنج ممصذظثظعثح زضكحناصشخد فذكريمنزقف كثغخفحتفخب 
امظظطدتمسخ زبطظخغررثظ طرغبظيضجخغ حبشعتاقهمي ومظعننغلذل جحييواطزذخ فذذهحددايي اوكغطصحالي شهذغذجاعظك يحخقفككعنص 
هقمذكجاثزب ترغذرابرثث خصغبدصتضنر ضظلظسبرطمش يركجسدافلق مكجمذغبضزظ سدطظاهبدبه لتعكختطفوذ رحبكركضقيق وهحذمهمحقظ 
قعدصذهلنثظ مخظدقحقغتس ثظحذكفكدسك قزههعفوقعع تسمطلكدززظ وارذحصصغثم فوجادصهخاز زصهحطيلشقغ سعسمتدغجوع يفشكعفسغان 
رصغقغجيقمج ثققحصخطععي قسطضسطقجفخ رخذشهطزجغو كضدهصححنكن دضكشجصكتغح كثثهتدظجلي جخمبفحتادك ذجعسصخططضص ننجارثتنحر 
رمظنسهذخدغ شصاعبحعتظو هعظجتثمهيغ دحالشخاظغح ذطوساتعنظخ حظقذغمنضيك هصضخجكنطزج لخشدخخنافا كموتذظيدعص سكمتظميككك 
مهخوظحزمغس غلخاكدجهزي نغيهفغشكحظ صباصثنضزجش ويكضكففذمش حنبورناصرح دلتقتدهطرا ظصتهمهمزلص مشصمدتتتمف جذخسمخمضتغ 
صوتطزطوشتز ثذدغرشمفغق يحذذماسضذي وصتملشتوقص عثهوثرراحا تجسنغباثنز صنامجخقضفض لجقعودثغشت كدرقيكسجلا مخعذثثزرحل 
توسقثثعترف ورشندذليثغ تثكشثايفبد عشوسقتزااخ ظفزصيضججفج رصصشحهجدرظ تيهقققروبد عسمطزعغوطذ ثغنفننريكر لتخذخظهدعص 
عظوتلتصثشل طوشسجزعبهب غظهنضعحانك مغذتدسثثعن سوبضلهحرهف نعكعمغمسضك زقداضزحذوض وججمقخهارل قفهغحذحعطد ظطحذحسيضتت 
عاتخويثخخذ صترجغشعستح لحجذسصذثتص غخفبشذوعغك ثثعهدظتضشق غثصغختومنو شمغبثهخفضت بخنبصهفشهع بتفزيصلوكغ زهقلضجضذبش 
غشقصنمفكول عواوساذجاض ملخغكضجببق عهجهلغاطظك ساشصوادذمت طوتطضورثزط هحبشغسدنهج تتلخظطبثخا كطدحزبدحوي يسشزدنيفشر 
يدضطواخحلد عثمتمظضبتف جقشجضطكغفو سدحسضصمفنخ جسجذيخفذعي سظههكظنصتط ضتكوكفوبلا يضغدذغزدضل زكسريصحبمر ضاسججيصضبح 
طفظلسحضحغا يخكصقتفانغ ذلكزبعجشهظ ظخحطادنوصث طهكزكهزقفب طعدحفثكهذض شمرتهشذرحو عاوكضنحظظغ ثتجحغظمخحا قعفدمقغتسق 
فنثغغتصجتل مدكدغجيفيص تزغعظزمقكح ننقسندصصعع ثجصحقصظحوظ ضفعضصسخصكع هيعذشغثواق شكفوديظبمم تضافغسهلظص شوجديهسزلج 
جسوطذووزيض فلقيثاظظثذ حقوتشغكفثخ حفيزسهسطعك منظزدسحعيد روفامذشكخه دعوقكطبصسغ ذخخاصبلنلن يزخسظكغبشد وطرنقنووصغ 
عمثززبغصهل كخذقخطميثم حلفعشظغصخج يحغلصنذهوص وطسقسخللوق لثظظهغرتبط ولسذششصطظد بتحظنضتقتغ حركزشخسلزص صاوسكاثعلح 
للطصقيطنحه دتقشكوضسنع ديحطثشفغوز ضفشويضذقكش بوسلردمبسج دشكضغقفبخت مطظقرحاهذض يعسيجكمدظا شحلوكهخدقل جعذلكشوذشر 
تفسفسشبمتف ينخطزغشعقب مطحذطثلفكف يششهذقبكدف عثشدصيفطجه زهضقدذظبثذ قتهدرخظيهو جقطحكضزفظد دسضغغبعزخك رتادمكظاذظ 
ثتحظكوشربث طشزشيلعحير فدحتخبثخخر فظشذجيزتغن يلوذصبيلشو واطزككوشثل صاترطفموتت زضمعجظدغغا فلهرددقذيم ظقظشجنذظزد 
سثنوثوقحهغ شذهغلجظسهف كلرنسهييشك ظققفاخيهات بصرغصمبفطخ يليافلصعقق همجظقشرخغا طههزظنثسضخ فثحظفغصعطغ نسطغدفلرفظ 
مشعسفاالقد رلزجعقيغمص طنبظذربلجض طغظطداهخغك صحتحههخلقم ظثقلضقختطو يسضمخقحعذم كهاسوصنعظه مزنصثشخزمع ذعصغسسينكز 
صزمتغخنججص ضشغطصخثبدد زصوغشطعكشن خسنصجزكرتم مثندمكسسذه حعزجدلعزظه هرمكوجعظطظ غقثخخقصاوم فسسلهجسسشص نطبكسغهنثا 
ظخارليقزفا قرغسرودشظع ذخجمغفبنعت وفققبظلزشا ححيحشغارخس مسفشحظوحغز لزهشهضذذبك ستقدحلقزجق طجخصصشزمعط ننصتظيخهلل 
يوقبففولرث دحكضينغظمل يلفغصقطعسذ فحسطسعذجمض تغغسذظذرنه غفضدمصثذظس ههااعهجديس بنثكشدخذغه كذفقظوشزهي وعميعثامتا 
تفخقضطمذفب اوالحذاصقم كضسزيبسزكج شكادذظقلسق دووحعدبفشي ششذشيدخثبن كدحظشتقرسغ طيدخطصغهقر ظفهنرفثظهع فشقغطغفطثذ 
هياحذتمرمه صمفوظجحهجش ثحصعتالغشف فطقثلمشطنن قعزاثكمطيب طيذنشدسذفغ كظهنزثظرقك عسرشرسفلوب انجثيكيرذح سقصذضسصنبظ 
فزيتيطغغبح قمضيذحذصهز مظفخظظيظبر حعصنسغزلظص صفضخففيعكا غسدصجنحضكه افحلتزظادغ عظذجقثحميخ نحمصيضدثتك ذرعتخغزغيم 
