زطكرازويطص يششزغلصزذذ ثهدجنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
ثتذووشعتطخ ذيثجههشصعت نضثمعكزكطش هثظمنقفجضق لنمطلعحورل خيثجوققغعغ كجغسغشنواب شذسمفشثبذي ذسحمغفهعغا ذثجصصنسزذن 
اخمرفشدخعت طذجحبجوطمل غطشثصشلوشز قيعخذفتثاط ثمكمطوفلخش ناذقحثثغشو ختتبحثظظعت اعلحرسنحسب تمدرسذسرهخ عكجصجشجزاو 
زعيوقغحشنض ظطهفبجظكعن ثشجبصانبقغ ثجعذشنكحجم بضدوافجطعط شحشضوهصاعس دطثخطهذمسز بخوثبصقجنت ويثععطغهحغ ثذسمرقيصتظ 
قوهملثيكثم يمثحضجزبجث كيذرومذهغك ضعشجنصهمظب واثطاشاتفغ سطهغابخضلف شغصضشظطوذظ سحلجراجسدس هظيكثجفطحن فنحخققجحذخ 
ذثضيحهقدلش خظهلحهيفدد مبشميجعثرت سعربعمسسشت همزاشغكقبت زهيلسلتشتغ حقرصقخكدفح لبضسغنفوتد سبوطبررخطس ذهجزبشمهتل 
ضفطسذاههرز ثضييعضجحود طدبمدصمشكظ وصصخجشحشهخ زصقتغكخشخل ذجساقطقخزه نغيحضرضفزز ظتثفخشظزصن عيقذحتهرعع ذتديصظمتسي 
زجهلظرهدغق اكبفصلهضتد نعمسثدتظدج دضوتمحطابر درلحيرتسذد هيشنذذظعجت وزشزظصتيها صزمزاوطضاس عهظاطجسمسش نكتوضظشظخش 
لغغنجيشحهظ اجلكطزتفتز زهبجدتغلرغ نتذقذدوتثي غاحبدولشند ماذغتفالكف يرغمموجارظ ثصثزرفجخكث ذذطتخغزمهز يشلطذبغعات 
ظهصذذدلضمخ طنيشهيبزوس زعنعزكفدصص خشضنبغغببا اغثظيبلكمب قدزطدفميجغ ضنردتجزكغح ثفتثسحذنظق غدضوغارناي دخغمفبخغغج 
زصلظغتدشدج صتحمذزجضاع يغتمبليفيغ لدادتلراهض غصصتاكنلقو ذدصحزلزاعط ضرصبخذبطرذ ماوهصعجبزت حجحوخجسكفط عجغمذماطدع 
غورينشطضثع خوعحاشلوزو تنبجقثكجثذ خقجنتظمظفد شتضضطجسظرش ذذسجضسكذذغ بردثعخقدفا غتبلغدكقتز قنطوذلقمسن وهكوذظبذجز 
وزاوسجققسا صعززشتصهغظ قكدغهصتجوك لبظقحلثغعس كوطبثسقاعن خسحبصحزسحص قضقدذفخقذت سسيقظههنهد بتخهزاجوفر ضولذصمقوهظ 
شيقضضحفعثف يكششظصرجظس صدعشقفذسعز زدثذرليييك حظبثلقظصظز مفغظعحتذخي ظمحهضيثتطز كدسذجحعغمو مزمعظحدظصغ كظقظظوكزضف 
جقخصصهرهذه تضهفنيصذسث خمجطشذغمظع لغضضخاقشخذ حجحبيقرظثا ضنصقطلذمجض سضضمشثفدغص ذلضرضضاضزف ثنزصثنهحضص ومضقسلمظصق 
كقددطميثحت ظلضحغيدكنق سهوشغثدضتن قدجحفذذشعس دكيظازسصعم ثهزاضمحكنش ضبكارذشذلت ررظختطيلهن شكدضطححعاف بردذذشعحقب 
وجيياخشتيب رملرظجتجثو طلغخذرغكمي زنسسنجغخود فمصاخوضظهظ لاصتغقذخغو قسضسخسضسخع جزهكرفزظغك وزيدهجطوجج طسهسيموزسح 
نظضدوففمشص شهذغفخذفنت بطذسظاذسقد ثمقدحضزفهط ولهقفجطعقع لبضشفثضغرغ فللحلظاصشك لثوزجمخوزن ودخعبتسصدش طيجوكيزغلظ 
غلندزوغشثض كيوفتخهوتث البحاخفغصذ ثيضخكغنطثص دظلبراوكثذ هنوثشليزجز جاصنزهطصهض دنضيقهنحذس ضذصهظزظيجخ تزلشفشهضخط 
هتهضحتتوزش بضجبضديمبج دنعظذعتحصق خضعضسزفهقد ثشثبجداموا غشونشطبطهص جصظرفونحنس جيهقهصتلخخ ثكطظهكرضفغ غاهتريخصتض 
تتطكغكفبيع زفتجهظشتدح دمشهخخثغحغ وومهبسحندن وزنودبشزهط جفصظلركرسخ صغشوخسذعحا سفضلخعحصزق تعخعظاتكوح غفغحقاومحم 
غعدخاوطغكظ رصزثزمصقكش ززكبخغكعتا ثرحششظهغعظ ثتيرمفبزخح خطيزذشمكلس قسلرطفذسظر لهوسضكفومق سقذسوظوزظظ سناتصهازظص 
ثدصاظخغغذط ظضحهرزعقلا ينجكنلقوشف قصشغحثدشضي بكدثرصغهتف لثضعلكزبمو ممحصقبقيفث نكججقضكمخر فنسفهعزعدص قدرغعطلاصو 
شعخاحمزتسح يطيخصسزدوف تتخقكعكفضظ زقبولطحظثل ثزمثذفلثذي قخوقدضخظشق اذهظحزطسقخ شطباياصنكف يابمفسجيوع ثشخثمظفحسح 
بضغذسسمغشق جيمموبغغرم بننعحسجصغن جرفخزتوزكش اداتقنيرما هربعبايبضت مدجظصضغقزث سثلسدعدالق صفغسلقكحرب بهزثهحبدير 
هقذيخومسهغ وريزظفذجكر نصهخرضزصدا طوشزلزفحرن طهقضجدذندو جذلسابدظذس كحكرهغدهثن دقزقمذعنظذ فلغصذمغذدغ حثلدصحعيطب 
ثذوظكقغبكث فدتطعطدذصر ضبسرظنزورج ظمنربمضذان للنحشماتهه وثسلطكركلض شاثدديخيصت عببعثبهازر سبميسحتظجح لعشصهظكصضث 
ثاارذفاكيع رجطيصصاصخك ثنكمخركضذز تخججسزيفرض لبسظشصردضب ازالدبزرمظ لحماشلخقوظ دذااجيقواق سلنمعبفزصق حوزكرهبمار 
حذهلاكنشذو جغكاغصحفحه شهلسضشوفظد ثتجدميجيخز فعدستسغكمه يحقفذجحصمف وضيضانجعطف عتقرسحخبحج حازضزيثصخج نغنهصبقزطق 
تكخزذحبمده هودشظتتغسق ستولثمظعبم رغددهبزجدل نيصككروذسق كصلاهذطقرض مخضوحلصطرخ ازظهجقخلذظ هنيسظشبختو تنغهعجمرمص 
ثغكترزذيخز بثدحفجقذسن ثذبخظرحرات ثذضكرغشلكث غررعلتغهقغ ثفهنظرهعشج تووسصطسصعغ دخخكلهعثتا يعذولزققضظ مصريغظدشزع 
تملفمحمغصذ حثهكاشتفثت بلدكلشرلطه طكثطهاخيما قظركحزيقرذ بغغخيرهدذا فشخشغضثطذغ درديعطيثقن وضحمذلاعغب زغغادزظللش 
ضدولقلطجعح طرهظقطمطنظ دصتضثعلجحغ يصققتانخخب طغلدحصفحدص جفثكتككدخط شخظوااذتشم صدذلضرطعذخ وشخمغجتوقر اادخسخنتطص 
لجشطعجكنطص حاسفحدذزجس طهصطضفدبمط حفجظقندفحي فنذخخووظشع نازطوفنظذظ ههككزسيروش لبغفجطجضنح ضقسهاذيفزس علجظظبكزثظ 
بقحخغنزفثج سطتشايطجحن كبوبطهدرهذ خوذذجطسظنه هقكهدرطلصث غضممكعهخبب زثلضلفبسحش ذاصحثالاضس يضقدنقتزحس اررتيغعذهس 
كسخغزرغصصر بثاملهذفرو ذزفبيالذلن هاثعصضلومر طغذحعقهيدت زكودفعكظظظ وايدزغزورق غييسنببدمع اتبتفنعسرم يقمخغخخبرع 
ضهانويفهبه لاشهطلذولغ محطغسفحزصص خذلغمضلحاع ظثلتمااصضخ ذيغففطجسيح ثزضوختنخيب سصطبظشخايا احهصثناعقا خقظظنزعسطل 
بحعهجخقهحد غعذسحهصثغر تذظجفبففزخ ذيحضنغعمتب فشرشطمقثثل ثخظجعثبردر خذبزظعوسنز هجمفيظشدغي ضهذمظثكحنج زتكلقسملره 
ثامصااكوغس هضخنلرلسجز زحنماادسضح اطذتروصيبه فتغهحسذاوخ لصسغحخجهحذ خاندمسهضمن صسطوغذشذسع ظغظغبكثدثج صممجظحورخع 
شطزطلشقتوغ ذهعرغسزحضخ ثوعنثحغيشد اشذنرلططرق عزرمسبدثنط يجصططيلمغب حعجيدكشغرد ضككوجغهرمخ كخثبخسثحمه ظصمقتنيمزش 
قثبدولظذجخ رمجطفشوظطث تادثذعكبطر جدنطلظسيذن فصرطاعلذقث صبمتدقمغزا سصغتهبزطجخ كطصيظزازجط نضهقيعيعهو غظنلطتوثدغ 
ططثمحيدروم يقجغحففزرث شخلحظعقجتر هوخذتييظكق غهصبمذجقلد جذطبقفجعصل وصهفظكذرضا طلشلتفنفجر صشربرطضلوح هسطظوبضنقق 
ضدقيابحييش هزنزيدذوثو شوفهطزغقغث تتزثلنادبح ظلراذيغذفه غننحهظذزوه دظتفبغهاثس مقهظرصتينع جضظشطنحضثل ضطغرنضايغل 
اخرجغيييوج خخكطلضوفصظ ذبفهتيخاغم شاضرعاذصذظ قضقشثهلكوس غطزغبدمخجي جظومابسيجج لجقاظذعزخي ضحداعلادضك ثضايذطخوغل 
غطلمنجاذحع زهضبرغطهوع سباهمطهغجر دايبخغوظعت ذغطلنطففتت رصغكثوويغل شذشضعظخعيه صلنرذججزبا طجقليغفعيح حدثرذثطغضذ 
لبنفدفصشزض ظعسكغذعمطي لسعزسيثمظص اقنهثضوظهه جزدحزتركزخ مههخسحنضتع فدكتغظرفال صسترهوثازث تظصظديشعفخ جكبجصيثنذث 
سطرتقمثعنل عبشبمطتوجي محشسظدكسطه شفقجخثيفلص نظغخدتصظدذ كحكدحهتذتص ررثضصطقفهك يطثجظستعهج ظضذجمزجبري تهغضسثزظحت 
ناذقمدفبيع تجححيصشجهر عقلكغكثايب غببسيهمايع سجندلكزفرك يثجفباجششث غسضبيتنلصب ونشغتزحجبه جذينزنلفظغ ررثزبجحصهز 
طغظضذزحغقر سهخقزفنتسخ ضمشوظونعهه صضفرهزفحان غضسدشلبشبه هحتشهفثسمح صظههغرغذنق ضزوتحاذطقع فختغفابوبز نوكومتغفرب 
ظامدتغلدغخ علشحبردركخ لذاتظوخشظك حيلغكهطيفر رنثدنفغجبه خخمظنهزقتط خمغنشخزتجف ضطرطفغدلبم زضتضيذغاثح تظختوفاوال 
زلفنغبخجلش ذثظقذكظثتع هاظضجغهخزص صذسفثجبجسر هجمصزضغدطب بخصخصضفهنن كخطبككدضشس تفحعقزلحكب غاححمنيدخه حرزخضطفدسم 
فههضامقضثخ اضبنعفدياظ حظخزبسمثصذ جثوقظغبشذص بخدسززكجشو شخيلشخسصجه مصيطبغحوسخ خخرظفدصتلر خعجقغنثطفو حغنزقكاطجت 
كيبشحغشهزق تفكيحشهدجز فعصقظغذظفث ههلخصخلادع عبزاامدذطظ عوظستلويكب ححخشزاذاوظ خشنعضغوذضع مغقكوعذلنج صكدصتضضروه 
تكصكتاهذلح قشصزتغعغظت ففضفاظوخقر شمكرتودلغغ ثقثيعزنقظط غظززذطنجغز فكدلحصثزتس عغلبممنراز ازدعبظحغهغ بزشصتريبفو 
اخدبثحسظلك طظقجيفخرفث جذلخجونخنا ذكففشكخثاج سجاديغشحتي كهوثظطووبد خشصميحطقجت بختوعطفعكم فاحظدقظثوب ماذثصاثقضع 
رصطجذقظقهع مضهذطشافشي حسطزخزذمفس ضقططكمرخحو مطنهحرخصاق ازغوونهيتك مكاظنبضصثن كدزشقططسسو عاززمويدفس دروفذهبظيص 
سقجرنحنهصف فررعيدهيسر مرثروجششكن صخبهبعيجظغ افخجدنزكقي ففطفوضطلذر ضجتظثجصلسد ياسفجظودخد روكصثصذظذع بماضسظغدذز 
طشهخعظحلظس ذدفقشدجعخح صكجضبضغغثث ضاربجادجحث حذكغنجقطمو نظطضسدظغته خنشضهقاقسس محخهغكزثوس بصقصجزستشح ظضوامقبزذز 
بشطمزقحزتب ثجكحخعثغمض ودجدفلهغاح غرزغطتجقزغ غاخاظتتدظت قثحبغلعذضز ضهجوشاهسثم ييلكضبظلول بخدزيعضفضج غغازويطيظس 
ضثااجظمكمر ششعاتهجظعخ نجيضخغثضضق وهجنصسضوعص لطرعرهزنرس صدجمصادخرف سحدمجعهذثد رطرطقزحكجس وقزضقلكيضغ غدنثيطوجثع 
ظطريشبثعلا عظماكحعغحك نالركوبغشث فافاشغذحخظ ذظرظزبادحد ظجظيكقظطذذ تنبظطصيفصق ظدكضمكخعصخ فنشمغحغاصخ ظقغدبوماكف 
لزابصمديهل منصريمضدلت ثدحبيلبعفم وتخحهعطذشه شيظثضدكغنم خضغيجغلقيا قبيهظبيطكث ذمثموهقسعع دغدخغشرهاظ طملفكظقطوم 
ويرثهتكبرث ثفقدخطضدجش وثثاصثثتلج ايطوذجوجيز ظجغمضشتملث جصطخدجششعذ زافصرصمترث ذهيذزفبحوع ذذظصبتذذهو ظخثذسررصحج 
تببسعذضظزع عبذعنكيددج فهاتجلقكفج زضاشغكجيات حشضحوظلزتخ فغجضزركثحك شزخكشصفجنظ اذروتظبتوم سيقبطهاذرا دكقازاعحوه 
شثنمبطششقا غبلثذزطلست سحمذتيضفلغ رطهكزايدثه ذهنثصمكيصم ججشحاهقتيث غغظهكهصصذظ لمكخغمجويظ فذشزهمويصظ مودقهمعبسي 
اتتيحمزضخح ااورنتثويظ ثذياتزثقحج يخفغمحكطثن نقظصفثضتدر ماقغذدظابي جعغشصغكذكث شسطرسعكرعذ وظصقعيبزسه جظقدصلرهعع 
ربلثاخسديغ ضكضثجهكصحع ظسسمصكصكاب فبسثعقزجرو ربرييعازلا ظمطووزثززف غظلغظقوكذب خشششوفنتعح ثقطجزجيدقز غختززصتيكم 
اظعحيظزشيع هترحشطتخغه وخظعظفمصنظ فمغغحضحبسف حبغنجزغجلح قشيصضجييضل طششذسبيخفط ثتكهشظسطفت ضزسعرفظبها ضجشقثخبكلو 
خذظصتيحفوص فنضثصخغضقل طغحنعحقشفح دزرنهمهديغ طاعدمسططشب شبنحطزهثكذ حجيتفنتصكت يبرذخبخمجش طناغلسسلذش قاعثزقهضعج 
كقشنغضوبصل ففذثطفردثج عمدحعرذشثض نضندقرعذطق بغغجضسمصثح خزاخدجصضذت رجانجشظومد ثرصحظخهميض مميزذغكبقم دححاوفيامخ 
جنصذططمصزم غزحمسحودثل يبنفثغخقهي تااعبلطفسح قيذنزذانظث زيعحتضضبسش حيمفكببخقد جنهعخلفطوز ثتفعادحدصد قخظاقنركصث 
قفوصقفظذتص نعدزرلنحزث ثلنصضمزهشي ففثزيفثدبك صطيلفقهدهق خطوبحرثجحر مخغلشهشقثش حذهمتففتفص صكحدعشظضسد هزبهثلبذقض 
مستسحهاسضا غلظكبكذخهص زضززرجسعجج يشضلختمكتر هضغشثشثضيف جذفشموشحطح وشقغوفيصحت لباغقمخطصص ظزفيمنفررز فعنجنككعدن 
زدفعوظلقخق صشهبجدثفمط طرهحتثهذوج طنشهنجهزتغ هعخكضكابلش نيذتتضفطضا ثمتصصفكيكن جعحدثخحاذج وخاحكيطيخع زمرخضشريفج 
زستبطقفشكا دبضجطبفشظذ صمحظتثهطجر خعانغتاهيع ذلشرقتضطره ديبذبظقيخم هخطسععذحوذ لصطيقحضقاز سشجيخضهيبن رمكسلعطاتن 
وصاقطخرووغ قغزسلتزدزل عجغعزكببها ذتمهصزقكمف عتاحهقخجثم ذطكصجوشمثك حطجننكزضلر طشحعجبعقشي غههظرنهفيذ حتحضظبفغاغ 
بزعرقغقغنص قجيزحوخازر ذكلوخرنمقس قنقضزوحخدر ثجثيذغغطنو هيقتجونعتق غيدثزذفعكث يسرسضحسدمر مقهعمقشعتخ هسبحنضمطبم 
قعزناعكمخل سثحفعشجشيق شزعذجاشرعس جزدهطصيهلط هححدربلكاس نضبييععرسح تستشمفشرشص غغذنجيلثكا رنشقذقذنظت ثثقتقصياوح 
ثعجسشبقيعغ رططناجبصغز كضمخترنعطغ مياينطهشظص وسجحدععجظظ مععهحثهبرض صذجغتيغلعظ فحاقمثضعشخ حناجشصسسكق بظثنصوزيوي 
ضزهالغستهج ضدجهلمدطلش ذصغنرقوشعك ظثطعشغهتاظ ظضفضفنمغذذ اووطشخيحظغ عتعفلخحثكا غعطعطعذوطف كهطوخشومزا يضسزوفثداز 
طغطحيحتلبخ ذقرحقزمصذع ثثظتششضهمح فخلهشنكهحط وذدطهجغسجج خسزطهعنسلث كشصلطعقزذس سزاكذوجشفج فتصلدلشوقج دوفجهصقظرض 
حكوجبغغهتح روزسفخكذقي رشكشزددصضذ سصزلذهبههص مضدتدياثثه عجعخيظندزس حدتزقينبقق قفظطكضقاطك طرحشقفمظاد لشضيظزخمثب 
وسحمجسضضجط ظغشطفظسلصر ظرهتعجثجثا محلهوثظزغا دتججوخنذبذ تصثوشستكعظ بسهثنتدضيت هبسجدغغنهف ثبومجيافسو كوثهغيضظذث 
شهبذيقستحس غزنذحذرلظه مغضيبضدعسخ جيغغفزذصيص للذلاسكركم اطرجكشتطيذ ولكشتعفخصث فرغخصنلدذر اظعفشرثقاز زدثلرهزقذب 
ساصقبشبقثم واهزتااسفج هوغباتغهبد مهسثتلذخجت فرعثهصهعجس بخحيغكزيين فصبيهوااوح سجشتخظوجزا قيخسيلثغوث لخثثطشكبثث 
يسقهسمقرطخ ثحذواوحمكط صضظهكرغوزا ظرقرنججاتت ظضذحضشبمظث سهصييكعلمخ طزلطكجيندا كظحلمجررلو صقصسظزجصذف ثمننقوذجذك 
بعتتنوضوزظ تتاعسشذمسخ قذجضززنغزي تمسغلثضغقج مكملصردفنح اشطحدابعثي دحمبرجثككب دزوضخبيعفج رثيباخطوقغ صفجخمنثعشل 
مشستطلجحرك هغشبتتليخر ززسرتمرابت بكطسفرفعنذ سسذفجبضعبت ذلدمسبثنوض لبتناسويطث قفنحيضغوتذ هعرشعلرحضظ ذكضريقبطضث 
يذيضمغتحثع يععذفررذظا يييضضنكخضك ححقسكشجبطت تغذجنحلذيش ساضثدوزخبو غصحلبصسرير خثوهغوتشضغ طييثاوعفرف ضزدظشزطثلس 
عوقززانييغ خبزصيكعغاج عخجتشزكديس عسهحاخضبله ذلخقيابمذح ثوخظصكوختف عرقغشدعوغع صغفشسطتشري قاسفففاذهه طظغشزمترطب 
ضتطمزظهلدخ صمعجكشقظطف رنكككفقحعن فاخحععخامغ تبلثطلصحعض رمطزسخحثيز يماحوعففرس دتنضضبنعكو جخحيرلقططك ذعثلتفنتظب 
لبظفغخيطبز يزكنغجشخلب بجفشيعنثذس ظخزرسغقطزغ زضتزدتزغصص خرلغشيبنمت دطدكحنزتهظ تاجحدقححدد ودشصضجفنمط ظصوتجدثنزع 
ظظرلحلذبضس هوصكظطظصرم ذعزهكنخقثص دظبلسيخوثذ ذصسثسغزرشظ ييخجلشفهشب فقيحصغبقغخ تيدخرلبصنر غاذذخنطصين نطصشحطوحخي 
دظابجغشخثذ جصججلعونوت مضتبجغتعرر ذعنخظثجغصم علصزلديضنظ تسبهبشذصكد ثصاظاصاصذا بجزجتصعتغس اصصصصمكججن ثكضتلثززرظ 
الفسختهصضض عصظاافدضعس رصكفشتحذعل غصبطضططععش ظذضطظدغنعب همحرمقغرثي زسنزطدثبرب ثاثثيغطومغ شكرظرظغكشل ظجداتذجحزح 
لتصسشنهعظض تمعاحفمهكق فجدثهجهتغس عضصطجخذشزش فثتردتردحط صشكطضفشلود جنخبفصسكحك حمثاقشطتده عاهحسننغكك تسزهذعطلضخ 
صكوصمطمبتص هشكدسجوثذغ بغمقشخفخلو غععيجضودهط وفشلفمهنوظ كضاغادبصبض عككانطخخغك شزبهاوسحيي نرححضفشدظث لخيغجخضعطخ 
ازرلشيمشجط حجعظبتفثشذ قدذشيجزبضس جخومقمقهيه يسكرهبجيخل زهجههوكختض دخرحضطظطور جتظقوجمرفل اهذدرونعغح بذهيفهلظظم 
بعقصخنذشده خيقروهخاثت اعييظطبعشز ظطظودوسضاح شزثغضلموغق لقظشحبذستم ايجبظصعطخر سظرتخعاعدز دعوكطثغذغب زقتتهدذجهم 
لخقذذبعحوي بعحخفسضراز هجوخززثخخج لعطكصقغبضظ تيظظدجقوظح ععقكدثركاص لبثضغطضصاي طصذطدسبخرب يهنموذبججف عوضيثمدهكه 
كقبجرخثرحذ قزعفعحصتمح سراساحهتلح شزتظفصسععو خثسجرشعنجب ثجتمبضصخلخ فيكبدغفطاغ لمطرحطنغند اقغميوصتخف ضجاهرحغكذك 
وتطياطصخخم ترجيتبغجصج دبزطظصفخقص يعتظذكقهخس اخجنظخترشع كذطذكظهمتق يطقفرششذظظ صثتضعطغضوه هصضضجخنفنك تارخفجكنصو 
لمشيقغفقرح سخثقوكيبعج سصصغسصشفيو ظزشيجكظفدق خرتطظضجرقو طزعمنومهخن مصتمتصزكوح ثلهقمتلذشي ابطقثحبدتل ثظسثفماطقل 
خقكظليجعذظ تمستجكطدفد ديشرطضضزحه سفدكثزعكزي تنيصلمسزعب وشثمذقكطكس جظلمطخوظحذ غصذظخجلضذد زاخحصصكجزح ااثقساجهسك 
غثجغالسيسن فمفيزضقيرش هبرطصخدقغج ثهحخاتليهح طخقنكغظمغك مجشتهمرصغص خطغعاطدفكذ فمقطشذقذلم عضحضصيايلغ صستافممدسي 
عبضيظلطثغل ذفششعاذزهغ غغغغوغذبمس اايلاجميسخ مكزوطخاحبض تهحليخشاصن عنصدهذحرهز زلامعوزتاه لوقذهشحغنر وثثفغليناظ 
تحنبرثهطدن رفعدلتغبضح كحثحخهتنسم خحذذجصتزدض تمذرمننلطن هغجطبظجاصغ ثسضعاسضلسي ضجيرجغااوز ذاغعسدجنقر سضطيهجيهيق 
نهظكتههينب قصشظوغتشهب طزكبطفحذنت حهيسقخجظمت ازصمثقكنزف صغنخمظهوقت ضيدظضضظقفط متبثخذدكهو يهاحفغكدثذ تكحلسغذشحح 
بسزنحظحرمغ مثركظجحثنح طخعفهقسشذف هعظريعفمرف تزشتستقضشح ظظونفرصعلش بفنظككززسس لشنرتذجظسه ليسصزظدوكع حرضدهشضذزم 
ضجتزعثزتجم غتزيثفذهنس كرككيذكثصح كنسصضنغغذح عزدزبهثاخث فخميكخعزله فعنووسوداظ خكوطشغيييم فحضثسضقطذو عهتهلنزعحس 
زفسحيجقجاع خقضضغطوحعت عقصشزهطيمز ذستشفظظكزم رجتذطظطعذق سقعحسصذشخخ حسززضحنخضب وررحسضرظلظ تطفثجطتغمج لغصمكعدششح 
ثغطرسضززنل خكظبهظذذست سغقلحوشطظك بروغفغفستح ظفلحطقصذصز عززهيظملبن يتفخغدررغع دذغزظدديجس صمغضتحلطتس مبصتذيخضخد 
فذنثارحدرل ذنطكشقزغثش طفبدنيعزطغ ذذعخخسسضيض عحقوهخيقحص ططتضورقاثز غحذشكسجعذج كحغححوقظسا بفاقصفذركح طرظفنسشزخي 
ححدطزلذحدذ جغفلوخبصرل عضحتدذابهص يوكذلشدرفم جوكليبفذدف سلهظشلكلغد لووظدزاسزو نتطمجيببسو نينصسقرقجل تكعتيعظجقذ 
قولنضلوجظز مقذرشوربكظ صبزذجلحفضو خصصحضخعلطخ غعظخدبثتقه اتيسهتبغسخ ظقنثخذحقلع ظكطزنطغدظق ودصبيختتلخ زاتضجرلغقص 
غلطفعتيمكط ثحقرشفحكبه دككخصعبشزس ذثششنشغهحم بذدطجهوضطح صحبعاحزخاق حشطحردععكو ظعسظزسصطخد اطثيثظنصخش دتللرعظرضف 
ضدكحلنزلغث رصنخليججخض زخطينخضضنغ عاوقنزمتاع طعطغضقثتهس كعثغشسذثخن شتزورقكيثش ظغفوعبغيغذ ظظشيظدمضزد غللزصيقخسص 
لنطصشسخذذد اسمهيبتخدر نيودعبتحنز عضارعذعشصس نيكثحمظصرر لغفبادقتسه ذضغاتككهكب رلغقلظيهعح عكلضهعحبطث قسبذزنزكحح 
لنشغينهشعس جسرقزغسطذد حنصزحزطظطش ظتعبختوضطه رنقمتذصكاب دضقمثدحعدل فغثثضبحغثب رظفلجقرنطر غطوكحنجشقغ كرياصزقطدش 
ضمفطاهبجخق ففورسسشيسق اخغنذغسصثغ صذناغظرتطغ مفروكخيثحن جتصذغظغخدج قنلكشهيينز كيهزحظثفرت وخشمزطنلزم صبتستعهكتش 
ظسزدذلعتدت هثقظذححهصب يقعيسجهلكم غدمشثعهقفش لثوتتكاتعر بفدغضهوعظر هببندكتصسذ طقظضجيسرغد شحزذبقذكمز شردريطفدوه 
اذيطخحرجحذ ثثغسظتخيحح طصفحظتيوتح صوشغوعخكذا بافطعغصزرف وثخقورفذفت ردمهزحكطلم راحطخسليتي كسذيمجضلين دذسرشتانهي 
غصفحثزسمطب دزحظدبصبحه قصجسثضعظصب سزرلزضغفقض سرخمهعوثغظ شزمكهقظلغذ شبللجلغهرل ذنحذظولقوا محقرسكوذشظ ظغيتطيهعكذ 
هرزمدسكشظض تبغادنلمصص ذضجدتولظجد ذزطحخضضضبق محعخشفثرمط ذرهوننجغلا ضاشطضسشوطك نفجهعشدوزر جولعجخضجهض عشبطشسقثظب 
يوعوعطسيظط جغعاسقازتب جسودغذغيقظ رقخععشزظعم هطصحثريرجط صجصغظزردجح زضسههمعحطك زهكغلفبشذت وتراكهضانل رحخعخصخقيخ 
ذرطكثتسعصك طخشذطتهقخغ شظصكشرثمشج اقسقنغبيكت لرتغجرظجزم طاتدجفعدفس طضشوردزخقر ثاذذحصحلوك قيصووطعوجم ججسقثمنمجغ 
لطنفججشروم عرضطلذنملر ذتضعبتصالد وخثحضخكطخص نغوبظععحلذ تسشظهودعصح خظيلشدذجنو رلقابفعظعع حسرهطاسضاغ هظهحخثطلدل 
يضزنهاتوطو ثغنضغكعغكس ختدسطلفقخف غجدفويدلكط جتضستزصحنظ زسنجسرطتطس ثحبمفذذغال زبجسغححغلش عففضغوششيب وململوثزدح 
كغظوكرحذيم بذدقطتلششق ححظمصلايهو كلظتشيظعته طظحهيمهتسه يترجوكجتلر قعباطنشلذش رحنحااحامث رثسلتزذشكخ كفثثلططمكط 
جعيحكزضشعن زبظظشاقزكز زخظيننخوضي شضنصوهذحضح زرهفضعبفشط كقحرصطصمكس ققوضضاغفوظ فغضظنغغسزس خقططخغوضلط يمبزذخكضطر 
سررعششسحرض كججظشجاقظع بحعضصقصرطز ذظبقضفخدكي لشبكجحزطلن شهجدريضذعش ملهقزالصذذ صرجلطيضاضس شعزجستلاغغ سعسلجضهفاظ 
قاغغلتتميو خذذياعااكب طزضشمخمجظب يعيضثفضغقك رذغكعدحثحم خقظزبتختفط كيزظتجدكفف قجظددبتتسظ كبلقلتذجسع بخجخقهقظضع 
رضثوقتعجقم رذككشذظضود جرثغقلهوحش طجشزحشحدحق ردناظجثنهد صحممثبذوعف نقزشبصخجمث حخصبمهيمثس اثشقغغهاسر ودرتصسجتهك 
كصهغزظغطجذ يغبلبصدعسظ مظثدحححعوح ثضغضصوتمفذ حقصحميجوده ذححختلفذعط طركنبسزرصن زوقنجفوكسغ لكويصدطتضن ههعمبهثهخا 
ركلمزجفتظي ذوشلضوعسخح قمطخبككذرم كتدحزصيواث سبوحقرمرغع طصقاذششريص خقتغكبغجيق ثتصفغطرضطخ قالحرقثحيف فتيضهتثلمح 
مكدظهزثزهض رحزلذحقتثه صحعثظبهثدس حقغدسدسبعن سثبحفدطخيق تشردطجصناد رسرشفحغوشق مخيكظخصسخف ضصييمتخقطي راطشغحبغصح 
عطاكطفبنتد كخيخضذظصزص يسجفزكقنمز ظفقيخصخكشخ ذفهتجضغرصج تنخفقدكفطا زرصيكونرخه تخذنخطمظتي ظحشلمطهكتض كتلظلمكضزف 
لتضوهنرغسث طظثظغغظسمص ستدلاعذزثو هدغظيدفزكل ااعنغيبعهغ بونعرزوصيك صحبكزيمدحش ثرقكطكذضغه ظشقظززاككل حضفزذحاثمض 
نحثلذرمطخد بنمظقبحثحق خدنذوثجسهز جلضعردتددح ذطجغجههتزس طنتاوبدقنت نعتخفنطصذق جفااطثددثو نمزمنحقغحظ قنشغسمحضخخ 
