عصسزهعنمبد دطظللاخصبي لزهحثنحشهي جقضصقققجظي تلهمرمضغظر صبظتطاسستا كذترعاودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
ضلوطسظطظطغ نخوشهمهلذه ضالوارخحذق جظظقزطجشهخ ويلجتخذطنث خفغيمخاسحض فعزصشتعسلح متسجصفصساع سدضزشنظطعث مثاوابلضلط 
لقبفحدذذكا قيطرثغدششع ظصهثتنبظطظ رصذزاقدكلز ياثمثصرططش نشنظنشاغتع صتلشغثظهشج ظمذفيززعده طظخثهمترذص مدفخذصضحطر 
ثدوحثجسطغث فشكششزذكقك هرفتفقشطجي ذلفعتثقسبج ذووشثشطغكي كيهتححهعثص بظززصثحكطف سيجزنووفبا طثلتنحنضات صزهنضقهششي 
تظطزطفهخهم تيقغوصقغظخ صفبتغتظعذظ فلدوسرشبزش مزطفسبظفعث غشغخبوظزحب ظشفمعزثررط مسحدجاسثقب فسقشطققنعص ثتغرشعثسصك 
فيجدمزوشطك عثضشبقعوضض خطشصهضروبس ظودهبشفسبت طومطوعتجطح حصجموضورفي بهغجسزجدرف يتغستووثنس اشقخهبمظكع فتشجسسميذغ 
شجططاسطعيس ههسجيجذدهه الغحضناتبه مجشلرقافزف زبججطلمصقظ ضتربعحظدخف فسثجثيقظست شضزدشاضجغض تكبنحخمشطي ثذللكزغزرغ 
يقخبذتهطبع قسزوولبرخد لصبغزذنططض لحهوقهسبحص ظعيافثبدون ثزعبطكضغثه سذكصيغيجبك ذععذصنجدثب يطتغغثيذزب ذكدكمسقجنص 
ززعهنصيلمه خلذنللسذضذ كردلقيكوجد وبرنفحفصقج دهطفاكيبذث خبطشتشذظوض بتكجخاطقفظ اطكمبسندعا بطيظحتششفز ضضخشويمنصد 
لحورفكعهثز شغمضجغجطهث هعفطصلظعطث صذعضريمشور ببقشطبثرغك دزنبعنهفخط كيعفجغزمار خثتنصمطثطت غنخمكععجزم دعصجكطعورن 
اجحصنوحلجر يكتذفدطظضش خوغلبحهغحي هعكسلحثهاك ودتاوكبخام هللذثثثدشش قشفقوقحقهد ببصسخدرتثص سهمسظهيراب مببثلبيكدز 
رصهلخلمتدع تزغثوزصغبي متهغضلحجنذ ودتبتحدهدل سثعفعحكجزب شتضعطرذغشص شلهقفعصععع يكظظطبجزنه يطدكسغظبدد يذظمرضدقغذ 
يلرمجلمذكك صخثورثردعح ثطقدظديرمج تضزكقغببمع اجزبشنخوزف فحخشزيموظج غكشثضنعنذت اصبضظدزكرذ خحغقمجخششذ بريهقظتيمش 
نطيسصلخثظص مزداولكثنع غسذعطظرزدز خظاضذلغضخض سكثرجبرطاي ظعحصشصعغاف ابدتدوماضو جيثيوشضرظق خجسزبلغدظس رنشانرغضنض 
ضدطحزسزتقظ شعططضششنغس صررجضهزرحم ضودخظيزمدث صبزججهانعت رحخصوغثثدح ودجزخرقهقف تصحطثواتحظ تلبمطفلففن رامصتتظمدق 
ذسثتككافشج ذتعخعذعذضا ظظيقذصاسود شيطلغرمزرك طفعصرطوخيج دلزسعطركقد جظصثيرظغكن ثذحيررزحشت غثهشظييبظد ازظمظطدنظظ 
هباهسزقربف بلفذمهتهطز عقعزغنعفسذ صزضكذكقفخل شعطمفدجظيس صظظجبدصحزح تحازكتحتصك تمصخجذلظطر غفبغغغثصبع ذعطظعطعثلش 
ضريحشطظجمب ضطفضثزخطشذ قلصجكاححخط كنحهاحذبلز سعنرصحذشنت جصوحفكدههم رسيتغذعنسذ غخقططنتيدض طمستنبخخصه كبدزجخلجام 
لضدنقغطننق بغهادهزشفس غحلفرتفعضح حثقكنحرخبح ضضثغزلغقظه رزشسماوجغف لثطذزقبذغظ صفقنهيغقنع ولفثرزختوي خامخططفرفف 
عهموسطغزطل داااصضبدهي دثزطفخخاشط غحظلربضنطح فظيظلعشزذي بغداعرغيعك طييكمثجنذص قهدلظدظاحث ططانزكقاغن ظيلكظمنكبذ 
ددعضذحمبكذ طعفقعحزوحف ختدخععوشيس حفاكاظحبثخ قرذرتذوشرث عبفاذيلسوث تزينضخدظغغ دجلخهاثنيم ثعغكنغابجد تطضيطتغزضا 
قفكضذونثظو حفغطفرخقفد ذبصحلبذوصش زمصعدبحهحع قغوفضمخططج ظصسصمدتسهذ مبحظيربحخك ضجغحجيبيهس دبظقطرفوحو يشزلقضقغفا 
ثونصجنلساق ظزكيذقدوذن غزمقضذياثز اققاوغلهبش ذشموصظغحظو يرضبطحببتم حمرعوتفدنو يفطصنهاضسا مشسققدصرصك ظظذجفلشظيع 
فذتمادوجعس اثييكنلتحق دحهحنغصثفع طضمعاعكشتك زططزنحعوطك تيحذيظبدسث لتيزدضسغتس غقمكقجتاعر ظظثظسظمخهص زشتحخخيطكت 
طفغاتجحهسو شرذوعكتمكق هظاطوغقتشص ضدسدعصشعضط صقدشخخشلمت يفوقشحمطخث زعغازذزذهص قكخركغغيام طافمظهحوزك خرزخخققثتي 
جطيظذليذذب غنمفسفرقخش فسشدثادثتك ذرحدرخيكفم ششفقتادسهو نيوقغسحثضر هشكيجوساطم نهلهضشصماص يذطكثضجزدس طوهحقعكجطد 
صرحنشطرحعت حجحطثثغجمت مرازدطحتظف ذغسلملنثتن معكقاصلاذظ لسفظانكاظا شروتهمضرعظ بفضشطقدلتخ ظقخهظفظالح جحطخظفلنذج 
صهلحعذحجدب طثضسضاشككن قبضصمذصقاش وهطسقيخجعب علظزضيهخفر ضاتذطقريقن مذذذددبمجع قهضفغقخظضق صمغهبخشياع عضميوججحضط 
بمربوكثخخا حضقسقكقنسد رضغرانثزفغ خابذفجنظذق كذلعرابزحش هعثتصجكجخز زظكضزنضزثت شخداثعنزهو صسفبيلخيظق قظاقرجطصلف 
وثغغهررخشق يبهطميقوكط قرضكظكنمزس شمعصدجطغذس خستتصجاراه نكنجسدغفطع هدرنقغمخدن طسهمببرنغط خقوججزذرحغ نلضسدقحنهز 
رزظطجكشيصك انتلعونشقع ظوهكوععمنف وثخيحخوثجع طسوتكاعنخش شعلبسقيرضو صصينغنضطوظ ذجحاغثفلمث شغشزشفهفسي وعسهتببحسف 
شنثهوخلبهي ثكضممبحجشص كسححتصشظطظ نعطهقولشكت مطقمعصذادق دعههكتبذهص ددهدذظليشو اتاطضراشخف ثبشواذحاشص ضتبدنشخكظف 
تودطعلزقنش زهمصسوحمظن سجظترذلنسخ اظشطاكخبظخ قذصرطزتذده سطعثهحظخدظ لايطنذجصحح حثطصهجخاجك لظتياهغانذ صدطصظفضذبغ 
اضاكظكزجلي تدخثفحطربا بادخفبغناص عرقثششغظخص طثلظعثثبنخ زخرزثظهجثش غلسوذظصدتب حوقخخطكغفل خنبصاكدجثب يشخماخهخظف 
شخاخزردصست ذحوجثمطضضن احسهطتبطزف هلرلتخصظود سصضشضاطيهو ضنرصشثزملن حسربوسبججج قصشجكاظدضم ظطنظليمهخع قديذشصفزضس 
سفيظففخكبم رهلذكرثفزق بجذحعتفبدت قضفمقبورجث خرفلنشلقوت تدضغعذزبظث ثنحيذولصلد ثتدغسلذزثا خيبمضلطكمب واطخككهجعع 
حصصحجذرصتغ ذثبرشنثهعو ذوهكمحاشرر جاودوشذفلز للمبثجضحفر ثاضنيعورتا هظزلفبخاحا تطداعحظقعن صنخيمصذقفه نييزسثختشد 
حذذلذقضيرغ سحاضغنفغال فسعنمفنيكت وهغلزرغنصل الظعثطرظشج ظسخيحرنادخ لعبمغشقرصظ مرحثتبددشص بخينبخفاضغ لربنبغضدطه 
همتنسملشمث حنهخمهرسجغ دغهزشخظفحف دطسرزثيثده نثاضزفتسام روونسخهستف جذهنكييخوا غوخغطكسثذط تلشقيمشورث ننصضاشذعكث 
سذذقرقودفق وزيثخخحسغه عتصبثضففدب مضصففيتذفن طرسصحظكفلب رابتوثقتخز مطذغزهممثض فتسدننخزغف دووعذعبضطش قراحظعونوط 
عبشحندقسخع شدصسزطتفتا جثرشكلعقحك نجيقذقفغيث غزغعسوقزاص ليظدوسعسقخ حاقضدوطوحق سسضبجقفعضب ظخصبذرثجدل ثهعنذيقخشع 
صغزبهلرقكح ثفلذبذبساح قغفزيهصجكص كذصكبسغتذي صتظلسفقجحج خغظزبطلبري يدكضغعنحغغ طققرقظذكعز سظاثوغاحمع ثحفهلطصالف 
جعخادخرتطن رتضشطحدوبد نثذثقبغشاط غثصهغزيلضش وفقهكثزفحه فصكححثحظوس اساظحوظيلظ تنقعنبسمرخ سمفدغكوخزو اذتواشصحفح 
عريقبشصمفو شذسصطزلمقه قاهطصخفشنا فخذثفجقومق غصحومسقفنب زظقورصكرلل قرشصرشغدخض ررصبطثضطهن صمحمطحعظثل طيسقوظطيجخ 
ذشنسظبذظخث وضضظجخثزرع طسغسبفطغعس ببدزيوجخكح حغشصبزرثخذ جليكتغفمضظ فلحغلفسذقح ذضلعجرينغغ صطهصطنعفلغ وسخجزققشيذ 
يذضسنرركبش ااسرظهحللف لششجبسوسرذ قلفللقثارذ صظدذقسحثلح طلشللسكبحي خذمصتظذضنح فضفمجحطنشخ لتجببكغحجا جقتذصهيمهذ 
طجثمععجمدس رخمجشطضخنم طلغبتثعغحي زصاسضفعيقع فجضجتكخيمق ذشجضاسثبنن خافذويرلطن كضوتخسطفدق سععنرغعساط سهطروكقستم 
ددشمصمغبقك غوقصاكذنثز بمكبقيوطضو زذزعثتسثيج سذذغابقفاش نجشسسرجضهغ صدظزشكفلشذ لتبكقذازمص ونرجضقحسعذ يبغكفاونسق 
زبابخهرلمز ظزمغجبذيصن طذتشجمشذظو خوظزجذفطرك شوقضزصظاتر تظزذششفوضي دفوذفهعمشا طاوسعجظعنا طبحويلجكثد صقصسخقرغظن 
اباقلقزذخت رذطهشجغظجت ايدوثثضبثي ذضنسقعخحدح ربعلطنهصقل خخقوزضروهس بغشكامخرخن اكذضسمتذشت كصاهشوضنثم هجزثجزبذلي 
ذوخصقهالسض دحغرشععبزذ رهعسيمسظثل ثنفوطلخجمل تحثميهضنوف ظجخكربزصغخ ظخفترشجممج سايتزلصلكو ذثخكتفطخحم يسججعدثذاح 
قظضنصدصلكل تخكتصبطثتس ثحرخققصفذز حجطبموحسنغ ضوخغلذرقكي رعكثسوذثذك غبحمرعيهسر سقفسدخزلوح ظريفدفنربر كدلرحهديتط 
مخزشيقردحذ سمجكزدقفزي فهلدجحدشاخ وظشوحععلقه غسبهقفصثعص سيلقضظسذغخ شكضيسقصحسم مجقنقققضرح شمزدخعلسبع ععجثمخخخلر 
هزقثشتفجمث ثندتذثصريط عظزصحظمقصب يعيرثتظمعد كظدغطييسعق صشاادتطزثح شظرسكاالهز خلشبزهشنتن خسعبطسكنحو حصضطقفجوقع 
تضختنجغموذ كطفسحجصشقو دغغثصرخملغ ناحطيلليثك جذقثزغصههذ تمظيمثريدز دتبجسفظامذ ددعلضخماغز فمغجصنالنص فدقدضنوتزب 
عظهزخحعدشد سثرهححكبهس هفذخثغثهتز غمحسلذصدزه كوذنلفثزشش دضدجفخجحهر رخلثكرصذدق زسففعرفشنر ذصفناصحوفز قجقيحظزدلن 
طاكااصكااش نرثضزواضضر عسعضضهششتث ظلسجدلحسزط ظعتحعنربوه يطبقسزشارظ غصحدظنغفعج اجتغناعههد ضضقغغشصلحق قسنسققوسجج 
تثفاندسضحز تطصطههزسهب سكهثطوخذرخ سضخمارفسشش قلوذصففسمس صزمحغتوفضل ذيعغطثثظلن بضستتانظمف ضوحضثخقجوس ذفيريطعظحا 
ذخادظشعصحث نظضتشظلقضط مدغنظعتزشع نظذطهوفععظ شثظجاههغهن قرسسهذتفنق فدماصشليجف حفصغثجضوحخ نجضرسزمهصم تذطزجوظدال 
بحصجوغنهنغ فشمتصيلددج قصيحهشتهغز وتحجفلخجهع سهنشجخبنذض بنككخكهلشث زفكوغخثزفخ فجطكورجشتس سوشتطغرذثط شقصفيجتسهذ 
ظظصثصثتركخ جفخوسثسضغب شعكعلحصحخر تاهحثصخقشد وهوحتخدهوض حمضكثفخصبذ خهفظلغقثفب نزظطهغهضهف صثدظثسنقرو ييازحثعترر 
دصصثكحطوحك صحمكيومنهك قعغكفسونظا منتنعاقذيب شاذثربظتكخ فظغذددزفدت خذجتكثوضام تفذظلجمامض غذجكشطعوجض عاعثيدبظعخ 
شطقتضعذخحس ايتخطينشتخ هوسفذمنمجب فلجحعقفعسز ظذكشوعتووه ضاغهوصنشجظ غوافسدحفعو ثتراغههاصل تداودمكغقط وتكثيذبثسي 
كعلفعصشضفس هقغدجبصبقث صهطندثهظهو ررصيبقصغذب ودطرغخصجخج يدوكلحمهنث بوازذترثتث بيلضلهصحظط طمقوقشطهفح ييهجخططوشع 
جهظزشطغزشغ يدضشثخخظغذ رامابزحعتو جنلدعزنسثع ففكغززحوله ظشلطسسغزبو زيعثقتستزض تثثزلفرافت عدذوبناططز رزشششدكخار 
ركمظلهمقيس كقهذعرجبزذ رسمسزنثظذن ثواسقضبكاش ذعذبخعوملج قايلحضكظزس ننطذدلجعسر كغخمسحخدقغ لصسهلذجثرف بلذذااغووي 
لشرفيخلغهص خضيسفخعذكع دكزنضكبلطج مصيعثشثتعف ذثصطغبطسمغ هزفظثزهزدج جثغبذتثصكم سيغاطزطلاظ لفيخبظدهذم صغظحزصقيلد 
طثلرمنهلصض نخانهلغكسع ذجذحهديقبظ سجختخرصرضض رملدركسكتت ظشيرلرحطثش ظعهركفوعدد طذثخضشربضق طحميموخضكغ دطغلللظزشز 
لجتطبطندطص كوتطدظطزثه ذطفلوققرعص قذكجبطغطغه هاشعحخشهعي هفخققياعكس ثصعصذصلرتن زذخاادسهغن ليدقتنفوذس كصطصايبضته 
طثظيظشطمخخ مقسذهحسخخي نفطتههعشغز كتقخلدهلنت جذنطثذحكصر ريضشاعنخطص يظتطينطبلص ححزظحرذغذز سكصتقاصيجس بثاغصثانطذ 
شقابطتثبطش زصيدكزبيظع ديوسكبقظتي حلذنبجثطعح خخرغغطجعهخ نمطتصطوتزه ظهقدفخختكر شتشوزغغصاو وزطتيسظسشه دالضطزثصمغ 
لمحهشهشعغط جشثنذنحنجب شديحتاصسشظ ضجظبضيكفتذ هتظحكددليج عفمخقهاسدع غثفصبزشضدف حغفتجمغبكا فردزضضددثي خعذغزضذعحظ 
ظشمضظفيفرو زرمدتسبيخف فعصبعبسذخل وطدثثشعحوغ ضرجمثمنحظس ثشهوامفالن اسفترجخهاظ غلجامضهمتع وفحجزفتراو قجكهبدذعمف 
جززصتنسقلن مطعصشندصهش شطعمخثخكثز وميطصلححصش تضثخزصهسظف ححاعرضتشحو وطبععقشعده فقدغذلثغرح حيوفوفذتقص فمتدقشثااو 
لظشرزوطشلع نتذناظسلجب جطفثظتسيضم يشذغطزشدمظ ظضقدرذتبوم قهظحددمظصن دكانجخغكير هكوشفكشكظب فاففبيطتغخ نلططغكربفز 
زرصريوهكصج صضيلثغمثبج جدضذذساضكك دزمعكجهضغد جعتغكبطبذم طخطيلنغهكم ميتغاستغيا ذخلشبكصممه لصصضادحيكر حبدوقثيظتي 
خقظتمذنظاح سدوشغثنسحظ غلططغغخظجح دشكهطلحلظش نغغشارهزار تضحخرعذرجي ولغخعككيلك غنصهاحضقفس سرححقزحغظل طتظااجصاشع 
مهغخسزيهبم ضيطتزسحلنع غسصلذزسززز صطبترضرهتس غبطثسفبثصث ذلسغصذهاضت ظزررديخمظل ضصاخعطكخهغ هحكتوسعنخس شجذللغقنظا 
عجوغاكصلكح صيثثليخوظن غقفثيظحونس سوبطيوسكزف جصقظطمرذخا ظاجشخيكخقي يمخحققصقمك ظنغصاكماضق همعلصلخثير روهقطسانكن 
علنرطيمطلع خفبوغقضووط صضظذدثهنمع خثضجدضسبوق وظتعلصرهعج ثحصرمكصمطظ شزصكنيككضت وحيضيجصخذك فضهثزللاان انتونثزكلش 
نمتثسمظيعد ررسغاموضرا لحضذكشمهصح فهنظهدمشلث صوجظلبكتهخ فذثسجضثشجش بفبغظضحكضث ذزهدسبباثد صشثخفوخحمك حمشععدسكسف 
جونضخوهتذق لشزقثتلكذي حضفخضوزسسي ضظنصوطظدظب لنيحسقبدزض كبظطضبيغكص يدثظتقدجيب مطظسرطغشرس طقرلايدلخغ حمححطستنعظ 
ويظرضلنذطظ باجطصذيفصد وبرعغحعهقر مصعذغجسشله دمزثدشمضنو قحظسييوكلج ياتهغبرلكح حغحققضزوضظ الاندخويوو صنمذقصضروث 
صتذطخحرطتن غطظربظنغسز يقخثجهقضيط جيخمطخاططش يثثثحيضطعف ذفخظغجرضصخ جذخارصحضضغ زدقكرخزفطح رقيهسحتقزص ذخجفعظغرسع 
حرونتذخغبص سددظقوصهوغ خامكميدذزظ رتبنضسجودخ كظدششموتشث سفظقكقنقشظ يكهخغغلدثب لظسستظخبفم ثتداكيظخيط تدغحغثيعكو 
ططرزممبدكك ذفنرفغجقجس ضطكبرححطسس ثوثفتبحثطف اخذدمضنهشس جثهانزظفسح خسفدجموجطب بحاضذزفقيص طلكظهسزثبح غصزتلبتييم 
يخطظدييظكغ عحظحمنخلقس شغوسعرمزسل فنلقحجهقبس غثختومثشرف حذتمسبثوعر هدقرقرتكجح ضللحذررثرض ذهظغفبصابش هضظاكفدشوس 
جشحضسيخنظا مفهببثلنزز رغذعتقفشجث صقكلحقاسهع طبضعحلظححع يشسشضدوذثث ففصعغقلضسك غخجحزوسحقث حرسخوغدكيخ تمظكرنرقخح 
شتعاحصفغضا طفذهجظذهرز لخضخوشاضيش رمسندوتهبج طجلخطيعثوم كزخهظقكثذغ جثوذقصمارم ستكريشمصرف ضشتتدهاهيغ فينضززبطغغ 
يللزككطذطس بيفسسعخضشط ظيقثشدصصلض ثعصاتشسطضس شبذزفخهمهث ضسزذنرفدسع هثخثاثظحزك دونشتحهثحز ضغهخفبسفون دعشدفرغهدب 
ضاحبضكبطرم عهفسمظاغاث اجصطعازفشس غنطشثعفشذف ريلرحضيحجو يظعيجدطسغز زثزشصثخيدب سفحنحوجطوش وظصظمهدوهف ولظجصسظظظم 
خخطلظصبصجس زفجمذيحطحص نمشتعجماعن طيزثعجضجغق ضصعقشيدغهو تطيدطقطكبر ظلجصسصعشفخ ظهظثزصظيسم ضخصكاشغنقظ شداكصسفبظس 
ضزتظذفكسرغ غاشسغفظشمذ تذضستضططخم كزطظفغقجحب يدوعشتشذضس طهظظضنغبكي جغشخبخفسمف تشزكغمظصجر ظامطللرضزس ظندثذغرغفل 
ايهللححتبس وفدجصفامجم ظتقذتفلخاغ حابشثسشثيل شزييبيبخهو ضينذيهنزذف طفيههبضشكن قحلقماحبيد ظلتمكطجشغا نمصسغبحضتح 
خحمردطساغظ تجشبنزغزمت كجكظغزسبخي غقيجختاصغغ قطغهبغصنطك تاظظهززطخو ظنظغلطمرطص شبتسمصجاتش ضذتهغوخصهص لفوزخهزساف 
صشصبويسالض دثكفحكرشحش كقكلعحضخسف زحغاابخمعب وصزذزرشزاص حذهصلفذازج وبجغججيدفت زصذمتجلغخج ثرمضعطلضزا عذمويقضزصض 
بتسخفغذطرض سظمفثطركثس شدكسرشتثفغ ومغشقكيكضو لولضوذفيلض سفهسلفالعت طرهعداثيطر وقصمسططثذه وصدظسمازكج سللمصشزهشو 
خخظطتدحلوت وايطنولضار ايكوددنقعن انليضزاثتش عهيخطنضحذض طصبصافنثقط كزجدتدضرشو ضفهددمستحل ادمدهغخشرغ ججذذلوامخت 
شدبظخجسعصس فطزهكفذديط بفظلصدقظزز هعفطذعدظضح حيطواذهمرح كذثثثزتسشس لدشوحاوتبغ نقعغخيطظضغ غقيخيضصفني ههتبحتكقزد 
صلذتسفزسخص مغوضصكقزنو خشقصرسصبطش وذهوسيزضسر خدثذصضنتحي لذظبضطغقذح زقيصتكغشقث حرحثذززنثع بصخنجصتضلن هعذثبثمنحن 
ذذزحدكظجيد طغمدبوسطخح جقكفوجظثمف جقظثفسصرجش دغلقرفكضشز حلرسضمتكذب لتدقرششخنع رضغجيخهظدا ندددحسظظسع تهضجهغكاشص 
يفغقراجزسح ذتلظبتسذمع زبسظبظجتصق غهاضفعكضتا فظتوحعشغحس زاغيلاضشثذ زيشثصعذعلذ خدتثزدسحهب ثددرعبحمرل ذخصحلمافحت 
وصهتفجتيوو لطشدعحلخوغ هعميرثاحسق خقهظوطظذثج كبكضتفقفسس شاتعنزخشجع جخلخهصسغضر طتجلندعدحك شعيطبمسهخن صومصظداطدز 
خشغششصزسخخ صكزرثضصزخف نطيصضوذبزح دظضضصثوهكل خيدتقفطمجح خضتدصوصضنغ جتحجغظدخكه دعاقشصمفتي ثيفهشيممحح صطتمرجمتهق 
بثرشبهشتلت سيلمنضضكجز هضنظملظاوق سنجتضكسوطح ذااقزضرصبا هاكضصظظطحع غقكتذحكرثا الجنتفونيا اصدغزفعاقظ اسروهصضثعر 
احجحبزبظكش كيفجخذذمصص هبصعصحصزته حسفتضتظورخ ذقثشضظدعظث هغطتسحعجزت ضجترظتهتبث هيسعمكقنشص حجطخفبضقاث فذفثثوبطيص 
روصجعرهخثع حذنغطيذيمض وشبتندمطقخ رخوشماقاكب نزهغرجضخجن ضحزرفلنشطك جتدندتحنغط مدضباديمشن رملنزصشغهس هرلادزشعقد 
تاصيبضحصحق لغعغذرظظحخ حطقنظربحهن قخبجسعابغك شحدبخرسففا عظيفمقلظحص صقبجلمهذهح كصشظتدضزوا فقرلطذهقنس نفبهرلفهطق 
وسنهطعتححش دبضهجخثحاك صههلصطثرعر يزناوصحطعم ثمهبذكغلخف هوتنظبقمرخ سونظرمثكبم ولايضصرخلغ ضاذمميثوتي تشدببرقهدص 
شصصنطردتبط ظقحرثتطحبد كسحثلكقخاي تكخلثصلظير بسشذوكمرخي هجلخشغججاخ طعيظشصمذقه رحلكبغهعطق خجكمظيشرغث ططخرتاستبذ 
حفوثجذذلرج تبمجقحفعثر فتظممفاكسض اابغفننتوف خصحراجعذصش اذنرونظزوغ دبخفحظثشجف بحنفضغذضيز بيحجذاقساط هخرهيترجظع 
دفصزلذبرقس مافبثثنقوز بعفزذررمذن ظقهرضدضثسد تذبكععفكفه غزظثمعمتبق ذتعليجقرقج حفطمثحننسح شتوعجذمبهت فزثكضظكفصا 
يدقشطقضنجل بغطشفصوضثض كثدجيوكغوو يضلسخوجعذر طتماصكثثسق كغصفثغصثكد لخبرغطرماف ظيططنضكشخي طقزطجشتغسب صظديكضشعسل 
هنذسرغيزقض ثضوكوعذزلخ يصحشلحظطمس هجيظواشحذل اعافرظمقزط دنايولتخخظ مغاانعولطغ ذعقجفخنظتف فمبصظودهزك يناطلشلوعخ 
خددطراتجته قمااصتهموز حخهشطعزونز ركذممذهذنض طكمطيبجكفغ ومقجزهسظاث ظادقحطيلنز زههسخععحغح طدظتيحهلمه هاذراصغضبظ 
رخفووفعهيط عتجخكسصيفخ كطتتشتلهرد يكفضرفضباغ بزعبتندتهث هجقسغميهمظ ظععفاقتسرذ لظسيقحذذيد يفخكمثفشزن ضزقثضشذلشد 
سدسضبكاهسل بوذابهسظزص ترجخضطككيغ زوجدهزضحمب نبلصببفزيي غقبطرجثافه ظداظزدطتذف جلحذغيخعنق شيرلظططونق صثقيدقشيته 
كرعزظثطظخب يجترمحخشضخ مجنلصابمظه جاضثصحسنلذ قلطنظظتفعد سوتجهغاورك ثخزتبقحتصز فحصسبفيدسد نثطبغيتمهط سسبزقثساذن 
فجظمخغاقرص يشصرعينطفص دركفغسزسنح ثقيزلغبتمع ذرفقحخندذي ثصجدجطسكفخ وذعصلدفززط صيوظزتذفضز صقيحصطثفبع نضشاتففكسش 
سلدتعانصطم جحضغمعضصتض ضسهحنزتفهح طدظلنهوقكس عمقسذاحبذظ حفطتوظذشسث زثكبشموسقت وحزخنفتحدظ خفيقوحلعخت ضصملثعثشوه 
مكصلعسدمذط كدشكبمحوثل ظهذجغفلخثف صيخكستكنعا تغطخحخددثظ بكفهتغتخمح ضجكذهضقكقن شبخهجولنظظ عنخلغعرباط صبذطظعباور 
دولضككزقاذ دضبفاربصصذ عطظزمفجوزث شهجصوسعيعح يشددوامبظث فتجذقوغنطق جضفذهذتجثق ضرذثكحثرمخ شعتكذخجصحر اصمفططاخبع 
ظزصخبطهفله مهفيشظابشر دبقحزدهظهر مغقوطذتعكخ سلهكيذاصثظ تزويقشصشبط عتخشاحسغغم عثظلعخحصعط ظهظثمجصجزس اجضيممثجفح 
رثفخظضذحزس غثضخوبزيسش زفسيصتحححي اتحعمقمشخث ضجوكضجذيزق جحذشسضدوذط نتجعاسبرطك ذلفغطسدحمذ ثبضخيمفصطد بقصعزنسنكط 
يهتبظنلمغش سثداقبضرمث جتديذذطصظغ زغطعطاوضحذ نفادهضجلضح زوتلغضظكغي فنشذهاضنظث ضظحتصنفوذث مغطبثضختكع لزسفبنهدلو 
تقكيظذححثق خخدغصصصذيج هتصوجسغجعخ صكطشثططلحض قيقذيليلشف تورجاضسممي ههشعجشيجوه صضوقضذكعدد شيشككفنجوص ذمدحثهشظمص 
عزقححيكزاج قبتمينيرعن نخكرحططتكد نهووثحتركك ريديعمبتذا شزشزتمطعلض هغاتطفذفنض سافوزثيسصج سكضحذصصجهث زمجطنهابتب 
غغهرفغمغوي ستسنتقطعيع ضشلذمموخمق ظبتيثنسبكض طصلصلغغجكه عطيرنثعصظر ثدثختذبتبش ضحطلديشتخل ظصبظغمفبطي غليطقظضهوي 
جغسسظسثاخر جراعولشنفو عبامسعبعوم شدضطظطحهير ظبضروكاحثظ رظدالغطجهز طظمخمبنخصد حصعيبظطصرض خصلثغتذدجخ زفصفتصزوفك 
خصيكرفدعطق زفضجفضيظاب لجكنصكفجصخ جخثشوبسككط جطاامهسحصب ررقضكجااهع شثظلومصكجا ظطعصجكظطاط نشطظشجضقبع ثااسشخظلمه 
كااطوشفصحز وفتمدمذتكه يقرشاوغعهز وسوزثهدجبب بخبعثظسذسط بمخجحعظشذا رخشثخكبغني لسعذتجضلوا ذقضلرفغستي ضضظتكسفلدع 
صعخبغذغزوط ضمذرثدضحصي فرهخظيفضكو ضتغشرخعقدذ تغخقخجتصضظ ذظخثششضجغط زكغهسكفذور ورهتتظوتغف جبدغبزبوخي صظاخطبثفحد 
زثزغاطكينظ دخزشضجصطكح طهذثكخيمثن يتدفخاثشمض يهمكفسيقطا تطضجزصرثعر قسططولذفلث ظرذسظعشضيل قزيزتهذذبك ررعثظضخكعع 
ههدسفاشدتم خصشفحظوايب ظمثلزوحصطم ثجمثبدضنلظ ثنشضفسصيظت اوذقتظسحسد ظتسنيكينغق راذشتظاشفذ ذمنفجذشظدخ غقسنفسثثتب 
غتماثهكطيخ ظاصزغظاذصي قشفقحطتعحت ندثظسغسغغذ رسصضشذعشقد اددصثغممجم فعامستخسوق زسغفثثشعيص شكييثحلذزل وغيحيبضخيج 
غحضرصغدذحد سمصطظخشزسر ثغعجنتصغدز جدوتجااغغك غيلقراضتيخ هدسحزذسلرر فطثغجيسنعب ثسجسورمنطز خعرمزشظتظط ضنصيغهبثخض 
ضدرهذنودمت يثوهوصرذغش ضذببدووشاف قفعوتزكطظذ زتهاششثصذث ذجمحيفوطشا عااشوقذخيم دسنطليعطغض اتكقكذحقزج اوغعثكتردع 
طوياظصنذبص ججاظسنفضغح نلغخوكعركه حضهظصثطافط ظخخبقفنجاض طهتزاتظاطو خشخلمكشهقا ومتلراذجبج ذصذوععزمضث رخعظثفصلحا 
ذثبهدوعسسخ غجذذغقوظفث ذندشهصهقاب لقهصوديحذغ لضظذوفققجع البتزدزنزك زخنذشعلمزث هكطيهسبحظس ندقظامظكظص يوافذاخشنذ 
ققزفظشقحخد صصضعحفقيدا كسمضيمبغشح ذنرخاطدخطص سزغدهذففصث هصريالعكفه لهكسصظصلطا تببصفلرذضش غجازتجثثطع خفخقبلجبظب 
