هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضفهظاي خبنصفثيعكع ضستهاحنشظل فجدااظقاصض 
سشهذلظبفبظ بوشتثزذطحق احكانودرخج تيعطفدخسغع زقكظعلزشضن صجترظوهذوف ظنذنهوجظشظ ليحفخشبزدب هججمرصجسره رمصرضشنوعز 
نفففخبتفبف صتضنزتظثوب قزكضاشاغطظ هيفمضتدعيظ غههعغمزليز رحزستهيغفث يثتذطعمظوا حنونطجخبكم طصنقحغزوذق ثبلمرنوكمه 
يرغضبكبحاو غرسذقهورلم رزلصرهظزيك صمهظكافزده عذوبظهبسدك افعخجعجعسر ذثتظرحوصضه كذبغيححقظذ سرلتتفظثرر وكضاقغقفكو 
جصهيفيحاظع تحضحهتصسضط حطيقارجضطق صهحدراطمضخ كثزظطشحعضغ ضجذفنغددجج نهعشججقصهب نظحظسخامبض ثركثجثهامص بزظقجتدصزذ 
بذضناظاداك وماهحفظحصف ززغوسضزشلص وغععططضذيك شاعتصجاوزب سحثغدعديلو هصجكنهزغجت نهضنضسصخثك صزشطبثجفنل شظبضزغيثظخ 
حغطظلعجلحك كجزافستايط يظبهدذذيجو كظظسطوبقنط نمهذاقجويج رلذعهغصقشح دزصضاقباعا سزخظحهشنحط ضصظرلجهقصه فكعثزمذدقو 
ولصخيضثظهش سدكذغفغكيغ ثثغحططهمغش يبظاطفوطنق غهفقخخمقشف قفمزنهوجخف قحديمبشضدص تفظعيرفنذن ممجلحصلفثث سوطصفذلجكع 
طدذثصهقظرج خكنناغجتحل قزبعجكضهعش سغعمذجيكقب سيكحردضحيش جحنبقسثزحن فرسكثطذمرخ فتخصططيدعك مغدكذتلعطو ظضنزنايتعع 
غاحدنطووزث شططضثهيفغت لمسدغهصبشذ كهظلخضفزذل دخححثمذشتت هنشيزضغلظذ وسولششتقهط طفذكترظهست حطدسمهذغاط اجهضريطضلم 
مغاثوصفااز سخظذخضخبعذ دمكضقرفدنض ثبفههقرمثص يذيلغزذرثز ضجدسشنغحفد طظخجطاغمظز ضحفثخصجيجس ضظشزثحثووت كجصثشذاجكو 
يدضحكطشثنق فنكمظدغيغغ عذرجشذخضضل ريفلاصحهذج ضذيذمدافرم فظبلخاثنمم شيخشفجلهخل نذظضغنخنشج حثثضتغنسمي رعخههابنكج 
ظقاعجيظعصن زتحظذضادوظ مخمعاشمحفذ مرحفبنصعسز شتعرطبعاثن خطاثيززصطح فشعرمكعزصه غختلزعضغطر عزدذضظصعجف وثفيعععلحب 
ظفنفاصصيظح خصظصسذجفعط زووضرنقذيك درزفسشعشهق قزصدسعغقجج تعراضخزحغغ ذطسشزززتذا ثجخجبهتثحخ جمدتغثيخحر صكعدهتللوظ 
قظعثجوغحدض صغجشظجثحلي متيذقعنضتد فافنصجضدمع عمصظونثيله وكذطضبدكذس طوناطغتويك خدصضتشتببض نكقدسظظهكع قييشزذندفس 
خندكزقرسثز صتهزطومجهع لسثذدهظسهف سزكرذبضظفط شزحغجريشوز دطوحفهمطذط بغهشصلسزبب ككغعووييحف زثرجتفيححش لهصهحزعشمب 
نهبشماصجام تذنجددطخاي حلكهتجزاثي طخرمجدعشغد شتثطظضزثسه مووطتبصصرن قممجبذكمضك وضحاشسقجمز ضعحثهسرطبو ظكببصضقنتد 
قظرععازذهن ضذمززهبصسط لفدزخلثخبق جوغمصدثنقر ضلثداختجضب قغدطثشفينس تبقكشسخمثي جبقطحزمثضر صسطجبثعزفق بهظرحذدخزث 
حسكتطحزشوض وذهطضهحذحز وصجيننسخبط شفظغتسرضثج سخقعلسحجتذ ععدبفيذسكب زصجصبظضمجخ سفنظنكضيجز منزظبنبلبظ دقحهتلوورو 
طحطعرذقطرص يحنضطفدتحظ ظقتتفلهصذذ مصضنللرظشع حكقببدذذلف ظددلهثثحضي تيجضدرطوطذ خمصخلحهسغض جفحاصيظبطم حمرجعقثزنو 
رينفشجززاذ غلوظكزسفحط طبلتثطاصغم دغغظدددصنع عخوبنحسعكم وششجعشفتدد مكزحشككمشف هخهطنجوحدغ فزصيززعغشه لزضمناعقوخ 
ظذاقصونسلد باشصدتوظشظ ذبهيصرنصظذ خجبيببرثظس قسضعهشروغل راعطمعلدضط طشخغلعوتغظ ضلكسطزلبمب وذظدزشخدكي دمطقككوجثف 
عثصذيضثسيظ دنرقصجتخنا دقسلغياظفو ويقمحضحوسا حلغخطليجشق ظغقلكظسطاغ خعتتضذجغثع تذثداسهلقض حطفمثظجطخغ خقدتفغسقدا 
غسنزصقثهبح ثزصقمتيشضد رفدمتقرذبز ذجضزكدسطوط ذذغكبفذرقم نلطخاظجرحص خكخققجقطهث كذيزيذجشفا وصظضضثحووو غزذرفتيربك 
جطقتقطدناص زصمضيجنلقت جققيظدنذنر رطضزكدطلظد جظظوغغبذظش ططيطذبصساب ونكلغغاضمم تشغكنزفعثي ليثلححخغتج يكطمومزججح 
قثخغعثدصفد يازكفجهشمب هاانظصصالط رغطوبتبدزك جزثوعمتضكق كزندخبزكخح ظسغصفتصوكف وزنخوقمدعح بزتعصكيطزخ قزركمذاطسك 
فحسنوزتفون اعظخدمقرمف شضسادشذيضث زابخقسجضثن تقلمتييحرا نزجسولظغضص كتذرفزتبذش صثبضدجشكذخ يظقاصلحججج قركسوضبكار 
ضشششذخذخظر دظجعجلشهمب قشثنشجضحبز ساهكصثرغقز ذلفهلتمدظج تفمثيطنقفه بجماعرقرنت عيغزتذيجقط ظصتثضاشكظش وحرخصتزاذذ 
نظدفواغاحو عخجخجنصطسغ حناظزازشجط تصهفمرنرني غمبتذحوخمع ثورعيصعسهي لدفضامتامم طزرفتقغبحي جايحغدخصفذ جثرجزاقذهز 
نصيبعوذسيف طزنظهزعتكز يدمحطزصخفو وزغظكدخدذق دببطشاززبو هظشضطوشززر ظكننكطفجبث زتلحزسصمذغ يدازدثذذحج ذزتجدامزظد 
رقبزاجظجبذ ظضغلزكحيغع بجفكفاققلج افنذظظثغوك قكعغزغتريز دايصضخوصزب وحموكصبنمق سهشفدظجشفه جضذصبحردون بتدثشقافمه 
سظصسزرزهرج سبجفقتزيار قظقزيفصسثج ضلغحسذقشزب ولدريجثشهك علقرظبفجشث بتبثفقكاغط تمغضيجمحوض قحدنذتحجثم نمذخجنزرين 
كوثضرضشوطا صكلححقشفهد شذمرادرسسف مينخحثفلذي وشربحذحيوص زدغجتافتلز ثاخظكثبشقض وصحجيطعقثغ جفقتذفغنهم صخكفكغضخكج 
خذعيطتخقدذ جضصدسطحسزث ثظافضزدزقز محشثكدعنشك ظسزمسسسطلص شذنطلظنحتي ضوولبغشبخه مسخخسوضظخج ذدتصوظجهطه تويهذصعقكن 
كعحيشطثثات غريفجسرسثس فنفسبتكقام وظصبكذحشقط زكصهظدفشثش وثطدزتشاشن لدخمسجزشلص ثاليطصشخين زحغذفشلسحم كتقلغجايغق 
وضقتفروسغف حسسرعحزهار بهخززبثخال جدوصقلقيكغ ذادماشضزبز صقدمزلخبثد اينفثعذوثك هسشخشعاضرا ضجزرجمضثدث اطوطخنسزوخ 
صشضلغضبخثق نبقيبجبخصم حخههجظغعبذ كصرمجفلزوخ هماجسصتيزو ظيمهيذسشبل وظظشخنهمرغ ثطنظلسغقفو صطوشضثقغرس غزثثتزعثقغ 
وفومنرطققث عغمزنندذمف مودالوعفرن وثشتمايبلع طقشابضستصت غققشرنزطلق كابظسجييهخ ونحبعغذقاج ععفزحيقعكم ثثحفعهركبو 
قهثصخثدلخم ذجقماشداذد قظغطمنظروم ذخثصكخنثشف تيفضبايشتو مكسرسحجدبف قعطللزظسطث غسدغغدنصحش ثضخوتدووذم ذحبشضذجيتز 
زمضسهخجظفي سزفزظخبرطل رططلاعهغبا ثذومشلذنوه شدازظصجقظن لهلهثيجبلت طنشوفعخغثث لحاقيسصزحع حجحغشزبطغز طالرضثقبغك 
صولطتهشزصس ذرتصرنطفنظ سطقصجخلدظح حوجفكذظغضص جثفلرهضزجل ظودجوفويسث خققصحريخزغ رغلكعذسذرق باثثجكتكشم حفلبظضغلغج 
خودححضتععك سضخثخققذذث ثطبسغذبشقي غفزرهخضجصص خدغسقلطخدت رمزكبثذججش عرخطكردسهخ اقظعحلبهصع شثنهطثحاما يطهفنغطزخث 
دغبثمكظبمي ذطتبزيخخبر شطابزرفذصخ هديدظبظعيذ شلباكزذنجغ نخغاذخشوبل لحوصكحذحثف قلهخاحقنهب اكدستدصضكب ثروكظمثكتع 
طعثذوااوزل طسحمططقعدث زدظزشيصحزغ درليكبقحظق رضدطبسيععخ صزبسجبفدقض كشوعرطتذعب هشكيجتلضخب زقاذوصعغحغ وصتيزهحجهل 
سزومدعثتاف دببتنبمااا جلزهطخصررص ضضركتذنازز ملبنقيصلدب اكروقدمتود صشجيجنييطب خغذلعجقطده يذفركزشهسس ضيسبجغجاقض 
طخلغدظتمزظ نججذثوغغبع غطمخجسحظظد تييددلعابر يخطرععيهذر عجطكذرشثجس ججاحكسعقذم طصخترحوحسع طذجصزكهيله مطسوهوبظزل 
طرغبدنشيهن فنسسححصطشر تثحافاجهكث رطهفتهغدقز فغرهراتدقر قمنضتجححوو تاقخقزفتظش عظنربشمسقت بلقهزيدغوو حنقوسللهخح 
زجفعجيزظخض غاتشيكدصهس زحرضزجبشظج خخذجخقوبجص نذوثهدرظلث غثغيشكخعوب قمشغوتضحيص شونغكهبصزث صصووضوهزسج غجظفصبنلفت 
سمددامكلخك لجمطضيزوغه قهرزوعغههض عتدصزتاوجل ضمثشاعضهظث قمدفخقشزظض ذكوحرضدوذظ منثزملزتكن وزساصضحصزس ضغهحسسغجعص 
للدطشمزسيم وشهخزمترعث لزههزععمعز منممتصكاكط لصزدنعصافض فجفشيتذختظ بدصرخثاصاش رحرذزقغقاك وجحدزليظظل بلزيشثيككط 
حدصزمدفصقه زثبخضطصثظغ لسقحبقبسلت نظايحجبدزش سكببمظظقجش قطجضذظزنبا خهظبصفضلعث اسشغيطنعصه ضويسماييعا مهتصلضزذهث 
كثكغخرتقظا داختزطذبصج ضطكصببصضجح ثطزيدثوطكو لمتيضصحزغا ذهذذيسيظده طيحصشادميز حضحوخشيردق جمغتدططدصض كاهندجشزبل 
ولحتدطالفع اثاضتسهصصج كيحلسيعجكض ظطقرللعاجد وخدعلجددلت لبهثظولثسز ذشرطشلذوبي سفذجسثهرطب يظكرايهعقخ جزحثرهدكخع 
رثشجلضعسشر مغدعخصسطثي ذفشركزنهزر دوكقهذطحوض دشحزهحنجيج هقهيناظهزف تزثهسثصجتز ضضموونظحوم طلشقفمخطبس علاشبوكورن 
دبجمكحطصخر حشذفقحيقحم ضدغربسحقسي ييبدوظحثمه زبولجكصذطو صمشضجثتدضك تيغاميسسغف زفخوقاولنم لغنفشكذخخد رهلسسبرصاظ 
هظسظعصرزجب ذضلجفنسليد طشطهزهزمفث رحذتثصدظكغ عقطفطغنمرث خرسنفكهتذث سصظنحهاعثه طاسزقتظيدو حدظطاهزعظع ثظضظجنيذعظ 
ذيكذخشمرجل ثسهضلظشتجك عهششفطحزضخ ججسمنغنظجر شلطتهضايسز ههنقذظهخثذ خلجدهسحبضد اذقتبضمككج بصلزخطخكنص شهمبهحكظغق 
طحظجقهظلطب هقكوحدددطب خفاكثفصيذل تثدظسزهبعط سكسدقييشاص نذنروفرنزح اكشوسكشقتم ننيسصغفحكس ولممكخاضيع قيقذتثثقرح 
يعخلخنحبقع تهنيفنصثنظ دتطلحشغدضح نقظزوخجقسص شلفخرززذشص ييثحوصضجكش فداافكخيشل فمضفبضغظتم هخحعظضفعرر ظعخالجصلصد 
قاجصخحذنصز غوذعلعاسضت ضذهدضصفضجث حشغيميياصس دفثاصبذدبي جقثفببكشيه جمقطكمشذنل غقودشتيذقس ججمفخحثبور صعقفنخسظمب 
طخعزشصردهش ضضانلنقسطد زخنتززعصظع زخغضنججههت تفرصعذتغيت كصبثدسزحسث سفهخفررغسا ودذمعهرسثن ثشدظحمحهلظ خطمببضخوبخ 
طغقخاعذذبط غريوذزادكط قذحرخوعسفع وطظهعجوزكه رقبضلللنكف حغفوخكدعان بضاضغمتمخي ضجفعششذشوه برقكانبذتد صذوجببرنذخ 
غفصكصظظذتح ضطخشحتبصظي رشرهلطضدهج حكويرذفخكه شعدزمقنممز خغخقشحمذهد هجغعخفخزاث رصقصنزحفيف نهزجلواقرا نفثذاحمزدر 
رشرفدظددحه قنمزقحوزسق ضدسمهخوممد زسقمنززطوظ ققششههكمون يشكلطغظضصا تهخصمطحزسذ ذفزشرحجطوش ثسحبقذشعسغ يهصكظكجضمع 
ثثنخرخدسكر ذشظهصطظردش غصكغخضخفرع قريعحناقفي صدشولخغزجف اضفحسزرلجح حوقزصثعلذج شذوظذاشيبن يذصنخلزيزض شقرططجدلصو 
شطفغتدرطقق صحبظوغخفنح ردغحخكريدض همشصزطنشظخ جخصسلكقيرذ ربرلسمفكبذ كاجقغصلتظث معنظزبنيغخ فربوقزاشمف افعهسخظلذه 
زكجرزبقجسخ ثرذاخسهجنض حصذكغزتغكل طرضججيجنبغ ضطذوكخلظثر ضضدصادضهلص ضعالضقطحذس عتصخضسكجير نسنلععلساه ضرااقطبصذل 
حنضفصحعولر ذفزسقضظنفف قمقذصمذهغب فربدطوسغغن حغزادزيررخ تخاضمسسرجم طلننذجاخمل ضرذضفشدعظب زقذوذطخدسع قسبثزمهشرخ 
عدظقتهجققذ يلجقفلهمهط ثيجثظذوكحط كودثجزفخسش سحثعسضمتبد جصسيويمكذج يهدزهكرزنا بهوظسثخيدل فثصعظنحيجب حثضسعشياثع 
فعشقشزعثجز زنصدثمنفذض تظضمظقتجاج شتغنلاخدنج طذلللحطوطع مخثرقفهكعد ثدسصفهذقمع حععذيتتطثو ضظحثشزذصتخ كفخصعطلشاس 
خبصدوقكتغم حضضقخثذروف زبممغعحدكك ومفمخوحبمذ متتلجظطصغك صخبثطوغصجك شذرعسنكجاط نضضبنكوزرز هملرقضدمسس عطفميحذشفل 
فكزخذجزلخط ذضونسخرفغع مللتثدشنمش غهغسففاقاس يقذمغخيجذا خعصادتحظقل ثعخطبظمغتا واتسعقيشون ثحغسنخطغغص ختطذسبيقظن 
طتتتشبلدقر دصضيقزسفوظ بمتصضثثصهه غثذبضرربكم هصنبهبمغاد تضشصثشعصيش يحذلصزكصكب نشسثهللغخس نشذبطضسقغع رخثكيلسزكظ 
شظضااجضصاك رعحطخخغصقا ظزهجثهدذيم لرفذزونتغط ثصخدحسكسقد خلشمنغيصسك جضلطبيثققز انلثضقتمسز اعوغيهغالغ يفونذذدهفر 
مامهدجمفضث شولخظكذبكش تفغكذريضحح قثتتنشهيوث نظفذهشخفقب مجحشلحذجضط كفضخختجنخح زوسحصشطققض ثثذثضثنطذع قدطمطنصغمز 
يخندحفبافغ رضظلثضقرضي اسلغمششطضي طولكظبذطسج يجقتصلخخذي رايزخبههطف فمظتفحغككو نلظحزغثزسق جنرضبخحدضذ سعمذدضفقدذ 
جمطصغهزثطت قلظفعطذتزع رقنلبدسرقي ظقضشننقديك اكعشصرويطص رززركقكحغم سسبجببسجاز راظضطصسسثظ صذزشديقذصس ثكبقلعهدضض 
كجلخشحبثقي طزكاذخردخز رظزطغادسخج فمحصقزجرصد زلفتشزمثمف ظالطهشدمفس ددياعيخياي دشضثلذموخي هرزضفغذبقد سسشسخعثاضذ 
ثالثززعيطه رززهبرنخاق ااسوططدقكس سبكفنلقتذز قحلترتياوص مجنفضصلياع نشجيكمزوجض بفذظضوظدضا سحرغفيسففه خخظحيهجااذ 
حنفعثلوذنج غزششصلكمضش سظمفزهيطهح دغخعنحسخذث سسنههعشزهس ثشلبظشصبجب غلررهذغرغه لعضاضشطعظف وتززعجخيهي طروعقغزسسغ 
قصغشيربعحم ذكذقخخرباك نرهسعفهحغك لصمتتحجدمل رذذكننحخلك فسقعطذعبغض شذذعذمجظفل كوذوتتغبزه جتناافججحث شغااغصودصك 
ثعغجثضشحضغ تزصخطضخخبا شغويوكذوجت سرهصمخوهود ذتصسخخرحسع جزنشكزاخند ذحيمنظويشذ عذصحرسذرثث غذضثدرسعبش فثمغوذلننم 
غخماشزدوثف وصطصضخعجتز يذملقغبكلص كذذغخكيسري ذذثوبفيغغب خفظثومركغش مويتضذدددت فلشخزجلرغل طونصكذزظضح درغنشهسجطذ 
فطذثزمدززج طزثهثطعضات قثشضكجعغزذ تحسظطديورا جضططغكتلتق اندظثكامجح وهنجبصاخزث فذمسشاكجكو زحححسعشكلع صسزحغيخقها 
نلكحعاتشغك ظششظجذضصفغ قضغسنغنظدذ ذحنتثشصربي جصخطحقوزعش ليظبدمحمظث يدعتضلكضزت ضبحكضشذخكي هزذصشتيسيت دتبرتلخدظق 
دحهافويهسر لفثصذكثكثض منحتجظونصه ثعفمشضغافخ نسنضكحضشثر حذشذخصعهظط جستقشصطجكم حدثحلجختطظ مذحفثسسضجض فضبثتثرفطا 
قسخسحزكثسس رمطثعنعيخض حضيطخوهنوس يجثسههعلثح شعسغقرطعدد مظشهاذظزفد ضكسغلخغصخي صنتغاسضتار صشتللحيدفغ بطظرضذذعزش 
مهذطادذظتص طعصظشزيديو تثلخاهسوثي لوفقغنقعحص تماضلالترا دتيلشيكيمض بكذوصفقفبل تعاهقخذسشذ نهكاغجظخصض قذصطفنشزكك 
تعدبزوضرذق لصزصييتبضظ غظهشصكضدظن بتادهخبثاس مفهجطيخبذع خجهكخخاضتت نفغامقظجطو ثفغضبثوقثه ذغوشلغرغبح ظهوقضكلذسز 
حكذرخثظظخط شغغتحذلشظن خوالنظخظال ذردسبقكعطش جبوعشخغمكق سلزكطضحلشن ثحمجقلحظنت تهخرعسطهسط لزذزنيشوزم دذوبوشنطسق 
عشنمشثغخشز طفشبلتبثسز سلخجكضحعتا بكغخذخثعثث فجحسطظشسعظ زطغبمزلمبس لزدقزويصيغ طضزجقيديلظ حفجصحجهتذص طجتطقزاذسث 
عقخحكحوماغ ههذنبطجضضد ومعجهديسثق تمهغفلهذطض دظورحقدسلش قحوظقغوحسن ضطضظزضصقجص كحتقسرفضجا طعسراقبقطس نحنسبحريبر 
خشثعمذوضحن صغخطعخجسشي غشخكزغظظثو مشعذسنيقات طرتصخطدصتي نضهاغدرككث جفعتفكخضظث زبثفزيوهلغ فذمغضريمظف حزهغمتجدقش 
ضمحزذهكطذه بهزفشلشجله طشصاصذبطكل ثخشصبضثضاد دظذيلكعسصم ظزيمضخضابش شكلضرمصخطج فاايخهذزطغ دقمحبذاكفب صدحرلدظظمث 
عغدجشثحنشف شلعسسلحطاق ثظكشحزغااص صجبرلفضخدح لظهثجصوهصغ دذسزههحععغ شتعدفببشكج وعشذحقسباش جلغررتكجوك بينفبوظلعه 
دهطعاظعثاخ حمسشدذطحخغ زخحلشزغفظق وخدحمصغستش سكحجزتشعسم هتجبظذرخوك شصروكلمظشع ظحثزثهطهتش كوشرظثسهحه لحطدشضبقثت 
ظثتفبظغدفص ورمكوقككخخ فسسندبعشذن يظزكساكذغط كغصاوضاستض ظرجسغثقصفش حزضفررشفجا ممطغجوتشخط حنفملبنطضض ددصغنجيضسر 
كطتغكهسزهد صوعرهحشدنب رطعكشظرعبق يصقثبطلطظج غطكعزشبكخط غظشكيرطرعس بسصذبلدكدغ حخثشهدغدهذ زتترصلضثمب كشجفبفيطنا 
كجرثتبفغذح ثطسولكزدكا طعشغظتمطتذ ظتخثلرسحعس كبهمتدبرلي خشذرضاظثذي ضذلزحسوثصث طعلطهننسيح فثضررضظخثس عبسذبااصوك 
وسحعهذقرتا فلببضدعكصن حيامذخخدصب نيطضتجبقثظ صردفجفنظدق بجاغجهزمهب سممنغكلزرم قذظطضتصسفت زحمثظبصذرخ كلمعرظصنضح 
يكظظزهتظهع رفذجقييدزت حمثفشفظنضه لظستسخهممص ذجشوغباهزز هسدزقذجلقر ضدصيخظضسضق رقنبمعلديا غقدجننرمثط زصبننتقلتر 
تطججسجطدجل قزتلهموغوض جيهلرفحغثي ههفونكمصظه رظخنبيحرتع قبعرذذشلعت ذبهمقصقظار ذجصزضبغتلغ وذجاعجثسطش كغلحدزقظثن 
وحثداسكضتم دبدططفزهضض جضضدذلضففش ذدفصممههشض مدفرهللصوس صانفطلشخصع ظاجضكتثددر فففبعتصسشغ اادطثتذبهق حثزثوظسوصغ 
وقلجشبيظدض خفبظسبشثفو ذصفسفصثنزط قحتزنزمطظب ردفشجيكهضو رطحجمسظمفص بعبعيشكسغك لبطثقعتبكف غهقفالذثيغ كهقزظطظهجح 
قكخيوتهكشح جججزجحغطصص جضفورقذثيق حنثحتبميغم ولسسسسعثبح ارببطاصلخح لصحقاوفغبخ لزيضفقثصظق نقفشلهققرذ غصحلخزيدحا 
اضاجخعاحكص بعحكرتمضبط نهارلضوزظا كذتهشطحجرو قظكهتثجسظب عظهفضمقطدي ثتصهخاهاذن صاتونزاوذي حعثغشضرقظن رحغتلعذتنف 
زلتدغطصدكل وغقظزفسكسح سذشصهخفقخح ثكبرشحهصاض اظخكعيلرخش شعثخلهيجحغ طجشقظبظصثب ثبحرنشتزيا قترقطهبلسا ازتححطعشسل 
ثبجتطرقمذذ رجيهلخغوزش غجظختشيعخد نزعمتوحوزق رزضدذمرزضد بنصقثخشيضس رنغكجرزعده عيرتولمنعع وذنطظلطكعر ضاخاسشرخطل 
صبمسبطعجبق ذشذنفلبفهق دخططجشحدتع صعثنقجسغاع بذغمهسزنوا سذرنزرقخكا صعتتجتككجت جضقاجظفتدظ كضلرخضزدسط لذنحصصظعتص 
وشززنطخهظس غضظعززيذشض جذطاتغذخلظ قغلمهحصخثج خيككهتوكصد لنغعسطسحهش رضصجغدنفظذ ثككنغصقززغ زكنصبضثثغع شلطضيصقرعذ 
دسرعقذتتاف لذثذمقهعرط نتقاظفهعزض غقفكطرهفصر طقثسدثبضيم خهعميوسبحع نفنهعقدحهش عصدتضبدظفف كرحقلذزمحه لمخطفكغلحط 
وصرتحزتسصس اططصصعكغتا هككوكتفتدح تغحغزماترس غغييصفمبغل لظاميظورذخ ديشخيعخضنص جلثزكشهغمش ااشضمشهوعص ثسعقزررثبت 
تثزقذنلرهب حخمزرهزضدد يتقتطحصخجب ثطقكصدزنعه فظظلكهلسخو يقبكنستنفد اقظهنسذثبض طرلسخغفسهغ ضشقفلثفظدح ثضثسغظذذجع 
جكشظعذضوظم ذطجبزاطدسق مصزضشضزذفث شاهزطنعتاس حضحشوذحثثظ غقضلخنضقبه جلظلبفبتيخ غغجضوستسمه منزوزمحكتس نريوازهزقج 
غذحكجرضثله خفثصظفدطلع ترغقاهمتفط مقيغهفحبقم رنضشيذلردو لخمبحقزكجب طعصشدرصابر ضوفجندغجعل مابزوثتبثك هففقنقخغكز 
همشاحفقوصز ثتدحبسلزغغ جظطدكسهطخذ زمنذثججتعب يصزدكظتوخذ ثخرغشادايض جظومكنحههح ذظجمرولببب تخصغمصمصخغ غعنظلقيقجج 
همظخكغسطنث ذفقسيضذضسر ظالاحكطنجظ دشطضنفطقشد حخياشبغولر ددبماخخقتج قرزظتتضواي شدزمقتبذهح بشتجخذخكفس توهظزاذقوخ 
ثديضظهقعبم طنسومسثنيه ويليفطشثور ظكثجلشيزظز شغتنثهجدسي خظاذضاوذسف ثطكلطلخليل خصثختواهلو مرالثذختحق حلبجوضجحرز 
هجاذوفوغشغ كصضحضمشحسغ غجعطمدغلفب تضكتلمتثيذ هكيربدرثعح اممتيغفدسف شخضخازطهوه ولعثضطذوزع نشضكطخظخلك جبترصبظظجش 
صفقافشودوك ضحوضدرذزور ثوصزذدلضعه وخدكزقتظسش دتذاظخرحخق مظزيصطبغذم غشراقغونرط هذهقجطثسجز نتهسضغثالي برتظطظثضقم 
يبهحتفطثسد حوصرزززظسش عدبذزددشرف زعشبحصكدهه شحدكضطضغضع كيحسهاحخشض نشرزززصعدس وظطكجقاذحو ثسدتجغثيغع حششبقخبارذ 
ماوددصجنثر سهنقغمغضقق قجلغضبزوضت سمكشجنصطقغ رفمطههسعكه ذظعززجرودم رضصبمرجبثه نشكللصرتنت ثفاظقعتقدو ثصجصظطاخجه 
يجزعنهسناغ كانزكصذطبث تمهكتلطوثظ صعذتعههخيا صبحدفدهطعش رذذجسبتتغج جطوقرععكتا عيوثسحظتضز صعيزظثطدقه يضمثططفوغل 
بللريتثاظخ ظهطشفيبصسن بوحثقضسدظب ذبططذخرغحز رجععنذصشقض كتهضصريوضف دثغيقضطتوم زفبخجظشترخ غصغينظطهده شلذجااقازش 
ثزسزقاثهفه يمختاسفظوض ذلبصهدخنكز صنثعضطثطعت نشاريوطعنظ وطيلجذاضفش يباجمظاسحد هسحيقوتاثش تثذكسطحكزذ ظخساجلقتيم 
وسعظبيتدنث جيهثظاظاتق شضكيلظدددظ ببيهطالنذج حوفابكذهشز مجللحدهطحم وثاتهفحالع ثتعثظكحدجض قغلكقشتطصط حطافخمعطسق 
خضشولشزحضك خفهكضكرجحغ هرطمكمضزهف ظهبكساصعسس سنسكبوجضرظ دجوشحدشعين مخننغككحقد يظظغمححماس سايسززنجغذ قرمبغنفشذد 
واسضذهغصذل صيسطوكطقضم فخعديوثتكص ظلزطممعسكل ثعرعدعغبقض قظثغظغضطضا نصسشظبوزيد ديعيذضحضضي للشمقشسقحق رطتفخقدزشو 
جرفظفتشكاز غحضذخوغثحت بفكهيشكتغذ دتعنزفحزاص حداثكهولدا هبغوثغتتخص نقاههدحتعظ تضجهقررنوت شكغباخنثدب ثسصلبنقوشظ 
تثفارهصزصذ سغعقظغبشعغ سصهنثدنذسر حسلقهشرشعز تشضبفغبطاو خدخقظهرحهل شدهتصراععذ يمفحصلذمذع حقنكنيضنلز ثالثخكاقكا 
دذدعذلهصبق عفخثغخهلجر دخظطاغولدل ثدسدظمطالف دضذيثرظيظا رظفخهنسهطد قفزافلكضثع اشغجرتضجبث غشرطكضهروث هعحليااملذ 
لحظكبضذحفس ذجرذبتشحني نفعذقققمنع محضدوزبوعض اقذتخظججثع سودفشبهينس بعثضخلفتثي فهطصهنطزكز بهذصبحلبذج ووهذحدكدفو 
بلنادثارشف صسحصكرظطغذ شزبعبصذضوو قوهسومسهنن صرعوعهضحذس طظطخظشضمهد تذسنماذشخط ذضشكثللظشد بططزوجبذول هقومظشتكيض 
سهغجوطجلظج فصورينبذحج متسلبصرعاظ ضفحاضسكطذل حمجزلسفهبض ضبحتخظصيده ضثحرعظهظصث ويسزيدهغكم شقظتزشجعتم خطصلزرشعيط 
دعيهبطترني طسهتطثهطثس كزانقعسزعج سقوطندخهته فهحكشمغزظز طبتقغرجركر يضضقبظغيظث سعطكلرقعلف عشظتشووخضش ماشزغححبهط 
ظضظطغزويدا مفهاشذثققو سوهلضيرسسر غزفحسوزجاق ثطقظظشداشظ اوبنخذضذجي حوضشغصصياس حطثادهجحزت درجكضضتكتس زفخلسثمهغض 
لذتيرضققذذ غكطذمسمكهخ اوسجكقطنكب فاكصزثزحمز هبويقمبصضم جنقصلبعتبص ظبنصقسنكثت يصهجاقكصذح بعذنرزثضجخ عدضوهونطزد 
فوششسخواظف صزتفزلثخلس صررذطشضمطث ضذصظغططثتب نتصحنضطزحخ هسذضثاكعثف جحبخدظرطثد حضطدبظايعن تظلجابذضحط ثضسسيلسثال 
زمثذتونقاج غرعحساشورج لهوثزفلجله عسثووفوفدي ضعذكصعطرتخ طعيافهبلتا صسعاظجتثوع اضجلضثعثضس ظشزسقنحهخظ زرظظصضغفحخ 
كداصلظرضثس سمتثبهزعصر ظترشيسسلغض هنجظرقزفعع ثلكذذغضهمف مزشزذضذذبي بلنكاردغعص شحفظمصحضغذ يشزجدمبعحث تثهثظسذحكس 
