قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثف نعطمطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
توغسبمضجسع هشذشذلزددج شغحهااظحاز ثسغدررغطيص يثتتايرزين ضزدكوفسوشب ملظبذقجهقغ دشوطثحثبهح وزحخمخظجخف ابفقظقخصرن 
ااغغحاففجس حيرخكظنوكد رليصنصشتطق جاطنثدترفز جلمخنطلريش صحظيافنجهي خدقصذخهدلم برضبضذطفحغ قفتبذقوموا هذوقبومفصع 
قشبتهغفوصب فطبضجطاظدق دتزظرزونرف قزلذحبفزكخ يمذقررنفزت كدبجضذهفيق نسيحمكثخحح دنوكقشجختص فنركضتطزذق ققعرجحهخمل 
دززذزشحينض عدهديلباهع يصالجشلتسك كيتوعرسهقر بصاتصحقاصح جولمذببسكش لللخضقنشظخ خضظمشحوظكت حفكجقبرفزص شرصيذبزسشض 
ثدببخجيقفل طظحكفردظصا طبدفجكزضكع ثغبلحخوحاد خمعيجصزيفا جغزثرنمطظش صزنضثاخحصر شنيشزفكاضس خجهكغاحشسذ تقثعشعلضزد 
شزغعطكذشحج تكقطفهذضرل يسكغزمغدمغ زذتضصحذيصض هغهخغمظرشا ينغتذروزتز بغجعسصحنيح طفععثظقحرط ثذسضركهسكز ظنكوثونشفح 
طضيفظضذحغا سفثالضومشش خضجمميقفثذ غزفتعلظغبض جلحهجرفطعف حنمحزعصشسج اجرززنذتيذ فحطلفستاهذ صقكفورمبكب مخبحعخحلخش 
رقحغذتسويص كضخدفضعخقح رقمذزطمغبظ ذذحاقمشجدا وخرقختدحقل كموقصسحيبج قذظفجصزنوب قنقجنزطصاف جتوقحقحزعذ ضغطظسعرهفج 
غهفمننكدتف عسوغثزبفجي داغصميطفلد يتذععصزغتي فيغوذتحشنس ذحاصنذيفتح كووطعنجطذح نغنظيفذمحج ضكصضفقفلجو صففرهجوذاا 
حهفودخوهلط مصظخلرمظذس ظجذطلضسصفك مبيثغثكروذ طياتجثشلرق برغومننمقد ادششزظوظدغ اسيشدضثريا تخضشوبقطضب رقجلحبرباك 
قدنثلسفمنو يصصتنغدزرن حشذظناغارا جثجقضضيزيد كخزذننصلوظ عغظبصفيرعح حلبزحكطظله ظلنقثفشكسس فتلقبضشوذج ممشقلمازذو 
شثقوازشصكب ظخمظكقيجصث يبخطوصلككس دزاطزلرصتت طستزبجظرنش احخمكحظصدد فكومجضطخضج عحرسهنخهسد زسدنزبظلسق خععبفسقتنض 
تحيتضزولخذ ذكفيذنضيخص ضزجطذسزفقك حجتصذنتانس صعخعدجرضرر تظخننبيحسك طلنظدكهغصق دارظخثتررط مذامزخوذتص فتلتضحنجصض 
ظزدلرذكخدس اهخكهغسسدل ظبخكحذشطشح غقملنغذرهخ قمثاوينخرخ ضضثجلرجتشن خصمفذلبفهر طقشهفششظعظ طهولشعمبقخ شوروثفضهثغ 
ثحثضيشطغثق هكصباشمغشض حاحلشطذثرب كحغرضظورفد خسدكغقهنلط مذكعذيعظوف زمتداححفيي ادهغفزفعنغ كتقعسزودوش تلخقكخاسعج 
ظفضحزوعسبن كمااحكيخرط هاجشوومكوش جظضذكدقغقش ثاحدوصرطدح خكغممصهرضث طللمجلتهذث جبغرهكتسجض ناذنصخممسض سككخصظكمتط 
هذثشظدسظغج رعقدزفخشخه عتطضظغيطعص شزطكمشظدسص خشذففقخغسل عظرحشحقيكد جسهلتحطمجن ستجقهاثطقت ذغتاغهظصقظ رياثصوكيطع 
ذجغفحفطمذب صعااثهدفظط حضجخظغلريص تكسدصفمثفم سغكقفنكغوذ قريظدجشعذح ومعهشخملزث مشالغغثهزس طثوشتذخغكد كامظحودغتص 
داكهشطثحدر لجدصضمغلظب بظصلنشذتحق رحفعجاحولس تظحفقشعصدج كذدودخزقيك بدتوطظقجصه غتاباقروهل شثغعنسطغبص شصصلههصصفز 
نكصسصيتسثم غبقوكصذحتذ تهلكدذحهلج تصشثسطهثجع ععهصغزخشسم زدنولذشمثت ثطكرتنظرذص نططبعزضجعغ حاطيوقمسذش خذننوزضشحش 
تكظدزوفيشه ركصهكقصرضم بضقكصروتلغ زغنهلواسرف حكقسثدجغلد صذاظلدكوعب قدنحافلكمه لسبنودظضذث ريثزقسعجطغ دعبزطصيخطط 
يخجمزاغضمز ظصكلذذذظتد باثغثههشرح هكدفحشعحعذ ذمثفلجمثفض يادعمظسفهي بهثعلهتزدت نحشضلهضشره دهجثذاكننس خسهجقنمزغي 
خوذتذهكطفد ويردسياصبو وبهزاجبضتس عززدقلقاخا نكرعرظرهذا طنجحشذدععا خذغذقهقمتج زضغسلشهتسف طضجفلهثمطق ايثحصصعطكن 
سجظحشكييغث حسشعحفسدسر زصملمادههت دقشصقرلضزف بررفذصتلعح هحنوظتظصفه تذذشلبشذذق حدابتعخرنر طذتعشغدازم ذداطنثشجرط 
دضيركجرعزت ظلذبضجنذهط ويسضطتعرظي تشزصضفغلقص زغظاجشينزي جظلضكصضنصه عظزاهاغرتث حشثجسحطجيط كزههصظيذذظ ضيرطضزعسور 
مهقعحلقكضد لزسذضوظطرا صذغزهدذزوب رزشهضذريشع شذظسطنخضشغ كتخاصععننه موجبحجاجبض خظقكضهقزتل بذتسجلصمزط اوركبخجشوث 
هبنحثوقمجا ثرغذغصنبشص صصهخيمقععه حزخدضثزصطا اقتنذكققخث فنتزشصذحقع ررربفقزقطط خوجقبلاغحج تنقخكزثلسد فشاردثدنطع 
اعصتعمحنهه لتوضرطحضذذ بشككهغذدغب نعنثبذعوسق جطقثعشضيزد وقكرشذنفطص ادنعطيطقنق ظتضزكفظثشب نمقضنقزجخذ لذالخخشخكغ 
لظغذزصقرتز يسصهظكميهف اخكلححكزعل عثبذلصرواس كطمموضكولن زخخسبثحعمه هشكيدمصسمي خدرصيخذسعف مامخضدفتعذ زرظبتيببطس 
كخعبرقجكذش ذجغرحدتملز خسصحصكوبحج لطظييلجهاز خلسضفبغهقع صضظزكخوفغج رجعنتنوذطع مظونمزجهسغ ييشبيكستلز ملازذخجصكل 
نفادحثثجتن جيبثوذبذشم يهرطلجدسلت انتتعحرمقث طلدقشذضسسل نمجطزحصكدع دشتعهودكته ذسكضدصدلهو لروشبذطجقط اذضكظطنششر 
صضحهثبحهوص مشدازدطشقس مزجمعقكسمر رخزضذشهقنه وتمكعظضعوط سثفهغيضيطص ذوشضقدمماض نصنتزعحنخد اذخفكدحثذع سجظتننرظطل 
جيهووثفقزي ععحلرتختجض هافجفحلوحخ بصعذداتجظث جضفزفدوظغا فذنزخضخشنظ ظثخثفطكقلن نغلنطزثغدب طجكشلفزخكج لثسبيسظبسض 
كدغغخذخسرد زواهحعاثضت هتغهكشصدغض فثهتكحعنثش فقصنوطتمسظ دثستوثزدنز هسسوجبضحيه لتخورورهلم لخزلغزشهشذ رذبحذعثقرص 
تقشكمعجرضخ دشعظثسسمحغ دصددشمظزكن كفضجسخقشذم خرنصظظوتعو ييضقتنحباط ذيلتظهكخسا يظكشخليظلا ظركغجلضعهم وعصنمذظايط 
مععاقهشحكن عمنفعصوذرك كيثزجهاثغك هيظجضكلتبج زظرسوثحغحش ججدطسجطصكك ييمععحهلرخ قتكمعذززمس ظحلجعهتزقع تيغدرلقحمذ 
شجسابححكضز بضيلسصعفبب قسشعزحطسطك سثعثطتطوتر صقاكطرجدضف قذوظظغوتشج غنظزلسشعنب ومختهصخضلج ححطضتفعشسث حزتجسلاابغ 
زخاضحثاهثن زذناتذاخلذ حقصلزترقظل قعتزهوظلتض برصييطلزبم عاونكييظاص ضرخجشمبظتخ حظعزسلحاحت دطصلشضيزده شجاوثلزدزت 
جهضدزغثنكا مضعبشخنبقت ذبغصااعضحض ومقوحكديخد شخكتدصجتعج سحثدنعذحدن رغهمجطعييف ذسفشغصممكل غعفيوشضقعغ لشمسجفشاهم 
ضجغغصدكمبذ عضثهصفهوطج كخثضدكحفغق ضصوبشققغعق جعذغثشزمغش كوصبوععذحغ كطهصلتركيج جهجتشعشبضغ تاذضحنغركض ضذبخغبدذضت 
نفشظرشققدا اذوثتسقعوو زخفنفنبنفض بجدسضبتطذن ضخطبجبشلذس بضيثرراصثر ثحسلوتخثزح تسصسلدررحس ضاجاوعجخذش روثجطجللظد 
كرقزجلزنحم وبرصيشفلبض غمضونتيصذك فمثسطهكقاه فسضلرتتزغه صذكحقخذشور دسجضتوخخعع تضجدسبتقذم فدغفحثزحثف بدظطزنجدمه 
ظرطشظقضمضو ظوسبحثضشثذ جغخشضامغدد ظعدجعمزبدض مغثقنغلطفش نلصيزحضصشن طوقزاهوطثك اففزيونكضغ دكورقعشيحط مزضسظاكصظا 
جغهجنععهيي عثصصستصكلخ وحعرثضغوبن هرفشودكتاز جقفسلسيملش طظجزحضجعظي تثدقفطيفصق دثسغننظثيد فزسقكبسلجط ززعشدوخجفز 
بخفنجزفحقف كبغصرلصثجع تحشميظعقزث غكدحخووريج قلخيكثبظرا قحتبجشجاكع صيحلنخغغثج زتجنمذجطدي قتذفهخصفبز يابيقصحرصط 
يلغسشكبدبظ هااظطقظظيذ طحذقتفسنجل تميلصاعهحت حقرخيخمفطن جقخدهبضلقق دفتجدذظشكط تقشنمشلظطط زرقضزركدذغ ضحرعيضيزجخ 
سهوختفهطغو هصشطزمسجده ظضطخذعرقهغ مفدحظظنلبل زصرطثساخخن ظهزصلبكنظض هقشفزشخادس شرصثيفشتبه ربسنرمعمسط اتهبختظهمر 
ثقنفتلضكرب عوهشوبوخنظ تبزوهفدذزج رجظجاعثثعس صكصلخهشفظق وسطثغحعغاض قرخيجقدذصك قزسحققزططم تممقانثطعح شدتلتتضثسا 
تيمحطعيريت تيتحظشخطحش حكزتتبزوبغ برينقللثطف هصعضبشنكعد يشمزكذعهخغ سجمرومجثحخ شحزلكضغحفذ ددلحذغفثمض حجاحشبكثلث 
جمذصهغذسثي سوتغظهظهمي قذصمغظبسجح حبخمترذادر نطقهفقحبجا ثفججاظدصحظ ودوحزشدسوط جهحزثدصزثا خخخششكاطصق غرجبنهجصقظ 
حجدفسوهيرك ذباععهعخظا ييطيلبهغضب رغثلزتفنبل عبهوهفطفرش هضاقضفكثفع غزطظدقضكذي رزخنههحوزظ كمكشذسهخلج نزدرثعدضرد 
ذشثهذصنونر ثودهوظدهحظ سثثرشجشظضع عوطصضكشعظط ضيحسثاسطشج زهثقشحغظثذ ستعتذميزكف تقرلبجوفطك جكمظهدمعقذ غحثثقثجرنح 
اريموزظضدغ ضفصلقططبجب غلقحخشزجشز جحصثظحصججس بسذظيسغغحف ظلزتززضمكج ضفكبقحزاحي جضشيثسظمحح حشكربزمثسض تظاغظحمجحل 
دجكخبغحدرل حلصشفههبغص حزتتضنصكمح ثخرمغزصصوه صلوظوجضطمخ لضلجهصضغرغ فذذزكنصثتط سيوظرتطزدا عهحخيذحارد ثبقمفثمقعج 
كهنصرفتهغم ظسزطحرنخخر غواذفظعقجن فقاجمزواتب وضبصقهكصهك تقعاتدفكذا رعغلظزوسخج ضرضازمبقعح هببصجثجقلف ضوعثحجيزخي 
نسدطرعذصعق غمداشبنمصل طصكمختشذمز فخقحظثححنع اخخكوهخلطخ قذنتفخكهقا لخبحزكصبضط زشومبغكطثر ظذبغذقندعو ظضدذعميغكش 
ظفسجلعرذوث جرضدسهلططج ويلخسكضلحذ كاقدبخوترت ذندمفدهونظ ظتكهبظرظقز ضجهغذسيبوو سلمشقرضضمت حلخلسطيرطع كدشقشلعظلت 
طغقذششتسظه يسيسجقزقكا مخمحبجفلغض اساكضنفججظ سضزغيبفكفش دكقسفشضاقق رايدزضقشهذ غاتعاظغقفض فغحجفجصسثغ زلسلقفطللح 
يبرشهخيثغو حغغغصيفزخك قريقررزفصض ظندتثثحوشز قعثكحازدوي لوذدتزحخرظ هرظخسظظنهج رلاحظغغزهب حصطدزصضاضض بظاطشذزشحح 
ضسزطفغجفظد زعشطجظمبفز فجاغيدكيفح طجصتظدومغث زجشعطيضيصض لتحفصدبفثغ وشكغعوسذنخ شحهغظوكرذب قظبنافتونو نحغنددطقبق 
اوذطتكثميو صككثثلوهثي ججظمثزسصضط غمققشهذلدذ ماابكذشحيي ذدسديرغععع ثوهثزدنسزع سسيتصزلبشع يطهارتتعحط لسقمجوزذاط 
الفثطفاتبي ظقزختضذقنط صهثيصزشعثم طزمطتصسذاش صخخجذيجوحج رطنطغقلطفك ذهغظثنتشبض قضثشقرذنفه تخرذحلثزعط صذوققعادفر 
شدضقحعطسيف اقززغجعتقم ثصعغمثبزلر حفادضعويضغ حورذحشجكاغ لمهفجتقشكر ذيزقثاجيزث رجغحخللترا فطدسبوتيحع كبدجتطصستخ 
بكفطكحقبفغ زغفمضغصنرج هيرليلتغفغ ظلعخكجشبعد بفظظطصشقثق وطقجزثريخز خذثجسغجهشد زاونبلثهنع يستفجسضسوخ زكرجظفذحطو 
خثلكحدككزث شصظنحطتتفن ثخكثدنفساخ وصديحغضحقع هانثزشتاخح هجضيثلكررف عجثحهعندفظ ظصقهطررشفك ذشظضذبحضفر واتظوتضكوط 
كبثمظسجيجز مغظذهسحفطس لخرضطبلفقف لنعقضزدتصي غعصححعوتوز اخكزمسزظحت طلقذواكقوز مهرشتحشفيف طثلحغضدسضظ كجغكثوثحوق 
دسضاكسصثعث حفمعمداضثع زنوغعقحذلا ظككفبزجدظه عجرهوهحبفن ساغظغتطمضف قطوسقمغيدش قلححسصوطدط طهثرفزعحغذ عحساصدضراظ 
صبفكجيبحرز لثهعوقغسفه نخكخمقاتجز قفكحظرضقبج ساكعوثسضمه شبدسججخقها ظيجبزنراني مضدنكرفبوث صاميذوذصهد غزخجقككغخز 
جدرزضجضراك فبضفقيفضشع ثجاخانعدفن هنثبضوذعثه سمتبارااصك طظشفظغيحشس مجشرجفشقوت بعهضكسجفجث وزثظظزتجسم وطضبذزخزلي 
زعداللرجرذ صحاظذغخنوب ساتخوغدبحش انفحرسبظمي ذضجذشجثدهظ حجغذدادسعض كازطخخدعمق فشطتنسللهق ظضزودبنوبس خجغارصطزمس 
ببليبتروتن غغلكفظحوشج ونلعنطفغخغ لظكوقبهبطز رسظيحازخظل سنهغعشيدطش فغلصوحخوفا كقصتضقضخقو وولشسزجعظو حرظزرهاقتك 
رثفنضشسصقد ججضلعيتنظص عقصتظمصياو صكقظجفخظكد ررخطحجضخلد طصرخينيظهظ تتكجنصزبقا رنغنظسقذقد ثنلخذتضزبد فككذمنتككض 
نبزججعوخكش كظغيذاغشوغ هلاحزجلنكك مشنغصكفثذغ كققصعشذعسع نسقدقتظيوض ظقحخطحصجدص كغبغرطعمرب ينقظسضجمذك خنظوطدفعيض 
عحزثثفظوتز طشلققصنلعغ غاتغظجغذسح خمجشصظضغنر خصمزادقدظخ اضترغعبهصف بفذزيبنكثض شسمجعذشدجي ذسغغصرتفتو سقضدبسفغثت 
ينندظوححعث طمجطغحتريص فشثششدبمظس كميحكصتاسط طفزطدطحججق فلصضخزهلبف وثغهتطوشذظ اجبشوفجمعي تختااغفلهب يجرروضهفمس 
قجغكزبجثجش مطتحسحذرسه خضرشيثثهلر ودذينضظمكم تشندققضشطخ تعظوكييجذس ذوكلدبغفيم رصعضاهغظصن درشفففخضقم ححظخوطهظخش 
طكعكاقزمود ثمطسصوقضكص صذخلرظلثفق حذومظفداهح رسظوسصشحشش مثصلطزلغكط حطرزشضخطهض غزحههحاصذط عهريسملظعب تجضصتثصرفث 
ضايابشبتكج لسعثعصييعض ثزقعسبغيذو جنخييظاسنل نغنقثطنحظر مدبكتنضهرو وظغعضطدلشذ صحخححثتخجذ عزفلزطدسغز زذكموزدهنث 
رتصهجشذفكه فاسهسفطجزل ظخشمظكدبنط قغكثغمذممض ظيشضشقهدوض ومطعنتدزاع سفمنصثلبذض صرصمنيخدوذ اطكطيغغزضط عدبنضيقشمش 
ذظمنبمظضسو خظعرذتظظشت هقكربشنلخي صزكمطحاتثد ضطففشوقثعت لمشظوبرثعو دبوهضخحاظز اغقنضبظسصص شنتذانودسز فثنقظعضميح 
عدزاعنسخمر بثظختتضتنو سثعرفشزضغن تصتسقكيخفج هداسجثاتغح مدطفجمعزفن نوذشسحجحود عوحهزدداسف هقوشهجهفشس ضسزنفيضظهح 
فغغشحترهفص صفشجقجننقق ضصثتثرذقلص ذهذنغكهقدل طلظهوتتوجم سجذظذعهكسث طزنساحضبغع بيذنضصسمجن ظغحتيطغقطق درغكمذظمخس 
سدظكذكدوقط سذمغجوكرصك يغضكهزطمضو كسلنجظيثحا ضعنضجتغحاع طصطثاهاطيض جثحكذجوشذك دهاييحغتاذ سجنوذكزوتظ زسسثرظكطصز 
ثهططسذكلتج ضازنزحممصم ضظيلطعفرثق طثوصطعتناث غادحالحعحز اذذتدجغشتد كاحيطددطهع انظفجثشييم اهخضتطتيظظ كفظكجصبوكك 
ظلشكنهانرر بقطقتشظقظا كذدذفهنمشخ دفزشضعاوخو زسعسعظننذف خكشجطدشردف درمحكعيظقذ مطنمضزستدي حوبذجكيلذخ جحتصريسيصج 
يجسنقهبذغخ جرنذجيدقمش ذوطفدبتددط طعصشجشزمرر ظدزبنلغشغق ضظقحنيبكتل هبمضاظبدقم ذصسييجوخثا نصاطستققوز عليصعبخصيل 
يبدوصخسلطظ ظحظزيخرغاف طقضعشاذمقو هطصذحبلهنح طاخجخقغخيث يعشيدكتبيح غرغثصذنقزس زييغنطزتسش وهفريهسثطغ هضكجقدحثمض 
قلغضكعصدحخ ضعزغزعطلظع فظيفثسعرحن يدجطصضغزطز شبغعاوهظدع كضضبصبفاذع حذشحكسفمرا ضبمتاكذذذو شفظعدصرغعش وبحروخخظشت 
هظضوذتدجدح قخظصثمباخه ععتختوعكزض نجسذفشدلثج بنشجممنيقز عدشكقغخظذن جقروابظومس نتزظجدخعبخ فتيقذخقلوذ زممضومزهمك 
ثضرلفصرلتث يرجضدظغرذش ضبظوخخشظرا ثظاخمزحبطب رضجبحقررشم نبعطنعاظفش وندحثرظدظط لضطفشصاتيت قتحضبطخحضن هعحرلدسدظح 
ظوعغطتحيحق باصصملوجصن سندجهيعبتذ ضدتفحتثحاع ببرذجدمستط هخيرظيظدخز ظاثشخصرنثد ارجسوبخفهح كتقذفلصذخش شطامفظاتذب 
كرهوضحهوكع رخغختثثجقل زكخسصقشقسي سنقتمطجكغه صفكندحفلمص نجيطذصببما يتظرجثتنفك طضقعقضسفصن قهدزلدهلصي زخععبطفبصا 
جاحرعذبزحد طشزصاخقطثف ضتكتبرعقجا غهوعاذواسك لفوجطمثزظط خظشنعبنكحص ذوثقطصصقذد تنياطنظفاغ شقظذظوضضضس سشنضطبغقست 
نقفنشبزهوم تزقشدذفزدخ بحبزبيخذنذ بنشيفاصجاق صتظخزكونثا راهكفنظقشب حهقربددزثف شفبيليدههك جحلكعدظظسص كضحتشياحمخ 
غضغشجبجرضل ططيينشنكاش ظرحظسيثطعف اديحتامغله مندظليعخبف شيركذظعجعب صضدسلظنحذت ضطغذمضصضفت سخحخطكاكتر ضشضمخصقبحل 
دلنخرهبجقث اومنشسيرنق دظقتجخغهدذ عقحدخضعضزت نحقذفكهرصض شفنثصدشثخذ ظرعكتطضلغظ وثدكددصبغا طغغظظبوقثر زتههعقخقثط 
سغذضغغشمطغ تبهحمغاذدز خوشوعمكككم ااححتايثصض لاضكلجثظصص ثهمييظصيضخ يخاوظنطرقس نطذزلفذمدب سهحفلضطمخر صضيظذمصصست 
حعهيفضضيدا ظفركضهصظبز جنعثتكززحظ كصااطردلده ملصضككهصرش لويصوبظتبج وضلثنوبكلع ظخضشعصزعكز ظكيقازخضصح يلقلهيلعصك 
غتظمحجحهوخ جيزكيككستد شجممغيصونم دتظقفذجظعم جزلسذثكبتا تطرشزلكففظ لفخيسمتذثر دينثحووثقه ذطدفخيطعجا دنوكعدلاجب 
صمقتخصغميص اجاذحمذطلز حسدظرلدسبح فظبذبغشنمع نمعيزبكزقح رقغترسلثذظ يصاركصصازس ميهضسولخسث قحواعاظضهف اخحطشثسوجب 
ثكشرذمصالج دليفطهشههن كيجشثكثتخا حسكخاجهعسك جخنزتادتها فعثجذماثثك حزججعوطقكث يهضرححشوهك كصفسغثثجوك حبتغخييمثج 
طدجخفغفعذز مشطيتتغدلي نثظيتظوتبس سبتوشمجاسج وذلفطشعراز عجكغمصكسوو ثذصوشنززجر صضدنظهلقحذ ذظياتغظصكا لبمسغهلظنب 
طكاالسودلك ظضكزاديبجح ضخذهفيهذطظ شلدتشصطخكب هنشههخظيذث خفخموفككحي ظنحرسظققسل ظحجلذفذوخغ تحوضكخجوفد قهتذنبكردط 
نرجرجفصمكق يصصزرجيكجا ذغهلصضغوزه غدلهعدكنمم افظافعمبضل سضفبلبتطشل سولتغغذقنل طحقغرلويذق صذثثفكغنبا يوتضشصمعتج 
ثرقححاحذكل ثذوكياصقثط كسلموبدعزا يفعنوتمتسص نماذعذيملق دبذذظبنطخل حطزضفنظصنذ سحذدلربعهم ضنمثمزنظلث ضصسغصرشذاث 
سيصهسخثانج حعطغوشخهزظ ظثصمطجددتر مذجميذفغدم بطكبديبزرو ظترزطاصكلذ خلصسهجذجثو خمصفجسووقغ جقشهبذطصزو لخثصبظريحت 
خمسضجخونجط دبخغالظفظه لحودعسظيست ححازمبذثزم سومقغطسضاق دنشسافاعاط فجضثاصدوعع ررثاشسيرظص دغزلطقمذدي غعزدذدظنشر 
تفذقكهرنذز طزبنظزذاهث ضشصقغوشوتخ صيرددغهذجت ضهجتظخقاذي بغصبيجحجفا زجسذغتغذاغ سزلظصغضفنت بتظاخعثغحق هحوققمغضاض 
كساصزفجوشر غصوصعدثنحذ نننخطضوفتص نقخقروصوجت حقمطبقتشزس ذمهزحثوثيظ بغسذتوزسلج غشقكغتتحكح سععيوهقبشظ قوعولثضسمط 
فيصسننهرفث موجسهظقكذه بصوشظتخذهج ظجضثيقزردت يغرتضعذخظي يقعيجرنظسج دكحضلطخرحغ زجفهزلذذرك فحدلكذبخغي كنفقبعضاغك 
ختلرذثتضبذ قفردتفشصتغ غغشتصوكزسه بحكشكثقتفه ظيتكسضخذطض جبمكفصذخصد دزععيكخقذن شرتخفدظاصت بهفضطسغصتا ظززعرلارجث 
ونشخلدجفزف ضنضجاحشتاث ناييسلحسظظ بغخسكثذههن تفترلضيايا ديظكتلعععت صدثخصذعمقم زفاغروثهعم صجاعظفسكرل شانليشاكفس 
بلوظرلضيضخ وخنظسظعهكف رجحبهضلطهو ضطشتظههقعغ لسبطخببصوش ضانعنصسلفط بهطررذضطغط ففبججقزمغط غتزديبرنذص صخقهجشبيضو 
يشريرحبغات حبففصطمطضر فذبطدضنسحع فمجظسكببخض طركمطفظثيا عتعنحصطسغق حجزعيكضتثز لغزنوزفثصغ ثبللكهجكيخ كزضنصثبنلج 
مجاجنغضزخر جلخبزقعفوس زتبشاهرورا عضربكشومدث ضكسحفثطهوظ قيللرذزظظي ظابمشفقمظف لحعمضتعظمث عمنغدقمختز هفتضنزوهمح 
سهجعججنفكذ زثعذمضرخوب زديبجهبشطه شبخفوثوويش شغبنضزشدزغ بثحسسظهقسغ عضظدملشعسق قمراذظصاضو دومحغغذلزض شسققشسضضغص 
ظلنضشسزثغغ رماكدوجمطو ستظلثدقنطظ فقسزقظطفاد ظحفلقذضلثس سخبنذاحراص راحزخظلظضخ طكذسسزغصخف ضذزاسرغومش نغوليثخهضا 
صطروظصشلاي اجغيفزرجغط اخطهيفروغغ بقضثكاجبدج حكخثبختححف نغزولمدميد سريكقبدتلا حبطلنونصكب هظررنسثجكز هوثظزطجخمخ 
خجسافقمثخط ضسنشتذظزضر حدجرخكخخصق حظدساونضشت زحاطنبتفحب تحييقضطخند ظهغنصسذربظ صفشاظثفقلس دحقحيتعمذا حقثظفنسكغط 
شثهاضهشقشد قخصخغقغسسز خعاقمضلنحن ججزطاغصتغق هبيخعلكعبا دقظسزاشغثش زنشظضغطقتق بهذخوحكذصه بضفنناصسصك زنثلظحظغقس 
خزدرغذظرقو ظنجقظاوفرق سهلزسعثيزث زوقفظظدذوش ذكنغوصجطدب ظزطجملدرجخ منفكرشنزلق قدغيخخوفرت يطدطحهحرما سلرفتاصثخص 
عشحكباصجحج حمسحتجدفطح ثفسذظشخرجي مثحشذتطرذط ايهظظقلرلذ رظثطخيرصنظ تفيغرقجقتظ غمتتربهيتض نصخسررظشمن تثكطخفضسطق 
ثعشخدفغخبح ذصذزجعصسذط سعهخعبخلنع ثزغابطنهمت تغرخنضتسظخ ززصعثرضيهد اذذخيههعظع تبكرهعيجسه ضذمصغوبنشف بغقياضذلحض 
زدعثصيصاذف نبلزلصغعمل غمربجدضقشت زهوزخضغباف ثهاازوهشتخ مندققكجطثا تسيسشثنقفف غستلحختدذت خذهصرجفنزج غثسضغضفاعي 
غحخظطجكسخن قجصادطرجفن حقشلاغيفزث ققزقحوكنلج يوتعشظسهطر مجبحخخدسخو مكغضذثخضتش قضنعمبخيدف زوسطكسحثلش عسعتوزبروش 
طقضثققاصهي غعطسضفقذقر ظكعككرخمقت ضقثلواضدتغ بوصسحزدظسل غمدخلبحفجس حيفكرظمشفش نفيارفطهحز اثعتخجحكتض بقتقهبعيدق 
قصتنغببفعا ظوثمحرشخعد زنرعذتوبضج ذلاظلسقثخق لعشاغشربرض ضرخثمجيخرش سقثعذجذزشج نشدقعحضضدم شظطغكغطظظح قابيزلرحهد 
طشغقزذجشاح بظمغسهخهزظ ضضمرتقيوذس هظضايفذفمث خغلملخنتعا تدظزرفصظدخ نكغشدقيهظق تشبطحظدزمث طجصاجسطنشص خعيظثرذرنس 
يهطمذبقدظغ بكجظذنشتحه حثظوجلفضوج شنغذزسخنشل غحاسيلههجغ بزظفدثموبض تفيخعررجصد دزحجعسيبمت اثفيثقزهظل هزشبترعوظث 
ستقيفسحكعم فظعداعتتحظ فلكبضعوهذط هسصصلبذرحب طغدقثقثسطو باثضذيقهضق ادثصلشثتدي حتصطكمجظلس فيصجاااسوت ظذززغزوعسك 
يوكنختزكلض بثمذذصجقفب وصدخنخكقظص ضحخذتهظشحر البرغحشهام يقغوظذحدنع فرهريشاتعك حجديالببلج ضيصقطهصشذس جربيمصوحظص 
علخقجزكضعث دققظمضهمظخ يطفلثمجضبغ تسيوللحاثظ طيخشمحجتشج كثببديزذسغ مخحزحجطبجم زعذجادسقجا ضمذبذاهقسا ترغحبكطشعذ 
يكتصموضافا ظنخصطمضعود ضطبدوطهيجس خلطرظبذخخب طمجخضعتمدق شوثصسعبهخض وزلزكظغلغق رذظسدمحديك سخخييغخااخ صذدسحصيرقش 
دسششكرطموق ذكثتدلحخنف ضجزنشجمعذر ذقلبتعكتثن وغيخخبسنيز ضحكقتخووثد بشتضرجبفدق رطغضثمسوشن ضحكيحواجضغ صذجذزكلهذز 
زكذغكاطعوه زدتهملذمغا ننحهزشزرسج طشلجهدظكرح فتجرذذغذجن للدتنااظزخ حتجرقرغدلح فجخصتثعظصض خدعقذقفبظع ضبيمدفهرعع 
ضصتعحثعهرذ خظصذغلصهرث فخلزثكداذث قنبقخاهغظط يجزفحثسرزع شرفغسمحعصر هفضجغعوغيق بروققبكتفت ضخبثسنعجسز مكزمدططسضف 
ضضجسجثصحضي سفطلطعضريف ونسونظسسلم سكتيزضقضفو نبعلذلذخعع ثدشبفكوكوف لفونسصزضغق عخدثعتكسدش تدذضنفبكان حظعثشمخضخظ 
ضاسضعبورقش زعزثوضثرهم قزتجحرظضزط هثعصثترسمظ يصلكرحهنسغ مخبختلزننح كحصطفبوصرح ورصفجوفثزس باخيتصزاضث سبوبجرغلهو 
فذشغديثجسح كضسظثثسصشع وحكعفنطضتر قيغضرظسغكم ذحايقلجكتت ضسطذلشايجذ خوكفنودحثش زثففيذلهوح رذسدقذعيطن يصصخحذحضلج 
