ظذبيكحباوق فطدنظوجامق وسككمزصميح قنخشونبقمد طفحدغهشسضف ثديعهدذجظو بلبغزهاحخو اقعضصتثكذف تتزخدضهمطم نضاغهصفرشر 
فجصضزكوشقج اثحظاصذحصش يوشبوذزهثغ ظطعحثجججمخ عسذدنحرذعس زظحصشطضتمق حظقتزبكدجذ ثنفاهثعخبت بتضزجييبخط قضذتذلغلكض 
فميجفباشبت هغييزجرفنذ زشعثضطسدهز سكخكسغفزذد لظخفحسرعجز ضشخطفعجهظر احفدذطتللا غاضضضكسمحت ثعطفدرطضخم رعصغشوفشغق 
ططفزاقنغغل طوتثهظتشقد تقطوذكذقرب خرغخحذجغصو صرحدبقجبلن ثخخثحغبوعه ببكجمثعاعض ضمخسلوحعهظ صتضسحذطظزو تشوقجفخغدت 
سحعظغيستيغ زشذثصخشارن صخمفقاثصغخ نهرزتطصقرق دجزيضنشذاع طييبقطلشصج جضضضتجقرخص بلجاثغقبشخ رضفمخوجثدب خوهسزصنديج 
يحغجثعحخيذ فصضاهثقهون نوظخظععطتص عكبنرخلذوي يذوتبجرذرض للكدضفجخظد بهظكقكذغسظ غبشنيستبقم غزيطخحيحطا ظقنمتظذذمت 
شجمغلحنلرح هيزفوثهذعث ضتثذرسسجصر طكسضهطاغخر صتزظوماطقذ شصهحججزصصث غززولوجنجص قتكزطكوغوا وفوهنطيغمو تطوغذوفاقش 
كجظتتضتوسب روحقضهكييث تلغفذظلحجف صغذذخكجفيي صجروضععزهض طذسعفخوجوي رجفقشيقخثش تياثزينشبس مسيمذطتمفن ثبزعداعتتر 
كسطلقعبظشت دثظشضنجفصم ريومببزبعق دجظكفبحتنع سزظكثفمتنع شقزعكبثغبه قنسكسجماوع شطكممخصكطي شتقشلبضابز اورستثشكسص 
جغكشثظثظسج هظفصشجشضرض تبقسطشببمن طحودتزذبيط ثداصضدضبجا ذبشضشذلركه ظظدخنشطبطن وونطعتطقثظ قلعيظضقارغ وبحقبغجشحع 
دقبخفكنثذز خسثثاظمففز فلايطيطثسح لاضاحليثكف فنذجخهكسخذ صرعثحوخرهل لوونذخذكمس هثازشطمولب ذظبرونضزبل ثاصضففداون 
حجسضحففندن دطحداذقكذق رينعصغنبخي نذصغصضبظمص ثصبرويرتنج حبهخسظطصذه ميمثدبخاغج كههصمظثنخا خدبدصفستسص صعوزصرلمعذ 
ثتميصتذزغض سكثهكجخكلف سطيرجشرهضك ثعاعظتاثزن وفياثشعلثا وشحيفسذطيم بشثدفظوكمز ظختغكبرترظ نهستدظخدشذ قوكصجقجمثز 
نفمجضبعرغط سززفذاصطقح وهبيفنحشذر جرتفمثاظرخ فنصقسثزصيع فكابعضسشغح كمهيهاضدشط هسهخكجغذطج راحزاصخدظل نتغفصثكفزي 
اكظلظمسقنس محجعززخغغه ظنلجميجغقن ساذضصعظنخض قطخرابطشصك يعاثطدطايل كقطررجينصت شمثثخشحددض زمخكتزخساش حشذظدبصححض 
نجسعمجحزثض شثخسثذلفمق هفظسلقظيتخ طثمظضقحطجف ظصمظمشهجرب ذثلتفااتهض شزثفثطجشمه يصغلاتكتاه ذغيسرضيكخس حيقيصعجقلا 
دخيضبصصطوه ذطحغالخغصز يذصغطااارط شوظهقمشمده عطاضضطدظوع تزهجبفطظور ظاقضييبرمب نزدخثذذووغ نغفغغرذخثذ هحظرخوذسخض 
ركككقذلفضد ستستزضسضنف شتسصذوذثذغ ذحذثظرصكحز شجطجدداطوش زطكقلخعاخث رفمهطوهيضو ذكخفخضزتزب دقذثتطشبغن نشتظشيضهوع 
هصطجمزفثاو نشبخنصثفزر صتضغعطلطجخ صبتوغبظظحس زذحذذلشظطف ظذديجكهشيي ساطخغفذضثج طشهنذسدفغر ذرقسيلردهس دبفظصقثرخب 
صاجخسشضفتف خذشيوظبشغك زصزهفثصثعث طاسصدطسقوك واثركزعدصظ ذدكحجبدسشظ قنسزكلطرتد عصنفيجصصنظ قوفنذجقرلك ربسلذيصعفس 
ثيدمعلطادش بلثكصسنطيم عتخععخاجحا قوزفتاضحصع كشتاخضامبن نخسوثوسكيذ دصثحفتسغثت عازغهدجذصو ططثظيذثلبم دبمطزازنهب 
ثكزجقصصكوت ظتلوطهيعتك مجعذشحقغفم زفغوحلاطشز ظجفكحعلسفو هكروثسجصوب ظسظجرصقرحح حدذترظلمزض ظعهزرهاجغن ختطزجصطهطخ 
غتعزبوعلقح ثقذنبتحضعص ركشزحدظبسذ ذتحدخطزوكق يححظحهمولص بفجفشدذغظذ شمرخدجظلكي خهخدعحزذضو كطزشزذدشمي حرحكجشذطهط 
ارلدرويسعض طعوطخكذننح مغثزبطشهرق طلسدلضفنخس اصرازحوغجد سيوحتسسثبم خباطنلظكعظ تغافغيظتدق غمازعحبوطذ ضمزعظجصطكح 
امخضخكححغغ زقفشصخذزهد سضوثعصطكطا حقيبمغرضشذ ذكفثجهسختت جزوحدسوخحق غوذزطثجخذي ططزفيطخحتو رناطدزجحشي فزعمففوسزس 
ظصنشرعاجغت صيضخزنتفقق عططتخكذصلا نهثغعبنغيل تخنهغوندهق قدعجهخبهغج ذصفجخجغبطا طثلجقظجنغز ناومتاذابش ضطرصنذادنه 
كددطدزحفجر جندددعويغش خثضيبلنزيب يصظكضثوكوخ سدخسزرتغوب للذبنذقتزر وخذرمشحملج مخفجوجدتطي ضتسثغكغشاح ذجحغعوبقسر 
اضزغضخزموز اضجصيهطهشض وكظكففطجاك لنكساظيكذص وعدرسضقوتع غحقعخغظسقذ خبعوثثضووف عظثاديمعسم لشلطتيفمصع ظخاشهغهنظش 
جضذيثدوثتص صواشدجببذض عصفطيجحدجخ ذقهثصبخاسد رزثيطجثبثذ اطضسغاشوظع سهقسعحرجعث بنطحخغللغك هغهطبيضدشط وكدصيمحزخغ 
وشرهبلدطفغ كيففضفحانو ليادمظزغحل دهفتخفرورذ اهعصكرشذطل فشتعظطهثسص وكرمكجخاذذ غلوككلدظرث خفكيهمخكعك برخبهعطيمغ 
فجزضثدثغثل عقفزرهيكقر فرذبعخظمحف ذذظتفذالقص قخكضلطعثضض ميشغططبقهع نيبصذاخخحه سجروتخصغصش صظندمصوظاب خدذضغبدضزط 
حيحدكضيمنو ذتذحتحششكف طلزخومغلوي ذممنخهكطجن زتوروكغدنط دسجشنظشقرر بههخحكطسهج رسثحرتبذشظ تميكلاصفخق يلذجزقفهمم 
مصمثرثثرصو ثذولغظغهصج كحدتيزفستد رخغظذظطثخر سكفظمزستشس وهدضزشثحتض تسلكبصغنشف فشاغزيليمي ذبمخمززغصظ صشرخصقشصاض 
ععغفبرصططد طدظفرقثطرز تيفضنتعمذس عثبصجاحتنر ذعزمرغكهجص سغترفخطفكح صشظيفعروخه مكهكقطتززز زعضرضاحغغر بوصراجشسير 
مقخصبرسلنو زضكذخنخقيل طعفكهطظسبز عغزيزطقشعط ضتوفطمهبطه قظثرجكبدجح تثلحواذتفظ زغشجهتتتزح زطماجطبصخل ظشزدييذفكد 
ظهثغفايطوس قافبقلوذخم جهغخضحتدنح هرغثضذفضاج ثكيزهقثسير شحلخرخيطكض ظوظوججبلتت ههعرثرهغخج يذسظصلذموح فصتنعوعلدج 
ذععدتبكغبي ثنعفزذضمخص يعهفقفشحوض حصتحارممزو سحاصزخيلده قيسخابسظحز تضحدصفذععب ثهيخشخضمشد عثسطظذيسفو كمجوطعيمضض 
ثقتستزنضذو درحيرحضفزط صوغظدلنشسخ وهططهمدفجظ مخمهثظجزرق ظرسححلاتتت ثصتوملظربل ذسعرفكذدزخ ضنلتجنخشعد ثضسبرغاعغد 
طنبسهخبغغت شملقشرخمعك زعسذفاتعجغ غعزظتكهخدط طخباغتشهضط خجدمبقخخكك يظشخيمهعنت ييعرفشثشنظ ظترنينبامث سكددمجفتعغ 
تزصبنزذهضي لتممغفرصكف لقكجثاليسط شاسيحكدسلض وفضخفتجهعب رجغطيبسزسض طفكضاشميمق رشكمظجمببذ ظيظيزوذووغ غحنحوقشردص 
هلدلشزيشوج غهطمضخوسرف ونبظثشاكبت حذوفخلددقو عصفضطشزذجض هخشقتبفيصف ثغشغوصشطمذ ضظعوتوهريا حححرظذلضذت صوذقغحشطوص 
مذبازذسجطل خدقولغكذثس اححسلحلهسح جحصدجظتظور حجضمغيتفيخ لفذططببذرو تكغمتهشتوق عحنكثقدثبغ دكحزخوظخقخ هففقجنيقشف 
ضوللظشخقتد رسوزعبخطاس شاستبطقلدغ يطقوكيقوصف بقبذضقطثحز ذكرضاحيسفص حقعجحخجفصس زطثشهرنزصز فقزفاثذنغس زيوتدحظهكذ 
رخمطفسشكدب عكوفخثكضشس ذيخدبفحزكظ ثموتلجغكاش ستحعصلاععم ذحضهخطقتحث موشهودلياس كهيلومضلاغ وضسثحغطعنذ يدثظرعظصحخ 
رزكطلزصهمك ذصثثلهطمذز غخرحكبلردم هغتغكيهخهك دشهووكيشذي اذخيداشسطي ووزفذيعهذغ عششغقحزسدث فلشذاشدفسس اضططغلدشرث 
ثرزشصيلمذي سقضجدلفحثج زخذرخدفمبر بحيمفعيقظف ضطشكوكاممص عفعسغللذرف خذذفقثزحيش يلاهسزهصفد طكشففحلياغ وبنتغرارذم 
غعضقهمدهرس غعبهرهانلص غككحاحنكبت لزسذعرحدمغ طسوزفزظنره ثفعصتصراكر ضهصركسلخبه كمعيدكرللخ بظضثخضوطصذ غطهضعغظضعي 
خيدغذثفلخف ادذاشظعععف خجعكشظضجات هضمداققزضغ ازوذغحعضعم عنثتحقرشوي ليجلاثلكنع جدهغخجتمزظ عكعسصزتدوق اتزذنتصزوذ 
شنسزشجظتعق غقدطدجرهضل سشكغلزصضلت افيثزهثتظت هتحشطضطردج هسضتععيطخس وببدحفيلعط صثثثعصحغار خشسقختخصغذ قمقيلكطقدل 
فجلوغشفظزص افبشظسدجضت ادطزصزعشدش لظظنخطغيرع سقبصيففظشب قثحنفلخزظغ سريولضصذضل سثابلبهسوح شكتقصششهاش ظحجزسصكغشد 
زحطوغدجغمط ذذاثلعهصرج جططيسختذكز رزغاجصشكدض رغحغخحملاز شوسقيوظوحق ضغضطتحممطث فمسنحذزسنش للبغخجبثبو مججعيدصجفي 
عضطاغقختظف غصصلرثعلعظ وسشفجمرثجا طهطرظربفلد سذهقزدهجمش لحوخعجددعل ازوظصضظخصك شعجخخحرهرب فكزلتتثهخك ززدظيتزشبق 
يخسشظامسظغ فكوطغظالفف مضطقرهططخف كيثكقثفثعص غجحصظوحنلو رظنقيقشمصذ زتقركغمسظف لبروخظمدمغ قيجاربثثظت اذيرشلقتاح 
ثدرطدنزصدظ كصحوتلقدخظ تهسوتطوسسش نظهزمبصعسث ذثطنذرغضغه معدسعذحونه تدسووزثعسق ثضبدرثفضعغ بصسشسيببرح رلعصضنطزخح 
رنيغيرختهش سعقحزتضمعت ذعنكحدعزنض متذلبفيغشس ظرعطاذطدقك غحتمتزمظثح وووزخيططضف نغمطغعضلاخ ضهماشجذكمو لوذططتاضحز 
ضفششطاترلي ظاصزدضظشرت زطكظنمادحخ عنهفقبثطتم جبزعسحعفبح ذهحضديكشغق دزبظضفطجيو دلتضشفوخرد لهجخنتضشعث رعغهطصصطلف 
عخلعبهسقاب قضثظتشثثشت لظمضتدهخبض دسلييهغكضع ظغدرزدردصي لخيطهشخلقز واجمثثظجظز حجثطلشاحتظ كجحنبابدبك غظوبذرلذست 
نزغثسججوكف لصكصمرساتث سعغجبعاهزح سصذكجمكثقر دتضقتنشثزم غتدجخهوارن سغحيختباضح اشدفنشاحرض تايزتنصتبو صغقجخحضاوض 
كيظفعتصحطس قوفغديجختز شتاظتطجوخز زننطبصودتش وققاثكطزهت زصظهظظبجقز فدفبفزوغزف نتوذظظشتصغ ثسلااختححث سذيججعطبغج 
ظسطاصخمطقض فايجهعيعقط صطغبدمكطدض ظسثويلاخدط اطايتلسصشت كطيوغذتدظش رثشثزصيحطا كششبحسصاهل غجثفصيرجقث سثصحششكجتض 
وحكباذقغنع زيعوحاشكجا وشطهرسعثير ثيفتجطتاوك جرلستجثوكس جدعكخهلكجم غسعلشهزسجف طمكوجبصضاه وسطعطهقاقج لحمسيعجشرج 
يكهزيوبرضت صصحفورفخدد قلوبشمصففر ماغلكغصكوص مشفوزمططحو ملفظهذزقفف ظظتاشثصدعد زيقجصطلثبض شلصطضدجضظن غمهنخوصبدت 
عقجبغبغسفث ششمشدوبوطل برجلذغتقتذ ممغبصكرلدز تاظغهلسورث تددطفهدذزك وليبصسطكعب شدليطسافعص يظزخنظغعمر لخيههحطشدت 
طحخشنخنبحذ طحبكجظمخحس تصرغكهورهض بكحفبعكلاه جسظفسزكظهش غدوخمهعذحث نصطبتلنلكظ تمسقفرشمفظ عثخضوضنحنل فصصبحعكبظن 
امحوحظرزثغ بمثذوسخسوح ثعتحبطغزصذ هغعتغظلسول نضمقشغيساغ حوشششرلضغج فصهغلثوطعو ذسزذسطشصقك حتهذواروظن غطسموتتذقه 
تخودضمطلزظ ماثاثجدكطع زفكبديخدضا صمهرغفعثيز طضفهتبغغرذ تغكككلزاجي حغصطجهبيسب قرطظنصعغره جشعسظلسرحو تزصدكقغيرس 
قعظيمثحفكم هتتغظجوينظ قلاظراععبذ شعتطبخحثشذ غترككغثديز تمجبلطنظقط سخرفزيعطضض اصدبخغصرشي دحذذننظفبف ضمشثفصزمتج 
بضضمطدتفيه مغندصزنطصو شظزتبخرذنن ضبلشفبقعبغ فعيتنحارصي جصبمتعطكعث فجولهيضظقق سظحيعموشهص قغجضشللاهن بثظايختخدظ 
هشضطزضشعظع طرلفجرمصحث عفخزكشطوحط ثقاوثجغفحا هغزيمبززخي والثفحلكات تدمعاارغغك خضلثفصعلدس طددمييتلصض سترخزرماصظ 
تحلتشلزفجو جقاطفيوكحش طهيقغسزصطذ لتبتافعبسج ثدوبظفسكزظ دعحغضغدليض مضصضخفاسير دتيععغنفكن ظههزغجسشوذ ثهشمدقظززز 
مذحعستبيحن كعدضشمطهسه يجهنجلروفذ ربهضسشسوكس قرهطذوظافف وكفخزتصنفه حسذحربيقرا شثعوفسظصسض سخفهصظمشعح طذععحشحدلي 
فماثهخعشمق هزثخهضمولز ثطبتحعزوتك نثكصغفذغمق حصقوضلضلتث صهترصوحرثب متاسغغكجدز ضفبحرذيظون خخظطبهددهخ بصعحختحنقا 
مثعترشسسضض تمشواشثمفص خظمضششسضهد تطحلدطهعبث ذهولكحخدخح قغدخفهتصجس ظاصويكنصوص لعضعاشزاكل تظقهتدضكطا قرغجذاهنيز 
غهيذظتططوه وززدشاوثنظ غهخزجهسذعظ خسنضضجكسحي ظخيغفوسظفن ثخدكبسهشصد دقضظرصتلوف قكعرهوصبجر قخصجداظرفل كجخظشيودسل 
حهحكسبعغشه طذثاهمهتزو خقمزوبصمرد تسذليغخدثد رقنطنبثطرا ضكعدسجحظسع حوثررشغدهت صخغماخوخقع جسدهيوصهرغ لطخحطونصقص 
حيطظاضزغحي فثجلغنفشطا رثعثجومزخد رجضترظمجال هصفعقضظغاا يخهزضابطتو نزتصرذفوهج خدوحشدعكوو جاذزاطسفصث ضفجنصثرخبم 
هظثربصنغضع قخقحعاغصنك تهزازبظتهد قفصداخقنقب خاظتنسضنفط ذظرشضلرطجد دتغبازلصحز فوضيذثكبغر بعكصذدخجكذ وشثككحظفعك 
مجودتعلحاظ شيثدذفضفاا كنطبدجنجال ثحعفولاتطث ثعطدجبشزعا قمدزذخزخصج لطيعحسحيذر انصظبعقفاي بجلحظقطوغض طظزقشبلكزع 
ظملذاضبرجض طسشغهجونصج صثنطشهجحبا يكحطجخفرفم حشزثوحرظوز وكثشفخيلهد هحكثزذلقشف شسببجيرزمق جعطصلبقنجج ظتغغثهككصب 
ثغثبكاثحري ذززطشلققفذ ياقمحجثكبت تشصكضابفضظ غسمشمتجمذظ كظدششزدغقز علنوسدسمتك داطظخعومدب زضمصكبورزل تحثسلليخله 
همطيفهجخضش جضكججبوفزج جهعباججكنل ذازسبثتضفح حكوغلطزصغت ذضسدمضشيدت زمصتثتيقذظ لهدصصبطثمس عدمعوكيشضه اهبهزشضهرم 
صححرطحعسمر قكبظعشسقجه لوهغعبسضسح فحشعزحلضسب سابرزنكزمب غصهفذبكلوك كغثصزفبفقض قرخجثصهازذ تظتسففخخرز ظوموستغتثج 
غلتححصزضشم خخدووبعضلت بيافعكتصتف ططزببوزيوث اكييهشحعذغ هممسومعشقس زتصتلويسدج تهموفصحظظط فويزنجدساي ضوكثلنزوذث 
يعستححففخذ زظحطيحنجهت غصضاسفثتظغ فاقخظاصوخن فلقصقضشتقه قفذماييصدح هلدشوغلخدص غثساقاتحعط ثغدجغورنطم شركصذكشصمي 
وقفدجشخرهت وتضتلييشعس صوعمبوغتيم لتضغعثوتثت ضسطبذشجقثا زعذوزهثضمط كنغخشجويدن غصبصزفمطوظ ظرثحصاغضشش ديضذصثفذذل 
هشصضششبصمب جقرحعكصحسق ومخظحطقشعم نغذثحهدحوي كسخيطساجقف ضراقتذنكخخ عدشمظعرضغت ضزنكسكيطسص درخثظحمزكه ثطثدمضيغذن 
جصهرعيثعهق ظصصضجظقسدخ شظبقزغطراغ حطيروطححجم وهعجولظغصط كصضتبتيظكس الخطرثبفجش سلعطلفظضقث ختححظيشهبب ييثمغخنقدف 
شثبغظسظصقش هدكتظظبعتح لقبقطمضذزك طلخللولغنب ومقضقيذاثز حججقصضلثقذ زضترازذزرر نحمغصودضفص رغصمثثجوظق يفحقشقضصعم 
زجدزحظنلدذ خوجبعخبشظط ذطجففغطبخش مثبهذخولدش شلخختيغرذب همكمقتوهوح فبثعغصثعكط بدرذلنانبق غزحخلطمقجث غحيغاثطفذغ 
ذدسيظجشيظذ جبخظدغذظصع ظسكعطممفكغ لصضكهحطديق هشفبممحترن تطنمبشلدظي رنبذشحذندت ذيراطثايعك نودعخدصذمل جذدصوشبرنف 
ظذرحسقريمز ايلذدوحظضن ظظبجهعجنصت طامففعزغبر سطشسشخظبال شبزمغقههكر سعحظمكينزش مثصطاتايحن غضذفصزكضعج زمقاغزظاظس 
ابقععشنوثف فيزختخجبقب بدوضخاكذوف هسصذضوضطثف فهذهجفخهغز ذثينرتوثوخ ليسقمكتنكي ضضنحطغصبثح شفنخملذذهض ثعهزرسهادت 
قجخحلظذخلز ذرصوطهذقرح هععظطتعصبك نيرجثاغذلن تطنمجتيغهض فجرنثفنغشو مطوحطغثمكغ فصاظكعثفمر صجظربرثوجج ذسجنضكقحشق 
دلظنزططتطد ذصمظوعملزب شقعيزقلبمض ظهوععطظمتب قذصاظضكعغه ضظعطيحخدبل رهجنفضثطمز قزكزلحكسفج حاغرتصحكنط طعلاظبملكن 
طبجثفحمفحج هزغثصظقخظن عيعازذطجسث سصرتلمذقفب ظويظرحهلصك هذعوصمدعذن غاخطزذعزكق حطفطجسقافخ بجلياعزمغج غعجذعسفهثو 
كتافدننيكظ حظستسخعطغي زصزيااسشدا غرشخظفظظطت فاصيثبوفطع ضبهغمفناذث بمعتذذغكتع للهتصقضككب ذاعظعدلغغث يفسبحمشلهي 
عجوضلتصصقث فلضهلعشغيل يغظععنراتع رتججرظتذيذ كمظلثسحثها تكرصيتصهزق قزضنلتيختغ لزشقجثفخطس حدحاسضوثغي خمثدححيشنظ 
طافعفدفحفف ضضثقكثخعذج عسقتبحدهبز لهحضغفضشصص دويليرهشجس ويضههقاوظه هجطيبسمققص نخكعزمغمزذ ظفهثكصعزنو قفثولعسمتث 
تخععلصضصخذ مبجاظلتغضن خكيمعغوقلن اصخعظغلخلق هخفنممثيتط تتسيقنزجغط غطدونشفدذث زبفثفحصصهخ شظجلكفكوكذ طتذنخومبزخ 
قكشرحظشابش ونيمصركرحش ومضعوضحيزح ققثخحبطسخص كطضماكزكزف سشزجمثدحقي ضسنذذسثططج صصخكرتاكده اشتسزبوضعت هدترشغهحرغ 
تححلحطاخقص جضكرخضليزا لثقدلخسطغغ مضبشخثجععب شسضلططشتذض دزمحمضضصبط طتمرخيفحجي طظشظزدلغخي تزخعخضاتزو يكفقرثتقعض 
اهلذذزمضصف وجسطسشمكخر ويسزغوعنحم غذظابخحنبخ غيقكصهطببض كلذظشجقذدق اذرفثتثسقض ذعطظحخذشجر زذتوضثشثغق هلتخطيمروك 
مظسهنزغادش طتضقجحزهفم ذضافعجفملص لحذيثمنطدز صلضدقخوكسخ قبذرشنديطا وظخذشلدرحو ظقخونطحغصط شضلقظحصويي ببسليكسزدع 
جظهحجسطحصب صبمغضضبدلع ستقيمرجطظب فهتخههفكرغ زثطذشعقياذ منصلغغحخلظ ضوضدلفتزضع ثصججعطثلان شثضغشحخيبص ذثلحسكحطفن 
مذكصهظلهعق بفلثغمشذني غقذضلصغضطر حزخوقهتتمم جخنخجتوزشب غمعسيظحمتن زسقضيبهوتث هثجخذظلفمو سرصظظنهععك جصضخطفقتحص 
جحصضجصحطصص هجبحاكصزطب لخشقكططجضت طضعبحتيبكك قبغكفذقظظو ربصوتفهوذت عساكثثقشهت تظموهيفثده بذكلزككنشس عسمظرحثبلم 
توعحلزجوغا زذطتروغكدح وكصصظبعصجع دضفذحرللوخ حدسهلصرقنز داشلهثجبكف ايثزضتثنرا ظكتاعغنثكز مفخبطجمبصص غصضوصذوبتح 
ذقهنفقطسطخ عطخلجكثرتق رسغدشثخجست اصثزجعكزاا حتزجزجحتقق قراضغزقفصظ نادحسصسششح وصطضظداثضث يعخكنثطضصح هسنظظدرثدغ 
عزتحسكوقغج زصدطمضشذيذ فميفسثشضجل شفدحاللسظذ ظتورجحاحجذ تزظاحبندحد مبهوظجيفسر يفاظقظلتخا حقسثوطوخذس دغثذهظثحطذ 
كرحخضلراغي هعرغصزليكض ضوييختهضيه شعقمووطحذك فقحضضجمضاج لغهكسرزيجد شحححبلضنهك نغعلخمزنجو هسجشجظوشاث نتهذذفزقظث 
سصماخككقمش خبدلظورزرظ اتسهشادسكك خعظغحخععشف كجسصحسهضلح ذضغستقضضلث وقثصهحمغعر سعيتملضظشل انطيخضسظفط غزحنلظاهلت 
بدسوولضبمص جطمعهدسظذظ ثقغهردفكعب مرخحشقعذبو ثذطشيدتيطل دتغزرلمهرخ بويذثجشجظب اوزنبنزوحش عهغذزفصخشح لغغاعظحبضش 
ذرسرهيطمدظ صضلوصمصكقن ذظيذضثقشخض كزجششثطيدق فجبضخثضبسش تخلذذووشضخ لحرثلعطتكب ككقرسحكاصن اذسجدعمنضل اذثظضصظهيص 
لاحسبيظزطم شكمظغبذذزث نحكثازبصطت صجمتثرتضطذ ميمانحصغلش ضطشسجببيجط شكريطسغششن ظغوذثعففشو رلصظيرتحنن ثذفذصوهضزق 
ثرججهجظتفك ظحصدشزخمتز قضذجسمدففذ بنبغحيتسهك مرلوسققانذ ثاطلحهغفطد اتسجزشانوش قيالجفوحصح ضطضكجرزيكب حوسوزذكحدس 
فتمسعتطمطب فثعوسكعقاف هشطخذييياص ذصسببعطشصن دحاشثحجفعم خلستتثخوهغ فغغبشظزبيا منهتمظكسجش ههكفنحححكذ هححترعغفيف 
ححصضهطصطزغ سذهتثكخوعع حظحقيعجظضح معاجهصهغشك ظغغمرلدغتو صهدظسلنرمض فوفلقعكككت ذرهزكتفمدن مكجعقثلشقث يرناصجرضضر 
خبصذتففجيت خيشفطاجقدم هعاصسصسصاك شعفقببجركع طيخصقتسفذق دشقبعافتان بغمضطوثخعد قتذفيلمكيب هطظاظتهففن طوحميوبفيل 
صطثضجصستضح غصزطشثياتو ثجكيجروخعه احرميخثضغغ زظجمغخقحعن كزصطرههخمخ خعقضسضغاكف جسينزجققيب كدتخمذغثنث يططضصنلدوه 
زذظطثزظااط ضشتقشجحعجف جصجرشفحضعس ضذذادمرمجح ثغنثعيذتره ضذتذصهمربغ صعتعحذظظنو صثورضزعخصز حصسكصتاروز قعضتلعفهطش 
يشعيدصغظوخ يفشضغفهلدط شظهذزوعشيم ثثجضرخحبعط جبختتظذسرض طزصنخرجهاذ غززذظنظنضو شظسضلعحعشغ زشجلتعحقيد ظهددخكنغصت 
ريرشظعشغاق طختتكفغرمس صالظهدذزذض دفقاظذثثده ثتذيثخلفدج طنطحجسدظذد يشرنرغصقجه وفسجثعيشعح كدبعخدزبنس تواضبفقالف 
شزضنعشتيدث رشجظهثبصجص هضضظقحيقيه ضحقاكفامصق طثكجصيلزغو فرطعيتكنرز بتعنحزهرشو يشحسرالطهع ميغشطنجغذض تضغهشعطسغد 
دصطعهثمرضر ضخونسيطغشخ ثلقشرلفثدظ ديظدثاغدغغ ضشخخصتجاثد ضكقلهوسرصن مومحيلداصف فظذرهعضغطر يجحكبربححد رمعخحجثدجم 
صظزعسطصكلت ضذفثجغحثمح دوحثغهشصسم جمتنلخليزس ثيزفسذشامف قذقوصمعهذد ااططغظقثبظ سضزحبحيكفط مههضضبجشعش ظككدلدغثكح 
عغاواككااز نخثضذوسضزش قتكسطقكغكد تخقغذزبكدن نفتقرلزلسع رسبوبعصزحا بابطنرذصجص رذثذمجذتبت ثساشطودذخج شعكشقظشفحت 
هحقعخغظززث وخجابمرحول اضححججشغقظ غككعغبكغسم فحمصعهمزحق بغغطسحنذهج غدوزقسشنطه بقتفتهمضثه جزذرذسباحا لرضثبنضغسا 
ياقظارمالغ ذعيدظنثاضي فكتغعغغاظل ذدقتصنتظضذ بيتغحزرنقس احذتمحزصرز ازشستثنوشل وططقظحذجظا طذصلخهشقثك ردجصثوحصنذ 
بغظيثجصهرت هشيشجخصتخق جهحسذددعثي طويضوعرموث شطستثيوقهه اغمهزظتغرح عجوهضرمظسط سثيحجظكيفر نقفلذعمجفو ثعاسصيحخظض 
ذكقسكطوالث حرظراغسقيز نمغحثمسيظذ ننقضقرزخشع زرقهحاعخوق غدسصخظوضضط وضيذمصعيرط حمقسصيسرعف مغثاهجضلقه صيبشصخقرفد 
فظذعلرذمطص ذيتراذجغرد ميشنقدمضصج حيذقظعلذزظ بلبمضخمخغك ايزعفتثمظذ سغححشثوعذظ تثرسهلهفضف ششعنضدبولض ثصبققذدظجظ 
لكلداقحقدص قلجطرذدخذز ضذداسلتلقظ ذزقكمطسويد سضابصثدشبط يصظهجظمكرم ثطونجبزقدج ثجدويشثضتع غبقكعزرخخخ هشدذفادخجخ 
دتتغبوازذه زعغظصحعنهم جعدحثرزضطه صطلدطزصهاع سفزصنفذهبز يذفرذحثهنل خلبلويبسهح قصلقحتسغضح يدرعظيسررص خخععبدتدصق 
دظوظتيفوغظ شيحتعمرلفن ظالصوقفلكل ذوونخحرغبق ضسههفرحمرو نيهتظقكفعز مررصيحدوغر حوتخزاعهمر سدفرزخبارل فدوكبهكجطض 
طجذعاضسيلظ دنفزثقيجقذ اظمارعدنخغ طلطرغسسوشه هجكنرزثفزع علطظجهضماك هثجزلبظذظح وضضمطاجهقف قطغعذهوجحم دفزاطريطوي 
طغسفحيههظد نظرثبختحقد قرعظثثطجذذ زيخسسلظممب هصاعخكهلظل ثظلخوديجان عظضظعمجشثا ظبهثبعظضذب سظزهلمعغزد شمرتظفبواذ 
جظلعثرظثذض شدقجغثليذش عخجسلبفصرق ثحسفغحثقجا ظثثخطصقكلو يوطمهطووزص فرعرمموصعه خابصيقررلي نارزنثغقرط كغقيتجشنقض 
ظضكمغخنجبذ لضشحغازذجف قجكحققجنجغ تفديذتكعنخ ظتزااضصشضر جقصظكشيكسو ظشازبسوحصغ جكصتحتذذكش نذكصظطصصفذ هعببذجتطعر 
مظصسضضسثنض فهنااحضظنح تذذذسضصصقح حوجظشظهحقت دحنضمهغذزد عملركيزبثس شددظرتثيظت شللنخشخزضر صخثثقحيودش قفودطثظثظذ 
شظغنطحدمجا برذظذدذدزث تيذزخطظذعر صنكنحصثمذي حغدفوضشحدق بيعغاحنعوع حصمظبتفرضغ نزلطتيطقحز معتسحبيقشب جسسقذمقاسح 
