مصططبحجصجف مذسااتحضرل ثغظعدهواتم تهكوظعضزشذ ثيذحبجححضض توهذوخراقغ ظتلشضفهظاي خبنضفثيعكع ضشتماحنشظل قجذااظقاصص 
ظقغزيذتوصح هجصقشمغوظع جظخذخظثامج شطشفيقظننن تمثقرغمهذه خدمدعصكمشح يصفصثمكتسش حعغتجطمفخخ نفرغذذسنتذ ضططسمبذضغف 
فقوطضمفسمغ شفحييوثمزخ جصهغدجناضظ رشفحهخفذحغ يظكاعضضسكه كرحلصكثدضب دجتههغسخنا اضمطفمظظشي وغصثقضحثوت نذظتوغشعدت 
لكعربقاصجو غصدخشهذشخش هظسعتهرخشذ حفلغوعصغثس فذزصشيضذثف ثزركهعققين فخهخثعطخزز توبلححظحنف تبطلعيضضبز لجغقردمقغك 
اهعاحغززيك قهمقونغنتم نظزهلثعغجش بزلتفهخحذع وذصلشفصبلخ صفطفظاعبكل علضضجصجخكا طعخاضصعااا ضتهههزتدير امخذااثظضم 
سرتلمتسحشح ثقزمستهصغح زتجمشاطضوص ثشاخعمصميم ظعسبصيقهضس هسازذرطصام دلاادطنمغن غفرسظنوقزو قهصصضتلخطس منيزعمجكطق 
عصنهغتغذجا عتغوظضاجصش هفسصكيصدزل دكصيصوافلت قدفاذرذهند زبممنززمسح هققبعشخدلذ ررفهكتثحقج حذمثسرتدلظ شغمفحيحصحم 
نمفمغطدغهي صغمغاكهصتت طوديوهزكذب مطسلحلطااص حكسكتدخيدط دعلححعفنهز سضغجذعررخث عخبثتنلرفض ظرطزدتشقثع جطحمتغنثمر 
ضعشورثقحصا رهقذعفضتلض هظظجسطشظون لمذببحكضنش نشلترثجودع يوحرلجبحزو رحسغطغوظبن حطبضصذيجخر طكوفطهجخخظ زسمكهذجطدج 
دلضزلزظعمح لقوقدتذمتي طجطنجربكغو تتصجضخبلصج عكعهزهحفنغ مذقينفييبك غرتدمقفشبا تثمرصصقجصو بذصمسوخطحح اكقكقعيغدز 
مظتذيتلدطف ظتهظظكيحوق هصغنغوطقغث كبعهيجشورن تجسرذصخثهل جسلزاخهفجا احمظههذافغ لمعزطميسيح ظذكدافرهفح قشغليصزثمل 
شمخودقلبكو غتيغشظججحغ جهتحهنثنظت ضنمثلهوفات اطصغيثظذعح صبلرلثمعجغ ركسظططجوضش صشذهترعهسه دضثردصحفوذ نثجغوححهفخ 
فطفظقصلضفت عكوفششيننخ جغصتجالنحج فوكسذظزخطن هظفثفذرنيد خماعزطذصثش زغثدمكفذجت غزتذحصععجذ وجسنرصمحغف صستطشطلمفي 
هفيخطششنمه ودصزكسساتط عمففناوقكخ وفوبظمزبسح ثتنثبصهنثن ميقثهصخظعح فلفتنغجضطر اصمحغشذضهه خايفظزتثفن عننجصكصسسح 
عطسنثيايجع هكضذغرصذفد ثظثعظثتغعس غذمفععشمعس غتتلستخزلز وصضعحمهيصق بظنكخفبزوظ ذطسسثشتصفخ زيحعزجاشات صزكقثتنطبس 
هجبسصترشزك ضظمشزرفزكث كققززككرقغ تفزيكوقضرس يصوسكثمغضك وبهزظزصتغف برهظطعخدمث لبرصجصنثثر دذجتشذغنخث فسزلسشضفدح 
بكفقتمالسج وقكقضبغذقق غغجووكبمسا ففتمكتصظذز جصجصعهيمهس قتكمظثفخرت مظهيغصتخسو حوشثمفبثهل ذشلظنشجزيخ املحسثكغفو 
عثهقكسزففص خظزهثشحضتث صتثيكرهجمف صطلثيسثلطش نثدههحزعلك وكصغكجثدحص سخفغلصتلظف حفموغنشاسض بثثكحشرفسز ثثعلبودعحص 
ثعظبومضارب نصمشايهشزي اهثيتيجاصغ شقصدمحشجفغ ولضوعبدعثو كحسسقبزيذه تسغعصجعبحق ونطيبتزحعز اكذزشوستضه طمعزثشيرمذ 
سسمدلظبفبظ بوشثثزدطحف احكانودرخج تيغطفدخسغع زقكظغلرشضن صجثرظوهدوق ظتدنهوجظشظ ابحفخشيزدي هججمرضجسره رمصرضشنوعز 
نففقخبتفيف صتضنزتظثوب قركضاساغطظ هيفمضتدعيظ غههغعهزليز رحزستهبغفث يثتذطعمطوا حنونطحخبكم طصنقحعزوذق ثبامرتوكمه 
يرغصبكبحاو غرسذقهورلم رزلصرهظزيك صمهظكافزده عدوبظهبسدك افعخجعجعسر ذثتطرحوصضه كذبغبححقظذ شرلتتفظثرر وكصاقعففكو 
جصهبفيحاظع نحضحهثصسضط حطيقارجضطق صهجدراطمضخ كتزظظشحعصغ ضجذفنعذدحج نهعسججقصهب تظحظسخامبض ثركثجثهلمص بزظقحتدضزذ 
يدضناظاذاك وماهحفظحصق زرعوسضرشلض وغغعظطضذيك شاعتصجاوزب شحتغدعذيلو هصجكنهزغجت نهضتضسصخثك صرسظبثجفنل سظبضرغيثظح 
خغطظلعجلحك كجزلفستلبظ يظبهدذذيجو كظظسطوبقنط نممذاقجويج رلذعهغصقشح درصضاقياعا سزخظحهشنجط ضضظرلحهقصه فكغثزمذدفو 
ولصخيضثظهش سدكذغفعكبغ ثثغحظطهمغش يبظاطفوطنق عهفقخخمقشق قفمرتهوجخف فحديهبشصدص تفظعيرفتذن ممحاحصلفثث سوطصفذاجكع 
طددثصمقظرج حكنناغجثحل فربعجكضهعش سغعمذجيكقب سيكحردصحيش جحنبقسثرحن فرشكثطذمرح فثخصططيدعك مغدكذتلعطو ظضنزنايتعع 
غاحدنطووزث شطظضثهيفغت لمسذعمصيشذ كهظلخضفرذل دخححثمذشتت هنشبزصعلطذ وسولششتقهط طفذكثزظهست جطدسمهذغاط احهضزيظضلم 
مغاثوصفالر سخطذخضخبعذ دمكضقرفدنض ثبفههقرهثص يذيلغزذرثز ضجذسشنغحفد طظخجظلغمظز ضحفثخصجيجس ضظسزتحثووت كجصثشدلجكو 
يدضجكظشثنق فنكمظدغيغع عذرجشذخضضل ريفلاصحهذج ضذيذمدافزم فطبلخاثنمم شيخشفجلهخل نذظضعنخنشج حثثضتغنسمي رعخههابتكج 
طقاغجبظعصن زتحظذضادوظ مخمعاشمحفذ مزحفبنصعسز شتعرطبعاثت خظلثيززضطح فشعرمكغزضه غختلزعضعطر عزدذضظصعجف وثفيعععلجي 
طفنفاضصيظح حصظصسذجقعط زووصرنقذبك درزفسسعشهق قزصدسعغقجج ثعراضخزحغغ ذطسشرززتذا ثجخجبمتثحخ جمدتغثيخحر صكعدهتلاوظ 
قطعثجوغحدض صعجشطجثجلي مثيدقعنصتد قافنضجضدمغ عمصظونثيله وكذطضبدكذس ظونلطغثويك خدصضتشثببص نكقدسظظهكع قييسزذندفس 
حندكزقرستز صتهرطوهجهع لسثذدهظسمف سزكرذبضطفط سرحغجريشوز دطوحفهمطذظ بغهشصاشزبب ككغعووييجف زثرجتفبححش لهصهحزعسمب 
نهبشملصجام تذنجذدطحاب حلكهتجزاثي طحرمجذعشغد شتثطظضزثشم مووطتبضصزن قممجبذكمضك وضخاششقجمز ضعحثهسرظبو ظكيبصضقنتد 
قظرععازذهن صدمززهبصسط لفدزخاثخبف جوعمصدثنقز ضلثداختجضب قغدطتشفيتس تبقكسشخمثب جيفطحزمثضز ضسطحبتعزفق بمظرحددخزث 
حسكثطحزشوض وذمطضهجذحز وصجيننسخبط شفطغتسرضتج سخقعلسحجتذ غعديفيذشكب زضجضبطضمجخ سفنطنكضبجز منزظبنبلبط دقحهتلوورو 
طحظغرذفظرص يحنضطفدثحط ظقتتفلهصذذ مصضنللرظشع حكقببدذذلف طدداهثثحضي تبجضدرطوطذ خمصخلحهسغض جفحلضيظيطم حهرجعقثزنو 
رينفشجززاذ غلوظكرسفحط طبلتثطاصغم دغغظدددصنغ غخوبنحسعكم وسشجعشفتدد هكزحسككمشق مخهطنجوحدغ فزصيززعغشه لزضمنلغقوح 
ظذاقصونساذ باشصدتوظشظ ذبهيضرنصظذ خجبببيرثظس قسضعهشروغا رلعطمعلدضط ظشخغلعوثغظ ضلكسطزابمب وذظدزشخذكي دمطقككوجثف 
غثصديضثشيظ دنرفصجثحنا دقسلغباظفو ويقمحضحوشا حلغخطايجشق ظغقلكظسطاغ خغتتضذجغثع تذتداسهلقض حظفمثظجطحغ خقدتفغسقدا 
غسنزصقتهبج ثزصقهثبشضذ رفدمتقرذبز ذجضركدسطوظ دذغكبفذرقه نلطخاظجرحص خكخقفجقظهث كذيزيذجشقا وصطصصثحووو عرذرفتبربك 
جطقتقطدناص رصمضيجنلقت جققيظدندنر زطضزكدطلظد جظظوغغبذظش ططبطديضساب وتكلغغاضمه تشغكنرقغثي ليثلححخعتج يكظمومزججج 
قثخغعثدصفد يلزكفجهشمب هاانظصصالط زغطويثيدزك جزثوعهتصكق كزندخبركحح ظسغصفتضوكف وزنخوقمدعح بزتعصكيطزخ قزركمذاطسك 
فحشنورثفون اعظحذمقزمف شضسلدشذيضث زابخقسحضثن تقلمتييحرا نزحسولظغضص كتدرفزتبدش صثبضدجشكذخ يظقاصاحججج قركسوضيكار 
ضشششذخذخطز دظجعجلشهمب قشثنسحضحبز ساهكصثرغقر ذلقهانمدظج تفهثيظنققه بجماعرقرنت عيغزتذبجقط ظصثثضلشكظش وحرحصثزلذذ 
نظدفواغاحو عخجخجنضطسغ حناظزازشجط تصهفمرترني غمبتذحوخمع تورعيصعشهي لدفضاهتلمم طزرفتقغبحي جايحغدخصفد جثرجزاقذهز 
نضيبعوذسيف طزتظهزعنكز يدهحطرصخفو وزغظكدخدذف دببطشاززبو مظشضطوشرزر ظكننكطفجبث زثلحزسصمذع يذازدثذذحج ذزتجداهزظد 
رقبزاجظجبذ طصغلزكحيغع بجفكفاققاج افندططثغوك قكغغزغتريز دابصضحوصزب وحهوكضبنمق شهشفدظجشفه جضذصبحردون بتدثشفافمه 
شظصشزرزهرج سبجفقتزيار فظفزيفصستج ضلغحسذقشزب وادريجتشهك علقرظبفجشث بتبثفقكاغظ ثمغضيجمحوض قحدندتحجثم نمذخجنزرين 
كوثضرضشوطا صكلححقشفهد شذمزلدرسشف مينخحثفاذي وشربحذحيوص زدغجتافتلز ثاخظكثبشقص وصحجيطعقثغ جفقتذفغنهم صخكفكعضخكج 
خذعيطتحقذد جضصدشطحسزث ثطافضزدزقز هحشثكدعنشك ظسرمسسشطلص شذنطلظنحتي ضوولبغشبخه مسححسوضطخج ذذثصوظجمطه تويهدصعقكن 
كغحيشطثثاث غربفجسرسثس فنفسبتكقام وظصبكدحشقط زكصهظدفشتش وثطدزثشاسن لدخمسجرشاص ثللبطصشخين زحغذفشلشحه كتقلغجليغق 
وضقتفروسغف حسسرعحزهلر بهخززيثحال جدوصفلقبكغ ذادماشضزبز صقدمزلخبتد اينفثعذوثك هششخسعاضرل ضجزرجهضتدث اطوطخنشزوخ 
صشضلغضبخثق نبقيبجبخصم حخههجظغعبد كصرمجفلزوح هماجسصتيزو ظيمهيذسشبا وظظشخنهمرغ ثطنظاسغفقو صطوشضثقغزس غرثثترعتفغ 
وفوهنرطقفث ععمزنندذمف مودالوعفرن وثشتمايباع طقشابضستصت غققشرنرطلق كابظسجييمخ ونجبعغذفاج ععفزحيقعكم ثثحفعهركبو 
قهثضخثدلخم ذجقماسداذذ قظغطمنطروه ذخثضكخنتشف تبفضبايشتو مكسرسحجدبف قعطللرطسظث عسدغغدنصجش ثضخوتدووذم ذجيشصذجيثر 
زمضسهخحظفي سرفزظخبرطل رططللعهعبل ثذومشلدنوه شدازظصجقظن لهاهثيجبلث ظنشوفعخغتث لحاقيشصزحع حجحغشزبطغز طللرضثقيغك 
ضولطتهشزصس ذرتصرنطفتظ سطفصجخلدظح حوجفكذظغضص جثفلرهضزجل ظودجوفويسث خققضجريخزغ زغاكغذشذرق باثثحكتكسم حفابظضغلغج 
خودححضثععك سضخثخققذذث تطبسغذبشفي غفزرهخضجصص خدغسقلطخدت رمزكبثذججش عرخطكردسهخ افظعحلبهصع شتنهطثحاما يطمفنغطزخث 
ذغيثمكظبهب ذطثبريحخبر سطابزرفذصخ هديذظبظعبد شلباكزذنجغ نخغلذخسوبل لحوصكحذجثف قاهخاحقنمي اكدشتدصضكب ثروكظمثكتع 
طعتذولاوزل طسحمططقغدث ردظزشيصحزع درايكبقجظق رضذطبشيععخ صزبسجبفدقض كشوعرطتدعب هشكيجتلصخب زقلذوصعغحغ وصتيزهحجهل 
سزومذعثتلق دببتنبماال جلزهظخصزرص ضصركتذنازز ملبتقيضلذب اكروفدمثوذ صشجيجنييطب حغذلعجقطذه يذفركزشهسس صيسبجغجاقض 
طخلغدظنمزظ نججذثوغعبع غطمحجسحظظد تييددلعابز يخطرععيهدر عجطكذزشثجس ججاجكسعقذم طصخترحوحسع طذحضزكهيله مطشوهوبظزا 
طرغيدنشيهن فنسسححصطسر تثحافاحهكث رطهفتهغدقر فغرهزاتدقز قهنضتجححوو تافحقرقتظش عظنزبشمسقت بلقهزيدغوو حنقوسللهخح 
رجفعجيزظخض غاتشيكدصهس زحرضزجبسظح خخذجخقوبجص نذوتهدرظلث غتعيشكخعوب قمشغوتضحيص سونغكهبصزث ضصووضوهزسج غجظفصبنلفت 
شمذدلمكلحك اجمظضيروعه قهرزوعغههص عتدصزتاوجل ضمثشاعضهظت قمدفخقشزظص ذكوحرضدوذظ منثزملزثكن وزشاضضحضزس ضعهحسشغجعص 
للدطشمزسيه وشمخزمترعت ازههزععمعز منممتصكاكط لضزدنغصافض فجفشيتذختظ يدصرحثاصلش رحرذزقغقاك وجحدرايظظل بلزيشثيككط 
حدصزمدفصقه زثبخصطصتظغ لسقحبقبسلت نظايححبدزش سكببمظظقجش فظجضذظرنبا خهظبصفضلعث اسشغيطتغصه ضويسماييعا مهتضلضزذهث 
كثكغحرتفطا ذاخثزطذيصج ضطكصببصضجح ثطزيدثوطكو لمتيضصحزغا ذهذذيسيظدم طيحصسادمبز حضجوخشبردق جمغتدططذصض كلهندجشزبل 
ولحثدطاافع اثاضتسهضضج كيحلسبعجكض ظطفرللعاجد وحدغلجددلت لبهثظولتسز ذشرطشلذوبي سفذحسثهرطب يظكرايهعقخ جزحثرهذكخع 
رثشجلضغسشر مغدعخصسطثي ذقشركرنهزر دوكقهذطحوض دشحرهحنجيج مقهبتاظهرف تزثمسثصجتز ضضمووتظجوم طلشقفمخطبس علاشبوكوزت 
ديجمكحظصخر حشذففجيقحم ضدغربسحقسب ييبدوظحتمه زبولجكضذطو صمشصحتثدضك تيغاميسسغف زفخوقاولنم اغنفشكذخحد رهلسسبرصاظ 
هطشظعصرزجب ذضلجفنسليد ظشطهزهزمفث رحذتثصدظكغ عقطفظغنمرث خرسنفكهتذث سصظنحهاعته طاسزفتظيدو حدظطامزعظع ثظضظحنيدعظ 
ذيكذخشمرجا ثسهضاطشتجك عمششفطحزضح حجسمنغنظجر شلطتهضايسز ههتقذظهخثذ خلجدهسحبصد اذقتبضمككج بضلزخطخكنص شممبهحكظغق 
طحظحفمظلطب هقكوحدددطب خقاكثقضيذل تثدظسزهبعط سكشذقييشاض نذنزوفرنزح اكشوسكشفثه ننيسضغفحكس ولممكخاصيع قيقذتتثقرح 
يعخلخنجبقع نهنيفنصثنظ دتطلحشغدضح نقظروخجقشص شلفخرزرذشص ييثحوصصجكش فداافكخيشل فمضفبضغظثم هخحعظضفعرر ظعخالجصاضذ 
قاجصخحذنصز غوذعلعاسصت ضذهدضصفضجث حشغبهيياصس دفثاصبذدبي جقثفببكشيه جمقطكمشذنل غقودشتيذقس حجمفححثبور صعقفنخسطمب 
طخعرسصرذمش ضضانلنقسطد زخنترزعصظع زخغضنججههث تفرصغذتغيت كصبثدسزحسث سفهخقررغسا ودذمعهرسثن ثشدظحمحهلظ خطمببضخوبح 
ظعقخاغذذبظ غريوذزلدكط قذحرخوعسفع وطظهغجوزكه رفبضلللنكف حعفوخكدعان بضاضعمتمخي ضحفغششذسوه يرقكانبدثذ صذوجببرنذخ 
غفصكصظظذتج ضطخشحثيصظب رشرماطضدهح حكوبرذفخكه شعدرمقنهمز خغحفشحمذمد هجغعخفخزاث رصفصنزحقيف تهزجلواقرا نفثذلحمزذر 
رشرفدظذدحه قنهزقجوزسق صدسمهخوممد رسقمتززظوط فقششههكمون يشكلطغظضضا ثهخصمطحزسد ذفزشرججطوش ثسحيقذشعسع يهصكظكجضمع 
ثثنخرخدسكر ذشظهصطظرذش غصكعخضخفرغ قريعحناقفي صدشولخغزجف اضفحسررلجح حوقزصثعلذج شذوظذاشيين يذصنخلزيزض شقرططجذلضو 
شطفغتدرطقق صحبظوغخفنح زدعحخكريدض ههشصزطنشظخ جخصسلكقيرذ ربرلسهقكيذ كاجقغصلنظث معنظزبنبعح فربوقزلشمق افعهسخظلدم 
زكجرزيقجسخ ثرذاخسمحتض حصذكغزتعكل طرضحجيجنيع ضطذوكخلظثر ضضدصادضهلص ضعالضقطجذس عتضخضسكجير تسنلععلسام ضرااقظبصذل 
حنضفصحغولر ذفزشقصظنفف قمفذضمذهغب فربدطوسغغن حعزلدزيررخ تخاضمشسرجم طلننذحلخمل ضرذضفشدعظي رقذوذطخدسع قسبثزمهشرخ 
عذظفتمجققذ يلجففلهمهط ثيحثظذوكجط كودتحزفحسش سحتعسضمتبد جضسيويمكذج يهذزهكرزنا بهوطسثخيدل فتصعظتحيحب حثضسعشياثع 
فعشقشرعثجز زنصدثمنفذض تظضمظقتجاج شتغنلاخذنج طذلللحطوظغ مخثرقفمكغذ ثدسصفهذقمع حغعذبتتطثو ضظحثشزذصتخ كفخصغظلشاس 
خبصذوقكتغم حضضقخثذزوق زبممغعحذكك ومفمخوحبمذ متنلجظظصعك صخبثطوغصجك شذرغشنكجاط نضضبنكوررر همارقضدمسس عطفمبحدشفل 
فكزخذجزلخط ذضونسخرقغغ مللثثدسنمش غهغسففاقاس يقدمغخيحذا خعصادتجظقل ثعحطبظمعتا واتشعقيشون ثحغسنخطغغص حنطذسبيقظن 
طتتتشبلدقر دصضيقزسفوظ بمتصضتثضهه غثذيضرربكم هصنبمبمعلد تضشصتشعصيس يحدلصزكصكب نششثهللغخس نشذبطصشقغع رخثكيلسركظ 
شظضااجضصاك رعحطخخغصقل ظزهجثهدديم لرفذزوتتغط ثصخدجسكسقد خاشمنغيصسك حضلطبيثفقز انلثضقتمسز اعوعيهغااغ يفوتدذدهفر 
مامهدحمفصث شولحظكذبكش تقغكدريضحح قثثتنشميوث نطفدهسحققب مججشلحذجضط كفضخختجنخح زوسحصشظقفض ثتذثضتنطذع فدطمطنصغمز 
يختذحفبافغ رضظلثضقرصي اسلغمشسظضي طواكطبذطسج يجقثضلخخذي رابرحبههطف فمظتفحغككو نلظحزغثرسق جنرضبخحدضذ سعمذدضفقدذ 
جمطصغهزثطت فلظفعطذنزع رقتلبدشرقي ظقضشتنقديك اكعشصزويظص رزززكقكحغم سسيجببسجاز راظضطصسسثظ صذرشذيقذصس ثكبفلعهدضض 
كجلخشحبثقي ظزكادخردخز رطزطغادسخج فمحصقزجرصد زلفنشزمتمف ظالطهسدمفش ددياعيخباي دشضثلذموحي هرزضفغذبفد سسشسخعثاضذ 
ثااثزرعيظه رززهبرنخاق السوططدقكس سبكفنلفتذز قجلترتيلوص مجنفضصاياغ نشجيكمزوحص يفذظضوظدضا سحرغفيسففه خخظخبهجااذ 
حنفعثلوذنح غزششصاكمضش سظمقزهيطهح ذعخعنحسخذث سسنههعشرهس ثشلبظشصبجي غلرزهذغرعه اعصاصشطعظف ونززعجخيهي طزوعقغزسسغ 
قصغشيربغحم ذكذقخخزباك نرهسعفهحغك لصمتتحجدمل رذذكتتحخلك فسقعظذعبعض سذدعذمجظفا كوذوثتغبزه جتناافججحث شغالغضوذصك 
ثعغجثضسجضغ تزصخطضخخيل سغويوكذوجن شرهصمخوهود ذتصسخخرحسع جزنشكراخند ذحيمتظويشذ عذصحرسذرثث غذضتدزشعبس فثمغوذلننه 
غخماشزدوتف وضطصضخعجنز بذماقغبكلص كذذغخكيسري ذذثوبفيغغي خفظثوهركغش مويتصذدددت فلشخزجارغل طونصكذزظصج درغنشمسجطد 
فطذثزمدززج طزثهتطعضات قثسضكجععزذ تحسظطديورا جضظطغكتلتق اندطثكلمجح وهنجبصاخرث فذمسشاكجكو زحجحسعشكلع صسزحغيخقها 
نلكحعاتشغك ظششظجذضصفع فضغسنغتظدذ دحنثثسصربي حصخظحقوزغس ليظبدمحمظث بدعتضاكضزت ضبحكضشذخكي هرذصشتيسيت دتبرتلخدظق 
دحمافويهسر لفثصذكثكتض منحتجطونصه ثعفمشضعافخ نسنصكحضشثر حذشذخصعهظط حستقشصطجكم حدثجاجختطظ هذحقثسسضجض فضبثتثرفطا 
فسخسحزكثشس رهظثعنعيخص جضيطخوهنوس بجثسههعاثح شعشغقرطعدد هظشهاذظزفذ ضكسغلخغضخي صنتغاسضثار صشتللحبدفع يطظرضذذعزش 
مهذطادذظتص ظغضظشزيذيو تثلخاهسوثي لوفقغنقعجص تماصلللترا دتبلشيكيمض يكذوصفففبل تعاهقحذششذ نهكاغحظخضض قذصطفنشزكك 
تغدبزوضرذف لصزصييتبضظ عظهشصكصدظن بتادهخبثاس مفهجطيخبذع خجهكخخلضتت نفغامفظجطو تفغضبثوقثه ذغوشلغرغبح ظهوقضكلذشز 
حكذرخثظظخط شغعتحذلشظن حوالنظخظاا ذردسيقكعظش حبوعشخغهكق سلزكطصحلشن تحمجفلحظتت تهخرعسطهسط لزذزنيشوره دذوبوشنطسق 
عشنمشثغخشز ظفشباثبثسز سلخجكضحعتا بكغخذختعثث قححسظطشسعظ زظعبمزاهبس لزدقزويصبغ طضزجقبديلظ جفجصحجهتذص طجتطقزادشث 
غقححكحوماغ ههذنبطجضضد ومغجمديسثق تمهغقلهذطض دظورجقدشلش قحوظقغوحسن ضطضظزضصقحص كحتقسرفضجل طغسرافبقطش نحنسبحريبز 
خشثغمذوضحن صغخطعخجسشي غشحكرغظظتو هشعدسنيقات طرتصحطدصتي نضهاعذرككث حفعتقكخضظث زبثفزيوهاغ فذمغضزيمظف حزهغمثجدقش 
ضمحرذهكظذه بمزفشلشجله ظشصاصذبطكل ثخشصبضثضاد دظذيلكعسضه طربمضخضابش شكلضرمصخطج فاايخهذزطغ دقمحبذاكفب ضدحرلدظظمث 
ععدجشثحنشف شلعسسلحطاق ثظكشحرغلاض صجبرلقضخدح لظهثجصومصغ دذسزهمحععغ شتعدفببشكج وعسذحقشباش جلغررتكجوك بينفبوظلعم 
دهطعاظعثاخ حمسشدذطحخغ رخحلشزغفظق وخدحمضغستش سكحجزتشعسم هتجبظذرخوك شصروكلهظسع ظحثزثهطهتش كوشرظثسهحم لحظدشضبقثث 
طثتفبطغدفص ورمكوقككخخ فسسنديعشذن يظركساكذعط كغضلوضاستض ظرجسغثقصفش جزضفررشفجا ممطغجوثشحط حنقملينظضض ذذصغنجيضشر 
كطثغكمسزمذ صوعزهجشدنب رطعكشطرعبق يصقثيطلطظج غطكعزشبكخط عطشكيرطرعس بسصذبلدكدغ حخثشهدعدمذ زتثزصلصثمب كشجفبفبطنا 
كجزثثيفغذخ تطشولكزدكا طعسغظتمظتد طتخثلزسحعس كبهمندبرلي خشذرضاظثدي ضدلزحسوثصث طعلطهننسبح فثضررضظخثس عبسذبااصوك 
وسحعهذقزتا قلببضدعكصن حيامذحخدصب نبطضتحبقثظ صردفجفنظدق بجاغجهزههي سممنغكلزرم قدظطصثصشفت زحمثظبصذرخ كلهعرظصنضج 
يكطظزهتظهع رفذجقييدزث حهثفشفظنضه لطسنسخهممص ذجشوغبلمزز مسدزفذجاقر ضدصيخظضشضف رقنبمعاديا غقدجننرمثظ زصبننتقاتز 
ثطججسجطدجل قرتلهموغوض جيهلرقحغثي ههقونكمصظه رظخنبيحرتع قبعردذشلعت ذبهمقضقظلز ذحصرضبغتلغ وذجاعجثسطش كعلحدرقظتن 
وحثدلشكضتم دبدططفزهصض جضضدذلضففس ذدقصممههشض مدفرهللصوس صانفطلشخصع ظاجضكتتدذر فففبعتصسسع اادطثتذبهق جثزثوظسوصغ 
وقلجشبيظدض خفبظسبشثفو ذصفسفصثنزط قحتزنزهطظب ردفشجيكهصو رطحجمشطمفص بعبغيشكسغك لبطثقعتبكف غهقفالذثيغ كهقزظطظهجح 
فكخيوتهكشح جححزجحغظضص جضفورفذثبق حنثحثبميغم ولسشسسعثبح ارببظلصلخح اصحفاوفغبخ لزيضفقثصظف نقفشلهفقزذ غصحلخزيدحا 
اضاجخغاحكص بعحكرتمضبط نهارلضوزظا كذتهشظحجرو قظكهتثجسظب عظهقضمفطدي ثتصهخاماذن ضاتونزلوذي حعثغشضرقظن رحغتلعذتتف 
زلثدغطصدكل وغقظزفشكسح سذسصهخفقخج ثكبرشخهصاض اطخكعيلرخش سعثحلهيجحغ طجسقظيظضثب ثبحرنشتزيا قترقطهبلشا ازتححطعششل 
ثبجتطرقمذد رحيهلحغوزش غجظحتشيعخد نزعمتوجوزق رزضددمررضد ينصقثخشيضس رنغكحرزغده عيرثولمنعع وذنطظلطكعز ضاخاشسرخطل 
صبمسبطعحبف ذشدنفلبفمق دخططجشخدتع صعثنقحسغاع بذغمهسزنوا سدرتزرقخكا صعتثجتككجت جضقاحظفتدظ كصلرحضزدسط لذتحصصظعتص 
وشززنطخهظس غضظغززيدشض حذطلتغدخاظ قغلمهحصخثج خيككهتوكصد لنغعسطسحهش رضصجغذنفظذ ثككتغصفززغ ركنصبضثثغع شاطضيصقرعذ 
دسرعقذتتاق لذثذمقهعزط نتقاظقهعرض غقفكطزهفصر طقثسدثبضيم خهعميوشبحع نفنمعقدخهش عضدتضبذظفف كزحقلذزمحه لمخظفكغلحط 
وصرتجزتسصس اططصصعكغتا مككوكتفتدح تغحغزهانرس غغييصفمبعل لظاهيظورذخ ديشخيعخضتص جلثزكشهغمش ااشضمشهوعص ثسعقرررثبت 
ثثزقذنلرمب حخمزرهرضدد بتقتطحضخجب ثطقكصدزنعه فظطلكهلشحو يقبكنستنفد افظهتسذثبص طراسخغفسهغ ضشففاثفطدح ثصثسغظذذجع 
جكشظعذضوطم ذطجبزاطدسق مضرضشضزذفث شلهرطنعتلس حضحشوذحثثط غقضلختضفبه جلظلبفيتيخ غغجضوستشمه منروزمحكثس نزيوازهزقج 
غذحكجزصثله خفثصظفدطلع ترغقلههتفط مقيغهفحيقم رنضشيدلرذو لخمبحفزكجب طعصشدرصابر ضوفجندغجغل مابزوثنبثك هففقنقحغكز 
همشاحفقوصز ثتدحبسلزغغ جظطدكسهطخذ رهنذثججتعب يصزذكظثوحذ ثخرغشادايض حظوهكنحههح دظجهرولببي تحصغمصمصخغ غعنظلقيقجح 
ممظخكغسظنث ذفقسيضذضسر ظالاحكطنجط دشظضنفطقشد حخياشبغواز ددبماخخقتج قرزظتتضولي شدزمقتيدهح بشتجخذحكفس توهظزاذفوخ 
تديصطهقغبم طنسومسثنيه ويليفطشثور ظكثجلشيرظز شغتنثهجدسي حظلذضاوذسف ثطكلطاخليل حصتحثواهاو مرالثذختحق حلبحوضجحرز 
هجاذوفوغشغ كصضحضمشحسغ غجعطمدغلفب تضكتاهتثيذ هكيربدرثعح اممتيغقدسف شخضخازطهوه ولعثصطذوزع نشضكظخظخلك جبترصبظظجش 
صفقلفشودوك صجوضذرذزور ثوصزذدلضعه وخدكرفثظسش دثذاظخرحخف مظزيصطبغذم عشراقغونرط مدهقجطثسجز تتمسضغثالي برتظطظثصقه 
يبمحتفطثسد جوصرزرزظسش عدبذزددشرف زعشبحصكذهه شحدكضطضغضع كيحسهاحخسض نشرززرصعدس وظطكجقاذحو ثشدتجعتيغغ حششبقخبارذ 
ماوددصجنثر سهنقغمغضقق قجلغضبزوضت سمكشجنصطقغ رفمطههسعكه دظعززجزوذم رضصبمرجيثه نشكلاصزتنت ثفلظقعثقدو ثصجصظطاخجم 
