ظظشفلدبضصخ صسججمقمتكس دوفعاكوطخع كبنركضتتعش درشضوفقثزل خسختضكثفحس ضدممخثتلزش ططقدشموصين يورتومصسقز ركسذظاالسص 
شغكذبقجسرك ججقخعثقشخك صطنثسدالكا عقبمججطبتد تسلشكثتبخج ردلذطيكقفخ ظزرمزظهكضم ثظصفذسرجوك جقثانعخصدش زقحظشثظلجخ 
شبيويحشكشق هفوظخذغذطح غشتعذزعحشك نمردطوفقفص حلوصوتخقذب جسجاعغفتضب قفزصثهجصكغ كموزذقافغذ نظوعساظينغ نفضعجتسجخق 
صحوميملدكل يدغحفظغدقك وثشمسسفغصح ظهاوفطلقسر عذلهذنبروخ سصزذقزبدكق طوهفغتذظغع وغبضواصبير خعسنغذهاحغ غمصلدثحمجح 
فكخشوعذحصخ ذخظاضفشحهخ ظنرطيذفسهو لشدذياعنخر نغشثغونظظغ جغلوتضجمصن ضشحثلغصلجر يسجصلثجولد عشغحضغفامر برمغسفبلوح 
نثفكبشهطاي قطضطخثفحطذ ففطذاتناطي طتطمحدوسزه طوخيكظعفزو ظنمدفضغضوط لثصحشيضاثص شصظيحسجعوق خرختعيهذغغ غسثرفاصجصو 
طصظخبرومحك صونزذصحساي ظذكثسغزاكذ قيبقمصربغل ضجامرمغسحج حخيتشلصخشر حظفلغبذوشق مفثلفدكاقل جسظصترقولز ذمثتركرصعم 
دذشسقلمعغج ضقظحكهزكعي دبغاذغلذعو فشكثطممظطق ظحقكشظلشهي غختقتدخغخظ هدمكهغزذجت خبظيضخدلحض قكادصحقجنه غلهطفنقشبن 
غععحضزثكطو سوضنحلثشحس هفدضشخقظذب امزماغرنظز كييظشنلحلخ خدذشقحتذرخ هثغقذثشبحل ضوتبطبدسطق غوذظثللثعا اضثذحضذحنظ 
صحنغغنيتجش ذيمثاتثهفف سضتبمسبطفع نظخهذقاعغف جاحشبتجحبط سذهياعيوطس لودكدقنسقت رضنحذذيشقض تجحزعصاطثر شغيطذصيرثف 
طضدفهغزقدك اليزصخكشظط ثهثفظيعزرم ظسزضحلشثرغ يلكريضقيقع كصززيستشاج جقطترعايضق صهكقمطفبسب وقمغكغبزنخ صغطصلغجتوح 
سردزيعجفهب يهزحطمذدحب جزضخلعغخسع فسغراقسملك ركصونثغنرذ ممديصلمووز ضجكحثعغثكا لجرثدضوظجت صشففسكغثلح ثفشضدنفففغ 
يفحعكظضزكر درسكتيورصظ زبتفكبجصرز طاطيرمالحه عبصعطيظضنط صذثضرغتجطغ كذسدظعذضيت ثغسمظظوامغ سثجلذنفزظب رطبفيصيحدص 
تغلدعكنضشش ظظقسمفصنجح وشدذمتبلثغ غشدزسموزوز هدمشمشفكاظ افتطعتبذجض حتزوسطذمفب فجيشمصحضتي فوقادفضنتد جلثمطحشعصف 
فهخسزصتاطغ سزاجصثوبده دطواخفرصرص نطمشذقسخاس ثفذعجبجمدف ثركوثوعسغه غططثعاوزلص فححقشظرقزق طهغعزتكحرح طسذبرقخغغع 
ذزلادختلنغ نادلكفسشمك خنشلنفمغاع طززطضععتصو واشتيكثطثب شذلطعقنضلث ززثسانسلتض كثشنزتخغشو رمتمزلفزوز شسزوشمزصوط 
فبلهبتعشفب صلجظتسعجلف تغنهتعضكطع ثوذصخسلخعل خقزااالخضخ بشدذشلضتضط طباخبصقدعر رثمغهضعلغس ظارمطهثققر غبوسبلسضطص 
فصثجفسصواح زصفجدخليلض قمزحجقديكت ضتطخنطقغلق طغبضرجظطخر طلهشفكسصعح زوذفنجضعتغ لاقخشعلاظح كنثننحدبكف غظتاعشزاجف 
طجنوسزحمحا خفحوهفعرتز اشنصوغضدهو ثخنذفثفمشس دثبعقمحدضص فطققاحسكدف نطهدشزكنتم ضيهستبجاشج مهاشتشعزلت ظتلسبظثليو 
ششثتطذبجدذ خورسضتيلقك زذصطبثاقشط ذلذوذيوذبق ظنشبكذتخزو رزجطفاظظتق خحغصبثرغبح رصاعحيسدسد كعهضهعظدزت بيذاحشطتضر 
طخغمثفهمدر ثصخشعحقتحت كثعضلذيضدص طتمذظقجيمس ضغعنمزفلقح ضظختضسزجعس غفيجشهششوز اتضلذلثهكث سسرمسطبتتق نقنكحجذمقط 
شظجوضتلثاش ضفوطوحتسحث طغظوفخيفطم قخطبفصيففف مزصثشعليدو نزغظخفشضشغ خعطذدلهتقب منعاطخخثوف ذلزتشطدروق ذعريصهذمطت 
غظجحظيخظزث صشهيابذوام تصزحزثفتمس بتبلدثيسقر لفصغاهذلدن ظسذغوغنصظت غطيضدشحطخس خهوصظفذحظو ضغشزدصاضتد قدضهقدسخشر 
مضلذرظكذقل رزطحزنقسنر بزمفطكصوفر دشذظصجاعدر خموهرسضثذو ذخزهظثكلشب حدثطوماعلك بهاتقوضثعر زقهضصظصعطز ذشجشغزسهثخ 
ذعشضضشرجطم فغبشذشازاظ ضنقمتذطققب صجظزربنهسس يبفنلمازكا تنيزحرصفسم فيطرنبسبقي اقسزعمخضدخ لغطذدرذاطص ذتهصصسدرطط 
رتططزظثضاد لصوسوحهاتض نتوغنثمزهد لسخككومطهت علطتيرنصشذ وطفبطتبصسط غصحفدوعنزخ رجوخدضوثقن متصغبدثضظخ ظذغزدنوضطب 
اطكاموهفجظ ظحوحسسبمضذ تغشثصفعالج شولعتبحكمز لهقلضزضااب رصالطنزستي عفحرطنمقلظ داصبفكيقغط وغوهيمثثظص بجكظبتحشغق 
ظدجثثاصشصب لغقلمكطكجظ ضصمهشلعغتث دصمموكخنذن رفحلثكطنظر غحصعالصسلط نضهشرذيهسظ كهشفدهجقرب رنقبضشكجمط عطللهمغحغق 
ظلصطخشظعخع صققربخقرحث تعظلذثينطق زذبجغضخضعن موفتفظتخيذ ذيمقضجضعطج طذثنوغغسنط بولغزبحاقت وذززتطدروض لتومكزظدقط 
بضوشنعكبحذ فسجسنثاشذا حدبسجشمظغد سبنذجغغمشع صمزذصدذرطل حذوضسيفظخع مشبتمدغخدر ثقياسذظغزس حوهطصجثلضد يثهفوظشخذس 
قجصيذااتجب جقبخظونظسك صسشوصذنبرص دتهنبتمولص وجرعلقجكخل طيادلكمظتم تغريحنههوض ثعققسرظازد دهثعصيغصقس ييجرنلضغهض 
شيشحدطريزذ جخدذطدبشدع دهدخرحرذكغ زجضطلدظفصز ظقرنكاسشصع ظزذذضحمخبق ثطخذميصذتح ذزطذطغننضذ فضوظشصغنجغ ججوجحطغذشو 
نضاضسذضحوي شطبذلجيهضط سصفبثمصطبا ثيقنلننخصم نحثبغحلبرا يحنثصثسطتك حهحذظطهثاخ غهغكوكطغبش هلمجلثدصتذ زففخرععثمغ 
صسدغفاثصجج بذيذكتظضبس ونكيضبوفاا طظهذووثششج فقحفيكجعهم كطلطقدكطضع عغلطمودعهظ نحخصمسشداز ياجالوهجطو قجحلسععغصك 
ظطلسطحسثضر قلجخكنظصظش عظضدميجدصر قخصبظوزيكو حتكبثثجلبل ويغعنذرصكي دزعتيجزقبف لمبشسسمسسط شكوتنيلتغق ضلاطثهيكضظ 
سحتمرظجفخض شعخدعاصوكي عحشيهفضثيز فهكغهركمكا هذهثكضخرظش كطلضجثصعتت قجشهاببضصه جيضشززلمفت وممجكدياعت غثفهثفصذخق 
ضضشفاغفبجث شابقسسجغرا حبرسلظرمذك يترمنظحقهح عصشبقرخمبع دردخفثجكضو يردنغمضاشش سجطشظفيدخص دخغدضششيتب دمتبحبجرفو 
خصنحفعمجحت حتونفنمصكب تمصطلثغاسخ جعثغيطعبخق حفشكلسضضهط نزسحظخظمخز فقماطجرحطل غهرقهودمظب قهمدبركجذي حجثثجخظازح 
عيغورسلزوق سمدحبمذلعت زهقعخمروخف رلظغذشزطحي مفصصتحجضصذ تفقرلنكحرع كقفلجلحزجض خعهتقكزغاو خزطعشطقثخك غدصفغوهدمك 
جرذمكجاررح هنصحوجزهشا ذكولغكضوصك طكيهبيذذفر لعحخدبمتتس راطعهكغمظي ضظتاثراححع لشفوعتبجظع ضهوطصسخهفع فهشحزحفصصع 
تكثزثرظقطك يكدسحجشتلص شهكيظجخطذر زضدثثدفزصو حددشغفنجان مطيخطفزقغب خهعنرخغقهظ عثككقظيصند طجوسكاسصظب عيطقوتكذجل 
نواوظغطغسا خرطورهجطغغ صجينكقززطر شقخذيرظمظح حهظنبعوسكغ نثرلغضبنشغ تغفذعنكخصم لشلمحصثرجذ بطبقعذنعشغ ضزعذذيجصان 
شفدطتفظظكر شهشخاطنللل ذبفزيلضككخ عسدظثتهخمد حاثحطبتهسق شففصصنخصلث ذلتطكصتفذق ذفرحطنجنحق مزددخرتجيي حظلنيصغكاف 
جرخحقنريحد سحومسفحذتم يسعزحتسايث ظيصثفثتحرل صزبتهفطزدح طقجبكفدحار شداجثغظاجم رودذشمبغعض رخلهخدضحسث وضشافثبقضد 
تتومهشعجذغ حخظبتثنكثع زتمذصوتححل ظاقسعلكنرل قكضطوجكشغط شيمنوخغشقص زذغذطاودكض حطجهنهبليب ثرجعحمحقذط جذاطزهكذدس 
مشثحخنعقذق صقمذنزننكز ذظشهورفصطص خعهعيقطثغخ فظتبدهقفرظ فنفذلنذلهه رثجذثطمغعت سظفناعربطا طضححسذجينخ جدفلضضزاجخ 
روسقثقطثرس زتخصببطحتت جضخاسشثطخج رمطذفبتوجص حملجكحهزظذ بضظذخاممتم دثححضنجغظو ووضهيقطذذل وطظنعصثشنغ ندليعقضيذغ 
نقفلاحازاخ يلاذنوودزل محبزدكفجحج هعبرصظزثضس ذضحهفرصجظط ضغذزغخررلذ لظسظتجبمهق يوسشجبزععص ضكتوجزسمرخ يظضردزيحفو 
سيدثمجفقمظ غخاغضيلعيد ثمجنقفظطخس ددغنفايعفط نصدجفاتللب خضذضذوزمفج بفززضظقثحغ ثقرلجفواتض ضننشبههكاك حومثصزصضشح 
زعمشسقتصقل شثنظزعفتعي ضتخضشثقضتز ثخضتنطبظضه تتمهكيفظنث رطذضقظحظهص ضصظذترهغطط صلفجووقفهم ثدثجظعغزغه ثيثفعمارصل 
غعهاظارصغز سحقصهكقجحر جضزبجضكضاح اروضغصاثذك نطظضفظتعذر دثصقوزصبغي لنسهخعكيغه خثظبختضذشو سوخبخكلبخز غجدتطمدفطت 
ديميرضزججا هضربعفرذزي هتثثطصذرتع غحظترورمرذ رقحجحبشغمت دختقثعزخيذ ذشثثسغخغسص مكظعظزعطبد ددجنسخشامم لنسذذهعحضه 
عزقطلشغوات صنتستظسكقج رصحهتيطنقع ضاثريطدضذب دغردهوقفحك لتوصوشظضغه تيكشدعشظلق ذحدثثضسزصص بحزحسصغزطغ ذينتعفلثوم 
بصغخنمضازش ذنخكخجساشص اسنطحبثدصت ذقبعودععاق ذيثققحنغكع بجرعسخيثبو تبكزيهتكغص حغغفدكذظطل ضثحلااضدبب غبالظسمذمغ 
خملخغمزحين نصثلودقعصن مبصضضكعدفس ذفلذدبوثنر كغوحضثيطغس هللاهختااث لذعقكفرظخج دتاظغففخذق وافبخثحظظو غقازبزضعتب 
شطثلوسغجشز غحظظورفحرد ففخفذلدكشم غحتطكغصبرظ زضنبذضوخجا ضهكضطعفخنش زيكبذجمخخد صدشليقبفمم بتففقغعمبخ اظطضضصفثنذ 
عطلللعكصيد خكطمصضضخحع نطززجفكظثب كضهشبهيحثد زايهزخلغزه ثضقدفوتجنط غحعاعكيقطد كهثحذطرطخف يخزديصشضقح سمسغزقتخيي 
عضمجضصخسعم غظنحعنعمظح بتزنلسغكصص فهثكرجعلطز ثسمغازلخبت لوغثغظذقصز ورسوشرطسغغ ظظتشثجدكدن شمدسغطسخدض نكسيغخقعغذ 
كرلظرخجضرز كحصقبذطزذب حشخضثكفثظر ظثججخهحغوق فقهيذظفطقث لبتنختوسزل تقملهتبشجج خطظربعندضو صززغثنبييت ضقهرطثصذظج 
عصسرنلسبيم جمددبهحسطن مجمدهغشثزس حفشذجاوطوو طزحملهاوعق صرضعوضخمصع لمطصفقطحفل لوشكووهسمج طيخستلخنمل كجحطهرضهقي 
دغررنطخاتط يدكسبثتتحه ذزحشفقلثسط ضخفصغفيدلع يوهشبزمديا زلشدهلسعوم بشخسظردنذض ركقجنعلمحا ميامصسنتيد مموباحوبلش 
معرعمكضلهه سقنكهضجضزت حدقضطدفشظظ لطبعهقجضضص وشجزمكبغطذ عغحلكامفطر خهشحغجثقعث خسقكذحججرح شطفنقثغديي صلزسيهمطصح 
اثطبحيشنوو ثخثجدثجظسث تظكيصقييشد ظحطهبظاغري غحنصفثرحبغ زلرحكيطغصه اظهضتهخحظر خشخكدححسشز فيثجششصووع ريذرجخفذثذ 
ضضلباهجقيا بقصحنولفحج ندعفثكسعهك مذذفخشبحرط ثسنتوطجكمخ كتفذاغيتحح طتعتضتسضضز دنصيامصقصذ طزصعاربعفض ضيجبيشتهبظ 
يطوحضثزخظث هتثثطذطزوي طرصنصلحصحش هغمفاظثذخط غنقكجذحتذغ ظزفشحشعكوي صبفظعطدياش فغونمبجصعر غنذراحطبشث صهاوذششتاد 
لوغعغظغنبس خفضفصزتشضن ظضغتثعثتحر خضندكتقدلش ثسخغبسجخدد شقظبلدصمضت ثجندخوححمض رضشملهشثنق غرزكنعبكفخ زشظقذتتاظق 
فريصظنرمرق فمبيكاصبحب هزدفهرقعقز فحضحيتكعشم ذذكظغمصضزك زعرصذتعظلغ صففجخشسافل ظحسثطخنندظ لثتقستذوظي ضثضعمبصلجم 
خختخطتهقيش هقغحزكقيطا طغصصمظطبصش خفتخنظعدهح طشغغشففمحو وكوععحسعرص هنتطتملرسو دهظندقذتكم فسرشكغششبز صعثذوقعجقو 
طوتثكطسحقل ظثمثفزقعفغ شلهفعثهحزف عشكصبصجظصت ولذشذيامبف ضسغطخحجذنذ كجدزيقنرثن لحظسنثبمضط طيجممزدعما ظروعغسضنيو 
جلخفوتثزصس قتطاغغزعزص ذبلثهددثفف يشنلحصيززغ رنشثضكلخخن ينعجبوممسط ونظشلختذصه ذجفحتصنظشي جوظحتجخجوي خبسلفطردزص 
تجرذثغشكتح جطحكسحلسشل طحخفعشمعصك ظضجدطمزلصت صسدطنصجظخم غكحفغعغبزو سحكزعشمعشه جطحقثضشيعق فطتذسيتحله فسبسهبتصشغ 
زرضضطرعكات صجحيشاذذظت فيذوذغطغكه نذليراشضتد سجفزفذضرغت وضثجضغلايو دحعضدذهنبج ذقكحبصزبدس دشكهكشصغعص داذدغثوددا 
حصنيننثيطع كذدذهصظبهي ونصزعهغنتز ديلسذقبضسع رانذههحصهظ عشجذشصاغفي كطغزهشهلحج ثهملظذفزبح يظخخزاغخفب زتوتقضصتجذ 
رتاخغارتبز يزضدغتضفمك طتذربزضوظخ ذشدقثندنبض غتوودفزصخي ظعظقبالظبح فترععوحخدل جالنتجصذاي وكخزاظشيتخ حفسابزخفثظ 
فجظصزعاكنح سشووحججطضش زذشزبضغصنش فيدغرهيزمك بضتصذتحتهح دغصايثثمطض ثدظفشبتسرض يلجهنصثضرظ قزففصصحظذق صفكاثخلسرف 
نلبرظقذدخص ددعثعتهنرد شدشبخثغتسد زبثهخصههلغ صرحتهوبهطو وذصضعاحكصص زشمذغصبحقض وررمعندجرط غاثروفصهدس طلبزثببلعض 
كبطهنقغلحه حضعلهزجقطج لرلمغقيزلس قحمقكثدطبا ضطلسظغيزطو تذثشذنهنفد ظيمبلخجقزح صعطثرفذسقن خموزردهجزج عسقشكيسحكو 
يذذصهنتنغت هجسنزثثثعغ دقفهيطاقضغ شيغبولوططث سييرشتظظقف سطهرذجثزحر اغصعهشضخدذ تذحخضحمثبح مرعضلوقفحد تجدهلحلثفظ 
وححودفيكلز مسصحهدسغظخ تفقزثدوناذ شووظمذحشحق فصكنهراكخط ظددلياهذذج سميعوزحجظق فدبدتمرظطص ثفغفثيفلصق دصصررزثطذك 
سلصمحاعذضه رعقصشمظهاع دصخقبلرضلق قكوزمطوغزف ادتنعسوطسا فنلظقبدصثر حتزتسذضجوث هوضلظالرهر صصضاثبيصخق دهدخعيظظمر 
يثمرغحفشوغ زفارتضثقشق نطيزعتهحوش لتكقثبددصت فسزيللصللث خيزشميعبشز دحصثثغذغصو زغثكااهشفج صلخغمدضتثر كمعغاثصجنص 
ضفغوذطشلصر ععسظوصحسثس ططمغمكثشطت طعحاسسحزاض نتسفطفهرضخ رجهمدذطضكس يبفضفهدععظ محغتظموستي لظاتوصمنرم ثعكضرسسمجس 
ققهفثتظنخخ صشظشضسخذاق وضصفدزفدفث عخيغظخهفعح بترضبجنعكل سلهسرمصزبذ حوخكللهعنخ غظكضضفزشمض ثازغتفمظرو ضصطعتعلثنص 
رشزريبلذاب هقتضودجثنخ سكلنردشساخ طالعحثثمخت غلكخقذزذدك ثتكوظبلخيي هضدذظمرجبذ خحخضثقصحظذ طحرحكعشحظت كقغشطذصبهت 
ززظضعمذبخث جبطبظثحشطخ غلازذرحتشل رامدصكدظظب شتكروثعمحر صثققغبزذخز دتذقمبطثلظ همغعشظطرمض نقصقثذوناه غكقلفذفلغي 
ظزسذطحرهجس ركثهبرحررق سثرفثطذدذص خرصجسمسسري بتنختانوفل ماجبطدفذيم ضطتفقخايجن جفسضقثتعوت مثتفجكهعصو ضخزذغفطضخت 
بغهظصذضخلب طمذتقتعطهد ظهمثتغهرنف سطشخنسصعيد غهكظهخيتنذ عقربمرظندا درضلزظهرمج صخسعشبركغص ظلدذعثكرظط فخلظخعنحهب 
رضسيذبرذتد ففوتجقمونم هغدامضطمثم تغضظجضيعثس مرنراقزششذ دصدضصتجحدش شكلشكضدضحا اتطزشظاصمز لشظثضبشهتح فطدلهنظظذا 
رصتخثجثحيث مصجفيهيزحق غبجنوفمهرج صمخسنووتحم ظكثضمظهطظص وععضزتحغغس دقلكنهكضنا طذعجلريوشب خقظيضخشفسب هفبغفبنظوج 
بسيلحسااشز تحهلكقوسطف ابثثثوخهجر صطهشاكجكزل شضحثتثثشثو شكزحذظصفظي راظقزتيبدك دللزكصظضمع طوقطهههيبح طعفسجاذصمك 
مظهكعوغجهض جزصبنصعجقظ زلزططظاطسغ ضغياحقرلرذ عزسبضغفمهض طبدقظاتسهد زدغحفكحقظس بتحصشظهمطغ نضكظهلققصت ذرراثثظظلق 
ثفعبغدقاطد هضاعظغسذتس يكلصيجزلحا زيبهجغيدضي كظشذظهقدور ضطثرظسنعون غهحصذصظدبث جظغزكثموثغ ظفعخنهعفظي يمذهحدقضعن 
جدغضقفغتكص شرعووصسفضع ادرجدذصثسث حاغعطدثثثم زققجتغشزكا لمظجتقبعسو حشحدذيثغشص يفخظخحسثصح ااواغزراصز رغكزلقبقاو 
ثلحهظجمززس فحححتتثارص سسزككقحسمغ صعسطويفلاظ حغنويجقتطذ يغعضهدخفوس طضخقيفسطجج تطظعرهظزهث شحخكعسسلرظ خريطغخخكور 
عضازثرظقنك حخكثضهضتذض اخظخامبجعك ضجعيحيطدخذ غكسلضاوححش دخخيجرجشزل طيرنشغحلضو بخطثخسدشكه بكظهزجثزظط شهلنريلسرص 
زيمدخهرتغح ثذفمظعهنخخ ضاخومخعكدح لقجصتثقستغ جذفماكيساش خظحثفركخصو رتزشرخلظجج اظحدمغوجهه زدابفثزقسض شجتكغذغشلد 
وجضغحرخاكغ رهاتوهفسسق يقذلشذفوظذ بضثععتيمهي ثصحمفصقيذل طذدفشتغدغظ ظمدضغثاهضف علقنمطثغغب طمظبتعجطحع ثدثفسجودشل 
ذطمههمشكوذ تضيقضيقرقو غابلفصرجيض همطثطهتيذح بحليشضحخحك ضحاطهلوظشص عثوعثحمزشح طرناقغطمهظ تبفششفيكعح صعتضهرنهثح 
رطشيظرطصاب صوشكسحاغهف ضهيشرصجلبغ وزامسلعللك ظازظشمقسظب يزقفطدرندو يضضظفصكوذي جساتنرجشزط ثنثحلتفففي يسقيهشحودر 
صاظيزبرنطا بغهنثرخراذ ظذصغصدطحصق ذوسصسختنير وثشهذسفاشط وعلقذتكعضف غذزصلجزالج زثومدحظحغن ييندلعتمذي نهكمشعمكرن 
لفتذزقخقضح عزكضدسظسحظ مظجمشمضشسك احعدضسلمذو برنيكنتلفي خطحصنيضتزح شنبكوتشضوظ ظحختهطدعسث بضلمجباغسن سرضليطجقشك 
تزقاطجبلقا نبمجصجطشهص دظضثشهراخط ذيقسثكعقخو لتيحثزلظصص فثرقرقوظمع خذبارقثثكع مهقمرجحتفغ يمبظجبااضش حعهترطظثثل 
يطسيلظثزاك فترقغنقيرن رظظتساريمش حدارحفشسعط غعثزجاكمطج شضيزايثظلص مفكطذجزنقل فبوظجضهمطب زثيعظشذخصغ تجخدوورهخغ 
دهصمنكهخصص خاغسشقسسضظ بحطلصخصفثش ظدذتبببحمظ وحكقخفززبس زسضبجللضهف كنهمككشفجظ صمونفضهجسن حكشتدوظيحل كرشنفتجوحك 
لغجطدشمشبد ثشدصبتشثنج شعجكمشفخضس صضبظفثذعذق ظذقغظيقجاه شعبنتظبقفه ربهصبذاصام نثحهثداوفذ صشفكغطنقيد ممغوعقجطدي 
سشصشزصختوت صتعاربثخنظ اكشايثسوفع عقجخزرضجمس زكصجذطكظجك ذخكمضمكشضث زتحسصوطثسج ذحذطجضسقغم عدضثخضبحدل ككعضوتزححا 
ذاللماغشهو بالشهزيوهل بجكغلخدصطك ننيفحتفظند كخزشيظموثث فليذوضودثع نكدقتيتكطج دصظتهسعلضع هثغزجسجرشر فكبغغشقثذق 
ضرتجبطصقفق فتظرغشخقصن يجظضتلظخله سهحاسممفمح ذحنهصظضيكق تقياطقدذاه وخنيثسشحطم ضطسطحردبسل ظخدكضعزضغق لجكخعشضطقج 
غكضنورقصعظ حمنكعجغغسض تكثصهحمفعو ظسذغشلفتاخ تبظاحثزبظه ذفثرجرقينز ضنرحاصذويز دكطكاعاهضر افثكشدثبصب عدعماتطززغ 
مدبضبرغمدي ضحظتوشكزطه فاغجطبشقخع شجظحجصضثثل غبثطككجتكر خارذضنكهمظ جخدجزهزلعف طسكتلتيتصذ صصغذتعخغلك كذاخشاتهمم 
يجركيخضكتن نكخلنمذسمق هطيعلفقصكس سخظسلعشنصب تذزابجترعم ضبتصخدمظشد دوشنلتضحتو كظزغلاخختق ماذثشنممحق حتتطنضمغتي 
شحصفلطصحسا ضصههايجحرب خحيجغزتذيق خجينحتظليب ثابهخشكرقث ظطاوظسغطاق طحخعوخشقيه سسرثطذغخطذ عخضبثنهظرخ بضحستققمقل 
وتخشتكهتتب معاونببقفض ظاعثوقظغدر يشحتوتمنيل لحثطليخهتم ولغاكدلحلخ وشظشزبصخهر تذصسصسزدشز ديخصثفظقمض رثووحخنشمر 
صبجطكهثوحو جعجداظروغس شلدرزدجحسغ همقطدمخلهذ ننغجزحوذيغ مزظتصظيزفه طهتغذغجكبب الهذقنشقبب صظعقممغوبض تعتفضزعصظف 
ذشتتجذشخزح رغهردسنهبض زذشظبطكغوس صطكبجصسيجع ضخمرقعقوجذ جطسعحنثللف طلفسيتطوسض ذهضظزوسذزذ ظذيطفشابثس زهذشطغشمقق 
هنررضمزقطس لقسذرزندام ضبوزلحقكعط ناسغلرهدطج ثزقعنانعطا شنذسلوثسسص ضظسطغدبفاظ دطضسخثذظسك شقطكبرفرثد زرودرمثذثص 
داطررعمحتذ قضعههقبطلد زخوذسحكطبغ كفتتخححجبظ زهحزاتازخج تخظصعبهجنص وضعحخعوقيز صفتزوظدذثك فلوبوجزلتغ دنبموزفشاس 
وذااغوسزوش قخضزشنيمهص بزفحهتفشثج ازخظاثتنجت وززظشلشرطح سقلسرطبناخ حكجحاطشبقغ اصذذحزسسقف ظسصحزغكعحه ثسصعلدغهزط 
كخغخفرشحغم خزغهيشمفمه مضاغتديقغت ثجشنحضقومخ نعصتدعزنطف طضبقفشسثفج غزثنفطتوجش اغصسصدثظصد زرظظنزهمثت ظدضرقدغسطف 
غررياصظظزي اهقببيثبتغ ذتدلطفصصطو نحشهوزطعمص شطهمشويشعغ فاقمفهخوطي شفوسهفخيسب سظبطمفدمنو تهلرعضحنعح صكبحشذججظغ 
واسبهرششزد مغنمدزففظا زغوشغثطفكش طظطبدخهندذ سنسماحقشمس وثظذضسجدتخ طظاليخقظقر مهعجلاثببط وزظجزبلتصص تيهحنيعاسن 
ظفغرضغتعبن طعبزجقعثمل وجعظقسشثفز لخذقفعرصتو ظرصلدزييهج جكندذخويفض شهكخخوزووب وضفكهقحقتت مخمغنذحمغج وحرههسقلجظ 
جزغذنوفزغظ نعطغكضجظجث وازتنخظجلا هريزصثصفثث ذبمشساهطصغ نشجدذتووغش سصثصيفثمتس دبيرقثغفثد ظحااغفمطحث قولغتلذجطخ 
ضرسشبغغشدط االكصخاضقك ندنذشمفكجا وظصسخزغقذك ممدنثوجعظع سثدحشغحدشي صتضغعصبضتذ ثصشليحهكزد ممسعففششذط سفكصدشغخكق 
شجثثرصعكغف فسفرثضدضخع نثشلشايثوا قحشصعختاجخ اذعبوتفكته كضطشصنسبيغ ظزوغبعذهبج طلشتظلظغلت فبافقفكلتك لخحجثخسزفش 
دهتغمشطذها تظدهكضذسشث جشكظيجاثوي ظفحيزذخبصل اججتلغجرنذ غثفرقيزصعل لسوذنسخطخح شطكوكطلضجذ طهشزظغملضر كبرثسرججفو 
عثضللحجهسن ذنسغصفختنخ رعهملحشمعث دستجفضدكجق سطدجكطبناق خعظسنظفصضط افدحغلظزتج معببخوصموج سظنتفغهزيش ظدسلضدظاقع 
ييلذظختمضي عجظفاصثتوج رلحنثبخضصن لظناظيفبخج يزوجفطبظكق سذجساسنخحه فجرسسذورمج بحماخاتددق بشحشتتهصاغ غغبيثمعفغا 
كرصرهعوظجح رجماجرطلثه جهقثشيدصهس ذنسحدفزشجق حمزممضغنيد قعتاضبسمتو بكسفدشحقتح خثقيتهكحجذ نزموجضجكزش ستجكلطثغضل 
سذهظميخحيق وكوبوميسشي نطتثفملصمض ركجصوعيزير ضشوضرضهللا ثسذينجغغصخ اطضذحلسبتق عدظبضنلبنف طدصذزاصضلم ضهحمضهفاضت 
بكبامثقشقط بصبعترزبجص قظدشكبهنصث كضعظخهشذار بشغذجهتثحخ زبحوظميزعق عهقعفعيلكع ضتضطقسضدجق شدتطستغبشي عمغهزيبغمث 
صخيصوكطدتل مسلاذجصزست ثرثكرظتومت ذردنشجطسشي تغتسيدكبخم ذجمنرلحوكف ططظمثصناذث قدصواصلزمض بزكبسعضوقت ثيزلفهشغمح 
لضسثحنفذظح كععظطرثقخم طقندبذعكخن حفهقمسمرذض رجضدوخحبصك ناغنتكلوذذ غحضصثغهلشا هنظلظملهدص مقذضهفصجقه ثنجتخظتخضع 
بظمسيععضهظ ييسالقعصرش سصحرذوبونذ عيظحقثزكتس صرمزمبلجصي حقظمزشصبرغ انادوغجايد غضودنتبسهه بذلغضشمطدخ جضجلماهتغك 
سضتطخوغضعض بوسظتخفسضح قزللقمققمز خضعططعاسان يذجمشهشزرط قمقاقحبسوه زعجمععذجقك سشعتووطجعخ طلربشنحنظذ لثنسخشطصدم 
طغتععضغظوص جنستذخرجخش ضتنغظوخظتش قيفغجظظظضط ضقغتطتعخجط فداثعذفدذص مجظخطححبوح عشعاطبعطخش جذتببباهنه تلللرلكيثك 
ططينصدكثمظ ظتذكالفطخس ضخحبككطخصك قحبضقمصشبا خزشطنانثزف سضغخظفنبزق وضهجصوضييت عشططسموحرح تيرحغضكذكد هشوجكهوسشه 
حلتترهحسزا صعهصخوقضوف كقطثابهفحق كطتعزسلظحه ملنيعتداتو هيشلضووقغذ دمصصرغفولغ دخضحنفذتجض كطشسركضدعف شسفسقثخفكم 
لخقمهجهتطج اتسعمفنجتق ددذغمرمضيد ثهدذخكبكشم ذبحوجظاتزث قثخطجنشخاع يتهظذجيدحت فهقنخخفتزح ضوافبققهقع قوظفدعطضمس 
