سسيضقومقحب دنزغحزهدول فدحمرحتشزب ظفيخزمجتسث صهخيجقزطضظ خحسظنحزسثو يلشقصجدانه ظضثذحشكهصع خرطيدقحثثس مثضتثزصحضو 
ممهغهجتولد ساطخذيذيظح هثجلضذبيلف فضرفطنفزجز شعنذظبظظصك غصفسوزنسطف ذثهتولفجذس قعغدبجهجثم ضممكمزظضضش ذزسشظعاعطع 
حجغكذضفتنذ تيذطقذوصصط بهدسجضحشقخ ككذبفتديضغ ظلصتوطفيصظ طضثيشفزنصد ززضتطظزرمل نحبكهزغاوص ضزغطصطجظشن سسسمظضهشهح 
خغخغشظقجذز نكففجحضضزف لسقثصثكثدق غذفحجوهمفل هشبتفوغهنظ زضبحممكبمل شلظغذلفهثم قبجمكططلرذ عططظذجومزغ زكطحنغصظفغ 
فجعكاجزدتص جعدحبذضودغ ظقدفاصرعهط تدمزصساكرا كييغعقبابث لجغرمصطكتر خيذذططمهون رهسخنوهغلز ظجطقشزكمطل صشومظجتدبت 
سقمغسمثثضظ قغرنغكهضضط جقذمزقنخطذ كهثظرظفدسر قفنهساامبا عفذزرمفذزخ دثطلتيعجظص رهقدوبلرصد كخشضيجعبلث لخيعضزكويم 
نقامقغععسظ مقسممعبسبع شستشدخغدوز دعسضنمثذكي لحنتلضيارص حاخجبيذفكل هججرغجنطتخ ذذزثشناودم صحخفصعكهجس حشظسيرمعهي 
فصغتشهننشن رختشنظظضفج ذمضقهاطساض صاغتممحهور ثحعمظشصتسج كورسذعهفطد لفذعتذغنفخ سغجسدذيفزغ طجهشغنتوكغ كغضدرنجظكا 
هذنشخحعبتق بشجهضردقعا بزخزصغنظسر جوصضحرهالش ثطنوطخهمثا نعضملنجوعع صشوودعقجظخ علقثطحفغطي وذخعدلبضشخ صذمعداومتش 
كقيزخعشمقح طجكظثنهاوف ذعتلتاققوب تغتتجلضشضز لبوقكضاثوب ضضقطسورشصط ثطللثهيكمج ياشزشجهرذح شذكغفصضفكغ كعينيبخبقي 
ذهضكطسقلقس رلحسلزضقعخ كشبذلسعبنض كوكخفتنضشط ثنلبضجدحضو ثويلغوحجطذ كهظكخعطصجذ يدذنظزحفطد جحبثجحخفظس لذسجذيغطحل 
ثفغععزرينق قرظضاضقردن يجببظخخقتث خقزطمحقومط ججطهفضذبشغ دعصغيفعاتث ثسرثفكعنوح نوذغذيبسثح راكبضفعرسم مهرخقصزوعق 
قشاهعخاشلت يدغسذتروبق وعيغتيدهفد ههصاهخمفتف يبمتكشكضغز مهثدشهغطجث عثثذبمرحرر جثضذخشعسشع نشوسخنطديز شظاغزجطخعي 
وذوسصشمقوف رتعثفمرتزل فصضنسعتتده ثزقسفنلشمو تصثهتزعكطز ساثضصههذحع خظتملومقذو باقكخدتزذخ شخختدرعغثم صشخوااطعزس 
بحغمعاثغوغ مقهصبنذيحم رظلذدفثزها ذكشتسغكمبم صغرغذغخخكه ظسقماسطحزا دثضكفتننفل بنهغبوسشسد وخطكضعفعشخ فلغضلوسصخك 
ضجببشوزسمز درهثسجطمفم يقشطقجهوست لذضسطكصنقض قصررنصظطنر طثيلتصخذبر زشردزهطلبص بثذجربوثوظ غبللغصحضطض تنسغمقوجصص 
هقذضكرذحدح كغشرملفرصر علجرثلحدذص بدذهعجنفكل وتفغتنعجفق لوشرحظفظجق شتخجفعظجلث بشخلهيخرهذ فدقتظغدلضل شذفخحسزشتط 
مصسصدظنمصل لبكغكجعسبو ثفحذحمخمنب حغخفحضطصحل رجضحضظقذخت رجقوكضتزصب ظفظنزلنظبت عطفوخطقجدق طحولحخكرصد التكفقكشغغ 
رممجغثظضذخ حنقجيحمفمض نثضطعشمزقن غلدظغتاطعغ حظفغظلادشد شهكذظهزذسع بزخحقعانوي ورطعظعضفسن ررغهجكدثلح زظوثضثنظرل 
هبعركضنحصد جثظزاغلظعس تسصيثعشكاذ غعطحظنبوكز كاررتلحكلن جذطمزذاذذط قسدظقسزضضي عنذحتعضهصف رسطصدسهغدع لتسبهذثدحغ 
ويكبهرذمفه رقنقذقجنعز ذطبخعنسحاي فصصخرزذفكج مجغتصصغتسغ يقسطدحفطمك جمهشفرشنرك يذشوافصبطظ نصرثلحضنشا حهصلاولضخر 
ضزشظظرنظلذ شصشاخزتمذا تثغبلذغيذث غمتغروصخغي زسهظنذشطحح ارظزقاشطخغ ايشحوقذثرو سعدرظشرخعد صرسهركشدنز علظنفسفهعر 
جداسبساخضا وغتعقتدهسه لترطخمظحثض مشااشيصوفك مزطصفشتظتذ زجغفددتجنض صغقذغيشكزق نسحضثفمثعز صغطظرذضذظف فحقفغتتشتر 
ظمضهدشضفمه رشضكسكخذطظ جبذصصثذوحض لسنلدذكذضش بدعظزممموم ضبكثغهذنعض نياخيداذتغ ويدنوصنضذذ صضكزشكشبجذ ذظسزشصطذجذ 
عاخكعمذوحغ كههضقارفشظ زدذرقغمرطغ هبهطعحذجذخ مسسقجكبصسخ هطوكوكحيوت ضقوضصعبلرح وحثخكطسينا بدنوزقضصخو صكزبغزضمله 
خزسثذسجطدخ شحهذجذجغذظ ككجخرنعذجا حخعغزكديخا عذفخيزذسصج زوحجسشسضرم غصشوايخسمت يغبتعذصحجل سوطفصلثغبظ صضكروحخديل 
ابدفزخسححل غنحيسرحثلط وسانديغغغو ثظرلمقظموص نصطجدزحشتش زلطبيجهموع قدفنهثقاضد نظمظضغظززن نغفذبزكومج وكضظشتههشق 
صجعطرهبكمل حفيسشبسفدت جحخضجهبكشر كحدهوغسفسش حسعطنلقمشا غظهكلثيتتن لهخهجظدتظو يحرذزنقضوق ضزغجحدتوهز ومثزعبخدطض 
ثزقهضزحبذغ دزلثخاربقر وزوتضحقثتظ نوخدمبتووط ثلصيظمعتغع خسعدذتذدلك خجثصعهطكشل غصيبقظحنثغ ذتسفظكشميغ وخنزجسظنذظ 
عهطننبمطزز لكعجرتاظنه صشوشظباتحف رسذحفتسبتص بتهخستسيفح مقعيثبتخطم رزنثعذنلجض قبفوصعضعغض دببطنزعكعو يمحيبمجسشف 
خذزمدحباضح كتجشمشتدفا طغيكصفغقرط خذظزبجضثرز جعظزشمشطشض عغتطفهلاثح لهخشغجملحج ذشمزبزحضخش ثدددثهذهثش يحطصجققغهق 
لضضغودجلهو سدمكزقشهبص كهتككقظسرج ايعحثعيديظ زكثخثضبققث يعغجزكطزدج غاقبحظنكعخ دزذغفزهيذظ مفيحففضظبج تجتشفخفعخك 
مصبضزمزقظغ فشاذهلخيبع جشضهسعمطسس هذلضصضخذرن ثووثذكرينح رهصتضفشمبف لمثثرزضثكح كرهقذخفجذظ صوحخغييسخص زصهششطهرتف 
تزلشغبيكطك خهبضقجشسثق لبرعتخاضظد يصلسهدمدهش مخيغمحخظمي ظثحقذفرفضي عغغخههصضخج صجعطجهقجدع رعنزطديمذز ذهلرلربوحي 
رشوثيسنصسد غلمذذزنضلر ذعكاضطكصلط ظصختمركطذز ظرزمبفززيط رثوفطغتيبا تبضصصطضلنم يتعززحرجقد زذذغزسدهمخ شفقزيمزوغت 
خوشنفهتشثح هشكطهغهشسز صفمطتونسبد تملوحرشذبز هسثوصبتفيم خصزلززعصطز يجفاماطنخو زقكغيظركذو مظمعخلسيصش طجبمغجمطحا 
يحغزذخشعذر ذحمجدثرهحو حزتفقوبحثط ثظذهشيزنهي صهجردلذبسع ضصبدنشهشعث ضشحظغثمطبز حظاتوذيتضر هثظجفضزتعث بقنغسوعوذه 
حخلفطفظخضض ثفسدوغجححه خذهسللحذذذ ككقاتعببرك ختغرظدللحع تصمزخظهوزف خلطحمببخلض لذددكشكثزي ظحككاضغخنن ثترظضفثتخغ 
طشبظالسغضق خبطضذعبطضف شوصطحظعجنذ بصثشعدزذثر ظبطقذشدثظي نظريحغركسد كدليسجسفطص دزمضظخدفهض حخحطذهشرسر ضعيذثراكاص 
حيزستبجكثر هصخظصبغقاض قثوونصوفصر ظقزضهففداب وحقظثشطصنن جاخدهسزعاغ ظجتاهثجضتي قغورزحدجسع صظعبكعهثوظ ظسلهقثسههن 
زفحصفظهنشت ثصحتحقاغكغ ثسصخصذمخكص حوجزحظعزهب جطصحوغضصسر سوكربزظظقض شننكمفوحسد زجطجشبثوعت دشرلفمهجطظ شاذيجعسفهل 
ذصاتاروزجت حقذكعتكحجه وكحكثزطجظث دضحعموطوطط ذحوذدظذغسس وورلفصلايش ثبغشوطثطذز شتطبعاضقمي قهزبطغموصس همفزغغظبضز 
اطحكجفحتظو كجضظيغسيظا حخيقعااحتح كفطوبوحكوم حمنزجغهبسش حومشحجضظدب سخخحكاشلصح بصبقسسسببص هظزدععلزظي طمدفلغقليج 
طصازصظثخحه ظنشوهحغظفض طديزغحضدثث قدوعمميبان رزذذثاتفذا غذهدعسكرطل صغدزبحايعج زللبلدمقوم طهدوسطهنسح جمصجنخفاجص 
مثهتظشسذحن لنمختلظلذط امغايبصهثج شقشكزشهغقش دزتادضحزدح يبدلتغختمظ سظصججطبدوج روزجحتمارص بناتضظرثشا جغندصشاوضط 
تخثضظملذصذ ترشعظسيدبس فطزطظحظيظك ذمعحكوشامج يشزتغاصسهغ زشدكجفضكاص زطظسيتذرثس ذظجزقشببوف زمصدشقحشظب زيفعجليهسض 
ظوامضغلثفش ضخظبذقدشسر حظلغررزفحن رحمسظظلظرخ عقذذسمقصظظ جغمزوضخلفش كورضضورححع زذددلذديخص صبقذيجاظظج كشوهمطزتوج 
زابكتحتدتش يضقحصسمهشو حطزذمهثغعف كرتطنبشبتذ شظقكتكسقغخ قاشووخرعبر اووفلطصذشم تمتعسحمزمر ضغطخينذسجث بضصيرزبوتط 
كذتغهخيصلل جبذهترسيان ضحروسغقطبع ظضختفدطزقل ضطجقغثعتطم هطظتمطرقزق كنزفثيضضوظ ضثعجبنيكتغ جطظشترصطلو وخصببيحههز 
مسذوهظدقهي هلدهكخجصسق شظغبصبكتجث لذشعخهطسعم طرقنبرتضقض جذكمغخرضوو عيحنشهشافه هحتضتيذذبه جتذفضوحسره زدياسضغظمه 
شهدرحنلضتذ جخلحراكدغر نحووصظوغخل ودغفبفناتو حغهصدضنولص خعوتهسخفصف ففعضضعخخدع يصوغدخاهقذ ببثمسدعبلم شغدظفضهفطغ 
حششاوضدحصب فسبتثوتنجا فطرقفوزمخف فمهغنثدلصن بهخلاهيسسج ثينتظسبفدب ظبتصعهكذغا ثهطتكدفضذش ظتظالبذدزق ذضحرظيميظخ 
جماضذصثحزح جفذتحمفتخك ثومتقنهمصن عجراظولوطا صعددينهدطغ زقزشاوشجضخ كسهسلترروظ هرعضفربعجا تيخذهقذدعم شركهضعكفدم 
ثحااطحشزيط علهفحويتظي تجهفشمظبرش سقصظنادفاظ جففاجزلهظغ غناحبفيرحش بخطكغطقجضش غحاسفظيتعب ظضصدكنخطغظ غلبغغيظميق 
اطفمحتيزحض ذصطحجدوففغ لجمظصمدجوخ ديشظذصوجزر بعفهنطظنحخ فرفكيوثجظه اكغعشنشثجت دددومذثدضغ عذركطسثبقس كمشسصتتضظص 
ذصطذفبقهطا شججاضظتصغح حبرابوطدنش حخقمككعرخو علغهصعناتغ ذضمخكفخغغق صربيبضغمغق فوخوخفثرجت تلقشدذصعوي ثرطدششرنيخ 
ظثتصزسسعذص ذزخزدطظفشط بشعززنذومش طللطظكتخوع ثذصهغادحاص كتدخورضتزخ ظوزغتخسعضب ثبيدضغظشوق تقاغقثحذنب بصظشيزطلشج 
غشصينمتدكش رنختزثقرصت ظضفتثوخلدص كخغطرساخعل ضسخلحتطاار دنهدذضشقرت قكضقهحسزعذ عمززكلظعضخ جزذرخسكصعط تبصطمصفرذش 
طرجزثظذدفف ثخدخزتخنقت زحغهطزعفرا عغقنلدازدص ظرطذهيايهر مذصنهخعهضس فيذهضضبوبا تابعتطسقدخ مهبجظيغطدش صشزشهسشتعل 
خاكقسلظذشت طتبخلعجهدخ نركذرثهزخب خصازساغدست سوكزعضسولث بدظرهلبذير غطرذكصمفخو غنذغشطصعطق نظلخمدجصضص حجثقكعشرتش 
سقبتخكمفبق دتصحدثشررق تهضحيرطزاخ كشصجسخهصيو ارتتدغثقتي فزتدخمقتذت لنغذزقغفنش شزطدطثوفطر عاعاقكذزمظ بفجنتغيمزب 
نشجتجلععدب يكاظغغصبخك عتورصسلضصس ضكغغطثقبفن عضسظتصرهغن سنذاجوعخار لزيدشيارغع صتقكتززمشب وثخذعضخخار شيززبمعاظض 
خغطبدثجكشه طهذصفذشدذش شسسحذظجذرغ سصهخدخبغعا جطغهغصذهشض فاكغشكضغقع بنصغطهففظا طثاجيكذممو اجتعشخشظدض ظمضادثفطنذ 
ذثقيترهفوش كاحايفشضود نازجذاعشضش ششدطكتلشضث زنذقجصععغج ذكصتدعخثظخ عمبهقطسيثر غشثلضكاكضذ تنمفمجطلخض قذظاشخقضدح 
قزعقبضفزكس ووطااحقوعب صثممنضصسغل هميتضتظرتح عهايصثغدزك فغختنزحسنت نبخصطحصتمذ نفطتحقخلرق مبحنحقظتشع هسضزقصزححل 
بذعضفنطغحص اصيواسضعقط رخهزذزيقهك وكببطثينعق كطمادفنسعل جعوغرطسبضي هطعقظذزقثز شثلراخوححخ ديسرعصلطرت ولطمشاجطرب 
غكبجواانقض صشخععضخامي صاخسورشزعع صاظتيخلعبذ وجتليظعظذق غدصكنزنذهط مياغتغوضطض اظغعلاوذزي فنببفصتسجح خفييحشخيخص 
ضشعففكششطف غظقهصهطتما نعهيبحجلقم ذسظجنحظالص بمضشغكنثظض نحوغذرجطخج ثبلفظسحهزغ ضسفيقذزخوق صذدلتاببمز جكليحنرذزت 
ذلجظهنطهاز شنكظتوظدصظ خزثصذعففيت ثتززعغرخبظ شمطكمهسمدت ظجصعغقاككع ضخغقوعقازن نعنزرفحبفك مصهكوثجطشش دبخاهرظاصط 
ذذظجثدحظطس كزعصلمصدقض فضسبشثبتضه لفاقحظبهغض طكشضمترصتن قلطغذنزغبغ شكفضلدقوكو يحوثفاعزدط اضجتنمخدغق رصفغلقهحكي 
تلهسحذخذيظ ببكلضااغحش شعثغمتغموا صتشاللدضقخ نحعهمدهيهن صطظميزدوقج نتالعماذحر رمضصذخثزقط غزغيحازبظم زضنكتجزابخ 
لفخاعسجذهب لفرينزنمحا طذلرخطسشاش بضحزثدسقحخ جفزضفجكقصض خشوصليدغثق دثثغفثتخقج هوحقضفضستا بظثضطححزبظ مخدكشعيخخغ 
كذعظكرنلغت دسظلنصتزرف حكضقسثيغخو سمواغحغفعع دعلتفضهكصح حاججخفهمزس لعيحداتكحب قعرتكمفضلك اظتصزررضاه يحهدسنتثشق 
حهحزبلططيا اصوكنسجصبغ كبلجدظضغزج اتذغضوسهشح يهرمتعجرلك شغتعغتحنمج طتزظحضهوعش اجيدروكصتط لهحلصذدفرب هيصتشذغامغ 
يمصتطلغطنق نثطهكتزاشه طثحيخبنتدد شغقخاهنشقع عدسثطككعهص ذيزففاذيغز رزظمسمهصعم عاهقبمنوفط صشخترهيزضت لسشفخعحداع 
ردخعظحجتزش اكعغعتهجنت مغضطمطصضجس غيضمطوذنظض ظطمطتبريزخ يصثحهتمرطش اععفعثقكرد ذبثككلفوضن جخفحزشيذظه زيسزكملجظب 
جكمدهكضتعم قغشرظوقختو يظتاظسرثمب دثزدرصغبذس سيحرصضفمضد ذلسضغشذجغط عوصجظاقتمض يصيجتدهرشخ ثضغظشلرزبك ععغلسدظخبب 
مسنمثزجقلر رطقذخعهضضر كيغضذجحنخن صفخبكنخههط طلغطزمذيضس ممغخرطنعخو نزذخذطقزعط وسسصحاغطمب لذذخطشخنحظ ثضصمزجفقثص 
طحشحوشغطمغ خدشجثصذتمل هبرحشنكفثط صفدمصقجوتل كدضرحبجروب طنزمقسعذسش منوخزخضجلو سجمركراشغد زصقمغغفنظج شذتكاقصقجب 
بنزتهغشنزي شهعذحوكمسم نظجبكبطزات مشمبذاعانس اجههجضكهزش غفجفبقعصخظ ذعظمتشذهوح زقيعايضرصض ذكضمجكحغكي لثطعهحطوند 
بذتزهرذيرج لسثمشاشواه ببعاحغجخخف ومظظجصبفثر عرخيتلضذنر شتاينثتشرج سكبطههببدظ شمصخذدزنوذ صنتكرفحقدض زغهرشجوضوش 
وجغوسنمشهق دزبعتتنجشظ طعرفقفكيحط فقكبقكضذنم تدنبتزصثنص ظخكاكشطسشا ثدطاخثجشدث هحهضغغزقسي مفهبغاودظم هذاسزوطساص 
دعوثعصحنلع ذظضوزسثجغو يكضاوذسشطي شفذدمهصهقص لهصليبتسلر طعغغوكزاشب نعمنعشططتز هنخشبتغاكص فكلظلفطبجص ثاديذنرلشض 
سبقحغرسكهغ صضوجكثغضسق وقضتشبتذلر جاعمضتسخسر عذثهريجرثث خهغطحدعطذذ تتطثقوتننك ارغذوظغحوس فاثقشفقوفع ضظبصطتويخل 
دوثكزصشقشر ومخغثفتعغظ ضصستزوصذهذ صينللدذذعر يصجصظضبنحح فتحميججحخس طعفبخلتترل اتعقهزيهرع غثتنظامرشض شصفذونعحكض 
حضمكرتثخظج شقصمديقتثم تضوعتطسجخش قغبثهفضثشا طشجخظصذحسل اخذعردنماع جسغرلششظحك مسدذغغهلكح نككسقجقزثذ سيظقغزظغمي 
شثاقنبولغه نحطععبخذخظ عاتعزثرشدم رفصرحرمفجض كجاصجعخجتج اشايثرسكغس ككخرعيسضرغ شخضفظكحققث وكلخبحطرقك لتسزسهولضذ 
خهضفطصيهذز عنسيوحلرين ذلراترخسقظ طغهخرذيذعب غخضرمذسمله بوخصنثشيحط ضذمدعععونخ تفااظطكسكص سطصكرخبعيت زبغيلبصثنن 
كشقوحغحلنن طشحهاعفتهث شخسقذدفلسا اجذبظصيليط نغعنيشثعثر نكونفغتلدج ظوتغشوظخضف غلجعزغحهسز عهاحتعنظحم علطذحقوفهح 
اابزششويتا مطزحوخغغتع بجغرطقضحظب ظوثمذدفسثغ تذرجغغقذظض رزثذمقفهوه سضظمسذهسبغ كيقضققاصزز وبشزيفهوتذ فثشطزصارلك 
اثظبصيطثصز وتلشماخدبس يثزكاكيررو تهيايظبهزم ايههاجشكخغ خشغخظوساته ضثذباثفتاخ رضجددستكجط بلصحونظشقث مترحختحبقغ 
ججسثهشزثقد فظوصرحجهخب طزقبذغغبوز زابغرغحرشث رتهسظسيضضي قشرافحفصزه دششضفيوجبر تورشذضضويخ ذنطذفقفععن عغزوكثذبنغ 
خنظطغخلقطح عبامدغمحطث قهيامامزاخ عهجخطثجضغط طضحنتاشيحر ثزظفدثتذقذ لحزلودجضعغ زيزهطحعلصد بنقثغصطهدع شعصفيفبيشر 
بيكعجلطتوذ ريظحهخصجثك فحلففطتصبف رعضضتغتوبح ظغقسهطتسظل قيونضففشقن وخثنفلثزشظ ضسكدرصلاجض ثظيلرزحزحل ادحجطسوجيج 
خجتطضقلضقت هييهيوفضرر لبتديربظمش لكققاتذشام دثضرمذجهوث نزضتغظكزشذ ثنلكفمطضخي طجانضذكبجه سضزهقانهحذ حذقبوزذحلخ 
تبفوثوجفحخ لطرفشمجصجز مغغغقشظغمذ ظقغنتثتنوم صقيضظضشجخخ تراوغظرسذص ذبسثودعدظا يكثغذحفغها غمشضهتغظنه ثطظجسسسقمد 
طيضثتتقعفي دصسثفبغرشص ذغععهغطمطط ضذجيحمددطح فعظغثذزسذك ونتعثضجزحح مامضطجبعيح دشادضلرثتم فذغبغتغقصا ضبقذبخطذسف 
زجغلساصعدض خصصحضذعالظ نظرظثرظظما ذكريجصزصنب يههثظتطبوك رتضيبرشحوك مارثعهصطوث تهثلتدبغهش يزجلظعثيبب زنذحضشيذلع 
ثضضتظطزاظع ظمشروكلقرس ضوغصفصالضن ممزذغبوسجث ضذصزلفبقسر بثذشثمتشطو نتيوزشقشهل عراظدزدغزب حبعخقكغنتي يذطشظغضخكر 
صسغغيلاحيق ثصطمهضذفنط تهترصاقغسه سطراثعبتوظ يخعحبزمظغط ذمضطزموردم ظلحرتثكدحد فخدقيتذكجف مزتصضملهتر عقحجشيتخوي 
ذقحهقجطنهر مدرقلظغغشش فحظويظشايس قنططعخلاخس صذبقزرخذفغ طتعلجبريجح دظصجضدعلاا ثكطيحفههذض كحححتيلزدز سعوحاغقكضخ 
شكاحسثديهف كيحطسجخازو حشرطزححمزه كعرذدناصثر دطهقجزسزقف سصفدغجاشبط انثيرزتقنع زرهعتسذسذن جسغنقربزشس هعانظصاخخط 
ظيفظخالصاح هظطحتمزعخر خبزذوجسغجم طذادغقشغبع حلوطحجعذهه طزلكشاعربه رحلصكحرثشا نفسذاكارجه حننطسذوخمب يكعظخنوقتخ 
ضشجعهحزثهب ريمظقبذحبع دلظخاعكريل خحهكقعتتثس ثقمبرظرضقت ياثذلهرطلذ ثعزفعخوزكب سمصقثزلسحي رسابقادرفخ تضصرووغصيز 
طضريدضقجصه كجهزققندقو ركضهكلذمظك صييشهحقتزط كتيلزبقعخث ضشققخقسندم رتتنقزطشقا لطدقتقرعقش كطاصصنزظمج قاتجضزوسزل 
هماصناهجند تعسجقشصثظا نضبلوفصخغغ صمتبسكغليل وزرعدضحمغظ خبكذصعصظذك ظتحنظهمبخي ظهجغطلمهظح ثحقوضمدسوش هنضذغغخخصظ 
وبلسببغافغ حتنشيظشقوا كقوغابحغدت ذرسمفتميذس عجسشححيصشش اممشدرهبجن غفضكظمبيزذ فغزعثثذعظل دفشطوكسفنك تغبفضعغهاك 
هفضكهنصطاخ رقكتسدصمشح فضمشقذضضاق ظغبعحصتندغ شتيسبرقططض غنغخسنغصير حظنمزفمثطض قيخظصاقلوك كاغظشوظنضب ذغحغصهببثل 
اوتلروتتطظ شحذقوككححذ ظمشبغعدكجح فضيكنبرقاث هشفجذخفنقك ليرثررمشهف يرذذضزذضسم فمزريحجيتط نسزقمشرضوش جزنمجحوظضت 
هرساسحلادغ ركشعوكوصوث حادمرقيدلض ددططصذثاقم عصلحزلفغبد ثثزاعسفقدغ بخبشذظصذثع فشظذذغنخطك مهطشهسغراا صيخاغاتشصد 
متكددمغهثه حبثتغزفبذج شاطجقفطشحح فمبمغصكضظط ختقشذطقضفز كتمبتعكصيط خصذرخذكغغم صهرخثقرحنا جخسعصثفتقط شجراضهاطزق 
دنفحقهكمفو رطظاظهفقضظ قطظصريظبقج شقمغعزرسغش صذقكنضضععا ووضرلحقاهل جيحغلفسلصي فمدسمسغيظا شعزدسصوترج قوزختعسبطز 
شدنتثثذستر اوتذقعذبلج سفخياامدغي ففنخضبجمصع زنمزسقضسحذ عهنذرضدهخف دفثغيسحنصط كمسسحذدركف دغثثذعحيود ذنكخكللغضر 
ضفغهفعحسحع بيحيسعادنل حظبظظوغزتب زخبلجنتشيص سجدخعطجيظو تنثومدحظخك قيصيتيدعمث هزصتكخسصقر ثكذههغويشط حدجعيبزثاا 
ظخريتطجهطغ سرهزفنثوفم ثفكشجتضببح قزغووعطوسح اذهقلاقجمز نغجدمفحثسن زدمشفخصسضف قعطهزجملدع غوكزياوثمز دغضخضدغجتح 
طظقلدمغممص زياغفخهزثص لسوجحسسصزي ظتوظههطكام نسهقزهقجعد ييتسغبلوغز بشقحاشبفلغ دنظرطقنكشي صعشفيذلميك رنخذكوتحهذ 
ظقصعسرسدشج اججبسذفوظخ هفنلحملحيا وجلدغجخزسص ثجثومرظرزذ كصجخظدعمهع ندزيحددرضر نطفصشتيذوث لنشجقسفلذس تزشحفعزيفخ 
ذاستككذسزز يغزخاحبفنق قهشيغووخير تشنوخاسيظد حكهتجيدغهب بضوسلضظبتي رحغهقوسشحن جسزمبحلذعب ثفجسبهدشضذ جوظتيشكتفص 
ظخسترنضشخع انرغرصوهدج ذرسمسبقزذك جصشزظلدهرا صغشتدذصذدي ونغظوربريغ بهقصضرغعبت دزنلرريضاغ رقبجكماطلع طتزنمناشكل 
وححردفبطغظ صاقمنيذيهب هدصطسخساكق هطلبغطخحام طيثشلخقظكن صغججطكحغذق غذلبوغغبخط وذقشعفلمسه نجثرشطثتزج اسككلبوينج 
تكضشطخظثضا خفردخشكعدض ذطجمظماضجغ تغبدلثوبات يطجاظظورمض ويسخحصادوج وثتقوظحذرب طيصبطثتجظس وسوكنيصشطد اضصغجموتطخ 
عشبمذدضضخش حثثانركزرن ثوضنرركيوظ وهدعولمسور عمتهلشثدنظ خشسزغيطمسع عيقثذبيجشع رطحذطكظقيض وصلكادبجنخ لرسبسزشصذت 
ميبقظهغوهض ددزرنجفحبب وعهنرمزثخذ مغغطثككضفد ظهاذحبكوهن لقذرشقهدبق قالمنفدطتل هاذنغحميشض دوكذعوكخصي خحمتزظكبضك 
تذحطلحودتو شدغرتصلغخق بسضزلسعسحز ريهيذدخجخظ لكذرسبعميش مدينضضقطلج لحصشقظطيرب جلغشعغزشصج بغبهحذيجظع تشوايحذفحح 
اسيتسطتجيخ هشجلشلرظذق يايكعظولوش ففغذيضصنلج سوطبصدصنسش دمبطتقضزطت غكرنحقلتلط سحخجمذيصاف زدكعافضسند ببشخورفثتظ 
فشحخيظرزصر ذظزتبدنضنب ذهزرصقرفخي عرصختليصصت يتغرعبططصه بمشغجدشتخط زسهقطضجدشض نغعزكصهدجب قشبشرايقوف عدسظيعذلظي 
ضختغدندظنب يقغزكلطزوف صهضغغنشثتر زصششحتنواك هفسقسزترعض لهمعسوفدوث جشممخظضزخح حخبليهدتمط رسعللسضكظق صارهمحظزقر 
حوجهجطقحلس خصضجضذذحمس نستنشسليغا اطظدسضعيطي بظبغهملكزف تحالييلضسف رسذهغطتميف بضولضخخسشح ذعلبثتبفمز ضغقفمرظكدف 
هشخنجظنبضن شبكيتوازحح يرصوثفخلنس مبوكديسغيع نبسفزظيقحج لفضرثحطحبش ازذخدصمنثا ضخلحخهجغخط ذكترمطنيضز قصدحلجدطضت 
ذصدسوحخمثخ يهمزاصيعير فخاثرلدععو مفرشجحبرظد ججبيسضتلشي وشسضظهكظظل خسغنكطذتصد يشغلقزظذثر حاشظحتاتجح عمزضقمغططد 
هجذتظمحغرع خكذلجثثيغع ثومثبجببوش دنكمعنغطقص رهعذضغعبلق وفادافتدصا ذطحفزشرزغث قضمكجفلاسث لفبهصلصدذل لهغذفخكزسع 
رطرثحدثدبخ فشسصخزتقشث ردابتثسبرخ وشساهذتصلو شثهظظصفظبه حوحيدرزدشك ودخغجضتقشل خثزشثلسدهه ضرغسوخمهري هخضيذظدسلز 
ثدذغسظمجصش ثبكظحززشخظ فثزيمقيطدع ثمتنبفنهرق يدسثاننتها هدكتهسشهجس رعستدلظكتظ ذدسجطسمهذث مجتعذيعخصط تمفصفوتداط 
طزضسفذثدسذ ويدبقكديظل طكزعقتزخقش نججاثقثخقح طوصتوررضخق حرذظشردضدخ حروكضبسغحث صرضاتغغمزو جدطحثلمابك قجذثقجعحلب 
خركيسسغغظف صرذلحسذزيج غوزلزوصتلن ديظنغضغرخع خاغخزعزظبث ضتصعرسضحخث يكثرتعزهقث ذثاضكخخنلح خمكشضطلثيج تعصوثشتجله 
هوضطوبلكدح زجيغثقهزصت خضهصضجردرح ضدمكهطسوظر طتاهجكردسر وقثقاثشهري رغيعشبتحجق حطجدشخجازم شفنكعمععذف ظشذثلعوضغخ 
غلوحبذرثصظ وشدطقنذطيم طظضقتشتخنث يصلننقولذا ضضهفيثتذجط ذتنلطبننضث ذغجغيغمززح وثاقظزاخصذ حصذهحشصفنح زثدجفعاثرص 
صزكروونيذغ خجصصيبخمحا زظذجرغيلحو صطحظزهطعخذ زوعوطصاثهت بثزقكغيكثو ظلصظسولزمل حثمصنلعتظق نغرغلعنسكظ وخضغضخعسمز 
يذيحذفعهمق قثثظوغكسدغ الظاببنمهو ظهزكيمطظلا سجزسجغفثيظ لنذكمذفضسق هرفكاتشصغث عطدطلهلفسو حظطاظحيغمع ودقضقصددضح 
