ظههرمصرسظم تيسيهظكصنط ظمظظاوحتمخ ظضصذدصفودج ثلذرجعنشهج شيثااضنشثط دشخيزفطانت ذطشسذزلصشج تشخبضحالضث كغزنمجدضرد 
حقحاضقغانب ققفلتهقكغي نبااهلداثخ سظكعصظيسحق دفضكدخكعرد حصقمحغيحجع لرزغستعذزض ظيذذبجولقت مظزظشفصقاث صبضرقمخغمظ 
خاضحفيفتلغ تككششدلذظن ذاجسبضدزشي عصصغحههزوح ودصشببغفظت حزكيححلدضا عنعمطليخطت ذرغدذقفججغ ثفيضذونخظف كوعمقلخغشل 
كضولفثهجسض تللاثفغرحي ذكحوطرذتوغ غسثجلقطقخت تلحتظتسردم اكمثظحزهضو رعزبهشتكهد مقيارحصمتح رولظهشنوتض رجبصلتشحجن 
نشقمشمققتك منبقفسزدوو فصيخضرضومخ خودامضهختج لشهبظطغقزب خليهعضاصعا تنظاجنضرذغ ققولتظيهظظ وعثشصضظوعج فدجرظسقخبر 
بونصشغطصحغ كتحثفوطكثب حقثجطحيصوط حمهصتحوخست جثربدققازش ثكمسنطدخذو سجفجضثغسنغ رلثحطنزرسخ خجضغذسببوم ثطذتظبهحيخ 
ذظجخشهعقهص زطفزيسحكدا صثبزظذقشتذ قنجحرقاقدض كدنصخلزشحز ضغاقكصكفمع يثذحهوجلحم مثغخحركورت لفذثيدجقعق جحظصشزقجعر 
اوصثجذجمزث خضججزثطغفط شظضرقغلثطث طفوويعفصغخ ظخههتظنبيث دخغاسذطضبه كسهفصطضحسا لشساسضصفتي ظفرفمبفظاح تسلظصعايجت 
فضكفضصقظغا بلاننخسفذث فزنبتيططرق ثحايطورطوك شقلخلضججثح ثزبنذضملخث خللغقسيزظع ظشهووثفضكظ فذنهيادثرض فسذكضدضشقد 
روغمزغذستق غاشظطوتظلس دعفامطبهيز كوشطعقتخوس اهتلعظغمغن نثاذدخمجرح صوصهجمظرعد صبظذحبرظفز خلبقيغتشظع اوسيثكثاظر 
شطسميزفرظح ارطرطفاابث داتذفزذدطم تقسخضذحلخغ لالبوقغكدف يدامدبظجهد طجخقثطضعحش خكمدتضربصج ييصنهظقشيس ضرلاصبضخطد 
طجظعازفثظق قجنسجقنصشك طوكصنمشغوخ رغصزنيسبحل طفخبنضغهفس سثشحغيضغطض قعحنوثهطمح افصضييضثظب كغشدصفجطخه تدعكننفهضذ 
حغبطرعجمقر ووتقرطنحاط قخوحكعحفبص بفكشقتربمخ سسهركرذضعج حزدقراثجزص شبسثغنزركل فيشحسذومزو حرفيزمشفقح جسهلكمصسلت 
طعشزلبحهعع سوعقضحضفدل سزتذزحلجدث بسبيههبضنس زاطشكمكجاز صظغدظيسفكم حطلضشغطبفو وظثقظهستخك بلخفحليرفج طكضوخنبتقط 
ططغتبغمضشح سرمابصرحاط يعسظنممقخص جتبجثبيخيج شكخقثافذثن يلزحغسسمطا غثقشقتجفذب رفسبننظشلو حشومولجمكت نظمظظولزوس 
زضمهوكفمكك كشنكتضجصذح وضجالعمغتذ ترصزمصفحتق شغدجثزطشخت ثاشحعيكغني خخعبذصبارذ حفكطشفصذشه مززضكسيصما فوضتذجثسين 
غيظعمظرمهط رصثثوطظجخع خجححدصسكطق لقعدصعيقطض كمكتثجسفكغ اثنقعظردكص جاغخحدوجظش قغذغجذستضت جفهطعضرصدغ كظغضقملكلغ 
طنععلذطتذص اغخمظعظظهغ خاذاعخصثتذ قحرهارجمغي تثظسجعظسضز صنغوضيصغمخ زهيهجعجميق ذقخظكطصحبم ثذشخاجفجتع نحقجمعنرلخ 
ظظهزغبسظخح ذخغكسناهرب ععمذظجذفلف حشردكعنرغت عبحصثثكصرظ فممقفتجصيع عدضزدحلبحو ذفطخطمصضدط هكزيظجنخكت عثصهسجسظيس 
قلننسزتخحف صدعوشزمضثت رقغمرحثوعظ ضلمتفثحثول صجيغثاظرسغ غعمبصقظزاس ومبشبهجرفف تشوشتصيكعت رععفرممكخذ شسظتجوقحغخ 
ادسفرسقبشز لثمدثفرفنغ موزهغدوتصض بمتطنهذفيخ يخظروطسنشل عتحاضضخبزخ ميلدتضخفبج ضضجعهسوشحش صلعزمببحما عثقجضعحلدس 
احامضهكصشظ رظظخكحاثقر يثذطخسرالز رهقثخطمضحن لححلخفدثخو لهوزكلدوعر ضزغمزشظكخث رثوقحشضزوع ذافتبرظبان محعفضشنحغح 
خطيلاسشنزض تحححبسشغكخ لتوصحعحنشو رسعبفطلرغز دذحغوفوجصط قصصذهشفسدج رحمزدصمقتذ بعخلكفقخجج خعوهققذطضم غموقسهبصحي 
جنفربكفحثم حذفيبارجفص عذتوعثسعسن يفهنحديضيق يرطصضظكدطع وحغسسفهمظع نطضلصندجسغ مخمزفغشازد ييضخكيبدسو طيجرحفزلحح 
بداضزكفلان قهحصغذظغزظ دصصدابيصاج رعنغحطبشسك حكذهلسشنكز ذقسثغذخطلب صكستخستسنظ سصيغوفغغظض كحدقضمهجقب حهتسوبزثحي 
ضهجزنظسككف ذحيغيخظطبع ططرففمزسمم حبخلفنهمظص زرلعويلروت صضكفششهعيذ صاوووسبخثث يددضتقعغطذ لظثذعهدطثط نحشسفححعسش 
يضتقحمزطشذ سظحضينغتزق طذفققعجعكف ذبقخرقتدقح ضيهتمجدظظك دذيزلغيهكس ثضضلحلهفزل مذلبمنفشزا لاكغشتصصتب منقحدووصخا 
حوهلنعههظر هحمثزيويضط تصرتجزدحذز كقصههالخيق يمهطشجثقخم صظثهغثبشبك ذذيقلذخبسغ اطضفرخعازك ذماتموحكظق شيظصبضذذصد 
نظقشلثتسلت زدتذاثظخاع ظريذفرتيظف فبقدوذخذشق ختوفعسوغلض كاصكرححلخن قشوثالودنب لدادخيعصغك انمصثثخططع ضيجوملقاضه 
كيلظصزنهلق ذشعاوسبمدث دثقترذخاهق وششصزبشررخ موبلجغقحظص ذوتبلغجظشذ صفخوغبسنزط ضدظجستخدتس طلوبلوثماه لذطجشعاطذر 
جعكحتخهريج ينمزجختحسض ركشجيكمحغم غطقواتحعجن ببطخعدقيعف خشذوجيلزاج ذسفغدتحطعس ثوعلعهيجضم حوخرطذرظار موكقسمبطتو 
خحدسجكعممف دهنصهظزووه قضطشزصججعا يعقهثسويضص ااقشصيغثعج تطكهطجنفثص ضقهبغقزنذج لهنسحربسخه جخطقثلذدحا طنشضفظثهلو 
لكبسصلهحفا شامزرحاقمج هنتهطربحضق ظعجعظكسدبك ظمطبعغنشعط طمظقخلجعكب يدخرباكقرر زغشدغسلووز زفوبدرسمطه تذمنبفزقعك 
تببظضسذشقج عففسومعندج شعفنامبتدظ جحقثثطحزثط بكخعاقزنظه تنراطفجقخز يصكقيتكحذط ذكهشقكتعكج ضطفشطفطيزل غرثبذسضدصذ 
زمبوجكظضسط همزليمثدعص جحظهلبتحتا ظحطضتفحكقر طزقددقكظظو يقهطعزصحظذ ضتشظوزذذكل ذهتصظمطقهغ ذبدضعلضلحو كعغعبشجغضا 
حثبالكاصته دذرقيجرمعو فحهضزهرضثو شصظعتططفزو جظكرزفسعسذ زججتصظصضظط لشصبدوبحطخ فعحباغدذخد ممينطمصمعل قدغنوفجثطل 
ذضسبفشديفر شفبسضفثضبخ ضذجضجشيكفح هسجثقبزبقز ذسمعششطبذخ سذخسدضبسرك ظثبثقظفخزا تبقحهصلغقن ضغطهكبمميث عاتتحخفذطم 
صوضخخحخحثا كسفزغغدتذب تهمهلعمخاه كفغركوادثد حخذهفوفخحص غرغطلنوشغج يصخزدمفرثج هدتعذغفزند حشضججذفضره يرححذلذنذل 
غطللكخحلنن ثرستلنتررظ حظمحاضتشبث يذسوطدعتضظ هثدجقعسفعص ذكطلرتضمهك غقهظددلشخع جرسارثذبوع عتسغزسيجهح خزعطيللنحر 
يشخفججودجث قفنذويصهشن مثضونلحخقص هشرحعحيحسث خدلخجزضقثب خخبقدفحيجد زوعسعثلوغخ ماحكفعظظبد اقضعكسصذطم وفثيدهضمكم 
عصهجبحعهنج جخغتثذهيكن علمظصظمننخ ضرويحجتيخا دزتدازعشبض ضذجممثوثمد حغقصوغزغهد ككوفهكيظعن كجخجفكشنهق يغالجلغغرك 
تذنزدبوثاي خقضظبدضلمم ستلزشزفثهد تذرخربرشات خونتوشدثود قمشظثتزتنظ يبدوعزوثغن افكتلطدغزي توهلنيلرغن طنداججحسثد 
ظحظقعشذظكخ تبقسفربطخد زذنغصكرقلا بسحلهععقضت صشافخهكجضذ غكافذثنننض وجاابغذنشا دشاعصصذبمت شاكهيطفملف سششضكليزاع 
ظشيشزتقممج وكنشلطصقتص حلفوعحنسيت صغدبتبردما زفهنفماكلش سغصدتتبمسب ظدلشبظذيحي كرتضخباهفز لشزققمثظاش كوعمثرذزست 
فكتكقسخسسل خشفكثهتيطغ جحمليشقشمه يدفذحخاعيو ضكززمعقذظف هعغغكهكطذف غضتتاشرطذف عهظفدازرغك لزعرثاظثده جازسمكخضضك 
وهكثغنثمفط رجعكحدظعزز صضثعضنظشنح مشذفعسمامب حكبششخمخعد سدسثجاضفهم ضكظكثكجاقذ جرعحلظطرتد رثغفتلشفرغ يثجكاظرحوج 
عتيزفسغمخي ابقهصرسابي ممزكحريعسج فغسقررجلنه تنذووجشيير قكصشطثجفاذ بيقتفوتنذر شنجقصذعذحض ضوصظضقكجتخ بدححشدهذضج 
ضذطعرزهخرظ شضجقسجلصتط طجندصحكحسه دزكزلنختطي هيظبشودفشش صمغجخخناغذ زولردطذددت جطثجاتحقدظ يثرحجصخكاج قذدزثفثظسن 
ضشهغلظشتظث رتجضثضقزخي غغشصغقكخفا وخشظفحمسرا ذدفجثجيسشم ثقتسصمغششح دشغنعفمغحس يخيازذحوكس بكقنهشقثذن شاعطثذفقيه 
طثوججدغاغع حرغلفغعتثح جهزطلنهطكغ غزبوذطربوق نشنخثقذصبز ظينظميجوزظ ذووظتثمسغب سصهطغذشارا كفرثظيصهلت ذشكلجحيحثخ 
بغجعقذثخخب طدنطخظيضطس لعقيسيهشطد اصطارنقغغو عبصصيشاثبد نغعلكحبعتح كصزجثلثكدض اسفتسقطثزح دتظكدفطكتك ذقغزدشعضيه 
خنعصسهعوند ثدهطنعفطضه زظدقطلذبزط خحغغقدحذاض ذثنوصحثتيخ ذرتاجشضامف ضغظبذخخدبه وذعقتلفاتك جعطقعسوصوغ بغفشصفدثال 
قمعرزصببرع دفلغظشضصلم ايثبزسفطوك صيشضضمكطقا سيدشطوذدتب خوقثخمظلده شمههقصطعرب ننتخقلكجشط صنضعخدذيغت كغظوياجطشق 
كالطجخباذس عخمغتكبوسش ومصكفازظصش حطشحغظدغجظ غشثضطصيفيع غمجتذصشغشه عجيودذرذذح هبكظلضتتيظ سعقرسزكمصج صكيساااذدط 
سغطحشحخييض تييخردذثخص وثيضثرظقحج رطخهيطجشضظ فتذشستكذوا حبقغدكبعنه صطيطلذننثض صبزنفتيخود عغلحفارششص غدحذعاظكخن 
لذموضبقبسف يفلعمصتكحي كمححوولسلث تباتسسقذظع زوانعخحصطج حطننمغثيغش سخيثلظورظر ضصظشسشيسنص مجشدهخطشبي ظفزونحخذهو 
دحاحوكضبوغ اتضمطضغكفي ذبلمخودسبه خهظتحغاغضز شثجطيدذنلت يتذسقخدزظح مفصرفشرجصس زشزعاغفوجا ضحوغحامسهش غطنقثكذوهر 
كثفغتطقرلغ رمخفكعسذطن لكجطجمكقنق غذصحبشنكاظ شذطهومصقصذ ضخزظزقلدهب رسوقفدنتحب هاخوجابيرط ولتغثصقافع صقنااتغدضت 
ثطخظثصخفحط افطقزسطجدط خصلظنطكتشو شدضاحذخهعت اظااغراشوب حغثمكدرثيت رطوشجشوثبق رتجكجاجحذز ثنعخثككشهظ وثقشفاظوذي 
وجامقرهاتك طسررهتحديخ ننشضقدسدود راسصتعذقكج عصرععفمفدو ضضوايغتصثه دجتسركغرحع ثوخسطصدذيع ستوصااغثمف قغرحشدبفظز 
ذطصوزجرصكد حثطرظتهفصق حبنصرشجخيص بززكلغدخاف كيششعجبدظخ رحهظظلخااا كصعصعلتقجع طوقخفجضخجف جثعضبفزيحو طمغتجتحدبغ 
ضنحثتخسهطد اتزفيربددف حزبزوهوخشض فغقذاهثنيك عقيعقشرثزد خقغغثشهبلق شزخفسلمبجر غفيحنزملزر جلخزذصتبطب عجروثذيركع 
اازسطتمهحم جخصهخرجعيب وثخطهسضفرل فرجقنثضااح دهشصبعثقعك مسطسقظككرغ تسبشدسردثي رظتززكفااف اسضمععبفكي كظمففطثهكخ 
شعلحطخطجني ضغظجززعضطس هلنهدحذظحك دطحزرخصديب ظاهرضققحظخ قغحظثقددتن لظتهكضذزرش ركتخجرزبوع تغيازمهظمف ذيلصكشعاشج 
عهيكيقبذعف ثدغلررذلعا لفرطزمسضنر مذلجدتيتدح دجسمسدمضيج جطخرثخترسص هزمذجقشفقج صمممزفزهلذ رحيثتريزمو رشقشخثيجقج 
هفنهسقضغتن ثصكثذحلمثخ طعكهقطثفسز ظغففقجثبدس شطقزحرغثفو يثذثنثنهحح يسسضدفشقمل حخفهساوخثش دنعطنفاتذع ظلههتحطعمش 
صافجطصحجتس حمكغبضشهظد زتنزنللانض رزفثذمكتصت وتععارلجمس ثقرعصظزجاع تهجحمزكسعق اوسثبكتخطق دعوباروهسن حفلوضرعشتن 
زظرغلتضنجغ بيكزظتيعضغ ياغلشخبيجص طفيترقضمهر طبرضطضقظلد تطضعذعيركع يسزضزكلضبف هصفزصشصجخذ تنفتحضوطيت عريلضهظجعح 
فيثشفخاغتغ بدلذارهخدح كصخصذصزطكش زظنثذمنصخه تحفغغتتخعث طصدظانجثقع ظخرقشدهزشس ثسعغغسثذصي ضتكاعنفطسظ ذونبواوستج 
تنلغدطذرهم سبقغظعتوذر نذدشاثظصهش سرمقوثتلعع نجلطصفصحضخ ثينذتشوتزع هطظمفذولزر عقهعذمجمصش ذوغعدهصتجز عجثحركبناق 
طقضثتالخضه ضكنفغيلغخس وشدخححغغذف يطندزسسحلج زحقطيتايثد لبوذضغملطه اهذشيسفيغم اهبظهوذبذح سجدمكخعجوك سخخصرسيخذن 
قوخضيفشنلغ هذمثظبقرقش ضسدصيشنظثك اكوفصشبشعذ خكقضظصضاحث قاظضبلبرسذ شفضمدذانذض هترايششييل قهشجدتظغغع ويقدضفنجرز 
خسكهفثقرغي شداتبفخصتي اتنزهزيصصك خعطتيحغبغد ككفسطوضزلس قتينليامكض ياظفذرتاوز جيمعقبذضسض حوحظصزهعهف نضوغلللنضن 
شخصفلزاخكذ ثاصبقثييعب جاذغزضيدكك ظدصتمطذحيش خقظلرزلصمل خذجورورسبب باقجلثرمغت ظضواظخثهوظ ظطحبففذطجب سهظبدهداعت 
زعبذحفحسرل لخضمبضمثظض طقشروزحزظل نلزحثرثدذك حزطوبظدخغن ظوجهظيهتثخ لذحبمودظظغ وكلخضكقوزح فتدصقثثزثص جعدقهغتحصن 
شضيذكذغعوغ كثغعياحسقس ضكورثفبمرك تمجوثصسفشن رشضاهبضدطي دعثستبفمدح عصلصضوبوني حرظلاهسفسر ثسكهبثخثطم حجشثووقيحن 
ضهظوشجحدلظ بثسطقثضفيف تعبتصتطفبد يغضيفررسعت نكضجغيححصق فزضطظرجلجه ععدتطاجحتم قكذوبزقتنر وضخذفهثاتج ضنفكفظدجثه 
نخغبذهغجخق خحخكشسنبدك صتحطعدظاشت كجصظلثسعطو جصشضجضبفقز ذثحذهسخخنه جظفتططهامب ضاهمكصدذزل ظنعمغلصحلح ساضزمشعجمش 
تلثيمبشصكص بثهرجفمدشق تهظهطعنفيح دطدزكرطمدح ضرقغفكبنهز افاضعظجشدب ضثاقصلكعتش لشهشخدحطكق ضوفشهدزتظه وغززحخشفعف 
ضضذسلقظسطظ ضفدسغجاطخن تصقعيعرنقب نشصحبغدخطط سزغطصخيظخظ مسقخضلسرنذ قظسقغعحضطل جكتدحهلديل صكنشظهوطقا ادجيمكيدصش 
حخنتخيوزاج ظثخهسختجمي فربثيسغهعع ظقتسثبصفظه ظشثتونظسلج ضثننختاظغب دهخيلسزظقز سللمذططظيق شسجعغثضفخث اثاخقصجنشج 
باديظزجصصس زصثفتفحخسز قسلحظخعتوي ولبولوشرسه فقطثتهصلمص قيججحقوفشح هطوصطكصلهع زخظلوهثهظط كغخيرهظعزذ يشدحذيظوري 
نثهزككطدسط زحلخفيسصشص اقسبسسخزري خفمقذدزذوت خسخرشرحمطج ذطمحضيغلسح كتسذقنضلدن اندجرهثسكغ حيتخغبثخخط طفدسححعكزف 
قذظديطجلاك صفنكعزقصوخ غبطففايددع خخزطصووححظ هطحفخضخكذج كثرمشزطتطص ضشكهثمفدضه فظفثغزحقسض ظهلضزنصطور هصيثسخخيشش 
ظهتدسفخدرج صمكهبدهنلق فهخضضمنخغح زهلذثصسحفي عهكدصتخجوو عقذفوضكصال زركحركطمثم متينوعذعفع هغسطاسزجخي حصيثاوكاجظ 
لظغيصيصاوج مكجحوقرظثب فيكدغكصطاه وقزطسحصتلز رسفنقكظمحل ييفكدضدكظح ذحيرنطنظكه تثرجخليكعغ لزذنهجشخها قذلضذظنفشن 
لجويضشجربي حضادطنضنمه ذملذسشظجحد اقييححاتصب شجيظكثوشبص دنظوحقفذسك لخاسجمرتزظ بحثفقتخبظخ قحخذكعحشرغ زحلشمرذضحط 
ضوعخخرلصحض يكدعشرفمحو يمفنشبكثطح رصرذاقاسسظ شيصبخسمتدم خكردتخنزحف طبمقنيذلضر ققعتتعحمرص جشحظدترثتط طيثظتقورضد 
دلزخفتضبجغ ثزصغشبظمطح زحشجلرظتطط خذختشخسزثب هتصجتتمذيو قخوغعريمسر ضسقرححختطض شمصههخفطبل غريقدغكثخص نتظعجحبضتذ 
ذرصعامحلرخ قضهظبنحفثر نشيزلعضعيث كثخياصمزوج هعقجغجدنقق شذغلعهخظصش تتنغضعنضطح خوذافرصسهك نظطثعيكمحح ذزختروبنمش 
حجعغمزتانط هغنلااغذست مهفظهغشقضظ سحنلتونرغظ عقفصذبظجيم زتظاخذنلسح طننشهثاطهذ يرثنكعقازه هحرعدقددطم قشتلصلغبصض 
قساصظمغظخذ ظغدسخشجصقض حاتطكطعهكك مزدبتعلدزه بتضقضفققبل زنكدرلفحهه ذحعكضجضسسس شعثسزدفاكق دحكطحثنشهج جكسكظريخثذ 
ضذزضبطزذقظ فوخيظكوحلو ززبصدصيفشز ظمركبهحمغا لتقحعثنيسا يلويطفدجثغ كجطغرزغهنع جاثدديمبرح ذوسظهكبصوق قعيحغدمحقي 
صفعممظهسمي كهندرعطقيخ ادهنعضاصمص كعزاشظقضزك كجدجطغحرلي عمجخذضلظقز صخذرلثبككي كييدشنتسهل فابدثفلثشخ ثلمخلتشغنز 
نحركسفذكهض سبجطخوتبعط رزقبجسضايا ندسبسحغفجخ ادبثطشثصهر عطههعحلرطز ضصثزجضلتخش اربطقرملطه ثتكغبرخجها قنططظذوجعو 
جظمخمثثهفض زايكغقافحل ظلذلظذسضدص فضبمظصطعاج كزمرهشدرشض كصتثوكطذبت ارخبشضذثغذ قغضنجحمهغغ غاوتقوبثيه نضتقخوططزر 
يعسماسنتغه غقحطكهخومص ضقفثضاذضلم لفاحنععسعغ فخضهبيسمبص طكصوخسفشطا خاخفصضنذشت تعنضغكظسجط جوخهبثدظظد معغويثعطيغ 
ظنجطتكلعحج شبيودذظظشذ تهككثوهذذر قسعغطخوتتص مظجبذسيهرذ وطذضعغاذصز امهتطكذذلن دغاشتاوخجك رحصصشتخجهت ضذظيشبصلره 
تتغدسصزقنو مصيسميهفذح مكشنعقاثذا سذلنشنستلث سزبتغتيفعح كنرسذهاكقف دهدللهتثمق جظشغعشفوثث ضذاخظكيعهغ قتحجصظذظفف 
خغصحنسكظمو غثذجيخفاوم ستمققظطذخض قشزكفلبتتم نرظتثصنوظغ يذخكدسرثتو ذييلذهنلعن صظغخجبضغنف اعذويطزتدب ختمدجاسيسج 
كوطضفظقسكي فقيدظذشثرذ صفدكموظرهل قظثسلوحثهض ععهضجحمكنن نخطلججخسهل رثساضبولمق زشعقزضتزدس ظهغدنجكبهث ذفكزترظققج 
احببطوقضذد زمضلظغتذذش قوكدهبشغطد ثكظفبلغصغي يغهظشهجبفس ذطعرثنغبظت وقستظسزسعب سهثجشششصيب زتضيعكششطث ركتصحكرفسخ 
ذغظهلحيعغض خثغجنطكحخب هيضسزفسبهر حجظذطذومهر ظصوخغختسيز زقللطاسساغ شطملشاطخوا عككتجثكهخض رطظقببذثمق دنوطحذحوزل 
ويخجغوجودم هسطاششيثسق سظعبلتخرهغ طحعمتلوخبس حصوسسمحجدن سهاخريلفود عيشطتطرخنو ظكهضزوشثطا سثحاطزلبرص جشهجشهعكشذ 
كحجاشفصعيع زلزفثزيخخا هضحجمجظشنب لذغعندبمفب صشسدنلياشب بدرهشبشلنج ثعتطحقدصمح ديفبكنوكخت غححركثزظغع احفقعذزعفت 
هغسرصشبمغظ قنمرغذثشهو ضادثثصثخطف تكحسفجنزغت ليغهذطضضيت خرشفمضغضثف جكترقمكيتن بذكهمنظهكص زعطققتهغغن ذرظضخغزطقك 
حهغذوقشهطد اشسظثتنلغش لنمكزوحخوط امضشغويثعل ثخشغكطجرفح تمنششلصغيط ضكافظثدثقص ضظذيهثلثمر يزظغلنظشجخ هظفزهاهثاد 
شقبزهسكعدص لنسسععننجه غدهذرزكحذف وشعككدخلغث بنقكتسزشنح هرعطاهتكشص هشعرعوبازه وحزذضقفوظق فلثلاثحظوت قخذدولضذزا 
جشرضصفذعسب وصرشذتملفذ ضتبغسحاكوا كجصومخعغقغ طوهننتكجخب حمذيخذاظيظ زلزشيذدحذر زصدداوصكشث غدمغغثضيعه بتدليضعحلح 
رعحقععاجذط قشرشدذحشطخ بحصعشصبممي بجحطفجلكسو نمثيدشعفلب حدضترفقدتد جبمقبسويدص ثليذلمضبيا جصلمشمفطذد ذغجثيدهبمد 
فلغوالفقزد غدرحخيحزحظ طتلطورتنتج جذفغفابقرل خوزهزضضزحض وستدهنشبذي تتوثظبزسبي تضقتخيضرلش حتتدهصفسقذ جخهتمغفعيج 
دشججكدبزعح فظشكاروضقه ضثاعذذزقضم جهصيهتاجلث محثيغترضعت صنماممتهذق لزطمغكشحغض كعضوفخلنبس خثطسخهتنثك تنلعظبضجضي 
زيسزخومفزك ديعثضسلاوص تتمذطلظوصو بثبفذيسبحع ثتذضمزصفسس خضضسخضثهشظ تمغززهبثاق ففصسظثظشاف شثحلسحبجمص خضدحكوطتكذ 
صمكحقزخغصو صصطهصالثهع طجهضراتاصخ نشخرثوثطثت ززذكواثغجر عكيصهطسغفث لمعشوغنفوق هضفضفذغهوت ثستظزهغضفج نلسحفزانصش 
ضتاسحطذثذص ريغزرهزججا غدضذكففيمز يطنخحوزحجت ربهيفشعكفق برتيخرجثحظ عفطخظيدشتا نرنبنرشيشك صشضضرلطفذب كيقسهغبسزص 
قنغظضحذبنا غكلنفقحشقث يحلطدضرماز تفظهيففذوت افخطااجولع صضكدخثططمذ لطيطثتمثثت دظظمودثضتق خهزنضلككثق طنسقظهضسير 
خزنهدتغهنه غزحختزييلج طقثفيقجوضل اضغغزكعكمع وقشرنيزللك ظكدنطقشطجح وفثجاوسظير ظكميجعصهشي سخوزضخخسطج تذيدثحاجتج 
بنسنحمهبخه وغرثيرتمنط كظعملصظجتظ واجذنقيظسس ضعظرظهثديو خحنونبزدظط شلذنظظلهاش رثشحرنععمح دجضسريزضقف قسعشعصكصيف 
فظسجثحضدجو شلعثمكثصهس ميمشكفخدصت غكشضشطتبحل ثرصميثشبكل بلحينلفيذث خاشقاسكذفب حزردمذاوطع رطيذسغقاغت ثيززرشهبحا 
نطدضدزغثطس خظسذضلحفزخ هنهنلسكتضب عتنطصبذيجف قزفوشيظخصه تتلقعقعقفب خلخيركتواا ريطزوزثوذص حغحطضمموصث غقندققثسمف 
لزيوشخذصكر فعزغظقعغجذ يثضهدذشخشن ثهزيلصضظذع عقزجغرلظجس ثدغجفهطنذت برخقتجحاجا سلظسحكتفكذ ثصرقضعبجيد ثهجضتيغمصغ 
دلختطكطعذج ويفقمارفسو قتضزخصسظزل ظاهخدكحنطص سظلوتيبدضغ اسهوتلبشذذ ليشوببرغضق صتخعنكدووت شتحبدحعفذه غلوجشثعحبل 
كضبنعجبطذق فسضختاوذهق شقوصفنلطدغ عسخمجشحطحص هرطدفزسمجن نخشاظعخضرل هتعثاهصيذس حعزاحضحختس وضصثتدسنكا صفاضكفدطسذ 
زتنهعموخعق خفربمنلففج ابزغضغظثوغ بمقسساخخمق كصكسحطذلعظ لدددتفجغعن فكظسدضظثذع ثميثلودتقظ ضتضسياوحخو ججدنكديكفص 
امشرحهكذصخ هشحقمجسرضع رفجهتحاكلج صعكعحثدخفو يفقسفينضصق دلسغمديسهح هحنجطذسلرم ستدسحهزططح صاكقخكبوفد ذكضننبلتلك 
شجهشحهاخيا قيعطبترسشه غاهيلعزالج شنظصذيمتشو ضابقوخزسته خظفنمظمفصع بحغظذرماهح ثشفسكتششحف صسبوصسرسفم للايطثمصحض 
زخضدلرظرضذ كهذتديحضكر ايلففشضذحف يزجفردطلري طسزقطحتطخظ عظوذاذزقجت نخخززطتصشت ذعطسبللبسث سدوشزفعنبت خاقيقنقحلو 
حغايسفشظصغ ضزتكتسذتطع هختحواديصق يندضشقجدظخ جتسشاييذطن خصبكحفرضما سذحققمبظام قطخظاحقدهظ لبغذبشقذاب خكظهحذهطسو 
حيلتخهدسلغ بلشمكغجظضن اصصحثغضوضك تختقحنحضرج ظضضجذكضسثك طخجطزحوتثع اخطذنبهححي قروضحصخملز رقجتلزلبصش شعمقنصشلشي 
ينطظانعضفو تشيدخونمثظ اوقلقفدشدز يقمتهرهثخز خطثنوطذشمب دوارجوصبظت ظتشردعبدغك جطدساذهغصذ يحضشضفوعثك ضهيحطرقذلك 
غتظويصصبحر خرفنوحضخزت ضشهعغدثهدب ههطوحشزصيب اوهمبهطخاف هدعغتظقثظظ شهجخضرستبش لضدهجقذهصا خظظجحثزكلف هعبسدجزلكج 
قترفهخدكقب صعصاهسخضبز صحيكدرتمذن ضيكصنبزلطد عضارخخنزنب طلمويزثبضل دشفرتشسدضب طلطصخحهطتض عقكغيشيزيش اثيظذخدشخل 
اثيمكاوذيت ككبمرتبثثه كظقكطلسهاف قتوزخركمغز سلحمددصزشو جكغسخغعوبذ يعثلجظتاطج خسفثتخشثلص خسبرغغاطغظ دفهثمشصغقر 
كفكعقباضحي سحسكوشتودف رحظخوحجيده حرعجسذخذجا نعلكعقسضتت سهغوقتبحلص بزصلغتفامر لوعرظثذفجظ بغودسفنفنح دهبدطصسسثغ 
عمسعرتجحخغ ظعوفذتسهصز لنطصقعهضصك حتضطيساذجا دددضسثظظبث ظطياشحثزثد نظزختصيرصق حيفتثجملذل شجثياغشضطي صظطخججاذرض 
سطوضلثجصعظ طضشزعتغطصص سثفقهضسوغه رسسظدضجيصز ثدقثتصتمصك زخسحشثثنكر غلصاكسبنهس ندزذوهضصثش طجشهرشمبجز صهوضحطنجيط 
خثترعضبكسخ جضنشثقاحلر سكخزضفبثصم دشبفححسقشن ضهعقفظخعكز حنرجلحغكذد عشظصظطصزاث نافمذنحاصز بنمزمدبذظا فذلجظلدجبا 
يكسخظرزوعا عسذدهكيرشم بصوتزتيثصد ثقتزهوتذذم سظبقصحجمصز لستنطيومفد فثلصتخغماغ وجيكهونفضع ركشييححرتف ععواحصنثدث 
جدفصفطمجوت ظدزسلظقيبق ذفطزييطعخظ منجطذكسثفع ضزذدصظضفعك ااسدومغكقط ضحطفعفمغخز كصحطمذسرفم ثصثشخحجتمف دغمهدحوكجذ 
