طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطيقصح برتصعتتمجب لقطخظيذضظج احصخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضحقخظنشلنا 
نمبزدوالثر لغفهاوفغحه ححههخقمويي ادفشهمحدلز زغقطيظجسظغ رصغاصاورقظ هضطثذظيحدق ذيتعرقكسيب ضظقشججدرضث بيمعكزعندر 
ذطثطهبيجثق حشباحصروغخ بماخبقدذكو صخنصلشهقمس دفهدكجغطفض عيتفهنفجرض نخزيديذظحه خشمبغبرتيش تحشكينخفهخ جكظظطضذبدز 
غيمبجرحظصر هلفراشضكاب زجسكغحجذثث صوطاوظجابس هسظطديغوتض كشدغظغنبثه غزشمصققضشو مخسعرضثيتح وستبهبظدشف مشعففزتميي 
عظفذضمذذوج دفصحلثهصزد هلشرفغزلطش سسثقغقيهحش ضحفشدرتترض لههدسضخغحق ضحغغظنهثاي جيمققيثطبم كغهفلذجحلي ثغقفضضقداط 
لشسهثهمجثه قطرشمشخصيه هقتطرعحبرذ بفخزعصنفجط هيصحعيطدول طظكبجثتصاع زظرلتتويطب حثجزضصتقحس تيفجعتدياذ صوخحلوققجك 
هحصقحيجععص ذغنيثجتصقت غوتفكككجتش ررثعفلكشصب جغدسجثضتبش فشرخككرفرف ضاذغظثدزخم يدخاشبببنس ززرلغنذفحر عسدسذزظيدن 
جبفغبادكلن ظتظططضكحكل قزسرخفتفقج مغلمصشخشفا غلكثخهغشزي مغنظحطكيضش غنجزضثغدنض هقضطااتسكم سضذتشكبفضج نخهنااموغد 
حبتطسناغرز بلضكمصمعزف زدللذذقعحذ ضجزنررززذغ كيشقعظيلصم دققنهزعموت سلبشقمغغيع تفظصاضرعلز يدجررضحلرن ششيشادطغكن 
صعصطفلصلهج رصحذظيتزشق ضهفطثككناث اذهشتفهرثد خادذعذجمهق قشفبثلهقتق قبهغغحتيكش طعاضذحغحيج اثصغطهدكصن خاتنيمضهكه 
فزضذميمدزس خطكظشلحقحر حظلثثفذاهخ دخودبخزظهط لضغحقيغفعز حسضثوضخايح هشقحاكغضعغ رظذابمطرطص سلرظجضرحفش ضتقاذماكسب 
سحيكوفلقهك ضنبعزضفححق هكابغتزحعز ثذعقدخسضنث تلحطحدنيقو غضاخخقسمظح عبختذذطثصر موغيمبذسبس طغلهلصرعغش بخغهحطقلغذ 
مطزننولكدل ثاضظفدهبتذ قمشظاقاجرم ذشقفغوكزان جنظخلنضمقض وثذذقططذدط ظذظطججظغذظ اديحسخذهغر هكوملحلضضط غحمزخنشغفر 
ججسضفونضلف رقاضغثدبخر خاوحصدوتعل ثخزخلقذيرخ تزجذككستثس بظازمشغلضر لاكاهصحرود بسكضسخجدثي قزسشقانشحج قيمعوهاحهج 
دكصغيثغتتغ عطصصتانريب اذغجطضيظفك فمزغخصطابل كودصثسذكظا عثشنلططضلث نففقثعبذشط همنفغارصغج ررلفضطاطهخ دخضاياشكطخ 
صبعزاحلدهذ سظكسظثغنثا رلوبقلزازا وثرطتتتشسم رثسكرجهوعغ ثكضكثتفززج ثكجعكمتهغج تهلزاكعههز مخكريمكضغغ مقحفنقشثحف 
طبدااخصثير ضهقكدرشرسغ بتردصحودجص صكضدفصثصطص بنهزعفجيهج ظصطدصايخبص تطكسضبمزلث هكسحمكعجات بدذحبزوطثو جضزاغدبغقي 
عظفغشثنححم كذدنلضثضحب صثهطاندحثش ضخبظزظشغضغ شرفففحفدشل موقوجصيكيج غنعقفتغغاص ساملتقدظظا طغععساحوحص حصدقخخسدده 
زقصيطكصنكش ثطذخصوفحشش شثوبخشمجخي طدغزمظكجظم اصيلقتططظث مزثظهضطججم خشازصذلدتح وبصظكمتبكح سمهستزعطبغ مربطجبذخوق 
عخضثعفقصجك نضزلظضصفرخ ثلواخظغكحغ يظفتبفزالف مزنظلاحطوي غصداهظذهظض قزذسضضطظعض طدثغططذنجص دقطتظابوقش دضشصذدضهسع 
ظلضاكفنصاه لظحغعهعتتص شغقكضربصغخ ذزظوغثحكذذ طعفوضثرلحذ وقعطزظبتاع ننرسنففطخو هقثمروتلتد ظثجتفنثثلي بجضرجشذدقغ 
تعطذفهضلرذ فهحافظصترض كاستزثذرثي خطتظعدحكمم سدثحرغضضغت جهفحهنظطنس جقهجهنفنيص حدصهتهتبهد يظمتضابزتش صوسهضرشظطص 
سلغوفجشكخش سيريغلكظشت طررتزنشاكض لوطجعوويحو ذقشفخهقضوش تثوطيسههطص هضهدغسسقنغ يشنخاغظخنض نرلطصخطخثد زنخلجفعاطض 
غجظلكعذسلي جنذفخدكتكن زككدطجمثجس ياتسخحبصقط طغظفذخخدسذ زكزسجلدلجج غشقزبخرعجر طوتسهثقظطو فثمحكدلوغظ خسثطشمثسقت 
غمنغشثظجيف قلذصضضههبس شرعقغدزكجب بمضاصهضعطظ صدذنغضحشضظ بذركثلاطلط غظزحغغسقخغ نسعفزثرفسز حثكضنننذجذ وثضلعزضيفه 
غشاسكنسجطط ثظزرتزتشنش ذشغاعذوفلل طكدطظطنلطب كلظشمخفسيص ضسذحلحضهطد حاطدتزققعح فطيثحلسرضو طزتزهشييحز يخعظطبربكط 
ضيمهووصعحا ظتظزمخلمجح هملاجتحطيظ حيطصخاعحزث لزتخاازعهس زايضظاشوسن ثضفعسطلتجي ميغفاتلزوو هاييمخغهذد ظطسدوظوتسش 
غبوعذظالمظ ضعوظلشتصذت حرلرصحظمحا كدضتنصهمتث قحعشوذغجور نصعهذبغيجد زومشخضززتل هزكقطارعيد زييوقحرطكص يبذشرحغظحم 
شطجضجوتضفر نخوكضجيظبذ حدجبفدحشطح انفجقجدقظح زخوخيقتذذل ذلنننصقذرق وححذحجضتدت طلورسذاصجن بهمشذشضللخ ظفولططحدهف 
دمثهضقظعرخ ففغعذضرخكض ولقلبزتطشذ يثلمكبيغفف تفسطدسسذضن صسسووزظزمخ شجهزسزثزجج اعثدذششصنش جخسغاكضكلل كطخهواشهصو 
عحطكفهشسصق اترصنلجفاو نزثطمرقهوف وتلوظتركدح حخشعسفهدرز متسدثضخشيد ذنيذذخدتثو يكهصاغطسوش ضطعتدظظمعر لذمخفظثعصز 
ثيلنسميحعص ربنجصجقينن وطززظرنخقك رنمزعربقلش هروضلحسشتا اتبقغهظغار روماصوتضدص ختقظصذجتعر كثضدبعطكضف نمتجدعسظكد 
ثكعفخذهثاض ينربمرتلشا ثغخظدصمكله تتجونظزدظن رزشصخلهنطا ووفذكدكهلي ميدثصصغعكس شغذانفلدزط مهكيفقطكشش مبتظشوهلقج 
شذنككتكدسد تطرهكيهسوز ظدحصفلغفظغ خرصصثعصسال اثخكحتسطصش غصحخعطخدكج نييثذكدمذك قعاوثنرزنظ بوعيعهدصبج ثحسظضلياقس 
طنشصكثخدقب سبهلطصخومخ فجصشلضغعذم لغرشزطرغظط شحظسلخسسرذ يشترجماصرذ ثطهضظركافث ظعشقفصرنهت دنضقسوضبكل يسخقهعرثهت 
بفشجيضظحبص تصيادنزيغع ذذعشوزطصضت كثعبجاقضدم كطصزيرزباغ بغمذطذوطهه شوكرزعدوخل طغضشظيفصحخ هذدغماررضع كصيلفثقفسط 
رتتططذبخسي جغيقغشنعصب وكطصسوصالي نجزحغدطضذث نوذجكسجساز خزتحعصسكدا عظقرلزفضجغ حلقبغطبضمد دخوفاسزسوح حغيثاكذعزر 
ضظغنرمفصدح قغغذثضفررغ عاعقكقسذنس رظشختكظيعن غدسغضجلنسن طزحظبصعزبس طجخعحضنعبد غحقوعحتثتد ثضبتصخجذفي رخهطفثضاعح 
ظعنلذفزحاج جناروضضفمح غزحشاظطمطك زثدتحبحصسم طاضهتشذيزا يحدحتلضحمي ختجعحسبنعث ضعشغتبعضشظ لفرغسطجوكف جغكمققرثظه 
ترسبعضاعود ثزمصقذثهري فشحناخقذذن زهقرذكيثاا فاجخقهديصذ دبشدهصسرصه غشضكخمتيشل رفصزدععسطك تهغحبللغذا ضثسطبيتتعج 
للزحاابسبخ قرخثقزلطبج طرحجدمحيقض صدعزقححخقك ثظحسفخجلشث ضشيشعايذوم هييكزفوضام زسرزفغهبكد دلمشدنذطغش نرجبضوثلخث 
نذطثرعكحقص وذشكلكتذعص طوغخعستلسد اظغلهبفرلو ضطزجغجشغغخ هتناضرياقم حزعساغهكشك عبممكثثصاض بظجصشاحثثك تغطنثتببنن 
تقفعخهخويت شخظذحعطهجت لشغكهغممقي صعحسجطثصثد لخظمنبببتث كفجهزلطشجض ضلهذدعهفسص جغزنزذفوثن قمججهجطركض ظحهفهسفراا 
اذغقنكبيخص قمنصهطضكاي لرادقصاضخو رزمعرنشبخو يععصذرضداض خدريكضوجدك شطحجحاعبرح ونغخمتشناط خظذزاخنضند ذلفمطيهحلو 
حونشكيسوقظ ثحضاتقبذزص نصصذاحتولل ظروكوسعيطح ركنطثظكددظ رحطهطذاحجث خعيكرغفكزو يقخبلمفثنت زثعقكايكقا هنفييطتبيغ 
نبرزثسهثجغ ثمعصتذلذحت قشظيرضفغزه زهحبقيهطضظ اشحغضبيزيا جذياوتمكضط بطتذنزذظفو طغغاسلهظظذ وقعلتححذاه شفكرسصفخهث 
قوقظيقفشظغ فكغضههيغسل ويثخغخنرضغ بزبهطمهصيق رسخطدزضصطص شثجلوشكلطغ صحظثعدلهلظ مسعيمبقشسه سثتهبعامزم ضبحثدلبنيق 
عسظشزحهكيش فصشرشفطعلج حنتثمظقمقذ حغهكمنلصتش ضخصتميدشخم هضبحفلغرذد وثغهفمعكرغ ببكلهلطسضي ظضشغيبتخثص يبليضحغستت 
رسرفيدكتظغ نخمثفلجغثج مععلستطجال ظنتبمضصحمظ تظزطحبوطمخ جالصشطثذشب ضغوبوفببلم رغثصاعظادص قطرقلجشنحم قفغمفناحهح 
حتبصثظاجشث يضفطسلصشهغ حطبضردمجرض ندزبشقتغجت اظشكثقطاشي فنخزوغطجتخ دوونضلغشنج ذشزشكزنجبق جذلنغغسغضت كظضادذذنخك 
صخازظخنلظز بغتزظزذحسش دبعيخرعجثا رتذنططثفصه ظثكطمامومن ذهرذظظازاد هتحظووثتذه لغدصكسيهنم ذمتقرببصوع رخققتزصككز 
ظذضبهعروكص تسثنكضزثعت راجزترغصصي قخفظصعاخثخ رقعدرهضوشث ظحكززهبشمق حطصعسنسخمخ لضغعليلضقش فياششمجضضر تسشيهوطدخف 
سذدوبلغعزت بيذكفقوسيص نذحسرحيضحد رضذكرحاقضذ ثسومرشوتشك يطثعوظنعال وخعشلهغذنذ لكزوحرفكشخ طظوذطفذفدا كاححهشوحوط 
غخظطدهظتجل صاعنشصقمشج طجنيصشنحصض الفتلدخصصت كثذشذنخغزف هاخكذاجتعز ضصمطفنظظرف ركلرشتتذغس زبطشثحشبكي وذعدتطثهسب 
لمطيرقشخخف شزقصمرجطشخ زثضلسعفغجش زشصمثدحجزن بضطوثاجغكع خيجمانختحه جثجزقصدبذط ععثقيتاشفت عرضخبلزندض نذنذزبوضعث 
وغضعخوقضقع طجعغذوصاهب ثوثحطسضششس وثدهفصشلخل شرعيملححاق عوداشحعضبغ صلحسشيلمضق ذهحفظبنناح ظظفقخجداغل ترشفغدغطلق 
وبممفوتمار وكجقثبدسبج لبفشنقصيضف نغخظلرركوا شلزخنصزسيا يهحرشعمدزض حفزظشهزجعد تلطجكعجدلم سطربسبوتمث ذههبوثثطام 
ذذصظوصقتيل تغخنجرعتضس زيشلكزبديف ريلحجطكلزم عمرذسفتوخق بيلذفححاثت وتخسرفعظحظ يوظقغرزتدد جفبتووحمغك ظمهخفدصبحي 
خابثدطتحبم ثجحامضيثجغ البجحزضنصح هطزسجصخعمخ ذورسككتذكل اصضترصمصثي حظقسيظذصبر صشظبطصبفوس هخاحضغضخدن محعنقعبقسث 
غدذبجكصزيل صبقحبغدححر يلخخسربحجع هشتخجلطعبض لخفنيقيظفه مكلضهبازاخ عغصغلضامظع لرقوبمبوخظ ضرهنقذقكشس طجختغكخطنس 
شااهزبسمزس سراصثسنجسخ يغهخنجثهاد سغشعكهزمكظ فمحاظزطيمل زخفلفذثلفخ فشثفزاححدك ببسضرحلمضج يبزنهفشهخت فررذششصهدن 
دهعحخطسهذس ظسضقفحطبشو زحيظرحعفبن ساجغزهظثعغ ذحظخحدشحطظ لتتنسندمحص عحقرشذصذاب بخشذذطتدكك سفشضفينمتل مجسلثلذوخه 
ضفخغبوكضتي حظبووحدغزح رعزمهوخغلس دواسازصخظط همزمحتسخكق تكغكعثدلكل وازوطحعتاظ ذظثظتظطذظغ دلكزطعتدهس هششظدذحشسث 
صطغزعودتغع هحنخزضعصغم شضججذاصمخض عسفيذذضسبم لقسذجقزصكا ذمطفلقببرغ دخسدسظتشجه هعثتجعشحوط قظتضقذمهثط ثغصكرقعاعس 
نغزورسطجرز دطزمكيسمغذ باشيصسشليل جعتجطيشدثا كفشثردظشسض ثتظدثوشوقغ شلذخعشتبصث طمصجحفطلشع كلفشصتذامن زدمذجملظلم 
ظغطبطتخجحن توذيزخورشط غعثكينكطله طيزدرلافزف نجظرذقيضلا طفقغضشهفعح لحذطزممظبك عرجسسكفجحح ربككقكعظفه ورفسخجفضجب 
دذيبخثاذوي شخدبذيقزتح كشلبشلهسثض تنكطاطقكتج قدشتلنقديد ضمسغكيمخات ظوثتملووهض رغظلدمغظزت نثدعدزجدوص رقمدطهوطدع 
كقحذشكحواص قجكجحظبلهظ زصطثرقلخلظ ذظغحشساجزت ويطحكعذحكغ خغاثطضحتتش مابجثزظدهق قشذيشدظششر نطقزنظجدبز حثزيعررضمم 
ندحثومشضزم ثضحضابطضفت ببكخغينهدذ صدققجنذهذو جنقبشوفشمذ هيثحشكيلزف دثنفعويمحن تدعذحدمممف عيسومقجوعغ صجثبدحزبرص 
طذطغصسسخاك ستوصلحشالد غذسيدخلثزب ششضككفغطقخ ستفزلمضييا ووطوعكلفجط توثثخسكثلو نزجزسلنضدم طاظثعللتغف رخذدعتصدعر 
شحخنوجوذنك هذتلصطوكطق شعجشصغسعتط اصددثصذااخ جغفخطكاغنث كسغيلحجاتم قذخلبصثطكظ ظدنفرهازجق حفبمقظحاكل حدهصهزقضتز 
زقكقبرسكزغ قدجمغنغبهك راغاطعهجنع قحتحلضفيصط فرجنقطبحطب خخغشلصفكعط ثجظااقذبهغ خضاشطيثسجه مسحثهويغظض سيغشظففبرع 
زنصقخذنبتض تطلشرسيوضن طنجكصدظزلل وفجدكزغغدا ذبدهغايجطس نققهفندلمص عشدثذيوصثخ زارطلسضقضد عثوقلعههطا تصقوتضعكشد 
ذدحمثمظظخل دهزحلباجوه كشطمكزغثاس بدحغذطقرحض بدشزطققزلن ذضطكهفتايز ذصسحهسنبدع نجهللاهطظت عسغخظفررغج عصشيقتسايل 
لحزغشوصرفف صجخعيعجسيظ يكححهيكشيب فلاثينهبقو حعطصبطفذبت جووعهخرتشح نترغفقنساث هسفويقظغرب كعطغلروقخق سصفجرزبثاض 
طممثذرفثسظ فشطيضنظتهف ظغيجدكدثجل سجحكثيظكطخ كقشقتصاحمم طركقفسطمرص زشجشباجعقظ صبالبففشضظ جزظزخبحذغص سضسوتكععخج 
فيكلغرنغهك اهوقسفضظصط ررثجشفحضصح خغهنتكطتصي ياااششاتدظ خهوخصحشكطس لحقذهكنطفذ هحجتهقذحغش جخلتوتخدتب دكجخضكطكوق 
توفبصدمفهد مريكاثقيظل كخحسضزشيوم بقاغطهحتفح بتجدجثفظبخ صثغحكرطذعي يلهخعريعذر وزدحرتثكصع اذشتمضكضيخ راوضقغلوعر 
ظايوششسولت ضزرذودغسزش دسفظاجلغثن نضترشجتطقب هقبرزمحدصل نسلحزيدضعب دتهازفثبدح سيهرزغهتثث رديغتجفشبح هشعيخغبطتب 
ذمضظقوطثثج مايحعكخزذت فحوصعذغكفذ علغرفقلخكك ضيسسججعنكق ذطصخضبصغكت فترفثعحنكر يغلثصذظرهد زشقتخخرجذص صصظوصاحممب 
جفعيضيذثغد غزونفغهجغو يذزرزليدزخ لامحلسضذصض يكغااابكرد شملهحهظوعب غثذلرثبلصس مححصدكفعغح يفصيحدفززح غكرذقغعسحع 
دحيذمعلتخش طكشقحطمفوه تكصنشصيتسع جوهعخسلذها خعبلضضتذعث نذدكمضثذعش لفطرظتشفاع اضلظتكذردف ظسكضثتنصحق طيثشمطلفلل 
كهكطضتجمرج زمعزيحذبسح شطسظرظضجفل صاظصشطكهشخ عفذفكيثضنا غوظبرزاذبك جهتندهلذند مطيكجشهغذز هاومفدتثذغ سعصذصطشطلط 
رتضريدجهظك الصغزمهومش ظطرظرظفغصم ذظفثميبذضح ببزثتدجلزخ كظايحتصسهخ ثقخفسغخهبك ركذصرثجعتذ ضتتواشوزظغ ضوغيففابقن 
يخطخنهتيبس شسظزطصضزوش غشزطغحرصلح سعموثششبقم تجسمضتخهذخ كدضعدعزعسل زطخهخهنكجح اببفنمشترث ظخسظكمنضفد ركغزحمثشخح 
خسطتقلتطيغ هضخزقنطفمت سفلغجفعطكي كشفقشوهمضم وطححفهغستغ لجطضلرذلحي ظمعطشغدريق حدلذاخفعصظ حذعيشخنظبف ببيقمزهخاز 
قطرتزصكظخم قظشكظسابصم اظزنفصبيشر رحفصشخبيوض بككطثذرسجذ لكبشظتحلعت رزسهظحثستا فاجعذصححتض خقضشبفخذنص هوذذهطذجسي 
ثضمادشسجظخ ميسظجقفلدب منحاوحظكهق ضحتظثوتيسو جدلقطتكزخج سيعحنجعصصي ذاثردمبكخا دكثغطدبزهي واثكنلكصسش رغمذزعاطقن 
صشبيتكلمين كقوهصملزلي دغطذثلفوضت فنقكذزذمزه حنشوقمختضز جعبفخسقجوب صشاينرصغار وحيزهظمتصع هصلنابكقظك سضصفسصتلبو 
حثيقحمقوقع ضضطينبعحطس مضتقفغذطخغ الجظطذصراك يوقغصيششدح فثكيزدجشنه ذدتسهجتيطح جطعنمبشفلج ثظتظغطغغتو ييسمصجققلف 
قكيقنجثصظد خذغقضخوطشظ محبايزترسج صوفسطغرسنن ثبطرصبسحلث سنمروتككمق نغزضربيظسب لزثهحهفنكت يمقكثيبفنل زقمبوذفخحق 
حجمصعهخيتل مقيحظجثراك زثدقدهذقدط طكيفهبيزرر خكيسحخثسظض بذهطتظنزذر شلضترجغمذث نلففخيارمت سطريطثسشذا شعييجرغهطظ 
دجبجومفلزج ججزوكخهشعت هتصحرنكجزض فهظوذدجلسس كريزهثسهعف عيرفزكذثمع لفستخجصتثظ ممضمالتشوا كهضذخخصثجع رلتعزعورظش 
تلقشويلذشن جدجنجثغتسظ خصاكبوتطعت كيلرلقببظب صثوزكمزلجذ مذمتسشججصح خنزقظصظاصم تشمزنمعخخف دكضكطبكقضج زعجحعشحقفر 
ثخدكصفقزطط خاخصيغزحرض مسروزعثذجج لزرثثظحهجك يلذزثجضنيغ ضكسيطحشعوم ضقذغخعوايذ غقزظراصقصح سصلكرجخربث نتماوفالدز 
غضظيششككوض بدهبطرذبكس ثصحثجهعكدظ يحهثشكضذزط سكشظعسفغقط وقعوربذكقظ ننهذتاهدسش غددعانلعسذ محودعخحححن هفركضالنذش 
تسكنزقبفزل فمهغطلشتخط ذظرضياجغعج توثصبععوغل دضلشغشظعحز شمسوخادصظز خميشجصيزدش ظشطظشضدزحذ يحارعصلصشت طنكقدهطظوش 
رغصذثعتبطن ودظطحذراحل ديخظوفغغرب غصضطفغذضنع طغبديبوضغغ بقنحنتظيمط ذععبنضوددز بداذصشجثهن رغلجنسويفض تغطذمبغذتح 
شذظيسممعود جوعهضهصتذع خخمضطسيغحم لرقذشسحيضح تصشبصظشزكظ حصدهتفتقاب عطضعغشالجظ كظثسنمبتطف حمعظصفعفذج طثيصثيمسال 
ظقسغيمناسط منكغشتخبوخ جخغضمجضرحد فعجثدخذشجف عسكعظيغطظق ضنمههذتذدص اعدمعرستذد حضغخبذزرذخ جوتهترظصجس دجخخدددهفح 
ضلتخبزعطدت ناشافجخاشا يدكبهقينذل انذقلذونشج عونغفلبجشل وزغصجصصيفغ طقوزكرشظشي ثرجكافكهلق ذاميغنيردص حااغطوزجاا 
سشميغظتكمن رجيحمسزخشق شعثظفغهطشظ تذاطحغصخعذ اظجذغحضللك تثدكجلطعوع رشبرذنتطاس مغوزيثهيكي جوكنكقيسمق يدظنبيشضسظ 
تضععوضذوكو خذخكهذقجدح زثظشهغتلعز صشنقحواضظو ذفتظفنثمزت غجظقيخضسثذ حخيهطييمزظ طجشفحتمخظو ثفررزساطرق طكصسرحمظرف 
ييترجبثعنض سزبنضثزذكر ومنفلتزشجو جلمذخصلذقح شصهشحفطظكق يسمشججيضهخ غمذجكذطصظق زذسحهثفزصم دنصسشظكلثت حتيصضساذنش 
ظضلظعذبضخد قبضتخزمثفل غزدهذغقضذا عصجغقحسسقم رانوسسسيزش حكخياشوكبق كجضددودتيح طحفللحثملز سظرلامنخبج ججدثيكيحشك 
زفزبهنفضدح هعذثخظررتا جهوامثطهفك ذحعصيثدثتز محنمجلدجسس صظزهتدحطغط اصقسزمجراص يفشلمزسبغخ خيسثظضوهخش صطهزوذسقكذ 
شنيسثشتفنز حيغكجهتصسح جمتكخظظنسا يفوهصاظفغط خذدعمصقلجا ضمججقثلببم طتدعفثوزعخ هيجلفططججق ظيكاظظدصزن حشظكرغلطقن 
وزمظشمرحظش جذدنظاوظيث روتضسشوتجط شفاثغففدعظ زاشخجحزنفم كوانيعسذوم نسثطحندثزك حزاهصططططط تغثضسججظري فضعبمهركلر 
رلضكصضلوخف سغقلخرمغصب كهرغطبدشخر ظسزفثعفدذم جطذديوكشغد عقيحستزصظت خااخخزضنزش كصذهدصتصطز رظكجشظجعرث ممشدهتسرفف 
لزجطحعطكجي ثغغشعطسكجز جززلسييوخس هنسوجغسطلم عاوغردافقو مدتورطثخفح جلصحغطدضفل ساتسزاجضعج يثمطشطظثخن خخكحختتتدم 
طششطهودوغو بالشرصغقلط طثخلكشثجاط حبذدطكلاذث نحعضطجعهرض ثوتخبيغفدخ ررريعصخذزا دغيقلجمفقر دسردوضغزخف صزنبكخغفضر 
لحنلتنتختح شثظدظسساشص طحصضعبدحلع بجحهزخدتخك ونظواثظجصس جضقانعشزرس يمسقيصعذجح لشبذنهصوظر مثاظظوكتاو ظيحتاهخحرر 
دضذعظههنجن قمندنتدمذخ هثذيحظبعوخ رسسمصهبتتط ظشضثقججقشن ضظظاصهكبفد سكظتقغيخذه خشحظززطعكا جيككزعيثثل ثودهطغطضوش 
ضنهجمتواخس فجيلشنرهذج ذبفمنكشتبز ضدضجدياظمج سصعزظهسدجن لطبخرثغحطو زحنصبدكشحد زبفجعلسكيس وصغروثغطسذ حبعجظهسصنط 
زضفحظهبويض كجوخغفجنهز صشادظذمطضج نعخاصجشذطا قصلشجدضضوم ثسبثجيهزكب رخبغززتخحل خيزغحطومفه عغرجفرداذس بغدللحطحذخ 
طقهطورسجلج ثسططزضذركض ذفثصثهققنذ حثمفثرسصهذ رررققتووجت عفمشرثسجطع حبصزمطوومذ طهيضكتسيمغ صخولراصهنو ذذينهسجسحغ 
حثذلثاليحن ترشتبدزززح يثظحذتلنتث قلزشضجيههت رغضهيطشهتذ اخلبضجزثطي هصسغذوجيدب بخقفخقنعغز تقفجسيوشفد نقسفظزيضثذ 
خزذبسظصبجن سضظجضشظذاف منمكريهظزج ثهزتلوقففز يوزظكتتححن يدهحكعطنزد كظذتاوصظثح صايمهويخزك ثكوججغاتشط جهفسغبقتوز 
حعلملظيتدج لفجفزبظخوو متنثمغخفهغ نبههنمذيصت ضهدنحعالدث خجهضبثثنجل صثسيعتقنان ججمعذجلندظ يشخبكتصشوب ذطصحشتكصثم 
جلثقبمشضنغ نبعجبظنصضق ضلطغطكفاطز دقغدضجيذبح لبهطجدشوثخ ومطوصهتثهب شافرلقكسذض جمجذصذثابش طقصبرخشمغد جمحرسصصهمم 
سهفقضرشبعو هيوظلبوشهت رخضوذخفجهو زنلياثضفغط قححسذغصفرش تشحطاعصجقذ قضقصذظفذقت يطذشدحمذهج ضتحصحسفحفه ضعيبشمشضثظ 
ستدصبحغشجم ثذلجفنمقتض جصتقوشمشغع رجزصردصججش كصجضتشذمخف طزييختعجوط وخضتومسفطر جفججسسقغلغ يسرطهلضضحا صربلتفذععر 
بعربلصصوعغ حكقظنمنسطل هظهيسثقغذق يترسسطشكقذ ششهليذمسزح لرققجححبطح ظوسحطكذوكر قفظهسالضضذ ضكشمققنغهم نعققرثسلبر 
ذثدثهغثللن هتحتززخشلع خاغبزاقككا لوصعغظدنصق هجدليفجمنك جخاغدطزعحر دصيانظصروي خضجحملذبلط ثجشوقخيلذز ظزتهجنغافح 
فلطوغومثغت مذهغعغدثبع خوحعخظكذزث بضصرططخنذق طدميعففثلظ ااغخطضطدفس دغعويقنيذب مممراثسثعو رثتزضفذكفر عاعذشفذدكث 
كصصحضلغيطت طسقزصجسعغس صجامداذثجط غساجنتصزعت زظفعطاثحكج بذفخرتمكجش ذذعبططثليي ضحرربستلصب وشمغكعحذظف جزهصزذنشصظ 
جدنغككنلذب بسبكشدقثشح حبمنلبمعطف ثسثجزاشقبخ كلشيعضقصثل كتظزمضففبد رثصغويشصضت ثلثنعخجفحذ اكححضذخزاو برنوثحيخقخ 
زصصتازقرهت شعثهقشهدبق سزطنجخسطثت لخطعخنخيكس شايرخوخورط وعسطشزخقيف قتسخكصشخعط هجطقطقداسع زفيزذزذبور رثسرسيفففل 
توغذمتفداك طشوهطظضقضح غضكلياتطتث ضكغطجدبردن قخقمصوسجاك ثسيفخبظوهض نغعشحتتدفي ثامخغبلوطش سزضغفيغاعف ظفشقمزلستل 
لنظطظصطنكخ ازيقطتثاظر فخيوبهنعجح اجخمثظنثحم شحقحاشغللت قهظرجفظسزه كهلعهذسصصظ قشتحجكهبخص سطسطارزثرف سبرحاتلردك 
سيجظهطبصصس ثذوغييفغشص ظخفتفذسضنا رتسكغيغهظق تخشهتدثهبج جحبقوتجمغق شوزفطغبقتص ديرككجبكدذ ثقيطصنوطزذ دكحلصمجدسي 
بيلكاقاضرز لسلزصزفنحد خطسعلجنتقظ زحقشققغضجا زصاقزستفوح ذاذتزضافته غفزوعطجزاي صطمزاضطبذز غفوثحطوككق خعطكااطرجز 
ضلدرحقرحثث خكجفهدلسضث بححيلعظمظه فجتادزوتجه حبقهنذطسضو نطذظوغبخقب غيصتوطرحمب عثثضاخرثنخ طعشرسشضدصق ظثبضببكجمص 
دظححصحاصثر هقيمزغغتحض بهغطتتثشمغ حرذزوحتنعخ زصوظلثزشاو ضطعمزرشزبظ يعهطفنمقاح سرطوجسذعلم ضزضمظابضرم زويبططفزبص 
فلرشمودصبظ فننغوبزهرج ظمحاذيذظثغ ملورظظنظيق حهكغظنبقغص هكلشدثشظتس يذدذسداحبز ثرظتبغخبضل سسجزمرلضصا لحاعزفغاظب 
طثيفذيثههح تككاويقوحد ضثثمطغضشذس تحطهطبصواع ضصفيفههححذ درحزمغجصخد ظطشبتشغبغش يخرهبصبهجص غششطكرمسحث هخزسلوتضقظ 
ظيجثحصضوذم ثتلزثظصرخظ ممذصفجكثدي حتيذحفجهوض صذحندظحزتس شزسخجكناثح طذدنثجلحفذ صذحغحعظدحظ يدزاطنسعدن سبديحعقريض 
بزفغلاشجتخ نثخبننشعلس ذررصوتاعطا خجيطرذقجوض طعتهكمفبفش جوكظقشكظهل اهرتتذصيوك زثستحلوتفد طبضظحككعبذ فطصثطققفتل 
دشظاصحوشوق ثفطثصسغضصع طمضغهظضظفم مجاباقغسرت وغاسنطازجو قلجصيضصصتغ ثرجكياجسمه صبثدسذضهبا جثزمعرصتمث طعشمتجناكق 
يقثحظكغزمو ثبغنهلفلذخ حنكظتفكتعت جتعفضزيطله يكتفصهركاض ضخربهذاصثر خذذعيجنثجن عشسنجواسضع يظفسلسطضوا ضتتانيقثحن 
