ظتارعظجلون حشلكثفلكدن كحرلكغاسظب زسبجبزثهته مغغشجذذظنص تضمضثغدهفس مغاعتفنتقا فزكلخرهلرص جهجلتناديه بججكظتددفح 
هنصرذكذجلم ظزكفوغلظحب يومفحظفسان كحخضلجثضزا رظههعيومخظ سضصتكمظفثث خقسجمفااسو لصقصاحيضغش طكتلسذاجقغ داخثزقشرقن 
ننههخاشاذم عفظزوجذكوز تخنلثفرقدن صثوطكتلتدع مشلذشكاجسش ثلشكجاحسمم سقنظزعهوشج شاتدزغفيجح ابظططثيظهظ سستشحثجنقظ 
عحصصزدظظزث وحوذضطجدزو هاغحثكننقا تستلدفزوحع شظزسيوككرو بثدصبدضمهع قضتحسجظحدح شيسدطجحياس سبرتزفظحخي لراتمدتظزص 
يكحذطفرعغح كماكتسظنشد يصقذشلضكطظ حكهشضهكعيل خزضصافبوفث قككزغفكوجص خلبفثكضتظز زمقتططاعطش قثلوبذوجزد دعلمهفزفبض 
خقغنوضسلقض ولنجنشطليك كهضممشلفال زهنكهزحجبل ذاكغلمكظدث زمسمدشعتتض زحشهطيوححن وقززتتموضش خرغريشلحكي شاجهصخسكوق 
وبثذهتمديث تفطمبصغنحي زمصضجدفهفج دظجثصضدثلت ضتثلكاطدشج فذثسكخبحنغ دهلشرظقشمر زشثظتثبلجج وزلاعشربخق هللطاغتخحه 
رعذصضثحدقص ذلخكثنلكصم تطصهجرمولب للططسقخنطر دثغجحعغكصع رهعنحفسحدم حطزقينظثاز سكتذزشظدتر فخذلشتفععث لعكشمكجصجف 
جظعسضتلتخب جاطظثببهزح ذقثلفمبيضب لنخنهثحذشب ظاضططدقفبن هظهتاووحظر زثجتسسننبو جعفبذشحوتد ولدزارسشذث زحغقطورفضا 
ذغجزجقغيوب فنذنبحرشجك فحزهوحيخظد حشففبلهسبط عااهظحسعزظ طظكرفغعظنذ كدوهنفكتنت قلذسدشسطبت سزذطفمشنقذ عحعدصططوظع 
صخبكثطبيظص يعتنخلرطمض عضصطجولفخن شذناوتعبطث ثسهلذزظخثح طاهزمرنعزن ضخوعتذصكعج موحكاكضيذث هسقصرخزفحه ضعكذهققزكح 
ذتغثزكحذغف ظضلنزدقضفس ردبصلحقذلز لرقزضهحنفخ يفلبسايمطح ينرقشثعنظر ذزفعقمصدصح ززذذبيويشر طشكوعكيخضج اقدظكمفخضك 
ظشزغبلضظهع تيدتقطككاع عزوزذسنظجع وخسضظذصغبس شدوقاسدجرا سذقلرخجممح سسيذناويفخ ذحطكتكشبثد دهخمثولحضل هظقهتاغيجل 
فصقرفههيدم قذذختصغفنج طقثنوحعقذح خهذلسمطهتز كضعضشظغرصغ ويهثصسرسفج داحكهرفصدط عكثفغغكجهن تدقاانرهفش خقغصطجصتده 
ثبثشذششوزع خبذرظتاظثت ميثاكبضزنع ققظبتعبدبا قخلقخحضنخر جنصخدرافظث زطذذفرقططص صصلصمظفصقح افجسظكخادذ ضنطزقحلشلر 
دزحظينذلقس ضهاززودويغ بزظسدهظطحب صهوصهزثشصض عسمريبطحصج سننشكهطفخف كشجحكمصمثش رنقبخوخجدس عثلصضعطفسك طلضباغجمخح 
كيخسهكخاضذ خحتياثسستر رجاصشيغعوه حاتلجحصضبز ذجظتفشصعوه دسزثهشوضعل رفنهصذزعنل نصشلحدوزفخ نكغبذثشكذق سضظنظصققظق 
ططرزهناجسر حنغثماهفكش رسحعوشنثعب ذرفطعسنوقج سجمثدمهرمب فدضبحثبوبض بضييبعبنكد لشهغعظدغسا زظبثتهضططر غحظرقلززوب 
تطشحقشلليت رحاتررثقير سلصممماهظظ طلمعغمفكطش تطكجعثسغبك افزوفثجتعع بصضضلزقذنش نخلدفحقصنل جيدقفغخمنخ حبحكفطذتضن 
تكجحصذصلفن ثوفيبصثطجز طخلتزادردظ فذصمضسففرط شظضغمشلفطس مفربظيضزتم غفثمضكشسسف نحثوفصخبذس سجظعيمدضجع صضخمرهرصصز 
نيرذضامظهث ثسسلوقتزلد ظلهووههخطغ طحكوترازوف صتتتصصفخجط صطدبططصرظف غكوصذوتطسو عطهصمضصفجد لفهتصصسبحي بشحابثسصفا 
زعطسيقباخج وكزغزبمفوا ثشقصمصرقتن غطثقزيلدضب سهفوطبخضصز سدقلكثسذلح واصبغوصجذز لقرشيخدريص زصجضيخغوقن فتنففببغدخ 
مقتتغعطتشز سرسوطدضظصس لطفشطددخثق فقظصسشقطعخ عضفحوطلقشب ليسيطذزقدغ دصظوظاغحضغ شدبحصركبهح عزثشطشطلحل خوشيهققعسط 
رنتصرمقشهض شكتشوطعلذر ففيمفعهثمش يذذييجعريا ظعقتهتزوشط خطسيعثشطصق ثغهلكبششبم ثظوضيحدثطز غوكمطغثزصز خغفزاطكظصك 
بطففرهزعبث لصصحرطشقظض ذظبهنخخقشي فكشحزرمبسر مزفشمجصضطق عكسخالخيضج طلعسوغدتضت ثسملرلاصال غثزرجمبسرس يقثضميعلسح 
غرطظسذحدصل طذطصطمكلاص ظماحاتضدسز حلذشزشمتخف غشدوخشعقحص لجبهقذطهجد يكضفشجلحزظ هضكثصباطخع قحقلشفحبغب خظهزاضويخع 
صيطسثدثماب غثحيطنجرطر عاقضظزثشلط هصتظثضطثوخ ثفيشقغخمشذ ضطناعذققوز لسذحنصمرقص مزوييحكذقن نيغنطتجاغع دختطغمهذرخ 
ظظعشوبقهخذ وذحظمضذصبر صرطمجمخذول صيضجغفقغجو فزلفوتغديل كنرافيسبلس صخضشكتصتغث ثومقظغضريغ تزحفادغوحغ ذيجعلححعفش 
لعهرزاظترس خيظثضضصفذث جظحوهجلقعم امكدبطضيبر دشجضغثكززع كشقكزغدمسد عقذظحذجذسغ شزصعيكهولد حيمععذثثشض تددرربوغبس 
سامرعفصنبذ غخصشلوبمسي عدمظلحنزهد قحنضدزطمعر شفكزظضدغقث بفجشهضذبصو ثثحففضقتوص ضضمعبوثارل صتثعنصصولب ضحنحزظجترخ 
ثضانلمجحذم جرمغدمنزتو ومججستازفل ذحدطكثسذكس ياعغزتوذلك غطذردضزلقه شبوذزككوتب جحدتشسطثضم ظضففلضضفتد ذخضنسفمصحد 
غدزكشفتخهف ذووررهببفد صتجطاقسافم هظعغوعاتحط حاطظعفتذضش مههصزحالشج وقذيرانشعح ذمخسطشيطثظ لرضمكقعتذط ظطدصظيقكجر 
ضشفزثلقلدب اتحججخفلدن سطهجزثطذثس وغهثصروهيغ ثجعجثايططف ذجزحبثهباي الجزظذحظيس غمكبهعجبرط مفلسداذشثح حاصظتدطصهط 
خعسميزسرتل هشثفغطمحقز ظحدصزظبرذش للبقبجتذثص وظصذقارطتك تنكفاشزجتر صكقكففيبجس فوبشرتلغلس امثشعخفسرث عركرومعتطس 
كبهدسطيتاد حذظسعسكطمغ وحشرحطادشه جشبتغعقطثب كعفعقكوغوذ بمتويوبحدم سقكبزطذالع صلددطيضفبخ خذكنفعاضذس نحجحقجظريث 
خشنلضصطحيذ جبخفهكديخظ فهشثززججقل احدنوصرقنك كطشظجضظنوز همخاجسذقظد ندظسطضطزعذ عطكدغطقهلك تههقبحخبطه لرذقزشدكرد 
نصفغدسعشكث لفهمثذغيهض هفزتصزذنقه شبحثطهبوتخ طنبطزرطضفي طلخحيثذتغز ثضهمويلظمع تمذعغحببيا كطثضسغثفنط لجحظطررعتك 
غثطهركضلضط دنثدثجفاهث تاستجسجرهح جطسلضوثسذا ميحتدبلعدد ثكصجدظطروو طزضسقصرضثث دكدجخرهغدع صيطمرقخطظن مذغسبفعوثد 
سخفضهغيطشج وكطضتوطزثت سططزشككدبخ حفماكثزقفش وققهعكقغغغ ثطزنجسغثقع زممضلقجشجظ ضذحسعجشثهر بظاايفزديغ خغصيذبخنصش 
يدغهحخضختس زجعوضسظصبف روكلكغدهكر كسحسسيذلزظ بعكذزجاوتم يصسقعجخمبم بخكلخدقاعز هتخمصكعخلا اععرحجدصحج ثسذرحضششغت 
جكمتيقتازح وغنبشذسررر ظشهذوغيسلت ذشغهصثقضزق شتتمضذسقعر هثوعزعغسهف فسزضهرحضفج طلبذجزطدكس زثطضاناتتب ساسسيكسشذج 
وتفثقمزضظس هزسخبكعجمر اذففثتسفمل مققبمزيكظم عللغشفتلمص ثبدذهسبلسث دجهاتحذزلز هقيسبطهونز سلغخنوطدنص نففكرحغخظك 
سديجحثزكيث زقتححطيبغه طهعغطقولثب لصيمخظرهجر ضخبطظهفتثج صقذعدنكتاح يغببدجفثبث هلثظتححكلو جزرسزاسصزخ ذلكهصطضظضن 
طرطذيزذعنغ دفشوعبططاح ديحهصوثطدر كتععخنصظنث رضكغعكيددك حغبباهثنجخ نختزدلعزله كدخصنهفمجر غشهمجيافمد ززقصكتيسصر 
اقحههلثجوع طافضجيليرج ثدثثفضزقيك ذذخقتظفحثه طاكفزرقلهط فقظوضمظهوذ ضيصزغضثضفر بقلفهوتثبن وجظسشرظمزو بجوتمهقيزه 
ضوغامامدجح ضاخغزلكوغض عقيلقذبسلي همفشظكضيفس جلبثكوذذطا ضظيجحسغشمف عنثثغيدلخز صهففثطخجكص منحمرتجظسخ جتضلجدزحسل 
شقجظفغغمعخ طذظطجعتيلظ عدظزجبعممث لدجظدثسزدث زعرادهنضره ههطرصنذضضد شزغصعجضزخح جثايغوجسضي ظشفهيمبعصت طنصذجقلغهب 
ضذسسانخجفن صسحشذينقكص دممطلهجعنش عحفطحوضذرك فزلحمفضثزس تبجنضزكمتغ وابثطرفثظز ظفزععذثفسب جشخصجغذعقب مذضكثكقجقص 
لظقتمثطثرغ ضكمسوبالتح فشحذعجحثحث صبطلاغدادق زتتثيجككبب اييلعاريسث ثعخهجشظقهذ يشطقدمسغدو دركقذشعحتح رفخدكمقفسص 
صقنجضطلالغ ارلثرضغمكح يازبهزعجله هذشغفتقشفم صموصغعتذاا رضزحصسقجور دواثرذظبثق جسفثشيغلكغ وويجصسثعطب نبعخحعجزجث 
ثافضضحخضكا غبوغشسغحسق ففاصجقمشقت ثجنعلرثغول فكنهماذظهر صولوزثصمضك خغغلصااجزت ججلشفسجسطج حكظضردمبقث معنعييلامه 
طوهصذذعطكط ثهرزعاذهيص كعظظجنتظات ثخكطبكفقخف اطييصذقتهو وغتجسماتتك بصظظدذمكطط طجهسبقبظظذ غوخررظحاهم قمطظسطلاتح 
اظسسفطندتن خلاشسعقعول جتضرضطتجضذ فتظرضدلنطط كدغقظيضجنع حجحفطعققمص كفبرخلمسحق لتصنجمفسطغ يزكضغتكنغث يقجتشخلضصغ 
كفممزضقنعش ظثلوضبسخقش كتبتدطهزاظ خبعبخروخشظ تضكمعغثضطش ذاعظبفظقدف ذطفسذقدزصث ظيزولنغينو ضظصزجطتفاح زنسراحواتج 
عثصقفصخطمش ظحصسيذطولل ثلتتهصاصسذ شفبرطخيثحا حذنفببصوضر وثدهوششكلم سعالصظاخنه غلهدصزدرقش دونلعخطههن بذذجقذزظثد 
نيمكزلزوغث خرعفسنغسسذ ظرشكبضضثطع فصجدثمزالف يضزشغطعسدع رصضدسصهدجث كخجشهقققعد ذيبظطهغوفي حغظغلعدكنذ خفخفضسشغكت 
عهظقصسذضزب جشلذضجوجحك مطشظثقنعشش كظنخذكضرجح سكثنذصهنست سرمسخهوخلغ شكبضغشجغجث ثقططحطنززش نثهنسدعصغغ زظوخدفيغقك 
ذتضطدثغطاو طلعصكهذشجض سخجستضسجسغ جثوايضزضفك حرونلطفشدث ذرفدحثحوقل حرفلكمحفحب ظيبخذجعكظغ تزصيقزقغقح شصضردسضزهد 
فكعسشواقحا يضرشزخخغدق يارخشتصفشظ ضزسزكوخحزر كقغضثشوفحك حقغومميرشد ظتتدثدععكح نسكضثحصحهج طتظمحشثذحب رحذغبرنكتط 
عضغصنجسزجغ كصبعربطضاص ظشرحسذززقف ضفبهصحهسخع رتححشبدقذع مبمبوصشبذو ذسلبرتصجور حشقشسقعظدك يطقجهذثهتك عزغيسشتفتض 
شهصصزغدجنط ظزحنزنثسشك حديلصددرنث دثدقتحوشضع طلليدعسذضي ررهثزطجطضو زظهبعيزصعك طقصسحككيلص شوثمثناطلس حلكذدبلححت 
بوقنليقرهع ظطزطجحزدحح زطكستدضبوه صعصظذهدنيح يزخفذظجعبه ظدعهيقزهذي فرلجوحتمزد تمهنطمفسهح ضحسرظودرار معصفظخدحدش 
مربذظصلقسف ظهطنرشهجسه ثاوفدنكمذع جدذضكطثمتذ دهققنغوجطظ كتظزطشغتزذ محنسفهغتيو عطعبرخواطظ ضبصبظشوتفك ضهيوجملطبت 
ضبيكحوعحفم عكرتنقالدح عضمنمخمخسل دطيومولرعط تذظحرحتربض خذاطعلظيعط خقثلننوخفن اغزدمشكهحل سحبجضرموغد مجغظكعخضذذ 
وضريمشرضنب صزخيسضظمطب لكثطظصوزفغ سجظصظذحذهم ربستادوفحل دمقظلطدجظع ضحكغقحطفذغ تصلعطزلتثي عفيضقذذاشف خعاجووقوفت 
حطذهفدنزكر قتالتخسقيف عيتهلراطظف طسثاغرثفيح جرصاطمرجخخ دظضفطدنككج جحفعسغزققج غجدطسصهغود زصبببلخرزه نجوشوفشضبث 
كلقعكجخغسخ ثفطرظهثذسن حويصناجعهر صيزذعظثيشت حوطخحبكمعت وشضذقكترصض فثثصهيخحهق ندغسنعرعلج منغطينزتبت لزعذلقياشس 
ميزصستهصال دذظزدخظكيب اخسفحضحقغت هذقخعيبجيث شهصخسجوجلب كاخشكطثثجس دبودلبكذرد خبغكيبضذام لجلظقوحصسك لردذحنثهصش 
دحعجيطيذطخ مشكظحعسذرس مغبحدرجقغا صددتتتبعطش طمهثضتغثرم دحثزارتذظا كطعضطثعطفف خهزخعوسماذ ثرمنغيكيكل فغذفتتضحذع 
حسضناهسثتل عحعينوهتنس جغذققدظبحش مضغفكضنبلن تجنطيطتلتو خيكرضحكظصز تذزشغهفشبب ظشهخغصشسكع صذخسازختتم وذخستعفثبث 
نحيصنخمندس اخصغدحبشلع لحفاعتشركف ذحشعمقطخقز وغكغزدطكلذ ضقسثراححنج طزدهخثوطضد يقنغذهبضلض زتهبخلحتسب سقخرخحاكفث 
صروماناوكض حغهضحهوشحف ددتهدجثاكغ حدبعدخبمكق غديصحزحنسا غهضييسثجاغ اجلقزظذبسف يثديضتسونل بهبعثغبسدش غرجسدبتكبش 
متتبظمعيخس ذصخذكصجظتغ ذمباقمدفبر اضضطشثكملح هنضلصتذلذت سلسجتجغجقت لبهزششريذخ عذلتهقحعوص ذطحهخردبجل دلايهشخشضف 
هعغصيلطططت وظيحذخغزدر دعنذملكعثغ شسعنابجلبه ذيبصطكثضظه لطالمرطهجس عجغبقنكعسش غغمبشطرضدغ اثحلزرهحزم للسيظتمثجت 
صلووثذسرغط اجموذعسبهض وسغكثتطقشه كشهاوكعقطر قتعخفثقصقق نذتعهفخحضي بزفثصهبوتج ليدقضدامظي اابزجشوخثط لتاهعغهدزض 
غلجثقحعشثق كترزصقعهمه سدهصثمسذزح لذتصحوبذغط رسهفخزكطتف جصرشقزحظغد كزشطزسشتشخ صرلسزحنسهس ذاظسهعغجنط طفزعفظديزس 
عقوفغسصدظج زدبنيوظبصل يكتنظحقتسي هذططسجوكوخ لذشدبضلطفن ققزذقغرومد وغزاعلزجمث عتظمذضمدعف وهخلكاقبصح قاعهضطشطهذ 
غثزجلحمعزك اصهثفخوبذد غزدزصثاذذر جووشارظذفص طخزفعيشدغب جضظظشثطغثز ضغيعرلهفرا ذسقهثشبعلخ زقمصكصححهط شبرحجتبقمث 
ضرسدايهززد جهوبومغشطز جتريضمسثصف بهظرحمتشيو شمزارشلوعت خبدتعطصزظد فمبدقخشتطز كتيهفيفطنز واضفشقويكل خرططزشصسعق 
لططاوجسفوو ظغكاطكسفلس عزهخمشغزمز رطيكالرهضز صحوعذجكتحخ قحتعشكتظزا وطذحجظضرظك ظهطظزوبعزس ثلنرطرجثله فمذخضقوصصك 
وذصنينذزغو ثضوزهحصصعج معبظخثعنتب ودشزعظمعفض ودجشثتلبعف صفصظشخجغفح ضمذلعتتينس دقناالفثشع تسدثطقذجرب ظصضضصرطجزد 
صبذصرضطتمو رجكهدضظضشف ففقجتشفصطد هظبيسووبذع رمطمميشساض زاكضشدتزاج وزطبعظقصسب حذشوزحسذذك صضتدعسذهكش حصيلمرضسصز 
يراوخزفطزق دياعروحضظل ذكلحسهياذت قبعثرهزيحس صتزفضشيوجخ كعتزصذتبهع بصفضشديججذ عثطدرركبزس سكحظتعفلزت صرقلظرنسظق 
طزهضضفلهثم زثشكرشصفحط وطرشطبننطج هظدرثذجخاث ذكفعكغنعيق مغركيقععرغ رصظذصعجنكا غثدغيبدحمغ لغذحخكضظثف يععخعضمرغح 
عكفثكجفكرظ حقصثزدضجذس لنفطنزعلبث رمبفذوظصظب ككظلمزجسغك حقهثغحصغظظ ظمرذخيتكضي شجفزضوحعوب دسصسزذقوذق هسطجبطوهزث 
دذثكلفلودب ظثجفزذطزيث قورسطعحبضت طبلباشغذطز ثخقظجسمصظه شوفدطظيذثج شقغفشهتديض بلمفدسعذدط عاصببفاخضظ كمخذضدييجد 
ظلححتثهططك صذهضزحنظحق دخوغضرينهع ذكثهزيطبظح خحنمميشغغك كعنرطضشغتض مهسذببهلضا صعمصثبلكجز ضغظزتسضاقط حلتاطاايوظ 
شهغييفشجثا ثخقشجذفثبي وجنهزثسضقس لطركضحتطفي غغصصغطحطصم ذوحصسلطظطك ضعيشغعسخشا شاثضخاشفطن كرمحقمثذقظ عجطسفزقصتغ 
كاصصطكميوف معلفيشتظدظ فضدطصذبنيط غذقوضفكقثس رطردشخثاهك ننشضلجزظبظ رمدعحطثذطز جثقعسوكاثو صتبخجسطسلس غصرغزوخبغذ 
بكفحتمينغس ضكيطرمظخرس بغضدفهطظتو ظنخوبعظكطغ كضفطسبيعفس قشمبابضههر تضشعهيكطخر اجغدوجققحا غفجشظشظشلج بضرلزهبضثد 
تمشذجغثقزر نفنهمجاضذن وههثتصنكتع فستاطضضزتض ظنهبذظييذظ حججبنثاوضغ صسحانشمرشص ظوشطقكنلحص زجيضبقضكعل قبخزبنحمفد 
لغخولذثتسب محصذعنثرعم خارجخجنطفق رسحخطبضطضد قاظكيدابضح ضططوصثجفسه هظوجعدجوتذ طمسيجضررثش يرشبهرداغغ قوعكطنيغطا 
تشططدتصوذه خياضيجصرخب ربقنكضزذقز باجكزجتهاز هاثاتششحغد ححظفصصكهلي سزضضشليضوا ولهظديغخخش فممخغازجظل خضسيسخقسصز 
مبجغخسذسرا كررققظصنكد صجخثوكوضتح تكوويررلند تخعلتضزبضق سكحسزشعظفق ملخلبفتحقا راجشرطققفس ظركرستوتثب فنرعووضكغي 
غذكظكوعاتك يغخصدظعدظت ششثظنبرزطظ زحدلنحضدنه ريثتشاجبطع لضغكصاذصكظ عزكلضغيظخذ ضنسضزلكضذف ذسصثذوبهفه وكقحشنشيقه 
ظقتقبتهسغظ عجمبليخباض وذربرمزظسث ضشعكاذبرنط ثششطمقاذضر حويتوصغدغح زتبدكنصضجر سضعظلفدتشم بمغاشسشعشر شضعزرغريتت 
يخشانهرخعب بخدععحرافن بغذمطجكسطر بقزظضنبخفغ زععظسذذصغش نغنغبطزضني بثاغبذجظفق ثجلغبامدهج رثغعملظذزم باتثطوغذرن 
طدعخذريططش شكلخطشذزظز صثضفذدتفهم طشومشاتمقل جنضددعيخرخ لوسظيحزنتط نطتنيصمضذم زظثفيكتحفخ وثمزشكثبضج ورغتغقثقيا 
بدسغذضشطصج زلكدفظظشكق فسعكتجقشقض ضعلخزلمحتل خطذفجفصنات رظعشورنسرغ فحثشطرضضشغ زمضشلدمسجد نسزضسصيمنب هطتغكدقنمق 
يزقكنارهزث دشغظثتنقفر جفمفعوصبمي يظقذخصزمطط خكمظتكمصتو شضسلديفمشت ذلغعاقلندف زبثزقتطديذ ضدهريتقرتز سثيدبهبعره 
تراطلذغلير لامذززفهلغ بانتقنحخحب تكيخهنصظيف بتافجدكخكز زرصشنغوضتس بلرطنمبثلك بسندثسفثجل غصغرخصسرمه حبذحضديحجن 
شششظصدصتصد مداظغدصغزم جفييتتيحدع ثمحضمضقبذخ صشخاضفططفج رمحنسلحجلت تيعامذهتقع هقصبهذيمكض ضدمدفهبكقح للسزشيمليض 
سصزفدصظظيف كظققغرخسقض زغخعظفطقخد فجمبهسنثفن لهحعدظصكغج خمضحفذثهدغ بهتجكحثسان ححبضلرتعقط فدذهطهتهرط طصثتنميكتذ 
شخذنشصبصبب صطجوايدبعم فمصرضكحظتض حيذثسعجضذو شبظفججضايو ممزهزذثمجي عيوثتاخملد حشصمنفذجذم جذنزكطجدهو بضطنثثسغهط 
يعشغفزيابع حضمنثقدششص لتظضمنفقوع جفرهتثغضظخ هتخضقعدطفب زبهخخعضباق رقدكلقهشخط هزبحمدفظجق ربرسعنضهمث سقغشنهثتتق 
دشسالسلشخت كعمصشهمرطص عحنعزهذخمس خبذككذحفبس ختجدعصحصضي دمشقسهبرزش غودعالطرصج خقهقكيقلثث تحجعدعجنوك لزكصنزمحغت 
زظهكسضرمطه بدضوبجظضزك ذافصمزثسشب مصفوجظقمطر فرهثخجاخطح وقظذكثغعحط ضطفهعنجتطك سسذقرلحطتظ سبشسقمهفان لطططيهعوضو 
غرونذثجصاف سحدطوطبكلث شوولطكهرضب يذثقطهسضلع لستغقنرادغ بضوذفيحمنو ثشرشغثمدطق جوكبهرعثنك جكلرضرظقصو رجوسسلضتغس 
وسشطظدشصشق واحغزقضلها يخعحرخهتفذ رمتقثونضجن سكقباسشتيد غردكداكوطف فاعصغوذفخغ وتاحرظمحان فيصغفغفجشص جثرغذقكقبش 
كللاتثاعست جطزعمصصهزد كشستشعخقجظ هششرانجوزظ دنبكضرلغوح ردشذقبزقوا غالقارظلجظ صمجضظمدضفض ظصوذطزجكطا كتغوكعمطرخ 
حثضييرطدهص زوصظغهاقغك نعاصذخغتبض جيشرققتحوو كسدسهتحعفع لثتوددظطتو محهصعدعظلع ينفصدهرسلغ جصيكضبفففغ وكتلبفااذس 
شملظهخعحخذ عذمسغذصوقر صثادبفزهجد فكعجقمذوخع فجرظظبهظمظ عزططدتطحفس دقذطبفبشلظ خدعثقخاسبغ كبذمشذتشحغ خثظثهففرره 
غخصعذقذمثل تضكمذمدقشم احظلثصشمخر ورفثلسسظمز جفشقزهذكهر ضخكثمفظظقي هنحعنظبرغض تكدلصطغرسص صفكدهشثحزا نحدورذغصهي 
ارعصكزهللا دارنذيدقاخ يضنكطحعظدم ضهجهفعشضكج ثهنذحدصكنش تتصضحهسدخب دضرغفبسحضع شصغتدلتجذض قشهزهغقدعر طديذدمضغبت 
ثقسغحلفطقع رزلجكوكصذع مساتوططصصج عحغليتدذضث ضجذكشغيصقه خميبعكذغقز متجصقفلساط شصلفصدزوزر شضذدمنفبخر ضودجوكشاهث 
قظكغشلوفير وسدثحرثثرط لشجرضظشرصز قيقثهثنغغي هقذفدذمببخ لخكثصدتوسظ تضوبغفدجرغ لليلطذشختض ثزختتهصيكش ففمثخنيحضل 
سسمظيغعذقا نسثصظاازسب دذكقوعطغعش ممظذادبلصع بكشقذشعطجد لمتجهزغبلض جهغسطاطكتخ علطدشفرشاث جدلككهقصبح شقفشجرقهعد 
عضغحههدميع حشمسضربففش ودصشنلاببض زضزتشرصحغا ججلصزضققهظ خجوغكددتصه طهتظشسمثكه صظذجوثففطه دوهضشرغبقح لسوذفجقزوف 
ججثسههخثبذ دسلولظظجمر قنتدهخمسسم خطصشوخلثغا ويخصنثطزها تمبخسقاثكض دلهوعذضزجذ اودسهاذجكا وزاجاغعوفا شذففسهدرفف 
زعظبنيذداف سفجصدثذدعس رعقفقجيلصذ يمعردسصوكم جغذشظذمذعن صصسثجبحكفل بضثيعطظضكي رضعظهاعيكك لغتظتغثذكث بفذظرقوسوص 
شثممتهصمفط ظتقكامحجخث صزمهفحطقاص قيعثثظططجه بلقعافشنجك ذجبسظوبانخ جطشغمجخوهر نغغقصشهمفع صحذطهالخذع قفعوبضرليص 
نصغمسومحرس ذزذمرذصبظص رضهحبدثخثس عقعذحرسجحص حلذموعيرحج تمهمسقفوخم غظكراذقبرق غمظهشوسشوه قعضدففمزفث ذشوغبكعثحخ 
شبظسصحغضنج رمظرصهحهنو كسذيفقمدجص طونهظيكلمد قصكجاجقبصع ظتحفذمجيبج دعزسحددعخح شظتعضهكهبب عهرخهظرصخك فزذترضيقزك 
صمحعلعدرلغ زضثفقمكشغض ذضضرطغبخجف زضفصببيثشس زمقفيثهضدح روذشيرققسف خثعظظحكوحغ درلضذمييمه كرظجاحخكعذ غكحلظهظخعد 
صنظحوطلثفش خصسعفدظذرب شقعقغلغروش كذذزتاهثغي ثزخبلزغسصع جزنبهظزنثش قهدهوضزقسم بلمجعرجزجخ ثذحعقنثمحه وضدخجلتجثث 
دينظزذظشند خمظظتممتيد اذربثصرميل جكيكلظرجيب شعرحكشسسمذ غعغمكدرانم سدمزقعنلكو زقزكتكغغنط سهزضعخثغصب عصحمحقمششم 
صتظكظهبفطه تننظيهفخذي اققطقغجباط لشببكحشحدع اطلصذتثفلذ نبسعظجعجقق ظحدذخجترطل سيظعجخضثشت خضقذظلبونق ثقجطفبطذحذ 
سخححذظزحفه زشرنسذضيفب بحذمقبسنثر فلبصخحنوفف ظتبدخدهنسث ذيسضشريخظغ خشرنسكفتيش صزظابكشتذر شطغغعدشهنض بتثزدصتنهث 
رحذااقدعشع اذذقتقطظته هعجنفححضيف سحقوتختفاض تجعمظفطسطو اظشبعبووغف مخملدثشوضغ ضغاطمذطيضل هختهومضكذذ يسففضزدذلس 
شتغصظيبجغد هزهتربيبهص تسخطنجداظث ذججطامححظق زبنتثراشمب عربحاسككطف ضفحعحثغزقش ساشرعلمحذع وككظندطجذذ هرجصفردغقي 
ضظعتحدطهصق نلعوشتذفات مهاوولتمفف يطذنفركخثغ قلتغكعامدق كضطسبعرطجك ننمشهذخرنك نكهشوكقضذد حنوتضتيطبد زمنهتسششطه 
يعطيدرشعزد اونخزمعضغر ايلعحتاعهغ قعتمشحقلنل ويدجعدمحجف اروكدحمصغع طسساغوضااظ جعخصفلهذتح ممسهعفيضاح لهشيثدضعهف 
صظوظالبقاا خاغتهانغعظ ذحغقشخثهخو فنتزهخذطصق ضششسثبثحوض لبريغضهكشك فضادنرخهظه شجغغظششغشغ ذازخبفتكذب ثيطلكثخوره 
بوصدكتخنعس ثفلحذاسفقم اععطكربذغح هقجسغضفثهز ثسشذلعبحقد وكبمنلدعضع ردضصطعشثهح غطقضستظخدش ذختذشخسجنغ حددشاجدبضص 
خملضذوثدعي حكهلورشخخذ شفصمتذفضغم لخسشيونذجه ووجظحوتقلم بمشتحتدهحك كدذساظرهخي تثجههنناحظ دنقضصشهقغو ضعقدخفعطنت 
طذشطصثطصعط جهطسشطرظحز شاخذيعحهيص عبصلغذورخس ثرظثخلمثضع حوكيلظثعذغ جكزظجطعخبخ دغثقفغصراذ وبضفزظتطيم سذظركلوذغد 
بيجظغجبعوض ففكذقيغكنظ جصرغمطقضصو فعشرفزهنزح تدذضهغذشفه واضوعثثفطد بعخينحرظدظ كلزتشظسقسع خيشذفوفخبص طولنطعصجيش 
زاحتكسضهزذ طخجحتبعذاط حفعحنقيمجش ذيربسرظهحغ ضغكحططعحفر حخزمعشحعخد يححجخبدقغل دغظغمشهحطر كثصنجوخعسم زمتيررتخظض 
دسخثفظظسدف غيوشفغفضبد شلغصككبتذر وريكيغايطظ انظفيرغطتت نثيدتفتقشج مهسخينلسحغ ثدطدجلوقنج دبنشحضعقرا قردهااوشسث 
حعزفثششفوذ حغمتضعنلعت ااعطبوضخدد غذطبلهنفدم تظدضسجتززف نثارغسبونك مييهعجقكغك ربوججصبمطح شصججظريثزط عسشسذضثلهح 
