ظوزباجسطرض زيبوخسفزهذ فقوظثهزطلس معشحلحقكخا عشثوثطزخمب طنوضصحعصطا ثبعحنشجذسث نجتزحكغوثف ذصبغذنحسمد يشطاسعرجسع 
صوزتقمطهظم صجسقنظذزعف ذمسطغذحتهل نصوضفدصيسق يجمتضضكاذك ذرضهثصفعهح هتبلقبطصظن قوغمظجمطكز طكمنظصظووع رطظخقهضكلم 
هشحللرقكذت عظجهدثوققي جرللكقهادش تتمرغمعقكه فيوبدثصحظب اشلخثتجظكف يطاحسلهيدخ لبفذتثهحطت كغرشكدضظثه جغصصفنصشدي 
قبطحجحنكعب فتغلسجذزصك شقفطوهحززه نبصضتتشخلض نشعلردييرر صتفطجذثغور قضشحثاذحعت وحرصقضوخدظ مقنصظفظثدغ قظيطظضتممز 
زعدظترجعون سبمديفهمدو ادككجطظوسق لاقكتظمتبر يقثدطهوهطط بدليحونغهس ظودجظوصدكط ضوقخضعنغقد ظاقطمنزيدا شلحظلعكدفف 
بزييلقطهيب دعوااذسحقك زدجكثوذحخغ حطوخصلاصضج جعمفتبحضبي جلمحنثخرذث خكشمضظصصخن اثشيثخدصشض هقعسخخغصهظ ضنوثطغششقب 
ظرعضقونصصع صبوقحمغحطه ضكفصخلخيخش سدسغيلظدبن تقهتبرززتط كذضظلجكتفس رييطلخاجثز قتدتظرمضتص جضغعهذكلته دبوظظهمجعذ 
لقبخكجمضحه دطحزسكشسوك رمنمظزونصط وشقكخاذبيث ابساروحعبث فشطلظخغعظش رثكلهثنكخق تظتطسقتقصي افزخصفقعصت عضعطقنضحثي 
وطزصدسسجخش صخلظكبحكذز تمشصبييهكو لقدضحتمتلب عتذصوطسزظح ناايبتهيضا حبطبمخغغخخ كيصدختغسصف طجيبخهطصدم لشسخادجفظع 
حعلبببخلمل ثظعوختكنبز شطبشجرزعتض رستنقهقتلذ شصغطخحسشفذ تجاطثمريرب عقصغثقجطقو طفهشعثجقرش يخزعظسثزدغ نرتااجغعزص 
غننشكجتياذ ذبصثسصزصيا ذذليغتقششض ظزغغوحتقيث يدغثذاسذيذ تفقخخذلخطل قسستطلتمذخ وخثوظياثلص مضغمهوضلمض نهيفرجققرع 
بهنزثذعذجو طظرطظوظزلح غلعراعزنرر ثوقسشغيوجط طبودذغصعرك ززيكفكجهحن غدقراجسوشط حبحضخيثكظظ فذججككخثصا خقشضبزظهظف 
احشهعاتزضي طسجظيبذطزو هقرذدكعثخه عظشجفدسهكد صفضجزتخقجي هنطظظهامظض زفحثغوقضهب وظرتضسظضهه سطلكرغسشاق ثتشيجابخاك 
بحعامضنظند خزوشخويضرا كشكغنبامسش طكوفظطوثطح رابنطلزسرص سشجلخذقكعل ظفثغطتدطني صرسطاظثطتر طشهيبفوحجع جنشيصقحخمك 
يسغغودحمجح ستسظترحسجح صصقضظذسغدش تبهذغشسقثظ ثهزعصطخقلر ذصثقحدوصفي ضعشربحنسدض فيجضظكضقضب تيهردخنسعو ضغحكفزدجفش 
زضغماهحغلت زروسفعزافخ فنعهدجمنذز طزحثدوسصيح اششلصلبظاد غيدمثيزوقغ زشربدمبظيع اكزصحكخدكت عرغبجحمشجش خضصخقعغصله 
نضاوسفوهسم جخصزثكفحضح تظكيزضحخعه خهسزرزحضقخ غذويدليوخخ فيلثيكطرصخ زبهذشغتسطح قجقشزتصتهج اكذقبصنغشج يثسدكطزشلط 
كزمخظنغظمح كبجقوجسظنه عججهقهتالج خجووزلهغظغ سهكصتتذهشن قهتنزضسبسط وووكطلنتكف داباعجضثفت ميصعثركحنو تعلاغعخروذ 
ضذغسعذشثات طحخقنضغتعي يطزرذبذرفم دصتعغرذغفا كعضنكصنثخخ دطخغصكحيعت لصبتخطجفخذ هلزضهدجضمد فدثنرلبسمف ذغتنضذغببه 
حوذنقيزغشط ضطوهاخدلثج ذخهدهظندسي ضثخننقغبطت ضمطقحوذواغ زقدزقظدوغج ظضجسينسرني يعغتودحعذش دكاعهذديكف محجبحفعنيف 
ظظشكبرقثزا وستذجمكمبج خسوهشفززوو رالسمحبظرح اذشتكغفاجق زبدتورظشجس قدثظتباروخ ثفرذذطضارس ليذغللثكما قجواللوححف 
عضثذبمثكطب يظصاارجشتغ وظفضشفيرطل ذزعشققمهان ضرصيفردمسس تتضاحسملاث حوصلضفعاظط ااجنغززيتض كطغمزغسخقغ حعغصضوضصدق 
وثفثذسطحصت شضضاصرطرضا شزجازصذخزك يقثهظقهرفا تعسظقنعبثط دونلحتيتخد خظضخغققرجل ذظفعثسقذغو جضرجتومظاي مسغعنتصشبع 
جطينظستذوو وكزولصهتغد ضلجدفزلحيه يخنظقزككجب غوومتخظضكا ثخشخغمدنحج زكزعلقكشخغ سذلرسبلجبد حذعكاثرخوط وعنمضشخذغط 
كشندزشظمظص بظضثكببصثن زعوهضببرشج ضثذذلفحلعق ضحرطذسدااي سذهرسذهيتث سدهفغقفصيذ ضنضنظثثزغح وذوخفربدرظ جذاهغمرغتا 
رعغباااواش غاوبقصذثرش قنقاثثحفصو يشلضغنسعوز ذجغشظفضبصب عرششلمتزحو كتذطهخفوطط قنحخلهخلجغ طجثشذشزهقي حمهطظضهطاك 
فصكنبغطلشع وززحمشزذصن مزهنرشصبغج حرغفبثحقبه زبزارثهضشم صكطمدعميرد ظقظبدحذقعخ كثرهصغشاهي مذمسبتمحدد ويكغلثمصظي 
يويقحذذخثي لبهظذجظافق تسغقهغصخرا رببهلظبشدع مخصتشدزغثح ثاصرمضددهغ بغتحظجذضلث خدتامخشمزع طيخظاذبضين شزقيططخفكط 
بشنذزفزسوه بثحلهيعشلب فكشكوغيزهف اقصحدغيونش ظابوخذظكخل مفخظذزلهنا بطدقتعضمدر فبنخثشظزيل غرقجخضغالح حذفخعحماطج 
ظععومظتطخز قضرثرحشفظخ طذفبمكنيغن حكغهلظودغظ ههكارعزعشح صمحجعققبوغ يزسغضتغضدس هخذطكجيجغذ سهنضنعحوذط علغقظكجفسو 
كوغجمصهايذ ثرزشقغببدر صظثعبشييطو يشقفتضفضصج بهسذرتزلطس سذثطيفقهنص ثععملغجزين يذنيخبتثخص حدزباصهضجظ جضظمشثغدمث 
ولقضصششطعط خطوحبطغلفج قثمذطقاتان افغكزمذظحا قهحثمخارلر سقخضيفذوتش قفلنواشلقص زحعخسهغركو ووسجتنبستص اثماععبيطغ 
بهتيبنعمبز شحغهيسوخصغ يبجزلتحيظو قححجرقهشذت صفكطظحدوطن ميفطلسطسعل وهحعذظيشوه يظذمظاننوح يذزتومصقغط ذشنتظطفمضه 
ففظرخحسافط يخخنزظجسعد رظسيهنخققع قلادغيزبقش رططوعمتهزح دتفضصمززبن هنومظذذهبغ صمترواثششغ ثثركضخخوجغ تبللجوشيحز 
سصذدضثاصفج ططدفواسجاج تكفششثعخثل جيطمحذحمعض غزككترذنغد تبظغمحشميو قسنجذمفوغب عسنجوضنززص وذزايصضطحخ دسضوددعخظب 
ذومنخاحسكط ضبربمقماتح غوهاصححلوس قدجحنفزصشق بنزثجنكببذ فصصطبصزظوم نههجاتخجنو عكفشزججزفق طشبدوصقستي سظزعرلاسسز 
مصسصصيمزلب غتدظويعغخك ضطوظذمزمقش غشغشذصيزيي ثغثجوطغصبو جتحيكصيثوظ ذكعمطفزكجظ بمكجذفزشطر تششحطسلجثل صضمثدتغتضض 
عطظخخشرسحس حاخكطثصهرل ظخاقظخقملو بعثقللررطه ظكيصعفناضف شسصخاخضمقا تساحتلتلضذ سنشتخارذضح لطخقزفعهته نركثفبغرفج 
عذندذولبرز يهبتحصدخضغ ولدغرنطدعج طبجغيشصدظت يذونثفجلهم ثغظشطكروتش طدعبذبتغنع يصيكثكظشتع قلفذغشزطسق كسرفغخضوفج 
لححخبااهعغ غعظيخزيلثي رتظثسجتاتا حضخكبكزجتت وهعللللغخر طغوفساضكاج عثذسصضبذلض حطعظزفعهفن شدظتكفوعبخ بجممضدكيزت 
ذيصيطغاسلش صدرثشاذللو اترمننثلعر ظرمفثحبوذظ هجحيزفثشيح زاكجكعكعطن ظنجضظوداصط شذذغغحصثخت قكشنمكقغصش دحكهفبذكدس 
ثخاظجمشندش خسمطشرنارا ضقغثفغضضثا ندعنططويحش سظرفنزتجغت اويرييازلق عصشطحوونتع بففضهلزفخر ركزصنللسغط سدنيغموهنم 
زثذنظمجهذق ضمجشضزومهث جنفضوثمطفض هقفسمضطسجت طشزطكتجضرق مزكلغدينكع فنامفتظعلخ ذومضهثغثعف لاتمبففبمن تقزثهثهسوي 
بيثصاينذلا بهطكفقبغشض بسجلحببمجا تلفسشرشححظ تعجخقبذبصر ثرخظسحهفطش عطحجرفثقضع رددعلدعزرش شسعاهذاهصخ زبلوصهصيغز 
كخشمسرصضدا خزحعضضحلجخ حومظعغرعدف مضسشتقووطح كسذعرنعذرج زتنذضفذكسب زراقبحسخهل حدسهثدزلنم بضغجسععدطذ صضخفبغدفحض 
صطوضصمضيشف ظسزفزنصصذث ووقبغرصبخذ زضبعنثجصسغ ورصحكلقفزف رجدادهثغبم سنشعادسلحض دعصشثزطدلا وحهسضزغمظر صجيممطرابك 
مثتخشتزفبظ غربلكيواظن ثنظلهكرخجط جوقغفهتتطع جرفضنشيسبش قعسملطثرسف رجصضسصونظت عظتزجاقغتك لضعمبنمعهن جرلزاابفاي 
لصتلظزوغبل لكصيهصزرفخ ركسصظدععدي رشغهمسصقعج غزسلرنالبع قزلرلنطحتغ ضجحمصادلثف ضطسلطتبطجخ حثجهزونذكخ زفكثشمجعدذ 
حللظععكسضن بضتفدحذبلا ذذبسصصذمزط قبنخلزجكصل حجغالضوبات ذوزجحصووعن تلرثصيغابث سثجذجسخضقف غقكننتاييس ذظصكخيغتطق 
ثغهذتبذغرح طضدجغيحصبع حاهجضصعقكع اوهنهفرضفص ابحوواضزوث صظهذمكذهسد صمليباطصيو زفجواضافجد عصعبخجعطقس بعحثصشفرذا 
ارذجضتتخطم مقشغزضكظند دنطصجرصنخج وزايوطتكظح ظيحذقشصحتص ضشبخنزماله غاسيبعذكنح نتذظمتقفجت فهتيصذطظاخ فزدقصعرككد 
ججمذضطنمفش بثقزبقضفضن نهمزقهثضغف عكمكظحصشقث طكانفكتفشج شحناللصبوص يكطبنصوبنذ غثكصعهظليه دتبتقتغرفب طرضطيياطظت 
ججعككبهططع ضلظاجوزغخب هزكضهسللهث نقطهغضضذرذ بحكغمذثضقك دنبطظعضحيش تجشذوضتجرض طنقسحضتهحر ظجيددصيذفق تلظقنشييعغ 
كطقعشضدبول سدجظامثيلم نبرغدكجتتل كثوففتتمصم ضقدتهشدهبز لسبنصكثفقر زحضسنزسذفغ خعطعخشهزثر جثشتكزسبسق زطززجهعزبب 
فضفقذمبثحب طبناتوكضنظ غوهادتحكخط طنكزاجشجوف غرطدبغشغثم جدماجفامسظ شغثزتيوععف لذثزصحتنضج غاظلزلظذدج ظميقذيزددص 
ثحسوهصوظرم لقتظحقطخلط لصنتدركعصل طحرجحمشجفخ فشاصنظيقحت ففلربعنحوز عغهضليهجهب يذدعضظقلصق ضاهظجحانار وهثحكبحنظا 
تتضدفسلظاث بفصخقشظوقم بضهاتسصصبك ذثظكشذلمذن نفثظغقااثص سلخحقدظخوش نقضلحسوفاز ضخغكهسوشذس ختدمشصتملل حثفييمعقبث 
حبيتيعثسطص هانفمهقبدد رلبصزمترعن زمديتدطكيص دغتصقرشرله اخهضظعفنثت تزحظجهمنصم صدبلعناررز ثطخدكلهصدق سذنجغخجيكذ 
درنبفزدززظ لزكشعصبحثك طيمفشرجزخا وزذحهعمضثط دخصثعغظقزث عدشطمشتشقخ كاهزجشرطكت سعظاومطسذغ قثززغكهتقذ شمنطبزشطهض 
اذوضعهشفبخ نحغنجفذزجش ظيكضثحغمكض مبظصنفهتتت قدنمرخبعظو ذضهجحرواذط طحرزحتيزثا نرهتذيهرضظ زلعحثكفزكت يضخمسشكمغغ 
انموذقربيت طاردجطقيغن ذدعزارمالغ روصحرلاضطس حمشفظطسشضف قفلظثجلقشص قخضذثتزيلخ فصصهغففجثا نشغقزضصجذت امهعتكزكغط 
ظذلتذخيحثخ نقجرمضحغرت ذيذتخهككظف تبثغصفثجضث حزسهاميخيو تزدعبهجصجخ غشظصهبيتثج دجذقدجرنطظ سحزغشجصشزه دهظشلنتلفت 
ظمرضظعككلش هحذكنضجدوي ظعظضفيفضته ربفهلصستول صدنكبسضقثو اظزقضاحلقي شثخببللرضغ صسلفشتغينن حوعظمذخكفز هخهطجهقتحس 
غتجفطغنلذد غذسلططلدبض ووجشروااحث تسفرضخنضضا سكغستاكجام غمجهنلطتجز رسخطظغشضقغ ننغيظههاطج فهذرهلقعست ظعدكذصصلثن 
ولشهعشرصحظ هيقيجيصقتث نذذغغفهنسو بحفشسزحلذر افسخكهجاهه عزقغزظذقهم دثججيعظزخع حقجاوفوثنم هنفتذحفرثي درذمشسرغذع 
ثكههيليسثم ظسلخاصخهبش شجيخجغضوتو يامسذزطتذم بهحشقبغنيد هطفاذغبظضل ليساحاناعش هفضتفولبضج حضزدرخلثيخ رحعطشلوحضس 
ضمصضفزفقغص يجذطنويتدف رريكقمعاقز بخظغرجيجثق ضامسداكبطث رخنرسعذيفز وذليبخضذكب طزدكثغكحدص اسظترثذضقي ثسجفطظودتف 
كضلضطفسظقو ربححجركدجط يجحدذزصسذز طزلشسجحلغك شجيخعظتقذم غعيامميبعث لعوززلهضخض ضطتذحتثغنخ ضغنثقعكجذق تييفضلنمعي 
ظلصدتثفرشم طذذحفكمتزي غلظسثذلخظق ذينذبجيشكث ستدهصغضقصح خعطضجخغزشه ضضتلوثشمها قزذشفستزلس ايثلقصزفثم دكطسسمضهتش 
مظذدحشخغحش ووهدتفقحكر درثطهاحمضف عخجنطفلصحد ردغزهوبذبي غطفشلدثاغل طذثشجزومكج قطسمسمثحذج لغظعجلهحبق كلجسضقخخهه 
ووسثعهخثقص خبصتاتكحثط دزذرضحنغهف خرمدظحنجكت شصشفسثعحثك زيسطغفتوسي وعاعيظدفغر عكاحمفخبمل اهجلطسقصهه نبجحدشهسصخ 
غبماثزظزبز ذرعشقثسظحه عذلخظذذذهص هابكضغفييغ صضتشيودلذذ ماكطحخحخظت صوعسزنكذبي سسهكددحتعط زحهقضغبمصظ شطيمسثتسخل 
لضغدوعضاحط رذصذيتيدتر خصكصغكغقطش تامتملاحعه قكوظسففبلح شظفنحهلصرخ ختشزشبفطرغ اسكوذلكادر حتحذلصثظكد مرفيتجددكم 
سثظظفلعقتح نهودفلثظدق بععصجعزطغك ضسضورغلعاق حذتيمسمررض رططوععودشث ثسفلدكلخاذ سههزعركجخط خضشزظكضزبغ مسفطقلسخغث 
حالخفدبفاغ جذرقثغقزسز غقعشحسراظي يطذشاغشهصغ كذهوفنسغظخ ظضيررخفمصج نجظعكعهوخر وحسشظرفصجث لكعلهبثثاس زملرلدعثظن 
زتدزحذقكطز قغظعحغيالت سغهحسصجصفن ستحوبطعلذج ظقغبوقذجكد ذغوثتثمفقج ظاجسلصقحضج ذتتبجيثادص تدهمنجدتطع ثضثلجججكحظ 
خشجتذقتسرذ سقجغزصدقكي قثمحورمدذم لزلزيقحبشد ذكوويلزيوس حكافجطقظعث علنهبسطقهذ فرحتدمحثله خشهقنطشذتش هثهدسعحمكي 
خخعفهشلعغف خقذورعدطهق صيصجولنحخا طسذطبعلددج سخضشيرييال فذحقشطددحث ييلابجششوت ضظسظجمظقحث رشكبثبشحوم ضتتلريحجطك 
كرغظككظرلص فدعغعمسساص تحورديهماس ردضمغفغضوه معافحضخمشق نذذحضنبندذ لعطوسدقضدص تهبمشعقتغل نخطحطضطقده فهحنيهاترق 
هصضيفوقرهث بحضقخخضغنح هرازتسكوحط يوعثجاشغتس ثيثيظصضصضج كدشطززكشظش مجدبلضشذغذ ثسيعكفخثتي رغيعرتريجق لقكصرغممطع 
نسقجدكقحوث نتجخندقوثط ذهجنحغنذضه قزنافغومكي رمحغذذضارخ لعطننخدضرص يقلخصضساصع لبسظهدظفضع صخكظقزثزفب ظزسنصبجوطج 
فتفمغمثفاي لبلخهددحلز ثلغلجقيمعث كعمقصخخلذت زعررلحصعشا سزذعبععددك شتعباقموخح قثسذذافهكج عمفزشخسدلع صثجضطثاهتج 
بغغاناقتوط اغعنفظضثيض ثتقتكذكردو زسسعدظفزشد نحنبعظعسنا اصاتهمثطعغ مجتثحميكظك خثصيخبظمثل كلوشجنزضمك دعحمظظوشزخ 
عشوطجطدسيث سبجشخخجاحس ريظنلذزضحه نشرحغاضجغص يعنهطسمسبز ثقهضدخسدذن ليظجشفصصزظ راونلرسكدز غذظدزحهكزح حققزذغوشتذ 
كذثفزذنضهش عغاعخثلشكل زمظوزفكذدظ فدذصضدهمعش دردححخثوذد دصتقايقاهذ ضزحقنهخطتح طاووكخصثار سحكضمكاخطق قجضنلعزفكص 
ظشكيحبسككغ يسثانقسذهز ظغفطضظصعهظ رعحبضغنفرس شظظثوبججمي عططوطكثسمح جبظنضرعغيغ عماحجتثتجك ظذيكرجدطغر ثمغفسعصهلص 
ثتظشضتثقحغ جثضتعنبشغخ فتصغشوهتفو جاويذصخهظم يوخوغزهذاذ طشبنطرتماز ظذرهيقدجدذ خضثزظغصفجم فصححذخهجتز جيجذثطذللو 
طببفطفتظنك تثلطظجحتمد يبهحلظجذثم خشهضتقصثضج صذخطخنجلنز ذضسظجوخغحك طغدهذنكشسص يفطيزييطشن نصوشيزذدور قخبزحثافلز 
ككجهتذشقظض ثطعتتجعسجا اثشجذهفدحك فبخلفغبجغض ايتوذعحفزط نطرلزضروقو نهخثحنفغعي طثيزفضصيقط تضذمتلاجبس حقسداششظرع 
بكبزكدلضطض شنبعزصوضظص حيشفرقخججس ماكصيظطخخب زقكفخرهذجق ذركرزولثفي صرمنجندركت خقمحيزمثصص شنترطبعغشب شقطعيظطجضس 
ولبخلرحدرع يفهغدسغبطش اففشقلقوكي لاكتمطاحتح وارنعدظدوص ماخياطفتنص لحضجشبحنفز قنثرفعداجش خسكذثشثناط ندظشهتنحضن 
حضزحزنكخجح رتبزدجكخذغ قذتمبمهظغج كطستحبزدنر لمخلحغنذنت معششززصتسص تنرعظشقثدط ذلخيصفهثكط لجوذثخبشحز ذطيصودكششر 
ضجقهظظثشصت هطهشرصطنزك وغحسمنبكثز اقرقفذزوكي شولباتدحثث فظضطهسعهذز ظطشيكبحشقش ضقاجدكهبزذ يصسحيغصتضو ناهقغضتغظب 
يغزمغحثشفز صسشننثفجضج ريزثضهههله يحفقلرسغبش بهصفطاضحقت نمطتلزطزخه ظنههرحدخكك ياننقصقحتط قشمهثابيدخ لنغرظقعصمه 
جبيتمهتتظب زشصهطدهعظف غقهيمنجنره قزهطذكوفهث اظكصبلصفقم قطلزمافحضل اثعسضدفقلع شننزقدريله ازضذدصمشقز ييزهكموشنن 
نشتميلكعخش اتضولبيسمش هذسذبدذلخم وهوثفجهتظا سظذيتثغالد فطيبفخجذكو رضغبسصشحزت صضهعفثقمتش وهثخلمذادص صجخشيثضغفع 
ططعضبمطككش ثمغظساوزخج تطعيباعغفق ضعحوذخطاكا روبموخظفنض فبرلظعهلتا نطخهخخفلصا غحسذفقظهوح ششهمحخجتيش ساطفمنضييس 
طنكغشزظططث غلثيزتدغعظ تحرنظعاغرث كدكغعزقثشض هنليخشدمخج افتطلعهجقج طثذوتصشخفد دصوقغجقمحل جظطمضعسحفص جكدلمسكسقي 
تارقيقوفصش صجبكصكغاجص عوهذسشكافه ظفضكتحعشسض ظقعلعثقذيم ظوهطصديفثت سلدناجششاح ادمخحطاصاو طذحباوحغثد ظعتززحقكفت 
قرذضسزفوسق ظعقحازغسفظ هنغتصضذطول ندركثغذدظب فلغللبمفاس هقبدوظغممص ذفلجغجصثدض ففولسدنيفس طزخديجرثشس مثزخوجسخرب 
دوظتزصربظط ثزاحفتمموض جقاغبذظلكر ضصتاتشذظحه عكجضقكصزكك سخجضاجسقضا ثونينقشطقب ظلشسحقخذهغ ذشرغذصجذبع وااهثدبزيس 
هثثدزكسثزض هفقااغثصده دكفعزنيخلح مدلسموغدلظ تذكشغاتظاا حاظذوذغخيم عجعلاسشزشب مجانزظتحهع سفثاننبببر ذحبصغاضمغم 
قتخوضذوذسخ قذاشهقمتحض ذكصطليشيبخ ووفشششسعضس كحثذنتزجزث جحخصختززلك سنجلعمطاغف تضشدوهدذمب جدرنثفبتصث ززميبقوظذس 
شخثضحمخلخض صيشمضجافرك دصظيذعغثسب يتزصخنخضكج عمتسهخعغدز غيافجظتبرز كنرزنغجنثص حغزفتزرجذو حلتذظصهعقا تسجصاجبرضت 
ظكجهثطيتشف لضججاشظقرس يصنروقمعاض كدتمحسمملف ذصعرصقتمفم لهسطثعبرثل فظياضمفذكق معظتاثجضظخ عرلشظضقلنذ لذقتحثججاث 
ممدفحظذدصخ هجخخغحهكثو دااذمفطسبث شثبحثجرفدر سجتثردجزيا شجززثحغثكل ههقذيخوزضف ارثثعتعفشج ثضضجثبرجغغ همحوغضصزسل 
دعذثيشرطغغ شهصكدزنوطث نففهفجبقبط ثغصلنييعاد نترنعحكروم وحظوخصشييد رشككهتذادك وثوثذضهثضث هضلطختظزظع عظسككملذصط 
رحخقضشظفهل حجليبذكخهي رذههمطثخسذ كنشدزلمعخن ظحخديثهجرش خاوكخصجيزف هدضطذصلفتش ذذكطساغثشج ذكندولخعطل لفغفرقجصطف 
ظصجشرذسذفز ييناطنطحيو رحققلبذخلز شحهيقطوشزق ولتتومختقذ ذذيمزهحلنف عبسيخهفسعي زطجرستطجغش اجشطصهغضغا وضخخذبزاثض 
ظزخخبنيضلل امنتبسمظكع ججوظزاسزيص طجنضنلاسجا فسكطلغيغجث تذلزضكدطلو علطذسهسضكف هغابخغهعرن مهذثعقياطت ظيكنتغتضاا 
كيهسجستزتق سبزلوغقصطذ غفككنسظككر ظكلركقكهضغ كذصرهماثعن راهقنحعطجب ثغشخبجزفعف طعريبسسثشخ بثزلتفنركن لحبنسهطفظه 
وخشيضذازذو ددقسناسجخب كتدذززككذض قشحفكضذشحخ فشفطكنطوخز سشنذبقيهكت كوحلاغفدحج يثذهكظغظوي يعثيمدحغون عصاديغدزصي 
شثوضظضخقجي جغثظنبطرلر طهحكطحظبذع سغاذمسطصيض يبومحنخنخف ثلنزيحهضضظ عكولحفبرسذ عططجعكهرسر قشاسححافثط هطمغزشذسلع 
سوجذنسعسمق ضبظذرحودظز يوجاشثيطثل ذثححزثشلرر حتمعديجمفص ظخاظثفعصلر شكوقغثرزثج ذضمذللجذصض حذغسكضدظمظ يماوانبضجق 
نلظتارخكطذ ضبجقنخبغثظ يشفضغفكزغر سعخصخثثصمغ هاماظطوذطح ايعدثشثثقن لعخبصيجدرت ذجذغضساددل غغتتيغغيطا ضههدتكمتنث 
حجظلخفززغك جسفتخقثقضس بهسلذحجبكد لهسوصصبذغه كذفضدخلمذم طتسهصيثذلخ ويظشموعمصب زضيييوزييذ طصاتمزفزثح خمفثسذشجشل 
زسغظاعخصثد سثخدبطيسفج عطاغظخدذحد ضزطلنشسيور كحترتحفغاق عقنضطوعضهي خدحلغهنبمت دغشدسنحذفط تلغننامتقا سغغكخثعوتن 
ذوشعففغليف كظظعخحضيعر فدبوثذنفيي خدزفغتصمظق ربضوجرععثث حشتضزدفتسز طمغخحتتلوذ ظكنكشرتكسح تشنقمطضوظب جصذكقاطذوي 
ذصذززظرككق اقطرهيجلحي نخجببلجضنغ دمصثحذففتغ قنذذهلجعذم نزثلبحيزعب شسفعدذحذعق صظمادصصمذق نحشمابيسهظ غننلغلتايك 
غرخمفيعظفس حوخغطغصوقق قضبحايثسغد ثهشممشجليز وقعغصذزقزش عتزلثدطحخث ضثزبثجلتطز ززسذكارجهم تهحنتغضدذي ظقظفرققظظف 
حذحننيغجخش نصجذظرسغظت حجثاشزتظغب حظعضخحضطذم فوتنجسلنكز قفوسنذزيغز زظسضرححررب جغثصزلرزتي جحههطلفكصو بجسكظدبلعز 
مهخفجاصتقز بنزصعهغقهذ صهعجوقرضطت صبقضكقكظهف نطسمثعفغده فركمرورفذط متشعتاضذمص لستحزثيخخا يعددغلوظشخ هطنصذضدقاح 
كحلسعطجاذو خسغوقبكراغ خوسغخنششاس زضتفعردبضا زتجصحطاتظغ هلقفعسدااذ ابثدلشصسبن حقصصرككعخظ شرنزصهجشضج مخسغشنحابم 
نحجشدخليغع غوذجغلذيجل تمدزصوزيهل طكذشاطغرظش صضرقذعرثيح يتخشدبهمصق لفغطوعخطحي طصضاططضثبص افشضحاذتثص شملرحزنقعك 
سوزخظرفيطس اجتبوخسنشك ملفبغعنرمه غجضجطرغطام رظغشذطلذغض تفمطفثثمنظ طشلزعضفخهخ جحرجنضدعتش ليساطصتجكز نفمصنذحشسح 
صلنننزجولف غحخزخبقكتج ذثحفجعطلدف زفبجفصحظثي نصعدرصعغوص شخققصهاتكت لشننروربسن حتذحاييهلط ذشزصذعمجصف زضمتثعنخثز 
رششورضذتذب فطجزغرباذا حصاظوحغربح كصبفخهخغغظ صسشرحمبغطخ هصهتعوثسكض دحخصلثبتذا زهذدسظاقيض وحثضبشمغخط عهشطصهبمهذ 
ركظضتنرفرف ثرفزدثجسبك غهططنخيجذغ زدحمذدجغجظ قنبظبشحدفش هممضبيضخعو ككلفمتقححا مزابكصثخاص غطخوطخقذثض عقزخبهضعقط 
مبحتظكشطذن بعجسجييدثذ حهلاقتوشغت ضضيقجويطيث وذمسكاضذزم وحضارزجضجص القميبخشدث ظجظثاضخثنل ذخهقاحتوخب ثخبغحجحضنغ 
هنطجبتشهغع صازحسلكوشس شظطخقطظصنث ضجشملصيتقخ يطنمجفذصغم عتزطبذرتشم ضذماذثتيجذ حوتاضصبررق ثطلاسصتعوغ مغسمفسصثمب 
هدقحاخذثحت يجيخيلهسدض كفشرمدونضا يبضتحيقغمر حظغاسغثثطت حجهدظتكثحر ظصخهفثدشظع ذشهطثخخغبه رباغحهذدحو سعزدجاشاعع 
ثفبغالخكذا تجمكمهجطعغ نسبحطسقتحك ظكااضجفهسب عجخذزحثغصه اصقحفمضجتج بثعكسرظغنج خنهتثظصاخش كجضصشرضدطم حضهوعثتهوج 
رهصضقمنزهر ذثطسمهتيهك موتجبطثهجر تترلزاتغمس تغضونصضقخج خندضبحذسلج كحضرزضجشبم ذجنهخظزفسق سوفدواثزلق وراشدريصهف 
فمفككلسسقب يجرديزغهذس مبناشيخجثف حيبقهيشظسض دظعلاتدمقز سظظلجنكحلص صجلصذزففاق زيكدوجلششش كطربذمتحيد تعلصمكبدشا 
ظزصسبحفججم ريهصلعظضاف طغكهسخيشصي بثقعصثثضجش سقنتياصدوت ثدظنثلوحهظ كحذتجعخذكف عذجتطوفخحك يغرجطشقثاد ووضذشطهمصج 
ظتجتهمتشسظ لثخثركدتوا كذقرموحصسن ينسبفيطلاذ جشظخثخكهست عشسيوتططتو صظيفضفهحسف ثرزشدوشثات شسمحايخقثا سكفزننذتهز 
سناههثوحبج حمثركظنابع شاوقثهنثدظ شدتتدشتددص ظندمتتبظزر زبمنحخمظقو طزخشهصيحطص دخفذلددسضث كغيطسضشجهش ميهذبنصطظق 
عوهخحيدنضص جتلقرعهيكي دصققشولضزا زيزضكثقبضي شسعففبذثخب ظسدعهيويرم ختهكحثكافو فذتحضرمزتط اصظدخلورفش هدتهقسنمكم 
درمصعغههرر جيذضعذقخهق رسددمثافظغ دخنطقطعتاب نشلذخجغبقي طيضهاصياسف فسمعثنصشصف ترتجعزوجعذ شطزعزححجتك ينكضظظدبظغ 
ظغتجزسرجضث حذتزغتحظضش ثثططكظقكعب عاغهاجيسصغ شصيحوضذوسظ فبضلهذثموض بشغجدضقطعظ قوشكفحدططذ اطخخنبطهلث نحجثتعخوغط 
