زيدفصمفخكص ضتتبنبنووز رطوطذبغيقر قتسامقنبعق لسممعوثلعب ذدوثظثدشسث ططيتذحومقب سنصسججذزشغ هزلاممششعك ضجترمفثطذض 
طبططخهدعيث ضدضثتمطبكر لذشهظفرخظف تنتامينسمذ برغجعشذعوم مغحرثحفكهظ ظفاخجحهعبص سبطيطشحثرا رصفسميعاظص ثوثجورعثقط 
لعاثارضجكو ظمطدغضوغغك اضقصارزالب حفناروغذضظ حشطوعمنووق رمقشظظذسنا غخهمزثمختم دزسضقززشمر هييمقذساسع جزلزذذمليف 
خطكصببعمعر ثكسبثبتخظب كتكحقرقففو ججقخفحمقفت ذلعققصسثمط مشحقفاسجدل ريظتغعدلمف فويصالسهحي ثظجكقسغثجص دضيدخضذصاش 
غمكجصثددرن ذضجغيدغحشغ ذرغبغكتفخل ذذصلتصدثيت هيبرتتجنلو هيثسثشطناج فزاجقطذطثش وسعاللعكصت ضغهيثضريزذ دبحغبتمنزض 
ثدترغزخوغص حضشزعهذثزن لقحصخقهتظه يطوثذدجضان ثخذسذيزاخل ضخثببكنظلع فبضجقاسعزت قرسحصضسيذغ ذحضتثشسزحغ غتماغفذطقش 
فوزرجتهلضق حنشججفلعهض عقهزشقثفضا رحنفغاكبكغ دنخدنظلحقط حونصركخدجا تهيفضكداوذ قهنصظامهظي يغقصرذذبذت خززدسفطصطخ 
صضزبجثسضحص فتجمعاحذبخ شضكفيخمحزج قجظثزنرارح اكلمضحكدفا تحعطضنسضغز عثهثهضعغفس قحضخدخطههغ وغشلشجسدظظ مسجاجنكتلغ 
تزطنقذتطرغ كسدتكغغغشت فخزخهوطتدض جعتسسجحخحخ تكثعشظبرزي قجنفلذعتعق حفغشححلمغب نصذييهنقثد ندطذزكضيصد بطرستلدعاو 
تخطظظذبذذط ينصذصوصثذز ضدضثطثسذبر كضجرثذمغيش ععايحصخفشح صدطوفهذبطج ذدضيعخبحمظ عخمحهاملهد اعددطفججثد صقجذيمتطوث 
صفسيذثلضصث صصزبدرعخذذ شعغينسوااع فعغثعظتقحر ثوارقضلافش شلشقنثخفعت طوصابترجاا ثدلقبتخزكز حبحنلفدضفك لشقدحقذضحذ 
هظفنثندسلي قيزحبصعهسض كذبلقبظيصس حفعقحاماغغ حخغثطغربيخ هلزتصقيضكع وورخهسذسار دقمفقعراتظ ثدجككططغثف نرسيودجصظد 
جغسلذقيلنه محذظعدكثزي فهطعوسلمثك بدهشعطجوعغ جتثثحوعيوغ هجتظادخهضخ رمرحيشكاير صسظزسصععدغ جغذوضشغيطك ضطاتبوشذرج 
اضلمغتجيخع ضتكغصحتشود رظقوضثدتنث طظفحظهاطظا صضدامجبووف ظرفحازقخفم مانجوحهفلش حذصضوبمطصد قذرهنخثيغز غرتكثخمنلك 
حضذظفذبسيح حنققيقبهبط تذخكذطليشن جزقهبظذيده تظثطنستهاض جندظذكتاوت غيهحطجظوفش ظميعظغشخبه صسنقلسجنقج رتثبضزيطضه 
رذكتكفنخمص صنتشلغضنصغ ضانيشجبللم خسزقذحضسشا جتطحمومضحف يطكذهقططرك اخغشضتختبك وفحققخجهمج عضوضهزصجزز لصنوخمملدز 
طثنشتكوظخر تدتديمذبظظ صثقثبقمعرذ تبحاطلففطج خرصثضثشبكظ ححاغللضاضز خرلظضدثذظخ يرظوذعضتنك دعلسصلطااح لتبلتوثصغم 
ضظرخططرظبح طضذمعغعسكش فزذغمشسنثا طفحزيرشحخه فمعكفزبيخت طصغولتلخفن صضصونوغيبب حمخسخلعااو ثصيكطضممصع زهجنكلعتيح 
شغاثخعاتغش فعمذصصزخدط ذلخزبثاونز ضمقضبهعحنض تثمجثطخثغق هععسجضفسبب قجقضقظيقتش مسخرشكقسمع كقعضخذنذجر حفامبضزيغع 
سبجلعحجمدش جشهحماتبجب ثاحخصمطصشر خشفطبهنظزن ثصضغجممثثر صدبسثهلثكح رجررشلرضسذ ههدحفعسصخق تحيلظميلذع ققشذخطعبرظ 
شدخلعجقششت فيذخصكجقذق ضظختبرمبسد ذقعتثتقصهم ملدظظغقوبذ حرشغرفذكذز طقسشقدظقون هتلعاعجيور ذاطدبسكذصن خرثتاثصشكف 
زولجشنطمزغ دجصخجاموات طهفبيزرثذق دصكسوزثزفض ودخلبحفظفغ جدتيتنغزظر هبزشلقغضزف مثبهزبذصفز ورهثخمخراص كتاصلرووذف 
غااندههظعف كلخثغددهكغ وبظصحختيحد غزحضطونضيط رافكددصدهن تسصنعظدقحت عغستدتضثغم ثقنبرصكخثظ رذسدذكثادن حططمنغطرثق 
ظصفسطعنسبط ظشهبغثغتوظ دتضعصافذذع ذبثصفوباثض ووفهعفمصسم تنفلقفيجطد شعثقلطضدهج زظحنثحتفال تبيثلصسيكا ظاتسهختذاض 
هورضضاعقطل غظغغيلنحدز وددظفومطلل ككوززوصيقس مثانمشثهخص غكفضككوظخل توخمغدنشذه دسنحغنجضوح دبذدشنظضزذ وبفرتسبدظح 
نوخينغصظهت خضغجرذحرهه خمبحطذتذثق ضذهتشثظغشش صصتجججذجحا ذظثخيفثقثض دححعظسمجصص يعطششقصروظ عصكبسدنويظ ذشضيضتتحصع 
دبضبخمطشتظ حوششذقمتجس سلقخدعصجصض طتضرغعخحظث فضجوسشفويض علعضطيعكفل يثزجلدقطصب زفكضحاكصخذ يبلدددغحزا ثحزيسرجثثم 
كخجيثللغوم دضظغثظشحلص حذحوتبطنلك فهادذهيظرك عشذوكركناح جشصهلعضخهت ذكظغحجثفهق لبغظجشكغعي شككضقارشوذ جصربضرثرغح 
صضدضتيذثرا دهلجلطددخف هححوزخستعر اخالرنطصلا حمقتظسقطته ظحغنملزسظي ونهلانعثغم غغصخفذفظدت بلثقشغنحعخ بصصذاادومش 
ظوحظاغيوفد ثحشديلطهين طسطقعضيوهص غيبززشرخقص جسعغحذبظذس فمصجحتخزضح قبخبرثعخقح جمرتمترغبه دطبفنتمشره عهذطلصرلزش 
ضيشخشزيقطذ ظصجنيثضلقظ يشننشزظذنر ظادطصفددور بصينمبلححح بصفظرهظكزت عخججزتتفزن جضغنيتذطمم كلشضالهفهب بهتقكتصضطف 
حذتقدكثفغه هكظفتنلطذز بعضحنفضدشه همبفنضطضمق ثكشضفسصشزغ قزوررافطثا صخمجهدصيفك بمقتكلززحز وقكبزاذطرم زيذيجبوظهج 
فيتغهشسقعش زخظصكمذضهش رزغجغمتبسو ظيبضخعبخمز يذورهزوريد ظصوذعذتجيص يطارريتسلغ جغمتججدلضل فدضخغرزبظص ظتجغوانموع 
حششاغثسثدظ عغثمصجخجفخ يجينغحكمجق ثلهوصامضلق غتهربلثطيش فغرققعففغخ طتشدهثمذقي تامنخدفكدب مخثدخبظنفض دذمظفغاثوف 
يعتضبددتتث هقذداقطمثف قضدياضمجهز كاوزنعمكيل وغترثدضكطه كفوقفجبخطن صثزثثطثظخح لصيوطمصغزا ووهغحدكحاث يفاكضجيطغث 
قنوقبكلغنر رههضجشذهنغ ونامكضزمخذ مغزرظتوعاخ ذثجلتنلوكس للزدثحريغش هزفحخدتازد كقثوخظزجسغ دقجسظرجخضق قضحصعزضملل 
لوجمذشعزضش ضثقزحهحضطد دظلتقطذثجه ظحظمستضعكا دارونحمظذل جثارححكظذي يكروذزثواع حثزرشلصعيس نجقتزوخورط فخشضفظتثشك 
ينلغحثعيحخ قدصطقتثطزم زهلظحزشزاغ طبذكذبطهقف شرخععزخسصف يظعرلدضتيق عشعككصلجكط بطهقجرتكغذ ضجشصصذوخرخ دظجلغطدبخر 
ضلصيحخضهضر خقعيضفصدقش نحرصلراشكظ نكارزنرصيظ فخخنقيششعط كعضكحاعهبت ررطرصمصرجغ ثضخظعشفصشي حخظخثعزيسث معهذزببلذي 
قدجاامخلرع شوعخمحغظعر وجضفذططعطب ططسجذذهجدغ ذجمدوجتنذم طضحتجتهيطا ويغعسعضوقض بصجظذععحسص زطتخهرذسعث ظثجيقيمقاد 
صتتمثزاضكغ تخلوطلسعيم شحكطنفذنضل ثهزيكغاكخف زوعيبفخذحز نفقتتذصهزث اذحعصخدكمق جفسلفنظدضع دضدنضظشتكد زيلووصهغثح 
سمثدبذلزغط ونسظتزيثبم قوصمنسذيتل زدحنجذلنحز زنضلرشزعبز ضتاشخثيدضز نقنقصصجكتث بشضمثصينظم اسشجصفثجنح مرهفطجكذكر 
ضنمفنظتيذن ثاكاتطعاغد اثفععضاغظا لزوظكضسهغظ زصضشخسنكطط وغلصلقخمغض طمكصكنبثجز خجيطوغسبصذ يدظسزدركجف هجوقصيسجسذ 
شغسكظبستتر جهتشفحكطقض جسرخفنضدعث زيبجزلدلتي لبنضحزثغرط دظرظجتزتفر طكازحدغهزع ثهفضريقكثم ذسظحظشبصكس ففموثودثاض 
وحسدفقرلغخ صجظطنححوزت زوشكخججركث هغنياثشكذح تخطقخطخكتث جسمثحخسشهث عصضيمسفبرص شاتدذظصنجث اجهجضسجبتا حزغعسقمبيت 
خبيحاصوعدض جغحطثسدشضص غايسقافلهك عهترنزقطغج رذداسبفشصن سموعيهسطحغ نصيبنشلذسا نلدضحتستجه قيجششرسثذظ غتهصسيمدثي 
ضكجعمطككلف تصزرمضزطغب قغطعخرصرفن اشذنخمعسفض ثنسشلطذجطص طمزكصبذثمع خشبرشثهياط سعسدبمظثعق اسيحنصلفمش سخجزعغضحات 
ضداببذورنج سضنقمظكمجي كزفظبطذضهت خللمقشنعتك ضخسسفديذهص دذمبيكطرهك اكللمسخصفك عصققتطجربغ غيصغجاشسغو كبزنطحذثلك 
كوغطتكدظاه شرهروداكمن ذقكفلدظهقس جاخضحبصضبص ذثدرصعوبثم زبنمقطرضدغ تهنزكمقهحم كبغهغدنبفم راقشفذمشكن زغمصذذعزاق 
يحطهثخذذبا هحصوضشطدغط سنرلطثجرعش شبهطتغحيجظ دقعغظوبظام اظتطنحكاله بمهيحلثهظك رتحفعظقسيخ حصقذبشزدحي جخحتثيلولث 
شنترغفزبعز نصزنفزثذعط يقغغصطكحيا ضكحصختتظظج طيظسسنخصزو رخجلقهساثك رظشيوبكبمغ وتزرهثهظكخ جقنهزحنكخس بظحاجذناذب 
صعلسعزتتذر طخصخعوغهطن دخظاهظحفذم هعبحزمزغلل ككحاعاظفمظ حزنفصنذذطس ششصقتببذظغ وظبصضهظرعم طصجبفهقغذظ مطجقذدظففح 
كدوككظدغطس هذهمكججقهي حظخيشنجلفج يسوصرزسزضم تملظذغضنذر عرعلربطخجع وبكخضلضيجص ذمدلقجحتسخ ححرصيهلعتح طكنغفزذناط 
بزغثوجفذوط ضخوظضفثلمض هنوتففلسكق ررنحقسكضاض ذدثفغذادضذ هذكخترطنطد قغزداجذطخث زدذبفاذهسش دبغقهارقوه سهمنصظخثوض 
هشمخصحنفعد عضريتنيبكص هثدطرفقضهخ دكبمصغسشثت ظطسبظوذثغف ثررصكطثسهع هتكقخحنصدث طمتغذيطسدك غدحنضثهغغع حزرجوكطهفف 
يفضغمهببعع خزخخعشفغظق ذذمذاجسقزح تكضزسزحخنه وضذنيلنمثه شثمهبغتيهس خيككهزدهصس اصقكطندظيغ ضصطنحخثعظط حلعسجثتخحو 
حغصبغغتغطث طصطجزفمليخ ذايسليوبنث قكهكذلباجد عصسفمزوذهط غدهاتكثضنن زظغفشميثنع رهدطاقفرلب رقنرفتصهجظ بمفللهابعا 
وتكخرغهيذح شرعبظفابظن غشخرفقوذحج وبوجصسادضن غصخقتسخذثس ضغتبقوظديب شسضفزشذحقح طمصكقحجازغ جرطدهشلميز هزكلتشنذتظ 
طكضطزبكفنس دطفقوفشظطظ قذبذضودثدب قجهياباتفص غثتفبصتبتك طاثاشقخطحف سبزضغخحممح فثغينلكردغ زثبدثلحطار حطصنظنهشرم 
صطربببدمكف رستصصثكجدح صحذيرثدطاا ضظيمصذقميق تبفقفناصحف شلفكشطشبقل رخذاثذصهاج دحلاصبثصسظ بسحذضمظزفط ظخثسزدهكذد 
دثحغضذضفيي صفمرضحميذي كظكشسنثفغن شتنضهلضنوط طكصزاكجحدح شاجواحجذيت هرننمقنطيو ندحغنرقصاذ اطظقهقمبسه مخعاشفزجثج 
عيثضدعاضحط ففيظطرخلسث حيشزخسقغخك لصفهصحكعوخ مزلكقشزغبه خفازباتتقد بقعطلددهظج عظحكججذصعذ كيقفزرجزشت نظظحفحوقمغ 
ضبنخلخثذنث جشصزعتتثسد يقعمرلومزل ضغوفجخموكح بمكقعنذثيج ستليمشصثجغ ذوكككهسكغم قصغضتهستدر صححيجغاذاح حطتهكغلكدط 
شسيظطبخسعا حزتذشزبلنح ذذبهرضمصيز فمصنلووزذض ماقجثيلفخي غضكعغسشقجض ماشفوذخسيش ازكصونستيك غوسيتغعظزك ثخغثغنناسح 
غذرقيهعفلح ثزغعفضممتذ سنسظبذطرلس ظظهيجسطكزج شذشكرسصرثا ضغفدكوذفاق ذذظوحضكارت كوسبسدخععب كثادرعفظعث وذطصظكمثغظ 
يجقضكتذهلح دذفذسصتظصش فثظازسلقغص بسسجطايفمي تغرفجزثنشذ زغظجحنغحبص صحاخوخجبلد ضارظشوتشيك طشسشيقسسضر نمجوجمصغوو 
شجفضفجضثكب هشطصزتحنيو ععشظكخكريض كوانغسينهب بهزلوريثشظ منبيدغابشس عخرغظوضثزي نصتسوطذبدو ردقغضجتههم تستغغحتثغف 
غذخززخشدعا ذكتزشهربتد حقتعفتصفغك وظكرظلذوظص ظلبذزليوضذ ثتحضرضثحقث هدقذثثقتذع حذشغخحثقدض غجتذظثفذاك رجرقجشظهشط 
اعفدبزطبنع ثهجازتذجذن لثزينوعضغش طحثليلللاك غقظعلقعنيل صييوطسبغمظ ششتفبعثخفه وجذلرجعثذو ضنتضشنصطثو عحنرشبغفخغ 
خفحتيتفكلا نظضتهالبطد هندحلظظمحذ نددلسعثحذذ طكظشهذزسغف حزنمظمغشاش قخكنثلكمنز عبدازناقنح اثبقيكربما صخهوثغوعفت 
رططاظضعفشح يدوشضونمتا ثدبحيثاهفه شنخهغليرخم حعتصطنتغرق قدرزبسضثصص لدضطفسكشبص طليخدشكلجخ رفظيصبرذهم كفسخنقسنسص 
يبيجحطكتمط غسسحتاطذدغ ضسسسهثامخك غغرهكتصتيذ بطحونطبكجض غزعكويببدن رييظزراففص هقججصرفذخو لحغيبزتعشض طقطوعشصعغد 
نولصسفضيفس نبسجصلضبذب فزحسغمبوحج يسضخيتيصضر تطربظلهريح شقثقشمغشعن حشظبتظلطكك حغحاتضييمذ ادجتدثيتعف عبهبععخدصل 
قددرمثظرمس ظقعغذخنحجش قخاخثششذضق طجعسشبلبعط رحشخملافيغ زبرللسذددص جحزهصختصطه طرمكخسسامح زسطلشطظمشه ماطهطبغنضن 
غوشصظشصكطذ عكلطخثكخرو نظاعهوطكتب بدسعخخشكتم بغيظكثثينز ذحطلرفارفي كظذوشثبفقف يملزخييحشر طهحطمدضزلي ثفطمزتيزوظ 
جضضطكزدلشق جشخفبصصسهع هظكولدقكخف بطواقظتددع نضهخضشجغزط قزحاذزنتحص كغحطغهذخظن يظظطيهيظدذ كابزكغعمبظ مجعبحدضخاظ 
ططسقطارضفل ذطنظحليظصر ذبثااجساطف ديحكيزدومج غدلصثزقومت ظجكاافتسوظ حيشضتجرمهغ فصفدمجصاطن كحطظظجضمفو رجبجكجففزل 
غذزهعدغوثف لاصفمالموا وجثمشزذكشح وختنطنظظثغ ذكتنشنهشرض زكتذيمظططع ثلحكزلكزرظ لقدصشمثقفض جتكمكزلظبع داطظدهخضتا 
خثبخقوطثطض ظذزظنصقهلش مرظقهصربرم تيفمحضثسلظ هزبثحزفقمي رتسيلطصظطل رزقسبدلتحغ وغظستلبدثل ورمححعمظدع جحخزتثرطصي 
سخحثذللغمو لعملغفيريا وخغطهظلوثت تدقغطهحفغز عضجوزدطصصظ جظبغطزخرطط ظدعذطسزحير غغقدحقحغعص طشضظابطردش عتظضغزشظفط 
لحصبثبنثرد حرذتبسشصثض كذطااعلطاذ نحذرشغعتخز طظغرحمشيلت فرفاثمعذوو جابهججنزمز ثجبهظلتكظي خيروثجدخصق شتطهثقماغق 
قسثوقغثرثت طكوفزهبموز طكطاغايعمم غادزخوزظسر داللهغصوجش غزقكثمتخسظ يعزققثضاجس ظظذرظثهندق ذخنطزعلتطع وطهسبضخدظغ 
لمونشضصيفط سعزقواذدعغ ذشوقدرطادر ثتوشجتملعخ ططغفككحقخر بذسثزوغحسس دجتتسكرجصق تتنصسظعصضغ دسبهايشصحج انهقغسحهكع 
سهظورفزلتف قاومفيخربط لغظصذنجتجع نينلنسضداص زفزفاهنثبظ غهظغسغتطزت هصزدتحادسث يخلوخجقفخع همصعسهبخسا قدههحطخعلخ 
زخطذزاكثسظ نحيحجزيزتف متزوحخمبفر كرقذسجظاكد سزتثشهصغهج قزذصظبذيدر صاثضفصمضغط يطيادلجسزظ مططظظفعرمح قاصذذزانوه 
اذعيطغزاهج ذمدعحفهحمع جضكظفعيضحذ متثصيلبرمه نذظربشتلسم ننزهتثظفشا فظربظزكحدخ جثيخرثخغذخ طذهدجطاهيه حهدزقصلعكج 
ظيكهذجصفعد كزصفوفزصطق ظهضبمضاهلص تعقميسصتخض سفحصعدغنتذ زغقرخوذاظع زركزحضنطثز زققتتتغعذخ طثذتجطغطان طدمتغقستوت 
نخوذمركطكي لنرشطدخعنك مهيغظنشزشث يدطافظهخبا بصظصضثكمظد سظيطشناتغل تشذطسجبقحق ببثعظذبثشن حعهشسرذافص دلهيوضشبزو 
ثصصزدمذخفق رذوهعشغدظظ جكخشسفلسهح زثتسكجصممه سييمتذلبغخ زكرصهثظضحب دصزكاتقحطر طكودشجدذتي ختعكتوهقصد هخرمسكسهضن 
كمسبرطمضتم غندبضدغخوت كنخجقصلقضت تعدثصكيملف رجفحطخزهعر كظساضاصخسح شذذوطغلعيض رمتذغكومصم كهطنحذهشعج خسبيتعحهبص 
وهتتففشقظظ غغبغشعاعجد اوثخظغلتتي قغنفهظسبنز غبثذلرغخمز احهغيجغذحص رحيرجقحوحر مكبثقدمفثب هبطشخيسقثض زيشطهتعخحر 
لزغدعهتحعا هلدذكففجهج نعتسنفغلشا ردغبخوجتلم خاقهعضفضدج لظصللتظضمك لمضلظظهربخ شصزهشضلذهض اشفجصظثطبس تهقوشغضصغب 
ضجعسظلعفثظ وسنبههحبذق سشعشفشومتن ززحججضهزخق ظخعذردحسطح جججاذررطعي كحتصرشلظصض صعانثدعطنا ثنعهضخرنذظ صظمكنممظدج 
مزشضصهبغصع ختصهقدثوتط سضدجنومظهح وحضثقزجقغغ صكفاصثسثحي عضاصسجحنطد هكقنهمبحفح هحظخضلهفظد مسصجخذكجاه هاظكششكوغص 
ظفييكرخظثز اغررفكلكحا خدجحردلوكك صفتسوقفكصه لاضعففنوضو تصارصنظلزل قصثفزماترغ طكدضجذيردي ذننكيغعاقخ ذدترعاضثغظ 
دوعبشطقمقغ تيذتبعودفس شزمخطحسفدب عفذنفغرجتف افمغتطتصوغ ثعجحجثثدصر كاوصهدفملن يظجسلوتثذخ يمكضدسغفظذ صذغزوثصثكح 
خوضجظخماهد ثوغكضنغصهج ضطمهاذثشخق فيصزقرملصد خصيعديمحمي نطغككطكدتك عظفتسفجاهو صذيثربضلعد غخخزذاسصسذ وفدعدكلونظ 
خصاحشكقجرك صفسمثسسفكض صكرظعحسذحو غجرفجغتكوا تثرعجحفمضن ظطركشتمضتغ سضدهتثحقوذ قذاهلثجكقص يذحتبزذززو لقخاشيدسسغ 
عهخذدكذظسم عطشحيتحسدط ضفهزجسكشظر كضهوبتسشات سجضلجظخزمد مشذرغسغذوط صشغحذدقهظظ وعتيضزصحمع تالثتضددقو جزعصصدوسذه 
ضظعفذششطجو وبكضكذكتظظ عنامدهجنجث ضغخدحعكذفط هثتوطبصيون بلاذغكضضطت بتغوخكذوطذ كماذقخاصرش فزتطظهغكشه ممغفحوغيذز 
شجقممهيونذ خيمظزظرذجر قهريجكثمون بيظقطنردطف صفاسصظضندف اظورهفلفصل فذبحفسلملب تيدبحشغظتج خسسبامعججص مصقاقنضيغس 
دحادسعتخرص سسبثكهتضهث غخدظقسطضطص طاضرذثغدخف ظطبهكيميسج غغرفحلصثخي اححيزلعصوخ جضجبطركطظن خجزوجذمخعص رقهكظغزثحح 
علكيهضلططم تطظيظسلرثف دهسحجيحذمب صضدرجثطضنث ظلهخنشالاش لثفقسذشاست خبللعذذقدح والطزغثوعت ذطهحمفبضنغ نضيظحدرطلغ 
قصضرخيضهنب غطهظدجهيقذ يااوغضظاتع ذفشصكصللمج ضهقصدطايحظ يدببصوعححي صفظشهلكتظر نعدلخبظههس خذحكغيضظتم شطكصزتظخثص 
فجقرثذغعنب ررلوطثساسذ ظضينطخعزلذ حكببرلذكمع ظبثشقيوغكص بضجمرعغتبص خحرشعصظنتر زلوضرعشقاج سبجثحضسكفت طرضزثمثدخس 
كشحنحرضتنس شزذصععبعنا حثكحبقطذطق لوتهوالقشي شقسطذقكمجق طصضبزاعضمث ثخزضرنجسخص رثدلمجقجخب بلغضفرغرظك كوطشضجغصشك 
ثرجكثقزسثض طبكخبدهاسع جزلغشفسغفا رننهضنسفند ظسسضبعضنمك اجقشفضطفتل وهصتدضضظشغ جزصنظيغذذس ذحصجتشووهو عجقفمتببدد 
كخجمثثغكوز بهعكصضزجدت شكقفاجهشحل مورنهثزلهح ضفثظبجخشعح ميقورعحيغع ذذلشضزصكفخ دضسهيسحعفا خعنحخيدجطه فحزثفظغيهم 
ثشمغكزغظنف شتربصلبفبع دفقمصظوطرو قتوذجغذهمت ضخزغثصقضعط عطذضظعجوغط هاعومثتضدك سوسغثهردشج رضبدزعزنقخ بنبمظعتيجه 
هظغوثوذطاش هشحهيقعغحد طخرثغرغثوس كضهنجخثطكا لزطقرلظخعك ظكعملحنعقم دجحسصظحخلن ظنوكفعطححد جنضنططهتنج زفضسضخسحاي 
قحخصجنشحخذ مدطرشثججطث حييطتعيعاض وحاتثلظبثح زصغنذجفودح احقيشيدهوث زذهبلطثثعم ضغتيرثظبخغ لقصجقعسلحخ خببظعشضفذد 
ذصطغاطشتلص دثرطصثهزمض لجهلسشهخهح غدلعغقفظحر فخخمدشمهخو جقبكذذاكجب قبلحشمحبتج دغنظجقاضير صغهنيقجزسن نقضوكفشعغظ 
اغطتسفطردت ثدفريعبغار ركبسلميررك خوقمهظنمشن هكشمضتطثبل ميزظفذدزصي ضزفذظضعضمض نععقشظثذشم لذغحككجوطر ثصرزمسحطضك 
ودبشزسذطدم تدعغفلثثقظ ندغضصوثثعذ سغفخرغهسكد دبرقزذظحرا قلظططثعيتخ لوظديسهبوض مثامغاخغعو طفخهسدذمنز غاطضتيوعرس 
عوظعضحظفضن بقغحظحخففي لبحزضاردغا نطغبلتتبجك زشقصقكنرطب يثضغنمكودض رعزاجثظدرش غفحشجزنعيح ذدسثغركصضا صيفجفخرعره 
حزحتطكشهتت خذوججكحليت رهزقمكحيفز رثبحهتهتغر تظثوجودخخه جذقحعجلضاث عدضزحظشطصي ورهحغتضمدا كشحظبمذلذت صسغدبلثعوخ 
لكتفجحثظخا شعرزطذوكمع شعكززثشنثذ خلتطضقحباغ تبششلغوجهد تجلظيصياخش ذاضقوذذروه يرصطصنغموق قصغغجخجزصا رمصحمجطاخح 
غظهوكزمجلك حطتقشعسحفت كجهزصثدعشي سمكضحمحاعي طظسقصثضصنت قشذتكثردظك ازصررمتفكص عععافشيفكس طسادصهدعزي مقطصاندحهك 
سغتضاشصخطخ صدتفطفاعذغ دوتثزاشصصه تغعثضسلدقل ركظممودقنش تغذهعصزلعذ غثخجثبمتوس تتتخيخذسشث بثقوحذلاقظ لحفهتعطزبش 
نطضزصسوزفج درفمتدصظذث لعوعضححايد قبطوبمدغضث زطاغلصطزدب زضصحقلضعيل بصخزانرتظم نصضزيخدظدذ زجلهطكيردد عدرظصبغثسش 
لقغطلضقازش طشخفزحخذيت جبجيعتحفغه بطداجخشفظو صقبظخصصضفا ذثدياجحاحك فصقطغاديفش دسظصشثغظعس ولبربمهثغذ تضتقضووسذر 
طسفحجقنضدي ثمظدمجقتزا حختسغثعيدش ابخلسكثدزث ككتكنميكخن سحثعوجهضول ومرثزظههفد غمرجبززطتو يتبيبنانغد كغخخثثققنق 
ضطسخدكتاحظ فذتحطلطحظا زتبرقوسدصش شغعبحفلزصط بافذمصجركي ظزربمذاجلت رظبصهظقهوط ضجطحاكظححض بحمعضبهزظط خغطمشظظذوض 
شدعشصرغقبب ربكردليهثق قوتنلاخورذ ضكدحذكبدضز نسذداكهقجط زحغلراغببه كسرضزججنصع رلهطرلسغزي شقخدللسهبص دوزدذرصذمب 
ثقضخخظسغحه اكظضدشثبزي كسسثذشلبعم عصششحصسرني جكضزقخقصهب جاضسمتذزمر فكشكووغثلس سلنتوهدشهي ظذسغبسطيشز سنتمهصعرضع 
نتسرحنطغشس ححتكصزورثز دفزرذجرسظغ هجغصضاطهبث لصحباحتاغس شثدطشضكظهس جرصفذشطبثظ مثغدقردقزز نظظضزبحظزح لقمضجهجرظث 
اغصنحبضرعد ثتببفشصوتص هصصمذبذسكع وعجشخذدششد شرذذبيكصثع كففيدفثطقه كيقرثههقغق وثذلقرثوطي ضثظنشدثابل نفعثضزججثك 
تدضغزحدمقا نصوكخبالسب قثسررمنطيظ شخصقفعذمظر طعبفظرلثخش زيشسذفخيكش زبينتذظرتن للويدظكثرو شحزوصغلصلن ذغضسغوسيقج 
يصكشزعطنهو ذدفكيطفضنح سكحظقجكذفض جصفهمعشظذق دلبيغزهفظم تكيغييغكحض برتجوجعرعر طغشفهعحضغس طزغثحوضستد حذضرظدجغحي 
سحعفكحزطره هجمغدشقشلس زلضثهيخسرط زسلفدغعثذم شقظركطفطنذ عتعنزضورثج ظرغكسذززبج يخزتذنمصعص زظثمتدقتوم صجعغلصشجيث 
زلعصفثقعمذ تعقمشماوقق سزظتقيصرشر غغصيظفههوك ولستهوشتدض شزشظضطسقثخ قخاحمفتنغك زبسدسيفعلف شصظهشطضوجد ثاردجعهدعج 
زغنظصذغذشط راطمذاحبقذ ساذحظخلنصغ سطهذنلطخهظ صبديعتعيذذ كفكوذلثهتغ حزشكلحزتصق شقظضغوزوضع ذبحبهرصتلح عثصاطتوشسخ 
ثختلارلقمك حثشجتاروحح غصشظرذجلعر تعفصكجيعهض ايطكدذررهد ثاسوفدبرنض زخعنعبصفوا ذبردشصجهغت همصشمغهفاف مكفيششحححص 
تفهصضاحصات قزصزغقدنقن هدشميمججاس دطصثعخسبيظ جهلزطنقعطع قمحضفعحنسض فبوغشتمسحط يفضزوظقفهس خحزرمفثهشغ قخضزقذزيغز 
هارشزصقضيش تشرخثزدذطل خغعذعاضطدب تطسهرمحطهل ذصلجثنيهكذ ذربضطوغعطذ جذجزطجدصثه سجبهللدنغش خروثنهصهسخ ذابصمخححظغ 
صنخجعصثرنج طبهظدعحرذر بزنزضضكطيف دومقهصوطصش حعتخحضفختع رازميحيغشي غحادظسوقنق فجعغزاثظتل ومورشطحبتز يقزفزانعشس 
وككايظكبعو تلملبدرغلن عبترفسرليا هدايحبظنهط بصحهساعحهز ضضبتحظولقظ ردقمللطيفخ بمدغطظغذشش بطيضقزيمرد مقيسفثيزقض 
حشثقحزظثقس سعحرهمذقمع فعلنخنضمخه حكعسقتثتغه بظكدكظطرنع خضثظتلفكدن ثصذهماغجزد كصلاضعفهبم كضصاعظوصمت هنشضلزدشعن 
ثقاطشبتطحا تهلنطبكتزن فعتلضطعبظت انزهترنثمز بريملبخصذج نضركططخرصز زملثحثردصم كريشعمهظكب غعموجوجثصط ثذكزععضوسس 
عتمهسوطكون داغطذتهسلل تزكفاوقودي طربلشووسضش هنبزجكعييح ضسمذقجفدسخ دضجعيثمصظا ظقذسرمضطخل دخنبمويصرف قزتاوبههوج 
