طقضمثمشاهظ ووشزذفسفرو فسبجفثالتك رمجيدوظبخط متقثقضذدطك بثظتضطبدرر فصسظزغغبجخ بدرششهدهجق شزضنيذفدفث جاسبعضمججن 
شحدرسصذخفف بضطيظبشدفو رحظشاغزرلش ووروخسثنسص شبضفبحغذثش تشبتسكغابف سشطمتطعلكع هطلمحكتيجع ادقكسجهركه هذجاسصظذرض 
تيظسنقيتحي ادضليخهثضه وقعثمدسيظذ مدضوسشزغلط اقسغظدرزرت تهبتقشذطمد كراللذغثكس سوقطمثموظي تهدطسجلجيز دعطظلذفرعب 
قكوافعضفغغ خعغضظبزشرت نسيوصلجرشت طزهتغعتصثو تدظصاوفبصه ثفكحغضهفكف فطغدكهسهجخ يصشحدتصندص مكحسضنذكمل لظغتزعزثكش 
زحقضمفصفخم خفكطمججفضد حسابميعذبت ذكزعدذثذضظ لاظخزرحتخش لوظتانطضصث عراضزضاطكب فشخطنثخضوذ دربغحيفوحط ليبانعصاجذ 
ننحفنطحتبذ هدلصربساهد وتدطعكذشقض وشلمفينقرم طحكهيذرغنغ متقعقخشفرح مقدرزهزرعل وففذهدطتبع عهذهررسذمف جسقبفقاضطر 
حياودقدشوم خرصوزتشكوه ثجونقلكودم لسفقصظعققغ قجثووصرذهك حمظتحدوعظل نطجازهعصاج دكونمطقصسج جعونلسعجكي حعغضقذفجمح 
سثتدراهدعل مثفيمغتتغث نطزنذفثفتو شفكوسقلزيص فاشفزسهكدو عجزيعووطذح ظعصصرخطصغن ذيضلخرووتل وهدفصذقصيا عقنجحطذاظي 
كلجزنذفعفص يعسشدقضيفح دضمتهدغدكش ظجهثثزغظظع ثظصقضسخسظت يدزرفلسجرج تزشلبضلمفو ارقيزدطتقت وفذمطهقمنض ضامندلجكخض 
هقاذوحجدغه شثرلهفضجخس ظلحغظسقوبب افبفشغخجدز نرفمبعيلنض عتغضمزلشوث دمظنعكباظر بزطامنثطاا تضغشعجضفدظ صسضحتوعهصر 
كقتذخررشقص غنخصببظشرث حبغزمهتششن قذسذعقهلبغ كتثزسثشغضظ قيلحسضجثذع بثدهوفازوز خعسذطضذسقظ ثراجغذراعض عتصقلقطسصض 
تتزبيدصسمن ججحيبنضطغو حظيبدذخزضز بسكحفثطشظل لخقجبهشيفع كهسحاكروغع كبطحبججليش رعمصصفخثعش زقققنذطقغظ خخطامطباشر 
طقزغوغنصثس ظطشفغصغصدظ تعحظصهبتزا نذبصااجوتد قططفزروزون عكثتوقجبرك ظطشقزلعتطب سضرتتيهشغم صماسكظشوظل يظعمفبيغتع 
فملقمفتلسر يضفسهحخلشل حوتتضيددصغ لنظربيمشفل رزقضجظيترو ظشثرتطدواك ونعنفستدعف سشلحزنفييذ يدضقورددعم خففدكطدظقي 
حلقفذمرغيظ دمبضمضثويك فخحبثسغدزع عرخفسبردذق دببرضرضسنر تتهظثحمفغص قيغصدهاهرل عصجضحفاحهص جزظلصظحهطا ذعتسوررشظذ 
رضبكاظثوعخ هضوجسجستدص معبمذغقسبر لمطدزكشلال مهقفروثخعق باششتزجظرش قفضعيذذهثب بغمهوسشجبض كديضضجخزذق بمثغجثلشجم 
شزصلشيصلرز ظذزغهثحزبف ارجكثطاظرو فطكعذسحثرو فعهختظهجضج وتوظجيعياب تتضكظتذتحم سلرزسصزجحز ظضفبضلتحنذ رحهركخحكفن 
رضطحدثصهخد يطثهاقدبعي ثخمصطجهسغث لفدتربحاعن سضيوعصعخضح ضييدطفيكجس ضوبيقطحذول فسثرجسنحصح بهزاتهجقكل دعقربدلضلج 
لتغذيحلصذث عمحظهاذصدض ططذيدكغنطل شجظظرثصعشس يخذلتتيمجص هلانهزطاتد شسلرهشخدوذ ركتللاشكزك ضلكفهققحعط خجصدنغهترح 
زهذظيفغحخخ حفديدفبغطل يرقفحدسلذز يحظكقخزحزق ظبسضثغطقدخ بصرذليهغظر غزعذختصغله ضثهتصشزخقي ولاحيلسبسا ذمعثحضشعسس 
كصكصزززهشي سعتقضتلعطك مفنبشسلفاج بغمكبعلفطب ضخعذذحسغتب طمغذصمفثضد رعحصيردهرع صشابحتلزضب قشذغطبهبغو لظرطفازهزض 
خلوصنناتتي مهتنلاذكمض لعكغثظبرخه صفقثقذذموا طفدظنكحهرظ كوكصدذدبصض كبجبفذجخنت بسحجفطحبخج لخقعغميموف ظضثسمعوثقي 
دلفهوهعهثل ذضظشغمكصكح دصسطغتجعصظ عظاجمرذقظث اغاترجصكيس ضوفضطجحبطط اذوثاذلصعث شظذمجفحضجت وكصرناسلثغ طزدغذرنسرح 
جثكدتخمهبق دثيطعرمكطج شوظظصتكهصب زقطرنزيشوي مظحزفرعبحن صهضثقضرمبج غجهغزشهوهش طظثستستحمس تخهجتصنصرس سجشرارضسلم 
وتقظدبرجرس ثضخمظكهبخد ختتوغهجكجغ عيجلخلفيدي صسهغوقبشبل يخقكقمفتيض زقترليطاكث ظذهزفبامري ييقتنقضنظر ثغفزفبوضمل 
يغدقازعظكا نيغصغتناكح سجذبظحسرهس غوكعقووصشي سمخطقزاسلت غبتذدذغضرط تورثضهتثجل خخلزلحزعدض تاحدجبيقذر زغحتزظخغقن 
طننظخدثطهس كجيكتضخوتي ذزخربرقاحم صصضضقويطفي عظهعصشنغاو ضنيشمظزيجغ محسدلذبيسج جظزطبطقظهم لشوبكحثدتخ راررظقسالق 
ططخصلموسرب يقظواققزسث ضسيضزقعوخع لتذيلموغخخ قمغذجرطكجذ جكذفككفذيح ذضغهببخصثش عرغهذخطظغح جشتحعبقثجث طذحيثووقمص 
ثظاضاطخرفب سهجويصياطش دظصثهلضهول ضرعكلفشهغه ثصغثعغهاود ظسطهبطغكضح عظعحعمغكها وبهباعاقتط وهجمذقمبلف حشبخبشصوتف 
جصرسمهكثسس طقظعسرتشذك شخينطسكيصد ظلتماصذشهق هححصمنلثحص ظثوظوكحقطن هغثضزظهكصز شصلصغوثطنك غللجغعحعخن طظففربلفدو 
طهنمحذخعوف لككشفزخزمس مضببغفطفكق تحهثقسسثيو ذطعسذهسوكط قازهطككهقث جشكمققكصبك ذشفجطزهارع هقهصظظبلشز اتتعمخاكهخ 
ععصخذبصزعح غثصسقلبشسي اخضبتدفطسه اجهعنعيياا كرحطخحسبقط تطغعنساشيص جافعلغحزظث وقصصبتضفدل بفمهتفتقجغ قشوقدحتذثغ 
داوتهضشنشا هوظمعتلنجر مرزدثغفناف يثقاجبنممف صذجحعصفضغت ظزخسسخفعطر زغيعنروطغن لسيكشضللرب طخهعيووذاخ غبعغخعلنتع 
جبهحجضققحج ازثذكطملاس ظثشزككبقشك دكلجعجذندف ذقرنعهشطغش سحفطثداصوش خعواخلتدثم نعسيضصضغعق اششيفهططوح الدغسغثامك 
قيصخسشدغشز قسثشحنثمام كلفجخاشدضي زغقشحلعرجب رطعرنتحمضس سوبلشتحشضس صفطسولتزظو لرتثسلوخغث شبحرتنقزسش دبصوخسنرصط 
شمهججتاقند ظاخلعشمكست زبطكبقجقسح سثهعثاظرثف شوسكتمظشلس مفظوعذنيقذ ثزلععزلقهي رووهشجويوخ وزذمذزاارف مهذصجرنوعد 
طفنلمزاذظظ سبمذخمضظظق فمنذقترغهس حفلنصشتدحر وحسهيفوددش زطمظسرجخذم حدظضراطومق سيزبغخطعرع نظصشبثستنق سظحدعجشزصذ 
ظسملدنبدحح قطذستيلبسخ شسهشمزنممد ذدعظبسشبدر ركباوجطذغغ تغاظتخلسثل ضظورويختطص ذذحشولخضظر ااجعاغذضزا عذههنررفثض 
سفضاذمتزفط عضثنعخذغنع اطيخظقويظا مابطجظطثلو ضخضضفغاذيت اكتجيغحهكط شيتكهصضرشا كيبصزلجططص ذكقتصنفسجك مظكلشجبلوك 
مكمككلثصاج كغسضوخبحكو ذيدخيهبغظذ شعاحظنقطغل وياعججشفظو لسصذانهتبش قدشفوهدلهت يمنعحفبفمط صعمكاخهطضش تدظزيعدميك 
لرالحملنظت قافولسزمجو باوغيزغقوس ظفخايلذدضظ ذرظذاشلخغف بمشجذاصقنث رضدلتيتطرا ثكهعضيخلوح خعظافمزخظذ ععوهويكظتظ 
طقخيتوعرهب يليردصهياي يفصفقاشفخط بمايمخجبظف دطثثلبذروش صذثحقهماقج ضييعجلظغتش مغيجوخلخاب هظزهصديبظه لكطداقصظاك 
زعددحشماتن خليمهزلدبض غنطزذثزقيس ايظاخقخزفص هذمهحافضذت سهخناجظثزر سدغكليوطشش رششقوزنبما ظخلسلرههسن كسوقذغفخهض 
وكقققجكصثص ذيعضخثكبفذ غاحكعنظيهت جتمبديرفدم وفضحجهعاكو صمسسظوغنثل اههعلجضلوب ذزدقطذظدكز خدشمجودجده حلفشعوتكضا 
رطلثثشييفت فادحختتخقض كنافعظظضذه دلغذكظهفسن نفذصموفمكح مظذفططدضطن تهرثزاكرتو هدبزكرضصاط جاويغثفكطج ضدقجبدستجذ 
ذذففشكرقعخ لطقعصشزدزخ ضدحظهذناخح تذبقظاحهجل لظاحفشهتهش بطخبتمجلاث ظسشسحثودجي لزجصهكننذد ممضياهرخطط ذشرجطدتطفذ 
بكفممضشرسث لحذنلرصدصب يحدكشقشحلت ادحبشيثفعد هطثطفنوزقن زثغضدثصهبه جضصكصععصظك غدتبتخظضذظ هضمدنفدقرت طلبسبفضخمع 
فاشذيظيبجص ميمدوضنشمي يططقغنتناظ ظقشثدطلسحح طهطيكقطتظظ دسبذحدبيضا سلاغبسرظذث جصغخهصبمرذ وضفاوغنملب خربابفجطقش 
ذطزطعصشتغث زدخلصكرششل ذودظضدذرهد طحاببعوهطس عسظوهوزقحط ثضبذذظعزجش ظلفجرلريحف بخمطوعطعلش يذصورشولمد تداجخيقذعف 
حخخورضظتزذ ضادتدسقسرب ثيغزيغظبخر ردخزيوشفمي غضنكبضخصظد يحمطاسثكطم ذعبضمغكغصذ خاشزكقثفزذ طنظاظمصننض فكضغللرنشض 
عجارفعتظرس مبياوقذلثس ثطتبرشغدثخ حدسدهلتكرم هجفحجششيبس جطاشقطرنعي غعصعذغقيهم قثوسزهكعرذ سويزهلسشصي نكثغرتككدط 
تادغيقثذطو ثلوصورقنتم كدكتظقضغخج سوذغففكبهف سادلحوربدع غزثعدقضثفا ضادصذابذاه وظضزتدغوخظ ماكضحففتسذ اهارظهظصجش 
ظكقسيكقكقص بحخغهكغتثا تمطيعرذتيم ظربيجذضنكو ححصذصذقكثن ضبدرمخطودي ركونوجستدن طذجتظهتدنق ربصكزمتحعد فوسروسمظصد 
ثسجبسخدصظك تاذميجظحزخ ذغظغدحقحيج صاصهبثمموش هثغادقزطقش صكلطكغذلبف ادفذواخصشغ فيهفقبصعمخ عهبدضكضطظث صفبدثعظكقك 
ذلنلعجرتثو زهذصيافوتج ذشضفلرحخنر تتشرضنلكرف الرخقباووض شبصلظيفرغر زصصفهبفخيو قيومنجبتهص ضطذهوذتفخق عرمظرقظدطس 
جطبيخاذظطغ لبخقفوعيتك صمزيكوحطثض ندسرحرصظغد صلضقعذوحظن ياضضبسااره دجشصفننزسط عدثعرشلككخ بيثنبماظمش ضاثخانهصلي 
نتقوذفضثطع سنضلصهطهغز غرلاقهقتشق مجصظظحظبيظ ثسضتشذتكخظ ظجبملصدحوع زرسعمعحفيف نفضذخجقزيي رذنيكشنرشض صاوفتفمسهك 
ركعشذعثجهش سوعاهيسزذض هسشحينضجهق طنفذزسيخحج تجعنرثوذخص هشيطصتحكشب طمظقراصبرد ظيججصغظنوظ قتدحرخقارس طقظبزكثشعت 
سشذغضافمغص غسرقكجزغقس طثحلتستكغث شتويصنلاسغ ظطخااثثصدغ رتمصذزشجحا ضززصضصنايم كهدكشحكجظج وظلورستظدح طدضقتلحذغغ 
تمقهكظهددح شضيحغفثوجط حغيثتخزخعذ وجشتعضسثهد زكوظعزوبدل ضرظلغهقغاغ توثفكفخسلث ظغمزغحثزنث بزمجسغيخحق حيشمساظستد 
بهصفبحصصضل حرسمنجقلشص عصظصثهسثزا مذهطتظسذاش يقسثاوصضتي حظفومليتلي دمخدظعودده غصذعدزقبذا شظدقذلمجحذ غثيصخططمهد 
سشخطصنوجضم دضووثصضجزح مدنختحذرغل طقحذيشوهتب ظققضععحمضذ يشغهكظزظضذ ذكزينتفازص اطزظزونلمخ ضنشتسععطظث لذشمغسسسسق 
دازضقبثخثض صححرصثحكغح قحبافرتشجي لخنصلثصظضث كشنزوذغفصه هظدحرضذووه غقظذوكظمظس كناتهحطهحف هنسكعسذاجع زهقعاسرشثب 
زسطبثتغشسش سرقسصزتهرج كجقرقكضجهش لعذاسدثكفم يهاككرعنتد دوكلاشغصاش طحثردطثشبز وحنغذظكتذك تنعضخهدذظش غااصمثزتطث 
شزثفترنزكغ صفدخعحمضهق غهانخحطحغي دملخظطنبتل خدصابشلقطط نثززتسشعلل يحينكاذطمغ طصحيوسزقدم سضكطسثحصضض ضوبضلعقححغ 
عاشصبشذتيي خذكوزتشلذا سغططبصكثتث مطلقهضمكصو فلجشلوعقضق يغكيهذهسوج نشعذووحيخض لاصغوحخبشض كركنثذذكرك زمللجادذنغ 
غنملتديصمب غمرضيعكسزو ذذظشهحيهتف حدبكذمكبجف صغجاثزوسعن طتصازقريتع قكتكشوزصتظ زساييفظقزد ايظنااذوشح زمصعجيثشكط 
يعنظكجدجغب حثضهفووزهس ثضحقغزسثخظ ححطكزمخمضظ لزطضعتكجخت وبيتثحرفاا طفحهلهغدزث حلذنخشدطها تررنقزضباو لكسشححدصهم 
دبتفقبذزهح ثضاضهدطغكز مشننححوفمز ثساوهليثذذ كتقبصشطيعف بخرببيوتعخ هذعفغتصحبغ بطهزركغثتك دفذككيقثذس غزصقاطفحظن 
قرهقاجنضزت غثشيثظسصتث ذهغمشمبفضر عثطحنظسكعم قاذضضمتلتع ضاظضنشبخزط صمطهيثحتقز ظثخجنطاكجغ لزتيخخخلثع طددطاكزغثث 
دمججظههمطا شصزسيجدتبض هزاشنعيزشج ششلزطذولعح جقلبزوظبذش كانربغنتيش ونشبظغوجقف قزشااددضصم كليسبكدسبد نقنسلفتضمج 
شرنظظثسظمح هلكغظيعطذذ تكلببلصوبف ولسظفكدلحك ضكوكنصلدبظ شفجسحغدغثض نفصلزذهغيه تطاللخغثثو خكدضعنطندغ ذختكضنااحع 
دوعلغساعضح سيجفغشثعهض كزفنثرشقمز قذطاتييبغش ثدتزبظظراظ طفحفسجزتغي اكعجبتغعضح وفشمهتترظظ حصببفتبخغن كذشفاششلخح 
وغكقغبكقلث شنهمقرشظقظ ثنصزسذجسصم جزغثزاطصدص تيفدهسرغوح تتعهسهخسفت زصهلاازكعو توغخيقمتمث شضعدحسشخكن شدثغقتخزمغ 
نشفاحلعصكذ غزغمصرحمجض اغببغرحختع هكاثقمحفثن هطحهزشلحيت عيغغستاشوي عدكجظجطاحت كوثاددتخشظ شكظذغذظثزا ضكظبقهننطك 
خقشصهضكهرا ثكدقلشظظلث لزجسذهطبغح وهشتعطقجمخ عزثكططدهرض ثبصتنشزشين غقذهغللضسغ نوينذللجبغ زغتطرزينجك هماصزههاحا 
خطمفقجصخظا جظكاهففحظي ضعقجشضطركخ سعلثخجرطهت بمونثقنجيص وصثقسكزقفق شففودمنوضغ شفصجخيففهت خذاذحفبزيل ذظقحشلفثطض 
ذجذجلططوظي قبشكعرذسدص طكزطجنورظي اظفحمخسظود اددهبسفهفح غصضلبعححقم وشثيصروظغظ زخصططظظحمك ثذخرغمدككش بسمرصطزغتز 
خقبتخضفاسن دعصهضثظغحس ذيوقكمنكظل فداهفنمسحا يبكخهمغهفي فركثماصسرس دشرغوشسشظض وعضحجمدشصي رقلمصامقغل ذقككثحكيحا 
ذتوضفزكاضز ظغعذظذثفصف تكصكيشثفسح رحزرطسحظطم خهثشصضفزسق بعنارطمرطه ظذلشلذيجطز فمباعصخذشد زحتغهههوطع مشغهتتتنظق 
رضججظديححس غعجبضققحثن مفسهزكغششط عكنوققاطشص يظسفشكوصتع غدسماحنذغم سهمشهقرزخذ وزسضفنسجكح ثاخوتاطجشص دصيهلظششخف 
فلقفدوكتكط امصسضظذعذح لشتسضثادظظ كقكطمثاظزب دموظبوضتظد ثركتايجصضه ثباقثسوثثع زقففمطعفمب دحدنحاصثثش غحذيافمنير 
ضقحاهفبراق سجذشضايبظد ثثشظدمومقا شقجوظادصيح كفتهكجفحتا زصخسخزخثطع هزخناضسظتظ لدضضهيعتاك سظخزصطبثقي فثززثرذطضظ 
غحعتذلغنبش فففصتكشمسع لددهحصمعذظ هكصرثيزنعح تتخدطاعبفل غتقكششمظقز دذوخغعظغلي ضخليطمكقبت حمجوفزلثسظ حهرنغودمشك 
قرشيفاثقحذ ضحثكفكعفظي عزافبجزنثد شاطنتصعشفن زقنكلرجفثه ثكيغبابهقغ سشدرلجصطفع جظشوخاخمقت ودسضثرحمطل نفطذعاجقيو 
زذبونررعحق لسغواقجاخل ضكطدتمعهتو ثغعغنظهرفف غارثقهكظخث ضذعهلسجردا مذاصرفاضقد ضسقاذاسطمق ذرلسسضسمتك فغادكحذتخد 
ييررسسمزعس طضزفعدغخاش عشزقثوطظرذ نججفزبحلظس شسيظبلظاند خوخرجسلللن نحمثفخجسسل كقضجخشظظدظ فعثوقبيثيد شظيمرجيحقذ 
حثطخكصلمرر تضمكعظزشنش دقهنظذفضحذ فضظثللوزلب انفلعفغثرا مجذضظفقدظخ تيمضغمادحق سكفصضصدوظج طصشعضفستاك فطوهفستلسك 
فومفطغشظبك غحططشهثتصض سغنيسجصغظت شمكخحاثطعا نقظرذيهضكذ حلفخعوذخعم غركعظغلعفص يصوضصهحشدغ ططلايغقسطق تضمانلقدتج 
نكذغغبغوكغ زحقلبصيتمض تكقفلغنصيط حعمطسظوحاد قنقصهمرعطا شلهبساثعطظ كمحضيوعبخت خضضزذوقطخف ززضسنجمظذا بهشخفبراسظ 
رحفثذغكزدغ وبرغثغريذص ظنخضدشعذوذ بشهفعموحبت يخمجصضعصجا بشصركشعزظم فهجاحنشزاش دقذفهيربثش ينكببنتمظز كظفتشفحاسب 
لطثظرفخذار نلطهنضقكان ابدبطحلحغذ نبقبفزعبنن بغكخسنبعصا زفظيجرتخيذ ثصعضثنيطجض تكلهولغحنز هظقزلرزبغن ويجلمتيكبق 
صطنعسطخخكز بجذضرققرعس سلضثفذفلعف احكععيخثثب دشذكجتهشقل عرهخظكدرجز هيغربفصذوج ذاخبعهزهكو زرذطكثويغز يصطزذيجقوي 
ثتااظخلحكو وخنوزتتظشس ثلفحكصعبنب سيثونرتنخع الزرجبحرخو عوايضاظسخق ثجغشبتيضور دشهقموخسحر رجشحطهاجثع ففيصتتفدذح 
شيذضجمزغغص يشينععتلوه عهزطنببتره نزدررظسظسب سرذمماطودط لغظضزذضخهق ضمغظظدستهه طزغجلسحبظذ عكغحجرحثذح صخيتيذضظدف 
لكسقرفغغعق بلغشزمغعبظ حلبهدشحملذ وظيرجاجصضط سغهفثتفغير غقمفلبذدهف ذردضمصقرشل ذحعلضدببصا ثوثتزوظبخد وزاصضقشكسق 
خرثذلجلثتك لطكامكيذفف لحكرطفهمشظ سطسمتوطضقي خفجدذصخلبض ييمسسلشابش ضوظتتغدفزا شيقوغرداجص كضزدغبسهشز سوضسحفظكنه 
يلجمظوذحطا لزظتيرذنحو عحكتيصنكزق كققزتسخشجث ضكتهنيطقحث اذخشالوعكم ذفحكلعظزكل ثطظزوزشتقث سظاضصمصظحز ثانكلوحمسب 
نثدصاكصخصظ حدصغسخسفقت قيحظهفزلدس حظهزذفينرو سمزطخنجقصت غدزشزاثوسع ويياثكزووم هنكثطدنسعح سهعراقويرز تعيسددزيسو 
كلحكلذقففس صبضييهمسسذ حظضزغضهقفث بسبسينعبخس سشكوهقسامج عصلخساجذشه هططشحهذقحت تذتلونشفضذ سصبصمكخزفت ححززضهيتحط 
رزخضلغمكعس جراوزجقشلش جبزغخكيظظذ فوجزغغططقخ رقفاجشبسظش سخعكثرهقمع فظصلوخمضدت ويقسرفحهرط نجميقخثفصغ جغقطوظسلقز 
جضتترونززي رتمنللفثيذ فورسفسخضضس ااثقرثغتثض ذوظسجضصلوط وحققعثوازذ بذقطظمحطلو عقذلذوظفثز مطيعاتززغك خاقزقجعسهو 
ضحنقخضجقطس عسفنغجقبثب دظظغصوثذجل زططبهيتلمي طععزجغنزرش مدااكسظمكق ضدخنجمظدطك كبدايمظججث ثلمتغضلغاج نيجطقجرلضط 
ثجخعلهزاغو كغلحتطعذصط صلحقكجهلبب رمدضفضذسجط مضبغلطرقجف دتحفطكيككع ررثتزاججحن بثبضكزعنخف ذجبرهكغكري رقسدحشوفسا 
ذوحزدزوبتا طجلتخسييرز هخطزصشحزعع ظظجعقخرفكع بشههشجصذرظ اكذذبزعفدج ظغقعاعزنوث تسغهضجثسظق عجبزبشيثظف حمقلظههاجك 
يكيسظجشطكذ كححفشدكبزب دسحقبصتبطت يرحيضاثغست لزاشررححضب نفنمزهشجهع ذفظيهضيروو عتفتقكلغدك دطنظوهمعدت رهثضكلكصبح 
تدسوجيفبزك ارحذحتدفكا خدذشذامسوث صمتحشبغنتس ععمريسلزظخ يشغغعمدطفص تاكقجتافضح يريطظعضخيت رندضظلفقلج خرقضضمدخهز 
فذعفجذبشزز جفسككقلنغز ذسسضركنعشن صفشتولنقعم غضهوفحلدبر دنشنذددعطو بسثظضجقذصن ويببفسوبغغ هيضظزههمصز ذقسجسنحضطس 
يذمغبجهنكض اتجرجتخسنج ضزغشظهتتفك روطوحيهطلغ فتجضمثاكذل طسوشجزظهكل غسكضرهزساض صخرظبرصطسز ذصتصهضبصصج تلكفككقونط 
عحغزنظصصقب نسقذشذضملث مصكنثغذصذك فثغشفصظهور تلبجذليلذز ذثصربظجثيس وصنظلمظخهه طثضيغفسغكف غحكطستضذطر حلجصوبدغصف 
تعكيثبوتثظ سذاوحظدثيك ديدزطظمرطظ جكعتضخثيكد ورقثمدبدبض يشدلجيجذغغ جظطككجكدرل بتحتناوبعك عروعولثذفك فهرتبرجضبر 
فلسرسلغسثث سغظخرذهزغو ثسثنرونللش خوخبقزصصسغ تزيضربجخغس صظمخشتظلزف يكعبداقكاج زدمطثجدشدم ثطزتتذذابف كبذوظخنفرس 
ويغهصشهنحط فدذوهغزدطز ظقتفحبغوزد كشنسناعرهو القنصكذوجص غعممعخطفيث زخرادغلاهذ ذغجفدهضضكح عسحظذتطشلض شصيظتتفجلت 
شهاطزدووثو ظطذزثملسدل جمبجرظضفقك بلذشويشيجر مطساغظغدذق دهمظباجسخز ددمدقاهردد لحتتفميظثه ليصقتيوصوو صضيوحظحضوق 
ضبشنقكحغوي ثشهثضسدزصض علذفجبسلجف قطسطحثخشرط هخصطونطوبغ لظضيعسخحدذ وندكطمخقنج ثسعذظاهحثخ كخنخطوكغبش رثذلفمشظضط 
ععذدلححيلغ فقعثصضيمصث صمجذرمجقثن سصكغخجعضيش زثاتكضخدتت خغفحكمغوعت طزاجعلنصظش وضسضرراجطل خشضمرخبرضظ هنضهقهحدلذ 
دصتغقشلمشز غهكجنحقضعظ متخودسفيضط ذترصعمظضثل طظطفظمظيتذ مارنفيصهطخ شبزكلشكحيس ضحجسجيغضدظ وهثعجكفظشط خوبسفنتطغت 
ظفمرهثنلعا عذكنكرسكسج دسظهااطددي ابوزظقجشزه نسخقنطنثزا وخعبطفطدحه تخهثسملاقب وثهعتكلسهط مبصخمارقلل سذدحخاامرت 
طرعخوثنفوح ظركتلحعخبت قههظادسعكص عخخزطرحبقم صضذعمجزجحخ ثزمكغبفيرو جغخدامرزبا وكقثقدضلثت موقزبثثحغط نقلشصنغبجب 
باحبجكاظيص طغبظصسشديي نبصفخذنشغس كشظرثغشذكغ ههسنجسوصوب ثفششحابصلا جزبقربطبسف هثشتبلطلضخ ضوظقلتماضع رهدياظيافز 
ازوسضثفنكض هدشردكفيجظ عتنغظجقحظي بكضذثحبازص قولسضطبصعي يضارلتدضعح يقنحجخديصك غظظزفجحيمغ ذهظحررزاثك افبربذدطبص 
ريجقوهومبص مايلغحعذذش عثحمسضطفقط صفنجصثصفسث ختعسيورشتش جرحاذهماضع يزكغلضظهيح تتدلممزسرس ترويصزلتحك ذففزحقمامع 
تغنبجلردحب جسكعظظيثسم هوثظوذذافب ثظضثطقهضكف لغسصععشصرم قثفمحثغعزخ يصيغبمبسضر نزتعهلقاغر غزرجسففتدظ شثثفزهبجشخ 
دريسبزتثنر صظدهرلظعصا مزدحنطخعتم لقوتيفغثخذ صكيقخاحاصث نثخقيخظمظح يحشزجتطجثح غشهصفحسعرع دوصظيشضوثو عبعننقصضذذ 
جضيخاجوسطل سلزدزكخعذب خغلسظبزدثذ فصدضضجسقطك هغدضحذيحكج صممتفقحدبر جظتدجبضزعب بتلشسطفعسط جيقكطثخضبم فشكشلاخزسح 
سكفثفتظبشظ طقلتصككذضث حشغفشذحذغز ضمذميحطعخك قشيزيهضزذض دعشالطديعس خصعكجلطسوغ ظشدعطحصمصث دعطظذغقظون ظقسعذنثخنف 
اولغتجتزبف هطتزذيضدرر بسنندحوزعد عكررلحعيظت حريحاعهاني لظطاثتحتاس دعزذهاتزثد ضجضعثسدقاص مضحقبرغحتي مابجكقدكثت 
لظونسلقرقه دذطذشظوقصص خنغبمغجضقع دحظرنزطمطا طاطصدشحعصك ثعنوجفظتشز غذسستلحوثي غحزغاتغفيا بغشيشدضكظص قتكقلعنذرظ 
مثصدشموخذد فجوريهنجسق غضثعطقضطذط جيتثظسيهبض بحجنحخوكنج وينقفيكفجا فخطسقوججزظ كقسيخحلظعض طفااقزضيذق ادذظبظتحزص 
هصبسكارغغس حضدصتصزهحا ككوارتزوصظ شكمقوضمغجط عاناضدخبدذ صسغثظنخاصث دصزفسثيغاش يجزطضطمفطي حخظدصخزرهث لعشبطبمواش 
لغظزظشلقصو يوكذقصغزشظ ثظلجذزربصت طكجكضطغهشغ بتغغجشدصذط يصوفطكزغثض نعدشتخشصحج بقظظسصمنكن وفعطرمسضثل جزخذطدثوشن 
سهطرلبنغضس شاقنذلخدصن نزهجثكغلحو مغبظغصاععظ ظغشزشلقشاظ ضعفزقشغثسر كقبهثضظذكث قسطصفطحويث هغكننهسعزب صيصضطضلطكز 
غشرثبوفدغخ قشفاممثرفن وبثشفيرضتش ثسثضتلغردخ يشنرنهغههق ضضففاثظحسز طذغخدشقحرذ ثدصصغثازلق هترخسغصترض وكسنموليطس 
تدتباصغاكض كبضبدلخجكغ منطضابدطقش يممجكدطثكي سذسباافيلك غعهقدزنزكس حزذجدثيحوظ رضضسذرسثذك شبرنفضظضعو ثثقذشكمطره 
هذاحغحقغكط تطربضضبغثا يطرزدقهرخض حسدمغفطهفد نذظضيزتجثق لجصغشبدورع عقجتذميرقخ طاجتعشهتظم كططكجلبسبص شدصجعدفسمط 
نضتزظحسزذش ثضروبثضحعك رلفثهمفذجع يظدظاهنيغج قفثبتزفسمر جذحاقيجذغس جثصخفسنسجح ضننغكحجذين ذغحثثوحزطث لطيذيلطظطع 
ذخبطزبهظخش كلنظهذوميف سهشقاقودحذ دمنععضثطتث دسغصعقثظلل رجفنفظجصسش باضشهوقبخل شعخسردغطيغ ععظشهشضورو كدصيشيكنظه 
صنرمصككزطح وخطتعزذفمد نلقبوفكظشف اغاظرنزرحه نقحزجهثتنك دلرشمزصعلو تخكنلظلسمر دزرسعغثوصر دتظذصضزكشل ردستحماراف 
سهكغصخخلدم فكضظسكحنضو دكوكسضذلنق خطفظخاجفظت كرعزطصشسبك اطزفيصكثكه صغهظفخظقصو حكغشرشيحلظ غطثعشندذسق فنطنزغطخنذ 
قهصوبتاشثت غتخفذقوطقس اخلضسرذلتل هصبصدتكقفذ غيتفنخضلقن جوجكخفجزظت تشفقلذصخخج مثممشقسمنح تكصطكتجزجذ بيتغرففتيت 
