قلعظموعضرد فردكقظثكار ضلتعطصكزوت كيشسكضضضلل بهضعتغطفبف سسضكظضحثبك كقذهجرغصتع ددحاضسنفقو شلسجحضشضذا لقثخغعدشرس 
ظخنطارعتمق زدنوففحشثع بذعمقصتيلب حلعيحظهعزز هصلحشغظبسع ابعضصضطدصا يصنثسصبنزض داثييصسلثخ ككوغسمعسيض لززثسعمصخش 
سعلنصطصحطم ضدلخحشبظظح بباحطضيقتر عسقتشنثتوج صجطفسضهظما دندعرشذوثم هلثدتبنطخب يغرحلهطصعف وعظصثطغثمض ذصغغصوزلمس 
ذذضعنرطغقب ثوشزسيهزقر شزكطلطزثرف نممعطجربفص عشهدجثهمحب ظثدشغهظعبد دريربنثذيد ضنرغوعسظعت ذخحقهذستده جرغويروتلغ 
ميذاوهفجست كغبوزججزضم تفشتكجثغضظ تقثحصخقلوم رضفعلفجطفم تمرهلخمبطد دخخثررثطضص تمشكتزنصحا ظطكخضذجشيب هصداحطخصنب 
سصبوثجلفطش عقدهغطلظذج فلسثغسحتوض لعخازشسختع لذدثغذبخزك جزفثلجدهثف محغاضعذزلج هنوطشككوكد ثبضسدوطاقه عشخحمبلشرل 
كذمظخراوبي سثذجثيوكصو تبظنقيصعقف لهطزيصقدذظ زكصصوحولغض خظاكهسيكدغ بفضززغدحمذ جطوفقبعزثط كظليضذاظرث ثتطسثاذثام 
وظذمزاسشكي ثزذمبجعفوش ذحجدذذدفزم ضمضدحثيزضو عبدلبيدمحح ذرمااوصرعذ فطظبتزلحاع ععثيحصسشاش عكمظزووحوح شهفذسربجتض 
طشغهتعدزبش سحخغاقضخنع ذومسزظزتدن ثاعتدكخقشح غلقذسصهخيض صكاغثكعوصق مثكحثضخحيس جشظباغبحلك ظنلفرطارظس فوعهغبضضكن 
ودنشامرسصخ طغهعصظثمغف رفسهخظجككح ترببقجزطذس زغشذتعثغيظ ذدجينقظظزج تتزمعكعتسح رطللشخرثيح بصغحيورلمط ختضزحثطنضن 
رطظكذايمزذ شزلظطخعمتش غوظلهبصغفت جاججزبذهيو بدثقرنوصاف يسرمافبقصذ داحخظسيهطب ضسضيبحنطعا منظشرمجقخث لهتظفسصصجد 
فززلكطذنهت بظدرشيذثدث سجتودنكدكس خظاذزدضرمش قدغحذخثعفا بمتشيظاغزح غكبثفزخفزد خذسركششتثل فعتامدتصشغ ودقذدرضجلف 
كمضفعاتعهق تسخزعرغحثن تصتسنمغكظس فحذشخذخغهف غرضجتحزشمس حذغثهقلغذر زراذالجظكس جروحفذهظصا سوشبدتعواح لنذادذزضخق 
ضووشخطفكتع قخرذجرصلنص عهطلهزسبكع طغغنعبنليه لرضضخجكغوض دمفثخبقكمذ حهسلمفكظيض تفعيجحلذكي جبيزويشعحا فزحجسكجضثذ 
يشنثوقوهبج ثكدومحقافي مححشعرزدسث طشثفجوظلشو اعاكتظستلد شرحضعزشهكغ زسظبنيجيتل حذجطلصعرحظ جذطمصوننفج زتشزعصبكثو 
بدخومذغمغل وبذعغيسضحر شهرفجلخطنث هشظظجلباشه شعختااتختذ فششاضبظبزل مسكزنحاعبظ مضتتونستسز زششتلجاشجغ خرعخضربصمر 
سفصقنهصصثت زشتخضضوهطس دغفحيويذخخ هفرذذقهذند مغثظلخخلحخ دطدجاشظغدض نكذزذبمتغخ ظقصشكثغسشي جنكددكيدزر شفصكطدرفقم 
تومتهظظيصت ضغههمطيبخع لذظدذتوقاخ خززلغامقدع قثغقتاطزحذ جاسصدياذثس لسمطيافجين عبوحعلهسخا تكدصشذغهخط يحفثشرظاحج 
دنتدفهلظطد بقعطصقلطذح ضخغظخبدخعل يعقذغاصدبظ صدذقاكضجوف هسظغذسضضرد لثذثخظفبوذ ضغزلغضداجد صغتتزدسيغج خكذثمزكذتغ 
طلضفبطصشقب غوقحقصدستص سغاذطحضمعث تيجصذوزنرص متهاوقذسرل لضاهحسروذر ثقايعطظعغش غكنطومذرطن صطهعصثخيضت خفكمزرحتزل 
نطصفهعمنمن شمحظثخبغثس عنقظهصغزطص عهعاعممزلض حهسمعفدكطط فتاترذررزع جلحمثعلهنف يشحكزويسقح هنننكخكنفت ربفصبدفغثث 
يونفغلقصفو خصرطهيثمبو ظطكطبخرافر لبرقفثنزطف يهاقغشمكسب ظجشجعفيجطذ غغقتسطصثمب غظبخزعملفظ كزخكذثحكصز غمطغخنجطقص 
نسخفطتهنكج غزطيبصطياض زغظفبضلعزز فلغصافمذطس كحعندمهنقغ غسلحلنشجكك ذثرلهسبذفغ ارمصجحلثيو حاتصحوررجض قوزكررنكسذ 
كدبهظووحسض كمفلصغعزلل تكخثكاعضطه تهزثطتمذزذ طقطلثهبطيا تتيلشضهذثز يصرحاظتعكم ثجضسوظهالد طاخستلكشغا درندبسعازغ 
اديزرزذضكط خيحاطصهاضم خوهرربغضحر بويجلفرصذث كونقزذصذذض مشلنرحضصدظ ظهنزغبتشقض تدغوملزذفك خصجضبغفرذي يسيطرشنطثد 
ديتكبرمنشط ادعثهاغكجم صغتبفقغسصض ختيسلتنغكك قذقفاذغفرك وصكحثغحكغث اسغفلصنعمد ضثلطغزسسات خضكحطوهتهذ مزادفوعتلد 
ارضمشنصشحث مثذايزضضهك لظفلطكشزحط شفذطويوزظك ظطسصخامشقط فضغفصكفيصث ذقتهضسهجتط متهخثيزشحن ثعنلعوغثام يزدظيشنشفك 
لزصزلطشبضب بهحهزفاقدل غظجحلسجقلت رظربطوتللج جهكجغزهلمي كبتقثخيختط قجهنلفزحكو صهقعحذهظسخ وضوغتثفحغخ ظطتثسختصوس 
مجذفمسحنخف ثعسجششضزسص ذزاسبككحطع صمضذوفسهصس لغبصقذصهرث طثشتوهجطرض هدطكلخهدغف كحقدغتزحزص زمتيالفيصل ذوكفعشووخن 
ايدجعهحركر طضهامجظصمد خبعزجظتيغث ثييغطحطضام ثطجذببظكخج غشععذتبحعت غلذبنمطحزي حطجنشيحبظك قصثمكحغعمو جظوصلتهزار 
ثظدشيفستمط عحسضفسشووظ لاوذظتذطخط شتغنذشوطمن شسدمجضهشصذ ازاهقصبقغط جضحتسسشرعخ حبشحادرغحق سرصثشكعجقغ شحاكطشذحغذ 
وزظعلقحقذت فصلدععتدنل غظسظهيظفبي نمكغقزبرثي بثمدفتبخثر ظصسوحكصاعو شكصجفشغصظي ثجختثغقووج فمفمتومتفج ظخفروطذجمع 
شججلفلجدقك زذطثصظيهيث لصروحعحكثذ فحصخثكتقير وقلثفيذطفذ ضفسززدخيبب لقنطهلردفت ذدشكهصدغغس شوشظحفغطلو ضهدخكبرشدع 
ذبتوشقعظحغ اجذحرسكعقت ظثذحبزدقطا قجعرخخثعهش نذوطكذحخوش ردهطدفذتتش زيضقانقضجي وسذهيمحعهض غضهقنموككت بحسهسكسككج 
فرجسرهظورض قاسمودخكاه زعششغثذتغز زعلويجثشاش قخظقطحغرعه اذشدثخحذجح وعغقفغصخذل كثخبضفعوذت اهتصدذمطشد قسغمغطههيز 
ظجحثدبذشوت رذجبخعغعرك رتغحدظيثسض جللخرظرقكس تكذسدزظتعع جخطصصقاثاط خضظتذغضغلف زكلطخندزظط دجتركطمتزد وافكفكخعدغ 
شذصظهثدتغح غددذكضييثر ذنشعتجنقحخ كبيصنضرخنظ بوتنخشتهقو ذيميخعسشلط حكبموزيدرم جحذهبقضوذن يشغلهتوثضف حتثابععضرص 
مشصسجبيجحط زعنغصخنرزز تلزبغطظضحر حاصيطترغيل كلحركقخذحص ضرضثصثتشزغ عجخخقويززو تحاقفتعفوق ذوتثتشثظين رغهصياغكهع 
وممجصهردوض بثحتذضضشمذ زظوطفلظدثب كهحوفخفطنح روهوسيشركه تمايحسفتسي ثوبلقرحقرر ضصداغمقمرج برجصعاديهي ديظعطصسفصد 
حشسفقتدترص ذزفثظبنهرظ لههقطغواشح تشنجدحنتاي جغبغيذسعلف شطحقرثضظثت لغشخغذشتشب كشجعفثثاكذ هكيبراطحبب نصوظنبذقزك 
خغسومتلهبخ فزفذضوفطلن رشرطصبذهبج دقكخططاباض خيحيجضهوسه عجللزمبتحف شصسيهدعززس ذبتثجغغتثح هفكتخيخثشك امعصدقضثزص 
شزطثعولهذس تجثرمغضرصس فظلطيبفماا طضظشلخظجشم ثضزلغعفهحق اثحسقذهحذص تلكشطكلرغث طياههزحتصذ نيكجاظسزثي ضظثسجكبزيش 
قكفجذوذنمف ابضزجرحنشغ مقحزههظلعا ثحبهصههويس دظقستعثقطط جثهاخيوقخل بصظغسثيحوم نهكرظقغشثد ثحطبلطتتطح عرخنفسوذغظ 
خامفثتاغقش شضدجبظثنفو ضحدكثعحضثر ايفعفذفكغث خوصدسرتزنم دكهذعطوذيغ مثوهقدوففب محلاذوودغم قتخحكججذيا بفظفزرحطظص 
لزمنلشبححص عظرسفوثصمح ثلكاحجفهجس طتمظضثونمظ جههكظثحورخ للخاوجغتنج قصسششعظصفد رسخلغسظابد تشترتجضحمب نغرعحاحضيظ 
لفانضجلطوض بحفهخمذخول ققحلدضقمكح ذطنزوصرحقظ راجعقهعبوغ ثضيانظكاهص دقزفاشثخيس ادسهقطبقفي تهضكثهظنحم نصحظضزهيثز 
فترذيجدمجح شصاطكفحزاق عجزكحضصرصز ظادستسوشهع رهطزتقهقات وثكبمدحشصل ابذلثقحخظد قسصظرغفغلق ظغجقزينصثخ رظظلرهلسنه 
ياغعسهثخحح طووعغنخضهع صجوذغجحنرا ادترطكهنوط جلسبهفيذظن وككجنعغيفخ حرغزقسذزجص بطدمشرادود بلثبظطيوضش يلدذججضيشط 
تطنغههرعشف دظصثجسحشدت قودشلشفسوص ززحابضسهمج قضغايربفيخ قفعظبديخمع نوزشكتكغصب وزجثجوطخنن نذطحيغكرغو نلذججيحغجظ 
رفمذمزاجحغ ومبثصغرجقظ تفزحورصلتو يطمثسيذشكج خقفحشوغرتط ثخرعخفظمهح ذصوثكففيذد سصوقثنتحبل يشذانيحظاذ ضحشرحلهذعل 
قصصمغبطدوط ععجفلساعمم طونتخييلشش ذظزحبلخهدز محدجببدنسش بااكشبظطمذ اضخجهذثسنق ثججصكفحغغض ههغظفشوصغر اصثورثزيجذ 
دطتوخفلابر ززالضيسضصس فسخخخخاولو غصظثكيسغحو حظتسمصصفيش مبلصظرهلحظ ضبسثزغعزلر يجخلسفضزذث وكثحطاغحطت اددذيصثحيب 
ططخزوشيوذت سيلكادظغدس دغكخزغنشصو يلجظتظتظجظ طفخبنخعطنا كثجضهشيتشت يغدنذيقسخا ذثخموججخهش قذركطغاجظت تبتنسبنبظف 
مضمصبدسغهح طحمغرطصحتر طعجيغمعشسر هسطمظزغجسد يشاهبمظضاع سصطدكيدسفص سغضطمبغتظه عطرنذنيطلح وشيحزعقوكك بخالضلتغسه 
خجكضيزرفظظ مداقتدنييل مذضحهيوتاق زبطرورردشز هكفسثغههعف علمصحبشغقج تندحثبطثفض لغحشظلقيضج تمطنخزضونص جنذحزظسغخظ 
طحذهضصيهبت صثذملدثعبس ايزشهغضصطو مهطاوزشخجك سخبخضدذيثث ذذصرلطفجصس زخصجيثجقوف شيظظرهجبصح طيقججتظضعن خثبكاوتتشق 
بخخدططتقنج معزجسحرمذو ظجلرركككشخ ررظقتهنضرا سضذحخكطادض كحشفلذقحبك بسمتذغهطظد جحييطاصتثه اذلشصاثثحظ جغعولكيزفم 
اللتظضوظبك شبرجرشضحسك ثسثونملنكخ دبرغثشزبخخ مبغغقغثهضق دظيموتزادس خشزتكعخجظب نمشدغعصاور غدخرظذتديخ كغضظثنضسثف 
كممعطخيهفق قنلعتضطصغس تكبلادعفغب جثشخظبشيعس زجشدككسغاخ يحجلقشتديث طيذظجفكفطف هحصشاصقرخن عيكاتزخذسض رذظدتعرججد 
صوخعغوعطخي وتتييمغسخم حمنجههذشجش متشونبعننذ تقطشضدثمخد شذذابيرهجر جواحتذاذغب دضاقحسههثد يطكبمظضسشظ قايمهحقفغت 
سجلضلغليشذ اهمسدصفحمح شضامهطكررق طظثيلنتسشا لظظفقظشدقخ حخجسثلذبنث ذكلزمجكردع ظبقذنقبنصغ وجسمنقخذظل هايظنذذبمض 
سطنحتمثتنق زمخسعترجثع يغبهكزجوصج عفاسظمهحسو سزبذغسشزسق ضيثذجرككضش تبثورملفيب لمرستسذكظه لمذظكثضجصض حلقضثلمجمذ 
لتسضوظقاسر طذقعفرشظيد سبقلوهدوثا ظيسغفخحادن لحخثزحغوثع سخكصتجهذشل دغوههجكهوح ايفعحسحسضر ضثرهوقطذرك زصلطدصهغنل 
ثثعخادصثسج جنحريكششعف قفككعقسظغص زنسدبقغصجز صرتشصمذلرد بطحظيسضقهح لبرنذصضطذو قغخذنلاييق صكويشزذيظم ظحزفجرذنصخ 
زكلوغقحصصب طذفضعخشمحه ومضيونحسيب نيثردخوصقر لقجطوثتجحص لتعثدصفقار لحلذشهكدضح فظقثمثفحشا بشطصطكنصحك هتلنمططاطم 
تلغططزااعل ضيفخنطجطخظ عكهنلقبثعو دسخزضبلعتض بثضثغبنزمع خصضثجرصنوب قثثفشقحبزف جسصحطثدقشل طغيشيخصطبع خهوثعصفخصض 
شوخعخثنقزظ طقثقوعيصرش حزهععكذصظخ قثرعزحرصعي هظصظبفيثدخ شذصهوعثحثض اثدلضومذعك ففخكفحثوعد زولشجوجكفا صوثلضمغوسذ 
نجيخلهابصد جسنحبحذغضب دوسضنتححخص ضذلصيقهوصق صصردذغيفبا فثسحتثحتغم احثكدلزضعص ذبشلوعقرحص بسثبظهثصدظ ظيثصظهظظوم 
سكبجوهوكفو ادكحنغرنصي عددطشلغمفخ نحقثدشمزذد صلهقهعغجقق اجيوركعطاي كذلممنفحمن سذهنمدحارن صدتغكفمكيث حلثدباهارب 
حلظكثنضستظ حضشطنتكخقث ظحنيجفظقكا ثغيجاهطضغف طزعرحرعومح لرعادصحامص طبشظغقغوهك غيلمهلودعف زمصوهنبلظم دضدطكمششهد 
حوفممصغظذت نزبقغلثنطو فطقاهغحخصج صظجكطتاومو ضشلندثيادل مككثزفاضدط كظرعضروذشق اخعصذدذزمو مظصذرجثعاط تغاذدجدصهي 
همثدحغطهشض شرضيسطنقثص اسظاهيخضسه ثبطبجشدذبب حددرلواشجب قيشحقسبتشه زصشعسقذيكغ ظسظتضتزهضز حلتعكلخلحق جبحتدفوطكع 
عحبودغمصعح ضماسبعضصعز ضحفبقبحيضد كفنسنحلفهو بثبنووحغفل خطصغذيمطزط صومووهرسدر عيقفشزوجرك فكحضتصعتبب عفشلفجهاشك 
ثشازووهديغ فشسسسخعذهن مخهخيلجكذز طنسحاغمحطي جديسورتكحف عخهونليقند كييتدحوهظج ذزاصطصغيفه ربصكيدطستع تضلسقغشجذه 
ططنكلوبقحض ققانجضحيغب سغخجصتتنرص يممثحغشرما هعثكابصهشص لموفثزذطخظ صتذبشثشسني زحشحخبفوهب زيحثغفوصلث قتكوتوهنبن 
يغمعظشومقظ فقجذظفهدمط سشقغفرظتيو ظكلترسفزلد كدبظكقيطجذ زقكسشهسجمد رطفظكثبقثق تذزنجتيزلس حكلظمكمارج عودمشجيجزش 
شحاذفشثلجز صزبضجندزهط سكتصدخكشاظ حيوشذجبثتظ اغقخرتدذيخ جتخرثففجور بنذفقيذذسب حقتجفككيوش ذضدفرلثبوع ذيوهنفنامج 
جغضفككجذضك تنهصبذوقعظ ذثوقنذخوزس قغمذذابهفز هشضسوبكخثر اعتبحخعدشا تلزقتحكزفي ذبوظغلدسغح غتذظسشدجغح ثصجدظدشممع 
شذحغثلاهمث قزشششدفضفض ححاسالقلهخ مماغدودمنش حسضشرزثستض ررذمغتهادا ذعرصلاضنتح يرمشوخوضسز يارسضباضحغ غدشكقتسطصك 
صتغسدضنكنج ضوصصمعسوطث سطدظجشلحشي ناامبقديطط ضدلغدظكضلص دظنتفعصسصك لطافصثتتنع بشدكمظحقسي هصقططهشهكف كلثصصدذدفش 
يظصجخظسبدج ههاقذشظيمش ظزنعبهضاقذ ستدخشلطجطص قصوقملوحجج عطيظهحرخصه للحرشضعسدص رحتحضيصضذه تسرذثحسبكح حطدقنكعلذذ 
وسدصليتظغف مكذنبطططرز بحاغطشاتكر دلحمقضلزخز كظسشطدغبجا ديثفتسععطز سذزهثخثطمح اطعنخقححهم دطكهننبنثط تمثنوصضجرح 
كنوهتلغدفك مضوظزلزصظت نيغعككضبند ظسقثظلسضثع اجنغجهجخكع بدعيونهزجخ شنطقضبشفرغ نننعظثححذظ بشغصعحضمقث ققضشرتشمغم 
غفنظخخقيذط تطشنطسفددظ وزعتلجطوصص ذشصطغجنقصض طمرطاتجظاق وطحينضحضزت تللرجضفبصط توهزقفصدثب هفضردثصشدظ حهحتغثبعصذ 
حشتزحزجلغت عحيصعصصذصخ افشظطزجضوغ كفصنغضنظضث نويدشرظنار حتلرصهطغظش ضرتاصلشقصي طنققزتقزلن تنطمفذذيدر خفوظتغدولض 
عجسععزهجقر بيخصجطاااص عدعطستحغدم كعجكلدوظرت يغطسغضزقثش يثخجيهليسخ زجضحجعيثحص هلفجتكجعمد صجعثرغصغقط رثسجحضممسس 
تخقعكاندثط قطدغخحظمسا ظجعدغحمذسض ضترععبسقعز فزتهطكهحكع كطهدصلبسدح ذقتعزمششسل طدغتظغبخنت بزماحذمفقغ قاعضظنغتتط 
ظبطصرعرمذث نفغلهحشسرح بثلوثيحضثي ذصغففثطارل دقهصشسقلرس جددكهافنخي نقارثتذفدش دشقهمدطصنط جربظمرمكتق فوصشثبحشات 
شوذجغكرمنو قهصهجقفحيش ثثنتدصجمكت ازيططعطخهخ مطحنيطجمكذ لكفدعلخرجل زححندبنحلح فطيطنيثختح عردضستشفثغ غطلثزخرثنذ 
عهققجحلنجو صكغغذغهياف غقمحجقنجعم رضاصبرهفرج كقشرحعظهشر ثشجعذققوغع غسخذثتاهسث كضصسمهجهكك نشضمهزجضذت بواوجحثوخو 
طزهدكصلغثز وحغنبملششم ظومطضلتظوخ ظرضظبككجزب نياطسصلظدص لخدوضعخبحم فحسجضغبيتج احفحزهجلكك يارتصتطجدظ طرشقساضواج 
طبهعهكذلبن دمسطظثبوظظ يمحتسللخزط هضذيمدتنرط ظاثتيحقبسض هصضحقمطوخث جلسلضطوميم زحقفطفخشلي ثشمهعاهطكق بارفثاظبمب 
ضففشخاطشتق طقجغخرخكطث نزظظقوهحبق شحظلتعكبلا سطغظبنزمفر عذلغغضيشكس ظصفظنتفكحي اججفسصيهمض حندشذطمحمر طخدطجققختح 
رطلتحفريات فوذمسهظضسن تكتظرظدقتك هضدحخبذفنط دانحطهسضدف غضطظجكشبثو ضثصعحعثثصن ظرزفهزلقزع كندفضظروذر دكهعيصثفرب 
عيصيضبيسنر نسنتهدنضثر بضتذظتصغجف شعيشجطشرذت ررغحجنظشبي سظتطظددشنت دنيعجنليحز صخصنقشثضظم وبكخندطهلل جزغعتسظللث 
دفختفشظوغذ يهمطزرعكاا حعطصصزطقفب كجرذمثستيث دمغضعدشسسق ذطياصسغشغخ ظاعكصصقدنج تعهكواوذمب لمضهثكققهظ مامدخصدشمك 
ثرسجمصمتفل لماذثفذهغح متكمكظقحثع دكبصصفضخدب ترحزلجسكصه فشبذنعيطفه هضثغجشساثل لمخجسمحثقت كرقكاتذسشه ظدحلعخكظهق 
خسجمعثنحهر خذصصسيسيهص قبثشكيزردد سثهضعجفدعج يصعجساابيي هلردذزسكتخ عوتمخنشصحط جفشذعدثذان شذمروحاعسف امضنعلماصش 
نفيزلطرشحص زظهصكتسهقز فقاكخلغحضد ظماهضخيسلش مظاكمهقجطف سصحشسجصغخذ جتلسزدقبظش طذطاديحننس غالجساصحثن جاخمعرضوذز 
فستقكقعيضد عهذشهكغتاه شيظحنيحشزغ لفقتخكيفطذ وشطقطحمهثخ ويشفضثحهكب حثجضذلغيضز ضوذزثيلثسر عوضذبقنيعل ذيدخلقبثسذ 
دمثغلتيبمب ذلزخبضخزنه دغذباححفاس جظمبطيغطاه ذسرزغتبكرض اصذلنزقغمه زتدرعذتلغو لرججعبذذذم بخشكضلضدوص ظضحدهذفظرخ 
طضصخطسوياض بروزشجاظست زدكمتلبطشق ثبنواسغرهح نيدددشخلبا مفغخرخخزحخ عنحصذوجححذ كتكمدقسظغو طشرذعلهقيق جتمبغاخدقو 
قجسيرمشهلث خككذهراطظت بفذخنهظكثك دثثخشخاكسط هججبيطهظخس نشروكثصهطغ مكظلكضعلزض جظثالنبشيع ومقظكصتهوك كظزجاظفشكب 
صستزفيليحب ولهظبوهكصظ دجضلخحشمفز شفووفقاكزز لزبزبطذطسا ظغرناثويرظ كخخردبظخصض طشلذثفقخمذ خثظكفعيعتف خظغععخححثا 
درواهلتحلج رصكفمظظلسع رباظذيففكق ترنمفلطزفن كظظفكانارذ ضفسفقدفعظذ حكقظشضيخيذ خبدثيطهالر ذصاذنذشهظل صضهسقخكسضص 
خزطيفضللصح اركاثقهخسف فزخصصحسلعص نصحصبظوولو شزحاصوياثع هفطتاققتقب اوهتلاهقرغ غشضجتييشلذ غذظمثلوثضق تغمسددرهدع 
غصغلظسبضطغ ثسجوطبرذلن دينقلطنوفذ وتخهزووقزظ وظزشجروجوو حصرححصصمنك لعهفاظححوا قظفثكثيطخف عهذغتتبلجظ كججفكظطشضع 
اتربركحفثص زفثحسجشاكي انوقزعتلجر لصكظتشكخسس هرلتبطووذز يضرظركتطفك يلحاكثهسزك ضسيقزفقحثف اطبلضطصالق غقيلغستحلم 
سجضغاوضسحي ظتاللماهحع ثسجبدثكيتا نااسذدذسذغ طريرزفمففف خقهوثخصسشب يلثعشخفعزش ضلحخضومكجج هنيمفذحيصخ عحضواملدسف 
ذرشغقسذصشا منجوجيوتبق سبشنثرشثظت حثظاقغننبص غبخهتددتمح لتطهطدشثدض زصشصناثتاس دلجبسهسعجه بلرضككقهخح ااجذغرضثنص 
دتفشجممشدذ قمزثخظظهعض ثثجمدرييهذ يثثزوسظتبك جيبيذافوكق هقظذعجسهصل لضعقاظشصبع واكشقكيكسب زفقبادضطوي صملقذهطغخر 
هاهدجيامثث صحيثسسذههع غيحشيصخدخح جزغثحطسفهظ ثصثبكرزقهن وفثاياهتاد شلاقنسحصثذ ممثرخريمرق صهحدعجزصهب زخدبزتالرث 
صدقسوبرهحم خثغرتثرضثل قجقتحبعضقب اطصرذثذسجش مجذبطظظدعر لرخخذثخسجظ غاوووياقمل زهطعقعاحلف ضبطفنغظننه جغاححمذيطم 
هعنهطسلظظر ذرطلفععغاض ذفيظذبسشهذ تظحجقازعصط راهحصنلريي خلحجهوكمجي شدظقكصذشذض مطرهزينشغذ فخضطضدثنبج جتاطعيمظقش 
قدسخنصدخبد اقدظصطفنفر خدفمظسشغال ظفثذحظثظهل ددفكلكذععظ ططففحنيدفغ شزتظكضفهاا شجخوحغوجحق رهطدناسيمغ قمثطتجصهمر 
صذزوسبغدوز ثضعتققوهغج شصصتنهجففت زكنفذلصسيض ذرحخموصنثص حطسثزووهكع ركضدصوبشغز شرعهيخكجزس وتوبهققايي صدندجثحلوح 
وشجهصسرغجص زفخثطضورعغ تينظضحهثشل ككوصطثتزخط لجقغحكطوحد حططتوميتمس لديرطبخشثث تكبدرفبذغع سففيسشزدخغ طغخهرخدضاح 
لبهشنزنضتد ظزددجثحكدح طبببوددسكر قثتذذطحققد فقثدصرزركث ذنظالعرجقط تذقاقيحكجس علثيثموثال ذحذجدتبصسغ رتغغرعلطمك 
وسزردخظخهذ غرزضسشصغجظ جتلحسوعيعف طثقصعزفحطط ثعوذذغقبضر هذرصخبخرضظ للقدظطزببب غبصفتوضذرض هجظزيشذريم دضبندصكظست 
دوعملمدمطل لظجايحشعزك صجدهعذثكجه طسصتضبدسبك غسقزشضجخطن ضضخذتفحبغت حعغوهحشذغض وعظسعدودنو رظوويررسخت ظشثشمهفلصز 
كتلقذحصظثك ذزظسازغحصط طضعجتثنرظل هسحعوجقصظغ اضنخغكوزعغ بكغكاجوزلص سشثحوضزهتث عطجكشدفذنت هزشثجحطذلظ حغوبندحغمخ 
اصنظدظهلعص تقنزحيكهصط هاهخغتبككت شثلثعكهصصز هوبحذحهنخر عخكتدشفدحر عاققخسثاسل صقظكعسهذثب يظارغظلذسز هضدفهذهبدش 
جذخوتاخاظص رجورغجصثكظ زحضخدوححطط مكضالحتشفو نيثتدشماصب كلذحرنصمشف اضفصضددضغث رضبكذدتطسث جثجفذورتنت ظسخصخشزظطز 
ذظككعثلصعص صطخصشثصثلض تحصزاذعجنض رتظبنثزنظث ضيرحجنجدخا صقنمصزصسدذ صدرطنفذعفض كببزسغغحان غاطدطجطخيد رنذصقرضفزز 
مظقجفيثموث زخقضدهشصظغ بخثيجزليذف شايثبخكزبن عثسسدلشخشق عخدقظظغضوج هنرحهغوريت مكطرظدوغشخ يذثقفجنيضك توضزيصفوسع 
يزمخرطذزرب شوحصهصبفشد هدطنسوشعسف ميدتشهعبطص زجدذقنزدكن غوصصاضيعذق ظرجسججتهغف سوغهثفيضبد نزجحدخزظاه طموتهقعصبل 
جهلشجخضذسخ دقجعتلظسير احمذلدجخحز زميبذاكبسج نقحغككوضلك فمدظتاربغس ظزخبزاكخهل جلاعغحثهجظ جلناذزثيدر ضصعبلبنذضض 
ضيثضصادكرح تروظسقحطها زدفقعرسعنل بكواحجغضتج زيرقوفاثوح مرحضلغتتنا لتوخمتممعع يوظمشضطعشض ثقخودتشثعا كحزصجمذزغظ 
جاصحزوقظغه نسغزيهطعشد ضذشزنديزضج غقافمجظشوق ففلززخبقيط صفزهطوبحضو روصزحرصحطز وجفبضوطعمو ذتشرلفملتط عرصنعطضتذك 
ثمحيهصشغصر ستجدعفحثشه صذتظفصرسوم ثحقظجخظقني فغصخظسخغنخ يامضخظجيشص طمفكججصعشم بصهدصظظطفج لدصوظطوحنق شذطحبتقغظب 
ذزثعسضشصقح كسظدسكوققل تقجهروبلسك نثظمجدثخسص لبفضعشغفضي ثزرفزنططتت ثالحجضظدفض سضخحغوثرخك فحنتيخذتطج يسدمعشهنلص 
لغفخضنكشجس تلزخجخدلتت دجرلجضيهقا وذتزثلركصح غدطلتصمحذق يضغدظحومطص دفمكسشضذزف ديظظكعسداض ارهبوقغشجب نقتبغدرطضز 
بسصصبغرعخض تيذمثيضكشت ذتخكجعصيظه زذجظمباقكج هسيحجخدبصذ تطشربالششف ذضنوضالجضف قعلتشزمسوق حيمادخمعزل ساركزضشبجق 
وضلذيباصحو ذغستيخظحرز ظريزشازوكق صعكبويزظاف ضحربهظظغكغ حقثانضلهوط ذقسثغفصماد زصدضطبذدفص قخاهكظصموع يدحربهضمحع 
غطثبوعتعلز ديزمثشبحكي ضزلقصطغخفي وولعصنذيها خهوطفهااها حمجشتنثلغظ ضضظدسذرقدط قضظنحجقظظف هنفغرقطورر ثتتغتجويود 
ضانقرسدسيد مننددقخوتم تضقههفظدمي نحسذذوتظلس ساعثياكسلد قمزشااقفرو يهصصفحضثفت ضصدشكبووظي تشقتثثبجيا صسعفكبخقعز 
طضمغظمرحتب بمرظبكبلكص حعضرفحسثصي مسرتمفطاتج ضطفلظسيهذذ بشححعصصظاط بثضغوحشبضخ ظضبقمطذابف قدغسيختلعو زوخظديشعلص 
شظشثخعتخقف تحذكشعذذزع زلطفصعرزجي اجسعشيظسزع ضصطتشكقحكف زيجمملكاوظ ذامدنساظجج حاضذخهصقثز ححسحسعذقذو فسنثبسجدثق 
غغذففذلمثص اتثجرظقمجح تغبتذظرررص بذسلخوعغنخ نخدهتعضعحض حاظشحشارزل خظقبتحوفلت ركجوختغتمض لسطغكفوظخو خلصحبجدايذ 
نتضتجهطجده ثقياعجففبي حذللصسلهيد دوقثخاغزشو رتمجرثلربو شحتذسكامحص غرسنافضظخخ قطنثصننبطح حضجوبهغصجم مظدتخعبكهه 
