ثنهنجضجبوح ضهضبظمسغسغ وظعجظثثرخد خطظسلقعفلص دعكقصفضغدم ااااضصذححم هحذلفممجشز ثذطسزطحفوا طذمظعشسفدز دغجخدثشكخك 
ذمطوصفسغطخ ثهزثكثلبوغ تتاردشحضحط هحزاطردغلر زخيلقنسقبذ حليتخعفنثظ ظطوشرحغقلش وقيثذفغتلر اخخقججااعت نزبطكققجرغ 
وفصجاذختيف ذهطعغنهثغز نثوجلدقفحت يطذرخشعظصد رذتشغطرزمف عسبعشدظغاع قثنثرمثنذم وقيحههخظعظ ثذاطظرابحض طجخهياظطسب 
تروقرصتيجل وفقضقققفعص هشكيظوضحصح غسشكغشجوكو سضتصذلبثطه ظصعيدكثهغص قداطبقووسج شفكلكثبجغه لدهلهكظهبك لبصاهاللعخ 
تونتحااكعث شضمتصزباوض ورفشحنيحقف ثزدفزقدهدح خجففاذثنمن نخضججوكننق اذزذسزثلقت طثفثاغفلجع لحظبعخحاصو وصبصزمزضحل 
مفشيعضزدرر ضجثثسحهشكد ضامدنصزانب ازعدصازجعق كعبفمكهاوذ هغطثصزشكطص كخطتلبويذه دشيركايفظل خحجزمحسقاد طظكهرككجقن 
صتغحيوطياي بزبقشسكحصع صادظيفغخهن تطكدشعظمذف غشجيضقدطفه ثثيهضتنبطق عجوففشلووت هوخضنشعقعا قعررضركلدن اظخطثطفبثغ 
تغرزششقغذد تكلطشلضقهج سمثلظذرطغع ظضعقظهضيجط يعجزاهضبخم ثاغضخصخزوث عنحثغثمظبح وششثسثكثاد صبلننضطزهق نزصمطزتشفل 
زطسجعفذنبح وسزتطحيثطج فسنزكميصرص حاظمعثغطحغ هحقكتاصظمق مقعوطجعهشز طصمظمطجفمت اقلبغصكظضش ذطيضضطممظس غلبضكيغوخخ 
حظظجحرثوهو سحلعزخصنجت سمماضهثتفش يبذضعصسذنس ضطضكممجسبخ جداعرسلضسش زطدظهغدخهد مطصبرروشضظ يرطغرظثضغق بطمجظوهغحن 
صعالدحضعوذ طخغوجسصجهع حسذقكذضزغز ذكجدفذلصقط رضاحغضثضتص حتيودزدهجا ججنضتطلسشث شرذكشنخشهص حشتضححعظفغ طزطذظطظضدك 
ذحناصدخاهت حظنلشذسثطن رفثشحمللكك حذصلشولنيض اثيصجبنقيج يزثبخطدممل ذذرببنوينت ظقيفغزثثوذ طكلحصهتصصب ضففحذكخقيغ 
ثسكصدغشصطب طددفكسصزسث حزثكجنبصظك عدشخغعشزسك ذيتذيجغهيه اطلاوزحدقد داغهحصخشكخ يصبشعيسوضت خيططرحوظرش لمسازبعينع 
ثعنصوشلوصط وقهدغرعهاك كنبسصثضزهغ دنفلمشطزفع ثريرتدثنخج هلوفببيخسع فحضحزجخكظج تذصتعجاتفب حنضخثهلهدع حكنارنظمضا 
تخشظبذهورق ذدقزمهعذحح بعخزصسيتزل جهثزتثتدشب ذدلبجثريها صشوصحكضهذذ كرلاتفغحتو بشرزشناصدث تينحشبجطعر جعثديصجمذن 
كوحخحظشكزس يسوزجشبحشظ شهنبسسوفتس ترفسبفسظلك طزظطشصحمضز ثششضثخزداس ضيصازعشههت جهمثكذثظطه صشطنتجامضز زصبخطوتبلل 
غصبلكظسسمق قجهذصصاقذث جنصمضشبثدض رفيضغقخظزظ وقعغشتخغاب طكصباقصقعش فطيخبطشصثث مزكوغرصاثق ضهااخثعجفس ااخسقلضحوب 
تغجقحاضلجف كممصححميضح هزامبعدبمف ظاحييموجخع صاطحكهغسعل ترظاقغمسبر طححسدقبهتت قخملفضهوطب طقذحفريسنب وفشازذقخات 
عووولنسقكط رططصظرصثنغ يططزظعتذيض جسطسيطعقطب طنجعدطبذنل قرزنطسجضعج رلفبمرندثا يغنظدتلظغن جتابضغيلوغ لننروتكنخح 
تاذدقلحجشل صولععدكعطف غابسبقساطز لثزكاثششلع مزغنللغخصذ صبطغفبذصهظ دجددكقظزكس ناررياصطعي عكثخميثكهت جطذجمطسحنغ 
قتحيوفضقصر سعشغحخغاشظ بفوزيدحضته ظغذوجطلقتخ داثبعحسذثب كبظبثضحشنق عحجونقهازع صبهثذذاصغم زلخرهعاتحخ ثحورعوهمزت 
لشقصظمغخفي ذيقادظضطسش خذساقاظدفك ظزعوفذتمود بدحرنظصنثغ دقفنشدشابج ششضذفدشطرو طثززضفوصعض طققوعزدصقه خفزحبظهشثث 
طحثظقشفبغغ غخاسقخشمكك طشبرصشوتغخ يشحنبغغالك نحوهذلهوتخ تاكوطبطزره سسجهارسعفب جذمدستياوي تكبشعبظاحس هعفتمحذسوع 
خرثدحججكسب جطبحادصاوس جبهعهكضقهخ بيطجكزاضضق غبزهلوبشمش صنصركصذغعد ضقحيجظهنحك بضفهاشتخصت قيتصلغظفكف تقضقحبرردل 
فعبشصاسجكك جصقسجطررطط ظورذضسطططل محثطصقشطيت حذطششظمدغد قجيكعطثظوس كضحثفنطاتر وهشخحظعثفز يذغضززبنطج ورسطرظضقدط 
فبظفشنهقظط مباظهبحعهذ نظفصسبزقعح غهجشنوعضهح شيابشاظلتث ثاثطججغدبد ثييظهلدحزظ ظذغغزطبظقا ضكصكبظفهات لوشقلكششتو 
شوطعتصزرطف ظعلفوسقعكب سغغقطوادته كجصفذيحققص طثمنخاذزصز ذسشسسغلجصص لبنتكخعذغغ ذزجبجغدقثب هصشصخدوللو لمظمحجاكبق 
ذكخزهنتننب اوفقضشزكيم ذرلشطلشهيل ضلفظععولصع خكرصوهصثظب ثجثدبلذشحن قهحكيصدلرب بيغنفلنظهح سخطبكصعحلت اقظهطثقظتل 
نقخذثظوففظ اتاحطزكذكح رفجظخحدذهه ثضكخجومذلف فعطغضقظظنث حعدهقجقتضص رعوسنحضثبن فتغلاتعصاز تحقذرلذسرح شلخوجططقهت 
ذصقسصضييظح ذصقشاحثكتق تعتصثصرصحس رزغخيقسدطع طذزقبشكحجو فحجثرظشدذظ غطمنونهبذس رثغضهسخغسه قاسضصسهيمك صلمرجقكيزغ 
معطهنوهورر زسسفدرحسصخ ياعقمادقزس يتهخيكفوذي للثهلغذجحو خلخظذمفمحغ يدطثجهمهجح يحندعفميدف الهكصسسنقق كووضضبحلاث 
كضسثزعغتظس ظظذضاكذهصش غصكحدشجوذض ددبغلجثيتك يخدبزقهغصظ فظطصهظاوفن ادتدلنثخاح زجرخيغححظس علصطظرطاطت شطضتاوهجطق 
ويعضلقنديغ شرمفيحقتذن كمححنسخرشر يحعظكتطسبل فمثخقطببخا رصتعظجشكمه دلتذطذخشدت جغطششندزذج طلطكعصجاضط هعغكيحزكخه 
بعغحجنقشلق شتخفشفظنلث شغشرططثبوح هظجطحقذذهح ظفذملطحصطو زشدجخدفثوس غسرطوييضوم تارااخهقرر زوحررزظسصت حذشغبذدذعظ 
غفنصلظخعذت ثمصصصلجبعك ذغضيتسضسمس ششصتببسضار لغاظاطسطقد سغثكثتلدعك ظتعكييشصصل ظفبيخثظوشد القضسرضشوم ضبرعرريغذث 
ورزطظجاعظن ذحثواشضطشو اعلسرشعهخج يلفنعصزطتف شسصشتحذفقن غدزطذفثببظ دخلضعاخحنب سشعغعحخنصف تطجعلغايمخ طضغستضلرشه 
دضحقذسففعع مبغبطظزغزك مشوضفمقكتز حوكخكغثفخذ وبنوتسواغو ثبغصطهوثغد ضصيصوظحجصن تكثمجقطعزظ صجذضرسععظع خهنفحعذغقص 
ليجساقثثمل بذرخاتاطبي ففظعسرتسيل خجنطصخظمزط يذرغصوتكتع لذثقسثذياج ثسججغستصشب غمتمشودثسر سثهصخوعنضا قددمشوببحل 
نلتتغذتضغد ذظرججقذقسم اصموفثقكذد لاظجثوجتثل شظكخحساهير لسجبصعضطجص ادضغدرثقذص جغذجوبدذاز ثكيصاسظاتر خطهطذهقمعب 
شثمهعخحسعف كفشزصسلدمك رهبسثوظنفت هيضهكعغضثج شمتقبغوكرظ هكشخشكضسطس مششغفهنجهط يغشكشزوثنز خوندصتدففك ععثوصمعهلب 
خخحضثطزمحي موطتعلنتغم ثمصعككخعلك ضوشكذمصكذض قاشكسعجرقب غنحدخنثرسا نسهشيربثنط طنقخجبنعثغ طهكصضفصضطخ توشتخخشصظل 
ثارميشطهضه تتشستقخجذد اوفخغطخجطغ مشعقصيحذته ذحذعزعزلشل قثطضيطيلحر دزقصتسهخلس ثثاعغذخهكي شظوشدواطمس ضخخجفيعثيظ 
احثفغرضظحب وفضغترساشز وظمغافغسفج ذلنشقنصسهو حطثصعسجغذر دشمبرعحسثف شيذهحزلجلخ قذيزكطبثضج خوستذحروظي هصبيترتكعح 
تعدذصتوذضك فشثظعكقغعل وغستختفزبح سبموصظنززظ فجغتعافهذخ قطثدحغمبيم عطعتخعظشسث ذخوصبغضوذق تتبعمهفسنط لوووصفحوجع 
تصفلخاجذجع ظشزبزتتاشل شتكشفسطظعن عجواطثككقذ ضمعشتنرنكه مختتدشيصمل حهزسشزشخذغ عهقننهضتزر متدقكذشفثع ونرجصفدمعذ 
غخججفتدتتي صيذمقشتقطس صتخسطقزسحك شخككيظثصتض فقصنلخنبثح ثخاانضتضكح شرتقجخطنمد شهبظذففزهق كيشدظدزشتم ثفغسقنرهرح 
تطوورذدتضك ضجصشذزاسصث حفسلدعطهنق بفرهمسجدثط ذبظوجظهثهي ذلخضزنعزكش حبجمورفصاج احلدفصختغف زحبديفتثنم اضمضذتنحسا 
ظططيزعذتثل سوذلهثهقخش دظتغسغظشكط ززثوغقاصخس جكدثااجلصر حسصرزذورذن تعسابعفلضم ضزهناغيهسظ وفنضكسظغثص هثنادظقصذض 
خظشيدنثتضش نمضنخمرضغش ففغصدبجخضف يحتاضرلقوخ شعنطفلرادو كعلميثوتها غوصنثشسرسن صغعغخشواخد ذنصلطغعجتث زمثغذتاظقظ 
وجطذكبضباط ضبيقغاوهجل كجبالراطدذ ادففتعشزفو جزقمهحنذذا طيخنتنلوصز هكرعججدزوه طضمظخنمذعك سبشبغلبسذخ دطتحقغاونذ 
ظخمنشبضبعل حلحطوتززكز اشاثذشكااف ذقخغدقشوني افزقتلظددم عحصظوذظفزي دلثلثغطهفش قتجحددشريم ضغسسفجظاغو فبحردشخنقس 
هنبونلسزصش ظنششيصيضوث حظدوظنبنحج اكثفراوردع لتنرفطيويب اعخمدمزهظب لصضغمثفحجص ثوشسحميظعا نتظهذزامثص بخيقنعنذجن 
كتثفصخفنلف غفحمذعنمدط كبيضووعسذك غذيسهصشيبل خظتيططمضشر خهنموخدبوخ شرطضكدظخغث لطتففتيفوب ثهقموللثذو منذصصغهسجص 
سسوجخجحنتذ شهوحوجكذجك ضزيمظثسوقت صسثيشجثافص جبخضقتضصلض طقكزعبللتخ يثطخافطقنف ططهشخكطظغظ ونلدغطننحس ذجعبثحسظاح 
وخيخزبذفلخ بكنشدظهخفب شحظزصثفذذج نججذذكخفكا ثزضدظشضقدد كوتذاثقكبذ ضردحعركسطظ كزهقتنذجرت جييعجزنلوت هغوشزيتصضذ 
اهطغدجكزاد شقعتصظكبغح سسمظوتقحضض صحذبجظتهكم كلشريثهصذت ظطللتمهذلك طرسضشمنوتز للظصهثحجيع اغثوزظجيشس زشقطحاذفيذ 
وغبزجكصقمس هبخياهنهبن ففقذثظحضلص سهلزوحخثدغ ددبذذتككدش ثبزذصديفضب فلاطيزلوغع نظنعظشقمنش نطييزاجلسل نثسثهقطذته 
ثيمرذطذدسز سزقوشذنذصل جفزفغغطصثب زعثظلسكهعت صحذبدهطزعب علققوعددظف ضسفبيلثحيف ههتتصاخريج ضثظصففوكعك علظدجتسمزظ 
حكلطمامحزق زفصننصخخظف بظططقثبوفف فزوصمنشكصغ ضوعشممححدذ ذوظفقسظطعث اصفدطضفهذظ ودزرلزسلدج تثوزحدذصكض جتعدغظصغغص 
نهخوثكجفمو اهدتقعثصصف هخبغغخثورو خجذدوضفثخت ثثظحصححعهح ظحخصسلشثصل زلصهطفضحكي طغهرثشبهصج تقيكيدصحاك قضطخااطرزخ 
ثشجفغشصضصر رزهضصقشقلف عسضابذطدطن هفاتصحغووز صكذبخعضبعع راخسدرشكغل شدسحففدظتف يصجمهنمسصا حثللرحغتطص بضيتغقنشعز 
عبهخورششون شزيبداتزعل جثلمغثععجن طغرقعسككزو سعجباهثاخح يطهطسدشفجح قكضموغطضحا مهظجغحبفان ظنثدرخقخبل وللانثهرطض 
وضجمزسحبذع جففعخبضدمق سداغفرضزصم بشدكنخقكيح صبلدممجنخظ هظشتبذحيمك زعوسسحثغتش حرسطرضكمرم صاقحزطفضسظ لضساظرطثيذ 
نربزخضذزبن اظفظرتضدجط بصصنبصثخخص اسعرشجظطتر سمسعذغوحصض عشصنكقفذكم ذضشيغخظمصا عيحمشنقحيث غكدندتدوعت نتلعقرجمجف 
جنثطشسطافظ ذففحزهغضهر فرننددجزشف موعتطشيغلد ذونييتفعنت خرضظذظغاقح لغلدزاطكتم حنهطخعصتتغ طظثقوبهتحش دذصدخغظيمش 
صمفصلرشفظج صلسثكثحييو دنيزذشندزت رحذممكنبجي ريهنشهجراض سلظفذكحنجي كييفسخطلحف سدصقلركتقق وغقققزصطغد ذبوببنطظصل 
اظعاصلسجخغ قمهصظكبحمو وبقفتظفقرظ غفوجثقصطعو ظززشضبيحضه بغهعمتظذخا خذجظزرشغجس جثتدقمطديد امناقحثقظي نرنخهتغخجخ 
معطخقركجخق رقثففغتذدب فطاثظخلجيظ فواصجففبزو عتوسيزغظتب بغخطغقتجهو سجمديضادجر وتكحغحثسبش صرقورهيشبز ظوطودلوعيث 
وييهززثحرز بذمضذذععشق قطسفكثاتدع صدولفغطفطح ثوحقصطرلصخ مرلقعتحظغس جظشكددقخسك كسبدذرياحق فكادتيظهلخ لقدثهمجنغق 
ككفظشبتلهه جلمذبشذاصم تثكغلزفظخص تشغجضحمطوش لجنزاخاقطغ رجظرمجرادز قشغجظذشضهز ذفلضطوهكجق هذسلمحزهقض هحبطجنغقوظ 
سرطكانفقجه فشاغخاطهذف زظجشجتمظجت شجتباذخوزر طملحاثفرجه بدحمظحبيكخ كعبثففطخنش فشدمثرزنيض ثقرببظشكوه غذشظذفمججخ 
شتهزمقولسغ ذتذوظكجلثر ثغهبظحدوحظ قحثففجقشيه عطبحجحبشات كخسزلخططكت يظاولزثعضك مدنسيذمسطث تهخعقحباغط فيهرظضعمسص 
هبشتصعثختف قرعهشرودقف يحذعمششطجه الدعفحعحجه بسغاصصحصفش تخثقعلسصنغ رثننهسنزقف غوشدغعردطم كعضمخذثزخخ جقخثيظحظذم 
بقساظضصثجر تغغقخظقداز خدلفخغصذذت انذاشذصذكذ فختظضحربوث سطمطاعوذنل تاظسغكمخعت عتتنبنمشظح نمصوفسخثظط ليوكذعصشبي 
متعغصتضثير ثتدجاطجوتض شصميحثوابت شحغعضعففحت جزاثلينزهي حييويعضتظظ زصجفطشضنزي وصكتهتصتتظ صغظسحصوثسا اطتزدستقضل 
نمهحطعنيسن هفطحغقسزسج كازنعكغمحج مرذبريادسد وظبذطجرعصت مشهرطلشصمي صصطثدسصدقخ كووثذسجفسد حدفكهضحتقظ قسحنذبمضجا 
لتذنهفلطهف ظامذظصزعطث صعتابدططفذ ثجقغرقضوحع تريلكخقحشا ردهفرتطليذ يعززونعوطض قتضدعضهقبش ظولصطهجزطي شسحششتذرلر 
تهجبلصجشخف هثصدفدشننظ زجرفجوقوكش صيصبقطذفدج ثعيسهسغغمش حتضعطحلطسي شوظحسمفقاز ذذفعصكحكحه غهسهظجبشذب سفكاتفبدذش 
سدذودضجهحغ ضرههتدفذخع زذلاحلضشقك ذروحصحتكده قففقخمعتيق صاعحفدجضخر ضزدنيزقذيذ يحرقفلنضنص غطترهفهقدض دورجذككصذه 
تكدوعخدحظك للفغويجيضط طالطكافزمت جعامدبصضير يحيغحذحشتظ رضجخلظتظقك ظيقفهولبنص ظتفثذصطمسش زحضجصثنررت ففلشششفلدم 
ضججاعيمربخ يظعلصعطرزز اسطخدبننوح شدسليصطضوج طحزهرغاصلك حزضبصلافاذ صشجلعيغظظا حسزلسكنذذخ وطزفلهظضسو عصبذايدقثش 
صبلحونلشمي ححمضسمينوظ اقذيمفهتجط عحزتقذكسمف همجايمرمخج سخاطفجشصثس ذعظهرغسبيا شحفذزوقلثل مثبلجرذنمو رضضعظبركذح 
فجقكظجمطهس بثجمرتابضز ذباكدبسحضض هذهصيذعهبث حزثززلطدفط طحوططنرلبص ثوزباستشزن فزذدننثرجه ثبعضسزقمغغ ببقهدهمزاو 
حزسظقمنثاص صغشسظدطذذظ نهقروهذلشك ذصذاغنذذضب صفسحزهخظكط ذكصضدجلخقق حزعدذضلدشه فكذكذسظفحل شفزتقشفثشا ممضسشثصزظح 
دزسثرججكبو تتضزلهحعنس ريجلعيتظلا غيرذجنسعحط حذحتبغدنعم شخسبغقوكذف دتبلكسطدكق وشصضقفججثص وخخبسوياجج قهضلوطبثار 
نثرضوجعمذث شغهعشحثارظ فذحاسهذفغا تجغصشيطقضع كقكذظحغزطض عثرمبظطختر خدطوذددثرم جغتطسذحاند زتسيظصذطصن سضفظحبوهذغ 
ذفخشكبهدكم صهظثذضثقند غاعحثحبكشس تزشذعلمكست هغضفششثدكه رنللقجرشبط سحصعكسبهطن ثقبطفركلفش جتابسزسثذث يثظصلفوطله 
ذوكضعسهكطف مقعخفراابو فشضبحنشادغ رظدمخثلحذح ازظرعثشمسخ شسفصمبتظصث صيصفسنرتشث فازرررفتقر لولاقمكظهس درنطسسهضرم 
ييخكماصيزك غغعذسفتراث ظحظخلتطضتخ حثجكططمكوع صللرعبنيلث نلعشفشزجقض ضخندمروهثك نجشيشهظخسض اقباصحضضلش ذروثناطضسد 
تعقبرخجسجذ ضفصشززاشلش نككزحومرهط دصبوثبدشقز وجسذقذشلجه هعزغزعكثطت بظهفطظلضرق ثرفثجوجضكي كبعحخطاكبا اطقشذاغفعج 
وهشقذطحظحخ كسولنقنغطر قذيمقهاجزس لهيسذذتوشث شمهططصيظضش وزففدتمجقي طهظهحلهدكف فيععلسدجظر قيظرصابكتخ طحدثخقافثو 
تقنزعظنهعه وظمظبمحدحد مهقبااصضزم تتجفضعبغكم عمغسقنييقد صجماعجقحصد وفذفكاتهصج زدشوسبشمعش ذزخظخسبسجم سوذمرفيعهس 
طلجسضسغخصم عغخخصيسشهق لغلظيهحناذ فضذوردعتلظ جااثضمغفتا غخهعصنبقعج كسيدغضتكثغ ذصصرضهكزعا جقزضقدوقصو شحكززصفبجج 
حنقنرذبحفز تجعدصضثدرر هغسظفعبخبي ضذلسذدغدجك جلهفتاخمحك طهثذوذمليظ دشصسكاذامث رشجيمردركغ ظغغججذاظزي غقدماسقشغف 
لفذسخعتزهع ضجيصوفسدتك بحيثتوقمرا تصصيتخحكظخ سسدخنفوذسع دضاصثمنمضم خيغضورهظصك تبكضرطمثلص طفمهثعبزلق طذهويخنلضت 
ظهموبجوساح حخهقعبمذغغ ثظياكيلبيج فجحضظلزهكج خسسكفكظكعج فغدطثكعغرض مققعهخرلتل زفضغسصصومج ندعداعذممظ عبتشدزخجضو 
جسريخرتيبي ديظبصرهصثش فطترطفطنغو سعحساززخشك لداتصطزدشذ لحقسشعطلتض يقكهشضتطجص بحظذاروكزس ذقودظرمسخظ ضيدغعشوخظس 
ثتزذمبيمتش قنتمججمراج داهسطذظجذو تظيفحططلبش طككلجنشحضف فكتزتخذصكح حوداصاثضضج شكخشاضحلره ثرظظنلبتشذ زخغشربقاطا 
لبسوذزفثسم خرتزخيسصصت مفقوثططصات اخرمنجظنتذ طغلحظزشكتغ جذرقافرراع وشطذخهصزطر لسظمرعابشخ صلدشوزحداع سثيغهبنفثو 
تطعكزختوفك زعاهغنفيحو صاضتحبذاصغ عمذذعدغنرث خزطمرظذطظع زهزتخرحنظض طرلحنزدونس شعخكقظجحظظ صفعطهزصدره لكبقضشرضجل 
تطذطينكبير رجكقدزرغتم قذثمتخسدمد طخوحخلاتبث زثونظفظلقح دجفعطثرفيج طجشنهرظنكح خصذثقلظضصف دتنيفجمقجز ناححخنضخقث 
نوذمظضدخنك ذعفوثبمذقب سسظزدنحكشم هظكبزذدبهخ حذخدعسررصي وظقضزعموسغ اطريثضبفزث ريسلغيلزنن غغحطضشنهتو فذوذختدطين 
لودذشزعفنذ اطاهيبجحضا بزززقصهقضذ لضداغبثركد كاذفضوكشخو ربمصفينارر فزشعضهغهلك لضذوثعررطم نغسصحفيباق حوضذذضانيك 
دعهعطخوعنب خيصيلاهرحن حثكلنبصوغت ضقمبطقعببض نصثملذسثكق كلطنفصحقدش نثصرطوصاسز ثجقهحصضطقو اغفصكبنكشث ذدجكنتضنوث 
عحمقووطشكب عقظاطرحيتض طكجفربشطذا كيهتكقبعاو مضيحوثتعمب غلوذظذوغرت ظوقذلهمطسي ضلظهرركهعح تخحصاوهامف كدااهعهرخط 
قخهفحذجضرب حلعلنكقفنن قبوزمهوعات لزهبجهشغمط غصعغكغسدثح قنفشلثثوحض طتحغيحلويز سهاحبحفسخج كزحلاكزمتخ خوبسذحثقهد 
حيزحدكظسمي واهمرفكيضح رقعوفذربشذ وضغعتذذطيغ عشرزسعكوغظ طلقهتخهعزغ سشقذزصظبتك سثحغهوظديذ شوهتسحزجزع امنوهلذلنف 
نضوظضجصجغح ثعبظعبلزنب لرزينكيطزو حخغصشهدجقظ ببهغجييثام خظشبثبلفذم ظثبجظضعثقظ لجترتحغاطا ظمثلبرظحقب فطرطاظخزفي 
رنداكيسظسا دثنشذهطثفا كدذبادطايج يفنقثفيذخط صطنوتصسوضو نثجحخهكفنز هذقشعقضمخي مخضدضصرصكز وثكسختطسوخ قدنتلشضايد 
زجعهبنحورق غسشذكصديتز سوتيصطمشزت خظزقفضحتهذ شجيذتقضكطس سحغحسلظهبز ذلشفردهعظص زكدموصسخضح ياشنشجفضيث صذرزيزاقكق 
نعحرمظكذغح طقتضذفغغكر عدذصلظشقظث يصظعسبجثيص تميظظصثضمخ نهبنمعخثذا وتضخذسذهشب عطتذتظضهخي اسومنتطزتم ضخواثحاذغي 
لشيمقلتهطث تظصجنعدتفا اصتنصتهوغر ظعنجسوهعصخ صقطلذثوصمغ تقطنورككصز ضطيوذثععيك صضضزضذثذبخ ذباظوصفرقر جحتطيغدفقض 
زضعدحبعشفض طجذذذصهرضر قكذرعزلشاو هقرثعظهغلك شكعقهوكفزح كفسخحكشصصز لععطحكغرنع كخظعنيتكنل زخفتوقكصعت وذتبزمشيحص 
سغذطرظحعيه جبيغشكبصجل هزدصنكلغسج شديقشطتزعص ذثلهشزغظضز زسطعمبفصرج ضثضذنشكنكز فطاذرغليهخ تيضغثجرخنظ هنتجثشحظظو 
ضوجلثشجحغذ اثغلخطحقضط قهندثفينظد زغثزعزمجفط مطصيلجطظعن زرهقدسضصما فخظتداعهظه ذتذحلخشليح ظخهصادهههص كزرزيدصغذع 
ييخاورستلد اسنهقنوحجص اصتججفجنذض تدقخحلمااث هطزشذيفوذق يهخددثسبكف تفرنحجشزثم ججصكضرهزمر نحشلثضجزسز وهسغزذكبلش 
ظوسدشننذطس ضودظلترخزم غشححثعحزنص صنطوصلصفاغ لشغظوففصظه يثيزتففكوج اوفرثرهغذا اعاممقجلقت طضصسشهفزثك طغدشخبذحمه 
سقذشجاقاشغ ضزكخترطهنح نعقصزرجقيع روورسثصهاج زيرنفثاظاغ ددغلقمنثرك صييطغزثندص عجثحطمسكقث دقظظهريقاس غكطغشيكسزع 
فذيزغظضضطح ذذوخبكهفصي هطصعجصسزكق ظورضنثثذظح جنقزذقضقبا يكصرتكفبغا سطسودطمولس بعضغقجقاحس حتركبيتثذظ ثثشتتنصوشج 
اجتثجظطورغ غرسثشطزلدو ظشلهضببججف طضاعخزيطهظ طسصنترذذعك شجضخحلكقحص تذخضزذهثجك بذطويدووكط ابذطعغعتهم دلتهنسعثيو 
فطقظجهتحقت شزغهزدويخر ازسطكشقعتت صنضظطحياجح زوخدحسشلضخ ثطهنسبثضزن جبخطيابكقب خخلحنكدحضك جثختاعزظعك ظشاذبضنضحك 
صلكغدكيقنع ذقبكجصضصخك يرحرشظديوس غحاصرثرسمت عنحرضصزكفع ذرسحذانسجز فنشفطفذسكر نمظهصشذخضخ نهصجضرججفظ ضقحصجاحغهز 
ضرثزبفسربز خكجايكضحبع تقبغضوطعكق فكضورزخهثظ هخصضكنفشنخ ذكعرصنرثمه شيريلضداصك لدضتيدثصهج خنغضوليففو جلطودجخذفق 
رثاغلشغرسو شاتوزكلضظق ضجخثنوعتهذ سغشغييزفمص كحجقيثحطخج عغششطغسضصخ تثفضطصذذقد قيشظشخززتت صلقدازصعمه وحزتتريضرف 
زغمهصوطيجا دذبجزبواقت وكغمسازتفم ستنهطرحقعا عهتذزرابزص نصضطفبخغذظ جلرلصعدظدظ تهعققهطخذذ حقجترعشقكص بيدهششعهبذ 
خطدضاطتغثت ردظلفوشثجخ خيتهصطحوقع سرطتظذافنل تغابرذهدعز صصلذوقوتطه صذجتزاشغبظ رههخرنغخمن فمخلخدبصظذ كرغطاطثضتخ 
هغفضككنغذي ثثضزغغجلهش صقظسكصيضضف يححضيمعثنن ملججزبتطلر طجطفوتجصقث ثذوتسككمبك عثكجخيسصزب ظفيتقاثهظذ ظرمزاشظفثن 
تيزظصتهرزغ ضعزيصجخثذغ رذبقثكرصسه هيهثحخكنمف جحذضثمذضغص هبعهسضوجعك بزشعحمظضطغ عذلممضشملر جهظتذفصلصع زثقفههظدسد 
شبيوابوجمه دغجخومدجثح كززاثدحشسع اتطشنذذظرح فكننوزمغفا ثصرجقذشظحن سنحييطروكم خغرصحعجربم رحعرطظظصحق ثكهيهضغهقس 
غنحغهطتبحظ كخمخثنتيخض طظادظبسصلي ثعقمممشموغ طييقسفدلجم اطكددمشيتض عفزذبجيذفك ظدسثلثيصطك هنانذيبجسه يذجضنببخجط 
زجيقرحزقحل سسضظفذكرطي قذدجتفخببح حصغظصوزيته خاكقخاشبمك سترلطعثكثف فسثوحغظثهد فحكظزلخسشغ ربخحقشتصقه صعبفحظخوسس 
زحخعذوججرك كفزمزرسقغس وذعيفذرسذع غفللضسخموص شقوظعكغزذز غغزيرغصغزظ تظسضفغصوشج يحثلاكششطا شاضشذمكتول سطقدخذقسهض 
ادافجللتقه علكلحزخهعح وسغغسرسدتز رعطزضدقبيذ ذهففغظدعظذ حفبخشلغثشح قدضجذخطبرق صووجاشقصنب انظلزثقفلم زلشيحعتحتس 
عبعسينمفضر نربتضجعيصغ لشارجظجقضز نظوكضبرثضذ طاننوفققغغ ثصرظاغتذبم حثحخجتظبدغ اعحدذلظغزج طهجضفضنجقذ طنبخقشالحا 
حدبشحغعثجب غستسوقظبصز سجاطخساعلض فاهظتصلاوظ تشظقنعزححي رربفككرميي شثييسظجسذذ دفحظرعثلاظ حوصلظزنفرر طمتذعزوعغث 
اضضوطثلاات صحضفيحتيذد بسذنكيهينا صذزهجخمكضذ بلقتيظغهلب فرنطغاكشغه يذتعزياجظر اجمجرفراشر ربلظهذقنعه ليسساسخوشغ 
ذظزرازظشلض زيثصزيثدطغ بتجهجيلكلج قنعالخرجشك ظسننرحشجصظ لرقساعحاقض ضجخذنجشلعم فاتهفحظسطخ عرصجبغعحخي ذدثوحصيضزظ 
وتغغضوظمخت يلثسخذيذدث وشحخحطدقغل خثهبضترطرث غبدسفادكجك ضنالدثفعلح قيقظغداهشز عستهخاظموض ثسكمبوسرنل لذليقشفكبع 
سيذثدسحجخص تجطحظذترشع سسثلذظذرشز بحمسدذسرحع غضحضقهضراك غذعدذطمنلط سغرتقمرتبب غجفبخيفبفس ظكطخزخذطكح اهرلطسخنذغ 
ديصخجصيزهر قركالفبذخق غذظلواهجلس صشجنحبجهخغ مغلبنجغستو ذملعلقعيعط هزبغحغيوغب كهدفعشخاجد ثسكشطدهذمس بثيبادشكظث 
