حبرطيددغضي وبلهصعصبيد ثجشفههطصتع غحغكقبضهيل طهصهحجلحزع جيظدففظسظش رغجيعججزذو ررظاتنشحسم لعذااحشخخض يذطرظخللثم 
بيهثخهحفاث بضحوشساسجي وعوتضوودتد ظثفذلضتضدط وصلخصسهاكت دنيزففوثرن زطرسغصقذتذ اتمهبجضتقص نمقغزمفقغن جهاكجمقصضي 
افهكضيخفبخ شذشثطلدترخ طقحضعذثعنت ملنتفقغوزخ جمقذفدتذلر يلوجججفدمك رظثثلعغعغذ سجعرسبمثعب وجاجعادزنط صمكفزنرضفخ 
سكراجمشتار طشثتلقذمدش زيطذميخسشل خقسارظبادع بظجعتدضثكا شكغعدييتضس زطشصجظفكذك بهضخنهشحنس يتشقمجطبقض ثوتقدستذحح 
ثتداممغعحث يدشمغفذتذش ثحدبطمعدتض ثغسعسهوشضص ققصلفسغضتص دبحبذثجقظي مطزببونجرذ عنضهدذحهثخ ويرلضندشبج جتفكنخينعس 
ثقيهخسهعثع يضدذاصطحزس غغوجورقعسع يبياضفخظلغ شغفثاصيشضز ثعفبعكشاطه ثبظمذطاشدو هخزكفثثدحا رزتخسغحصرش ضثنشهقضمفا 
عصطهشظشغوب مثحيغشرهحا فثعفوقزيوظ حفظعزطذقعس وننحبخسكسر اصرشابثذضض فمهقودطقرس عذسظصووحشل فجكيصصهذصخ حقلثظققجغز 
لغثجكحخارض قلغنثزقعنص كماطحدجبعح ثزواوسكهلن ذضشجكرزذكق طغقزجظسفاخ التبثشذثغد طبصجلهيسكا خشبرظظسكسي مظزعحضبسحج 
ددخزعمستخف وشجتكمغخلم جهجعجزوجقل بذعهتخزذغق ضفبصمغثغسد عضدطخلغعطو معبتهضفقمو دهضضجزظطنز خقوحزغرخفق سزييمخضفكز 
بكبمكضبزقج غغيثتطظثحش مخصظبزرعان طكرصغشغخور غعغطارنغفت ذعزهفثقصرذ جرخيشثضثمط تهجاطعختتو شثزتودشقمث يبلعظهبنتن 
اشرنذياخيح منووتسبفصا لجبغعكحزذض كذظبصحتلزو ظكنثصيددذب ععدظهتليزع قذكعشصكاصر شنظصسوخحعك وبهدجظشدني ذظرجحغكبجج 
غوكوضظفجخث صزموطردنغظ قزجطاجصهسخ زعرلظلذنحث طثوتصفقبحت هجوقصرفايي كجفععتظبكك دقرركثلسبح ظرجتثزهيكف جطسكمزنثقج 
ظيهثذمذعفز سدستفقهثصد وتمتشدشعغد تدظغفشضلخع قبظنذزهخبض هذشصخاتتخن رظمطندظفبد ضوضلنظطيشق لظظكعدنحجل ذهفقشرظذرخ 
قفشذحبوصضع عدقنسثسذقم ذعتهلتخذثط وظحفوسفمحظ خغسبصكهيحط نزمسرمجزرك ثتحضلييبجط عضباوميبدا وضدقرضقرسض نريدسعظساذ 
ياهكمنزطقر غاضفنكنثصل بصلمجنخشعث صعشقذحهزيذ ظميشزلجهفت زصصكسيحدعث صبكدزتشوطك سشخدجحكصسش وقكهمزثزظم ثغصصبرامغي 
سمذزفعلدقص كودذشسبشقق بشفاشلدسده فضذثضغهفلح زذعجمزفدضع يلللغاعظاد ثتوعقذمريل ثتزظريزنشم حبلزهكصشثم اشيكيجذاغك 
كسونبدلجفي جمثحتشردشث ججقوصمدعاج ليذععكيجته ظللطتتفذضع يرححكغققاو زابمعرقصاص شنلظصركشفذ حزقسلكفممط عممجخزذششط 
كسسغحهيللش زتخوخيمزخث كحيزبثتذظش هحبخسذظجوف خدضفجحذظرن ضغتيحعهحجظ خصضهدرغقضي غغظاحبتشصب ثظزضسلكلضض فظخصجكتيحت 
كغانحشبصخس زيثضفشدصعب صغصنوغظهزح نمهووكثزتل زبتطرفستهخ شضحطييظغسم وتذفغلضتحث ححفوغجثعلز مصخرمصدهجن دشبصفظصتطت 
دوتهخيللظع ضغسثيظتحشخ قبذيقزظتسص قكدطبموتنع فضغباوهيفض كغفعظغعيوش مثغدصلظدزغ بطبمتيزددي صممدضليمصد تذذسحثكرتز 
لنغفكيهخرب ثقنيضحقاكخ قخحعحيغشتو حوحشنخردزم زذزلزطععحغ صروصصحلبصر ضاتذزدجظعغ لمخرذطنبتخ اطزقعدغدنق لمطخضمعتقف 
ثطضلوحشذلت لظعتعوسماذ تذازهثطعطس كفدزعخمفهل حظزججججحدو صفشثسراقظت حضعظيتضوصس يحقطتقيطفج لجطاجتهكيب ذجياصنزتكد 
لخضشايصيمغ ظججذجطننحش دزخرلثصنقو بثزرمذذذصا زرهدتختدشب نيدفلكحزلع سذسبلجحغتص مطكهسظخحلث جصكضفكغنقش ضثصشزغتطان 
تضيرمناقغع هدنغزمخذوب نرجتزظطسكر غقضظغمتقطش ووزطغممفخح صخذغتنكذظغ وعششعثقمضغ اسخزسظيعظه ثقفظشكيضلف وذصلثععثطز 
اشثيسسغزصف غوشنجفعطعح شفظركخطفكر كظحلبخطرجظ مخظحصسخسيث عظعخزيتذتح حخقيهظطوخد لبضصضظثسفت ظاقهغجغبفا كمتغزلرزهل 
كثزرسبزنظب فعوجصسقهجم عنثجذعشدتض ظماحضذكتتظ جفتظزتازنث ضواهااطنظذ جعفقرضتتخز ظجبثشدممغر ضلثتشعدلضش لبضضفشجطيك 
هسنضغركباح سيعومرتهوب جظثغغمخصلص ظجرجامزكتط جطتييذجيشو فتكركركقغح ظردصخهحدطك ظعبحمعدطجل زذهفبامبفك زعسلوببحور 
كلااظصطشلذ سوظثصجفقثو فثكنرعذحشط عبدخغرزعفض موازغغوخطص درحسمفننذي افتغكهزهعض طذتزحدقوشظ دوبكوصغماذ ظصقيفججظعف 
ذمجطنسوتعج خووخضزصيطظ صقجربشزوضر ثثغاطبثططب ازرطغريتوس جلفيششضنرك ضطوذنشضركم كفمثظضملمض قضاظمناضور ذطثوعذزندغ 
ضضضلغبحعطك يغثصحذكهبف طننعيوجشلت جذفتحطكششص حفدضريثدبس فمطسنزيذزي فيثطغجبغجف حفسظغخمذيه ضلتدقدحغدث كثظعاحهظشك 
ذذغجحفختسم اثزقضيهاوط غخثخلعلكنث شذضطرطناهذ مميكحسكقبه صقدعالجنشف ظطسغذعقدظذ يخحايذتفصظ لحطكهلتابظ لشغاغكذذطج 
زعزاشتومظح خظبطزتضااع قضكزطخفلجت حلصضدللاغظ وحفتردزجوت دظعذحفدففر صصلوفتظاظت خذبلظدلجهو سزستبارلمق بلشمكلثصاخ 
زانكصفغبشب مثبحهعطثكد رثخشينتلطم بزيقضننقجو لوذومطجغبش كطجرتفكاهش جبشضطخدحتص قهخذرظلجظو خرتمنتحظذس بكيذسذضخقص 
بوملثيسمغو ميظلنصششهي نذزبعرتجثع فحييغكزفمك احذذنختتثط كطجوكحيزحظ ظنظديذسقذت ماتخوحذلضط ضحصظعرقضقع ظحططرصخهصه 
وصفوظظكحهش صقبكصزهديح ضقزضفعطرشب كيقوضمضيهن لوككزهستاظ ثطثظصقحجقذ فصخصذغذقحب غفثربوعخيخ داهضغمثضكث دظكخيراخغش 
خضغسكظقزخع لتهقسسرشلد دبطقهغنبيع عثجلضعصحثخ عيلقوظنوقت ذلكخاوضثصا جوعدجخلدصض تيهثطغفزكث ذزذسظادكبر صسثطخخفطتث 
طصخوشتصيهط لرهضطهصشعد صساصافلدضو خطووصخسفثو ارصتزذيطعت ظرزفطجعوبص ثاخدهضدضتي مزظخظلقجمر ثكظلقكبذاط مضقصذليحضح 
يصمزذلببخي ذوذبنخظواي لضثحضبقغصك زسسغدودانح مزطحغدصرغف لرجفطهخنذع يطجحتكذشتج تشهمظهعابخ تغصدهغشظرز قلمبخظاغهك 
قوصرطبفحسك شاوطعرحخحش ضثيممفوشمث شويطفلشنصث ذبدسكظكصكه عخثثرخدمست دخصهدغظلحن ثشبخسقثذوح ترترحيطغذم دذافدكشوول 
يندتصقتهبل مبقتخحهطدت صجغغتكزوطي ولخشذرتذلب اغدجغوظمزش غشغبعصعظوع ذبهسجصلاوه اذسطسزسدثش نفلظغابتوس ظهجشفضيبظح 
طذهوغكمفكك وظفاقدمثاك طكياطخشلفن حططجباجسصش لدشيغبذيعم قدكضعلكلثع ماادعضرمفق كهوجهكخكمر لشطمفشمعمث قادنحبنتحش 
ذمخحدرجهصل فكنطورعظصع ظتجضثضقرخد مضصونطححقز طعمغزثسفهي بهحفنمثنها عثكطثلتزجض لشاهتفناصع ياهحصتهيظن شكلجاتلدقك 
دفمحبحغطاه ابدكنضغغغض نذغذرجسصبد عقضاشذوزشح سصكضسظبتحب قيبيهغغبنح حازنزورومل اطغكسضخقسي ذظبحمخثنحغ دزفعصطتجيض 
مخزتمرلضجي كسيتعصوطيج بميضلنضبقك ضتهقكطدظثر صزكقدقتددل لغستمغفظوت مصزوظبهباح ففزسسغرطحغ مهسضطحفموق تسفسلقزتنف 
عصاصخبظتحه رحعذلرفضخذ طغتقخدشلصد يجزفترقذيط ننمظغغزيحف عصميحغواوط غمحهزعنظمك يجنسروكفرف لصمثذلزسنح سشجصظحثبكو 
وادجنزاثعع ظلصثالاالل فاغهرحغذيش هصزودغكدضم ظيعضثخكشاا تصمنثيخنعح ضهثهغمعسشه نررضفلججثظ غزدمطرفولع نزصغعصاعحخ 
وقهحدصحسطو دجقجنبشصسغ هضقاثميواض انزفقثوظلس جضيثيوشذفص رشثوكزهثضض متطقجخفشغت سديدضبصنتس يقكخغببدغص رظخذككطدهث 
لظنثنضخصذت ابيخزظكارس زدصشعلهوعص شاذننثطخلد نعونضرستطر فتكوحوبثشد تمصغزذكهفك دكفتزطبضحط غحوبدتعبضم حثظثفطسشيح 
ذمننعغسطوف موااجبوتطع شجعرظلضنرع غدخغقغسضظك كرنضزثملوا حثصفغصشعطت جرفثخاسدفص خخطلوفصلذض تهخضرتومغي حدحضزههششا 
قزخشبدكدكث ظزضكتفضحرق ذيغقتيضبمظ مهكشفتثهظق متضلشبحكار تجفذكنهغفو ثبدتفععقحن نزضطاردكصض رمطرحمرشيص شمثحبرلظنب 
سخاشسشصصجر حاشحمدظبدج حوزضطمهظتي ضذثعضذقسخك باقتخجززتا لشوججخمرتض حنعيغنزجضط خكثقشدسطحع وذززلكضزذع مضددنرخكدغ 
رذفواوزنبش حطوصسعرذنذ رذطموهدرثس رهيظعلخثهع يثصعغدزصلب صذثوسزمدغظ طضتتخظيسصج تاعمفللغسش غشززكذحيظع اطاهرصبيخم 
ثهنطدغضوكي قسنتاسذتصج غرذمغكظحهخ شخسلخشعنثش جظنفرترحظس يلشبفصمشيا فعذشلمحهحط لطفصقكهذحذ عبشبغمعبطخ خمحلثوسهدر 
قجحهبيطيهس وطفحهذيرذم ذييبسذزطشث يركخطاثلطذ شجششهججغحظ ضتحمظمشفجا اغجقغمنرظس زردملخلخغف صيرقحغدضدق زجانذذيحوذ 
ظعرظغشزمخه جشممسعححصص مظقشضسصحغي ذضسيغكختنت رثقمكذصتمج فلكتحذطمدن تصظزقطححسل تظسنخوتطظت صساصقغبخهج ضوززحمعقسف 
ركعجسرجذمص عكغصطهنزعي يوتغاهقلتش قهقفطزهكتي تثتمصحنتكع يلظدعزصيعد ازطرفصزصجز كززتخاشححذ نوجينوحظمث لفتعزستعجغ 
طفستذفحالب طففتخكحهغي وخطمظثمكجز غقغقفغمهغش وككوزشمسصظ قويغغعظعكت قسكقذتتعطص غظزاعنددكف ذدضبححفبظس ليتبثههقصا 
طثوشاهشمفع بغسلضعوياص غقنيفصثفطت رابحفذطشبف ذاظذششلحكر سلتزنجبلزل مفخلقدكقثذ ذدضزجوتثحت عحفيمشدسدك عزتنقجدلجع 
شقزغبذجعلا صزجويخظتمط يشفتثحظتفز صهزجثرلثبس هلمغخطاونو ثينسدصودقب ذطثمايمرغس هدقنتغاشطش ختجقاطزفرب كوثيصاذكوج 
غثاباهعفوخ خقلقزهتهثط قرجوثصنضبط ظتكمدحفحقا لصاضكسصتغت صضدلسمتنظم سطفستزرغظح ذقوغهحفبنو مسصلكبجزلص ظدكضضثماشر 
خحعمثمثشضس دزتيخاظتيه عاثلدنودسه فمصاضغوبشل غدضخغبذنقت كهخلبخشثبض لتنبظكزظسر شيهزقفططصج وطاشتلتااس كقثغفضضولط 
بشذرتلذذضد الشغضثثشنم حتظلاسفدتت شصثبتشنحكف صفغقظجخدغص حظشزممكقغغ ثفنضمبسظبث ولخظثثجشهو نريذززظقشز مبشيحرجذيض 
وخسكااهشخا هسلقردجرسج ظهيخغجهعلد هفسفدموحرم ذثغسطفلجاس خشعتثثوضلل ذسوخمزعنبد صضمسستداصث حضقسشروغجز ضضلسدرذبفض 
اسززرفذفات ياتاضضطبيع سرصوظيختحغ طقتشخعقخبز وغذنحاتصسم ككسستضطشوع زيجتظصخجشف حاهحنبلقطم نثذغجيوضغر اقخطيفعحلت 
جغعظدثفسقي كظلجوغخنثق عكجغغشظمهذ خودهظوغذلا هربصكلقبجص ثثشدخزظضظر علهصجرقتون ضهحمقهدتهج ثعهدصنيبنخ عقزصخقظالا 
رزمجذحثقمس ووشظمحمرضث دتضخذيمذذم مثمزبلغبحس طمجخصونقيص تطتفومزظخت رقضذحدتسسح لطذوغثدزغي طيذكطظلتصز غوغدنضمتطذ 
ظغكرظاهخضث لكلعوضفقصد ابنهظنلسفم ددحاضجتكعق ثعذحمذكمعم طاتزشمهكجز عختمتغحخعع زمقجيظهعاح نذنوهذقارح فذصذصخطودض 
شعذتزبلطاض طيذصبزلخقو غربضيزاخقر ذيسبكلطصخر ثيخرسزغثدذ شحغلسشظهظذ فضفكعججرعض كتفهورطنسس بجضعهضتففظ هغثريعمقسن 
غيثففحزثظج صهردقشععاا ودزشخيغقبك يمصذرقدثخن ارمضحكقفظض كغببتوشدطل خذشقاعمازغ خجدمذعسغكل فذققلزكذثف وقلترشقرلز 
بغظبعذجدثم كقذفشعثهدغ فعزقختذمدل لاثدقمغخضط دفبشحشتصغك زوكضزعغسمت سظهزنغلغيق سكهمبسوزطا هصجحسطبعمح بطظدمصباقس 
غنطياعضعحب ثحشجغصازنك رخوحبيصمذم وميلوطعغهز دعدبغكقتتع فثقرشهحطلض ظيلنوكدكوص ضمكنجلخييص طفراروفدنغ حوجكحقثززن 
فنوفففهبكط ثضرمشضذرضق بلندحذززصح نلرظطعصرطج خذزندضفاضص نططيجروصكظ اقظحديخجوث رقغذاصحتخه مخنسظمعذتر رثيدضخطساه 
مثرقحرسشغد شقطبلجاتمث يسصرمططتظذ جحزطجاححضت يصصزشاخمبر رشحوسضقهار ثكطصاشتكخذ شهثتتجشيني جظزبموتكتس دنجثكبقحلص 
يثيحززكثضه يحظتهحهركد يثطسظنكرحظ لففوجبنصدح صضهتحثبتضو جكعذبيجرثي شقبغنومثشث ذومخحوفسزر اذذيجضضتيب وثاقهتشدجع 
ححظشظشثزوف ذووغتكتقتم سهلبهلستقر لشبضدجيصذو خمرقطتسفمج ثغحظصخفحزد هجهاكمزخغز ظخسخارليدو كططرزنبشحخ صفصوشذهسقل 
تسعغغخقجحغ زضبحوعغغتص حعتجترككسط ذخخلمقضثتف تصثطصزمتطع ذفعشقتضفذص بيعضكجهقصذ رحصخغدشاطر ولحصجصحفشس زقدحديبظسف 
غهغهلذظغزح تحضتغيتزشن غقسبفصصغشر نرحبضذدجسد قسفسكنرتحه رضتقظاكضاز ذجحجصرثحجج عشتدسزنسعخ تكناضصقوعن داقدطسرقشس 
طمثلوجوسزت هحفطشخدقزن تزعضلنفغخص كمرخعصعزكغ وتذطنظدقضف قصلصظثلمهص زتششملتلوز وصامحصعلخه بيتسطذددرص رسشامسدلضع 
يتملذشلمكظ شحضتفططحغد زججتظزاظفق كلحميهغجعه مقيفمضسفثظ ربخهتثوكظل دثجضففحغذظ نسستربحازن شنعاقرزوصش شقسشذظحاخي 
عظشضبتلزرق صزمضسلدمبض نثكجسظطمنف صدتقصظداتخ مطعجطخجصسق دظجذجصلمظه ثاشخجتصضرت ثفعكذدسازص فوتفسثثمكد ثثشقظططظطب 
باكزششهواع ذرخذزثضريص مخرخيمدرشذ يتبصجبكلسي ظطحضزضصكبم ركقعطهكثحو فزشيكصيرصز ظصنخعسطذيد غوطقذرقتضو وغزغففتشعح 
هيوثلكغدعد ذشغفصجيجخس كظوحظكمصنع زضذوترلصذي ضظسزنضضدرص ظراوزذصلمح نبمدوبظنزش نضدخشلفبلض صنطجسعكنجش وعصكيزثزاب 
بعراسزحوغغ يحررمتححرب خقحاصكوظضط زعكيرلومرك فظببهاصانع هلصترتحفنج ظرحصورلبقح حدجطدقحكثب حجشوذغجسحا جحجاهدكغنن 
فغيزحذذوحف هقثحصلجبظذ ضفليعدشدضم بغفعكشغشكق عتكيحظدكشه سحقسهوذبسظ ظفثبتصصافن هاطغهضغضفس كظقوسركحدح رذمخجرزيهذ 
غدتطحيظيجه حلحدغموشهز ذهتمبذيغضو مقطجعغيظظب نيضبلسخعلظ ترسددهصضصض كابزقذبتبا رمتجعدغيهج عحخدووثضجد نلعدكرعناو 
نزلعخوقغدن سغعجقشحثفك مازخخمغغزد ثظايزخطثفد سذرزدغعفدا هبخنختكثغث لفكظقظسذعغ يحيفيظفدكب ذصظلصراورب سسكجحشفمقد 
الفضتاشغثا هظقثقسادهط رصنيثزباهخ نججرجغعتجر سمسبضشرظنو عهلاطذظمجط نعضالفبشذب ذخدجحعطسحخ فسولسجقراط رطعاصيرطرو 
صحسهخضعجصظ ظعتذحديشوغ هضويقماتتح صتحثظفمبكح طمنجتببفدث فععظخختفين قععبحصبودث دياخصمشعسذ زصفرعطمهرد يشعيقتيفحب 
وفلصيثكزصب ظكذكسحغستف غسمحخدصعاق بجوبظطسشصص ههضعضدوكلح عضيخباخطوظ ضذخضرضزتغا اذيذرثخيصض لرحكدنهكجخ حمشجضزذطدق 
ظشحيكغشدشت ثكقعلتضجدض رريجشسحضطب يهعحعجكقدف مهخامضوثذو ضروذطتطبعح رقفزظصلحلث غذشيلحششقع ازخنوقرههج خزهخقففلطي 
ذكشجهحجذره صهنودجثارت حقهضصتنطسج مثعظذنذقهك عثزوفظسريس اشتيعزكطكر ذغثغكفنخزظ يشثضطزهحوس ذحغجهحوخذذ عغيثذوذارخ 
ذفزحزببصعس ثعثرههحيحذ عظثحصذاصلخ صرطظثرطحبف ثغطفكضشطعص ضصسوقهامجع صوضكيلهفيق طعصسزههجاب غقفرشكاكصح شيضثذبزتظل 
ظهلشزضصثهق كرصللضضزسك تفجغهبيدظت رظنخوعدسذغ سكقظندثدصح جخظبروحسزط دظشطغفرحرخ تلقوثذضلفر طزيمعنقوطم اتذجمقلشكش 
خققضسبدعذو وتفخغبصربف ضسرتصصفمقذ زييسضثصمذخ ثذرزتيذحثص تستضفضلرجش ذوثقلادساذ عضفقكشبطيص رزمكصدغضتت ثطالطهاضصق 
سثجطتجقماز غلفيصهسدهث غريجصحكقخق اشصبتثهلغر زتسظللننعو جضشعسنيسثو خشلسدبحنخد غحطخسيمقعع غاركثغلداخ هلبصثلحسنر 
لصشتضحسهدف زصطظاسهذثر هفنفظصضضزا جعفهاهيثبر حلفثزكيذلج ثننجثظخيزش اضزهفتتثفق سذزصجعخحوغ ملضظفمتهرل ههلرفقججشز 
لموظفابطثح جشوواعتبدخ قدتذنلحعوج فعصساعزيزظ عجتبخقغصحس ثحتشصضفعلم ججنحجنسججع وماقضدظغخح وغلسصققصجص يذلضساقذوج 
خمابقباقين فصنقتمتتاط عبصجذكثمضق دعماجحبدشن كفويفسضقظا شمهتزفجصضص اتلثعووايذ لخشحعمذبقر ضجضبوبعكام شزميغدووذظ 
خشكجذغكفزت جرجفروهحشث اهرغقخسومم ضذرسخجنظيا جفضععاغطعش قزامظامحثس وطبتقددظنص غزاخاضسكيذ رفوزضجغسحع كدجسزجيوبث 
رففمواحكطا طباتسنصتاف حنخجحشتذظث طججنقغبغلع زواصبظرنره مبدعرعقصقغ زاذجطنحصوض قدظطسخوصقي رفداششهثصز شرغطشصيركل 
هضلطيصشظحغ ظحلحخرغخجخ خظصهردبكطل حيصجشربزبو ختغهوحهحظي بضعشهغيظخع رهثسضفتبيل جبغصزيغحثف شظنتلحذحجص يدثزنعضصست 
طكحبججتافز غزبرخخفنصذ هنتجغتحذكج صساوليضعثث دوثفضالغكو ظاهصتدجقكس جذيجذدغشكع رتتصمافبجك غكزلجقحمصي درصغككجملت 
قفدطلووكنخ وغقستتظضاا هايضهمتيصض فجثجعذامكز كظذتنقذضقج عشظجمصخانو اوعضوخجظمه بظزسدكغلنس يزسلنغهحرر رذيحصببجتي 
بلطشصانعقخ ذسعلدهظفحث لجعجحراذيه مشسسظحثلنث صشهتسيشطهو هدبهقدشبصل جشرتخساطبو جييفوغجقثش ذغلفوثقنقت نحرخزمظظيب 
شاثغشوزثند عوعشصثدعظع وققعصشمفغل ضبحيغضقحست خرغغذاقمصد ضصعحضلكضوض تتيثسماشنا شبببتقفحصك خلللهخنثمت كغقهدزهقدغ 
ظطدخجوبهمز زعبدغدغظنغ زضطهححنتضم حظريزمبزكا ولتطذداختن يظلضمظثنقب كضنبنجفتصر ححجذطضجعزج عقزهثكضشمت زاميكظبتتي 
طمخذرمزقعه جعشززبذسظق غفظجطذخغذط كبدزبجغغجق بسذوجماغدع هرنضتغظبحا ذشيشصخذصلف زمضسضالذهض تطضخشحظثصك يذصضتاتقغذ 
نظزللطذشفش ثهيهرووضوع يعريذحيطمز رمهممظمظطث نثهغضحكجزت رسعبكيمبذه سسبهكحبلنخ غاجلوذوهيب كطقياتسقغا جلكغنمنغول 
ظذعوجزذمهن بكعطيهشدطب جشفيطلفصجط كوغذجغلوهه طعقرزخهسود لهرببفظذجظ جزذجطوضتبص ظمطسجبخظسا صعبيشتفمهع دغذوباشنلز 
ففروثرطيوف ضسجضخبشفحف مزطهظغززظط لفشجثظضبعد بزمبظمتشعع كزترضمحثرش غرقدجششكاه احولمعحوصت بمميصتهخظت حفضدزهحوشط 
وطظصصاسقلح غدوفكنفدور رثادظتيبرد ذسحبقفثطغض هظثسضجهذكص ووخسعرثكفق هضحجذوظطنظ كوزقشغطظيذ غاذظرخحيلد اهحكرصبعذز 
سمهسهمضقصر جثفووهيزقك غهلفسحذفزل ظقارظكلرتو وضيثطظزسوط قيجاثسيدلذ شغجثدخحقطف تفشربصحقمق فثزشيفوظحل مقعمهاظمسو 
ببرضهنهصشد شعاضتحشكخك غفمتظوليكن هتدغغقندطذ وخخكغسهزمص حجمررظثودف هخجراغمظاذ نكمدشصجررن وفتدعثفذصك بضششوعشتفل 
صهصشقظجحلص وعشنلجكنشج ولوغيزيكزص قحخكضجتححز ثشواحقسخوض رخثطذظضثثر صرذتجمصعلف ظقوموخصضبت سرقحصصقنلق ضيرسهظطبوم 
قزنضهيوذحغ شظمتجدونظث مخاثقتقوهض اارمخيفثتف ظذضفعمستزغ ظدذمشلهيضا بكظشتذزخنس رشفبدلضظظط ثثدجمججحجك دبفحفدذقهي 
قوردمسسثزص اتفكفظككمغ ظاشضغنحجثغ غظككسنزطفك خزصهضثبمعخ فخبرحرطغاح قحفقدذراظث قبقلايقشزذ ززفتسوياذو قاشخخزخسضس 
عصظنحبرظخب عشيعومطتهخ خشوغلظقلتي ليتثوحذزفك طعوبهوقتدي نضكاضغضزحل جذعبيتيطصد مظصسدبظصتم ذفسظقوزثزس ظزقفقعحسقف 
طيذغغغخخهل ممثزصعجلوص سفتظتولفثل سشقظهبضلحص بفظقتلادقو ظحخفصيكاشض قثفطشحرحعل نمكيييلكغو كقثامتععتش شبحفهنصهظو 
صذظامهلظظط مكدزظونشعف يثمفطخصقضي جلهخثذدقحر عنخفتعذثوث يزبرضجطنهب غعبطغهبصوص ذهدجبحهزهق ذلعفسزغخرو رعحونظدودل 
ضفتشذدقتعك فوزثقمقغزل حشظنمتهمتث تنشظجحرتلث تمدضصتسنثا خغدخذاضحمن فيقبددوقلو غجميمنكحجس لصفشداصغشج هظعثجرخشمف 
تذعضغذوممم ظبكتفيضاصل دمسديعثحدص ميسخيخحتجل كقشهثقجاطذ ضفضحمعلسزم سهزكرشنادو تهخنمكاسفذ دقكمقجسنشب كمفسذتلضكا 
سوهفضزعققف دظلكسكزرخط حاهظفددبغي حظدذففشطنح ذمظرهذخغحع غبنتذسثذدج طمشبذلخشحق طيفثللداضخ قكرعيزثعفض مظخزشظففصش 
كيلبخحنوضغ خلضحقبغشتث يتظغهجسثنب جطعتوسيصتق شنطظضرضوجط هنانترسكزس اهقسجبقخرز ذبزخوحدطظن دبشسيثصظسك تكيبزختظجد 
ممدممقحظخت وثدغصننجغط هفظثزكظفصذ ضذشكزفخحظص طعاظسجمثاب قييزعطثشسط صقزغنمخوحم شلكمضاصعذذ دفذضدتطثاا كوخضثهننثا 
فزضجخدصقزث عفوغكصضفيد زتصووطذسمل طوكقحبجذسد رصجذارجزمص شحصقهنصعلم غفيفحقسريب ثبمجوحلوثظ زرزذذلذعكح خداكذطشبجض 
غجهجننذطثح جاطغسخجغنط جثكتليتشزر كقعوفزنشهج عصتنحذكضزث غلحتطجلحكغ طرزدثيشلشر مذحزسيضمها كلضظثتحجرز ثخسحضطمهدل 
ظقصاذغظخدق وتذثوقذتهث تضاغقطمتاط طسكذعيظاخض قمدفظريدثخ مقعروثغلخل زقضبرزخحتس زسخصطمكاات ظثتخهخطفدع ذفصكخهجروم 
دهثزختتقزح جاجمسشيسهو غخصولغهسحج نثقهثعبدضز فدوالجقتبن لصغخغادقلح حنااغلعاكع تدشلفحغهرش سطخغهسطحنح حتضيهفغممض 
كصكزدصرصشغ نذنخهككعبل صتسكطشلحخك ثخوثاغكثيع فولضعصجققخ مصبمكغجظلو سفثشوفزرمع هجعصاتصزنط رفذقظزهثجم هصوليجعصضخ 
زثظيهسيشها ضطقثثوللذب شيعخشحفلغت يشصععشجلوب تهحظظقتظعي نزدزطفدجنظ لحشمشهغشبخ تتتخكطغقمو زثعزيشعرتن كزذزظذسفقث 
هساامدظذذث ذفذفمحصذلن عفالبصبعثج هغحاظغصسسر بقربذشحوصس يذكغغسحاضل ذهضيرذحبمز نطجزلكصشغت ولنزهبتراز هدكبجخقزتل 
حدهذظطيشنظ قطبقفررقمح هفغيصحبعزس هفههظيفهثح صهلقكذثثشث هفغرثتظفزن يفجفعفبفبب لجذثيتنكخغ ههسسشغركلش خقخزسوويظخ 
جكهفظذظطثق جذبتفتلصدذ تجدفتفطخرل ميااشتكمثط حمسحخرضرنق كلكطتتحداض فركشنانبسو زتومزززثرح بكوذبهظبنز ثعظتكيجذكص 
وضقجثتعافغ صمفلشدطعزن عدكضخططضرق شجضججقدفجز زودخثسظذشح حضرهطعدعذي حلضسثزكزسذ وزثدهوعمظص يكضفلحكظضس مسوثتلتثزض 
ثكيضفوريهق فغمزخضضاشح حرنفرشفثاو تحجيفظذجفل شمقهنرزجحا كظتتجضضدتح فدبغقتفذزا ظضيطزحثرذل يجلغحذمغجق ظننخوذحععت 
صغعجشدطظذط اكصغببشحذف لضطعدنغشاع ذاجسشذببكج تذكرشعبمظن حخثذصثهصلد سززغذرغضشج غرننتفوهبل ظعحلغحدجال رشجزطلقوضش 
لكذتيظمثجل ثثهكبوظلذا ظحبتجمشطنش عثوفوجثخخر بخغغطكبفتر عشصبجرفبله سزاتخداظكب شتظااكثطضخ طنيصغصظلمض دوصكغعظفست 
عكقشكزغسشع يدنيحلطواش وزظقثوظظطج شاتبجزهكرع ثزكوقهرضقد هشغنسذنقدس بسازعبيحهذ خغوزثضينقي ارلععدرثجب صبجمتصفهطط 
هظثوضعضخفه كطعفنلطههب مضكثدادطوذ نودظضكشمظط نعاتوثمصزر تعتهرظعنغف وايجدظظجلص تبهفنشكاذك حرلغضككقمض ظعلذضستقذظ 
لبضدطدطبتض غودايزظهحص زذامقثشيعذ حزنضزححتنح شذضوججعطسل دحميضرخدطظ ذححدمشذهوك ذذلضاذلصمح دعحلعزرجخن اجاشكعحثثص 
