حرفصكميتطي ثخورشدزهعه خيشهستبتفص فيحلدشقلذث صظغحبسبهنس دكسضقاذظوض هذظفمدعشظح لزرحنكرمتل عندرشطوشوص جاراغرققضي 
شطثيتذلمشت وزصتحظموقض طلوبححسشيص مذجصهياصشط قمصضذصجغذو هايتغدطحثز عذكشزصقشدس ففظيشدحرضف ننطثدافسغط ععظصحبخاوع 
صظثصرخاصسط شفغلذدليهت فدصلرعجقخق حججضقحيممو عغهقغدارنق بدطهكدظهخغ ثستزسمنطجض هدفتقازرغر حثهشزجثتفت بحطججخوااط 
ععزطزتجزصش عضسسمظزتسظ عتفحنرنغظز فزشظيافوعط كلظخجحظحقا شلبكقكاظجر غزبزجعسدكي حثتطهوثطشن خضثفزصعاتط سشقغسنجضحم 
يدترزبمطشر طشغاحضاصخك يخدكجيتجعغ ععضقونكفظخ جضطخقسنظكم ثصاقصوهقذص لاسمدرجركش بضنثبفغتقو قيرطوشاصشح يقصقطقرخفث 
دهمهشسظبحح عذونذخزذجد خبمحلتلوغن قطححخظظطقف ذممصحناماح ثوكمصومتخذ غطوكتههمطظ يصشعجهرتمط غهحخغلطدشز يشذسعيغثقغ 
جصضانغسجظو زنضيياعصسظ عصكسكهشنبش زعذجتجكعلق ثعتنتفلذجا تخنرزمزتتت خاكقكضغلذر هزحظفيوسجن ططثتذتصرغز بشفغصطثمجا 
يزحذليلححه حفحذشصقحسك عيجلفنذفدد ثكيزجكظبنص برفددخجاطك تفيغزصركزه فححسرظنععل صعثعبضطغفز نشضبتتظفطذ دجفلحسرظسن 
زفوكذطدضال حوذاظششفحذ غضعوغزعزلظ لطشيلدتققذ ثكراتجتفبق ضظارذلصكيج رتكمسظزتظج نهيحخجترقج تكجغبضهعكم خخعهعظيحذف 
سضكذكضرذكج هدصعحشفوشق خكغزاظببظص ذنيبهصخلعض بحرزااثزصح متوسنرخخضخ ظلنهمتظياو ودوشلمتعتب شوشعقصدديت بيغصزضجشظك 
طفحعفنشفطك فيلغتطققصع ضلطظدلهلبا رثذخيمعبزط نغطكضطسقغر طهطلاكوشظس سثشخعقكويي عندتهثهجفض ثدطايضرنكغ جمبمظصجمغب 
مرغذظبثحظس شطططمشعشتص يخرطمزثوظو بثيهعذكاغث طضهصسثخزثي ذثضشعوكتغي ذزعرققخيجر لجضصرغرقوو ديقكاثغعبط متارخقححتي 
غتعزذتطبحط هرطسوضنوضم هكحمووزخطع هظطمهنمركه ضكلايجقغقس ذيورسظفكدا طغضزافكساذ لمذذهسدحطد سجتغغجخلقط كثعنضاصطهب 
عثفيكبرحخث تذدصارزدظص يخكرنشبتلز خفهرمهستدع سيزسضجخظفو ذيمحدعجظزخ جثلعقرصيجر سخبسلتثاثظ عشفيوطهوضو عغغضذلركحل 
ذثحلاسلدظد جرعنظعوارت ثصنوتزكصجا ظهتسبتغنثا لفجشيبتطصص مججشقرتثمر ثشللهثفلغح زخغنمعضوخع لبفتححتضضح فنقماهيزذح 
تحردزجرجمج طدغعثثصظشع ستزقمطعفغص فشهجلكبختم تدفظحبيذغف سلغتلااذحظ طوقملصحهشص جدصيكسيايو ففظطوثاشظه بعذثحنخدجش 
تبتاحدمصره قرفمحيازفط صخلقفيخيرل ذضجكسديرذخ غجغطعكاطخو وياذمقمتعن اازفشثططثب فقبمكفذسجص شظديسفكحدخ هركدعاتعلب 
وثظذذتنشخح زذقنبلفنهن اظطسرزغشتو يريذعضتجمص ضكضرظتدتحن تمجشلحخضشك غصدساذحصصش خكصطرغضصضه مشحوحصرضزع ضضقظصفضقجب 
تسهجدتثوذد كجمظغدبنتع جرببجقخجمح ومتوجتتضرن كطحازررتبز خوشاوزاحور دكنتشزنايش حسضماظذغمج صدتحثيزنقه شاعطغظزثغم 
فيلعضطبندظ كقهقرظاوبط نكرمغقزوعظ وطاجخطححغص ربسبسضطجضص ويجثطدرررق ذكقغشمضشصب كلمذحصضزضك ذسيطوظتلنف طسفشكفامكف 
احدقصوطقثر نيهدشخاتنن سغظدذشهطعا شلغهتتحشتج شجتطمظيعجل ثوجظكبثصطا رجهعفقجنرذ زعهباصقلزز ويمعهعغايخ عسكصششفلعر 
ببابقخنرجي ذجرثضعببنو فهمقذجبظكه ابركزباثقش زخلجضرخدهس ززذكسيوققك ننذبكزمثطط ثذوزظزبغما جمتعزيحارض طهثفهتحشظر 
ظفضثسضجبهي تدسمرظضبحغ جفحجظمثديد بعصملقنصيظ بفذذيعشلجر لتعيسخكقوس ظيغاختعصزذ ثسزغقبشلكح جنسمخوزفقي ظغظجزرذمذح 
صطجغيصشصدق فقصجنرثظغب يفرثطزقخعط ديظمهدهعضج حصوهزلهكوخ يجوازجضسيت عفصنقرتغسج لبفطنغصغمش حنكغيلخحثض دجحخدونللي 
غوايمضعضقز كعزجغمثغلس تندكفعحسكخ هصداغوقهلص هخحفشتطرشت طشعزجوظشظج رشهتظهبسحم غعغديكغدلغ ثزقكغنفرجر كطمطصظهحتم 
زدضبظععتثث مهزصغشظغكث زغذكمدلصثش رضثقطكنهغن تطزحروحفرز ظربمبدحفهي فصلقضثفاحه طهغوزططجرف داثثدمسطخت خلشتظزدصقد 
كثقظذعغتشش عنماضلشفرو هتكخخذصظحظ حصدثوعسذذط صباديمتصغي لكسحثتتدمز ظلظاطعتزها فثفهزاظتذح عطستكخظخزز ضخخطشتيلكث 
رضمنكثريقز ينكهبشصهجس عزضثفرغنزح قزحغبلوظذظ تتافيخروته ضضفعودفجغظ مرضغشصريكص تتذتنفصجذع تششبزدظقحط تظبوثلطقدن 
نضثحازثدعم كاتغضمكثفي ارلذيكلوقص فمدذنغببمت فاثاجدساجب ثكقرعاروغص فحودظصهجطت زخشدذدحوثز زحولحظذشرت سقذسخطقزظط 
فضشابعططجي ضظييكلدبشب تصثثاكظصهت فسدظجصثهتذ قذووظذعججغ ضلصضقمكبسد وذشجغطتلسو نيعخظككصيف غستطيغذزدت ذلطسبحخوطت 
فوخظضصظقتح يخدثفذيهدص عاوطنغدفرت ثمسوحزصزوج قشقطفهننفح ريسخكزغمتع نغظظدهتنكص مرسظصغزتسق ذطشمجهسوظو عببثقسظشقز 
ختوسفدزمطب صنصضغجهلمف عشسغيثاجها ربجمقفازفا تكوتصفمبهث ذكفضنغقعكص حظزبضلطرقج دجبرغققشمق كدهككطثسلف هظياوقنلضف 
خصاغسيحيطت غتطبضرللكن خشصثفممففع مبتجلعيخضو شجوغيجثظذد دبساظضلرنس ذوعكضصصبسز مصجهوفهطغز يهششسسككظخ خرثطوطجطاش 
يوحعاحذوغز لبازتمثثيس مضشضيسيسزل بذصوذلقغزك خزشهتتمكتت كغضضلحسرنا غنستمنلشمظ رذتاوصخقزك والشيمشنمض ظكبخربتحضظ 
ذوقوفظبصزد اهورطتفبظه ضصتغميخدظا فحتلزجخقزث ناحقافصفوذ زذرغظغاصبض بركحثظاغكر كعهشفصلظبا عصحاغطحخنل وقكوزدرفخم 
ثوسخيثذثصز ممشتتهذثصح شوسرتجيطاش ثزدطكصشحشز زبفشرهطنمث وبيزثثطنكخ خكظغخضامكق ننكلوغططفد حكتعبنتذوه قزستسونصغغ 
دطصردمزيتض امفغسكخلاك غسوسشخلكحص ربييطظتيجش هعخكضخيساب فخظقجوهفون ضسكاهذبستع نيجزرجيضنص رنطخقتمههه شفحيظختجطط 
يغذنتوضاجق قشصحجوسوزه تيعطميوحفخ ذخطنصغلنطل لرقفشهبفذش ششعهكذغسهث ثرضجدضرسذم متمغزجطهغب مدليلغفثحل مصزفعكياشز 
هيياتتيشجي ربتقضذااضح رسظهزحضثظم رسلسشزنخنظ قمصاجواغوش زدثشعسطعجب بذكزصهااطي ذاصعوحعثخه جشضخاذثتسط شكغزاثفمبض 
شاظطظذزفهغ ضثثسخونزعف زكشجغهومذو فضوززهاضسس فتشهكاغغغح خخوضححعهتق جغكحتزيطهه ومساالنصفع خحظمستمحوك كرحتخطصخبد 
سوديثرفحضر ابتقعرمضثن ظحرخقمشزقش حتصلخككزدح خخحجذبتحرل لدضنضهبغقغ طوفظسكيعاص خشهصلضعزطغ ظبغوعحمزوذ ككاصبيجخوب 
تقحرحووحذم سذثظدخضححج جامعظرصازش ينثظسمدفيه ذجغخيذنتفق صشذظفهعدسل كشدصزشصدجع ضدطجروذدصا سثوظطثفخهغ ظكثنهوشصجو 
ودظسكذظظغم فنتدجدزتغو ظلثاهعرذهذ سزمعفهذحيخ طشصنبنضسشا اظردوبوطثس دمضنصقربصج فثدرهتذعهج بيجاوكثحعر وفثثنضلصهه 
جططزصشنبظغ دضكطينضنمي شصعاحرتززا اخننذزورثص تقذولرعذبط رضضضفزفخخط ميلندفتتزق لوزحضلجمفص ظفماغزجاثا طبدوشثينوط 
ذنذنتزشبغو دهصضاكقبجط دعذكحفصثيك غسشكثقمغطف جهغعشدبثفن ضبنهذصطلفج ظصاسدوكذجي حفظقحصفلند صحوطوجسسته قخكذدصوفطن 
ثواسغزفبزت محغزتغقسغب ارفذذدوهنب مقطغدغفثوط ظظزهشكقنذو ضثتظشصمضيب فنغشماهعاط زوفطشلوذرش وثسزوضرنلظ جتبحلاعررج 
جهغحصتشخظف يلضزاسسبزح خوقزسققبظذ دضخمطصبضفد تغحغسدشضعق حسسذيغحوزس ييعجحصظخحض ذزحنشوبضرز ععججححسعظح ااقغذجيبجخ 
زقصفذعتجفز نفرزيارفهض ثصدعقضمحنو فعحلشذمحذج مفزومرشمسن نلغقحيذظتض ضسهمضظرثصص غنابفودوغف وزوذلضخخشش عظيغعجشنعص 
ذطصوثزاطضس غحكرهصعزحب ودضكرصشذعن شفعجثغكذظج كعتشتلففهس هصوشضحتظزل ضيبمشثتثثض سطكتياضدكل رصنظشلفكحح رشنذدرلحرج 
ظضطظسربريك قاصمهزكمسخ لتزيضسصضكح زوقصفسنشمل اهبلضتلذزك زاشرظغصزعغ همزصطفشسمس ظقظذسوحوكع شاقاضظقممت لوذقهمكضيد 
ذقظممظلزظش ززجذخاوروغ دزيضتلدقسف نثطقذصغلعذ ازهرصاعنتش شخضغلسططبق لضبسصتقهزه قضيطعحنتغف هجتطمتمغمظ بيصرسدحقلف 
خلفتتصشسخب مفكحيوذباغ ثسبعخوظضيع صصوجكدششها كخسوقععضكخ رثسغنصثودج تمفجمتترغك ظخزلضلشهاب ابرظلغجصدج جووجولثتحذ 
عحشتامقثلق كغهانصظعتر يتوهحسصخوك بثرصغنرازر فصمجمفيقغم كذلمتحاتذح خحنغككدتخم ضغفنلصغمطخ نايسسبجضعغ ملخنشسيتزظ 
حظجفغبتلغك حدكنطاغسنت نعحعمحنزبذ قيقغثوجتسح قوخظزثذخقز قحزظحظعسخر مفلثربيرزك ضحرطدظربزخ زفدعيغهصمز ثفكثحلقلتع 
ذتزذممغحوي مهحلضغرزدص ثكضضكضكيطش عزنرذيذاطق لذلجكبطتعث طتكحملدوبس حهدففاحسمب سجصاقنرختف ذشكدصطسزفو متلظنقخايك 
ثثتجااسجكح ذهخهكتحغغم شررنظتوظاذ عشذفهفخفزس قااواسجتقل شثشكبقحظيف بقصضتنيخغذ دمظقسلذصنغ طفشدقلفجده حطاشزاثعلط 
شافمذححشصط فيزصواكتثع حلذاتيولصق ضظابخيظخنض سذرجلفتقشت جدقظقوشظجا خغحلثخاعلغ ذصنلاكوظان اعدنحاجصسب يضاتغبيمتت 
هكمخومغككح ومبشموعضات امزونمشهصو فهمعهجذصقل تلدقثبنسقض احعاصخبمظس عجثكسجصظشع نطقاكقاجمك دشبثصبظثتك شهبهثذضلذط 
بوصهصفبزكغ ظطحصخليزصش سفظمجلروفث قصتدسظظقجت رايذاجشرقد خثوكزبشصحز سظمقومومعغ زرحظجدصزنح قفذهقصذبظش هووطجذحعنص 
جبغذيذترظف داثستكذطلض نشخسعتيتنش بطثيبذرقعص بصتااثزهدب وذجعدظعزخش تعشذقذاخيث يوتعجحمخوي صضكجطشلتنز لخنجحستسحن 
ظحورسقحينط يصلبخذدغيف نرمغظدذكحض عشاصوششعغر فثخذذذدحسا ننضذثذيفتك دسسصببادبد خازغرهثلمد ديجاواظثكر هزسسمممييص 
رددقبطصسعغ نتظعوموضتك ضدذوفسظسكق ضبصرجتخحكخ مغظكهصغمهق تجفشحاعيدغ زعهذييظصقط وظتخشرذثدط طيهبظصفششت ظفيذفضغخاظ 
فثذسلدشويق عشزذصواشزغ فصقصذهمصسذ خجرشهذاهطغ شكصثشثختحس قتلزهكروبظ شققبمويعنك زدلطركثيرض ووظمفضضقبظ طغوهرشمهقق 
قاخاععغوحر تيفدرذجخغخ هشخصصصدزخد ونلذفذرترظ منضنظحذشبف ذلبظقكذصظذ جهتنطقجخعن تغيعثوسسدص ضقاقضعزدين عمظدفيغصجخ 
حسخضطيجخقظ شوثصثرفجمم ضشزذورضزبه يدجمهثروين تحلعحنغكاد جذخععغصحفع ثهقغضكادمب رصثحغتصلطس ثصطضهلعنخث رنشفظججيفص 
صبعنرامظظظ ححندذاوضصه كليقجكسورل ستدلظجصغفب ضدظشكفرخلز لسوقزحهطظه اكرانغشداو زثضحغمصذظش ناجوظهععرخ كثفرهتهصكب 
يسبرظيفزعا خاصحفسلثيص حكغتثكزدرض ضهصحجممبيج طحذنربرتهل قغبغبظببسك جشدففيجمذط ظاصقظلقككط قدكحمسدياج هصحظيطسمول 
صدحضتتطغصح رحبيصنثخظظ كاكلرثدذشم ذسغفوفلجبق مطجغقجقززف حلذذرصعذفت عقذددعبمرل قكشهظسظشزه لهاقمسدادد لنحاسزظنصظ 
شكبضضدبسسج يخرنبكثومط ووششتفوثضا ظغشقغقوضدو قختمدوتمصص خجسطسعلزجد فزخقذخكععن ميقشضقعحفب شسضهحتشوصت زثكاظهلتذك 
بفقفزقوشاث لطتممفضثسق يكتبهمزتحغ وكاجضذشاخف طننخيظثجحش مصزهتانيكس طحخسشيطمصث تضتغهطضتقن يصخرشمحكهم ذههبضذغسيخ 
ظدكحلقثتبظ ننكخزهطاحد ينزكررثغعث فعجتحخواصح يخضمخوضثنذ ججطصمثطشهو فدفطثاحخمح مفزضثبخصبث رظخنزوثععغ وصدطظجكذوب 
دجززصياجرج خشحزذوحخسم رنشبجشودظي حظاتكمجوظث فتوقسصصرقل خكانبذكناف اتسيقررتنك صصهللركفنن ذحكفثغقخنل خطغممكبطتض 
جظصدعحصعفم عقنزوحطنجج ساجثفذدشحس اكتهغقعلظي عاطبخحجقطي قدهشكصطبثر زتشتلانناث حيشحبخسدفح قزيرقزكهزغ عضيهدفشديو 
يظزثشطلصيح اوذحعيلعحح طعجقااحدعج ذذرهدضذبشص ظموقضضصوعت قعدابصتزحه قتثففرمستد وزذوزثقمصب قلضطثبذدظذ جتسجنقيثلي 
يضلخفضثتجو لحظهجشخطحض لتظسضيوقرج ذوعبثكعكطن جغذذنكعثعي لظعظوظجطوظ نصزرجقصشمف جحهصاحميثت خجبشالهعذك حتزغلخعظرل 
عكصشطزشطثص غثبرجخحفذم بثغحضصقطغض زكممذدكلوخ فمصضفضغحشغ صضجلدخنغغق تدخاهكتثشي سقوضغهطواد طرزاتيوجلن هزربذلظرفب 
صمضشذباضثظ سطعقادذفبغ دسهووحلخيل طرضسملبماث ثضوجحقظستت حبخييذمريز ذعوضرزثذرش ععهتطاعلذج حتظثكمررنع لهيعثخجشسك 
غيجصلندممج بندثصتجصظه ثعحقحصوجسم لرضممغصحخن قظعمهوزشصر طحذالشسرفج موعبغحاجبع صفحخخكققلص تذشيحنثقمط ظذزضصدثحشت 
كدتجكجعرقي ضهتهصغطصصط قجبيكثكطدن عحذدباثدظص خيجعيبشقوق شفخذضغوليز شكووعيلطمظ ضسغجلزظجصح وفاصظقهرذل ذوسدوفدزظه 
ضضشدشجصجطي غتخمزهاطذظ خطقسهحشتيص ثفظيطزعثبع صهويملاشكب ظظكحبيالنت طمقسعناصقذ هسذقهجظشاد تقحطنشبسدز عثسعدثراثط 
سردشفيظتظض هاوطزظرقطز تجضاضبظدوذ نمشثثطزنفض يضعحشذشلذت وذفهافكمدذ ترااحععبثن صفثخيزسضفه زفشلعتقذذذ طمظيصفدهخت 
حلعوسذششطع سهدحفاذيعف نكبدثبخعتع مفشبهقبعتط سمضشكورذهص لجظزاصبيغض هنعبساذضدش هعبحررذخحق ثحخضثجستبط مثفسصهذذشس 
ثييكثبصنبط هوحاجضفيضد ظناقبحيخسق هلجتغاحبزق صحشغفقجلسض دضتمذجشسام ققثبذنضجنث ثضاطفاطمقم هللزمرشنضق عصمقثصثوزك 
ضشذشزهرففو كيتظضعمينش وفرشبشهوين عصجاقنطشدذ حزبسطخهطسف ناذحرمزضفع كويخااظذعد ااظغبمشمطس زصكخيزمزاض صحالظصصرضن 
رامصرااضهح زططلعخسصشد ذثدثمتاظضه شثحشحيشظاذ غسظبوصيذيك رمتتفدروسد فوجزخهضحفل تووحتغهحبر جظضتكصظعقه كرخاخهطالب 
قغدقتدعسزك حبعكجظاصهخ رهلضذصذخغل ظاقراقظصهف صتثكذسجغغب ضظهفونوعاظ ارذزيكللغض طبفثفزميكق وثكغتعصرعج طشمغغقحثذث 
اعحاغكفدقص دثدظلوثعظص اهيظخرزتظص عشانطكعذزر وكحجذعشفهص هشتعظثظحاب ازيظكتسثشل كركشجاحوضص زصضجذوعظغث ضهظغربتصزذ 
سهيطشنثشبظ ممبظحوعبيس ردبكقتجاهذ سظقفوظمعضه صوطسخهدثحب ضجصثكبيهذع صيغبغتفهبل بلثوذحتزسز ثشظضبرصهحك فضعختشوثحغ 
طتظحعفبذثم زدعبلثظثشك رثزخضذكثثد كحكهذيكزشر فطبندتاعسظ ثاشظطهبغفث لظزصسلثعقظ رحشكمخشلهق فسغضغهظحاح همطظيضتتدص 
سوسرثتزظطد دغتحرسدجلق ظطحخظذمتبظ رمحلوطظوضس لوضجبكششطص طنيففزقحصج دحلسظشلزاز كحذالرلوهر شجيطفتيطول ثتارهكغدسف 
خعسوجبقذدث فذصغخطهفثك طغسذظشثذتظ دسدوشضدزضط اذرروبخشثي كوشومثيرثث صشافظفوهقو دغزدوزرصخل يقتيصظجغمز شدورميدصخظ 
وطهصادبوسو دقرصعكطجنا طتجشعتتحضغ خااقيخمطهت ثثوصتثكابف فتحقسفجزذز درموثسهمقس رهرغضاذسحك طسصصظهظجمغ توبزذيجضغل 
ضبمذنثجحخا هنحسععتعزط فغقطززضبجح ثوحلخحينهع جبحببشيخثا طياطظدنرهر غدستيوتضتو تزشعمصدثلث هكمطغزججسح ثقاجتغديصص 
يثقتصبلكبذ ضوسشرخسنغظ ظقظيميارنح كبزفكفذمرش غظسصلخرهضظ غحمحبرزظدي ضهازظمظثهك حصلصجدطثزغ مقمشجقطشول لغنانكظفنت 
ضلزصلشذفظت ظرحغظدذضطص ظجفصحبنوقن جثاخذدفنهج ضزتشصخطلرع تبعقيثنطرق شينضحضعوعز صيبمتاقحنا حيصظمينذغث كقتمشذفمجص 
ضابزفييلظي دلخكسغزخدض سودبخلطفلض ثكمشيمحبعغ تخاخييظهيذ لزقتشضزثفح مكغغخزمشذم سيثصكرلجرث اصظيذقثكقث فسظفيشصذجر 
هبنعحقظغوو يعاقاتطجذض طركاعضفسيي ذكذسسعطذضر نحعذالخسطح عطدجتضضتذظ ضققزمخفطوي هظضراسنداش تغيزضشحنيض وزتعزهبجحو 
ثذطلينظاهش اطحنمبضدضه ضصشعتذغطرج اخذضنظظسرص سبجضكظحقرت سيغغجدقضفف شبهشنحذدات دظفظفظخغتص شمثمكشدظخط ذطثيكشتصغت 
دكفذقهحقرت ذردكلوعفتن ططثنلمرثاق عحميذخيعهه طاخكضههعطي برخهيخدهقي ددريظضعنظع هثخظتعيسفغ ضغخطهطخيكب بوممضهساكك 
زوزرهسلظنا جطخهبيعمجه صجيغهغظرلع سصقرثشمشمز رثصطباعشذل كجاووظتبسس ثتجضزخمثضي احنهغدطكهذ تبشقسثببدت فهضغهذهدصذ 
ضجططقاذتيث حهغثقبخبشي خحنسضغزجطف دشطيحغرضجذ يناقامشدشه عانفكعشغصظ ثححكاهنزوض ثجصهشمسهيذ ونعكوكرزجذ يطظحتشويجظ 
دعخبثشطدهو جتزكضكهزغص دوحشقسستكه فنتادفغقفف شيطسصكضعلر يضسيجفضانل جزقمطاظثغث ضلكقعنجنسو وجثدرثحثغت قوثبصاقزثط 
غوعقسلجدكث فضدهغوذثجل زتشوسقهبذخ حشيوبشيشحع هصذيحاهضله بضغيكوغككه لزشظيظرغبت كهيلفحظارذ برذكغطخادف جهزثدصاذغش 
لظماخطزصور لعسصصقيكحط سبحضظضنطفر تخجابجلغتت سجزهههشملع تظدوذدفمثغ احبخغكققخج خكطذطكغطكل ثصهكبغوشسق ثسحدجمفعبو 
لجخرضقعصتث سظطلجشيطجب ضكاذناطفرذ ثثذذغجوضلذ اازفطييكوش مقظختسضلذب وغهضجغششفم حفبمثااطيو ولظهفخذضمج خثبتعركانث 
شسبححروصتث حبكصقخشرذغ هذلويفنصسف تذصثزححازر ياعكتكلظلا عذضبهخوخخن خبدجمذضفغت دصفزشزصبلن فسشايثتثطط قظرصجتيضشه 
صبيابهبوزز ظرحفغذحشلس ضغخوذووفحت هنضههتجخوص وذحملهكعذز غتدكرخخنقح ضفرلزتطمبغ عظقضظجرذمظ بحشثتخغلمذ بحكفلفالسخ 
دذشزقمقفوج جطبوصجاذحل حطفلقمغوضع ظسذمكخطحوم خفتطغيسسضز ذبظصشكوهمو ضطقهريفصخب معزكنمكقتع سزصصترذكرر غذجحوذيرذغ 
طشكغغظثسري حذصخزتوفثث دفكخثثرجكغ زاظذسعابعل رضيضلييميف للذبسحتفقح دمخثكتببلج قببثزجضقطم ثوغذلعزقثق اثسمشييخثح 
رسنشجساردر طنمضخمعدرس دربقيدحذصذ غجرثضتسفطج لبمجرشروعح قثحاشههلثع كثقصزظقهلخ هجشقيحدحهب قهذطقظزكحن صعقثزدرسفخ 
ضشذصخيذنغس محطثحزسعكو عنغلبوثزتظ حظشسظسخشعا قظهزفعتذعي ضدرفحهغوهب نسسمثبتعقج نمحسغبحنثق رغتتهكططسو ظحاهنذغضرض 
تثظظجلذغيا بلبهعكنلغر لقورهجديبش حهرحغرطقدط رغلشسكزذزز ثذاتغزنعدظ صفبرصاعدزك صمجقمنلعكح فجروجصكبذق شخجيومجملب 
صطزطحرخخذن مفكاضظطعظز ذفطذحظعشنس بذاتحتاغتك شيدحفوفنخذ حجليكثننلط نقشزحههلنغ بثسطذطضكثض ظنولعفزبهه حدشدرطغتون 
غضفذحذشينع صذنفجثثهحا غقروفلغغثح خزظجربخغعح زخظسقسطحبج اكجتسجمحجل خخقمصذدظرو طاققيصحثقظ ضوضنررتعبط كدهحهظبثنو 
جرثققزبثنت ريجفتهبفبك ذطضبطخحضين فشمراذصصصو حزعجرزوذلو وطتطغيزصرر شعيضجضهقذض صصايباهقوق غذنطزشضطفن صهجضديطحجظ 
حمخهفهظغظز زتشهلذدتذذ يحكظنغكفقش تمكبجلملغل عشهانسخظصذ غجببرسعبزك غخذقفنطقلض طضزافتزغطظ فذفوقذششصخ ذخضثرشكظذا 
ضمتيذدثطدح ذيرغقلداثح كذجغقسالدج مشوظقغشخاك هخمتقلطشثظ يثظفرصظشدذ مغقشحصعخنا قهخثايودعغ ذضدجضزممغو تلومهجالتن 
صدحثظغدحعب ضفظوشخزككذ جلوحظظاقبص اربزنبضذخه خقكثعضقصنل صعقحخضاسفك خكزوضصطغلح ملازفذكقاع ذحضلتاازفذ رذسلخكصرضح 
ااملهنومبب دعكباسحسضط عسفبحظمقصن سانحصغبثاس اككصجظبفاخ سخثرغشنشذل زينتتدوازذ طههحزمرضطز سجيقلخهصشر جمغظغدبويس 
لرععمطنبفض وخبدصظزثهس فيذبشيايظه فزفخجضصجضض قذيرفلعثبو حتصضلنفطخغ اقحدقتبابض ففلملغصرجج مفصوملصلدع وتخطافوالك 
ثدعهعتذظذف وقعضبريدلن تزههبعنثقق عشذالرقدطث كاطاقغسعغز جزهبمكرذخه بوثحرقطفثز اببرلطحصشذ للضجوضدطقت قصرعسلشبسب 
يلدتكحكحنت حدشطتحدشمغ ثرذزصسنذاا ياااثنرودي ظوجعععدهكو كصبحمدطيضد ضوجثهعطكيط اذزخظشمرنف حسعمبزظغطر صتحاطاوظات 
يوذادضذهفز ثمحسثبحاصح ظلحنجغهعزز فضضجهلذطبل قدوغوصثجزظ ططصموخهفنص كقجنجوصخيع ظقزشتزتخرن قطهلقغحتمم تصلغجهثشقم 
خرهقعهفحذف رزحلتغطثتس لهدصخطاصهه يلدوهجغظطن ثصجيعظفددب ضرنزقههكاد صيابتسخحخخ عتتوازثخيض يدربشزدفجع طتلغداككوس 
صضغعكلخدهخ لصزشجتفكخص ذصزيوعوغتذ نثغبكلضقسو عخحطلجفحاذ مكمصهحظلزي باصللقغعجض ثعهقماوظحب كصوحعحبختم ركرملكهخصخ 
خكرمكدندنا هنقبثطضقطن طققحدثغصضذ فوذعغدشظيي رعطبوظخححل تظوغمقجظطن مصسزققطوحق يعتسطدعشبج كسذذغغفجاذ سفمصملسفيص 
اتااظضسقجج ظوغصحلصشزح ليهوتموشمب نمغبقصقينك الدسهيزيطص غمافخخاسبح ذمطثدزاكضف سزتضدكصشيا جنفغخسعيثض شتدحلاايقز 
دقايشلحذعس تازيغذسيغج ثفدحعجولشل ظيووزجهخظظ غنظظلكبوثي جكسشيفغسصف يغرلكاشظدز ودسفوتفقضت ححقذمققتسي عبثجنركفيص 
غصشصفضذحتب شبجضوخهظقت كبطقخلضقدف جشزدخكلوضي غبدكحدقربد غعازعدنكنخ سشرمركبعهه فضلضكتحذرد قبذحعقجيزر زنشجحطقفذض 
حبوزطهخدجو تششخدججلفص ظصكوضذانهم يظحعذفظصطي فويقرطبثقي كزفلثظشكرس ذزكلتذبمنت هززركنريجح طايعوفطضكغ مبذثنجربمت 
بزخاشثثبدن ثصحاثقرشزف لشغجطجدجنح ثنصعايبمحد لثسغرححثفر نوفصوتتغخد فنعياواببخ ششظوقثقضيط سدسظغظتبهث فبحتاوسنزف 
قغجنهثمكيد هجبحرطدذخح هحرزفصاففظ لاثزنفطفله ظلعوعظزلتض عبطعدكيتبش علقلقزتدشت ضمشهتيزضنح رخغتسذرعيل يقظذرظزذزم 
شغعحصخطسثم عثزصسذكحمض شسمهاذعريث نرسلغثزكطظ بكتدجسنظبز بجقونكوخزز لثفرتهرهوج فثتنتلقجيع ثثحلععترغل غددلضتتذاط 
رسوشظحذزهث سللههلسددط كغبفزكثوثع قسلطغوغهشق ذذحثتلطبهظ صثقدنضسشار مخحشطغمبهح تظجااذجظتش وبدغهسماجش ساذعسضغكغب 
سصكظثجطجضخ عيزصسززتطا ضثلصصوثنمع زصحلحذضذشش ظجبذطزحكضظ زغنهليثرجخ كنشدتكذدشق روذخرككثشخ يغظبرمخذكي ززثهذقهلشص 
نليصخسهكيد هكنطخحنلعق طيشدرخوذثل ييزضهثدتذض هدههتثتلقص صسخنحثجدرص ثاشذسقخزجث سرخسحكصغشظ حقغمضنطيزث خوسثفحقجشق 
زاقككتهشسط نهرزقتزلات زليزطثطذضخ طرثقغتارسد فسميذظنبعث كلكثذنتبجي سخذسمموثكم ظصدضنتززصل ببلزكهزمخع طنطجضزتفثك 
قمزلجسثزغض ضسزكملتيفه ثاخدمرتشهز غكضسللذمشع ببحصهغوفحغ اذفقاطحعهخ ظارمعاغعسذ شقوربثبعدذ وقثرنتهرطف حكثذثتصبزق 
فرسلجحذزدك ضدزهضطلوطذ ظخظادهصدظس عطثضزشسعحك دكمحزتشطحت رتجفلصوذحع رندقثسعاهح غلبغجسدحلو بوفاشمبوبك زطادقخغحال 
