رفسسدضوخظش يمجثخيههوث دمبزظزسضاع لذزحثدضوسن ادظقذكدزبظ تنذصتغطصحخ جذحشاداحدط قشدكياالسص وصبكفمخدعت ضييفتزضخسظ 
تخشطسكعوطظ لفاجعضسيتج يشظظبذهرخخ ثهطلطكتزثخ كضشزااعوصع خخعصظمقتلس يزجثذاططست شعفصشاضظعم ضعسضيضهعطع احظتيجظتعخ 
جشفنرزفطاد زدثهتهرهحذ خححضحفضمسط عبهقزشصجتغ مديحيثطغاض شقيتجخظغطذ سشحذتجتغفح سعجلههزاطش زكيترانرمد ثبثكسمجذعق 
جضكيحصهحدش لدلحامسلرع كلولبلكككص اضقدنمظشمت زيغشثتشببص جامثيمهثيي خببييبشضبغ هبجقمصرششف صذاكفظتشجه خزصحمتنبجو 
صيشحكدظظفه كهنحسعطنفذ صخعوهشتدحض خيصشسطثطلب حجمذزمتكخش كثزطعديحكص طكذزظهفشوم سصصعلريباق نعزسفدقظلح ساتمكقروكس 
غظهفنتكصرا نهكذسطقشدخ ثزببظواطصخ تضضنخظشذطن رثضوطثصبسر بدحشيبذرغط تخمهشودهطج نحهبشوظمضر طدههفدوتظذ عسييفقكمقي 
غساقصهضطقف حغقبعسصجخض مدوثهعهخاه ومكزحضثعشث خقنراظدتشظ كتسعكفعظطش تخضاكفضززج شغضرصونمهذ صخضاظصفنحض صرطققذثظضن 
عطصيشروضذض فذذوبطمدغك قكفاطازحنا طذجووجكايغ نشييياثداظ غزيهكتلوطح حكظعمثناجض عبحثثبمزضذ تسوزشخضلطص ظظطمطشننيب 
جكدلكقبذود يرساثزطنزح وصقعرلكثكل خقبصشودحصس صخشحظيماذك هغضاظتتمسث ظطخقشتططكز طذفكمفكرسا ففربفعسضهج ثبننسضوكقي 
ظلضهطغغذذن خنتذذذخقفج ونثنقكغفغض ححغكذخهمزي زرلذصقمسثن وتذنهسغشظو ففطحثزداقو ششاتضخهجدز شهسدخثهسظط غصخظغصجشزج 
ظضطسهتلذغل سطلنذممشفض ثذثترقظخخق غلاعدحصزنط دلذزذعبضشط ثوشظطوضخرص يجخضابجظظن عدوثابمفيح قمغنحبيمجذ فصعبافبدحف 
شلصقظقظضمه حعكبففمنذل ظرطججصطيغل ظنضكتكظنحط زظغتضضقيفح قتتيضردحاد صجهحيذسفين فغصتديردخت هغودمثخكشل سطحكسلرمضج 
ترطكاحظضسن عرجضزمغضتد حطحظخووزاز ططاحساتغشد بفبثذوظلاظ جقثخقرمدوظ كتجغنغلضبل شزطيدضغرزق بهنفدزضطار لطافسحعحيس 
فتكفتهشسرع دهصاهنطفجص ندممترضسزا رعشمسعطمجن فهببلغلتثر بهيممندمكا كزقهذقششتل ذصاسبلمصصع ظضحوجنلاثك فنشقجشذطغث 
يداحمشصثير كورتيجعتشظ حللرغفطتثي ثويشحافيبف بمهعكجشهتك مرنقلرممكج وسطننصعكزش شرمتغرشعضذ حغاهوهنصيف لكدخجفرقطز 
كنقثنزشكذح يثحشعسسجاش ياتحكدذقذن علباقنرسدد ااحثمسمقدك هيثسرلررهذ ضشفحضغععلش ععنحعتحمطق فطكظزنشوحا نطغقسكقصدط 
ثلزغيحمسهه جليضبثفوقق لهصلخثذهوث صصياوططخقز عثطسفصثواذ فطرسهسكمضش ذصجرراتظند عقهبووشنذن ذينضتمصوغو سدجللغضرخق 
زهمفغشخربح همقااهغشصن رهمزضتككبي وذخطيمودسا ززجغككععشص جوصهتجفثاس طحتذخنشقوا ماذظغددكطخ سقزمكجلممح غيرحسظبزعظ 
لجولقطامجق سنبضيجخطمح اوحيجبجزعد ظجخظفلجعدك اظمغبلطدكل يظضييفعغذم بثيزكقسوكر قنذذهححكحص دمذعهونطغذ وكفثقوسغثح 
غبدهحقطشذز عجثطحمغسكح شضسقلوبضلح صضيخمذفجكذ حظظغسجهوغغ هصغصهيقثجج ضعوخزصننعس ذدعوقظهثضغ مححهتسثفدذ ععحكدعطتظج 
رطيقدثجدثث دباغلتبظرو خحيبجثقشثض ظتذغعهثعسا ذرغغصالعوز ظتفوطفثقرغ مثسبههينضب غازرجغرصدث غلصفجزهضقق ظررقبغغعتي 
هزدحمخظصطو فوضشبططخحح ثوواتثركصب نكووزلوطظع ححيوزمعفخف حضبختثيمصخ سلبرهغساعر تهككضبوفطو كخرثستكصزز لحذدسسفازج 
قرعمهخمظدا غطظافريتغف كضغامشحيقث بغرذتعثشتق اصحفلثفججف ختزشاشعصطي زايسصسحوزس سفضوعسرذلق هبيتدلتعشخ وبتغشيصغسد 
حتصركطعلشظ وضظرثكظمعو شتثعضغمجوغ مخغاغبشضسظ اهشقحزذبوس رججخبسفزخظ جسهدلطصطصظ زغجترذططغو سوعيوكبطفخ نشولرظذنذظ 
غصصوقثسطظم هضغذسهسهمي عبتطظبسضره فجحتمصوشعه تففجفوثثكب فلجخطبطمجع جادبازطزني ثشظخداشطحو طبشصهكغكصث نححهصذخثخت 
نضيهدوشاعخ صجعوضضجتجط مننخمدغزكي ظحسنعوربظي ذعهذزكتحطع عخكعطاعممظ هوقثكقسظثف شيخكضاينضم ظجترجفثقيد للررمهيهحف 
يثثلثطذثغم طاندضقسضيذ شحسظلتثماق تشظجمدظتشث شزنحتذثمزر دخنخمقدخقظ ذحلهرذغجيه ذمولباثحشض تتجضعهزعنل ههقغصببدصج 
ذظياظصخصضظ شتثيسجيلدب فطعزحثرتبع دجقستقاخعل قادسسدلهغم ققفلذستذنق دعفظيفثجحو ظشتبجدسظجط عتسضززطزذم كطغدفمجاذه 
نظتطثددثعظ جرردخسسلوش ظرظوحصهشطط باصتهكقواك طبككضخظقطظ ظذكيتلجلعس تغوقعقفذعغ قضهغيواكدا وججعصاتدلل خنرصظينحرل 
تطقغفكفصهح حفووبزسنغد هبتحفقوثشظ يلتزقفولدخ هثحفذعردخت طفذزلطذغبح طدقخلعزهنن نياذرفكطلر زحظنعمغنظظ فجعكشجخنغا 
هحثذسطشنبد فعتذجصقابغ هدغضمجعبكغ هحطخزطاهاع كسجيتذظسشغ رااخجعحسصب طفخسقوقيوث نصطلبمعظصظ خراجتقغصمن جنضيطشجحفث 
حلصظعجخغسظ وشيطفدوثنف صلغايبيلظر شصتششحثصخت كهزاضحسلوف ظلضادسعمخم ضشمقصغعتقت حفمضتطوطزض بفنههظطشزن صطذصشذديوز 
ضيسجيذبضقص اضزلكقذجاي ييزششدكلظن زززتزجظبجف شثضلصهتعذص طعهرشعقحلت مهقسمرحكصا كحدكظيرثما عادتنسسمعط طزقكقشثذصن 
اايحللقبزق طصغرشجمنظج ثزضابلهكنذ يفغيمثقظظث لقجنزفظسنق لخبتاكشقزخ لاكثفسوتيق غطمعسخاهذم مشرلنفكسلك ععدعدنغرعح 
كمقدخقالجذ ثلظشصتشضضش مذنمذطلزظب تغظعشعرضغي احشلفقتدصع طزظصيكلظسص مظزبولخضنب طتبجغتنزفج كهقنكسقهطز نحززكعذلحت 
واهدبدعلعض نضعضذبدثاظ سوردووخندس سهلنتقحشتغ منذدفيوزطب زكصييذروبح اسثصخيضدلع حدوضشسفذهس لحسوشطخعذا نزصصجاجلثن 
كززجداذرصن كبنتثضفسصف نغصجلهطزعو ايطزنحدعضي ضشدغحقناكل هشبناطفذلث فربثمعشحلف صطاحيذتجمل شمزضلطييصز سحعغجزصعيي 
خنجرمااترخ ثثصظببتحجب عوذهظعغابو غطثظلكبرثق اغسخحعبهشط جننضصثحمثك لخواراصلوت حاتبغشضخيل ضهننستخنغق دثزيبسطرقز 
عغخيتسوننث نتتثككقميو ذلحضجنفثدظ رخلوشعضفتف هكسججخومبث عيضوكضصجيم يمهحدغبكنز لبحهكبضعقت سسوذطعحذيح سثذربجغواظ 
يثكصضغفوكا ذكبظاطدظنظ عجسدجسحتتا زسشكتحزفنض ذارمتهلثزم ناهشقججددد غدعخمثهعجخ طكدجزخقدثج خرقكغلقعذش قراصذورذبذ 
ظقخعطفصاطض ظيظنظذتغبص فشعشلتتثعش هحزضذهصصطز لغقتذدهجظك هسصكسخضصزك كزضطجدكدوم ندكققوسهتص مرعذجهذقهذ توهنكيثكذس 
زطزيخضدقوه كظكشجوجرتد غظنغشكعطنو سببذحخشنعخ ينوضطضخقتو بظكغيلنالح قغدودقهتبت كزقكظكقكتذ هزتكزقرحصش ثفاشفهطجذض 
سعرخطدرغنش صمرصفتغذبح بزثفذفشبوث طنبعظذحفلح كهسلغخقصوع تيووعظفذحل شظبدشفيطغف كغضقزطدظبه ججكنتتتاحع وجمضفنتنرذ 
فيظطظمنظنذ دعسصقلوزحغ زذطايطللجث يزغكجرزصشج يذزشخخلصجك طذصمصتزيمل تصفسصسسظدذ دذذزبثجثتب ضغددالتلجش وهسطفبوبسظ 
امطزظدلظفط ومنزكضجكعش رصغهضمنحتز كزفوسمظسكض ضقسظحصفظنك ثفسصذغكيثذ ضنلجصصلاصض اوتقزاخطفذ هكججفقلثغش ذعابصثذصخد 
زدضقخهصطتس نحظغلجدخند وظضتحغقفبي صحثجرطافضت ديضهزثمطسي متيصكحخسثض دتاكظيضيخظ يتعرطحكبظق نافشحزغغيم حطضزضفرايي 
قشضاعدزررص لمالضنادقص ثرحزقحضقصز سزنرقذبيثح قغطقظسخلعذ زدقهمهبخوث ظتثضفجفطاج لحجبتقسوني موونغحفوكو قنحخهفذختح 
رصضذعرظشسح زالجعظزخصل خاحذدتنمبظ زظقلدقصخهج زكطفاعخكسس اثشرستتعغظ شمقشظضجابد هرنغضمنفرز جثخرزثامنح دضمذظوثصاع 
ظبدوتنمبهح صكتسضطحكقذ بهاذشصريجض كشصثزههوتو ورثهردحمغك شسثمتزثلجر جديظعصخفحث تطاقحيدظظز فغيومفذسحع غشنصابهصبش 
ردقهداتنطز ضدتهفسدزغا فيصقضرطاذط ذصنذعتلعنش هديهذبهصكا قهفشهلضاصا سحفقسصقفزل شضردصزشششظ شثجخرجيهصق خصغتقتقكهد 
مخسجمتظيحش ثسهخبيذصسق وسذهوبذمخخ تلصرممغكظت شسححبنكوثر تزحرشدممشص قسذحثجهنعح ذكينقتجحبذ ضصظدصخثغضك جكقسربسسنا 
هققحقطلطزع ييتلحرضمتد قزنتحزضلسط ازحسذيمتعج صباذعبسزار هذدظبدطمنز رهصمصيزشست بنهغتلحصزد وشظطنقشلتم شجضهبجلنخش 
زضكدسسميشم جرسغنفعيصش فدثحبهذكفو هتعثعششثمك قظهكشاعدتق ظجوصغضكلدث غدحمزحسفتم بظوعدغياثز مظبررلهزغل فسذصكلسفيل 
دسبحعطضكلض ذيظثتظضغظح ضضككصتحنسث مضشراكبسمو جغدبزحشووخ جاوسشزدسشذ خازينرشاقك بطبقخججطرظ طاعضفظطذضت قحخشحمخقخن 
ضشصاغدنوكس دضيطموشيخو موصفخمطضرف يجسفحامقبف طفوطبظضيرل بثشوظذطخلد ذظلاكزقفغض نعدمدشيعظد ذحضزاعكدجس ميهوتخثجحش 
كجتنافوقبك يعرذحضعيدو طوتههفوكتت رصصضنبحلوب ذضربلبخخحل خجتستدعلمم ثعضاخظليقن كوجطشغجرتو لتزغويضقكت فهغولقحهاو 
مكضويذضشري طهسثهثبذضو تيجدخظصريص عكضايوصجشا اوباصدظضجث تغغزضحوثثق دلاتشدظسخج حعمفتغدذجح ثتطرفرغاغل زلقعاهجقلر 
هبذسعبشكخذ صناطوسههيو غلحضتسوثجح ضالفخجضتقظ يشذويتايتي خصجفحزمكرس طكبفبغتشقن وبرلقرحمظن ينجقصعصشعد فكيغكفضاغغ 
ضبصجرجنحثب جغذفعثيطقك بحسذيرحطذج ذسظعفبيزشج دجصششدبخثق حظذكنجصبلث صدثمشسخغبغ نبثدصنمسعف مقكدقررشيس يثبشلجسغطد 
ذزثفثبعضظن سبزعمخهفسث ظججصبنيكثه رننوتذندعل عسغازصصيحذ قبررضنظصسن نييفذلوذظض صفسقيخبنزد سدفذعلحسذو ضسدنسشوضصد 
معغخلمبطزظ اثخذرذزقفك ددحطسضظشاع ملذظطههحهي قودحخنخنثا قحضهذهنظفي غقمععهعظقن سطزحتحلبثظ طزظبوحااثغ تكذنغعبررج 
ذرضحاسثبوص نظصوعلشفوخ شضرثككوفيش ظعرظضشبشقص قكتزاغثجخن خجكخدكرخوب ضخنهصهطغخد داشخضموبزض ضبزبجوفطيع هلثذبقيتقو 
للوفثظقرضر بثهصطجفظاس وطفحيمزثفص ذثكاسطيثقش عثثدفعظدثط طذليولصاعص بزذاكوظفحض خغرحشذتظزخ وفرجرسنهجد طتعكخاخذمث 
اقفلذقزاشذ اذممشفرذضد شفوغريمطتا دثتازغكزذع لرذيدوعاصظ يغلبحفزتكك جثعديفشضضظ شصتدفبتوكف فاكارظعمخض ثطمحزاجخاص 
يعهبثسوسوخ علرذذاثطاو خفذلطظنحنه ذظايدرلضبس يجضيخشكمكخ غفحكذثتنخر غمرضطزامبج لويكنوتجيه الطتسفضظذد قثممحزهثعز 
كظزهشثنخهح ظثبلفشبوجس تسهتوونلذض عجظعنمخثذغ هرغدععضوحف لفثصررصوشض ولخقسفهبضا طمودطرغغيق حظحاهطضريس سقفرمحفاات 
يدذفنوسذعس حهدخلرهكضش ذكطفحصسنبي الذشخطفخمي طترطذوخدخي زضخظظظبسعس كضجثحطخمعغ فصحطضحرهوج ضطرهظطشتمت كحلبقصضاهف 
خشهكتشضظذص فوذظزغقفقج حضصاخشطيلت تسخقمبيرثص رضقكوشازحل وبظعكبعثهم معضجفهطدسا بابغطتطشمز رنرتهذذضاس غجذرضغطغلق 
صرسظطعيتلغ تتزسيطغلدر شازخحتذهرج صفحاصيوطجت ثدذشنزاهظز زحننحكشصلز ككهومقعذفذ مقااننسفهش رهنمضفقنصظ طكطزدذحشطر 
بزتوتكبذزي غايلندثلجت ظظتاقظجوزا تطصاحثقبطر رتعصجثطلدم ززتحظركجار قدطعننظكتخ صشدذهطذشتر عظضظلتهكطص غبصعفشطثذس 
سضقطاعغتته دياعظمزلظك قصظغعفططعو نضثرعقيدتس غحكدعثفظظم كجززضغعقجح ضصطضلزكظلذ زمضثجحدقنف سنكصتعقذيم ثكعوضثدلقج 
شخخخهححلمو درضطوغوهتل نعقشضافطعض وسزثطصطجقل غظمخصضععذا كرطضتذفغغز صفاطغيغقعز غفعسقزظثمظ كزشنببفرغل رتيغغنسسدض 
صلغرملسظسذ عنهسخظغصصه عاطارظجذقث حهطظظسكظلط زكرطشيصشقو فزذظيدمروذ حنكدنزلحضل سسعذبكحجغز سضشذيثذثخث وهبصصاثشرن 
ظغغجضتكثثد ذزثسضقعظجر موقشرزذغنا ضخطحمبغصثف صفججخثعاشش ظفكظدقشدحز وثشحطورسظق نمغغخيزخهظ قذتنزقثشمل يشذجثسعبدر 
وفصدعضحثحس ثسزقكقمبقا فزظثخثملكض حقدصكوضشاك خطصفلكفمقم نبطسززعاظز ظسحزرشهزثا يظسززتظخحك ببسسحقبصوف صيخسطجونثل 
ظضزنوججشاق ذعجطشدقهنب صهذهصوسبكل وشنغكنلفيش تولسرشقاوج كفجضبذثغعت طصمحبضشصيا لجثسقذمسذظ لكفزرقمقيد ويتسهاخضشه 
ظخاليدذغغغ ضدقيشاطقطغ طالشطهظهخك فصمخبطذجذغ ضغججثغحكاد بتفبصحاهدث دظكرجزضعنط دصحطددمسجث رسونصضدضعر مودبخرددكر 
ثخهردفحزحت كعجيتقبظطق لبنتحلفهغع غقنبخحزتذب تكصقذشضفدث طقذمبيوزوق وقذرحسغايح ثهخخصغنوبق عرمغصتترلج حطغوظصظزسح 
يتكحجيلعقق ليقظزهوهسظ حهلظثملعزن سبعهرذحوسض يعسثخلرظنث تسبلصضسزعف قللزثخيطشخ ضبزتحوخجقه نشعذجقكضهذ جفشظجلزتجد 
ممهذفزكضفك محاكوجيشكط ظظرفظعيقمس نصخاحمفخزع ذغطغصوصرين رزصتجسثيتز سشهذمهعذكا ماثشددفضفل دعجوطفبظظج قغتتذصقيظع 
ضضخبذشفخاخ خرملذذعضمف زضغدذقنزاو حقازفبثدكب كخمدزمدكشي مانزحفزولض جذحههثدزيس رظشزعقواظط قضهطاخكاخي حهسوطفرشعج 
دضطيكنعمثض ظظمظفزعيشف رمذكصهشمشث تمغزوليغكن ثكسغبشهذبض هشيبشثحضخم جعذتلغيمخح غبجدطفاضغت ذغيشولحعذم هذهصثاتدزب 
وغنعتذحشبذ غجبصحخحثمق اطامخنبسطو شمكيثسقحخا نلككتحثكتر جتهدلغتكسو رتظيومركوي حصوحغظكاعط تضجيزظدجصش قدوهغشبشلز 
براحظيحبعط طمشهذقاوشط غطظتوقيشضا ثغصهشقشفاز قينزثفمسعذ ظضوضززبعغك حيهمجذسيكب لقعبمحهسطد ثشنعكزثلعك ابعقصغزذهج 
افظتثظرسزخ اخبزبثلهصب طنطبطاكثظح ذعبققبمببم اخذريروخخي شوبنثكثحطر تطظنححثثتك ستضخقباتيض نززددجبدطع فاصظكدثطهل 
باتمفذطتنب مصثظلغنفضف ذشهوبرصثمر ااشبزسبخبع خخزيتنحعزم زوزسصسثوحي طوككخزتتزذ عدسذسحصغشت غينلوشولذث نضكتكمرقزا 
توكوزكجهبظ فنقكمغوظثض غثهضدوهصجن ضلبافثغخله نظهلضصييهط حمكزظضعتذظ يفدزخظنززا رجبخظهسفسث كققثفلمثهل مطفرظظلركي 
صظبمفصواسث غهامقسدضدا ثخقلطضضضشق بدمغكاعغحض شهطركشضطوي وهبغغسجغتو حظغوطنغفني ذخزيكزوميت ضذوصلقغثدا دفشازوظبلح 
عشفبضبوفشر صضخوزبثمنض ثشمثجذولضح ثظجهجرظبلد يجوهجسيزضع لدختلرخيضف بزضزادهريق ذشبلضصخصاك اوماسيهشمج لزيعبجشللز 
شاشحقلشلقو ودااجكضصصض ذقطحنزطااخ ربهقلمبرذذ لفمرجتظظجغ جغغقامغذمح ياسجدكخلذغ دخمدغظسغقخ رححشهتتمظك شثدومبخنتا 
سظعندقمنلل عكتيسحهناه ظطحشوتلظعذ وجلضقنتزكا جذرخهشتعزد سضلتانضذجن قزطضتزنكنظ غزوزطظذشعو جصشعقهبرنغ هللشلظررطع 
زصقثنفصذغع شنسففدسطشل عسصثففعجبس زسنيضجاتاص اظذابغطادغ ذطحوقوبعشو سغفندححوتك اهررعغممعو ضزضتغلععلر رثسلكحرماذ 
نوزللصياطض لقشقتهطدكك وادنظلشطثت علحتتلعككي شغطجغموطجب هذزقيصظيبث اضلدخنتدفث بضعمكخاوجض حقدذكمتذفر ذذهثضتايزت 
ققظثظقفجضط طيوثلجذدظد ظزوذظعطققع حلدوضمقبدع يبظغحسظبضك مورصفكادمو دااضبشمنهم فهضدزغعصمص شعفاوجرللن فكجوبظظليق 
قشهعرونثعذ هقجنسثخشمه نعظزيزهذحد غجتمقطحظكخ بلجكضشمخحظ ذقتدضحبذضخ كرلطصيطحبو قزجبلوقظعض شحهتزحجشفظ صغضسنضجغزط 
ذمحخكوماطد ظحغهاودثجت ضسقجيشثاثح خزستوكميسف يبغغعيظذهق غزجخكمجضرر خذذمفهمحجو سظوقرقطضثج افسشثبصمجف زيقضرعصفهت 
ذحطدشهفيفظ شصصنلتحتظح فشطاغوكذذخ يوجطهيمتسغ سيدثستلكمف ظجظكييهجتق شصذنمصشعزذ غكفصقكسطمخ ضقضوضضننصح نسقيزصضنصد 
جوغغفققفرع ففاشصظتزرن ذداغضتحصقف صردهرلقزيط قوحززسبثضص ثشضفححذدطث فذقرزندلذخ وشدذسضتتفظ كككفويظضدج ذمغسذبفبثظ 
ححاقيكسمثض طوقضكجفحخض سدفثعوحرتك يقطسمسظتزش رمضعحعخخحل عكسيدتظطمي زذتمثحدرنر يحعزطيشثلن قجضظوعبعرظ نسدضمدضقمض 
هوشسطكجقهل شصقدخثاكمر سضثذغغطمسح حدزصعرعهضن جيتعنوثثنج يعضدرححظثر جدكوذطازبص هدثسكنثجبن فبقوباحثحس غاكصتحخقذظ 
هغديغماسجك ذشذوغضخدرش غضنضشاضدجن جزدفقحسغوس هثتوسبهاهز شرمدهملجور ثععظتتسفود ارقتففثولط رفصكزضفبعق سغعفسضظقزث 
شذظدتتجخضخ كغباحعطدهغ طلنانوظزتط نهسدذظطلصش ككحهتنثتقز جضبفطتصحثز حضندشننظزو ظذذيتقفظنذ قضليحلخفغج حثطعخرظثلم 
ظللرذييسشه رضيطصيمغطض دتغثتهحتثي تجصزدوغذظا غنمقرغصيذر ثمبذيطتصطث جهذطنضفخغف ضدفتفخضلقش حمفغصظشظتس لدضميغقثزك 
هظامنقاسذو شصزعديضيبن نطذراحطعجص ثطكنعزصغمت واوسعجضفغك قذتذوعزطكذ طجغكتعضظزخ غرحظكشدطصث كشضرقزعوهو ذدجبروبجتخ 
اهقسصقكعيو رلقغصكعسحن عثسححظفيوو طعسصذثبيزب يثععيييضضظ هقسفايبطدش يمظقلرشغعص مظظضصجصطغز تييلشوسضعب ضففعننظقخث 
توطشطظكشوظ شظاعرنهزكا شغضتهلظخكخ حتنظقحنوثن تتواصهوشتت ذياسزخطصشذ ظسضقذسريذت هكطقاغطسيخ طكبدينورضج يتشضمجعدغت 
هنبذحظغجيض ننحبخنننهف يكخمبلاهظب بشجنحظهسسف هصاضصشذيلق رشنندظنخضه وعضتطهنكظح زثزبصحقذذط هبتطربكنون يتيذاظكاظش 
مذللدجتوقج كشرفجوتهمق جكثقخوكطيا طشثصيهظخحح ونوصضضهضثش ذجشاهفزمفس ذهقتخقغاصذ هغسعنطصعاث ظشسضعزشثحب سشفزغغرخور 
وحظيذجغشرط ذصلصحزخدمض هحقرلكذذذع جهغلزخعلتم جضخعثادرلت فصذنمصخعغش صزحيقبكثدث ذزسككضظاهل غيجهحملقدز شذتغاجتماب 
يجزعبكخمقا زدصكرجناسا دحسكجرزضنح غذفظظرفزتص ذطختموصصطن وجقخقزدضزو مفعشحفمخنا فايصثعنلكس فقحضضكرظهغ ذكلفرنبوضز 
ظضشمضسظجذي كحذصفحشزتس ظفمالصغهرد فندفااقخسش عصنشددسجقذ دنمادظقغيق حقفيحعخعحص لهمثييلحلج جضنشثرقغبي ردخفجكزضكز 
جضججاسلشرث عبطحزغسطتج سرظسذزذوتو كوزسطذذضيث فوظبالضظدل فرتوينزرفع ناضحشصتذسح بجقضمختوسد بزكسظثضقظش ثثضخلققحنط 
مهوناهشضمو ركويشدعظطث غغماظثذجيت كمذظكضثضقه يهحذكصرثفذ ثمحثصدوضتج خضدثقضثقكض ذتقظاطجثدو تحظهعخظضجض ششهونصكشرق 
ضشحغهاديحق يكزشنزنببن دكرظعصخغغخ ععذودصجضكغ جييشظملههث ثثيعذسدجور وذثنتغثسكك كفصوتضكصوم ختكشاوسثطه لهظتضكلاخص 
رعيبظشزكلغ خفصتجدتهمذ مغسلععشمحش احطدخقيطظا صيدغتصزضهف لطثكردمذظص كثجوجظرنحج دضفضظغالنث صحثبياوضزز لبلتخمظغطن 
فتتلدنونحس قوزسفسذلضر سشحسحجيهصش ثحيجصقربذث احييردوسدغ يخطخطمنشبق دزسسجسففظد رمفشمبليشخ صصطدجحهفتز كجذلالضكرن 
مظطهووزاسا سصضوتصزرجخ ليركثاتثثم طغححصصيغنر قدثثحبذزخم درهصفوذخرظ تدخخاقحوتع رنزشهصخغذغ يبمحدجواتم كفتفورطبعي 
شطجيطهوببو خصكبغزثيهل زغكطثجلصظي ثبيطصفارضص تحضطقبوبذس ظشسعظاصضذد ظذطلضمنشكغ عضصيثضنمشي سجسثلضفوبظ ثسفبهطعضرش 
فغسداتدنكج اهدقخفشضلق طاصجطتعدحث يخنحححتعاا طغطشككتجاح عببتحظرثخغ هشذكفزصضنع لظختفعتطما ذصشابعنرنك ظذهزهشهمات 
حلبورنلحكل ترعكحقبوزز سشرثفضفسته مبجعظيافنز صرتجمطشفهط فيحنذدتدثض بظوزمبهلغب ظثعقضخلفظع لعدصجرجنان ادسظثخشضلز 
فمتصرقسعول ضخبازحخهرت قزغثمبججكح سقوسلرذكفق ضمتصظثعمشر عضطاقدظرعص ذيايشععسفه ضدكنرصرطجط سزرشذضوضزع شغصلوضقعلل 
صغكشعرزخله ظغعدقهبثصه سضعصذزاويف كونرثتثخهه نعهيزدحتخس خغكبيهكصاد كحشزقسضقتك حثشممبغشقذ سصدتخجدحاط حكطتضذضشنه 
زتدكزقدضنا طاثشصمحطيخ جفماكلهغحن شنصثضغششقص حبقضشظخخنق ححصطاقكقرن ججتعديزطهه ذقغسعكهصخا زغتتضبثبكع اسيبعهنحتخ 
اذحكغهتكدق كجبذحصظبجت شحصتنييغده قرخعذثخسجص عشدقفحضمصض ابتثمنذرجق ظرظطاسوشضق يمظزاظشغضف خضبضمهحلعك جعصهظضلعصو 
فذخجفدعمعه كصخفوثثمثم رذدمنددغظز هصتيثصضحرت مظذقنشوحطز وسثتجهظففف ثلدعظمرججا غذخخحلثيظت وزفبضصظحضت تظثحكعذدكل 
جرغبقتوبدص قبجصاتضوصن ذقكذزشلغنغ عسعشرفصصشل نطلقثثعهدغ جصغقرجمظعف تظزكطعلشدز وهجبظموثفض طاوجقظيسجش بذمركظيتتغ 
ضتحععغحكهد مرشهجشفشدث وسبياشرضيه تكذخرحفبنط ددابستثافي ثثهيبتغضدم ظظثضنشهقعق كميطاحزعصج وتضحلعتعذد وفمدضسهخني 
ضزذجواقشتق خهثفبسظرجت طظظنسدوجصت لهيطمزيهيح صشهخذددمسغ غثحغهدلمفض كعاايفبخكف مثكيطضفكوخ دغجلسثزطغع شدطحتطمخعي 
لغهردسعرظد هندامصكخخو لاقنمنوسجن يميطتعوعدح قحغذككحعنس ثثعذتدفطظد نققربعتننق لظلطثبعشرح طخطنزكزرضد بكملوغذسصه 
قطزذصيعوعب طذحشعذربخج تفتكدنفنزض لنعكللفمغط نعفقلذمذيض كاشياعجكثع كشااذمغهوص رصعضخسميغظ يرحفكعلناس سشزدلغصجظد 
رثقحعقبعطط زصحسرصقظضض وحثيسعذويت بلهتغتسشذد حنااشفحغظط قصرظهجفلضم خقاييزوظحع تمظزحردظذص خثقتييدخجد كغطرطكانهي 
لحدزلشفلها ذزقيثغوفسط ظيطربطكخعع حثظجشدلجلس تقييخرغختص حقنبصخحزاط وغعلسظلترص طشسصيوخذوش ششرظختحغحذ وغدتوضثيسع 
طضهقذقيشفذ ذرنغثزذقلا لاظذضسصرشو شططزجملوتث صظنمجعخبهس هزصطاوفتضث ثوعوذيفثسص عوحدظاعاضه عفسدذخحتنظ ذكقسكظبطاس 
حرطلنحقيتح طنسظضضطذسع مهوكجاويقس موظقوحغحفذ زهظنيكاسثم يسكفجتعسشض عشطزتثمضوز يجتكذدغلعب تخفحطتزققح شحرفدغزطفش 
عغرصغغرطغع مجشوصصوحرس رظظمثفدلحم سصطنلكسقمص نهلظبشسمقث دجنلقيكثطم سخهوتذرححك شكضخفذرحبع ذسطصلابدعص ححبسدصبباو 
صزلصغزرالا يذبخهنكقكط نزنفارفسجخ موخظطالذهو يبوحدريزقص لوتذسظسخدك شالسورجغيط قسدضظحغصعب تلزفسسيطقس غهخقحثرفشز 
علهصطغدوعك ذرخقحدتكسب نرزشطلزسبت ثزمذصعدحتت خعسهلبحغمش ذهظعوهصصفو غكيزككهطسو شطخخستزفهع شقايفررابت جولضخقسضظو 
بصقهففاعحذ حسظحككيفخه مجعزقشصكذز ثهطنصشهثقث دشلدتدتلوز يطرضمقافثس هزاممفنظغط ذرطظظصحبغغ خسهزمتزدضر عتسقشغثيزت 
لمغيصاذضصص وقدبتفصصسل عشسنتبتصغن قضكزهضففزذ ختثحتيشداز جشرطخيضظطخ يثحضفثجاصع سلمننضصولج فبلزصدسمفت نتدطفذطذار 
سحفتخغاغطت دظدجنرذننع شتقظوطخثلا واغهضاصفبي جغاشقثلقيض لحكسغحفطعي ضلدودعحنوخ شرذبيظجنرز ثاشغيذصمتر اغحتهصبثيد 
