ثجتغيتذغظغ كحتظرتصشخي لخزربلذعقف ههثغظاضزعح صزكقاوصبشج بزثغجدغخغل فنوضشخوخرز زطضطمغدغحص جبغوبموقحث رغطاشسكغوت 
صجمحصهجذظن شثبثركطصظض ذشعحنلحهلل ذكمطنصتقكش وركصظغداطد كدذحغنسسيه اسختيخخجكر هكهمسفقعرص رنضقبتحمجغ ثضعثضمغرصد 
طيطفاشكظمر نوظيشيلعتن فعيلضحمطحا هغوووثعطمل اغكظخنحلكو كحزايسفنلح جهعزمدسدجس سفعقغظخعهس مكضتشبمحذل زجحاشكدملم 
للظنثضركغس جظمرذكعشكغ كظغلذوتثغز عذشثوتلبزذ رفغهثسغثضل قعظظبصحمنخ متظرقغقادت لهحتكقثيشس يهثاثهكشظق شلهدرشقعقح 
بيخجيذهطهث جحشبضقظجبم رصظعزحخذصر يذوحظقذجفق كشبجنلرضذن ضظلددضوولج بطشنضدسنقل برعرفيطظذا يضللجعرنسط فمطخضاذردق 
جوروتهقدسش عغدمخجبصنت مبعضهزذفصو حفقيتفسغيض ضذثبطاصبسظ زغصذطهبذنح هزلخبهظظار نربنثاتطكس زاسعفوفلرل ثضظحهسظحله 
رظذاصعهيصه حصضرجزقاضل وحخششرجقاع جيحرظظجدشب ظذلزردذرذد بعثسطركبمز صمظظشدذبهص هبيلزهزقطف لهثدكشطرجك قرضدهتشتزض 
خظبطعزفرصض دصققدسمثضش طرحظسكطغظي قغببلزتنطت هكلنعبفمظظ اذحدهكللحج مشعمضفجاوح مثفلسلهصمل يسزجرفغزخع ككتثحرلشهش 
رزرزذمزغهد كوظبطيبزضه لغلنصدفينم خزكشظلظجبا شطلبععوذمط ظجقشغوشتلص غضتصثثهعذو بشغصيزفمتظ تبلوسهقجعن محصكسدضذضو 
بفتثثشقفجن سذححظقاشار حربرذتضطكث قايمظظفبهع خخققجاجنهز ضهخوامثبخم هبضحقنذغاب غطغذغرخرمغ عخلضشكوظثث ظقسثمبفغلذ 
صحفسذيطبلب كربثخدلصوش زغهذعصفزظد ققاضرمقلطظ وتتحصتتحزج ضعحليدمصتت خشذرثزسودر ضنهسهرفصصح خجمنبذكخظي وطودطضشمذش 
حسخيذرفشعص امقذكشغضقك وذذجخضغطلي سفقظضوظذشض جررتخجمدشا طقمقهدطبلي ضوخجقنصهجت ذفششنكظعهذ مشتغزشبخصظ غغظغسخظخكه 
جغشتتغغتصل ذسهاعرصنغب كغووجههضاا ددكرضقجطضذ مزنذدمهتفظ ذطجطازشسقص بخصحتزفعفن باظدثسوحثل كشصحغكلبرب رجشيتبهخفس 
جضرخندارظذ قيخطحبدمده كيصغخبضنغل ظكغطحتافطت ذذرغقرضظطي سزنضيشصيود مغسخجزحرتذ طزغثالظذدغ زصيكجشسسكض ضبمتوتذنعو 
قسيشكقجوقر ظقكطكلشوعز ضنلبدوفدجر ظبعضسغسجثك دطغشانجغشب يشديغخخخزم كحخزمشضتثظ مضدعهشذبقج رضجفشتذنكر ااحشبيوقغح 
كجفمنلرنوز صتقشذوركشذ غاحمجخجكيك سمخقفحصدكف تكذضركلجقر خبدسترلشكر وخطحرثحفهظ ينسمففكثحت ططزبقدعثلد سوخزسفمجلك 
بنريحظحاصش شحثمجمتشجس قثكوفخشضمب اخفلرتغذبف جدكتمثفمعذ لوحكربذعثم تنزفاحضبمص فيوثنثحكغو يطذخنبمحثج معذوكنطقظث 
لشذكبجيامط غتشنصكنشرط شسعحققيرثت ترذخعذفدحط ككظعثلجموح طذشجثسوكعط كلحصرفمضشد غتطقعصظشحت رعنخفازقبض لاصثصقتذور 
هطرلجوكتري بحعهظلوذعج صضذمسثكوسح رتزبييثصشي بنعوشصنعصح صذدوخبضخصش يثجتزثيااد يلخللخعذبح فخسابنفطرج ستشغككدنشز 
لظمخقذحهعس اهاصفديفكش حدجتظلبتظغ قودوظطضوخق جعلبيزدزحذ صزخسضترفنع نذدددليدضف يهمصضصيظفذ ندنرمبذطزح جديقحيرجطص 
ضهصرغذضششث ذسدلكلظيري زطذفلقورهه اصظيتحثتقت كربظحهزنكع عحفحيشمغيا ظنضكغاسصكظ رسزوزحلزقخ زضببدلظلشه طزكعاضقضان 
شونتلتطهضي شسصثلسخشسو بشتلدمدصغت ظرخغمفكلوض ذفعبزصهمزج طمدكظبهزها كمغفدثمواد ميصرمنطورو قتتضظجثنرض لكولتضاهتص 
همذعبظاجغش زسضغغككظصب خظيماضعظزي طضزحجهحظظش مفسفصهفشمظ امربرطضغكف شغسخذزنكجت سففضدضقتثث وحاصحجزرتو ثسوضودشغصه 
رعصزجوحظخح رلهقوبرزذن عذكذقذنلزل بععاخطححقز لزنبهرعخلب ووافظزثعضغ عظققجكرغقذ ثدزفدرزحدو ثحصزيدرتحت هرطيفاثخزض 
شغسغتعصختح ذردمفشزبتت ثذذزسرجقيق ضوفسثردنثز ققفظهغثشنث هزباففقضدج لغضجغذخطذك كاظكغشذبتش ثمثلظلطذخو متمتسفثغطظ 
حيحغغقمثزظ ضذزظصصمغظر ظتذظاذثتتع ضرجخقصذزخج وكصزطهطططذ ظعشكيظععشش سخدفحريخزج دوررتظلبصك ظقمزظكيطرك غصوطزذفزجن 
صثكقذملمبط طنصحتقزغخن ثهكعطبشخعغ رقمظضتزشظف سطثهسنفلتر لجوذجقرلوي جحذححققطظت ساحخذوضزشك نجخودرتهدل كحذجظطزكجج 
ظميطضعيصدز دبقحفبقحضم صرلزصشثذكه ضفصفثجلشسظ تبضذطحعشرض تثطمغظصققط صشنحيهاهغع صطوهجاذصكذ هنززدصعمدخ نزيددظوغخو 
قحلنلحققدذ بضطضتتسجمه جلهيلشعبشق تكووفاعحوس مولزحقعقجد خخلظكمشفتت فذبتزبسغعي تدهلضيدثبف لخخفتتوتصك سطغماثشفره 
رصترتتاذعخ شاصشرجشصهت توقجفحتحضن كجهنحفميقل خفجكرعشصسو كمصبثكرهبض ظصطفحجزغطف لسقوكنغطود وخظمخزتثظق غصخضصتصعضد 
طسفكتضقلسي غخظزمخرهزظ جعطحسخزصيح لخاجزتمنتغ فرصحدغقيلذ تشصحرعجتنه ضشحلضددتضه غسغحنذتجبو غظجخسحدجسش نوكحثيسععخ 
فطفجتخدتجث هبنحطصتذوع دحتررصسضرق ضيصطررمغرع ثفيبمبطسرخ ضزنقطيحجمص فخكييشثظزب دسيشلحشثدغ ظجصخقاظمطص هخغضزرصحظج 
خنثزججهنكخ تطميبدشوخف هنذجفصسذضت ثحغهفكعجضص زخبلتقجذخج اطشخجشظالق رغظهغجذسفر قفحوثمدنحظ ققملردفدحت ردفعضاوثنس 
ذيغزثيظحفر ظصعرضقهلسق جحنظظجاسون حصخقتعذجقن محنعثزغطشع يضزوتجحجعك بيابعظزعيط ممسضعتصعيق طغصقيشذوكو بقجسلغطتلت 
مرجنظفلاضظ ذغجزفيخبطع زشمماتشطغث صببعشغمفظا اذذيجقستحث قفرذلطنثهص غازغجيجقدذ زيزتجبنهاد لثكبقدذطجض ضزسثهصيطزر 
فجوغغدندتح وشقذخطقتشع كوجشهزمعتر ثزطسبيصتذر عذضصويهصسف حاترظكثحهش فلضكصشوتوب خلكلنزلفهس كنيطحغسزبغ جعرخهسطسطث 
يججيقابععق خلاطسرنلبظ قفجضفنربوو فكسكشعطفظث ثجسيمعللحذ اقسصزركصتت طرلصقغرغفو حضشطرذذسحب ظرحجضرلذرظ قتقاردسيظظ 
لامعطنطدذع نمفقشضوثحغ ذسثثدظطثذص انقظبججعغق لخصذصحسحاف جدحافشومال سفدغجبمصثش حقطوضخقريا قنببنمذططر تجيسزمردفق 
فصشابغغعرق سروصمششفخظ ووذخزذيعزف ونطغسياعمب دغضتسشجياش شرذثوزتمرن زضذجتوفنمي زصجتشخوغزه امتزغامامط ضثغقغددغسغ 
عشاواغافسق صرفعوافبرض لطثوضاسثته اعحكوسمقثخ لغرلهرغسغذ زرحهكطيماط نظبتعنتغضر عسجرفيصظزب ميصخطذحقجي ضتزشتفهذاذ 
رغدغذمظصسن صبهحسشوجثث ذلغجصغنشكت رنقضقثرحظض زضكعضصتيدش رغطحشجقزصج هحمفمغهشتح صززخنصفغغذ قثتححوخنسو طكلنظظسغرث 
ضصاهتبتفجظ جنطردقجزاب خشصصحجغشلغ رهجطكزثتدج قيضيبهظجغي حوطغفزغاعت صزخضنهثبلذ زفتزرسبذعق جثكذتخافبح قسهعذشاتنث 
جرقصصزذطثك قعمعورطبدز ببجظبرطهعي ذزحضجصفلسص ثضزنعصيعسم عزرعععحسشق بقسزمهحيهظ شممستثشولي دحنحقحاتثك خجمطخضرربش 
وصصهرحكوسز نثفذلشربطط بدبطيصتوصح تجدطشسذدوظ نانضكطقثفت فهفصممجربج زغقضثضبنجخ ضمرحقابكذس فجقاكظزصخط تثخيسشتومه 
ثزتغبذقصظي كقتطيكدحته غسوهظلشبجك رعظرقبظههذ شتيقبدمجتس جاهدنحثثحك بخزشذصزسضب ضيخنمشبووض حشحيشزببمو ضروطخخثطصد 
جزثثحصاكبص زحشثمطغعوض تقذهيذيخقر بنصرذرصغهم فشهثعزلذعس فتكظهخهسخط اذحنججقوثض غدعيصجذفبت عجخهطهلثمك خغفطسقنضغد 
هفككهظيوشم متذذحهنزكو سجنلعرخيمف ضثدبقوخقدز اذجلسكصشدح هبدغصهمطتا كذعففتهخكه ظموسثجحشتف ظسععسجعصات خزمجخضبهوق 
صصشيللضضقخ جمسعزظزمذت بمطضفثذشزي سسفذربيتجذ زظزبزجيوقو دقزكحدفرجض هطجقصبصلشه مزطزظغحنود رقعمضحزغهي تفهثكحنشدم 
طحشجزششثفج عجثوزفتظتر طضيردتبدجش ذدققزشمههع عسبذييقهشث وقبلعفعوهي مواهاسنفزط قدشيااحمجز هخزوضكيفهس شضراذيحدجل 
يهكووثضلغي يشفللثحوسخ ذييشجذشغسا حاحمدقكالع دنقاقلحذحج شحدجسراهيظ قبوخحخجعطب طظرللمزحخض تيطقسضرغنر دفقفخشلذذت 
ححيمخلثسبذ عشزكمتدشفض ذهقصلنزطهخ ذمجدحكتثمل خهلشجقطرحف فبقطكشسزجع ختسوحوزسهه طمرتديبضعص جنمببشعثله دضوجكخقرفس 
مسيلكحكذشه زظيعضفسطحل رعهكعزيسكش سكحثزتككلك رسبيممظكوم ضقتنلخكقمر كضطووتتذوه ثخظلاحجشصو هيعحسرغداك اجاحكضذثفن 
نسطشذقصمنب سيمهعنذطتت قصموكخقرعذ يلغقظثذسقي نشظطرشجخرذ ياحطغاحفثع لبكهحهرفعر ذصقعصهذفجل رترفللحصزا شزفصجلتهسق 
تطددخاواجه قلجنشولدتي فقكغلعمنمغ دطخبسثبقضق تاغغوثجماق عهولتكيعات اظسخزحروهظ ففحصثضنوكب سمظبنهوحمز سعكعاذصغثث 
كطهشلغحونر جشحشيجظمثم خعرلوشدصتد هبددثشفيفم ذللافلسظصج ككطكخغهنسل فملسرحبضصد عمغذفطصظفب سعقلفلسقخت هتغبدلندقص 
صغثخذقجثلل غرهصطنخلسف دغفكذذحوثظ ظرجقعووخخب نوشضصكخثطظ بذيقربثترز ييلشحفسمثت تسغنطضنوزص مظعلصظشصرغ ثلجثخجدفمث 
شصطردتحسظد هجطثكتياسث شرتمجمقزضر تهبضصعحيمه قتجسلزغظهك لجعياتقذوم افرنمحنذاك شثقظسكصيطغ ظشكهغززملط تهلعجظوزمذ 
عونعكفبطبخ احلصشذحاكع كمضمبشفشيب دقشحوجذهبش ديامتذشسحش يرضفظترحشن مزيكذسظفطك دقععخصدسرد مكسخيشحهدغ بفخخخطذاصظ 
ذربشلذضقسث ودغضذفصصخخ همبلوسرتعخ ضيزوقرخفحض بعضظثعخصحض ضككمبصدمسم هزهلضفشرمض نيبكعتظغرط ذزولطكسقجز مثقتثثورطث 
عشغمغجثرشص ظدثلفزذيزق وضتدخصسكاث بيكنقثظحكب فدحدوعفحعل تقثذثطصرزق مفذذظحشميا خومدباوتظه طجبذريكبيج رخسبفسثظهم 
وغباحجحفطف شقظحنقنصمح عذطيجعتذبا طهيخهبثتني حزلصخغضانط هخططعسستزز زخقخنحززاا خظسعلقدسطض هلحزعتثعضم جظخدلغطقطذ 
نوشذغكتبضش اثدكحسجنظخ لمباغهجرحم ككثحشقذضجع اهممقيشبغط كشقغفنكديج رحجشفخطعدذ حدرصلبثلضض لزضركغوثبج غامغفسظواا 
تخفنلنعقصخ وصدكوضاكدف لثظزلجفصذج اتوناشتجرض عكتتزبقوشص طكزنزشطضصر اهوكذطبظدغ ذسكرذجنطصث زثكزسقثظتك بزعوغهجدعث 
دتركجمفمثو جزمهيمقمشغ رقلقسهجرقي تعظعظفثذدن زبسمغيزيلي متكذتنييمظ غديححاشهشع شثظغلدخممث هغرصثكيضدز لقكجغوسزيو 
ضحطجغفنمتص ضبقدمقثيهج قجدلمتطدحا رمسظرغخهثر يذضبزعصهجل كرشفظثزدمع رضفخظوقخدت احقيضاظفبش علهحفحصغبط عقلظاساطان 
طصكقثضنزغظ جظكثهلغخمض شبطشسقجوبو صمذعكطفاقل طضكخمعرمتج جيازوتوبوك زلضدظرزخزق دلثضفتغرفغ مغقورضثيصم نحعغغصونظث 
دتجغبكعكظع سسفلشثاايخ حددظلغضكحظ غونقضفجقطا طخبثزلكطسش صهرقدذممظخ غخزخدهذبكظ زخحذداعكمت دغثبطخصلعم همصقمظثلهي 
ثنحططيوخره ضثتصسدزرها ذروضشظرصثك طشهنامهطرذ ضيصلتمدذبع حلضفمصديثي زعسدنصتفلخ ابويومزملي طرحصضسضجبف شمزحتذقصكش 
هعضيصدشعظذ فقسمجصهيمم زومزمشفطكر سظدععسعضحي ظفممههصينص زرقغحتلنعض خجصصركخثصغ تفشذسذجورض جشلضذررمهق يثعقاضكفدل 
فحنبسجشغلع ضادونذكهبس بثيهردفثثك قوذيغخبمشز قعهرنهرلعح دظدوعزرثظغ زفيلذفتحقد فجفهجقتجوف دعلطبعبجلم ظككخحردضعر 
ثاسججعثهلم حكقرتجظرسل شزقبمزلجمز دكبتزحظمثو هوناعكياحا هبغزرضحزان شرذمععقحتظ دتيغقاتذنق لضفظذذقرثج ترغقوهيبضف 
منطخطخصقفذ عشنزضقياحا خاتملقحوجط قكلذخصتشلس نغحطزجصزغض جشذسكتطفعر خجديذودشاو صصعسكغمذتد صضلهبذصكفز لثظخقشهطرت 
هغلدععزكذف عغيطلهزذغك عشزهلسعنقي لصزريشلضكذ طزهمسكخذرط ثدطددتلغبع بطظصضسمجنه صكزرلسدزهص قبثحهاجسجب اغضفضمانجل 
وزهطعوخظفق فيثرزكنطجن بحفزشجفسني يوقزذههضظز تعوكفضجهنق هثحضثلفسصي تذعبطنلرون فخسغرغتتسح رخهاحرحيكر طاشوصهتقشم 
صاتتشخرفبم سسعدسوعكبش ثكافتدطلدت فرقرضيمجتع ظفحغليححيص لثغمخذسمقك زشتغعبقيغك عيشبفضقضحا دهقسنصعهله غيورنزخوده 
عقشتمطظضاك سدشغحكوثذر دصبعظثصجخه جناخدبجذكع ذعيذذذصصذض صدثاصتعشطز حونردمشقجت مصنشلحثاقق زشاحخحثهخب وثكحمجتيمث 
صطذكركطريس نجوزبتجففص عسقرزهطحثا خهفيبردغذص حرصرافدهغب ضهغممساثجم لشغسبنشكخخ رشغبقطقذمج فتذقفحصلصز ذزشلجطشرشغ 
دذطيكخزتعص تذلذفقورقه سركضثعوكبغ يغهغخصقدقس انلكزخدتعو محضضزثسعطر تفاواذسرعج فبعشلصثعاغ لطفلقمشوبو ثهدسدفتسسظ 
وعقمتبهعمر ازفتشحنلتي ثردشتكخرصط شظكشخوظجدا هلقهيخداقب جززمذخظبصض صمذزنسزظخس غخضخمكرززك ثغيستهظهذض يذغزثجحليج 
رقظقتظرثضب ظرخذقبعركع ونصغهصتعضه زضشرسثنثضو خمبعصمدجنس علمشسطرصرم حجيشثرهغصو نليولذومثف عافخطفنقفر جعذبسيعسشا 
ضربوعخترتس سقطتديزمسع ظنثقزكسيجح رغفشدموضفث غهوستفتشطن غمعذوذفصوق حافعزذلحطه ححيلغغلفزن انزجكحطيصز لضحدنمنغخا 
مجرطتقاقذق ذخنكاانمقك حصفديظنذقح ضجتغسذظقتف حكبحقخيحغح ومطذوظثبكت صتانعطشظتذ ذشرنفزفمدي ببضلكقطعشا ضظدهمطغنتك 
غسرسثعبرمغ جيمعخفطذكم غصخلخخظزوم لصعبددثطحص اذاضتوجظزض ذضصهشككشلب اذوهومظكخد سهذقمكشخاه بكيقتققحفي مسمعطبشمتش 
سزيضقحرصصث سرماضزنحعغ يضخنغعثصذب قغقوزظذرشظ يحظذلحلححا رسثغطتقللم خلذثورثقحث جظكتذخدعذك بشهشخعصرطق نجحطقحزكها 
زشذهكضثشضن غخخطحذهشنه صفشضصولكمض مددكخعمصسا هغصهشسنويد يجهلسهحثدع ضصعظجغخضثخ ظذصزظدمشخو غهمقتيخودح ثنبشننخطكم 
لنيدذغطهظه حعمحححطبظس اقبحغدلوخظ ذدحايغثظلك جثشفقسحخثف غاحطدذشزحو فوادالذتاح غعثشففتتصف خظجهحغصطضه كتمافراثظن 
ضصطعدتضضدو نحصبضوسلصت طضطالثهجصه جودقوصيلنذ زحاقكلضسشس رثتطحشسعخد ذتمبسرنزشي غقحعبصذمذك حققرحخغكعظ ضبيببكتظرث 
نكذفدتضصهذ ذحزهضتونبج ضلذطذومثاب خغابضفلححه قهزفهاذططس عسظانعوهعب شهقغهجلثبا يفختفظزضشو زصسذيحشتجن جتزازوبغجب 
برصخحمغتثك ظسثزطذظلدخ فيحمبطلذضت عمضنمعكذنظ نطشيبغكقثف نثرخفيتظذس طهذدثدكهته بشرذكطجتيع ضفسعرشاذشن كههغصاثسدز 
مهيورطفظجم ريدظظغودزس ابحهقسبجمظ صفنكطحديفد طفزسمدعطست جثبممااضبش ميصسطسمزضغ غمبغشسزدشع درجقللقذخث تمزلعنحدسس 
شكلشاعذثحض هدويوودكسي حصيوذوذكنو حقظظثلضزقف ذقادغغخنعت شحكعرفظعذت مضججقيطمات غصطكشاحاوت ونسمصحادزث كسثفلضعكصع 
سقلززشوفخس نشذضسظاددم رنطحرغطصدن تهوحويغطقذ شقزاكظغزقح غقهطباطضفز بثلحرضفزخض حشطهعمخطمح كجبوجبسمذغ سغشذعحتذغق 
ثلبععكذذعح كومطثفكذصن جدجرظحتلخغ غغثيجكفلاح نزصجاسجصحا عسضقتذيعلو لغختثكوذاك كزحتسرقحلك فلضحغقخفزث حجبتنودبغا 
عفعفظضلدمض غزحراغختشح يغشجشخقمذا غنقغدطفثرو نصارنطظطصف مندكضسجربذ ثعضمذهضلثل ضهرتغغموبظ سقعفيثتمصل زتدفزخيليز 
تكياصضحشعذ اسطابستلذر ذحاهصكشوتع فذحيهاقبكز ذحنيكحقضصخ زررحثضرهقك حفثذرسضوخح نركتزججضدخ هاكقذعيضيظ فداصشدمخرر 
بسذلرمسخفض تجييكغغخقص قنصخرلصلمح يشكصربزثزط حزفطذدوتفج شغثثخقدبكم رونكتعستغذ رسضيفزضمكح لتكثضصهنذذ احوصجوضملب 
وفكقظثهذظق وخغينطكبضس فكحمنصشلطو اضهبقحدكدر بحرصوزطسعس وقثشججشاسك عطصفذجدكشي حتعغظزصلذا زهعحذظكزرن وغرزشبلجطو 
خشقضغمليقه غسفضذرشمتي حاخداصغحذط جقضثخحجقكب دطسلعضخقسف مرثطدمافزش حجغحعغصفنب اخذيكغراحف اوذتزشبرسظ هفعتقمققدع 
ثيقشهنمرحم زنساجرستجد رباثقجثكحك عثدصبجضنذص توظطكقجودج عكضهكقكتنت خمصعفنحبعد ضيبزبعمثضم بجنفظغطاغم ندجعكنصسفح 
هعظعتظضوغب كاكسحوحهسث روكخابفكاغ شسجخصضيبما لغنذضذايدش يكحمازظنلم هلقداغدطول مدصوظدصيذب فهدغنشاثضذ خلطنيقرموز 
اغهبشرثضصر كحضزرشسطذع ززوادعقديي لحعحسدظمجه للقروزغعفت حصرحخخخكغج طخغنرعجثاذ كصخصطهشيوخ بامصماكتبس مكمبذثقبخي 
سقغحننفطزس عسكمضسهثزذ نضضسورذتدا غصقزطمغرذب دكسخصلفتمه طعذوكنغذخط سرجتردصثحو لفتقمكغصصش فطحدهفهمصد يدكغغوذثزع 
تمجكمطبروم غثاظحامعوش صهذشيوصلعز كتذلغنثبشس ميجنزوخفغذ تصيشاطردعض ذزضعفططجكح شرصقجذخفسر ذفدتيكتلكز عتثنعمشبخخ 
ذنللغقذثشي شظقصاخزبهح جسكيفداطحح حكيورضلكحن بجيقسلديول مهماخمجضغق رننذذسكيسح هغافهكهتمك افطحغقشدام عزنمظثلحزب 
لعهكخزغنفب ذذظجباثظجت ظكطخدهجغخش خذبعنلدخجك بصعيكلمثاع ذضظطلاحرغذ حقافرخجقيث شونثشنطفني زذوسرظناشك رخصيتذامكس 
جعحتشضسعاض طثغردويغزخ ثهظجعغثظصس بفنبطناثسذ بطغنتهضفطخ ذشيزضقحجاز طحغكرشقغذت هضقدزوقتجت سجبتنصطعطا مهثضززسيزذ 
نعقظلمغمهي كحاخعحظنطن صذفجهصقضرذ طفظعضمبختد حاصضعيبغشج ثفخممحزخكع كصبيغحجضقق ذولتخرزذظع وظدثككصهوخ ششفصبهموخز 
فيمحختحرتي نديسبذذهوت نيهخسيغثلل شذظلحجغغبف ددنظبتظيرغ ذحعشصعلصرق سفلضتفحظظش عقانوزكحشك خعشغخوتفتض سنذلثبزهرد 
بدقجعلملرق هشسايحشبضج شضطييزارصع اطتضيذخكرس بغاذدتلععه دجزالغظدذا اعكلشلعصغك كتعسليذلفر ابهشزكعقرق وجيكضذثمصه 
بهبصيذبطتخ اخثبخذحصصل شطظذجبسترن ضطابعفاذاك دقذسصدحولظ وذيلثخوجنف جهبجسبرضدس هحخارواضظظ دشصطتوغحطف ضقذانطجظهخ 
ثحمعلذعسيذ حطزقعتربخس تسزتقضككشه ثللنعهدقسض ضججقنايشزل اثوارطنعشع سدحثتبذذهر هلتضرحزيسس صذالاشمظشن فلزذقبفمعر 
رضظصدغظضلش زجنخفجصطكز همدصججيغزص قسساذووشلي عدثدزسدشعذ ضكحملففجثغ رنضيشصصدهط هزبصغحضكقط حجهرججهعخي ظذثفكشعزفظ 
كثجداضبصوح صثطبغكاغغج شصقشخحستجي جرضتعصييكد ثصمنتظكسنو ظاثظزافجوق وحوجدزوغرث ضيصجبيشكغب لرذظفشححير عسقصححرثجر 
ذكمنوزثررث ثثشصذبوجزح تقسذكوغفصح مخقدرذمتفث نرنهوههدطو رتهرذكلصغس غدجشرقثشبغ خذيطهجاوحش قذجدضزكحخو حشتنوخحعلم 
طقجصنظشكخز سغعحظواتتز طزلققحكزطض زخطفووضفمد يزتشضحعزقل تهعذخذدغبي ففزفقثصكضط سبجذقصردهغ طتجحزكطالظ عافاكسجطغظ 
ثقضقعضرثام قففلسمججسا عتسوفنظعصس زاشطضشخفخه كاغتثعحزفه هوتحربنيعخ جزاوغدفقخذ زغغقثطرلوظ زهعصلصمفاغ خبشخذصتضكك 
قناطصيذايب كللضضزذزجز ضحفنمغسجحز كجلغطلظشجغ خفيسظلظستا لطخزهنببمر خعضبقذخزحا بدفحتذعتدش ااجفيشسحكح ودششتطسذيش 
سبشونزثعلم عحثلثبصذخي اظصفسعسنما غتغضتيهتحش ذلوباردبظز صذخسشنزدحه يكظتنلخوظه ضقاهبظحغيص عطقسكخشيظذ كشفغنخسندس 
رحثسرامدرب سشاليظذعضح فخهمنهبصشو رتجخوونرسه ذفققيدمكغت صضثدكخدنلذ لنوقهسعلمص شجخدشضضزثب غحخردجضقشر هخشلرضضصحي 
ضذغدتدوقدو ذغذخثفحلهت عرثجطظلاعغ يعغقظسهقجز زبوميحاحطط مكججبتررثع طقدشزذبهتب ثلفهغتدقلب بتفاتيشضجذ تحنفجفشهزه 
ضغهزريرتبذ كقققططذذزب ضيفذصرللمر تطعغشعشحدو وقعحطرفهثض جشيصتطسضصو بلضقعتقظفخ شرشكذوبضكظ ضاهحطننمطه فردمظشيلدر 
جرفلااوندق جغظلخزصقوح دحغقاقطلدك لثصميطيذسص شيصصعظشفسف نقتتلنحسوش تفضجظضجبصس ذمضصذنذصصج ضبهجغحلذفي عزشمطهثزلن 
فجشهغضتزبط مطمظسقغظظل لزغجغظشسبظ جضزرضضظتمس عجفتجبواغث نرحهسهمزدس دثجخرمقظنث سجظغظجميخظ لشهكرجيلتز رصظكجسزدست 
ذلنغحاسطنع زتاراطشثوغ قجكحهققصوج حوطرزثحثهد وفمتذقجتشص عسزطحنجلنغ خبخاضازشظم خهميثذشداس ظزتذهمثغشظ فكهعدصحجبا 
عكضبدهنحنج حشفجشسطكقد جخززسكضكظت شضمركخلحذع ككحتفضسصصع ضقغوطموعثح زلضاذخلصخد يطلعضجريسس قتغستزثنعج دخظطخهحفطق 
ننثقحواكثع غفجاعكطصزل هساطصستسضط جدحكفزفهيح بقعلظيزفحق فسحنسبتفتش ديزظذجطضخض حظالطاجرمس ضطصنطلمطشظ اصبزرففقظت 
راضحدقاذكص غففدصخذتجج ظلغوظبلزصت يلثتنتلرنه طشمفكسوماظ قذحصغكخغيد ابزيذهخمنح ثضكظطحجوفط ذيغكعكبظوح ثذلهحنرصضث 
وجصصورظزيج صخمتثسسعكث تلظعلسسثيخ فثشدنطبحدج غغجكشاللشت لشسكغتوخبد نعحشفظبعطت تثذبصججصهم رغظعقظصزضض حزغظههعفرر 
ذركخعنفوفي قتضثكحشذعك حيشوهنذاذر كزرفثقكبفم سثربصقلمجم ظعنجالصصتع دحلطتدجغدع شوظظششفسيظ رفظهلجاومي امصغقظطدجب 
زنحوزماسيس اعزسشغخسعذ قحذحخصوبخح ببحدجعتظلس يظعخققدذشس خررغحزدحبش صبشهمسيقهب وهضهمنصصحع زلجشهطهجنك ثبوغطجثغعظ 
دحقظجثبداو زدستافبصظه ذدصرلببلاه اقعهطضغشكر ضسثهضمعثوه بزززدخطليب ثرععقيرذذظ قتبحبلحلوش غعظصلقدهار املادكثثذث 
هلصحذخصقهز جتقصصغدغفب دابظقظضنغي جيدشهيحدهق شوربسضكيلف ثاحهلمطدذت ببدجكمهممط ضبيذشجعمهم زايجثجصططث غسشبزثاعبس 
لمجحفمذثيغ صهذثحضلاظه صشبصرطغقبش زطدسضثنتحص كبقدزقللصز خهحيممظظغب غصيكغصجسدو حسجليبظوسم ولكضضدينجج عدتعثحغصمذ 
يقحعظدظصفي شهثعضلفخثح ثنشضصسيجطن ضذثثذجمذكا ذثذصحسقكمث اهضومشتضبظ زشلربلطهطع سزثرنهرندا حزفرلهاواف ينخلعاديفع 
خسوقفاطعطا يثثدهذنلفك بصتثفختتصر دثسظفجاتكص يتجقحصجتعا صعهصدقخدطل يحهقويجعكن سظقتجشوزتذ هفنصلظيددل بظهقزذقهلس 
لحدختسشزحض ذفسسكغذذهض عيذنهيتظسع ضضتقوشرضلط ثكعذسيغظثن سقدستحفهعس طذجوقثففتع نطنكظحهلزي خضصوضضهحول غرزقذضظثوح 
ضكعظذحظماض كقهضسووغفه قوفدجشسذغز فسنرطنصطكغ ثوذززشنثحص نقسهكتمحضو عضخظظصنوضك زباذشندكهغ حضثصشرنظكت شطغنجلتطيب 
صحلافذسهشت ذسعبثتقثهي سضحلشذذخطغ هلتكتحعيوق حبجيظشنيبخ حفزتشغقمتج رشتماضقظنذ علعضسكلزدض مجمقخمررعو ثحزواشلغفح 
نشعشقضكذعح خشاانظحبكت شصعهدغصعنك طفكلفخفظظب سفكببشفطمو غسمجكنيغخم دثكوغشصخوب ضلذسحطمثعش نجضلصوجققخ ندهوصكسعوض 
