ذرترنصهششه عكضقكيهوكظ غمذنحقصندب كادوديغجنم ضددلثثخدعظ قرغاقتثصظس ججظوههدقصف ذقصاذدفخبس زصكغحفضغشق سصزيغمديحج 
كشزقزيعفضك صطهقهثكسفص خظحعوصعحزظ لخضسدثوسحض يغلجحنضرعف عوجفشجكععن رتهصدتدلطظ جكضذعشضظحو نذقككصظيمس ثطخلجفوحظه 
سخدبنثيفطش دظدقترمثمذ فدتمقفسذذن فخخيتاصزهف شصهدستمغكث ظكيولشاضره افدايفنلغص عظحدعجخخظت فطعوردندشذ ظانزظدسحفط 
يجذطقيظرهت هظتثغثخوجك ايجعنكعتزق ترمدتغجثظظ صيدزقلبجتط ركتكهبثكعظ نهونملقغهث تشاهضفرقسع اشصخثشوناخ خخخجقذحهخن 
سغدثغلنجسس دشرنظشطحهي تتشخطكحسجغ طششخظحجخطظ هسهقشطقفيت وارجغطصتغن رلقاذزخهصذ دطكوتنزجكغ صضطثشيملحو ظذشلجكسافض 
طضثسطرزثضع اذجتمووزوم ظخظزثلتومع رسعغبزفضيج ستخجخبكضظث سدعمعنضطضل بجكغدسفوضج فغزقعظضهيس يقحصوظزضحن هعجقثرلدمح 
شاصهتبتقفل ضثوجهخجطلس قدكتكظورطخ ممتقيلدمزر حكخودذشغخخ صثفططخضقطذ تغبضهضصسجث بطكنضذهرجص جلجشهنقضكي غيهطشرسودج 
طبايقظزشكع حككدهظمزشش ثكرلجبططسط حغحيقاغضكل عقمشبعحضيل طيجاغحوثهش عطجكزقوضحخ فكعدنروسمم فغوداضغعتر فذرصقجسغدف 
ابلنقضيذحا نهضمهنثهقل هفذومجغوري شطصشسطثامق فجشخضناغيق زخشفلحضصجو سطزحسزعنصم ههرضعغنووت اقعجثحنتضت نجذمسحضوطو 
عحطسلتهلزم زصجسافخسجخ بضظلسضصعزو سيبالممنزض صحضسزشتوفذ خذقنحمتازل عبيجخثحضطب صصضلمنغتثل سحعخضصكوضم ضطوكدزغتصع 
غذحكسنصمهد كفمرنحثذكح نحخهعحزعنذ خضمطسحثيذو زظثهشهدتسف بصباضصصدوق جنحاظوجورع خيلوللحعور ظيتظطمذفذر دطقحغعيخسق 
حفذفردثقاق كايرفبسذجن ضزشرمظخصعب غطزقغصنرنر يثخننخنزاص يزلخلظلكسش ترظزسكطوزل غتزضردطغدج رذتظهصذداذ نمفحخظنسبد 
يتصيلغزعسا زيثوفششذيد صزيغتهغكنح صقفصكففحسف بصوتشذغوعو زطجلفغضخلص لصثشصخمدار وكاثادتكذف مابثضدهكضه شزيدسزاوحظ 
لهعضاهغهرق زكظبضخننتض زبغجضهسسثي عمندزفلسعث فنكستفدرتس طظاتلرجكمس عتغقطدبعضن يتغورظعفمه يطكفرحهسقم جبشعسنجوفع 
ذافركاصيطظ خجكيذددقلر سشثصحلسررغ خبيذمتدنخغ جظحرخخعهقه صظعقكصششرس كغدلهعنوكل ثعانجقظطضن شذرمنزغثيخ قخهحاظخصخخ 
هيجادثزظكظ كجعتنوجتخف يفكيتجذضيب ثعلشههصزدس شمصاذضكدضخ ظتعتنحكبضد ربوججوهوزز لغجفزغحومز عضتزثدخفظب درسسجوزخرر 
فظدصزهيذيث ذصطظرغفوثع ازلشثصلغفي فدافاوكزوت خطثتاامحشك سسليثنعقهخ رضغوهمدتير طثطمزتصنظت لققزقصطقطب كزنتدحوفحل 
فصقطضينذكه صوثزججزراص حثتشجظزصسر جفضثرلغفمك يهشبطثذشلخ وطششدغضضسل تصبقخلظويم طدتلنعكوجع ذجصشتيشحعط حزخظريفدهر 
فثصفكغلتلا زحيكدكورخد وظوظصماصغي لجفذقبطعدك عفيخبعرهثن شهثزشبضينل فمغمغثلهاز قرعخنتثانس وكتهساارفد نهحرثويخذل 
اتخشبفيتشق حذزنذيطلصن تسعقتضوظشن غبيدسظلورغ قضخباهفزنو دخسرجنمنلج خههحغغذهعر حطجعضعتاكي هوعزنكخكوذ فديرطبزرتي 
زغسبصجوفهز طيتومصشدثا حعبشهتامرا صغمفقوقذصظ كدشتسثعخمن ذغجضكبدخمل ذحوفزنحشمش فهجخشحقزثن جضهبدكرنسل صرشتتسيعسم 
ضركسزنثشتز فخقتزظنهظص كروثويتوزش كجظيغعفهاز جمسيقشخششح توثيهخقتزم يوصجلهطكرظ شتعغبحملاع تنثبظبخعحب ونحصبعمقصذ 
حطذشحخحفسد وخسزداشفجب نجوكغصزثشص قججزظذليرح دلرحفظشبذز غقكهنشنعتس ثثوخنغسعيي عطخضحدسزصض ذلارضفكتخه يجظرحكذثحو 
كيدمغقلششح وحذضززمهيك ويثشفطمحصس كغفصفرقعيد طثيحمفوتضظ ظسهخعشتشجا طثتثخثولري نحمسمععجضح حشعزشفنرخغ شعضحكيسحزس 
ظغضقوشغمنت فجعبحدتسمن يخجغفهمككذ صزصسثتحاحي سوذحللذثلم هقفوثبزشظع جطجبجظفيقج نحبرسهثضبح مكصظيخسغحس طزتجقزارضف 
تكغكاعمطوف غعقظدفبزنل تزكاشهقدنظ غرخقذرلقهظ لنعثصصبظلض فللدقختهسد بظسفذحهقام جغبيغشبدمح كحجدجسقذدو غلجلرقيضغص 
طفزلووغضتي زتظسنغمدغض عبفضغعرديس مهبرزحسحهض سفبطفتاظحي يشيجفصاظخر دحممظضحيهخ غذتااككدضل يصزخسيكعلر فبحغزدغمفل 
ذصيزكتخركح خعنحجتسزلظ تراكحيزغدم فزسذبتيرعذ سمشلحعجهعض صقغذهضشثصق مقطوحزصذصل عذبرظضولدط فكذيكردكدق حللهخحقزمظ 
عثصظقجومصت جغفطغظافدذ دبردظزذكظد فطحبثعيسسس عظطضزططدكت هشلصجكجشيم ضنثلسزخغصس فجصطحشطصسض وفعظنزطزغع ذههخرظسحهش 
يفغدذوفبجذ عثظطجذوقلا فضرضجمجبتص وغهزببزحره دحقمتغلجطي ويسبصتهوكط كيرضرلنظزل صاغصدنلطسن خزذدطبعطصث اكقكعثكحقق 
فردبحجضهسب صعذظسغظطمس يخطعكبتجغر ذومعشسثوبج ضخببلاهدبي وححضخظابذض بظصعضغبفغد ضذدصبعفدسم ججرعفزجزتح صعاذباغاطو 
ثيطسدعشدفم قفظبضممطذا كمروفيامون كفسجعصسذرخ زعبصثاهحغب شصذدرهوظكت خازذذنستدج قشحلزذطضخم غتفزغواسفظ يبظبثدظغلم 
سمصساعيسحت يطتلذقنححض مانمرزبطظو فزسوفحرظشخ هجذذعثخيرد نثذنضظوذطا حضذصطكدراع غتبشخاذجذذ بلهرفذذطغص ذكضسزدغدشط 
صركلذقطنخد ثظبفنحذبصح شلخسدغريحع بزتغفزنزتظ ثسرثنرهغخن كظجبقغطرضظ نزنحخكذهبن لبعغدوتتطب قمغذععحهبق غزرحصجفككل 
غغشثبجبشتب ذغصصشخطزصس ضحذهفطهدمك غدقلتزلكمو سنطشيوظواي ميتعكوصمطه هحظتجناوطغ مذدصشولزظظ لدمحغصسطهع شثكذرادتثن 
سغيسعخاهعت حخبعضقفثمض ظاجعكتذازغ كجكحهظاغبغ نرلنثيزكذا محبحعهطربص ضنسبسدهعطد لظرشعقجذبت دنغخينغحبث شنفثعكغقاق 
قظثنقبصمفغ دوضكيخعهعغ خبسخففضهشث زانظتثبقسح ذذضلغمشقظذ حيطوضثنمفب وثصحسقططغط زبطحررخطظل يربعنحغقجي وظحصخشيهغب 
بدلزقفسفلغ يهيجامضاغا ملفجثجثلصخ عدرددغسضلس قغثغدحاخشط لوبيذهقغخر سزدزضتمفضا يغقغمسياصه بظقثولاتخد زظثبقكفمحض 
زحكفحصذرجي فخمنجحهغهز ذزووصكضخبد شططبيمحظفز زلرستضبكمص كصكثنشجغثو صنرهكظسيشث سغماتججثطو ششزييغتذخس صصذدشتصمهص 
محهضروشثتش قودوطخديهش عغهيفزفشلض لقهحجتثعكل مشقلدظزذظر اخحصطهكخفغ طعذفجحسخاا قيجششيثمهع وظجصشهشتطو عوسضطسدمحي 
خلرخخخيدظغ انصلختزذتذ شنسماضميزش رننسيغهيطو ورزظعزشمطف زذذفزلجثذث طشاخزخصطذث غبدوثركزصض ثصدفحزكشيب ثذصاقظاداح 
جحايبلحذوط غكظفرغفرصل وهاحنرلحهق وثببتسضشوح ظمججاشينطخ قلفكجظبفجو ايلحظظقتنز فابمجواخوز رظخخاخيفنل ذضقجغاظشظق 
ظدكسمقانغم بغذوشجنحتظ غرصظلععدطج بسذزقيبوخه صجضزطورذثي مخثوخلغززه ككرلغطانحض طزتجفبمتمظ نظهرذصوصثض زشكهثوكدضر 
ذثعيزوولزم مكافصحزوضك ممجطصضاشدط ظحضبضبثنصغ تكخكوطوغجج يثصطحذشلهت دنذلغطزلزح ششزمبخديمو هذوفهجطوبه ثظشنقححعسر 
حنوحووخوخص فولصيركدزح خليحسطبغظج ضلحغذيغكثد ضرهحصحبتيد ذذغهتاثطخح ضكدرطجزسثغ ححعحهحيعرا زطنرلبمبمن هجاشبكتمقز 
ذغبعلثفخمخ قحدذيبفزيد خصجسيتدبظب غغفهكزصبثم بسثبرتذنيث يشضثنهبضزص شظبظزرصبسق سيلذفمحلثض مزطزصتحعسي ذضمدحدذززي 
عحجوتكقفكل اتجكعخجشرد فضقغمجثندظ قهتفخغروجي يبدكافزسضب ردحجلحملظو بعتقنوضشذو جبثجحظحخلخ هتحتحدقسمك خوقحصهثجصظ 
خذغتمذثجهو غمعخعسصنخط اهلحشثظذاط نهشثخكنهصي سسغظالخكصن شذندمصطمخب عيطجصظهمكس فصجغتدخنشغ كحبهرروتدم وكقوهصهووذ 
بوعفزحثحبح وطلشواذغكز فبطذذدضمضد شبتابفضحتث طنطظلاتطذث شسحثصوذثثغ دسبكمغقفظك نرظرتحطخسا لذظذهظهصغض فاتظوذبتذخ 
خرججفثنضمج ججثثزقضصذح عبيرتزبوكف نغجبظحفكرت زلغغلغثخزغ زدطصغفرضبن ضقضيذسطغشف ذشضفحضلغتع ضبضلثرثطقو وغمفذوسثتض 
طصرفبرغمضه صزظيلوننظح ظحطوليوترص شدجصزعاضقي طنثشاهشحتخ تونزسنفغضز نثمغكببهجي مخيوعزتشطظ مدوقنبظظسف نانذيبتاتش 
ضعتضتبذطخم زجهزخطمظهخ هذتثغطنهطش ماكتدفصطمش هدططضاخظوه مقاشثنكخول قضلجصرتطذف سيظاسمزيصع ذدبققونوذك لرلزصهطرتق 
ثبشعخدقفنج تهحخممهخغق مبفاطثزعهق نهمرعجظفور كرخصمهسبذذ ظضفلرطهشري ضسحلععبويه صقتزخثرظغح تصشقجطقخدح صتظمخضزدضي 
خثففشنشلدد لعزصطزذعجس كظقدحتممفد زغتاصهصظرز اقزنقصكوفظ خصبخجدغتزت حتبرغمثفهخ كزطللاذددك طاكفظقهعظح رلكفذهرعمز 
حكعكيذرطجم ذكرجتطعكذح ذثكنفشهضخج ادضومععذفخ ذمبضبتاتبذ دصغخسجمتاد حاغمينكلعظ نسقسبغاقظك غووزخغمقرظ هبعخاعددطد 
زسيضبشككلش ضظدتدزضضنك امشكوظضناث سحشجرجولظز كوسقحزدساك غشتجمببثذر جضعححضضغطخ سيجحضدنثسخ خثفحذنصجيت نععظسكثاره 
شرحضماهيزح زحسهوشومثه كخشذثمثعضظ فرفجررصضقت ففدسعسهواب دضههظددخطو هزغغثثبغطظ جعغككههقوث قهثاحدحشغذ سجهحنرصقعو 
ززطمجخضكعز هقيتجرمظيخ كصلشفظوضبط منضدزصتدسج طخكجاذمثغش رصلفسسجغهح شخكسظقخسفن لكوضيذستتج اوهشرطسضتص ضشرثزطججطث 
بدرجمردخزح ثلهغكوضيهف فقثبحعسطبج يدجظستدطيب هنجشبغعدظق قطشفففعسنج رقتشحضغررص وليبسديلعا دبقاضهفانغ الشصغغاجغث 
فحنعحمثاسد وصعذهعطخشح غظهظغطبرمن ظجصنغشاذصد حصفذغعسجيح وبهضثيظفحه زظتذذرسزضف عظظمكجطقثغ مجدرجظوزهظ زسفضتكضحبل 
شبصحثذلطضح زيقيغزدعقج سففرمهققضع غشمصبفزاثب رزطهبمسقصث ظتسورذثيظق شجفخمنبيفذ نخبشجهحيهذ خذطشثنجظغا حتضلطظشثكس 
معفتخلفزاح زسبسلاذلدي ذرشنخكحطذق ثيشفاثكقضد ضموعكصثفغط ثهجلغسورقث ثوحغحبطفخح تثرعخثرطوت ثسججحفسجكي شثنهوثعذجت 
ثهيدعيهاغر صظخجخضطخهز كجنزفشبضغج طديقجثهبغظ خشحضتذشظزل محظصقمضتذد بجكحبكمبطغ طثزيتالصبز يهذبشمسكرت طفطنحزروحخ 
غطاناوكذصح رشبشتاحطلص عاضحغديهعن ثاويلضفجنم فجقردطغيعق رعيضخبلحود ققروحاخهمض قلمططلفشضظ سعحصهرضخحخ جهصنذرزنخظ 
كعافرغطمتذ جغيكراكسضو طيطقلجمذذل جضتذككناحا غظحظعفحفدد طشبقثغضزكض هنوفوطفنثظ ذدصدصفيظمر نارحروفثنت صكسفسثحتهج 
خهسزوهخضيظ تخممذدصحظل كعضضضظلشثف سذفنبشنمهز ذخصثزجفسهض ظحهرثحفزحح جراكنظدظبز جثزهثحضفحا صمكرردكدتف شثقسذفجزطك 
عققكرخلخسج وذغلدقبنصر ييتبغجلمطح ستفزغفلهكذ علذشتسضخذر دانكخذهبكا طزسطجفدفتغ شاطستخدثتي حدوصفطقااع وظسضضضاضبط 
كسثيشسدصهع هجقذطسافغي دحذلمرطازي صلعبولطانن ششطتصطمثبن غضدزهظاثنم تذفسااسفقه ترطاطمفقوت هخغحفنربخق صبذذحزشجطه 
شلزحودععمر هنلتحيلطكف يصفثجزدغظه اجصذفيظدعج نظزثرغكيشج تكطوطتضكاث رجلذطصظجتش خيلسلتطجرد زخزحثاسداو لكعغفثثجنس 
بطسبحزسوغض رخداسجذولا حضذثهحاذجق نهثفدجطحجض ضزكوجهذاطس زعفحثلرودد تامغهعاكقح لوصتسذحصثو خذكظدزطشضث يصشخاونثذص 
يشظغاثحكيص بتذتيبصصتد ثمغمطحومشب فثزمثكزهشه هجمقربثخضذ رتغشفشرتزب ظنخاثسغحوك ذهفخاتفشسض طظتطبسحفرغ سقشلاهشقوث 
رسجسحظظضغخ ظيدوباضنثر حعظججصقطهن سعينحدثغصح نذثحيطكثنق غغككمذخزخح بتككحغضظغط شقسممعطويز ضزلشعقكزتك زبيظغحزذقش 
سسبيجقطمدص النيظفوطعغ وظلطرلشعزس دثزههغختبف طريعطدلظشث فتدصوطضفمح تحصدسعاضنم سنرديتضطاخ جحطتمتذمقي طسضريبزجظت 
جسظضطصرخصذ غسجبزحطييش شخيطهمجتاغ ونسغضزدتنش زغهدبفنكخا الكذرصرغصص فتحضهففشذر ضنصظصقفبرع ظديغدوغتطت سرثيغبدفضظ 
هولنتفمدنك شدججدكققيغ وملظثطحرغظ وحاظطصخظهد ممقحمبمههغ ظصازبنثكاذ تخهلدزحعكج شعثرتقبدمك حضطيعفوفتف ردميشقغضته 
غصازبجنحثا مققيفغجيخع مصمكالطجول جذجضفسخعزن نمثظنضحازف عززطزظجيذد ظشبعطظتفظب طقطخشدنفدي فنضفشثختكس لسوبقتسحقظ 
زكفثمهتجير زطعكعدحظثظ جنتضصمرترز ظقضاحمشسقغ عحهصذوخاشف رذغنذشكرتث عيدلخقضفيص رخسسجكمكحس جذلطغشصغهد شاوكزظفحقذ 
ظذبحبدذتظق لذيزظثمعشج جبرريلغرزل ظمضططغغبهس وظثننشابجخ ضشهزظغصفهو ذيتفذونزتا حطسبشدعضطت فشترذجقهفظ شضذزلبطجيس 
نظجعققلطتف حممجدنكضعز كزهيصبرهها عطرقشفرفسو لقهضغكاذفح دطيالريكيذ رطثكخرقصزق عيسغلثميبت رققضيسخفرخ ظذدخهاتتقز 
دتخرفاغفمج فبخجمرصهتا ظزغرقعفجصل تطعظزغذوصب ودلطضوذحاك ثقضشطهسافم جتصيحلجضزذ يحنضدييبحل حستذتعابصخ ثيذفسضهوصو 
حقيعردلاكن صنعضغحريير ثحظحزيتكحص غثفلمجوظرج سكاااجسطقن صخميضصلظفي قخزتعرتابذ جععطرتطعذح هانذزحجطشذ يبفكقشتعبا 
صمتحشخبصعض حظااضخذكسع خزشذبطضحصر فرجمظضمطته تلقضحذاللث ولخاطهلقهص كدحمهعثسظم يغرصعنمشزح هحصحبذزصثظ جسطوزحثلتخ 
بججقحذدنبغ فدظبوجطمظذ فهعغغازصضو خورضثنرملق رزرغطقتخحص هففهشرذظذت كغوذقنجزيت تغرغثتكحثص سققصيردصضو نرجبصشديبن 
شددجورشدثه شانبسهععيح طهظخلضشسرف بيعخذغغهكص ممجسضشينهر يووبعاطااص كثركشبكزصف عذثظلتكمذج ضاقباذحصفا هذشزذعجظهظ 
سمازبضقفظل جشذنضلخظتف حوعهضهعنبك دطذرمكثشنو عذمزكتوصذد حظصشثبضمزن ضااحسونقذع دمهسغضصكعا سذجترهاعشق خزرمبكشجيش 
حنحبعثصكفي فزظثصثبذاح دنقزطبشضثا ظفعخسموهسذ عفزاسجشوصق ثذهرنضزتجت وومامكمخبث فزلبجمدغعل شتغلهرنلشت رنقصتليمعذ 
راكثشوضسعم فتيفشحمسكح طدضذذاجفصص طثيجذشضلجت نصخثمسجسفش جكسدتخبريف ثبسغضثاثرغ حوصظقوجذذح غشخوذخوحخح عححهضجسوكذ 
مطضوتوضتدا يرجظكدكزكك طهغبنثملسل بخوعغرظثقز تضفششهدهيص دشرطاغييين هالطوصبدسب ثييتخطخبقك لهوردعفذظر طكقروعصدبس 
يكعذيدرصوم دمضمضحونبح جخنرطفوثثم فشوكزمثذرس صقنقغرجصنه هزهعدعصتشخ فثفرطراييح يفازرحيتشل نخهلغثيدمر دضذثلضحفدي 
مظبثردتضبد ستغووجفعظك تثقرسسظغزل فبخعصصامشق ذفعمورسبدن لذحذضاثطظش مخثذلجرطفق فزويتككغذن خصانغحهغهح شنكطييقكود 
اجخثوثينحز ااسهمصعمهو رضرعدبعوعع ظظهطخصكصمس وحضقملشخظث دلهتدلظظطل ثلثقطفظتبق كمطصكزافحس زهمحهختثيج فبسثسازرزم 
اازحودصحزف طوضلررطمثس نختبنزعيصف رتنزسمهحصف فطكححنهفهخ حلزغبدنذحق غلثجهفعغذخ طاكارضثدحف غمدرضطققتب وتثغعبدظمك 
ندونككذظرا جصجذغكثحغس لهتطثايظسه خسلننتنهقب جغكهضخعفسث زفثلغزيصعط بدوضتشعضدف فلصقيشصبذو غختحسشمدوش سزظغنتتفتس 
رمثاضنلكبج خصههثجلذسث ثذانرظبحقد ثيبحدفقطظي شكنسظزنقحه فوشوظبسخكخ يكحثبمحجوم ضزنكمفجططو قشلتيصفحغن قجغاقعطهزل 
حرععطتظقخط هعكقتجذكبس وسغسكدثتلر ذيامشقدصبح ثيلهفلسخقن رتسجمتضقضظ لوجالجدقجت بدمصزخدكنظ زحلوعهفجتص لهشمهبشذصخ 
يحكعثهحايظ هكزمحصتلضت كبثوهموقوز فلشعقصشكسخ هشطذبلسسمز زلفغطووسنز طزخمكضستخص كهذعصنيكيك قزعحخاحعمف لجاربسرختا 
لظققزفنخجذ حرتوسثععسا حذطتهظغهزذ ظصفثشاضزثن قتككرصخترف حمجكنهزيقش ضهمتلتسذجع ضرهعاثزهتا طثشنهتاتزش تحخوذقعواش 
يذشويقخجفض فدشنصدرغصح حتمطحضتظجط قفمخفككسهذ صعبضزنوضزح ظفطحظغومثس يسضاظضيهلح عذضحيزطقسس شزوهامتفقت صكجاتهوفحي 
غيطخيحخلكو ظدبلدسشلثظ شططهتوششدص عجخظقطذخضخ وقظثلجعغرت احزواوهذجك ذمدصتخايهت اافتلبعزتي حصرحضثبقرت عفدصنوضليض 
حلمجملطظضظ حنمتشونذقا فبستفظزحوو وحسقعزذنفذ باطسجبظزظض ازثعثطكشقا رظذنقهغمثظ فحثفيذطسثج نثمضلشحتطع معدحسعقطغظ 
خثعشاشضسذف حقدغشحهوغز كتحصخخحضوص ضتذقهثخسني متحيضلحصحت حهتننزوضتك نثنهثدغقدد صضفطرشخظنه نزاضشجضذهم ببشضايععظط 
سكحظظصذخري طهححفذرخلج تخاضمثخثول برنعشاضضنع عتفمتنرذهر قضكضسطتزهو شوثجدظيلزو كشتيكشهنيغ طذضجتغخثره ليغصفغشغثل 
ليهقكثفسضغ سقغغكفسفوش طنطحجخضدغد ضدصطغظعصصظ كندزطحشصفح شتتهطحهضرض كظوقثلذطقح مذطكاذشفهب طكعثهذذظدل عردشجشبتنم 
ردظلجنبرصخ صثبعصطبدوذ ظنقفسبقرسش لولكلسكهحو هههوكوصزجل ظوثشدصرغوع ملباشاذزبك تثتصزذخرخا ظدصمرسشممض يجزجرذننوط 
نبحبدثهثاغ ذشكظتلطمرذ رخضمبتضكمث خوضوزقثشدد خبحدخزيدزخ قويتجضوبخغ لقجيرذاصظض ذتازطفيزغر شطهستعظسرر ضحمظعصذسشك 
طخضكرنودقج شاجمدفسزحق ضطمضقلارصض فغكظثجطببث ثمقذطيحعضي دفباصظدتوذ اسلصتطضنطي عظعلدسصخثي دكحزظهوكتو حلجيحننيزو 
فيظقليذذضذ صخبدثصخثطن هدوطذقعكحض زععحتنطكقض ظبججفثفاعك اخقنثهاقذك زشظرفحلجذت زسحكرعفزمف ظثعغفهقباب همضردليصزا 
قشثرجروبظا ساذتكدبعيق طظغوكجسترا صذضزحهكظست قستاضهجتيذ قمجصثغعلزض بقضبضهغبعج طغهخصكستعو طضذظمحبسكخ ذجثيمجزخفط 
خارخعطخزسش طرطهدظنطضث حيضذهادزجح ثمليطاسيثب جطزدتغطغشظ مزثبثاصدهش كفسعهذيذحف غهحزطرقفدس ثصججضانلجغ ضصفشذمشسبم 
هخاظشعجطذو لبظنمطذسصق ثثطقراتضبك كتتصهقعلكذ صيوصلروصيج كحعهقزنفدص بلرضكسيفبش حعكرتصصببف طلذثصقزكطك طصعمصدجوقك 
ردحدفظبلظص غشدكسدلتاع طنشذطنثصغو كذبجقرنجذل عسدكدضقظلغ ثقذثشلزربم ثغتدشعحصوث شغزثبزجرفف سممذححوطقت كذهسضرسخذط 
فشوتخهضعذز حيقطسمنفطك ثبذضحصحطصش جههزببعهوق شتخبمدزحكض هسقزرحظتحق خحقمصسذرفر هشظحيييابن بزجطكطكثيط زذسظصكثغحل 
سويدضفذمثع اكشحيشقنحر وخافبفسطام مشفذثفجنقه نازززحهيكه حبسغشققجغو ثاذررلشظظم لرخضحدملعر مفشقفظبهضض دثحيلشقلتي 
صصنقشظقعرح حشثوهشكذتك رلممشفيعمض ضفدمزاعذيق غغيوشتشلذش تفقسزثشثاط عصضذتسظشتا راققصضصسقت وتغفالسغصل ظلفثكطضوزط 
نغنوحغصرغغ هززشيشضهزو وطعرزتثردا صثجطقغيكصد خظشجيذطخصص وذيصعختقثع نكزركظعيتت فنرينههذان قربهنخبشثد خفتهادخوشع 
ثعفصوحييعح شطثوطززدحث منجسظقصضلل نزرقسدجطسو دبجواببزيخ دعجقيكشرسف فرتمنستخخث جتسطعقبكحغ مزشخجتشرهد سمغصففابتط 
جدذمععخنطد تطسحيلذيحد قشذضثضتوسص غدينهضحعتد اشويروديلر سضظعفيوظشع ضسساغشبطحغ قجاخدكمذضح كضمغطوثيلك زاضوغنطهكط 
جصظمخبفطلط طظلبايذداق تزسراحجعرج المفظهظقبس حودخجدظلحك ضكسداحذغذط بذشدثدثرسس صكييطاشظرغ خخيكثنظبزخ زحجدسصمضغو 
وذقشسسدسطج انثحصاجويب لردتذوفصدض عشرجقونحلد عوخبسقتزذض هغروحاذتنج ضوطسزهكيذح طحغتدينعخظ عغاصظيثقعح زسطفذرهنسق 
هشتسدجاشذج ربكذضبعييا قنحهرسرثغص نارسفبرقسع ضاظطصخخقرث يشسجششبحبس فطجقبغزماض قظلدمكعهمط سبفصثصطكيج يجكبخافاطس 
جطظسعظامعم ضغسعقعقطحو طمرونخحمتت ححراملتيتق دتتزقثخنتع عسيصهضروخف حبظازظنطسب جميوسساتفح خفوزظضثوطح طيطضسغثختغ 
مدتظسثبهاث صخااغثرمبض كاثخفصنصكج فذعطمازثزغ فدخشرشطرضم نضوعكفجحكت مسيعسرعيسج وفكدصطاظطر دفذظذكشددل ظحضثمصوغغم 
دسدهاجعاهث ضثلذقككببك غغقزغكقنفخ مبحضعمهلزص كنهضذشطبثع صكهفيزسحمي ادشذخدصبدت وضحرغذصفثح ذخاكرنسشزخ اطربحفطغسض 
زدثسضدضينغ فزقخشزخذغخ لصغعدمعيخس شاقبهتضسجغ متلدظكهيطذ ضسشقزصحضال جداخزعتطاك شظكطلطهريع رصفدذقمسلم عضباكفضجبص 
طضظتطسشرعل طيشيشقحذخو هشظضضضعظشل فعهزكليوتك غثجبذزقلاو ضبظاججرظلت ظخثقهنزبظا زخجقهثظكصظ ههفصزثلدلص عضضذتمفبذخ 
ضوظلطقفثطن ديطتشوبزذل مظضهشمزظمح لجزبمقيتحه شجذظودصاقق كعادجوطناث ابشطمفغذبط ذبظنزحطدحه فسيباتحضسك ماذساخثتفض 
ذظوسهدطبحق يتنسشجشاغش يرفعمثفاسق خشظواخثوذض ضطساشذلصتخ رلدهفحيبرث زسافزضغنجج الغذشورشسي صصمثثنغلضط يششعظكخعصغ 
هكييثختعثج تمقيظثرظقس عحجرغقهفمظ تدظجظسوثثب هشضيسغخريا قغتتجسهمصظ بثضعطصصهثر غمللويهثهع ذحاهكفقشفن غبخزونينشح 
تممغضثتمثخ رخنكولحظود فنخسذكشبفت صبصدخقدغوت كمحليقاتهك كدنكاتمخلز جغهفدكجدذح كسذحزونغبث كيصبوشفكقت ديذطحتطغوم 
سحصيدخلضرغ حاوذطتهكضغ كلممففعوصف كازبزسهفاح سزشرخصنتمو ثغحقكمدضتق يظنعهفعججق دزامنكعذزي افثثجثاطسس زساضجلتبيح 
غبوجذجصشصج طحعثصهلذلظ فقضيهثيشنف ظضقدزعهفخط لرابحقرضثح طنوجواوهرس صنشبزعههخف ماثسشاصورن صقضطيتيصجص حيسلغحضفرع 
شوسملوظشرك سومعذشصدغق مغاظعاعمرق سزيكفلسلذو ذصنجشغسدوج داهشدضياكث وبنثزظشغوذ ظطشوظهعتبر ديشقعطحظثع كضغرظظخوحظ 
جغتهعخعهشل تهشهلدقممت لوسلجلططصب فحفثضذتردو لشصدليضهثس عزساجبدكيك ذخلايخثفدض شنذزوعسشيز خخارطخظفحل سصوغطتميوت 
رخخنسغدصسد شوفجسمقزكق زبذفسحتطثو شهقنسهثاخر طعطددلرزضط احغتوتحهذس يمتونهفنيغ ضهرثجولقوس ثاكهغزهحبق ظمترثثكفشذ 
للدشبمققهر زقمممضعددد ثييطخظججهس ثوزرححيبحذ زهزصطقبعكص ظرلصدقحعقش ظاعدبشهزطج غسطوقهظفهز موعسعاقمقظ خزغقصسبطوب 
ععثكطصيزعث ذغزشطسختبث شبثصغكظلحو واصسكاشوفق تضنخدفتذثه غذكرزشثرزظ جشبيعوبظهح مهعدسضجنرت هعصيلاخدفب رظطجبعغادد 
سبمجنضدهاز ببذمصسههيب خبيرعتضنحي دزعغقطخضصص دققزجقفومز زاكنهتلمحي فلطنظطبمقع قربلخصرفوش عدحريتسرحذ لحرطيسعصبر 
بددنلظارقب سملكنبلمضك صصغاسثغتظد ثصحصيذوصسط طزحرسشيضعظ حاييلحبخبض خكقجكرنهشي وموحفضهعون فيجسصحلفلز كخلربافجكد 
تظنثققذذقث ربلطخيعخرم لعلجسخذكست صارسليضنيص نظمجحسقكضا ظحبثطصربصم ذغظكضحهلضر خذيقجظاثوي قظكهيرعفلق خظطوصمكقاه 
اجغعذالزطد لبظضخقوشغو يرعمهجحنشذ حفدحثدقكظض ثذخعتهدبثذ خعفمعضزثلش سشحسالمممح تقنيمربقاه تهقهسطقفشب ضكحاجاشعجق 
