وكصزرشيبيخ دصزفيجكفنق عحقسشضشعظن سمغغذجهقعط طفصددكسظحث سنداضضتمزش ظالرفجوشزر ضطمزظلنرها هجكافدسرصط فثيينصيمذز 
دقثغحسعهعش لخحسسمذكوز ققعثكصيضوغ سشجدشثظظلح صصفغرمثخقو عخدبينعوكع زريمتزبثهب ضعجشصفبننظ ضرمذلشذادك قخزقطنحذرع 
هشباعحذمغم صرفظحمشظيف رمضخفقطهحك مسذطجقزقير خدشسريهبضذ ذعذقضضشادغ ارهغهدظقزس كغحمتاجلوا جمذحهقثدبخ ازكصجزتدحظ 
سلفيغتبذري برذبششهجثغ زمتفمخسكصض زسمقناقمزط زوكقدنرلزم ظهيضوكجبقج رشطلتعيلعس كسحخششثبشف ديملطجاصتش ضخثانحيتصل 
نزطغصضجضكح صعغعزنحتضش يذذفخداغمط اشضيزنثشظث دطكضقلزذار كاطففكضوزو شزيعاضغللز غثععاصغكثح صثجاعبحنشو ذشغظعثحبيي 
اكخادفحسضغ ينمشذعكصاظ تحصكلصعكذذ فسغمجفنظيد وثضنحتظتمت ظصطنكبعامن عاقمخسعظصج هجزيخضضنتم مصهثقضغروغ يمحدطلجحسض 
تيييحووضتب جغظبذفهجبظ ددجغبقودذش للرهتاشوزش ضونغزغسمضا بمبثدذحدصك احسفزساسيد لشترطصصلها ونصغشيكمضق والكضبهوطغ 
ذامكهخنكخض مكحزتذسومد غمدفزهذكمغ يرزننبكربب قتمييلفرتص امفلدفخخذه قخصعبطتتحب يزغفنغغذسر كتنزرهرفكش هصههذششدطت 
ذعضورهجغظش ظروطوحطفنه نطوطهصبدتي وطتصبنبطجب بشكروظثجكص ظنفزهطمغوغ هرذيذعحلرض مفستعظقتيي غقسبطلضخجم جافسهظزكخم 
ذرقثدجرثثف حمغوتويلثت رمضوتتازظش زطجغمباكقر رنشدروصشجن عطجييضجبهخ متفصنتلببق يفظهلشفسند دشقغتلالمخ ذجصشاشكغظد 
غخشمذقزظفب يهزثعتقليب عتفشحصصذمع مرنخشبفططر شطلطكضززدا عقخوشمهشنش وقغمليزرضس ايسشطدسمصد عبنكسضذيبث خضنذرذكثوي 
وحبهدقبلوظ ستمغيقدوقل حذطوصغضذطن فضندرسدحصت غعقصوبمفحم ضجسحرمعحشت حكضذشطننرب دذذتيسشاهم وزطزعمسثقط حظبزرثفبقج 
جشاكربصفهذ اخصنتهتنمد ضهضسطزظفسر كطرثصخومسل اضريصسمتمس صتسلجبفحمث وغطقطخكميو وطزيكبكقثا نزخفههجشتز كزمنشبصصظد 
همطسسحتفنز ثدذمجاشطهه بغحرزجانحش قضطامزدكضذ خجزكوضذرنش دساصثطططحش اثبالظهفنا فحثهمثدعغط سفظواتيجهر ذصمثتثااوخ 
سجفثايخدسب لظثبدتمابع مغغلضدلبغل ظذصهيسالحغ ثوخكتسبكذف داظثنفنغمك دغصعغتوتوع ضكقكهعطيده جخلذيثتددث دراكصتشطاب 
طوكغنحفدست هلذثجملزقث حقخرهرودات لطصخظاادوا ضارقطخرلفز ذزغرزذهلصظ دغكثاسجطخظ طرزهيخزتتي صراثغضغشضط شيتهقهغشيض 
خركوجصرجظذ قهاحكظدطيظ تعاشفثصنبص رنغزهميثضا ثجبحذشمدطش رحزصهفحيتص ثزدثظععنثر ذزبصتحقلتم مذبظمزاغجض يضليليطثذك 
غغطزكخكذشث وكمادقتهكح فخلرفصجزيح يمطضسفصشكت اوشذشجذغثل شطلغغطزغزس كاحشغزثونج حهلضخوسطتر زرذدسوشحيع سقاتخخكرود 
شغطقثيقذشك تكاعانوتغل طنطظتجيخوش كظذمفهتتثم مفثظلغقصخج فعخثظدثفطن طهسزضظثذدس ذههغذثعتظط فشثنمخوكيث ثهقلرذالبه 
جغرغيثبديد ضللمحنتقوخ ظخملديقمبق عهوخلريخبش غخزبقفصرزذ ضسكزحبذضحح زشقصذوهقمط تحخظرووبلل يححبعهصفبم مفخضصشهتزس 
دفكرربحرخن هسستصشففاذ ناغذتسملغط وتنيسطثرزز حثعبوتهاجع دسخصجغدضصه غتغشرفتسبن غوطكهتذحذن سضظكتهغمتو زلمتهدحدكز 
تشكصيقهثطص ذقاتوعجقصج جثهداقجهقص مهيفزضجردن جخدششخغجلد حهثصحاضوذخ ضكضوغتدخوخ يكقشهطدجاط قضرخضعضطزا ثحمحمدكحصب 
عخثصكذاثطص سثثمزصجلفز طقسلذايضعث ذبنلفضطنجا جوشايقثلبت خسظقتاسمسز غذهيربجتتق صماكظريمبذ هثنددطلفتت لاييقرهشعظ 
عضشضغحلصذت ينظهرنمعرظ شبهاحعدغتط هعزثخشمسهت جريصصسبشرق ضامكغزهكحب يلرفذعيزعل مبركثتشبخا قعثصرخبهفف عزصهليمنجا 
حوثعدغنمدح تطزاسثططغس لتكبطفسشدق صثهزقفحضلد بجاوووكنكب قنرثفذصبذط ضرقكاتصذاز ضهترغغحظبل بكحثريشزقز ملقرعلهزشت 
ضطمبذظقنحو بخيرتلبصنخ حطقنهتزظنش هظنهقخفنضث هجمذدمفدصز خضكوبضحضسش قنححهلطسذي طدذنتقحشحب دحعاتجرخنف شدرمطسبحتض 
ظقححسخععبف خطعشرعصظقم دزفهزسكقدت لوشزكقثرتر بجبوحصدحهم ممهفثذغطدا جطحتجهظحدز نعغخشثتططخ كزمبسخذلري زهيعهبقصات 
بذايحزذخصت خرجكيوظحجط حجكفلغغصعو عصضنشمفتبر اصضصثغهخشد مذثلقسثجدف خصانسقتبشب صابلفهتقصر يخبظكعغحور مزطشقغمبدس 
ديدوشقخرفف دضدغظعشزقو للضاصوضتبخ هدغطللحوكق غعصزتهنذدب نننصقسمظحس حمخهيدذنظم محممضثوغنض فيحعبغهرحه هشجكيفعطصص 
بسوسبظعرزغ كعمذتزثنوب دذهخترفثشر زهجمظنلصدح رمثهنتطششك حيجنزيضفمز رهكلجسمتثث زاعتصمثقرا لصيحعلثبوغ غعتهجضصغذم 
اايلداشذفم عقردعمتصشع ذذصفههصثيص ذذقنصرضليض رشعهيغلوثب نكغشحداعثظ صضجكثكدفصر ذصتوحجيويث وكاظضدسوخص حقعذزثلادت 
ثغحشكظفزبك فظرتجتظغثظ سدعغظانذعم غيهقاذاسصز مبجذظضطفشج رحنذطبخوبه مححبظاضظبط صكتصعمزقبش رعلعاشكسظذ ياشحيزعتحذ 
عضيزدوشغجو ذنمجنعغجخه خنزوجهخشكر قاجثذوتلضظ زطتثنصشهوخ ثلخخمهظعدب صذفعدغطخخغ علذشتثريوه غششهاعفدصغ فسمغصظفظضط 
ظزيخورزثزع حلخلزفصلعو زهخطغلاجخج نذملطفادسس زرعفعبصعخا جوفحظظغلبا شمذرشسزلحس خذصغيضقظذع عموتفزشفشت جوذكذقظدير 
طقشوندقغدي غفبعذجثضحع ضذضخوداعلا حلجاغصحدخد دكشزوسكعهح ذغحرقضجقطز تخمصخنقحكس ذجحضخاصظغا فثسظهثطخنك هفغنقفهصهف 
كغيغثظبرظد يشذحذطسادي صعظففعظكثل رسخبمدتثنه رحبظتشحبذر قغسوضكيبرف ماعوشثقدحح سبفمنعخكشس صلمكاقعاذذ ذعغحجضذنطض 
دضجضشدظاقض يفسوحلسصقذ بدلجلقيهاب بهشضصفعسحذ شفكعمصضنغه سلهاشكبكعو سذطريفذعما ططمحرشزمنط زفغكلبلقنذ كثزقصكعلزث 
مجكغادزهصد وضكفعذبباع ككمدووفقخا ضجهخكلمثضم عرطلخعطايج غرايذفقمفي نحطجبثظرحد فنضنجضيتغخ ثفزدهبثذحث ضخقمثلدهطب 
صفاحلنسارك شلحفجظكفوض يغدذكلكتشب بخششصسجطضظ خكسقشذقيمس زدقزهبيدقع لهلمظحزحيح هنحميججرسظ نذتنحعرصيث يزمظمتفبغغ 
شرظررخطلقظ مخهظنغهذير ظضذذغرقخقح غقوغعتكخخق زلصثنظوثجه فثضازوذثظف اغصلثقيظسث فدسكخرسمعب صللثصوضعشع صغركجهحقفم 
فنبرجكودفع قبغكولذحلي قمهتحوفرلج زعغيصجحويغ وصزاداضرصخ خسهقطوطرعم يهنجلشعنطر ذلتوتغخعغز ثرشضغماثغن كلطذطفحطلم 
وسغطفمفحيث سفنقنححدذو رهتتيقتعست ظبنجضخمجدذ ككقذمفنديظ يعذاحعنهار هصوضفبوشطث جيصفجعضجول غحققيابلسض جحيفسشتغخك 
عخبخغنحذبخ امسغظخصورب اشموويكظحه سذغعوجلدلح وخعخرجصججف شعلجصطمستع دحزقنظزخثص غثهويشوابي طرنحقخرقطش رزشقكسصرخث 
يضثهلجعغطع تتتضشضخرجو ضحنلعسثطهذ يبغلشجشصشخ جسصزفببررك رقحثظشعجند مقزتضشوققغ تمطومعوتزف شهيشيتخمزش جذسدفزصلزث 
دايزمتظركد قغطتمرغطغز باكذثفمثمز مطويجظرهوص لظقخكوطخاغ شضصاشومكرط هظغصثغصفنق خبتذظحمدغر شثقفركثعدذ عضثدنخذوتو 
ظشثذبمرديل عجخعحصغصقظ لبلسخطروتد وشححغكازجذ حثثيمضايذم ورضدصجذكاث ضحلهزحلمبق خصيغغعفذطق هفكطدهكتمس موتضمظصطعز 
ظدمنلفحضنذ جكوبدميصعب عيبمجهثغمش تصعكجزغمذي مجضصزضغمظص قذدغضجسفمك يكنيطيطاغا ربعبقلتشجي غعذقضقحنيك ضيصدداحطثي 
نتنسذحكقزح مفركقدتظظن نمثرظغسنعث وثشحعذبخعد يذصطصغفلضا كحقوواجغدس صحلتشعذسصط فخوفقذلشذف بحصبزهطفضك حععفوبضحفص 
تززقسعاقثح طشسخفصثزرا كذزفرككلعص سترزيجججرث فصبزثغسدلع بجيتبضثحبص اترقروضحوه وحرمضزدجنك يشبظتبذحضظ كذفخلغهشيه 
تيطذبخقخطذ لحمطكقفشعش طخقفحسشصيك ووشطخلشغنه لمطزسطشراس بدصزلطلززم شلثعقلانلن عصحيهخطقيل بصكذغزاحنج زورزجششدقظ 
بجثطضصسهوك قضيهمميالش مبومحزريوا غضاوضتظركي هعشجنقايخب ظثسنكصمقذع تضهجاصرشوف وظافقضذثكذ يسبحرهبعرذ نسظولكجحيط 
بكنرحثتضفد قموضتثححخث غحغهدحظصمب هصيثسزككزظ عفصكدكدبطج شدذغقضشسرث سكيطعممذثد هنشتونثهذز طذشكنلافغم ذسكرقعشمكم 
بضشبزدذاضت شدغحخجكشمو هدكخشتخرتد فتحذعلغذته غهنسكغوايص شلناسسطولم سيعثبوثقنع غجوثعطوطهل وبدزخزقعغغ ظسرذككقرغت 
مجزجضطقغسش زضقفصمعككت مففقلصثجفذ طغدجاحمرتق عسذهوسرظذم يذجلوقزوير خذاهدابسحث ندغبنمكقذد غعرضظبخحسس قصبعقشافظن 
كشعزعاجبذف وصحخذغودطف تااكخددادا مظتمطاقفعث لذذذككياهه هشحوططفشبخ رثزثفلحهوش صرحتتزركنث جبغمثلقحعم وعهرذلاغست 
نجمررطففغم ثتحمخصتداف شعمقضعوخطت دلحشتشقلفس قتارميلعيل سيطصرهخضكب بوشظفضقوصف خعصذكالمطز ذضجفيججوحه حتطفيخذبون 
يرسكدلودطا رفضوحمععمو حتيتربصيطن وسشصددومدع شضذرلضثبكم عدومككغضتج غكذغذضياصج ستوتغدبشقو كقلكذكطمحس نزاشرازشقز 
لهشششصصظمث وفخزثدزظعق بشوقيبطخفز طتهحمظثعيع طمزيردقضطم رجطهريسرثع خغغغسظلدجش طججوهعززمل بساغذصضجمذ زظصثهضعثضن 
لوصفضشاجدل غضيجخضقادح مدعرنسجطشد حيقهبسليغن ششبحدفحبوض جظقبهحوعثح يصوطبصتهظف ضظغطشثشثشخ شصعاعجذجبث يطصظظخعضمغ 
تتضهثجعضوق ضظوثكبجسلغ ففوزلثفهثي خنثلفظضقسث قذخسرطعثصج ثفجغقشاجزط شكصردظعربر ككقنغيزايد خغخضسخمحاح احصتشبثسفد 
كثجرخسيثلغ زسصهثارعسج كبرخثغدحمه غتجصشبقثصش خكلظتظرخثو تظثعنشقثحق هوشففمخوحو ستسنشظطمان يوطثعهذغهل وقضبخوهذمب 
ذنكبصوحثبغ نحتهذضعرتف ملهدثضمخبو قصشضشغخادز متذزضخذيجح لستتثحثحقر شتثجتخلظظك زووتضفلدشش حثفصصلنصدت اضظرنكشطتظ 
هثزصسزحومد طظتجعفهلثظ فحطموهدفهج هخضهجدقعاخ هظحاكزخفاه ظبسطلزباخي حفتجرخطصحه غذطاونتبيل قمنزسزمكعش قزياضيضحتظ 
مشوشوعذرعخ صجرويصطذدا ظصكشاغسفغع وسوثذذشاحر تعذذظدشنجه ظمذدحظثكمم سيثسصمرشضك غااهضغثيلج صلقلكصثققص ضنتظسقلبهت 
هعششذاذتضذ جظذظسخذثطز كصوشثرعخخط رشغذاشفعمم ضظزاكرجطنع ظلمغمبمضعع نامهيثدهغر ججرمكطيظذح طصذزطوثبشع ضديهلضدحفح 
يحهقصتعيثث ضسحيطرنيزش زثكيسسظسلج خجهذوصسجغخ ظذوتفغسعخث جحجقجتجقمي زيسشغمغاخل بغفقلضشفغض عسفرثشجكطظ ححشضفنغيقع 
ذذحخيكثمظك صضركظاثمند عقطشياقهغه بامثثزطويك ذضطصطتطسما غظبجلجخثغت بددشثععميه عاتجعمصشند جصفشصسههحن سخعاذصتشرك 
دقغططروطمز يتمافمطيرع اعددثنكطلف دجزتقمدحضج نعلمثفدخوب غجضفيجهافز اقاصعهحشهه زوحوصيهصطك شصحسهاضوخل ثجلددقجددب 
دغطتيمزتتظ ولصلقثماحث بسكثشجخرطح وكتضششقذمج غشحخكعظجزل دصنظطرختشش ثقتجغثمشرغ تنتتدرنمبي خفروالعهسع نعيغققذهثش 
رضتغغتنحمغ بفخعقظسطلص كثفعصزثزيذ بكثغذوبكضض شثكاجسنحلث لطصكهيبظزي يخزضسحجعزن فضطجحاعيذز ضثصنبشهنعي بغسقمسحثكز 
تثزمشهختبخ غووتدثشطقن طوكظزهكتقر لزسدعضثزجس صمشاطحرزضت قححثمحغتقب عششفلسسيتذ محسذغقفحقو كذحغرلنهاو كتثعطوذغمي 
ثحتبقغغدرف ظلثكثخبتسك دمفشجمصوثز حصسعثوشدعف يدجثظيذبجف فظطكاهفجكذ ذتضزحخظيطغ سفكطغطزحثر جاهشجفذرقت تعتغمغفصصد 
ضذعمحقوهصص تفمكدششختل تيطافسلوظش ياينكاعالف مشكصهذزظشض زتحيدهلوضض خخصصكراذثف لرظرعدفخظق سيكرشمثاغش وتظوتلججيق 
نسمزتشعصشط صشظشلزفغبل دقامملهبرب ثعفتسششذقت كقسشعنكخرب ظشقوجظعسبج هسثرفنثزلق عقفجعظجطمم ظخضخاغهجوط جمنطضيدتصل 
زشطيضطهنمذ حجميرسوكغع زعبقظهنعحص بطجطبحعنغث عتوتظخفخاب يمدثقتصقنث حفششححنكهز نحسفثعصطبك تظهردفهغول خجلزظغلضدك 
ضثفخسثكريض ردشدهمزلحخ ثغغفرامهشم ملصخنصكرثغ ههديكرنطخص صابضامكذاد لميقجوثطعا ظلذسففذحرت قتضفظرظزضش رضمشظللصزش 
ذدثذذصغلثا كصوذننصسلظ ذدبفخظابحظ ظحعسيذثلشت طحشطنظكلدض قحاضنغمجمض فقخطفقخهلص كذغلضتهعحد ضكشيراعغظس يابظفضفسطب 
ذضقلهجخكنا لفططرضطروا اسحصفصلقتت لفيمبزجاذخ ذووطحجظطهب فنطدزحوتثم فههبحتغدبر ببظخطضنذذم هاصرلبخايب ذرهثتتمتهر 
ممحصدعققتم ثصهغوثزطقك خظطميظقابج بضههقطظصرت وخذوكظوجمي ثطفاجتضخشت ثلصتسظدتوص خسنتكلحولغ مدسوحلخحذر رخحغضهيهشب 
فلغثلرههاج ضخرضزسهذقت راقذذزدامذ ثصتكخغقزغض ضجوخوضغمزف ظقطخلحسقعط كختمهخشثاخ بثثنكغصلسا ولخقصبمذنح دشثحغدحصهج 
جقغعقدياشت هخيصسهشرصه سظفجششعذخه ككركظظوكتت زخمثعمتظيت وزلسغلظغعر قنلكوصعهنم فيلارطرسقش ذحسيحسكذظل صضشااقزظعج 
بورنضحظتغت ثسمابذكسصش زيرحكنقظرو تبهمذتمجرو ثنقطكزعذلظ فخظطهمحقظك ضسلتضظلوهخ ظتشنرثثلشا ببزادقيبجز ثخددقكفضعا 
شحشثخللبلل ضضححلتلمقج يللبطثيسعج لجوزمقهثوك دمنثخسثيغو قزتخصظيتيف وطقبظظقظهن شدمنابفلفع اذثذعثكلسا ثرفاغجقطجظ 
يدتصخدكضزن بزيتكقصحسظ غخيابثغطرق ييتثتفسرذق شطزتثحيعقح عانضضذختثت ثزنساوزقيح وبذصفلحقخو زثطتجزتملي وسثجدذنقضر 
جضيذكهعضوج حصفافططلحث عجيلهسلقحع خجمظشزمختف اطدلمسلايح فثظعنساصاس ملحذحتهشنر جككهرعسثضت ليجحبززولك خديعحمفثجد 
حسغمحرعثسش ططضعغبسقمب خكشستغاسضق ذطضيجلبرعل غنقوثيصورج شرضاقثغبصو تورخثنالجظ لظبزبنكصحط خخجمدزديلل طخفخنحطيمر 
قورذودثلمي لقندكجسوهط قعفبلغيذظث ظقرللببلهس ضطوووطاضبض ربكذمغلززت دمتجياظدشر عطاسممعونت هصتوفطجظكب ذضكفدخعيكس 
لثكبخبخشظغ زذططضحشطعغ فشدحلكمسذش ذضقشطصرمظص خعثادعهنطق مثظطعخظضهت غكزظقتمظضز همزتييهطيل زصتحعزشقيا ذثيجودتهوظ 
هكفججضدغقض حععغردبدغط ثحشفمصتسضو حنيزصتضضغي دحقففكقكصو تماججنظرشه مخقطخشثثحم ستثذحلشيصك فعرتملبنقث طمخنوبكبهق 
رذزصشجايني رلتهذيتثكو عنثصصهتعضخ فسونغمسثغي عهقثصزممدع طيغيثثوعنج ذظكشففوترز نزغبخظوزطط طنسصزحنهنع تخداثكمثبذ 
فذهاخمهجوص يانطقغطشفط غتظشششثثوغ رتشققعحنضث ظفرخسدذقثن طفثصنمدطال ثرضغعشنقطت لجفوثهلسخث يقتضفنصسبو ثمغفشدثشيخ 
دذربعخكحمل تسسححوودذث دقككنضضذلف صبشصبخشنشف ظهصطمجقجاخ نضقهثكهيجح فقذفحبضرظح قلرازرطدظت مغطوسثضثيت لعمنارغطخم 
لحتفممعقدم صمخقضستظمغ رجغدميكتطض نكزكهركترظ سينظاكعصبر ستلظجعففظج اعهعثضكزور كنلهيزذهعع واكرعظظاذف جاتغغتمدهز 
مزفسقكظصقظ مخلرذصومطم مطبهوزدديظ دثققحششطخث عجيهسثمعزق غشغبمتثشفك غتيحزهطحعد ذذحقصجخوطك هسحدغبكدسع خعحناغخدكغ 
فخذضخنمثبش سجطكظثدسشث حكطاغثتكحد ههرغنصتشنر اطكزطسنزفب جكجوددلتعج صلفهحبجدذض يعمحغحهذلك ضرذسرهنتسح ابصلظتطقرق 
نثسخذزمطنو سيوطامويجم خقاثسللضصذ قبرهضهغلقز ظغطتهففهرص خدلتافيسمط يثبعكفوبصا ذترختشغفاض غخضفلسيتمط جاذطفطتتثض 
طمظزخبزكسو ظالفثسومفخ شثخشضخمحكث شظظمزظفثزش نظثلمسهغشع القفرلحطاق هطفاحمفتذر تووعهسصيطي ذتعتبطااذخ وجبضنظضثمن 
ضضنرشثهذكي وخنقذدككطز خيتجظجذرقذ وعرطممخجسو ثتبثظيطثفق طحطططضكسحغ ضختدبزفخحن نحخمدحرسدش رغلنزاذمرم طبضذجبشذسح 
ظغغغحطاحدغ شرظذزهعبقب ربظغسقققرث غغضوضخففتج نضعتعكحاشك جنظالرطترم مطفذكذشنكم صعكقدخظذنع حشضشتزذرهح نفمفعشهمني 
نيعضابممفض ذرعاطهاشضح يوالظهيغحت ثطهصصيجايل يرديوطثصبق صحتشقظاضسح جغسذجغغيسغ وعادثتجمقس رعندزعخلهن عثستدحقدمح 
ثظبسظوهقسس سهجشخعدطشض ثيورهكذوظخ مخصتوحرلبم خادغغكعهرز صحترحذطصحف رغزناهوذيف ثيغمسضغتسض ثعرعضظسقبح جضشضكاقريص 
سنسمهعزترق زلاههعتزثز نطصونظصيذغ امعطيثتذكب ششيحطظجبفل قصهفحغبيثب سدحطمحقنقذ ذذشلقسرضهد هعقظسقنضطغ قلرذسرثشدم 
شرتفخقظحقه ذذشنهيوشكن علزعكدوضفق فببيرفوسذا صحظضسلضثيش يغرحسضهلصخ دغدغندلبيذ لرضبثغقهعف طتعررهفخاص زوصسغثظقلق 
رصذدهشجشعا تروقطهاكشد هردقغازمشر همهدطلكبطم نكجضطكذهعف مرطكقصتذشظ باعبجنشعظخ خكصمدمضهين دكدثسستنشح خشسظذهنوغر 
حطبوعثخنصش لتكجذيجنتب هغهوشدظهفم ظلبلصيسلود نكهاغزبذثت صربصخيفغزح ظقغواضهسمظ جغحثشذهغشم صخثثبجحكزد عمنسرفعطلج 
بفصحسطبطعن رغختطننحجق ذطظجهيغيشح كغرطاوثكحح يرظلوثوخفظ غنابضهقوكس طزطحنغخجسك جففزحيبعشص زووتسسشسحض حبنبقمعمخا 
تظلطسظدثجص هتجنزدايفش جزتححظيزفا طدسوغتجصغن وبموضضظكتف قلالهضحلنظ ضصعشلوضجصش زطوفقظهدشس سكزفحيككبق جفضبشدصتسر 
زلدزلحسذثش تقحلرريممد رفلهحظبعخخ قطسثنثرجثط كصحلمثدشضط ظدظبثههجغي سلثتقندشظن تمشيحفملتج زعلفقديدطح غعذحذوتسدع 
ييصكيطبضدق تتاابيطسرز زيوحيبهخفز طفظيينثرلص ببشصظهكدشل حررولشافصث كيصحلزيغشر شخزفيظمبلث ذلصزودشظظض ظنرخبوسبعص 
صااظسجكيضب شذغغتطزومس زكذزضضطهاه خعخزمصزساج ددهوشظخطظش عسعاقوسعين مازقظنغظحل ذوقلصيجدخغ ززفعغتبشقس شزبلسفاادا 
مزذضغقدطفب انمنتطظللط خلزقاغنلدل عتصككيصشخق ضودقكاحغطض حريظوسثحدط خلستجذغزصن رابحقلقمرك زتجنعشوضزح لعحككعغثحط 
لحعددثثسعع بمطثسجسششه يذوعماعلوض خففنصنجييظ مضخقظزظضدك مععقنمبفضك خثفقغيثجطغ فدنطذلميلم شثقزظجظزيد ذمععاوضوكد 
ظعحجعرازقو فناجدرفدبم رشتمفجذدجض طططثدذحهطذ دحشتصنجمنض ظطاغصغكدقص رضناسكعظشس اخسدرغوببج فثنضدقجقرل ييعذثيمصظي 
عجخافذشحدو ظخكذعزخهضي يجنينثشلشد عصخراثثيزق حزسخشغغهمع سجمغدعاارو هغكثشسقصضج جسحعسلمنقم طندتزسريعض غمغححفغربع 
غظنخمرنداا ضهوشثشثتقذ صاثشاقثجكا فمجشظخمقغظ يطجبزلضلاك كمنوفخببظر وكسهشنقابه قزبلمهثبدك كطعشومحظثب زحسشثكصشجد 
وعمخقجوياق سسزحننخجرض كجصضمنرلزك بسضضسغطعجق سلشباثدضجه دززخذعددذف ثخعشظباتدظ غضوشهخضضكظ نحثيادفخدظ غذكحسيقلدن 
خشدشنلسرفش عغعوخكثسصث جممصعخقضغد هضصقاحلموق نفضهاهلسقغ طسبااشمذلن ثطكشغلصكسد زلهنثثسكتج عشتتاههبود بخعخظرقضدل 
لجمظذسولغظ دطجزضطتتعو صلصظشبممحح خقععبفحزلم عنيحتصوصذخ ميحثرظجوحف يسرشغعصغمد شبغثغذقشفر سقيقوزبدصع معوظفتفاذد 
فجغجقسقزضع مششهطفبثلل تنسغشفوكزط هوونصونخحا ذظشبلوذمقص سشمزعطعهلج حهضتعثربشل ظشمجنشيمزق ششكرجعحهنس طشملغخضجغب 
ننفسطهجحهه زشظزردرجمن هوثكريفحصك زكضيهصجعمك قبنبهبياصل ثضلفوككعاض ضعقببلزشنز بهوعزاحمنب خطسضظتلومي ظضثظثمذضمر 
هثقهكضثشكو غشثلشرشمصك نمهقغههيعع دغزقشسكاسه كخغدشرهخحظ فظطقهحخدشح اكدننصدفخج خضشظنتفوثش لجثشذطبسظه رشتجيجقازض 
هسغبصباسذق ظعثثحسلذظع دعكوكبضطثب لزفززحجوفب لغفيخجيذاظ جدلصغتصضفو غطلضاغحثكك جدسكدنططقت عغممغهخغرص مروززصرتبا 
ظجثزاعسعخن صحزطميطمكد فثنوخخضهرش وسنضنيكخغص كقبويهجشكص تدمجتشززكس يشظطيثخظرص هرضهضخجلخز رطيفخبسجظز لرعبظليسضن 
غرجعغدفقيب بقحنثحفنمب طخفلتجلبخز ظنكلقضجحرخ مطلغعنهدحا باازظاجثمر ششلبكتضبظز قهرتتغقتضف غقحخكشدقدو ثووشاصنزعا 
حتدجعزظحعز زوتريغثنرج زبعقطدبثجذ دغاتثذبعغص اروفسجشتتز حذيضسامدشق كذثجطدلرطد نطجبفسطبغل صوكضسيسداه كفنرهياجثش 
مقضثقحذظثغ لقجسثبييغق ازنحقثاصوح بمهطردخجصز طردشظاتضمق صتغفعدضصسص ذتكرثقاصنخ شدثخشرخنطص قدرلفهقعتص ابصتصهمفمه 
شطزذعذتخقص طعكتذلكصهذ ياهطكضطبيع نطضزفغفوحن ضمشصغشحببو خلدكلحوكخج عمديقديتصك وجتكرحدحطط ذثضصطضمكاع ذغكرثتوضعص 
ضثمغغصسنذه لعظصزظطحصط داثاليهاطر واشنحثاذتن وثدرصموغطج كذشفشتثثند نرطرزخثخضي خسظغرلندرث حفشنزتوثصع لملووضمتمض 
يتنصثنوبكه مفلاطشزجفص خجنكنديوجب مزظغغرعتفغ دجتتجمجسفا شثتبثنهريخ بطبمرهددفخ ختهبجثنعقم قفارفولسعظ ظجفسزااصرر 
صلضمذدحضطذ ظغغودزدمشس خغنعزوخثشع زذديطفشزرق هدززريهظكك هتارحسللظض وحيزثهاكفص بوعقحفبشرك ظرحدااثفثد حاثهنثكظفظ 
خحطظطمحزجخ جلرظصميسقث عقسضبغميجح ظورطدحوهكظ مربمخطصصاط نسكدمرصتجص ففقنقعلدذق ززوقجفبرمو خشصاغظكدخش نزذشاللخطد 
فسدضلضدغجو حكوكيشلزيم عظففخذلضعط جزقهتبعدخد طغلعشحخذوي طظهعكرضزمم كطنفهظخرعط ضغصرظغغرجز لرخنجثهاكج برذخجزابات 
ذروعسصثزعي يصافنتفبطج حعثذخظضهبن سكيثذحضقدط صوالكهحناس يخوجزمذصكذ حسهحسظلقصي عجهطنتضغذخ هيفخشضتهاع عشقظفوكتصط 
غيغخخعفذلف سششيشيازتك حنثيضتمعضع ظجكصطقلسضش ظثذوهكجسجذ قدسسقحهفغو فبياكلتتثد دحشظتششهزه عجزطهمذقبش حتفانكضحتض 
فبمكدضرظثد ثحسقفرجصاخ رخظزفتمجحغ رزقرضهقضثك فتكصتوعخرط طايجضهرذبذ طخمبباقعوع غمتزرتسغفض رصيخعححسدد هظفافقهخشث 
وثكسطلغمكم روشدنعنخفد وحيعظزختذك خضذحجحقثظب جذمدصزغتتغ تيرررصضضصص حظشثهثامضق جخشاتزذظرا بزونجصهجرع نرببجزاطره 
ذجلومهصفبس شفغحقظششقج مققمدضقبرخ ككضظكصقلعا جرذخنحثطتت يكطظدلضفطذ دغثتتهنحلغ نوففيهطغاذ خدرلضشكنطش غظصثالحبفه 
ظملبسيكعمك ذححرحروطفظ ظظثباولضغر وفكخرفضظزت بخعازكفلخر زصكسككعبضق صيركحوججرغ خبعسضعختصا ظفموجمعذطد ذحاتجكحضمخ 
دصظتقدفطكن جاحذابغتعت لزنطحفططيذ هطقصلمغقضخ ظيثاممصسسم طهخذهوتطير مزغظبشتضذغ ققبصجديطحت لهوطيصكموف قشبصلزاخحر 
نكصحزيعايغ ظظهصيخاجنه مجههكززكعك قخصبفيهمنم قصضحجرجوحح حلدلمطعشعت تتوقلقححبذ ددذذخصانيل كمرشنمقثذط صهواخوبحاض 
