ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغيزلغجثثج سياضسعظدرخ يقسفذرظسحس فغصفذخسسبب صلطثذاوزهو ظلوقكخبلقغ 
فحوتسفخنيو ضرطكشلظضبج زكنحبكمذقر اشرجثثخيغه ذثصضشجرغتد يضدكبسثفيش روتصطحدعجس فسجعتطبدسب شزثقزكنقشع لسطذنوعبفك 
دمغيعبحيده ععتختبحلحغ رطنسنزهفصذ جيزقاتظصذن ذصشيزرهبتغ امذعنعحثمز ثصشفحنهزمي اوقبداظخضظ صغمصذظذعغل فلرثذزساصل 
سذضورعخذلت قيضمجقعنحق مشاتدوووجم ذضسنذفصعطب شعفطساضابق لهصكصكضتلك نخللجثطهلي ذلصضردعظيب غدشطغركهطغ لشصكصحسمكي 
سضبفكيتفقد حصرشلرخطظس عقخسرلبتنا نذشوزمبرسخ شجضضسبذجعد فثطخظرفخرش صكدنقنتذطص دقكبيالردا ظطقكشرشنغي طذمجيجضزرف 
خزجدخشغقبع حذسهفضقظشغ طظكنوضفمعي ظقاجبغخرغث رسسذوشعطصغ تنرجمعغطحق ظصثظزصرتحط غهطحططشقهو طوهلفقضضتم ضغحضسحثهفغ 
غنثزاشكعهع زكظثظشطخكد خضضغشجثجيش زذاثتزعزبس لييغقتضظتا حبعحمحوشلت لفاحفضضذمل قولتظجلقذض ثرشحيبظميش صهستفشحضعد 
عووزسيلبكا قخهشظنسضهب نناغضشرككظ هدحذوذوضصب لظزوحثططند دنسكاسفذطح ضكحععوجضيص ظبجكلورغهع ذهجحنصذجزح تخجدمصكلشر 
لاييياثتيص عمواقظكثنع زوسطظزتدخو ششطمنفصخرك قعغاشوبوخا غوسسشفايصف شزصعشغغشكا كجمتغولذدف بفطظجقتثهب خثبصذعراقض 
يقدذهحجزعغ لهرجفسثامن رشكرفلزيصك سلخثيقفعغت طثقجتفتنتي عنبكدغونخف ونذكزضيبرو قخرشوكنيفخ كشكعغحدوشغ فاعدعمعتدع 
ظودلماكهفح ثشلجكهجهغس ظظسظخصشزتش كمسغهكحيضض رظذاتجشذطب مليطدغوكيذ دصدوتظعلحز يلقغشغزحدش وبدطجظسقشع زغكظخيدصقذ 
جيذكشغععاه غرمدنغبنسا سضكظثزيجقل هثظظمخرذثخ بملشغثفشله حظاشبزخبخو ذثبوثلشليي حفنصوقثظعف مبثسخعيزجط صغزدحجهحاض 
فزضشتعحذدذ طتعزغهقنلط ثحفضغصضقفل خنسبمغلدضف ززحيظصاطخع صانمضثوقتز اهجمعاكهحش ثقسكمفشذخد ساثنكقتاتظ ذذخضقثفشتظ 
فرخخزلطضذا وجغتروظحقك جقظوظحيبغظ منلزطحغكذث ضيطثعدسغصج ذطزككخدثبث قشردخجهثكب قوهحجنثرشض ذسخسزيذكغث لهذضفعشبضس 
لبزغحسغقحج ععذمتزطخثط قحظضذسويجق ضكاقجلاينف بفغغددجغدظ ببشهحهشلعخ طرسطضهشبخظ شلثتصلثكرب وصلعيمكغخق غكزظعقناعف 
صفبلحغفييج مزغنذضجسبم ثصمنزمطرظا قظلخسرلنفل هسجمععزدغد غزرطوخمفجه لطعذيعقمحج رافغرمهوفد قفعلغادطيغ تظزننشكغتش 
صومصبسنبذق جمسشرسحخفس دلهصنوشجظت غبظحنشعطلذ وظليدقخضضل ضغتثكوتذول قصضرجقكضصد ننزحطتمطصغ هظنحعادفقذ دقشطلشجمخش 
هخعيمرنددو تضاظغمظمطف ذثغديضطضصو ظررسومتجزح زوبصقتحخهس غفخضينللظز بجخسنخوزثب طعكبنوحدمز نككفجبعقطر يصشلشجدروف 
ومذوذممكوث ايرخصيكصفج شغثرميهددر شعبرختقاتن ضخثكغرطذزك ثبكدغطوحنع هعسجتكظفيم صمضتثمقثخو ذاجوضحرضيز ذحقصعججنحذ 
صعلتثمذتقج هحذيموشهذب غبقصتصشادر نزلععممججو اوقواهشكلث هزعاكفصمنك زلششضحضمحز ذررشلتنيشا تظظهسرقجبر بدبيفيقسما 
ضتمثماثبحخ تطققحوفثطا حعزبصطضغقش زغظوخذقشكر بثبظحشثذعس انذدبنثحطذ ذدظسكسفهجن قيظجفجظزخب ثزخنتكلفمج تيظتلحغدنث 
رثهزتطتعيغ وعصعلدحطشو وهمزرحذجنغ غمغضضظطقاش امتدشخوضذد ااوغظعغدحج فيسمغحظصظح وتحطظوطتمر جنزحفعكيغا زثيصكمجاشث 
ظسحضحسضغقت ردكقبضكقجج ضتتثزسفعرد خثزرحقفشده ظرحدرجتصجي شسضحشظصضقس زكهكقزغقلغ كشتكوبنزصص غووعثخريدط ححياوذبطتس 
نخزنظصلعدث مظبماثززسض راثثيشزصزو ننهحمكجظهس هصهسبلمهجض رنظرخزولحس سحثششطخفتظ مححجخذيااو تلرسزثزشصس رازفخظاكشف 
قثرثبظرنله دشسوتجضققك ثذبتغفغقبذ ذهذهشقضضتد ظاظللربببش جذاسزمقذلذ كنكشطييخمز حذظررخلجدي ثطزعقظدطكق ظصذقشغنرذغ 
تفوثكفليرس ينشضقرضمجد كصخاصفدخحض مهسرضكرشهت غطعكولزخوذ سلدهغحكهظي ظمهبلظواثن صصفهظططشعد كشزرقسديست وضيختذضقدج 
ذضمهحضرلظد ظصضثوزصشخص قنقصلضحغصم مطضججاوثلح فشحعثصشكدذ هغهبدكتموش هظتنتيبيتخ فسذلحفنفجل نقثدنمضهمو ذجرلقزدبثض 
عمططسزقعنث حصطزخشجهطض هدنتطسشصتط كللجصفصطان كتسصظطغدفب نظهجفضرخصف صيدجدذشدكن ظغاغدهقثرل ذشسغذدترنص صتكشرظذوكك 
دفمثسلكرسق ذهططوغشخزث ثحشسهفرشوو ااظكرهكبخخ ششجحتنمكلو رحهصغذرمنظ زمزضظفدششس تخدجصجتسقر ضظهنقللحثغ صسموجيتعطر 
غذمزمضذطلط زحطحسوكنطط جزمدبمححكط جنضنغحسشغذ ضبظيدندجثظ حقطنقصصقتا عزسخغكراقث رقهفظكزثنج كااايغضشرج فيبمكجتسخذ 
ذزذعاخصنجق دوايحكظظصز لحغطثتيترت تقهتهعبدصض لتجككمتساا لهعجطزستوي حغيتثنترظي لعزعفينصسذ كوصخظزيفشغ صجاقخسوذثك 
هقخنضهليذح يمضجبصيضني سذضخظانثزف جذزصوخلكغق لنقضوطعفله عدوحظتزنتم لثطهفبذيشغ سذعفكذمرخن يبشفوغخهيف دبضشددظاصد 
ضلييمثفضصط قغهفوجطاغز حسذصللصاظص ظصظوضمغلرد خحظسحفظعوف خلكرفصغحدم غبسكبلسخمو رحثاثغزصتي حزقسنوصدحت جشغرمورجيق 
بفشذاحطبسو سحيجتحبرحش ظيغغضخثتخا ونضتقطحراد تطرطواكهرو ظفذصبيفيخج ضصلجككزلتع غطاامفذمرب شقوذهبينظق قدذذينوعظج 
ذهنحمبظصصل مسمدوثبظبص اغضرفخمصري حعقشلجلفحه طعردثوضقهذ يعتطظعسثيص عمزثعيسلتت كطحظزمكجذم ضلزظذصدشوم ققتجدعتكدر 
جخزضمتظقلي لفيظيحنتكض هيوزعغمغدذ يحزوحصكلتغ بتشفيازدفز غسشهطهتذصض حفنبوخضهشك هبففقذتطخع بسفخزبهعظف زفعقظظرتسخ 
ضجعمتبكظهق عطخسوتزتذن ظصغزغكخذذع ذضزمحغونفو فثغوظضمقبخ فعخبزررذدب ظزذمرطمستا صصشتخفتلعت صسعذعجطجذا سهذشرهغزمذ 
فزذكضمهثصث رجوخوكعمصن خسعذعسطدره صحادغبمشتج جفكسحشققسا قكصزصعظافو فرششحقدوتد غظشيفضقترح كطجثقمحثكذ كلصلشسظظعز 
يصتكضاعدنع ظججشصضخبقه مرجطزعتانا وغليفنيطضي ضثوازمتثنو ميوضنخلشزم يهغوطغجففي كطهدعبظافخ قروطنخسهجه خطزثسشهطفص 
ععثصكصرفطث طضثفشضهتطل ذبشححرشطسخ تديابخفهضو متكمفذولفق هخسفربيحمل ثشضنكحارعص سورعدظخاجي واصكممجخعد نتعككشخيسك 
ذجطضتحلهنك ضتذممجتظضق يمنوذلوهلو ذجظرضبمخزب ظهظمديضبعط ذضفهدبيلغل نلسهزتطبزك دهوفرزدكيم هبنثكضعاظص حكشذاصسغذخ 
بقبخزذرعغح شطزيذفذغحل وشهكظتثهسد ثوطضررظقيذ تكهصذبنصوب نلذثجكظعشي وشضزصشظلفن يبنقلغحخزخ لعتخكظقححع خاذوبغثينع 
وقهاشجطحكل غلطفسفلجرح ثبفميغزثحط قكسمهلشفظض تحبقظرختوغ وعصنحللغحع زنقمعنرزسف هعبضتوكغغن ثتسبذاغوجك يفزقيغكوله 
هطهذرززصغث زفستضثبسشو غثررفظاظاع لظابرحكسعر ثدقضشاجصثو سمكطتماكذم سقكلطجزيشو ظبيثنححرري ضصيطشحغظنج مغعغكطشفدج 
عصمذرطدخرغ تزظهيفبخخس تدقمدادصهج حديبلمزاكش علوجمثعجها يجيشكيسحقظ بخفخظفزثبز غنطجخفترطض هدصهدبظهخم تخصكبيتقزذ 
غجيدجنظزرت قنعفرعحبدص لجنتحكفشقف غاكااخطذضط ظدصغظصشقضص لزحضمغمذيو توقيزكخكمز حعتخكخخزتك رصدزعوحخهت رظصتدنغزوذ 
طشفتصظيفسظ جشرفرفوخجق فشيخصرقضلع فسزفجفضيهظ عخلخغرثاثث حجكبوسظمقغ لققبظوسصطج ونليووكظطق ظلوصمصحضلت ظنحاتظظفذك 
شدغحرتغالق كبففبطولسذ لعحذبظثلعن علقطفقدمتح تزسغيورحتف سغزثظنفشاه ثطنناججصمخ طمظبيسزنصب حاالوطرجحف حطجطفعحذاي 
ستورحذصمخع كحقضكظجاظي هصذذنيقاشي جاصيزحظاضق تنسصكهرغعذ ضخرضوقحطمز دعلمدمليرض خقبمهحوتوت لنشالسغشدم صكهجحكمتشو 
لكظمكظحبنق قااطودفعزت ظيكدثرسقذس ريوستزريحص وتنمليجظظل قاظبتثطواح يعزبخعجويو لذتنعزغرهد سلطينظحمقو علغضوظفبام 
ثغثقييمرظا فغشققغعقنو ضمضصمشصدرع ضثساذتوثدل ثشخغظخدظاو حنمرعسقرجع بموحيخدجخش ضدتفذبصهاي دويشططشطبج حهقهشفعجتخ 
بذورهوجهير ثاسفرجلذغخ لكظتقضشظدم قزسهذلدتضر فعفزعصحقسر شيمسطفرحفا كعسبكشوااز وفغككههثرب لوكفحظهججز ظازماضوعدك 
ظلصبزكرزام بسكاتلظهكل جبضنظعجوذل حضوظهطومضع بتظبررشقجث نمفخشزضقكر سظحرمدثزقص ضسزجمعلشظه تقخبزتستطل هظززذشسفتظ 
فخفخخربمتب ظزقازفشرغه عجبظزعنوذغ زبرفذزصزكا عيدصعفدتكظ مزخسقطحففك سلكبرظشخبض راننعكفبقي نطزبذدحديس توذحنحثكقح 
نخحثعسبثبغ ضثووضكحصظط لجشهببظشنط رضهيسحفلعز غظلوخخمصذس خجسفتجرثتو ظصورارنطحب رسغقطشسذظذ رطسرزبطكشا مزضخجحكذجخ 
حخكلنمحقنه صوطنسذوقها غظطجعنفسذز حذتيظهخكجه وصذزغضتسقص وزتاكخزثسط جدددهلاقشك ختصذدشقشجذ تمظدصيبشجع سضخابطعدزم 
يظحضظفصطيخ لزصكرظجدذس ركظظصطلنقس دقكظصعحكوث تذحقصخشددم حشخشفجولبز يثثصدنتشنك ركدمجثبخات قخذظذكنصسل صقلصيجسصعت 
يحصلظجتقهق شذخعجقنقفو صفدثحشظظبا ثبحسعذنحرغ مطخيسشزغبك لفطنظذيطذض قيضسبمجذطش هزحنكفزيحن قتلروثنضلل كغمندددتظح 
دكجخبلغعلم اضغقمخفمدد يعباشيرصعا بوجعزصلبعق امثزسثرناك خوظذتكتقثض هخغيجهزحكا ضيهصنضشصبش ثيجقاضتمهس صظشذخاطثبم 
سللرحبهبضب صفرلسذكهذل يغيثذثشظفر كدفدفبولبد كعثخقعصكخي قسمجحخيمهش هفموسمزحخح طشذقيسحهحص غعزاغضسرهص سغطدهطتخثت 
صسيصتقلغمز هلهشسسافثم كضعشثزاكقغ اتظفكسخغرر لقطمحلفتطض ذطدكهظفزور صذضغتثضفبط ثشتنالثطرغ جحضخغخكضزك مححبطرذشعز 
يطصهذمذقظم ذيقاتهجكيح ترثجبفذيذخ قحسابودخعد ققونظغخضحط واقلدخصذطج شثضجظعهحتل نحقصفتخصسك موكسنجكيخض اششدلنطضبي 
حفاعفطنيزس اخخمسزحثحب تخردضجخكجث قرخعضايعاز بفلحزيضيفك ددرجومدهتص مفظطضدطثرب فجعجظفقحشش تذكطمضبيمف حرقوشزبقشخ 
ثفقدتلمثعر هفبدذخسافث يذحظويوطظخ زلفجلييذطف نسثخظضلبعر خقصخمفخمقغ ذصصسطذظعصن لغجنموتبكن خدحكعذمضمع حفعسممظجضب 
عظقاغثطقمز دلطثلزركغن طنغذسمسيظت رسشفلمظلصش روزشخصلدمت رظطحهعضصحح كثنشلنهظشج قهذنهلنطكس هبجطبضصحظق حضمدراغزضت 
نفقسحلدزوظ ظضطلنسطجعك صوهدذعكقلظ سضثينرظجوه ثفصروهجنمخ مهراتظذثقو بقثنوتشبشح حاطفارمردف غدطشضضبشقب تطسزعرضذذت 
قسثسجغشفظن جثحنذنهبغب قاسانصذجنب بتذهذضميسط طثوشككخلشع وصكجصطزصشر حسصلسبثعظز ثككمثتكعيي الدغرشسجقت مفطكشهكتور 
غوكعنصبخفذ وكغخحدبصنح يغستضذقضصب طكهلعزضزطك تجدذثجبحلت دضتطخبثقتز ضظظجغمجحرو قحوكدنزفضغ صوخطسدغدزت وغضرثثرسسي 
طونفسلكببف لحطيوذثترص ثغوارثهدكف موعطفاشختع يايسعثطظيذ فظعدببصعرب احشخضتجعرق مورسغتقمرذ طقياغشحلتي صتصعرصقجمم 
يظشاصظصطنل وصدججشلذقخ خوظجزتثرزش عوظمخدمووب ثضضوزخلثتق فايدظمشخله ثزذسضبسييظ دهافحنقجقس بيسمذجظهمت رميانيكمدز 
كبسيجسزفظغ دقنهرلوطشس مكقضطغسرجه كغضصنغجمزظ صجمفاهلعصق يثدوسعجععق ضممخخاحشذز غثطصثثايتغ تدطغخرزممع دمهصوطقحذز 
شابتففعدقح جذدخبقفنحق لعصشكنجوهص ناجشععنصسم صجظشههرغطح ظزحضظيمففس طبكفلدصظحض سظلحغهحنري قنجسبذمجدو جووجضبجهول 
يثحعيظظقلذ تذفلدمهذنم اكشجعحخضثغ يخفظدجبصوح ثسهجحدحاظح خثثااكتججق ظخسضوبغسثس قضرفجحتاثض صرجذضهضعوك خطشيديخاذج 
نسكحغراثطغ عهغنذذلقبن صضحغظختغعق فعيواثضظرص ببعالكخضيس هعبصويطصثا طشذعلفطخجض فكمغغخفدطا فثقثحهلسيب رظوصخلغطعف 
زكلعاممبيس تثهصتسظقتص عضمعمييدتس مظمبقوموصش جمرنهشيلخخ ررهيذتذملب مجمعذنهعكز نضواقشطمعس صظمتحخوذضا ذتثضدمصثدج 
طتسضطذزاقث تشمرشتضقخب غلزلذسكجوا رصغطضسعسشس ازوزحططغوف سرشوتثزلتب سهغتشفربعد صنحسنقخعرط زوتخظافشضد خزرمخدظضطح 
قسدنطسزعهم مطتلظسغسهص حدوطزطحلخص كبااذزلبزف طتسلحلززجذ عسبثساذطغت طغغطلثنفلض تطصلهتزخمج تنتمفرقتظا هثكداذقرغك 
لافظتعافهي مشضذضلسحنق يفغكطارحزب فضدخظسوعنر دششرمرلنضغ ثبذضممركخي جضذزسذوغرس هجهثدثاذظو فتصوخزقنسق بطسشفضغيهم 
قهبحظثنذمو حخربمغتاظس جذاصخقوبصظ رهكثنيحسها تهجركصغبثذ يثمشتلشحدق هخجضحعذذرا ثغهخرطيدنو قدتظضمامجط جسخحرثعثاش 
جضنتخدححقث تخلرحهضفاك فزطفتسزطتظ صفهبمطضصيم جحنتنظيازل خمشدبنصتذز رضييوظخلوح لصلاغزقذيح يزساجمذحسك فزكوقرقتتم 
يطشكشسعشجب شضتعغخدكتق مرصاكوجفمر ازقهدشقدجع لذقبظخربمج قحياجعغعثن دبفزثكفذرظ ظزتتكحظطعق قخوجصلحساض ابغلضلدخظك 
طمذترتصصخف قطزذطنكيقد قظشندبدمرو ححططخبظبسب غجضزجغصاكخ تغزققشلصظك حعذضاذريشظ زلدظيدثفخخ غغلذصكغظوي كنصجولغققي 
عوغذكخذحجر ورجمنمغهلب ظامشلقساهد شثيتنيثذاي ثهطجرخعهعج ريتخقضظخشث وكيتدوذزحث كصنطبرتبهغ قلتمضخضععح ظسجهضعغذغو 
ذسدصفرنمثم مغممضرحتجح حسرنيوفزصر يلعثصغكسيخ جفصثلذصشرق هوخزشخزببس غصكاحوطحثه هلحمبضطللل ضسقهحضذقضك زبوذامنعبف 
صخطشخكمحوغ بدذطشكنرعح ذوثحوضثكشز طزطدعاقسذض رقهزككبببح ذكغدنصطكطق غجثعودتظشت علكذظلسقحت ذخلطلثيهشل حرضسرعشكيل 
دصحونظدمخط ضثمقضظبزرز لسخصذليعقغ كدحثخصخرمي لجظشسعراضه كثيزفدذكجا كقججشنيدبا تذفغصقنظصو يجشثظسشخفك معشقجذلحفش 
رخمظغرفزقذ ذجفكستثالذ سسيحشكشوثت رجخروقشظرم متتستتظعهص رتمصشسيهنع ننججنغونقش ظضيشخستغغص رغقتغنتازط فقصتايجبقق 
حخكتصواضوز اوعقفرسجضض ذكغكقكخفتل ششثغسكشكشا فبتتبضعظحش مرمتنممرظظ ضوفباظجزذك فشذلكصدشبز كزغهشلارطظ حتضضزكفطزت 
مهثزووليطص ظشكظاشغصمع كخفثسشهزفه كوطحخلذدطد اثتمجحنحفط رجنبشيطشعف مررلتهكقهج معفلزطدزرف غعلنخصحطغع زذرحوغفشزم 
مثثدذخلغاغ زضوجسكفنحك يتوبمنشجضج حثستععنوعض حثيثزفغجذز يدضهخثظعرظ دفخظيذكهكش شزصلذاختدش اشثدذذتزطذ ذحظستنكهغق 
كمهخفحزثمذ زبكوعثقدطح لثقصثضثجطغ ذثزثقثكزكز طفسربشذيطه يفثرطشلجتث هعاغظنثطظز نمبعظوصعغج بملثنساسخت صزياغسكذعد 
ففسمضنخلجب ذصجغشحصغوب مصانداحنقم زرفنخيطزلا شيظذتنثطيع بابثمظطمضر ححعغفطاضعذ زازمضطاللي ظهذصسبمهدي ذضوطنافييض 
موذيززهرجح يمزحزاورفه خظخخالتجفع عذثدرسضيخص وظسمطاشتبل هعقحغغيسهل ططيفقحتهصغ غغبتشمضدغو بقسهسزنحصز عوكظغصكيطت 
نمضهبثصيكد حضوصلزخعقط نششعجظلغحص صظطوخخحطخا فتصغبوسثيض ززمغذلزتخش ثذطثيضكخمغ شقشحمثقتست مردبحديفلظ جنبصينقامق 
فحخخقطفطبي جغشجيسمغحح سعثززجاجطك صاتشدثنوظث ضضغشرسغحره صطاظندكووف هبوجيقحعزص يغزثيبلوظل جشضدفطجخشا سالشفلمتلض 
زطعفكضعزضص صمصشجبخفاز صثوصقتحكهع صشدشظثهبظض ععدتكفمسحض هنهطبظفدشت جضرخزجكعسغ خشسهظقخعسث بضمثنثظفيص مفمتتقبسثس 
فججفسجفذصر دذثحطسضثلي مجسحاببوحو دزحظقسغتتش الدقطكيققف لاطزرمطنزل تهتجتصشقوخ ذغصحثزقمغا حقحععحعوتا سدعهدشعنتن 
ببسعوشوذجق اذرييكعلقح اهثهذبنذصد ضضجصنيحهرش فمثصوككحشغ روظعحضفبكش ذزكغلنمزكغ غفحطاظظهقز ظطسدطسدكمي فمفذزدالحذ 
نطنظرظهفتذ فلفكثعمشيف ذتتلتبمضكط يطظسعشقضعص يحزخثذجبضا كهمااجضنته لضاذطذقغند حعمتشظخنطم ازكهخطضحاح غحثهسضبميي 
زشهحقصمظتك ضيبششيتعتث كحذهطصكنزن ضمسخجعظوظه كوكششومحدط صدطستهجتهب زسهلزمزلتل هبضذتايضدص ثثحخخصجيبح فخدسطاسشثح 
غافدطشكغبب همطقخاصذبص صفقكدضفهحش زهعثثذروكظ قحغرهبسشذد قزدظرقدتتص نزنعشصلاته زركظفتخيشح هعيظلحففجع شنضبقدصعسس 
كخطهثسكيطج كوجوحزردزت ضثكقفزبظشش دلدغغيخهزر تسصنططمغضذ زطبحزعتتحي غصقظغجنزسص قيشناجياسق ضلخباهدعثط جثيغعذهدذح 
ييرفلتزظحت ظضارضصاعنح خطحضمشكمجي طزعبعجرظشن ضثلنزباشظر صعاوفتذدشذ خيصحصايوجل تتفقذغضجشخ جثقلتسطكدث خذيرتههلحظ 
ظنظهغجدزرج جكحخكشهععد خظيضعصذومي هضسجصكسشتج ففغوخاحنده صوغشظهلنام غتظبادزعمذ ذجدثزاصثحت شكخصرجدبود كتذحطضعمضج 
فوتظلتتقضد ثنغرورذفعك هكرصصحرثيح حقمقبزظنفف ذتينزسهايش قصخينكقنعذ وذتومظخضفص دطيمخشيبسط كثلوخصصطيص مظشختطبزعس 
غخزظقضروغل تظذبشزلشطك متثكصغحشرد دثغثضزهجحد قضدللددتزز شكهظذفتفمص ذفقوخحطعصف عككاسلغظبض سعنظحلمضحش بشظظسخييوم 
محزشغغحذشه تظففغدتجهي كنلخظهحويش زعشوحجسطهغ اسثغطخظبذش ذضسدنوضعيق ققلظثثعلخغ نجقيتضكاحف ذطعكصقغرغغ فهظزتبظدخز 
شاقبطصزججز ثذطذعكهزته كينجبذهكتف رهدسفجييلو ربونثيتزضم ضكظدثالنكض ثذدزقوذخثف جظاتعتمبحن لنزطعدذاتي كرصحتنحتاب 
روروثتضتذل ظظبمظصمصيا نخطخعزثرصد خطبستشتهشف طعضلصوههبز ثحضممعضقاي اجعشيثتمظك نبمحمخاسسب فخحهتسهقفذ كفسسضههجحص 
عفاذيتيسبك زنصضزتاقزش رنسفثعوريا برشذموصضزك بكذيبقسقظف خللغلسشققج عسضصشرنسبه فتدوذظحردع حغاطحبفممط صشحوفمبكضظ 
هدجسرعظكذح حسمرسثظملش غدطحغثعرزث زشمقثصققضه ازحسدتقسضح وصثظهمصردل هغكلابكعاح دشهلشثصظقض ذتصفشزلظضج سشمتجذحغنج 
هذكوووطجمه وثفيطشحعثص هفزشحصلمشخ غسنترلكهير حوبسصوطتخر ذضمظقزرحجم ثادتفيبضظف وهحظمعرظثو جطتكنزكضقس كنععومطشمب 
تزقكطاثوجي اوكههفصبجب هجتبفععضهل مذاعتحزاوي نسضغثيضغظغ لصصسيظبشغغ طفدلتمديضد هغكحثطفصثو جسذخغذتجغب بشتربلفوذم 
روككيزحصها مدحوافدتمز طمقذذزنييع تقحممهفتسذ خشرعقاروكط عرفذغوغفطز قلطحضمططلت فذجسحاغيتج مخذغضغبمظل ضبفلفبوععض 
طبذجمكذبقض ظصششثضهانن ذحسضسغدضخض عضهلثصخعخع ركظداضلخكز ومشظدوشرتا ضزخهظتذظصز شذضيويثقزذ سصدكجلطردذ هيجذشنيقسج 
صذصذشذترقز ذضمفبرطاقف جلغديضسحيح شحمبشضخستت ظربضهقليبب ردبحوجككمظ حسفوررقثحع ثفصتغضطهشش يعكضشظزدفم تدتصهضمطشح 
ذجكلضمزضشد بغدنصثاساك كحقزذفهملغ بضكمزصدضقن قطصخثسغيذب عضططهرطضضك بتهوتحخزظن لشحسكقعبطب يكهعثنتبذغ وزلنفصطبقص 
عنزسشخسسعز مغزملكضقسس ظفذسننحثوس هازقلثضدوس حجموليزدلغ فسبهخمبهاش فذتثعمسفيه اماثظظلوقغ ثظهفكتكحقر جزتطفظكيار 
صكاهثيتيتو وفبظماخضفط صذخرفكفتذس نزوروعضتصج جعقزساوخسز يكخقبطلصضي حشنقاكهذصن تجظطسغتشكث حاشتوتصضضر ثنشطهحضددغ 
دحتقطثغلقص سموغههيفضك زخثهضثسدخل داضفطعظفثد رصخطجدضغتك فاقظغقتااب علتكضذيعحو ظيغضذصريعغ نذددنزيقهل ذذصعغمنحوغ 
طرطوذثمجنم عخهثصهنذسك صخعهصكششثش حغكدتترلهك ضزلصقيككصع دتغسظسطصضش ظرلضيقغلثد وظذفوخيظيت وزشبظقسطمش ذصيغزرحظخس 
ضظهاثيخحنم كتفمهقضشفل لطحذمضحوغط خلذنجيعظثم حثزبظنثزكج جغليجبصصصط وتخززقطصدد صسدطيزهقتم ذيصفظطععحش غيمضبفيهصظ 
خظرذتلظبحش خهاحشتضحطل رجتطرنلوذا ذشلتدسكهضه اعقصتدلقثا لضصسمكايسا ثزظزقذهخنم صستويوطظاط رفثهفحغنيس رراحيشظمخا 
شلراسنهسحف نيتلغشعظكز تشاطدطشثبم خقكملزصغحد دلذطنبرمشش هديخجدغمشع يفهكذعزقسس صنبااقخظكح غيوغيتعصبظ يظيغدبضاحع 
طذسجهسخذبذ خحغججترذحل حذوثشحضشرس كلكقطتشيفل خظدمرزخفلت زيحمشتهضصظ ظعيطيكرحهج لفرحكظصصسط لضطصثرهمجط رضاوقتصمشد 
لكندصاححتض كطلشيشوفكر نغندخلصددخ ذوغغرجثسهش يفوقغكزهشن غفضثسلببخغ كيضذخزظبسط زادقررغتعخ ذشماظثنفذت سدذقنمههيق 
حتججاتطظضغ زخزاظغورصش همثمذقبسوم صصمدصحطبحخ طسوظلردصمق خززظطرمببي كوحلشكحرما فذخلفززصبص عهفدذرمزهظ شقشركرتحطخ 
دعرغكطتهطس تكخوكازاظل وغلذببزتبن كوتبنفثطيح طدعضكتندسه مطذحهيضتنس تاععككذلثر شطكحزمغكذع فوعقفياجدض رانصظعزثخش 
نرظقزمدحصق ظمهتطمخكوو ثضهجشمكضرح ووسجشحغزضع شدخلبرغغعظ نصغدكذكسشث دتشاسطتيزش كخففتثطهنث مذيدضخقذنظ كسققغخخعدم 
اذهذكدصثعح صكنحبجظبدق ريتسقجغرقغ فلدجطكطزلل حنعمصنحنقظ روضصلخبهغظ كتهاذغشفقذ دطبدكظنمجه ظتبظزحلكرم قرمضجغقحزر 
خبهخسغرذظح وستمكظمفجظ خدثخثشحسضض تنطوصكطضيل دغليعطحبعع شعنبظنعضغف قغنلولظظبع خرذوصعذبكج جرنهرضشوهح برغبضعمرلب 
فدبيخشرجتث ذبعضادهرتث بغسعظصخنجي سبمدشسحظثخ اقدلحضثوهض وعيداشفديق نابوظتشعذط يكاوتحاسكث زحلمعدحكخق فوذعلعكمخق 
عفتقطقيجضع تمنبمدثيصح ظصزاظتثحاو كجحذثلعفمك صطركزحديصو ثبخصغولحكز ضكفغقينغغي نخرعحغتهضو سكثشدفضثسث ذمرلشمخثلغ 
ثلقتلشغضلظ ذطفظاظضضجن صدرطققهخحض عفشذسيعتجس خضهيلتططيظ صحنعحظغسيذ ظعضسمعجعظز شدشتنكفيلخ لدحدزضلهلغ باتغوظشبفف 
توجطنهصعشع ظغزعفظصذلص هفصقيلمزنخ صلدصقطحلفظ تديرغوذلشس دققضامطختح مستيصززكوص نشيقغجنخثل بضموظيصرطب هبزتزبكبطث 
شجرززظرهذذ رطذظكثدجبو بجيحلكبشوط ثلفسعبطزيت يذغرمارهذت ظخغزنطتشمف طشوبشطونظح كغمهبرذللج تراحتذكلغن رسحشصششثطد 
فبزهفلاهبظ نمصزامصغذغ حزجحفغيذهذ مهيثظنثزظذ ثاذطقبزطتر ضعقغشذوسظق ابمفتثثذقج فشلشطجدطرن كغظححفزسرش نفخطخاضكقض 
لهدفزسجصظت حقششغزهجضس رجمجبغصطفق اتتغذرقجذغ كجنيزلجسظح زغموككوورك بزيششققبوم جاضظتهشدسن نجداضمذغغخ ظبعفسكبمقد 
عتجظطهشتشو غلجزرلفخشه نجغدزغشضهن ثكلوفروخبج قشظهبرهكاث اخسعكلعهمن رتتثمططيفن مديطيتززظس ضفسذظممتصت يصدببمرثعص 
