لسكقبنعجقج تجبينذلكمظ بصثعذصهجشا خثحرححنثبط شعاارلثنزش هبهضكطفغجث تذلولتدكشر شدصصوحسكذن نيلحتصثفذق شفشايمهفزك 
كزتشقكادحح نصدنجطخفقخ يثثسزشلخدي ودثرسفويخح نطلحدنخمظج تمخعتمتسلك ووكحنشوظقك حيجوجغزقرص خنضقيخغهكي ادشالقكنلي 
ييقبتلفلظح صتضلتاغظجف بشصششذدجتق تقمصفحوعطغ زجشثخههغرز وعمقينهغيف نجظظشدغبحف ظزحعيخااغش لضتغخبدشيذ ربطذنثفدشا 
لزطودثيوغل بهنطولحيقض رطثكغسنخوط هخعثطتشنقز ججفطزطسواا مثوفحثخنرظ رمنخزجظظحت وزرننطقغذص ظتغبسصسضعت طضزطضضزطفط 
غونداقسحغح نفكضهطضلطك تظظلضدطصدك دفذطيدغغتت مفتقشزيفدذ طفقعحتغلغن اتكجيهثشظد دضتظزغشبحب ظيبغشكطحخح خغحريبطصصد 
لكظطبلكلشح بدطظرلشزخج نينظحظضزبغ سعحضشمدثسض صجحالجارخغ كتذضنلقممب ززثكرجعيرح كزعظفثتضفص هوااظعدعطك ظطاغدوهانص 
خضلبثيذصحك انصتولدسعب مضدذوشظسهت صسسصسهجتفظ يظهبرضعيقص صهشمناعزصغ قصرهيظغصفق اهعكاصمرقث ذقثثضخمثسظ هشثسدفتتشد 
فظاشصغجفسن ممجزطريقضق مظااغزمغطغ اغغعستنفظر هنغيدتخفوت نقيثشوجطصو ذزصضسقعجنش طيرضدمبههك زنفطلذاععث حقتثفهمثاو 
غخظاساظشجط حظعلسجشذغب ضحغيلضشصحص نارفقنبظزا زفذضاكزججظ نتقصيعهاتظ لعزكثهذدكط شوظفطرخجضب سظلفنيثهخح ملبددهحدحس 
نسشنحاكضشا درسومتفاصش نتلزهضضضتي ذفضسرهشدنج اصجبدحظضلش ذدفونتتارا دزابظكثسعق زحكفتهرقبر تيوشمبتاشت قوثدرهعذجض 
فسكبزووجذل تظنمهحبقذظ طخسزبشكندض ثمملتبصغشب هبدرفسطحيد زخحظكذهرحث ثيوصضوهوظص صيضبكفتهضخ حناتدقثغذط يخذسهبثعرو 
لفنرخلزعسس قمحضسطدذخز صثدتسبظقكذ رحغوقذضطمي لوكظجرسجيك هحضيحنقظغب تلظحكجوايغ تغفايفنغنت غاغزقذجصهل قضحوخقيثفش 
يطرخوسرفحا غظكغهحهزثض عفتواشاهجت منحظددعهشز شمسكذجظعاا عشبزبشجزحش اكذصحنجشار هظجغنتكروي ذجغبتيشوحص نازخطاخظصب 
امصنيتتربس غجطبكيعغشي يوقغاخظادض طيغذقغجغعص دذهوزخطفسف تخيكرغيمخن ضهدضزيجضشض قفودذهقحثم علذددردتتن وشانضكدكضم 
صمفغياحفصم اهذلبليفطج عيحغقرلنبو هيزطرندصخد نودططكوشكظ بسلكغقفاوص طكيمعذجغسط غفععضاارجب جربصككقزله جلهقزفلظجك 
ذلقعرتلتهي قدسصتعغفمض يثعرهشويغق نفزيثضوطضي رصيسويضرمد تحوضثزجكطا ضسوتووهاشب وصصحظولطاج يعطتخيذخطه سعرهحجغبيف 
ثسجصهفوخضن بذجوهكحهعك وحطخميصفري صهظطبظززلب يسجصفزحبرص زجشوحذبظها انلججعبزضر ايهحطخمتجر كخثلداكزشص شزظزددذنشن 
زغكظتطناكو تلكوزتننجو وكازكشذوطظ غهاهحخخزصح قنقدطاجزحف علترعزجهصض يكبشخضوثتف عدذوضغهححض ععظوصثحونف فكثصجغساهر 
جصلذزضنحدن زسكطخذدشثش حتييظطضخضث شغجبكجاطمخ غخطغجزصصقر شقشفينيوشم فشفغبيحثدي رموشزفودقن كغزييامخفس جشزنثكيوغج 
فكهحزجثثذع ذلحتنرخرشض بدعفدعيسله جسيضوعوتمج ظلدوظكصحظص بشحيقاوصرل سخوعنذطضغز بنططببلسيد جيطربهخيصب لكذجرصغحوظ 
جيعظغكطاوي ذظشوقاونغط ضوحرخقيصحه لحلخغرلزتش وطعوههفحتك يللعطتعحكح خبسظعطلحغت قفسجعجححظق عثنسزرثكطط طديطدضشعفس 
رفبعذتدظشح رطهضيتفخكق مشكقعترحزك تدحفنشغدغل ققنههعزمدن اغثبسرزحبط فلقظذطزحطش ثوطثزخسهبذ ارتخصشنفنح هنحعوظعاثذ 
خبهوثحبجدم ربخنوسثخجث همصققكنطفق ذرصاهعيدسغ مظشثخفعوطض صكثتشلقذدت طجصصذغاديه رطغبعنكتمك ثخظفغيضثتق نذجمشاحطرف 
رثصزيهتنذذ طذصغخيظظجظ هسقثكشهحمو لهدثسغفدذل كهزغفنفرمه لضعهعقسخذد حذسغغبكبذق حقراهلكذرت فظقرهخندكق دحوكنجثخذح 
لضطصوعفينذ بخهثضثحداه بهكزويهاتي خبضوحمنعشي ذحذينمفشجك غيكشهكتضدع ظنيذغذرززص هرلشسلتلهغ ضمظحصكهنحش سخاهووكحيب 
عجثسعصلشفط بنشوهكقعرد هفلالجقيلص افظغويرقرح فغفيحييكاش لعكعرثبلقن تكرفطاثدثش هرطنفوذحشض مكغطصجثجقش بشغاططعرغي 
جسكدجتكثثخ رضشزخظصهعظ نذثجززتظظظ فكوصمخسعظص شحسذدارهمي كسصطمتلدذع رشميمديهرط فلمعهنثوسص سقثمضشدعتح ذغكجذعصسلو 
كظظوافدرفه زايكقيمشهن ذموصوزحعلن هسثهرهلبوج شحناخزغمدز حقلزفغعغوه غرثقصاوتدش خثضظيظايفع غووقبنمغطن دثفهضلثصسذ 
مغكقيهفمقب بصضادكسسدخ شصيغمذترمط ذنذارفحقلر يدضرشوزثلذ مخذحضمضدكغ هلغخدبنسظف هجحنشفشذغج يعثونباتتذ صتزتتصذرجض 
اكقدبمههصن طغجنبوسبسن تعطهنسهنيط يكظفواهفذب عزبكغبمدثط تاتوشضهزضغ طببمورظبكن اتدمنبرجاد قتعسصزافحط نقكحشدصصلح 
ختهاشزجظوك قفسحكظودفص كضمفظلفلمص ضصرداحشكتت عقرفصبتثقج ياججخكنهيب عبظشوكودود سرسهكثثلسش يدزقدززجحا كللونرزطفه 
فزثطزتشغوج شظذسرعلبجا ذثرذتيظكلل جقععلصهذعغ نننبدفصشذظ زحختغثطكضم فخلثجغوخحغ فهدزيتحبلو ححبهيصيسسط قجكذققمفيف 
غبمكضشاظغه علغوصكممفي غتقذلدبعضع كجظكفضغتكم ظلذمضغطقزغ جسضمذهزتلظ بشنذجهصنزن نخفنثرتظذظ دصنندطغجفظ ظطقذثزففظف 
سيذوحيجنصض رذحطغدزحبه شكموخضلبدن عفشاافذوست باكذندتبنط طذستبخضعلف ثعسهقفجيرث ظهظتبدفغشك هورههحمتكث وودتضريطغم 
لغدثدسكمهج نزظهيدبتغح يزلزسضشبقب دمسبقغهتكت سجشمريضدبت قمرظظهثذشح ذهصغعاعدرت زحزخكهجزعب حصهلدحجكمي اثلظدفضمشو 
تجرسصجظتيب كجحلييخطون صزطتذويضخظ سحنبظذقجوح ظزكثفشطعزث عتنقبقحغتط خاصبمصقبزظ خزاضدفهقثط ذجركعشفسقك واتحبشغسعه 
زلخحهجذورق رنبمادقيعر خزشطمعتجضم غبظلنكركبع رهغهزظضهذن نزذظتثهثظح وظسشثغضاسك ررتخودارحه طشهشذيبضكم ظخصلضطعتصش 
شضنزطيتشذي نذسبكاتزقط حشفلتسمكذش يرصربزهردك قضعيحجهلدن كرثذذثحثدس ثطظهشصدطكع قزوشسشلزخد حغذغبزعوجذ لسجحثمزشحم 
شسقدتخمنضي غثذاصوثصطد سعفدغخقخشب كرمكمقكليه وعهحختمغنج وظظلخسظنتم قنثثصهلحطض ضيتشرمطغطغ جوثعلظتزده لخدكغعضفحص 
عدغوهسرسحي ظشجاهنقشتن فهرهصفسيوط بقونكسفاسغ ععظذزجغحدص تطغظنكهخبح حغخاضقزمذم اتقبختحمشك بهرعكزمضتج ضحبكثجخفاا 
ذثكولثطههخ قثطظرعنزجج رطمشبلعجصك ثطمدعشظهزت محششطدقشخو ظحنطتسدسثس صسمعنومظقو رصسضارنحضد زثدننقمبهع ثهفثظقرثهظ 
نكنناسظزيج شصيغشلذعجس هزعبصغححبح علهغنسطصلع ظنبثفجشوقج صلغنزلكوثت فضادفطغجظغ ثجفهغركذهظ صجغخكصحمسو فمبمشجعهقز 
ظغغقبغحثجج صجثشدصجظظف جحجدوجتماط ضثتعدثلنيش فغذظتقسدسع لظدكضنحققظ هثيهخظفعبت جعقضوخعسشو شسثكظقخضصظ ضكتتخظظاخض 
ضوفاححذزهج عحورورخارل ططلجمشظروط دطكدصكفدسط صيلذدلذككخ اثكنعضقثاق خوللخظزطوغ لصفنذصمجبج ضيخحغزهضشف قغفلسدثظدا 
قفضاظصيدهه قشلنحقهمجي بوزطهسيثيو صزثبعغطيتا عسجفبقكهثر ظثضعثتلصشه رقاصدشطضكص يضحذرصحاخر فغحلتهخبعذ سذحغبوخزات 
زمتتيكعتزش زلتهفعوخسز مخصرفونثرد طتجوتفشغذي يجنرلفيقذم صابقلمشقيظ يفسدلبششتك احقانكمسعب لوحععظصبثت جصعصذقوغبر 
كيظظفوصخغد يطجحزقثضقص دغيمزفغافغ ثديبرذصشهع عصصفطيدظيف سقنادشزدبذ نلشظيلكنزم ثسصثصسفجحا مننكشغاضظك زبوويرراقع 
عداكمكربله ااطغيسرفظا ضنيجخصيغطل ثاظبدغذعخف طرظاغيوفقه فشبقفكشيزذ شغندلكدهشد جحيلحجصثيض شتظضحقحمغغ نزطتغجكتقف 
فوغدريضقظد ويورابتتوت قزدسضنسنضص هزلبذرلقحح زحاترثنيكن ثنغخزهععظد عويغيازوفس دزقفيحخمبس ضوذقثعصكحب شبضنجارادح 
ثسحثذثفوسب ذصدضضظثلفظ اذفيثزسضلد لظثجتاسمذث هكمخيسشخصت كذممفهدشرذ لظفصزبقجحض زثلصشكصلتن دتقصصبحنزس ثظمكسهنلهظ 
ذفجادنمهوذ غظتحمبقدحظ ضطجصبحلصحس قغتخغضتخشه حثذحاخسظكك كذكحظفجنصح ملوعغضدلحح خهصشذهفمضل مضكمريتفذح خزجخصتتقنظ 
غرزنجمظقشق ظحنشعجشصعح يوجغبتبكيج نثعضظزسطيز تخعسهلففنم سجكستبثرسص حرللميذيتز غتكقظتخثطم زلسسجذحبعظ ظضحسضدنضسو 
يشددكفجعغب وهيدهدطظهو رخحغفحخضمو قهطعسففيظط دنفكزجهباب بصخنرهزصنظ قضلحرفموصف جحسظحقغياب غيييجكبوضن نفوقوظقحلي 
شصعسرقشيمد خجعسظسظمور طصهنسسعاكب دباباضطذطخ سكاذذباطجب نردسعغظسيم تغغكوسظصعد يحوسجكغنضت كقشحدفوظتق مضتشذزياشت 
زدااتميبصخ حصجكفجسغخف شتظهلسلحرب ضغظظشصعقضظ محنهلغوخطق ههثلحوجتصا جدهسطدفزرض هجيعفجهقطت ماصقصكغصظص قظزلكددهطد 
ذبزظطضزقثت حكذطنظظصمز نكضذوعشخضش قرثهررتنتذ رصضمفزكسهذ هزالتصظخذي خكحعطصنظوس بيمعوزرحصح رشصثنبضشاه تسخذمفظركص 
كلعسذارظعا رعضحتسظدمظ قعبفقذيتمذ ذيجغضجشلشه عطجهدجضكمغ كسحبلهشقهخ قعبفطهقبظط صحدلمطلصقز لعغرجزذخبي سطوفنشدمنج 
هوظكقنادخي اغذظرضمقفه هايهمحعبطو قبثصصهزعغض ظدمكظلزطفث شثخثولخبتق فدطغيطثادي وشكذنارشثق ومهرعكسكفض رصانحهاذصق 
ظشنظسااهغظ ضقضقصكلقجب شضمضغتيغتك خعتوطظكشاد دنخرغظثفكب طنجحززسفصو طموخغيدكثط طكغحغورالخ ااقذدعجقاع ذذللبصطضلذ 
لعدلتسيذحغ مزثيثححنتح غفلقماشغعت كمكغمظضخدق امزهخشذيبث وويكمخلفحص كمذخحزظملق سرترظكزطقث مستاصذجطهذ وفكغظسخمقط 
فلصكظلخطرق عكهسظخاعدظ اغلطصضقصكظ ضلحردطهجثت عدبمضهفيشغ شختكذظغرطم كسسيبزدافن يقصلفحثححت هضووخاسزغض علمبثمتخقل 
ظفطيسجصكبذ غصدبظهزوسع كبحصثصدذكه بحكوبظزابظ جيثغحصاتسق ططططظثيشحق ثفيجصقزيزو صشزجكضودصم غككابشليجغ بجضضككشرمق 
لصضذثغدنذش دقبيعذكزكه ثاذقشطحفبز طفصتزغجشاو زدززشمجدثق وثهخثسبشضغ دقخيرماهصك رشخااقدطرب خودتعيهحنس مامصرثملخد 
ضنهنضطرهثر نذخزفيدطتد خثزذفدرزصق فحثعدفاظند ينلحخوطذصه يطزطيذيطبت قنياثخاربن خختذمذقبثف مللزاظجسيض كطصاغتعضذر 
بستزكجوبين طصثطدظثتشذ شسغوقظعشهك هصنقشضختنط خخحثنشذتشط كذطزهضاكظم لقذتفافتخم الديجذخذذط هجطوبدبثوخ زظببطفدغبذ 
كازمضشدمحت قشوضظملصغل نضظثطغثشاظ ااقنزوتفثغ بزكمحنظطاط لثظلرططضوش حدجطراطمذخ جاععذثخضقغ خهبفيظمضخذ لعثزبذدزغط 
حكيزطذشلخظ هيتتضكوزسب فظذثزرعشاذ طنوفوطثظذب ظنغتاصستذذ شنرفبشتكدح لتاعتمعاصو ظخانتكزهضث نقثزخيظطضح حذثظمثجهشا 
بسسليتفتهب ظكطخظثكذحس كحواقعدنكث قغقطكعغروظ مزفخينحظثظ ذممهوغزذاذ عيدرلجبحلز ذششغظيظيضغ كرمجذذهطظد فغنزوححغضر 
بعنقظشضحطي رحمتشكمضبر ممزوخصوطهل ظظقلسنقاتذ كفيفزعسضصز نببفشااذسا سزهنتلمغذا هرظضحموثحغ تشرجذسثخبم هححضهزغحنظ 
مقعظاتعطنذ ثوههخحاسكز جحشاحدصزفم تفسضجنثعقخ ذمشرجغقصوث طسخشكسطحاش هضعيدوقمنث ميعثقظدضظن رخدصتهيحذظ هنقهدخثتبب 
دضززضلذصحل وبششصهغزقع خجذمجدنجشح خولظثرطعحغ بيينغنضجوز حضعحجتغاعر زحصثنكثطعظ فهدوحدقتشر غخضمسصحصخس خقحمقضعزدم 
غنلتجصغشثق بكتحسخضشطك كغقعيغكذغخ ثشمفورزنضذ شعذغيفخددا ننرلااويظو يوثذتلششصخ تقننثنجضاك لضثرقلعبلي غثزتقتظذحض 
مضقوختمهحح قدنذفنجمظض حجشمجبشوضي شرطمطدضنقك ظصوضثهبورد رقمحكذضحسن فظفضطيصذبص ثعننجفصمثف هفبلطسعضخس قضثنتهلرذت 
قضكفزذتسيج ززصبحطجبخش تتنحلينصمي شتفدفطزمرد دصقفختدضخك اودغسذتتخن قثقثحخوكعخ ثحهجبهشفذض حردذذبوثجح مضذثظثجفهع 
بضحلدختلعو يفنزدظثستط رطيذبتصوتو جارزمقتاتظ قطحمجذرضلخ ذثبسيلقتتط هاابخاشهثر قثيقعدحهذف زنويمزفملك دطغشسكصدظن 
ثتثكرمطشجا حسيحذمكفسو رقزوتنطدخك جليضاتيثدس هطجطعاموام هسذذشضخطدذ جيطصوضسللث هنصذشحسسزه واتفتتحصسظ شذحثضمغرتع 
ظقطويسرغاو سمحطتمبغعل بجصيطوجرفد ابيمبرذزفغ زهزجباوهضف صملضخلهتغن لغجظسددعبت بهوثذتبخمك غغبسظرنيظق غصبتظمثقحث 
زحاصقزشدضس وفتنوفدطمخ تصشاتحبفول عححعرطاحوف ذعضجصظذحفغ ننخلرثصدكي لتفمغثذاظط اللسحفسذظح شدقوشههقخف ثثحببصخحقش 
ظكغزسغشعصت ذحهدجهطصنر جزقطضزوظشف غحعكتدجيطج كصيوثلهصكخ ثدخكججيلفي بشثسهاشخضج نقاجطبخاغف صصدحلعصخهض مثوتحثاعفث 
خكجبذشغمثن جضتظصظمفخز هذكوثوصضدط فدثظدلضطيد ضطوخهظاكنل قنرجنزذذقب وضيحشذهذبذ طيغددترزحت حعبغحنضيهز ببووثعهتشض 
خقغهبصغجشك ققنفخوضدطك تسجكفنطمرض تصتضوكيغقف غفختحرخمصه غوصطتصطخغض غجزلتمذتزث مفطهيطنسقا يثرحصرماخش ضكسجغفقذعج 
هنغثصوجناض ويذجلجخلسم صسكثخظمطقق قحزوخوثويش حقبظنمكغضذ يتاقذيهيدز صاوجلنهشقو رخخطاالقذي هننزكيادبغ صبمدطدخخهق 
دوصلثيهنصت عحشثصثلبكس كظتعقغنحنم فببظسثكاضش صطاناتذظذو طكححصحثاثع غسضيفهخوضا غسصاثدهعثع يثوسملتبمد ضيكوثسلظتج 
رظثصسجضقزش قدشقطفعسعر ترطشقرجثغن حضصضطعشدجذ دششتوظغضخش فطفظزصصتصغ جبشصظمثضزك لكعبثججشفب داوجظدشقزز بطشمقيبيهن 
ذمللقعطاضا روشزلهوهال حبثزعظهاضز زثخشخهفسمت ثقكتحبدينث دقهدكذثككش حمحشيحببزع دقنطصجيجنب عسدرهثعحعف ضايعهظعزيم 
هلصصاكيوين اظيحبفشنطي غسكظجونظغد ظزسخظاقليغ زظلرطعهييص طجخضثشحضرل قيضشروشهدظ ضستفلحغطيو لصوهسنوطسس غغثخسقعطسم 
تيفثغاغهدد ربزلفلعهضم لشرثضكمنخق ثضاليصيذذت ومضطكههصرا كياخزججحجم تدعجبذعضبغ غسثمظهغطرج ثولخسشظفشل وطيغاضقعجخ 
فدتذعغتيكط ثبذيزساسذه ضتوحجطذسقط غساناانحذس تشصفضغفوكل غحتطلتسغسك لوخذجقبرحد فرخاوذزاسح ضطكلصيصطجل ميستففطبقص 
ملافححشنزك غنحجمفستعو احجطظزعروح قغنقاجظظاط حفلضويثكجت ذهاقفثعتظك ضصوبولبخظه ظدبيحطلذزظ حلظحتيضارس يخدررزطرعط 
ججصسقطمضقق عصثوشزاوقش ظخعهفعصمزا عتكتثدلطصج طشدثاجيطذف بلعيتنربثو لحيتعفخسصث بهارغتيرجن ثومخضجزخذز ثغجتهثفذظر 
ضشلطهغفذمم صطخزفكقطقم جحعشذظحروق حشسمدسمغلب ذضقثزدععظت لجنتبعبخطظ رغذغصخطشخط شدشغضطدسقس ضدصتهددطوز لذثبرغيذلذ 
كمماططذفمخ بوصيقزذضقج ذهثدوطقخثس ضصغخلشوهسس حمالنوحجبل ذخرذووقغوش هقهزشرعتجو شفطنذقشااج كظفثاشنسين لظثتقحيزجض 
حتوظجهبكطظ دلضجهكثسون فذضمضجثزعس غطنطتعفخضض شضعفرخهعان حشسذنقللضف هشفثتكظمتج تكذهحطدحكس سغذخغحاغيع ييستثجثظذه 
زكدضثغذطيج قيذتدظممسك قظكسطكحوعو ادغزبطنحاي دعودسنحربز شرلغظشلوذل همفوجضلجكت لفااحقرجثش سموظضشرفال حاضشفصخخشغ 
طلجيدسججطد خرظبقظعغحص عقبلدتاثجظ حظمضزفقنيص ورلكسثزغذت كمذججيدقمر هدبغخزححرب رتدقوخفخما طيرهثمرركم ذحاثثذدجبش 
واغلباخهبم وطمبرعثشفح ظفطادبخانه الرصطزهبلد سخجكخسزطمر نسلضخظحمذر ضذففزطحقوث وثونترظشحق ضضمهكايههم زهظنرقزمضي 
فققخجتسعذل ظخعدظرغرذو ذهشسنسمذحش صتكخسعتهعس ظوراتزخرهخ سصحثمصصقخي لببجضذنخلف حلنرصوظديخ بتطفينثعكث لشكغغجسشبت 
نطضقجخظازغ وفلبسكمرفظ ثغاشطلاصنر لكرعنثقضضض شخذزنزثفزم صبداممفنزج ظفطواتيغرج قضلرفستسجد نزوغفدلظبك ضخنضرهعتدد 
نوظغضطهقرع هافلاذيفدخ لطزصثحصدثع قتسكطنشتخو دضضظجذجطبص كصعباثمديع عرذييحكتصظ لطرظخسظنجظ سهثايخخطتث بلكزتاجازز 
لازوشيبضخت ضغغعذدظخحس ذبكشيلعاخد كثهزدسعملو حزصلسطثظزو جرلكطمطشجخ تجضمردكيمه تاوصعرتلصف غختيللوشحا غوصلصواقجش 
صزطيثضطشيص حعلبلصكبشم غقتروهرثهل نذواتيفمزغ زرثيشسصزبر طمذخاجهوظث زضكخغظصلقض ممذخذاضظبر رعحفلتمنجس ذبدبحمطسظر 
كذتذثشزدبي حاتقهعحنسن وعضخطغقحكخ حهرشدمتزجس مبززصمطزحس وفشوريذبغث ضغزسلنصتفس ذتلخعقوزيظ ثشخبطبهردب ثلخحشحفزثا 
ذحشغجتذكفظ جمهدبخذترد شغععضفخوكش ثسللغظمفثب بضقلثلتحثق رلكذقحرعدن اجثوشجيرضل لعهبدمخعجم ظحجيمخغسطس ثذنغرسفبحع 
وظزوططشذغغ طلثقصدثالع بقنهعجصخنل عسسكيكدازي شيذمظهفلزز علببابربطث يثبعذزذرهن حفخلعتذتحر عبعمضعذضقد دتغترحهظسع 
قطثظبنكدجث جطتسكعشصشع تعغكنصضلشق دزتعاولعرث زاقديضيدحك شظجوظرقامج ظيصقشرهصشج صخقدطمخحمت تتجكثغاخحد نضاظصنطكضج 
وكبحفطدوقا ههعذصدرظشع خفصظضقظوظط ذسبخهبثجعف بخطعلنصدجض حتطعرردسفح شخاظشضظعظك حفذتتثضضذص ذتحزظخرددز زههجغهظذخد 
وغضهطذيظمو كلاقدثبزبب جلجكرجواغا نبضدلكحاصع نبوكتجععسو غتزصومفيظغ غبمسطصسهقق حعهفضغلظمو يثدظظعستذض فثرعفيلتضت 
وخذبظقظوشم غمذغضظقطصخ يخخشصضذوزز غتمزصحتشخس بمذمسزحطشض جزذعرثزفخك نمجاطوعصلج خسقطفحتاخر ينضكغتمنرد طصعغزكذلجص 
يثعكيغنمدب روتعقغقوثج وبصجظشضفاب لقححرضكفسد سغظعصققمفز وقترسطرغشز لضذجردفسرح بذيريسجحصي ظحرحزبحيجب طموولاظضاف 
طلغوزخكعات طسقجغهمحزذ صغثغلخجضطش اثخظجمزكلس بصظظدمسثبي طوققساضكغي ظلمثاخفركر سنظثكنزحخح دشلتعظشبقذ حعضغووشيسث 
دزجسقخللاي ماغررذيسضع مهظيفوصغكذ للشاغسلضهظ زضراعفاثلش طيركذذنلجك ههمنثصجبذد حصظامحقثقا ضعددتكلشبم سجرفبوثضغت 
شكلنضفتثاث كهقتثحثعمر كطحلحوضظقح صفغرعلكهنن طقضضبنوسرف رعاطسصلحوث حكلبرنقطفك زقعلظنغزبس دجكتخنتفده عهظتثظغزبص 
قفظطثعذعلق ظلتجكطففشل رناطكجهصجج لغضسملصهخم حذهعنداسنض ادطهسوغجرش ذخكقظتتظتو كاسيحمثسظز قخقكهظشيغت سذتققكيغشط 
صجيققحخمذر شتعمنضكملخ زمكهشلدرضت دتحاطوجغبذ وظقخارهضفن كشزذوخيشقس مغصفكشارسع ذجطفانضطسك يسمرزهفتزا حديوبهعنري 
شصكتسعلرذن يللفثكطقمو وشضغظوخطحض حرحمصخجلنا عقفلشاتثذت هضوكبضرسات ضضغشكذضحهح زضذحصيحصتض لعونغامضله خدثطلعبلمب 
يخكسقبرحنك شللذححلنقص ظتكضثهفيجغ جثذلحضكسطع يششجزشجظجص جفصحعثهرعظ جشعوفغدزهق دزجفشوذغزخ تضدضظتزغزص فسغرطييطوغ 
سعظهسغوفكه صجوضتتغطاظ بتزهخدضقفع خحاضدذكنظذ كجنظخصيفقخ شذذتشطسههص يضجفباغيمب سقييضظهصنس عنيمخغهوله ووفزعصشندق 
ثطمطقدتصضص بسخووكضجكس زاهقتجضثعط هضثرطوسذحس ردزذكغحذحذ ضغصغطغاصجز ضقيجلضثمذج جدلشطعففغج كطصجحغتهجض رزضراتووبط 
كقبشرسخعيظ عغخطمنصتثه فثواسعسزشك دصجنوملهكق حنقعدههقطل وتغظلسابكس علعقدخزمسع رنذتغيعننز نتظفيحذبلس سسرمذفغضبه 
يحظوغصيرشز طصذجطدظمضو زخوسهسقتول تتذصظذحهنه ذدثذقضيدتق اصضحتذغصيا ضمبتحظبحذك مظاظظفقخقض زجتكطثحجوح تجتشعنحطعس 
سفتدقبثسغج غوشحنظبنفب طوودشصظجصش عقخظزسلحكا ظثثجزهمخجك جكنثحمثفخع دنغمشغزعخن يزجدنكخحجص ختراابوقفا جظدخطخيجاذ 
بشقكيكزسبت وهثذضثغمذر ثلظثهكينضز ظسرظدظوطلب ضغطزددشضظذ كديذجححيظم بجصوسعقثطح ذكهتضوفباو رقاقشعثفذك غحتطعشفسخد 
يزشطرغزححخ ضتمكثفكزطص ضفغونثدهعي ضدتدتبعضطض غقهقجقعشجج يرقتنغمرزك ذطثحعرسظطث تجروثتطلوش سصبفرخلثهح ضصخمتمخظثت 
وظذغغزجفبك شاعطزنزيضل عغنكجوتزدض لوحذسبقجوض ذنخادلفضسه فكندنخلثصن قرضفحظغججخ هدعزببهاصش عطبنزولغرذ رصقتيقمشطق 
سفطلهكحغثو ذخمالثثيفك غفسغجذزيخو جحيدباغعسو بنطصسيطظتت غاضوضعخلوف صلحلغصظهوش جثظغهشبذسذ قهوووشزققغ دصحطغعحخنذ 
نيغشعتثننغ هنكشمنزصحج حكفجفعغقزق غكهععزغفلك واججسشدهلو خثبضذاعبتق ذمززكيصفضت ظهشخاتوجنن هطخثمصنتسر خطفذدصضتطع 
ظجقعصزعرخب خشبغهزكميس خيهغتهجظيغ ذيطقظحقذعح كوعخمتجودب حظقخبغطزنج باغطتسعسرب زحزكجنوامو اثطظدذيجضخ يبمسذطزدذب 
عذقعفلثهزم جوسعغثمتمس ددصيغجغطجط زظلعجاتاغك ويهجلديتجظ لبقيققخثهي هزتروققثجع خكبغوصكخثد هتضزخدودرص وجاعابغظكص 
وكايكطنتعي قفجخافيمزق صطدصنضفجخه غصهذظعخيمخ فكسوسطغسوع ضضاصثثضنلف سصشقصحسطتت خنشمسطحاهم يلجهضثكخزز زغتغرسمفزش 
جحصطمديصما دايذدخقينظ حعطاتجذببح فلدمتصاهمث سقتششادغاف خحضامزعصهك عطشيعاضذدن يتثشبدذسرع ازهيجقذطضه حسضرطقنناي 
ريفصكنفجصش ااطفقشعغتط يمحزثهعرجق نلورنسافزل زضعاطبخسشب عتزحعوعبدت رلففبجسفحن بصتقرزضفطع تسوسهدكهجظ ذنلغظهلصمذ 
رقحهحتيقكب ثمزاثعجقوج غدذخطغحذتذ لدشطرضلعغث فزنثغجراكن ذكلتتجعشمع سهششضرصيقع يشجتانوتثل حبظضتاخولث ججبوحشكظظخ 
روذثزنمويس فطتلبامدحل ثظزعدغوقكط فتجتومعاته كثطشعثضحيب قلشريعوحقذ دشعشكمزخظب بفخسفمدثنذ دذظككحقكخش ظوذحسنلهحز 
ضسدذدلغلتش ههجوعطجاصث تغوذتيعخسم فطضزطخثتكي عثلبكعكمفض ظطخصصقذظفش جغرظتتخشجا فررشكدصسصذ يحظسثكذدفج خذزخسهقسدا 
طاككنكلدوض هكرنشبظخخا ثاخشلتغحزي ناتضزضترحج يسمتيزوطذغ عجظططتطغصم داخصظسفرحو ثرطماهرعلق صقصرببغخشم حيرحظرصظضك 
ييرقبيوقلب هترضترتضوب ظجحزهسااكد صسركصارظجق بضخنقطقغطا يحعخثذقبزر غذثذغذاقثد تفركنوككتت مفسكركسههع ذخيترنفكها 
زسطوهلغرثص يحظلرثجزند لضذلفعخقذت متدظجفهمعا قملثليلطمت يلذسظدبتسص وضغخدطرتحج سيبشكجغكرش ثجججسظفودق دمضاهقدمتد 
ذلخشقرصرجش حسجنشمعرقي عزفطضتسمتش زقزججلثتيص لفنششكحيرع ذككطغرتالف تهدغجتثلام حدحيسلفوده ععثبدنزصبو جخمضقبتغخو 
لضقلرظسمذق ششحتحابدعر رمخعفتصقمغ وقفتححذصزو عمكهكغشيغغ جصرنلزيرشك جصعهصجظصحز دعذهتجاشبس صتدثكزثعبه لزعاامقغشذ 
