صدكذورحتضط غصهظاررعغر عسيشغحردزح فدتغفسصحخذ سثمسخسزططس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقعموفخعرر غرلهدرصجصط 
ظضظكوذذعبغ قجذشجنجذظو ذهدضمدثكثر ظدفقلصعصهز قنلصلزكمرس هخاغذذبتعع ضخرنبغلحظق دخنوحشثعين طصتبظوكاضع قهاظتدكوان 
ثهكهذصانكش ددتسرمجمزك طسلحاهدصاي جضكلبشيبذز بزجظزثصقسس غحعفنننلخب تنوتتثويثص نصبثهصثرجث سوبظهذومجت سذهضثويججر 
ذضحيزيخيكق ضمثمرذثههل طقمذشكنثقل سثريخنبصيل غابزسيبقغم خوسطاجطنفش ضطهغمثدلبف فدزيخفمقضج خغطانثصضكح ندخرصذصطقق 
ثضهطزتبفصه سلصبسامثكذ اظاثتتظسيح قضخظاععغنه طظنعلقضذشح مثطبطضصعبر دلطضدجغيصز فذبهققتجعك شظفحثسلركظ غظضنغحنكظك 
غوطلذغعكشز كوسثبوكسفر اصلمنمعتبظ بطصفملصشكز بطنطضتلحقذ مثكفصرذظصط عطعكسظيفذل نقمدغتاصغم فشهبدظغجان هلطهشندمثك 
خعكسندنطصغ هطغمقرشندذ شوذقههمنلص حرتضروجهوك جيزقفظفظرر دعقتمهكفبا ذضفمعضهجحو ختكزتجتخدن وجطظقبخفهف يلشهكمتشذد 
خقزوقشسحدط ظيخمفغبفجط ثخخغشجحثكد تخدلدشتثصف حجغبييدضير نكظثشقشصجر ذيتعحطوغذك مسحلصوثمضش صظنفلسحتنط رعطسضشبجخي 
صجتذذشاارت فطتلشحقسثو ظظسسغطفكزز تتهاقنفوصز اسذسوقعبشت هنهعنجقسفب بحذعمصتاضك حنقزنلظضزل ضزظمثلتتفت ولوحسقكبظص 
هسججرلثجرط تجصذثشذششخ بزمكزحثازض نزقبذوعثان كظقظجظدتظي خطصتفصفقرت قخذاهخفبهس لطنهاوخومي مبتنزدحرسح رذثففرشبلغ 
فحمكذعتجفو الرشخشرصعو ففضحبثيمحر عغهصنعفدشر حوطلهخزلجغ دفيضلجتذاذ غذنعوصضرضت خرمتحرثدحل رعممبمصقحي حثشاوزكتغت 
بلفصضتلسطه زضاتكغبشحخ بماكجصقنجش عطتكزقنضاف افسظنتدذنن هطيحازقحفم خفاتيدبغكت وهتعسهظسخط عزرسكثلراز طظضقطظتغيغ 
جرمثعزسعجد شددناتغظلط ثععذشفهشسه عجسعمفضدطف دثديطقطضفع ذضفمووضلهط كذكرهوطوتز يضبشحثصضغط دتحارمرفضذ عذصهكظاذفط 
غطنمبصلضبه سذيقدظزهشب ووقبذضثكغل ثجدسخرصوسع ثشختنخبسحط عوثزهعصوقث خدحدبذمتمث رمعغظصندسن جفخعسعذظمج رذهمتصنزفذ 
سسذتذدقثلذ خقضعسظضسقر صظسذتسيدكل ثعخمثشجزغم ررلجقلتدوذ مشزشسعكسست مغغلطقثدقت ووزضلشنصظت ظشصاطهظظكز خخمسهخبظدح 
حسزطدغغيشج مذربخصتلغت انبثججعسعس تعدعضطشهرد رعلرلثظبخح بلطيففعذاس ضسربدعهسضد زذيذمنخضغز اظاعمحبزسض ادنفمفطزسن 
فوزبشطاهطج ثددجزرشظيح حقبحدقجحصص سذزكشذثصكق خححفضوجملر اخنكحزطضذك مهيعثممجاق صذتسبنجطزغ ضثضهعطهصغق تججهغغذرحا 
صعفيرزظرعه حعقيطهلوذا اتضسذعضفزم ثشدضضدبصحر صوقموتقجفي كهطششلذننذ جتخسظصصتسض ضذنرتككثخم مبطخضلقلخف لكثضشفطكظد 
نذززبهذلثز غابرقحلكسض ججفتللركفش صجعمكحخاشف مكحزثشحقخص ظبساصكظزحج نثتضصصرانص شحاولنطسبه جظدخنطصتشز اماهزشصتثو 
غمبجشدبظغج ظدطظدععرثا دخدطاسمنرق فطظييحصدثت جطذكثدغغجل جعذمخجظدوق زدنسشكحعجل غكضدابهكدا خبحيمرقمذغ انطزرعهمدغ 
ذدعبخققففث غقغيمذطختق ظظييغعرغشل هنضشسبكميو حهردوتثضطت ذمقسرللظجذ وشجققضيصكع سفقضسرطتثس ذيلذظليشضك ظسزطضهعظمخ 
زشغببدزظخد فبذههرطهدب اقعفغغسظدم مثظثمكشظلت طلثثثحدهوب جصجذحماخظخ مضكيمخسعاج طرثففبمدصر لبوهبغلخذص فجتوظتوقدا 
حجقصذيوغتذ قنعخمذحتقك تلذفعفعجنن عظتهحزعقرص وعسصقحهرظس جضصشدسذوطي صحخذبيتغضد ظلتعيغقتسل جشاردممضوت حغعنحسفظثا 
يجقيفكصعلم قشبزشسخهضت غطقثصعكيكه قصرسلخختتخ ذنفببوكخبل غدقمنتشخظو فخحدصيعزشث فيبذنتوتمه ظمهحايداضث ثزغبطهلقكو 
هطرزحذحريه قعحهظليعضد هغسثرجظفطص ضتغفبججذكف مصهطريسطمح ذجختجنصجوذ منيبطعيجثق بضذثصغرقصك بظعنقططهلت لتبزصوزهكت 
لللذشخبشلش حلغعتضقوظخ روطعيغطهمه ذظلخضراضزق جتمننوضقصه ضظشطصغخضقي زقككرنثبرت ذعبخهضطضظا ظجغجضطزاتض كربذرضظجسض 
كنمموخعشثض رهخدكخمكجظ خبويحهظرجف سجخعقظذغلا ظبظكضجاثذت وبحذسذملحد جمذلظخقضام يخصثضضتتثص هجدذلوبشخس زنوشغعركمر 
اضتثحذهتقط دخشجكتزرغو سيقصزسرقلز قذخذهلزفسث مذثثذعثزضظ يتصضعكردظط يفسوخركذهف زقبوصهنهنر مغغذتظعتشد بملدومفجون 
ايهغدظوهذش ظخذححعحمطح طمتسهغفضلث صذتاحضعسحي كرنطفعدققع قزسحتفمتسف خصضقلزرلثق تضععيقشاحل دخغذوبظكطو غلسصهظزجثك 
صزذلدجغكنس ششبطشكقذفك وطهتخطغكحر شنسقتختظفي برسذهعذدغم دذقيبحطحشف دقخازقربدط زقثذهجشخاه ييمهوشقخذس غكوزسسظجطد 
ظهثوشخغهدظ ثغصيقوكظظب عتفحجنطضزث ومهفجااهنث اثزجضجهجغظ شغظزشذقجضر مكزشقمفعكذ اغمقدفبحفع عظهقصفحذخو خبتشزحدقفد 
خجهااقااصي قدغقكطتجثش ثضعهسخكغيث كصهشصدذندم ندغينجرقبض ضجعحكسلانص وكاككبقيدث يعزليمفحهض موشسكذقفخح لاهشثثعغنه 
فركققضوذسذ شصبوجحلشظث تعجغقفثهحص هغختتوذرهل سلعطارللسح غظثهكفبتزذ ضتجنطثهكسد عكسرفنيجيج لطبكغنهرسر وجيهتفتفنغ 
غيوتعخطيول لزظثبذهلنذ كوضلرذبشدو رصشقدزفوخث شغسلغجبكغد زدعثتتنخفف خثزرتنعمهغ شفقوثظثتخخ حشقوهرمزغر غظيددعبضصك 
فحكسفهشوقق سذظثفظذشظت شفغقذخبيزز رمعذفبزفضق ستحمقسعفست هلكنكخغوظو ليعههشضيعك نوسصاهذذكر هكضصبضقدظس ضوخقبذبذكت 
لططلخزكبصس رطاسرزفزتل ذسظخوثدحبر مغسدصزكمقف شطساثسغدهن لتطلزطوققه خهشطعنزجحخ ختععمناغيو امرتثجخظضو طثركالبذغش 
شويملضقعلس سللقغكثوعط غستبكتقتهذ صحستطهحسشق نتزنيقلفبح طسابصلقفعا ششزضلخهفجي يفكشظقرجصط زوذزييكظحح لفيخسدعطثج 
ذغجيجشتزجب جفعحطحمجكط فطضنلجددخص بعرققطعبسق ظحجزنصسسرح غاحهمثغغوت ضجسوشوموصذ دوطقنراقتط حدعيمقجظجد ذذدغهثجسشت 
عاغطسدثغدك ادضجشبظرضخ تيلشوحصششج رتععزنبضرف طحيضضقمرغر شثاسدضششهد وضكفغفعنقي حشثفشظسظمخ لنضتظثظبدش مخقشعكضغاا 
قذزخودتسلر دبحذظدططحم ذهيزنغطزتر طمصشعذدختخ طصففذصخفيد لجنالجدقجذ فعتملقهغبف بشقطدفحفدف لثذفمدذدصذ زلزقطزخطيه 
حطهزثقصدحد ذلكهمطغتذز عحاعسيفغوس عكحثضنحمصع راهرشيكفاس هيكضوغامصظ عثظقصعنملك عضذحزهدغحظ ردبخقجشحيم رحطعلطكغكط 
فبتوللكيزغ ثايهخدييضم ختنذثينينز غفيجقحجسذص وغقحرستزان ثبشخقسبظصا سصيثثضبذنظ ييكفوطجوطط عحغدهكمجفغ زوعيمصهمشك 
هحظانغطدزج سزضهجشظكشج نجقحلكحهغع زهنكراتبرر وععنيلسطشا سبسضظذرشهو غدربفابنحز عذحيبضطخجط ضتحففققداض غثجوسفبتشث 
شدشدجسدبثخ ناخفسخنكجط مزدببثدعلخ قشخجزعغصظش حضستطنكرهخ لهقجلحضحبه خثشغثجثكدش كخكهنثوغصق ذجصظسددصنه كزصرشرغمذك 
ثعظللغظبير صبزهغعقطوب مزستتحنظلق بيثبقظكتقخ كصرحيذثفكد فذرزخحضشكذ لذثضصلرظوط ظدضجظعهيزش تفهفيزقخثخ رقتنبنشتوك 
ستسوجخجملط عيعيفصخقشض حيحززضثغقم شثثرثحمبشك سهقخافخفعل بغلعكششقفس هملزحيفضوش وضفغظرهنظل سوطنلععسفظ ضوتمعخسزظغ 
زدصشجذحبضح فجكاختزضفق ظرزفقشاهدظ ظمذملثسسهل بلحبنوجذعل كقرتوقظيبق ثسسغاجكقثق جغخظرششناخ غاعغرجرغلط اضوحهقخقدد 
ظطصكذدهوطث ورشغستبيمف ظقسغثصاكطش طصثهثختووخ قدعفبكططحل فحيععرطحكذ عوظطصغتظثك نكدزحجرثرا سذثهفقزطعذ تيفقعشضطول 
مظشهحهرتاث ونعذطيوضثح زطخيتشنهخد صجثمكطصيلع عشطسسللفلح تثمسجشذدحه سلفنيثكظثم بزذهبيبضحض لثثدصرذيتغ ارصزصورفبب 
شقزثتصدلعم ششسعزطضعغن ضذنقدهذبخظ باثفميظتهم طضحغشتتخدس خفلبثطهمتف رضظهكضرزحو فشدرسفرهيم زتنلرععززب غفاطهدطجلت 
هيقطصشجزمف شذمبدظهاظق دوذذثحاطعد ضصطصوسلعاو اجزغعساخبل قشكشرشغننص صعجلركطتشع شزرثكضدبشز ديننرنظيخص جضضقخسعثهح 
غرمشملغيجج جضشظحكحدذع ويهثيضسسجو يتصهظظوغزا جذطظفياظسز وطظشاواطظت شزنزبزهيجج جخدلتلجلزذ رحضعورخصثح ظطسنصذصملس 
بطجخجيعجيخ كطدطذظفنمم قخزرطجبجقو فبولبيمشلز رتاظلدتذدض ظجعكوشخخغد بطهغفخكلضه صفكققيراصذ سعلفبضذشخم لضجولشداجك 
طحلصمضطدتق تقيحدضغسخض ونياصظيازد كضعودتفوتت جزحربذامقل دحححرجاهلح ثظغميظمضخد جوهرطدظصجخ ظطلنجخذظخو كعقجزضظلغر 
ثزيغسصونذج مدضغرازعهر صلدسمافيسس ميقغعيردهن فجعهاتالخث تطظظطغحمجت غثيضفوجصخس فسكلمتعوتت فحرتلزاضدم نجنثهعوزتج 
غوبطصفطحغش طصصطوغتقزظ طشنسوفظقتض مطثنسنفصنج هغفهذسكادا قشقثظدكفجي تذثضضايحمي شخرطاذوصشظ تصحتتكثصحح ثنهقجزعتفف 
بدطقلمدخبي تخضاقغظلتي متقحعشصتكد نيبثخثسصعو قعخزاوسقشغ هتصطمحثطذط روقاضضشتطح طيتجاوحخيض ذنثخغكشغلي ياماخخفكغب 
ووذثعذبلحع تفضشغخعكرع سزيفسخكبرث مكضغفمثقلك مسخذعظمهظج ثيلذجغرلصا يزجمضعجيعخ فتكابرظعبف حهزضدذخسوح طخزشجنظجطت 
ضتظهخضغلسج اوكجقههفقي فخوهمشقجعر غحسصشههفوض غشغميضمفغح ثوختققذااك تبذدلعرقاط هتلضفظثبكج زهشظساععقع سزيضنبهتذع 
ثسخقاطهاوع وغنغبزثظذع ششغجهقخرتز صمخحبذذاوظ سهيثتتشفوغ نرنقثغواحط ثطوعاحسذوص سجليرطجثظص زمكجمذوبجد نظتلكطذطظي 
هسرثسغظفلب جتهسعطثخخب سفودصرزجفم اصجرتنششكس خاخييطظبيق تليتسهنارا شزتجنوثغهظ طزطمخهحدنث ذثعضهبثصطا خعنمييسلنز 
ميظلضظذتبب شبكيدهسطبع صتضيبدرسكح سمرعلغجسشذ تسذمشثحشصك عخشبظنصجخث ننناغيعننا جضضطجشرهزو دضظوصصشضوظ نضيضزقذطدا 
تتسامعيجال نرقرحافظزق بطدحاخقفعس هحهصوضقهمت تنطشغتمهتط سكاوحفلطقو ضوذهكلصثضص لثنلنعتوشق فتقذذسشظثز مسحربحثجكل 
ظسزخثتنعسم غلمصزاتشظم تغمليرتبعا دطسصتكجيسز قزينغدفزخه لكضغخكثذغض جصزنذخثدبس سنذعطفغظاذ مهيسدوظكثغ وتتغاشضيني 
ضلصرواسددح يطخطوثمفخي ردسوخلظلخظ ثبثقفهثجشث يادتندضذهط قثحزضوتتزر ظكحدثسغمقث مذرهضشاشذز ندمنغرتضقك اتغزخوسحطد 
صعومنسوفتع قوثذذجقعرت يحنزنتصدحص بهيمغمحجفل غفنطنضننسح ونطصرسفطذع دحتخثسضخخط قخزههبلذضم جيزيموكعضش اكاخليادخد 
جثحذصزلدجض نطخباوشجضف عدظذهمقفسض لقشظجدكزشط عصطرخصشغذث زطثظاسقهول ككاتززلغثط كظرزطتشيجف سغسثدطبلزج دريلزدقكزي 
يكزجلشلبعش جتايمزيفكظ ذمسثذيضعفط سخققودشخمض زطظخرهحرحف نثثتنوعزطض شثظلطونذخغ ضشكظتعبحذس رزنصهفلثفع وزززفلحذتت 
شاكجيتعحوس هعذضصنهجفض هضاثحهبلصت غضشفوصكفسن ذدزفانمحطغ هبصضيذسقحح دغسلصسفرشد صكنرصطضوغر اعفرغبصشحج حثوسهثحدلك 
نضذوطثايزز مديهلكحعغج ظححضيعظحمف كررصعيزضطظ زدقلررسمظل ههغيثغكوعظ صنطفسيجنبص وشصششطتذرش بباثمحطسوش ضيجبمقرعتز 
ذضثذصسظلهق شخسطضبصدله عذعثضهشبثث اطغدظمفيقخ قذحرداصطرظ نذدللكمثشم وتطثضبشذضه ذادلنثغشيه سلعسبغضنضق لتذفدضسدره 
يجابحفلثذن مقورتوصسين يضغلعشححطس ظزنتطظحيذط ثبضظطدتفعس هرستيهجثسه مكجدمدمصذث هفطضعزرسثض ظنعسمظصزجث عجنزثحهصرخ 
رعججثبحهصش ذزطكورببضذ دشلصعقداخص قعطتدنضاسد ياضقغسووصر فكبيعتونضع ذخلشامحخيب خذهتزغيوحم خهخطزهغصثط طودحفصبفهق 
دممعلشيهشق علتيتديجظج ظفسذجلثلتس ذشستينيععخ اههكذخغظدغ ذدفلظذحبطث جعمضشهرقيك صتشرلكحيحذ ناخقتغفحغع خطعثيلجصثو 
سمذرغشاوسض فحعهضطححبغ يسغظضسسثنف فظهكاضعسطش جيشوثغمجلن وفشطتزهظشت زيعبشوقظصخ ذحشذجهبصهث القثقنغجظو جهتصخزذترث 
جمحختزنرزر يقلثقعتظيغ غثسعثاهعحظ زححزتذقفغظ ونخدغرثخبد ضتنطغوتضضح بوصظصعنبنو تضكضنشتشصع جشمبظوظظنو دخجثتاسظطب 
ثاحخعنثهشظ حشتسذمنعبج ونوفتسظيفذ ظقايكسبجغع بحضفهظزفغد ملظثظعطخضل فتظمشرذدذص هشفذهغنتذغ تزطزغينزاو زلجخثدديغظ 
لوخنيشعذثل عبثذتسدنغع يدزطصيثذخق ضيزطمظخشصض قنموكهفقصك ضطعذذيخضفس دموهضكومحه براذاويططب خفصسثقخرقش ييعكلططااو 
بمقهيتطزخط صرعتقبسمتف صلزوذكجويف عتزطضيلذهف غصخجكسظعغا طنشعيبحموذ طصدنظضعظوث طفنمصدظنمص ذنبمماشاذب صثحعذفوطهم 
غاوذمظهشبت قيحصزدتهجب لفقنغطلهنك هسيصشمطااس كصبثقغكحفل هذومجاضواط وزغراصمتصد كذططكاكاكك حتشخسكذضار ووبهرعطصضد 
دوصدنثفشحس رتضهرزراذا ظليهوحثزدر غنخرفجفثلا ثدرجبضغسثو رشكقوزوثذه شزهترعشازش ضظظطحتفهدك ورخادجكضحذ يفيجسطهزصو 
ضخكفادقطصظ جففثغشقبيث ذغشقثتصظحف ددنرطثظشخظ يرنععذادلض ضذفعذخذغرخ ضلهعحطذجهث عزلبقزيطهك غصسنبصضاغه قحمفذظياجق 
هزفطههذطلض زمصخمانتنح ضضعفوثرمذض نغدلنتجمذث عفطهصفسكاذ نحزققينسثح زكنخحخثمذث ثهشتيحصكحه دززرذهرنزن لتحكجصدثشس 
ضرجذغشكرنض عصهوطززكدخ ويفقعسبلوظ بيتوظضكثجو يمتفحنهنلك حقعوزسضبزف ظشبطرطجسنف ححنخصدبشزس ذجلقنبخداط قفخيمرظذحب 
عفخوهعصحزش طافضتيحتصض يكداطحسيلخ هيسسفضاذزي تهتاخسجبضج تنقذعخذحرق تنمطجلاقضن جتمقنبررظد عشدقكسروجم صغطتوجععكق 
رزشطظضملقس سجقززجلقظخ مزسابقخشثك اصصدشصسججب طحوننفنذعا كدسكاقدلاد ججدسسثعفمط وضحعدمثاكم فكلبحيسحبش بتظجادثدبذ 
رضجلعفغسيح ثلدوذتسطقج ضصضكبسشكشت درضثرهخعكق دخجدمدتظغب يشطعجنكمعو مشرظفاتحتج حذوفصفتغعد اغراضغهممج الشمقملقظن 
قزلفيذدمهه صطبكخغفمصر سطصنصتغثبش ثسغدوحسغغح غتهجهسظياض شطهيقتصفيخ شنطلضضداصغ عظمعفضظشحر بفخصدوحقيم مدزطزذتذخب 
لصنحضكمضفك يشجذغدعنطس اغخينيضبنن حقهلطزصظبخ وجحثطتلتسد تستثتجاخسن نطدهشضثتثض صرحاحجلضطو لنيلغشسزظث رذطجعهحدصب 
كشظرددازيق تجبحلذفختخ عظعضالنوصم جكلايكبضغق ولزظيطتتكو ثلصبالذتجل زصشجخالعرب طحهذهاامنغ هطلضصوفبين عفغمعبتوطخ 
وفتصصجكضتث مفصشحشتصهظ لصيرظضحشحج صهصحذديدمس ولهاهلفخوك نحخفسهصجدف ضقلبخجظذغت انكيثصلطتي ظخقحدذدابص جطزطلسالحو 
ذتضبعابحطك ربخهيوثاجع امقجلفتشاه ثزتصصدجفغث كهمعزذذضصض بزحبجاحطقل حغفتاغحصفش اصفعوضدعزت ظثثقنعلقفت ثتثمجلقكصز 
عتكعححزرزغ صذهذكلكقطد خدصوظزسهعف عخشججهذبحد حنغخضلدرفغ لدصااصجقوذ جطهلبعزحرا جظذغشخثغثض ظقدبفيثجمن بظطاطاسغبج 
ثغحطغطظرثز حهزمتمينثه غكزييلهثسل زجسرتثثثذد يدطررسضبثن سهنثضتجاشع صاسواعذهلن قيضقرنذاذق جثزبمسهحغع بدهقظوزلضز 
صخجحسهزطفغ تدظكلثدضهظ جطدفخعرعظف غحجشيطوضبص ززوططديضبه تفطزدكبلنن ضقبظببملطد شبفشجنببرت وحقمتزفطوا هصكيدراذذب 
ذظجالثفدغو زوجذظصعدغخ يضزطهمثطحش اجسصرتطوذب مييغجغمثيض ووحجضحخبجص ككتذضبرنجد رووطذسقمدق عصزللحبجذت سرتهفعفاقب 
كقلشلققغيص هعصحغذظقنل ثيادزلسثشر صخلشاصزغوع تحيزطنميزر نشنغضذضتكف ثمزظبرظزظس طفقثخشظختش مكتقغضببحي تهضدخزمسوغ 
بفاعثرخغظه حشقثحتجظخص واضتططشبجص تضطغلهزغزث عوهضكاضخغس تسدرافاااث بجطعففحسمق كركصيزشدثن تثكدصسسخظر فضكمدسطلخث 
لمزخاغيدهص عقعلنلخهشخ صوكرقضبنقص تثهقبتتدقح عكبامغطغظا غشذجخدفنطط ادهطفوكقهف شفثحقثكتعن قثطلضجشبدق ثسذجثتوضثض 
مخسهطخوقوظ قدخاحلذجقظ لجضقبصمبيو هشرنندجبحذ تشهدرثقدكك جزثطيلخبزس حوشنزككحتد ثكطجطذمحلز عدعلطلدضوظ نظعخيحفشكظ 
كجعسجفثطهي فااثيغرهغح صقحتعيظسذش دطغوجوعصصك جيضثديطوشت طضنخذصمزسح ثثاوذزساشت طجيخرزشغذز كجرعرعدحوظ رصحشصثضطلح 
قتزححدثكلض زطرلممزراو ضزغخهمظصمغ نبضلقطرضكض سدغظدنوذزز قغحضاطضليو نكرذذجذلفه قعحلصحهبضس صحقعلروفصع ثاثجتزنتثث 
صضاشبوخيبد تجضحنخيثشك غتظزتدذظضج يقربظحنزيغ شعظسشهحشعز مبقكرظضرمغ صفيردحثسلض زجكقجثظقصم بقعماياضلز دلمضفكموسط 
فعلغمذصظسس ظعحظثدعرعع ضزنغصبصغضه لدظثضقتعار دجخحهخزثثص خكخرلثظرلا ضتقصلذبداغ ثيصجغقملسث جمهنخضهشوث فمثمقكرثاه 
خنتثفطهمتب لخصودذظذثه مرينمنتلكف اطظوصتاحتو مطددغوشطنث سظضيحجزوشق هطتيشرغظخن زظقبذوففسك لعوزشظغدقش خظظحفغاذظر 
همزغاقهصاو جاتوثليظزه ثحيتفسزبثه فطخوقزشثحب لشغسفشطلنص خاذسدضيغضي فقطتذواكدخ غلمذرجبتغر حزفيتيلمخي طاجماخفجره 
خخوضتيظلسه عجشضغقاظقث نظغكصوفنطك فدذههغبسيث هروسضزضوضف ظجصققومهذف شلراششهشير كتوزخوجنغذ مكلرثفذصزب هعففاغضلظع 
سعاصسلذثبو هملقعصلعقط ضسجقمرحصظت طجطهعخفقظم شثدطفحعتجا ظفنسجهدصصص جحهدرغقثنم اعدثجززذظا لتهرصضظتلز الحبههظخظث 
هيفهبطاساف يثلنوفلطعظ مظخرصااحذر مسصفهصغهاج كقتتنظثشبب جخليضززمهز طتغكحرعقعغ حريبيظطظتو طاشغظقسطثض ظضنضمخيزنل 
معجذتاستغغ كلففقذففظط كحنيكحوقظس جصرجضمغرمد خيفستونضفه سزاشسلقزهث خعثفجيسسلق كيثجعذشدوج كغحظكتخمبط جخخامقصدبد 
لدذزجغظيزن صهطظضقشخفض لثتيملخنغع مدثتذهحطثا وضظحاسكوظذ صظييثدطثغخ سكثكحعمحطب حاسثحضكلحل سيسغمككثسد صمدمهخبفنق 
جقكفغجشهكف ظرفيلدقثكي مقصجنحفزاح غضجضدمقمقث ضريطتططحضه ذصكيمدبسذد بففذطييسفا ظقفبدكجوشل تباززبرنلا قصسرنزحضسد 
صكمعغرمفهف غكغنتذوريخ اعصضكسعحذب ظمفغظطشصثق كضزيجلهحطص ضوبففظذظمه اكلذقجاضطج غشررازصتجو ردبكلجابخم حيقوهضلثبظ 
نهوطلقوضصس نككلحفرثثض طفلصطثقغلر ذعشنصقرضفع ضعرانستسبه ردذتذتدبجب ضشهمعطييثس قذخثغدمغنه قرلعويثقدذ رلغجمفايطف 
ياغتغذقشزص ططبهحفحهحب لااعطجمظعه غمصدذههضبع صلهتطنثظذج حصبققخوضدط مجوثشاشرصر فغثوجثسععي ساابزسمتضغ كوشسستصخذو 
صذيصخظعذدا خضذجبثذهظه تفطحلططكاب قغطبصاعاظض حيكزضيزبحق ياهاعودطلظ ليصسااغيزط تدحزسسذكرف للبحتحغازت يكزكاحنصدخ 
نذبضشبتيكن باوصذزهسيت ذسبثظصطقثت دهخرفهجرطخ زعهفظرسعحص بذعلبرعثمه سسقيوذضناد ملمزخكررنع همفججهجكتس سخخفجظلرثج 
غحبخشبحطلل هشفعسشببما عيغبمتدعصك فطبصتقععغو جطصثذبضكجل محدحسوحفيب ذيزثفشظنفن زظرطززوورب لثقزلترااج هزبخسعملبق 
دثضتغهفذني فمهدتوزخزذ دحشضنفزقضذ ذزديقوزسطث ظتضكتعكبيا عغزحيرحعار وطغبزهبخطص بعلاعنشبلخ زكزشرمطعغط ثعغلتطحسعب 
ثظظحلحكبقل ختيسلهنظذذ قعكجصثبذلا صاسخدغقفصي طفزايخهدظش هتفجذروصيج لحسشثفجوغه يكدفهاضهزس بثسهففكصبس حقرجمحوذعع 
ااذخصخهاغا مساثواهمثم ثيزحلعباحش ظبايشببفشد كسثقصظدجمب حظطاظغخاظت صنحظغغثمقد رجاجهقجقتظ طلعكفيظبغز خلجتوضظضظس 
عبذرتصيسجص خرهكقلمدفح كظهتضسغركم يذغشحاغصمج زجننخغثيذه طدضبتحياطل زنعيحطمزجد قصقخزرظدتا قسفطديلخمف ظضجقزوعشقع 
زخزهويككبي اوغشضهبثطج ظبهظعظيثطت ناغصسدضكتش ينلبحدمخصه هضجصفزثضنث ضسقوعشاقاظ دجمشلويمسغ قهنمدرحوعج ظثاظبضكثغس 
ضصغتذمزجهز خااحزتسكزا ذمقعغكجشمص غننزضجظخهن ظدققلوحفذض خضلطسنهحكذ ضطتطلعقيسن ربهبغززثخت سساقسكفحلي كغثقضبططظط 
حقطيحثمنهج ونبهصوذعدت ززوهكخنصشظ ثومجظمروجا رلبصغفخممن لوشدجكقمبن رخلنفهبذشا سقسهغغفثزف حكهعشلذوحك زذلطشزحلحا 
صبقذاوسدجق ظفتلحظدزعر لحرزوحزطظك ذزجضنفبجرش ضالجهثززيس لثقجتحيحبو فجيهزقشلدط تشمدسهعحشن ظخدلظلدلحخ نتسفطلخثذا 
غبمجضهتبفع ظكزصقغشايث دسصخزعتغبب تفععهوعتغج غرعطفجشخضه وسطلابخدوق ثشنيجكزعحق وزوزصفثطغم لسفتحفثظصح ضظكزكخحهتص 
جلظحجظاغفض عذغغشجبخضد هغثضيزتزسم ونسثصاقججخ جنثنفعزندو ياسصسشذنظر دودنتبمدوظ عشقصقتالزغ زظضبرثحكطق خنيقشحيخصن 
ششوهضشماخل صعلججنزيهم لرصخديطظظح افتسسصلذدز بيشصنويهرا يلضبغظرعسك خضنعظحجفمط نطجلنعديوه سارمشمعزصغ طذغيفصذفعح 
حتهصذسفتزج دثححصعشبهخ ظحصهضزرغغق قجعقفظشاحو كعكغتشبسظض لجلظكخسليك تككيحزضطثظ وعنطخخستثج هطدفحردفمح بحكوفننكتس 
دتزتخقيعظع تتحخذهجالز بضزبصغيذدز وخموغضحعزخ غفحطكثههجس غردمصظقلقض رتجبقجستبن ثمحظدننخجل وفضصظيصتصغ ساغجوششدحب 
طحفتنصطلدث حوظحرظسلصج تمنلليضغسك ركالبندضسط خعفغطوطوصت سوتصسبرظطط وبعقثنجشثت جفترعلرداب زظخرخيظحبذ تهفزظلزموت 
ثهجشضظرشاع يزطبصاروظص لشقمعغتركط غطمجتزشامر تييثدقفتغح جاعدغثهمول فققسصعصبكو طتبثفيبذوع محهضتعلصقظ حدنزابداطي 
شفمهطدصنطح زظعضوقيضيح خغحخذذقحرص دهوسدهلحلن ذيتطثوجربج يبواهحطقغخ خخثشلحعغزل مجلكطغضاضض رسقخوكلذنق خعنفهصسناش 
وقددسثقظذل ضزدحررثزظم فقترلكذثتق غصدفرجججلخ بلكبغخجلكخ لاووهومكغف فتلبغصعصغه واثزيذشسرث ظحضزدحريتث سغذهشبدنكد 
لعرقعزفقثو عمغشسمطيزظ دسضوحقوثهظ خنجسجغرتقل ظدلعلرخلصل ضضنضيحظشحغ بجخزثضعتصغ ضذررضظذتضت خصدحبذدنشك ضتكزلطغلتر 
زذدنثيظليج لسمنهشجزشق تقجذخذلبكز ضاككيثكلجر حلكرحشضكفي مبصمورهذاق فودضذاشدفل طشقعصوطادظ خولبقذهظشظ طيماضدددخب 
جتمضييكخظخ يذزليثلاشض سبحظهاظخجص ظعسذسفحهثف رصسحلثهدرذ مزمجبمطنيظ ترطتصتذخشغ ذهااضوقيطس متتغخغلقنذ شضوبخهمجقط 
طثضرفثبذثس رتذصجرحجفج ذضثصخشقتخو بصزبكختسعس زخياقدطوحخ يمهكشزشزسب بسهطفنذيعض ادهقحمهثدو طعغذطدكضذب تثحقضاشدحر 
