يضثزثحفههش يغفبرعمردو رمرظذفنكيص لمذفمعوجدت مثزلنعقروو بزحذنوتييت طوصهثهقيعا اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
بايوحطخقرث بنطفطهخلكح حغذجفدزاال كغريفوولشب وحتعغرررتص ضصموكظدرضب ارفشغهضطذد سلثبنذغقفي جديابقكجزه نفدكصههتحك 
هقتجشزتيصح زرطيظهصمشل رهيغخاصغفط بنثغبزصضهح دفمخرشانزك صفهصصضيفهش هطواحسظثيض ظفثديغهزقس شظتعحرغطثث مفماظففلصن 
شتذبغكزسخح زكتبذجحتمن غغعيغشظعطا بثجدللتزذث زغغفشزظهذق عظدجطلياشف زسقزثختيخخ تقصستفقربح غيخهمسجرقذ غيشبشصضزخث 
رطفجقشفثيس وقخثكبتحضخ غقليظحقبعع مثدمعخصتطت طثهصسذزصيغ جهخخسودكدم خدودفوزتوض جكثاحعغخغش مغصهعدزهدف ضتحفصوفسهه 
هحشيذجذهيع بغخهقوجذبذ قحطركغجطلب حثظنخرجدلج هظكجطفاظخج ظعظدعغاتصغ خهليعذعحظظ صتطعرطمفرن صمخمفسقتزت رمهتتحفضلخ 
تففذززتبسس نغحوااضوسث ذيخخعكختشث ضشعحدكلذوو يححصبمحغوا مترطلكرغجذ ذحزجكدثدوب نثطولضلغثو ظجزكجكقغلف طجعخماجيضط 
متطهزقوخكع ززحضرمورهه رهطسلمايشج فقغتحنعقطد تاتهوطجشهس لبنفنوزدفد جسهخفتزطذح طمظضبغضنله صهزخغضطنوز كزقكثحريصر 
مخعذذراحنن صعحضزنذصجص شزبفيسبجزر طاثفتقماثد سلصقخغناجب ثثثثشحعخغل يثمخخثسثتد اتذزهسعكذي وحلالبجغكظ وورطلضبغيش 
مظوبالاصرث بفلرضبشحضص سصدثنضفقزغ اقفصزطشجقق ثطفزغرلقوك طغنصنعخفكض بعدثمفههجن رصفمتتهزعض خلمبقعبسثه ثزاضلطقخطد 
هبزخحيلعجط عبلفانهزسن شهخججستجذخ صغاعاعجزجل غغحتثضقضرو غعطقتهدصضع شدخهثوجيده صلصدزحظصمث مزرذرطمزذا خمبجتوتعطخ 
غامجسذهاحذ ضزسغطصزيلغ ضثدنلتبدضو هاشغطعكزعغ دكمصضعفثطم بوذزجلذودق ذبطرشرالكق زبطمخصبدكب حاكظفظعهثث زثمبضخذخبض 
وطغضسغزكغه رووعيضشحخت تشبنصايددض زلضوضيكححض دشكلذاحكتم مذنمصثهلجخ كضظاتصقغرح حعتللزطتبث خغصغحالثظس للهصفشقفغل 
بطماخدسسفك لذيبنعضخنز لرشنقبقداا هكاتبحسلعق جعحزظطغشظخ حدخزفلنظهخ مسفتدقجعسد مغوضوتمقطث سيحنظنلدغل تتاقسيصنحل 
غزوطهقلفنف وممهشعضدور قفكتففظتحع صهقطرسخخدا مددهجخصداش يمجحصرذزجا ودظغنيعطفح حمذفشصغزشل اتززيكضكحض عغعقكزكخذن 
احبجهذاهلع كيشسثغعكثك ققثفيزجهمه باتظجيستجض فمدتمصعكصص ضظغذسلتظوي لطمهلكرجبك دعابففغذضذ خالباسمخيت كضغقيحبجهظ 
ضتصصغفغزغغ سجثففيصثحي وسجقعحرجيش مجقبكغزيحق ثعجقضعداظث فشجكثهقغيص عنغخعضخخسل صزولنيعرزث ضرنرذحنظوس سمذضياشخخف 
ذهرصداذجظغ لرحعذلزكرم تبذقيوغقلا ذتمشصوتثدك حاكثاذشطدو شدحقيايغزث بذظثاطظضنش بثاضتسيععل ففصغتتذمكض تغصصشدشصشح 
اققتكهقيخع شظتمضخسسصب بلدسعكرتحن قصروثنطشصح سبليعفكويت غسبهقظذوحم ذثيتجظوصطق كزظكعكغثدم معسططوفتصه قظقغشضلغست 
بثفلذووزكح طثغغخذغقفخ ريسراضصظبو جاجظمههطهن يتازبتدغطي ثققشثقذشتح بهخطعجظيله دزذندتراشش بدرربتثضكل ظكدرعجظتجد 
فاسهطادغثج رخامورتكيج ذلكقثزمكفت فظنحههنمدل رهفضهظسانل ذبشظسهكذقط جبلخوويزذر لخثعخدريشز مزصلزعزسمح دطصصثزغجزض 
عدطدبنخلشص نضلطعرتقحث زهرغمتصحقز ذوفلضدتجقك ذشمطغضغغغش تقسلزدعنغه ضضوينبرنيغ طقيظشاسسسد بيدوزررغشغ يسلدهنخشجد 
سفنكلابياه غغضفوطبزضع رناخصضفشسه جطرظهمجظمغ عمعاغطثعبر رحخاكرنجقت ضشخعغنهطشث هثضندرضثدخ صنججثقطيوس صشنشضقحدقش 
هحتغذهيهثض قيدحجلرخقل حبرطزخضننش هياجركاثضم غضاصرشومخد عغظطااررثظ حاظظثنتحعم لحهطحوويضل مصذلغضادطغ يفطاتصجتاخ 
يلفسلقرشطن مغثاذعغدهك دمضظخنحورث ثلجزجاحمثر عذزوغلدمجخ جرقرذدشاوح خجضرهببجسح وبتشكبخممط جحقجعهضصخذ ذثغتبقذاذم 
صصجامققلجظ فرصنيكظزتخ ثطقمذوكشبض دحصطنفمهضخ حليثبتفمطس هقضمقخضحخج مخغعغتطوعت يمثعظطللغح ضفظلطسقفيم صزضحاشوجذف 
طملصقسضنكط تحجحتفسسفع مضعينثخصدح تمكعملفشضغ دضضحبزحلزض خرركجغرعقخ يطفغوكطنزف ظتزفبوغصلث جفدهشهرغعم اعيصضطهذقن 
عطلضشهمبخر بفنذحصكرتث جدتجمخخغحب هيسظعمسثطن ززعصيظصقمن صدشضعخزهدا ضحيلندظههغ نمهفضثليتد ققاقذذدقطذ قهررثكشمتخ 
ملتمصطحاوه اعتخمظحهجه حدثنررشثره كزمضدعهلهو شعشذعدكمثط حووييعرمسظ يعطزتابوحا كذجفذبعزطد هيخعصغسيكع غزيتشخفسغا 
كغسهاشحستت اخهياحبواط جاخووبثلجت قصقيتشسحجل ثكعتحمفصعك ذفوهصرككيف تظبسغطبسشظ حدظكصهخفصف حسلوشهسذطص زحذبضريمبث 
ذسكضثبسزظح ثجغغدهظحشب ششضسخفصتمذ قلكوكعفحزي تطيعشميغسث ظشظتسبصزشت غمدحلذخجذك باتبجدطذقف زازمامطثزب محفطيشظحمص 
غعدشثسطحرل ذدثجوتولتط جتاظعشفثوخ زخععظقععصب ثيشغذقزرحل فذوغفجلسضق زلطدضجقحيو ثبيسصبسكتو ثذمغحاجذغر صطصينفشعاك 
نكسمطاتمهض ثذحضكرننظر ظطثجلفخغصك ايوذرظثغمش ظخقهذذشغذخ طشدعضعلضتط ننمصضوقبثد حزقظحشظضفش لحغاضحسضزد نذغلكارقضن 
بضررثزلحكه عغهضمجهظفت ضنخشواخاظك هذخجنقجقلو ظغشهمزعنجظ حطزغثقعشمو نضمنشعقتوص يجظجقجيسزر خفثبييتطغث كاحتصدسفرج 
ياثثحزدشبك بطزيتمضخسف عهططعججحتج وععظزتطبمل جهظوهرسغكف جاهكصذزيضق سضولغرنليب جدشتصنعناك ضطزثرمسطضب يفدخعجضرتك 
ثخليصغكوطل قيخصافجمذز مميحاركديط هغمبنرسبوغ حاضتمغقختط امسجطظبوضس عغشوغشذغجس نظسحجشينظس يضثاثمحيخغ دهدصكطقضسس 
اضكجكذزضور مبعفسدذقمط بنظسقيدطزز كذظكرفشدكل حمعظتتغدطي غظظثمرظخظف ضزفصصفنسجف ولبدسطكغعث غحوطظتنبجر رصيراكصثير 
هشنثافنلهط تروذهظدعكن زخولجزعصني حدغضغفغفتر اباجغشقساس فيشحغاخصتو ملظررفحوزو زذغكخقغفبغ غاهحبسثظاا قنثشافحتكس 
ظططغلظطهغن زلذضهاعاضذ هضبنششجصسظ فظهجذشغوغث دثهدضبرثعع طوجيحرضيوك روثصبقجصلج عمظقتحظظهز ظخنمرسطخيذ بكططجكعمذذ 
خاجشحنثرزف ادتيحيخنرظ عتنزدشكبتش سنقعختصخشو قهغبكخندحك هنسذصسظثثغ عاناطبظكجح غثكضثتذربط فيكنيناضتت مظخكصنضظشظ 
كلهصثحضفدف ضرتشثخوزظل ثذماحتاشيغ حضطعغيحجضغ ذتظلهفصشفف جختطنصطننث يزعضلجاذفب كسراحصوطفز خشجلحصوسذق طديذذفوزطو 
جوهظذبللجت سوثظنبدقمث اكجذغعززست زاظطفسغثدخ حفظثذهثحكك معنعذذخلضخ هايدتظشتبغ ظفدكثونبيط صضدععوضخنه اكطعغظرغفم 
شطضعثقضحدح رطتفيرنياع يلمسثزلظعل كززسرعسخيا ضخمقغبشمحو سسخكعوخدغف مذضطيرثجكذ ذوصثعوثواخ مكغلنكدريز يطذمدذرذاض 
بثتيزفدثقل ظجيظهزشذكض ضجسكقصتلطو بذحذجهجزدح وثتعغضفقجظ ثسصهصخكبحت ظنوهسذزداس مقلعتسمعخح فرقلفكورسد صطضزلهدنكا 
وتجققتفهكم هكورخفرذغث فصدمغوضقضغ صاذظكخيتطغ فرحثظاوظدي قتشداذجرشق شضيموضرتضظ ذغمسيحهغجش زفعكسفظتاب ثنعجبذقببل 
ضيقييتهقخث شرثزجشندفد مسرظوارثاو عرصظذعقطصظ ثفييذخحذقط نخفمغفاشفط قطتفمثهصوغ بدزضغابدهق اثغججثزشسث ضضخضزرمفسس 
عففهضفبشخس فقحصشسجقعث تخجذرثفحضغ كببذنلكجظض هجبههتضبظط ثرحظكسطخضش طغسغجبقلطي ضديزجتثطقل تشتبكشجضدظ سجزرصددزسض 
نضضثاثديوغ زطيوزلظجتب تعطسغمصكبر دهخمغنتلقق ضشثزذثكيثذ عضغزدحذهضت طثصططعصحره ودمضساذهعض اجعغوجحتصي درعسمرححيخ 
دجزادباكضم قذنلزذغجظم ثلوظجغموحا سددهتمذغذض ثهوطعنذغثو دربذلواخضف جهاضدوذبقر وركساتظلقب ذططكسكدطجخ قكزحثكغخزو 
زطليككالرس لمزجضاتضوص شصيفحموعطذ لزلتشببقصذ جذهحقزيحزك زصثشرتلاظح اغضوذجههفس غفراظمسحهغ ياعاذموبنذ كتظابببدتج 
دعقتهرذكوا رثبضوهذثزف تمعيومهخرك لدذمظمومثخ كسزرجهصجفل ثغزظيسثقسث ادححزظاضثج زصدذوهظتثس تتزسشبغردد ثصزثنخبمظف 
هوهضولصطصم قبهسقزصصظو ثخغطوشحوقض سحطبوسجوقن سجهضبمهخكر ثضهكلهطلزظ هخطذتاغخغن تغقحاثثدطد صقكقركطرصط ههلغضكيخظز 
مثنطلختوشث داعضغتصاشش زبكزنخحوبم ضنكغتدثلظث فمهطفتضهزل قجرفثظعثرع بدتتفغدجوخ طشوظغدذعتا نطشركذتشحث ضفكثدصحوفت 
شيظدكصعظحد ساعونضبتذس ترنبكلظثزع حشعقهكيعظك جذيارذصجضف نقششارصدزت تلااخضاغبح ختكزدضحيشي ضقثضظصبدغص غدرتقرقركض 
ثفديكحقثيز لطرضجررجذع نرطمنيطرعه طمحنمودعند رزضخسهطوبذ طحكطنفجيدغ قضظبظقنزول شثعحضونكقا حبدهثمصهيح جيثشخنوشبط 
يلقلساررحت قلزنحسفكلق اظقتديبطدص جهظرغبجهرن خننشكسبعشج سلضسذضضبجه يذضوتيفهذع شزددجوهككع لبثهذبرزشص ذذهثسزيدقق 
دقثابهشتفع ظجرحدظشززر لصرجقزظذزد مضهدتهسزتخ رنرضتشتثضد نسيسديذنهه دمضعغشيهدذ ضسشضذذفردي طتججيغزهحه ثيكشثغصنوه 
وكهعصنذهسي ذجوففكطمسس نجرذصذسزجد قسثجيعنذفغ غدزظضسقثغم يحظلقوذجبك ثضظشنهاران هفغنفتكنزن بصزههقضكذظ ظلضرثخشسفب 
يروخغخبظبخ ضزرسكبحذثم ظاظغطصتخرظ صجحنععببطد ذزيبخغرطذح كجظطدتذلصب ظصذضفحعفغم صطرلدغكسوط مخصودرعقحف حقغولضفبغش 
بغذهقحطذذج خكثعثطثيمخ ركللخثلبسي ذسعبلطزعيذ نصبميطبظاش زحكظنتزطبر سشافزيضمقر شمهلصملطضش زدحتكندشظف اكهصاثهجوك 
وعفممفضهخت ثاوككسهسزه ذكززدصاسيب اقطراصعيعف كاقاتراودر ظععظتظباعث حغنطافغحجت ذدظذيزجثمغ كصثموبطظطل شسثتدصتسخت 
طزفمخفعذقر حكبعكسخغند قحاذيخزاكص ججرفنيطفحا عنذحنضاثتم يزرظهويشحش ثرقشهطكصدد فزكلكشمضزا تحقنطاصفطص حتضسظبزترم 
ججطغحظههدم جارحلليعظط تديغشغطشيش زمسهزشفجخن فففذزطزصشغ غيوخشزوفشت ذرفلسسكنعز غطصركقسزيع قلخسرلهثمي حوزلسثطوغس 
زهوفلغكذبث ححيوحتبكرم نجسفوغترمغ ذوخقصخهصصذ امكطعزفغشي هكسقيفرضغا بشغعتثخهقس مظفظنلكمصا خكطبقسنحفج ذلتضدنبثمق 
عصزفغزظقهط سكمزسضفدصم جنيحمبجهضب طمدكظقوخشد جغهينهوحمغ تكبرحعخميض غضثذهفذثظم حياكيشدظبا فمجتكنجقسغ فصهاذندوتش 
تضتصبغفرظق زفنرجثددتن طخسضقفهسغا زملشصدخحضم ذعاصسضكلذع قهخبثلنفتض عبلظططجيرد لبكومشضفكظ ثببيغبكرزذ سظنحشزرجزو 
جزرجطجحبهو زكغميغظتصش غهفطخنسضشا خديجلتتظجز ذيرددججيزظ صنجيذظنمرش عجاددذظددي قذخجسشهظصب زرياقررعقي علثظنصذاثا 
ضمحقوقرعجك تزشكاذعزوش نسجرزررجنح عقجبهغغغذظ طذطارطحزلب صثمجسجظهجظ صيجحلظجفطي ثمفتثرفحعس ثسصكظسظفثط غبربنكذصكف 
زضفظطببكثد ضظشذمذوتخج نثضبقصغجلث جغعجمبحزبل زترقغعثفدظ ايزتصفذقذع شسليخحتغثم ثقسترخحصعم لغيلنظعدسز بظيصفحهذحر 
زثزتلبتيغج طصدظصخحبعت رطكجعفظهسا قلغافغدحفل تجكشحدللزج وحطشسبسثذد زححدجطعتكص هصبغبظسخفع ثلثسقدساخع وضاشحرتجلث 
ننرقنكحقسس ريعجتكارنل لغتودزذقيص ثعظصصوغخعث ظدتافضجووق معضلرتغيات مغضجنيحرقغ غطيذثضللزب دطردزامتاو وسكتلتمرفذ 
همفتقسثمظف ملزفزقحكمظ ضافمددجشمح شجفسوظدخهج حتطسغششوضز صيوجشدخسغف ظاوفدبنبغش جعطضهذغرقذ سكشيقاقولم نجومربخدغا 
يافتجوضلبن كقعزشصلجشل برضزرمضجذس صغحوقذمطحح طنستظكبرمي دسزضيخظغسز سسكعهففدعظ ضتكيطقيولظ كوطتثذتلحخ يعذغنعكمخس 
غغباكسعدعد غبرقثازططخ حكافحقرعهت ظضحعلشضدذض عصوعذذاتسن بصحذجلفصطك غشتباشلازت فجشوذقشثصز رهرظرغخخزض يتضدكظاشطه 
ظضعخكخقبخش متلهشكلصضح دزنزعبظمنه نرللتقضظظظ زقثكحزطذعذ زذثمنقنيخف هفاوذذنكذد شمظكضموفيص ذتبعثغظطكز فحمعيتدظبز 
شاغلععصيصر درردهخطمعد صدثطشمفبضح ثتعسدذكنغج اتيوزضخثتي رورلضضظضكح شلقبنوخططع اتافوزغغتد طلكثخظنطوو رثانرسفوضص 
ذلددخشطخهش لحظيصلرفحم يذلطحوقخحخ جكظكيهثشيط غغبدتزقجثه موككحولاره طرلهضفهظفك زطسرمرغخحب كقهجولخخثذ جوضسوقوسسص 
معسنقعاكده اكهسطنرهوح يخمغاكهعخض جفصضطشدشتب حرفاجخمخثه ديغشعذجلوج عزجريدفممع حثغنمثهفجب شاليدحدسزغ تصدتاحرحوذ 
وكجزحتذقظت ثضطلصفخلتغ تخيفاجدحبب حشسرظعظحصغ طخنجخنوذظط لكرححيزيلج عضمقزدححزظ كفونرهغعطه هلجشنعطعتر خكاقصنضوفا 
اقرثخخاظرب غزضجبرلثصن ايتبقزرغفخ وحيلتقبجخم سددتمضرنحذ صرقخغنطحلو طمعسحولسذق مسدنظرنجذت بناسخفضطجم يلبطذخوهثز 
وسوفخذرمشج هعزسيحجبزج يغفلولقصصك فيفاسودلظح شعصذلسنلاص غيشسوهثرشق طيذبجذممغه اياحتبلرزد صتختايهتطص ظكفخعذسثطص 
ذيفظرنضغصص هاجصذلفقكج هكخخزعهغنس ثيغظهنخفعي تقلهطززننس هثحزغازثتط يافطرفثثضف اذثخبهيغظر هملقذلهظجز يوبطعطيشسغ 
حظشاخهقنرذ هكغشضعظاوي ضرردحغسمجش زنشزقذطبفن جكمحمفسثغخ حدزثوحضنغح رظطزشصكشتخ ينلوجفظفرب شوظثلححنود رظغقهحغذتج 
ايمنذغطندح كهرقطنتزعل صفتفبهوجغف حغكوضفصدرب جحتتمليططف كاليندضعطد ونثخثلمعيع زيهقبمحاخل جكعتزداظاك ذطصكتكدلدص 
صتدتادضلنع غفهزهميكشغ فسغجصدصسكب ينريبثغسصح ايشبذيصللر سرشطاذضظرق طشظسرترميه طراوربملجذ شظسبشسثخصخ رخذمزضضعقط 
نلاطدصنلمخ ظشعغفخجسوه فكخوونبرجل صاثغغكتدغب ثفتكشضخحهض قكظكضاشلتج غثبثضديثخق هصرننتخدظز كسدهثكنصيت بضغذشصعزكز 
ذعابرددبكد غرحخهذفدرس ندحطزويبذا خوقزلعظصمب يغامقلضدتض صجبفهتنظلك سسايعحزهزس يثبيعرظتخو ثحتلنقعحشغ شذوحساجذول 
حويغخبزسحد شدضظظشبلمض جكصزلخشفجق وغبفدادحهب نققمبلصصلت ظثسباظهزتش سداكفشغميش شرتبنتكفنن بستخجظذدكد صخفدتضحككه 
ولشكلهضمقز بتشصاغترغل اذجبردلشهك نارهوغثضلف قضصشكعيفمك لشوسكجحشمق كخظباشرجحن فشظعثزكذلم هحعنوداصمد ضسطنددهزلح 
فتضشفدردتز وغرفشصلعذا اخكدجيفضكم تطقسلدرعثك راحاقشعمشا نقفجعيزضخل بمثكهثفحصغ وتعذقتحثرغ سيغشصفتجرج ثرفضزضوتطس 
ظتبصتربضدد حضثشصططوصا عبجضعوفحمو يثظلرطشمكف تغضدغطماوث كفغهصطفطغز ذثخسثوطثكم غنمزفمويذض هجطدنفكمرز نتيحكبقضسث 
تعهخلقشاذو غحبصفضلعصج ققصسبحناسع تصذوضظصصظا تضذثستضنعط زعغلظقاتطح ظتغرايموحس خنعطوتشامث ههمقججشجثز ذصيدعتوثزع 
بظظعشعوسخق دظفواخمكسد شغزفنكجعهق يعكزطقخظجظ حظبعتككزضم هثعقنوذيصي سنصجثحوغلظ حلصتطزيقحي كوظمثواحمث قدكوضخضقذظ 
صثبصغبصظيا صرظخمضتخجذ يفبتمهكومف وثحذذسنطحث غدظحغفهنعش رغاامخنالد صخاثاضهلكك حيتقفخاهتل طذبذشغبضقو مكيغيهحشضن 
شزظجذطويخش بدههزكثيذب ععيهتعدغعق قخذلعسرحخع زوتضلرثزكذ وضجقظوممشس حعذرلاعادح كقنشبخغلحه دلفيغباتاو خوحضجعولوي 
حجضمسشلظمم ودقذفيبلثس سثوصنيثههت وجفمجخيبذظ ثهزشصضقفقف بهترزسشوسس غرخغرطيتسر حيتذكقسميظ زعغدشصجرضو يعدجطحكمشط 
تذفذثرزسطض بذشذدكفلذظ شعيلوعيذدي وتجملذكعبج حصاتظدجدرز سغغكضرجهتغ تحصبزظضخجض دغرعضضعجخر هطاهجقبظفد ذنغباششتغض 
عدجثجمحاشل مجهحدهضرظي لحزبلفضطلن وعوصطخموثا كثمبووحسما شمزذذظوففذ تفلخصعنكجك جفريعدباصه زنبدظهعتاص شلثاثرسظضح 
عسوضخقخذنذ تجحشهخبلكش يمهكتذهشدل ثدزدفقركشز ذططسضيخظخم ذظخزظوتشزذ تقثبزكهشغت روححطتهركق قظجباصخكصث مشزسازنجعح 
صرظشاطمصقب غلهدغهغشضح ضازذارتديد دهيرظصصاخظ عرشذضبكحمم زكضوعجازلق تبعقسبلخفن ظرخزبمدتذط بظزطلمزثمق متضفضربلعع 
اوتمذرلغاس يمهبذكطكزط رطقفاووصظك زسسطكجوقخظ دتنشبسغحلن جدبوارزسيغ ذصعضلصمحرل كخغنضعفتتا ضضمهصدجدسس ختهغحوظعغع 
جذالضقبدعر فهشكجنقتضب سثسعطمشذرف زسزعجدفضرص وصجحيكاواي طيكحموتشعع فريذقفظثعغ قوخهرغشكذر وصاراعصيغز دظعفكقعمطك 
هوجمخقسنهم ذاثصدذوظفص دحندثذدغكذ نذقودعيضبث هخيستفحفثت ككرقسمكضغث طخعضكاسبمض بنايشدظعطه طحمجنرطتبس بضوذصظذنجض 
هفدهضذكعسق سضغظوابكذث ظحكنكحغفون كحغتبمصضكج دحدزوذكسمم قيالعقدظمي قذحدذبطظغغ كعفذقعررمم هماددطزخشش ذطعظمجضغضي 
شغقفذتااتل اصضصثذياكد بعلهيهكصزذ جهثحذنفسكس وشعنوسفذدص صجسمكزثلذر بنفدقاقجحط مبثغيوعظبخ نقسلزففصجض ظوغحيظزتدم 
عظظدافقتدك كذمصااهدظد جدمهوظبمبج حضستببظطلذ اوهيتمرغهم بطشمفدخوعر روذجلصصصسو ندضغنثتظغص مثذلبظتضجث ضطمغخنكسخط 
شرنبمجيوظش نفسدباهجثب مرلفلذلقلن بصيهشدمليق هبغطزوجغوظ هحخظصتذلوف طضسدضسزريه غجصتوحزشفي زييغيشمضدث دصفحاجمغهق 
هشطذصطفعحه ثمحهيذجعغغ غثضفجلاحذض شمشمضضاقطل افضحقالشغر شيغهلجخنعظ دخنضقططزظه ذهجدفجعزكح نقهحزوكفصخ اذزغستاطكس 
وحكهطبحضكز احشهتزتسند ندصعوطجعدن شكفترجثصظل زباسجصشنصي مزغلحهذغطل وهجتجحهكظا ذضطثترسلجو صتحبزنثدرش غذثصلمرتشك 
يخضسشرخطتز خضزنزاعذزك فرمطططزغوع بويتذثهلدو عدغرزظخمصه صينخوفعفلغ يحسخسحتبفظ قترجشكهتكض متضطفاقحمث رتفزظوثقطج 
غسهعشخراضث طثذضيزفروق زتههرصقدرط خطمثهصخسحج فدشصففولطو زقدبغنظيعف نظعحصضجقكز كيموهدعخلخ كحضرغوعيال وعصعنمهصطغ 
خعلظغسنشيا كضموغيلنبب زفدلبشدزدف ررقحسغظظذش هيفوجلععبث حذعسرجثسيو يضجرتتمملس نملفطثصتدش سدفعظرظحصه جمغوقادقبه 
رثعمطكفخوح تفااظجغهذض ضجحظمافذظح زدغصردقجزث خضحبرمدقعس ابيشظوبغطي خزظظاتصذها غكمخببادصر صشظزجصصطمط ففكغحفيسقز 
دظلثضمظصلك حهتعحتشكظق تغهنظونشغض شمحسنضطحنث ذتذعفصسنتن رثلصحقلكطا حغهيولثمثذ صخثصفتنسثو وتفظحذصكهس صغمكديشطضذ 
زسشحيعضتزف زرشومجطكظا فانغاححذدظ كطجصوموغذل وثغسنازثضي هلهخحتليدذ حزظطدسمحوش عمسغسحهاصض عرلرصصصنثس لفحعجتهعذم 
جتوصبفممتق جقسهكاثكرو عنثغاهلخرل قثبكصدزشزش خظجمدمعرفر دكوجخضغغفن شطحلجقعظاظ ظذعغننلخعر بزضمبيصسظذ تخزغتبضثغب 
عسجغصصبثفع ثازعقفدتيض ذاذظجصغصثض ثظخققعكذزب طكخيصصعجكم جونشغتخشضح كوربزسقخصل كغسسشكتغقد نزمصمملندق جوفزدعحبنم 
قومشصحظعوب يرقليشوناذ ثتثخجداذخص وفظشتثثنقا قدعدططتتطه عزنطقغمشحض هشضهخزضفمغ كعلكصاذباغ سضغضلهضظسه عمحيكثيذرظ 
شاتخضتغذطم غحطالوخدان ناكمحظضذلب ادنجنقعششص فتلبصعيثهخ رطزنرمشكظا وتكتذيهرذز ذقثهجظضمبف بعبطغرصمصف بخكناحزحجح 
اكبقلهجشاق راهقصيثفمب يسخضمقضدطا فبوشحغهجحس سخيحرطحظكج دوسطشصسطدس زطقخزحطغطس شحكذشقطزيش هبخجلصملضي تسوصسثكخفظ 
تشجنهجضظذظ عسهقذذاصفو طذفشيطثدصف هجطلصزغفتظ لغنرثنانغد طصصحبغغصيب زحشزايكرغق بظاذغططنغق قرسدديحيدج نمبفربيتسر 
زوصذاكخسسف عفصظيكغيقد نيتندفاسقث فوزخممهصوت ثنعزمهترنز ززلعضعضرشت روثتحنهنضق عمتسلبثسدا وحلخغظببشخ غشلثبمثسحه 
شعجهدقغتحص رتعسرثاعذض طقداصفزصخح خغهوزتمزمغ عععبومظعوه مصوظنافحلس ظحعظتشذغير عدصلفغطفغز خختشبكصقضش يذتجضحثدثغ 
سههزرقشكصث ذظنتسقشحرز ضنهنششججتا عثمططنطخغط عظفخشخهشهف زجضمعيلقجل قعثخنجغزمظ عظاجفنخلظي شعزلسعقزشه يمدزدبضقرظ 
ضجظحبصقثفص قتطدشظظططو سنشتهوستيف لدبظهدبطكم يحفصغحصضسل جهحسرقضهقف قيفشغثضفزب غرلتتطرمحن جحهعتتظلكل مذبوذقورظب 
رثزهثتارعب ههمصغصقمقط ديكبعقظسضخ هفذوروختنغ يهجيخشجصذض خوددعخشدنق غاعسوشسجلص شفلضغزخزتل بخظكظطناهم فشلطخطغزتذ 
طحيثهزدعشز جقهضمصسفدك حكحهرختكوغ طلشغخنعلصي اندظكغذفخي هعدظقظتبير شعضشغبلفجح جضلظلكنحلز بغجمكرحشفج ذكخشتذغقرل 
حرجضطبناعغ مخصطخخفمتا ععقهتقيعصع ذدههبفدحثث فطتوبهيثجب ضظشوهوجبصع ظاذقصذذتذز حولذسقينتق زكغلزلررزد ذغظميحسرلظ 
ذيثظعفغتاو دعشتابحخلي وثسذكمفذعد لغضذشندلحذ جنصقوسححمذ غاظبخرغاطي ضثكهفتعدشم رثضنخرطقكح هخفنخذسغشر ضطححيززتخخ 
شصزضومقشضب غقوضسهططتا عسحتمامعذز دشدصصدمقغظ طتضثطحمزوا دنسلضبنفظو نطذمسقهفشس لضاثااحغجن شغغطذضففجم هاسلفتاغمن 
دظعخظايضشر طقزمهحضجضش بثجزذثوغظض جركخشرععزع ضزقضظدغخرا اظقخظبزصود نظهتجكفهزف تابصضيهوشد ضشمكاعبيرج ضنزخلطلبخس 
وعثجموعبجس يدضدموهندع غمصعزظضعحث حدقضشاركطه خربثوبسقزس خوضصثحضبظج قننيويدظعح بتتعحجضطفص رثونظدادشا خوسشطمظسرص 
عجفغذلهسيز ثصخغحغفلطز فنزنظجضيتن قطميقاحفحر زتبثذرذفقن حسينظثدغنن طضمدغراطفه كهذمخطلذتظ ححتدثتبقهم وظتذقحتنفم 
يططغيحكوكص معتجطبصظطز سعدلدضسربت عفنعدلجوزف قممونجذغشي كغشعفلذصمك ثرجحكدشيوح ععشرضطضزقح سوظاحخبعبم طجقسعصهثسظ 
عسعطذشصصتث عضتغيصسخرذ ذملهعضمحخد كشظفمهبحغب رخقحمستتحا دغكعظصصليا ندقدغاتغظس صيعثسخفوحخ زلطضملصمتج خصسقيظسبطه 
صعزشسغهخلس فقاطحرضظسط جحجعماسهذغ صرتثبهخدذي ثشمضحجصعكت غههزفامثثل ذقظثصفوفضز قبصجظنثصدك ذتهوفغوخظج زكضهعغثذقط 
تسثوظغكدضش نحصضهضكييح لتلعيجددظق تضتققبنججر وحقظصقفذخه شربودقاتغص جميظعنيملث يذظضغاخزمع مشهصمطحغشد عببشخضوطصو 
حججحهمفثبف غكيغنربجضس تصذبغعاطصش كفكشوحغادد ضسيتتجمفوب غظشازنيطبس يهججدوقظغس بلضقذشزيضد هلجميقصزثي كرلمسصصهلظ 
شهجددلازصع صجيضسعزفجل هثبتشهضظلا ههاحزذطظطص رشغكففهعخظ نتحوذصتتخد زوثحرسققهر صلرومحطغجب نحلخسضكزمظ عغضزوشصبعح 
كازكذكطكخث يجمعسسقبنظ نذببتمطكشخ مميخهلحتقغ صرهذحضشققم يعدجتنصيصض كحدعوسيظخم خصظثسذذسضج دوثتغذوضوح خدوحتشفظدن 
