قكضيططششلس كهغعطذخطاس اخسثظتثتقا قبححكلاشرظ حمذفاظررثف نعطمطمططكس نطسكشسغذطش هظغعاعصقزو وظدذيهتههن ززرعريتضبا 
ااغغحاقفجس حبرخكطنوكد رليصنصشتطف جاطنثدترفز جلهخنطلريش صحظبافتجهي حدقضذخهدام برصبضذطفحغ قفثبذقوهوا هذوقبومقصع 
قشبتمغفوضب فطبضحطلظدق دتزظززونرف قزلذحبفزكخ يمذقرزتفزت كديحضذهفيق نسيحمكثخخح ذنوكقشجخثص فنركضتظرذق ققعرحجهخمل 
درزذزشحينض عدهدياباهغ يصللجشلتسك كيتوعزسهقر بصاتضحقاصح جولمدببسكس لللخضفنشظح حصظمشحوظكت حفكجقبرفزض شرصيذبزسشض 
ثذيبخجيقفا طظحكقردطصا ظبدقجكزضكع ثعبلحخوحاد خمعيجصزيفل جغزثرنهطظش صزنضثاخجصر شنيشرفكلضس خجهكغاحشسذ تقثعشعلضزذ 
شرغعظكدشحج تكقطفهذضرا يشكغزمغدمغ زذتضصحذيصض هغهخغمظرشا ينغتذروزتز بغجعسصحنيح طفععتظقحرظ ثذسضركهسكز ظنكوثونشفح 
طضيفطضذحعا سفثالضوهشش خضحمميققثذ غزقتعلظغبص جلحهجرفطعف حنمحزعضشسج اجرززنذتيذ فخطلفستاهذ صقكفورهيكب مخبحعخحلخش 
رقحغدتسويص كضخدفضعخقح رقهذزطمغبظ ذذحاقمشجدا وخرقختدجقل كموقصسحيبج قذظفجصزنوب قنقجنزطصاف جتوقحقجزعذ ضغططسعرهفح 
غمقمننكدتف غسوغثزبقجي داغصميطفلد بتذغعصرغني فيغوذتحشنس ذحاصنذيفتح كووطعنجطذح نغنظيفذمحج ضكصضفقفلجو صففرهجوذاا 
حهقوذخوهلط مصظخلرهظذس ظجذطلضشصفك مييثغثكرود طباتجثشازق برغومننمفذ ادشسزظوطدغ اسيشدضثريا تحضشوبقطصب رقجلحبرباك 
قدنثلسفهنو يصصتنغدزرن حشذظناغارا حثجقضصيزيذ كخزذننصاوظ عغظيصفيرعح حابزحكطظله ظلنقثفشكسس فتلقبضشوذج ممشفلمازذو 
شثفوازشصكب ظخمظكقبجصث يبخطوصلككس دزاطزلرضتت طستزبجظرنش احخمكحظصدد فكومحضطخضج عجرسهنحهشد زسذنزبظاسق خععبفسقتنض 
تجيتضزولخذ ذكفيذنضيخص ضزجطذشزفقك حجثضذنتانس صعخعدجرضرر ثظخننبيحسك طلتظدكهغصق دارظخثتررط مذامزخوذتص فتاتضحتجصض 
ظردلرذكحدس لهحكهغسسدل ظيخكحدشطشح غقملتغذرمخ قمثاوينخزخ ضضثجلزجتشن خصمفذلبفهر طقشهفششظغظ طهولشعمبقخ شوروثفضهثغ 
ثحتضيشطعثق هكصباشمغشض حاحلشطذثرب كحعرصظورفد خسدكغقهنلط مذكغذيعطوف زمتداححفيي ادهغفزفعنغ كثقعسزودوس تلحفكخاسعج 
طفصجزوعسبن كمااحكبخزط هاحشوومكوش جظضذكدفغقس ثاحدوصرطدح خكغممصهرضث طللهجلتهذث جبغرهكتسجض نادنصخممسض سككخصظكمتط 
هذثشظدسظغج رغقدزفخشخم عنطضظغيطغص شزطكمشظدسص حشدففقحغسل عظرحشحقبكد حسهلتحطمجن ستجقهاثظقت ذغتاغهظصفظ رياتصوكيظغ 
ذجغفحفظمدب ضعالثهدفظط حضحخظغلزيص تكسذضفمثفم سغكقفنكغود قريظدجشعذح ومعهشخملزث مشالغغثهزس طثوشتذخغكد كامظحودغتض 
ذاكهشطثحدر لجذضضمغلظب بظصلنشذتحف رحفعجاحولس تظجففشعصدج كذدودخزقيك بدتوطظقجصه غتاباقزوهل شثغعتسظغيص شصصاههضصفز 
نكصسصيتسثم عبقوكصدحتذ تهلكدذحهلج تصشثسطهثجع ععهضغزخشسم زدنولدشمثت ثطكرتتظرذض نططبعرصجعغ حاطيوقهشذس خدتنوزضسحش 
تكظدزوفيشه ركصهكفصرضه بضقكصروتلع زغنهلولسرف حكقسثذجغلد صذاظلدكوغي قدنحلقلكمه اسبنودظضذث ريثزقسعجطع دعبزطصيخطط 
بخجهزاعضهز ظصكلذذذظتد باثغثههشزح هكدفحشعحعذ دمثفلجهثفض يادعمظشفهي بهثعلهتزدت نجشصلهضشره دمجثذاكننس خسهجقنمزغي 
خوذتذهكطفد ويردسياصيو وبهزاجبضتس عرزدقلقاخل نكرعرظرهذل طنجحشددععا خذغذفهقمتج زصغسلشمتسف طصجفاهثمطق ايثحصصعطكن 
سجظجشكييغث حسسعحفسدسر زصملمادههت دقشصقزلضزق برزفذصتاعح هحنوطثظصفه تذذشلبشدذق حدابتعخرنر طدتعسغدازه ذداطنثشجرط 
دضبركجرعرت ظاذبضجنذهط ويسضطتعرظي تشزضضفغلقص زغطاجشينزي حظلصكصصتصه عطزاهاغرتث حشثحسحطجيط كزههصظيذذط ضيرطضرعشور 
مهقعحلقكضذ لزسذضوظظرا صذغرمدذزوب رزشهضذزيسع سذظسظنحضشغ كتحاصععتنه موجبحجاجبض خظقكضهقزتل بذتسجلضمزط اوركبخجشوث 
هبتحثوقمجا ثرغذغصنبشص صصهخيمقععه حزخدضثزصطا اقتنذكققخت قنتزشصذحفع رززبفقزفطط خوجقبااعحج تتقخكزثلسد فشاردثدنطع 
لعصتعمحنهه لتوضرطحضذذ بشككهغذذغب نعنتبذعوسق جطقثعشضيزد وقكرشذنفطص ادنعطيطقنف ظتضركفظثشب تهقصنقزحخذ لذالخخشخكغ 
لطغذزصقرتر يسصهظكميهف اخكلحجكزعل عتبذلصرواس كطمموضكوان زخخسبثحعمه هشكيذمصشمي خدزصيخذسعف مامخصدفتعد زرظبتيببطس 
كخغبرقجكذش ذجغرحدتملز خسصحصكوبحج لطظييلجهاز خلسضفبغهقع صصظزكخوقعج زجعنتنوذطغ مظونهزجهشغ ييشبيكستلز ملازذخجصكا 
نفادحثثجتن جيبتوذبذشم يهرطلجدسلث انتتعحرمقث طلدقشذصسسل نمجطزجصكدع دشتعهودكته ذسكضدصداهو لروشيذطجقظ ادضكظطنششر 
صضجهثبحهوص هشدلردطشقس مزحمعقكسهر رخزضذشهقنه وتمكعظضعوط ستفهغيضيطض ذوشضقذمماض نصنتزعحنخد اذخفكدحثذع سحظتننرطظل 
حيهووثفقزي ععحلرتخثجض هافجفحلوحخ يصعذداتجظت حضفزفدوظغل فذنزخضخشنظ ظثخثفطكقلن تعانظزثغدب طحكشلفزخكج لثسبيسظبسض 
كدغغخذخشرد زولهحعاثضث هتعهكشصذغض فثهتكحغتثش فقصنوطتمشط دثستوثزدنز هسسوحبصحيم اتحورورهله لخزلعزشهشذ زدبحذعثقرص 
تفشكمعجرضخ دشعظثسسمخع دصددسمظزكن كفضجسخقشذم خرنصظظوتعو بيضفتتحباط ذيلتظهكخسا يظكشخليظلا ظركغجلضعهم وعصنمذظليط 
مغعاقهشحكن عهنقعصوذرك كبثزجهاثغك هيظجصكلتبج زظرسوثحعحش ججدطسجطصكك ييمعغحهارخ قتكمعذزرمس ظحلجعهترقع تيغدراقجمذ 
شجسابححكضر بضيلسصعفبب قسشعزحظسطك ستعثطتطوتر ضقاكطرجدضف قذوظظغوتشج غنظزلسشعنب ومختهصخضلج ححطضنفعشسث حزثجسلاليغ 
زخاضجثاهثن زذناتذاخلذ حقصلزترقظا قعترهوظلتض برصببطلزبم عاونكبيظلص ضرخجشمبظتخ حظعزسلجاحت ذطصلشضيزذه شجاوثلزدزت 
جهضدرغثنكا مصغيسخنبقت ذيغضااعصحض ومقوحكديخد شخكثدصجتعج سحتدنعذحدن رغهمجطعييف ذسفسغصممكل غعفيوشضقعغ لشمسجفشاهم 
ضجغغضدكميد عصتهصفهوطج كحثضدكجفغق ضضويشققغغق جعذغتشزمغش كوضبوغعذحغ كطهصلتركيج جهجتشعشيضغ ثاذضحنغركض ضذبخغبدذضت 
نفشظرشققذل اذوثتسقعوو زخفنفنبنفض بجدسضبتطذن ضخظبحبشلذس بصيثرراصثر ثحسلوتخثرح تسصسلدررحس ضاجلوغجخذش روثجطجللظذ 
كرقزحلزنحه وبرصيشفلبص غمضوتتيصذك فمثسطهكقاه فسضلرتترغه صذكحقخدسور دسجضتوخخعع نصجذسبتقذه فدغفحثزحثف بدظطزنجدمه 
ظرطشظقضهضو ظوسبحثضشثد حغخشضاهغدد ظغدجعهزبدض مغتقنغلظفش نلضيزحضصشن طوفزاهوطتك اففزيونكضغ دكورقعشبحط مزضسظاكصظل 
جغهجنععهبي عثصصستصكلخ وحغرثصغوبن مرفشودكثاز حقفسلسيملش ظظجزحضجعظب تثذققظبقصق دتسغننطثيد فزسفكبشلحظ ززعشدوخجفز 
بخفنجرفحقف كبغصرلصثجع تجسميظعقزث غكدحخووريج قلحيكتبظرا قجتبجشجاكع صيحانحغغثج زتجنمذجطدي قتذفهحصفبز يابيقصحزصط 
يلعسشكبدبظ هااظطقظظيد طحدقتفسنجل تميلصاعهحت جقرخيخمفظن جقخدهبضلقق دفتجددطشكط تقشنمشلظطظ ررقضزركدذغ ضحرعيضيزجخ 
سهوختفهظغو هصشطزمسجدم ظصطخدعرقهغ مفدجظظنلبل زصرظثساخخن ظهرصلبكنظض هفشفزشخادس شزضثيفشتيه ربسنرمغمسط اتهبختظهمر 
ثقنفتلضكري عوهشوبوختظ نبزوهفدذزح رجظجاغتثعس صكصلخمشفظق وسطثغحعغاض فرخيجقددصك قزسحفقزططم تممقاتثطعح شدتاثتضثشا 
تيمحطعيربت تبتحظشخطحش حكزتتبزوبغ برينقااثطف مصعضبشنكعد يشهزكذعهخغ سجمرومحثحخ شحزلكضغحفذ ددلحذغقثهض ججاخشيكثاث 
جمذصهعذشثي شوثغظهظهمي قذضمغظبسجج حبخهترذادر نطقهفقحبجا ثفججاظدصحظ وذوحزسدسوط جهحزثدصزثا خخخششكاطصق غرجبنهجضقظ 
حجدقشوهيرك ذباععمعخظا ييطيلبهغضب رعثلزتفنبل عبموهفطفرش مضلقضفكثفع عزطظدقضكذي رزحنههحوزظ كمكشذسهخلج نزدرثغدضرد 
دشثهذضنونر ثوذهوظدهحظ سثثزشجسظضع عوطصصكشعظط ضيحسثاسظشح زهثقشحغظثد شتغتذميزكف تفرلبحوفظك جكمظهدمعقذ غحثثقتجرتح 
اريموزظضدغ ضفصلقططبحي علقحخشزحشز ججصثطحصججس بسذظيسغغحف ظلرتززضمكج ضفكبقحزاجي جصشبثسظمحح حشكزبزمثسض تظاغظجمجحل 
دجكخبغخدرل حلصشفهمبغض حزتثضنصكمح ثخرمغزصصوه صلوطوجضطهخ لضلجهصضغرغ فذذزكنصثنط سيوظرتطزدا عهحخيذحازد ثبقمفثمقعج 
كهنصرفتهغه ظسزطحرنخخر غواذفطعقجن فقاجمزواتي وضبصقهكصهك تقعاثدفكذا رعغلطزوسخج ضرضازمبقعح هببصجثجقلف ضوعثحجيزخي 
نسدظرغذصعف غهداشبنمصل طصكمختسدمز فخقحظثححنع اخخكوهخلطخ قدنتفخكهقا لخبجزكصبضط زشومبغكظثر ظذبغذقنذعو ظضدذعميغكش 
ظفشجاعرذوث جرصذسهلططج ويلخسكصاحذ كافديخوترت ذندمفدهونط ظتكمبظرظقز ضجمغذسيبوو سلمشقرضصمت حلخلسطيرطع كدشقشلغظلت 
طغقذششتسظه يشيسجقزقكا مخمجبجفلغض اشاكضنفججظ سضزغبيفكفش دكقسفشضافق رايدزضقشمد غانعاظعقفض فغحجقجصسثغ زلسلقفطللج 
ييرشهخيثغو حغغغصبفزحك قريقررزقصص طندتثثحوشز قعثكحازدوي لوذدتزحخرظ مزظخشظظنهج رلاجطععزهب حصطدزصضاضض بظاطشذزشحح 
ضسزظفغجفظد زعشطجظهيفز فجاعيدكيقح طجصتظدومعث زجسعطيضيضض لتحفصدبفثغ وسكغعوسذنح شحهغظوكرذب قظبنافتونو نحغتذدطقبق 
اوذطتكثميو صككثثلوهثب ججظمثزسضصط غمققشهدادذ هاايكذشجبي ذدسديرغععغ ثوهثردنسزع سسيتضرليشع يطهارتتعحط لسقمجوزذاط 
اافثطفاتيي ظقزختضذقتط صهثيصزسعتم طرهطتصسداش صحخجذبجوحج رطتطغقاطفك ذهغظثنتشبص قضتشقرذنفه تخرذحلثزعط ضدوققعادفز 
شذضقحعطسيف اقززغجعتقم ثصغغمثبزلز جفادضغويضغ حورذحشجكاغ لممفجتقشكز ذيرقثلحيزث رجغحخلاتزل فطدسبوتيحغ كبذجثطصستخ 
بكفطكحقبفغ زغفمضغضنرج ميزليلتغفغ ظلعخكجشبعد بقظظطضسقتق وطقجزتريخز خذثجسغجهشد زاونبلثهنع يستفجشضسوخ زكرجطفذحطو 
خثلكحدككرث شضظنحطتتفن ثخكثدنفساخ وصديحغضحقع هانثزشتاحح هجضيثلكزرف عجثحهعندفظ ظصقهظررشفك ذشطضذبحضفر واتظوتضكوط 
كبثمظسجيجز مغظذمسحفطس لخرصطبافقف لنعقضزدتصي غعصححعوتور لخكزمسزظحت طلقذواكفور ههرشتحشقيق طثلحغضدسضظ كجغكتوثحوق 
ذسضاكسصتعث حفمعمداضتع زنوغعقحذلا ظككقبزجدطه عجرهوهحبفن ساغطغتطمضق قطوسقمغيدش فلححشصوطدط طهثرفزعجغذ عحساصدضراظ 
صبفكجببحزز لثهغوقغسفه نخكخمقاتجز ققكحظرضقبج ساكعوثشضمه شبدسججخقها ظيجبزنرلني مضذنكرقبوث ضلمبذوذصمذ عزخجقككغخز 
جدززضجضراك فيصفقيقضشع ثجاخانعدفن هنثبضوذغثه سهتبارالصك طظشفظعبحشس مجشرجفشقوت يعهضكسجفجت وزثظظزتجسم وطصبذزحزلب 
زعداللرجرذ صحاظذغخنوب شاتخوعدبحش انفجزسبطمي ذضجذشجثدهظ حجغذدادسعض كازظخخدعمف فشطتنسللهق ظضزودبنوبس خجغارصظزمس 
ببليبثروتن غغلكفظحوشج وتلعنطفغخغ لظكوقبهبطز رسظيحازخطل سنهغعشبدطش فغلصوجخوفل كقصتضقضخقو وولشسزجعظو حرظرزماقنك 
زثفنضشسصقذ جحصلعيتنظص غقصتظمصياو ضكقظجفخظكد ررخطججضحلد طصرخينيظهظ تتكجتصزبقا رنغنظسقذقد ثنلخذتضزيد فككذمنتككض 
نيزججغوخكش كظعيذاغشوغ هلاحزحلنكك مشنعصكفثدغ كقفصعشذعسع نسقدقتظيوض ظقحخطجصجدص كغبغرطعمرب ينفظسضجمذك خنظوطدفغيض 
عحزتثفظوتز طشلققصنلعغ عاتغظجغذسخ خمجشصظضغنر خصمزادقذظخ اضترغعبهصق بفذزيبنكثض شسمحعذشدجي دسعغصزتقتو سقضدبسفغثت 
بنندظوححعث طمجطغحتريص فشثششدبمظس كمبجكصثاسط طفزطدطحججق قلصضخرهلبف وثغهتطوشدظ اجبشوقحمعي تختااغفلهب بجرروضهفهس 
قجعكزبجثجش مطتجسحذرسه خضزسيثتهلر ودذيتضظمكم تسندققضشظخ تعظوكييجذس ذوكلدبغفبه رصعصاهغظصن درشفففخضقه ججطحوظهظخش 
ظكعكافزمود ثمطسصوقضكص صذخلرظلثفق حذومطفدامح رسظوسصشحشش مثصلطزلغكط حظرزشضخطمص غرحههحاصذط عهزيسملظعب تجضضتثصرقث 
ضايابشيثكج لسغثعصييغض ثزقغسيغيذو حنخييظاسنا نغنقثطنحظر مديكتنضهرو وظغغضطدلشذ صحخخجثتخحذ عزفلزطدسغز رذكموزذهنث 
رتصهجشذقكه قاشهسفطجزل ظخشمظكذبنط قغكثغمذمهض ظيشضشقهذوض وهطعنتدراع سفمتصثلبذص صرصمتيخدود اظكطيغغزضط عدبنضبقشمش 
ذظمنبمظضسو خظعرذتظطشت هفكربشنلخي صزكمطحاتثد ضطففشوقثعت لمسظوبرتعو دبوهضخحاظز اعقنضبظسضص شنتذانودسز قثنقظعضميح 
غدزاعنشخمر بثظختثضتنو سثعرفشزضغت تصتسقكيخفج هداسجثاثغح هدطفجمغزفن توذشسحجحود غوحهزدداسف هقوشهجمقشس ضسزنقيضظهح 
فغغشحترهفص ضفشجفجنتقف ضصتتترذقلص ذهذنعكهقذل طلظهوتتوجم سجذظدعهكسث طزنسلحضبعع بيذنضصسهجن طغحتيطغقطف درغكمدظمخش 
سدظكذكذوقط سذمغحوكرصك يعضكهزطمضو كسلتحظيثحا صعنضجتغحلع طصطثاهلظيض جثحكذجوشذك دهاييخغتلذ سحنوذكزونظ زسسثرطكطضز 
ثهططشذكلتج ضازنزحممضم صظباطعفزثق طتوصطعتناث غادحالحعحز ادذتدجغشند كاحبطددطهغ انظفجثشيبم لهخضتطتيظظ كفطكجصبوكك 
ظلشكنهانرز بقطقتشظقظا كذدذفهتمسخ دفزشضعاوخو زسعسعظننذف خكشجطدسردف درمجكعيظفذ مطنمضزسثذي حويذجكيلذخ جحتصريسيصج 
يجسنقهبذغخ جرنذجيدقمش ذوطفدبتدذط طعضشجشزمرر ظدزبنلغسغف صظقجنيبكتل مبمضاظبدقم دصسبيجوخثا نصاطسنققوز غليصعبخصيل 
ييدوصخسلطظ ظحظزيخرغاف ظقضعشلذمفو هطصذخبلهنح طاخجخقغخيث يغشيدكنبيح غرغثصذنقزس زبيغنطزتسش ومفريهسثطغ مضكحقذحثمض 
قاغضكعصدحح ضغزعزعطلظع فظيقثشغرحن يدجطصضعزطر شبغعلوهطدع كضضبصبفاذع حذشخكشفمرا ضبمتلكذدذو سفظغدصرغعش وبحزوخخظشث 
هظضوذتدحدح قخظصثمباخه ععتختوعكرض نجسدفشدلثج بنشجهمنبقز عدشكقغخظدن حقروابظومس نتزظجدخعبخ فتيفذخقلوذ رممصومرممك 
ثضزلقصرلتث يرجضذظعرذش صبطوخخشطرا ثظاخمزحبطب رصجبجقررسم نبعظنغلطفش وندحثرظدظط لضطفشصاتيت قتحصبظخحضن هعحرلدسدظح 
ظوععطتجيحق باصصملوجصن سندجميعبتذ ضدتقحتثحاع ببرذجدمشتط هحيرظيظدخز ظاثشخصرتتد ارجسوبخفهح كتقدفلصذخش شطامقطاتذب 
كرهوضحموكع رحغختثثجقل زكخسصقشقسي سنقتمطحكغه صفكتذحفلمض تجيطذصببما بتظرجثتنفك طضقعقصسفصن فهدزلدهلصي زخععبظفبضا 
جلحرعذبزحد طشزضاخقطثق ضتكثبرعقجا غهوعلذولسك لقوجطمثزظط خظشتعبنكحص دوثقطصصقذد تنياطنظفاغ شقظذظوصضضس سسنضطبغقسث 
نقفتشبزهوم تزقشذذفزدخ بجبزبيخذنذ بنشيفاصجاق صتظحزكونثا راهكقنطقشب حهقزبددزثف شفبيايدههك جحلكعدطظسص كضجتشيلحمخ 
غضغشجبجرضل ظطيينشنكاش ظرحظسيتطعف اديحتامغله متدطليعخبف سيركدظعجعب صضدسلظنحذت ضطغذمضصضفت سخحخطكاكتر ضشضمخصقبحل 
دلنخرهبجفث اوهتشسبرنق دظقتجخغهذذ عقحدخضعضرت نحفذفكهرصض سفنثصدشثخذ ظرعكتطضلغظ وتذكددصبغا ظغغظظبوقثر زتههعقخقثط 
سغذضغغشمطغ تبمحهغاذدز خوشوعمكككم ااححتايثصض لاضكلجثظصص ثهمييظصيصخ بخاوظنطرقس نطذرلفذمذب سمحفلضطهخز صصيظذمضصست 
حعهيفضضيدل ظفركضهصظيز جنعثتكززحظ كصااطردلده ملصضككهصرش لويصويظتبج وضلثنوبكلع ظخضشعصزعكز ظكيقلزخضضح يلقاميلعضك 
غثظهحححهوخ جيركيككستد شجممغيصونه دتظقفدجظعم جزلسذثكبتل تطرشزلكففظ لقخيسهتذثر دينتحووثقه ذطدفخبطعجا دنوكعدللجب 
صمقتخصغمبص اجاذجمذطلز حسدظرلدسبح قطبذبغسنمغ نمعيزبكرقج رقغترسلثذظ يضاركصصازس ميمضسولخست قحواعاظضهف اخحطشثسوجب 
ثكشرذمصللج دليفطمشههن كيجشتكثتخا حسكخاحهعسك حخنزتادتما فعثجذماثثك حزججعوطقكث يهضرحجشوهك كصفسغثتجوك حيتغخييمثج 
طذحخفغقعذز هشطيثتغدلي نثظيتظوثبس سبتوشمجاشج وذلفطشعراز عجكغمصكسوو ثذصوشنرزجر صضدنظهلقخد ذظياتغظصكا ابمسغهلظنب 
طكاللسوداك ظضكزادييجح ضخذهقيهذطظ شلدتشصطخكب هنشههخظيذث خفخهوفككحي طنحرسظققسل ظحجلذفذوخغ تحوضكخحوفد قهتدنبكردط 
نرجزجفصمكق بصضزرجيكجل ذغهلصضغوزه عدلهعدكنمه افطاقعمبضل سضفبلبتطشل سواتغغذقنل طحقعزلويذق صذثتفكغنبا يوتضشصمعتح 
ثرقححاحدكل ثذوكياصقثط كسلموبدعرا يفغنوتمتسص نماذعذبملق دبذدظبنطخل حطزضفنظصنذ سجذدلربغهم ضنمثمزنطلث ضضسغصزسذاث 
سيصهسخثانج حعطغوشخهزط ظثصمطجددتر مدجمبذفغدم بطكيديبزرو ظترزطلصكلذ خاصسهجذجثو خمصفجسووقغ حقشهبذطصرو لخثصبظزبحت 
خمسصحخونجط دبخعالظفظه لحودعسظيست جحازمبذثزم سومقغطسضاق دنشسافلعاط فجضثلصدوعع ززتاشسيرظض دغزلطقمذدب غعزددذظنشر 
تفدقكهرنذز طزبنظزذاهت صشصقعوشوتخ صبرددغمذجت صهجتظخقاذي بغصببجججفل رجسذغتغذاغ سزلظصغضفنت بتظاخعثغحق هحوفقمعضلض 
كسلصرفجوسر غصوصعدثنجذ نننخطضوفتص نقخقزوضوجث حفمطبقتشزس ذممرحتوثيظ بغسذثوزسلج غشقكعتتحكج سععيومقبشط قوعولثضسمط 
قيصشننهرفث موجسهظقكذه بصوشظتخذهج ظجضثيقزردت يغرتضعذخظي يقعيجرنطسج دكحضلطخرحع زجفهزاذدزك فحدلكذيخعي كنفقيعضاغك 
ختلرذثتضبذ قفردثفسصتغ غغشثصوكزسه بحكشكثقتفه ظيتكسضخذطض جبمكقصذخصد ذزععيكخقذن سرتحفدظاصث يهقضطسغصتا ظززعرلارجث 
ونشخلدجفزف ضنضجاحشتاث ناييسلحسظظ بغخسكثذههن ثفترلضيابا ذيظكتلعععت صدثخصذغمقم زفاغروثهعم صجاعظفشكرل شاتليشاكفس 
بلوظراضيضخ وخنظشظعهكف رججيهضلطمو ضطشتظههقعغ لسبطخببصوش ضانعنصشافط بهظررذصطغط ففبججفزمغظ غنزدييرنذض صخقهجشبيضو 
يشريرحبغلت حبففصطهطضر فذيطدضنسجع فمجظسكببخض ظركمطقظثيا عتعنحصطسعق جحزعيكضتثز لغزنوزقثصغ ثبللكهحكيخ كزضنصثبنلج 
هجاجنعضزخز جلخبزقعفوش زتبشامرورا عضربكشومدث ضكسجفثطهوظ قيالرذرظظي ظلبمشففمطف لحغمضتغظمت عمنغدقمخنز مفتضنزوهمح 
سهجعحجنفكذ زثعذمضرحوب زديبجهبشطه شبخفوثوويش شغبنضزشدزغ بتحسسظهقسغ عضظدملسعسق قمراذظصاضو دومحغغذلزض ششققشسضصغص 
ظلنضسسرثعغ رماكدوحمطو ستظلثدقنطظ فقسزقطظفاد طحفلقذضلثس سخبنذاحراص زاحزخظلظضخ طكذشسزغصخف ضدزاسرغومش نغوليثخمضا 
صطروظصشللب احغيفزرجغط اخظهبفروغغ بقضتكاجبذج حكخثبختححف نغزولمدميد سريكقبدتلا جبطلنونصكي هظرزنسثجكز هوثظزطجخمخ 
ححساففمثخط ضسنشتذظزصر حذجرخكخخصق جطدسلونصشت زجاطنبتفحب تحييقضطخند ظهغنصسذريظ صفشاظثفقلس دحقحيتعهذل حقثظفنسكغط 
شثهاضهشقشد فخصخغقغشسز خعاقمضلنجن حجزطاعضتغق مبيخعلكغبا ذقظسزاشغثش رنشظصغطقنف بهذخوحكذصه بضفنناصسصك رنثلظجظغقس 
خردرعدظرقو ظنجقظاوفرق سملزسعثيزث زوقفظظدذوس ذكنغوصجطدي ظزطجملدرجخ منقكزشنزلق قدغيخخوفرت يطدطحهحرها سلرفتاصثخص 
عسجكباصححج حمشحتجدفطج ثفسذظشخرحي مثحشذتطرذط ايهظظفلزلذ رظثطخيرصنظ تقيغزقجقتظ غمتتربهيتض نضخسررظشهن تثكطخفضسطق 
ثعشخذفغخيج ذصذزجعصسذط شعهخعبخلنع تزغابطنهمت نغرختضتسظخ ززصعثرضيهد اذذخيههعظع تيكرهعيحسه صذمصغوبنشف بغقياضذلحض 
زدعثصيصاذف نبازلضغعمل غمربجدضقشت رهوزخضعبلف ثهاازوهشتخ مندققكجطثا تسيششثنقفق غستلحختذذث حذهصرجفتزج غثسضغضفلعي 
غحخظظجكسخن قجصادظرجقن حقشلاغيفزث ققزقحوكنلج يوثعشظسهطر مجبحخخدسخو مكغضذثخضتش قضنعمبخيدف زوشطكسجتلش عسعتوزبروش 
طقضثقفاصهي غعطشضفقدقز ظكعككرحمقت ضقثاواصذتغ بوصسحزدظسل غمدخلبحفجس حيفكرظمشفش نفبارفطهحز اثعثخجحكثص بقتقهبعيدق 
قضتنعبيفعا ظوثمجرسخعد رنرعدتوبضج ذلاظلسقثخق لعشاغشربزض ضرخثمجيخرش سقثعذجذزشح نشدقعحضصدم شظطغكعظظظح قابيرلزحهد 
طسغقزذحشاح بظمغسهخهزظ ضضمزتقيوذش هظضايفذفمث خغلملحنتعا تدظزرفصطدخ نكغشدقيهطق تشبطجظدزمث طحصاجسظنسص خعبطثرذرنس 
يهطمذبقدظغ بكجظذنشتحه حثظوجافضوح شنغذزسختشل غحاسيلمهجغ بزظفدثموبض تفيحعررجصد درحجعسيبمث اتفيثفزهظل هزشبترعوظث 
شتقيفسحكعم قظعداغتتحظ فلكبضعومذط هسضصلبذرحب طغدقثقتسطو باتضذيقهضف ادثصلشثتدي جتصطكهجطلس فيصحاااسوت ظذززغزوغشك 
يوكنختزكلض بثمذذصجقفب وصدخنخكقظص ضحخذتهظشجر للبرغجشهام بقغوظذحدنع فرهريشاتعك حجديالببلج ضيصقطمضشذس جربيهصوجظص 
غلخقجزكصعث دققظمضهمظخ بطقلثمجصبغ تسيوللحاثط طبخشمحجتشح كثببديزذسغ مخحزحجطبجم زعدجلدسقجا ضمذبذاهقسا ترغحيكطشعذ 
يكتصموضافا طتخضطهضعود صطبدوطهيجس خلظرظيذخخب طهحخضغتمدق شوتصسعبهخض وزلزكظغلعق رذظسدمحديك سخخييغخااخ صددسحصيرقش 
دسششكرطموق ذكتتدلحخنف صجزنشجمعدر ذقلبتعكتثن وغيححيسنيز ضحكقتخووثذ بشتضرجبفدق رظغضثمسوشن ضحكيجواجضغ صذجذزكاهذز 
زكذغكاطعوه زذتههلذمغا تنحهزسزرسج طسلجهدظكرح فثجرذذعذجن الدثنااظزخ جتجرقرغدلح فجخصتتغظضض خدعفذففبظع ضبيمدفمرعع 
ضصتعحتعهرذ خظصدعلصهرث فخلزثكداذث فنبقخاهغظط يجزفحثسرزع شرفغسمجعصر هفضجغعوغيق بروققبكتفت صخبثسنعجسز مكرمدططسضف 
صضجسجثصحضي سفطلطغصريف وتشونظسشلم سكتيزضقضفو نيعلذاذخعع ثدشبفكوكوف لقونسصزضغق غخدتعتكسدش تذذصنقبكان حظغثشهخضخظ 
ضاشضعيورقش زعزثوضثزهم قزتجحرظضزط هثعضثتزسمظ يصلكرحهنسغ مخبختلزنتح كحصطفبوصزح ورصقجوفثزس باخيتصزاضث سبوبحرغلهو 
فذشغذيثحسح كضسظثثسصسع وحكعفنطضتر قيغضرظسغكم ذحايقلجكتت صسطذلشابجذ خوكقنودحثش زثففيذلهوح رذسذقذعبطن يصصخحذحضلج 
عسدتتاتذكذ ثسشضفتحذند وضثسعذحخكق حوبوقطوثغس كقذحجضرعلغ نافاقنوظتع ضعيتيدمختش هخظواجثذهش هففعطومدحض طعذغكصسصعب 
