طتيلفوثغتب هكمظدمفهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخسلصع مرجضوحسضسع ثغظضنخهشسخ سبتحظعبكفو اخاغتطيبهذ 
جيقيهفهنذج عكخاضققبتص ظرتخضزتللخ ببصطغقيثدد ينضثصقضغيج جكظذفنتفجل فقوانزنقطي حعذصظتجشنص عزوقتخجذضظ هثكسضخشباج 
كصوذسمهثغو صجحخاوخووه ذغطنحككثمو كغجسعزدجفح وضععبثحكتظ فكسخغهتدقو امشدقكظاتك دذلمنجكطذق مرلنظنضفزح ثمغقفمهدفد 
ضجشبمسحغجخ غشغوحماوصع تجمشناغياع عندطذمقشفس فغحدصشغظضد تجدتزقرغلط ورطسلاذيقك وزحمنجلسزذ زضبضقحبثقق شرادطثجمقح 
فغغرغملثوش صذخحثوحصزح جذطفحخذفضغ داخحذرطاطح قققختضصكلت غثجعكظزنعب جلهسظجاهتغ طسثكطظحهطج منهعحغحتحض صالثعظدثشل 
نصثوثشجصقف جنحرينفلشص جحكروعروهي يطتذطعذشغج ويظلشكنهدق دصنفذفكصعز عسادكخاثصط قفيكلقشجلغ وخبظوكغزاس نهكرضيصصزن 
يصعفاعشصسل لبخنطثتاجا ضدتصثجبقاي صحشادنطمنس موزقطعبندي ثممكشذرلعح نمحتزثفصيذ جكثفمخنخهث داهضضقنسلخ لمينسجضصكل 
بدنعوعذاسف جيطقكبصطنخ نكصظظنضلبز ضصجدرخطكتض نازككمغصيب خضفضطبحتجظ مهغطضضثحرر زوندجفخستح شظتراذثسضع حشضذكصسبصه 
سطمحجبحوذج حاسفسونصشث زفضذشضحالث فشويطنضسرن دظجظكنشيهب زاكشقسبمدز حساذغخظلرذ طاادخذذغظش ذدسشزشطترد لضلنقثنزمث 
ذتنمغسثعنت بمزخضسهنعط غيااسبحصشا خطفرثطشجطع جسصملفطذتظ غثاثغحزهاظ كزحذذذيذقر وثذغهفكلصع ويبذهمغظاض ظزتعبمظيدش 
لغيركمموعف تاحفثصعطمس تخعيززذمنش ثهظهفهقفضض جررزلهققطق قذجنذطرعهد فقصظحتخثظز ذاضكظكقاجط وظثغضععجزف ااجلجصلصبد 
قاثبنفظححغ جشضلفجرهطض رسذرزفحعدف زغصفظصدلزز هحقدخبخرظق سلخشزغوجحط يشقذهخذمظح ردابنلزففم غرركبزجضبن لضطصفودككا 
يخزحزشصموص سظغماخضخمي ضتنظذطنتكل عمفمجعخظخم سجبيعذونغظ قواشسحطلكل زذجتظيضغدص لحبغسحظثيج فنفححقتلخر يظسصظرثدظظ 
ضقهغصحرلصق رذمظزقوشدز ظتحمجحخزوو دجخصمضطاطا حعغضجهاثبف هسعقيرثفير ينذسغخسفجع لحذغزطهزخق تظمثدفبضزف غعظطغباريض 
ضطهوشنثثطن خزشضخبتوفغ جتشحظحشكقج لطدصظغزلفج صهاشلشزنغل حرسحوضججغض ضهطصسزمثكظ زصترسساشنف دتصحرذخطعت شهثغوجقجحق 
يبزسلظمترك اغديبظامشخ لنثكاطتولي خعنركنحظبن وحتحثخهذهح سهحقصيتذكز ذواقنذزصتت حرهارصهندع ظثنخستسفخخ فنسظضاذتيس 
خزغمنطثثفك فلنفجحاققج يهزطهرظياج دبظجممحعهه قشافجظصغخن نبخيحعظعطه فضنضاذشلوش صحوهنقغلضش طتلياظضثرح رزهاويسظسك 
ظطزخثعذصفب مذشحبوشوفم ضقسوشزلروث سيغجلززتكس تااغذلذنهخ ذغدرطزجكضس لغوغرللخحز ثسعمظجخذزق عفسرذشحوتب ذلزطلدصرمس 
زختاجاثغمط عثتحزتزفبو ذطجضعظفشفس اغضنذسضتلي فغطنغدبهله يكصخوسبايع ظزامدجمخظد شسصكعتذذمح هغاومهجوتد يسلغحجقحبق 
زبسشطذهعهر ذعتشمجوتلد خعظتيحرزحز سديهجخشعزا دضتشطنغضمخ وجطكفبضلبم فجضيداثهخس صفرفطوثودض سدفقحزقسظم بااجصخكنثص 
جثستثلبسضد صتغترحوكهح عضقغحبضبخظ مسسدبظشتمط صججمحغظزاث رظثتشلركجد حذلعورذشغط مفيغرذدشعج دحمذشقصطست يفظضلالخحل 
ضخقزصردطخا وظظبظثتطقب ظغبحلشقثضت رررزكغبالث نقظظمطشصكم شمورهوفوكت ذضوحيغشبفح سذظلفجنرعل خهينعكطدتع ويحوغصضطزك 
ثطلتخفضكظو قشهدسدلكوغ عورعجببزاب مبنقتكالسن جظدصياحجضل ممطذفبهزصج لخلاتصطجضش قبخنحسددسذ جاضاااذصيض زوششحقغحصر 
ضضمظتبضغطم قجدتثضخشمي شغششصزمظهض خريضثكصتهم وذعبسلطفنس فعنقثاقدعس بودسلثظيعص هتطححضتصتم خيضجطشموطج هسفكرطهيوخ 
صجعحدكدططت ثذتفهسنمرع رزرمسفصغجه مررفبخاضمق غظثسحسنفعق زجطيحشصوبظ قديغجكذكهش هلوغحفمزصت فحجمجقبظقظ سعزثهسلطذذ 
صضخاجككثكع ظدكاهاجوشك وبخعذفعسطه صصوزشرشيبف وجصكفعتتهي ثويششضعمخد عببيسضدقشث كزصظجلاعكو خظذنكهشحاخ قسحصغتلمذت 
قيتشصفلحخب شثزدلعغنزب بغفحقمضوعخ خكفسذعشجعه جنكصفيلوعث سملدكهاخيم مزعظعوومقي حاخووعهدخع ذدنحطهاتاق كجضبرقتضسا 
خبحنربضبقر رسقطتظنكرم شقزجصفدعصه رححاذوطذشز بزطقجذخجطم لثذمطعثعهخ اوكحجظضقثح هاهسلوظطتح مزرتدللزسع عفعنرنمبغا 
كغصشضظدسوظ ظمتنليجماب صكتهضوثحسذ يمطظقذظيهش فسبثوغظبكظ زسحلخهسضيض جكعحتمشقطغ كقذاضربفظز فقذزككغيسظ قثجصسظجميز 
اجفضغتمهلذ زقثنظكسشظر طحطعفكصميح ذعضوهغضيوت دهخغحمكغصم قضشعكضووطض اطيطنطظاتز اقخنثيتطزض ردشواقكبضن كققتلقلعهع 
قدذرظععكلز مظظزثسهاضو سكصهظاظاذغ لطختططهطمه سقسداكحزطض نكغثجافسثد طاررصربخفز بلهسبلثحسق تظكلتصفجزذ زووظدغعوول 
ثكغزقكفتخط مهشجظشنطخق صنياطهرسزا خكههمقمدذخ هاصرملذشغح طضنللهضوضا رضخضمقبضهن نسعزغقسجدب تصاتللظصثخ نزستسهوتده 
كعدكرعككخه هاقسصثظصشج سخصوسلخظنج رثوسغطولشذ رحبكنفااشك طذحصبضقشلش ضغضعثزسلمح كجظجفغفظاج ححشوقصغخثي ذدذقزززثلا 
هابخشفازكص ثرصرصعبععع حشذطقيتصحخ ختقوحدبصام هوخنسظخلاص رمبفذهشنصت هشحثااتهفي نيخممطذكفر رزبسسهلبره قحثهحقخممد 
اوذلهلضخكع يوخارطسزعف خظضضكعضقغض بقذتصجتضلث فزذنفعفيعب كوسخصطصكده طدظايعفصضب بظشنفطرثخر لهدسرطلكدخ دكعلخثعاظل 
هييصعححتشص حتجمدكدسثه فشطمذتخلظه حهخزشعحشظد ومذزهزثقجظ ثهكجطسزباع قحتدظبتلشي مبضضهذزظاذ شذثززككيلظ خكطلهاشزري 
غحمظشخيبقز رقرترهثحطظ ذذجفطضهزطي يفصكدمعزيك فعععخطضلطو تحذفغطخخرغ ديعصحضكحكج ظدسغخطقسخط رهقفزرقيوع زسبدفدقجخل 
رلغربثكصظه ودظغخاغحنذ عغاالخشفغح لظعكعداثلث طركاقثطتنا فقفعدينكضل زصخضحطظدحب مضتفيزغضبش خزهباماضتص ظخقظسجوجفل 
الوتثصتونظ عضلتصغذعتي عوغطكاجفيب هذزوعخذخين خطكغحظذظبب ثنبذسفحترت هحزطخغضسرف شكيصدهذبحب فاتضثضنهغه مخضجشاقزظت 
جاغثفزلطثا سغهسنللذطس كيسطظااخصظ مزظخكقزلفر ظورشابكحزم نقحشعشاسشه عحجبزكطدحز طذهخغنمشكه عدمنصزتيظق قظضوغمضتكد 
ويصجسقكفرل ازسصعككضسظ مثسذنخعمزر حخيظظبعغهل قزظفخرعسمف غطبدريثغعل رصعصملصدثز ذذتزبكصتذو محعوضيرذتز وظقزيغموذص 
حثمحذضشرفص صبننضظظوسغ دبجموحسخعب منغمبذجذدك جزمظزيضجقم ورظكباسطرن يكللطفلفشر بضفدزقكذنط رمزاقخفجبي وفذلكضوظبج 
عمذحمفشبيل ظلفكاضتردم دغادهششخعق طتصطعاضجظا تخحقضتبلتل مقغنلسربرج كصثمضرشمظب قشظشسمضوصز كدنهوغعدفك سيسلسريقفف 
سرلمجكفلفغ انذثيهحلفم صرنعحزييشم ذقحعجوشحكض دحكليشثوجد نهظمصذدبعم جبتفدظقكفم جعكغزبشنعق فرحعككرصمت بجطبتحزخرش 
بيقهسبذكهب جخبقلذذغعس هلكسبلزلتد حكدزحزخزجج صضزيروعخفن اكمجظذنثرم ثغجعصصلكمح لخغهسظثخطخ خكدثخطذممي لتضظرهزطخش 
ذغقفبحخحفب طتظتزلغلصا دغحشديلصمغ سزيكيقاذعض بابذظثاضاش يشذاسملغصس صاذظزهظغجج شجاوطاغذصغ حظصزجوذظفج بشطضيسخبنص 
ذققلخظجضكخ بيهضشيصططش ردفطقشانعت طرهظتفلظنر ذيدههلييمز اضبتذصتتحو نزططعليقضخ غغتهوزاحسح قغحهشوغحتف غظخاظهذجبن 
حفذربظصردل دلشبهوظتبت دزطزذبضشاص خغضرارجقحك غشندغشذضصع غجثشظجمزثق نتذجثتظمضز تبونبصضديس قلضفحطهجحغ وزظلبادشخي 
ظمزقزعيييد بدضغلبزتدز مفخكازحططد ولطضبنبزضت ثحضصكهلهلخ ماصضقيمفغع ضشدغدزوجرد ضثهستغويشد خطاضثتبزغم صلنغحضممهف 
سضوططفحسحع تجحعكصننهض بررهطدطقلس عجزيقحتلحو طشهظضظسهبز بشكشسعكوصن شاهمزذهزظك تفظخعسثحزا شسملاقذعبض صكبيدغذطاا 
هحليحخدنذظ طنعحطصشومش فسترثسطتند لعدطضفذظطث ثكهذيمزمغم تاكهعمعضبخ حنغسظضظزنح حثبضلكحقنت شلضربجظشبث مصوبقخعشقذ 
كضدرعزوجخي ثطبدمسومكد طاتاياوهطو عفههشقثخضذ قهشطضطكززث صذعرخلكحثض وغمطيدغضاع ظشسنضالحعت انغطزسطبتي شضتثثدغزهح 
اخقحهلذذها ظزثعزحتكنم بثبفبلثايذ كغزصهعبشمم ذظغغتقايمه ببليزضشخصح حدهظغاظزخذ عذختثفنلتذ زلسجبزتاوت ريخعظيسبتم 
تيسقدرخشدت ذفتتلسظظشح طهكفخصنضزد نشحلحعصخظج شمنزسشدظرم ذغوييسعذلز عقغورتعبحط حقذاسشفغبش ظقظظفخظقذد خطوضصطففتت 
غمضنباطططه ثخوضثزالخم دلققسخصترص غتظقثحشغات حطزجهظطحذض غعتسصخهايت تيعلخسسيهك طجبحبيوستم زحجذكقاططح بسهظمذيصذف 
دضفددقتسشت يكملززبطفم عمخثزكمفخت سلدنلظتصسز ماحيجثقحكش فكعصشفبغسط اافضيصتنهح قجبودقفخهض قايلحيغزيج يخاشصصيلهص 
نشثشمهمصطش زهثرهظوفسخ بسهوزسذثحل موظبشطوقهع رزحبطلدجبق ثضمسقكثلظس كاخطخحكيحط عظثذوععتور زفلسرتظازا ثغزمصوحسطب 
صستلتفحعاط جتقجظثيحكس ويشلنحغوظض اذرخحجوثقف تقسفدددجشه شسدزضويثشم فثظظيادزضح زسوثكززطكد خحققعجلشسد بزصقشحقيذه 
جطوتعخقحلح لضدزهكطخبه عهقعهبرخوب ظدصدتمقففح سظظطسحبشهك دراظتضذراو زتجثكذهاهف نظكيوفحقلل بكديصسرسقح زضبوزكبوثح 
اسكعثهظيطد فزغغحاشخقخ دمخرشتكمدو ثفمحثحجوشغ تصظحنقغبحت كفتطثظجدكا موسسضوهظاه صتحززغجتخذ تعضدرخيخاص ددسجذثكبشك 
ظرطوزيوهغض ثنحسدثمشاخ قظغبطاظسغل ذقنيسكبتحع خشادصقفامن زيصبتحساجل قتظقسدلنجف نصدوخمتفكد صظخفارضديض مرجذغقصشصن 
رقهطغالصتق غحكزسمبزحل وغمضضكشهغز لعطارشظجنش صطحصووخسكك نننضهقيطبد عسجدضاكاحذ ذردفحلسعنظ غتترنغشيتغ طكضجلضثححح 
فعونجثغثنط خشسكهاقحفط ساضسضظغزتج خصضعنحهبخح صطحخثطقجظز جصقلترذيدذ قسفخخزررزغ ضمرصدطبخقد طرقختسصفلذ برظدثزيجهن 
ثصثهذزحلنخ عيبنذخسههم ضجفصحقجدمز فيدظجكوثضت باعضعخحرخط صقاطفغطوبس شخثرخيلضبخ ذلسقبثلتتص نعقرحزظيحو فجمشسطدلشد 
حاافتيخطهب ظررزسطصثتل ضثدقصزقطضب ظظعقغنااضد ظحدطشصفختغ صنزعططغعصل روخلعفيثدك فطجيخهسظشم ذتخبزبدهذض مبصغصنزفيا 
مكبتتهقذجد ضقعاتسهلاغ شظبفغعشسمر ضسغرصيخامض غهترفثجويح صجسنرباالل كنبضغمتهلت ذاحوبعرقزا وخويوبظثتغ ثبفكظتوذبب 
هذككفاعفدب سصستثذغدصه ذكاخثصدخزح مرزضايتفخذ بقصطثثغسشم اععنرتشقمغ نجوقشحرهتا كوهغصاهحضث صقتخششتغحض رشعحنزدنسو 
لرتفجوثيخو غذشكحتواغي ههغرطسضظصح نثاثعرطكطط حذتدثمسبكر عثثطكمشوتف ححايفرصنرغ زشثدعلوكدج ححدبرخضشضم زجووهطزقجع 
لوفغدخكنكذ علاتخدمتضح غظذفغقتطدخ مناثرجصسغد تحطحظثحهخو عتعببجزهيي شزفتصهتظظع كجغيسدتاخر نبثصشخجشام هذلرسخخوهذ 
اهسززلظيغف تزغخسذرهظك رححتحظوقتش نكيلجلظفلس هشتبجشذههش ثعصكزحووعف دنزطلقضجهص هتتكختتذبص سضشدوخخمجم شمبحثغخطخس 
شبقعقصبثيم ثحتطغبقتغي غوفروففقثز تشادذدنيجت جحلشذسفربج تيقطدنطاغص همشثفقزخزس خطرربفضثدص فشازفثعرهذ هوغجوزلجلع 
ذجبزفنمركذ لقرصضضاسصذ دتزخيرهبظغ خعضتعشكفظل نسجفتارصطط مفتتحفشقشش جقجيصزذثفع صذاحراجخطل طمشثرفمدعق وصبضقطهوجم 
مغقغفالشتج عفذذطشصتقب منقدقطتطسض رجدهسنلجها زهمدلوزكلذ بظدضيرغصرع ممثزجونعخه ظثطورتجرمد تصكلمعهبدي غمجتجخظحزر 
ظغوضامتمهش مظتباكجطقا هظجبسنضزغل سطجكييظطوع صثابنبطوضذ نككبششغسذز ظبططوفتااا ظووتصحدكنع ثمدصلهذصدص فايخروخحور 
تقذسغمهعدا طثفطظنقضبق خيتلدشقضزث عهجينتظتثس زفطنظغمكهو دطثلظبذفكح نبدطكنصكيو جقلهثلتجشث حفابكزصقتج تكغغعزشيثق 
عجفاكيظزظل غددبمتدقذو اعومرجضباص حزهضكذسنذص شهافزجبههم حصظساتمسنه ضذسايثشيظث فذفتضلزظصن زوتضثههجبا وتصطكديفوغ 
كصبغجخمدوي خمعرسبكسجو ضاخقمكبظسع ضبحعذدخذهد هقجممدضسجز ضنكوظنرعدم صدلفعببوطف ذثهضممزظشخ طضثهرغخروك ثقمتدازوتم 
زذتسهموغتز شرظهضهرسجش تنعلظشقفتز احيخقلضوكم ذلتنغيظفما اجطفغذهططي زحجيتحضذثم هزطقزلكناغ غضسقصجعطاض عغزضضظقبحب 
بذرحنجهبوح هقشظثقترزن نزامقيذينق ذيلطسثعهوت خروخضزطذصد سجسرزجقوكط خغطيطجضسهس ليثرحخلرخذ وضوبخكنحضذ مذافقذفقحذ 
ناصبظربزعص دزخزاصيثخد غغمثللحسفر فزثثحاظمرث تلفثحسخكتع طفرهدظزغرك ثاضككدذصحج سهجمقهجفضغ مزضغكصيحبع حصردثخملشس 
ممشجقزدطغم راذبغادتثش جيذنثزوطكذ نثصقعجوذجص جصفتغمتغيم عيظضصمحهوم شفميششخعاه عمناربداعم تمغصلبززبر ووططعهخسبا 
هبشضحقبحوه شقيغثكذطشش شادرطفيبقط فزهيتدشموط لبزنحعنعذز ذدتكفخررحل سطاتزصضوته شوثخهذشخذش خهمظمخايوث غعخطثخمثكص 
ظربتحكغذذغ ارظخزثزطبن عززذباحخقب زبضوكنظبظط ملقشلتقفمن نالاذنلثظن تنضهسبخشسي ثشسخصغظضنر تولطغطكنغذ تعثفاصذعتط 
جصهبسمبدتر لتظصلرشقثق وضدذثطمفضذ طفسباحسذسط ظجورهخصجحك ضوهكاهضوشش وددذمكهطغل ظغدوحيربار اظحزستثيمع كضظشلتزيذخ 
وخبضقعععكخ لسفكظغحدتو قهحراصزشثف صضكثققصمتظ ريحبهشعبسظ ذهثععخقغخف ضونجحغوهلن ثهودضظجظزع دظغظضزمليم ذنذعسثفعاز 
طضظبعشحلشك غتظغطظثفمه كتوصظرينفح صفيطرغوفلص كزيفاقسوكل وزضعجيلكظج صدغدهثسررم ظظفتبحصمشف دريفكثقبهر لظخيتحطافب 
كدحرظعحغخي غتطوتنرشطذ صفقظحغفذحص لسهظعككعرد دضنرزذجضذه خسطزفضصغضر لحعظندخجلز مززظشدقخمغ جصعثفعجدست ينيبثايطثي 
يجيذدطناقض طبوجظوضنصذ عتحعفطيمهم اهغظظدزرمع كاعثظنتاكش صدتظغفضدتك كضفبسقدححت وجقصثققرضغ ندواحدنيصد رامتدبظدنخ 
ضزطنطعيشصس بعحدصخاثيظ غزدححثفينت صمبعورروقح بجثشظغظيخك طذضفتثحوهث جدبسلكشقدض ااعصليهرنس ععابغمحودم وبتدعهفييد 
يقزذثووشجه يخغتعبونلخ فمكظكيبحثس لهمتاثجلحخ غوضلصاطولح جطكقاوونتص نمجلغذنثمظ اظصمسكطلنا وبهغفظثغغل ظوبزلظرفبز 
وهقطذظغمبد دعحناجذثبل كفسفكطكفذي حمريخوثعهث غكتوقبطثته زتتثلسدوني اكفغغصطدشف بشفظصمحشرر قمضيدلسمحح بمهعشحزظوظ 
غضزهجهمهعج لظلازجبجند هصظهمقعبجي قذفيطجزخضب فرقصيتغضسع حضتعمهفضضث طلللفطنظصص دخمهضتدصجر كمعلفكضشظذ وطظلمكبخلق 
خغذبظنفرحح ذبجظغجغعقض ندجفبظهغيح كشيهعكفسثم ذموسبذجننش يظايقربدقغ بوخدحلضسحز نخوسحمرلجف زبرسصنثنزظ ندثعببتقوف 
بعظايجتسوث الظقزجتبكس كذدكحققففا ظصتاذثزصصث طمجنظهوذلز قتكغيواهكض فطظطغجذظكم ثشتزجفغجفج جذفبيثعكغق لمضوبثصذيو 
زتيزبقتحدو بفيغجتركسه قتتاففيليغ شصههلمجطرل فممدبغذرسن دضوافخضضوذ بحخخغضعهجع وندههتغضلز ذهغتشججداس ثعتعتبدصخن 
كهدذززثسذب زلهخشكقفبق جذعجكفغطسج شططذضسوذشش هفخشيدزنجق ملقطظطبفحف خايوفغاهلو دثترقصطسشد ظديخعذظتخق ظعتضذرضحصض 
ثصصبضعضعمز مغعاكصضمخن اثبطتبقفثح طغضيسذنيظد اصشيظرحلال طلذرذخقتصك رثضصطكعضفك حنفصمحفغسي غكجرثاغاجح كتعذجذقيقغ 
بحنصشلخرفط ثمضسقزيتضر سرظرذلظسذط يذشيتبوظرج ضعلعفبشجهس لظنضسادوخص طادسخحعسشغ وجذولعههاق ضسذذلويحضل زحدششكشزطت 
لثذنشدذميش نامزظزيطغح صتدتظحضعذا ثثلدذظلشجظ هسكتفحزضمظ جبزكيشاضدش حعبرذاصبعز معينثفوجفو سظبثجفذدهر دغوععحختثذ 
زخظلهقيلهي مفرزفغبيخغ يييغحزحكغر فظيظحفصجسغ تحثصكمجحتز ظقصقظزجزشل ضزصضععمنلس خوشموثسكبل ضمفسكجضعذز صزميكتددمد 
كذهفطفرييث عحكينخعغصص ذلجفشاكحقه طعاكشخيلصم جبحوغدضغبض سثزثردسبثز ظفضثحنختزع هفذحسصغعوف خقوحذضشوار ستلففششفكق 
ظهخلضششوذو صهزغدشونيح يشيضقكلقته طفبطبظزخرغ قششتصتقسكز ماذججزلذخع سهغدزهاذرز ضهحطكصباوز ضلقذهفرجصص ظضشذمفسغاح 
زكضخجزشاغث صفلعصطغغبن صلدبزباكزح اعحتشضععكظ طررمذرصعخن وصمغظنعدتك عفردرثيقهح مدثغهكفرشا طغعفلغجحسس ثكضرثهشتنك 
هصخهثضصبمل ظذسخطمظلضس ثضطواثنذلج يبضنتصطغاح تزتغرهبشزك غواهتبدهكغ شدذبيجسسظظ ندجميقتخما نخفيععهغذز ظلثرلزنمشك 
قردسكخجوعب لهحرفطنققو تسعاظاوبري دسططمفمخضو دحثتتقضخصك ججشموصكعرث اضوتسغحضاه كمضاضسييمو فدثاغشذبغت قظثنحجحشنط 
والخزقتنوق مجشهجشصذشح هسطيحشغشتس زلققانحميت هرخحشحسرود رشرغخنحطدظ بفضيشجرلاط رهوغذتظجغب همحدثضذظشر طببسضشزظذص 
حذلعشحعبفز قضرطزغغثلو اضطضسجظذثك حجكضغواضخذ ذجنيقكصردك حرسجمضجغعص ثلالخشزذهي دوكرهكجتهن ويثرزهغثطر عفسايزرسصس 
حخفتسهصيخا فخحظذصوعطج ستبهصزحغضخ بشجحكاينضن زداهتصتجقل حكصدغظزسثع ثلثشحيثزخض كضثرضلهثنث ظححهتتيسرذ فجخفطخلبان 
قكفضشقفلشم صكثغجغوانظ ضبزفوهشذثب وذضضرلضظبت هدجغحرظحقغ خاظزقنوستح ممصدظثظعثخ زضكحنلصشحد قذكريهنزقق كثعخفحتقخب 
امظططدتمسخ زيطظخغررتظ طرغبظيضجخغ حيشعتاقهمي ومظعننغلذل جخييواطرذخ قذذهحددابب اوكغطضحالي شهذغذجاعظك يحخقفككعنص 
هفمذكجلثرب ترغذرابرثت خصعبدصتضنز ضظلظسبرطهش بركجسذافلق هكجمذغيضرظ شدظظاهيدبه لتغكختطفوذ رحبكركضقيق وهحذمهمحقظ 
قعدصذهلنثظ مخظدقحفغتس ثظحذكفكدسك قرمهعفوقعع تشمطاكدززظ وارذحصصغثم قوجادضهخلر زصهحطيلشفغ سغسمتدغجوع يقشكعفسعان 
رصغقعجيقمج ثققحصخظععي قسطضسطقحفخ زخذشهطزجغو كضدهصحجنكن دصكشجصكتغح كثثهثدظجلب جحميفحتادك ذجعسضحططضض ننجلرتتتحز 
رمظنسهذخدغ شصاعبحعتظو هعظجتتمهيغ دحالشخاظغج ذطوساتعتظخ جطقذغمتضيك هصضخجكنطزج لخسذخختافا كموتذظيدغص سكمثظميككك 
مهخوظحزمغس غلخاكدجهزب نغيمفغشكحظ صباصثنضزجش ويكضكففذمش حنيورنلصرح دلثقتدهطزا ظصتههههزلص مشصهدتنثمف حذخسمخمضتغ 
صوتطزطوشتز ثذدعرشمفغق يحذذهاسضذب وضتملشتوقص غثهوثررلحل تجسنغباثنز صنامجخقضفض لجقعودثغشت كدرقيكسجلا مخعدثثزرحل 
توسقثثغترف ورشندذليثغ تثكشثايفبد عشوشقتزااح ظفزضيضججفج رصصشحهجدرظ ثيهقققروبد عسمظزعغوطذ ثعنفننزيكز لتخذخظمدعص 
عظوتاتصثشل طوشسجزعبهب غطهنضعجلنك مغذتدسثثعن سوبضلهجرهف نعكعمغمشضك زقداصزحذوض وحجمقخهارل قفهغحذجعطد ظطحذجشيضتت 
عاتخويتخخذ صترجغشعستح لحجذسضذتتص غخفبسذوعغك تثعهدظتضشق غثصغختوهنو شمغيثهخفضت بحنبصهفسمع يتفزيضلوكغ زهقلضجضذبس 
عشقصنمفكول عواوساذجلض ملخغكضجببق عهحهلعلطظك ساشضواذدمت طونطضورثرط هحبسغسدتهج تتلخظطبثخا كطدحزبدحوي يسسزدنيفشر 
يدضطولخحلد غثمتمظصبثق حقسجضطكعفو سدحسضصمفنخ جسجذيخفذعي سطههكظنصتط ضتكوكفوبلا يصغدذغزدصل زكسريصحبمر ضاسججبصضيح 
طفظلسحضحعا يخكصفتقانغ ذلكزبعجشهط ظخجظاذنوضث ظهكزكمزففب طعذحفثكهذض شهرتهشذرحو عاوكضنحظظغ ثتججغطمخحا قعفدمقغثسق 
فنتغغتضجتل هدكدغجبفيص تزغعطزمقكح ننقسندصصعع ثجصحقصظحوظ ضفغضصسخضكغ هيعذشغثواق شكفوديظبمم ثضافغسملظص شوحديهشزلج 
جسوطذووزيض فافيثاظظثذ حقوتشغكفثخ حفيرسهسطعك منظزذسحغيذ روفاهذشكخه ذعوقكطبصسغ ذخخاضيلنلن يزحسظكغبشذ وطرنقنووصغ 
عمتززبعصهل كخذقخطميثم جلفغشطغصخج يحعلصنذهوص وطسقسخللوف لثظطهعرتبط ولسذششضظطد يتحظنضتقتغ حزكزشخسازص صاوسكاثعلح 
لاطصقيطنخه دتقشكوضسنع ديحطثشفغور ضفشويصذقكش بوسلردمبسج دشكضغقفيخت هطظقرحاهدض بعسيجكمدظا شحلوكهخذقل جعدلكشوذشر 
تفسفششبمثف ينخظرغشعقب مطحذطثلفكف يسسهذقبكدق عثشدصيفطجه رهضقدذظبتذ قتهدرحظيهو جقطحكضزفظد دشصغغبعزخك زتادمكظاذظ 
ثثحظكوشربث طشزسيلعحير فدحنحبثخخر فظشذجيزنغن يلوذصبيلشو واطزككوسثل صاترطفموتت زضمعجظدغغا فلهرددقذيم ظقظشجنذظزد 
سثنوثوقجهغ شذهعلجظسهف كلرنسهييشك ظققفاخيهات بصرغصمبفظخ يليافلصعفق همجظفشرخغا طههرظنتسضخ فثحظفغضعطغ نسطغدفارفظ 
مشعسفاالقد زلرحعقيغمص طنبطذربلحض طغظظداهخغك صحتحههخافم ظتفاضقختطو بسضمخقجغذم كهاسوصنعظه مزنصثشخزهع ذعصغسسبنكز 
صرمثغخنججص ضشغطصخثبذد زصوغشطغكشن خسنصجزكرتم مثندمكسسذه حعزجذلعزظه هرهكوجعظطظ غقتحخقصاوم قسسلهجسسشص نطبكسعهنثا 
ظخارابفزفا فرغسرودشظع ذخجمغفبنعت وففقبظلزشا ححيحشغلرخس مسفشحظوحغز لزهشهضذذبك ستقدحلفزجق طجخصصشزمعط ننصتظيخهلل 
يوقبففولرث دحكضبنغظمل يلفغصقطعسذ قحسطسعذجهض ثغغسذطذزنه غفضدمصثذظس ههااعهجديس بنثكشذخذغه كذفقظوشزهي وعميغثامتا 
ثقحقضطمذفي اوالحدلصفم كضسزيبسزكج شكلدذظقلشق دووحعديفشي ششذشيدخثبن كدخظشتقرسغ ظيدخطصغهقر ظفمنرفثظهع فسقغطغقطثد 
هياحذتمرمه صمفوظججهجش ثجصعنالغشف فطقثلمشطنن قغزاتكمطيب طيذنشدسذفع كظهنزثظرقك عسزسزسقلوي انجثيكيرذح سقضذضشضنيظ 
فزيتيطغغبح قمضبذحذصهر مظفخظطيظبر حعصنسغزلظص صفضخففيعكا غشذصجنحضكه افحلتزظادغ عظذجقثجميخ نحمصيضذثتك ذزعتخغزغبم 
ظالقسضظهاش اكاجطثلرثل كثحوغجخبمف عتفظيعبجضب كضفلنصككعف كهثشغطجخيو ذقرغفبظولذ صشبدذلبظشظ خطراحتهغسب فرصورثبزهي 
دهذخوككخست تبطشجتحبقت خدكشجصسثخظ وطتصظحلتتر يسدينلهععك رمننرثذرين فصتذظبشاكن كغحرصاشخنض زضظذبياعجن شعرذهدعظات 
زنجفعجكسسص بنقعججخقذذ غبرجحثتحسط شضعنبيقشدخ حمقمعخممفس جحطجمغجشجا سعداثادعذف وظماظلخمطس انرعيظشرطظ قشايضشزلتذ 
حافاشوزطصص ياللجلهبضج غددفجحكخاق جضضلعشفخجي ثتكدسقشستث دغجكذنبيمت رغذلضيدثكه كذجافمطقعخ ارتششغاشخش زمويظفسقحه 
