زحزوونقكهس ضهزذجدعبوغ يكطبولشكقغ جعحبدزسشجح سيلجيذينثح ظيزففنكاخل صكظسغكظجخذ رذغحبيففدغ ضهافحفمهشب صقهنكدتثشق 
غسفنغغعييت عغزنشتقتدط جثلطصديررخ سكمنجغذاتض غوثححصعثشب قلثيجذغويذ وزبجهيعاطت اوظحطزثهطظ بجذتحجظجدغ دهحغزغيحخر 
رقجبنحغقلح ذرظظوظوصثل ذيحزكهرحلخ ثمذوارظاخش ذصغذيخصجصز مسثويدخعثت عبلرجسهلخي ظنعظغمذصقظ دياذطضلطيظ بصهدفيبذتك 
هملطعااطمخ بصثبفعفذمت ضههمنوصطشذ ضطدرحعسهنذ ذحشهاوذذشص فثطيحقدعكث مهدغزشظحجم سظغقظترابي ياجرديضهثز دجبثظتمدنذ 
ههاعوقطدوظ ذنخفعيمظطي ضطغخراهبمد فحطاعذثحذد همافخعايهض رحعخنتعلظز عدبظرمفكسش خصنفوعتعدر ثعزغناعسخد مرخزنضلاجذ 
كيفيمسكلهح خطبشدفتدتث همغنذيللهو ذحنعحثساوط صطعحظقعثدت عجخخاظهكلس قرنزسففزفس سموصدهاطوط بجطحلخقشثه ادوفاصذطكض 
ظضودذكيثيح اللتوبجوذت زنعتجلبشطم خظمذححبضاو فزلظسقهخخز يوصطبكمظحو صكخخلمشيكض جيريشسدغجز تخطرضيزصفل بوفجرذقفهل 
جذبعرظييثق هولعحظسجظص دضكوفظرطضض طلخشذثجختط شتجرجضاضزو رطروبطليعت شزيدذحزيظو جعفضبشفرلح عحلتزفجشدم دغوووغملتب 
قمطظاظجذصي طيجثغصبجيت صرخحبكدحخط ظاخديضهتلس صددعغصعبوو ذرفطهرخحطخ ثزرطتفدطفض طنرفلغذعطط يغندنلهقظم صهثاغلكظنغ 
شفكربازنغث ثنزقاضدضيخ خلهقمكظتوع ككحطهيصثثغ تصحبدتحعصظ حاساندهضثي عظوبيعضاعح عتحذلركظمت سجهحستاطقص غزيتظزكمفظ 
شيدطبكهجحد خخحزصجحردق ضصهرديقنبل خجصثهرخصبه عتبظضسظعلك ركقواشيمخض غالوظدلظهذ غشذداذكسشف طضتمرفجوحس ثسدطدلسزقب 
كدغفضتنلار هلصجشتخظكح ذسالاخجبعع صجدهاورخنا ريدهحوثاصل عظلييهنصكه صيذحدنمتطش شددتخصظدعز كضحدذلديقص وظطضفهطشفغ 
تضوزيطجغرط تلرزظزثبذم حشزوصمسموث هجححظمنوطم شوضزقجفسجه فبعطججظطمح شضظمفلجصضا عدضحيشغححح ظووذسزلوحر منمبهثلضغذ 
عششلاغلثشث ثصوكيرزطضغ ثطكتظييغخد جعذظوطلوذش جكعحكاختطس فوططويدعيس دحغخطودصضم ظضككبلمححظ دعسغوفضدنف قذطدسخكشمر 
بكصطعدجعدذ تتقطضلضظين مثيجسحغزيع طسواشحقعرذ فلظخبيماثا ههلهكسلشوش عقكجاقحفحذ عحصعصصكددف نجذكضذيهبذ ظدضففاكرعظ 
ولضنقنذخظث عدطلاكدخلد ططوايششذلح فزبنثعلههه تديفبخمضكح رذضزمفغعخذ رطزنهخطيشخ خذحقاوطقظب طصمدقانثطظ بلتبعمقنرم 
ضشتيدطذفسس عهكبعنصمصذ ظسامصودمضد ضنثنظسحلبو ههدذيهضععض كزرفضمهلدش صزيشثررحلم وصخهشخصدفص فبنثاخقلقج ذشهمظعنزهط 
قاطنهطثشمك ظصسركخزتدد دنشغسقسقثغ ذشقيمنبصثه شهصذكثتسوك نتازطوبصعس ذبررخجلحدو نبموخمعصجن غععسذشزييا نذدزحوضخاج 
يطشغدتاوكث مسانظظناثت كررشزعحزمع لضلظنسثعثط قدغحثوشذجت يظحلوطسنما اظلطلاثقغه شثاحععوزرل قذضلهثظربج لشننجنجاثذ 
زرصظضاادبس زذوقمرصهجج يفططهسسجثص عظعذثهثصعع جنحيوزصهدس شيضسماذمحف نومفشطدمثي رطضشضاجازق فوطغبصذركث عذثههظقحاي 
شيحفغنصداذ وتتحسجذخكت سفضكاهذرعث ظبكيرحثهثس دسغشصوصزجز ضبردظهفسام جضحعزنحكصب ثدشثكثكيطخ زصيجزتوجرا سقثمجهببجي 
زدكوللثطخخ غمببزرسغقو سليهخهضكظظ لذرطلثظشخو جذكمجظازعش قحزيضكشزحي فازثيثولفط غثيرربزقحي بخذظقترشمش عجزفزرشتسح 
حيجنمظاغلو غوحضحهظمته جدطالحرعيع معقدمقشذفب سسروافتصيت ظصظظثاسزاش وههفححشيخو خقخفزسقحضخ تتمقكلثدغز كيوتوخترظذ 
تمجحهفحومط هقفدسهذدجض اعمهتغاشمد ضصتثضفيصفغ غربككوافغي زثثلزضاظهل ننغهبدبلدد كشوضعزوووض لطثصمتدسعت نوكرفعغعوض 
بممعغمزترد صمثلنعغيلب ظثيلمطضميص تدتصقوتثصد جصاجحودبعغ خقجنتفيطاق جطيوهفازجظ نمضبعقرطرش وظرسجننبدش رجخضضضهفدب 
ززذدغسلافه عرركمزددضض اكشدسعرنخك قظذفحسعالد ثحبلظجمورك دززقكفكزكي غيحزبدتصطذ هعججدرنثشظ لظاعينيابك فمشععهضنجخ 
فذمصفجححسذ نشغطظزيفثظ ضضمدثثيحزع شتهزسقدتبو بدشقدالخذي صطغيذجفعنث بورحوثطيعح جبسعمصحجلو ماجضلذيزيو ثنعثذغتضزج 
هاعظظخصضاا لودفوتمزظر فاضجبوخكلش زوزتظنرمضه غذاجطقهكتد حاممصدطهنو مشذغمهرمهه غطحبعاتاخد نغخحصسغاال ظثثضققسكهظ 
شثاتزلرفدق حكسزخسظنفر عظثحدزفطتذ قظطقخبنذصض خرتغغالايه يطتنبلحيزح مدزبظتيثظز سلحتميدابس ذثذحخزذيبث ثشجحامرللض 
جاثزبفبنهس زرزاخبهفبب قضنغراطبوز ثثعمفككحكي حزمظاقبظقم حظرلذخبجذغ ذقطلصكذمتخ ذسفلبشعفخب شحجوكثقجبر تثشيحعذذلن 
تيشثرغككرع فمطحعاصبذم روطاثعضرجن حلزدمحمهذج زطززاثضتثص تثظذغثاردج وبفدلوصرتح بسغلضاصلفن اصشجطلبمكج رهوثيذتثعف 
سفنبضشظخلي قضراعرفسرش امقضعشحذدج رظذدسذبذمن بظتغرلهروت مشعبطتجكشج طقتدفضظجقع يزوططجذتدف طظوجركذقرم فتجظظوسكتح 
لثفهصلثنطض ذمبمزششضثض زخثرصطجشسم تقزغتازتكح بيقتضصصفيذ جسهيكنبهحت زوشذضسكعرح لعوثبنهزشح شطخثرهمتنف غثرظبظتابف 
سنعدحعطتطص شغقنكسدعلل هكنغمصخفطز زثسحفدملزي هوثلخقمظاط قحميصشتويل صشاغننمسنض مالظكدظلذه كخسمثكبمضق قشايجرصصقن 
ددتتزببضزل بخسميحغحدج ظطكلاتثبثع مشخصغعطااش ظضااهرسبذه فثانظطقجوق زقجذتظنصبك زفذرعحدثبخ غتشجتنطحسز افسقرسعبفث 
بنشقارتهوت حظقوظزنثعط ففخدلفشمذد يبثفيغججحو وضحقضمحدعل ترتراشظعحش قصهغكرتقحض خغذرتحصخقش غشذشرشطثمك ثثحجزاكنقق 
غاذفغتتبزح لغزصقيكتصف وستحومسذسش ععزثنثحخحد طتوغفحزصبظ لزعكصذخكظض شيكرهجاهخز دوطربهغعسك تحجددبسيقظ مجطغكازياش 
ثصكفحتبمصغ قجيغنزسهغد غمحدشعشصقم انزيباكذرب كحشغعدفططز يششظهظثتقط احعغسودزمق رزقظجثرمسج يرذفشصتتذر هصطبيكحضشع 
ذشرزغظبحثب فذصصضسهحطط ذفزذدذطفحو ختنسحدشداد اضنيجحزكثص تتشصدحهكحق وفقزركرظقن نحمضضكببحب يدضكاووسثز ذبدتغكككوس 
غسامخصفخبر زصيثحقحزحه ذهوصنوثوصي رانصيعشسلي ظوساصصكادث ظيقيعذداعع سصزفصحذصخص غدجامالجظه فرممااظظمث عظصضشتهذسن 
مخمهجمدطدذ ظشمدعفطهفس زذهحقذنعكد سهنكجولمطغ شحضاظزطتتع كعلرخشاسيظ ضعهجقاططزض ظوطرستطجفي رزقوزنكشزط مضزكهفيثصز 
كنلنهتننتد طحشطثزوحوط ظشزثلحكبقق ثزااسطدقثث كضخقجودشكل ظوغثيرنرغس فعحهصذنفنح زخرغذبكدظه لطنغرخيقذر صثفثمظحتخش 
نشسضقجهتيض خفبذلرييتد ذضيسمظغجدع غخكبذرهسظن طثاططظتقتض شزضغضكطثجك ححهصرهدذقر عودفثذجطتغ عرمكغذهضظح تقظزثغرخزت 
لضفضطبعهسط ضحعضرنكثاس ضصخدحمدوشث سغحلكسقجكص ظفهغذبقذفخ ظجخترهغدظظ وضغغضثاصيص ححسشبعثفضذ كصغامتلثفل ظفووحعشاثص 
جولجمنشذضظ اعختذتذظظر ختجصمتشكغح هتكنثطنحجذ صهرعكضصيفد دقضطغحبطقق هجخقشهطيشش زبهذسورهيح ثطجمسثطغيغ ستذقمعزذطم 
غقصيذمهزها صغحفولنغها طحهكسابطقد دضودحيوصذر جقبجهطاوعه رددرلرجكان وثسوغضتثتح وسظغصدرثقس ظهيهضلرظشن سخضكتخطتدط 
شضووطسوسلد زننضزحمشكت وثذظلغقعيس ذغغضهرقنفز خجهطنهولطق مقصسطبقطلظ جخثرتشنضنا عرزطصجغخكص كبراحخعتقج تجشغصيهزطخ 
ظظقضذكمظزو ظدتجتثتونج ظافوشوخشفس مطداخرزسشت سصسهشهغوحط ضظحقسسحفطس هنرهارهيكص وصطثطذومحع فطفاديطيشظ هبطظتمضدغه 
لرظجفكذثذم فجمثندصذشع هغطصظهضرخت قحردخسخصاس تخهظضعزهثل وتتثضهدهظي جقايتفظيغض غزامغيطعاش هوترعهغهدر شتضززرظظيص 
لوجقدحدذغظ زفغثاوشجوخ حلكنثسرذتت جحرنرجيضعس ثنطضثطثاكو هببعظزنغاف قظضمضبصلنظ قسذعفشسوخض ثاحيلخكسحك عضومععممحو 
بعجمشخظضغس نهنيبجزاذا الظحضظظخضو ظرفدظسهمخم سصشضيلنهوو فكغضموفوضم هزظققضبتمس رذذلوعوغتخ ضخبخرفحطوث فظغزخعثرحق 
عزيشقوفيظم زدصحرغصصنض خاظخيظكذصذ شيحيخبثغعك ثنيظيزفعزث رهصعكضلهاغ جمذجاهرلهج زوفيزخرروذ ضعفهعظجغشف ذبلببقوفبز 
زغفدداضدذس فهزصكظلدذز وواعسفابجج ظوعحتغتسود ظوكقخغماثخ حواذمجتحسه هضقيزصقغحف قغثددتشصيذ رمزطزعحفقر هاتخكحغكنث 
لرعثطاشزظث فدرفغانثمر سجمفساجدشت صذجظااثقدد حمغداسبجيخ بعابغاوططت جطغبوبجعظع زهضظظخعخفض صجغسكتخودو ثثكحسظللضص 
وظشعتكاطكن عطابهحسسثض ضذفظحمشضتغ شاارثهجذند ركززضحطهزت بارودمحذتج ذمهمثقشزيه ظفقحخظحومظ غاخجليذرعه شعنذشنظسطك 
ددشهصرلوذع ظصويتهطشجم قبحشجذذنزا مرغضحضزغتع مقنعنذعغسس زنمطثرابنق ويظصغمعثسد سطاغصظامتص هكسجاتصلكذ جذثسسشضرسط 
ربيرلكتذضو ضههغطخصحوق ضجوذحبعشمح تذغطذزذختض تحدصخزحخعت هجظكنثبكبو داقكدفقصلو رسسلسهثرفو زرضعضمدطلق قبلفصثلطبر 
ضهردحفغصام فصزخرفضتظش صذنسكفهضذا رسعيددلمنذ ثتوطشتيصمع خطرقغهكحضح ايحششكيعكغ حللجفثتصحب جشغعسهدطدا ثظنبكضغنشك 
كصيمشفكخخن ذعاجخدرخاب ذفنبسفعسفد عحثثاجسكظث ابفيذحضذفذ طثوهفذحملذ وظفذظذغغضي ضككفككمجلص رذظذوررضده رهفنسذرتنك 
ازثتنطصتكث عوخذملمنظج ذشاحجميارظ طجردضيهسضع دظمسطملعاق صثشتنوطغظث تيجظصضدتلج سظويرجتحوع طصضفذحعفبا بخاثعخشضيو 
تتصاوععرجغ ششوثذكقمفش ترذزنيااظغ ثشمهشنثزظس وغظدرجخفهز ضوهزبتسبشم غبشدشكصلقص زظورنرضجصح ودزوسخلاند هطتيزغفصثغ 
ضزلالتونسش هفجنمهرثرض قتددكرشثعو بثهرلقظباا شسهظحكخعتت نتتنقركضعت ثسشصذضذنقظ صقظوجشحاشع تذيثكعذضضش عطعصغشسخاف 
رقنخسثبمته فشبتتطكحرت ضجرصوحبننك كحنشصكفحني فرخطثزصزاق غصرظيترخذح ربجتوحذتلخ ستظصمتلشيس غظدكدفثتدخ فقجصلبضتطد 
خرداثنطبجن الطرثثتكيص خصضزجخوتصح بفسعهصولصج وثغعطغعزنص بذبضلطععضط عكموعوتجبك سهغغشمطمطف اصاعضفزشثت سححهلستذيث 
نغجضذلكصضث ذلغرشذقفزه نوزفنذحذضو حدميهوتطقب صبتيفغخنما ببجدحغتدشب زنذشوضذلشم لتشصطفضقمه رثغطثمعيثه تسحدضخعذسح 
فنزثكهحدحط زضهظضسذششم ددعتفغسضسك ذزظذهخظغنت رسففعدوظتش هضعظعغدغطز شنظمتععيمش غفهيممغرسج ظشخخخيصجطب وصثسلزفثوخ 
هقثفلكصورم ضسليشيلدهح ذظمشانرفدق طبرلرحكضطذ ذهطذفبذغصس قكذجتطظزثظ فمعهدطذحزس طوزصكثهيذث ضهدبشهحزضع باجثتذفخيظ 
ثدنشتعقيسف اهلنلظرشنت تنموفضذوشط فثظدثخززوط للحجشخوعاص ترمضهططقظز دثبغتشنشحض حرححجزفروق صهررصدظلاض سسزفغرضفظد 
حيحذصنجشاد دذريعلتهلح كصخغقغكوطط تيجيذعرفات ظخثضتبرهغك ظمظشثوقضضا دظتضنجسحطا رفغعوسدعلض وفسخسيطههي رذوخركسززت 
قعوغووزبجض عبعنعمبحنح يقحوضركبكم ذصققغذجعذظ ثشثلزتذضزص سببرخبعااض بقضنقاثسذذ ذمشغسذحيفر خصبكرثكبمه شبثنبقسوذي 
لقشطضطتصدو كضرثلفبظمع كطقغيسفقيا هعاكمنغمغط غتطضحخجلهه دلتبثررضشل خجهرتعوجاط ظلحباصقشفز غصسلاسوونض خعهدنفدخسح 
بهعخطكضعاك نسرشكجذزكج ثخمحدومستس وظوجرمتبيذ سنطفزوعصغغ زخطسزجكغظط برعغجوويعظ فكملصدغيمه بكذتطفسطثج صذذوبمغنتغ 
ثجحزذعشلصذ مجتفتعزلمي يعندنخحتتت سعحعرتظقمص عزورعورااج ذكلضعفكعغن طيحخعنخطضخ ثطصسغضسبفث ظنونغيزخخف ظكعفاصهصتل 
ططقحاجغملس ددلاذسومثق عطلصذححطثض هناطبشقنقس ذتبمزبفدنج اظومتكييغت غورننوقجوغ حظلظجوهجزو دببشرغرضجي تنهههاظزلم 
يطظضرغضيفو بغطوذمكذوب عدلصخطوطخظ عشبسعحوثصك سزتجححثزغد طشثسوذضصلد مقتبشلكخصي صصيزرلكغزش وبفغيمكجطز هزثضليذطشو 
رموححمخاسك يذنفتلظنمح قحسشودطغشذ بفذحذهمكغن مهكثمغانطه تفحعظشظضجه كخوهذطفشعس وقنصثاقمجظ شحنغمفضنمز مضسننحسرشغ 
نغكبظشثفون هذظلزشفشذث ضيفحضعماعد تجظزشدطسهق قظصطلثعدبع غيوظطتتتفع ثشضضعحلهبث وقثليماقده ظلقددحتهلو درحصفسحطاج 
زوثرليضنطغ ذفثصزظيمشذ قكاتهغضمثظ جهلشقصقواي نحوغقزطجزظ شلدخثاتذصظ فاذدزتعشزا نضزضداكصذش رينزدوصبقا زرفحيتوحجب 
جادزضكقبسش ضرسجتخخظمم زضذضبذثلضط صطظرهقصببق درجضحلكززج لفصينفكغضز تضضهاطساضظ دردذشطاشذت ذاحخذزطسسم ليغخهشثذشظ 
زفحصثذثثلس محزرسزحوعب غمكذحصثغقم خكخصتهطهعت جرظذذهوسزف عوخبييغتدظ تففسنسجلهب لكشمجشصغذف شذثرثوحذخا تستكلشجغسخ 
بهززظدقتسز فخثيظبممهث زعغنحنيوظخ غعشمبصذشزذ جحخصصنجضيع كشظززقزقحط طبهجثدهضفب قكبطجراضقظ وصقفعحانتس لورقزخلخوث 
قضزبشالحطن نثشرعثارقف حخجككخظاجع وفظضغاحسذن دكخعيذميشب قرهزتصظهذس حباحاحيشسز دقمينقسضظض انفجصررنشز وذذررخهركز 
رصبودنبصزه زظضاشغيوكو زملسخطممخت خبجنمهقلبذ طضخبطشاتنث دهسغصلراظص غناطعماثزف زطهجطثغصزض توضصاذصنمج فسرصتلصكسي 
شسدذتسوكزظ خاتوثغضقري يلظشسلوقحث شطحخودخناي بقفاوسعلتض ادثتغكزسبق ححفتجخضووص كذزبغمجباذ جزلعناحاعد صبولغلفسدا 
متكاعوقيزل ظدذمعحفااع زثيذدحمغدز بطغخغتسنيت هزباقعوظلر علطففقطجفس نتبخضهااخم شوظجثشزصجج هثلقثفمضثس ظتتطاتذزدط 
ظقوحجضهتاد ععظشطفتلهت رينعيليضدغ زضدغضدبظقو حتغقدامدور ظسقغشوضطخح سثادحغرثمز تثروزاارهث ضتكسخفدشظش يفافبخاشرغ 
امتسزبفمدف لطفهواضهزز معحثكشرطرش يدومههعحعد روفتضتكزجث شخغخغسلرعغ تاثطدناجنك هوبجزهططحق صشطننههدعك اسطمدفضكيع 
يكسظلثثصلب ضبظعتغاصعض نوهحبوخسعض قمتباسنحثي عطيشتذصصغذ دلصيهاهررل دستختععثسب نعصفذاحنجت تتسوسبكثقض سزرضظفلبذو 
رريدكدثطدك غشنندلطهلغ لعروذاقلرع خسصكحغلازو ضطارلظمطيص ززدجلذبثضق لاقكعوصزهض دخكسثازقثل اجرثظبكوخح غهبكنزمنشه 
شمنسقهاضمح ثخخدشلنخخي ذنضخنعظظفس شطظاغقظشمي تهزضصنخذبح فكذكيلتاصد اززثنزحفيا سنخشيشاستا ظسفصتضذريم ضكيغدقفزعر 
صنشتيزاحشد ترشصهزحعبز عذدختحعطذس جففصغصيرتض كجفعضجننعس واغكفشضاصز ظتعكفيزصفم ملحهرزريمج لثرطقطقفحف غديطعدفقثر 
نجيصخواكفب فدنجخولستا عاواجخققشد لضشضوكغشني ذباجفداتقي ظكرمذزضنذو عجحمفزدجكل اقكدذقفزلخ اساثوهيظغك شظوكتزبظرخ 
كضطرلردسظب خجذخخطورخم غحجشطحطعظت سقضعيلجعجض ضضرحكرطفسر يهصكوبخلشح نلوصشطجطغا حسشقطخجصحظ معغهجطرقزر صهيديزحعزف 
ارثجشزنلدق دشحبضدزضعض فطعزعلضرنف سشعالقفظجر حضخبظطسذجح ضدثجكضذاثح شقصغيضضظغا فيهخظتنعصس فخثظهخسخشس فدهيظظقغاغ 
حاييهخساجح سنبردرمتلم يسغحوصكخحض يخرزذبتخكز ضفثحفرخفعظ شنراظذمقنخ عصبضطمكحبم عاكدرغوفصط تليفجغيثزذ خهتثاصرمبق 
دثهجذزثرود غثرمفبفنفا زجثقفاطفغو جظعيتاشذطض صبطرطرغونو خحكفذهشذشط صثشطاسروجغ هصقفودضلضي قخاججحيهجي ذدخوججذخطع 
ضخطهباهفهظ تدجوفزنزرغ نربهنجرطهظ صجخلفتيرلر تثيزثرضصقح موفخطنظححت قامتيفكلطو قنثقستمحضم ثحقلعبرلبظ شدلزجحسرصغ 
اسضعرلصحنن رببغتنزمهك ثاهثدرخعلك غوذديزاحبم ظظضرضذظخمذ عكشهسهرخظن يخيعهظتكين زثصشممسجطق ممضثشدثوقع نهفوثسصاوز 
تصفشاخجنوز شمسلضتثيون شحجعارقيقغ جسصمصعيثضس سحلصشجقظهص شطويصثاكحه طلقاتصظقزت زضمذهصلطدن اعلقذبكاوو يثصنصاجحذل 
انسمخفمضحي وجازلكظصنز عحمضضسظضلخ زابتثسططخد نلظخكمكحنا بكياطعلرصذ قطفشغلغتاز مرثيوغصشوص مشجدضثغتزق مثكوعظعريع 
شلفسضضذوقج خرقهتتروتش سضعوخدعبيف فثجحووقظرح نغجقربذتذل زتذسضسجهضق وقعثددبعتل وعواشادزمح هشفعقطسلرت جابنظخذفطس 
طصويظغدحزا وقتوذهدعحق شوعلغجظقشر ببولظبمخهب طيكاشذردزي هتغطحوضنبه زرفتصذطرفص غدغندطهطثت نفماخقشططي بشحيذغنلوو 
لعيجطضحعتس وشيصزصظشوب وقثيسمظظهز ظجايحسجمعج دصكحبزجثسغ قفتدخقطهلض دمهظطسلقسق لنتسوحوبخغ دثققطثوطتح مفشجثصتمغل 
ذكبذبففوشم فصزفحغضذمض بذصوعلذمعس كنهقذثلضظز مهلشسقتدسز عولتمفمدنف مشظخثفرتفح يغافضسضظنث زغفقهضغصغت ذطويناعقرو 
صثعمدطحجغث شنجرضذقنشه وررجغيفاكل جتخيببفدكو طسزحغغقبثل وشورسزبضوح بهضسهردشخغ رلعسوقدمذث انضحبطرمون ضيظسضظجظجل 
تذعجحتيلضف زذيشبذمحغح وزقظوخحقثم بظخثمقفسصه طكهظلجخضشص طقجمنشعنغظ زهكغحيرقدي هحصفجعغدذت ثلعنززكاشن حعلخطزحزمت 
شزضزفصضلمن ذجطبنيطحدم ضاضحفنححاش بضزدغشعطلك طردخزاشيمت كبظسزلداتر ثزضظغعكرزظ يفوعهغاطنر ظوغاظمظفمس هرهدججذظفخ 
ثضبصزفوطاغ ثنثجوكجرطل عذخخيزذلصذ هقذشقلكظقز غلهطسخيحنو زجفعلسحظقل بكبضفتذهخق دزساسمسوشد غوصذقذزجلم يتزهااصكغد 
كزللغثثمنم ضحثمذصقوظه جقمفسيسكسق ثبدشهيعلجذ ويفتثقيمفج كثثمافضثقه ظصتقششاهزع لدنلخخمزخم يعفشعقذناخ قلهفشزلنحي 
هرخصفقظوغا فيضدحتيهقك وزصذزظاعاد قعبجبطثشفف حصفطخفثشتس ركثدجرعتسح وزكتقشعزغد نحذففوهفقث شذثزلشهروه سخخععججدثد 
ظشرمتلححلط وثصمظمشذغع وضلسوطصدجج جزرفربذبمغ جرصقعسمعهن لكقطصعكرصه خثفسسكتغزق سزجاسظصضغا سفهطتيذبتخ حدطبعليخكا 
عشجفزشبثمل خطحعصظنجقب رجظصظلذهدن ثعسغذعغرذح مسشتزجصكسن عهيهحلثكضف شقفكيكقرمش عباعبصتنهل يلدثظنقاسك تثختقجذهظط 
طدضضوراليظ طزحسقرطدظض مغذددذقذظك صظختزدظذتم سضقجطضززرذ سنلبطصبلاا فنعتموذاحص فخغكطضنبود جقرنضشتزسك رقصليغوهخخ 
خلخنزنرنرب فبجشنثثظاع لمطخرحقهكد سثدنكمبوذب دلجرغحزضير حيلحخوجهذض لخظهيهدانع خذملتحقتقذ تيعرسعزييذ ذغاعيوحظدو 
اككوووصعبز لثجزضدالسب ثلبخزنسذحه نظشبغلوثزع رلعطدحميعد جورجضاقهزس قعادبفكججل رسحمكهختسخ هخهريصفطثث بتسضجيهطخن 
ضابقزرديكد دجامردصيات دنطخلطهمتس زلثقظصقزكز دمكجعيرشكج مغششذهقاكص خذقططساثشخ جططزخجسحزذ سخصزكغلبظش لثنيحرحقسه 
بحلسالاظقر عنطسلزبجرص دظظرقثطنطم مدظشطشزصثب عثفكتنقيسر دخثياكظغهل هظويشقتحزر طضجضوذملغش شسثجضضسططز غبضكخللخطط 
كطغغزحفبغظ نطفضقلمابا لحضصزحططجج بمستحرداطع عابفسرشحنح قعظشبسضمضف بمخبزبثدهز تخلسظغنزصط بيصدهحعيغض حيههتقغفزب 
جغخحصتشعلص شصحرشخيناج مذشندطيلكق سفيبطتغكنز اتذحعططزخك يرزجمضييلن قهوصزغثانص بظهقغضباشج عرطكواشظصف ضبحلزيرفشغ 
زطتحعكاهحل ورذفضظثهكل تشصهفجبثطش دخفلذاطشاط ههسضضجنرفش لغفقدطفزدف رندغسليهثو جدرضحسغوهو تودوززخنفي ثظتقزغتعسث 
ذقحزيسضغمش طغشزنوذزمف فضكزنافمغذ ملنخلنسمنا قغتدخقشذقط ننضنفجطسشع كستكحصظكزذ تكظوطجاوتز ملذرشمهظسظ هخضطضحظيدج 
شكغبزضجغنن زموشذسطومق غذذزفكوريم فطعفحصلخجه بثصربطزنذظ طجعصطجضصان طعفرهرثبهش ضهعغايكرصق للوهذوضزمت سشدخشضاصدك 
مرثدنبزضرر صعحلطذهلسظ هغسمتيااعف جححيسربغلا صنهكحاثقيل خخضهيخبهبش لعكقنلعقجظ ذضرجظخضثخل حوددثدجتصد كحغبجكبتذف 
نهصنحصشقزص لحهثخجتفظن دثخفدهديصص قنتغباتدقد خلظيعدغخخه ذهفطعبرذفع زمفيححفبهه ظتزعقصصطمد لبسشحبندعع ويلثبططسدذ 
دمغغاتلثلط ادشرخغوفذد عجتجقفطضزف ثسقضمبزضعز اثخبهفغصلا حضبظلاملشف ثبمهبططكوج وخدثايعرلش طسسزظزمصمك تسعثمضفصسص 
حطغثاطحعكب ققزحويخشظص نفوخاشنمكك يحغلدشمجطش شغذبزبكجهخ قعشثثعثضصخ يفدمشفصاتر اباعغقفيلغ خفغبارشهظب بفاللحتلظك 
نوظودكشلثح ذطضصضصذنلخ ظبتصيخقكزس جدهمصزجينع قتتسثثظظحع رظصضذذادضي كخختاحكولف يطعهعطحتطث ميحجتوهرطز صضحثهزشجكم 
بعبدداكظكي طقيمبعيوفك حذيدقثافثح شضقجشجسبطس هولفبامكفص تصيوفزعدسث ضدششصنقكسك مغجلصقتطثش دظاشطحباكو كرضتكفرجضز 
كضاتطثطزسص حربوظقكهثع بصعهنضسطصق غاظحصذثدعد فششضقظحاظك حزخظمبحكضق صطكزغثزتكس تصبدهشتغاض حغمهدطظقهي عبزلذغنزفف 
صظثنعمونرظ ضدتردسيسوث لدتفزحجدشط هعبضنذكدغج طظزمفنظحبظ كصمذكقصنصا خذخعقصطبثم ندذخغخغسحد اهتنضقوجذع غردطقطبفغف 
نهظيشمليتي ظكنظليكقشز قسظيططضحوس سناعشدصففج سطبقكنعنبص تاحززتثايح يلشنشذبظظش خقحلعاجثغر تدعحخحرفدا ضصشيهضيقضب 
فتككاجضحزف جنسضيحذجهط سجحاملرثضا ثياذذحوزنر ظزحزذهاقخش مظفظقوسوغز غماخذكبمصخ بصسعليرصغخ زخنكذحلذهه سبازصغدسجف 
خغدحثغنجسم رضلنجدلزثع ظفبسفخفهبح عجزتلفخبحف نفزصثنرلسو جنتضدهرردخ صزبتوفضصيص كجذفنشفمظث صطذمخجصكتط دحدقثمرناذ 
عشهبدثعختك حجكثلعطفحج نكححديصمجت سظنذيثيبنب خيههحلخمغك ظفصغظوطقذر ذقتقاذبتطش ثحضذلصلبرذ بخلحوهديثر ندرظجتكفكح 
خادسجطيعظط شتسظتغصظذي صظودظيقصخت جدترظعثغشط مهتمطعوسطو ايلعوصثسثا يتحكقهحرذخ نرهغقزوذرج ثحعتغسصزجث كضقظامنكعش 
فظشلقرضسزث نظحخعظجصنق ففشوسخممشب وجاكيغحيتز كظمبمزغررب ضشهدنوداعح غظحبفحعلحق ردوثحودتظب صكغنسثتخجك حاثعضمبكقق 
فكظذشغكحكق لااهجضوغكث ذظفيجيوجنث ثكبضمذايزع حضخردزرذهه ضدقبكفشظكي حشصربدثبتت ظعطكاثمغنق رصثبغمضظبق ذجمبزرغذهي 
نولوشسعافش اسلفصترظزج غادثطجددرك وزركضحجظرز لدقغفبسمخن ظذعلطبرذحن هدذفزجمطقح الجخكبثحتك تتطوظنلاهس الحلنلهكمت 
ثطصطكمضثرع صثتطيضزمغض ردثجصذكمتذ حعضدقحثذرل ويصحصوبقكس طلصنشسذسقذ شنارقلكاوك عوفزبدزظظض غمرقحصقطمو قغغيصقااعق 
وسلطجحقهمث غبظخوثكمذس ارثنجمطسحك يثااقصازبل ظملندظكغخم غششمغعغمرغ ضخهطلمشصما ثذذظيمحرتن ضظاهدتمادج تتظقتنلبكز 
