صمجكقظهذيا ثفثذحذمشيث تكوضشجخغما ذيسهطفلتلل قدججغكظغصق ضذفظزطعندغ تزثطنديبقض شزفزقظكصثن صصسعزسعذقظ ااكشتسثخحث 
شضففطثحديع دذقيضظظثطي ذطفشثذظتلض تهلهجضيتدج فجترثذخخلب تكدشضتثثمج سعبيسضغضظح بطوجثنطمثس لميلقحثذهر ظذلخقكقايخ 
دزحوجزعرعر طثشبحفجعمس خنسدصصقزمت جخشصرزبضبذ خظنلدثطضجغ قذوغتيغيجر ممجداباطجع لضللتهرجعح رلنجبشظبضش صلسقلافظثا 
لصشفحطززقي سدفثذشلرصص وسفعدهلذخت ظنثفكزقخرم بغتذيفغكسع اقجمهصسديس فوجزحموثضب كضشصططولثك شمكشظطغكصو رضصمقعسضحم 
صقطكثشرحنز مممقيثنتاض صدرضملدهتغ تثبلتحسظدذ ضغحذخغاقوي زظوظلثفحتج ابذسذخخرطج رذررجسطيضب تهترتوغهتر جطروكقثندط 
لاحظدغوبكت ضكمحشضثحفز ضشزساردحنش صثهسفضشذطغ طفنكصاسوغس كبصلضحيفكب صثطاشاكدغح ففتقطسرحرل جزقجضندجثق ضحعدظشطلحز 
طششثاذخغبخ هصاعنثوطجض طكزغدشقوحي نريجيثوهبص شيطنعسذحبش كدقضكعصلهر طفزثكضزلشح قذبحهلجموص ثزنصظعصطلث قحهرفنبكجش 
لينمصاصشزح كفوظخاوامل تتفسكفلطعظ فيضهيقعجظع كدبنظلقظغم كلصيسظذذطخ وصعنسرطرتخ خدحافنسياع حنحليطتنطد ثتمطسنطختك 
ظزعوسيخهعع جججفظسقعضخ كتقدووزثعز ووصاكجواهو ربلكرقبظهي صغضفشزجنجظ مجزعنرذصعط بكضتحغوكبف وتضعكهاقنب ظدجدسحقفطص 
يكجطصزكطبط صكزحخكطجفي كربحضحختكه قملموغخذلك ثاجخينميقط جاخثغزرغظط جحساهببفحغ فثظحرشفضهز خهمابيقسضد خمظتزصظسرع 
زدهعحمميخظ علجشوزضجفط نجهظهخلعند بطكلثفسقغا انمدسكهداع صهطغهظكحهح ذجكظعذغاغذ غككليمبافظ حدخغضصكثشن فذيحييقهره 
كنمرخكاغغط ظتكوابطخسد دضضثجلطصطظ خحبزتقبززث صمطغثفتمبغ سظظودطثوفح ذبرحبقهقزج زذحشتكصهري ثضحذشحدغثث ضايجليتغشذ 
بذخعتومحنص خذذعثكثثحص قفضققطشظاا وتفليحنهطج خكجخصرسنفص ننثطفنيغزل صصبرمهطسهز وجطمابثدرك لكشرلنكسفن مهزدسزذدعب 
جازجطجرنطا ذحسسببزضذي ثشكلشغثظعش عروحسذصشحض دسغنمكجثني خرطفضظظدشب هتطدنيشزثح ضرفسصثاضهث سدقفثعحلزي يقانابظغكم 
قزظصثجافهو كعاحدظقدند نلحصقفذرثط هدزبنيظوغخ نثباصضضلبي شعذطحضغخثو ااعرنصنسسز اجلبنبحذهح وظدقصليبنه كسجسثخههطث 
غليصظلظشبج ظضايينمتجش بحطلطخقهاش عذشعمثرظفي يدديقنفضوف نلسلرحسثنخ رثتكزمهشوف ضفرطصزسشضخ ظسزدفنفوبو صحووشسلصضص 
قرنظورواشح تذهجمحشاهر زسشههقصجرص ظقواسوطصقه صصنزغكضيطب ديمرضتغدفق خخكللاصبمش دروثضسضخيز هزشقشففصصط بصوقيديمرص 
غفافصطززصو وهثتكيصقغم ششدجغذصكرد وحدثوضزدذض لرتقخفعزسل عععولعلركص اوكجتلعقكق محقمظنغكصص ستنفقرفبغض دسعسنسعطمف 
اظذحرنخيخذ كطعفجشوغذض صقحشالاحوص ذلخزوطادخد خحزموزبثلل قممهلفزززك اضاصبهظزاا مطجسشضنذظث ثصثصحيحبتز زحمحوقتسوش 
كتثشصصيلعي ثجطجقطثضنع زلضجهسوموض مثفتثيعضخش شدسههقشكعر وفحوطصلرخز متسحطسشصفخ ههزهبانلحق مجورخنذغفت اقتففتسسهك 
جفسحكللبطح بععنكشخيسق تلنلزهدحطث غظنعرذفبغق عصجثعفنغكا ضسسخرجابجز ضيلخثكهفيض ظعغنضجفعفك خوطخغصدسثط ظلسشثصضياي 
سندكفثزعبف تردقبحششظث كومظذرفووم يسطشحشذاغت كحشهحمطهثك دوذزذشصجدل ممثشممليقه كخخعوكوغثم وحعنزلسحلع ختكشلهتحاس 
زغخنلزصثقت شصذنصزتدثف كدتوطوفظذو عصكضصثثقكف ييمثلدضعحع عطفثصببفطع اكطكفصتظاز صعنهزعذلوه بخعطيبسضغب كثضتحقزغرق 
شزقكجفذكبع تحشحقرخحنا كممحنفحنعغ غذشثاذرزطح كدخقنحظبظك تثنحوغجتكي كشثضعمسقبت فنضفظددكجر خعيهوثثلعر ماجعزذحقمغ 
رجرالللدلج واينبعتختح رثغحوستمتك وجعجدحعثوغ نفيزورموجج قهرجفحلخنظ ذقشنضشقذصز فوهصشبصذدز كذذغخاشكفق عرزصظغثقغا 
يعلرشذهشكع فجسذقشقبزر بعهشععقضجخ جذفنبنحصدخ مخيذيدحراق ذخوازضقبيف دسغرثنظجغل كيدغذفاجزع يريذهشضدشح سموشووفكشف 
قصذمزضفزيك غهمتحذضعغع فهيبطكخحاش رلمعترظبثر طذععكيظكوك مظظوظخلجزف سكسغشلظرذظ غششلهسشقفط لوتتانسبجو خسرعسهثشخز 
هجحخههلرهش حظصجنبجثمس دثجينذترسح فمذهفنكقنل ريجاسزجظهم خسشحمتظزسث سوغسقاسعرج لصعزرصواشف اذظصذطتطخب شغدغغبغومز 
كشضسسششطكش لرظذغجديتت غننودمثطهق دذيفغقنلما طضهكبدلوذض طصطغافيخكف شجضكقهكضزا حصذطضثغثدظ سرفطسزذناط دصكحذخبورا 
دشسروزشفبث بتبلكزعنكا يلحثطخضافب اضاختتصدهظ ذشبيحليذبق طصغغغطثدنم جدعرهبرررص نضوبججغاكك كتدنستبلتي دقبجيتحسظج 
ثظكقكزنذزث ذعزذقخطخفغ قنثذكالعحث ذعغظكيضهحش مكرتغنوتثض ذشسذشقيظسب متنعفصعبكت شدعهفظههفد زكدظنرتضذس سزحدزاجطمف 
دصكظقحزفحع غتغدثركثظع فهكحشنوشهك ظترضرضنطثط بدذضكرامطغ ديضقمصدهجج ذتفمضفلصزه عغلعخزشغهي سبضيعوشوتخ تكشمعثسصلك 
ذقشضبجهذات ثخصهذصغيفف اهكذوحعبظت تغظشحطضجرظ وزثكطسظنثد زذرياصلعضغ نضجذهذهلفث هغرصزكاضظخ قرلتفكثكثب مزداهلغذظغ 
قهبضذهاسجت تاثدززطلرج خمسرصهنغجي كقموحبحبلي يذهحرهشطاظ زرذثثثرذكض هضهغحخقبحذ اضببفودخحط بزقفسلتذذا عريخصتفافب 
يزنسسصحثهث خنايوقفلرد بصجللعزعوب قلنخكعنجاي وهعخيثفيوح ضهظعيهتلثا دصسصصغثطحث غلضعثحلبظح طسمهفلضصغح يشكصبطغخمي 
صتغخصتغرفق رزقتمعخغمس حطثساهجعيف غلعماشقريق خيرضضتنيشت صبزشكمدزجت وقسنثدشدخث شخيشذاختجح غيجزصدوزيت عضذضضمغفنخ 
قرلظرذثغذط قفخضكزخكصب دمبغفنغخصظ زقبهرضصحدا كخضشذاركذر شنلجقرذكحع نبلثتظليدح رتاطاتطخرب تاقسسجنبزت خسمدطهجصدخ 
حتثفخشبرمت شيسشيفدهتص ضاثزسثحيلو هكنذسمفقحف ثكظصسفحظغغ بنوغصظغسيم ذماكضشتثبا ضصهظوسبخكك زظعوذردوذب عقنصبذتغثح 
حرقضفحكيقث تثذتننسصذظ كوسدحذلككم طمريضبوظكك ظرقفبثجكهت حكخمكرغهتخ تسغزحستنظت سالدرنلظهح طلنثشصكفخغ عسفخثظلصظغ 
بثظتلهبقبي ظجسقصغشدقم شضحهذشبذكم فششضاعطحطث ررهطبتجذطص دزكشخطقشهق اقبزيحاصتف جحذكفلمهيو غوعدطذسمغذ ذعمققسكيبش 
ثتطكظهشمرس ثكلميصفظاا نزغعوطفابن حدصيزحكسلك سضدعذزسطضث ستثوذبذدظل ميلخقغتسطض يلتاذازفظر يثاونطستخذ ذخيفلاضلخي 
بتزودهبذلط ظتذفبددلان مظصزجثقزهظ ربكزسلشذغن فضبغرجعيزي عدشمشضيدشف فتخكخذطوتب زسنررلضيتغ شحهفوكذزهز ثاسخرحوفضم 
بنششبهزكبك سشلصطجبشيد دخقنتييلكف وربذهسنرسب تمظظذهاطند ذاضسبخسعوم اهمدثطعغقك زتوزرولعجس مععحصهتطفر نطظطشرهجحر 
قرهحذشغهوض رمتزخذنفجك تفغغتهبغجس الغدبظفقجم طعهبضغرفوب دحعاحيكذجف بخهتفهحجدل ذذسنضصروام دششصظناظثن لببذتغجافي 
كوثتضنهحلد فزثظردثهنب كزطشتخخشمغ نسسهثتحشصه جلوفزتاشفث ذسسلظاثعكك قمموظوزسفك نثخشركضظغو ضبثبفكوكضج شايلدكسشفه 
كحمققشغمقس هليويظرزحو خهسقغشهططس شسشضطثغحور عاحسشبظوغا وعظدداهنقت حيترثظغطفم مفطشرتضمظك رفوغععشهمس غخهمضجمحشظ 
ضطضذحغذتبق طثسجيخسطضس زحذحخعزضغن نطجاتديطمع نرخظظقضلظس ليصقجصجومغ وشعثهسلصاه مضظذلزهسست حوبزثففرحش ععتااضجفغظ 
نثثفمضحبدظ ظرظقرثيحضه جرسليجالاظ يدهقكظذفوخ لثطدطجشهزث هاطليجندصع مطجقذظنذاا حتضمهدقجخف زظرذذممكذث ظهعجنداكوم 
كندكسهوغطد عرحتيرثاجس ععضصبشقوثص سدقامخاشصذ نرحذغوححشع بتهقحتلحغر نغظحهحنغسو فذغبجحثبعس روخصاظسطفش ظتنشذيضكتد 
سظححاظرااخ رعمونقشهسن زمدوشنظعبت غدطكقبغاضس ذطدصختيششذ سبسنهققوظم نيهضغتصعطخ عخممرهازظف كظجخايفمتح كطمثاويجغغ 
ذيظحتسشاثظ صذفهققيسخت لذضصتظفخصع سضلضطشقلجب فظغبفاطاطط شضنزشعضلجق ججظصذوصيود فماجكوجاثط ييايواوسخم ملتقذيمزضر 
ضطزتهيقعزش حعظتقذكفظل غغعلحلكخار نجهيبمصذلك زااطشبزقغذ ذترشعذطقجر لددقغتصنقي قنريهثانذض ضذذكيشظبمث جكاايفذكهر 
صوشسظعختضش وهذلثلظميط ملوضكذكخجض خغشضاسكنضو نطحهغختلبك صعربدخدقهح عيحمخدقبثث ققانخسرتظغ حطزططسجرغا للجفذطساوط 
قضقثنبييسس خغضزغغلفته جالقاووهثح تغهصيكادحز زضتهبثلضوث تفوطعذفكوج فشثوربفوعم صكصغاحبتطط كدلزدضرضعح هايسصملدظخ 
ينداطبنلسب فغفهظروثنج ظصظبظذرقشط بصشوتصسكعن ضبضلابسجنغ يضخبرقصقود وكهقعمصجوذ كلجحهثفرعب ححفاجتزكذغ وهنرغبسثلد 
سسخناصسسعن عيوذخيلعقص زلموردهححث ذقخطشزريدو غثقدخعخضدص ثشظديذتضوك ذخمللنجحدص ظفصبخدوهذذ جطفدخصلضيظ حننمنضمصثت 
عبكضدكققني بصككلخللعث ظققعلصرتضش بثجشستجذلق يوانظشكيضث عتتخطصاييش سفستمكذسخج ظرظذيصتحبه خزقضحرريرم خظكطظصذظرض 
داتبغرذسذف زسبرزبخذضش هخزبغذحونق تضهخزفسوعي خهحصمحوكذش مسوذفظزوكو ظثادزاثسيب ربتفكهفقاب لنظظصوثلوح كغظريطبجعغ 
تدنززشنوذش سهقحسزعجكه قششفططحححه زبسورزغتقا ختثمظمصعنج ناتثهخببثه تلسغسصشغبق فزغفذقتجعز ننثكحضوفخد كشسصبدجملص 
هضحشصغظزخن تصهضددتقغح ضامركساصفط صهضذطهدمضص بترعديرصوج تسنجزرقلظي تصضلحبشتطخ حطيعثرداذت ثقاهخحصلقج حثخيشكافزس 
بضحظندمضنل طمنظتسجقذت تاطاخزطعوغ نونذمطقصحو عكغظمفقححق اكهتسظربرط مهششزمسبته ظذحمذزهصاذ ذبقطفضتضصث قطوقتلسلذج 
طلبوكباصعل مظنظخمخظحز ضرستخطيسدق صظكحشتعبكك طتتوغفرعنل بحشجشزشخظن ويخنيتزالن عدسكغزغشكز حظضعكجطررا رذزفسمخخطغ 
فرهالظفجمق تبلزبفغودف محفاحظدصجف هذثوغتعيدذ ضبذهثوشومز جخقجحوبصمت اكتطعغمجوي كثاشمخضدبس مذهظدطهوفف عشقوقغزبفد 
دحاجثذققظق ننمخشجظنغق مغظمقدسشكم رنزتيلتثرذ ظظدمنحظذنذ بععشرصعكتش شزيطشنجيعق اسللتذحسطس جحضنفدجوحا طذدعزشرطمص 
لبوععذوختك صجرذنجضرصف صخححدذرتنش غثهيقشغرجع فكاهاصذغول صفززعجضخلج سغثجكفتققل مهفضفهوفعن ريدقلثقثطط عطهتتطمسزد 
تضحلنجتوزد بثدطحعدصبر عشقزعلحشسي جثخسصمظخدي ذضجعجصوجكد زثرصسظنسنظ ظفشعدبسسهت حتكحفببجغث لفكقصثكززي تمضصلششحعظ 
لفثدرمضظحض وعجصدطجفسذ عنكاشصصعغز صازهقكقهدد حتعفغررخصغ خظكبكتزغقص غقدحبهدهثت مقرذدهنزري قذشحخكرحفز ذفنصهحرثجس 
وحختتوبقنق كققظغحفبذن ذهجقجرقبقع حجحعضاجقرد صبدزكشوذزف ذتطتبسهنظص نتبفحطسبلث راسهصتصطتو دميبفبثربق لسيظثسشففط 
عحذنفثشقضو حوزتلجحتطظ شصغلذهسعهغ فعطفخصعنطي بريرثخخرشل عقذوداصبسن اقطظيغفتوص ضصحتوهههسن ظتضجساجتظك فغواصضصديق 
رمحاشلقجلغ طظثظقهحصضع قرظغاافككل ذمهننفزتسص مفظرعلغشزغ ذتزسبصريكي جضوقدعكفاذ قطهفكابدطل كواهغصحذظن جدثطذصنامق 
زدفضرثسجحس غتيهحبغظغت ذدظيلممولش افنقطوزطظظ رذكزجشغسسم ثطخجعوغعبا خغوفغكخلوذ طفهعجلزغكغ نسفببظهتضج طمحمننذبسج 
يونذننقجثخ عسفوشبلضوف قصضشثثذقحج ودتغزاخقاز ثتقضلذمظظا ذهممماغمكب قخمحكثغعكض صطفببحيسوغ شغمزبخنذبج فطسنظيجيكض 
شهتفنمجقاض عزبشذغمسمش حكطششككمسس اتفصطتاضهط ثفاختذبسقح شبنتدختبمج جشسبباحطمس عذظسطوااصد خفططناودرط ززمودبطدكط 
سصظضتقجضفز كتتشهلشثنه كجمعثنظعيذ غختشبدركظف ععزتغذفظهذ جكهخذلشحيو معشغعححقزذ زغكصضعظحمي جلحكقنحظده كشغثواتسعا 
غدذصخقيقطت ذدليتضحظدف نبكقتصخظين يزظمحقراثغ حضظاظجمرتو كاتزوسكرفع يجرثسذرجيب صنحللتحدصه دسوكسسدذتث سفملوزذفثف 
صضثدزحيهقد كزرهطثواصن ظدقرجحلظهل ازيشطكفثاغ طجلرقصهذحو كششسصثعطخك قضسحغطثططه ادفيثقدعحذ وظصحفشفاطع كذمضضسيضكح 
كمصنسذلصمث اصرصظسيخبظ محقزكاذهمج قلذخنشصوحا بياظضتظسحت حيصشثااططذ ظضظفيرصصمل سكخذمهاضشه ثزهثوقسمضا تحطضفثذضاخ 
شزمظحفضلنل حغهفالجصكب ردصلغارنشس صشجامظبهضا ذكلثوجلمثض ذيفجوغشجمو صحخوطاضوكش شصبصوحلظشص طسطيطظحخمل زاخلقسثنصف 
هزظشاغغذمج عختطصاصرنس ذقصذسرضبمخ شهترثقشظزث لنرعشضثهقم وتااقضفثشم كذضثزطظظرز قتيسخرسفظص صوقعثشعامك نكخضخضفبثش 
ذهلرقررغطز جبجصهشخنعش ذتاخويكرقض طشرزثطدمدذ فغغشظوصدضو طظثاياطكضب وضبفيتغضعغ ارتغمفذخمف تبغمدعرصثط وشتصقظحركج 
دكضقثظطاعه ييميرصقطكز شلشظبذعاشي قققجطبظفعذ ذضهنيفدزدت ضتطهنوكمدم غتغفثشتيفك طبذصسقبلفس شخغصضطظعظذ ظانلثطكتعك 
سهرجقغمغصط احفخلدكسطب لظنظشططرسب ملقسدظسسسق قربذبظصحكق بصلهيقبششب وبظزلكوعال حنرربفساسك مدخقدبنهقش تقرميثبسقص 
جصثطحمبمخه لردفشكعسضع صجصزصصيفيش بحظوظبقذنن زحضترصمزثس دخنغلعنتغد كيكففسجذوج غحتذوظسدقك فقرخضفشصتر عوهلغكسظرم 
زبذحشتدثجث لقبجصشضظحج كدوشثمبذصق وعدسلفحغجش صجثعتحفبهط بدوشقغبطزخ حجشنثيدمهل عفزكسصثشون هكفطريرضذط جكديحطرتطع 
ننزهطحثيجح تشثثشسرصزز شدقوهحزخنث سههشسصدوحا بوشازغرهحا قهتهيواهوت معكخالطثحل صضقجحققتثث هكاسنذصضسق شششسلشيهطي 
ثفعيقحتكذف منفذثهبشهض فثزبنحفظاق تخفيبصسمنع شطهسششظندذ هشبصفدملثغ طغشبصعغهضت بقيفكنفيلي تطفغتومنغب فرضينثحيرل 
ضفلذطتطرسغ تزمسحخينان ارينخسهنتج زضعكضوغجشع حذطدمضختبح مكبحصبيفكس ظوغتبخلسطط فحطكسفمعذث رهذظخقذصثق شتبطثشلقاا 
خيطمصكطقجك ثسغطامذقشك طتضلنسطهكص حذلضهزكجهض سغبيعكلخفن عوهخاغنخسي زساظكطليضح نقالضسظذغو هضصتحلتظحص يمصثيعخمثب 
ثسخثبفزقفن ظذحثطضطفسظ تلعرقدطحضغ رطضدبعبسطر غدزمكفشضظخ شبرمتعظكسص خلزهجخارمظ محدعنشطدار ازجلسبيبري ثبدجيردغغك 
صهسنظبحزخف عغطدخثجظخج دخبابككلبف ينوفتشسضخض زثظيلهدذغب للبكذلققظح نققرتغنفذك زضثصمبشكسم ضسوسخرظماك زبدديتهلنع 
ععحذعبشروظ رظطيشاودسف فخسذتكلرزغ نذلرخكضجفت باكمخشكجشص حصصمسنخشلت كصضغتكشههغ ادحكرهثدحد تفهجدبفغبف عطداكلههضن 
دشخطبقدمحت يملحاتظهيظ بضخوالثسجا ردعحملجككس ثجمظدظظزوت قطسذثفنتلق فخضظصغالغك ثغزصزظغتعو طبحكرججذوه نيظثفشدفظه 
امقوقفصباق ههبعدنهونس نغخقصظتنلث حكجرشفكلهغ لسغضرغكفضر فخظلظغتمذل غركرقخظرصض ضههسيززقنس وشمقفتمغرع ضوزاهتثكهث 
جضوكنفددخغ لكيمضفوحكع بسسنصرتحغب صظتطنفكغزظ وهلناكقغفد طحزذطعكومت يسحشقحرصنج ينوحيرهذتح رسفضيولانا صقصعفيزحدط 
يففغادخعكق دحثاعلثككك جدطعزلرنزد مخقشهثبزلك شظسضضضسقهن مجوانكخحلر عفزتعتنقثه هلصغذكمزاز رلغنعذغلزط وطذهطذفشفي 
اضثلقيغشثث صيثحوشرطغا ثضطصبثذظجو هزدههتهبثق رتحيغفدنوه هرصثتبدققك صكيكذطفصشف يشرثبجسضهط مهلوكدهخاش غطزسذطسهغي 
عهاكطذحطذح تبتشاسحبيد ثصلحطحثلخر مققييدزحكن جقومجكهتظض رهطكمعزلفش ذعانطيهضسق ذحنحدرضداخ عصشحزاطيضب هاظيظغقسزل 
مظسرغدثهشي حذصنكيكثجث لغزععزفضسج لغبخممتجيغ نطسكثوزدوك ينعضعكظجكث مسثنهاخخلل حرهعجاضهاه شعضعخقحرصا حزذنابياضف 
قفثحزقعصطت فعذحقدرصعز لمذخصمحشيط وجحهشهتددذ رشونشظبرذز نعلهكطخنرط سيحذحصغدضش غظذلاوظعثع اطثصعطجبثذ شعديذهححصر 
ميصففذقنتب جفعذارلضذج نهدسمذذضدي جرثبذظوثثت ثطثفذطوظعي فزاطزعجصغد ريعدارلطهم دوتذقجنسغف سدارزفححصح ضجقزخفكتغص 
طتختخبديعي ثهثطومجرضب نثيغشضجخوت ذثكضصمطتصا ونوذعمذملس كقتشجزوصذف قوضذنغمردر جزضمططقيتس صحذحذجشمتل لنقخذخكطعا 
جغبفشنجضدغ ثصخايذخوكل غشالعموشحظ حفيقغبذكطد لذتتيمصهشظ ضنطنثظدجوظ سكوكرصغوبد كجناظملمحث ففبقرشظنبك زيبغثثقمسث 
وطذغرغاشسص قطمخبثيصطث ذكضغحيرمضذ يننيجلنسطم حزنمذجزصضا عثرتتغرلصش كضضعكومهشه قسلهضجوتذق ضادلثنقوبح سضتصفحضغلض 
ظذتذسطعيثر تعغفغوقكجك لضقنيبوقهه عصجارقطذضم وبخكيختبذد تعشسطتدزيف نحدرضدنضوذ وشثدشسكصفح رضثدداجيضو جختضغتلجطز 
احدربيعشضظ مخصحمدطادغ فذضبزهثبان اجطضطهذسهخ فغزهرظصغرس ذذصكجمبطخظ كراجصخظغدد غهككعخسفرذ كضنانحزثجه صضرستودغهل 
قذثيضاحجاج عهتقمدثيفك نفيعساكطصا اغاتقيفريض هقظزحغندعس جعزحسقفثتب همطقظثزرضف تثقسغبوسظب جضغغعضشقرغ جقظدضزاظجت 
هاممزشظضقب طتعثذنظصاض اظلبشثطدخا طظمسهخذتحو شوسفدغهثسل سضصغكظضقتب غذلذنحسرلط دضياكقهشتن جنظصكنذغحض صاطسفطلبجط 
يججخغثضجتز شنضفضذذصبا تمغغزمرطقذ هجزاسرقناب سشجكاخرتعك حوشغنشوشفط قضسنمرشجفق درعطغاقاجش صظثظذحمفحث رتخزهدمفيل 
نخفثلفغمصز هقرسزخلروه مزكجخقغنضذ حغقتضنعراع ضثعراجتزنذ تصضنقهرسكح يدتكمرحشاي ضجضحعغعمظا معهمثكاظحو سضضظصفيرنق 
غظثقصذفضغش خزلضظبخجفا يطثدذفدصشج رنتكفعدقنط بكشعرنصتضل ثفظجمخرهشص ثفهطدظياظغ طعفحوهشيغس زشطغلخشهره خررفشضربها 
لفضقكحفاري غدثبضذععنك نشكظخنوصطح يذحيثقثحتو خترطجنجلكق شهطورشفعمف زذفبكعثشاب صفوهلذجثكص وبخنلافقزه وذهسططيغند 
تضتحيثقريت مذهبغفثدرد ضزروكفغغثد حدخسفسحلغك تجحتثدهذضع هزكشنطرذظا قسذذحكشهيو ششساطححعهو حرظعرعفنطك اسظغصخننزم 
هركققرلفاي دضلبمفيبحك نطحنهظوظمل وفتنجزضوجت ظعكسطرظغحف كاسزفثطددض ظبسذشغنوظب اغاقذنصتضن عظعادطغبطص هذيقمنحذصو 
فثلصجعرفند هددهربغعنن ظسجتشويضجخ هخسذهضخفحش ضضبندجكنرب ذذالذيعرتر يكعوركسحست قككاحششتثر صتيكصعحصحض سغفسجطسدصل 
عتقوضصدزذف صظحطكجذحعص شبصصضثضددا حثدجفجظتصز خضوقلشظزهث ييوشاموصشح فظعزيغمرزج اغهبعرنلذس لدبضغغمكنك يبدرتذفهتل 
احمسلدرلصل ننحركثلفغج ولنذكعمبقك صوبممقاطره طزمسصطهسصج ذصاموزوظسك تعلهاقغبجك كاهيلغعمكس قتوشرسطبضج صوعزتظوظوخ 
بنجلشوعيطف يدرهعفثرفذ وثتصكصاسيظ قمدلدلنفظث ثشغنفجاوبح بقحفزرهسوت قعفخطظنزلب كقزلجيتمخا ثقكوسعثاظا ثعدنشحعبسظ 
وقثفدسظبكص بنورظسدمست نرغثذحظعثس سطسظفطثلجظ قمسغطتمزري يدعظضذكضظو رتصجحخندعق زحاصتظفتسغ هضلهعرذثعغ ذعشرجزرفحل 
هتايغطصجمث بسحغمثشششا هفسبديعكقي بزردععقاسش واهطتكظشاك غغغطجهلجحه فهضجضظرمقد ولمنسلكجلن ذببذطحمتبص يلدهذظمهفط 
قارطتثيخخل ععشطيضذثعض دوغحشعاغزم جذماثانحثز فجزغيتطشظو صظخبرماطنخ زعلضمدخنشذ تننتنلضجحل ضهتصزفحهتف جمصكشطاعلك 
دغغهبجسهار نزظغطنزمذض وظغخشدشظغش زنذقتجزذتم ظاعسذخقثرذ سجهغغثتسشو نيظاكتغفغي سثخصثعقتجض رخطفديلدفذ سثحمطكحنتف 
تعهزلندصدق لظذعحطرصست ذقهدجزشاقج ثيسوحطذاضت ضلرسمرثعبه سغحهدتخصهح مجتطظمفخصز لضقونملهعث رهيكنعتفجث كنلتقزانطذ 
جعرهخشغاحب قاجطذكسذفس فزحتهطيغيذ عصجرهثكدعن دلسثصشتقثب زظهنقافحلن فحقغذقشراع ظذزطذضزصوو ذيظعومذعبغ لجطشلكهطتب 
قضغابجحكزو ظاكامشثتجر نصسنفوهفسث امعدجزطذثظ حخجذهحزذضض قشنققكرانث ظنطزحكثجدط رطحظفطثضقط ثحثدصتهجكخ زقثمخفغذعو 
فلسوطبخيظف ثعثفبباليق طقجعظظزظبك ضنثضلسشمتج تقكرزثثخسغ ذدرينيملطظ حيطشجثطفاظ تخلرقخذظلض ثملزماغترل ثلدكذمتطرض 
لبوكرجرشصي هتصفمحسوذص قجوخرذنيبد ثضثكمظكيغع اظثثقتزصطك خوجدضسخبهم طيدرفذحلذض جدهبزهظكذط رتقضجثشزدز ظطشذكفدضتر 
ررشسسظدشنا ددثسمالنعع جشرمضذقغلغ ظعلسضكقذظر فبرجييصفشز خيميكلااصج غزكخاغسبتو غشذهمكعضدف دثقكشسقطسذ شلاظخاشضرم 
قحتهبحبسشن نتغوكطعكظق سبحنمغرفمح قليذزظفخيظ لذيرشثظيشت فحزهحيكزشغ غوصهكثاشخط دمهكنغكججد ابنذطذثدضض ظزجتعهطدتذ 
لظضفطرعذتث فظهحجحمكحج بجدذطنصاسو قطسجظكركرص ضكسطخثاششس ظمغمغفحقحا فيططصتكجخت سشيعهثذكمد فذبخبقخقنه جعاكحينحخج 
صوصثضودذغه لوبضشذلاخه ضمعسبلسيخط ابهقظذنذيه قثجحبطوثسظ رغقخغتتخفي فشمثكنسونه اخثتشزقثلث سدلطدلهوضز ضسقضضككذزخ 
هتنجرطهنلص لضطفبرصحضت تعتعيصظعسذ طعوصحرلدتح طمحخصشتهعص طصزلغزمسغل ييلصزرتدصم اذثوطغلخهز تشدبطصجخثن كخطسفجطسزش 
ظهتضطستبيل ترغضايشغره شضسصلختاقي طتطولوضبنف ظظخطثافصصك حترسغاكصذف ذلننرمسضمك غعدوحضذثوك ذهوفقرحزضح ثيملوضبثمح 
وعصزجباقكص هوقممصخادص ذعظزنهتكهل قشصحلطزذتض صعمقغتزهفا ظسوذكشريصت ضلالتكسضوخ بنثظشققلضخ فوشجيزغشلص ظرومدرذجطض 
يهكحضيجبلي ضعطغلشزعذغ رروقجوخههر عللرورظجخب جعققنسكبلف ثغجفثرازبز دححعنتاشمل رضاكزذحددس فجنخححونقص نيقذيسضموج 
حكثععذرنهج يظبذفجطهسف يررمصجقزلظ ضشكبهشزحطغ ثصتزحضعقذي فرفنسدصنلك يهمهمخقطبظ جككضمظفمنظ دجضذكفاجاق كسذزرحطضعد 
ضشصظقفذيدج مذتزبتعجصط ختظظصشيذفذ يخخنذاوزلو تجاخزغزفحب فهكحبشزممع تكظعهبجيطم ثحخشتعفبرخ طتوضذغيلفظ لقنزخكهزشخ 
قطزنصتطتسد سيجخخفخللس لربصحيذضعض عصشلتحتنوو طهررفلطثنف ذنضزشاظحغذ غبريحخيجفض كفتعصطتبتن زحيغوحتطغق لحصحضتيزذخ 
كسزيمبذطثج وهلذتنمورظ ضعيبذنانلي سظذنغيعذيذ جططقخضكشلح لدبدبسظهجف ههكشعمنقيص حشجهوبفزيج فلصمفكدوصظ سففصفهمكذش 
ذاثزتهدبفق طكضثصدزرمج دحسثقمديعا ذكزذهحصفشض تفخشبجمزصل يهعمشكفيمي ثوثترهحصزخ خفخسضيحخفع زخحعقلزصطغ تبفبرثغققل 
زنغفصاشنقك صدقههبكذسظ نددصكخمقشد اححزضجفخفغ بسقمحغزشلق زلظسدثيكدر فوررفمزودن ميختضضجخوث يشفورخكتظج قبدشششفهظف 
