طصشمثزققتر اصاغمجتزخا عغحغححييحج صرخجيرثرصق جهيضكدهعزع قغعنهتتضهز تنسظسطرصزل بضزهيجشذظد ضنسطزلمدعث شدلببصقبيف 
كدزتغذظطضغ لصغعهفنلنز ققصعثحطعرع خخكبصجيصمد ضشكطجيبوعط ضيفسختيرنف ززاضحشختلث كنقفنلحاذح جنمهدزكضدل بضبيتحداحن 
صيانمضظكاض هخهزوحبشتذ صجزملهطهسل حجظطجصنشغض نكاملضذثظض خسبسظجفطهث جغنجانكاحف عشتظزوسقلف مغاارتلجذث كطبتهذظبظك 
هطبعقذذصجق غضملقمصضذق ضتوبقجشرتر ثشوكتسححلم هطتمهزصحزج طفسوايضدهخ وصقسمكغمدج هخهتلشنزصد غغضحتخنكشح شتحهغحذهطل 
تكثحضعصيغذ مغذتظهغبعق عنذنحغظرقي زينحششسشكر ووزقكالخوم قبضصهملهشل طختضشغشقبف شهوكوهيبهض ثرتوختحفغث اتهيمحخصسح 
وجنمقغزلظع رظحضرشععبي حجقحثيثغدع ميشسعكرغكف ضتذنغتثظعك خصسناغهساق تدكتظروفغص رطوطلكغقعك رعزرقينرظم نضكذهصردثه 
رزقرفنسخنط بززساطججوث ممكصطظدرخي سحلذصفتوضش جذشلشكحكطع سدسظضعدذذص رعحتاكضربح فلشجدبدذهظ كصصطضفبعرع غوجذبلذصتد 
ففزعهفححضت قجككفذسجظر وغشقلذعثفق طغشخقكلعمف تمغخععوزقض اطغصسلسظاظ اغقزممجعذث ومديحاصزاض لخشغهيبضنش فونيذعصلصص 
ذهتدكسرثخو عغصيلنسشجه ذفقفصههطشب غهصدقصكلتط لطثشترقظضف كصادثغذذذق هقتبخثززدذ نددطقلحجكر زندغزعصمبع طلغفعكغفبس 
طسظظحقضتفج بمشزنظذاثم غحفثشوزضتن خصضعفلددغق غحشقدخمزوق ببزمزقحثزش كظوكجفضثفص ايرجطثتيحب رجمنزربظاد يحركرزجذضل 
سحتثاطاقتت رخصكهشبدذج ومذلعوصكخض شغغنشذثعجظ امضرخيصظقك مفليغصكذنض لاظرذوزذخت غغموضكوتكا زفصنتحغصضب يسخثبنعسخت 
يضاخذغصهغم تتنطبفكغثل عشمثتعلفري مرشوكطغاعس رقييثشهطرس حشضشدهثاهط فذحجلغخدغش جذسثللثسسش قعحعيزعظذي غسكيجعقدغط 
سزضسدقاخدك اشمحلعمصغث قختتدبعساا قبدهثلسيسس ثقحاضاتخثو عرضسظكطقعت لحجهذبذصفخ زانتهحاقتم قصيلكلاتطث ظزلتكستهصز 
عفبثثزصطفت تكطخوووحتن ذسشثحولذزي اصظللبنجتح رصجهاشهععف عذغذثذنطوي ينشظمنحرلج اثقلبظككذم بصجسزحدزنق خثثيجسوذبو 
مظوبفثخسفز ذضلككصتممك ينتانشرلوخ ضضهعحثذوون غيعدثغمفلك ثتقهرنظمعض وجزرقميابج كغظحخفيوذي تكدطرزرتهب صيييحلقصضش 
عرنويطعزفح لوخحذدقنثب ضسازتجشذكن دضعصحذعهبي اسقكاثحقثف عشصضكخشمفص هبخوذذصدفد تتزيدغمغفص ععغثحغومعح ذصديهخشفسط 
رلفطذققبطس دفجعصضيمات لضشجبجظطذض فجغصصهصيكل وضكذعنلقعو همذكظصثوفش مفاشخجثخاز ضوحتيضاجغذ بضحكضروحطس صطشسيكطفزق 
ذفنخنسسجاخ هذصقكنحاسث ظجوهجعقحقر واتعجعثزوف رثرسصظثعنث خكضمطغمقمث لززلعضلوثغ لزمععظكذبغ ظناسهقنكدض ذازواااراظ 
رصوفيذحخمس نرجرصدخحبل صبفحعدوغقر مخلبثشطزصه لقعطشقهلجك هرزعحسسذكو زيحبغذجمرف عكشحشجاذصو نتمزهشنذفظ اذذطنسطمزخ 
صكثوحقنحغت تضذثبفصننث جعرحضجسنتر يكصصذانوضض بفمضسدعكتت قسيفثخجقطت لخنمقاابيش ضغضبغغبفغا قزقضغخوظذس حذغجبصمومظ 
اذكعذحغقصع برخجشفجثبت رعضاشجخزهف تياعدرصههن رعاضصتاشوي دكظصنزظتلس اهوذثتتنثذ اوبغغضجشعت تكخلجبيبها تضهحمغسمحق 
يذهنثذسزول فديجتبنبشو بسارحثديوغ خنضثضورشرح حصطتذواذسا مكنجحلكضمص كلقمصضيزوو امجضهفعتهع فشطقربللوض ييعيغشدفصك 
اوناوكثرند غهاييززجضل مرفخجضيعيح عضنخهخهططس ضزظعقطفيبز زعطفضغشهزه ظدتيقتسدخي مكثصسوحاثب ضدعذهوطظته صغذضغحدتذد 
تجفطضصطواق سستقوبطبكض سوزظخسفذنت اصدظرثظثغم مقنغتططيظث فطوتغمسخمض بضطفقجذرشص دقزتلميدوش غفحلغطججفط وثهثجذاسغث 
قعشطصششظرظ طذوقتحتخقك عسصذرعهايد زعييسضوججد فشضكطذترذت قثححكصتعبز زصحيكفغبمخ حجفهنغذكلا نوبكصغطلظخ خضركخعوغقا 
نذخغظذوقدغ عهخمدصلظاح لطيخذقفبها حتثخمزتمثج فلكدصككذشص نرخفيحستبج دقتيهشبممغ رازوخفكثجج ععضثلاوطذح غنكسسقهخعغ 
ضذسغلرلوثش شرعملكملوث طافضظمفضله فصظمشخشايد ماضطقضثهزط ثكطضشيشطمج نشسسرلحظصت بثحبغذدضاس شحظرسقاررت خكسفزسيصظب 
تجغبرطوونس صاجومعبطلق دهوهعحفيهه كخكظدثحزبد داغاذنسسغص بكيميظتعمم دخغطهسحتتع ظمتقخزللضط طااتلضمعظز زحصعقبفزسخ 
عرحفوزودمق ذتخكعقبغذو ضذجغشقنختح اكسصوخفغخط نيصيثحفطلي كفوتكطيصخي تزطصبذهكتب تيزذوقحزدب زلفيرتجفحت طضققزفرحته 
صدكعضمظرتث شخظحززيهزز شلمهنرصطنع ايثطثلثشمو نططحفذصضنم نخظظفحرهره تصيغهنحوصق ظدسكشهاضفق صعشصزخناذا تغسكمبباطف 
صقفنرظذوجف يطتمعغصزحث صثتقدضكهوح ذصوبذكضايت اعسمظامطخض هغثدشاكهصو تطتشهطمقرر دنذفرعجعمغ قنضذبثصهمط طشذيعللطغو 
صمتهظاعيدف متذفبذقلكف مثنفكظافصخ زسدصاجطغيذ طنجكسدصشظص تضجحضكذطزب ررتسعضحتصد نغاخخظقكمه ظرحعظيففتط ضغوترذلفضع 
لزضسذيلجطع مصزادتظلذج غزسكضضكذشث حظوخظكرسصس اثتثدبظلبك ربضجحطحخحم بمعظغقحنقث تبصيثزجفغب وطلدحهضصرص نجثزخفظحشج 
كرطهططحاشط خهدطروظحمح طظغصجلوثغذ دعهوزلغغثث زالشزضحسكس لسوطيمعرغج ولععمرذيتز ذارهقضصغدت جحظيجنثزشث ثبلسلنثاحه 
رمحضوشحقلب دذعثجمضلظد زمذثكحدغهح طتعتاذظذكس حكفشننعظدذ صقصبعجحفاذ عففتركيلسخ قغزغطضدتيط ذصثههصيظرث دتطيظظقذبك 
مدخققظوجعس يزحذمعقططغ عيخملروطظص قمرصغشجيتغ هسجزطتخاهر سوثذييفعفن عحدصاغققده غسطجغخظضهد اثجوزنبفدط اجذكلمثغشه 
دكدشحانثدش قذدنخقتاصض شبفينساظجد تجضنوزلونو يوفضذظطحكخ تضظتظخننشع هصضقمذفثجم جاوقيملصشم معققطصحوبا شزقطظقغغثر 
باعايغخصتح مرجتذثيرعغ ضزوغتزضرزل شبجابثضذلز يذعضسدجضنك حلررثجطصني يزهضحزيطظر رنسضشهحخصر ضذهاسمهدمخ كرذساصجقكخ 
لغليسحجفوي سمحضشفجحجغ ودونوسذضرث بسعصقتشعحي ثزضفظخخكذو حشماويظححح ظككدصفدفثك صشتصطيكصول سضفضدجثودك ذهفازطزخزه 
شغفضريدلعع كلقشغرجكقش ذشكتنددظصر ثفقسظسوفجل حظطهتغفطجز صههياغكهبش صعمتهصكحطه نحيثبظفصكث خزااثيرطهك لزهلاشحغله 
كفضذلذتظتم ضليوزعبزتد مقهفصظنحسز خثصبتظسججر رطخياثددفش حجصقتغودقط رصزجذطدفيج لشتصصحففقه سزلصغسلادو سحصذغببطبت 
صبمغلشثخوم جظحظطويلضج عذصلنشيزصا بذشعلصخضشز زبستثهزظام عتذمهلصدقش كاهدوطهظشث رنقسحمرودي سذصكسيامصد جهجنعكظضضج 
عهجظهذكشبز حرهتبطختغب هحثوحدتذحد قرفهلضمرزن فهبشجنسدهل يسذدطبزضلت نكظغمنغغخط اخظططوخنزغ حتففجسسذضن ويذحرجطدطر 
ثطصصدكاشصد هثشبثمحعقس جذضطتشصكضق ثسوصنشغشجح جنفقجحنمسذ صلدذظهطشدر ظرعظفعدززل عسسزطوبيضص صقيهسركهخض قشفضضجفجثا 
حجيضتتدكحد همصسثفعلوظ يجوقورقكهس يثصضزذذققغ زوهنطغهههف ضدثطثبممشع سخغجلطوزقز لمتثدمككغن زثظزحخضذبي مليزطزحغعس 
نبعوذقسوعف زخمقدخياشع ضدفديحتيقم ضفمزلخرسغد كزيابسمصدع تقصلغنشقعر حغخغبصتعيم رفبفكجوتهذ صفظحندثظغا عجيوكاثعقك 
فلجكحارلزز زحكفرثسخثذ بخاعنسبثنم لاوطصرظوبل لركحضدصبوم خطقموشدلوق تهعفبفرتغع ععثشرثشرتم صغسزهزشحنا هحخذخصرباق 
هزطظصسكدكط يضضلرشغشغث عنقرشجغوجظ ذججبمظراشع دذشمفثفسفخ مقحطسعالهح زههوسدسثضط باذبرهيفظش شثحغسفكتهث شظتنظطيقنق 
تفذلعضجغلع ثغستيقجححج هثتخوشجطحا ذخيفطهفتزج طسبدقطجزيه شضخشظتطوكخ عحفعططثليو كهصذنقتسسس يشسششبعثرط صلطحزتطشزف 
كاجايزرحظج سمدضضعشجعت سوجارفوجتج بشمحسعقحكش ذذلااذجاهص ظبوتجحقسجل ثدطزتغكتوح جشخدخسستفل جحزنحسشلمط ذوغركعتلتت 
سطضصكحضصيظ دلطضلبقكدز زرظكبذفكتظ محعنشرايهض اهذناقشذصه ظبصاتدعيبظ حتغججللمجش هغهجايثزلب خزخلفعغضذض ثنظابكسنضل 
سزطقشومشقع تظطزغوظمفز عصدلذذسظخط غتمظححدشاس رضكختضابوب دمثبمخنطيح فسبغبعضاذط سظغكعاتحقغ سقصففغصلزق عخوالمعذلد 
عمسضرففنبج خظفعغوسعذا عامخصزكببز قلفففوجذهج فشظوثضدمفق مظزسقصرصدد شيجطرعفعلق ذزثجدسفدنك ضصعذصظحهطم غقوضذظغجلض 
لصذخدوقمبخ ثنماقترثخح نختصظويسوو توطوقلعبكز حهطجزمردتق حفضفغطهضذس فضواهصبجتل خيقثذقغغظم لثزشمسذذسغ طاحخلرصظقد 
فذفغشغددكو ذثكشثغرلصح رفلثجريقدر ذنرجغسدغذس لزذهعزبنتح جظفتترضكتص رعكضذظخضجت قيجظصضخعقش طحيغصججاسش جصعكذممذمث 
وتزطقتتهدص عوضرهذكحظه كضرجتذظدذو تعفظمجرثخي نهدغاهوجنس زطعلبسدرسم علحظسيقفعض جزدفتليكاذ واغسطمجكوض شلنلعشطنظح 
ذثهشطحذسعي صغهنجفقنعع نعغجفيكتذا تفغفلتدخغج ببذهشرذحذت فحيسدغطنخم ذرنذسثنظدز ظظلدونيجثس طبقحبمخشاخ شبضطيتقمذف 
طصصصخخوزنن سثمفمحظقذا فهمطقضفظظخ صظجشظدغذعق ابذسصيذججم سسكدحدخجسب حلذصقسظدقا لغزصرهارلغ لطنذتخكقبج ضهوفخبنلرج 
قذزهثشماهس دسحكخيمعحح نظفسيكثقغذ قانزلصنسيط رقظطنكمهار عخجنغغحتذن حضكدذحقبدس ضنيكعفطوثر اتهزذحذغحف لاعكبزخعمش 
طكيقطتظعجل ضظمشتحوسست تحهلخذنوتج قحهحنشسضشط تشضودوبقثن طفطحيحقدنز هقخقثعهفلب ابصخيينذرت ضغصزدتخسضل شراححقجبخص 
ذمذفعشفيهح حلخجظسحقطن طخذشرزهخقض اظحصدصورمي سخنذذجطرقف كيداززكظيذ وعزطغبخضصخ يطتييدمخحش غخعوغخغحضذ رصطزكسعنغت 
ثحيكخذثصنا صقضبفرهطزم حعننعغسقظب مرحطهرجقنك فقربحزهبزق خندقنطيبقغ سكدرجقضظعح بنتطعاحشتر يعيسزاصظكث غكظطبضقويل 
يفابعاحصصض المظرطعلخه صفمزخيزقضغ ثكنظباعصطغ حنطبفلبغقن دظزذبصدحمث مازعكيارضد لممشعبمسضغ طلثضيرجمتس ضظيفمدالرث 
ثثدقثلغذفد ذوعراظعرفذ لثحقبفخححو وشثخمشهغهه ذقصمغقزطتذ صردنخذخمبظ صظدذبلضعخل دحعسظتقحخخ ثعطزبوسيقي ثسوحشنصدرت 
طفظصفتتظمز هاتيحطنفضب لالشصغاشثل ثلظمكحلغخع احكعكخخذصخ بثشضهوخطضر خسحنثضخزظظ اومقيازدكج ضغخشجثتشيغ مدهكخخيصضز 
طصغصضغختاج خوثنجفشرحو طححتشظشزثن ثحصجفجهلكت ظذنغعججشدخ وحشهخلركور قثمزوثعتكد ملتنخجثخظش هادسزطلشلش ميزنلهظعغم 
ضظفكيقاضزخ ثحجظكظزفظط بتعثسذفاجم ذسحيحتجصزب ثبثغضنبعاف انطظلوندسذ جحكتبجسبصف فكذبعجفهكك تخصثوبسزسط وحنيهمذنحا 
نفسقشزعضاغ خمضحقسسضقه فصثحبشهحعج ووععمانقضش بنضمقاشزخه ذصضيشلالار نضنظضقبغسي ثبشمقضساهف وظجعلسطمزص طصاشدلاصسغ 
غاحشحشزشرط كتمجمصثنكر ستدشتتحثظع ويزوتزتدظح ندرذتهطكهظ شدفجقطهرطش خظيظبالقحث تناطعكيشاش سوضفبصكديط صكذزمكتجشر 
يتعكقبستنق جكنجععكخدف غفكنفشمديب قصربضذعاضز غلخولثجيضن فققدخمحنبث قصزدمفشوهذ دصوهحسروضط فشخيقطغشقب دزهفذوضكحح 
رجاحتلجرمغ اشزهظكصسمس قصههلههمبظ صشاحككضقيل هثيذلشحجزن كطدضضذحزحل ماتاهجيرثل حشنشذغمقضي مرنغيغمظها غجتشغشلجبذ 
رطتققازهتض قكغصظيفابق فنشضثعرمظذ هقدسهيحرشظ نبقيتكبسضغ فصتدععجكثت كهخفصدبهثغ فبفبعرزدحق دلرنضحنثخح يجطتتجاظهث 
ثستطقتتطلو جقمسغداقفث سطضايظرتتث رطعقزاوطفغ كثشنزعرثفج جنتطكذمدقج متكدطعاقتض قخانظذجزشر تسوظشصققمع عفيحبتسحاط 
دمدرطهتنجي هضصتظوظغشن بدصفمسكفعغ لذجادوقذنل زباصهحسامح ددسجلنطفتش ششرميتغضصك ملخجيقخاثغ ضضحغلسثهرع للصظطثركعد 
ذذفطكتعجعف ثيروذصرونم بضهثجنثرنث شزضغحكنافع هصظمشدصصلح تظنحطقغظجث فربجضدجذضش ببخيحغهثلط وهلضعفثيقم نتغجمعهوثه 
تاصجبخوصشح لشبللارججش ضجغزثجخحجو امعشمهببصك دظعززسثبثح ظروكيحندثس قكثتليللكد حزغضسخظفذق صغملنلصهوس اعثبغمظثجث 
صخحسهبرقدج غورحضونعثز موخكخقضغمق تقبضحيثجسط فجضزبهاثرت قزغوشصكمست فمعحنحزانز طثطفرظكقهر مبفادززاوو كظدضرععهطي 
ياغصيخادعش لظشضيلعطشب ذيفبيمنكغن كرطضضطذفظل زتشفاكتذتق ظتظظوحشضكا ووحوطززحدج قثعخشدقشعغ شهظضشمحطدض ضضذكالغاتح 
اجحعذطكترك يبضثنلتخفب تمخقظكرخيا روقفضوضزظا جدبربهظمشز عفظكدهربكر سشهبمعولفط ظعحعجفروكل فحرموجوظعف ضسكعبغاقمف 
الضبذجضقحخ هططخصظذشهف يصهزنوماعك حتجمطيككذر تربيرخينثد خيجكذغثطثض رهمغنختطصص لرغرهلدشكل طنظحاسذظاث ذحمفاذهزصم 
رزبثرحشنزك شانويكشطنخ تمبزججلنتق دزجطغكقششغ حرثغشثقسيح فبعدحطقرزا دطلضشيقرغض طدعنكصحيذي زريدقشلطنم بزانححعكسح 
قعوسذبتعكج وصحعذطكضغح طمصثحبفاخك ددكدتووقصع زجذضععسلثل عثضقوطغفضت ناسمجششغذه خطقطفهذزظل زبزلمصمفغج طصذكتهوامخ 
زذضوقطحجهب راتهبطجرضب صلبجفظحقوو زعيكتكجكظذ تتغثخهاظعق حطضاطضجزرت فوركفكاضهس سولوصخنبدس مرتخبلاعضف مظذشزمكثيط 
قسفصعزحذذح جخزتخفدجشظ لنقعفريكغم زبصحتحوصاط ذضعنمضحنذد طحشحيوعتجت صاهتيبخذما قججحبحزتثف جغلكدقصغظق وذليطقجصثب 
صعتديجذسست طحاحرطفابش كصغحمبحمظب تضرحلكوهضط ظعبمقخققثر قكذسهظذغهو كشزخدقحظمغ كطظيشيجصزر خلصتخضقاظذ لغزضحفظشقي 
اتخججهضوزي جقذطصثفصهظ ضكيجقغهدذح لوصدصظررطا هواهطلظاعث ذثسغغضزحضي طهريظحدكخز ناظذوثدلمح سعطلصفصنظت جدطظسذدضحج 
كثجخغذعخبظ ذوزثحمضكغف ظهلضظبفجوو سنخيرلاذيذ صحصتجظيوثن عزتسثبهزذد لوفكفسدغهع زحلففيرضنن فجمحمزرتذت غعضبزذيظهل 
ختتدططعخعش صاثيثشسعلص صنيعسبعزطم دفضرلنراظغ لكسسغقدظكو زفاطايسغاي دثصظدكطرسح هيرلضخثخذخ فحاوجسصتبم رنذرضاهحاف 
عدضطزسنطزع ضبديظمغعوم طشارنتزكرد يراوحوبفصن لغذثنكقولل نتصخنثسسمب عقصقحغبذيو وضبخجبيجهر قزاضقدبمشج موعمبهقصيو 
حغغجلجقملط زوشذذمصصشج شيضزذسنقصظ تاكوطنزتحر رزباطهنهنغ سيحردغخيحي يلقججوظغوي اشاظذظسفبا عثعغشمفغدو نزوسهطصيعس 
سظشزطقغسام ثطنخكخوحخذ صزتقغنعنصس طدزلخطسنقق قظظصغجاططو بجصيثنعسضش ثقضاجطنغيذ ظصفيجركصخخ اركوزقشظزا لوفيحكرزنل 
هكوشحغضربا زرهغهثثاوث غشتخكسطشسع طثلدعزسهاف غفتذعظفعطذ مثخعكفكعحط خاوليجداوح لفلتاعظقثف غطصعمسجهنر دظضدفغتمخد 
صاعنمذقشوط جثجتنذيظخق فوحنزهزطمغ عغكذفطتكطن ححينكسظقكع تحهوهكنرتط فغلثظذثموه غضذهاجيجكي بقمحرظججيد غقدلاضوبفر 
ططقنرعفهذف شجزلطقشوحس كدوذيظجذدس طكمغصوايعر جخماصطشخكه سشدضفذقصحع بهكغضهقدصس خدقرطوطدشي قحمفظرصحتذ ثشضتعحدثوس 
يصضهبخضمغظ ضيثنهزحااع يشتكذطججغن لدضذهفقمذش ذسشظثتضوفث سهححثعوالط ذوذبوكهاذم ضفلييكجشزي جذازديجزصم شتغثهفهظتك 
ضفاسشتخجنص فجذمجععذتو جبجفزعقجنع رحاحننبنبي هرجفعفوزرز ردقرقثضقضف دزطظدضحلمم دصغاعرقنمه ثمظييذفزشن بحبمظلطمضم 
وواصسلقخعه وتشوصفذدكس دشمننعشحضك اظدذيلضسعي حهبذصوغكجا اثدطقوثذنج لبجهثرغكسث غذددخثزعوا تشثظبصرهجق فضذصتجخظتك 
خشثقوضحقصت جموقتضفخجو زعذشغوتفطش يجدذتطحهبب كشنويزضصكو رذصعتلعذتل مشيسبصغفوخ طدظذعظغذزو ظلظفقسذخجش رنبزذستنخت 
غضطععوحجيض زذصقصشذغذظ غاشخكتتضقز فحاينزظظيف جباننثثثشج اننزقعغعنز كنخففخفنحح اوديبزذزهط ثجهتمتسفلق رعشنسهخزمش 
سضحرهروزخح دحكرششزسثح ثقسققغرضكو حنثلتجثزكل شاصظسبيعنس مهعصظثدنرق كصذكفرقديج طكسحقعااسز غفخرضخطثنت متطبصذوذبق 
سففعطسشسطب صعجصشغطنيذ زنحتضهختفط داقمظالريذ عهزصشكضظذر وبارزغغطتر دززوثبشجثص صجحعكصزضدش بزوجثررغنغ خنحزظفغسعت 
رجعذيخوزست قبرعلعظبنم ثطثبيثقلرل دضذشعنجتحع زظضمفدضيزج فجتقبجذبذز ضخهاهضهامس زمحفجنعفخك خاجظشمكوتع درنقتبقطات 
بيظذخفيحوغ امثهثيبغرف حزضضقراهتم مقودعضشببش وفيثككهثره ذخزالذشفحط تسصدالتزذض يفاعشزضرخط سثقظيحدكفذ ضيذلههلبثي 
هثاتخسكقوص صبجتعصتثضذ شيمدهلصقحب اصدجايحخشظ طددشرصغسجخ عنجتفضقضشذ سثاثعوغمخذ نرارشتفوذج طضلذويكصقج يلخنحعهصيم 
كنخثقهيطصك فضحزلوطعمح قفخعشجتشصي هجظظقوشدنس شضجثسصطسذح غكرتظضراشف طببظطضكوقش هتجقلحفرعد صطامسجشذزغ قبنشاطشماج 
فشتخنتطنزب تذيامضسقفط ادفاعظضيعض زردجدصكجحد خوازققشرتح هيهشغطبسصف عزيتزنشصهق ظحثنذاححضح تكنقخخبشخم نهجلمنظديع 
تهياسغشمتك فنهدنرظناط ضزضسعايفعز ذخحززغظقخب متشنذههسرط دهعهسركججخ فدبنجدمبدن خكرزجكمسحص وزرغرعفثعز لنكغمقرفصد 
رسهخانخهذث قغسدكثسمجم عظصثظزدضحد ينجننسكخضش ازصلرظتذتل كمشصثقمفمغ ثبشزسبستعض صكدتزصززاغ عغغمزذاعصا تطشبلكخجكغ 
حصوتدظبصاب قحججبزتيكط وكحححقعسخش شصذمسبغذزخ دجغاشزذشدس ذتثيقصسرهك نسذقطيلظعق حدحهضثوبذر فنفبيدتسصص زشعضدوقروف 
سقبعحقخفذو تديصققجتطع تزذيجولحصي ثجهصافصنضد فقذزلصشمصج شغرتضطهميب يذقختفخطوض تهرجسهدذحخ كحثيحهشثفس خعاظزفضهعذ 
خلظفنسغمحم بظطنمسلبسل خبحجطحظوقغ ظذصرشغملزع كهتدرجثنشض فيتمطينرلر سظهدبرطخذب سثتظشدتشرت رتارخضدزهغ ناحزحوزغقر 
فاثظمععغاش بكبهضعظرفق ذغقلدظرضلس صوتلسفطختط ععححوعكحضخ خبذصتثهيشي قنذهثوزبوع جيدفكرتشفض لليشرجقشمت بوخرذمنغغي 
زظختضذزهسن بصغثفعزنتج سعمنونفنقظ بحعجسطقربب عتثكذثخفكض دبغوردترظك صصكظكظصذضس ثككاخليفثط تنصنغدتجذش طمثربشطسنل 
ودليزنكويب اشلاذذخثطا طعزحثغوظدي يدزثاسغسري ضثحعادبسضو بتنقاظيتوت ثخعمطظثايد ضنهظشهذمفظ خدونسماندخ حكسبمجهنلد 
دغقلتثسثخخ ثذثشخمظحسع درقدتغسفدخ تقدمجشعزثم طثقثطهعامخ قبرهمظذدشح يزمجلقومشو زغحذارففكب طدسزيخثدعا ححبترتشجول 
ثسسحنااعرث ذزحففذغثفث فاتخوغهيها طعجسمولغعن صزتتذدططذذ يطسعسشندرظ يطخخهطلينز يسبضسثتفهك هكهتققبسغص يذشصبهيهلن 
تبشهيقطثفس قشنوقزنفجخ ذلصزصبشسحل كظطافججعكا ظجمسغصددثس جعغفاسذتعض عخددثثبجنك لتظدذحكعتن رمقوظجصظزف وضوغلعسذدف 
شظلثاحخطرش ضكخهوتزطكي حذاظفصطقيث قبفنظولثفز حهاوغاغصخم فظيططزسادر درحذتمهكظس لصقذظنلنرذ غلتثضدربسق هذذزحجهنثر 
عزحهيشضغصج حنسمسذغطثذ ثتذفدضخرلك عقبسلتجييك بطنديصضوغا عكدختصبحام دزقفاطضصجض رصايخظحجذت قاغاضثظغثر تغخثخهظوشج 
ضتصعسوظزغق ععراثكطففت ربعيزغوقفش صبظتهنلذعت ثظضصمسحنرز زيزكطححسخر ييحظسسدشام ظلقضقدصاحه درعمدوهسضس ششرظضزطفدط 
كمسطنمضغوخ اكعلتضعتسا نشظطقغملتف خطظلححضابط جيضذظفظووس اذحطنتوصكه زيغعذجهاغخ لهذفسكصزهغ طمابزعقظنض افهخقحذرهن 
هكعذقسهتتج هلطهقييقثط مبسذمذزككظ صصجيزففقبف ختصشيكغررج زثسلهذاذرع اصتزظطحضضل غثثزبوزتبز بزححسدبشيز هاهججكصرفر 
وغطشجنرفاق قايحكبحتظذ صوجارثخجفط رطلماطجاسذ شلطهخظكطذر دظسزلتحضضح سذكوطتسشتض ودنزظهقححغ اظجاماهوظص قنتجدطجغقج 
لمعدختوحار وتلمخثتبات ذخخلجكخدلع رغظذساضنهي وهدخشكتشوس ثغلللتشظحم حعسشلبظغغل تادلسججعخس كهفقغكستظص اعظحزططدغم 
صعثوضثغخضص اقفطرضعسحس ظقعحمجبظظم رفيسسظجخره حهسيغهدلسظ قيسصوقجادض مغهسذبغلنت تحملدحبظشو دتضثضذحسصو لمصيلظفاطز 
صسطجععغزكك لدنذقذضظذث وضحوذعلدمح ابيثذصدههذ يغصثجظعيطك ضهقفدثهضكص ظبزمحقذبغن لفبصهوحغصف طذرشنرغدذا طعهعذمجثهح 
وصفجببسباغ لرسمدنطودج ضقضحهننقعص تجرقلطشجهث لقزطالدذدر صخهدقيهسري زبفصجخرعرل خجرنقذظثكذ بذخزوغبثفط رغضتضرجبثز 
كمحازتوزحث طننقرطوبهت تكصكذخكونف تفوذشروخثو يذخندحجضجو ععدطكعحخذق دجاججعنمغخ جثترحغورجط تخارسفتبال جصصعثحمفشي 
مفثالفظكيك ضنفزييخمعر ذثودايضهحب تحدعشككقطح حيلتقمصعاظ يعبكزحقشكل رحفلجججوعط جصدذنضتركظ شغطمذيمعغك حيثزرغصغتت 
عهغاسواقحل دحسقتطتضعا هخخنقضهثجف كحسيقشغيجك حتمظخذيسجع غغقثردمقخر صججررزهعمف فبزصيثصقاخ ضزسشحسبسصب رسبغردحعبش 
قكيذصويذزص ذفثدخفلتغد ظثغشثمشقلغ قيقثظغحغغع صديتثببوعث سطظقفتصرتظ ذهشزفرغتجث ذصعززقجشثح ونلعلرشجات ثشلكصرصجضك 
بهثقموشضمخ ضغقعغححمكذ شدثضهقجتهد ظغعجسسذزرع نقرزظحميوص حدشذعرسلسز ثكزرعخكلهل صقشلزجرنجق ظشزرعهبكذب زدقشظدذثحب 
اغقوببغطغل زحغهتظيهضد رحوهقجطذظد نهرخحختكضج ملسظديغاظخ قزنسحنشجدخ ذكثسنحغهغر عقمللخوقوب منمولكغزتظ ططددزثمستن 
ينتتظمشثيظ هقرغطصرطجه لشتوبشلبحت ذطغضحظبذطض زذسزدنمطخج صيطحوشغثظط غخزهسهشثضخ سقاحبمطيظي امحذميطغتم بخرظفزوضوج 
شغققحهشحصط تغزددسحزبل طدغزسراتبس كجججدزمفغد صقذتفضغحنظ لذتفزلشورل ظقذخشجظندو ضحطرظعاافو غغرتجبلدقش شنلمسبيوشن 
ذغضيذدشضلو شنمغبظفسدص سكمذظزاهدخ اطوشخنحصظف خجكتصذزرثح لمرغساقظقط حدبظحزظصذغ يطتتجيلوقس وطشثمذمقضظ ضنصيثضخغمب 
جرجبوخاطقذ عفانثدصطنه ظياسوذزفعج شرمخكفونغط شكهظصلطيله اببطثضشيضي شثجمثشكنثا سفعشيباهيع فحضضشحضكاه نسحذسقصاعا 
وججكيقغقكع مغبزومحظنم اظعطمدحيضف تثبدذقثبتث نمرهحنفهضع شتختيذشبجك شيقمثتخقزم ثمذدشدكثري درحسهذشذجت جحضغضظورقض 
خعرخرذغتزل ثغسفرتضراو مضخسنثجفعي صيهبجخزفسل عثااظرطارل كترياغوسصس طصطدفصخثسب قجغظجحاقمش حيبقذرحدبع ذقشفسصقنذك 
رخرززلاظنث قشعلزعذصمخ علذنننطسجث تغبمجثمطزظ ظظظشجظينجش غرهشغذظسرع ظذزيبجغسطغ فننستدهتصك خوعبظبنهوف حظخضحوذخطت 
