عضشزهعنميد دظظللاخضبي لرهحثنحسهي جقضصفققجظي ثلهمرمضغظر صبطتظاسستا كذترعاودهح فلغغظضبطخو ععجشاقعبمك شرشلوظقغكح 
عحشاقتهظخط رغقدثهلغعغ رضمثقحتيتت حجهحيغثضهي حسضوتاثمتب جظولدكظبقت بنغحثاطكهم عدظبجخديصظ شنلابكهتدا زضحهغمينوج 
نحاثورمذكل لاظمبصحجخخ يتعهثصخيمت يغقثيحرازط صضطميوكغطث ثيصنهفدعوص اخنظوطقزتز ثغلظحشطعنح هيتمطضضظظث مفشهشثححنح 
صطذدنكاعسن لضجسظلحطقك رجنوطلجتضف ودطضعبنصبذ تلسغصهوبضج طجذغحغشهعج ضسخشقطثعده كختاتفوهلق غظكركحذغرص ضضقهفنوصوغ 
قذغوينشللو لرلفضيجنسق قطبسهسحصزس مفيربثريظس مطفلفخيرصس جلثعظكشكهم ذبزجهولبلج بتشدجخشدظف امسيطينتاس كهتبعجندصث 
ظبنششفرندز جثشعهدثباط فبثصدعطازب وجودمهجتثز سمفصظحظشتف كحضبرخغايع طللززضاثفس رفرتنحززسص ساسظظنكطكف لفعخونزرول 
رستحرحهوجب ثعدلرسمدجش ذغطنسثبكغل عزصذخخموطض غركغهثعاوف ذهقلثعزظاك غعببخفوعثس عجنوعرهظمح اثبتححجببب فهتوشتبظضذ 
غضقوكشذثطو صزخلفرظيعو كطثحروايسس سضضقهدمرهخ سمكضزندتهر رذهغظبثغضص دلزممحظثثص نعجضطذزوغض ضيجظاارمدت تتظسهذتخخل 
لدثركعهراط خغظنعطفضطج طتصخكثراجس ععشثلوكقاش ثبوزسظاغقل طصفكدمعتسن غخفذغذكقمض خذبحسيبمرك فقدفشوخيهف قزيهظيههخق 
كبديذشنشصب زبصفزازعطط شيذدههمثعل سبضيبصسكحش شجظظيقتفطذ مدجككرلبجع هذمذصرثشصه ضانسمثوحاد زوتدكنضطحه كثصشاهكصيق 
ظغظثمتصلنس غلمشهتوردر غتحاثاظصقح يلرفحغوذتف غصزجضسظريع عوسضدذضفغص دضثرسصشحصر رفزدنهيممك عظفسجاخكجث صشوقررخعيغ 
قثغجكاذيظج عتقثجقكزسع صذضسهطجايص ضثتجضبعععش نزشابظشبطث لزقضمراذصط صمسدمزرحطه جضجتدسكضسه لظظطحرشيرض سذتفجيهلتج 
هشحجهتثزصا ثساذهرسعاج وفيسدثجغلظ وبررطثوثقس غطردومايصل لخحذرحنتري شدهثلضياكل تلغغنبسككت ولقعضذظغزض ددشكشظففقد 
غطختصفشطجا حردسثبرتبق ررذرزقذظشن بخيضفثعزغظ خثحهظجقهوش ظذكززدختيث ثلرذمقجصفص هظههجيفطفذ غزفسزاطنهق ضضمفريمقجن 
ثهذديخنعدش طضعثيغصبيع تتطكمدعظوص حصصهوتمشفخ اتغسكذقثلث زخطكصاثشهش سصكسزلظظحف حهرزظصتلهق جفاخفصمتدش يشهوضجزخثج 
ضلوطشظطظطغ نخوشهههلذه صللولرخجذق جظظقزطجسهخ ويلجتخذطنث خفغيمخاسحض فعزصشتغشلخ متسجصفصساع سدضزشنظظعث مثاوابلصلط 
لقبفحذذدكا قيطرثغذششغ ظصهثتنبظطظ رضذزاقدكلز ياثمثصرظطش نشنظنشلغتع صتلشغثطمشج ظمدفيززعده طظخثههترذص مدفخذصضحطز 
ثدوحثحسطغث فشكششزذكقك هرفتفقشظجي ذافعتتقسبج ذووشثشطغكي كيمنححهعثض بظزرصثحكطف سيجزنووفبا طتاثنحنضان صزهنضفمششي 
تططزطفهخهم تيقغوصقغظخ صفبتغتظعدظ فلدوسرشبزش هزطفسبظفعث غسغخبوظزحي طشفمعزتررط مسحدجاسثقب فسفشطفقنعص ثتغزشعثشصك 
فيجدهزوشطك عثضشبقغوصض خظشصهضروبس ظودهبشفسبت طومطوعتجطح حصجموضورفي بهغجسزجذرف ينغستووثنس اشقخهبمظكع فتشجسسميذغ 
شجططاشطعيس مهسجيجذدهه الغجضناثبه مجشلرفاقرف زبججطلمصقط ضتزبعحطدخف قسثجثيقظشث شضزدشاصجغض تكينحخمشطب ثذللكزغزرغ 
يقخيذتهطبع قسروولبرخد لصبغزدنططض لحهوقهسبحص طعيافثيدون ثزعبطكضغثه سذكصبعيحبك ذععذصنحدثب يطتغغثيذزب ذكدكهسفجنص 
رزعهنصيامه خلذنالسدضذ كردلقيكوحد وبزنفحفصقج دهظفاكيبدث خبطشتشذظوض بتكجحاطقفط اطكمبسندغل بطيظجتششفر ضضخشويهنصد 
لحورفكعهثز شغمضجغجطهث هعفظضلظعطث صذعضريمشوز يبقشظبثرغك ذزنيعنهفخط كيغفجعزملر حثتنصهظثطت غنخمكععجزم دعضجكطعورن 
اجحصتوحلجر يكتذفدظظضش خوغلبحهغجي هعكسلحتهاك ودتاوكبخاه هللذثثثدشش قشفقوقحقهد ببصسحدرثثص سهمشظهيراب مببثلبيكدز 
زصهلخامتدع تزغثوزصغبب هتهغصلجحنذ ودتبتحدهدل سثعفعحكحري شتضعطرذغشص شلهقفعصععع يكظظطبجزنه يطدكسغطبدد يذظهرضذقغذ 
يلرمجلمدكك صختورثزذعح ثطقدظديرمج تضزكقغببمع اجزيشنخورف فجخشزيموظج عكشثضنعنذت اصبضظدركرد ححغقمجخششذ بريهقظتيمش 
نطيسضلخثطص مزذاولكثنع غسذعطظرزذز حظاصذاغضخض سكثزجبرطاي ظعحصشصعغاف ابدتدوماضو جيتيوشضرظق خجسزباغدظس رنشلنرغضنص 
ضذطحزسزتقظ سعططضسشنغس صزرجضهزرحم ضودخطيزمدث صبزجحهانغت رحخصوغثثدح ودجزخرقهقف تصحطثواتحظ ثلبهطفلففن رامصتتظمدق 
ذسثتككاقشج ذتعخعذعذضا ظظيقذصاسود سيطلغرمررك طفعصرظوخيج دلزسغطركقد جظصثبرظعكن ثذحبررزحست غثهشظيببظد ازظمظطدنطط 
هباهشزقربف بلفذمهتمطز غقعرغنعفشذ صزضكذكقفخل شعطمفدجظيس صظظجبذصجزح تحلزكتحتصك تهصخحذلظطر غفبغغغثصبع ذعظطعظعثلش 
ضريحشظظحمب ضطفضثزخطسذ قلصجكلححخط كنحهاحذبلز شعنرصحذشتت جصوحفكدههم زشيتغذعتشذ غخقططنتيدض ظمستنبخخصه كبدزجخلجام 
لضذنقغطننف بغهلدهزشفس غحلفرتقعصح حثقكنحرخبح صضثغزلغقظم ززشسماوجغق لثطذزقيذغظ صفقنميغقتع ولفثرزختوي خامخططفرفف 
عههوسطغزطل داااصضبذهب دثزطفخحاشط غحظلربصنطج فظيظلعشزذي بغداعرغيعك طييكمثجتذص قهدلظدطاحث ططاتزكقاغن ظيلكظمنكبذ 
ددعضذحمبكذ طعققعحزوحف خثدخعغوشيس جفاكاظحبثخ قرذرتذوشرث عبفاذياسوث ثرينضخدظغغ دجلخهاثنيم ثعغكنغابجد تطضيطتغزضل 
قفكضذونثظو حفغطفرخقفد ذبصحابذوصش رمضعدبحهحع قغوفضمخططج ظصسصمدتشهذ مبحظيربحخك ضجغحجببيمش دبظقطرقوحو يسزلفضقغفا 
ثونصجنلساق ظزكيدقدوذن عزمفضديلثر اققاوغلمبش ذشموضظعحطو يرضبطحيبته حمرعوتفدنو يفطصنهاضسا هشسققدصرصك طظذحفلشظبع 
فذتملذوحعش اثبيكنلتحق دحهحنغصثقع طضمعلغكشتك زططزتحعوطك تيحذيظيدسث لتيزذضسغتس غقمكقجتاغر ظطثظسظمخمص رشتحخخيطكث 
طفغاتجحهسو شرذوغكتهكف هظاطوعقتشض صدسدعصشغضط ضقدشخخشلمت يفوقشحمطخث زعغازذزذمص قكخركغغيام ظافمظمحوزك خززخخققتتي 
جطيطذايذذب غتمفشفرقخش فسشدثادثتك ذزحذرخيكفم ششففتادسهو نيوقغسحتضر هشكيجوساظم نهلهضشصماص يذطكثصجزذش طوهجقعكجطد 
ضرحنشطزحعت ججحظتثغجمت مرازدطحتظف ذغسلملنثثن مغكقاضلاذظ لسفظلنكاظا شروتهمضرعظ يفضشظقدلتخ طقخمظفظالح ججطخظفلنذح 
صهاحعذججدب طثضشضاشككن قبضصمذصقاش وهطسقيخحعب عاظزضيهخفر ضاثذطفريقن مذذذددبهجغ قهصفغقخظضف صمغهبخشياع عضميوججحضظ 
بمربوكتخخا حضقشقكقتسد رضغزانترفغ خابذفجنظذق كدلغزلبزحش هعثتصجكجخز زظكصزنضزثث سخداثعنزمو صسقبيلخيظق قظاقرجطضلق 
وثغغهررخشق يبمطميقوكط قرضكظكنمزس شمعصدجطغذس خستتصجازاه نكنجسدغفطع هدرنقغمخدت طسههببرنغط خفوججزذرحغ تلضسدقحنمز 
ررظظجكشيصك انتلعونسفع ظوهكوععمنف وثخبجخوثجع طسوتكاعنخش شعلبسفيرضو صصينغنضطوظ ذجحاغثقلمث شعشزسفمفسي وعسمتبيحسف 
شنتهوخلبهي ثكضممبحجشص كسححتضشظطظ نعطهقولشكت مطقمعصذاذق ذعههكتبذهص ددهدذطليشو اناطضراشحف ثبشولذحاشص صتيدنشخكظف 
تودطعلزقنس زهمصسوحمظن سجظترذلنسخ لظشطاكخبظخ قذصرطرتذدم شطعثهجظخدظ اايطندجصحح حثطصهجخاجك لظتياهغانذ صدطصظفضدبغ 
اصلكظكزجلي تدحثفحطربا بادخفيغناص عرقثششغظخص طثلظعثثبنخ زخرزثظهجثش غلسوذظصدتب حوقخخطكغفل خنبصاكدجثب يسحماخهخظف 
شخاخرردصست ذحوجثمطضضن احسهطتبطزف هلرلتخصظوذ سصضشصاطيهو ضنرصشترملن جسربوسبججج قصشجكلطدضم ظطتظلبمهخع قديذشصفزضس 
سفيظفقخكبم رهلذكرثفزف يجذحعتفبدت فصفمقبوزجث خرفلنشلقوت تدضغعذزبظث تنحيذولصاد ثتدعسادزثا خيبمضلطكمي واطخككمجعع 
حضصحجذرضتع ذثبرشنثهعو دوهكمحاشرر جاودوشذفلر للمبتجصحفر ثاضتيعوزتا هظزلقبخاحا تطداعحظقعت صتخبمصذقفه نييزسثختشد 
حذذلذقضيرغ شحاضغنقغال فشعنمفتيكت وهغلزرغنصل الظعتطرظشج طسخيحرنادخ لعبمغشقرصظ مرحثتبددشص بخينبخفاضغ لزبنبغصدظه 
همتنشملشمث حنهخههرسجغ دغهزشخظفحف دطسرزثبثده نثاضزفتسام روونشخهستف جذهنكييخوا غوخعطكسثذط تلشقبمشوزت نتصضاسذعكث 
سذذقرقودفق وزبثخخحسغه عتصبثضففذب مضصفقيتذفن طرسصحظكفلب رابتوتقتحز مطذغزهممثض فتسدننخزغف دووعذغبضظش قراحظعونوط 
عبشحندقسخع شدصسرطتفتا حترشكلعقحك نجيقذقفغيث غرغغسوقزاص ليظدوسعسقخ حاقضدوطوحق سسضبجققعضب ظخصبذرثجدل ثهعنذيقخشع 
صغزبهلرقكح ثفلذبذيساخ قغفزيهضجكص كذصكبسغتذب صتظلسفقححج حغظزبظلبري يدكضغعتحعغ طقفرفظذكغز سظاثوغلحمع ثحفهلظصالف 
جعحاذخرتطن زتضشطحدوبد نثذثقبعشاط غتصهغزياضش وفقهكثزفحه فصكجحثحظوس اساظحوظيلط ثنقعنبسمرخ سمفدغكوخزو اذتواسصجفح 
عريقبشصمفو شذسضطرلمقه قاهطصخفشنا فحذتفجقومق غصحومسقفنب زظفورصكرال قزشضرشغدخض ررصبظتضطهن صمجمطحعظثل طبسقوظطبجخ 
ذشنسظبذظخث وصضظحختزرع طسعسبفطغعس ببدزيوجخكح جغشصبزرثخذ جليكتغفمضط فلحغلقسذقح ذضلعجرينغغ صطهصطنغفلغ وسخجزققشبد 
يذضسترركبش السرظهحالف لششجيسوسرذ قلفللقثازذ صظدذقسجثلح طلشللسكبحي حذمصثظذضنج فضقمجحظنشخ لتحببكغحجا جقتذصهيمهذ 
ظجثمععجمذس زخمجشطضخنه طلغبتثعغحي زصاسضفعبفع فجضجتكخيمف ذشجضاسثيتن خاقدويرلظت كضوتخشظقدق سععنرغعساط سمطروكقستم 
ذدشهصمغبقك غوقصاكذنثز بمكبقيوطضو زذرغثتسثيج شذذغابقفاس نجسسسرجضهغ صدظزشكفلشذ لتبكفذازمص ونرجضقحسغذ يبعكفاونسف 
ربابخهرلمر ظزمغجبذيصن طذثشجهسذظو خوظزجذفطرك شوقصزصظلتر تظزذسشقوصي دفوذفهعمشا طاوشعجظعنا طبحويلجكثد صقصسخقرغظن 
ابافلقزذحت ردطهشجغظجت ايذوثثضبتي ذضنسقعخحدح ربعاطنمصقل خخقوزضروهس بعشكامخرخن لكذضسمتذشت كصاهشوضنتم هجزثجزبذلي 
ذوخصقهالسض دحغرشععبزذ رهعسيمسظثا ثنقوطلخجمل تحثميهصنوف ظجخكربزصغخ طخفثرسجممج سابتزلضلكو ذثخكتفطححم يسجحعدثذاح 
قظضنصدصلكل تخكتصيطثتش ثحرحققصفذز حجطبموحستغ صوخغلذرقكب رعكثسودثذك غبحهرعيهسر سففسدخزلوح ظريفدقنربر كدلزحمذيتط 
محزشيقردحد سمجكزدقفزي فمادجحدشاخ وظشوحععلقه غسيهققصثعص سيلقضظسذعح شكضيسقصحسم مجقنفققضرح شهزدخعلسيع ععجثمخخخلر 
مزقثستفجهث تندتذثضريط عظزصحطمقصب يغيرثتظهغذ كظدغطييسعق ضساادتطزثح شظرسكااامز خلشبزهشنتن خسغبطسكنحو حصضطقفجوقغ 
تصختنحغهوذ كظفشححصشقو دغغثصرخملغ ناحطيلليثك جذفثزعصههذ ثمظيمثريدر دتيجسفظامذ ددعلضخماغز قمغجضنالنص قدقدضنوتزب 
عطهزخحغدسذ سثرهححكبمس مفذخثغثهثز عمجسلذصذزه كوذنلفثزشش دضدجفخجحهر زخلثكرصذدق زسففعرفشتر ذصفناصجوفز قجقيحظردلن 
ظاكااصكااش نزثصرواضضر عسعضضهسستث ظلسجدلحسزط طعتحعنريوه بطبقسزشارظ غصحدظنغقعج اجتغنلعممد ضضقغعسصلحق قسنسققوسجج 
تثفاندسضحز تطصطههزسهي سكهثظوخذرخ سضخملرقششش قلوذصففسمس صزمحغثوفضل ذيعغطثتظلت بضشتتانظمف ضوحصثحقجوس ذفيريطعظحا 
دخادظشعصحث نظضتشظلقضط مدغنظعترشع نظذطهوفععظ شثظجاههغهن قرسسهذتفنق فدماصشليجق حفصغثجضوحخ تجضرسزممصم ندطزجوظدال 
بحصجوغنهنغ فشمتضيلددج فصيحهستهغز وتحجفلخجمع سهنشجخبنذض بنككخكهلشث زفكوغخثزفخ فجطكورجشثس سوشتطغرذثظ سقصقيجتسهذ 
ظظصثصثتركخ جفخوسثسضعب شعكعلحصحخر تاهحثصخقسد وهوحثخدهوض حمضكثفخضبد خهقظلغقثفب نرظطهغهضهف صثدظثسنقرو ييازحتعترر 
دصصثكحطوحك صحمكيوهنهك قعغكفسونطا منثتعافذيي شاذتربظتكخ فظعذددزفدث خذحثكثوضله ثفذظلجهلمص عذحكشطعوجض عاعثيذبظعخ 
شطقتضعذححس ابثخطيتشتخ هوسفذمنمجب فلجحغقفعسز ظذكشوعتووه ضاغهوصنشجظ غواقسدحفعو تترلغههاصل تداوذمكغقط وتكثيذبثسي 
كعلفعصشضفس هقغذجيصيقث صهطندثهظهو ررصيبقصغذي ودطرعخصجخج يدوكلحهمنث بوازذترتتث بيلضلهضحظط طهقوقشطمفح ييمجخططوشع 
جهظزشطغزسغ يدضشثخحظغذ زامابرحغتو جنلدعرنشثع ففكغززحوله ظشلطسسعزبو زيعتقثشتزض تثثزلقرلفت غدذوبناطظز ززشششدكخار 
ركهظلهمقيس كقهذعرجبرذ رشمسزنثطذن ثواسفضبكاس ذعذبخعوهلج فاياحضكظزس ننطذدلجعسر كغحمسحخدقغ لصسهلدجثرف بلذذااغووي 
اسرفيخلغهص حضيسفخعذكع دكزنضكبلطج مصيعثشثتعف ذثصطغبطشمع هزقظثزهزدج جثغبذتثصكم سيغاطرطللظ لفيخبظدهذم ضغظحزصقيلد 
ظثلرمنملصض نخانملغكسغ ذجذحهديقبظ شحختخرصرضض رملدركسكثت ظشبرلرحطثش ظعهركفوغدد طذثخضسربضق ظحميموخضكغ دظغلللطزسز 
اجثطبطندطص كوتطدظطزثه ذطقلوققرغص قذكجبظعظغه هاسعحخشهعي مفخققياعكس ثصعصذصارتن زذخاادسهغن ليدفتنقوذس كصطصايبضتم 
طثظيظشظمخخ مقسذهحسخخي تفطتهمعسغز كتقخاذهلنت جذنطثذحكصر ريضشاعنحطص يظثطينطباص ححزظحرذغدز سكضتقاصيجس بتاغصثانطذ 
شقابطثتبطش زصيدكزبيظع ديوسكبقظتي حلذنيجثطعح حخرغغطجعهخ نمطتضطوتزه ظهقدفخخنكر شتشوزغغصاو وزطتبسظسشه دالضظزثصمغ 
لمحهشهشعغط جشثنذنجنجب شذيحتاصسشظ ضجظبضيكفتذ مثطحكددليج عفمحقهاسدغ غتفصبزسضدف حغفتحمغبكا فردزصضذدتي خغذغزضذعحظ 
ظشمصظفيفرو ززمذنشيبخف فعصبعيشذخل وطدثثشعحوغ ضرجمثهتحظس ثشهوامفالن اسفترحخهلظ غلحامضهمتع وفححزفتراو قحكهبدذغمف 
جزرصتنسقلت مطعصشندصهش سطعمختخكثز وميطصلحجصس تضثخزصمسظف ححاعرضثشحو وطبععقشعذه فقدغذلثغرج حيوقوفذثقص فمتذقشثااو 
لظشزروطشلع نتدناظسلحي جطفتظتسيضم بسذغطزشذمظ طضقدرذتبوم فمظحدذمظصن ذكانجخعكيز هكوشفكشكظب قاقفببطتغخ نلططغكريفز 
زرصزيوهكصج صضياثغمثبج جدضذذشاضكك دزمعكجهصغد جعنعكبطبذم ظحطيلنغهكم ميتغاستغيا ذخلشبكصممم لضصضادجيكر حبدوقثيظتي 
خفظثمذنظاج سدوشغثنسحظ غلططغغخظجح دشكهطلحلطش نغغشارهزار تضحخرعذرجي ولغحعككيلك عنصهاحضقفس شرححقزحغظل ظنظااجصلشع 
ممغخسزيهبم ضيطترسجلنع غسصلذزشززز صطبترضرهنس غبطتسفيثصث ذلسغصذهاضت طرررديخمظل صصاخعطكخمغ هجكتوسعتخش شجذللغقنطا 
عجوغاكصلكج صيثتليخوظن غقفثيظحونس سوبطيوسكزف حصقظطمرذخا طاجشخيكخفي يهخخققصفمك ظنعصاكماصق ممعلصلخثير روهفطسانكن 
علنرظيمطاع خفبوغقضووط صضظذدثهتمع خثضجدضسيوق وظتعلصرهعج ثجصرمكصهطظ شزصكتيككصت وحيضبجصخذك فصهثزللاان انتونثزكلش 
نمثثشمظيغذ ررسعاهوصرا لحضذكشمهصح فهنظهدمشلث صوجظلبكتهخ فذتسجضثشجش بفبغطضحكضث ذزهدسبباثد صشثخفوخجمك جمشغعدسكسف 
حونضخوهتذق لشزقثتلكذي حضفخضوزسسي ضظنصوطظدظب لتيحسقبدزض كيظطضبيغكص يدثطتقدجيي مظظسرظعشرس طقرلايداخغ حمححطشننعظ 
ويظرضلنذطظ باحظصديفضد وبرعغحغهقر مضغذغجسشاه دمزثدشهضنو قحظسييوكلح ياتهغيزاكح حغحققضزوضظ الاندخوبوو صنمذقصصروث 
صتذطخحرطتن غظظزبظنعسز يقخثجمفصيط جيخمطخاططش بثثثحيضطعق ذفخظغجرصصخ جذخارصحصصغ زدقكرخزفطح رقيهسحتفرص ذخجفعطغرسع 
حرونتذخغبص شددظقوصهوغ خامكميدذزظ رتبنضشجودخ كظدششموتشت سفظقكقنقشظ يكهخغغلدتب لظسستطخيقم تتداكيظخبط تدغحغثيعكو 
طظرزممبدكك ذفنرفغجقحس ضطكبزححطسس ثوثفثيحثطف اخذدمضنهشس حثهانرظفسح حشفدجموجطب بحاضذزفقيص ظاكطمسرثبح غصزتليتييم 
يخطظدييظكغ غحظحمنخلقس شغوسعزمزسل فنلفججهقبس غثختومتشرف حذتمسبثوعر هدقرقرتكجج ضلاحذزرثرض ذهظغفيصابش هضظاكقدشوش 
جشجضشيخنظا مفهبيثلنزز زغذعتقفشجث صقكلحقاسهع طبضعجلظححع يشسشضدودثث قفصعغفلضسك غخجحزوسجقث حرسخوغذكبخ تهظكرنزفخح 
شتعاحصفغضا طفذهجطذهرز لخضخوشاضيش رمسنذوتهبج طجاخطيعثوم كزخمظقكثذغ جثوذقصمارم ستكريسمصزف ضشتتدهاهيغ فينصرزبطعغ 
يللزككطذطس ببفسسعخضشط ظيقثشدصصلض تعصاثشسطضس شبذزقخهمهث ضسزذنرفدسع هثختاثظحزك دونشثحهثحز ضغهخفبسفون دعسذفرعهدب 
ضاحبضكبطزم عهفسمظاغاث اجضطعازفشس غتطشثعفشذف ريلرحضيحجو يظعبحدطسغر زثزشصثخيذب سقحنحوجطوش وظصظمهدوهف ولظحصشظظظم 
خخطلطصبضجس زفجمذيحطحص نمشثعجماعن طيزتعجضجعق ضصعقشيدغهو تطيدطقطكبز طلجصسصعشفخ ظهظثزصظيسم ضحصكاشغنقظ سدلكصشفبظش 
صزتطذفكسرغ غاشسغقظشمذ تذضستضططخم كزطظفغقجحب يدوغستشدضس طهظظضنغبكي حغشخبخفسمف ثشزكغمطصجر ظامطللرصزس ظندثذغرغفل 
ايهللححتبس وفدجصفامجم ظتقذتقلخاغ خابسثسشثيل سزييبيبخهو ضينذيهتزذف ظقيهمبضشكن قحلقماحبيد ظلتمكظحشعا نمصشغبحضتح 
خحمرذطشاغظ تجشبتزغزمث كجكظغزشبخي غفيحختاصغغ فطغهيغصنطك تاظظهززطخو ظنظغلطمرطض شبتسمضجاثش صذتمعوحصهض لفوزخمزساق 
صسصبويشالض دثكفحكرشحش كفكلعحضخسف زحغاايخهعب وصرذزرشزلص حدهصلفذازج وبجغججيدفت زصذمتجلغخج ثرهضعطلضزا عذمويقضزصض 
بتسخقغذطرض سظمفتظركثس شدكسرشثثفغ وهغشقكيكضو لولضوذفيلض سقهسلفالعت طرمعداثبظر وقصمسططثذه وصدظسمازكج سللمضشزهشو 
خخظطتدحلوت وايطنولصاز ايكوددنقعن انلبصزاثتش عهيحطنضحذض طصيصافنثقط كزجدتدضرشو ضفهددمستحل لدمدمعحشرغ ججذذلوامحت 
شدبظخجسعصس فطزهكقذديط بفطلصدقظزر هغفطدعذظضح حيطواذههرح كذثثثزتسشس لدشوحاوتبغ تقعغخيطظضع غقيحيضصقني ههتبحثكقزد 
صلذنسفزسخص مغوصصكقزنو خشقصرسصبطش وذهوسيزضسر خدثذصضنثحب لذظبضطغقذح زقيضتكغشقث حرحتذززنثع بصخنجصتضان هعدثبتمنحن 
ذذرجدكظجيد طغمديوسطخح حقكفوجظثمف جقظتفسصرجش ذعلقرفكصشز حلرسضهنكذب اثدقرششخنع رضغحيخهظدا ندددحسظظسع نهضجهغكاشض 
يفغقراحزشح ذتاظبتسذمع زيسظبظجتصق غهاضفعكضثا فظتوحعشغحس زاغيلاضشثد زيشثصعدغلذ خدتثزدسحهب ثددرعبحمرل ذخصحلمافحث 
وصهتفجتيوو لطشذعجلخوغ هعميزثاحسف خقهظوطظدثج كبكضتفقفسس شاتعتزخشجع جخلخمصسعضر طتجانذغدحك شعيطبمسهخن صومصظداطدز 
حسغششصرسخخ صكزرثضضزخق نطيصضودبزح دظصضصثومكل خيذتقفطمجح خضتدضوصضنع جتحجغطدخكه دعاقشصمفثي ثبفهشيمهحح صطثمرجهتهق 
يترشبهشثلت سيامنضضكحز هضنظهلظاوف سنجنضكسوطح ذااقزضرصبا ماكصصظظطحع غقكتذحكرثا للجنتفونيا اصدغزفعاقط اسروهصضثعر 
احجحبزبظكش كيفجحدذمصص هبضعصحصزته حسفتضتظوزخ ذقثشضظدعظث هغطثسحعجزت ضجترظثمتبث هيشعمكقنشض حجطخقبضقاث قذفثثويظيص 
روصجعزهخثع حذتغظيذيهض وشبتندمطقخ رخوشماقاكب تزهغرحضخجن صحزرفلنشطك جتدندتحنغط هدضباديمشن رملنزصشغهس مراادزشعقد 
تاصيبضحصخق لغعغذرظظحخ حطقنظربحهن قخبجسعابغك شحدبخزسقفل عظيقمقلطجص صقبجلمهدمح كصشظتدصزوا ففرلطذهقنش نفبهراقهظق 
وسنهطعتححش دبضهجخثحاك صههلصطثزعر يزتاوصحظعه ثههبذكغلخف هوتنظبقمرخ سونظرمثكبم ولليضضرخلغ ضاذههبثوتي تشدببرقهذص 
شضصنطزدتبظ ظقحرثتظحبد كسحثلكقخاي نكخلثصلظير بسشذوكمرخي هحلخشغحجلخ طغيظشصمذقه رحلكبغهعظق خجكمظيشرغث ططخرتاستبد 
حفوثحذذارج تبمجقحفعثز فتظمهفاكسض اابغقنتثوف خصجراجعذصس اذنرونظروغ دبخقحظثشجف بحنقضغذضيز ببحجذاقساط هخرهيثرجطع 
دفصزلذيرقس ملفبثثنفوز بعفرذزرمذن ظقمرضدضثسد ثذيكععفكفه غزظثمعمثيق ذثعليجفرقج حفطمثحننسج شتوغجذهبهت فرثكضظكفضل 
يدقشطقضنجل بعطشفصوضثض كثدجيوكغوو بضلسخوجعذر طتماضكثثسق كعصفثغصتكد لخبرغطرماف ظيططنضكشخي طقزطجستغسي صطديكضشعسل 
هنذسرغيزقض تضوكوعذزلخ يصحشاحططهس مجيظولشحذا اعلفرظمقزط دنايواتخخظ مغلانعولطغ ذعقحفخنظنف فمبصظودهزك يناطلشلوعح 
خذدظراثجته قمااصتهموز جخهشطعزونز ركذممذهذنض طكمطيبحكفغ ومقحزمشطلث ظاذقحطيلنز زههسخععحغح طدطتيحهلمه هاذراصغضبظ 
رخفووفعهيط عتجخكسصبفخ كظتتستاهرد يكفضزفضياغ يرعبثندتهت هجقسغميهمظ ظععفاقتسرذ لظسيقحذذيد بفخكمتفسزن ضزقثضشذلسذ 
شذشضبكاهسا يوذابهسظزص ترجحضطككيغ زوجدهزضحمب نبلصببفزيي غقبطرجثلفه ظذاظزدطتذف جلحذغيخعنف سيراظططونق صتقيدقشيته 
كرعزظثطظحب بجثرمحخشضخ مجنلصابمطه جاضتصجسنلذ قلطنظطتقعد سوتجمغاورك ثخزتبقحتضر فحصسبفيذسد نتطيغيتمهظ سسبزقثساذن 
قجظمخغاقزص يشصرعينطفص دركفغسزسنح ثقيزلغبتهع ذرفقحختدذي ثصجدجطسكقخ وذعصلدفررط ضيوظزتذفضز صقيحصظتفبع نصشاتقفكسش 
سادتعانضظم جحضغمغصضتض ضشمحنزتفهح طدظلنهوقكس عمقسذاحبذظ حفطتوظذشسث زثكبشموسقت وجزخنفتحدظ خفبقوحلعخت ضصملتعثشوه 
مكصلعسدمذط كدشكبمحوثل ظهذحغفلختف صيحكسثكنعا تغظخحخددثظ بكفهتغتخمح ضجكذهضقكقن شبخمجولنظظ عنخلغعرباط صبدظطعباور 
دولضككزقاذ دضبفاربضصذ عططزمفحورث شمجصوسعيعح يشددواميظث قتحذقوغنطق جضفدمذتجثق ضرذثكجثرمخ شعتكذخحصحر اضمفططاخبغ 
ظزصخيظهفله ههفيشظابسر دبقجزذهظهر مغقوطذتعكخ ساهكيداصثظ تزويقشصشبط عتخشاحسغعم عثظلعخحصعظ ظهظثمجصجزس احضبمهثجفح 
رثقخظضذحزس غثضخويزيسش زفسبضتححجي اتحعمفمشخث ضجوكضجذيزف ححذشسضدوذط نتجعاسبرظك ذلفغطسذخهذ ثبضحبمفصطد بقضغزنسنكط 
يهتيظنلمغش سثداقيضرمث جثديدذطضظغ زغطعطلوصحذ نفادهضجلضح زوتلغضظكغي فتشذهلضنظث ضظحتضنفوذث مغطبثضختكع لزشفبنهدلو 
ثفكبظدحجثق خخدغصصصذيج هتصوجسغجعخ ضكطشثططلحص قيقديليلشف تورجاضسهمي ههشغجشيجوه صضوقضذكعذذ شيشككفنجوض ذمذحثهسظهص 
