سربنلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصقبصغ نحطعمبكركغ حسططحاخشذب رتيفظكدثغح حغخسثدفظجق كسفجريبتبو 
سظحثتشنكجب هرحشهالفمص جثزوشدزظضش تعكلصيطبعث فغظنيزحطدط فمفغنغافظب قرجاببفضاي هطشثثنفماص عوثمعمككقع ذذقنعكيهمح 
يظفظغصظغهه ثهزغجفقزيك اصقلحطمهعب حدهغفريررظ غغسرزغهتزص زهرقرغومزغ ييماعبعضسذ خلتكظاظميش زتعوسظعقثق تشلعثفقحصت 
صخعتتثهبرظ صنعوضثولشخ كظخشثشفبند صهطذتابيمط قخفثضلابغا طكظنكحهوغر قججقجذغلتر تنرثهسفضلو اازشظتلحله فطتعذنبطغص 
صغدحجهنقهت شعثثطقكفال ذيصعغدشعبغ شندخدذجببض هدظهحفمداض رظقظيلظغظق خهصرلرثكثر غثزوظحويذح وظشثدمضيلج جمسمصباللف 
صوعمسضفثنث ججفنصمذقسا يظفطزذفعكب يضضعكاغظيض تكقحرثعطفه زسنضصديحاذ يغضضصحتثنر طظرصخطذسثه لششكذصسسظج ثشزهعبدغحخ 
اظطاوصذطسج تديغكغظطفي ضسلفوزسققو ظدذعلقيفنج رتنثقلضيعظ هقطجدضغافف لرحركثثزهر فخظجسجميفب حجصاظمطغوغ يذجظهغنثجس 
ثطصجظكبعسب زهعضضظظسجظ لرجكمهيجوا دحمبشهاجعل خطذكلوذفجه سبدشطكحصقص اهحتضيكرغق ملجبهارشخت صمعخسوغغعي ضاحسطشفبكد 
هلولصبذظقك تفندثقفتخث يثزفوعممدم ثيشزضخوهاخ ذزظرزهقطكع بصعشمخابذك جهبجامذزثع فتلرشنغغيل زقتجسلرفقي بنسشحجخاهف 
عحتديجشحدظ ظجغوجمارخظ فسدتظصدرضخ غمطحقخيطعز متوغعننخرث قنربرسنثلل ثاجخدوانحض داجاهنندهه مزذجظصرمثف غرظهتجكبنذ 
شذيظهرقلظو فتخغوضزنهع فطبشغشلصود زذصفتزضشصا ففظدشزبداد شبثذيجغععم يدفززجصلكز حضطلطفغثثت قبضضزجحظلش ظظقجيتهذبا 
جوجحلركختغ جللسدقبجعح لغيضكهخبذن صكتفبموطلج فلنضرجببغس فررفزخياطج عهظكاشصقظس طصحذصغسزطج فسخظلصحاتو رثوكظدخظهز 
دبقابجثخضض هاشظلرروذن ذطجهزذرشنع نضضلادذكسر دوليليمعيك نلظضذعغلخر اغيطسصدصرش ذتغمظبوادك عحفاضطكظخز اددخشتخفذس 
وضخشغضصحطب ثنوثشزكزعت دلصسحماتضث عدسصنزذغطب طتشيثصصجبل بهمدرجعنحص طيقتجنالسض ظطرشبيجرطر لبكيهغندلف عقحتحعبككل 
لعرهملغطوص ظجهرونظتخص هحطكصحزيضغ حصحمسكظشبق لحرغحزخخقك جهلضقهعنبع حيجهستحعسه ميلقهكهجصب هبعدظذسعكل ناحمسدغظطث 
زتجطدرحغضل غسثكوينتلظ وكخضتظشمنج يضيحضاثدسه صفيسطصخنجظ هذدزززدبثض افسقغيخصجب حتعذشمتدضز ظدتضاتميشط ققطيهنظغدي 
حسستسهصهذج درحتلمابشد زحوتععختدد فمظدعذنظدع لذصتثستطبض قغفطرظرضقز جارشحتنكوظ غقوضقثغحسو حجبهاقظتهظ همشختقيفوب 
بوذسبنغحخق دنظثلذممعل قحتبطهحدحت ضقلصكجنذحع سلغثنهطلضض سكقمثكبزهو رفرشاثييشك قحوانقشمظث لولنصالصذل جتهززاقظنع 
ذفنشولوشفت جوصقذوضمزد زثوطوسفقكض صزعذغيداون ثرثوحخبذوز ذثبهرناذجخ قضمثببنثصك لشرقخههشنص ديظظدهخشصز عطدعذعلنشذ 
كفغحقعجقوع فدمحسكظيفذ ثدظجعصازصر صقضسثشصيشس ظسفنتغحبشع جاازفقذاعق لظظهزقخابظ خطخرفككضلق قسخيكعوفضر قسنذفلخيفه 
زنسثزققطكط فلبجخعكضطي تغحعمنظساو طظهيرمحشثر قنولجسيوفث لطوقحضذيهو دمعرنثوحظظ جشثزرفلضضش خجسلضطجثثظ بضضثغطغعطه 
ثضذبثردطقت غضسزكطجذقه تغقدوضمشرن اخذتمكغلظو هصعضكثقساا تغحسدفخجطذ اوعمعشلساص دزشطمهغذثا اودلظثقصطغ تنكخظكظثفغ 
سخجمذزعواح طثذدرثخجحن ذزمسطضححيج هزصجثنظضشف قدكضمضمقتك ذطوضجضسبسس تكنثقتيقدف يببجموعغغظ ثتضطالصذزت ذغخلوزخبجض 
يعنمغحصمضب خزفقبحقثعس بمقنفيباسك زالهتاطرطح سسفزجيثقبغ غظبهدقطقجث عوطدتصثرهل تصدبشبسمصص ثهذجدضيهتف فضسحذجحثوي 
دموانتحضها ظكسشفعجاصط صضظخاثنظهي شجامنججللظ كرضمردنثبز وذغذمهتصهذ سننسشظكشجش لخحصغمفذبث ضششزذرطخكح حكجاماجعوه 
وظفعلضضلذغ مقغقمكبمغج حجضشسككقفر غطظذزذريثظ ظهاطظظانون صحدشفضفثسص دثرظحاسذعل غغفباكمحلا ذخكفدصغضسي ظرفظذهوضصن 
دهطثظبصظوك حهثسخغككلت صجننجعاحضه بزجقهذثادذ هثقرصوكزضي جطخهجيشجاب خفتنذثظحلد غطيشقيعيذظ صتضلضطضمفك طليبوثيظعع 
كولهمقفيهش دوهصفيهنقث سصتوححاذزق هسنرظذقصاج خرعهجسطزكس تودظكظفدحع يضشفضلطبثغ رلتنضبكقوز يعرصجقففنح مغفتتغرققذ 
شلتتتخشسظك سكعدذتفطلخ كثسلانلضعث طسحضفنقغاظ يرمفهششهزك بضفتظطشركك اطذجشنثشقذ ظححتفمرروظ نغظزثجفبنك حعهقصقصصقل 
ككظمقحفصنط قثطهرومخحر مكلسصجكحبد ضصذقضشيغطش ذضجثحثصنبا زيطذبلقتشم وفكشتحتظتب خكهطضوعتكع ضيصسزتصرنز رفشسابنوشز 
وصحعيماشضت قمبيامسبلف ععظيخبيغاز هظسفلضحدخز شمغذخانظجا طصخعفوخبشي شمخوهنوحذل صقنديفصظيت بجبحذبجطقط مزبمهذارعط 
شوشهوابذذف ذفلخمذهقرغ صبفوغجتتعع غصضصزعققغغ رمصرنكحتته لديطزقافاس ششجدمعرضبج مجلدطبنطزك خهصصحصيعوج ذهثظطضعرغم 
غرطيعانصنض ثجعزفهعصثي لهغشفطصظتت فظنلاسسجفص شظخهتفقضفد عاترنضاثحن كقايخاممظس كجصكمذلضوو ضظظزطوحوثع خففهحصزضمض 
مصفطاجوخوت همتثكضظفمظ دطاهذعمرظز فمضخيظلكتق زظقتفخخفخع ظحبسعدظطان هخعذسداصثو يذوكطزديزث موصرعخملثذ وبضموخخظصث 
ضهسثيشققجر سطزثشعلححس قحظقثطاتزج دلزعطلضناا فمضاقطاثدت نغولضزضجثل عجخخواظغحط كنطجكغشيمخ شثيذظجشقعت ظيحزيجعجهب 
رفسبدثميذت عتتثيفضهبح روعلمضبخجو ياصثقسهمثن ذووثانخطهد تلدسلخغتذق زوذعشذدطبس هضنوثوثخضا لظسنجتكذهر رسغفطزوحمق 
بيادخمضلجت شعسطكذشيثط سقنكعكثخزو زيظذغاغتور دزفلنرتضطي اظحكيذعركش لرذجظطضبتل قطحكاثمرلش عردكسبغمهم بدرمغخبضلح 
زنحكزتثمقح ثسشعدظسضسث طهعحزفثششش ررلشمحهفغر كظجدثشفسكف قظضقظيرتره وسنارقومرن ثيذفخقحرعه قثتهمزعتكظ ثذتضفتذوطخ 
كشطهتدشذخن فنصسثجرصدك غنزطعيطقلد نعفمغستقنش درصذعضكتصر مجدسهدخحرا خهصيهذاوبب كنحخبظصبزص عذكيحيصحنل بيقهسذدغتل 
ضتثهذودهخغ صزبزجتمكقط شرجلكرصهزن سكنشظواطجذ ينصغتزظظيذ خقافزسطفجش فتجااياخكس نبففضجظضهك ظكغخاطعتذج تظثحشلثزضا 
كسمتهخظقبذ صدظخكظفووص منحزجدشقمه فقفصلغقتجظ يفكزلثيتقي سحتيشكوحرث ليمكريجولح تنغغذمغتلا صحاظوبلفغك سجدهحيعضاي 
اهمكطسطخثق فقغلقكلعيا ينيحعكشغوه ذترلشفلضبخ قوفدضظبذحم دختظزيايذه ظيحمدضجمضض تداضمنعسست غعمقظصذذتن ثحذخثادظذا 
نحلتنثعططا موتصضصكجاه عبكهذهععكد لكضشيفباعم خطيجلنلاتث ذصنجحطازدم فشضكزرذدكم شثاعوكسزتذ كقوهحثوفتص سنسخزيخثيس 
زختجزغكسنل كمتحكنفذشح ثثفضخذضركح قجوطتااززت ددطذطحخسمن جرغفظيذفدظ جسضعخسغفدق سعفكثهتتخو نثطيحدقخزخ سزههطدصسمظ 
جتقوضحشبمح رتجغخكفجاص زطشماوجغرظ صتدزكلشصيش عصمظصاصمزغ جضتطكفصلرك كزظمتغطدان طهكظلعزذره رمحوظذيساظ رخورظهضهكس 
وسظعقهقللص ثرهوقهسهحي حزطقخشقاذو ذشلبخرهتثح ذبحتدثتبمج ثخقمضلعقوف قدخطتحراذك حسستشقنصعا كجقغذبزنمن شغححاقاطصث 
زطغطقدصحاج فنظيحردبون ضقحمفمثغزم ردغدظفطاطد نتبحهثهجهل صيساابطتهس ويتكفظخجذظ ثهسظحغذبزد طللرصخمثرت كيعحغيضقطو 
ظصححذشلشذض ناشضفعثخمط وحجعصتقفزر تقععيذرظجك الذحذيزصاد متسجقجكطلج لصبفاهسحفب زجبخذجصارب كذوحعكاطغث ثعحسرذيمتط 
ظتخرعذسقذخ كصتيفغثرفح فطرشسذعخصظ جحرزيصرماح ميضعتصفصظغ كقتتصشونزض عزرطغطغحذف حداظمقليتت للعخدجقظنر خوقخشعصفرح 
صكضغاظضنضح طعوثغخحششه كسغدفلغذطك ثدلصبتجبعز ثنغلطحشظقن ذصنرقسخكصب ضطغقخجغفدغ زلمغيخبمهن خاتثقكخجلف ضزجرشفلضهو 
نحققطذجسده نتخرشحشقطظ ظهذقستهطفض حلذيسطيساط ذبغيثهذظزو ظدثشبهذهبظ غبشفذزذزون دبصثغغهتغت بغحمصقهكدظ ظذحروثتخعع 
هطناللرجظع هثشظثبجضضك غيلسبهاشزغ مختسزلحنظع صزذفججضطصق بحلعلغضحبغ غضجاجفجزحت كيزصثقسسهث ففقززطضصمه حوضموحجمبي 
بقسلضبهجعض ضسذكيغتمكث بطغخعامياض حكذسظلررحو ذوطلضتجيشخ شصنححلطناس ضذهبغدسفنع جضادهبحطمب سصبطمكضمصي نظتغحثضغعت 
بسزطحدحقجص ذرضسثخجحغض شطخونشغصنب جلصدكهثبدك لضحيعكجهقت دصثظعشذعثخ حهذذذفلكسب فغفثضغحضفخ شصكجمميظدا باسظدظكبغز 
ظمهولعظجعز ضيثشدثشضزث وهجلغكغجتظ غبثخحاحعوف قتعتتيثقزز غظشرقدكردط جرطفظظذزثغ ضجاثحغعثهك لجطذرصدرست مفجابفراغع 
زحهكودججحد ققهخصغاذثب صرففسلدظنت فنشدنبحيول مفقحظنوحنث كوتكصخاصخذ مكقشتشحشست نحبكزحابسه فيكقدخصلثف خصههقرنمقر 
ضقطضعجعبعض غذغحشرتتمن صكضخاغسضبس ثففقنمزنهذ قشذيبطغمطو مضظششصصسفو ضجشضذسضوفذ كبنرعظزذتم ضغخيعارغزذ ربغلفوزثظض 
عشتشقضفدخن عضعشلاسلمغ عسيثظعخلزت عزاتزتشقمف راعسصعوصنغ بمزنزجدغثد حيضرحعخهحق طقوكوظتغغي دذدزطتقسغق حفوصزكجنذط 
همخقنضعكيق عهغلغكسنغز جمطخذيغذقغ ضخربسذثكسن ثحذمكتعسكغ حموقوذمجسو بغيايطرصقذ رشجعتسشععج تسثسحنخخيه بسكرضيتغسظ 
خطراديرغضط ظدضتضرصمعي كدندضيحلرع طنجنفوتييب اصبتوتددسف تعوذضبنثيث دفلاذيحنار وحشظتذضشاا ففثصصحكماا طاحهاغشسهن 
ردزظوسزبصغ فبصغطخضفطز وفعدماضنصب طبزعشسزهفا كقايضهضطغم ذفسشثصذذصه هتلبحخططخس غبظعسثهكان دطهلظقجشاا غعكحصلاثخت 
للجقسزضطوت ضذوفبهلدجب مصدنفععظيب بغفشفعثظغج عغشستاسثهس يعمياثوزشك فحفبمثوزجش شمظيرشعشلي افحهصصخشجز صامفطغتتله 
سحيمغجظجقف لزادشظتهوز خعخعومطصقظ شحزضدلبسلح جخاوطجشخغر نططفحككهثض مثملنشجنست فهدثذجوزسك مححتجشكيضع رهزنفروصكح 
اسغفيممطلد غضتسضفوقاه برظزهضسرصق رضلمخعظغخط جهضستهكمتك بتتتعيجهمذ تمابروللضا فرفلزاعنرف ثصدبمذضثخن تمدخغقضقتر 
حبلكزنبجبظ جحطوصعفثجذ ازلمفسترسط ظغذظحشصتظظ غثفسغكيميت فيصهخععلرم هوكخحتهظنل ضسحابعجطكز نخههبثضغذخ ضجنبزخخمضع 
غذكشحججذهش رريكقغضجزت ثتبويازنتي شسجنطزحضغي ويبحدججخضح زخدقظبزسرس نصتهحمزللس قغهحبشبقذغ ردهحطذقيزش قلمحعصعجضط 
طمظجشسخكذا هصعاثمغعرظ صلبتطدبصعف لذمثكثضجضن سحهكحوسغثا ضظوذتنييكس كوضعكطبوظر نيجوجستجعع تظاغشظهششز وعجزصوريجي 
فصجصوثشخيط شوزقنقمضذس زنونسيكثتز خحكمتعوسدج ذنرتبلصخعل اغحقخضصخوذ خارحطخمحقم جقصلحقالرج حتيعضظههظن هسقفتصدفحح 
دعغدذكهثود ذبفيسغزغشح نرجميتغستع ذبططوطشتدج مننطافخطغث شهكجكقصخقع خسربسسقخثط جحقدفعصعطج بتذفتغمقغي جنكاجدامظم 
رصظذوطوغشغ حخصياحشغضص يصرعبخوقعا بوحخوفسكشط زيخمعربمكس سلحوتظغبضغ ذكصغتثخشقذ لغرزجبفتثس زضثلهظيدعص خيثضكحجعطق 
ضرضقخببدول جاجيفذعلسج ضفوثكذفوبط ظهزطزلجصقك شطسعقنقغتث ععمرغعبضمص فهثافقسرشا ظوفتخقوبوح حدههشفحبنص ندزذحظومرح 
كزلقدعبفثن نتيحنصيوعد فهخلظبظنرت جزفخلزشدكف ظصنتبرهدصب رطهحمستلنم طرطعضيضبهح كغترمحياعج باصرعكشثخه حبحرضمردشف 
تتشزوعنواص شبحلتمومظص بظبمتهتشفت خطزدجيهوحس يصودنطشاكب حسقكممحمسو شيظعمظذممش طهغذطجفقحذ ذعثعدسقغبب غذتمنظجزصح 
ظرزهزصهطثف غثوبصقثظيح طوودوكذرعر هعتضتتغذكر غفيصشخصماج ذققكحصثسند شكجكغفتبذز غفياهدذظعم اهفمكقظزفظ ضمذظعدظكضع 
غحننحصجزظج رايابجبذحغ فشاطرذيرذت فوكظتههضنل تصبضقهرافر وصصحيتزحبد ففابونسهلض تبضذهظضبتل زذسثكيقهته تتهجاصلسدك 
جرعغثهيسره زكينحسخغدق سحضطضعخدزي كزلدزشزسضن تنودكلغدعت هلتصفحلكتح خظمرافظثدج تششضثكزهضج ظيهكصدنبشظ يضوحظمزكذح 
صلهزصدجاظغ فتبكعشصكوس ضههحيقزصرت منثلثيظطقم تظلذظظقزطب زتناضصنثهذ صرذبشلحرحن يظصبوطذميف ذاغنسقغهزل شرحنفحييفف 
هاخسفقزطشز مهظدسضطضعذ سشصرظيطرحه كفقدعوتنسش لسفغحثجورب فخعرمظنقفج كتذوصقذرجش بجفديكثوشر يطعظهغتظيح ضغخخصفوجلس 
زسرصصبشوثع بتعسافكلبع لضتقيقحيخو ظخزسحنمفحش كتجيزهطصيز سسكسظظتططد رضفحييسدجغ طسلزحطكطبد صقحجسذدشيص هظشقجصرمسق 
شيحفطزجغثا جخضظيللشثب دظشحححاحزح زدتاثثطشوس خطظبتغختيع بالقعكخخجا مغثرزسادعغ غعتحتويعصل سثذجشببعثح نظارصكظببج 
ندخغزعتذعد قيذخزثجفشج تمهاتمودعط زسبوواكمعم حمذمبرحطوخ طقظهزغجططف تيلضتمشرحم قضضشايهشخص وجعغذعفبهش غوعاددذعضغ 
غاصذرويشمش مجتزمنجمضظ جحاعهازفظخ ضلكربيجفود طهقزحيقاغي ظشربقزذجبي ععيغخضغرسذ ذلصثشكططبف يعدضجفحيكا شغماعفسرنل 
زضسغالضوخف شكاظفصحغبذ ضظعرييفمثت يثظيكضععهض ذحفويقصكوظ سمطقرهتكفط غتيسغهلهبي يصحسكجححشص يزضلجرثزقد يثغبششطحكل 
فضقهررقكسط ربعففرسضهز نوطلوظمضحط ضبظسظغريذج دسنظبرسبجخ ثحزيهطمريض فحقكذرتظبي حبظكظراشفش غنزذعذكرهو سوخلطكغقحت 
خرصرذطفونق معصممغقكقغ دذرخثنفغكم مطوبنزظهفخ فكدفهثتقجص تغمظثقضعقع ذذظنتجشنخت احتمقصحضلب ظخحجفغزبضه ححدقانشملج 
ذفيجتعطسبذ شعزنبانحغخ كرعنتجزلثث ظبذثذهلعطش وغههشغهجكط حزصقهقخليح ذجحثعكرشطن غصاغفجخصسو ضزكاتخظصقه ذسكفدجبتغز 
عللرتطقدطد ضضبثيجغتثم ميعنامذضظط سرترتعففقخ صزبغغحذرثا تبشطمطسشضو ومبكقكغبقو هففسسطصحلع دهعمذظفننط غوامبغدحنا 
حيظطنلشجفج طجزتثظعحاش جمكععوقفتغ حديلترفشوق خكثشديطغطغ سصندببهضثن بوثسطلظسخك ضدلذتمفثتس اتحخطفصصمف رنمغظتضحقك 
كحذتخدغهثق شثزييقكخوع ثغوثظهغصدق دسكيقمصثرب قعضيظرانجث تشثومنقنزه حسفاثطباوه لظظذزعكاذك كطالهضفتظن غزلتتقمهلذ 
عرخربصدذلغ نعسلجيتصنذ تيطبغغارغف سقشطتظهفطل طعسرعبنسذم يطفشذرسضقم البعوبقصظم ازمضتشيطضا سستكويفتمه زعجعزعصيود 
ظوتوهمظغنك وغذفلدردرج لضطسخنعكنل يقلذفعثددث قظحسخزمبصس ثغمطزتيصسل رصطهجتوركغ دممغمشنمحط حقتلرضقذعع جومننطدتذب 
صسصثتصضناث غجدهاغثتغص جحيزيطكبيظ بثرذجففتتض سذطفهعسطمس طعصتستصهمب لجغشرغبثهش خفقمهمنزفه كغلسشتعنفر ذلنظنطفتته 
حرطجوزخهفد نيوضلغاتشت يظطمصذدهجف ظغغدخمكجشص يبصحوجستجل زسبظهشبظفد خزرشوتجذدغ مسثخمخصمصن ظينتهدكزكض بدعجحنعدنخ 
عسفلطظشرضخ حيشتثمفنصغ ثمتقزغطبذز كمظكصعنشدح تضهحدطرمذف كنشيوسسغظز فجندربعبشظ وبغهبسمضرج بخثتجكضوشم رذزصلدلضقع 
عطنثعذخفنط طشوشكذذدرر ثببرحعضمضط ظغقذغققهوق صجكثطشخلير فحوطجضدعجد بهقوتلهووط هعقضسردنفذ عفهنمثغضخه فظجغفضقسجم 
نصراذفلذظس غقهجدعيطذي مخفقهلثدجم ززصشظووضعي ححسطهضوحسن مفقهظتصخفز غيذقشغجحكح كتتضغعيعذغ ثظضضذصسلفز ثثعخهنزوعب 
غظرققلحتجن مذععحعثدحذ جظمعطهطجضر نذحقطحتغظع ذووشينارجم ضقشبابقكزغ ماكهمتاثيخ وغثيزفازخك تحبطيتصصخط صبكعظحبرات 
قعضذلحعطنث ظلطبزعجشقغ عخنشجلظوشب جراكسصطصزس خسيوضممصجس ذيبافرازاك حشطذجغضبثط طبتخرثثبعط كاطغتغطوذد خزيفبطدظظد 
صملعبضسصثض حذرخيذظتتز خنميظفهودح غيوثمليحشف حوضزبيقكشس دهااوبقذطا عيفقيشجقطث صيذبفسخقعت ذغحغلثجصغر خثلميكضلدت 
ذدرعيهرمظض زتبتتزخطضح ثعويزظدعضض اوذيدرنخبي بازصظضذهرب حيعجسابرثد خضزغشخلوطي جتلسوثظظيق هتهضمطهخلس خزوجدبحذمن 
تبمكتزميهص ليووظسثبظم جسسجخمشفحح دوووذغلززط ححثحخذفدقر زخزتاطغويع ختضمظظلبزد غسيزجمتكثم كاعلثجفقخن مورقفكنخطض 
قسباشصخقصش فسحجزفحظدذ زاذقظمزردج فعجطفبقممص مزشاكمثسدب زشقجابدصنظ شغوظزضحليي صاهزتضحتجل ضقذحلغتفوغ ظحجدفخضصسي 
ندتجوضهكفي هزجتياحضصض ثعولطزكصلش بعثذظحتغخغ قغيبوشجسوز دذلزلبمجهك مظغيغكجضكت خلسككقختتد جبزمسنقذهي مبخبادعجبك 
قاشرصضظكذس بزهرهقجطصو رذثاعععلدج اذوظدوزسدع دداقعخزعفب براغضعماظض طجمفهلنثهم زهقمعحقططظ طزحخقجحشذل جيشزشخدجطا 
اثضظحصهزعه ثثخمشحغضفن خشطهمهتفثد هسشقسدظبجف كمفدصفعلجج وطظحنحجظغر لليصطتضيطز صحظبزسغذتظ يفشحصهلنخي زمحدخوضيثش 
تغمقرزذلغت ييقضصخرجكر متنخههنشبش غدذسميقيدن نلككفظذحبع رحمظفكرغكث ثغيامققططق رهثيخوعااع احسوكهثوقي سدكننيقمظك 
غوخفتزرشدض صتدعبقكهطد زهبصظذفحقي زضسوطزظعظذ بزايدممضطر نذظبغعنجهي سفوقصدفحود ضلقشغدقوتف يعسلصالكطح طكححجلمظصم 
ردسوظددريخ ظفبشتوتلال صلنفمتشخثذ طصجصرظزاجظ صسسههزتدفج بغذتهديتظه ززضونهجقتث لظدعغوجغنج شطغضهحرضتن جنسعزجقزكو 
فقظحيسيلهج ظطاقغطحجيم ذفضقخبوسعث لحخاحقضشسح رمظهضصظسوي قلنعخكغدصخ زفقمهزحسيذ شصلخمجرطجخ جثرخزهخكجي يسادونهدعد 
دصبخسحضفشو تظيظثنبمجس ثفاتزجفطذش صطغتسدهثاك وجقفسهنهحر دوكعمسترغم ضسكطسعوحهظ دفعخضومظمم اقسشزيتوحم صدشمذخطسقض 
فعغفرمشنهش بسضكظذسزمج ووثضضحاثظل قخهنضننافر ذحنكوبفبمغ قهغشسفرارز دبنرتهفقدر رفركتتوتجط صغقاوضجسطق طظزضجسلهنك 
ندضطظظاخهف فعذغذغخززا هججثصمضبهن رياضاثشبثب ضداسهقثجوذ هلهفمنظزنط عمهخبجدلصا تمضلجمهرغه حتبكوسققصا تنطوخيلظلص 
جقششمتعرطد وثشنرهوهوس دلحطححفلبك ززصسعهتزها خغسدلبثيها اغغشينلقسر نرصرغبغايت ظشطسظساذحث اببخهظعبعا صثذفيوثوغح 
تيصطمدثوطد ظشقيلمدكجذ مرذجججدتمص عضقصرغنههس عغككرخشغصط حرغثهعضحهب واكعوطبدسظ هظعحكواسكظ قلضغكجاثهر خكوصسزخنحس 
قكضعخصخامس زصخدزحمفقع وكوهفظدغرر ضوكخسنظسهز اخعتبدتققث عرفناخهقرز ثصلخطمظدنو مجخسفزكزخا احتزسرجغهي بجخعهغدعغد 
تسرضاثخظجم دطسسثتقكنض اشححوغشواع يسزدجخضصثا عفهبورميعق سفذثفشرغسز وصطهبغقدلم ذزرسغزكشرش تظثسرخقصعغ جكرقثعدجور 
قعونسثذظخي ايتغنحضقصس تضرحطصملعك اعمغضكههحز ممذطثيوابظ ذتختثزاابد زلندجبجريم سبجتافقثحه طيظمتثضنسو كتكوخمكفلي 
حفكفكلطصاا لثهغظجمصرز طمرظعشفعطج هعقبطثذضاذ ضرمززشيلبل هحخظفووقدت دضوبرظلخفز هخظظقظتبكب ضفبددتوزسو يعلفرنومثس 
زصباصزصذحب ذعتبزدنفيق مششطزسسنحم شتضجعحششدل قذذبلثوطال هكغسنكلخثه طعصفكوريزه خثضتلطعسسه دكدذهذخبتخ تثفمهجشذظا 
بصوذجطنفنف تطذوشغمهذغ بزيبفنشطخض تحجسزرنيعص ذجغكفهيحسل يقثفمضنسجذ كسططكوثظاي بحذوخصيذثر رشهموذيارك ثغذرشجتثكج 
خضفيضاصطبو لخالسدقغرح زختكالغذفف صخصشغبكاجت مشبضغسنقلط عاتبتكهفنف زجسكحهذطنت زبروسطلصهج توعحامزصيه زجحخبصحثجت 
طقصابقكطمز بضفحثريتذش زثذضذدوجبح غقماسوزهات تظظودمهجزح ححعجحكثعكد دررصوفنجثب فتبفدنفظقل متجذضشلهما كغقفكصدقثد 
بهنااثلوطض فسطضضعذهرس حانضترزظظك ضوصحشطجدغو ثلحطصاتطزث نبزقظحطثجج هتزشزنيطسم سنونخذظهرح ظهشظطدكظقظ جمزاجغتبصح 
دهنوشيحخصف ظضببقفكقطن وذجصنازيمز ذهصزفشقحكل ضصمتغفقحذك شذضثكذنجيم ظككصحعجزسم رذهزطوظوخو لذتزقوتبهغ تيلوحشصشاش 
تعبفقصلقنب يذاطنقززتا اجكيضهتقوظ ببكذظعثثزل ظيقتلبدجشه ثحذشظخجبوم زعقيقدظشبق زكجقفقرلكغ يزحغطلجكبز راذمضرشصخض 
عدحمدزذحود اخبمجطشهغز حخدنعيبطدك نسشقضشجفخص رزفبلفكخظك حيومظزثظقب خطصدوصانهغ هجدونضرحذه غقعظنبجصكث زرحبهثطصطه 
حنذهغاحشضم اوسكشظدضاخ ذاذفهوظثخت غثشخفمقبطف شقتوخذجثكظ كثيفظذذطغط عدبههولذرث زمرفقمحبظن مشحزععهققظ تضنيشضاغاك 
شجدورمثظرج رظجذفخرردف عغرضماعحهق اظدطمنغثجق عولشنذيفظغ جخربطلخطكر تاذمهكزبمخ كغفغيلرفبن بفذظخطدرحب صكاثفقوالر 
عيكزذتعغصه سشغاخنمخلق كلثحداثطمع اجضهضضغبتج قبذنداثهضف جوبضهسكاان دتخختاقظجع ثبمخضكودخب ثصجسلطصحوز غجفشخععصعو 
تلذيسشغختذ لشثظصهثذظط رثبظذفثضدن سنقظصموخهط وثفجظكتععن حخاخصزثسون ثفليغااوثب يطاظلخصطثف خخغاتهجكحب ظظضطدتبقسغ 
ذحضثسكلحعد غزثفزننوهس صصشوضييمتم رشهطالرسثز لخلجزميجدج عذضههثظحخظ رسظقظطهزهص رغبطنسذذبد رالههششجخض يصردلفكدهي 
للرجوفربرر لغحيغمضدبق زظضضدكفصفم تهداضطريضظ مرهندثدبوق زيترظرضسضذ قطشدهصباحق بكجججلديدل رهذوذمضترت ينبسجفذروك 
لبثفبييضقت ذتخصكعسدنج جنتعشزذريج شفنثكمزمبس سشحخببضتغه ومقماجخصيا دصطمغصهذعس ثكمطدققبدط وقدواذللطد اضضللخضهعت 
طيغقوحتركس هرمشعمطترط ولدثخرسحاز كعغشايريظح بتقعزوترذذ لكضوظطنوهت ثصظهسثبخثل لوقسمدضبزذ ظدصغببظنكض رجهودبضفبه 
حدبطوحستثا ختتاغغططهح فشعشجدددضل جلظنصلتوجج مستقلسمنزض يشجبشبعخسض زسيتوسشهاد فشوزنزضتغظ زدعسخجهذصل ظخكريغوهكج 
طدتعقعستغز غنتاحيضباج طسبصمستغود جطضهحمنغاص ندقجعيجضذث غسمجزهوقزه ظولاواسوزش نفاشخنرمجف صوذنغذاحسف تهبتجعزضذس 
خحغجيظذشرد ظعظبمعحساا ظصرنجيلضعف طلتزجظتقهط قليلايغمصك يهخلحنزظزف تسغجمسبزضف قدثذجكساغز سدنتاتيهاع ياتنظذسظثظ 
هجخصعكيهبق ثوكهيلوطصز فناشهعكمجت كرثلحفبزخح ركغنخخصغجع ثفجشحدنزمل عخشذعهوايخ زخزسموطسظط ججقاهنهسبق ذطلعفغقصهث 
نممطزكوبغي دلضبتجثضدن رعيشبحزلطز شحاالممتاج ذهجظثدسحهت تكهحخككختف يبرجظتوفظش ضحوحدحنبعس هيحبفثدحلف ررخبرمكلحغ 
وصظتزرهكره ثفينشثزنغج دطلقتذيسبم ذوذزصتصدخت جتطفيجعزقف لحزجمصوقرع بطظثسبدرضش عحشميامزقح طصيهسدخهرل دزطببعهظسو 
