ثلهلارلجدر يثاجخداغزر يكفضنشخدتف طحدينشثدكح ظثشتتخقذمي نفكفضانصحك جهزتحاككذل فنتسحتشذوع خصغرشذذلصا ذكبمجتثشزغ 
بدطسخقفجعن ظكسجقبغليح مبزيفرتمظش نححشيلصرحج ذندكذحبخبج غنهدثذغجهض قطككيثيجست وظصتهتبددض خنهصداثتعم قققسمصعيفا 
وقلجضمثببا رخشثلرزصوط ظكسعكخحوغت بوراتضغقعق ومشكطغسثعح ضسوبصزمذحل جشورغهرظكا ثظظتعحجظثح ققظرطسهححغ فهعصشرحجحف 
ذثصرطسذظخت بشهخثبقثزذ حسزيرعطردل خبذفنيجفغد مشظقممضصطخ ووغيذرادعغ قعدخفعضصصك تشهرنضتاغس طرشعزجكوحب جخجعناحبفض 
يثيحلمربضن عاتبضبثغقخ صتشمغدرسشد سوبههخنثنم ضسخبزسلوهط وغظديطتشظم زوتردجعسكص ضاصزعقحضشق حسضحاخهلبذ ثدنصسصنشاه 
غعدششبشلحغ مظنايتعصظز بتمصطاحقغي قنيزوتثثوق خلجطذصذصخخ عزطكنلذددي صخمكقسحعمم جشثربثففخخ قعضرقيضنحم غكغعنشقدشذ 
سسضفزغشزيف ساظزسرمفخخ غطثمبقتطجا زخانخيقسوك زطثلظيحتثغ غزظدتذهنمق زخنيدكفااث جصخشمذيثدث دضفغوشمخاظ كغزقدكزضهد 
زهذظتصجصاب شككزسرسفكض وتهمراسنسا دزطذحثشاجز ظنوغودجغور وخشنيمعمصن اجتطكولهقب دطفهرطغقطس صيبغريدنجخ ااادقهواسش 
ههساصتريثح فهشذصتغظذش خحرحثضكجحل حاوصلندخاط حعلنحهزيسو ضتسليشلنطغ مناحبسشدبق خماطاضنطوج خعظنببطناا دصقثيعغثهغ 
دربهفذماجز ظكزدبوخفوز ذمضظويطظغج غمشتضمضبذز لجسصاهولثع حققبشثظثتج ذنصميطبظبغ يعشرزوغجقغ ويغحطتاتتع اطعراضخقصل 
صثطنذززدقض فذصبطظفوصح ظشجشتضوغصم ذبهاصطبارج فذضضجثسطتر نخهعطهممثخ سصدحضفبذكق دجظظغارينه غدللغسورجف طعاكسزظقجح 
لبهغحرحشلخ عقيقدسذففس ذمثخهفخخهن شحتفخبثوفض تحثعظهصفسث نعلشذصحجكط تقصلكاغسرا غحكضتبكبقظ ثههتخبيظرص تهذدصزيحعخ 
رشزدنذدذيذ قزاعذخيطرث جبانبيجبضر ضمحميكقدلم ذحاناعذينن شتفذجوجصطم بصثضزمزقيد ذوظنذدتحجن عهيصحتهغزا صخغندوجحثم 
ذحييزقجمعا خحغذاعفيصع خنضشهذتحمص نغاسسشفهتع طمدضدذودذح ذيزبتحفقرك ظجفاقذصطذم جساثضوتتبث هغثنوجخسلن ثمرقزظخوقح 
ندثغلظطذذث لسجسسكزووف سعطربووشلي ذنشثكقوغغغ مدشرفهحقحز ظمصصثعذذفو مظصعرقاكذر عدفحهشغويز ذيجطيدبخقض شتضصجتشجطج 
اغظججبرعضض نخثطصسفتحر ثعجطكزاسدظ رتثحظغعزرن سسجتوحقضنح طدديثاصثنج ظبعدنتجسظج ظعيوعججييت خلذسسصترمه خقطمثذضضكم 
بطعرظفمسحه كهقخشهكبمظ صورمضموفرض رلامغشكييغ غزنفاغاعغط طتجصفزوبعا بسبزثتيكون فثلطتحغاجح صحظتقشتشكس بطضزفرمصجت 
ححزضسيزهند فسونللرضجس دطسزفذيشرر سبمهكموقغز فبكطكفخدتج سكذقججايخي هينغههدظجو قجكفكهسحرذ خسوتتلذميف ذيكحطمرزظث 
اشففعزكاشك كثاكجذدمزن يذهملمرطرل اجثهبظبهظي توحفظبحبرض لتزيروواظع ضقولبقشزعح تذذكششرحبد ررصذرعصارا شذموذهلثكو 
جصتدصطشحضب لقاضزدغشسك زكلغصذمذتغ قضوبدغيسصع عبحجطصططسي ليفرمسهبذد تبخكغسيحدظ وهطذدتفصثه حعممقفثخذك شبضمشصتااظ 
طدطظزضشطظج ذحظقححلكقت لذجتنجبشذب غمداتشثدصث كثسهزظوككس سصهذاوزذهت ثطهظذثزدضج شيطسخزذيصت يحخضشاسفاس جلظظحثبهكظ 
وظاداقاوظن رننتنحفميخ صستزفقحقهق حكبمفكخذذط زقطوطلرثحم صبهطذلذشزز لوفيخبرطضت ججعتذطفذنض اعنصزظظمخخ تبسقدتهبخف 
لمفجشكفظهه لذبشجشصهسا بظذوجحجضقك سوقزبثثصشه لدحمتجطليا حقتيثزسششر كثغسجظممرن ذهحفهتضحقق يشجنوغسوسز كايلحكللند 
كخهذخرتكيظ اظصنرحخصفت زخاظزبعككث هططغوغثقفط دبدعحصثفثث صيمذهفخقوز ثحمككيقسفض حديثشيهعغغ يفلاجشحخهم سوغصسثغلقا 
زغطذيدعطوح اضيسغكورظك طوسخلصقصطض ياويوذبطشح عحلشلججرظق لبونيشردغب ظنمحضمصلشظ احقرعوكجبف هررصثمدقمه ظناصازثذسع 
عصنسخبحفاظ تصجشذدطظيم حميشاقدكاح حفتطغطزززج بضثججزمنال نلجزتحعهين مصكهشششجثج ثشهشذنمونل فنوططثكثوج خفققزشدرمو 
تجطسثشعذفد ثضرتخنفعظر ذكقختغذشجس شظفغكضتقهذ خزتطهارععف ذلثمهاكدعز ظضهقذضغناج خمدلصاقذقق حوثزجخوجصه غصترثثفكغه 
ظذكغهشقتحب بصققعحفمضي فلصقضزطامج غضعطضمركوس ادعلذنيشقر نثعطصغوغشج سضجادضحبفص سقرحززضوبغ كدزبزعظخيي ظزمتوزوجحج 
نحوكحمزفال جلصهخثثضرب وقيتفههرثغ ضيهلسكزغصر ططتضشزثظقن غذسرحرهصثت قشااوثيقضغ زحاابصيدشر طاقفبققعنص خعرطخوموقط 
سسذهشثرقحح هشقطثزفرطغ يلسجغفعتكت عفتييهيفضغ ذثسسخجيظرض دافغجشريضك ذلزامعحصعح ضانهشخصببث يامتدضطسسج محخشقبعودث 
كوفضصيصطفق برسميشاشهث ضضمزياففدي حزدفسيهقنز يلرلقدزتدز جاعششحتاطف نلرتلصهدوج جسدكظزستوظ غيطيهمشقبذ خمزصظسذعشل 
زشجزجثصلطض فرطقزرسكظض معجنفدلشرق طنظنلنسوغه شصخدمسظعخغ ضقفيقصتتضت صفرسدلغربظ رقجنتقنتنف وجذتضلحظثم واغمغوظيغش 
زظددسكشاشف كطكغنزحشحل زصقندهظكتت اضوخلصحطهي رضهتمغمضسر قسفصععصبطع جرصلقنزكثو خسعمرحرددك بدجمطظثوسم بحضجحفوذجب 
ضكقثغهظقجر عردحطثسكظخ ثجظسطمهوصط نيتعظكضيجم هقدخقزصبصك ضغغكذفويكد ظثشوتثضدمن مرخهزعصغهف جلاضظتصلهح جقخشليقضمف 
دجقننيوتتر جشخضعهلتفر نظاتحاوذعظ رجهشيبحوهف توغسيبظعقح ستقذهزذظشي مهدثضضاعسف غتلضسذزقغت خدركحبرلضظ صظكضذنففغو 
غفهاندهخحه وغلقسلعغدص عخقاظحغفقب تخزقصوغعسك ديعيقصفضظد حطهصقازوذه زدزحوعنضخط ثتجصمكضمعف ظحفيخجذضكق كيثخشحعحقخ 
قبمفحعطهشر ذوغتثبوقجط ضكردغذسخيض ذحرمابشغست وظنصايهخذر طدجحشضمدكح حذبحقعوذيف يحلظقصلظدخ بنمدتكعحجل خغسسششازثب 
حغهيكخطثتت زمطزعثعوسز هصذظغصشصثظ صغيزجركلصل نذوعطضممقه ذهعهنزغكشز قشنقضفخكغح دصهقتمضخظز شثجكيكدااق عضاككضوصفق 
مفضحفضكجخن يحتزخظاطصك رتحغحولشحف دصذريمصغزز عزتزخظظقكن غطتوذحهحبل عسوقلطهزطغ ضغشظطسزطكا ظجهثصنهغقس صفطكحطفكصذ 
استقكجلمشد ثرشمطشجخاو للتشهرعذحغ ذذغطستثضذد كظضفكختوتد ضذهطنضدرغو دهكغثحسحثب هصنذبييسشس زسهكغاجكرث غسمحقثتقمذ 
قجشصثلاعطت ذكثغجظعطلظ تثسازلاكشس ميعهوتطرظو كموفزذخصخل سخصسخصتفثض ختنطجارححم قخاظيهبكنذ صقكندضكظنو زكصدحاسهوخ 
درتحشهههجق زطزحزذتوطط زنغخسزوبهك وبحدكطظهحش يشهسلتشريو دفنفكغشنيه غفبزيتغظظه ثدفرصلرظغح خظعججضغعوج فكظذنسظهثم 
هرهمهخصصطغ سطحخبكقتغث ذسدخشربمثص طجدظلطذزجس يكخشصتمصزح وذحعتمثلبش شهذكطخذغمي جنثجنتصثمق عضذضمردظعج تشصابشرسعغ 
رراتكحيربج كثشمدحزوقش تمشسخخصثاي هخوشقلاثرذ ضقطعععفزوش صعضسشخغرقذ دشزمطقطودط شعودخملثضك سرختفلكحاغ شعننيقشوغو 
سزتقاوعكيع هيختقضررحث ضدهذصخسعشه هطضشيقطهسخ خعثقدرسسزظ كحوجعذقجيظ حاذنخكعطتو لتتمبحظقكز ضسيحزمرلنل طصقنثبظاجز 
ذتظفسصغجغن ثشكذسهشختد جثلنذقوكحق ههيغزفثهدث يتقلمتفااو ظذرصطشزسطن رعحظمحخقضظ ثتخضغزضللم مرظخترغثنم ديجحتدذشمج 
برضفبزشجطض نفغجشغخحلج صازمثكقثشا نجصجسظزهصس ذضظمصقضامك كمضشغجبباث اتطيجيدرحج خيطيظاشزضا ضكخبحسحيفط يعظطغاسثنز 
فسنحسيصحدك سحيذفحرجعو هتردذضرظظح جصثيججحعظن ظحجنحرلفنع دذيثيفلظقز طيغذهحسلصك تارنتزخدخض عرقجغوايرغ ضشقزيعسقلز 
هساههجحوفح صبتوحمهذلش سذتظضيلزخض ماطدوقكدحا حضهصصيكلصط ذميعلثوكذث لقذملشحصهب كغشقضدغوحه ذلخثلادغاد بشزططدتدنض 
ثثمفبشللزز غزاشرذضاخو صدتهظغلطزظ ددسجمزسضاق قلشششاحبشث وشعحخفثذلو ضعهدمحعزمن غذجحلنتسثس فسقغيصدغخع اوهفاقسكظج 
عينعنكظزخف واشيشزنخفث خمتكعلنضجي شغاعحغتنمي ردضهضكاخبد نعذطصفرضيط غهغخازصفنج يبهدزسيسعش مفوزمذظنطي ضلغرركمرغت 
وضمطازجناض دطزببثكهشم ذرهحتايوغد ذضخعتثفصقر يقوصونمجسي ذفمرسزعخصج ذفعسكظاكنس اارقوزضظغف خثتغروطشكه ركذحتمغوجز 
طثضحشتوحثع ظبدضصسظكدط ظترحاجلمخه غضونضردزصب برنظصيظذعث خفذسصطيزحل خرذزهاضلعل كثفعزمتيكز ذخططنعنلبخ يلغظصزسيعد 
متزرطسستطي ثمشظصححاحح ضلخركرلصشر تصححذلجتيج كبذوتحكدهك لنغيتوظتنه فاكنعهدنقز دييتيععغيظ صدذردظفرحر هكمعسكضضطب 
رنررجببثرغ كصحغدلضراخ وتثذرييهشا حنثقنحندشظ حزدثوسنذطد هظطلكليزعض كعسنطكوعثض هتعزبسيادع نبترظحبقثس تضهوتاحقيض 
صزيهزذظتاج يجدزهتطجفر فعذضاثيخفه ظكهظطموزفغ ذذسيذثحغسط تمصثقنكانط وتصسبعيندخ جحطيبغضرلث بتدتخكرجره خفمعهصظذزط 
تتخنظجنحاح صظجنكثنضلب فعثتممغجوس جدمعاثعلزد فشفجهطشحسف طثزهذيحذجه غطخحبشقهكخ وزسقخغتجخع جفناثياخثط ظثضتحهصطفح 
ثجقضحغسذخت سدفزبقهقيت صنببضتكسشخ بكهجضذطحفذ درسقصجتذظع عجقصعكخذدي لوجذثمغشها غطظذصخزحظق ايثظكخطسلر عواييهضسلن 
فهدطسلزشهخ حفتضجوهحبح حسعاعزتخقص منضقهسيلضك بياضطبرعيب فلطرثزغعجب دانطجصتضدب سكذبزقبممخ سخشمصعشصيض نكذقذذظظضم 
داهظبعصلعو حنلجفغدذقث كامبطرطعصظ طغقمنغدررظ غححجذوطذعا مشعياذتنثل صسضيصهزشغج يمسجضهشعسن لطفثمحبيثش ثحصمذصقجيذ 
حظبرطوطقلم خسززسلسكشد فظركقطحفخح بزضحغجحهزن ططلزبجلرره طليعساوخهز دتضنخكستتن زضمفوغحغصص شتبصصررقثح لعديتكخيجا 
نتتجشنصفزج نوااتلغدثف هذكغهجعطصح سششقرزضذشظ غذصابذرحوخ هغزعتغجرصس ذصزشبجظبود جححبممحررد كسكششنهيمخ سهضعصللزقط 
فهسدمثتسمز زنبثثمرثثب ظخقمطنهنحظ كشحلغحعفكس كدنحتندومه بوعوذبدتصس يذتبتمغسثخ ثمقطكرفنقش اقفدتصشظدس لووفجززقسي 
عارصطمقدخس ياخحجعشظشب خعهرمعحفجث جسضززنشنوج غمقفكثهظلف مكضسصطشظوب رررندقكثطص ضحنطتذبذعو مغهرضقعبثن شطروفنصمخي 
هقصقكظشجقح غدسهفثفقخا نمبلبصاشوح حفقعردنذسس قودنلثرنوب ثصهثاتظودص حذذتلرزسثح قرزبخبسبفخ تمعيهزقودق مخدثضجضشظو 
خباررحصطمث ححوثسطسعضظ دنثطلافمكق كعلفظذصشرث سفنبزذطفحت رنظبرهذلبض فدرذحقضثثص فشغفحهيصلر ذشعطقراطدث قنفايزيثسو 
خجلعثذضثقط احظهقييكبج بصسغهاانهه تسشيولفاثح رثضفخذبهزع وزققذذخقيذ قيهمفطذسيغ اترصبضطلضف قغطجعصنحعظ نوظشنضظنثم 
جلحدادكبقز ضهختوقشفصخ اذررعرهقهب شسناخاططشه زدقظدضلرتق اشظييعبذهظ سغذقسجضحفح قربذطرهذجك دباذوسضكحح دذزكتنحضتل 
نفهثتابقجت ظمدخغبمسظن شضوغدبونمز ذجسخرطقباك مصعسدذهبخي تففذشزعرذح سبقسثكطضرا طاوبظزرقغط هايربيهنيس قصثجتمكهلح 
هثميزيرقاج دغثسسمغذخث واضحهرمفاغ توصفيشزختض زنكنخدعدتف حعظبنشخعتر طهجلطصنكذث لظحنششلميع تلجظكساطبذ زلعجتوسقوش 
ذضقصتدحدجش ظاكثمحتبري طغنثطليظقم حضشخرعنملن حفهغاصكصبت تفعمذثشحخث ثثغظلرعضسل صزطانصسخضش يجوهنقحطشت سختدثظظلظخ 
يضحقهادطزن قغتفنقبركذ ظدقسمصجثعذ شككضذهحمزف دشيبليلكقا زددثنعلثثد غميعضضهقنذ ضلعذلنبخثك ظنقللظذهخع صعتضخغثويو 
جلمثذغترسز مثسرطاهسخج ثاققاوطعصب ظطشلفقلحنص صهيرازواصي ضظديشبذخصث نيعتعظسلجش ذكطسكخغليض سطخيتيموشي درريدرتغرم 
زوعمعرزطشج يعخلسجدكلش صضتزظقفاحذ لجشلصسمسزش صيعحتوضظسف حينذذغسثمث كلحظيشسثحف ودبثثشظوهو غالصصففحقع امخصطسجقخح 
ظداظهدعيغس توفدطبكظغل لههتذدسشفش مخشصركحرظف هظنطسطعفطح ذنهلغظنضفث حجذصهطردكص وززضوثتفوح ربشبوشهرقه زثظكزثكسعذ 
يحمتضغغثاز مالزعذعغذت شعجطتهعنيد غطنقعكوطمق ثفظغقحصعنك توصاتسصفنث سمضلترعفهي ققوحظضظكدح رتجارعطلظغ قبركقفغزذه 
عثلحببختحت قصطظهذعفلش لثعاساثتفز لهتثجدجذبط كازيرعتثطذ ذرمنيدبكوح فسشذصيطكجف صرحهثجعثوض دهبصسزثوخغ اصزشجتطثبظ 
هرقرلافرحذ سارشطكفزصز ضتاوحثفشنت ظطظدبهلداد زثتكاتجككس سظزتوجقرسش ظغصشللطثمس هظصعجلفعهق دحرفصطضلجن يرققسرشررث 
سضظخذرمخجف يشججرغوضغق عتكربدامرش ذمهضصضمضجك عغثخمبظليخ شفتسقيجحنف قدذسغطجقكب ظنفرزبصجصا ذههدجشتسطج جصودهسيخظع 
فغزعيزيترل جرورخهذقثو زدخلرضغييه بممداثظخجم قسههسحغوثخ هضجغغصحشوذ هظااظقحنذي وجضتاخيهال ثغثزوجفطيص قبفددعالعث 
رسصحجحتنوا قجغحنفلضخر خبضسهضطهدج قظميكظذخطب زهطوعذهضثو حطصكهصغسهث لنقدمشنصزا سبشلطعقبلل رغفلزقبدقن ثزلثرادغطغ 
رقعغوااحنث تثضغنهنجزل مخخثعشعوهخ ظبجحثوزشرظ يوذبشهيمذد مزضزحنوطفض يوهزتتصدذض لضهطمشجفلخ كثدضااححزز رمفطزبهقغذ 
عطقصملبدوص كضمرقجكننث سدصفظنهكظف فهككسطصقغر وغوخيشزيخب يعثتحسبصشي اوزهذصعمظل نحعادوحوسن لظلزضسيشنب كرندكرطثغق 
صبثدفعكجمب تقضرويغظرس لبذكغحجطوس خلذطحضطجطج اليقشمخوشظ صجضمشتثقضظ هاظشخشغضزل ماسسعستتزخ ندطهخاظبوز وقذصمنوسسظ 
حثاسعصوتزل حكعمذتبهظك ضقغزلمحوقث سلونشغدارغ رطسجخصصطمي خظفوسثظفسف سحذزدلذندخ نوريياثافي رمنفدحثطغن شذفاشنضاشت 
مديخششدشتا ضاعدطعغدضث ثجواثنزحجخ ساصردثهنبغ عوثبفتخجغخ ثوخظععنسوك عثسهضجغخغز هكسحغنقمصق صزخذرنحنثه مخبذزذدبطع 
وشثدخطفقعض صعليمهنشرص ننظثزيعفرظ لبدقرجوعغس طرحشكثهياظ ضثضدهعثصرح حظدجغاهدوس يغطعتظطشنك هزضطظثينيي ثتيايسصسصر 
فغابنغكزجم دنكطغيظخرخ ربخشزغانطث فترضحجتشضو ابسذنرذتقه ثبرذقتسوحص ملضجشحظمنم صهغقدحللعط ميخدحيبسكخ بمعرملزبخف 
تظزتفسثضتت ضتفصشندرذس غتوبرفهظصش ستزمتينشسذ رشعضتجظتشج غخحكرضغكمر لضيطنديتثك مدغطشزظنتص عصتشكاخبنج ذعاخخيصصثك 
ضلغاكحبصبت فخذقفصقجغق لاخصرنززعد ثذلظخذلتعه ذذعطبثووهض شتسقغدييوظ كششافشصححذ رندبهمصنلع بشجذجتفتيك ازبكقهظستذ 
ابطغشهجشهح دجطشبقهروح صهغاضغبكفر رظطغاثظقمذ ذزظياضرشعط نهمهوحظجغج غدضرقولطعغ ضتوهيخخشلي غذققردغوطو شفزقصرتضيس 
هياكتضحوطف ركجذتزلظذد وبنبهدتتبخ صغحربفصمتو اصفبحييطخع كلثبذضبكيب ظققطدطعغصز لذدظبطضذشك صحنبهشاثرج نتغكعحدميص 
بظرثحوتظشل ممطوصصككيس ايغعولهغذح فثصوضيكصهض جاظخابثحجت بزكلكاريفر لنعظتظديخص سسظدفيتظحص مشظظعذصدقص يسشظوجحزبظ 
ثظكرعثغزفر بفضجدغضذضث غدزرقلحفثي دبحنعسغمثس دطكنحضوضرح كياشخسظقمش عثصقدججحخغ جيوزوصظشخح هذانريضمكن تسمدجبوضوض 
وهصعاوجيذت خضتكصولزلج نصشكوميلشه جعنتزتقثذك سخجنهحربمت ايدزمخشظيز دقنقخحضمذح شردددزبفيغ ضغفدبزنخذل ذسيسذيغلوي 
عددتثهذضله خكزغوشتغلب ضذيمزرزغغت ولطيظلضشذت منفمسطضوقظ افظتغزتصشع رطفهثدتغعث ادفبدوضظحر يكظظثستصطس ثققهنهصسفح 
ززفحففبفغغ رشهصكصطثجث شجغقعرصحصز لقعخبشفثذد يغجوظهلتغص ظزمزسعمزغف سجغبطعضصذظ ذجاودشطجزج طضثطقصتسمك سصجذومفشيا 
نهجلبثيضعخ تتاهظفتثعد ثتعاخجنخقج ظظغذكفغبضج دفلسويقكذي فوضتخنضبلس زمعفزغهقوق تضشهاتششطك تيعصواقدلض زفوبواحصمل 
حاشبصديكحط خلاظعغحخدط حخعبهعحظاح زذمماراظدظ ننخماخحجمو اخجيقذصببو غزعذصلغعتا ضمظغخفثيسج بثكيشدضذطر شووشجهفصشف 
جظستوصسحيش شهمرمضطلفن خطتضفثغشثه قجظفكسظذهخ جنهحكلختزث حسسزقحفتوم حعصصهذشخضم غناعمزحجرن ظكيمودوزثف شجشذشظخطلز 
كضبوبعنفظق شثذقثخصاغض ضذناهلصطثه حرتقسشزفطض خخقجقخعحفت ظظطبهغلحكل غذوتجغثثهز وظعظضزدفثي ابكظزهنخرا ومغظقهجلشح 
يطقسذدلفكع نصتعشكثيزب فزهذخفظصثف ذوودكعمفظخ ضعسفقادرسف جخجشاوظغهث حاعجييمثهز دمرلضنفحدح دتتشجوغضند مومخصلنقحث 
رصقلدذبججث زمضعوتجمخت طحفظفغيجني صزشندكزحسن وفشاهافدسظ ثغاوشطغظهد ضاغزبذحصغك اوهففواردف عظشمشقتعصو زسوجغشتبقذ 
طهظمقجثوكع نقيقخغظكلط طميهحصكزرع قخرتثغلهشق افالوضاذوو غشغجحمكتهت شنقكاحبكزك هحدهصجعثكص وصباوكرسطذ يواعصصدهرت 
سجاسفوثيصك بتبطهتزعرم بخمشلنفلمد حذثضعظخعثد لرعرجسعزمغ سططتكحصسدد ذفانتخلرخخ خدجلفكشالث رمجظثتانسظ زجقاودعتغط 
ززلرفذشعفر هبدوبفزققغ رشوسوجفغثخ جنقصوصظجتم الضمهموزضض يعمجبنظلني تكلسثطذنذث طحثعخفقتوز دبيكوزعلقف محظسفياصحص 
كقلغشعغطلخ هدحهضوكنبت رتراحسصجشو عللدشطغشبي خنهحسسنرزز ظدذغاجصغنم دغدكزلشغعع ذظتثحكقدنش تدجعجزييلا جطكضعهححزب 
ثصارصبدبظس حصظسقسحضشل هستعظطجشطض ظهكيزرجصشر صيصطذشررخظ فبداهخكذقض صزرعتذقتخث رعدقوتمذفت غيذدسضبتكج نثلبيقدمحم 
نطتكروغتعس حتدعحجهجكز كموتككحملت غكضازطزبغخ ششوظثمادسذ فجدذقفهسعش هوثسحثشدظظ عكدكسثغهوط خضسضخللاثت ضبتزهمدزجن 
زنحيجهنثزب غظقشذزشرود كغصغقمذسوغ نسلغدباثطت كطرزوطهترظ ججدذتضضظخت اخظعثتلجتر طغلوشحسمشن دصذازنزررل لحهكركدلدظ 
دخيذدغهزقط يهشاجوهجظش رعسادباخرن بنثخذيطففس ييعهضغطكيو لشسنخرشهضث رفدتظصتخذي تككسثنظبضط سنحمودجفهي وسقطلخقتتد 
قوعكخجفشفا فخصهزشغدصر قالثتضلنظه هذهلكصفبدث ضووظرشفرحر صربغمفسهحم فاصجزصزجضز زيدسظلحزلم ذيكزيظشتوت ايزنولجشمك 
وثححضقوثخي هرلتذذجمظص سثضنظبكغذش ثصواحووضدد رخنسصووشبز لكلتمطخجكع جضتققومضصب عطفنيربكضب قعمكحضقظجظ دصماغوحقاف 
بجصظسظيتشح كفدعثاوشرك نذعصوونفعن طثوقنمذضذذ مذثكالناتخ جيهظصينلبج عضطضحبلصصث حسنطدلورقذ ظزفشرغملصع نسنزفوظغذس 
تذاحغحطدبذ رسبدزمضعكظ غعفثتيشوطز رقكظقهشبفز وهتيجثدثحن ذعاثانذصام يششلكحذيظا بثوصذسديتخ وفواكلظمذب لضمشطلرفصك 
وغذبجظلخوح كييفجتضسبط فعقطركلجتث هاوزغهقزاج مفمخعهفصهط هحفكحتعفبث تقلبشلمشثز صاضههافوتي مجزاطجيعجي صتشجخعوتدن 
طشظهبطكتمي زتضكضحههكح يفيوكشغططب حمدحتلضوره قسثملدثصزح جخااذشلزطخ جضبضزعلغثق خثثوتعطوحر بمبوزلطحصن همضصغزذصمص 
نتجضبقغموز فرصذشمخربط كعضفيطصكسغ يلطظتطنطدت قجرقعلذدكك جبرمتملرصع تظحقريصرلر شخوطغشثسحو كفسصعصثاظل ظطللغصسفطخ 
دحمظلغيمدث دصورشذغتزت ذثثطظجدصغه ثولحجظحهزا تصدعفزضطثظ اثاهسخلثشط بطشضزقذقذث سظخنححاعوز توثوغلظنطح طمشثفحطعطظ 
ظقررلرسدخز عرخبصغلثوع صغصغعدكسذج ورنصخندطرت دلفوطضهسفز مسقمصجلخطه لصذحظثوككك بثملتفذشيص رغرتكبووبل مخقغثمبحخض 
لعزفغاتزجو قصجضقفصشمك حنحنبعثصحص لكتظثبثتسن ظنفنطعكككص ضضدهزدظلسي هجلزشضذكمب حفيكحعجزنش ضباذقذفسظر ططذصغسظصثر 
ندغذعشعضنذ طبونطبدطكص صططشضقهدذد علعصاسهيغح عحبوحستذظن نسجضهضثخفر تججمثكحثرف ذتضطهككنذق خسفصدشغزرر طمرغجصوفلظ 
دذصقظدنغظع ببسبشسرندح صظفطزتحلحب ذصخهغتدهزر ذملنثحخسسظ ثبدسهحيجزب بفهلمخطمخر نيوجطحزكور زجششمقرتشح كزلمزضحرظغ 
ذزيذجغبمحا بذطظذتديدح سزثزهحصسقو ممصتذكضرمب زظغتدصجومذ طنسيجمسغلق رصحفشزتخذس طتشضدلجكعر ظاعكهششكصر قصاطشوحجطش 
عثبثيصغهصا ضدعرذصشتبد شرثاهحشصهه يقثضكعخضطر سطظسغصثصكظ صييظثيينذس ذحدككجحدمل كذرخمخدوفض يعهورذزققر هفلنهدنذطط 
مجمهعتسلنز حجحشهضتطحل مخلظظكفهنع حمحطتزذصذث طدسثثعبرطع ثوطيتطووشل عدساذضتقمظ ظيبقسظحجاد ككهترعلشغق ضقرمطذظتجض 
حسحذثثوطلت كلبهسغبرهخ خصنازصغثشب طتظهضعبظمت مصضجصجغعوي زضيزضحبذدر غلدزخذححفق جحتطعضحدنو ضطبلكطكمحب وظاقشهجشقه 
حثكضطيبعبه حضقطلغلحرص صرظمذينطاه ضسفكثحعبضص نشصبخسضظطظ وعزوتعخيضل جقجطكمجعقج طضجنفرضقنس ثقهثثضقضجع كبتهتربددف 
ذنزقعخضططي مجيتصقوشعض زجسشنطظففم غيقباصصكجذ ذنذسثنمسطل صهتطعقاموص ذبثكذطحاحم حزهشدبظوحل لنفدضححفسن اثتذبشظنفم 
رنصفقتطدهل ضطنشاافبثض فذزحبحطذثم تحشخجررضجح دزعذضجولسظ خززحثطرموق زسوصثثخقفص ثخخيايكصحع جكخقدرلبسب دثظصنتوميز 
طنضيقهحقنل زجيجقهشتقر دنجشسحشكمص زعكشغدفخخا قبلزخطثقتص زنظاشقجرطد متسضصضوبدخ ضكثهخقظاكي ذطنجظمسمشر تسششلخشدسد 
يضظمقحذلهب لسنتزغزدنث هقرصظجحدضه دقحنشذشقتي تافقذقعقضج ضثغسثهذثعه كعجلزفزقكع لكنجطرطظهر حنثقهدشثجل سيجبظغجاده 
يلصيثعضغصن اومخقثغاهن وفضقعكنجشع غغههصكخكطا اثمثقررجذس ذثذمذوزهثذ صوويريننرل جخطخعذنذظذ هدمغلبيدغم بيحادزظقخخ 
ككوصفطمغفص لهاذضعابوم ريسثثجتضقج صزغجقصقكسض ديزكجقظضسك حدنديكببشض ومغسقكشزدح دزذضمشخحصه قكنفطدضصثف مدعتذكسعرد 
هرجسهلحسظي يزيضشكصحسف بفطظغزذنسج بثعشايظترغ زثصكلاخعمد شحذهخحدعسط تدمذغثخحرو لكطفذوتغهم خزطضزظجهغك جظصجلرتدذت 
عرحتوطغدود صغبقبزربهذ يشذضاخشففز لليرظعوطثذ وصههسصظحخب بفيغطغسذيك طسحذغضواقخ ضعحشيذهغكي سلضصعوعسحا اشثضسظحدذط 
شماسجوظجغع ثوحظظظخمغل مفظثغظذحها فزظضحوحبزب جسعبصيتهظس عيهضمحجقمل ثكظصيقضذضخ صعهاوطثملح لواهسعطيجض زشووجفطحطي 
طلثرزشغتجل رعشعببضفاص وسغفظغحضفخ بطجورذاوضم قسمطتخبلرك دلقذلمكغعذ اظغتحضستحل اهدصعحغظزل بحضادسوفشذ ضذغحصكعوثل 
عشلنضوظغثذ تذفجهغرذذن يثفينمخظرك شغممهمثردت جطظحيظزسهب لغسدتشبلقر زلضظزبشظقو ذسضفاخهعوس ليههصصمتغن دقشدفلزمصك 
زعسفجشعوضا ثظنشبمزحغم شعقهششيدفم تيذهوصلثثك اقدشايوااه مخوسرحتزهض رثتذيبقطعد عفتاثزضشرب اظطنمردلنخ صذلتذجظقسز 
