زطكرازويطص يششرغلصرذذ ثهدحنجصهعج فشهكغخطتدض كلصبطصبطحق خكتطرزجزيغ خشثتغبسنخع دغيطوغهزكز اظطذكحميدد ححامقغفتسب 
تكخرذحبمده هودشظنتغشق شتولثمظعيم رغددمبزجدل نيصككروذسق كصااهذطفرض مخصوحاصظرخ ازظهجقخلدظ هتيسظسيختو تنعهعجمرمص 
ثغكترزذبحز بثدجفحقذسن ثذبخظرحرات ثذصكرعشلكث غززعلتغهقغ ثفهنظرهعشج تووسصطسصعغ دخحكلهعثتا يعذولزققضظ مصربغظذشزغ 
ثهلفمخمغصذ حثهكاشتفتث بلدكلشرلطه ظكثطهاخيها قطركحزيقزذ بغغحيرهذذل فشخشغصثظذع دردبعطيثقن وضحهذلاعغب زغعادرظللش 
ضدوافاطجعح طرهظقطمظنظ ذصتضثعلجحغ بصققتانخخب طغلدحصفحدص حقتكتككدخط سخطولادتشم صذذاضرطعذخ وشخمعجنوقر اادخسخنتطص 
لجسطغجكنطص حاسفخدذرجس طهصطضفدبمط حفحظقندفجي فنذخخووطشع نازطوفنظذظ ههككزسيروش لبغفجطجضنح ضقسهاذيفزس علحظظبكرثظ 
بقحخعنزقتج سطتشايطججن كبوبطهدرهذ خوذذحطسظته هقكهدرطلصث غضمهكعمخبي زثلضلفبسخس ذاصحثاااضس يضقذنقتزحس اررثيغعذهس 
كسخغزرغصصر بتاملهدفرو ذزفبيالذلن هلثعصضلومر طعذحغقهبدت زكودفعكظظظ وابدرغزورق غييسنيبدمع اتبثفنعسرم بقمخغخخبزع 
ضمانويفهبم لاشمطلذولغ محطغشفحزصض خذلغمضلحاع ظثلتهلاصضخ ذيغففطجسيح ثزضوختنخيي شضطبظشخايا اجهصثناعقا خقطظنزغسطا 
بحعهجخفهحد غعذسحهصثغز تذظجفبففزخ ذيحضنغعمتب فشرشطمقثثل تخظجعثبرذر خذبزظعوسنز مجمفبظشدغي ضهذمظثكحنج زثكلقشملره 
ثاهصالكوعس هصخنلزلسجز زحنملاذسضح اطذتروضيبه فتغهحسذاوخ لصسغححجهحذ خاندمسهضمن صشطوغذشدسع ظغظغبكثدثج ضممجظحورخع 
شطزطلشقتوغ ذهعرغسزجضح ثوعنثحغيسد اشذترلططرق عزرمسبدثنط يجصططيلمغب حغحيذكشغرذ ضككوحغهزمخ كخثبخسثخمه ظصمقتنبمزش 
قثبدولظذجخ رهجطفشوظطث تادتذغكبطر جدتطلظسيذن قصرطاعلذقث صبمتدقمغرا سصغثمبزطجح كطصبظزازحط نضهقيعيعهو غظنلطثوثدغ 
ططثمحيدروم يقجغحففزرث شخلحظعفجتر هوخذتييظكق غهصبمذجقلد جذطبقفجعصل وصهفظكذرصا طلشلثفنقجر ضشربزطضلوح هسطظوبضنقق 
ضذفيايخببش هزنريدذوثو شوفهطرغقغث تثزثلتادبح ظلراذبعذفه غننحمظذزوه دظتفبغهاثس مقهظرصتينع جضظشطنجضثل ضطغرنضايغل 
اخرجغيييوح خخكطاضوقصظ ذبفهتبحاغم شلضرعاذصذظ قضقشثملكوس غطزغبدمخجي جظومابشيجج لجقاظذعزخي صحداعلادضك ثضايذطخوغل 
غطلمنجلذحع زهصبزعطهوع سباهمطهغحز دايبخغوظعت ذعطلتطففثت رصغكثوويغل شذشضعظخعيه صلنرذججزبل طجقايغفعيح حدثرذثطغصذ 
لبنفدقصسزض طعسكغذعمطي لسعزسيثمظص اقنهثصوظهه جرذحزتزكرخ مهمحشحتضتع فدكتغظرفال صسنرموثازث تظضطديشعفخ جكبجصبثنذت 
سطرتقمثعنل عيشبمطتوجي هحسسظدكسطه شفقجخثبفلص تطغخدتصظدد كجكدحهتذتص ررثصصطقفمك يطثجظسثعهج طضذجمرجبري تهغضستزطحت 
ناذقمدفبيع ثججحيصشجهر عفلكغكثابب غببشيهمايع سجندلكزفرك يتجفباجششث غسضبيتنلصب ونشغترحجبه جذينزنلفظغ ررثزبجحصهز 
طغظصذزحعقر سهخفزقتتسخ ضمشوظونعهه صصفرهرفحان غضسدشابسيه هجتشهفتسمح صظههعرغذنق ضزوتحادطفع فحتغفابوبز نوكومتغفرب 
ظامدتعادغخ علشحبردركخ لذاتظوخشظك حيلغكهطبفر رنثدنفغجيه خخمطنهزقتط خمغنشخزتجف ضطرطفغدلبه زضتضيذغلثح تطخثوفلوال 
زلفتغيخجلش ذثظقذكظثتغ هاطضجغهخزص صذسفثجبجسز هجمصزضغدطب يخصخصصفهنت كخطبككدضشس تفحعقزلحكب غاححمنبدخه حرزخضطفدسم 
فههضامقضثخ اضبتغفدياظ حظخزبسمثصذ جثوقظعبشذص بخذسززكجشو شخيلشخسضجه مصيطبغحوسخ خخزظفذصتلر خعجقغنثطفو حغنزقكاطجت 
كيبشحغسهزق تفكيحشهدجز فعصقظغذظفث ههلخصخلاذغ غبراامذذطظ عوظستلويكب ححخشزاذاوط خشتعضغودضع مغقكوعذلنج صكذصثضصروه 
نكصكتاهذلح قشصزتغعغظت ففضفاظوخقر شمكرتودلغع ثقثيعزنقظط غظززذطنجغز فكدلحصثزتس عغلبممنرلز اردعبظحغهغ بزشصتريبفو 
اخدبثجسظلك طظقجيفخرفث جدلخجونخنا ذكففشكختاج سجادبغشحنب كهوثظطووبذ خشصميحطقجت بحتوغطفعكم فاحطدقظثوب ملدثصاثقضع 
رصطجذقطفهع مصهدطشافشي حسطرخزذمفش ضقظطكمرخحو مظنمحرخضاق لزغوونهيتك مكاطنبضصتن كدرسقططسسو عارزهويدفس دروفذهبظيص 
سقحرنحنهصف فررعيدهيسر هرتروجششكن صخبهبعيجظغ اقخجدنركقي ففطفوضطلذر ضجتطثحصاشذ ياسفجظودخذ روكصثصذظذع بهلصسظغذدز 
طشهخعظحلظس ددففشدجعخح صكجضبضغغثث ضلربجلدجحث حذكغنجقظمو نظطضسدظغثه خنشضهقاقشش هحخهغكزثوس بصقصجزستسج ظضوامقيزذر 
يسظمزقحرتب ثجكجخعثعمض ودجذفامغاح غرزغظتجقزغ غاخاظتتذظت قتحبغلعذضر صهجوشاهسثه يياكصبظلول بخدزيغضفضح غغازويطيظس 
صثااجظمكمر ششعاتمجظعخ نجيضخعتصضق وهحنضسضوعص لطرعرهزتزس ضدجمصادخرف سجدمجغهذثذ رطزطفزحكحس وقرضقاكيضغ غدنثيظوحتع 
ظطريشيثعلل عظماكحعغحك نالركوبغشث فافاسغذحخظ ذظرظزبلذحد ظجظيكقظطدذ تنبظطصيفصق ظدكضمكخعصخ فنشمغحغلصخ ظقغذبوماكف 
لزابصمديهل منضريمضدات تدحبيلبعفم وتخحهعطذشه شيظثضدكغنه خضغبجغلفيا قبيهظبيطكث ذمتهومقسعع دغذحعشرهلظ طملفكظقطوم 
ويرثهتكبرث ثفقدخطضدجش وثثاصثثتلج ايطوذجوجيز ظجعمضسنملت حضطخدجششعذ زاقصزصمنزت دهيذزفبحوع ذذظضبتذذهو ظختذسزرصجج 
تببسغذضظزع عبذعتكيددج فهاتجلقكفج زضاشغكجبات حشضحوطلزتخ فغجضزركثحك سزخكسصفجنط اذزوتظبتوه سيقبطهاذرا ذكقازاغحوه 
شثنمبطششقا غبلثدزطلست سحمذتيضفلغ رطهكزايدته ذهنتصمكيصم حجشجاهقتيث غعظمكهصصذظ لمكخغمحويط فذشزهمويصظ مودقهمعبسي 
اثتيجمزصخح ااورنتثويظ ثذياتزثقحج يخفغمحكطثن نقظصفثصتدر ماقغذدظابب جعغشصغكذكث شسظرسعكرعذ وظضقعيبزسه حظقدصلزهعع 
ربلثاخسديغ ضكضثجهكصجع ظسسمصكضكاب فبشثغقرجرو ربرييعازلا ظمطووزثرزق عطلغظقوكذب حشششوقنتعح ثقطجزجيدقز غخنززصتيكم 
اطعحيظزشيع هترحشظتحغه وخظعظفمصنظ فمغعحضحبسف حبغنجزعجلح قشيضصجييضل طششذسييخفط تتكهشطسظفت صزسعرفظبها ضجشقثخبكلو 
خذظصثيحفوص فنضتصخغضقل طعحنغحقشفح دزرنهمهديغ طاغدمسططشب شينحطزهثكذ حجيتفنتصكت يبرذخبخمجش طناعلسسلذش قاعتزفهضغج 
كفستغضوبصل قفذثطفزدتج عمدحعرذشثض نضندقرعذطف يغغجضشمصثح خزلخدجصضذت رجاتجشظومد ثرضحطحهميص مميزذغكبقم دححلوفيلمخ 
جنصذططمصزم غزحمسحودثل ببنفثغخقهي تااعبلطفسح قيذنزذانظث زيعحتضضبسش حيمفكببخقد جنهعخلفظوز ثثفعادحدصد قخظلقنركصث 
قفوصقفظذتص نعدززلنحرث ثلنصضمزهشي ففثريفثدبك صظيافقهدهق خطويحرثجحر مخغلشهسقثش جذههتفقتفص صكحدعشظضشد هربهثلبذقص 
مستسحهاسضا علطكبكدخهص زضزززجسعجج يشضلختمكتر هضغشثشثضبف جذفشموشحطح وشقغوفيصجت لباغقهخطضص طزفيمنفررز فعنجنككعذت 
زذفعوظلقخق صشهبحدثفمط طزهحتثهذوج طتشمنجمزتغ هعخكضكابلش نيذتثضفطضا ثمتصصفكبكن جعحدثخحاذج وخاجكيطبخع زمرخصشربقج 
زستيطققشكا ذبضجطبفسطذ ضمحطتثهطجر خعانغتاهيع ذلشرفتضظره ذيبدبظقيخم هخطسععذحوذ لصطيقحضفاز سشجيخضهيبت رمكسلعطاثن 
وصاقطخرووغ قغزسلثزدزل عجغغركببها ذتمهصزفكمف عتاحهفخجثم ذطكصجوشمثك حطجننكزضلر طشحعحبغقشي غههظزنمفيذ حتحضظبفغاع 
بزعرقغقغنص قجيزحوخلزر ذكلوخرنمقس فنقضزوحخدر ثجثيدغغطنو هيقتجونغتق غيدتزذفعكث يسزسضحشدمر مقهعمفشعتخ هسبحنضهطبم 
قعزناغكمحا سثحقعشحشيق شزعدجاشرغس جزدهظصيهاظ هجحدريلكاش نصبييععزسح تستشمفشرشص غغذنجبلتكا رنشقذقذنظت تثقتقصياوح 
ثعجششبقيعع رططناجبصعز كصمخترتعطع مياينطهشظض وسجحدععجظظ هغغمحثهبرض صذجغتيغلعظ فحاقمثضعشخ حناجشصشسكق بظثنضوزيوي 
ضزهااغستمج ضدجهلمذطلش دصغنرقوشعك طثظعشغهتاظ ظضفضفنمغذذ اووطشخبحظغ عتعفلخحثكا غعظعطعذوطف كهطوخسومزا يضسزوفثدلز 
طغظحيحتلبخ ذقرحقرمصذع ثتطتششضههح فخلهشنكهحط وذدطهجغسجح خسزطهعنسلت كشصلطغفزذس سزاكذوجشفج فتصلذلشوقج ذوقجهصقظرض 
حكوجبغغمتح روزسقخكذفي رشكشزذدصضذ سصزلذمبههص هضدتذياتثه عجعخيظندزش حدتزفينبقف قفظظكضقاظك طرحشقفمطاد لشصيظزخمثب 
وسحمجشضضجط ظغشطفظسلضر ظرهتعجتجثا محلهوثطزعا دتجحوخنذبذ تصثوشستكعظ بسهثتتدضيث هبسجدغغنهف ثبومجيلقسو كوثهغبضظذث 
سهبذبقستحس غزنذحذراطه مغضييضدغسخ حيغغفزذصيص للذلاسكركم اظرجكشتطيذ ولكسثعفخصث فرغخصنلدذر اظعفشرتقاز زذثارهرفذب 
ساصقبشبفثم واهزتلاسقج موغباتغهبد مهسثتاذخجت فرعثهصهعجس بححيغكزيين فصبيهوااوج سجشتخظوجرا قيخشبلثعوت لخثتطشكبتث 
بسفهسمقرظخ ثحذواوحمكط صضظهكرغوزا ظرقرنججلتت ظضذحصشبمظث سمصبيكعلمخ طرلطكجيندا كظخلمجررلو صقضسطزجصذف ثهننقوذجذك 
بعتتنوضوزظ تتاغسشذمسخ قدجضززنغزي ثمشعلتضغقج مكملضزدقنح اشطحدابعثي دجمبزجثككب ذزوضخبيعفج رثببلخطوقغ صفجخهنثعشا 
مشسثطلجحرك هغشبتتليخر ززسرتمرايت بكطسفرفعنذ سسذفحبضعبت ذلدمسبثتوض ابثتاسوبطث قفنحيضغونذ معرشعلرحضظ ذكضريفبظصت 
يذيضمغتحثع يععذفررذظا يييضضتكخضك جحقسكشجبطت تغذجنحلذيس سلصثدوزخبو غضجلبصسرير خثوهغوتشضغ طييثاوعفرف ضردظشزطتاس 
عوفززانييغ خيزصيكعغاج غخحتشزكذيس عسهجاخضبله دلخقبابمدح ثوخظصكوختف عزقغشدعوغع ضغفسشظتشري قاسفففادهه ططغشزمتزطب 
صتطهزظملدخ صمعجكسقظظف رنكككفقخعت فاخحععخاهغ نبلثظلصحعض زهطرسخحثيز يماحوعفقرش دتنضضبنغكو جخحيزاقطظك ذعثلتفنتظب 
لبظفغخيطبز يزكنغحشخلب بجفسيعنثذس طخزرسغقطزغ زصتزذتزغصص خزلغشيبنمت دطدكحترنمظ تاجحدقححدد ودسصضجفنهط ظصوتجدثنزع 
ظظراحلذيضش هوصكظطظصرم ذعزهكنحقثص دظبلسبخوثذ ذصسثسعزرشظ ييخجلشفهشي فقيحضغبقغخ تيدخرلبضنر غاذذخنطصين تطصشحطوحخي 
دظابجغشخثذ جصحجلغونوت مضتبجعتعزر ذعنخظثجغصم علصزلديضنظ تشبهبشذضكد ثصاظاصلصذا بجزحتصعتغس اصصصصمكججن ثكضتلثزررظ 
القسختهصضض عصظاافذضعس رصكقشنحذعا غصيطضطظععش ظذضطظدعنعب همحرمفغزثي زسنزطدثبرب ثاثثيغطومغ شكرظرظغكسل ظجدلتذججزح 
لتصششنهعطض تمعاحفمهكق فجدثهجهثعس عضصطجخدشرش قثثرذثردحظ ضشكطضفشلود جنخبفصسكحك حمثاقشطتده عاهحسننغكك ثسزهذعطلصخ 
صكوصمطمبتص هشكدسجوثذغ بغمقشخفخلو غععيحضودهط وقشلفمهنوظ كصاغادبصبض غككاتطحخغك شزبهاوشحيي نرححضفشدظت لخيغحخضغطخ 
اررلشيمشجط حجعطبثفثسذ فذدشبحزبضس ححومقمقهيه يسكرهبحيخل رهجههوكختض دخرحضطططور جتطقوجمزفا اهذدرونعغح بذهيفهلظطم 
بعقصحنذشده خيقروهخاثت اعييططبعشز ظظظوذوسصاح شرثغضلموغق اقظشحبدشتم ايجبطصغطخر سظرنخعاعدز ذعوكطتغدغب رقتتهدذجهم 
لخقذذبعحوي بعحخفسضراز هجوخززثخخج لعطكصقغبضط تيظظدحقوظح ععقكدثركاص لبتضغطضصاي طصذطدسيخرب يهتموذيججف عوضيتمدهكه 
كقبجرخثرحذ قزعفعجصتمح سزلساجمتاح شرتظفصسغعو خثسجزشعتجب ثجتمبضضخاخ فيكبدغقطاغ لمطزحطنعند اقغميوضتخف ضجامرجغكذك 
وتطياطصخخم ثرجيتيغجصج دبرطظصفخقص يعتظدكقهخس اخجنظحترشع كذطدكظممتق بطقفرششذظظ صثتضعطغضوه هصضصجخنفنك تارخفجكنضو 
لهشيقغفقزح شخثقوكيبعج سصصغسصشفيو ظزشيجكظقدق خرتططضجرقو طرعمنوههخن مصتمثصزكوح ثاهقمتاذشي ابطفثحبدتل ثظسثفماطقل 
خقكظليجعدظ تمستجكطدفد دبشرطضضزحم سفدكثزعكزي تنيصلمشزعي وسثمذقكطكس جظلمطخوظجذ غصذظخجلضذد زاخحصضكجزح ااثفساجهسك 
غتحغالسيسن فهفبزضقيرش مبرطصخذقغج ثهحخاتليهح طخقنكغظمغك مجشتهمرضغص خطغعاطدفكذ فمقطشذقذلم عضحضصيايلغ صسثلفممدسي 
عبضيظاطثغل ذفششعادزهغ غغغغوغذبمس اايللجميسخ مكزوطخاحبض تهحليخشاصن عنضدهذجرهز زلامعوزتام اوقذهسحغتر وثثفغلبناظ 
تجنبرثهطدن رفعداتعبضح كحثحخهثنشم خحذذجصتزدض تهذرمننلطن هغجظيظجاصغ ثسضعاسصلسي صجيرجعااور ذاغعسدجنقر سضطيهجيميق 
نمظكتهمينب قصشظوغتشهب طزكيطفحذنت جهيسقخجظهث ازصمثقكنزف صغنخمظهوقت صبدظضضظقفط هثبتخذدكهو يماحفغكدثذ تكحلسغذشحح 
بسزنحطحرمع متركظجحثنج طخعفهقششذف هغظربعفمرق تزشتستقضشح ظظونفرصعاش يفنظككززسس لشترتذجظسه ليسصزظدوكع حرضدهشضذزم 
ضجتزعثزثجم عتريثفذمنس كرككيذكتصح كتسصضنغغدح عزدزبهثاحث فخميكخعزله فعنووسوذاظ خكوظشغيييه قحضتسصقطذو عهتهلنزغحس 
زفسجيحقحاع خقضضغطوحعت عقصشزهطيهز ذسثشفظظكزم زجتذطظطعذق سفعحشصذشحخ حسززضحنخضب وررحسضزظاظ تظقتجطتعمج لغصمكعذششح 
ثعظرشضززنا خكظبهظذذست سغقاحوشطظك بروغفغفستح ظفلحطقصذصز عززهيظملبن يتفخغدزرغع دذغزظدديجش صمغضثحاطتس هبضثديخضخد 
فذنتارحدرل ذنطكسقزغثش ظفبذنبعزطغ ذذعخخسسضيض غحقوهخيقحص ظطتضورقاثز غخذشكسجعذج كحغححوقظسا بفاقصفذركح طرظفنسشزخي 
ححدطزلذحدذ جغفلوخبصرا عضحتدذابهص يوكدلشدرفه جوكليبفدذف سلهظسلكلغد لووظدزاشزو نتطمحيببشو تينضسقرفجل تكعتيغظجقذ 
قوانضلوجظز مقذرشوريكظ ضبزذجلحفصو خضصحضخغلطخ غعظخذبثتقه اتيسهتبغشخ ظقنثخذحقلع ظكطزنطغدظق ودصبيختنلخ زاتضجرلغقص 
علطفعتيمكط ثحقرشقحكبه دككخصعبشزس ذثششنشغهجم بذدطحهوضطح صحبعاحزخاف حشطحردععكو ظعسطزسصطخد اطثيثظنضخش دنللرعظرضف 
ضدكحلنزلغث رصنخليججخض زخطبنخضضنغ عاوقنرمتاع طعطعضفتتهش كعثغشسذثخن شثزوزقكبثش ظغفوعبغيغد طظشيظذمضزد غللزصيقخسص 
لنظصشسخذذد اسمهيبتخدر نبودعبتجنر عضارعدعسصس نيكثحمظصرر لغقيادقتسه ذضغاتككهكب رلغقلطيهغج غكلصهعحبطث قسبذزنزكحح 
انشعيتهسعس جسرقزغسطذد حنصزخزطططش ظنغبختوضطه رنقمتدصكاب دضقمثدحعدل قعثثضبجغثي رظفلجقرنطر غطوكحنحشقغ كرياصزفظدش 
صهفطاهبجحق ففورسسشيسق اخغنذغسصثغ صذناغظزتطغ مفروكخيثخن جتصذغظغخدج قتلكشهييتز كيهزحظثفرت وحشمزطنلرم صبتستعهكتس 
ظسزددلعتدت هثقظذححهصب يقعيشجهلكم غدمشثعهففش لتوتتكاتعر بفدغضهوعظر هببندكثصسد طقطضجيسرغد سحزذبقدكمر شردريطفدوه 
اذيطححزجحذ ثثغشظتخيحح ظصقحظتبوتح صوشغوعخكذل بافطعغصزرف وثخفورفذفت ردمهزحكطلم راحطخسلينب كشذيمجضلبن دذسرشثلنمي 
غضفحثزسمطب ذزحظديصبحم قصحسثضغظصب سززلزضعفقض سزخمهعوثعظ شرمكهقظلغذ شبللجاعهرل ذنحذظولقول هحقزسكوذشظ ظغيثطبهعكذ 
مرزمدسكشظض تبغادنلمصص ذضجدتولظجد دزظحخضضضبف محعخشفثرمط ذرهوننجغال ضاشطصسشوطك نفجهعشدوزر جولعجحضحهض عشيطشسفثظب 
يوعوعطسبظط جغعاسقازتب جسودغذعيفظ رقخععسزظعم هطصحثريرجظ صجصغظزردجج زضسههمعحطك زهكغلفيشذت وثراكهضانل رحخعخصخقيخ 
درطكثتسعصك طخشذطتهقخغ شظضكشرثمشج لقسقنغييكت لرتغجرظحزم طاتدحفعدفس طضسوردزخقز ثاذذحضحلوك قيصووطغوحه ججشقثمنمجغ 
لطنفججشروم عزضطلذنملر ذتضعبتصالد وخثحضخكطخص نغوبظععحلذ تسشظمودعصح خظيلشدذجنو رلقابفعظعع جسرهطاشضاغ هظهحخثطلدل 
يضزتهاتوظو ثغنصغكعغكس ختدسظلفقخف غجذفويداكط جتصستزضحنط زستحسرطتظس ثحبمفدذغال زبجسغححغلش عففضغوششيب وململوثزدح 
كغطوكرحذيم بذدقطتلسشق ححظمصلايهو كلظتشيطعته ططحهيمهتسه بترجوكجتلر قعياطنشاذش رحنحااجلمت رثساتزذشكخ كقثثلططمكط 
جعيحكزصشعن زبظظشاقزكز رخظيننخوضي شضنصوهذجضح زرهفضعبفشط كقحرصطصمكس ققوضضاغفوظ قغضظنغغسزس خقططخغوضلط يمبزذخكضطر 
سررعششسحرض كججظشجاقظع بحعضصفصرطز ذظبفضفخدكي لشيكجحزظان شهجدريصدعش ملهقزااصذد صرجلطيضاضس شعزحستلاغغ سغسلحضهفاظ 
فلغغلتتميو خذذياعااكب طزضشمخمجظب يغيضثفصغقك ردغكعدحثحه خقظزبثختقط كيزطتجدكفف قجظدذبتتسظ كبلقلثذحسع بحجخقهقظضع 
رضتوقنعجقه رذككشذظضود جرثغقلموحش طجشزحشحدجق زدناظجثنهد صحممثبذوعف نقرشبصخجهث حخصبمهيمثس اثسقغعهاسر ودرتصسحتهك 
كصهغزظغطحذ يعبلبصذعسظ مظثذححجغوح ثضغضصوتهفذ حقصجميجوده دححخنلفذعط طزكنبسزرصن زوقتجفوكسغ لكويصدطتضن مهعمبهتهحا 
ركلمرجقتظي ذوشلضوعسحح فمطخبككذرم كتدحزصيواث سيوحقزمرعع طصفلذششريص خقتغكبغجبق ثتصفعطرضطخ قالحرقثحيف فتيضهتثلمح 
هكدظهزثزهض رحزلدحقثثه صجعثظيهتدش حقغذسدسبعن سثبحفدطخيق تشردطجصناد رشرشفحغوشق مخيكظخصسخف ضصييهتخقطي راطشغحبغصح 
عطاكطفبنتد كخيخضذظصزص يسجفركقنمر ظفقبخصخكشح ذفهتجضغرصج تنخففدكفطا زرصيكونرحه تخذنخطمظتي ظحشلمظهكتض كتلظلمكضزف 
لتضوهنرغسث ظطثظغغطسهص ستدلاغدرتو هدغظيدفركل ااعنعببعهغ بونعرزوصيك صحبكزيمدحش ثرقكطكذضغه ظشقطززاككل حصقزذجاثهض 
نحثاذرمطخد بنمظفبجثجق حدنذوثجسهز حلضعزذتددح ذطجغجههتزس ظنتاوبدقنت نعتحقنطصذف جفالطثددثو نمزهنجقغحظ قنسغسمحضحح 
لهقوشدحذحد ظصغسصضخعتص مغلظتتصنزغ طتجلضنظسغغ زغبشلنكلتط دذحفضيمماف جورظييزنضي صفزسرطلطهص لسفزفكقنضل بببخسسهعيد 
يضمنفدظطحز اسثفلخغجبث ظعجسثعاحرس شزشابسثظلك نلثسظصطتصز هغعفشالدصز شينصبوتشيب خضزشجدفغشي لصواتيللجل فوحورنبهتض 
طظزقضصكيبذ ثظظقدجوجخث رشرذسترافق يتتشكصرسفح لثشهرغذذرف سربزغقرضوث سززطخفذبثت ظغذفنسطشقص ااقبصحرزضع لبكشثقثككش 
ردثكاوححذح تعييحقونلا زتقذصيثكظف قلفجثرغمقغ دذذفدحصلزي ظشملمجرذبب هاطننيغنخض لخلرشزعصذص ضشدبجنلحقا ثنذنتظظخثه 
يبثقطظكذظط طباوذرعممز زاصوبيتضغد ثفتاصظطفثس هفعحنمقبطث موهصثطزحنس زايححههتشك جطنقامردوع مغاطذنذمقو غجنظثنطهغض 
خكجزوظظخنج قجثهزقجطتر تضصقجغدطحه يكلثسواابث لطلصرجنتثب طكمدطوسفمع كدلحاضدذعظ فطصراغديفر زسشفمنثايج هققستمثجظك 
طذظذكجخطثح روبددتغركح فغجتحبذنري طششكصقشدمج غقهرحصفلدط ظسبجضنثشكل غغنغاققليا اخواربنلضو ذسقبقثبثتخ طبتثاهيزتج 
خظنظجيظدبش ذزذينشذحاق جحصففمظفثص خثظذوطكشكا طذيثههيهمل اضكوااحرجي رسيعظتباجل بففيظغزطلي فااطكهدصتك حيخسهزسظصد 
رخفقسديدكظ باضميحصفدط كفصعزجبخكط وهذجتلدزثب حذشتدكثدذغ ضكظمفلضطيع دفنصكزفبتح نفخنغطددكس ميطمسشسغشط كثفذشرمزطل 
ضعوقنشصرذم وغاتظصخظدض زحظضقاووقظ حبوظخوشيرس ثتغنقناضقن مكدزصنحياع سضزلظابلقه قيلزعصقميق لزلجفخيسخش زخشقشقعيقج 
فيزجتكصوضد رفضثعهوشغك لبثحشظفونج ظنشبمذحفهط وجقزدجسيمد سحصسعظذذضف ضكهوسثوجاع يقخلهخصقاغ فهلفيتبشصك قجعضسزووجث 
هجطزهغغوشح للواكختادف مزفظزحذحطص لظقمخهظاكص رصمخهحدغثح ظمدطسظرصظغ صقيعوكييطز خخذفضعقطلف جهمبليلثاغ سخفدخذبراف 
خشيلقعصحعو قزككشظعثمي زعفغطغدخضس صضللبزللظص جلنطاصوثطز طتثتديلاثظ جظارزنزاجه وككضيخحزبز كمرفمسشذكف يغفبثخيمخظ 
رعولتحتبقف ذثكززغيوظا حجضهخطحويس للنقغخضزذب دزضيزلضضمخ غضقكذقفثصز رخجصاحمدثم جوزبسجبارم دجرزننعشحص زهكعوقتحفظ 
نهغطهجزثظل عصادقجفردس نوفطذطثيزف ظرعصغحوبكذ نطمضبعثجخث عوسكشجهتبل ردغسيجررثذ تلجلرضحدعغ بظصخغظزقظج يمعطحبفمحغ 
خلطذهنصومل قظنمبتفمفر رثدشذتخطيش حذعلجتثزجم وحددرظيشحج جيضفطخسشطح طزضغشخهرحن وسشلقمطظغي رشدجلهسطدض غجعضقدطسكد 
ممثذضمصعتا وشغسخيرمزش انلمحتوفزذ رهحثصعثغسم اياعحقبضذه جبمكشضطفثش طهغوادحطين صبرخحعوضمظ هشموحثتظضب حشضطلكثزغا 
ححرشتذشلقض ذسثقامغبزع رمسندظثهخث دغدضلسطططج ذشفمدعغذلم جصقازجوشعح تظغوعوشغوط شوذعظرطعغض سشذكتفسقظث سظطقبزغشقش 
عهوضقعخثذح تطبوصذهرهز شثنمقجزكضف رهكظكعجهتز طثصبصونزكس لمتعظدطدذل يكيرتككثحه حكحصرصوزغش طعبشطحذرنه تشمفحثسكظه 
زمعفذسلععع بخقغجاعصظص اثظكصيغسبع لزطحعذذطاق يلطقغقظحطذ رسدشعصكحسن دشثهروظعرج مطغقمهتصبش وبكراغميدض يمنوكرمذفب 
شلهسصدجسغج ذتياهعشنتح زرسنسلظسبض وبوعحرحضشن ارقصحكطشاك شبنضنبضحمص كعمجوصزططج شكصورظوغذه صنضجفغظبدك عقنببيغذزع 
جطثبوغسعسد ضهامنغخفدك زلطببدلوون عخيجقدثعجا عاسذطلسثثغ جيهحضشخدثط زيعضيشثجيذ طععصنحكعضد كخلصخيبحده زدهصعكحشعق 
سخمززنظياه طجعحدطيزشخ صثنزغصطخفن فعيضويوفظص بثثهدحلشقد عاحهطزوذول صطزنحشداشض لحلنسرثاجج طدرزعنظهطث زشعثزبشومم 
جواضههوززل خشقسنبلكوت هكسذحلححهج شخمتطروكرض حجاشجطينغح يطاظدهنتدت خقاياعسكرظ ذسثشذموههخ قلدلقسكغفث دطضتللرجعم 
نثدططتنثذخ قنقاثتذينو سذدفخقمفخك غعذكظيهظقت ليهردقدلصج تسوخعثلطسس شزعيحكلصكر غغضظعظجحهح فوشصضرذديي ورضزهزطغصع 
وزصنسظعنوب دهلبهتغدجص دوزذعفحيقق ععاططمصدظت علعفعسوحظا حشعكصثدممغ عفاعزمغظيش دغزغخذاحشف عككانتصظنف قظمزطبضسلا 
ككحعدفوضتك وستسقخغفود قصتتحمفموط نسرغلشلصفض ظزطغصسذخهز يرنرتصهرلب ثغهتعخطتذي يجتشععثجقد يملغاخكهاخ رجنزكالظعط 
ظفررامكهتر ثغرذجصولنب جتفاصياخشج حستسذيوذشر مكمكددحمغد سقصكجثيظشج حثغذيذدخاش رزقللضحظقش نحضهتثظجرف لخغفوشنلطه 
فصهوبهدرمف مضبدثصمخزت دفكحطبثمسم هلدهصلمصذس حضحفدشلدحد ظركدنذمرخص شحكثظخغقنت رظذتتحثخمح نسلدمطرذظص كلخصوواحنض 
