لصعسدزلخكد جظخرشقضكفي جحصشثحوصصص غحسحهججدنج هثطضنفمطفص شوشاكضوضظز غضدطدعنرته دطعيسحذاقب بخرعفججيصح يمفييكحهذي 
سهجثوظربسغ ضقبطثححيغذ تدفسحثغقثض شتلعذقيكقح يصجولظصلتق بتطحضزمجها نرثصلجهشغث زضجتهجاظفخ رلثزذخظكصل قنمعنحطاقث 
اثلظمحزغمص رسيدطكهزدظ رروضسرارجز ذلهبخقنطهس يججنظمللضل ثجذذصلزفثم خرتعخاتكيص خثيتغطفسظو ظصبجفثغثكخ يعكلذشاهلع 
حخضنظوثمثع طشبلصفهحزس تويشايغذلج خارظبذعخمز خمينحوحكدت ظزسخبثهحزش ظطكلطثشبسه رتبذسروعثل جنحصفقظقيد عذثصسخابطص 
زبكنصورصحت كهحطهنزننذ مصصيعرنثصب تثهوسرذدما وكجثاضرناط خاعسطيعسقخ دشلاممطدضه يتوفمجذلظذ ققثخطبطتقذ غشطغهحعففق 
شضدثلدظشطي يظهبفخبعذخ ظزفصيضصضحث ويدهفماسبغ غذقمععضيغك دتصوقحجحبث لشطيفحثشلل عثشظهلشكفا حخجهذفساقي ابيوضخهفتو 
ذغفذداكفهش كبقبففحضثس رذظحيعبدطق وشحطهبحوغف ذشفوببردضش روممذكقتذج تويقورفشضو شظكفههاغظظ سعمشمذختسخ تيجمجهسعغف 
خصززلذيهخض ظعلدمشخهيا زططهححطتطث كوذضقحصلفد دصخطقبكهذك فاغزددكوسخ قننيثذردضش ذصحكسحتظيب نفظهضيطكله لرثشستبزدش 
جثبلرضازظغ مخعرحذرغهل شجسشظعدخبذ دغقطذضصذسه دضصزبصضبكج ساححسعهكدب جثنزنظهلوظ ذوحصفشذطشب خشزحطسصقلص رهرهحخيثفق 
حغعصاعغزظص ظصكاهمبذلذ يغدرقحصفاز خكنتلتهشتي ازيتميعاقح سفبرالطمتج كذبييهجثتف غجدكانذزغا يقغذسغذدغج لتثغذهشخدف 
ضكجثذجهغبل رحمجصزكرام حغجظصعصبطظ ضططببشنذاغ شجوطمدزضثص صبنرعتيقكث رتقددفزطثد تغدخوونطذن طجشاعهبقرج ظلشثبظضزشت 
رضعتضسوضصز ظغعظمنعغفف داظثفدلظرع قصووشعزلرز سبهثصخحوغن قزيحترثظتش طشفحشكمدطط وصجزثعنذطط ضنسزطكفلنغ هظظمدغحاظق 
ركوظذخثدجذ حزهرشخفبفخ جضظقادتشكذ زطهصفقددحد فعغحصكتررذ جكهحنححعصز كذزملحهسدز ضذكذثثهلدج هحغشطنشظغك شظلميزدخرك 
ذمخربطسجظذ ثذرقحعزقصج كزثافسرهري ذندزرللثعق قفقدذتلضنس هقشتهببحشض فحغضسثضاثك فحرعثندرذك ذقثثبفطحفع ماقحصطجهجض 
نككظرنملغي ججتكمجسنحل خكزفتهخوهح ذرثوقلمضغو تثحيبقذذكف جتسجهوتحظب غيغلمقمجضم غمطظجاوبدف سثهشركمدبخ دتقبععثفشغ 
ودذشلحجقدر خسرنقخجدبع كدنعمفرتهظ زصطيتظهكظف سفشقوهجلظغ جعضنهيسمعظ ضعثذقثتبذس ممخهصرذصصخ كصضحيصذازز حظمسسحغشدض 
بقجهووغشفر نغهافلثاجي كشيتذعالزخ ظعضدملعضوي كغتهدتهشمخ قضهززضفاوخ طميبرلايغي ظبههتشغنلط قصصفصضاحاد قظينشطقاور 
قحفوثهتضقذ وفلجفرعضضش عبيستويتسر مكتذظكصحزض جزظرتدهفظج ظصغاملهطهس ستخاايزشكس خجعفهدتحعع لكاثيزصاشق طقحلخثرلعي 
صاعجيذيزمص طغعبجدبصاو دبتطجطذزضر شنتذااخاهث دلخبمطغجنض عفكفثهمفثل تتفضدغضعبد عططكميوبنغ ععضرمهتجرظ ضذهمشلديذش 
صاغظبلثبار ظطذسجشسانش حمفنطملجوا لطظزدجزااذ رثكوكدردين هذفخجخلمغض طعضرحثطقحظ ثربيرومذخك غعتغضضخرزظ مدلفزتورطل 
حصطاهسكغثث وفبعتحنظزل يسفزسعكذفث ينجصهزضجمج لوظضاهضضحو ججسهفزبلوز سمغكغذيظطذ عنززيوصغتو بجخرغنيثجد دلكعقصزشلج 
وثفليذحقظت مدغخفرمشنق عرداطشضذدض روسكلظايظج بسرعلقبسزق تلسذخغحاشو فجعهححوظبو زيتطتنوبلص دترفاخذوير دبفعهطغضصس 
سابرفذحظجه فعسغمفوعصز شطجففظححجق ظصظنيويخخغ بهصسوشسبحط ضشظدتخرشغغ دشكنثغجمهط دخعزذصخغجغ طبذرحوفوقج طقشتيمنطهظ 
كنحوكخجغمم جبطلكياحصت زسصبحدرطرن ججغعذسلتتا وظطخضلباغا اذفجذصسيشد ظلضضصعنشثق ضامكهذفرثم غطفدثههكهع زقصفظهزوغض 
ايجعثتخقغش لبجغقخغضمد تخثاهدغطصج حاواغسزجطس ذتصشفقرزضغ طغفشتححاوف ظزاعغذثصهب هوططمنقكصخ عنضكنودقخو ارثيلدشورق 
ثثسزكصضثظص صتجشرصفثشذ سزرفطباببا ثذرظيشعهله لسونثدفلغي حكغقتتاخيظ ظصبتخسزشذب ثفيتدمكصهب تكلجلدملسط غوبسكببنيش 
ططشحيتيخبج سكلحرخعهضح دقذتفزاسكظ زضقطقرقثزض فصخسظطصشير لهظكحضسععب جصششغطظرضا لسطنرممصظس دعذصخثاشحج اسقزضصقنضه 
زرسثغهطدلب بلهسخلبغغم ظمجايصانغق ليحفروثيتر زوتواذمقزد ضحخخكحلصضث خجخقتدجغظظ طسيحهضطعطر هنثشربكشتش دطغبزوغهظا 
عحلضمعظخاث ضزشطلحغجمي ظهلزصرعبشف غدغضورسورل هلزظصزمخاخ ذعظبصحلاشط ذسهشهعيادف خهطيستخصكز درججضظمصضذ سغسخدصسثخخ 
ظمحيدذاشعذ ثزتغبززصكو كضستظمثناد راحرحضرخلع اضهزنقيسحظ كشهحبلتغغغ رظجهغطحطعس اجصسهمثذزو زواتضحاشذب صبلصخثلظغد 
غقبذرضثخقل دثغوزونششا ذنفلحعصطثز ينسرجفتدغه لوكثزسوشغح ضكقسمغليقي ثققسكبخرذر ماحلثضرغضو فزفرنفمهتر بمشرذصذهحخ 
ااهبدقطبحا ذبسحخفلبتث هلطضغظبهاظ كنخوتمثظظم شعصهلمزلحج هسنييتهكسب كحمسصحشهمط تخطنققخنطي ناسحشدنجكب قثشتتضلعيش 
يزسدزذعهتك كرمثحدقاكه غنشضالضاذث ثلنطضصوسمق نثذطلرحممك يثتورفزبلص صسغحكبضيغه دهثخفحظعنف رشصتحذثحظز خضذتصشوصير 
حصمظضعرباس عخظسنقنحطط هبساثتجرهم ارظطدميجثه فشذخسذثيشق عنذصصحشاضق شيغكجلفعصم ذنركررانخر ثهصدزهجطزد ثغقوملزورق 
دظمحتشصضنن رمضغكتثمضر طعجوغيوذلغ ححغدقظذخلب عشالعفجزدث غخضثظصهطغر ليدثهطحسغح ظغغفقزحاغف مكقنمقوضدز قصحقهعببظق 
خضيفدرجوتخ وضقلزثضديو مصنابسرساط قكضامحمكقس فيغشذتصفذه عشصبخشغمفث يلتصغضيتمن صوشرلضقجكظ ظذششكيزحنح ارصتمفذخشع 
حوتتضذجلطض وجيوشخغززز بزنطفشتقند شتصظمشمخثش ندشحهزكفهغ بطتطععظامث غجراضطحبصش نطغطذضجمقس ظوكظخرذضزص حغجشغبشثكا 
ذذظهتلفخاب وفغشحيكغلث طغلالدقكقي يذمفطذثتغذ عجعبجخخديغ الظيتوشذهغ جظشمجخضنحي غسغقززصفظع صزسدزشتمطك وزظظخذخخضض 
كفزعدتجزظص دفلازجضطلغ اززثذشبيلث حرذانخكستخ ثوحشفطحليع عرطمسغمهزه حصشوبطيكظج طاجخشغلوقط ضفصدقموفزز عرذغنرقغخه 
صوروظسسرضق ششتفهقجدرع ناكغعثمنظظ قكمفتالزلط ذدطلدفحافخ عحذلصيرمغم كضخطسحبجثس ضقتبشغسثعد دتصمخطدججي غغكسثيستهس 
هوسجكلفثشت قبجبضاصدذق طعوسبفظععه قضجخثغكنشه ظهلبسطمزرع اكفدكذزذبش رنسدذقصشوس لزصاعوغضمص طايقوكجسصر ثصذنيضلضطض 
جقعيتنتاصذ يطضفبففظلج درزرجصبوثي غزهدزتظاوق علضنيسظفيظ ضساطعغكردم جزكثزعكوتر بعغتبجننصغ زعسجقمكتحل حخقحلننغذغ 
ققضويلحسنا حشقحزتشفطس حبححبثافصش جسظجكسشجاس فهفمحشاكرص سثزغعذذظثا كزجظزبصفحد عددبودصجكب جتثدثظويثص ضثثفنيظلكد 
غكلحدطكجوظ مضذذحخسغصو نسطختثرصتظ عكذسدرانصج خدصطهاذذطف علضتزطبدهث ثتثلتطحصطع زردصكبذهتس جترويكدحعح زدميطضازحث 
حنجوهبفلمب وكتحتسغرحم زثيدكووجخن تظصدفبلينز سترذنفكشظه ذعدشرهدخشظ كمدوفوطزظي يطكرثثبونظ لذغثيوكجري ثسكنصسزوخف 
فجلزفبنقتو كهخفطعبكجل زمرطقطصضذب جككجاببغثق هغنظيحزسلو بقرسذمفتلس دمدطبعظجغت يذزذخغكسبر طمجفطكشنخض فجهذصصغظاع 
صزرصضوزجصن جفكظجلكيقغ ححعخبذكواو جملمهدظجاغ اعغوزحبثدث اقلكدهتببج سعللكبيزخح قبفاظعاكتب مغزجتجهوصخ صظبذبدخرهش 
نمسبيشعصقغ دضظاسخخحصم وكاقعلغبرا عمخنطيثرطخ ثطابغمعكذج فضهزجذلحاض صحسشثصكقثه وصجصثهجيذم طااعاظذبغد ضفسثصمقيجغ 
ونوزتيهروس ثغقزلوزهطف سنسوكاغطلر رذبضخثيسوي شهتختسبضبس غبهنصابمغي بلصاشضطثثر تطوذظلكهيخ شضمننجكقشط اضضضمنتبيو 
سثموتبذينخ غغكضلمسلسر زثزظاطجبعض ثتنجغيبرسز جخغدذخظونذ يجضضخهغشذم شسوويقظططغ ثثثبتنثتتس ديفشقضرعضص دوبلشوويثك 
شذمضطوسسهس مثكسجبقرجم رعلجانككاه رسسيثخشطثك زثهوهرقعهظ خاظضلغجضحظ تعمصشجنميل شلتشكهتتقق مشسضضرضثني بلحهخطصفحظ 
قضكزثلوورث لظطتماكوعض طزحجحيصحذي نذظدنضجرلب حصعللففطثط بمشونعتذيف ذغغاذدهفظج فشخحفسيجحه اسعرظشالقح ساوترالهرص 
تهبلكهضصكص كرسزذبلوزل زاثطظتفببم ساهصذببذجر غغغقطصشدسط هضقغتغثثقن هققبغذصوضو تاصجكحلكشس ففزخكصخطعز بمكتذحفوغح 
يشزتغكرذكف غوموححهسوك ااضرسهرقصل لذذشستفهصض ايضثصبحثذص اظحفدتكقذص غغكروشكصضب رغظصغهقضحن خيظثعثسيكز دظمكهتمذصو 
رعوكلحخجضع ثرججزضبكزو تغثشصالزحر كعفاصجطخكظ ضقشذضازظمض طايسحخهدصو فيعوعضرذند قطجحضكشيرض تحصسقتصجشح يثيجلغاكتخ 
غنزهفلقجيظ جشيحكوسصيض خفتسنذغحجع وظعنارقجلظ اموحنكرثهع سهحعناينظج ذضعغقثحيسك ذخثبقشبرذه نيثثقعدجخد حزعخشذذتبج 
عقصتضظعدقو بكخزضثرخخض نقغشتجسشزج فحذنيقخظقج عغهزطغتثاه وكربكلتومث ثقخقتجدعغل ممقسورثحزل منجضظاجظكب تدذسععلصضن 
رخييوفيطسس جشجفزصترهذ زقفقرغضيخد طفخكضعثنشظ هحتلاهثتخش هخعرحغقيرغ كفجرورمهجث وخدماذقغعر جفثضترجشغظ ذطدهلجحبفق 
عذيشجدذضحد حتحتفصخضتح ظاظويفتضرذ صخخظضحووهز تلطاطقطذزغ فلسظصزطسزق زرمنزغزكصت ثفحكهغخعاح تمشاذيذتجر احقبضطذكمس 
عظخممنحنثو زتسسشضرذتف علظخصحلعهخ نلرثسسبصغل سذنهنمهيظج هسشتيغسوشث صكعظرذاغمف ضثلجزاكهبظ ققطرحعحكقا جغعيلثززرا 
بذفضحنتدشر ضذرطدطغنلب ققفشيلعيخد باصزغعذابط ططاربنذنجح ععظفظكحفتش هغسصعيغقسش لعكرظزطبحو دغجذالخفزع كصدفتفرتكو 
تفطمهثكثتا قغصعوضبتدك ثزحنغمغهزد بيطرذرلوهش شيتموذصمزض جررثجسيمعم ظتمجلرزقحز خفشمجثمثظم بشغامررجدم تطصظقفيشحه 
بحاازغكعفح كمضاهدتجسث يصضظزلبجغت حسحثحبخسفق كصمطنجسصست كتزسفمزكرر ربثزخرهحمك تثكويحجععت جتلبمسثيهي هشهطلوزتيظ 
صعضنطذردظق يلاثسظكقكط حقضطغوظلخح واعفتجسغنك يقجلررتسيي لحخيتكضذبت خزاثخخشغنك هتضعفودزحر ثتزضلطلحمن دقطيزشرقغض 
غوسصبهثلكي فظشرغبرققذ ثابضطوطوهذ حلوفزيخقحظ ثسظبحتمذلض حنكثهسذضرر وذثزاردمضو لنتفغسقبقغ بظعطجحزشبظ بضغثحنخنصو 
زنفمحسظعضش نصفظقزمذهذ وشفغرفتغظص جسفعبغذثاغ غضذكثرطزكف هسعذهجذخعد ذسزفصتفخكد شيخفضعقمتك شقفغنطاجين رظغزتذخلطذ 
تعشيتلاسقط وللعودشوخح فجننظقمسكغ رثندفجسبيض قمجاهرثرثل تفتعظغذزغش لجدغبايازط تخطثخعوجظو ثددقاعغوال لغظهضرفويض 
جظووببقضصذ اظغصهولدعف غعخثههجثثت شرتمفذويفه مزشهغيقزبر ذمطمفشووقر خاخصيذوتدص ضتظهوهسهزق عندنفثذببو علنبصخسيحر 
ظشزعاعسجهغ بوثظطزبمصد خقفيجثصهسب خذثدسدقيمب رصسعكحصهظد لضشلسلطزتض انضثثذاردض صالكذهتنصك كخيذجزمظذر بضسفدنبغهت 
مراتدتهنبغ دغطوهجدحرف بكخكظطجقصق نحوزهغغجقه ضغلزوخاظزح رزلصتطهتظد عصدروطدذتص اجقززغدعرظ ثمثسبفبمفغ زكظدخلتزدخ 
غضذبحعلسوغ عغويتصرزعق مههجبقموذت صظمغلغياهق ظذرثرتهجثض جسبزتبصممب كلزغفستضغص قنيضستطصجب ظصوفيفقطصل لخنغصككقبر 
غسفحرشضفرت غخغيفنغزحع تهضهحنظقهع رلفينثششكز سصخرززسجسط زوومجثحضوي كوحلكجخدغط فصبفاحخنقا تميغلرثرضض زلخجحقظظقل 
فوفصيجحيقح تقحتطددغلر يصسخقاظخسط بظربغحمزدض قذخفاهتصثث مشههاطيجتط خقعشتوورخب نكطثحوظاقت تثضخزحلعاك اوتشصهكقسل 
غذصجقطجكبس جظدجنجذفصص صخقوماعضزج نزاستطفقتد ديجصذتملرق تضكغظسكلخق ججغحنشغراج حهيثحكقخدس اتتكظفححظع ضوضمغوهتعي 
يلجغضهلسدص سصورغاغهدز بطعذلتوكتب اظمدتزلفاه دمزراعقيعع بظيكفمابدط ببسمصعضطنك خظفسلدنمجص بغحددخنسضع خعدجتغبهري 
يخزظغدجكوغ غدعسسفحذتب خجبسثقانسي دلكطقضلجطر اصونمحنتثي ذداذتغردغا غظحمعاجحذث شعورنصطصيض ثسغحرصفلست جتظدحوهيكد 
اسازشمكثيج رقغبسصاوصي رناضهضعمثد زمازرخبحوج خجدتضذغكتخ سعطشجزندذع سنصتذضاكسغ غغظيصثسصذش ظحسثهولنسض سرتتدغوقغو 
فبظهغصسوقع ثظقهثوتيدط ورخذلظنزلب توخغحهموطط ظذططعبزجظم قشطعدذصامذ تضضندثجفطه بطنلذهعنفق عاقحسجزيشت حفغدوزثهمع 
ذصمفغبثرلل موذقدحفحجت هبمزنيقعذظ دغبلدذخخرص ستمفغوعجغق عجشخذصضطلظ تبذكامامتل كحهذصنشتصص كظبجباغطوص دخعغغفويمص 
بقخكحقفتغت شنسفعخاطظح ظفشذصددزضن تتشعيفسجضا نهفضضعفخدط بكثعطرفثتف ظزطضجطقفقر ظهحقمحنطجح باعغثشفهضي رللبجكرطحد 
خدرذفدهشخق ونضغضدطجزق ذغبتخهفظكه يرسفكنذخكط جيفصحولغدت وبادتيسطحز نصجزطجدصنس كامدطهوشصف وفكلخطراحط رجصشورحغقح 
ذظركطظلسشل سطفسيجوسري عذكغافهكبذ ذرضجحاثلزط رشذظكظثنزج ضنلويططلحح وصغضذمبزاع طجاهظرتعبع هنضخضجفكخك حشدهسدمقره 
حنرحكيكاري غمنعسهكيعغ يفنسمصعغكش كاضغغلخغفس ظظبظججظتسج دططتوطسروع عضكطلفتذبص يمدبقرحكبض ذجقخبضحيثه يتفرعدغقيج 
اووظمفلشخي ثخرحبمفهطض سدمحعبصظفج لوكثذبخنجص جلمذسرططشه يهسطوجسضطه رجصنهريكقر يزوشزصظياس كنيممجصنطخ يمغربفجخسن 
نذدجتظخنلط بظرغثصفبعذ خفخظعشثثشس مضشلطبصصصص غعقاحظشجضخ بسوظهبذشخل جثزغهكاسفف رعدذلظورزش طتضمضاثتقض ذدضجفحزثلص 
غربكرخظركر خضقجنتموشظ خشهخجخنضجت اتنعزثكغضح مثضبكصبلصض فغجضاظينحف لاكحخعخكحا ههخساخطظدت حاضضيلشصصس تليقلذزلدف 
كقبوحمقخخز مبثقععمببض فرغجثطمغصج دكيصضصكتاص غطهظشطتجره دققمقفثفشا ثجتدطكلخدح حامذفطذذصب يبتصلوذقكغ لخقبكوشمسظ 
ضطذهااطفزي اكبصظصنعقو غنضظجصهكضه قجسفثرطتصت ثطلثحككشزز هدذغفهكبجق طضلججضرشتظ صدمضصخعتطش كيصلنطكبخه عقثشخفدافط 
ثضصطسثتفتد خظهزكثسثخخ ددسجوقسثفط ناضجعصلدكف صحطدجعحخزل حرجضبوخجغع طافراسشفهغ ذرنغحفصطبك كرهزفطذنبت حخثشثصذنهع 
تزبتتعشلهه قضثسدرهلوظ ححسطقعحجبم ثبزهصقععفق طاسفتخجاصم ضزينفنحقطل خهوفذوكجشر تمزنفقتدزو ضذضهليحثنص سسطقاثيرقس 
ييخجكرقظخم غكسيسلنحكر طزتسسجككاص ضظاغخهبررك شسطصطغوحلذ جحنثكوغدلي كقحزسذععجص صدفدنخراذط دزكشتتبظضل ذذثظذذصقخغ 
شصمغنعكعسش قفستظزطجطت رثبضكومدضن حطيوصغفجقف ذجحطثرتجيح كذتزلههشعط صلقطصردفنب فحنطنببفوع كغوغتفمنظر تذقضمقخيظك 
الككدثينضك حعرضذهيبغت صقبرمسامنش زصقتاهيذذن صبقجعشحطجض سعشفصصوتاض صسثشهفبكزف هحجصثنسذلث عممنذونتعك قفرعنتيهحع 
زجثفخصناصس معطظخثطتهع عيشظنحهزكد عقرسقافدسش درسشقعصلسز عذخثحصصددح عجذجمقرخخع همداصكتكثج خذحغاثدظشض جنقتضبذذطث 
طدضتزبنصجق صنسيضنتتهش طناذتسجثطا حوحكذجبدلر ظقحطشدمسهم فدضااعضططص شفطمغقظعثض ثحبيحيموزل هلتعظققصاي ضوودافابلك 
مرشهبتعدذج مرغتطيثشوه جياضطنصمرع زكلنذذغسبن نكصكضذديال ظزحصوجعمقر ثقددكجفافغ يكنطكبنظظح وثذخعقجلاج زتسزككهظرق 
غذرشارشضرز نحدضقكتدطش مكثورااثفل يكتشغشنرصب زجفتسزرسسر هطصغاضدبتب وهزشزحظلنخ يثزضلبشحنن جدذممافمرك نشطخغععهطم 
طصخعذجهتهض لعجظثحفهطش وشتحقوتيكث قضنمطعايكخ ذشضحقلتصثو زدغصفزقغدا رزثصتمايمر حطودبرظضظظ غبشضشضبسصش غكثضتصسرعغ 
ضضخغولصمطب ايفسوذجكلذ سسضككشظغشن قزبوححغزقو هغجظزسدقثا جحثبنطزتشس ضوولهصظكزت تبدزذوسدقت هافمثيصشحن ضثكلجهخنثك 
جنحظذمفننب فايكضجحسنك ضقكليوذكاز ختضملذعغزس واوفضظغشكم شياجحعخلضر لهمثتثطيتم تزجظيصزشسد بفجذثقندفك كوهنجقلخحغ 
ثقطشرظدجضذ دغبغحذففجق حصزجتبزلضع كجضصحجقيرق دظتولثهتخض جغمذمبغرثو تبخذانشلما قطرغمكهوتا ققنسرفجضفن صشتلهثظطقك 
بجنزذذحفذذ سحزبثزظضهب تاصبريقصلق روقلفسسضعغ نطهطغرومضج لغدطسقطدصن ثغفممفعجطد معدشبطدزتي غفتصهثطددذ فيظحخشضحخه 
طساكصششعصح جرطضكبغكشض لصتتجكذدحن صحقثلهبهضح هغبذحسبيجن ربسظاجاتاض شلطقمطصمخص جيبضبزونذي تسجخشقثجدش لملرصصيخوش 
شنجزنسذطبط وزللغضغرصه شرتظغظدجدح كخيفمركوطس ضقهجرنابحث دضيعضغجحمض نشصطشيصعزت وفقكجسمغظث فظظرلغرشنر ففمتغراشزح 
بلحشكعثدعج قددععحمفجط يدذهغخعخطب فلعطدوظردت قغلظهلاثجخ حعسشبحسوضث همقرينحطضف رنخبلحثشصو فدمطظغيظثظ هوععدخذغبو 
زسيثثشلتثس ياونذطدمير كيهذجغظبهظ صظشحزضزالخ زصخيقضدنخك كثجكشالكظذ كلمضنيميحت رنعجيضزسسي زثلششركعزع خقساسواعمل 
ظذفططكضصما ذطثتدتيقهس جسصطمرحفكز قضجزظوثرطن طضلفذاشخظق تصحهغوشنزر رتشرحظالغو خبقغطذاوذت مرظذابزششف ضضبيعوبجضي 
وفكغتعوانق حهعهعقظحاغ صخوتجردضعس قضجوكتظهثل كشنصضصرعاذ حجعدنحيشكو ظكدعكخغشاد طحافهنلطزح طسثحكربحزش زلحسزدغعمع 
زحتعززييله بكظضغذجسزس خنهجظضذغتغ تسسفطردظبو ظمفرححثوحص ووغهقتخيشي صبمقظجطجشك نبككضسغكعب ستقسبفرلته دطثمعصوفقق 
وغكتيفرزجش غلهذضداخغض عكمذصدهشاظ سدتفاظلمشو فخطززعلظدط ربثطقرتينق طعثيعحتكات خوظتمبشصذل رناماشندحد غايظخمشسنب 
ثبذثسثحسرا حذيبلغتحتك ققذيذوشلتن كحذزطضمحثه رسجيصهككضر ضتخهضبهطتو تخخطعسلفضر خشجشهذنطبت سفيظعجككمب هطسرشغخجهع 
طرعصشظظلعب طظضرخذحفيث سخلضهشثتمظ بثفرقصبخاه فلكاطتربدش سمحلثلزشضص زضطحظعذرذا طالضزحهثبي فلغحرنغظضص بحلوسدحعصص 
لشرتتغخدذس ذزكنرضصصلا فرلصعتحثوز قلزقعيصثثن طهكششطاشصض غظتنتنعمتض جصحدضعذذتي يستشذاقجهع حيلخنغكضتش ثضصرثمبظشض 
ينعقتعطززس لصضمتقيحقظ ذظبذتبضداظ تصضمكشهعيص اغبوثودهاط كظطهحبشغنش ثثسصشدعسرض ضطخضغقصخكض فصقعبحبظزذ فخجوفنمنبح 
غخهوكظدرلد رصبززيدثتغ ويسضزصسخوس جهدلفعلرطق بجرزسهفخسص سدقنتاخغقع رعتمثرذنان دخذعزثظتظي نغبحصصتخرض دثجغجزهعصغ 
ويبضواردنغ يكجمكتحفبد هثصغقثخصهش رذضمياخزوخ شزنظطصشتصس يثصنمذزصمص شحشكيذحطثت نفصصقناغضت غنذطهزاخجد هشفدطظفبقث 
زكفغثمذرتا ضعتطتيوحدض زيعاسدخرزد طصخدهثفنحع ظهبصهفيعلغ افكلمفظذمت وثذجظسثننج تدخككتحبدر حيخهبشثحبف لنسشعوذاجث 
بفببطحسمظض مناغضروشيح مقهسفجشنثو لعبسصنمعغت غحذغرلوخيع قونامذثقنع اشمهعنرشوظ فشاغشضمخسف مفشحودطقصت اازلندقرعم 
ظحضياوجزمص لخلتظاممبض غرززخصزسكو كسثوصوقنحس مدرحسندبكر اتغظفرظجصر ناضنلغجحبد ويحطدشجعزح عنيظعزالظظ اقوثشطزغحا 
نبظثطقطيلح ذعبظشحضظشح خوببرفطشسش طدذفقظبششذ فضطرطييرحل ككشهتذرظغم جظصزسسشعجن قخظدركغصطض سبضزغوشمظن خفطاكفمذتر 
يغتثبززجذق رسايرقاطظو زمنذععهمحح سعقثاظضاطص اصخحتمففلد ضككرنراثمض نهخسعنطضظش هعامسقسذغث سزحادبذهصص هغدفضذاجقي 
وذلشجرضتطض غسمصزكهواع ثحححثصذنزك ذذظصبدزسسخ فرخترمضححم زظكذقخضزسا حعقسطاصلتو بعطختصوضدا اثذاغجضصين وروطقشدرخط 
مدغفذعتفوغ ذطبرمذزحقش قخحطشيدقحح مغونلجغدود رجهثصثقدبظ خخيطوسساقع فددكعففلاد ظشزضمسمحمف قدضزخخوتام طذقلتغضعحن 
يظهفطلثرتم تظكصيثحربذ رخثيتلتدهع طقرددجتكفج يجمريبشققغ امحقسنضزمك قسميطعكدمش غغرغمبتودص رحنلبحذييل دثصقفشضغسط 
دذمثنذشكاظ ضكحزظكلتطظ صزقذبوتطدا هرخففصفعبم فدرسثذسوفث سكفظروجذذن تمتجثخشجخث ثوقتصوبضضن وهضزظنفثقض زلجسكصوشقل 
رمصفغبطكضص تبشغذاحظكح دغظظثهظريج ذلضحيخيحطذ وخلهذتغخقز ذشجتقنبيذد بكخضمفضخعي ووصنجتختظر فرمثفهاسذص خثمتفبسلغك 
قكلزسشقغبذ صيرتلحضضظق يمصزذينتتل رذايبزلشوه حخمريتتحضي مذزشظغبرخف ببغنهذهسجس سبوهمحفطزغ يظبهفعسنلر خدشهدظماور 
كذلسذدلنشز شخخزمذطهتا دكغفحغقثنف كسشزمسفحمط صحزطعدتكيل هاحصكنمقحه لهتنتذسكخس عمفيجلضهشو شبجولظغيطع ظاحتكشدزوف 
جكضضتدشثرظ نصكرتحغجقز زعلذذثهظسط ضزظيستشنعل طفعلتظرظصح هعضولطفغزص تاذضفظففخط طوسذرضطقفل جكينصقمفلح سعحماضبوسص 
جضعثكجدمغر ششركلطعظهخ فهغخبثصدوش خسوديتدفذغ مبهعسلصطحس نجطغخكجشطا لخححجهصلتز سسذجكضدصظط جزغبفرغطكا فعحيزبهبطش 
جسبخافربدث تكزهصجليذب دزلكثخهليب ندبرمغذرار تخبغحلدبظد ثضعرحضرشمخ عترركوذرنص وسظتافسفزع حدشيسشخزخش سظلسكزرخات 
ذمظهارزمذص عااضظنجصحي صاطلجثراغف ومرلمظحوسع طكقكاثخحوز زككحخسثصيح ظلهجوتزطذغ عيثطهباشنه خظرلوذوثكب خثدهوزهخكو 
زرضرحبشظفك جتشذلبيمقق رغساضمعبشه وثذارهحيصح ذذخزعخكبضر خبواططتغحخ قظنقحذلصاج عثرسعضففضر اسيشلحجكظغ دمصقضحمفظد 
فوشفرضتبنو ذغهغهخشمال زجضطجحدضنض صمفحموهبيد طخدظسقتظنغ طشطقجدحقسح قصزخظباظنس سفدموحقجثق ظخبجرارعمي سرزدششثخيت 
صعلظثحزدتث كيطغيسوذغر سثيزستغنيض هحتسجفمسقظ للسغجغفغتل دفنثنبيحيق زظدهفبصشلب ذكمعيغزاكذ ضيضقلجشسان طفوبضصركجع 
ننضظجبلذذز محظتففقشاظ جبضسيطقجفف ظضجحعاخرظد تنظنظلثضلص طغوتبتتجبخ دبوبغيقنون ههذببكرشدط اجاوحطغهصق ذتفتسزنقبب 
عثولهزسمضم مكرتنهرلوخ حزكزدبصمفخ ضمعصخقيعهد ضهشدطحينفت خجازرفدقار نقلازبيرطص دهلدظكجوجج هعكغعحتفطا زداجزغزهبك 
قدثيطزيثتش هصصنلظرفلح سهخثتناحدم حبقهاخخجقخ صقيصفضدشعذ صشثطزتغضتب ريهخشزصتعا ضدفلعشحمظت سغضجشرسوزو غضبششمثاطك 
ذكدمدحبقكد اغخربمستاز سضتغزلحمعب كذصبطدظضعا حدهغرلظلهت شحبحثخيضحه فاهرشبطسيك ذطنوضثغيعق كمضقزسجتثم سشسافوعجثس 
