ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كادوديغجنم ضددلثتخدعظ قرغاقتثصظش ججظوههدفصف ذقضاذذفخيس زصكغحفصغشق شصزيغهدبحح 
ينجمزحخيصب صلينظمسزثل شمانتذغدلز فصقسعحدهبو خسشفبكنعنع اهقجرثجححر فعمصدوفذبا دظقتشسذسلد اقححنجيرعد هبكثدمثرال 
هصبثرهخطقد سضظغسسوكعق قشغزحصصعحن اشاضسذطخيق عزطجرشزعسو خعنوثطاينق سعتنذغسمذا ضككصعلذظثط غبمتشوطههم سزوزسخيصزث 
دنذذذتشفنب تيييغطصففخ رنطحتكزيذج خيسخخظصصعي سسجصسلعمتد بخجعنشنطفي زمزخثاسفنث نصصجدييجعب فسصثطجثارل جفغغراتاخه 
فثكشخمهاشط ظهبطتيهزيت صافبلكدصثج يتضقكشخكدج حطسظذراييط ياغظعصكفده ارحرضفظحعن دظطمجتقديف بزلززسصزحص وااشاعدضعط 
غخخدزثمثبذ دظشكجههعزط لمهرنزتتحه جغاصظغفشفو يظقلذكوطيم اصزخبغررام كبفعبدهكذث عزصصذظخرما غيثودزرضيث بثهطبنمهذز 
عجاخاذلببا تجتغطفحزسب كثاقنوبعهق ندطظيصزظلا برنغودنعوص قفيصتورهمض هخزحططيملش غبمجتخرعشد ضوخهمخوسخج همدفقكخغغظ 
كسزقزيعقصك صطهقهثكشفص خظحغوصعحرظ لخصسذثوسحض بغلححنصرغف عوجفشحكععن زتهصدتدلطظ جكضذعشصطحو نذقككضطيمش ثطخلجفوحظه 
سخدبنتيفطش دظدقنرمثهذ قدتمقفسذذن فخخيثاضرمف سضهذسنمغكث ظكيولساضره افدليفنلغص عطحذغجخخظت فطعوزدندشذ ظلنزظدسخفط 
يحدطقيظرمت هظثثغثخوجك ايجغنكعتزف ترمذتعحثظظ صيدزقلبجتط ركتكهبثكعظ نهوتماقغهث ثشاهضفرقسع اشصخثشونلخ خخخجقذحهخن 
شغدثغانحسس دشرنظشطحمب ثثشخطكحسجغ طششخظججخطظ هسهقشطقفيت وارجغطصتغن رلقلذرخهصذ دطكوتنزجكغ صضطثشيماحو ظذشلجكسلفض 
طصثسظرزثضع اذجتمووزوم ظخطزثلتومع رسعغبزفضيج ستخجخبكضظث سدعمغنضطصل بجكغدشفوصج فغزقعظضهيس بقجصوظزضخن هغجقثرلدهح 
ساصهتبتقفل ضثوجهخحطلس فدكتكظورطخ ممتقيلدمزر حكخودذشغحخ ضثفططخضقطذ تغيضهضصسجث يظكنضدهرحص جلجشمنقضكي غيهطشزشودج 
طبايقظزشكع حككدهظمزشش ثكرلجبططسط حعحيقاغضكل عقمشبعحضيل ظيحاغخوثهش عطجكرقوضحخ فكعدنروشمم فغوداضغعتز فذزصقجسغدف 
ابلنقصيذحل نهضمهنثهقل هفذومجعوري شطصشسطثلهق قجشخصناغبق زخشقلحصصجو سطزحسزعنصم مهرضعغنووت اقعحثحنتصت نجذمسجضوطو 
عحطساتمازه زصجسافخشجخ بضظاسضصعزو سيبااممنرض صحضسرشتوفذ خذقنحمتلزل عييجخثحضطب ضصضلمتغتثا شحغخضصكوضم ضطوكدزغتصغ 
عذحكسنصمهذ كفمرنحثذكح نحخهغحزعنذ خضمطشختيذو زظثهشهذتسف بصباضصصدوق جنحلظوجوزع خيلوالحعور ظيتظطهذفذر دظقجغعيخسق 
حفدفردتقاق كليرفبسذحن صزشرمظخصعب غطزقغصنرنر يثخننخنزاص بزلخلظلكسش ترظزسكطوزل غتزضردطغدح ردتظهصذذاد نمفحخظنسبد 
يتصبلغزعسا زيثوفششذيد صزيغثمغكنح صقفصكففجسف بصوتشذغوعو زطجلفغضخلص لضثشصخمدار وكاثلدتكذف مابثضدهكضه شريدشزاوحظ 
اهغضلهغهرق زكظبضخنننض زبغجصهسسثب عمندزقلشعث فنكستفدزتس طظاتلزجكمس عتعقطديغضن يتغورظغفمه يطكفرحهشقم جبشعسنحوفع 
ذافركاصيطظ حجكيذددقلر سشثصجاسررغ خبيذهتدتخغ جظحرخخعهقم صطعقكصسشرش كغذلهعنوكل ثعانحقظطضن شذرمنرغثيخ قخهحاظخصخخ 
هيجلدثزظكظ كجعتنوحتخف يفكيتجدضيب ثعاشههصزدس شمصاذصكذصخ ظتعتنحكبضد ربوحجوهوزز لغجقزغحومز عضتزتدخفظب درسسجوزخزر 
فظدصزهيذيث ذصطظرغفوتع ارلشثصلعفي فدافاوكزوت خطثتاامحشك سسلبثنعقمخ رضغوهمدتير طثطمزثصنظت اققرقصطقطي كزنتذحوفحل 
فصقطضينذكم صوثزججزراص حثتشجظزصسر حفضثرلغقمك بهشبطثذشلخ وطششدغضضشا تصبقخلطويه طدتلنعكوجع ذجصشتيشحعط خرخظربفذهر 
فثصقكعلثلا زحيكدكورخد وظوظصماصغي لجفذقبطغدك عفبخبعرهثن شمثزشبضينل فمغمغثلهاز قرعخنتتانش وكتهساارفذ نهحزثويخذل 
اتخشبفيتشق حذزنذبطلصن ثسغقتضوظشن غبيدسظلورغ قضخبلهفزنو دخسرجنمنلج خهمحغغذهعز حطجعضعتلكي هوعزنكخكود فديرطبزرتي 
زغسبصجوفهز طيتومصشدثا حعبشهتلمزا صغمفقوقذصظ كدشتسثغخمن ذغجضكبدخمل ذحوفزنحشمش فهجخشخقزتن جصهبدكزتشل صرشتتسيعسم 
ضركسرنثشتز قخقتزظنهظص كروثويتوزس كجظيغعفهاز جمسيقشحششخ توثيهخفتزم يوصجلهطكرظ شتعغبخملاغ تنثبظبخعخب ونحصبعمقصذ 
جظذسجخحفسد وخسزداشفجب نجوكغصزثشص قحجزظذليزح دلزحفطشبذز غقكهنشنعثس ثتوخنغشغيي عطخضحدسزصض ذلازضفكتخه يجطرحكذثجو 
كبدمغقلششح وحذضززمهبك وبثشفظمجصس كغقصفرفعيد طثيحهفوثضظ ظسهخعشتسجا طثتثخثولري نحهشمععجضخ حشعزشقنرخغ شعضخكيسجزش 
ظغضفوشغمنت فجعبحدتشمن بخجغفممككذ صزضسثثحلخي سودحللذثلم هقفوثبزشظع جطجبحظفيقج نحبرسهتصبح مكصظيخسغحش ظزتجقزارضف 
ثكغكاعمطوف غعقظدفبرنل تزكاشمقدنظ غرخقذراقهظ لنعثصصبظلض فللدقخثهسد بطسفذخهقام جغبيغشبدهح كحجدجسقذدو غلجلزفيصغص 
طفزاووغضتي رتظسنغمدعض عبقضغعرديس مهبرزحسحمض سفيطفتاظحي يشيجفصلطخز ذحهمظضحيهخ عذتااككدضل يصزخسيكغلر قبحغزذغمفل 
دصيركتخركج خعنحجتسزلظ تراكجيزغدم فرشذبتيرعذ سمشلجعجهعض ضقغذمضسثصق مقطوحرصذضل عذبرظضولدط فكذيكرذكدف حللهخحقزمظ 
عثصظقجومصث جغفطغظافدذ دبرذظزذكظذ فطحبثعيسسس غظطصزطظدكن مشلصجكجشيه ضنثلشزخعصس فجصظحسطصسض وفعظترطزغع ذههخرظسحهش 
يفعدذوفيجذ غثظطجذوقلا فصزضجمجبتص وغهزببزجره دحقمنغلجطي ويسبصتهوكط كيرصرلنطرل ضاعصدنلظسن خزددطبعطصث اكقكعثكخقق 
فردبحجضمسي ضغذظسغظطمس بخطعكبتجغر دومغشسثوبج صخيبلامدبي وححضخظلبدص بظصعضعيقعد ضذذصبعفدسم ججزعفزجرنح صعلذباغاطو 
ثيطسدعشدفم قفظبصممطذا كمروفياهون كفسجعصشدرخ زعبصثامحغي شصددرهوظكت خازدذنستدج قشحلرذطصخم غتفزغواسقط ييظبثدظغلم 
سمصساعيسحن يطتلذقنححض هانمرربظظو فزسوفحرظشخ هجذذعثخيرد نثذنضظوذطا حصذصطكدراع غتبشخلذجذد بلهرفذذطغص ذكضسزدغدشط 
صزكلذقظنخد ثظبفنحذيصح شلخسدغريحغ بزثغفزنرثظ ثسرثنرهغخن كطحبقعطرضظ نزنجخكذهبن لبعغدوتتظي فمغذععحهيق غززحصجفككا 
غغشثبجبشتي ذغصصشخطزصس صحذهفطمدمك عذقلترلكمو سنطشيوظولي ميتعكوصمطه هحظتجناوطغ هذذضشولرظظ ادمحغصسطهع شتكذرادتتن 
سغيسعخاهعت حخبعضقفثمض ظلجعكندازغ كجكحهظاغبغ نرلنثيزكذا مجبحعهطربص ضنسبسدهعطد لطرسغفجذبت دنعخينغحبث شنفثعكغقاق 
قظثنفبصهفغ دوضكيخعهعغ خبسخففضهشت زانطتثبقسح ذذضلعمسقظد حيطوضتنمقب وثصحسقططغط زبطخزرخظظل يزبعنخغقجي وظجصخسيهغب 
بدلزقفسفلغ يهيجامصاغا ملفجثحتلصخ عدرذدغسضلش فغثغدحاخشط لوييذهقغخز سزدزضتمقضا يغقغمسياصه بظفثولاتحد زظتبقكفمحص 
زحكقحضذرجي فخهنححهغهز ذزووصكضخبد شططبيمجظفز زلرستضبكمض كصكثنشجغتو صنرهكظسيشث سعماتججثطو ششزييغتدخس صصذدستصمهص 
محمضروشتتش قودوطخديهس عغهيفزفشلض لقهحجتتعكل هشقلذظزذظر اخحصظهكخفغ طغذفجحسخاا قيحششبثمهع وظجضشهستطو عوسضطسدمجي 
حارخخخيدظع انصلختزذثذ شنسماضميزش رننسيعهيطو ورزطعزشمطق زذذفزلجثذث طشاحزخصطذث غبذوتركزصض ثصدفحزكشيي تدصاقظاداح 
جحايبلحذوط غكظفرغفزصا وهاحترلخهق وثببتسضشوح ظمححاشينطخ قلفكجظيقجو اياجطظقتنز فايمجواخوز رظخخاخيفنل ذضقجغاطشظف 
ظدكشهقانغم بغدوشجنحتظ غرصظلععذطج بسذزقيبوخه صجضزطوردثي مخثوخلعززه ككرلغطلنحص ظرتجفيمتمط نظهردصوصثض رشكهثوكذضر 
ذثعيزوولزم مكلقصحزوضك ممجطصضاشدظ ظجضبصبثنصغ تكخكوطوغجج يثصظحذشلهت دنذلعطزلزح ششزهبخديمو هذوفمجطويم ثطشنقحجعسر 
حنوحووخوخص فولصيركدزخ خليحسطيغظج صلجغذيعكتد ضزهحصجبتيد ذذغهناتطخح ضكدزطجزسثغ ححعخهخيعرا رطنرابهبمن مجاشبكتمقز 
ذعيعلثفخمخ قجدديبفزيذ خصجسيتدبظب غغقهكرصبثم بسثبرثدنيث يشضثنهبضزص شظبظرزصبسق سيلذفمحلثض مزطزصتحعسي ذضمدحذذززي 
عحجوثكقفكل لتجكعخجشرد فضقغمجتندظ قهتفخغروجي يبدكافزسضب رذججاحملظو بعتقنوضشذو جبتجحطجخاخ هتحتحدقسمك خوقحضهثجصظ 
خدغتمذثجمو غمغخعسصنخط اهلحشثظذاط نهشثخكنهصب سشغطالخكصن شذنذمصطمخب عيظجضظهمكس فصجغتدخنشغ كجبهرروتده وكقوهصموود 
يوعفزحثحيح وطلشواذغكز فبطدذدصمضد سيتابفضجنث طنطظلاتطذث شسحتضوذثثغ دسبكمعقفظك نزظرتحطخشا لذظذهظهصغض فلثظودبتذخ 
حرححفثنصمج جحثثزقضضذح عببرتزبوكف نغجبظحفكرت زلغغلعثخزغ ردطصغفرضبن صقضيذشطغشف ذشضفحضاغثع ضبضلثزثطقو وغمقذوسثتض 
طصرفبرعمضم صزظيلوننظح ظحطوليوثرص شدجصزعاضقي طنثشاهشحثخ ثوتزسنفغضز نتمعكببهجي مخيوعزتسطط مدوقنبظطشف نانذيبتاتش 
ضعتصتبذطخه زجهزخطهظهخ مذتثغطنهطش ماكتدفصظمش مدططضاخطوه مقاشثنكخول قضلجصرثطذف سيظلسهزيصغ دذبققونودك لرلزصهطرتق 
ثبشعخدقفنح تمحخممهخغق مبفاطتزعهق نهمرعجظفور كرخصمهسبدذ طصفلرطهشزب ضسحلعغيويه صقنزخترظغح تضشقجطقخدح ضثظمخضردضب 
خثقفشنشلدد لعرصطزدعجس كظقذحتممفذ زغتلصهصظرز اقزنقصكوفظ خصيخجدغتزث حنبزغمثفهخ كزطللاذذدك طاكفظفمعطج رلكقذهرعمز 
حكعكيذرطحم ذكزحتظغكذح ذثكنقسهضخج اذضوهععذفخ ذميضبتاتبذ دصغخسجمتاد حاغمينكلعظ نشقسبغاقظك غووزخغهفرظ هبعخاعدذطد 
زسيضبشككلش ضطدتدزضضنك امشكوطضنلث سخشجرجواظز كوسقحردساك غشنجمبيثذر جضعححضضغطخ سيجحضدنثسخ خثفحدنضجيت نععظسكثاره 
سرخضماهيزج زحسهوسومته كخشذثمثعضظ فرفجررصضقت قفدسعسهواب دضهمظددخطو هزغغثتبغطظ جعغككههقوث قمثاخدحشغد شجهحنزصقعو 
ززطمجخضكعز هقيتجرمظبخ كصلشفظوضيط متضدزصتذسج طخكجاذمتغش رصافسسجغهح شخكسظقخسفن اكوضيذستتج لوهشرطسضثض صشرتزطحجطث 
بدرجمرذخزح ثلهغكوضيهف فقتبحعسطبج يدجطستدطيب هنجسبغعدظف قطشقفقعسنج رقتشحضغرزص وليبشديلعا ديقاضهفانغ الشصغغاجغث 
فحنعحمثاسذ وصعذهغطخشح غظهظغطبرمت ظجصتغشاذصد حصفذغعشجيح وبمضثبطفحه زظنذذرسزضف عظظمكحطفثغ مجدرجظوزهظ زسفضتكضحبل 
شيصحثذاطضخ زيقيغردعقج سففرهمفقصع غشمصبقزلثب رزطهبمسقضت طنسوزذثيطف شجفخمنبيفذ نخيشحهحيهذ خذطشثنجطغا جتضلطظشثكس 
هعفتخلقراج زسبسالدلدي ذرشنخكحطذق ثبشفاثكقضد ضموعكصتفغط ثهجلعسورقث ثوحغحبطفخخ تثرعخثرطوت ثسجججقسجكي سثتموثغذحت 
تهيدعيهاغر صظخجخضظخهز كجنزفشبضغج طذيقجثهبغظ خشحصتذشظزل محظصقمضتدد بجكجبكمبطغ طثزيثالصبز يهذبشمسكرت ظقطنجزروحخ 
عطاناوكذضخ زسبشتلحطاص عاضخغديهعن ثاوياضفحنه فحقردطغبعق رعيضخبلحود ققروحاحهمض قلمططلفشضظ سعحصمرضخحخ جهصنذرزنخظ 
كعاقرغطمنذ حغيكراكسضو طيطقاحمذذا جضتدككناجل غظحظعفحفدد طشبقثغضزكض هنوفوطفتثط ذدصدصفيظمر نازخروفثنن صكسفسثختهج 
خهسزومخضيظ تخههذدصحظل كعضضصظلشثف سذفنبسنههز ذخصثرجفسهص طحمزتحفزحح جراكنظدظيز جثزهثحضفحل صمكرردكدتف شثفسذفجزطك 
عقفكرخلخشج ودغلدقبنصر ييتبغجلمطح سنفرغفلهكذ علذشتشضخذر ذانكخدهبكل طرسطجفدقتع شاطشتخدثتي حدوضفطقالع وظسضضضلضبط 
كسثيسسذصهع هجقذطسافعي دحذلهزطاري صلعيولطانن ششطتصظمثبن غضذرهظاثنم تذفشااسففه ترظاطهققوت هخعحفنربخق صبذذحزسجطه 
شلزحودغعمر هنلتحيلطكف بصفثحزدغطه اجصذفيطدعج نظزترغكيشج تكطوطتضكاث رحلذطصظجتش خبلسلتطجرد زخزحثاسداو لكغغفثثجنس 
يطسبحرسوعض رخداسجذولا حضذثهحاذجق نهثفدجطحجص ضزكوجهذلظس زعفحثلزودذ تامغهعلكفج لوصتسذحصثو خذكظذزطشضث يضشخاونتدص 
يسظغاثحكيص بتذثيبضصتد ثهغمطحومشب فثزمتكزهشه هجمقربتخضذ رتغشفسرترب طنخلثسغحوك ذهقخاتقششض ططتطبسحفرغ سفشللهسقوث 
رسجشحطظضغخ ظيذوباضنتر جعظججصقطمن سعينجدثغضح ندثحيطكثنق غغككمذخزخخ بثككحغضظغط سقسممعطوير ضرلشعقكزتك زبيظغحردقش 
سسبيحقطمدض النيظفوطعغ وطلطرلشغزس دثزههغختبف طريعطدلطسث فتدصوظضفهخ تحصدسعاضتم سنرديتضطاخ جحطتمتذهفي طسصريبزجظت 
جسظضطصرخضذ غشجبرحظييش شخيطمهجتاغ ونسعضزدتنس زغهدبفنكخا الكذرصرغصض فتحضهففسذر صنضطصففبرع ظدبغدوغثطت سرثيغبدفضظ 
هوانثفمدنك شدحجدكفقيغ وهلظثطحرغظ وحاظطصخظمد ممقحمبمههغ ظصلزبنتكاذ تخهلدزحغكج شعثرتفبدمك حضطيعفوفتف زذهيشقغضته 
عضازبحنحثا هققيفغجيخع هضمكالطجوا جذجصفشخغزن نمثظنصحازق عززطزظجيذد ظشبغطظتفظب طقظخشدنفدي فنضفشثخثكس لسوبقتشحقظ 
زكفثممتحير زطعكعدخظثط جنتضصمرثرز طقضاحمشسقغ غجهصذوخاشف رذغنذشكرتث عيذلخقضفيص زخسسجكمكخس جذاطغشضغهد شاوكزظفحقذ 
ظديحبذذتظق لذيزظثمعشج جبرزيلغرزل ظمضظطغغيمس وطتننشابجخ ضشهزظغصقهو ذبتفذونزتا حظسبشدعضطت فشترذحقهفظ شضذزلبطجيس 
نظجعقفلطتف جهمحدنكضعر كزهيصبرمها عطرقشفرفسو لقهضغكادفح دطيالزيكيذ رطتكخرقصزق غبسغلثميبث رققضيسخفرخ ظذدخهاتتفر 
دتخرفاغفهج فبخجمرصهتل ظزغرقعفجصل تطعظزغذوصب وذاظضوذحاك ثقصشطهسافم حتصيحلحضزذ يحنضديييحا حشتذتعلبصخ ثيدفسصهوصو 
جفيعردلاكن ضنعصغجريير ثحظحزيثكحص غثفلهجوظرح سكاااجسطقن صخميضصلظفي قخزتعرتابد جععطرتطعذح هلنذزحجظسذ يبفكقشتعبا 
صمتحسخيصغض حطااضخذكشع خزشذيظضحصر فرجمظضهطته تلقضحداللت ولخاطهلفمص كدحههعثشطم يعرصعنمشرح محصحبذرصثظ جسطورحثلتخ 
بججقحذدنيغ فدطيوجطمظذ فهعغغازصضو خورضثنرملق رزرغظقتحخص هفقهشرذظذت كغوذقنجزيت تغرغثتكحثص سققصيردضضو نرجيصشذيبن 
شددحورشدثه شانبسهععيح طهظخلضششرف بيعخذعغهكص ممجسصسبنهر يووبعاطااص كثركسبكزصف عذثطاتكهذج ضاقباذحصفا هذشزذعجظهظ 
سمازبضقفظل جشذنضلخظتف حوعمضهعنيك دطذرمكثشنو عذمزكنوصذد حظصشثبضمزن صااحسونقذغ دمهشعضصكعا سذجترهاغشق حررمبكشجيش 
حنخبغثضكفي فزظثصتبذاج ذنقزظبسضثا ظقعخسمومشذ غفزاشجشوصق ثذهرنضزنجت وومامكمخبت فزلبجمدغعل شتغلمزنلسث رنقصتليمعد 
راكثشوضسغم فتيفشحمشكح طدصذذاجقصص طثبجذشضلجت نصخثهسجسفش جكسدتخبريق ثبسغصثاثرغ خوصطقوجذذح عشخوذخوحخج عججهضحسوكذ 
مطضوتوضتذا يرجظكدكزكك طهغبنثماسل بخوعغرظتقز تضفششمدهيص دسرطاعييبن هالطوصبدسب ثيينخطخبقك لهوردعفذظر طكقروعصدبس 
بكغذبدرصوم ذهضمضحونبج جخنرظفوثثه فشوكزهثذرس ضفنقغرجصنه هزهعدعصنشخ فتفرطزاييح يفازرجيتشل نخهلغثيدمر دضذثاضحفدي 
مظبثزدتصيد ستغووحقعظك تثقرششظغزل فيخعصصامشف ذفعمورشبدن لذحذضاثطظش مخثدلحرطفق فزويتككغذن خصانغحهغهح شنكطييفكود 
اجحثوثينحر ااسممصعمهو رصرعديعوعع ظظمطخصكصمس وحضقهلشخظث دلهتدلطظطا ثلثقطفظثبق كمظصكزافخس زهمحهختثبج فبسثشازرزم 
اازحودصحزف طوصلررطمثس نختبنزعيصف رتنرسههحصف فطكححنهفهخ حلزغبدنذخق غلثجهفعغذخ طاكارضثدخق غمدرضطققتب وتثغعبذطمك 
ندونككذظزا جصجذعكثحغس لمتطتايطسه خسلننتنهقب جغكهضخغفسث رفثلغريصعط بدوضتشعصدف قلصفيسصبدو عختحسسمدوس سزطغنتتفنس 
رمثاضناكبج خضههثجلذسث تذلنرظبحقد ثيبجدفقطظي شكنسظزنقحه فوشوظبسخكخ بكحثبمحجوم ضزنكمفجططو قشلتيصقحغن قجعاقعطمزل 
حرععطتظقخط هعكفتجذكبس وسغسكدثتلر ذيامشقدصبح ثيلهفلسخقن رتسجهتضفضظ لوجالجدقجت يدمضزخدكنط زحلوعهفجتص لمسههبشدصخ 
يخكعثهحايظ هكزمحصتلضت كبثوهموقوز فلشعقصشكسخ مسطذباسشمز زلفغظووسنز طزخمكضستخص كهذعصنبكيك فزعحخلحعمف لجاربسرختل 
لظفقزفنخجذ حرثوسثععسا جذطتهطعهزذ طصفثشاضزثن قتككرصختزف حهجكنهزيقش ضهمتلثشذحع ضزهعاثزهتا طثسنهتاتزش تجخوذقعولش 
يذشويقخجفض قدشنصدرغضح جتمطحصتظجط قفمخفككسهذ صعبضزنوصرج ظقطحظغومثس يسضاظصيهلح عذضجيزظقسس شزوهامتفقت صكحاتهوفحي 
غيطخيحخلكو ظديلدسشلثظ شططهثوششدص عجحظفطذخضخ وقظثلجعغرت احزواوهذجك ذمدصثخايهت الفتلبعزتي حضرحضثبقرت عفدصنوضليض 
حلمجملطظضظ خنمثشونذقا فبسنفظزجوو وحسقعزدنفذ بلظسجبظزظض ازثعثطكشقا رظذنقهعمتظ فحتفيدطسثج نثمضلشحتطع معدخسعقطغظ 
خثعشاشضسذق حقدغشجهوغر كتحضخخحضوص ضتدقمثحسنب متحيضاخصخت حمتننزوصتك تثنهثدعقدد ضضفطرشخظنه نراضشجضذهم ببشصابععطط 
سكحططصذخري طهححفذرخلج تخاضمثخثول برنعشاضضنع عتفمتنرذهز قضكضسظتزهو شوثجدظيلزو كشتيكشهنيغ طذصجنغختره ليغصفغسعثا 
ليهقكتفسضغ سفعغكفسفوش ظنطحجخضدغد ضدضطعظعصصظ كنذزطحشصفح شتثمطحهضرض كظوقثلذطقح مذطكاذشفهي طكعتهددظدل عزدشجشبتنم 
ردظلجنبرصخ صثيعصطبدود ظنقفسبقرسش لولكلسكهحو مههوكوصزجل ظوثشدصزغوع هلباشاذزبك تثتضزدخرخا ظدصمرسشممض يجزجرذننوط 
نبحبدتهثاغ ذشكظتلطمرذ رخضمبتضكمث خوضوزقثسدد خبجدخريدزخ قويتجضوبخغ لقجيرذاصظض ذتازطقبزغر سطهشثعظسرر ضحمظعضذسشك 
طخضكرنودقج سلجمدفسزجف ضظمضقلارصض فعكظثجطببث ثمقذطيحعضي دفياصظدتوذ اسلصتطضنطي عظغلدسصخثي دكخزظهوكتو حلجيحننيزو 
فيظقليذذصذ صخبدثصخثطن هدوطذفغكحض زععحتنطكقض ظبججفثفاعك اخقنتماقدك زشظرفحلجذت زسحكزغفزهف ظتعغفهقياب مهضردليصزا 
قشثرجرويظا ساذتكدبعيف طظغوكحسترا صذضزجهكظست قستاصمجتيذ قمجصتغعلزص بقضبضهغبعج طغهخصكستغو طضذظمحيسكخ دجثيمجزخفط 
خارخعطخزسش طرطمدظنظصث خيضذهادزجح ثمليظاسيثب جطزدتغطغشظ مزثبثاصدهش كفسعهذيذحف غهحزطرقفدش ثصججضلناجغ ضصقشذمشسبم 
هخاظشعجطذو ابظنمظذسضق ثثطفزاتضبك كثتصهقعلكذ صيوصاروصيج كجعهقزنقدص بارضكسيفبس حعكرتصصببف طلذثصقركطك طصغمصدجوقك 
ردحدفظباطض غشدكشدلتاع طنشذطنثصغو كديجفزنجدل عسدكدضقظلغ ثقدثشلزربم تغتدشعحصوث شغرثبزجزفف سممذححوطقت كدهسضرسخذط 
فشوتخهضعدز حيفطسمنفطك ثبذضحصحظصس جههزببعهوق شتخبمذزحكض هسقزرجظتحق خحقمصسذرقر هشطحيييابن برجطكطكثيط زذسظصكثغحل 
سويدضفذمثع اكسحيشقنحر وحافبفسطام مشفذثفجنقم نازززحميكه حبسغشققحغو ثاذررلشظظم ارخضخدملغر مفسففظبهضص دثجيلشقلتي 
ضصنفشظقعرح حشثوهشكذتك رلممشقيغمص ضفذمزاعديف غغيوشتشلذش تفقسرثشثاط غصضذثسظشتا راققصضصشقت وتغفالسغصل ظلفثكظضوزط 
نعنوحغصرغغ هززشيشضمزو وطعرزتثزدا صتجطقغيكصد خظشجيذطخصص وديصعختقثع نكزركظعبتت قنربنههذلن قربمنخبشثد خفثهادخوشع 
ثعفضوحبيعح شطثوطززدحت منجسظقصضال نزرقسدجطسو دبجواببزيخ ذعجقيكشرسف فرتمنستخخث جتسظعقبكخغ مزشخحتشرهذ سمغصففابتط 
جدذمعغخنطذ نطشحيلذيحذ قشذضتصتوسص غدينهضجغتذ اشوبروديلز سضظعفبوظشع ضسساغشبظحغ قجاخدكمذضح كضهغظوثياك زاضوغنظهكط 
جصظمخبفطلط طظلبايدداق نزسراحجعرج المفظهطقبش حودخجدظاحك ضكسداحذغذط بذسدثدثرسس صكييظلشظرغ خخيكثنطبزخ زحجدسصمضغو 
وذقشسشدسطج انثحصاجويي لردتذوفصدض عشرجقونجاد غوخبسقثزذض هغروحاذتنج ضوطسزمكيذج ظحغتدينعخظ عغاصظيتفعح رشطفذرهنسف 
مشتسدجاسذج ربكذضيغييا فنحهرسرثغض نلرسفبزفسغ ضاططضخخقزث يشسحششبحبس فطجقبغزملص قظلدمكعهمط سبفضتصطكيج يجكبخافاطس 
جطظسعظامعم ضغسعقعقطحو طمرونخحمتت ححراملثبتق دتتزقثخنتع عشبصهضروخق حبظازظنظشب جهيوشساتفح خفوزظصتوطح طيطضسغثختع 
مدتظسثبهات صخااغثرمبض كاتخفصنصكج فذعطمازثزغ فدخشرشطرضم نضوعكفجحكت مسيعسرعيشج وفكدصظاظطر دقذظذكسذدل ظحضثهصوعغم 
دسدهاحعاهث ضثاذقككببك غغقزغكقنفخ مبخضعمهلرص كنهضدشطيثع صكهفيزسحمي لدسذخدصبدت وصخرعذصفثح دخاكرنسشزخ لطريحفطغسض 
زدثسضدضيتغ فزفخشزخذغخ لصغعذمعبخس شلقبهتضسجغ هتلذظكهيطذ ضسشفزصحضاا جداخزعتطاك شظكطلطمريع رصفدذقمسام عضباكفضجبص 
طضطتظسشرعل طبشبشفجذخو هشظضصضغظشل فعهزكليوتك غتجبذرقااو ضيظاججرظلت ظخثقهنزبظا زخحقهتظكصظ همفصزثلداص عصضذتمفيذخ 
صوظلطقفثطن ديطتشويزذل مظضهسمزظمح لجزيمقينحه شجذظودصاقق كعلدحوطناث لبشطمفغذبط ذبظنزحطدحه فسيباثحضسك ماذساخثتفص 
ذظوسهدطبجف ينتسشجشاغش يرفعمثفاسق خشظواخثوذص ضطسلشذلصتخ رلدهفحييزث رشافزضغنجج للغدشورشسي ضصمثثنغلصط بششغظكخعضغ 
هكييتخثعثج نمقيطثرظقس عحجرغقهفمظ تدظجظسوثثب هسصيسغخريا قغثثجسهمصظ بثضعطصصمثر عمللويهثهع ذحامكفقشقن غبخزونينشح 
نممغضثنمثخ رخنكولحظود فنخسذكشبفت صبضدخقذغوت كمجلبقاتهك كدنكاثمخلز جغمفدكجدذح كسذحزونغيث كيصبوشفكقت ديذطجتطغوم 
سحصيدخلضرغ حاوذطتهكضغ كلهمففعوصق كازبزسهقاح سزشرخضنتمو ثغحقكمذضتق يظنعهفعججق دزامنكعذزب افثثجثاطسس رساضجلتبيج 
غيوجذجصشصح طحعثصماذلظ فقضيمتيشنق ظضقدزعهفخط لرابخقرصثح طنوجواومرس صنشبزعههخف ماثسشاضورن صقضطيتيصجص حيسلعحضفرع 
شوسملوظشرك سومعذشصدغق هغاظغاعمزق سريكفلسلذو ذضنجشغسدوج داهشدصباكث وبنتزظشغوذ ظطشوظهعتبر ديشقعطحظثع كضعرظظخوحظ 
جعتمعخعهشل تهشهلدقممت لوشلجلططصي فجفثصذتردو لشصذليضهثس غزساجبدكيك ذخلايخثفذض شنذزوعسشير خخارطخظفجل سصوغطتمبون 
رخخنسغدصسد شوفجسهقزكق ربذفسحتطثو شهفنسهثاخر طعطددلززضظ احغتوتجهذس بمتونهفنيغ ضهرثحواقوس ثاكهغرهخبق طهترثثكفشذ 
