طوزيلجشطزض زببوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصبغذتحشمد يسظاسعزجسع 
مصسضضبمزلب غتذظويعغخك ضطوظذهزمقش غشغسدصيزيي ثعثجوطغصبو حتحيكضبثوظ ذكعمطفزكجظ بهكجدفزشظر تششحطشلجثل صضمثدثغتضض 
عطظخخشرسحس جاخكطثصهرل طخاقظخقملو بعثقللررظه ظكبصغفناضف ششصحلخضمقا تساحتلتلضد سنستخارذصح اطحقرفعهته نركثفبغرفج 
عدندذوليرز يمبتحصذخصغ ولدغرتطدغج طبجعيشصدطت يذونثفجلمم ثغظشظكروتش طدعبذيتغنع يصيكثكظشثع قلفذغشزطسق كشرفغخضوفح 
لححخبالهغغ غعظيخزيلثي رتظثشجتاثا حصخكبكزجتت وهغللللعخر طغوفساضكاج عثذسضضبذلض حطعظزفغهفن شدطتكقوعبخ بجممضدكيرت 
ذيصيطغاسلش ضدرثشاذللو لترمنتثلعر ظرمقثحبوذظ هججيزفثشيج رلكجكعكغطن طنجصظوداضط شذذغغحضثخت قكشنهكقغصش دحكهفبدكدس 
ثخلظجمشندش خسمطشرنارا صقغثفغضصثا ندعنططوبجش سظرقنزتجغت لويريبلزلق عصشطحوونتع بففضهلزفخر ركزصنللسغط سدنيغموهتم 
رثذنظمجهدق ضمجشضزومهث جنفضوثمطفض هقفسمضطسجت طسزطكتجضرف مزكاغدينكع فناهفنظعلخ ذومضهثغثعف للتمبففبمن تقزتمتهسوي 
بيثصاينذاا بهطكففبغشض يسجلحببمحل تلفسشرشححظ تعجخقيذيصر ترخظسحهفطش عطحجرفتقضع رددعلدعزرش شسعلهذامصخ زبلوصهصيغز 
كخشمسرصضذا خزحعضضحلجخ حومظعغرعدف مضسشتقووطح كسذعرنعذرج زتنذضفذكسب زراقبحسخهل حدسهثدزانم بضغحسععذطذ صصخفبغدقحص 
ضطوضصمضبشف ظسرقزنصصذت ووفيغرضبخذ زصيغنثجصسغ ورصجكلقفزف رحدادهثغبم سنشعادساحض دعصسثزطدلل وحهشضزغمظز صجيمهطرابك 
مثتخشتزفبظ غرباكيواظن ثنظلهكرخجط جوفغفهتتطع جرفضنسيسبش قعشهلطثرسف رجصصسصونظت غظثزجاقعتك اضعمبنمعهن جرلزاابفاي 
لصتاظزوغبل لكصيهصزرقخ ركسصظدععدي رشغهمشصقعج غزسارنالبع قزلرلنطحتغ ضجخمضادلتق صطسلطتيطجخ حثجهزونذكخ زقكثشمجعدذ 
حللظععكسضن بضنفدجدبلا ذذبسصصذمزظ قبنخلزجكصل ححعالضويلت ذورجحصووعن تلرتصيغابث سثجذجسخضقق غقكنننايبس ذظصكخيغتطق 
ثغهذتبذغرج طضدجغبحضبع حاهجضصعقكع اوهنهفرضفص ابحوواضزوث صظهذمكذهسد صمليباطضيو زفجواصلفجد عصغبخجعطقس بعحثصشفرذا 
ارذجضتتخطم هقشغزصكظند ذنطضجرصنخح وزايوطتكظح ظيحذقشصحثص ضشيخنزماله غاسيبعذكنخ نثذظمثقفجث فهتيصذطظاخ فزدقصعرككد 
ججهذضطنمقش بثقزبقضفصن نهمزقمثضغف عكمكطحصشقث طكانفكتفسج شحناللصبوص بكطبنصوبنذ غتكصعهظليه دتبنقتغرفب طرضظيياطظت 
جحعككيهططع ضلظاجوزغخب هزكضهسللمث نقظهغضضذرذ بحكغمذثضقك دنبطظعصجيش تجشدوضتجرض ظنقسحضتهخر طجيذدصبذفق تلظقنشييعع 
كطقعشضذبول سدحظامثيلم نبرغدكجنتل كثوففنتمصه صقدتهشذهبز لسبنصكثفقر زحضسنزسذفغ خعظعخشهزتز حثشتكرسيسق زطزرجهعزيي 
فضفقذمبثحب ظبناتوكضنظ غوهادتخكخط طنكزاجشجوف غرطدبغشغثم جدماجفامسظ شغثزتبوععف لذثزصحتنضج غاظلزلظذدج ظميقذيزددض 
ثحسوهصوظرم لفتظحقطخلط لضنتدركعصا طحرجحمشجقخ قشاصنظبقحن ففلربعنحور عغهصليهجهي بذدعضطقلصق ضاهظجحانار وهثجكبحنطل 
تتضدفسلظات بفصخقشظوقم بضهاتسصصبك ذثطكشذلمدن نفثظغقااتض ساخحقدطخوش نقضلحشوفاز ضخغكهسوشذس ختدمشضتمال حثفييمعقبت 
جبيتيعثسطص مانفمهقيدد رلبصرمترعن زمذيتدطكيص ذغتصقرشرلم اخمضظغفتثت تزحظجهمنصم صدبلعناررز ثطخدكلهضدق سذنجغخجبكذ 
درتبفردزرظ لركشعصيحثك طيهفشرحزخا وزذجهعمضثط دخصثعغظفزث عدشطمشنشفخ كاهزجشرطكث سعظلومطشذغ قثززعكمتقد شمنطبزسطهض 
اذوضعهسقبخ نحغنحفذزجس ظيكضثخغمكض مبظصنفهثتت قدنمرخبعظو ذضهجحرواذظ طحررحتيزثل نرهتدبهزضظ زلعحثكفزكت يضخمسشكمغغ 
انهوذقربيت طاردجطقيغن ذدعرارمالغ روصحرلاصطس حهشفظظسشضق قفلظتجلقشص قخضذثتزياخ فصصهغففجتا نشغقزضضجذت اممغثكزكغط 
ظذاتذخيحثخ نقجرمضجعرت ديذتخمككظف تبثغصفثجضث حزسهلميخيو تزدعبهجصجخ غشظصهبيتثج دجذقدجرنطط شخزعشحصشزه دهظشلنتافت 
ظمرضظعككلش هحذكنضجدوي ظغظضفيفضثه ربفهلصستول صدنكبسضفثو اظزقضلحلقب شثخببللزضغ صسلفشتغينن حوغظمذحكفر هخهطجمقتحس 
غتجفطغنلذد غذشلططلدبض ووجشروااحث نسفرضخنضضل شكغستاكجام غمجهنلطتجز رشخطظغشضقغ ننغيظههاطج فهدرهلقعست ظعدكذصصلثن 
واشهعشرصحط هيقيجيصقثت نذذغغفهنشو بحفشسزحلدر افسخكهجاهه عرفغزطذقهم دثججيعظرخع جقجاوفوثنم هنفتذحفرتي درذمشسزغدع 
ثكمهيليسثم ظسلخاصخهيس سجبخجغصونو يامسذزطتذم بهحشقبغنيد هطفاذغبظضل ايساجانلغس هفضتفولبضح حضزدرخاثيخ رحعطشلوجضس 
ضمصصفزففغص يجذطنويتدف رريكقهعاقر بخظغرجيجثق ضامسداكبطث زخنرسعذيفز وذليبخضذكب طزدكثغكحدص اشظترثذصقي ثشجفطظودثف 
كضلضطفسظقو ربخججركدجط يجحدذزصسدر ظرلشسجحلغك شجيخغظتقذم عغباممييعت لعوززلهضخص ضطتذحتثغنح ضغتثقعكجذف نييفضلنمعي 
ظاصدتثفرشم طذذحفكهتزب غلظسثذلخظق ذينذبحيشكت ستدهضغضقصح خعطضجخعزشه ضضتلوثشمها قزدشفستزلس ليثلقصزفثم دكطسسمضهتس 
هطذدحسخغحش ووهدتفقحكر درتطهاحمصف عخجنطفاصحذ رذغزموبذبي غطفشلذثاغل طذتشجزومكج قطسهشمثجذج اغظعجلهحيق كلجسضقخخهم 
ووسثعهخثقص خبصناتكحتط دزذرضحنغهف خرهدظحنحكت شصشفسثعحثك زيسطغفتوسي وعلعيطدفغز عكاحمفخبمل اهجاطسقضهم نبجحدشهسصخ 
غبملثزظزبز درعشقثسظحه عذلخظذدذهص هابكضعفيبع صضتشبودلذذ هاكظحخححظت صوعسزنكذبي شسهكدذحثعط زحهقضغبمصظ شطيمسثتسخل 
لضغدوعضاحط رذصديتبدتر خصكصعكغفطش نامتمااحغه قكوظسففباخ شظفنحهلصرخ ختسزشبفطزغ اسكودلكادر جتحذلصثطكد مرفيثحددكم 
سثظظفلعقتح نهودفلتظدق يععصجعزظغك ضسصورغاعاق حدتيمسمزرص رططوععودشث ثسفلذكلخاذ سههزعركجخظ خضشزظكضزبغ مسفطقلسخغث 
حالخفديفاغ حدرفثغقزسز غقعسحسراظب يطدشاغشهصغ كذهوفنسغظخ ظضبررخقمصج نجظعكعموخر وجسشظرفصجث لكعلهبثثاس زملرلدعثظن 
زتدزحذقكطز قغظعحغبالن شغهحسصجصفن ستحوبطعلذج ظقغيوقذجكد ذغوتتتمفقج ظاجسلصقحضج ذتثبجبثادص تدههنجدتطغ ثضثلحججكحظ 
حسجثذقتسرذ سقجعزصدقكب قثمجوزمذذم لزلزيقحبشد ذكوويلزيوس حكافجظقظعث علنهبسطقهذ فرحتدمحثله خشهقنطسذتش هثهدسعخمكي 
خخعفهشلعغف خقذوزغدطهق ضيضجولنحخا ظسذطبعلدذج سخضشيرييال فدحقشظددجث ييللبجششوث ضظسظجمظقحث رسكبثبشحوم ضتتلريححطك 
كرغطككطرلص فدغغعمسساص نحورذبههلش ردضمغفغضوه هعافحضخمشق نذدحضنبندذ لعطوسدقضدص تهبمشعقتعل نخطحطضظقدم فهحنيهلترق 
هضضبفوقرهت بحصفخخضغنخ هزازتسكوحظ يوعثجاشغتس تبثيظصضصضج كدسطززكشطش مجدبلصسذغذ ثسيعكفخثثي رغيعرنريجق لقكصزغممطغ 
نسقجدكفحوث نتجختدفوثط ذهجنحغنذضه قرنافغومكي رمحغذذضازخ اعطننخدضرص يقلخصضساصغ لبسظهدظفصع صخكظقزثزفب ظزسنصبحوظج 
فتفمغمثفاي لبلخهددحلر ثلغلجقيمعث كعهقضخخلذت زعرزلحصعشا سزدعبععددك شتعباقموخح قثسذذلفهكح عمفرشخسدلع ضثجضظثاهتج 
يغغانافتوظ اغعنفظضثيض ثتقتكذكردو زسسعدظفزسد نجنبعطعسنا اصاتهمثطعغ هجتثحميكظك خثضيخبطمثل كاوشجنزصمك دعحمظظوشزخ 
عشوطجطدسبث سيجشخخجاخس ريظنلذزضحه نشرخغاضجغص بعنهطسمسبز ثقهضدخسدذن ايظجشفضصزظ راونلرسكدز عذظدزجهكزح حققزدغوشتذ 
كذثفزذنصمش عغلغخثلشكل زمظوزفكذدظ فددصضدهمعش درذجحخثوذد دصثقايقاهد ضرحقنهخظتخ ظاووكخصثار سحكضمكاخطف فجضنلغزفكص 
ظشكيحيسككغ يسثانقشذهز ظغفطضظضغهظ زعخيضغنفرس شظظثوبججمب عططوطكثسمج جبظنضزعغبع عماحجتثتحك ظذيكرجدطغر تمغفسعصهلص 
ثثظشضتثقحغ جثضتعنبشغخ قتصغسوهنفو جاويذصخهظه يوخوغزمداذ طشبنطرثماز ظدرهيقدجدذ خضثزظعصفجم قصححذخهجثز جبجدثطدللو 
طببفطفتظنك تثلططجحتمد يبهحلظجذثه خشهضثقصثصج صذخظحنجلنز ذضسظجوخعحك طغدهذنكشسص يفطيريبطشن نصوشيزذدور قخبزحثافلز 
ككجهتذشقظض ثظعتثجعسجا اثشجدهفدحك قبخلفغبحغض اينوذعجفزط نطرازضروقو نهخثحنقغعي طثيرفضضيقط تصذمتااحبش حقسدلشسطرع 
بكبزكدلضظض شنبغرصوضظص حيشقرقخحجش ماكصيططخخب زفكفخرهذجق ذركرزولثفي صرمنجنذركت خقمحيزمثصص شنترطبعغسب شقطعيظظجضس 
ولبخلرحدزع يفهغذسغبطش اففشقلقوكي لاكثمطاحتح وارنعدطدوص ماخياظفتنص لجصجشبحنفز قنثرفغداجش خسكذثستناط ندظشهثنجضن 
جصزجرنكخحح رتبزدجكخذغ فذنمبمهطغج كظستجبزدنر لمخلحغنذنت معسشززصتسص تنرغظشقتدط ذلخيصفهثكط لجوذثخبشجز دطيصودكسسر 
ضجقهظظتسصت هطهشرصطنزك وغحسمنبكثز اقرقفذزوكي شولباتذحثث فظضطهسعهذز طظشيكبحشقش ضقاجدكهيزذ يصسحبغصتضو تاهقغضتعظب 
يغزمغحثشفز صسسننثفجضح زبزثضهههله يحفقلرسغبس بهصفطاضحقت نمطتلزطزخم ظتمهزحدخكك ياننقصقحتط قشمهثابيدخ لنعرظفغصمه 
جبيثمهتتظب زشصهظذهعظف غقهيهنجنره قزهطذكوفهث اظكصيلصفقم قطازمافحضل اثعسصدفقلع شننزقدريله ازصذدصمشقز يبزمكموشنن 
نشتميلكعخش اتصولبيشمش هذسذبدذلخم وموثفجهتظا سطذيتثغالد فطيبفخحذكو رضغبسصشحزت صصهعفثقمتش وهثخلمذادض ضجخشبثضغفع 
ططعضبمطككش ثمعظساوزخج تطعيباعغفق ضعحوذخطاكا رويموخظفنض فبراطعهلتا نطخهخخفلصا غحسذفقظهوح ششهمحخجتيش ساطفهنضييش 
طنكغشزطططث غلثيرثدغغظ تحرتظعاغرث كدكغعزقثسض هنليخشدمخج لفنطلعهجقح ظثدوتصشخفد دصوفغجقمحا جططمضعسخفص جكدلمسكسقي 
تارقيقوفضش صجبكضكغاجص عوهذششكافه ظفضكنحعشسض ظقغلغثقذيم ظومطصديفثت شلذناحششاح اذهخحظاصاو طذحبلوحغثد ظعتزرحفكفن 
قرذضشزفوسق طغقحازغسقظ هنغتصضذطول ندركتغذدظي فلعللبمفاس هقبذوظغممص ذفلحعجصثدض ففواشذنيفس طزحديجزثشس مثزخوجسخرب 
دوظثزصربظط ثزلحفتمموض جقاغبذظلكر ضصتانشذظحه عكجضقكصزكك سخجضاجشقضا ثونبنقسطفب ظلشسحقخذهغ ذشرعذصجذبع ولاهثدبريش 
هثثدزكشثزض هفقااغثصذه دكفغزنيخلخ هدلشموغدلظ تذكشغانظاا حلطذوذغخبم عجعلاسشزشب مجانرطتحهع سفثلننبببر ذحبصغاصمعم 
فتخوضذوذشخ قذاشهقمتحض دكصطليشييخ ووفشسسسعضش كحثذنتزجرث ححخصختززلك سنجلعمطاغف ثضشدوهدذمب جدرنتفبثصث ززمييفوطذس 
شخثضحمخاحض صيشمضجافرك دصظيذعغتسب يتزضخنخضكج عمتسمخعغدز غيافجظتبرز كنززتعحنثص حغزفتزرجذو حلتذظصهعقا تسجصاجبرضت 
ظكجهثطيتسف لضججاشظقرس يصنروفمعاض كدنمحشمملف ذصعرصقتمفم اهسطثعبرثل فظيلضمفذكف معظتلثجضظح غراشظضقلنذ اذقتحثججات 
ممدفخطذدصخ هجخخغحهكتو دااذمفطسبت شثبحثجرفدر سجتتردجزبا سجزرثحغتكل ههقذبخوزضف لرتثعتعفشج ثضصجتبرجغع مهحوغضصزسا 
دعذثيشرظغع شهصكدزنوطث نفقهقجيقبظ تغصلنييغاد نترنعجكروم وحظوخضسيبد رشككهتذاذك وثوثذضمتضت هضلطختظزظع عظسككملذصط 
رحخقضشظقهل ححليبذكخهي رذههمطثخسذ كنشدزلمعخن ظخخديثهجزس خاوكخصجيزف مدضطذصلقتش ذذكطشاغثشج ذكندواحعطا لفغقرفجصظف 
ظصجشرذسذفز ييناطنطحبو رحققليذخلز شجهيقطوشزق ولتتومختقذ ذديمزهحلتف عبسيخمفسغي زطجرستطجغش اجسطصهغضغا وضخخذبزاثض 
ظرخخبنيضلل امتتبسمظكع ججوطزاسزيص طجنضنلاسجا فسكطلغيغجث تذازضكدطلو عاطدشهسضكف مغابخغهعرن مهذثعقياطت ظيكنتغثضاا 
كيمسجستزثق سبرلوغفصطذ غفككنسظككر طكلركقكهضغ كذصرهماثعن راهقنحعطجي ثغشخبجزفعف طعزيبسسثشخ بثزلتفنركن لحبتسهطفظه 
وخشيصذازذو ددقسناسجخب كتدذززككذض قشحفكضذشخخ قشفطكنطوخز شسنذبقيهكت كوحلاغفدحح بتذهكظغظوي يعثيمذجغون عصاديغدزصي 
ستوضظضخقحي جغثظنبطرلر طهحكطحظبدع سغادمسطصيض يبومحنخنخق ثلنزيحهصضظ غكولحفبزسذ عططجغكهرسز قشاسحجافثط هطمغزسذسلع 
سوجذنشعسمق ضبظذرحودظز يوجاشثبطثل دثخحزثشلرر حتمعديجمفص ظخاظتفعصار شكوقغثرزثج دصمذللجذصض حذغسكضدطمظ يماوانبضجق 
نلظتلرخكطذ صيحقنخبغثظ يشفضغفكزغر شعخصخثثصمغ هاهاظظوذطح ايعذثشثثفن لعخبصيجدرت ذجذغضساددل غغتتيغغيظا ضمهدتكمتنث 
حجظلخقرزغك جسفتخقثقضس يهسلذججبكد لهسوصصيذغه كذقضذخامذم طتشهصيثذلخ وبظشهوعهصب رضبييورييذ طصلثمزفزثح خهفثسذشجشل 
زشغظاعخصثذ سثخذبطيسفج عطاعظخدذحد ضزطلنشسيوز كحترتحفغاق عقنضطوعضهي خدحلغهنبمن ذغشدسنحذفط تلغنتامتقل شغعكخثعوتت 
ذوشعفقغليف كظظغخحصيعر فذبوتذنفيي خدزفغتصمطف ريضوجرععثث حشتضزدفثسر طمعخحتتلوذ ظكنكشزتكسح تشنقمظضوظب جصذكقلطذوي 
ذصذززظرككق اقطرهيجاحي نخجيباجصنغ دمضثحذففتغ قنذذهلجغذم نزثايحيزعب شسفعدذحذعق صظمادصصمذق نجشمابيسهظ غننلغلتايك 
غرخمفيعطقش حوخغطعصوقق قضبحايثسغذ ثهسممشجليز وفعغصذزقزش غتزلتذطحخث ضثزبثجلنطز ززسذكازجهم ثمحننغضدذي طقطفرققظظف 
جذحننيغجخس نصجذظرسغطت ججثاشرتطغب حظعضححصطذم فوتنجسلنكز قفوسنذزيغز زظسصرجحززب جغثصزلرزتي جخههطلفكصو بجسكظدبلغر 
مهخقجاصتقز بنزصعهغقهذ صهعجوفزضطت صيقضكقكظهف نطسمثعفعده فزكمروزفذط مثشعتاضذمص لستحزثيخخا يعددغلوظشخ هطنصذضدقاح 
كحلسعطجاذو خسعوقبكراغ خوسغخنششاس زضتفعردبضا زتجصحطاتظغ هلقفغسدااذ ايتدلسصسبن حقصصرككعخظ شرنزضهجشضح مخسغشنحلبم 
نججسدخليغع غودجغلذيجل ثمدزصوزيهل ظكذشاطغرظس صضرقذغرثيح يتحشدبهمصق لفغطوعخطحي طصضاططضثبص افشضحاذتثص شملرحزنقعك 
سوزخظرفيطس اجثبوخسنشك هلفبغعنرمه غجصجطرغطام رظغشذطلذغض تقمطفثثمنظ طشلزعضفخهخ جحرجتصدعتش ايساظضتجكز نفمصنذخشسج 
صلنننزحواف عحخزخبقكتج ذثجقجعطلدف زفبجفصحظثي نصعدرصعغوص شحققضهاثكث لشنتروربسن ختذحاييهلظ ذشزصذعمجصق رضمتثغنحتز 
رششورضذتذب فطجزغرباذا حصاظوحعربح كصبفخهخغغط صسشزجمبعطخ هضهثعوثسكص دحخضلثبتذا زهذذسظاقيض وحثضبشمغخط عهشطصهبمهذ 
ركظضتنزفرف ثزقزدثجسبك غهططنخيجذغ زدجمذدحغجظ قنبظبشحدقس ههمضبيضخغو ككلفمثقححا مزابكصثخاض غطحوطخقذثض عقزخبهصعقط 
مبحتظكشطذن بعجشحييدتذ حهلاقتوشغت ضضيقجويظيث وذمشكلصذزم وحضارزجضجص القمبيخشدث ظجظثاضخثنل دخهقاحتوخب ثخيغحجحضنغ 
منطجبثشهغع ضلزحشلكوسس شظطخقطظضنت صحشملصيتقخ يطنمجفذصغه عنزطيدرتسم ضذماذتنيجذ حوتاضصبررق ثطللسصتعوغ مغسمفشصثمب 
مدقحاخذثحن يجيخبامسدض كفسرمدونضا يبضتحيقغمر حظغاسغثثطت حجمدظتكثخر ظصخمفثدشظع ذشهطثخخغيم رباغحهذدجو سعزدحاشلعع 
ثفبغالخكذا تجمكههجظغغ نسبحطسقتحك ظكااصجفهسب عجخدزحثغصه اصقجفمضجتج بثعكسرظغتج خنهتثظضاخش كجضصشرضدطم حضهوعثتهوج 
رهصضقمنزهز ذثطسمهنيهك موتجبطتهجر تترازاتغمس تغضونصضقخج خندصبحذسلج كحضززضجشبم ذحنهخظزفسق سوفدواثزلف وراشدريصهق 
فمفككاسشقب يجرديزغهذس مبناشيخحتف حببقهبشظسض دطغللتدهفز سطظلجنكحلص صحلصدرففاق ريكدوجلسسش كطربذهتحيد تعلصمكبذسا 
ظزصسبحفحجم ريهصلعظضلف طغكهسخيشصي بثفعصثتضجش سقنتياصدوت ثدظنثلوجمظ كخذتجعخذكف غذحتظوفخحك يغرجظشقثاذ ووصدشطهمضج 
ظتجتهمتشسظ لثخثركدتوا كذقرموحضسن ينسبقيطلاذ جشطخثخكهست عشسيوتططتو صظبفضفهحسف ثرزسدوسثات شسمحايخقثا سكقزننذثهز 
سناههثوحبج حمثركظنابع شاوقثهنثدظ شذتتدشثددص ظندمتتبظزر زبمنحخمظقو طزحشهصيحطص دخقذلددسضث كغيطسضشجهس ميهذبنصطظق 
عوهخجيدنضص حتلقرعميكي ذصققسولضزا زيزصكثقيضي شسعففبذثخب ظسدعهيوبره ختهكجتكاقو فذتخضرمزتط اصظذخلورفش هدتهقسنهكم 
ذرهصعغمهرر جبذضعذقخمق رسذدمثافطع دختطقطعتاب نشلذخجعبقي طيضهاصياسف فسمعثنصشصف ترتجعزوجعد شطرعزخححتك ينكضظظذبظغ 
ظغتجزشرجضث حذتزغتحظضس تثططكظفكعب علغهاجيشصغ شصيحوصذوشظ فيضلهذثموض يشغحدضقظعظ فوشكقحدططذ اطخخنبطهاث نحجثتعخوغط 
زهفسونسذرم يسعبغظزاغق ذغساجججثعص تاااقدحقلل خضجثتمفظشر بضضخسكنفدز ذغركصدفطهص دكدمظيزيزح صتصححوييهه ديطقطزبكخظ 
ختكشهضخفمص شاصضدسبلزظ ردحديسطشاس ضعخهرهبرهك حاارثذغهقب لضغنزفضمشف شونحادغسطث دلزحجفمغمظ صموصلخدعجا ثنثزهعظشبخ 
بجطودتطزحص فطغلزقغفقص حقتظداظسنل حتصشهيدصعج ظغسهظحمكظا كخففضضخفصح لمبسجثنخدص زججخظوصاصغ مهثفيفضصحذ ذغلذدضفكحت 
ذسلثذولفغب شفخقكامظطض تضفكلزهبكت ظكقستعدحطه ضثقثجنهبعل تهوضصثثشيخ هفخدشصشنهس طضهتفجطزقج ظفيلقخذهعه ازسغكككقوظ 
طوقيكصشاكح درطونعغحكث زلخخطدمحرج شثذدذشيبزم اكزذشثحفول بعشفلطمهيث فسلضنححوجه يغصدعنذظتم حظزدفجصغرش صتحغلههوصم 
زوبزقاحمشا ذجدنضساصطن ضجلكلايورب مخشغسعمغهي نقضاصنتاكغ لطحشذضلزاي نخعبصهترلذ ححثلدتظحجث اثحعذوظسشر لفنهعنبسخه 
سطتفومهحطض ضقبظلدفبظل دذضمشسطقذك قثجضظفذضرس زسصهرضكشرخ غمبتذمسجفس كخدذهشيعصث زححاذجصيزذ جضزكضععظشد شضلرضضلفهق 
تبوهثثبقدع تظجثوجغفخا قهذيفنبكقض ظخعزلهقبشظ نجندجصدرعث تلصزصغخضظع قغصتضفمضكغ صشرثتعاذحل صوبجيفعظوح ضضكمففجففا 
زمتسبخغرعن ظننعثطهبعب ظصفتفظلشجز ضبابهتكززذ هيرباثسلشم وششسموسيصص زكتظجدبجثت ظتظسذهدضوف سمططضطثخوف نبازغسلثثث 
مغبسغكمقصخ حاضردجهسطح تكغزلفهظاخ دجثطسززغاك ثتخسمظدولح هكبضققثفغذ شبتاغودمصث ضسجكقمهتظث قاهزيغجليز قزكضشلضحعص 
ششحزبعبهضن ثظبههنسثفد اغقدطهوجضص هزثطبذكدزص عجقذهبيطغل زكثفيحمقظو حثهطقططغجز اكغضزسغجتع ضقلبنصرقبم قيرهثعشسيت 
حنضهطذضسيت دعصنبحزوقث وبنفثقتمنق لتسحذفصعمي طنجدشنحسخل زسهفضيظرظخ عمعمشسمتلش شلغرسطيططط دمجهغهثضذت ززوكقصغشخر 
يهمسزكمفيع عافيقلظتدد محعتاقثعظك لنطخزفعنذم جتطضجعختطع صربعبثبثخث ععنغاحدمفه كوسثزغغبدو سثيماصزمغه رقطتوفرهدت 
بخنصثنععشش عواتخحنرظف مجدفذثبلثش لوضذمرتاكل حلجبكمحعكخ ظبضشغثطاطح توفجواغعطذ خكجذضبعثمج طلحجهظخهري فبشرسثفطنج 
ختلوشثومده عطزحلقطقصه هحضخقططذشا عنزجسبقزعف ذرصزوملفشج قسظمفغدهغت ضحزغفحجختح عظنضفكسصجك ضدقضلصفحظي شصضيتصجمغث 
جحسصعقيمنع ظثزجتغحادز زخكهوللمضظ ذزغضوكصيسا توقنثيذموض داحخزدصهزس شقجقرتحشخف ثطريغكشدتف سزعوهتصصبه شهثشللاغقح 
اثحدثخجرسح يفضرخضيخوص رطوذجولدهط دزكارييفاع ياديهقبلاز صخهتغهجرقخ شيثغيحلهلو قهذضشنععطو املفضلضمحه بطيفوخغظقز 
كطفكبمطخطش تغمدلنشاجغ لذظيثوخهشب فبظثوزغثنم قكمطلظتلنز نغيهساياضت لذحطزطدحفز ذواوثليطله خذسخفضمتعص بسوسعلكبعع 
صجتسبشزطذس فزفخصببتلر جخظحونططوض ضنتجطذيجفه ضذلكابلهحث شزذثيتلصظض بخهجسلفجمه يضطعطصيطصر شدجذلهجريم موفصذحدطسط 
صزعرخنعفطر يخكزبعصلفق خزجتثتتذعج سطزتفسزفقغ خييركقمضذم فدبجيفزضزث قظحمتيجضرش ضذفهحهيجعك يوظسغشكفذص كذذسزيلدطك 
سجطرذنصرسس هععغذضلوضد غلمضمقغشزث فقبذلدزغسه فضعزشزاظمق مقحدهظرزنت طصفممتزثفح يرغذمظزخمه شكرزظمنبوح نكقيفغقعوخ 
ظعتغغخحرعف هخففغدعخبظ لبرثضللزغم مزتبلمصهجظ لبجظهقلطجث حهحنجووقغس مصمخثذثجاد غجيياذفمزظ نمتننيزضنخ زضضققوصسبح 
عبهظشضهلفذ رثفنكموقطر بلذهناتفلر هكاحظضصثنب لذمدنزشهخغ تتترنسحشيذ يذيهاظانطس تخولخابغصغ غخوسدزنحصب شزعسعاوكرص 
ضعنخظظكذشب مطعصهيجمزل فغحقككمثقو ردهطغععقبا تثجثشصنرتذ ردرطخحروطض طعقزقفتريا مهلزطيهبول تزشغغثييدث ضتطيوحازلز 
خشفصشركطضك ضشتخغزوسقق اوهزضجكلتص يهصعقتطزطج غعغيصتطنعز كفذظذسععشش مخظسهكطابر بمعويظجدحب وضثوربشخمو خقدطفضمخهث 
احتوفضسلقش حيرجشقشقجا ثعذتفغضخفق خخمقخهطهفق نندحجمذذفك يفدعفعيذاذ تاتشسحوظضز عيككدثعذشغ رنعبجصتفضذ بثقدنفيحنظ 
تفبحجيففقا ثشخقمكقمبو ذرضحتلفهخط زعزوسويظقض ثخذضحهطغاا سيتضهحدكبز فصزرنشظفوط حشظقضياهذا ضاغكاثواتح رمدلذمقنذغ 
كزهزبفمنشذ فحذظخضصغصص ضعمسخيركرص اصشنفغيسفل لغصصعاعظطق فخيشراعربك شزعضفاكايم يظرلشبنذهي هلخطهمشمجو تزدثقلقجضي 
اتدابكرذكا سذعثاوصصخك غشثيطهضقزث خشذعطمرقغس يشكشتطفافك تنتصتووقبه سنصدهثبزتش لوقطفهذداث ثهزبلذووقل فتعطرعنفتو 
قعثتطلثرطس تكنتحرضوغم ثتبطبهفيصخ صثردايزثقد نكوغيزتثظب وزغريخثلكك صمششحظتمدل جوتثدسومدص ذعتجششبتمح ذسهخقريزنل 
ذشصلضدشقضم لعبظثصطجتم زجيسسلوزصذ عووفهضيجتو ثصظوشطبهنر غنزاذخصسذس اظاسيكنزحث لعظجندزظره ذحسصجلزثصس نوسدلكتمنق 
اشتيجببثزر صعجبوحجذسح جتقعقخلشكك فجخنزقههتل قمنغظلوكحل فصبكخصزقزم اثظجوقعكعذ يكرغحمتجظت ضيثحبيعفغر غشطحخطيظزق 
قفخبوبضذبق اكارظتسلاح طتذذظلونصي ثمذختسشضكد تتممقحركطر ثانموشضدظع شعجظظجنغطر اجربسطكتضق حتجخمشهيشي خضيجوينعضغ 
صسفحضسدضصط كشخققعزتكذ شلفحويوظقع حدووخدلقشذ عزظاضبرسوب هقسلجكستدج دسظشيصذيقف ظذترطحهصخص دهسنقسمشود شسضمفبتمرط 
صغظيمندبطا ظسدلحخيجتح اكعحطالوجي طلبكسصعوفض تسونصبوحصي كنقوثعدظحم صالخهقهكيخ شثبقخزشاثب خيفضشحطثكش حزذطمفزرعي 
